در	drzwi	در	drzwi	ADP	N;NOM;NEUT;PL
جدول	tabela	جدول	tabel	N;SG	
امیر	emir	امیر	emir	N;SG	PROPN;NOM;MASC;SG
امیر	amir	امیر	amir	N;SG	PROPN;NOM;MASC;SG
ویلیام	william	ویلیام	williać	N;SG	PROPN;NOM;MASC;SG
ویلیام	wilhelm	ویلیام	wilhelm	N;SG	PROPN;NOM;MASC;SG
عرضه	przedstawiona	عرضه	przedstawić	N;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
عرضه	przedstawiony	عرضه	przedstawić	N;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
عرضه	prezentowane	عرضه	prezentować	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
عرضه	przedstawione	عرضه	przedstawić	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
عرضه	przedstawiono	عرضه	przedstawić	N;SG	V;PFV;IND;0;PST;FIN;ACT
عرضه	wystawione	عرضه	wystawić	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
عرضه	wystawiony	عرضه	wystawić	N;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
عرضه	narażonych	عرضه	narazić	N;SG	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
فضایی	obcych	فضا	obcy	N;SG	
فضایی	obce	فضا	obcy	N;SG	
فضایی	obca	فضا	obcy	N;SG	
فضایی	przestrzennych	فضا	przestrzenny	N;SG	ADJ;GEN;MASC;PL
فضایی	przestrzenne	فضا	przestrzenny	N;SG	ADJ;NOM;NEUT;SG
فضایی	kosmos	فضا	kosmos	N;SG	
سنای	senat	سنا	senat	N;SG	
وزن	waga	وزن	waga	N;SG	
تقریباً	prawie	تقریباً	prawie	ADV	PART
قرآن	koran	قرآن	korano	N;SG	
قرآن	koran	قرآن	korano	N;SG	
طلایی	złote	طلایی	złoty	ADJ	
طلایی	golden	طلایی	golden	ADJ	
طلایی	złoty	طلایی	złoty	ADJ	
طلایی	złota	طلایی	złoty	ADJ	
طلایی	złota	طلایی	złoty	ADJ	
طلایی	złoto	طلایی	złoto	ADJ	
طلایی	gold	طلایی	gold	ADJ	
طلایی	złoty	طلایی	złoty	ADJ	
ستاره	star	ستاره	star	N;SG	
ستاره	gwiezdne	ستاره	gwiezdny	N;SG	
ستاره	gwiazdy	ستاره	gwiazda	N;SG	N;ACC;FEM;PL
سیستان	sistan	سیستان	sistan	N;SG	
سنتی	tradycyjnie	سنت	tradycyjnie	N;SG	ADV
سنتی	tradycyjne	سنت	tradycyjny	N;SG	ADJ;NOM;NEUT;SG
سنتی	tradycyjna	سنت	tradycyjny	N;SG	ADJ;NOM;FEM;SG
سنتی	tradycyjny	سنت	tradycyjny	N;SG	ADJ;NOM;MASC;SG
سنتی	tradycyjnych	سنت	tradycyjny	N;SG	ADJ;GEN;MASC;PL
پرورش	hodowlane	پرورش	hodowlany	N;SG	ADJ;NOM;NEUT;SG
پرورش	hodowlanych	پرورش	hodowlany	N;SG	ADJ;GEN;MASC;PL
طلا	tala	طلا	tal	N;SG	
طلا	złota	طلا	złoty	N;SG	
طلا	złoto	طلا	złoto	N;SG	
طلا	gold	طلا	gold	N;SG	
طلا	złoty	طلا	złoty	N;SG	
داشتن	mając	داشتن	mieć	N;SG	V;IPFV;PRS;V.CVB;ACT
دره	doliny	دره	dolina	N;SG	
دره	valley	دره	valley	N;SG	
دره	dolina	دره	dolinać	N;SG	
دره	dolinie	دره	dolin	N;SG	
پرتغال	portugalii	پرتغال	portugalia	N;SG	
پرتغال	portugalski	پرتغال	portugalski	N;SG	ADJ;NOM;MASC;SG
پرتغال	portugalska	پرتغال	portugalski	N;SG	ADJ;NOM;FEM;SG
پرتغال	portugalskie	پرتغال	portugalski	N;SG	ADJ;NOM;NEUT;SG
پرتغال	portugalskim	پرتغال	portugalski	N;SG	ADJ;INS;MASC;SG
عربستان	arabia	عربستان	arabia	N;SG	PROPN;NOM;FEM;SG
عربستان	arabii	عربستان	arabia	N;SG	PROPN;GEN;FEM;SG
عربستان	arabskie	عربستان	arabski	N;SG	ADJ;NOM;NEUT;SG
عربستان	arabski	عربستان	arabski	N;SG	ADJ;NOM;MASC;SG
عربستان	saudyjskiej	عربستان	saudyjski	N;SG	ADJ;GEN;FEM;SG
هفته	tygodni	هفته	tydzień	N;SG	N;GEN;MASC;PL
هفته	tygodniami	هفته	tydzień	N;SG	N;INS;MASC;PL
هفته	tygodniach	هفته	tydzień	N;SG	N;GEN;MASC;PL
هفته	tygodnie	هفته	tydzień	N;SG	N;NOM;MASC;PL
سیتی	city	سیتی	city	N;SG	
قرمز	czerwień	قرمز	czerwień	N;SG	
قرمز	czerwony	قرمز	czerwony	N;SG	ADJ;NOM;MASC;SG
قرمز	czerwona	قرمز	czerwony	N;SG	ADJ;NOM;FEM;SG
قرمز	czerwone	قرمز	czerwony	N;SG	ADJ;NOM;NEUT;SG
ثابت	stał	ثابت	stać	ADJ	V;IPFV;MASC;IND;SG;PST;FIN;ACT
ثابت	stały	ثابت	stać	ADJ	V;IPFV;MASC;IND;PL;PST;FIN;ACT
ثابت	stała	ثابت	stać	ADJ	V;IPFV;FEM;IND;SG;PST;FIN;ACT
ثابت	stał	ثابت	stać	ADJ	V;IPFV;MASC;IND;SG;PST;FIN;ACT
ثابت	stały	ثابت	stać	ADJ	V;IPFV;MASC;IND;PL;PST;FIN;ACT
ثابت	stała	ثابت	stać	ADJ	V;IPFV;FEM;IND;SG;PST;FIN;ACT
ثابت	udowodniono	ثابت	udowodnić	ADJ	V;PFV;IND;0;PST;FIN;ACT
متحد	zjednoczone	None	zjednoczyć	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
متحد	united	None	united	N;SG	
متحد	zjednoczona	None	zjednoczyć	N;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
متحد	zjednoczeni	None	zjednoczyć	N;SG	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
متحد	zjednoczonych	None	zjednoczyć	N;SG	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
متحد	zjednoczyć	None	zjednoczyć	N;SG	V;PFV;NFIN;ACT
متحد	allied	None	allied	N;SG	
خبر	aktualności	خبر	aktualność	N;SG	N;ACC;FEM;PL
خبر	wieści	خبر	wieść	N;SG	N;NOM;FEM;PL
خبر	nowości	خبر	nowość	N;SG	N;ACC;FEM;PL
خبر	wiadomości	خبر	wiadomość	N;SG	N;ACC;FEM;PL
خبر	news	خبر	news	N;SG	
برجسته	odróżnić	برجسته	odróżnić	ADJ	V;PFV;NFIN;ACT
برجسته	zaległ	برجسته	zalec	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
گیلان	gilan	گیلان	gilan	N;SG	
میلیارد	miliard	میلیارد	miliard	N;SG	
میلیارد	mld	میلیارد	mld	N;SG	
میلیارد	miliardy	میلیارد	miliarda	N;SG	
میلیارد	miliardów	میلیارد	miliard	N;SG	N;GEN;MASC;PL
میلیارد	miliardy	میلیارد	miliarda	N;SG	
قبلی	poprzednia	قبل	poprzedniać	ADJ	
قبلی	poprzednie	قبل	poprzednie	ADJ	
قبلی	wcześniejsze	قبل	wczesny	ADJ	ADJ;NOM;CMPR;NEUT;SG
نقطه	spot	نقطه	spot	N;SG	
نقطه	pkt	نقطه	punkt	N;SG	
نقطه	point	نقطه	point	N;SG	
حفظ	utrzymać	حفظ	utrzymać	N;SG	V;PFV;NFIN;ACT
حفظ	utrzymywać	حفظ	utrzymywać	N;SG	V;IPFV;NFIN;ACT
مشترک	częste	مشترک	częsty	ADJ	
مشترک	często	مشترک	często	ADJ	ADV
گاه	składany	گاه	składać	ADV	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
گاه	składanie	گاه	składać	ADV	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
گاه	składane	گاه	składać	ADV	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
فنی	techniczne	فنی	techniczny	N;SG	ADJ;NOM;NEUT;SG
فنی	techniczny	فنی	techniczny	N;SG	ADJ;NOM;MASC;SG
فنی	techniczna	فنی	techniczny	N;SG	ADJ;NOM;FEM;SG
فنی	fanny	فنی	fanny	N;SG	
چشمه	spa	چشمه	spa	N;SG	
چشمه	fontanna	چشمه	fontanny	N;SG	ADJ;NOM;FEM;SG
چشمه	fontanny	چشمه	fontanny	N;SG	
چشمه	sprężyny	چشمه	sprężyna	N;SG	N;ACC;FEM;PL
چشمه	springs	چشمه	springs	N;SG	V;IPFV;IND;SG;FIN;ACT
تقسیمات	przegrody	تقسیمه	przegroda	N;PL	N;ACC;FEM;SG
تقسیمات	działy	تقسیمه	dziać	N;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
ایلینوی	illinois	ایلینوی	illinois	N;SG	
پوشش	okładki	پوشش	okładka	N;SG	N;ACC;FEM;PL
پوشش	pokrycie	پوشش	pokrycie	N;SG	
پوشش	pokrycia	پوشش	pokrycie	N;SG	
پوشش	pokrycie	پوشش	pokrycie	N;SG	
پوشش	obejmujące	پوشش	obejmować	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
سلطنتی	królewska	سلطنت	królewski	N;SG	ADJ;NOM;FEM;SG
سلطنتی	królewski	سلطنت	królewski	N;SG	ADJ;NOM;MASC;SG
سلطنتی	królewskie	سلطنت	królewski	N;SG	ADJ;NOM;NEUT;SG
سلطنتی	royal	سلطنت	royal	N;SG	
سلطنتی	cesarska	سلطنت	cesarski	N;SG	ADJ;NOM;FEM;SG
سلطنتی	imperial	سلطنت	imperial	N;SG	
فراهم	zapewnić	فراهم	zapewnić	N;SG	V;PFV;NFIN;ACT
فراهم	zapewniać	فراهم	zapewniać	N;SG	V;IPFV;NFIN;ACT
زیردریایی	podwodna	زیردریایی	podwodny	N;SG	ADJ;NOM;FEM;SG
زیردریایی	podwodne	زیردریایی	podwodny	N;SG	ADJ;NOM;NEUT;SG
تشخیص	zdiagnozować	تشخیص	zdiagnozować	N;SG	V;PFV;NFIN;ACT
تشخیص	wykrywa	تشخیص	wykrywać	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
تشخیص	wykryć	تشخیص	wykryć	N;SG	V;PFV;NFIN;ACT
درخت	drzewa	درخت	drzewo	N;SG	N;NOM;NEUT;PL
درخت	drzewa	درخت	drzewo	N;SG	N;NOM;NEUT;PL
نزدیکی	blisko	نزدیک	blisko	N;SG	
نزدیکی	niedaleko	نزدیک	niedaleko	N;SG	
تأثیر	wpływy	تأثیر	wpływ	N;SG	N;NOM;MASC;PL
دید	widział	دید#بین	widzieć	N;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
دید	piły	دید#بین	pić	N;SG	
دید	piła	دید#بین	pić	N;SG	
خدمت	serwowane	خدمت	serwować	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
خدمت	służył	خدمت	służyć	N;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
خدمت	służyć	خدمت	służyć	N;SG	V;IPFV;NFIN;ACT
خدمت	służyć	خدمت	służyć	N;SG	V;IPFV;NFIN;ACT
خدمت	usługi	خدمت	usługa	N;SG	N;NOM;FEM;PL
داستانی	story	داستان	stora	N;SG	
بعدها	pozniej	بعد	pozno	ADV	V;PFV;IND;SG;FIN;ACT
ایرلند	irlandczycy	ایرلند	irlandczyk	N;SG	N;NOM;MASC;PL
ایرلند	irlandzkie	ایرلند	irlandzki	N;SG	ADJ;NOM;NEUT;SG
ایرلند	irlandzki	ایرلند	irlandzka	N;SG	ADJ;NOM;MASC;SG
ایرلند	irlandzka	ایرلند	irlandzka	N;SG	ADJ;NOM;FEM;SG
پرواز	fly	پرواز	fleź	N;SG	
پرواز	latać	پرواز	latać	N;SG	V;IPFV;NFIN;ACT
پرواز	leć	پرواز	leć	N;SG	V;IPFV;IMP;SG;2;FIN;ACT
پرواز	latające	پرواز	latać	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
پرواز	pływające	پرواز	pływać	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
پرواز	latający	پرواز	latać	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
پرواز	latanie	پرواز	latan	N;SG	
رمان	powieść	رمان	powieść	N;SG	V;PFV;NFIN;ACT
حاصل	produkty	حاصل	produkt	N;SG	N;NOM;MASC;PL
ادبی	literackie	ادبی	literacki	N;SG	ADJ;NOM;NEUT;SG
خرد	rozbity	خرد	rozbić	N;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
آسیایی	azji	آسیایی	azjić	N;SG	PROPN;NOM;FEM;SG
بنیاد	foundation	None	foundation	N;SG	
همدان	hamadan	همدان	hamadan	N;SG	
الله	allah	الله	allah		N;NOM;MASC;SG
الله	allaha	الله	allaha		N;ACC;MASC;SG
الله	bóg	الله	bóg		N;NOM;MASC;SG
الله	boże	الله	boży		
خدا	boże	خدا	boży	N;SG	
شهید	shahid	شهید	shahid	N;SG	
رهبری	prowadząca	رهبر	prowadząca	N;SG	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT
رهبری	prowadzący	رهبر	prowadzić	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
رهبری	prowadzące	رهبر	prowadzić	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
رهبری	prowadząc	رهبر	prowadzić	N;SG	V;IPFV;PRS;V.CVB;ACT
بریتانیایی	brytyjskie	بریتانی	brytyjski	N;SG	ADJ;NOM;NEUT;SG
بریتانیایی	brytyjska	بریتانی	brytyjski	N;SG	ADJ;NOM;FEM;SG
بریتانیایی	brytyjski	بریتانی	brytyjski	N;SG	ADJ;NOM;MASC;SG
تحقیقات	śledztwo	تحقیق	śledztwo	N;PL	N;NOM;NEUT;SG
تحقیقات	dochodzenie	تحقیق	dochodzenie	N;PL	N;NOM;NEUT;SG
تحقیقات	dochodzenia	تحقیق	dochodzić	N;PL	N;NOM;NEUT;SG
کلاسیک	klasycznego	کلاسیک	klasyczny	N;SG	ADJ;ACC;MASC;SG
کلاسیک	klasyka	کلاسیک	klasyka	N;SG	
کلاسیک	klasyczna	کلاسیک	klasyczny	N;SG	ADJ;NOM;FEM;SG
کلاسیک	klasyczny	کلاسیک	klasyczny	N;SG	ADJ;NOM;MASC;SG
کلاسیک	klasyczne	کلاسیک	klasyczny	N;SG	ADJ;NOM;NEUT;SG
کلاسیک	klasyka	کلاسیک	klasyka	N;SG	
کلاسیک	klasyczny	کلاسیک	klasyczny	N;SG	ADJ;NOM;MASC;SG
کلاسیک	classic	کلاسیک	classicie	N;SG	
کلاسیک	klasyczne	کلاسیک	klasyczny	N;SG	ADJ;NOM;NEUT;SG
سلطان	soltan	سلطان	soltan	N;SG	
سلطان	sultan	سلطان	sultan	N;SG	V;IPFV;IND;SG;PRS;FIN;ACT
هوا	air	هوا	air	N;SG	
برق	elektrycznej	برق	elektryczny	N;SG	ADJ;GEN;FEM;SG
برق	elektryczny	برق	elektryczny	N;SG	ADJ;NOM;MASC;SG
برق	elektryczne	برق	elektryczny	N;SG	ADJ;NOM;NEUT;SG
برق	piorun	برق	piorun	N;SG	
جزایر	wyspy	جزایر	wyspa	N;PL	
خورشید	sun	خورشید	sunąć	N;SG	PROPN;NOM;MASC;SG
خورشید	słoneczko	خورشید	słoneczko	N;SG	
نقاشی	farby	نقاشی	farba	N;SG	N;ACC;FEM;PL
معتبر	ważność	معتبر	ważność	ADJ	N;ACC;FEM;SG
پایتخت	stolicy	پایتخت	stolica	N;SG	
پایتخت	capital	پایتخت	capital	N;SG	
تاسیس	ustanawiające	تاسیس	ustanawiać	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
تیر	tir	تیر	tir	N;SG	
تیر	strzałka	تیر	strzałek	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
تیر	strzały	تیر	strzał	N;SG	N;NOM;MASC;PL
تیر	arrow	تیر	arrow	N;SG	
تیر	strzała	تیر	strzał	N;SG	
مطالعه	studiuje	مطالعه	studiować	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
مطالعه	badania	مطالعه	badanie	N;SG	N;NOM;NEUT;PL
رادیو	radiowy	رادیو	radiowy	N;SG	ADJ;NOM;MASC;SG
بومی	aborygenów	بومی	aborygen	N;SG	N;GEN;MASC;PL
بومی	rdzenni	بومی	rdzenny	N;SG	N;NOM;MASC;PL
بومی	rodzimy	بومی	rodzić	N;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
نقشه	mapa	None	mapa	N;SG	
تغییرات	zmian	تغییر	zmiana	N;PL	
امروز	today	امروز	toda	ADV	
بلند	wysoka	بلند	wysoki	ADJ	
بلند	wysokie	بلند	wysoki	ADJ	V;PFV;IND;SG;FIN;ACT
بلند	high	بلند	high	ADJ	
بلند	wysoki	بلند	wysoki	ADJ	
بلند	wysoko	بلند	wysoko	ADJ	ADV
بلند	głośno	بلند	głośno	ADJ	ADV
خودرو	samochodowe	خودرو	samochodowy	N;SG	ADJ;NOM;NEUT;SG
خودرو	samochodowe	خودرو	samochodowy	N;SG	ADJ;NOM;NEUT;SG
خودرو	samochodowych	خودرو	samochodowy	N;SG	ADJ;GEN;MASC;PL
خودرو	car	خودرو	car	N;SG	
خودرو	pojazdy	خودرو	pojazd	N;SG	N;NOM;MASC;PL
ایتالیایی	włoska	ایتالیایی	włoski	N;SG	ADJ;NOM;FEM;SG
ایتالیایی	włochy	ایتالیایی	włochy	N;SG	
ایتالیایی	włoski	ایتالیایی	włoski	N;SG	
ایتالیایی	włoch	ایتالیایی	wąć	N;SG	
ایتالیایی	włoskie	ایتالیایی	włoski	N;SG	ADJ;NOM;NEUT;SG
نگاه	patrzę	نگاه	patrzeć	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
نگاه	patrząc	نگاه	patrzeć	N;SG	V;IPFV;PRS;V.CVB;ACT
نگاه	szukam	نگاه	szukać	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
نماینده	rep	نماینده	rep	N;SG	
نماینده	reprezentatywna	نماینده	reprezentatywny	N;SG	ADJ;NOM;FEM;SG
نماینده	reprezentatywne	نماینده	reprezentatywny	N;SG	ADJ;NOM;NEUT;SG
نماینده	przekazać	نماینده	przekazać	N;SG	V;PFV;NFIN;ACT
اوج	climax	اوج	climax	N;SG	
اوج	top	اوج	top	N;SG	
اوج	góra	اوج	góra	N;SG	
اوج	pik	اوج	pik	N;SG	
اوج	peak	اوج	peak	N;SG	
اوج	zenith	اوج	zenit	N;SG	
مقدس	świętość	مقدس	świętość	ADJ	N;NOM;FEM;SG
مقدس	święty	مقدس	święty	ADJ	
مقدس	święte	مقدس	święty	ADJ	
مقدس	święty	مقدس	święty	ADJ	
مقدس	święte	مقدس	święty	ADJ	
حرف	mówić	حرف	mówić	N;SG	V;IPFV;NFIN;ACT
ابراهیم	ebrahim	ابراهیم	ebrahić	N;SG	
ابراهیم	ibrahim	ابراهیم	ibrahi	N;SG	PROPN;NOM;MASC;SG
اشتباه	źle	اشتباه	źle	N;SG	ADV
اشتباه	pomyłka	اشتباه	pomyłka	N;SG	
شهرک	town	شهرک	town	N;SG	
جامع	kompleksowa	جامع	kompleksowy	N;SG	ADJ;NOM;FEM;SG
جامع	kompleksowy	جامع	kompleksowy	N;SG	ADJ;NOM;MASC;SG
جامع	kompleksowe	جامع	kompleksowy	N;SG	ADJ;NOM;NEUT;SG
یونانی	grecki	یونانی	grecki	N;SG	ADJ;NOM;MASC;SG
یونانی	grecka	یونانی	grecki	N;SG	ADJ;NOM;FEM;SG
یونانی	greckie	یونانی	grecki	N;SG	ADJ;NOM;NEUT;SG
یونانی	grecy	یونانی	greca	N;SG	N;NOM;MASC;PL
یونانی	greków	یونانی	grek	N;SG	N;GEN;MASC;PL
جعبه	box	جعبه	box	N;SG	
جعبه	skrzynie	جعبه	skrzynia	N;SG	N;NOM;FEM;PL
جعبه	skrzynki	جعبه	skrzynka	N;SG	N;ACC;FEM;PL
جعبه	pudełka	جعبه	pudełko	N;SG	N;NOM;NEUT;PL
جعبه	pudła	جعبه	pudło	N;SG	N;NOM;NEUT;PL
ساز	instrumenty	ساز	instrument	N;SG	N;NOM;MASC;PL
محدود	limited	محدود	limited	ADJ	
محدود	granica	محدود	granica	ADJ	N;NOM;FEM;SG
محدود	ograniczenie	محدود	ograniczenie	ADJ	N;NOM;NEUT;SG
محدود	limit	محدود	limit	ADJ	N;NOM;MASC;SG
احتمال	szanse	احتمال	szansa	N;SG	N;NOM;FEM;PL
احتمال	mozliwosc	احتمال	mozliwosc	N;SG	V;IPFV;IND;SG;PRS;FIN;ACT
نروژ	norweskie	نروژ	norweski	N;SG	ADJ;NOM;NEUT;SG
نروژ	norweskiego	نروژ	norweski	N;SG	ADJ;ACC;MASC;SG
نروژ	norweski	نروژ	norweski	N;SG	ADJ;NOM;MASC;SG
نروژ	norwegia	نروژ	norwegia	N;SG	
نروژ	norwegii	نروژ	norweg	N;SG	
عشق	love	عشق	lova	N;SG	
عشق	kocham	عشق	kochać	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
مجارستان	węgier	مجارستان	węgier	N;SG	
مجارستان	węgry	مجارستان	węgier	N;SG	
مجارستان	węgierskiej	مجارستان	węgierski	N;SG	ADJ;GEN;FEM;SG
مجارستان	węgierskie	مجارستان	węgierski	N;SG	ADJ;NOM;NEUT;SG
مجارستان	węgierski	مجارستان	węgierski	N;SG	ADJ;NOM;MASC;SG
مجارستان	węgier	مجارستان	węgier	N;SG	
مجارستان	węgierska	مجارستان	węgierski	N;SG	ADJ;NOM;FEM;SG
ارمنی	armenii	ارمنی	armenia	N;SG	PROPN;GEN;FEM;SG
ارمنی	ormian	ارمنی	ormiana	N;SG	
چک	czech	چک	czech	N;SG	
چک	czeski	چک	czeski	N;SG	ADJ;NOM;MASC;SG
چک	czeskiej	چک	czeski	N;SG	ADJ;GEN;FEM;SG
چک	czeskie	چک	czeski	N;SG	ADJ;NOM;NEUT;SG
چک	czeska	چک	czeski	N;SG	ADJ;NOM;FEM;SG
چک	kontrole	چک	kontrola	N;SG	N;NOM;FEM;PL
چک	czeki	چک	czekać	N;SG	
خصوصی	private	خصوصی	privaty	N;SG	
خصوصی	prywatne	خصوصی	prywatny	N;SG	ADJ;NOM;NEUT;SG
خصوصی	szeregowy	خصوصی	szeregowy	N;SG	ADJ;NOM;MASC;SG
خصوصی	prywatna	خصوصی	prywatny	N;SG	ADJ;NOM;FEM;SG
خصوصی	prywatny	خصوصی	prywatny	N;SG	ADJ;NOM;MASC;SG
آلاباما	ala	None	ala	N;SG	PROPN;NOM;FEM;SG
آلاباما	ala	None	ala	N;SG	PROPN;NOM;FEM;SG
ساده	prosta	ساده	prosty	ADJ	
ساده	proste	ساده	prosty	ADJ	
ساده	plain	ساده	plain	ADJ	
ساده	łatwy	ساده	łatwy	ADJ	
ساده	łatwe	ساده	łatwy	ADJ	
ساده	łatwo	ساده	łatwo	ADJ	ADV
ساده	easy	ساده	easa	ADJ	
شنا	pływać	None	pływać	N;SG	V;IPFV;NFIN;ACT
سپاه	legia	سپاه	legia	N;SG	
سپاه	armie	سپاه	arma	N;SG	N;NOM;FEM;PL
سپاه	armii	سپاه	armia	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
سپاه	army	سپاه	arma	N;SG	
سپاه	armii	سپاه	armia	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
بندی	bandy	بندی	banda	N;SG	
برج	wież	برج	wież	N;SG	N;GEN;FEM;PL
برج	wieże	برج	wieża	N;SG	N;NOM;MASC;PL
برج	tower	برج	tower	N;SG	
برج	wieży	برج	wieża	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
سرانجام	wreszcie	سرانجام	wreszcie	ADV	
سرانجام	nareszcie	سرانجام	nareszcie	ADV	
اسکاتلند	szkocja	اسکاتلند	szkocja	N;SG	
اسکاتلند	szkocji	اسکاتلند	szkocja	N;SG	PROPN;GEN;FEM;SG
اوهایو	ohio	اوهایو	ohio	N;SG	PROPN;NOM;MASC;SG
اسید	kwasy	اسید	kwas	N;SG	N;NOM;MASC;PL
لس	les	لس	les	N;SG	
اوایل	wczesny	اول	wczesny	N;PL	ADJ;NOM;MASC;SG
اوایل	wczesna	اول	wczesny	N;PL	
اوایل	wcześnie	اول	wcześnie	N;PL	ADV
اوایل	wczesne	اول	wczesny	N;PL	
پنجم	piąte	پنجم	piąty	ADJ	
پنجم	piąta	پنجم	piąty	ADJ	
پشتیبانی	wspierany	پشتیبانی	wspierać	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
پشتیبانی	obsługiwany	پشتیبانی	obsługiwać	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
پشتیبانی	wspierane	پشتیبانی	wspierać	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پشتیبانی	obsługiwane	پشتیبانی	obsługiwać	N;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
معاصر	nowoczesny	معاصر	nowoczesny	N;SG	ADJ;NOM;MASC;SG
معاصر	współczesny	معاصر	współczesny	N;SG	
معاصر	współczesnej	معاصر	współczesny	N;SG	
معاصر	współczesne	معاصر	współczesny	N;SG	
برده	niewolnika	برد#بر	niewolnik	V;SG;3;V.PTCP	N;ACC;MASC;SG
برده	niewolnicy	برد#بر	niewolnik	V;SG;3;V.PTCP	N;NOM;MASC;PL
برده	niewolnik	برد#بر	niewolnik	V;SG;3;V.PTCP	N;NOM;MASC;SG
برده	niewolnikiem	برد#بر	niewolnik	V;SG;3;V.PTCP	N;INS;MASC;SG
جورجیا	georgia	None	georgia	N;SG	
جورجیا	giorgia	None	giorgia	N;SG	
عثمانی	osmańskiego	عثمانی	osmański	N;SG	ADJ;ACC;MASC;SG
برخورد	uderzenia	برخورد	uderzenie	N;SG	N;NOM;NEUT;PL
برخورد	clash	برخورد	clash	N;SG	
صد	hundred	صد	hundred	NUM	
صد	setka	صد	setka	NUM	N;NOM;FEM;SG
پول	pieniądze	پول	pieniądz	N;SG	N;NOM;MASC;PL
پول	money	پول	money	N;SG	
عرب	arab	عرب	arab	N;SG	PROPN;NOM;MASC;SG
عرب	arabskie	عرب	arabski	N;SG	ADJ;NOM;NEUT;SG
عرب	arabski	عرب	arabski	N;SG	ADJ;NOM;MASC;SG
عرب	arabskich	عرب	arabski	N;SG	ADJ;GEN;MASC;PL
عرب	arabów	عرب	arab	N;SG	N;ACC;MASC;PL
صدا	dźwięki	صدا	dźwięk	N;SG	N;NOM;MASC;PL
صدا	sound	صدا	sounda	N;SG	
صدا	glos	صدا	glos	N;SG	V;IPFV;IND;SG;PST;FIN;ACT
صدا	audio	صدا	audio	N;SG	
برادر	bro	برادر	bro	N;SG	
اقیانوس	oceany	None	ocean	N;SG	
اقیانوس	oceanów	None	ocean	N;SG	N;GEN;MASC;PL
سریع	szybkie	سریع	szybki	ADV	ADJ;NOM;NEUT;SG
سریع	szybki	سریع	szybki	ADV	ADJ;NOM;MASC;SG
سریع	szybkie	سریع	szybki	ADV	ADJ;NOM;NEUT;SG
سریع	szybki	سریع	szybki	ADV	ADJ;NOM;MASC;SG
سریع	szybka	سریع	szybki	ADV	ADJ;NOM;FEM;SG
جوان	joan	جوان	joan	N;SG	PROPN;NOM;MASC;SG
جوان	joanna	جوان	joanna	N;SG	ADJ;NOM;FEM;SG
