operze	opéra	operz	opéra		N;MASC;SG
panna	mademoiselle	panna	Monsieur	N;NOM;FEM;SG	ADJ;FEM;SG
naukowcy	scientifiques	naukowiec	scientifique	N;NOM;MASC;PL	ADJ;MASC;PL
warren	warren	warren	warren	PROPN;NOM;MASC;SG	PROPN
castle	château	castło	château		N;MASC;SG
castle	chateau	castło	château		N;MASC;SG
uda	cuisses	udać	cuisse	V;PFV;IND;SG;3;FUT;FIN;ACT	N;FEM;PL
uda	cuisse	udać	cuisser	V;PFV;IND;SG;3;FUT;FIN;ACT	N;FEM;SG
uda	cuisses	udać	cuisse	V;PFV;IND;SG;3;FUT;FIN;ACT	N;FEM;PL
algierii	algérienne	algieria	algérien	PROPN;GEN;FEM;SG	ADJ;FEM;SG
algierii	algérien	algieria	algérien	PROPN;GEN;FEM;SG	ADJ;MASC;SG
algierii	algériens	algieria	algérien	PROPN;GEN;FEM;SG	ADJ;MASC;PL
algierii	algérie	algieria	algérie	PROPN;GEN;FEM;SG	ADJ;MASC;SG
współczesna	moderne	współczesny	moderne	N;NOM;FEM;SG	ADJ;MASC;SG
współczesna	modernes	współczesny	moderne	N;NOM;FEM;SG	ADJ;MASC;PL
współczesna	contemporains	współczesny	contemporain	N;NOM;FEM;SG	ADJ;MASC;PL
współczesna	contemporain	współczesny	contemporain	N;NOM;FEM;SG	ADJ;MASC;SG
współczesna	contemporaine	współczesny	contemporain	N;NOM;FEM;SG	ADJ;FEM;SG
włącznie	inclusif	włącznie	inclusif	ADV	ADJ;MASC;SG
włącznie	inclusive	włącznie	inclusif	ADV	ADJ;FEM;SG
psy	psy	pies	psy	N;NOM;MASC;PL	N;MASC;SG
psy	chien	pies	chien	N;NOM;MASC;PL	N;MASC;SG
psy	chien	pies	chien	N;NOM;MASC;PL	N;MASC;SG
psy	chienne	pies	chienne	N;NOM;MASC;PL	N;FEM;SG
apg	apg	apg	apg		N;FEM;SG
liczyć	compte	liczyć	compte	V;IPFV;NFIN;ACT	N;MASC;SG
liczyć	comte	liczyć	comte	V;IPFV;NFIN;ACT	N;MASC;SG
liczyć	comptage	liczyć	comptage	V;IPFV;NFIN;ACT	N;MASC;SG
liczyć	décompte	liczyć	décompter	V;IPFV;NFIN;ACT	N;MASC;SG
warstwa	strates	warstwa	strate	N;NOM;FEM;SG	N;FEM;PL
pomiaru	mesurer	pomiar	mesurer	N;GEN;MASC;SG	V;NFIN
pomiaru	mesures	pomiar	mesure	N;GEN;MASC;SG	N;FEM;PL
pomiaru	mesurer	pomiar	mesurer	N;GEN;MASC;SG	V;NFIN
osobowości	personnalités	osobowość	personnalité	N;GEN;FEM;SG	N;FEM;PL
kamiński	kamiński	kamiński	kamiński	PROPN;NOM;MASC;SG	PROPN
seulu	séoul	seul	séoul	PROPN;NOM;MASC;SG	PROPN
poprzednie	ancien	poprzednie	ancien		ADJ;MASC;SG
poprzednie	ancienne	poprzednie	ancien		ADJ;FEM;SG
poprzednie	précédentes	poprzednie	précédent		ADJ;FEM;PL
poprzednie	précédente	poprzednie	précédent		ADJ;FEM;SG
poprzednie	précédent	poprzednie	précédent		ADJ;MASC;SG
poprzednie	précédents	poprzednie	précédent		ADJ;MASC;PL
maryland	maryland	maryland	maryland	N;NOM;MASC;SG	PROPN
electric	électrique	electric	électrique		ADJ;MASC;SG
electric	electrique	electric	electrique		ADJ;MASC;SG
keith	keith	keith	keith	PROPN;NOM;MASC;SG	PROPN
naczynia	vaisselle	naczynie	vaisselle	N;NOM;NEUT;PL	N;FEM;SG
zastąpić	remplacement	zastąpić	remplacement	V;PFV;NFIN;ACT	N;MASC;SG
zastąpić	suppléant	zastąpić	suppléent	V;PFV;NFIN;ACT	N;MASC;SG
zastąpić	remplaçants	zastąpić	remplaçant	V;PFV;NFIN;ACT	N;MASC;PL
reakcje	réaction	reakcja	réaction	N;NOM;FEM;PL	N;FEM;SG
ekipa	équipages	ekipa	équipage	N;NOM;FEM;SG	N;MASC;PL
reklamy	annonces	reklama	annonce	N;ACC;FEM;SG	N;FEM;PL
reklamy	publicités	reklama	publicité	N;ACC;FEM;SG	N;FEM;PL
reklamy	publicités	reklama	publicité	N;ACC;FEM;SG	N;FEM;PL
reklamy	publicitaire	reklama	publicitaire	N;ACC;FEM;SG	ADJ;MASC;SG
reklamy	publicités	reklama	publicité	N;ACC;FEM;SG	N;FEM;PL
odznaki	badges	odznak	badge	V;IPFV;IND;SG;3;FIN;ACT	N;MASC;PL
odznaki	insignes	odznak	insigne	V;IPFV;IND;SG;3;FIN;ACT	N;MASC;PL
kent	kent	kent	kent	PROPN;NOM;MASC;SG	PROPN
zestawienie	sommaire	zestawienie	sommaire	N;NOM;NEUT;SG	ADJ;MASC;SG
zestawienie	récapitulatif	zestawienie	récapitulatif	N;NOM;NEUT;SG	ADJ;MASC;SG
zestawienie	résumé	zestawienie	résumé	N;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
pomocnicze	auxiliaires	pomocniczy	auxiliaire	ADJ;NOM;NEUT;SG	N;MASC;PL
mali	malien	mala	malien		ADJ;MASC;SG
mali	mali	mala	mali		N;MASC;SG
pruski	prusse	pruski	prusse	ADJ;NOM;MASC;SG	N;FEM;SG
początkowa	initiales	początkowy	initial	ADJ;NOM;FEM;SG	ADJ;FEM;PL
pacific	pacifique	pacifica	pacifique	N;NOM;MASC;SG	ADJ;MASC;SG
ralph	ralph	ralph	ralph	PROPN;NOM;MASC;SG	N;MASC;PL
todd	todd	todd	todd	PROPN;NOM;MASC;SG	PROPN
joan	joan	joan	joan	PROPN;NOM;MASC;SG	PROPN
global	global	global	global		ADJ;MASC;SG
global	mondiale	global	mondial		ADJ;FEM;SG
global	mondial	global	mondial		ADJ;MASC;SG
global	mondiaux	global	mondial		ADJ;MASC;PL
karla	karla	karla	karla		PROPN
karla	karl	karla	karl		N;MASC;SG
stwierdzenie	énoncé	stwierdzenie	énoncer	N;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
zwalczania	combattre	zwalczać	combattre	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	V;NFIN
powszechne	universal	powszechny	universal	ADJ;NOM;NEUT;SG	PROPN
powszechne	universels	powszechny	universel	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
fotografie	photographie	fotografia	photographie	N;NOM;FEM;PL	N;FEM;SG
fotografie	photographique	fotografia	photographique	N;NOM;FEM;PL	ADJ;MASC;SG
zależne	dépendant	zależny	dépendre	ADJ;NOM;NEUT;SG	V;PRS;V.PTCP
zależne	dépendantes	zależny	dépendant	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
zależne	dépendants	zależny	dépendant	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
zależne	filiales	zależny	filiale	ADJ;NOM;NEUT;SG	N;FEM;PL
niebieskie	bleu	niebieski	bleu	ADJ;NOM;NEUT;SG	N;MASC;SG
niebieskie	bleus	niebieski	bleu	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
niebieskie	bleues	niebieski	bleu	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
zenon	zenon	zenon	zenon	PROPN;NOM;MASC;SG	PROPN
uam	uam	u	uam		PROPN
niszczyciele	destructeurs	niszczyciel	destructeur	N;NOM;MASC;PL	ADJ;MASC;PL
niszczyciele	destroyer	niszczyciel	destroyer	N;NOM;MASC;PL	N;MASC;SG
owoców	fruitières	owóc	fruitier	N;GEN;MASC;PL	ADJ;FEM;PL
pius	pius	pius	pius	PROPN;NOM;MASC;SG	PROPN
pius	pie	pius	pie	PROPN;NOM;MASC;SG	N;MASC;SG
męski	mâle	męski	mâle	ADJ;NOM;MASC;SG	N;MASC;SG
męski	homme	męski	homme	ADJ;NOM;MASC;SG	N;MASC;SG
męski	masculins	męski	masculin	ADJ;NOM;MASC;SG	ADJ;MASC;PL
tarnów	tarnów	tarny	tarnów		PROPN
weryfikacji	vérifications	weryfikacja	vérification	N;GEN;FEM;SG	N;FEM;PL
chińskich	chinois	chiński	chinois	ADJ;GEN;MASC;PL	ADJ;MASC;SG
chińskich	chinoise	chiński	chinois	ADJ;GEN;MASC;PL	ADJ;FEM;SG
uznawane	reconnu	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uznawane	reconnues	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
uznawane	reconnue	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
uznawane	reconnus	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
uznawane	reconnu	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uznawane	reconnues	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
uznawane	reconnue	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
uznawane	reconnus	uznawać	reconnaître	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
używanie	utiliser	używać	utiliser	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN
używanie	utilisant	używać	utiliser	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;PRS;V.PTCP
cząstek	particule	cząstka	particule	N;GEN;FEM;PL	N;FEM;SG
przypuszczalnie	supposé	przypuszczalnie	supposer	ADV	V;MASC;SG;PST;V.PTCP
duchu	fantômes	duch	fantôme	N;ACC;MASC;SG	N;MASC;PL
duchu	spirit	duch	spirit	N;ACC;MASC;SG	PROPN
komputerów	informatique	komputer	informatique	N;GEN;MASC;PL	ADJ;MASC;SG
amt	amt	amt	amt		N;MASC;SG
niebo	heaven	niebo	heaven	N;NOM;NEUT;SG	PROPN
niebo	cieux	niebo	ciel	N;NOM;NEUT;SG	N;MASC;PL
niebo	sky	niebo	sky	N;NOM;NEUT;SG	PROPN
niebo	ciels	niebo	ciel	N;NOM;NEUT;SG	N;MASC;PL
niebo	ciels	niebo	ciel	N;NOM;NEUT;SG	N;MASC;PL
niebo	cieux	niebo	ciel	N;NOM;NEUT;SG	N;MASC;PL
kłopoty	trouble	kłopot	trouble	N;ACC;MASC;PL	ADJ;MASC;SG
kłopoty	perturbation	kłopot	perturbation	N;ACC;MASC;PL	N;FEM;SG
kłopoty	troubles	kłopot	trouble	N;ACC;MASC;PL	ADJ;MASC;PL
węgierska	hongroises	węgierski	hongrois	ADJ;NOM;FEM;SG	ADJ;FEM;PL
cleveland	cleveland	cleveland	cleveland	N;NOM;MASC;SG	PROPN
tłumaczy	traducteurs	tłumaczyć	traducteur	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
tłumaczy	traducteur	tłumaczyć	traducteur	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
wood	bois	wood	bois		N;MASC;SG
odkryte	découvert	odkryć	découvrir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
odkryte	découverts	odkryć	découvrir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
odkryte	découvert	odkryć	découvrir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
odkryte	découverts	odkryć	découvrir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
odkryte	découvertes	odkryć	découvrir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
mont	mont	mont	mont		N;MASC;SG
franciszkanów	franciscain	franciszkan	franciscain	N;ACC;MASC;PL	N;MASC;SG
classic	classic	classicie	classic		N;MASC;SG
classic	classique	classicie	classique		ADJ;MASC;SG
classic	classiques	classicie	classique		ADJ;MASC;PL
pat	impasse	pat	impasse		N;FEM;SG
pat	pat	pat	pat		PROPN
solidarność	solidarités	solidarność	solidarité	N;NOM;FEM;SG	N;FEM;PL
solidarność	solidaire	solidarność	solidaire	N;NOM;FEM;SG	ADJ;MASC;SG
solidarność	solidaires	solidarność	solidaire	N;NOM;FEM;SG	ADJ;MASC;PL
castro	castro	castro	castro	PROPN;NOM;MASC;SG	PROPN
zalecenia	recommandation	zalecenie	recommandation	N;NOM;NEUT;PL	N;FEM;SG
roberts	roberts	roberts	robert	PROPN;NOM;MASC;SG	PROPN
róża	rose	róża	rose		ADJ;FEM;SG
róża	rosé	róża	rosé		V;MASC;SG;PST;V.PTCP
róża	rosa	róża	rosa		PROPN
armaty	cannon	armata	cannon	N;ACC;FEM;SG	PROPN
armaty	canons	armata	canon	N;ACC;FEM;SG	N;MASC;PL
armaty	canons	armata	canon	N;ACC;FEM;SG	N;MASC;PL
jung	jeong	junga	jeong	PROPN;NOM;MASC;SG	PROPN
jung	jung	junga	jung	PROPN;NOM;MASC;SG	PROPN
dowody	justificatif	dowód	justificatif	N;NOM;MASC;PL	ADJ;MASC;SG
dowody	preuve	dowód	preuve	N;NOM;MASC;PL	N;FEM;SG
dowody	preuve	dowód	preuve	N;NOM;MASC;PL	N;FEM;SG
zachowany	conservés	zachować	conserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zachowany	conservées	zachować	conserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
zachowany	conservé	zachować	conserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zachowany	retenue	zachować	retenir	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zachowany	retenu	zachować	retenir	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zachowany	préservée	zachować	préserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zachowany	préservé	zachować	préserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zachowany	conservés	zachować	conserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zachowany	préservés	zachować	préserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zachowany	conservées	zachować	conserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
zachowany	préservées	zachować	préserver	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
amerykanie	américains	amerykanin	américain	N;NOM;MASC;PL	ADJ;MASC;PL
ósemka	huit	ósemka	huit	N;NOM;FEM;SG	NUM
ósemka	eight	ósemka	eight	N;NOM;FEM;SG	PROPN
obsługiwane	supportés	obsługiwać	supporter	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
obsługiwane	appuyé	obsługiwać	appuyer	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
obsługiwane	soutenue	obsługiwać	soutenir	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
obsługiwane	soutenu	obsługiwać	soutenir	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
obsługiwane	supporté	obsługiwać	supporter	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
obsługiwane	fonctionné	obsługiwać	fonctionner	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
obsługiwane	exploitée	obsługiwać	exploiter	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
obsługiwane	opéré	obsługiwać	opérer	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
notowania	citations	notować	citation	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;FEM;PL
notowania	cotations	notować	cotation	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;FEM;PL
impreza	parti	impreza	partir	N;NOM;FEM;SG	V;MASC;SG;PST;V.PTCP
uszkodzony	endommagé	uszkodzić	endommager	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uszkodzony	endommagées	uszkodzić	endommager	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
uszkodzony	endommagés	uszkodzić	endommager	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
uszkodzony	abîmés	uszkodzić	abîmer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
uszkodzony	abîmé	uszkodzić	abîmer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uszkodzony	endommagée	uszkodzić	endommager	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
uszkodzony	corrompu	uszkodzić	corrompre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uszkodzony	corrompue	uszkodzić	corrompre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
uszkodzony	corrompues	uszkodzić	corrompre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
uszkodzony	corrompus	uszkodzić	corrompre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
uszkodzony	défectueuses	uszkodzić	défectueux	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;FEM;PL
kierunki	itinéraire	kierunek	itinéraire	N;NOM;MASC;PL	N;MASC;SG
airways	airways	airways	airway		PROPN
trofeum	trophées	trofeum	trophée	N;ACC;MASC;SG	N;MASC;PL
legia	légions	legia	légion		N;FEM;PL
legia	légion	legia	légion		N;FEM;SG
legia	legia	legia	legia		N;MASC;SG
zniszczenie	ravages	zniszczyć	ravage	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;MASC;PL
zniszczenie	destructions	zniszczyć	destruction	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;FEM;PL
libertadores	libertadores	libertadores	libertadore	N;NOM;MASC;SG	PROPN
zabrze	zabrze	zabrze	zabrze	PROPN;NOM;MASC;SG	N;MASC;SG
iran	iranienne	iran	iranien	PROPN;NOM;MASC;SG	ADJ;FEM;SG
iran	iran	iran	iran	PROPN;NOM;MASC;SG	PROPN
icao	oaci	icao	oaci		PROPN
icao	icao	icao	icao		PROPN
han	han	han	han	PROPN;NOM;MASC;SG	PROPN
pisanie	taper	pisać	taper	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN
pisanie	ecrire	pisać	ecrire	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN
pisanie	écrire	pisać	écrire	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN
olympic	olympic	olympic	olympic		PROPN
olympic	olympique	olympic	olympique		ADJ;MASC;SG
olympic	olympiques	olympic	olympique		ADJ;MASC;PL
słownika	dictionnaires	słownik	dictionnaire	N;GEN;MASC;SG	N;MASC;PL
dochód	revenus	dochód	revenu	N;NOM;MASC;SG	N;MASC;PL
dochód	revenu	dochód	revenir	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
dochód	recettes	dochód	recette	N;NOM;MASC;SG	N;FEM;PL
dochód	revenu	dochód	revenir	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
dochód	revenus	dochód	revenu	N;NOM;MASC;SG	N;MASC;PL
winter	hiver	winter	hiver		N;MASC;SG
winter	hivers	winter	hiver		N;MASC;PL
poprawki	correction	poprawka	correction	N;ACC;FEM;PL	N;FEM;SG
zhang	zhang	zhang	zhang	PROPN;NOM;MASC;SG	PROPN
anioł	angélique	anioł	angélique	N;NOM;MASC;SG	ADJ;MASC;SG
anioł	angel	anioł	angel	N;NOM;MASC;SG	PROPN
anioł	anges	anioł	ange	N;NOM;MASC;SG	N;MASC;PL
seattle	seattle	seatle	seattle	PROPN;NOM;MASC;SG	PROPN
łączna	cumulée	łączny	cumuler	ADJ;NOM;FEM;SG	V;FEM;SG;PST;V.PTCP
łączna	cumul	łączny	cumul	ADJ;NOM;FEM;SG	N;MASC;SG
łączna	cumulé	łączny	cumuler	ADJ;NOM;FEM;SG	V;MASC;SG;PST;V.PTCP
łączna	cumulés	łączny	cumuler	ADJ;NOM;FEM;SG	V;MASC;PL;PST;V.PTCP
zbędne	superflues	zbędny	superflue	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
zbędne	superflus	zbędny	superflus	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
zbędne	inutiles	zbędny	inutile	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
zawartych	conclu	zawrzeć	conclure	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zawartych	conclue	zawrzeć	conclure	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zawartych	conclus	zawrzeć	conclure	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
santo	santo	santo	santo	PROPN;NOM;MASC;SG	PROPN
bristol	bristol	bristol	bristol	PROPN;NOM;MASC;SG	N;MASC;SG
jolanta	jolanta	jolant	jolanta	PROPN;NOM;FEM;SG	V;PRS;V.PTCP
traci	traci	tracić	traci	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
traci	perdent	tracić	perdre	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
działki	colis	działka	colis	N;ACC;FEM;PL	N;MASC;SG
działki	parcelle	działka	parcelle	N;ACC;FEM;PL	N;FEM;SG
działki	colis	działka	colis	N;ACC;FEM;PL	N;MASC;SG
działki	complot	działka	complot	N;ACC;FEM;PL	N;MASC;SG
działki	parcelle	działka	parcelle	N;ACC;FEM;PL	N;FEM;SG
krajowym	domestiques	krajowy	domestique	ADJ;INS;MASC;SG	ADJ;MASC;PL
nazwane	nommée	nazwać	nommer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
nazwane	nommé	nazwać	nommer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
nazwane	nommés	nazwać	nommer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
autorskie	copyright	autorski	copyright	ADJ;NOM;NEUT;SG	N;MASC;SG
równanie	équations	równać	équation	N;NOM;NEUT;SG	N;FEM;PL
davisa	davis	davisa	davis		PROPN
rzekomo	prétendument	rzekomo	prétendument	N;DAT;FEM;PL	ADV
więzień	prisonnière	więzienie	prisonnier	N;GEN;NEUT;PL	ADJ;FEM;SG
więzień	prisonnier	więzienie	prisonnier	N;GEN;NEUT;PL	N;MASC;SG
więzień	détenu	więzienie	détenir	N;GEN;NEUT;PL	V;MASC;SG;PST;V.PTCP
więzień	détenue	więzienie	détenir	N;GEN;NEUT;PL	V;FEM;SG;PST;V.PTCP
więzień	détenu	więzienie	détenir	N;GEN;NEUT;PL	V;MASC;SG;PST;V.PTCP
więzień	prisonnier	więzienie	prisonnier	N;GEN;NEUT;PL	N;MASC;SG
poinformował	informés	poinformować	informer	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
jasno	brillant	jasno	brillant	ADV	ADJ;MASC;SG
jasno	bright	jasno	bright	ADV	PROPN
jasno	lumineux	jasno	lumineux	ADV	ADJ;MASC;SG
kuba	cuba	kuba	cuba	PROPN;NOM;MASC;SG	PROPN
utc	utc	utco	utc		N;MASC;SG
utc	tuc	utco	tuc		
felix	felix	felix	felix	PROPN;NOM;MASC;SG	PROPN
felix	félix	felix	félix	PROPN;NOM;MASC;SG	PROPN
aktualne	courant	aktualny	courir	ADJ;NOM;NEUT;SG	V;PRS;V.PTCP
aktualne	actuels	aktualny	actuel	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
franka	franck	franek	franck		PROPN
franka	frank	franek	frank		PROPN
ujednoznacznienie	homonymie	ujednoznacznić	homonymie	N;PFV;NOM;NEUT;SG;POS;V.MSDR	ADJ;FEM;SG
dachau	dachau	dachau	dachau	PROPN;NOM;MASC;SG	PROPN
dziwne	strange	dziwny	strange	ADJ;NOM;NEUT;SG	PROPN
dziwne	impair	dziwny	impair	ADJ;NOM;NEUT;SG	N;MASC;SG
dziwne	odd	dziwny	odd	ADJ;NOM;NEUT;SG	PROPN
gerard	gérard	gerard	gérard	N;NOM;MASC;SG	PROPN
gerard	gérard	gerard	gérard	N;NOM;MASC;SG	PROPN
gerard	gerard	gerard	gerard	N;NOM;MASC;SG	PROPN
zagraniczne	sortant	zagraniczny	sortir	ADJ;NOM;NEUT;SG	V;PRS;V.PTCP
zagraniczne	sortants	zagraniczny	sortant	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
zagraniczne	étranger	zagraniczny	étranger	ADJ;NOM;NEUT;SG	N;MASC;SG
zagraniczne	etranger	zagraniczny	etranger	ADJ;NOM;NEUT;SG	N;MASC;SG
zagraniczne	étrangères	zagraniczny	étranger	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
wyrzutni	lanceur	wyrzutniać	lanceur	V;IPFV;IND;SG;FIN;ACT	N;MASC;SG
turynie	turin	turyn	turin	PROPN;NOM;MASC;SG	PROPN
recenzji	examens	recenzja	examen	V;IPFV;IND;SG;2;FIN;ACT	N;MASC;PL
recenzji	critiques	recenzja	critique	V;IPFV;IND;SG;2;FIN;ACT	N;MASC;PL
urban	urbain	urbany	urbain		ADJ;MASC;SG
urban	urbaines	urbany	urbain		ADJ;FEM;PL
urban	urbains	urbany	urbain		ADJ;MASC;PL
zaatakował	attaqués	zaatakować	attaquer	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
turystyczna	touriste	turystyczny	touriste	ADJ;NOM;FEM;SG	N;MASC;SG
symboli	symboles	symbolia	symbole		N;MASC;PL
podania	applications	podać	application	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;FEM;PL
podania	demandes	podać	demande	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;FEM;PL
zabił	tués	zabić	tuer	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
rzeczywistość	réalités	rzeczywistość	réalité	N;NOM;FEM;SG	N;FEM;PL
korporacji	sociétés	korporacja	société	N;GEN;FEM;SG	N;FEM;PL
twierdza	forteresses	twierdzać	forteresse		N;FEM;PL
twierdza	forteresse	twierdzać	forteresse		N;FEM;SG
obserwacje	observation	obserwacja	observation	N;NOM;FEM;PL	N;FEM;SG
satelity	satellite	satelita	satellite	N;ACC;FEM;PL	N;MASC;SG
szyi	nuque	szyi	nuque		N;FEM;SG
