در	porta	در	porta	ADP	N;FEM;SG
بازگشت	voltou	بازگشت	voltar	N;SG	V;IND;SG;3;PST;FIN
بازگشت	devolvido	بازگشت	devolver	N;SG	V;MASC;SG;V.PTCP
بانک	bancos	بانک	banco	N;SG	N;MASC;PL
مکزیک	mexicanos	مکزیک	mexicano	N;SG	N;MASC;PL
مکزیک	mexicanas	مکزیک	mexicano	N;SG	N;FEM;PL
عملیات	funcionamento	عملیات	funcionamento	N;PL	N;MASC;SG
عملیات	operação	عملیات	operação	N;PL	N;FEM;SG
نقل	citar	نقل	citar	N;SG	V;NFIN
نقل	derivado	نقل	derivado	N;SG	V;MASC;SG;V.PTCP
نقل	derivada	نقل	derivar	N;SG	V;FEM;SG;V.PTCP
نقل	derivadas	نقل	derivar	N;SG	V;FEM;PL;V.PTCP
ترک	deixe	ترک	deixar	N;SG	V;SBJV;SG;3;PRS;FIN
ترک	sair	ترک	sair	N;SG	V;NFIN
ترک	deixar	ترک	deixar	N;SG	V;NFIN
ترک	desistir	ترک	desistir	N;SG	V;NFIN
ترک	saindo	ترک	sair	N;SG	V;V.MSDR
ترک	partindo	ترک	partir	N;SG	V;V.MSDR
ترک	deixando	ترک	deixar	N;SG	V;V.MSDR
ترک	deixar	ترک	deixar	N;SG	V;NFIN
نشر	solte	نشر	soltar	N;SG	V;SBJV;SG;3;PRS;FIN
نشر	emissões	نشر	emissão	N;SG	N;FEM;PL
نشر	publicar	نشر	publicar	N;SG	V;NFIN
نشر	publicando	نشر	publicar	N;SG	V;V.MSDR
سفر	viajar	سفر	viajar	N;SG	V;NFIN
سفر	viaje	سفر	viaje	N;SG	V;SBJV;SG;3;PRS;FIN
سفر	viagens	سفر	viagem	N;SG	N;FEM;PL
سفر	viajando	سفر	viajar	N;SG	V;V.MSDR
سفر	viajar	سفر	viajar	N;SG	V;NFIN
پاریس	paris	پاریس	pari	N;SG	PROPN;MASC;SG
توصیف	descrever	توصیف	descrever	N;SG	V;NFIN
توصیف	descreve	توصیف	descrever	N;SG	V;IND;SG;3;PRS;FIN
توصیف	descreva	توصیف	descrever	N;SG	V;SBJV;SG;3;PRS;FIN
معنای	significando	معنا	significar	N;SG	V;V.MSDR
رابطه	relações	رابطه	relação	N;SG	N;FEM;PL
رابطه	relacionamentos	رابطه	relacionamento	N;SG	N;MASC;PL
رابطه	relacionamentos	رابطه	relacionamento	N;SG	N;MASC;PL
مراسم	cerimónia	مراسم	cerimónia	N;PL	N;FEM;SG
مراسم	cerimônia	مراسم	cerimônia	N;PL	N;FEM;SG
اتریش	austríaca	اتریش	austríaco	N;SG	ADJ;FEM;SG
اتریش	austríacos	اتریش	austríaco	N;SG	ADJ;MASC;PL
اتریش	austríaco	اتریش	austríaco	N;SG	ADJ;MASC;SG
پر	cheia	پر	cheio	N;SG	ADJ;FEM;SG
پر	plena	پر	pleno	N;SG	ADJ;FEM;SG
پر	pleno	پر	pleno	N;SG	ADJ;MASC;SG
پر	cheio	پر	cheio	N;SG	ADJ;MASC;SG
پر	penas	پر	pena	N;SG	N;FEM;PL
پر	plumas	پر	pluma	N;SG	N;FEM;PL
پر	penas	پر	pena	N;SG	N;FEM;PL
دستور	encomendar	دستور	encomendar	N;SG	V;NFIN
دستور	ordens	دستور	ordem	N;SG	N;FEM;PL
دستور	encomendas	دستور	encomenda	N;SG	N;FEM;PL
تیره	escura	تیره	escuro	N;SG	ADJ;FEM;SG
تیره	sombrio	تیره	sombrio	N;SG	ADJ;MASC;SG
تیره	escuro	تیره	escuro	N;SG	ADJ;MASC;SG
دوست	gostou	دوست	gostar	N;SG	V;IND;SG;3;PST;FIN
دوست	curtido	دوست	curtido	N;SG	V;MASC;SG;V.PTCP
دوست	gostei	دوست	gostar	N;SG	V;IND;SG;1;PST;FIN
دوست	gostava	دوست	gostar	N;SG	V;IND;SG;3;IPFV;FIN
دوست	amo	دوست	amo	N;SG	V;IND;SG;1;PRS;FIN
هفت	haft	هفت	haft	NUM	N;MASC;SG
حل	resolver	حل	resolver	N;SG	V;NFIN
حل	resolve	حل	resolver	N;SG	V;IND;SG;3;PRS;FIN
حل	resolvendo	حل	resolver	N;SG	V;V.MSDR
حل	resolvidos	حل	resolver	N;SG	V;MASC;PL;V.PTCP
حل	resolveu	حل	resolver	N;SG	V;IND;SG;3;PST;FIN
حل	resolvido	حل	resolver	N;SG	V;MASC;SG;V.PTCP
حل	resolvi	حل	resolver	N;SG	V;IND;SG;1;PST;FIN
حل	resolve	حل	resolver	N;SG	V;IND;SG;3;PRS;FIN
حل	solucionar	حل	solucionar	N;SG	V;NFIN
حل	resolver	حل	resolver	N;SG	V;NFIN
حل	resolva	حل	resolver	N;SG	V;SBJV;SG;3;PRS;FIN
تصمیم	decisões	تصمیم	decisão	N;SG	N;FEM;PL
تصمیم	decidir	تصمیم	decidir	N;SG	V;NFIN
تصمیم	decida	تصمیم	decidir	N;SG	V;SBJV;SG;3;PRS;FIN
تصمیم	decidam	تصمیم	decidar	N;SG	V;SBJV;PL;3;PRS;FIN
تصمیم	decide	تصمیم	decidir	N;SG	V;IND;SG;3;PRS;FIN
تلاش	tentada	تلاش	tentar	N;SG	V;FEM;SG;V.PTCP
تلاش	tentar	تلاش	tentar	N;SG	V;NFIN
تلاش	tentando	تلاش	tentar	N;SG	V;V.MSDR
تلاش	esforços	تلاش	esforço	N;SG	N;MASC;PL
هزاره	hazara	هزاره	hazar	N;SG	V;IND;SG;3;FIN
ماده	feminino	ماده	feminino	N;SG	ADJ;MASC;SG
بدست	adquirida	بدست	adquirir	N;SG	V;FEM;SG;V.PTCP
بدست	adquiridos	بدست	adquirir	N;SG	V;MASC;PL;V.PTCP
بدست	adquiridas	بدست	adquirir	N;SG	V;FEM;PL;V.PTCP
بدست	adquirido	بدست	adquirir	N;SG	V;MASC;SG;V.PTCP
آموزشی	educacionais	آموزشی	educacional	ADJ	N;MASC;PL
آموزشی	educação	آموزشی	educação	ADJ	N;FEM;SG
آموزشی	formação	آموزشی	formação	ADJ	N;FEM;SG
آموزشی	treinamento	آموزشی	treinamento	ADJ	N;MASC;SG
آموزشی	treinos	آموزشی	treino	ADJ	N;MASC;PL
آموزشی	treino	آموزشی	treino	ADJ	N;MASC;SG
بلژیک	belgas	بلژیک	belga	N;SG	N;MASC;PL
ارزش	valendo	ارزش	valer	N;SG	V;V.MSDR
اصل	montantes	اصل	montante	N;SG	N;MASC;PL
اصل	somas	اصل	soma	N;SG	N;FEM;PL
اصل	importâncias	اصل	importância	N;SG	N;FEM;PL
مربع	quadrados	مربع	quadrados	N;SG	N;MASC;PL
شریک	parceiras	None	parceira	N;SG	N;FEM;PL
شریک	sócios	None	sócio	N;SG	N;MASC;PL
شریک	parceiros	None	parceiro	N;SG	N;MASC;PL
تعیین	avalie	تعیین	avalie	N;SG	V;IND;SG;3;PRS;FIN
تعیین	avaliar	تعیین	avaliar	N;SG	V;NFIN
تعیین	determinar	تعیین	determinar	N;SG	V;NFIN
تعیین	determina	تعیین	determinar	N;SG	V;IND;SG;3;PRS;FIN
تعیین	determinam	تعیین	determinar	N;SG	V;IND;PL;3;PRS;FIN
تعیین	determine	تعیین	determinar	N;SG	V;SBJV;SG;3;PRS;FIN
مسابقه	corridas	مسابقه	corrida	N;SG	N;FEM;PL
گرم	quente	گرم	quente	ADJ	N;MASC;SG
گرم	gostosa	گرم	gostoso	ADJ	N;FEM;SG
گرم	quente	گرم	quente	ADJ	N;MASC;SG
گرم	aquecida	گرم	aquecer	ADJ	V;FEM;SG;V.PTCP
گرم	aqueceu	گرم	aquecer	ADJ	V;IND;SG;3;PST;FIN
گرم	aquecidos	گرم	aquecer	ADJ	V;MASC;PL;V.PTCP
گرم	aquecido	گرم	aquecer	ADJ	V;MASC;SG;V.PTCP
پاسخ	responde	پاسخ	responder	N;SG	V;IND;SG;3;PRS;FIN
پاسخ	responder	پاسخ	responder	N;SG	V;NFIN
پاسخ	responda	پاسخ	responder	N;SG	V;SBJV;SG;3;PRS;FIN
پاسخ	responde	پاسخ	responder	N;SG	V;IND;SG;3;PRS;FIN
پاسخ	responder	پاسخ	responder	N;SG	V;NFIN
پاسخ	responda	پاسخ	responder	N;SG	V;SBJV;SG;3;PRS;FIN
درآمد	receitas	درآمد	receita	N;SG	N;FEM;PL
درآمد	ganhos	درآمد	ganho	N;SG	N;MASC;PL
درآمد	receitas	درآمد	receita	N;SG	N;FEM;PL
درآمد	proveitos	درآمد	proveito	N;SG	N;MASC;PL
درآمد	rendimentos	درآمد	rendimento	N;SG	N;MASC;PL
بازبینی	rever	بازبینی	rever	N;SG	V;NFIN
بازبینی	revisões	بازبینی	revisão	N;SG	N;FEM;PL
سبز	green	سبز	green	ADJ	N;MASC;SG
سبز	verdes	سبز	verdes	ADJ	N;MASC;PL
حد	limitar	حد	limitar	N;SG	V;NFIN
آرژانتین	argentinos	آرژانتین	argentino	N;SG	N;MASC;PL
اش	ash	او	ash	PRO;SG;3	N;MASC;SG
اش	cinza	او	cinza	PRO;SG;3	N;FEM;SG
اش	cinzas	او	cinza	PRO;SG;3	N;FEM;PL
تجاری	comerciais	تجاری	comercial	N;SG	N;MASC;PL
تجاری	comercial	تجاری	comercial	N;SG	ADJ;MASC;SG
اصلاح	correções	اصلاح	correção	N;SG	N;FEM;PL
اصلاح	correcções	اصلاح	correcção	N;SG	N;FEM;PL
اصلاح	reformar	اصلاح	reformar	N;SG	V;NFIN
اصلاح	reformas	اصلاح	reforma	N;SG	N;FEM;PL
کلمبیا	colombiano	کلمبیا	colombiano	N;SG	ADJ;MASC;SG
کلمبیا	colombianos	کلمبیا	colombiano	N;SG	N;MASC;PL
کلمبیا	colombiana	کلمبیا	colombiano	N;SG	ADJ;FEM;SG
خوبی	boa	خوبی	bom	N;SG	ADJ;FEM;SG
خوبی	bom	خوبی	bom	N;SG	ADJ;MASC;SG
خوبی	boa	خوبی	bom	N;SG	ADJ;FEM;SG
خوبی	bom	خوبی	bom	N;SG	ADJ;MASC;SG
خوبی	legal	خوبی	legal	N;SG	ADJ;MASC;SG
مشاهده	visualizando	مشاهده	visualizar	N;SG	V;V.MSDR
یهودی	judeus	یهودی	judeu	N;SG	N;MASC;PL
یهودی	judeus	یهودی	judeu	N;SG	N;MASC;PL
جاده	europeias	جاده	europeia	N;SG	N;FEM;PL
روم	romana	None	romano		N;FEM;SG
روم	romanas	None	romano		N;FEM;PL
روم	roman	None	roman		N;MASC;SG
روم	romano	None	romano		N;MASC;SG
روم	romanos	None	romano		N;MASC;PL
روم	roma	None	roma		N;FEM;SG
آهنگ	sintonizar	آهنگ	sintonizar	N;SG	V;NFIN
بزرگی	grande	بزرگی	grande	N;SG	ADJ;MASC;SG
بزرگی	grandes	بزرگی	grande	N;SG	N;MASC;PL
بزرگی	enormes	بزرگی	enorme	N;SG	ADJ;MASC;PL
بزرگی	enorme	بزرگی	enorme	N;SG	ADJ;MASC;SG
گرفتن	levando	گرفتن	levar	N;SG	V;V.MSDR
گرفتن	tomando	گرفتن	tomar	N;SG	V;V.MSDR
گرفتن	apanha	گرفتن	apanhar	N;SG	V;IND;SG;3;PRS;FIN
گرفتن	apanhar	گرفتن	apanhar	N;SG	V;NFIN
گرفتن	capturas	گرفتن	captura	N;SG	N;FEM;PL
عکس	fotografar	عکس	fotografar	N;SG	V;NFIN
عکس	fotografias	عکس	fotografia	N;SG	N;FEM;PL
عکس	fotos	عکس	foto	N;SG	N;FEM;PL
عکس	fotografias	عکس	fotografia	N;SG	N;FEM;PL
عکس	fotos	عکس	foto	N;SG	N;FEM;PL
عکس	imagens	عکس	imagem	N;SG	N;FEM;PL
ان	ann	None	ann	N;SG	PROPN;FEM;SG
جلد	cubra	جلد	cubrar	N;SG	V;SBJV;SG;3;PRS;FIN
جلد	cobrir	جلد	cobrir	N;SG	V;NFIN
همگانی	públicas	همگانی	público	N;SG	N;FEM;PL
همگانی	públicos	همگانی	público	N;SG	N;MASC;PL
ابن	eben	ابن	eben		PROPN;MASC;SG
ابن	ibn	ابن	ibn		PROPN;MASC;SG
تیتر	manchetes	تیتر	manchete	N;SG	N;FEM;PL
تیتر	cabeçalhos	تیتر	cabeçalho	N;SG	N;MASC;PL
متفاوت	variam	متفاوت	variar	ADJ	V;IND;PL;3;PRS;FIN
متفاوت	variar	متفاوت	variar	ADJ	V;NFIN
ماساچوست	massachusetts	ماساچوست	massachusetts	N;SG	N;MASC;PL
تو	tu	تو	tu	PRO;SG;2	INTJ
تو	você	تو	você	PRO;SG;2	PRO;NOM;SG;3
تو	vc	تو	vc	PRO;SG;2	PRO;NOM;MASC;SG;3
انسانی	humano	انسانی	humano	N;SG	ADJ;MASC;SG
انسانی	humanas	انسانی	humano	N;SG	N;FEM;PL
انسانی	humana	انسانی	humano	N;SG	ADJ;FEM;SG
پستانداران	mamífero	پستاندار	mamífero	N;PL	N;MASC;SG
درمان	tratando	درمان	tratar	N;SG	V;V.MSDR
درمان	curando	درمان	curar	N;SG	V;V.MSDR
درمان	tratamentos	درمان	tratamento	N;SG	N;MASC;PL
درمان	tratem	درمان	tratar	N;SG	V;SBJV;PL;3;PRS;FIN
درمان	tratar	درمان	tratar	N;SG	V;NFIN
درمان	trate	درمان	tratar	N;SG	V;SBJV;SG;3;PRS;FIN
کودکان	criança	کودک	criança	N;PL	N;FEM;SG
میانه	meados	میانه	meado	N;SG	N;MASC;PL
میانه	médio	میانه	médio	N;SG	ADJ;MASC;SG
میانه	meio	میانه	meio	N;SG	ADV
میانه	moderar	میانه	moderar	N;SG	V;NFIN
میانه	moderado	میانه	moderar	N;SG	V;MASC;SG;V.PTCP
میانه	moderados	میانه	moderar	N;SG	V;MASC;PL;V.PTCP
میانه	moderada	میانه	moderar	N;SG	V;FEM;SG;V.PTCP
اساسی	fundamentais	اساسی	fundamental	ADJ	N;MASC;PL
شش	six	شش	six	NUM	N;MASC;SG
ضد	anti	ضد	anti	ADP	N;MASC;SG
یهودیان	judaica	یهودی	judaica	N;PL	N;FEM;SG
یهودیان	judia	یهودی	judia	N;PL	N;FEM;SG
یهودیان	judeu	یهودی	judeu	N;PL	N;MASC;SG
یهودیان	judaico	یهودی	judaico	N;PL	N;MASC;SG
باستانی	antigo	باستانی	antigo	N;SG	ADJ;MASC;SG
باستانی	antigos	باستانی	antigo	N;SG	ADJ;MASC;PL
فشار	pressione	فشار	pressionar	N;SG	V;SBJV;SG;3;PRS;FIN
فشار	pressões	فشار	pressão	N;SG	N;FEM;PL
فشار	empurra	فشار	empurrar	N;SG	V;IND;SG;3;PRS;FIN
فشار	empurrar	فشار	empurrar	N;SG	V;NFIN
مسئله	problemas	مسئله	problema	N;SG	N;MASC;PL
گاز	morder	گاز	morder	N;SG	V;NFIN
گاز	morde	گاز	morde	N;SG	V;IND;SG;3;PRS;FIN
گاز	gases	گاز	gase	N;SG	N;MASC;PL
جمع	cobrar	جمع	cobrar	N;SG	V;NFIN
جمع	recolher	جمع	recolher	N;SG	V;NFIN
جمع	coletar	جمع	coletar	N;SG	V;NFIN
جمع	reunir	جمع	reunir	N;SG	V;NFIN
رخ	ocorrer	رخ	ocorrer	N;SG	V;NFIN
رخ	ocorrem	رخ	ocorrer	N;SG	V;IND;PL;3;PRS;FIN
رخ	ocorre	رخ	ocorrer	N;SG	V;IND;SG;3;PRS;FIN
جنبش	movimentos	جنبش	movimento	N;SG	N;MASC;PL
تحصیل	estuda	تحصیل	estudar	N;SG	V;IND;SG;3;PRS;FIN
تحصیل	estude	تحصیل	estude	N;SG	V;SBJV;SG;3;PRS;FIN
تحصیل	estudar	تحصیل	estudar	N;SG	V;NFIN
شیعه	xiitas	شیعه	xiita	N;SG	N;MASC;PL
سوئیس	suíços	سوئیس	suíço	N;SG	N;MASC;PL
سوئیس	suíço	سوئیس	suíço	N;SG	ADJ;MASC;SG
ارشد	seniores	ارشد	senior	N;SG	N;MASC;PL
دیوید	david	دیوید	david	N;SG	PROPN;MASC;SG
کاربردی	aplicados	کاربردی	aplicar	N;SG	V;MASC;PL;V.PTCP
کاربردی	aplicado	کاربردی	aplicar	N;SG	V;MASC;SG;V.PTCP
کاربردی	aplicadas	کاربردی	aplicar	N;SG	V;FEM;PL;V.PTCP
کاربردی	aplicou	کاربردی	aplicar	N;SG	V;IND;SG;3;PST;FIN
کاربردی	aplicada	کاربردی	aplicar	N;SG	V;FEM;SG;V.PTCP
کاربردی	aplicável	کاربردی	aplicável	N;SG	ADJ;MASC;SG
کاربردی	aplicáveis	کاربردی	aplicável	N;SG	ADJ;MASC;PL
تابع	funções	None	função	N;SG	N;FEM;PL
مهر	focas	مهر	foca	N;SG	N;FEM;PL
مهر	selos	مهر	selo	N;SG	N;MASC;PL
مهر	selados	مهر	selar	N;SG	V;MASC;PL;V.PTCP
مهر	selado	مهر	selar	N;SG	V;MASC;SG;V.PTCP
مهر	selada	مهر	selar	N;SG	V;FEM;SG;V.PTCP
مهر	lacrado	مهر	lacrar	N;SG	V;MASC;SG;V.PTCP
مهر	foca	مهر	focar	N;SG	V;IND;SG;3;PRS;FIN
اجازه	permitir	اجازه	permitir	N;SG	V;NFIN
عرضه	apresentado	عرضه	apresentar	N;SG	V;MASC;SG;V.PTCP
عرضه	apresentadas	عرضه	apresentar	N;SG	V;FEM;PL;V.PTCP
عرضه	apresentados	عرضه	apresentar	N;SG	V;MASC;PL;V.PTCP
عرضه	exposta	عرضه	expor	N;SG	V;FEM;SG;V.PTCP
عرضه	expostos	عرضه	expor	N;SG	V;MASC;PL;V.PTCP
عرضه	expostas	عرضه	expor	N;SG	V;FEM;PL;V.PTCP
عرضه	exposto	عرضه	expor	N;SG	V;MASC;SG;V.PTCP
فضایی	aliens	فضا	aliem	N;SG	N;MASC;PL
فضایی	alienígena	فضا	alienígenal	N;SG	ADJ;MASC;SG
کارهای	emprego	کار	emprego	N;PL	N;MASC;SG
دار	dar	دار	dar	N;SG	V;NFIN
طلایی	dourada	طلایی	dourar	ADJ	V;FEM;SG;V.PTCP
طلایی	dourados	طلایی	dourar	ADJ	V;MASC;PL;V.PTCP
طلایی	golden	طلایی	golden	ADJ	N;MASC;SG
طلایی	ouro	طلایی	ouro	ADJ	N;MASC;SG
طلایی	dourado	طلایی	dourar	ADJ	V;MASC;SG;V.PTCP
طلایی	ouro	طلایی	ouro	ADJ	N;MASC;SG
طلایی	gold	طلایی	gold	ADJ	N;MASC;SG
طلایی	dourado	طلایی	dourar	ADJ	V;MASC;SG;V.PTCP
ستاره	estrelas	ستاره	estrela	N;SG	N;FEM;PL
سنتی	tradicional	سنت	tradicional	N;SG	ADJ;MASC;SG
سنتی	tradicionais	سنت	tradicional	N;SG	ADJ;MASC;PL
پرورش	reprodutores	پرورش	reprodutor	N;SG	N;MASC;PL
طلا	dourado	طلا	dourar	N;SG	V;MASC;SG;V.PTCP
داشتن	ter	داشتن	ter	N;SG	V;NFIN
داشتن	tendo	داشتن	ter	N;SG	V;V.MSDR
دره	vale	دره	valer	N;SG	V;IND;SG;3;PRS;FIN
پرتغال	portugueses	پرتغال	português	N;SG	N;MASC;PL
هفته	semanas	هفته	semana	N;SG	N;FEM;PL
قرمز	vermelhas	قرمز	vermelho	N;SG	N;FEM;PL
قرمز	vermelhos	قرمز	vermelho	N;SG	N;MASC;PL
ثابت	fixo	ثابت	fixo	ADJ	N;MASC;SG
ثابت	fixas	ثابت	fixo	ADJ	N;FEM;PL
ثابت	corrigido	ثابت	corrigir	ADJ	V;MASC;SG;V.PTCP
ثابت	fixa	ثابت	fixo	ADJ	N;FEM;SG
ثابت	provada	ثابت	provar	ADJ	V;FEM;SG;V.PTCP
ثابت	comprovado	ثابت	comprovar	ADJ	V;MASC;SG;V.PTCP
ثابت	comprovada	ثابت	comprovar	ADJ	V;FEM;SG;V.PTCP
ثابت	provado	ثابت	provar	ADJ	V;MASC;SG;V.PTCP
متحد	unidas	None	unida	N;SG	N;FEM;PL
متحد	unida	None	unida	N;SG	V;FEM;SG;V.PTCP
متحد	unidos	None	unido	N;SG	N;MASC;PL
متحد	unir	None	unir	N;SG	V;NFIN
متحد	unam	None	unar	N;SG	V;SBJV;PL;3;PRS;FIN
متحد	aliado	None	aliar	N;SG	V;MASC;SG;V.PTCP
متحد	aliadas	None	aliar	N;SG	V;FEM;PL;V.PTCP
متحد	aliada	None	aliar	N;SG	V;FEM;SG;V.PTCP
متحد	aliados	None	aliado	N;SG	V;MASC;PL;V.PTCP
خبر	novidades	خبر	novidade	N;SG	N;FEM;PL
خبر	noticias	خبر	noticia	N;SG	N;FEM;PL
خبر	notícias	خبر	notícia	N;SG	N;FEM;PL
ورود	chegar	ورود	chegar	N;SG	V;NFIN
ورود	entrando	ورود	entrar	N;SG	V;V.MSDR
برجسته	distinguido	برجسته	distinguir	ADJ	V;MASC;SG;V.PTCP
برجسته	pendentes	برجسته	pendente	ADJ	N;MASC;PL
میلیارد	bilhões	میلیارد	bilhão	N;SG	N;MASC;PL
میلیارد	biliões	میلیارد	bilião	N;SG	N;MASC;PL
میلیارد	bilhões	میلیارد	bilhão	N;SG	N;MASC;PL
نقطه	pontos	نقطه	ponto	N;SG	N;MASC;PL
حفظ	manter	حفظ	manter	N;SG	V;NFIN
حفظ	preservando	حفظ	preservar	N;SG	V;V.MSDR
حفظ	preservar	حفظ	preservar	N;SG	V;NFIN
حفظ	mantendo	حفظ	manter	N;SG	V;V.MSDR
مشترک	common	مشترک	common	ADJ	N;MASC;SG
گاه	dobrar	گاه	dobrar	ADV	V;NFIN
گاه	dobragem	گاه	dobragem	ADV	N;FEM;SG
گاه	gah	گاه	gah	ADV	N;MASC;SG
فنی	técnicos	فنی	técnico	N;SG	N;MASC;PL
چشمه	termas	چشمه	terma	N;SG	N;FEM;PL
چشمه	molas	چشمه	mola	N;SG	N;FEM;PL
چشمه	nascentes	چشمه	nascente	N;SG	N;MASC;PL
چشمه	primaveras	چشمه	primavera	N;SG	N;FEM;PL
پوشش	cubra	پوشش	cubrar	N;SG	V;SBJV;SG;3;PRS;FIN
پوشش	cobrir	پوشش	cobrir	N;SG	V;NFIN
پوشش	cobrindo	پوشش	cobrir	N;SG	V;V.MSDR
پوشش	abrangendo	پوشش	abranger	N;SG	V;V.MSDR
سلطنتی	imperiais	سلطنت	imperial	N;SG	N;MASC;PL
فراهم	fornecer	فراهم	fornecer	N;SG	V;NFIN
فراهم	forneça	فراهم	fornecer	N;SG	V;SBJV;SG;3;PRS;FIN
فراهم	providenciar	فراهم	providenciar	N;SG	V;NFIN
فراهم	proporcionar	فراهم	proporcionar	N;SG	V;NFIN
زیردریایی	submarinos	زیردریایی	submarino	N;SG	N;MASC;PL
تشخیص	diagnosticar	تشخیص	diagnosticar	N;SG	V;NFIN
تشخیص	detectar	تشخیص	detectar	N;SG	V;NFIN
تشخیص	detecta	تشخیص	detectar	N;SG	V;IND;SG;3;PRS;FIN
تشخیص	detetar	تشخیص	detetar	N;SG	V;NFIN
درخت	árvores	درخت	árvore	N;SG	N;FEM;PL
درخت	arvores	درخت	arvor	N;SG	N;FEM;PL
نزدیکی	perto	نزدیک	perto	N;SG	ADV
نزدیکی	próximo	نزدیک	próximo	N;SG	ADV
تأثیر	influencia	تأثیر	influencia	N;SG	V;IND;SG;3;PRS;FIN
تأثیر	influências	تأثیر	influência	N;SG	N;FEM;PL
تأثیر	influenciar	تأثیر	influenciar	N;SG	V;NFIN
دید	viu	دید#بین	ver	N;SG	V;IND;SG;3;PST;FIN
خدمت	servi	خدمت	servir	N;SG	V;FIN
خدمت	servidos	خدمت	servido	N;SG	V;MASC;PL;V.PTCP
خدمت	servia	خدمت	servir	N;SG	V;IND;SG;3;IPFV;FIN
خدمت	serviu	خدمت	servir	N;SG	V;IND;SG;3;PST;FIN
خدمت	servido	خدمت	servido	N;SG	V;MASC;SG;V.PTCP
خدمت	servindo	خدمت	servir	N;SG	V;V.MSDR
خدمت	servir	خدمت	servir	N;SG	V;NFIN
خدمت	sirva	خدمت	servir	N;SG	V;SBJV;SG;3;PRS;FIN
خدمت	servir	خدمت	servir	N;SG	V;NFIN
خدمت	serve	خدمت	servir	N;SG	V;IND;SG;3;PRS;FIN
خدمت	servi	خدمت	servir	N;SG	V;FIN
ایرلند	irlandeses	ایرلند	irlandês	N;SG	N;MASC;PL
پرواز	voe	پرواز	voe	N;SG	V;SBJV;SG;3;PRS;FIN
پرواز	voar	پرواز	voar	N;SG	V;NFIN
پرواز	voa	پرواز	voa	N;SG	V;IND;SG;3;PRS;FIN
پرواز	voando	پرواز	voar	N;SG	V;V.MSDR
پرواز	voar	پرواز	voar	N;SG	V;NFIN
رمان	novelas	رمان	novela	N;SG	N;FEM;PL
رمان	romances	رمان	romance	N;SG	N;MASC;PL
ادبی	literária	ادبی	literária	N;SG	ADJ;FEM;SG
ادبی	literários	ادبی	literário	N;SG	N;MASC;PL
ادبی	literário	ادبی	literário	N;SG	ADJ;MASC;SG
آسیایی	asiáticas	آسیایی	asiático	N;SG	N;FEM;PL
آسیایی	asiático	آسیایی	asiático	N;SG	ADJ;MASC;SG
آسیایی	asiáticos	آسیایی	asiático	N;SG	N;MASC;PL
بنیاد	fundações	None	fundação	N;SG	N;FEM;PL
الله	allahu	الله	allahar		N;MASC;SG
الله	allah	الله	allah		N;MASC;SG
الله	alá	الله	alá		N;MASC;SG
الله	deus	الله	deu		N;MASC;SG
شهید	mártires	شهید	mártire	N;SG	N;MASC;PL
رهبری	conduzindo	رهبر	conduzir	N;SG	V;V.MSDR
رهبری	liderando	رهبر	liderar	N;SG	V;V.MSDR
رهبری	liderar	رهبر	liderar	N;SG	V;NFIN
بریتانیایی	britânico	بریتانی	britânico	N;SG	ADJ;MASC;SG
بریتانیایی	britânicos	بریتانی	britânico	N;SG	N;MASC;PL
تحقیقات	investigação	تحقیق	investigação	N;PL	N;FEM;SG
تحقیقات	investigação	تحقیق	investigação	N;PL	N;FEM;SG
تحقیقات	pesquisa	تحقیق	pesquisa	N;PL	N;FEM;SG
کلاسیک	clássicos	کلاسیک	clássico	N;SG	N;MASC;PL
کلاسیک	clássicas	کلاسیک	clássico	N;SG	N;FEM;PL
کلاسیک	clássicos	کلاسیک	clássico	N;SG	N;MASC;PL
برق	elétricos	برق	elétrico	N;SG	N;MASC;PL
برق	relâmpagos	برق	relâmpago	N;SG	N;MASC;PL
نقاشی	pintar	نقاشی	pintar	N;SG	V;NFIN
نقاشی	pintar	نقاشی	pintar	N;SG	V;NFIN
نقاشی	pintando	نقاشی	pintar	N;SG	V;V.MSDR
نقاشی	desenhar	نقاشی	desenhar	N;SG	V;NFIN
نقاشی	desenhando	نقاشی	desenhar	N;SG	V;V.MSDR
پایتخت	capitais	پایتخت	capital	N;SG	N;MASC;PL
تاسیس	estabelecendo	تاسیس	estabelecer	N;SG	V;V.MSDR
مطالعه	estudando	مطالعه	estudar	N;SG	V;V.MSDR
مطالعه	estudar	مطالعه	estudar	N;SG	V;NFIN
مطالعه	estuda	مطالعه	estudar	N;SG	V;IND;SG;3;PRS;FIN
مطالعه	estude	مطالعه	estude	N;SG	V;SBJV;SG;3;PRS;FIN
مطالعه	estudar	مطالعه	estudar	N;SG	V;NFIN
بومی	aborígene	بومی	aborígene	N;SG	ADJ;MASC;SG
بومی	aborígenes	بومی	aborígene	N;SG	N;MASC;PL
بومی	indígenas	بومی	indígena	N;SG	N;FEM;PL
بومی	nativas	بومی	nativa	N;SG	N;FEM;PL
بومی	nativa	بومی	nativa	N;SG	ADJ;FEM;SG
بومی	nativos	بومی	nativo	N;SG	N;MASC;PL
نقشه	planejar	None	planejar	N;SG	V;NFIN
امروز	hj	امروز	hj	ADV	V;IND;SG;1;PRS;FIN
بلند	alto	بلند	alto	ADJ	ADV
بلند	high	بلند	high	ADJ	N;MASC;SG
