hábito	o	hábito	o	N;MASC;SG	DET
protege	protexelos	proteger	protexelo	V;IND;SG;3;PRS;FIN	N
protege	para	proteger	para	V;IND;SG;3;PRS;FIN	ADP
protege	a	proteger	o	V;IND;SG;3;PRS;FIN	DET
comprado	mercou	comprar	mercar	ADJ;MASC;SG;V.PTCP	V
comprado	merquei	comprar	merquei	ADJ;MASC;SG;V.PTCP	V
comprado	merqueino	comprar	merqueino	ADJ;MASC;SG;V.PTCP	N
comprado	merqueille	comprar	merqueille	ADJ;MASC;SG;V.PTCP	PROPN
comprado	comprou	comprar	comprar	ADJ;MASC;SG;V.PTCP	V
forestales	bosque	forestal	bosque	ADJ;PL	N
ahorro	aforrando	ahorro	aforrar	N;MASC;SG	V
ahorro	salvar	ahorro	salvar	N;MASC;SG	V
ahorro	aforraban	ahorro	aforrar	N;MASC;SG	V
garantía	garantir	garantía	garantir	N;FEM;SG	V
decorado	condecorado	decorado	condecorar	ADJ;MASC;SG;V.PTCP	V
loca	tola	loco	tola	ADJ;FEM;SG	PROPN
loca	tolos	loco	tolo	ADJ;FEM;SG	N
loca	tolas	loco	tola	ADJ;FEM;SG	N
loca	tolo	loco	tolo	ADJ;FEM;SG	N
loca	tola	loco	tola	ADJ;FEM;SG	PROPN
loca	tolo	loco	tolo	ADJ;FEM;SG	N
loca	enfadado	loco	enfadar	ADJ;FEM;SG	V
combinada	combinados	combinado	combinar	ADJ;FEM;SG;V.PTCP	V
combinada	combinadas	combinado	combinar	ADJ;FEM;SG;V.PTCP	V
combinada	deben	combinado	deber	ADJ;FEM;SG;V.PTCP	V
combinada	as	combinado	o	ADJ;FEM;SG;V.PTCP	DET
bombarderos	bomber	bombardero	bomber	N;MASC;PL	PROPN
sustituto	substituír	sustituto	substituír	N;MASC;SG	V
northern	do	northern	do	N	PROPN
clay	clay	clay	clay	N;MASC;SG	PROPN
huella	pequena	huella	pequeno	N;FEM;SG	ADJ
niza	ben	niza	ben	N;FEM;SG	ADV
niza	bo	niza	bo	N;FEM;SG	ADJ
niza	boa	niza	bo	N;FEM;SG	ADJ
apuesta	apostar	apuesta	apostar	N;FEM;SG	V
apuesta	aposta	apuesta	apostar	N;FEM;SG	V
apuesta	apostar	apuesta	apostar	N;FEM;SG	V
apuesta	a	apuesta	o	N;FEM;SG	DET
apuesta	que	apuesta	que	N;FEM;SG	PRO
bailando	baile	bailar	baile	V;V.MSDR	N
camboya	camboxa	camboya	camboxa	N;FEM;SG	PROPN
camboya	en	camboya	en	N;FEM;SG	ADP
lou	lou	lou	lau	PROPN	PROPN
potenciales	potencial	potencial	potencial	ADJ;PL	N
mad	tola	mad	tola	N	PROPN
mad	enfadado	mad	enfadar	N	V
destruye	os	destruir	o	V;IND;SG;3;PRS;FIN	DET
destruye	destruílo	destruir	destruílo	V;IND;SG;3;PRS;FIN	PROPN
destruye	seguros	destruir	seguro	V;IND;SG;3;PRS;FIN	N
insiste	en	insistir	en	V;IND;SG;3;PRS;FIN	ADP
repetición	repite	repetición	repetar	N;FEM;SG	V
repetición	anda	repetición	anda	N;FEM;SG	V
repetición	di	repetición	dicir	N;FEM;SG	V
repetición	repita	repetición	repitir	N;FEM;SG	V
repetición	repito	repetición	repito	N;FEM;SG	V
repetición	dígoche	repetición	dígoche	N;FEM;SG	V
mecánicos	mecánica	mecánico	mecánica	ADJ;MASC;PL	N
mecánicos	mecánico	mecánico	mecánico	ADJ;MASC;PL	N
voluntario	voluntarios	voluntario	voluntario	ADJ;MASC;SG	N
mickey	mickey	mickey	mickey	N;MASC;SG	PROPN
mickey	micky	mickey	micky	N;MASC;SG	PROPN
preguntó	pregunteille	preguntar	pregunteille	V;IND;SG;3;PST;FIN	ADJ
preguntó	lle	preguntar	lle	V;IND;SG;3;PST;FIN	PRO
pen	boli	pen	boli	N;MASC;SG	PROPN
ancestros	devanceiros	ancestro	devanceiro	N;MASC;PL	ADJ
ancestros	os	ancestro	o	N;MASC;PL	DET
óxido	nítrico	óxido	nítrico	N;MASC;SG	ADJ
energías	enerxético	energía	enerxético	N;FEM;PL	ADJ
energías	enerxética	energía	enerxético	N;FEM;PL	ADJ
justice	justice	justice	justice	N;SG	PROPN
justice	a	justice	o	N;SG	DET
justice	da	justice	da	N;SG	V
justice	aos	justice	aos	N;SG	PROPN
justice	con	justice	con	N;SG	ADP
ofensivo	ofensiva	ofensivo	ofensivo	ADJ;MASC;SG	N
vestir	traxes	vestir	traxe	V;NFIN	N
vestir	roupa	vestir	roupa	V;NFIN	N
exitosos	éxito	exitoso	éxito	ADJ;MASC;PL	N
empuje	presionar	empuje	presionar	N;MASC;SG	V
eterno	eterna	eterno	eterno	ADJ;MASC;SG	N
arresto	deter	arresto	deter	N;MASC;SG	V
android	android	android	android	N;SG	PROPN
beber	auga	beber	auga	V;NFIN	N
beber	café	beber	café	V;NFIN	N
beber	bebe	beber	beber	V;NFIN	N
beber	copa	beber	copa	V;NFIN	N
agrupa	dous	agrupar	dous	V;IND;SG;3;PRS;FIN	N
agrupa	grupos	agrupar	grupo	V;IND;SG;3;PRS;FIN	N
cadáveres	os	cadáver	o	N;MASC;PL	DET
ayudando	a	ayudar	o	V;V.MSDR	DET
hallazgo	atopar	hallazgo	atopar	N;MASC;SG	V
hallazgo	de	hallazgo	de	N;MASC;SG	ADP
hallazgo	que	hallazgo	que	N;MASC;SG	PRO
hallazgo	a	hallazgo	o	N;MASC;SG	DET
hallazgo	atopar	hallazgo	atopar	N;MASC;SG	V
heat	o	heat	o	N;MASC	DET
lamentablemente	por	lamentablemente	por	ADV	ADP
lamentablemente	desgraza	lamentablemente	desgraza	ADV	N
lamentablemente	por	lamentablemente	por	ADV	ADP
lamentablemente	desgraza	lamentablemente	desgraza	ADV	N
estómago	o	estómago	o	N;MASC;SG	DET
spirit	o	spirit	o	N	DET
spirit	déixate	spirit	déixate	N	V
papá	papá	papá	papá	N;MASC;SG	PROPN
papá	papá	papá	papá	N;MASC;SG	PROPN
papá	papá	papá	papá	N;MASC;SG	PROPN
cariño	querida	cariño	querer	N;MASC;SG	V
cariño	meu	cariño	meu	N;MASC;SG	DET
cariño	ben	cariño	ben	N;MASC;SG	ADV
cariño	querida	cariño	querer	N;MASC;SG	V
cariño	meu	cariño	meu	N;MASC;SG	DET
cariño	querido	cariño	querer	N;MASC;SG	V
cariño	ben	cariño	ben	N;MASC;SG	ADV
danesa	danés	danés	danés	ADJ;FEM;SG	N
danesa	daneses	danés	danese	ADJ;FEM;SG	V
homero	homer	homero	homer	N;MASC;SG	PROPN
significaba	que	significar	que	V;IND;SG;3;IPFV;FIN	PRO
significaba	para	significar	para	V;IND;SG;3;IPFV;FIN	ADP
celulares	móbil	celular	móbil	N;PL	ADJ
increíble	abraiante	increíble	abraiante	ADJ;SG	ADV
increíble	o	increíble	o	ADJ;SG	DET
increíble	asombroso	increíble	asombroso	ADJ;SG	N
crecido	medrara	crecido	medrara	ADJ;MASC;SG;V.PTCP	V
crecido	medrou	crecido	medrar	ADJ;MASC;SG;V.PTCP	V
crecido	xa	crecido	xa	ADJ;MASC;SG;V.PTCP	ADV
crecido	es	crecido	e	ADJ;MASC;SG;V.PTCP	N
crecido	adulto	crecido	adulto	ADJ;MASC;SG;V.PTCP	N
práctico	práctica	práctico	práctica	ADJ;MASC;SG	N
avanzados	avanzado	avanzado	avanzar	ADJ;MASC;PL;V.PTCP	V
avanzados	avanzada	avanzado	avanzar	ADJ;MASC;PL;V.PTCP	V
proveer	a	proveer	o	V;NFIN	DET
cuchillo	mackie	cuchillo	mackie	N;MASC;SG	PROPN
revelado	revelou	revelar	revelar	ADJ;MASC;SG;V.PTCP	V
destruidos	destruídos	destruido	destruír	ADJ;MASC;PL;V.PTCP	V
destruidos	destruíron	destruido	destruír	ADJ;MASC;PL;V.PTCP	V
destruidos	destruído	destruido	destruír	ADJ;MASC;PL;V.PTCP	V
destruidos	con	destruido	con	ADJ;MASC;PL;V.PTCP	ADP
destruidos	destruírono	destruido	destruírono	ADJ;MASC;PL;V.PTCP	PROPN
destruidos	destruír	destruido	destruír	ADJ;MASC;PL;V.PTCP	V
peleas	contra	pelea	contra	N;FEM;PL	ADP
peleas	loitar	pelea	loitar	N;FEM;PL	V
peleas	loitamos	pelea	loitar	N;FEM;PL	V
peleas	pelexar	pelea	pelexar	N;FEM;PL	V
peleas	combater	pelea	combater	N;FEM;PL	V
ilusión	a	ilusión	o	N;FEM;SG	DET
davies	davies	davie	davies	PROPN	N
sorprendente	abraiante	sorprendente	abraiante	ADJ;SG	ADV
sorprendente	o	sorprendente	o	ADJ;SG	DET
sorprendente	asombroso	sorprendente	asombroso	ADJ;SG	N
rota	roto	rota	roto	ADJ;FEM;SG;V.PTCP	N
irlandeses	irlandés	irlandés	irlandés	N;MASC;PL	PROPN
irlandeses	irlandesa	irlandés	irlandesa	N;MASC;PL	ADJ
gratuito	balde	gratuito	balde	ADJ;MASC;SG	N
grasa	o	grasa	o	N;FEM;SG	DET
usual	de	usual	de	ADJ;SG	ADP
usual	sempre	usual	sempre	ADJ;SG	ADV
usual	normalidade	usual	normalidade	ADJ;SG	N
usual	costume	usual	costume	ADJ;SG	N
entendido	que	entendido	que	ADJ;MASC;SG;V.PTCP	PRO
entendido	comprendín	entendido	comprender	ADJ;MASC;SG;V.PTCP	V
entendido	entendían	entendido	entender	ADJ;MASC;SG;V.PTCP	V
entendido	entendeu	entendido	entender	ADJ;MASC;SG;V.PTCP	V
entendido	entendía	entendido	entender	ADJ;MASC;SG;V.PTCP	V
conectar	conectarnos	conectar	conectarno	V;NFIN	ADJ
violento	violencia	violento	violencia	ADJ;MASC;SG	N
peores	peor	peor	peor	ADJ;PL	N
peores	peor	peor	peor	ADJ;PL	N
peores	empeora	peor	empeorar	ADJ;PL	N
mía	mia	mía	mia	DET;FEM;SG;1	PROPN
far	de	far	de		ADP
far	moito	far	moito		ADV
far	lonxe	far	lonxe		ADV
far	ata	far	ata		ADP
bote	bote	bote	bote	N;MASC;SG	PROPN
bote	chalana	bote	chalanar	N;MASC;SG	ADJ
against	en	against	en	N	ADP
against	contra	against	contra	N	ADP
against	os	against	o	N	DET
today	hoxe	today	hoxe	N	ADV
eugene	eugene	eugene	eugener	PROPN	PROPN
significativas	máis	significativo	máis	ADJ;FEM;PL	ADV
vinculada	conectadas	vinculado	conectar	ADJ;FEM;SG;V.PTCP	V
salvó	se	salvar	se	V;IND;SG;3;PST;FIN	CONJ
salvó	a	salvar	o	V;IND;SG;3;PST;FIN	DET
salvó	salvei	salvar	salvar	V;IND;SG;3;PST;FIN	PROPN
salvó	salvaches	salvar	salvache	V;IND;SG;3;PST;FIN	N
resistir	os	resistir	o	V;NFIN	DET
stage	no	stage	no	N	V
willie	willie	willie	willie	N;SG	PROPN
cruzado	cruzamos	cruzar	cruzar	ADJ;MASC;SG;V.PTCP	V
cruzado	cruzar	cruzar	cruzar	ADJ;MASC;SG;V.PTCP	V
cruzado	cruz	cruzar	cruz	ADJ;MASC;SG;V.PTCP	N
cruzado	atravesar	cruzar	atravesar	ADJ;MASC;SG;V.PTCP	V
cruzado	crosstree	cruzar	crosstree	ADJ;MASC;SG;V.PTCP	PROPN
crazy	tola	crazy	tola	N;MASC;SG	PROPN
sagrados	sagrados	sagrado	sagrar	ADJ;MASC;PL	V
key	clave	key	clave		N
key	chave	key	chave		N
seriamente	en	seriamente	en	ADV	ADP
seriamente	serio	seriamente	serio	ADV	N
antepasados	os	antepasado	o	ADJ;MASC;PL;V.PTCP	DET
temáticas	temas	temático	tema	ADJ;FEM;PL	N
broma	enganar	broma	enganar	N;FEM;SG	V
broma	a	broma	o	N;FEM;SG	DET
broma	de	broma	de	N;FEM;SG	ADP
broma	brincar	broma	brincar	N;FEM;SG	V
broma	bromear	broma	bromear	N;FEM;SG	V
broma	brincar	broma	brincar	N;FEM;SG	V
bruto	cru	bruto	cru	ADJ;MASC;SG	N
bruto	groseiro	bruto	groseiro	ADJ;MASC;SG	N
magistrado	xulgar	magistrado	xulgar	N;MASC;SG	V
reemplazados	substituída	reemplazado	substituír	ADJ;MASC;PL;V.PTCP	V
herrero	smith	herrero	smith	N;MASC;SG	PROPN
herrero	veña	herrero	vir	N;MASC;SG	V
patentes	patente	patente	patente	N;FEM;PL	ADJ
patentes	patentar	patente	patentar	N;FEM;PL	V
heroes	son	heroe	ser	N;MASC;PL	V
zapatos	os	zapato	o	N;MASC;PL	DET
aislada	illado	aislada	illar	ADJ;FEM;SG;V.PTCP	V
aislada	illada	aislada	illado	ADJ;FEM;SG;V.PTCP	V
june	xuño	june	xuño	PROPN	N
hal	hal	hal	hal	PROPN	PROPN
break	romper	break	romper	N;MASC;SG	V
break	o	break	o	N;MASC;SG	DET
permaneciendo	restante	permanecer	restante	V;V.MSDR	ADJ
permaneciendo	para	permanecer	para	V;V.MSDR	ADP
estrés	estrés	estrés	estrés	N;MASC;SG	PROPN
campesino	campesiño	campesino	campesiño	N;MASC;SG	ADJ
manager	director	manager	director	N;FEM;SG	ADJ
tambores	batería	tambor	bater	N;MASC;PL	V
tambores	os	tambor	o	N;MASC;PL	DET
desarrolladas	desenvolveu	desarrollado	desenvolver	ADJ;FEM;PL;V.PTCP	V
desarrolladas	desenvolvido	desarrollado	desenvolver	ADJ;FEM;PL;V.PTCP	V
desarrolladas	desenvolvidos	desarrollado	desenvolver	ADJ;FEM;PL;V.PTCP	V
desarrolladas	desenvolvemos	desarrollado	desenvolver	ADJ;FEM;PL;V.PTCP	V
desarrolladas	o	desarrollado	o	ADJ;FEM;PL;V.PTCP	DET
totales	total	total	total	ADJ;PL	N
totales	de	total	de	ADJ;PL	ADP
misericordia	misericordioso	misericordia	misericordioso	N;FEM;SG	ADJ
desacuerdo	de	desacuerdo	de	N;MASC;SG	ADP
centenar	300	centenar	300	N;MASC;SG	NUM
centenar	de	centenar	de	N;MASC;SG	ADP
centenar	100	centenar	100	N;MASC;SG	NUM
led	levou	led	levar	N;MASC;SG	V
led	leva	led	levar	N;MASC;SG	V
led	levoume	led	levoume	N;MASC;SG	V
paga	pagalo	pagar	pagalo	V;IND;SG;3;PRS;FIN	PROPN
tardía	tarde	tarder	tarde	ADJ;FEM;SG	N
naturalmente	natural	naturalmente	natural	ADV	ADJ
naturalmente	forma	naturalmente	forma	ADV	N
naturalmente	non	naturalmente	non	ADV	PART
violaciones	viólanme	violación	viólanme	N;FEM;PL	PROPN
freedom	a	freedom	o	N;MASC;SG	DET
dólar	dolar	dólar	dolar	N;MASC;SG	V
dólar	por	dólar	por	N;MASC;SG	ADP
detiene	paradas	detener	parado	V;IND;SG;3;PRS;FIN	N
detiene	se	detener	se	V;IND;SG;3;PRS;FIN	CONJ
still	aínda	still	aínda	N	ADV
still	segue	still	seguir	N	V
gaga	gaga	gaga	gagar	N;FEM;SG	PROPN
auguste	auguste	auguste	augustir	N;SG	PROPN
alquiler	contratar	alquiler	contratar		V
alquiler	renda	alquiler	renda		N
alquiler	aluguer	alquiler	aluguer		PROPN
alquiler	alugar	alquiler	alugar		V
ocupados	moi	ocupado	moi	ADJ;MASC;PL;V.PTCP	ADV
ocupados	negocios	ocupado	negocio	ADJ;MASC;PL;V.PTCP	N
ocupados	ocupada	ocupado	ocupado	ADJ;MASC;PL;V.PTCP	V
ocupados	ocupada	ocupado	ocupado	ADJ;MASC;PL;V.PTCP	V
portadas	cobre	portada	cubrir	N;FEM;PL	V
maldición	carallo	maldición	carallo	N;FEM;SG	ADV
existido	existiu	existir	existir	ADJ;MASC;SG;V.PTCP	V
lea	leo	leer	lear	V;IMP;SG;3;FIN	PROPN
lea	le	leer	le	V;IMP;SG;3;FIN	PROPN
sidney	sidney	sidney	sidney	N;MASC;SG	PROPN
low	pouco	low	pouco		ADV
low	baixo	low	baixo		ADP
low	baixa	low	baixa		N
low	baixas	low	baixa		N
low	baixos	low	baixo		N
cuadra	bloquear	cuadra	bloquear	N;FEM;SG	V
justa	xusto	justo	xusto	ADJ;FEM;SG	ADV
justa	feira	justo	feira	ADJ;FEM;SG	N
ordinario	cotiáns	ordinario	cotián	ADJ;MASC;SG	N
ordinario	era	ordinario	ser	ADJ;MASC;SG	V
ordinario	normais	ordinario	normal	ADJ;MASC;SG	N
sueldo	paga	sueldo	pagar	N;MASC;SG	V
sueldo	pagar	sueldo	pagar	N;MASC;SG	V
sueldo	pagalo	sueldo	pagalo	N;MASC;SG	PROPN
administrar	se	administrar	se	V;NFIN	CONJ
administrar	facelo	administrar	facelo	V;NFIN	N
gordo	graxa	gordo	graxar	ADJ;MASC;SG	N
gordo	gorda	gordo	gorda	ADJ;MASC;SG	N
gordo	gordo	gordo	gordo	ADJ;MASC;SG	N
gordo	gordos	gordo	gordo	ADJ;MASC;SG	N
gordo	o	gordo	o	ADJ;MASC;SG	DET
auténtica	é	auténtico	ser	ADJ;FEM;SG	V
respetar	respeto	respetar	respeto	V;NFIN	N
respetar	respecto	respetar	respecto	V;NFIN	N
respetar	respéctanme	respetar	respéctanme	V;NFIN	ADV
domésticos	caseira	doméstico	caseira	ADJ;MASC;PL	N
aislados	illado	aislado	illar	ADJ;MASC;PL;V.PTCP	V
aislados	illada	aislado	illado	ADJ;MASC;PL;V.PTCP	V
impulsado	conducido	impulsado	conducir	ADJ;MASC;SG;V.PTCP	V
novedades	novas	novedad	novo	N;FEM;PL	ADJ
novedades	novo	novedad	novo	N;FEM;PL	ADJ
novedades	novas	novedad	novo	N;FEM;PL	ADJ
novedades	nova	novedad	novo	N;FEM;PL	ADJ
novedades	novos	novedad	novo	N;FEM;PL	ADJ
cubanos	cubana	cubano	cubano	N;MASC;PL	ADJ
cubanos	cubanas	cubano	cubano	N;MASC;PL	ADJ
obama	obama	obama	obamar	N;MASC;SG	PROPN
norteamericanos	os	norteamericano	o	N;MASC;PL	DET
norteamericanos	estadounidenses	norteamericano	estadounidenses	N;MASC;PL	ADJ
desconocidos	descoñecidos	desconocido	descoñecido	ADJ;MASC;PL;V.PTCP	N
desconocidos	descoñecido	desconocido	descoñecido	ADJ;MASC;PL;V.PTCP	N
front	diante	front	diante	N	ADV
code	code	coder	coder	N	PROPN
palm	palma	palm	palma		N
palm	da	palm	da		V
palm	palm	palm	palm		PROPN
elefante	marchar	elefante	marchar	N;MASC;SG	V
saltar	así	saltar	así	V;NFIN	ADV
saltar	chimpa	saltar	chimpa	V;NFIN	PROPN
saltar	skip	saltar	skip	V;NFIN	N
saltar	mo	saltar	mo	V;NFIN	
ciertamente	de	ciertamente	de	ADV	ADP
ciertamente	verdade	ciertamente	verdade	ADV	N
ciertamente	o	ciertamente	o	ADV	DET
ciertamente	feito	ciertamente	feito	ADV	N
ciertamente	grazas	ciertamente	graza	ADV	N
ciertamente	claro	ciertamente	claro	ADV	ADJ
ciertamente	que	ciertamente	que	ADV	PRO
ciertamente	certo	ciertamente	certo	ADV	DET
encontradas	atopei	encontrado	atopar	ADJ;FEM;PL;V.PTCP	V
encontradas	que	encontrado	que	ADJ;FEM;PL;V.PTCP	PRO
encontradas	atopamos	encontrado	atopar	ADJ;FEM;PL;V.PTCP	V
encontradas	atoparon	encontrado	atopar	ADJ;FEM;PL;V.PTCP	V
encontradas	atopou	encontrado	atopar	ADJ;FEM;PL;V.PTCP	V
amable	tipo	amable	tipo	ADJ;SG	N
amable	como	amable	como	ADJ;SG	PRO
amable	clase	amable	clase	ADJ;SG	N
bye	adeus	bye	adeus	INTJ	PROPN
bye	logo	bye	logo	INTJ	ADV
bye	deica	bye	deica	INTJ	ADV
bye	chao	bye	chao	INTJ	PROPN
procurador	fiscal	procurador	fiscal	N;MASC;SG	ADJ
procurador	fiscal	procurador	fiscal	N;MASC;SG	ADJ
controlador	de	controlador	de	N;MASC;SG	ADP
controlador	o	controlador	o	N;MASC;SG	DET
rusas	ruso	ruso	ruso	ADJ;FEM;PL	N
rusas	rusos	ruso	ruso	ADJ;FEM;PL	N
rusas	os	ruso	o	ADJ;FEM;PL	DET
misteriosa	misterio	misterioso	misterio	ADJ;FEM;SG	N
quita	se	quitar	se	V;IND;SG;3;PRS;FIN	CONJ
quita	e	quitar	e	V;IND;SG;3;PRS;FIN	CONJ
pintar	cadro	pintar	cadro	V;NFIN	N
pintar	pintura	pintar	pintura	V;NFIN	N
oca	oca	oca	oca		N
oca	branca	oca	branco		ADJ
dra	dr	dra	dr	N;FEM;SG	PROPN
pisa	pisa	pisar	pisar		PROPN
falsos	finxilo	falso	finxilo	ADJ;MASC;PL	N
choice	outra	choice	outro	N	DET
choice	escoller	choice	escoller	N	V
posadas	inn	posada	inn	N;FEM;PL	PROPN
posadas	hotel	posada	hotel	N;FEM;PL	PROPN
diariamente	día	diariamente	día	ADV	N
diariamente	daily	diariamente	daily	ADV	ADJ
diariamente	cotiá	diariamente	cotián	ADV	N
diariamente	diario	diariamente	diario	ADV	N
sexos	sexual	sexo	sexual	N;MASC;PL	ADJ
vaso	de	vaso	de	N;MASC;SG	ADP
jenny	jenny	jenny	jenny	N;FEM;SG	PROPN
operadora	operadora	operadora	operador	N;FEM;SG	ADJ
relojes	ve	reloj	ver	N;MASC;PL	V
relojes	mira	reloj	miro	N;MASC;PL	V
elvis	elvis	elvis	elvis	N;MASC;SG	PROPN
pulmonar	pulmón	pulmonar	pulmón	ADJ;SG	N
mill	fábrica	mill	fábrica		N
mill	mill	mill	mill		PROPN
mill	muíño	mill	muíño		N
entendimiento	entender	entendimiento	entender	N;MASC;SG	V
entendimiento	comprender	entendimiento	comprender	N;MASC;SG	V
foot	outro	foot	outro	N	DET
foot	o	foot	o	N	DET
experimentar	experimento	experimentar	experimento	V;NFIN	N
experimentar	experimentos	experimentar	experimento	V;NFIN	N
evidentemente	claro	evidentemente	claro	ADV	ADJ
evidentemente	con	evidentemente	con	ADV	ADP
evidentemente	claridade	evidentemente	claridade	ADV	N
evidentemente	claro	evidentemente	claro	ADV	ADJ
prestaciones	os	prestación	o	N;FEM;PL	DET
eastern	orientais	eastern	oriental	N;MASC;SG	ADJ
eastern	oriental	eastern	oriental	N;MASC;SG	ADJ
eastern	este	eastern	este	N;MASC;SG	DET
tiger	tiger	tiger	tiger	N;SG	PROPN
tiger	do	tiger	do	N;SG	PROPN
almacenar	tenda	almacenar	tenda	V;NFIN	N
almacenar	almacéns	almacenar	almacén	V;NFIN	N
almacenar	almacén	almacenar	almacén	V;NFIN	N
sonia	sonia	sonia	soniar	N;FEM;SG	PROPN
creatividad	a	creatividad	o	N;FEM;SG	DET
paradise	o	paradise	o	N;SG	DET
atrapado	atascado	atrapado	atascar	ADJ;MASC;SG;V.PTCP	V
atrapado	que	atrapado	que	ADJ;MASC;SG;V.PTCP	PRO
atrapado	quedar	atrapado	quedar	ADJ;MASC;SG;V.PTCP	V
atrapado	atrapado	atrapado	atrapar	ADJ;MASC;SG;V.PTCP	V
atrapado	colleran	atrapado	coller	ADJ;MASC;SG;V.PTCP	V
atrapado	atrapado	atrapado	atrapar	ADJ;MASC;SG;V.PTCP	V
expuesta	exposto	expuesto	expor	ADJ;FEM;SG;V.PTCP	V
expuesta	á	expuesto	á	ADJ;FEM;SG;V.PTCP	N
vestimenta	vestido	vestimenta	vestido	N;FEM;SG	V
felices	feliz	feliz	feliz	ADJ;PL	N
felices	contento	feliz	contento	ADJ;PL	ADV
felices	felices	feliz	felice	ADJ;PL	N
felices	contenta	feliz	contentar	ADJ;PL	V
cuidados	importa	cuidado	importar	ADJ;MASC;PL;V.PTCP	V
cuidados	igual	cuidado	igual	ADJ;MASC;PL;V.PTCP	ADV
cuidados	me	cuidado	me	ADJ;MASC;PL;V.PTCP	PRO
traspaso	transferir	traspaso	transferir	N;MASC;SG	V
toni	tony	toni	tony	PROPN	PROPN
asesina	do	asesina	do	N;FEM;SG	PROPN
sugerencia	dan	sugerencia	dar	N;FEM;SG	V
sugerencia	unha	sugerencia	un	N;FEM;SG	DET
tome	a	tomar	o	V;IMP;SG;3;FIN	DET
graduado	estudante	graduado	estudante	ADJ;MASC;SG;V.PTCP	N
girar	a	girar	o	V;NFIN	DET
bicicletas	en	bicicleta	en	N;FEM;PL	ADP
bicicletas	moto	bicicleta	moto	N;FEM;PL	PROPN
bicicletas	bici	bicicleta	bici	N;FEM;PL	PROPN
bicicletas	en	bicicleta	en	N;FEM;PL	ADP
mejorada	mellorou	mejorada	mellorar	ADJ;FEM;SG;V.PTCP	V
holandeses	dutch	holandés	dutch	N;MASC;PL	PROPN
andrews	andrews	andrew	andrews	N;SG	PROPN
liderados	levou	liderado	levar	ADJ;MASC;PL;V.PTCP	V
liderados	leva	liderado	levar	ADJ;MASC;PL;V.PTCP	V
liderados	levoume	liderado	levoume	ADJ;MASC;PL;V.PTCP	V
liderados	á	liderado	á	ADJ;MASC;PL;V.PTCP	N
expuestos	exposto	expuesto	expor	ADJ;MASC;PL;V.PTCP	V
expuestos	á	expuesto	á	ADJ;MASC;PL;V.PTCP	N
energética	enerxía	energético	enerxía	ADJ;FEM;SG	N
energética	consumo	energético	consumo	ADJ;FEM;SG	N
novedad	novo	novedad	novo	N;FEM;SG	ADJ
novedad	novas	novedad	novo	N;FEM;SG	ADJ
novedad	nova	novedad	novo	N;FEM;SG	ADJ
novedad	novos	novedad	novo	N;FEM;SG	ADJ
around	arredor	around	arredor	N	ADV
around	por	around	por	N	ADP
around	aquí	around	aquí	N	ADV
hadas	de	hada	de	N;FEM;PL	ADP
programado	programada	programado	programar	ADJ;MASC;SG;V.PTCP	V
programado	programados	programado	programar	ADJ;MASC;SG;V.PTCP	V
trasero	última	trasero	último	N;MASC;SG	ADJ
voice	a	voice	o	N	DET
kill	matar	kill	matar	N	V
kill	a	kill	o	N	DET
fighting	contra	fighting	contra	N	ADP
fighting	loitar	fighting	loitar	N	V
fighting	loitamos	fighting	loitar	N	V
fighting	pelexar	fighting	pelexar	N	V
fighting	combater	fighting	combater	N	V
igor	igor	igor	igor	PROPN	PROPN
thing	que	thing	que	N	PRO
thing	mesmo	thing	mesmo	N	DET
gestor	director	gestor	director	N;MASC;SG	ADJ
espirituales	senda	espiritual	senda	ADJ;PL	N
esclavo	de	esclavo	de	N;MASC;SG	ADP
esclavo	escrava	esclavo	escravo	N;MASC;SG	ADJ
asesinada	a	asesinado	o	ADJ;FEM;SG;V.PTCP	DET
asesinada	mataron	asesinado	matar	ADJ;FEM;SG;V.PTCP	V
asesinada	matou	asesinado	matar	ADJ;FEM;SG;V.PTCP	V
asesinada	asasinado	asesinado	asasinar	ADJ;FEM;SG;V.PTCP	V
asesinada	mortos	asesinado	morto	ADJ;FEM;SG;V.PTCP	N
audiencias	as	audiencia	o	N;FEM;PL	DET
inscrito	rexistrado	inscribir	rexistrar	ADJ;MASC;SG;V.PTCP	V
administrado	e	administrado	e	ADJ;MASC;SG;V.PTCP	CONJ
administrado	puido	administrado	poder	ADJ;MASC;SG;V.PTCP	V
administrado	conseguimos	administrado	conseguir	ADJ;MASC;SG;V.PTCP	V
administrado	a	administrado	o	ADJ;MASC;SG;V.PTCP	DET
alive	vivos	alive	vivo	N	ADJ
alive	viva	alive	vivo	N	ADJ
alive	vivo	alive	vivo	N	ADJ
alive	con	alive	con	N	ADP
peugeot	peugeot	peugeot	peugeot	N;MASC;SG	PROPN
declarados	declarou	declarado	declarar	ADJ;MASC;PL;V.PTCP	V
anita	annie	anitar	annie	N;FEM;SG	PROPN
ellen	ellen	ellar	ellen	N;FEM;SG	PROPN
directivos	encargados	directivo	encargar	N;MASC;PL	V
cash	en	cash	en	N	ADP
cash	efectivo	cash	efectivo	N	ADJ
cash	contado	cash	contado	N	ADJ
cash	suficiente	cash	suficiente	N	ADJ
cash	cobrar	cash	cobrar	N	V
rechazar	non	rechazar	non	V;NFIN	PART
rechazar	se	rechazar	se	V;NFIN	CONJ
