leningrad	lenjingrad	leningrad	lenjingrad		N;NOM;MASC;SG
uzmanlık	specijalizacije	uzmanlık	specijalizacija	N;NOM;SG;3	N;NOM;FEM;PL
mesih	mesija	mesih	mesij		N;NOM;MASC;SG
keşfi	otkrića	keşif	otkriće		N;NOM;NEUT;PL
keşfi	otkriće	keşif	otkriće		N;NOM;NEUT;SG
keşfi	discovery	keşif	discovery		N;NOM;MASC;SG
chaplin	chaplin	chaplin	chaplin		N;NOM;MASC;SG
tay	colt	tay	colt		N;NOM;MASC;SG
tay	tay	tay	tay		PROPN;NOM;MASC;SG
johan	johan	johan	johan		PROPN;NOM;MASC;SG
olivier	olivier	olivier	olivier		N;NOM;MASC;SG
çete	banda	çete	banda		N;NOM;FEM;SG
çete	gang	çete	gang		ADP
fotoğrafçı	fotografa	fotoğrafçı	fotograf		N;ANIM;ACC;MASC;SG
fotoğrafçı	fotograf	fotoğrafçı	fotograf		N;NOM;MASC;SG
grönland	grenland	grönla	grenland		N;NOM;MASC;SG
şimdiden	vec	şimdiden	vec	ADV	PROPN;NOM;MASC;SG
soykırım	genocid	soykırım	genocid		N;NOM;MASC;SG
soykırım	holokaust	soykırım	holokaust		N;NOM;MASC;SG
bakanlık	ministarstva	bakanlık	ministarstvo	N;NOM;SG;3	N;NOM;NEUT;PL
ibm	ibm	ibm	ibm		PROPN;NOM;MASC;SG
faith	vjere	faith	vjera		N;NOM;FEM;PL
faith	vjera	faith	vjera		N;NOM;FEM;SG
faith	vjeru	faith	vjera		N;ACC;FEM;SG
key	tipka	key	tipkati		N;NOM;FEM;SG
key	ključ	key	ključ		N;NOM;MASC;SG
peri	nimfa	peri	nimfa		N;NOM;FEM;SG
peri	vila	peri	vila		N;NOM;FEM;SG
peri	vilo	peri	vilo		N;NOM;FEM;SG
çizim	skeč	çiz	skeč		N;NOM;MASC;SG
çizim	skica	çiz	skica		N;NOM;FEM;SG
çizim	crtanje	çiz	crtanje		N;NOM;NEUT;SG
çizim	crtež	çiz	crtež		N;NOM;MASC;SG
ihracat	izvoz	ihracat	izvoz		N;NOM;MASC;SG
ihracat	izvoz	ihracat	izvoz		N;NOM;MASC;SG
shane	shane	shane	shan		N;NOM;MASC;SG
simetrik	simetrično	simetrik	simetričan		ADV
mah	mah	mah	mah	PROPN;NOM;SG;3	N;NOM;MASC;SG
infaz	pogubljen	infaz	pogubiti		ADJ;NOM;MASC;SG;V.PTCP;PASS
infaz	pogubljeni	infaz	pogubljen		ADJ;NOM;MASC;PL;V.PTCP
infaz	izvršeno	infaz	izvršiti		ADJ;NOM;NEUT;SG;V.PTCP;PASS
infaz	pogubljenje	infaz	pogubljenje		N;NOM;NEUT;SG
infaz	izvršenje	infaz	izvršenje		N;NOM;NEUT;SG
infaz	smaknuće	infaz	smaknuće		N;NOM;NEUT;SG
infaz	smaknuća	infaz	smaknuće		N;NOM;NEUT;PL
infaz	pogubljenja	infaz	pogubljenje		N;NOM;NEUT;PL
deneyimi	iskustvo	deney	iskustvo	N;ACC;SG;3	N;NOM;NEUT;SG
deneyimi	iskustva	deney	iskustvo	N;ACC;SG;3	N;NOM;NEUT;PL
genişleme	proširenja	genişle	proširenje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;PL
genişleme	proširenje	genişle	proširenje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
genişleme	dilatacija	genişle	dilatacija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
genişleme	proširenja	genişle	proširenje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;PL
genişleme	širenje	genişle	širenje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
genişleme	proširenje	genişle	proširenje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
bağlanmış	prilogu	bağla	prilog	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DAT;MASC;SG
bağlanmış	povezano	bağla	povezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;NEUT;SG;V.PTCP
bağlanmış	povezani	bağla	povezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL
bağlanmış	spojeni	bağla	spojen	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL;V.PTCP
bağlanmış	povezani	bağla	povezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL
bağlanmış	vezana	bağla	vezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;FEM;SG
bağlanmış	vezane	bağla	vezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;FEM;PL
bağlanmış	vezani	bağla	vezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL
bağlanmış	vezan	bağla	vezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;INDF;MASC;SG
bağlanmış	vezani	bağla	vezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL
bağlanmış	vezana	bağla	vezan	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;FEM;SG
aramaya	traženje	ara	traženje	V;PFV;DAT;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
yanlışlıkla	slučajno	yanlışlık	slučajno	N;INS;SG;3	ADV
lezbiyen	dyke	lezbiyen	dyk		N;NOM;MASC;SG
lezbiyen	lezba	lezbiyen	lezba		N;NOM;FEM;SG
lezbiyen	lezbijka	lezbiyen	lezbijka		N;NOM;FEM;SG
lezbiyen	lezba	lezbiyen	lezba		N;NOM;FEM;SG
lezbiyen	lezbijke	lezbiyen	lezbijka		N;NOM;FEM;PL
tutsak	zatvorenik	tutsak	zatvoren		N;NOM;MASC;SG
tutsak	zarobljenik	tutsak	zarobljenik		N;NOM;MASC;SG
tutsak	zarobljenici	tutsak	zarobljenik		N;NOM;MASC;PL
tutsak	zatvorenici	tutsak	zatvorenik		N;NOM;MASC;PL
tutsak	zatočeništvu	tutsak	zatočeništvo		N;DAT;NEUT;SG
sonsuza	zauvijek	sonsuz	zauvijek	ADJ;DAT;SG;3	N;NOM;MASC;SG
protokolü	protokol	protokolü	protokol	N;ACC;SG;3	N;NOM;MASC;SG
emily	emili	emily	emititi		PROPN;NOM;MASC;SG
emily	emily	emily	emily		PROPN;NOM;FEM;SG
haiti	haiti	hait	hait		PROPN;NOM;MASC;SG
haiti	haićanski	hait	haićanski		ADJ;NOM;DEF;MASC;SG
buluşma	spoj	buluş	spoj	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
buluşma	datum	buluş	datum	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
buluşma	susret	buluş	susret	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
buluşma	sastanak	buluş	sastanak	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
buluşma	upoznavanje	buluş	upoznavanje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
kazanma	pobjeda	kazan	pobjeda		N;NOM;FEM;SG
liderlik	vodeći	liderlik	vodeći	N;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
jimnastik	gimnastika	jimnastik	gimnastika		N;NOM;FEM;SG
garcia	garcia	garcia	garki	PROPN;NOM;SG;3	N;NOM;MASC;SG
sembolik	simbolički	sembolik	simbolički		ADV
sembolik	simbolično	sembolik	simboličan		ADV
minimum	minimalno	minim	minimalno	N;NOM;SG;3	ADV
minimum	minimalna	minim	minimalan	N;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
minimum	minimalno	minim	minimalno	N;NOM;SG;3	ADV
minimum	minimalne	minim	minimalan	N;NOM;SG;3	ADJ;NOM;DEF;FEM;PL
minimum	minimalni	minim	minimalan	N;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
minimum	minimalna	minim	minimalan	N;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
cbs	cbs	cbs	cbs		N;NOM;MASC;SG
cbs	gis	cbs	gis		N;NOM;MASC;SG
yen	jena	yen	jena		PROPN;NOM;MASC;SG
joey	joey	joey	joey		PROPN;NOM;MASC;SG
asistan	stanovnik	asistan	stanovnik		N;NOM;MASC;SG
asistan	pomoćnik	asistan	pomoćnik		N;NOM;MASC;SG
asistan	pomoćnica	asistan	pomoćnica		N;NOM;FEM;SG
asistan	asistent	asistan	asistent		N;NOM;MASC;SG
karşılaşma	meč	karşılaşma	meč		N;NOM;MASC;SG
karşılaşma	podudaranje	karşılaşma	podudaranje		N;NOM;NEUT;SG
karşılaşma	susreti	karşılaşma	susret		N;NOM;MASC;PL
karşılaşma	susrete	karşılaşma	susret		N;ACC;MASC;PL
karşılaşma	susreta	karşılaşma	susret		N;GEN;MASC;SG
karşılaşma	susret	karşılaşma	susret		N;NOM;MASC;SG
bitkisel	biljni	bitkisel	biljan		ADJ;NOM;DEF;MASC;SG
bitkisel	povrće	bitkisel	povrće		N;NOM;NEUT;SG
bitkisel	biljka	bitkisel	biljka		N;NOM;FEM;SG
bitkisel	vegetativno	bitkisel	vegetativno		ADV
sedan	sedan	sedan	sedan	PROPN;NOM;SG;3	N;NOM;MASC;SG
önerisi	prijedlozi	öneri	prijedlog	N;NOM;SG;3	N;NOM;MASC;PL
veronica	veronica	veronica	veronica		N;NOM;FEM;SG
veronica	veronika	veronica	veronik		N;NOM;FEM;SG
nötron	neutrona	nötron	neutron	N;NOM;SG;3	N;GEN;MASC;SG
nötron	neutronske	nötron	neutronski	N;NOM;SG;3	ADJ;NOM;DEF;FEM;PL
derinliği	dubina	derinlik	dubina	N;ACC;SG;3	N;NOM;FEM;SG
beğeni	rejting	beğen	rejting		N;NOM;MASC;SG
beğeni	ocjena	beğen	ocjena		N;NOM;FEM;SG
beğeni	voli	beğen	voljeti		V;IND;SG;3;PRS;FIN
beğeni	zahvalnost	beğen	zahvalnost		N;NOM;FEM;SG
şifreleme	kodiranje	şifrele	kodiranje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
şifreleme	kriptografija	şifrele	kriptografija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
galileo	galileo	gal	galiti		V;MASC;SG;PST;V.PTCP;ACT
chuck	chuck	chuck	chuck		N;NOM;MASC;SG
goethe	goethe	goethe	goetha		N;NOM;MASC;SG
wales	wales	wales	wales	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
wales	walesa	wales	wales	PROPN;NOM;SG;3	N;GEN;MASC;SG
fetih	osvajanja	fetih	osvajanje		N;NOM;NEUT;PL
fetih	osvajanje	fetih	osvajanje		N;NOM;NEUT;SG
kulüpleri	klubovi	kulüp	klub	N;ACC;PL;3	N;NOM;MASC;PL
kulüpleri	klubova	kulüp	klub	N;ACC;PL;3	N;GEN;MASC;PL
kulüpleri	palice	kulüp	palica	N;ACC;PL;3	N;NOM;FEM;PL
meşgul	zauzet	meşgul	zauzeti		ADJ;NOM;INDF;MASC;SG;V.PTCP
meşgul	zauzeto	meşgul	zauzeto		ADJ;NOM;DEF;NEUT;SG
beyan	priopćenje	beyan	priopćenje		N;NOM;NEUT;SG
beyan	izjavu	beyan	izjava		N;ACC;FEM;SG
beyan	izjava	beyan	izjava		N;NOM;FEM;SG
beyan	proglašenje	beyan	proglašenje		N;NOM;NEUT;SG
beyan	deklaracija	beyan	deklaracija		N;NOM;FEM;SG
engellendi	blokirani	engelle	blokirati		ADJ;NOM;DEF;MASC;PL
engellendi	blokiran	engelle	blokiran		ADJ;NOM;INDF;MASC;SG;V.PTCP
engellendi	blokirane	engelle	blokirati		ADJ;NOM;DEF;FEM;PL;V.PTCP
engellendi	blokirana	engelle	blokirati		ADJ;NOM;DEF;FEM;SG;V.PTCP
engellendi	blokirano	engelle	blokirati		ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
taklit	oponašanja	taklit	oponašanje		N;NOM;NEUT;PL
taklit	imitirati	taklit	imitirati		V;NFIN
taklit	imitacija	taklit	imitacija		N;NOM;FEM;SG
chan	chan	chan	chan		ADP
aras	aras	aras	aras		PROPN;NOM;MASC;SG
yakalandı	uhvaćen	yakala	uhvatiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
yakalandı	uhvaćena	yakala	uhvatiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP
yakalandı	uhvaćeni	yakala	uhvatiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL;V.PTCP
yakalandı	uhvaćena	yakala	uhvatiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP
yakalandı	uhvaćeni	yakala	uhvatiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL;V.PTCP
yakalandı	zarobljen	yakala	zarobiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
yakalandı	zarobljeni	yakala	zarobiti	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;NOM;DEF;MASC;PL;V.PTCP
çekimler	hica	çekim	hic	N;NOM;PL;3	N;GEN;MASC;SG
monarşi	monarhije	monarşi	monarhija	N;NOM;SG;3	N;NOM;FEM;PL
kaybeder	gubi	kaybet	gubiti	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
kaybeder	izgubi	kaybet	izguba	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
kaybeder	izgubi	kaybet	izguba	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
milletvekilleri	zastupnika	milletvekili	zastupnik	N;NOM;PL;3	N;ACC;MASC;SG
mevsim	sezonski	mevsim	sezonski		ADV
mevsim	sezone	mevsim	sezona		N;GEN;FEM;SG
mevsim	sezona	mevsim	sezona		N;NOM;FEM;SG
videoları	videozapisi	video	videozapis	N;ACC;PL;3	N;NOM;MASC;PL
analitik	analitičke	analitik	analitički		ADJ;NOM;DEF;FEM;PL
bulma	pronalaženje	bul	pronalaženje		N;NOM;NEUT;SG
bulma	nalaženje	bul	nalaženje		N;NOM;NEUT;SG
bulma	nalaz	bul	nalaz		N;NOM;MASC;SG
bulma	pronalazak	bul	pronalazak		N;NOM;MASC;SG
bahreyn	bahreinu	bahrey	bahreian	PROPN;NOM;SG;3	N;DAT;MASC;SG
sarp	strme	sarp	strma		N;NOM;FEM;PL
maccabi	maccabi	maccabi	maccab		N;NOM;MASC;SG
atp	atp	atp	atp		N;NOM;MASC;SG
turne	tour	tur	tour		ADP
turne	turneja	tur	turan		N;NOM;FEM;SG
turne	tura	tur	tura		N;NOM;FEM;SG
turne	obilazak	tur	obilazak		N;NOM;MASC;SG
turne	turneje	tur	turneja		N;NOM;FEM;PL
kaydedilen	snimljeno	kaydet	snimiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
kaydedilen	zabilježeno	kaydet	zabilježiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP;PASS
kaydedilen	spašen	kaydet	spašiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;NOM;MASC;SG;V.PTCP;PASS
kaydedilen	spasio	kaydet	spasiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP;ACT
kaydedilen	spremljena	kaydet	spremiti	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG;V.PTCP
sipariş	naruči	sipariş	naručiti	N;NOM;SG;3	V;IND;SG;3;PRS;FIN
sipariş	zapovijedi	sipariş	zapovijed	N;NOM;SG;3	N;NOM;FEM;PL
sipariş	naredbe	sipariş	naredba	N;NOM;SG;3	N;NOM;FEM;PL
sipariş	narudžbe	sipariş	narudžba	N;NOM;SG;3	N;NOM;FEM;PL
ağaçlar	drveće	ağaç	drveće	N;NOM;PL;3	N;NOM;NEUT;SG
bern	bern	bern	bern	PROPN;NOM;SG;3	N;NOM;MASC;SG
bulanık	mutne	bulanık	mutan		ADJ;NOM;DEF;FEM;PL
bulanık	mutno	bulanık	mutan		ADV
bulanık	mutna	bulanık	mutan		ADJ;NOM;DEF;FEM;SG
bulanık	zamagljen	bulanık	zamagiti		ADJ;NOM;MASC;SG
ispat	dokazati	ispat	dokazati		V;NFIN
gözlemci	promatrač	gözlemci	promatrač		N;NOM;MASC;SG
gerilla	gerilaca	geril	gerilac		N;GEN;MASC;PL
gerilla	gerilaca	geril	gerilac		N;GEN;MASC;PL
gerilla	gerilski	geril	gerilski		ADJ;NOM;DEF;MASC;SG
değişti	promijenjen	değiş	promijeniti	V;PFV;IND;SG;3;POS;PST	ADJ;NOM;MASC;SG;V.PTCP;PASS
toplamak	prikupljanje	topla	prikupljanje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
toplamak	skupljanje	topla	skupljanje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
toplamak	sakupljanje	topla	sakupljanje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
dolaşım	krvožilni	dolaşım	krvožilan		ADJ;NOM;DEF;MASC;SG
dolaşım	cirkulaciju	dolaşım	cirkulacija		N;ACC;FEM;SG
dolaşım	cirkulacije	dolaşım	cirkulacija		N;NOM;FEM;PL
dolaşım	lutaju	dolaşım	lutati		V;IND;PL;3;PRS;FIN
bataklık	močvaru	bataklık	močvar	N;NOM;SG;3	N;ACC;FEM;SG
bataklık	močvari	bataklık	močvar	N;NOM;SG;3	N;DAT;FEM;SG
bataklık	močvare	bataklık	močvar	N;NOM;SG;3	N;NOM;FEM;PL
bataklık	marsh	bataklık	marsh	N;NOM;SG;3	PROPN;NOM;MASC;SG
bataklık	močvare	bataklık	močvar	N;NOM;SG;3	N;NOM;FEM;PL
katılacak	prisustvuju	kat	prisustvovati	V;PFV;IND;SG;3;POS;FUT;PASS	V;IND;PL;3;PRS;FIN
palermo	palermo	palermo	palermo	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
katılımı	prisustvo	katılım	prisustvo	N;ACC;SG;3	N;NOM;NEUT;SG
katılımı	nazočnost	katılım	nazočnost	N;ACC;SG;3	N;NOM;FEM;SG
katılımı	sudjelovanje	katılım	sudjelovanje	N;ACC;SG;3	N;NOM;NEUT;SG
katılımı	učešće	katılım	učešće	N;ACC;SG;3	N;NOM;NEUT;SG
havzası	basin	havza	basin	N;NOM;SG;3	ADP
blackburn	blackburn	blackburn	blackburn	PROPN;NOM;SG;3	N;NOM;FEM;SG
eklenmiş	dodao	ekle	dodati	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP;ACT
eklenmiş	dodali	ekle	dodati	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;MASC;PL;PST;V.PTCP;ACT
çar	čar	çar	čar		N;NOM;FEM;SG
farkında	svjesni	fark	svjestan	N;ESS;SG;3	ADJ;NOM;DEF;MASC;PL
farkında	svjestan	fark	svjestan	N;ESS;SG;3	ADJ;NOM;INDF;MASC;SG
asi	buntovnik	asi	buntovnik		N;NOM;MASC;SG
asi	pobunjenika	asi	pobunjenik		N;ANIM;ACC;MASC;SG
asi	pobunjenik	asi	pobunjenik		N;NOM;MASC;SG
greg	greg	greg	greg		PROPN;NOM;MASC;SG
tyler	tyler	iy	tyler		PROPN;NOM;MASC;SG
ilaçlar	lijek	ilaç	lijek	N;NOM;PL;3	N;NOM;MASC;SG
ilaçlar	medicina	ilaç	medicina	N;NOM;PL;3	N;NOM;FEM;SG
nielsen	nielsen	niel	nielsen		PROPN;NOM;MASC;SG
yahudilere	židove	yahudi	žid	N;DAT;PL;3	N;ACC;MASC;PL
yahudilere	židovi	yahudi	žid	N;DAT;PL;3	N;NOM;MASC;PL
yasadışı	nezakonito	yasa	nezakonito		ADV
yasadışı	nelegalno	yasa	nelegalan		ADV
yasadışı	protuzakonito	yasa	protuzakonit		ADV
yasadışı	ilegalno	yasa	ilegalan		ADV
yasadışı	nezakonito	yasa	nezakonito		ADV
yasadışı	nelegalno	yasa	nelegalan		ADV
yasadışı	ilegalno	yasa	ilegalan		ADV
viking	viking	viking	viking		N;NOM;MASC;SG
medeni	građanski	meden	građanski		ADV
medeni	civilno	meden	civilno		ADJ;NOM;NEUT;SG
medeni	civilna	meden	civilan		ADJ;NOM;DEF;FEM;SG
medeni	civilizirani	meden	civiliziran		ADJ;NOM;DEF;MASC;PL
medeni	civilizirani	meden	civiliziran		ADJ;NOM;DEF;MASC;PL
fiziki	fizički	fizik	fizički		ADV
riski	rizik	riski	rizik		N;NOM;MASC;SG
quebec	quebec	quebec	quebec	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
teşhis	dijagnostički	teşhis	dijagnostički	N;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
teşhis	dijagnoze	teşhis	dijagnoza	N;NOM;SG;3	N;NOM;FEM;PL
teşhis	dijagnostiku	teşhis	dijagnostika	N;NOM;SG;3	N;ACC;FEM;SG
tavşan	zec	tavşan	zec		N;NOM;MASC;SG
tavşan	hare	tavşan	hare		N;NOM;MASC;SG
tavşan	zeko	tavşan	zeko		N;NOM;MASC;SG
tavşan	bunny	tavşan	bunny		PROPN;NOM;MASC;SG
tavşan	zec	tavşan	zec		N;NOM;MASC;SG
tavşan	zeca	tavşan	zec		N;ANIM;ACC;MASC;SG
tavşan	zeko	tavşan	zeko		N;NOM;MASC;SG
thunder	thunder	thunder	thunder		N;NOM;MASC;SG
thunder	grmljavina	thunder	grmljavina		N;NOM;FEM;SG
thunder	grom	thunder	grom		N;NOM;MASC;SG
yaklaşan	nadolazeći	yaklaş	nadolaziti	V;PFV;IND;POS;PRS;V.PTCP	ADV;PRS;V.CVB
yaklaşan	predstojeće	yaklaş	predstojeći	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;DEF;FEM;PL
yaklaşan	nadolazeće	yaklaş	nadolazeće	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;DEF;FEM;PL
hayvanat	zoo	hayvanat	zoo	ADJ;NOM;SG;3	N;NOM;MASC;SG
luigi	luigi	luigi	luiga		PROPN;NOM;MASC;SG
başlatıldı	pokrenuo	başla	pokrenuti	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP;ACT
iğne	injekcije	iğne	injekcija	N;NOM;SG;3	N;NOM;FEM;PL
iğne	injekciju	iğne	injekcija	N;NOM;SG;3	N;ACC;FEM;SG
iğne	iglu	iğne	igla	N;NOM;SG;3	N;ACC;FEM;SG
iğne	igle	iğne	igla	N;NOM;SG;3	N;NOM;FEM;PL
dokuma	tkanja	dokum	tkanje		N;NOM;NEUT;PL
nicole	nicole	nicol	nicol		N;NOM;FEM;SG
todd	todd	todd	todd		PROPN;NOM;MASC;SG
katılımcılar	sudionika	katılımcı	sudionik	N;NOM;PL;3	N;GEN;MASC;PL
katılımcılar	sudionike	katılımcı	sudionik	N;NOM;PL;3	N;ACC;MASC;PL
katılımcılar	sudionika	katılımcı	sudionik	N;NOM;PL;3	N;GEN;MASC;PL
katılımcılar	izlagača	katılımcı	izlagač	N;NOM;PL;3	N;GEN;MASC;PL
ellen	ellen	el	ellen		N;NOM;FEM;SG
ellen	elen	el	elen		N;NOM;FEM;SG
deve	deve	deve	deve		N;NOM;FEM;PL
deve	deva	deve	deva		N;NOM;MASC;SG
deve	deve	deve	deve		N;NOM;FEM;PL
granada	granada	grana	granad	PROPN;ESS;SG;3	N;NOM;FEM;SG
vokalist	vokal	vokalist	vokal		N;NOM;MASC;SG
wesley	wesley	wesley	wesley		PROPN;NOM;MASC;SG
selahaddin	saladin	selahaddi	saladin		N;NOM;MASC;SG
mercury	živa	mercury	živ	PROPN;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
mercury	merkur	mercury	merkur	PROPN;NOM;SG;3	N;NOM;MASC;SG
pearl	pearl	pearl	pearl		N;NOM;MASC;SG
pearl	biser	pearl	biser		N;NOM;MASC;SG
pearl	bisera	pearl	biser		N;ACC;MASC;SG
beckett	beckett	beckett	beckett		N;NOM;MASC;SG
kaplar	kontejnera	kap	kontejner	N;NOM;PL;3	N;ACC;MASC;SG
kaplar	kontejnere	kap	kontejner	N;NOM;PL;3	N;ACC;MASC;PL
taşlar	kamenje	taş	kamenje	ADJ;NOM;PL;3	N;NOM;NEUT;SG
taşlar	stijene	taş	stijeniti	ADJ;NOM;PL;3	N;NOM;FEM;PL
taşlar	kamenje	taş	kamenje	ADJ;NOM;PL;3	N;NOM;NEUT;SG
hesaplama	računarstva	hesaplama	računarstvo	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;PL
hesaplama	proračunima	hesaplama	proračun	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INS;MASC;PL
hesaplama	proračuni	hesaplama	proračun	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;PL
cohen	cohen	cohen	cohen		N;NOM;MASC;SG
ekvator	ekvator	ekvator	ekvator		N;NOM;MASC;SG
ekvator	ekvadoru	ekvator	ekvador		N;DAT;MASC;SG
anayasal	ustavne	anayasal	ustavan		ADJ;NOM;FEM;PL
anayasal	ustavno	anayasal	ustavno		ADV
anayasal	ustavni	anayasal	ustavan		ADJ;NOM;DEF;MASC;SG
jonas	jonas	jonas	jonas		PROPN;NOM;MASC;SG
ekler	umeće	ek	umeća		V;IND;SG;3;PRS;FIN
ekler	dodaje	ek	dodavati		V;IND;SG;3;PRS;FIN
karen	karen	karen	karen		N;NOM;FEM;SG
pascal	pascal	pascal	pascal		N;NOM;MASC;SG
çarpan	množitelj	çarp	množitelj		N;NOM;MASC;SG
esp	esp	esp	esp		N;MASC;SG
laurent	laurent	laurent	laurent	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
motorları	motori	motor	motor	N;ACC;PL;3	N;NOM;MASC;PL
touch	dodirni	touch	dodiran		ADV
touch	dodir	touch	dodir		N;NOM;MASC;SG
touch	dodirom	touch	dodir		N;INS;MASC;SG
discovery	otkrića	discovery	otkriće	N;NOM;SG;3	N;NOM;NEUT;PL
kürek	veslanje	kürek	veslanje		N;NOM;NEUT;SG
kürek	lopata	kürek	lopat		N;NOM;FEM;SG
kürek	veslo	kürek	veslo		N;NOM;NEUT;SG
kürek	reket	kürek	reket		N;NOM;MASC;SG
kürek	redak	kürek	redak		N;NOM;MASC;SG
kürek	red	kürek	red		N;NOM;MASC;SG
bilbao	bilbao	bilbao	bilbati	PROPN;NOM;SG;3	N;NOM;MASC;SG
bahçeleri	vrtovi	bahçe	vrt	N;ACC;PL;3	N;NOM;MASC;PL
bahçeleri	gardens	bahçe	gardens	N;ACC;PL;3	N;NOM;MASC;SG
takas	trgovina	takas	trgovina		N;NOM;FEM;SG
takas	trgovanje	takas	trgovanje		N;NOM;NEUT;SG
takas	razmjena	takas	razmjena		N;NOM;FEM;SG
takas	zamjenu	takas	zamjena		N;ACC;FEM;SG
cola	koke	cola	koka		N;NOM;FEM;PL
cola	colu	cola	col		N;ACC;FEM;SG
cola	kokain	cola	kokain		N;NOM;MASC;SG
cola	koka	cola	kok		N;NOM;FEM;SG
cola	cola	cola	col		N;NOM;FEM;SG
cola	cola	cola	col		N;NOM;FEM;SG
dul	udovac	dul	udovac		N;NOM;MASC;SG
