til	for	til	for	ADV	
valg	választások	valg	választás	N;INDF;NEUT;SG	N;NOM;PL
valg	döntések	valg	döntés	N;INDF;NEUT;SG	N;NOM;PL
valg	választási	valg	választási	N;INDF;NEUT;SG	ADJ;NOM;SG
valg	választás	valg	választás	N;INDF;NEUT;SG	
valg	választások	valg	választás	N;INDF;NEUT;SG	N;NOM;PL
valg	választás	valg	választás	N;INDF;NEUT;SG	
træk	húzd	træk	húzd	N;INDF;NEUT;SG	V;DEF;IMP;SG;2;PRS;FIN;ACT
træk	húzd	træk	húzd	N;INDF;NEUT;SG	V;DEF;IMP;SG;2;PRS;FIN;ACT
træk	rajzolni	træk	rajzol	N;INDF;NEUT;SG	V;NFIN;ACT
træk	rajzol	træk	rajzol	N;INDF;NEUT;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
rejse	utazások	rejse	utazás	N;INDF;MASC+FEM;SG	N;NOM;PL
udover	azonkívül	udover	azonkívül	ADV	
ønskede	kívánt	ønske	kíván	V;PL;PST;V.PTCP	
ønskede	kívánatos	ønske	kívánatos	V;PL;PST;V.PTCP	ADJ;NOM;SG
ønskede	akartam	ønske	akar	V;PL;PST;V.PTCP	V;INDF;IND;SG;1;PST;FIN;ACT
ønskede	körözött	ønske	köröz	V;PL;PST;V.PTCP	
ønskede	kívánta	ønske	kíván	V;PL;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
ønskede	kívántam	ønske	kíván	V;PL;PST;V.PTCP	V;DEF;IND;SG;1;PST;FIN;ACT
pedersen	pedersen	peders	peders	PROPN	
knud	knud	knud	knud		
sep	sep	sep	sep	N;INDF;MASC+FEM;SG	
militære	katonaság	militær	katonaság	ADJ;PL	N;NOM;SG
militære	katonai	militær	katonai	ADJ;PL	ADJ;NOM;SG
militære	hadsereg	militær	hadsereg	ADJ;PL	N;NOM;SG
delstat	állami	delstat	állami	N;INDF;MASC+FEM;SG	
model	model	model	model	N;INDF;MASC+FEM;SG	
russisk	orosz	russisk	orosz	ADJ;INDF;SG	
russisk	oroszul	russisk	orosz	ADJ;INDF;SG	
russisk	oroszország	russisk	oroszország	ADJ;INDF;SG	N;NOM;SG
grand	grand	grand	grand		
prisen	árak	pris	ár	N;DEF;MASC+FEM;SG	N;NOM;PL
prisen	ár	pris	ár	N;DEF;MASC+FEM;SG	
slået	megverték	slå	megver	V;INDF;SG;PST;V.PTCP	V;DEF;IND;PL;3;PST;FIN;ACT
slået	megvert	slå	megver	V;INDF;SG;PST;V.PTCP	
slået	legyőzte	slå	legyőz	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
foran	front	foran	front	ADV	
foran	eleje	foran	eleje	ADV	N;NOM;SG
led	ízületek	led	ízület	N;INDF;NEUT;SG	N;NOM;PL
ludvig	ludvig	ludvig	ledvig	N;INDF;MASC+FEM;SG	
ludvig	louis	ludvig	louis	N;INDF;MASC+FEM;SG	
ludvig	lajos	ludvig	lajos	N;INDF;MASC+FEM;SG	
sikre	biztonságos	sikre	biztonságos	V;NFIN;ACT	ADJ;NOM;SG
sikre	biztonságos	sikre	biztonságos	V;NFIN;ACT	ADJ;NOM;SG
sikre	biztonságban	sikre	biztonság	V;NFIN;ACT	N;IN+ESS;SG
sikre	széf	sikre	széf	V;NFIN;ACT	N;NOM;SG
sikre	biztonság	sikre	biztonság	V;NFIN;ACT	N;NOM;SG
randers	randers	rande	randers	N;INDF;MASC+FEM;SG	
samfund	közösségek	samfund	közösség	N;INDF;NEUT;SG	N;NOM;PL
samfund	társadalmak	samfund	társadalom	N;INDF;NEUT;SG	N;NOM;PL
wilhelm	wilhelm	wilhelm	wilhelm	N;INDF;MASC+FEM;SG	
records	feljegyzések	records	feljegyzés	N;INDF;NEUT;SG	N;NOM;PL
records	nyilvántartások	records	nyilvántartás	N;INDF;NEUT;SG	N;NOM;PL
faldt	fell	falde	fell	V;IND;PST;FIN;ACT	
økonomisk	gazdasági	økonomisk	gazdasági	ADV	ADJ;NOM;SG
økonomisk	pénzügyi	økonomisk	pénzügyi	ADV	ADJ;NOM;SG
økonomisk	gazdaságilag	økonomisk	gazdasági	ADV	
sort	fekete	sort	feket	ADJ;INDF;SG	
sort	black	sort	black	ADJ;INDF;SG	
sort	fajta	sort	fajta	ADJ;INDF;SG	
vilhelm	william	vilhelm	william	N;INDF;MASC+FEM;SG	
vilhelm	vilmos	vilhelm	vilmos	N;INDF;MASC+FEM;SG	
vilhelm	vilhelm	vilhelm	vilhelm	N;INDF;MASC+FEM;SG	
vis	mutasd	vis	mutasd	N;INDF;MASC+FEM;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
vis	show	vis	show	N;INDF;MASC+FEM;SG	
generelt	általánosságban	generel	általánosság	ADV	N;IN+ESS;SG
generelt	általában	generel	általában	ADV	
generelt	átfogó	generel	átfogó	ADV	
generelt	összességében	generel	összesség	ADV	N;IN+ESS;SG
generelt	általános	generel	általános	ADV	
generelt	tábornok	generel	tábornok	ADV	N;NOM;SG
romerske	római	romersk	római	ADJ;PL	ADJ;NOM;SG
romerske	roman	romersk	roman	ADJ;PL	
skibet	hajón	skib	hajó	N;DEF;NEUT;SG	
magt	power	magt	power	N;INDF;MASC+FEM;SG	
olsen	olsen	olse	olsen	PROPN	
skov	erdő	skov	erdő	N;INDF;MASC+FEM;SG	
skov	erdők	skov	erdő	N;INDF;MASC+FEM;SG	N;NOM;PL
skov	erdei	skov	erdei	N;INDF;MASC+FEM;SG	
skov	erdő	skov	erdő	N;INDF;MASC+FEM;SG	
skov	erdők	skov	erdő	N;INDF;MASC+FEM;SG	N;NOM;PL
skov	erdők	skov	erdő	N;INDF;MASC+FEM;SG	N;NOM;PL
forslag	pályázat	forslag	pályázat	N;INDF;NEUT;PL	N;NOM;SG
forslag	javaslat	forslag	javaslat	N;INDF;NEUT;PL	N;NOM;SG
forslag	javaslat	forslag	javaslat	N;INDF;NEUT;PL	N;NOM;SG
grænsen	határokon	grænse	határ	N;DEF;MASC+FEM;SG	N;ON+ESS;PL
stat	állami	stat	állami	N;INDF;MASC+FEM;SG	
union	union	union	union	N;INDF;MASC+FEM;SG	
union	unió	union	unió	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
union	unión	union	unió	N;INDF;MASC+FEM;SG	
union	uniós	union	uniós	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
ændret	módosítva	ændre	módosítva	V;INDF;SG;PST;V.PTCP	ADV;V.CVB
ændret	módosítva	ændre	módosítva	V;INDF;SG;PST;V.PTCP	ADV;V.CVB
bor	live	bo	live	V;IND;PRS;FIN;ACT	
bor	élőben	bo	élő	V;IND;PRS;FIN;ACT	N;IN+ESS;SG
bor	élő	bo	élő	V;IND;PRS;FIN;ACT	
bor	fúró	bo	fúró	V;IND;PRS;FIN;ACT	N;NOM;SG
bor	drill	bo	drill	V;IND;PRS;FIN;ACT	
bor	bór	bo	bór	V;IND;PRS;FIN;ACT	N;NOM;SG
allierede	szövetséges	alliere	szövetséges	V;PL;PST;V.PTCP	ADJ;NOM;SG
allierede	szövetséges	alliere	szövetséges	V;PL;PST;V.PTCP	ADJ;NOM;SG
allierede	szövetségesek	alliere	szövetséges	V;PL;PST;V.PTCP	N;NOM;PL
allierede	szövetséges	alliere	szövetséges	V;PL;PST;V.PTCP	ADJ;NOM;SG
allierede	szövetségesek	alliere	szövetséges	V;PL;PST;V.PTCP	N;NOM;PL
allierede	ally	alliere	ally	V;PL;PST;V.PTCP	
faktisk	valóban	faktisk	valóban	ADV	
faktisk	valójában	faktisk	valójában	ADV	N;IN+ESS;SG
schweiz	svájc	schweiz	svájc		
schweiz	svájc	schweiz	svájc		
schweiz	svájci	schweiz	svájci		
tilsvarende	hasonlók	tilsvarende	hasonló	ADJ	N;NOM;PL
tilsvarende	megfelelője	tilsvarende	megfelelő	ADJ	N;NOM;SG
tilsvarende	hasonlóképpen	tilsvarende	hasonlóképpen	ADJ	
endvidere	továbbá	endvidere	továbbá	ADV	
spørgsmål	kérdés	spørgsmål	kérdés	N;INDF;NEUT;PL	N;NOM;SG
spørgsmål	kérdés	spørgsmål	kérdés	N;INDF;NEUT;PL	N;NOM;SG
udbredt	széleskörű	udbrede	széleskörű	V;INDF;SG;PST;V.PTCP	ADJ;NOM;SG
harry	harry	harry	harry		
holsten	holstein	holst	holstein	N;DEF;MASC+FEM;SG	
alexander	sándor	alexander	sándor	N;INDF;MASC+FEM;SG	
alexander	alexander	alexander	alexander	N;INDF;MASC+FEM;SG	
kristne	keresztények	kristen	keresztény	ADJ;PL	N;NOM;PL
inde	belül	inde	belül	ADV	ADP
begynder	kezdetek	begynde	kezdet	V;IND;PRS;FIN;ACT	N;NOM;PL
begynder	kezdete	begynde	kezdet	V;IND;PRS;FIN;ACT	N;NOM;SG
begynder	eleje	begynde	eleje	V;IND;PRS;FIN;ACT	N;NOM;SG
begynder	kezdet	begynde	kezd	V;IND;PRS;FIN;ACT	N;NOM;SG
begynder	kezdő	begynde	kezdő	V;IND;PRS;FIN;ACT	
begynder	kezdve	begynde	kezdv	V;IND;PRS;FIN;ACT	N;ON+ESS;SG
tab	veszteségek	tab	veszteség	N;INDF;NEUT;SG	N;NOM;PL
tab	veszteségek	tab	veszteség	N;INDF;NEUT;SG	N;NOM;PL
tab	veszteségeket	tab	veszteség	N;INDF;NEUT;SG	N;ACC;PL
louis	louis	louis	louis		
louis	lajos	louis	lajos		
eksempler	példa	eksempel	példa	N;INDF;NEUT;PL	N;NOM;SG
udviklede	fejlett	udvikle	fejlett	V;PL;PST;V.PTCP	
udviklede	fejlesztett	udvikle	fejlesztett	V;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
udviklede	kifejlesztett	udvikle	kifejlesztett	V;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
udviklede	kidolgozott	udvikle	kidolgozott	V;PL;PST;V.PTCP	
udviklede	fejlődött	udvikle	fejlődik	V;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
fandtes	léteztek	fande	létezik	V;IND;PRS;FIN;PASS	V;INDF;IND;PL;3;PST;FIN;ACT
fandtes	létezett	fande	létezik	V;IND;PRS;FIN;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
højt	high	høj	high	ADJ;INDF;NEUT;SG	
højt	magasan	høj	magasan	ADJ;INDF;NEUT;SG	
højt	hangos	høj	hangos	ADJ;INDF;NEUT;SG	
best	legjobbak	best	jó		N;NOM;PL
best	legjobb	best	jó		
best	best	best	best		
skabt	létrehozott	skabe	létrehozott	V;INDF;SG;PST;V.PTCP	N;ACC;SG
skabt	létrehozva	skabe	létrehozva	V;INDF;SG;PST;V.PTCP	N;NOM;SG
nov	nov	nov	nov		N;NOM;SG
slag	robbantani	slag	robbant	N;INDF;NEUT;SG	V;NFIN;ACT
slag	ütések	slag	ütés	N;INDF;NEUT;SG	N;NOM;PL
slag	ütéseket	slag	ütés	N;INDF;NEUT;SG	N;ACC;PL
jean	jean	jean	jean		
kontrakt	szerződés	kontrakt	szerződés	N;INDF;MASC+FEM;SG	
tom	üresek	tom	üres		ADJ;NOM;PL
tom	üres	tom	üres		
tom	üresen	tom	üres		ADJ;FRML;SG
tom	tomi	tom	tomi		
tom	tom	tom	tom		
udført	kész	udføre	kész	V;INDF;SG;PST;V.PTCP	
tildelt	hozzárendelve	tildele	hozzárendelve	V;INDF;SG;PST;V.PTCP	ADV;V.CVB
tildelt	kijelölt	tildele	kijelölt	V;INDF;SG;PST;V.PTCP	
italiensk	olasz	italiensk	olasz	ADJ;INDF;SG	
italiensk	olaszország	italiensk	olaszország	ADJ;INDF;SG	
græsk	görög	græsk	görög	ADJ;INDF;SG	
enheder	egység	enhed	egység	N;INDF;MASC+FEM;PL	N;NOM;SG
goals	célkitűzések	goals	célkitűzés		N;NOM;PL
goals	célokat	goals	cél		N;ACC;PL
goals	célok	goals	cél		N;NOM;PL
våben	fegyver	våben	fegyver	N;INDF;NEUT;PL	N;NOM;SG
våben	fegyver	våben	fegyver	N;INDF;NEUT;PL	N;NOM;SG
våben	fegyvert	våben	fegyver	N;INDF;NEUT;PL	N;ACC;SG
våben	fegyver	våben	fegyver	N;INDF;NEUT;PL	N;NOM;SG
våben	pisztoly	våben	pisztoly	N;INDF;NEUT;PL	N;NOM;SG
våben	fegyvert	våben	fegyver	N;INDF;NEUT;PL	N;ACC;SG
våben	kar	våben	kar	N;INDF;NEUT;PL	N;NOM;SG
wien	wien	wien	wien	PROPN	
wien	bécs	wien	bécs	PROPN	N;NOM;SG
wien	bécsi	wien	bécsi	PROPN	
spor	nyomon	spor	nyomon	N;INDF;NEUT;SG	
spor	nyomok	spor	nyom	N;INDF;NEUT;SG	N;NOM;PL
spor	nyomokat	spor	nyom	N;INDF;NEUT;SG	N;ACC;PL
spor	sínek	spor	sín	N;INDF;NEUT;SG	N;NOM;PL
hertug	duke	hertug	duke	N;INDF;MASC+FEM;SG	
havet	tengeren	hav	tenger	N;DEF;NEUT;SG	
havet	tengeri	hav	tengeri	N;DEF;NEUT;SG	
havet	óceán	hav	óceán	N;DEF;NEUT;SG	
havet	ocean	hav	ocean	N;DEF;NEUT;SG	
klar	kész	klar	kész	ADJ;INDF;MASC+FEM;SG	
klar	tiszta	klar	tiszta	ADJ;INDF;MASC+FEM;SG	
west	nyugat	west	nyugat	N;INDF;MASC+FEM;SG	
west	nyugati	west	nyugati	N;INDF;MASC+FEM;SG	
rejste	utazott	rejse	utazik	V;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
rejste	utazott	rejse	utazik	V;PL;PST;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
penge	pénz	penge	pénz	N;INDF;MASC+FEM;PL	N;NOM;SG
penge	pénzt	penge	pénz	N;INDF;MASC+FEM;PL	N;ACC;SG
lys	light	lys	light	N;INDF;NEUT;SG	
lys	lámpák	lys	lámpa	N;INDF;NEUT;SG	N;NOM;PL
lys	fények	lys	fény	N;INDF;NEUT;SG	N;NOM;PL
ekstra	extra	ekstra	extra	ADJ	
hvilke	ami	hvilken	ami	PRO;PL	PRO;NOM;SG;3
hvilke	melyik	hvilken	melyik	PRO;PL	
hvilke	mely	hvilken	mely	PRO;PL	
hvilke	amely	hvilken	amely	PRO;PL	PRO;NOM;SG;3
stift	merev	stiv	merev	ADJ;INDF;NEUT;SG	
stift	merev	stiv	merev	ADJ;INDF;NEUT;SG	
stift	egyházmegye	stiv	egyházmegy	ADJ;INDF;NEUT;SG	N;NOM;SG
produktion	termelési	produktion	termelési	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
vejle	vejle	vejle	vejle	PROPN	PROPN;NOM;SG
tekniske	műszaki	teknisk	műszaki	ADJ;PL	N;NOM;SG
tekniske	technikai	teknisk	technikai	ADJ;PL	ADJ;NOM;SG
fører	érdeklődők	føre	érdeklődő	V;IND;PRS;FIN;ACT	N;NOM;PL
fører	érdeklődő	føre	érdeklődő	V;IND;PRS;FIN;ACT	ADJ;NOM;SG
fører	sofőr	føre	sofőr	V;IND;PRS;FIN;ACT	N;NOM;SG
fører	vezető	føre	vezető	V;IND;PRS;FIN;ACT	
fører	meghajtó	føre	meghajtó	V;IND;PRS;FIN;ACT	N;NOM;SG
fører	kocsis	føre	kocsis	V;IND;PRS;FIN;ACT	
fører	járművezető	føre	járművezető	V;IND;PRS;FIN;ACT	N;NOM;SG
fører	führer	føre	führer	V;IND;PRS;FIN;ACT	N;NOM;SG
slægt	kin	slægge	kin	N;INDF;MASC+FEM;SG	
huset	house	hus	hous	N;DEF;NEUT;SG	
huset	házon	hus	ház	N;DEF;NEUT;SG	ADJ;FRML;SG
spanske	spanyolul	spansk	spanyolul	ADJ;PL	
spanske	spanyolok	spansk	spanyol	ADJ;PL	N;NOM;PL
spanske	spanyol	spansk	spanyol	ADJ;PL	
forældre	anyavállalat	forælder	anyavállalat	N;INDF;MASC+FEM;PL	N;NOM;SG
forældre	szülői	forælder	szülői	N;INDF;MASC+FEM;PL	N;NOM;SG
forældre	szülő	forælder	szülő	N;INDF;MASC+FEM;PL	N;NOM;SG
tabte	lost	tabe	lost	V;IND;PST;FIN;ACT	
kongens	kinga	konge	kinga	N;GEN;DEF;MASC+FEM;SG	
fjerde	negyedszer	fjerde	negyedszer	ADJ	
fjerde	negyedik	fjerde	negyed	ADJ	
minutter	perc	minut	perc	N;INDF;NEUT;PL	N;NOM;SG
minutter	jegyzőkönyv	minut	jegyzőkönyv	N;INDF;NEUT;PL	N;NOM;SG
adgang	belépés	adgang	belépés	N;INDF;MASC+FEM;SG	
sten	kövek	sten	köv	N;INDF;MASC+FEM;SG	N;NOM;PL
sten	stone	sten	stone	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
sten	kövek	sten	köv	N;INDF;MASC+FEM;SG	N;NOM;PL
sten	sziklák	sten	szik	N;INDF;MASC+FEM;SG	N;NOM;PL
sten	sten	sten	sten	N;INDF;MASC+FEM;SG	
sten	rock	sten	rock	N;INDF;MASC+FEM;SG	
professionel	profi	professionel	profi	ADJ;INDF;MASC+FEM;SG	
australien	ausztrália	australie	ausztrália	PROPN	N;NOM;SG
lade	pajta	lade	pajta	V;NFIN;ACT	N;NOM;SG
lade	istálló	lade	istálló	V;NFIN;ACT	N;NOM;SG
solgte	eladva	sælge	eladva	V;PST;FIN;ACT	ADV;V.CVB
stiftet	egyházmegye	stift	egyházmegy	V;INDF;SG;PST;V.PTCP	N;NOM;SG
kraft	force	kraft	force	N;INDF;MASC+FEM;SG	
kraft	power	kraft	power	N;INDF;MASC+FEM;SG	
nordiske	skandináv	nordisk	skandináv	ADJ;PL	
nordiske	északi	nordisk	északi	ADJ;PL	
skriver	írj	skrive	írj	V;IND;PRS;FIN;ACT	
skriver	írjon	skrive	ír	V;IND;PRS;FIN;ACT	V;INDF;IMP;SG;3;PRS;FIN;ACT
skriver	írással	skrive	írás	V;IND;PRS;FIN;ACT	N;INS;SG
skriver	írás	skrive	írás	V;IND;PRS;FIN;ACT	N;NOM;SG
skriver	írása	skrive	írás	V;IND;PRS;FIN;ACT	N;NOM;SG
studier	vizsgálat	studi	vizsgálat	N;INDF;NEUT;PL	N;NOM;SG
studier	tanulás	studi	tanulás	N;INDF;NEUT;PL	N;NOM;SG
studier	tanulmány	studi	tanulmány	N;INDF;NEUT;PL	N;NOM;SG
sagde	said	sige	said	V;IND;PST;FIN;ACT	
hvid	fehér	hvid	fehér	ADJ;INDF;MASC+FEM;SG	
private	magán	privat	maga	ADJ;PL	
private	privát	privat	priva	ADJ;PL	
ønsker	kívánság	ønske	kívánság	V;IND;PRS;FIN;ACT	N;NOM;SG
ønsker	bárcsak	ønske	bárcsak	V;IND;PRS;FIN;ACT	
ønsker	kívánó	ønske	kívánó	V;IND;PRS;FIN;ACT	
ønsker	kívánság	ønske	kívánság	V;IND;PRS;FIN;ACT	N;NOM;SG
los	los	los	los	PROPN	
los	hiúz	los	hiúz	PROPN	N;NOM;SG
trak	drew	trække	drew	V;IND;PST;FIN;ACT	N;NOM;SG
ridder	ser	ridder	ser	N;INDF;MASC+FEM;SG	
oprindelig	kezdetben	oprindelig	kezdet	ADV	N;IN+ESS;SG
oprindelig	eleinte	oprindelig	eleint	ADV	
oprindelig	eredetileg	oprindelig	eredeti	ADV	
oprindelig	kezdeti	oprindelig	kezdeti	ADV	ADJ;NOM;SG
oprindelig	eredeti	oprindelig	eredeti	ADV	N;NOM;SG
central	központi	central	központi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
seneste	legutóbbi	sen	legutóbbi	ADJ;DEF;RL	
seneste	nemrég	sen	nemrég	ADJ;DEF;RL	ADV
seneste	legutóbbi	sen	legutóbbi	ADJ;DEF;RL	
sorte	fekete	sort	feket	ADJ;PL	
sorte	black	sort	black	ADJ;PL	
sorte	feketék	sort	feke	ADJ;PL	N;NOM;PL
lee	lee	lee	lee		
saint	saint	saint	saint		
saint	szent	saint	szent		
vigtige	fontos	vigtig	fontos	ADJ;PL	ADJ;NOM;SG
angrebet	megtámadott	angreb	meg+támad	N;DEF;NEUT;SG	V;INDF;IND;SG;3;PST;FIN;ACT
angrebet	megtámadta	angreb	meg+támad	N;DEF;NEUT;SG	V;DEF;IND;SG;3;PST;FIN;ACT
angrebet	megtámadtak	angreb	meg+támad	N;DEF;NEUT;SG	V;INDF;IND;PL;3;PST;FIN;ACT
planter	növény	planter	növény	N;INDF;MASC+FEM;PL	N;NOM;SG
kvinde	nö	kvinde	nö	N;INDF;MASC+FEM;SG	
kvinde	nőnemű	kvinde	nőnemű	N;INDF;MASC+FEM;SG	
kvinde	női	kvinde	női	N;INDF;MASC+FEM;SG	
yngre	fiatalabbnak	ung	fiatalab	ADJ;CMPR	N;IN+ESS;SG
yngre	fiatalabbak	ung	fiatal	ADJ;CMPR	N;NOM;PL
henry	henrik	henry	henrik		N;NOM;SG
henry	henry	henry	henry		
oplysninger	info	oplysning	info	N;INDF;MASC+FEM;PL	
oplysninger	infó	oplysning	infó	N;INDF;MASC+FEM;PL	
oplysninger	információ	oplysning	információ	N;INDF;MASC+FEM;PL	N;NOM;SG
oplysninger	információ	oplysning	információ	N;INDF;MASC+FEM;PL	N;NOM;SG
oplysninger	tájékoztatás	oplysning	tájékoztatás	N;INDF;MASC+FEM;PL	N;NOM;SG
oplysninger	adat	oplysning	adat	N;INDF;MASC+FEM;PL	N;NOM;SG
oplysninger	adatforgalom	oplysning	adatforgalom	N;INDF;MASC+FEM;PL	N;NOM;SG
intet	semmi	ingen	semmi	PRO;NEUT;SG	PRO;NOM;SG;3
svært	nehéz	svær	nehéz	ADJ;INDF;NEUT;SG	
svært	kemény	svær	kemény	ADJ;INDF;NEUT;SG	
svært	nehéz	svær	nehéz	ADJ;INDF;NEUT;SG	
svært	bonyolult	svær	bonyolult	ADJ;INDF;NEUT;SG	
joseph	joseph	joseph	joseph	N;INDF;MASC+FEM;SG	
joseph	józsef	joseph	józsef	N;INDF;MASC+FEM;SG	
landsbyen	falusi	landsby	falusi	N;DEF;MASC+FEM;SG	ADJ;NOM;SG
line	line	lin	line		
line	sor	lin	sor		
line	vonal	lin	vonal		N;NOM;SG
græske	görög	græsk	görög	ADJ;PL	
jord	földterületek	jord	földterület	N;INDF;MASC+FEM;SG	N;NOM;PL
dig	te	du	te	PRO;ACC;MASC+FEM;SG;2	V;DEF;IND;SG;1;PRS;FIN;ACT
enig	egyetértek	enig	egyetért	ADJ;INDF;MASC+FEM;SG	V;INDF;IND;PL;3;PST;FIN;ACT
berømte	híres	berømt	híres	ADJ;PL	
berømte	híresség	berømt	híresség	ADJ;PL	N;NOM;SG
bad	zápor	bede	zápor	V;IND;PST;FIN;ACT	N;NOM;SG
bad	zuhany	bede	zuhany	V;IND;PST;FIN;ACT	N;NOM;SG
bad	bad	bede	bad	V;IND;PST;FIN;ACT	
bad	rosz	bede	rosz	V;IND;PST;FIN;ACT	
bad	rossz	bede	rossz	V;IND;PST;FIN;ACT	
bad	fürdő	bede	fürdő	V;IND;PST;FIN;ACT	N;NOM;SG
bad	fürdés	bede	fürdés	V;IND;PST;FIN;ACT	N;NOM;SG
former	nyomtatvány	form	nyomtatvány	N;INDF;MASC+FEM;PL	N;NOM;SG
star	csillagos	star	csillagos		N;NOM;SG
star	csillag	star	csillag		N;NOM;SG
star	sztár	star	sztár		N;NOM;SG
latin	latin	latin	latin		
latin	latinul	latin	latinul		
ude	ki	ude	ki	ADV	PRO;NOM;SG;3
grønland	grönlandi	grønland	grönlandi	N;INDF;NEUT;SG	
efteråret	ősz	efterår	ősz	N;DEF;NEUT;SG	
efteråret	őszi	efterår	őszi	N;DEF;NEUT;SG	
efteråret	ősszel	efterår	ősszel	N;DEF;NEUT;SG	ADV
klart	világos	klart	világos	ADV	ADJ;NOM;SG
klart	tiszta	klart	tiszta	ADV	
holder	jogosultja	holde	jogosult	V;IND;PRS;FIN;ACT	N;NOM;SG
holder	jogosult	holde	jogosul	V;IND;PRS;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
münchen	münchen	münche	münchen	PROPN	N;NOM;SG
münchen	münchen	münche	münchen	PROPN	N;NOM;SG
frank	feri	frank	feri		
frank	frank	frank	frank		
plan	szintű	plan	szintű	N;INDF;MASC+FEM;SG	
betegnelse	megjelölés	betegnelse	megjelölés	N;INDF;MASC+FEM;SG	
show	mutasd	show	mutasd	N;INDF;NEUT;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
show	show	show	show	N;INDF;NEUT;SG	
north	észak	north	észak	N;INDF;MASC+FEM;SG	
north	északi	north	északi	N;INDF;MASC+FEM;SG	
american	amerikai	american	amerikai	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
materiale	anyagok	materiale	anyag	N;INDF;NEUT;SG	N;NOM;PL
materiale	alapanyagok	materiale	alapanyag	N;INDF;NEUT;SG	N;NOM;PL
materiale	anyagok	materiale	anyag	N;INDF;NEUT;SG	N;NOM;PL
biskop	futó	biskop	futó	N;INDF;MASC+FEM;SG	
biskop	bishop	biskop	bishop	N;INDF;MASC+FEM;SG	
air	levegő	air	levegő		N;NOM;SG
air	air	air	air		
timer	óra	time	óra	N;INDF;MASC+FEM;PL	N;NOM;SG
timer	időzítő	time	időzítő	N;INDF;MASC+FEM;PL	N;NOM;SG
personlige	személyes	personlig	személyes	ADJ;PL	ADJ;NOM;SG
personlige	személyi	personlig	személyi	ADJ;PL	ADJ;NOM;SG
sidder	ülve	sidde	ülve	V;IND;PRS;FIN;ACT	
andreas	andreas	andrens	andreas	PROPN	
umiddelbart	azonnal	umiddelbart	azonnal	ADV	
umiddelbart	azonnali	umiddelbart	azonnali	ADV	
olympiske	olimpiai	olympisk	olimpiai	ADJ;PL	ADJ;NOM;SG
ejer	tulaj	eje	tulaj	V;IND;PRS;FIN;ACT	N;NOM;SG
ejer	tulajdonos	eje	tulajdonos	V;IND;PRS;FIN;ACT	N;NOM;SG
ejer	tulajdonosa	eje	tulajdonos	V;IND;PRS;FIN;ACT	N;NOM;SG
moskva	moszkvai	moskva	moszkvai	PROPN	ADJ;NOM;SG
moskva	moszkvában	moskva	moszkva	PROPN	PROPN;IN+ESS;SG
moskva	moszkva	moskva	moszkva	PROPN	
oprindelse	eredetű	oprindelse	eredetű	N;INDF;MASC+FEM;SG	
king	kinga	king	kinga		
universitetet	university	universitet	university	N;DEF;NEUT;SG	
ung	fiatalok	ung	fiatal	ADJ;INDF;MASC+FEM;SG	N;NOM;PL
ung	fiatal	ung	fiatal	ADJ;INDF;MASC+FEM;SG	
friedrich	friedrich	friedrich	friedrich	N;INDF;MASC+FEM;SG	
mit	enyém	min	enyém	DET;NEUT;SG;1	N;NOM;SG
france	franciaország	france	franciaország		N;NOM;SG
france	france	france	france		
student	hallgató	student	hallgató	N;INDF;MASC+FEM;SG	
student	tanuló	student	tanuló	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
vært	fogadó	være	fogadó	N;INDF;MASC+FEM;SG	
smith	kovács	smith	kovács		
smith	smith	smith	smith		
forbundet	kapcsolódott	forbund	kapcsolódott	N;DEF;NEUT;SG	V;INDF;IND;SG;3;PST;FIN;ACT
forbundet	kapcsolt	forbund	kapcsolt	N;DEF;NEUT;SG	
forbundet	összekapcsolt	forbund	összekapcsolt	N;DEF;NEUT;SG	
forbundet	kapcsolt	forbund	kapcsolt	N;DEF;NEUT;SG	
forbundet	kapcsolódott	forbund	kapcsolódott	N;DEF;NEUT;SG	V;INDF;IND;SG;3;PST;FIN;ACT
forbundet	kapcsolódó	forbund	kapcsolódó	N;DEF;NEUT;SG	ADJ;NOM;SG
forbundet	összekapcsolt	forbund	összekapcsolt	N;DEF;NEUT;SG	
bestående	meglévő	bestå	meglévő	V;PRS;V.PTCP	
