और	oraz	और	oraz		CONJ
बड़ा	big	बड़ा	big	ADJ;NOM;MASC;SG	
बड़ा	świetnie	बड़ा	świetnie	ADJ;NOM;MASC;SG	ADV
बड़ा	super	बड़ा	super	ADJ;NOM;MASC;SG	
बड़ा	wspaniale	बड़ा	wspaniale	ADJ;NOM;MASC;SG	
बड़ा	większej	बड़ा	duży	ADJ;NOM;MASC;SG	ADJ;GEN;CMPR;FEM;SG
बड़ा	większego	बड़ा	duży	ADJ;NOM;MASC;SG	ADJ;ACC;CMPR;MASC;SG
स्तर	poziomy	स्तर	poziom	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्तर	poziomów	स्तर	poziom	N;NOM;MASC;SG;3	N;GEN;MASC;PL
स्तर	poziomie	स्तर	poziom	N;NOM;MASC;SG;3	N;INS;MASC;SG
स्तर	poziomu	स्तर	poziom	N;NOM;MASC;SG;3	N;GEN;MASC;SG
बनाया	wykonane	बना	wykonać	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
बनाया	made	बना	mada	V;PFV;MASC;SG;V.PTCP;ACT	
बनाया	zrobione	बना	zrobić	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
बनाया	utworzona	बना	utworzyć	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
बनाया	utworzony	बना	utworzyć	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
बनाया	utworzone	बना	utworzyć	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
जारी	kontynuacja	जारी	kontynuacja	ADJ	N;NOM;FEM;SG
जारी	kontynuował	जारी	kontynuować	ADJ	V;IPFV;MASC;IND;SG;PST;FIN;ACT
जारी	wydano	जारी	wydać	ADJ	V;PFV;IND;0;PST;FIN;ACT
जबकि	podczas	जबकि	podczas	CONJ	ADP
चित्र	zdjecie	चित्र	zdjecie	N;NOM;MASC;SG;3	V;PFV;IND;SG;FIN;ACT
चित्र	zdjęcia	चित्र	zdjęcie	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
चित्र	obrazki	चित्र	obrazek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
चित्र	zdjecia	चित्र	zdjecie	N;NOM;MASC;SG;3	V;PFV;IND;SG;FIN;ACT
चित्र	wizerunek	चित्र	wizerunek	N;NOM;MASC;SG;3	N;ACC;MASC;SG
चित्र	zdjęcia	चित्र	zdjęcie	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
चित्र	obrazów	चित्र	obraz	N;NOM;MASC;SG;3	N;GEN;MASC;PL
चित्र	obrazy	चित्र	obraz	N;NOM;MASC;SG;3	N;NOM;MASC;PL
चित्र	obrazki	चित्र	obrazek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
इससे	from	यह	from	PRO;SG;3	
इससे	od	यह	od	PRO;SG;3	ADP
इससे	wymyśla	यह	wymyślać	PRO;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
प्रणाली	systemu	प्रणाली	system	N;NOM;FEM;SG;3	N;GEN;MASC;SG
प्रणाली	system	प्रणाली	system	N;NOM;FEM;SG;3	N;ACC;MASC;SG
प्रणाली	systemowe	प्रणाली	systemowy	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
सरकारी	urzędnik	सरकारी	urzędnik	ADJ;NOM	N;NOM;MASC;SG
सरकारी	urzędowym	सरकारी	urzędowy	ADJ;NOM	ADJ;INS;MASC;SG
सरकारी	oficjalnie	सरकारी	oficjalnie	ADJ;NOM	ADV
सरकारी	rząd	सरकारी	rząd	ADJ;NOM	N;NOM;MASC;SG
जहां	gdzie	जहाँ	gdzie	PRO;NOM	ADV
देशों	krajów	देश	kraj	N;ACC;MASC;PL;3	N;GEN;MASC;PL
देशों	kraje	देश	kraj	N;ACC;MASC;PL;3	N;NOM;MASC;PL
जल	wody	जल	woda	N;NOM;MASC;SG;3	N;GEN;FEM;SG
सूची	listy	सूची	list	N;NOM;FEM;SG;3	
सूची	listę	सूची	lista	N;NOM;FEM;SG;3	N;ACC;FEM;SG
सूची	listy	सूची	list	N;NOM;FEM;SG;3	
सूची	wykazy	सूची	wykaz	N;NOM;FEM;SG;3	N;ACC;MASC;PL
रखा	trzymane	रख	trzymać	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
रखा	trzymany	रख	trzymać	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
विचार	pomysl	विचार	pomysl	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
विचार	pomysły	विचार	pomysł	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विचार	idee	विचार	idee	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विचार	pomysłów	विचार	pomysł	N;NOM;MASC;SG;3	N;GEN;MASC;PL
विचार	koncepcje	विचार	koncepcja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विचार	myślał	विचार	myśleć	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;PST;FIN;ACT
विचार	myślał	विचार	myśleć	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;PST;FIN;ACT
विचार	myśl	विचार	myśleć	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN;ACT
विचार	pomyślał	विचार	pomyśleć	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
विचार	mysli	विचार	mysleć	N;NOM;MASC;SG;3	V;IPFV;IND;SG;PRS;FIN;ACT
विचार	myśli	विचार	myśleć	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
विचार	przemyślenia	विचार	przemyślenie	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
छोटे	małych	छोटा	mały	ADJ;NOM;MASC;PL	N;GEN;MASC;PL
छोटे	mały	छोटा	mały	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
छोटे	mał	छोटा	mała	ADJ;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
छोटे	niewielkie	छोटा	niewielki	ADJ;NOM;MASC;PL	ADJ;NOM;NEUT;SG
छोटे	mała	छोटा	mały	ADJ;NOM;MASC;PL	
छोटे	male	छोटा	male	ADJ;NOM;MASC;PL	
छोटे	mał	छोटा	mała	ADJ;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
छोटे	little	छोटा	littl	ADJ;NOM;MASC;PL	
छोटे	mało	छोटा	mało	ADJ;NOM;MASC;PL	ADV
छोटे	mały	छोटा	mały	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
छोटे	mała	छोटा	mały	ADJ;NOM;MASC;PL	
ऊपर	top	ऊपर	top	ADV;NOM;MASC;SG;3	
ऊपर	szczyt	ऊपर	szczyt	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
ऊपर	góra	ऊपर	góra	ADV;NOM;MASC;SG;3	
ऊपर	ponad	ऊपर	ponad	ADV;NOM;MASC;SG;3	PART
ऊपर	powyżej	ऊपर	powyżej	ADV;NOM;MASC;SG;3	
पानी	wody	पानी	woda	N;NOM;MASC;SG;3	N;GEN;FEM;SG
सामान्य	ogólny	सामान्य	ogólny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सामान्य	ogólnie	सामान्य	ogólnie	N;NOM;MASC;SG;3	ADV
सामान्य	ogólna	सामान्य	ogólny	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सामान्य	ogólne	सामान्य	ogólny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
सामान्य	wspólnej	सामान्य	wspólny	N;NOM;MASC;SG;3	ADJ;GEN;FEM;SG
सामान्य	wspólny	सामान्य	wspólny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सामान्य	częste	सामान्य	częsty	N;NOM;MASC;SG;3	
सामान्य	często	सामान्य	często	N;NOM;MASC;SG;3	ADV
सामान्य	wspólne	सामान्य	wspólny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
सामान्य	normalne	सामान्य	normalny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
सामान्य	normalnie	सामान्य	normalnie	N;NOM;MASC;SG;3	ADV
सामान्य	normalny	सामान्य	normalny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सामान्य	normalna	सामान्य	normalny	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आगे	naprzód	आगे	naprzód	ADV;NOM;MASC;SG;3	
कुल	sumy	कुल	suma	DET	
कुल	zbiorczej	कुल	zbiorka	DET	ADJ;GEN;FEM;SG
कुल	całkowita	कुल	całkowity	DET	ADJ;NOM;FEM;SG
कुल	ogółem	कुल	ogół	DET	N;INS;MASC;SG
कुल	suma	कुल	suma	DET	N;NOM;FEM;SG
कुल	łącznie	कुल	łącznie	DET	ADV
एक्स्प्रेस	ekspres	एक्स्प्रेस	ekspres	V;PFV;FEM;SG;V.PTCP;ACT	
एक्स्प्रेस	express	एक्स्प्रेस	express	V;PFV;FEM;SG;V.PTCP;ACT	
एक्स्प्रेस	ekspresowe	एक्स्प्रेस	ekspresowy	V;PFV;FEM;SG;V.PTCP;ACT	
पुलिस	police	पुलिस	polic	N;NOM;FEM;SG;3	
पुलिस	policji	पुलिस	policja	N;NOM;FEM;SG;3	N;GEN;FEM;SG
वर्ग	kategorii	वर्ग	kategoria	N;NOM;MASC;SG;3	N;GEN;FEM;SG
वर्ग	kwadratowy	वर्ग	kwadratowy	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वर्ग	square	वर्ग	squary	N;NOM;MASC;SG;3	
वर्ग	kwadratowe	वर्ग	kwadratowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
वर्ग	zajęcia	वर्ग	zajęcia	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
वर्ग	klas	वर्ग	klasa	N;NOM;MASC;SG;3	
वर्ग	klasy	वर्ग	klasa	N;NOM;MASC;SG;3	N;GEN;FEM;SG
वर्ग	zajęcia	वर्ग	zajęcia	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
वर्ग	klasy	वर्ग	klasa	N;NOM;MASC;SG;3	N;GEN;FEM;SG
वर्ग	klasa	वर्ग	klasa	N;NOM;MASC;SG;3	V;IPFV;IND;SG;2;FIN;ACT
शरीर	body	शरीर	bód	N;NOM;MASC;SG;3	
शरीर	nadwozia	शरीर	nadwóziać	N;NOM;MASC;SG;3	
शरीर	ciała	शरीर	ciało	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
अंग्रेजी	angielski	अंग्रेजी	angielski	PROPN;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
अंग्रेजी	anglik	अंग्रेजी	anglik	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
माध्यम	średnio	माध्यम	średnio	N;NOM;MASC;SG;3	
माध्यम	średnie	माध्यम	średnie	N;NOM;MASC;SG;3	
माध्यम	średni	माध्यम	średnia	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मानव	ludzkie	मानव	ludzki	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मानव	ludzka	मानव	ludzki	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मानव	ludzki	मानव	ludzki	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मानव	human	मानव	human	N;NOM;MASC;SG;3	
मानव	człowieka	मानव	człowiek	N;NOM;MASC;SG;3	N;ACC;MASC;SG
पाकिस्तान	pakistan	पाकिस्तान	pakistan	PROPN;NOM;MASC;SG;3	
पाकिस्तान	pakistanie	पाकिस्तान	pakistać	PROPN;NOM;MASC;SG;3	
पाकिस्तान	pakistanu	पाकिस्तान	pakistan	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
भूमिका	rolę	भूमिका	rola	N;NOM;FEM;SG;3	N;ACC;FEM;SG
भूमिका	roli	भूमिका	rola	N;NOM;FEM;SG;3	N;GEN;FEM;SG
भूमिका	role	भूमिका	role	N;NOM;FEM;SG;3	V;IPFV;IND;SG;PRS;FIN;ACT
हर	har	हर	har	DET	
हर	każda	हर	każdy	DET	DET;NOM;FEM;SG
हर	każdy	हर	każdy	DET	DET;NOM;MASC;SG
हर	hur	हर	hur	DET	
अतिरिक्त	dodatki	अतिरिक्त	dodatek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
अतिरिक्त	zapasowe	अतिरिक्त	zapasowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अतिरिक्त	dodatkowa	अतिरिक्त	dodatkowy	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अतिरिक्त	dodatkowe	अतिरिक्त	dodatkowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अतिरिक्त	dodatkowy	अतिरिक्त	dodatkowy	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अतिरिक्त	dodatkowa	अतिरिक्त	dodatkowy	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अतिरिक्त	ekstra	अतिरिक्त	ekstra	N;NOM;MASC;SG;3	
अतिरिक्त	dodatkowe	अतिरिक्त	dodatkowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अतिरिक्त	dodatkowy	अतिरिक्त	dodatkowy	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अतिरिक्त	extra	अतिरिक्त	extra	N;NOM;MASC;SG;3	
पिता	ojcze	पिता	ojciec	N;NOM;MASC;SG;3	
समाज	society	समाज	societa	N;NOM;MASC;SG;3	
समाज	społeczeństwa	समाज	społeczeństwo	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
नीचे	dół	नीचे	dół	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
नीचे	poniżej	नीचे	poniżej	ADV;NOM;MASC;SG;3	
नीचे	dół	नीचे	dół	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
नीचे	dno	नीचे	dno	ADV;NOM;MASC;SG;3	
नीचे	dnie	नीचे	dzień	ADV;NOM;MASC;SG;3	
नीचे	dole	नीचे	dół	ADV;NOM;MASC;SG;3	V;PFV;IND;SG;PRS;FIN;ACT
नीचे	dolna	नीचे	dolny	ADV;NOM;MASC;SG;3	
दुनिया	swiat	दुनिया	swiat	N;NOM;FEM;SG;3	V;IPFV;MASC;IND;SG;PST;FIN;ACT
दुनिया	świata	दुनिया	świat	N;NOM;FEM;SG;3	N;GEN;MASC;SG
दुनिया	świecie	दुनिया	świat	N;NOM;FEM;SG;3	N;DAT;MASC;SG
दुनिया	world	दुनिया	world	N;NOM;FEM;SG;3	
आधुनिक	nowocześnie	आधुनिक	nowocześnie	ADJ	ADV
आधुनिक	współczesna	आधुनिक	współczesny	ADJ	N;NOM;FEM;SG
ध्यान	medytacji	ध्यान	medytacja	N;NOM;MASC;SG;3	N;GEN;FEM;SG
ध्यान	uwaga	ध्यान	uwaga	N;NOM;MASC;SG;3	
हिंदी	hindi	हिंदी	hindia	PROPN;NOM;FEM;SG;3	
सभा	kongregacji	सभा	kongregacja	N;NOM;FEM;SG;3	N;GEN;FEM;SG
सभा	montaż	सभा	montaż	N;NOM;FEM;SG;3	
सभा	sabha	सभा	sabha	N;NOM;FEM;SG;3	
परिवार	rodziny	परिवार	rodzina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परिवार	rodzinne	परिवार	rodzinny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
परिवार	rodzinnie	परिवार	rodzinnie	N;NOM;MASC;SG;3	ADV
विषय	temat	विषय	temat	N;NOM;MASC;SG;3	N;ACC;MASC;SG
विषय	tematu	विषय	temat	N;NOM;MASC;SG;3	N;GEN;MASC;SG
विषय	tematy	विषय	temat	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विषय	tematy	विषय	temat	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विषय	obiekty	विषय	obiekt	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विषय	przedmioty	विषय	przedmiot	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विषय	temat	विषय	temat	N;NOM;MASC;SG;3	N;ACC;MASC;SG
अधिकार	prawa	अधिकार	prawo	N;NOM;MASC;SG;3	
अधिकार	praw	अधिकार	prawo	N;NOM;MASC;SG;3	
रंग	kolory	रंग	kolor	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रंग	koloru	रंग	kolor	N;NOM;MASC;SG;3	N;GEN;MASC;SG
रंग	kolory	रंग	kolor	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रंग	barwniki	रंग	barwnika	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रंग	barwy	रंग	barwa	N;NOM;MASC;SG;3	
रंग	kolory	रंग	kolor	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रंग	barwy	रंग	barwa	N;NOM;MASC;SG;3	
रंग	kolorów	रंग	kolor	N;NOM;MASC;SG;3	N;GEN;MASC;PL
रंग	kolory	रंग	kolor	N;NOM;MASC;SG;3	N;NOM;MASC;PL
रंग	kolorowy	रंग	kolorowy	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
बाहर	odkrytym	बाहर	odkryć	ADV;NOM;MASC;SG;3	ADJ;PFV;INS;MASC;SG;POS;V.PTCP;PASS
बाहर	odkryty	बाहर	odkryć	ADV;NOM;MASC;SG;3	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
बाहर	out	बाहर	out	ADV;NOM;MASC;SG;3	
खेल	graj	खेल	graj	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN;ACT
खेल	zagraj	खेल	zagrać	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN;ACT
खेल	play	खेल	pla	N;NOM;MASC;SG;3	
खेल	sport	खेल	sport	N;NOM;MASC;SG;3	
खेल	sporty	खेल	sporty	N;NOM;MASC;SG;3	N;NOM;MASC;PL
खेल	sportowe	खेल	sportowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
खेल	game	खेल	gam	N;NOM;MASC;SG;3	
खेल	gry	खेल	gra	N;NOM;MASC;SG;3	
खेल	gra	खेल	grać	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
खेल	mecze	खेल	mecz	N;NOM;MASC;SG;3	N;NOM;MASC;PL
खेल	gier	खेल	gier	N;NOM;MASC;SG;3	
खेल	gry	खेल	gra	N;NOM;MASC;SG;3	
खेल	sport	खेल	sport	N;NOM;MASC;SG;3	
क्षेत्रों	tereny	क्षेत्र	teren	N;ACC;MASC;PL;3	N;NOM;MASC;PL
क्षेत्रों	obszary	क्षेत्र	obszar	N;ACC;MASC;PL;3	N;NOM;MASC;PL
क्षेत्रों	obszarach	क्षेत्र	obszary	N;ACC;MASC;PL;3	N;GEN;MASC;PL
क्षेत्रों	powierzchnie	क्षेत्र	powierzchnie	N;ACC;MASC;PL;3	N;NOM;FEM;PL
जहाँ	gdzie	जहाँ	gdzie	PRO;NOM	ADV
समान	jednorodne	समान	jednorodny		ADJ;NOM;NEUT;SG
समान	podobni	समान	podobnie		V;IPFV;MASC;IND;PL;PST;FIN;ACT
समान	podobna	समान	podobny		ADJ;NOM;FEM;SG
समान	podobny	समान	podobny		ADJ;NOM;MASC;SG
समान	podobne	समान	podobny		ADJ;NOM;NEUT;SG
सितंबर	wrzesień	सितंबर	wrzesień	PROPN;NOM;MASC;SG;3	
सितंबर	września	सितंबर	wrzesień	PROPN;NOM;MASC;SG;3	
दूर	daleki	दूर	daleki	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
दूर	dalekie	दूर	daleki	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
दूर	dala	दूर	dala	ADV;NOM;MASC;SG;3	
दूर	daleki	दूर	daleki	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
दूर	odległy	दूर	odlec	ADV;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
दूर	dalekie	दूर	daleki	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
दूर	odległ	दूर	odlec	ADV;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
पता	adresów	पता	adres	N;NOM;MASC;SG;3	N;GEN;MASC;PL
पता	adresy	पता	adres	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पता	adres	पता	adres	N;NOM;MASC;SG;3	N;ACC;MASC;SG
शक्ति	siłę	शक्ति	siła	N;NOM;FEM;SG;3	N;ACC;FEM;SG
शक्ति	siły	शक्ति	siła	N;NOM;FEM;SG;3	N;ACC;FEM;SG
शक्ति	moc	शक्ति	moc	N;NOM;FEM;SG;3	
शक्ति	power	शक्ति	power	N;NOM;FEM;SG;3	
शक्ति	shakti	शक्ति	shakt	N;NOM;FEM;SG;3	
ब्रिटिश	brytyjskie	ब्रिटिश	brytyjski	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
ब्रिटिश	brytyjska	ब्रिटिश	brytyjski	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
ब्रिटिश	brytyjski	ब्रिटिश	brytyjski	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
ब्रिटिश	british	ब्रिटिश	british	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
कला	sztuki	कला	sztuka	N;NOM;FEM;SG;3	
कला	arts	कला	arts	N;NOM;FEM;SG;3	
कला	sztuki	कला	sztuka	N;NOM;FEM;SG;3	
कला	art	कला	art	N;NOM;FEM;SG;3	
कला	sztukę	कला	sztuka	N;NOM;FEM;SG;3	N;ACC;FEM;SG
घर	domu	घर	dom	N;NOM;MASC;SG;3	N;GEN;MASC;SG
घर	house	घर	housy	N;NOM;MASC;SG;3	
घर	domu	घर	dom	N;NOM;MASC;SG;3	N;GEN;MASC;SG
प्रकाशित	opublikować	प्रकाशित	opublikować	ADJ	V;PFV;NFIN;ACT
प्रकाशित	publikowanie	प्रकाशित	publikowanie	ADJ	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
प्रकाशित	publikować	प्रकाशित	publikować	ADJ	V;IPFV;NFIN;ACT
प्रकाशित	opublikowano	प्रकाशित	opublikować	ADJ	V;PFV;IND;0;PST;FIN;ACT
प्रकाशित	publikacja	प्रकाशित	publikacja	ADJ	N;NOM;FEM;SG
मई	majowe	मई	majowy	PROPN;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
मई	maja	मई	mieć	PROPN;NOM;FEM;SG;3	
मई	może	मई	móc	PROPN;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
मई	majowy	मई	majowy	PROPN;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
मई	maj	मई	maj	PROPN;NOM;FEM;SG;3	
प्रक्रिया	procesy	प्रक्रिया	proces	N;NOM;FEM;SG;3	N;NOM;MASC;PL
प्रक्रिया	procesy	प्रक्रिया	proces	N;NOM;FEM;SG;3	N;NOM;MASC;PL
प्रक्रिया	procesów	प्रक्रिया	proces	N;NOM;FEM;SG;3	N;GEN;MASC;PL
प्रक्रिया	procedury	प्रक्रिया	procedura	N;NOM;FEM;SG;3	N;ACC;FEM;PL
सेना	armie	सेना	arma	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सेना	armii	सेना	armia	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
सेना	sena	सेना	sen	N;NOM;FEM;SG;3	
सेना	army	सेना	arma	N;NOM;FEM;SG;3	
सेना	armii	सेना	armia	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
पार्टी	partii	पार्टी	partia	N;NOM;FEM;SG;3	N;GEN;FEM;SG
पार्टी	imprezy	पार्टी	impreza	N;NOM;FEM;SG;3	
हम	hum	हम	hum	PRO;NOM;PL;1	PROPN;NOM;MASC;SG
रेलवे	kolejowe	रेलवे	kolejowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
रेलवे	kolei	रेलवे	kolej	N;NOM;MASC;SG;3	
पश्चिम	zachodnia	पश्चिम	zachodni	PROPN;NOM;MASC;SG;3	
पश्चिम	west	पश्चिम	wysta	PROPN;NOM;MASC;SG;3	
पश्चिम	zachodni	पश्चिम	zachodni	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
पश्चिम	zachód	पश्चिम	zachód	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अंत	end	अंत	end	N;NOM;MASC;SG;3	
दशक	dekady	दशक	dekada	N;NOM;MASC;SG;3	
दशक	dekadę	दशक	dekada	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पूरी	całość	पूरा	całość	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
पूरी	cał	पूरा	cał	ADJ;NOM;FEM;SG	ADV
नए	nowsze	नया	nowy	ADJ;NOM;MASC;PL	V;IPFV;IND;SG;3;FIN;ACT
बिना	bez	बिना	bez	PART	ADP
क्या	jakie	क्या	jaki	PRO	DET;ACC;MASC;SG
क्या	co	क्या	co	PRO	
अगस्त	sierpnia	अगस्त	sierpień	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
अगस्त	augusta	अगस्त	augusta	PROPN;NOM;MASC;SG;3	
अगस्त	august	अगस्त	august	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अगस्त	sierpień	अगस्त	sierpienie	PROPN;NOM;MASC;SG;3	
अगस्त	sierpień	अगस्त	sierpienie	PROPN;NOM;MASC;SG;3	
संबंध	związki	संबंध	związek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
संबंध	relacje	संबंध	relacja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संबंध	relacje	संबंध	relacja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संबंध	związku	संबंध	związek	N;NOM;MASC;SG;3	N;GEN;MASC;SG
संबंध	stosunki	संबंध	stosunki	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
संबंध	relacje	संबंध	relacja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संबंध	relacji	संबंध	relacja	N;NOM;MASC;SG;3	N;GEN;FEM;SG
संबंध	stosunków	संबंध	stosunki	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
संबंध	stosunki	संबंध	stosunki	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
संबंध	relacje	संबंध	relacja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रदर्शन	występ	प्रदर्शन	występ	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रदर्शन	wydajność	प्रदर्शन	wydajność	N;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रदर्शन	wydajności	प्रदर्शन	wydajność	N;NOM;MASC;SG;3	N;GEN;FEM;SG
प्रदर्शन	przedstawienia	प्रदर्शन	przedstawienie	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
प्रदर्शन	występy	प्रदर्शन	występ	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रदर्शन	wyświetlania	प्रदर्शन	wyświetlanie	N;NOM;MASC;SG;3	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
प्रदर्शन	narażenia	प्रदर्शन	narażenie	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
ऐसी	taki	ऐसा	taki	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
ऐसी	takie	ऐसा	taki	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
मार्ग	drodze	मार्ग	droga	N;NOM;MASC;SG;3	N;DAT;FEM;SG
