और	ve	और	ve		CONJ
मई	mayis	मई	mayis	PROPN;NOM;FEM;SG;3	
मई	mayıs	मई	mayıs	PROPN;NOM;FEM;SG;3	
प्रक्रिया	süreç	प्रक्रिया	süreç	N;NOM;FEM;SG;3	
प्रक्रिया	işlem	प्रक्रिया	işlem	N;NOM;FEM;SG;3	
प्रक्रिया	süreç	प्रक्रिया	süreç	N;NOM;FEM;SG;3	
प्रक्रिया	süreçleri	प्रक्रिया	süreç	N;NOM;FEM;SG;3	N;ACC;PL;3
प्रक्रिया	prosedür	प्रक्रिया	prosedür	N;NOM;FEM;SG;3	
सेना	ordular	सेना	ordu	N;NOM;FEM;SG;3	N;NOM;PL;3
सेना	ordu	सेना	ordu	N;NOM;FEM;SG;3	
पार्टी	parti	पार्टी	parti	N;NOM;FEM;SG;3	
पार्टी	party	पार्टी	party	N;NOM;FEM;SG;3	
हम	hum	हम	hum	PRO;NOM;PL;1	
रेलवे	demiryolu	रेलवे	demiryolu	N;NOM;MASC;SG;3	
रेलवे	demiryolları	रेलवे	demiryol	N;NOM;MASC;SG;3	N;NOM;PL;3
पश्चिम	west	पश्चिम	west	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
पश्चिम	batıya	पश्चिम	bat	PROPN;NOM;MASC;SG;3	N;DAT;SG;3
पश्चिम	batı	पश्चिम	batı	PROPN;NOM;MASC;SG;3	
पश्चिम	batıda	पश्चिम	batı	PROPN;NOM;MASC;SG;3	N;ESS;SG;3
अंत	bitir	अंत	bitir	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;POS;PRS
अंत	son	अंत	son	N;NOM;MASC;SG;3	
अंत	sonu	अंत	son	N;NOM;MASC;SG;3	
अंत	bitiş	अंत	bitiş	N;NOM;MASC;SG;3	
पूरी	tüm	पूरा	tüm	ADJ;NOM;FEM;SG	DET
पूरी	tamamı	पूरा	tamam	ADJ;NOM;FEM;SG	
बिना	olmadan	बिना	ol	PART	V;PFV;IND;NEG;PRS;V.CVB
बिना	onsuz	बिना	onsuz	PART	
क्या	ne	क्या	ne	PRO	
अगस्त	ağustos	अगस्त	ağustos	PROPN;NOM;MASC;SG;3	
अगस्त	august	अगस्त	august	PROPN;NOM;MASC;SG;3	
अगस्त	aug	अगस्त	aug	PROPN;NOM;MASC;SG;3	
विकसित	gelişmiş	विकसित	geliş	ADJ	V;PFV;NFH;IND;POS;PST;V.PTCP
विकसित	geliştirilmiş	विकसित	geliş	ADJ	V;PFV;NFH;IND;SG;3;POS;PST;PASS
विकसित	geliştirildi	विकसित	geliş	ADJ	V;PFV;IND;SG;3;POS;PST;PASS
विकसित	gelişmiş	विकसित	geliş	ADJ	V;PFV;NFH;IND;POS;PST;V.PTCP
विकसित	evrim	विकसित	evrim	ADJ	
संबंध	ilişkiler	संबंध	ilişki	N;NOM;MASC;SG;3	N;NOM;PL;3
संबंध	ilişkileri	संबंध	ilişki	N;NOM;MASC;SG;3	N;ACC;PL;3
संबंध	ilişkiler	संबंध	ilişki	N;NOM;MASC;SG;3	N;NOM;PL;3
संबंध	ilişkileri	संबंध	ilişki	N;NOM;MASC;SG;3	N;ACC;PL;3
संबंध	bağlanma	संबंध	bağla	N;NOM;MASC;SG;3	
संबंध	akraba	संबंध	akraba	N;NOM;MASC;SG;3	
प्रदर्शन	gösteri	प्रदर्शन	göster	N;NOM;MASC;SG;3	
प्रदर्शन	performans	प्रदर्शन	performans	N;NOM;MASC;SG;3	
प्रदर्शन	performansları	प्रदर्शन	performans	N;NOM;MASC;SG;3	N;ACC;PL;3
प्रदर्शन	gösteriler	प्रदर्शन	göster	N;NOM;MASC;SG;3	N;NOM;PL;3
प्रदर्शन	performans	प्रदर्शन	performans	N;NOM;MASC;SG;3	
प्रदर्शन	teşhir	प्रदर्शन	teşhir	N;NOM;MASC;SG;3	
प्रदर्शन	göster	प्रदर्शन	göster	N;NOM;MASC;SG;3	V;PFV;IMP;PL;2;POS;PRS
प्रदर्शन	teşhir	प्रदर्शन	teşhir	N;NOM;MASC;SG;3	
प्रदर्शन	pozlama	प्रदर्शन	pozlam	N;NOM;MASC;SG;3	V;PFV;NOM;IMP;2;POS;PRS
मार्ग	rota	मार्ग	rota	N;NOM;MASC;SG;3	
मार्ग	yol	मार्ग	yol	N;NOM;MASC;SG;3	
मार्ग	şekilde	मार्ग	şekil	N;NOM;MASC;SG;3	N;ESS;SG;3
मार्ग	yol	मार्ग	yol	N;NOM;MASC;SG;3	
पर्यटन	turizm	पर्यटन	turizm	N;NOM;MASC;SG;3	
ज्ञान	ilim	ज्ञान	ilim	N;NOM;MASC;SG;3	
दिसम्बर	aralık	दिसम्बर	aralık	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
दिसम्बर	aralık	दिसम्बर	aralık	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
प्रदर्शित	seçme	प्रदर्शित	seç	ADJ	
प्रदर्शित	gösterilen	प्रदर्शित	göster	ADJ	V;PFV;IND;POS;PRS;V.PTCP;PASS
प्रदर्शित	görüntülenen	प्रदर्शित	görüntüle	ADJ	V;PFV;IND;POS;PRS;V.PTCP;PASS
प्रदर्शित	ekran	प्रदर्शित	ekran	ADJ	N;NOM;SG;3
प्रदर्शित	teşhir	प्रदर्शित	teşhir	ADJ	
प्रदर्शित	göster	प्रदर्शित	göster	ADJ	V;PFV;IMP;PL;2;POS;PRS
प्रदर्शित	görünüm	प्रदर्शित	görün	ADJ	N;NOM;SG;3
अक्सर	sıklıkla	अक्सर	sıklık	ADV	
अक्सर	sıkça	अक्सर	sıkça	ADV	
अक्सर	sıklıkla	अक्सर	sıklık	ADV	
अक्सर	sıkça	अक्सर	sıkça	ADV	
सहायता	imdat	सहायता	imdat	N;NOM;FEM;SG;3	
सहायता	yardim	सहायता	yardim	N;NOM;FEM;SG;3	
सहायता	destekle	सहायता	destek	N;NOM;FEM;SG;3	N;INS;SG;3
सहायता	destek	सहायता	destek	N;NOM;FEM;SG;3	
पहला	öncelikle	पहला	öncelik	ADJ;NOM;MASC;SG	N;INS;SG;3
पहला	önce	पहला	önce	ADJ;NOM;MASC;SG	
पहला	ilk	पहला	ilk	ADJ;NOM;MASC;SG	
पहला	once	पहला	once	ADJ;NOM;MASC;SG	
मृत्यु	olum	मृत्यु	ol	N;NOM;FEM;SG;3	
मृत्यु	ölüm	मृत्यु	ölüm	N;NOM;FEM;SG;3	
मृत्यु	death	मृत्यु	death	N;NOM;FEM;SG;3	
स्वयं	kendi	स्वयं	kendi		PRO;NOM;SG;3;REFL
विकिपीडिया	wiki	विकिपीडिया	wiki	PROPN;NOM;MASC;SG;3	
विकिपीडिया	wikipedia	विकिपीडिया	wikipe	PROPN;NOM;MASC;SG;3	
विकिपीडिया	vikipedi	विकिपीडिया	vikip	PROPN;NOM;MASC;SG;3	
तैयार	hazır	तैयार	hazır	ADJ	
तैयार	hazırız	तैयार	hazırız	ADJ	V;PFV;IMP;PL;2;POS;PRS
तैयार	hazırım	तैयार	hazırım	ADJ	V;PFV;IND;SG;1;PRS
तैयार	hazir	तैयार	hazir	ADJ	
आवश्यक	gerekli	आवश्यक	gerekli	ADJ	
आवश्यक	gerekiyor	आवश्यक	gerek	ADJ	V;PROG;IND;SG;3;POS;INFM;PRS
आवश्यक	zorunlu	आवश्यक	zorunlu	ADJ	
आवश्यक	gereklidir	आवश्यक	gerekli	ADJ	
आवश्यक	acil	आवश्यक	acil	ADJ	
देखा	görünüyordu	देख	görün	V;PFV;MASC;SG;V.PTCP;ACT	V;PROG;IND;SG;3;POS;INFM;PST
देखा	izlenen	देख	izle	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
देखा	görüldü	देख	gör	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST;PASS
देखा	görülen	देख	gör	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
देखा	testere	देख	testere	V;PFV;MASC;SG;V.PTCP;ACT	
उत्पादन	imalat	उत्पादन	imalat	N;NOM;MASC;SG;3	
उत्पादन	yapım	उत्पादन	yapım	N;NOM;MASC;SG;3	
उत्पादन	üretim	उत्पादन	üretim	N;NOM;MASC;SG;3	
उत्पादन	prodüksiyon	उत्पादन	prodüksiyon	N;NOM;MASC;SG;3	
रोग	hastalıklar	रोग	hastalık	N;NOM;MASC;SG;3	N;NOM;PL;3
संबंधित	bağlantılı	संबंधित	bağlantılı	ADJ	
संबंधित	akraba	संबंधित	akraba	ADJ	
संबंधित	ilişkili	संबंधित	ilişkili	ADJ	
संबंधित	alakalı	संबंधित	alakalı	ADJ	
शताब्दी	yüzyıl	शताब्दी	yüzyıl	N;NOM;FEM;SG;3	
शताब्दी	asır	शताब्दी	asır	N;NOM;FEM;SG;3	
चीन	çin	चीन	çin	PROPN;NOM;MASC;SG;3	
अभी	şimdi	अभी	şimdi	PRO;NOM	ADV
अभी	simdi	अभी	simdi	PRO;NOM	
संघ	sendika	संघ	sendika	N;NOM;MASC;SG;3	
संघ	birlik	संघ	birlik	N;NOM;MASC;SG;3	
संघ	sendikalar	संघ	sendika	N;NOM;MASC;SG;3	
संघ	sendika	संघ	sendika	N;NOM;MASC;SG;3	
संघ	federasyon	संघ	federasyon	N;NOM;MASC;SG;3	
संघ	dernek	संघ	dernek	N;NOM;MASC;SG;3	
यात्रा	gezi	यात्रा	gez	N;NOM;FEM;SG;3	
यात्रा	trip	यात्रा	trip	N;NOM;FEM;SG;3	
मात्रा	tutar	मात्रा	tut	N;NOM;FEM;SG;3	
मात्रा	miktar	मात्रा	miktar	N;NOM;FEM;SG;3	
मात्रा	miktar	मात्रा	miktar	N;NOM;FEM;SG;3	
रचना	yaratılış	रच	yarat	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
रचना	yaratma	रच	yarat	PROPN;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
रचना	oluşturma	रच	oluş	PROPN;NOM;FEM;SG;3	V;PFV;IND;SG;2;POS;PRS;CAUS
रचना	kompozisyon	रच	kompozisyon	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
जगह	boşluklar	जगह	boşluk	N;NOM;FEM;SG;3	N;NOM;PL;3
जगह	boşluk	जगह	boşluk	N;NOM;FEM;SG;3	
जगह	boşluk	जगह	boşluk	N;NOM;FEM;SG;3	
जगह	space	जगह	space	N;NOM;FEM;SG;3	
जगह	uzayı	जगह	uza	N;NOM;FEM;SG;3	
जगह	uzay	जगह	uzay	N;NOM;FEM;SG;3	
भिन्न	ayrık	भिन्न	ayrık	ADP	
भिन्न	farklı	भिन्न	farklı	ADP	ADJ
भिन्न	farkli	भिन्न	farkli	ADP	
भिन्न	değişik	भिन्न	değişik	ADP	
भिन्न	kesri	भिन्न	kesri	ADP	
लोक	halk	लोक	halk	N;NOM;MASC;SG;3	
लोक	folk	लोक	folk	N;NOM;MASC;SG;3	
सब	sab	सब	sab	N;NOM;MASC;SG;3	
सब	all	सब	all	N;NOM;MASC;SG;3	
सब	hepsini	सब	hepsi	N;NOM;MASC;SG;3	PRO;ACC;PL;3
सब	tamamı	सब	tamam	N;NOM;MASC;SG;3	
सब	hepsi	सब	hepsi	N;NOM;MASC;SG;3	PRO;NOM;PL;3
सब	tümü	सब	tümü	N;NOM;MASC;SG;3	
पूरा	tamamlanmış	पूरा	tamamla	ADJ;NOM;MASC;SG	V;PFV;NFH;IND;SG;3;POS;PST;PASS
पूरा	tamamlandı	पूरा	tamamla	ADJ;NOM;MASC;SG	V;PFV;IND;SG;3;POS;PST;PASS
पूरा	tamamladım	पूरा	tamamla	ADJ;NOM;MASC;SG	V;PFV;IND;SG;1;POS;PST
पूरा	tam	पूरा	tam	ADJ;NOM;MASC;SG	
पूरा	ful	पूरा	ful	ADJ;NOM;MASC;SG	
पूरा	full	पूरा	full	ADJ;NOM;MASC;SG	
पूरा	dolu	पूरा	dolu	ADJ;NOM;MASC;SG	
पूरा	tüm	पूरा	tüm	ADJ;NOM;MASC;SG	DET
पूरा	tamamı	पूरा	tamam	ADJ;NOM;MASC;SG	
पूरा	tam	पूरा	tam	ADJ;NOM;MASC;SG	
पूरा	komple	पूरा	komp	ADJ;NOM;MASC;SG	
पूरा	tamamlanmış	पूरा	tamamla	ADJ;NOM;MASC;SG	V;PFV;NFH;IND;SG;3;POS;PST;PASS
पूरा	tamamlandı	पूरा	tamamla	ADJ;NOM;MASC;SG	V;PFV;IND;SG;3;POS;PST;PASS
आवश्यकता	gereksinim	आवश्यकता	gereksin	N;NOM;FEM;SG;3	
आवश्यकता	şart	आवश्यकता	şart	N;NOM;FEM;SG;3	
आवश्यकता	gerektirir	आवश्यकता	gerek	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;POS;CAUS
प्रकाश	işık	प्रकाश	işık	PROPN;NOM;MASC;SG;3	
प्रकाश	hafif	प्रकाश	hafif	PROPN;NOM;MASC;SG;3	ADJ
प्रकाश	light	प्रकाश	light	PROPN;NOM;MASC;SG;3	
प्रकाश	nur	प्रकाश	nur	PROPN;NOM;MASC;SG;3	
प्रकाश	aydınlık	प्रकाश	aydınlık	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
प्रकाश	prakash	प्रकाश	prakash	PROPN;NOM;MASC;SG;3	
प्रकाश	işık	प्रकाश	işık	PROPN;NOM;MASC;SG;3	
प्रकाश	işıkları	प्रकाश	işık	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
प्रकाश	işıklar	प्रकाश	işık	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
चिकित्सा	medikal	चिकित्सा	medikal	N;NOM;FEM;SG;3	
चिकित्सा	tıbbi	चिकित्सा	tıbbi	N;NOM;FEM;SG;3	
चिकित्सा	tıp	चिकित्सा	tıp	N;NOM;FEM;SG;3	
दूसरी	ikincisi	दूसरा	ikinci	ADJ;NOM;FEM;SG	NUM;NOM;SG;3
कार्यक्रम	programlar	कार्यक्रम	program	N;NOM;MASC;SG;3	N;NOM;PL;3
कार्यक्रम	programları	कार्यक्रम	program	N;NOM;MASC;SG;3	N;NOM;PL;3
कार्यक्रम	etkinlikler	कार्यक्रम	etkinlik	N;NOM;MASC;SG;3	N;NOM;PL;3
कार्यक्रम	olaylar	कार्यक्रम	olay	N;NOM;MASC;SG;3	N;NOM;PL;3
कार्यक्रम	program	कार्यक्रम	program	N;NOM;MASC;SG;3	
कार्यक्रम	programı	कार्यक्रम	program	N;NOM;MASC;SG;3	N;ACC;SG;3
कार्यक्रम	olay	कार्यक्रम	olay	N;NOM;MASC;SG;3	
कार्यक्रम	etkinliği	कार्यक्रम	etkinlik	N;NOM;MASC;SG;3	N;ACC;SG;3
कार्यक्रम	program	कार्यक्रम	program	N;NOM;MASC;SG;3	
कार्यक्रम	programı	कार्यक्रम	program	N;NOM;MASC;SG;3	N;ACC;SG;3
पुराने	eski	पुराना	eski	ADJ;MASC;PL	
पुराने	old	पुराना	ol	ADJ;MASC;PL	
पुराने	ihtiyar	पुराना	ihtiyar	ADJ;MASC;PL	
सदी	yüzyıl	सदी	yüzyıl	PROPN;NOM;FEM;SG;3	
सदी	asır	सदी	asır	PROPN;NOM;FEM;SG;3	
भगवान	allah	भगवान	allah	N;NOM;MASC;SG;3	
भगवान	tanrı	भगवान	tanrı	N;NOM;MASC;SG;3	
भगवान	lord	भगवान	i	N;NOM;MASC;SG;3	
भगवान	rab	भगवान	rab	N;NOM;MASC;SG;3	
लिखा	yazılmış	लिख	yaz	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST;PASS
लिखा	yazıldı	लिख	yaz	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST;PASS
लिखा	yazan	लिख	yaz	V;PFV;MASC;SG;V.PTCP;ACT	
लिखा	yazılı	लिख	yazılı	V;PFV;MASC;SG;V.PTCP;ACT	
लिखा	yazılan	लिख	yaz	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
संस्थान	enstitüsü	संस्थान	enstitü	N;NOM;MASC;PL;3	N;NOM;SG;3
संस्थान	enstitü	संस्थान	enstit	N;NOM;MASC;PL;3	
संस्थान	enstitüleri	संस्थान	enstitü	N;NOM;MASC;PL;3	N;ACC;PL;3
संस्कृति	kültürü	संस्कृति	kültür	N;NOM;FEM;SG;3	
संस्कृति	kültür	संस्कृति	kültür	N;NOM;FEM;SG;3	
अंग्रेज़ी	ingiliz	अंग्रेजी	ingiliz	PROPN;NOM;FEM;SG;3	
अंग्रेज़ी	türkçe	अंग्रेजी	türkçe	PROPN;NOM;FEM;SG;3	
अंग्रेज़ी	turkish	अंग्रेजी	turkish	PROPN;NOM;FEM;SG;3	
अंग्रेज़ी	ingilizce	अंग्रेजी	ingilizce	PROPN;NOM;FEM;SG;3	
पूर्ण	kusursuz	पूर्ण	kusursuz	PROPN;NOM;MASC;SG;3	
पूर्ण	mükemmel	पूर्ण	mükemmel	PROPN;NOM;MASC;SG;3	ADJ
पूर्ण	mukemmel	पूर्ण	mukemmel	PROPN;NOM;MASC;SG;3	ADJ
पूर्ण	tam	पूर्ण	tam	PROPN;NOM;MASC;SG;3	
पूर्ण	ful	पूर्ण	ful	PROPN;NOM;MASC;SG;3	
पूर्ण	full	पूर्ण	full	PROPN;NOM;MASC;SG;3	
पूर्ण	dolu	पूर्ण	dolu	PROPN;NOM;MASC;SG;3	
पूर्ण	tam	पूर्ण	tam	PROPN;NOM;MASC;SG;3	
पूर्ण	komple	पूर्ण	komp	PROPN;NOM;MASC;SG;3	
पूर्ण	tamamlanmış	पूर्ण	tamamla	PROPN;NOM;MASC;SG;3	V;PFV;NFH;IND;SG;3;POS;PST;PASS
पूर्ण	tamamlandı	पूर्ण	tamamla	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;POS;PST;PASS
पूर्ण	tamamlanmış	पूर्ण	tamamla	PROPN;NOM;MASC;SG;3	V;PFV;NFH;IND;SG;3;POS;PST;PASS
पूर्ण	tamamlandı	पूर्ण	tamamla	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;POS;PST;PASS
पूर्ण	tamamladım	पूर्ण	tamamla	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;1;POS;PST
परिवर्तन	dönüştürme	परिवर्तन	dönüş	N;NOM;MASC;SG;3	V;PFV;IND;SG;2;POS;PRS;CAUS
परिवर्तन	dönüşüm	परिवर्तन	dönüşüm	N;NOM;MASC;SG;3	
परिवर्तन	geçiş	परिवर्तन	geçiş	N;NOM;MASC;SG;3	
परिवर्तन	değişiklikler	परिवर्तन	değişiklik	N;NOM;MASC;SG;3	N;NOM;PL;3
परिवर्तन	değişimler	परिवर्तन	değişim	N;NOM;MASC;SG;3	N;NOM;PL;3
परिवर्तन	değişiklikleri	परिवर्तन	değişiklik	N;NOM;MASC;SG;3	N;ACC;PL;3
परिवर्तन	değişim	परिवर्तन	değişim	N;NOM;MASC;SG;3	
परिवर्तन	dönüşüm	परिवर्तन	dönüşüm	N;NOM;MASC;SG;3	
परिवर्तन	değişim	परिवर्तन	değişim	N;NOM;MASC;SG;3	
परिवर्तन	değiştir	परिवर्तन	değiş	N;NOM;MASC;SG;3	
परिवर्तन	değiştirme	परिवर्तन	değiş	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;NEG;PRS;CAUS
टीम	ekipler	टीम	ekip	N;NOM;FEM;SG;3	N;NOM;PL;3
टीम	takımlar	टीम	takım	N;NOM;FEM;SG;3	N;NOM;PL;3
टीम	team	टीम	team	N;NOM;FEM;SG;3	
टीम	ekip	टीम	ekip	N;NOM;FEM;SG;3	
टीम	takım	टीम	takım	N;NOM;FEM;SG;3	
चर्चा	tartışma	चर्चा	tartış	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
संगठन	kuruluş	संगठन	kuruluş	N;NOM;MASC;SG;3	
संगठन	örgüt	संगठन	örgüt	N;NOM;MASC;SG;3	
संगठन	örgütü	संगठन	örgüt	N;NOM;MASC;SG;3	
संगठन	kuruluş	संगठन	kuruluş	N;NOM;MASC;SG;3	
संगठन	örgüt	संगठन	örgüt	N;NOM;MASC;SG;3	
संगठन	kuruluşlar	संगठन	kuruluş	N;NOM;MASC;SG;3	N;NOM;PL;3
अगर	agar	अगर	aga	CONJ	
शैली	tarz	शैली	tarz	N;NOM;FEM;SG;3	
शैली	stil	शैली	stil	N;NOM;FEM;SG;3	
शैली	tarzı	शैली	tarz	N;NOM;FEM;SG;3	
शैली	biçim	शैली	biçim	N;NOM;FEM;SG;3	
शैली	shelly	शैली	shelly	N;NOM;FEM;SG;3	
स्कूल	okullar	स्कूल	okul	N;NOM;MASC;SG;3	N;NOM;PL;3
स्कूल	okulları	स्कूल	okul	N;NOM;MASC;SG;3	N;NOM;PL;3
स्कूल	okula	स्कूल	okul	N;NOM;MASC;SG;3	N;DAT;SG;3
स्कूल	okul	स्कूल	okul	N;NOM;MASC;SG;3	
स्कूल	school	स्कूल	school	N;NOM;MASC;SG;3	
लेखक	yazar	लेखक	yazar	N;NOM;MASC;SG;3	
लेखक	yazarlar	लेखक	yazar	N;NOM;MASC;SG;3	N;NOM;PL;3
लेखक	yazarlar	लेखक	yazar	N;NOM;MASC;SG;3	N;NOM;PL;3
लेखक	yazar	लेखक	yazar	N;NOM;MASC;SG;3	
लेखक	yazarı	लेखक	yazar	N;NOM;MASC;SG;3	
संस्करण	baskı	संस्करण	baskı	N;NOM;MASC;SG;3	
संस्करण	sürümleri	संस्करण	sürüm	N;NOM;MASC;SG;3	N;ACC;PL;3
संस्करण	sürüm	संस्करण	sürü	N;NOM;MASC;SG;3	
संस्करण	versiyon	संस्करण	ver	N;NOM;MASC;SG;3	
संस्करण	sürümü	संस्करण	sürü	N;NOM;MASC;SG;3	N;ACC;SG;3
संस्करण	baskılar	संस्करण	baskı	N;NOM;MASC;SG;3	N;NOM;PL;3
खिलाड़ी	oyuncular	खिलाडी	oyuncu	N;NOM;MASC;SG;3	N;NOM;PL;3
खिलाड़ी	sporcu	खिलाडी	sporcu	N;NOM;MASC;SG;3	
खिलाड़ी	oyuncu	खिलाडी	oyuncu	N;NOM;MASC;SG;3	
ट्रेन	trenle	ट्रेन	trenl	N;NOM;FEM;SG;3	N;INS;SG;3
ट्रेन	tren	ट्रेन	tren	N;NOM;FEM;SG;3	
ट्रेन	trenler	ट्रेन	tren	N;NOM;FEM;SG;3	N;NOM;PL;3
ट्रेन	trenleri	ट्रेन	tren	N;NOM;FEM;SG;3	N;ACC;PL;3
ट्रेन	tren	ट्रेन	tren	N;NOM;FEM;SG;3	
आकार	şekil	आकार	şekil	N;NOM;MASC;SG;3	
आकार	şekiller	आकार	şekil	N;NOM;MASC;SG;3	N;NOM;PL;3
आकार	şekilleri	आकार	şekil	N;NOM;MASC;SG;3	N;ACC;PL;3
आकार	şekil	आकार	şekil	N;NOM;MASC;SG;3	
आकार	şekli	आकार	şekli	N;NOM;MASC;SG;3	N;ACC;SG;3
आकार	biçim	आकार	biçim	N;NOM;MASC;SG;3	
आकार	bedenler	आकार	beden	N;NOM;MASC;SG;3	N;NOM;PL;3
आकार	bedenleri	आकार	beden	N;NOM;MASC;SG;3	N;ACC;PL;3
आकार	boyut	आकार	boyut	N;NOM;MASC;SG;3	
आकार	boy	आकार	boy	N;NOM;MASC;SG;3	
आकार	beden	आकार	beden	N;NOM;MASC;SG;3	
उत्तरी	kuzey	उत्तरी	kuzey	PROPN;NOM;MASC;SG;3	
सीमा	limit	सीमा	limit	N;NOM;FEM;SG;3	
सीमा	sınır	सीमा	sınır	N;NOM;FEM;SG;3	
सीमा	sınırı	सीमा	sınır	N;NOM;FEM;SG;3	N;ACC;SG;3
सीमा	sınırlama	सीमा	sınırla	N;NOM;FEM;SG;3	
सीमा	sima	सीमा	sima	N;NOM;FEM;SG;3	
सीमा	sınır	सीमा	sınır	N;NOM;FEM;SG;3	
सीमा	menzil	सीमा	menzil	N;NOM;FEM;SG;3	
सीमा	sınırlar	सीमा	sınır	N;NOM;FEM;SG;3	N;NOM;PL;3
सीमा	sınırları	सीमा	sınır	N;NOM;FEM;SG;3	N;NOM;PL;3
सीमा	limit	सीमा	limit	N;NOM;FEM;SG;3	
पश्चिमी	batılı	पश्चिमी	batılı	ADJ	
पश्चिमी	western	पश्चिमी	western	ADJ	PROPN;NOM;SG;3
पश्चिमी	batı	पश्चिमी	batı	ADJ	
व्यवस्था	ayarlama	व्यवस्था	ayarlam	N;NOM;FEM;SG;3	
व्यवस्था	düzenleme	व्यवस्था	düzenle	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
व्यवस्था	anlaşma	व्यवस्था	anlaşma	N;NOM;FEM;SG;3	
राजधानी	başkentleri	राजधानी	başkent	N;NOM;FEM;SG;3	N;ACC;PL;3
राजधानी	başkent	राजधानी	başkent	N;NOM;FEM;SG;3	
राजधानी	sermaye	राजधानी	sermaye	N;NOM;FEM;SG;3	
दर्शन	felsefe	दर्शन	felsefe	N;NOM;MASC;SG;3	
दर्शन	görme	दर्शन	gör	N;NOM;MASC;SG;3	
दर्शन	vizyon	दर्शन	vizyon	N;NOM;MASC;SG;3	
वहाँ	orada	वहाँ	ora	PRO;NOM	N;ESS;SG;3
वहाँ	orda	वहाँ	ora	PRO;NOM	N;ESS;SG;3
विधि	yöntemleri	विधि	yöntem	N;NOM;FEM;SG;3	N;NOM;PL;3
विधि	yöntemler	विधि	yöntem	N;NOM;FEM;SG;3	N;NOM;PL;3
विधि	yasa	विधि	yasa	N;NOM;FEM;SG;3	
विधि	law	विधि	law	N;NOM;FEM;SG;3	
विधि	hukuk	विधि	hukuk	N;NOM;FEM;SG;3	
विधि	kanun	विधि	kanun	N;NOM;FEM;SG;3	
विधि	yöntemi	विधि	yöntem	N;NOM;FEM;SG;3	N;ACC;SG;3
विधि	mode	विधि	mode	N;NOM;FEM;SG;3	
विधि	modu	विधि	modu	N;NOM;FEM;SG;3	
विधि	kip	विधि	kip	N;NOM;FEM;SG;3	
विधि	kipi	विधि	kipi	N;NOM;FEM;SG;3	
विधि	mod	विधि	mod	N;NOM;FEM;SG;3	
अवधि	adet	अवधि	adet	N;NOM;FEM;SG;3	
अवधि	nokta	अवधि	nokta	N;NOM;FEM;SG;3	
अवधि	dönem	अवधि	dön	N;NOM;FEM;SG;3	
अवधि	dönemler	अवधि	dönem	N;NOM;FEM;SG;3	N;NOM;PL;3
अवधि	aralıklı	अवधि	aralıklı	N;NOM;FEM;SG;3	
दृष्टि	görsel	दृष्टि	görsel	N;NOM;FEM;SG;3	
दृष्टि	görme	दृष्टि	gör	N;NOM;FEM;SG;3	
दृष्टि	vizyon	दृष्टि	vizyon	N;NOM;FEM;SG;3	
सिद्धांत	ilkeleri	सिद्धान्त	ilke	N;NOM;MASC;SG;3	N;NOM;PL;3
सिद्धांत	ilke	सिद्धान्त	ilke	N;NOM;MASC;SG;3	
सिद्धांत	dogma	सिद्धान्त	dogma	N;NOM;MASC;SG;3	
कलाकार	sanatçılar	कलाकार	sanatçı	N;NOM;MASC;SG;3	N;NOM;PL;3
कलाकार	sanatçı	कलाकार	sanatçı	N;NOM;MASC;SG;3	
कलाकार	ressam	कलाकार	ressam	N;NOM;MASC;SG;3	
कलाकार	sanatçı	कलाकार	sanatçı	N;NOM;MASC;SG;3	
कलाकार	artist	कलाकार	artist	N;NOM;MASC;SG;3	
बैंक	banks	बैंक	banks	N;NOM;MASC;SG;3	
बैंक	bankaları	बैंक	banka	N;NOM;MASC;SG;3	N;NOM;PL;3
बैंक	bankaların	बैंक	banka	N;NOM;MASC;SG;3	N;GEN;PL;3
