iranian	پشتو	iranian	پشتو	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
înclinare	انحراف	înclinare	انحراف	N;INDF;FEM;SG	N;NOM;MASC;SG;3
înclinare	ڈھلان	înclinare	ڈھلان	N;INDF;FEM;SG	N;NOM;MASC;SG;3
înclinare	لگاؤ.	înclinare	لگاؤ.	N;INDF;FEM;SG	N;NOM;MASC;SG;3
înclinare	نشیب.	înclinare	نشیب.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
manta	غلاف	manta	غلاف	N;DEF;FEM;SG	N;NOM;MASC;SG;3
manta	چادر	manta	چادر	N;DEF;FEM;SG	N;NOM;MASC;SG;3
manta	ملوک	manta	ملوک	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
manta	۱۳	manta	۱۳	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
cuptor	گلخن	cuptor	گلخن	N;INDF;MASC;SG	
cuptor	انگیٹھی.	cuptor	انگیٹھی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
cuptor	چولھا.	cuptor	چولھا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
cuptor	گلخن	cuptor	گلخن	N;INDF;MASC;SG	
pasă	lay	pasa	lay	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG;3
pasă	پھیرنا	pasa	پھیر	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG;3
pasă	down	pasa	down	V;IND;SG;3;PST;FIN	PROPN;NOM;MASC;SG;3
luminos	ہوشیار	luminos	ہوشیار	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
luminos	فطین	luminos	فطین	ADJ;INDF;MASC;SG	
luminos	طباع	luminos	طباع	ADJ;INDF;MASC;SG	
luminos	چونچال	luminos	چونچال	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
luminos	منور	luminos	منور	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
luminos	رخشندہ	luminos	رخشندہ	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
luminos	پرنور	luminos	پرنور	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
luminos	فاسفری	luminos	فاسفری	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
plain	معمولی	plain	معمولی	N;INDF;MASC;SG	ADJ
plain	صاف	plain	صاف	N;INDF;MASC;SG	ADJ
plain	محض	plain	محض	N;INDF;MASC;SG	
plain	واضح	plain	واضح	N;INDF;MASC;SG	ADJ
plain	کھرا.	plain	کھرا.	N;INDF;MASC;SG	
plain	گھریلو	plain	گھریلو	N;INDF;MASC;SG	ADJ
iugoslave	سلافی.	iugoslavă	سلافی.	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
solidaritate	اتحاد	solidaritate	اتحاد	N;INDF;FEM;SG	N;NOM;MASC;SG;3
usor	دباؤ	usor	دباؤ	ADV	N;NOM;MASC;SG;3
usor	(	usor	(	ADV	
usor	ندامت	usor	ندامت	ADV	PROPN;NOM;MASC;SG;3
usor	آسودہ	usor	آسودہ	ADV	ADJ
usor	سہل	usor	سہل	ADV	ADJ
usor	دباؤ	usor	دباؤ	ADV	N;NOM;MASC;SG;3
usor	آسان	usor	آسان	ADV	ADJ
usor	(	usor	(	ADV	
usor	ندامت	usor	ندامت	ADV	PROPN;NOM;MASC;SG;3
usor	آسودہ	usor	آسودہ	ADV	ADJ
satiră	طنزیہ	satiră	طنزیہ	N;INDF;FEM;SG	N;NOM;MASC;SG;3
satiră	ہجو	satiră	ہجو	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
satiră	طنزیہ	satiră	طنزیہ	N;INDF;FEM;SG	N;NOM;MASC;SG;3
satiră	مجمع	satiră	مجمع	N;INDF;FEM;SG	N;NOM;MASC;SG;3
satiră	انبار.	satiră	انبار.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
satiră	بھیڑ.	satiră	بھیڑ.	N;INDF;FEM;SG	
iugoslavă	سلافی.	iugoslav	سلافی.	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
combinația	ملانے	combinație	ملا	N;DEF;FEM;SG	V;NFIN;ACT
combinația	اتّصال	combinație	اتّصال	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
combinația	ترکیب	combinație	ترکیب	N;DEF;FEM;SG	N;NOM;FEM;SG;3
combinația	یکجائی	combinație	یکجائی	N;DEF;FEM;SG	ADJ
combinația	اتحاد	combinație	اتحاد	N;DEF;FEM;SG	N;NOM;MASC;SG;3
combinația	میل	combinație	میل	N;DEF;FEM;SG	N;NOM;MASC;SG;3
combinația	مرکب	combinație	مرکب	N;DEF;FEM;SG	N;NOM;MASC;SG;3
acute	مرحلہ	acut	مرحلہ	N;INDF;FEM;PL	N;NOM;MASC;SG;3
acute	ہوشیار	acut	ہوشیار	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
acute	درّاک	acut	درّاک	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
acute	ذکی.	acut	ذکی.	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
acute	دقیق	acut	دقیق	N;INDF;FEM;PL	N;NOM;MASC;SG;3
acute	توڑپر	acut	توڑپر	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
acute	سخت	acut	سخت	N;INDF;FEM;PL	ADJ
acute	کوکتی	acut	کوکتی	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
castra	مردمی	castra	مردمی		PROPN;NOM;MASC;SG;3
încărcată	سوال	încărca	سوال	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
încărcată	تیکھی	încărca	تیکھ	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
escortă	رفاقت	escortă	رفاقت	N;INDF;FEM;SG	N;NOM;FEM;SG;3
escortă	گاڑیاں	escortă	گاڑی	N;INDF;FEM;SG	N;NOM;MASC;PL;3
cinetică	حرکی.	cinetică	حرکی.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
peliculă	جھلّی	pelicul	جھلّی	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
peliculă	فتیلہ	pelicul	فتیلہ	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
peliculă	چھپانا	pelicul	چھپانا	N;INDF;FEM;SG	V;MASC;SG;NFIN;ACT
peliculă	فلم	pelicul	فلم	N;INDF;FEM;SG	N;NOM;FEM;SG;3
prolific	فراواں.	prolific	فراواں.	ADJ;INDF;MASC;SG	
prolific	کثیر	prolific	کثیر	ADJ;INDF;MASC;SG	
socializare	گروہی.	socializare	گروہی.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
socializare	عمرانی.	socializare	عمرانیؤ	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
spice	لونگ	spice	لونگ		PROPN;NOM;MASC;SG;3
spice	الائچی	spice	الائچی		N;NOM;FEM;SG;3
discriminarea	تفریق	discriminare	تفریق	N;DEF;FEM;SG	N;NOM;MASC;SG;3
discriminarea	شناخت	discriminare	شناخت	N;DEF;FEM;SG	N;NOM;MASC;SG;3
discriminarea	تمیز	discriminare	تمیز	N;DEF;FEM;SG	N;NOM;MASC;SG;3
urât	گھنائونا	urât	گھنائونا	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
urât	کریہہ	urât	کریہہ	ADJ;INDF;MASC;SG	
urât	ڈرائونا	urât	ڈرائونا	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP;ACT
urât	صورت	urât	صورت	ADJ;INDF;MASC;SG	N;NOM;MASC;SG;3
urât	واہیات	urât	واہیات	ADJ;INDF;MASC;SG	N;NOM;MASC;PL;3
urât	زشت	urât	زشت	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
urât	بھدّا	urât	بھدلا	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
urât	گھنائونا	urât	گھنائونا	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
urât	کریہہ	urât	کریہہ	ADJ;INDF;MASC;SG	
urât	ڈرائونا	urât	ڈرائونا	ADJ;INDF;MASC;SG	V;MASC;SG;V.PTCP;ACT
urât	صورت	urât	صورت	ADJ;INDF;MASC;SG	N;NOM;MASC;SG;3
urât	واہیات	urât	واہیات	ADJ;INDF;MASC;SG	N;NOM;MASC;PL;3
urât	بدنما	urât	بدنما	ADJ;INDF;MASC;SG	V;ACT
urât	زشت	urât	زشت	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
urât	بھدّا	urât	بھدلا	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
vegetală	جامد-	vegetală	جامد-	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
vegetală	لدّھڑ	vegetală	لدّھڑ	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
vegetală	بقلی	vegetală	بقلی	ADJ;INDF;FEM;SG	
vegetală	آلو	vegetală	آلو	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
desenat	خوف	desena	خوف	ADJ;INDF;MASC;SG	N;NOM;MASC;SG;3
desenat	اکڑا	desena	اکڑا	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
fluture	اڑانے	fluture	اڑانہ	N;INDF;MASC;SG	V;NFIN
conductor	گارڈ.	conductor	گارڈ.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
conductor	ناظم.	conductor	ناظم.	N;INDF;MASC;SG	ADJ
discret	مجرّد	discret	مجرّد	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
invitație	بلاوا	invitație	بلاوا	N;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
invitație	نیوتا.	invitație	نیوتا.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
veterinar	منصوبے	veterinar	منصوبہ	ADJ;INDF;MASC;SG	N;NOM;MASC;SG;3
veterinar	بیطار	veterinar	بیطار	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
veterinar	سلوتری	veterinar	سلوتری	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
veterinar	بیطارانہ	veterinar	بیطارانہ	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
veterinar	سلوتری.	veterinar	سلوتری.	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
uniforme	(	uniformă	(	N;INDF;FEM;PL	
uniforme	وردی.	uniformă	وردی.	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
uniforme	یکساں	uniformă	یکساں	N;INDF;FEM;PL	ADJ
pahar	سوڈے	pahar	سوڈے	N;INDF;MASC;SG	V;PFV;MASC;PL;V.PTCP;ACT
pahar	لگانا.	pahar	لگان	N;INDF;MASC;SG	V;MASC;SG;NFIN;ACT
manevra	out	manevra	out	N;DEF;FEM;SG	
biologia	حیاتیات.	biologie	حیاتیات.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
job	پھٹکل	job	پھٹکل	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
job	چرکا	job	چرکا	N;INDF;MASC;SG	
job	وار	job	وار	N;INDF;MASC;SG	
job	دھکا	job	دھکا	N;INDF;MASC;SG	V;ACT
pâinea	نقدی	pâine	نقدی	N;DEF;FEM;SG	N;NOM;FEM;SG;3
pâinea	روٹی	pâine	روٹی	N;DEF;FEM;SG	N;NOM;FEM;SG;3
pâinea	نقدی	pâine	نقدی	N;DEF;FEM;SG	N;NOM;FEM;SG;3
aliaj	کھوٹ	aliaj	کھوٹ	N;INDF;MASC;SG	
aliaj	بھرت	aliaj	بھرت	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
aliaj	کھوٹ	aliaj	کھوٹ	N;INDF;MASC;SG	
aliaj	بھرت	aliaj	بھرت	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
aliaj	آمیزہ	aliaj	آمیزہ	N;INDF;MASC;SG	ADJ
abdice	تیاگنا	abdica	تیاگ		PROPN;NOM;MASC;SG;3
acasa	ٹھکانا	acasa	ٹھکانا		V;MASC;SG;ACT
acasa	جگہ	acasa	جگہ		N;NOM;MASC;SG;3
penny	دینار.	penny	دینار.		PROPN;NOM;MASC;SG;3
palestinieni	فلسطینی	palestinian	فلسطینی	ADJ;INDF;MASC;PL	PROPN;NOM;MASC;SG;3
planetar	دنیوی.	planetar	دنیوی.	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
periferice	ذیلی.	periferic	ذیلی.	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
manipulare	کارستانی	manipulare	کارستانی	N;INDF;FEM;SG	ADJ;NOM
navigabil	سکّانی.	navigabil	سکحانی	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
confuzii	ملغوبہ	confuz	ملغوبہ	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
confuzii	ملغوبہ	confuz	ملغوبہ	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
confuzii	افراتفری	confuz	افراتفری	N;INDF;FEM;PL	ADJ
insuficiente	نارسا	insuficient	نارسا	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
insuficiente	کمتر.	insuficient	کمتر.	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
insuficiente	نارسا	insuficient	نارسا	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
insuficiente	کمتر.	insuficient	کمتر.	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
imaginar	خیالی	imaginar	خیالی	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
vectorul	سمتیہ	vector	سمتیہ	N;DEF;MASC;SG	N;NOM;MASC;SG;3
vectorul	سمتیانا	vector	سمتیانا	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
sloganul	نعرہ	slogan	نعرہ	N;DEF;MASC;SG	N;NOM;MASC;SG;3
temperată	درمیانہ.	temperat	درمیانہ.	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
temperată	محترز	temperat	محترز	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
plânge	للکار	plânge	للکار	V;IND;SG;3;PRS;FIN	
plânge	بھونک.	plânge	بھونک.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
plânge	فریاد.	plânge	فریاد.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
plânge	آوازہ.	plânge	آوازہ.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
plânge	انوروں	plânge	انور	V;IND;SG;3;PRS;FIN	N;ACC;MASC;PL;3
plânge	للکار	plânge	للکار	V;IND;SG;3;PRS;FIN	
plânge	بھونک.	plânge	بھونک.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
plânge	فریاد.	plânge	فریاد.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
plânge	آوازہ.	plânge	آوازہ.	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
plânge	انوروں	plânge	انور	V;IND;SG;3;PRS;FIN	N;ACC;MASC;PL;3
refuza	فالتو	refuza	فالتو	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
refuza	ردّی.	refuza	ردّی.	V;IND;SG;3;IPFV;FIN	PROPN;NOM;MASC;SG;3
refuza	فالتو	refuza	فالتو	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
refuza	ردّی.	refuza	ردّی.	V;IND;SG;3;IPFV;FIN	PROPN;NOM;MASC;SG;3
refuza	پھوک	refuza	پھوک	V;IND;SG;3;IPFV;FIN	
diabet	ذیابیطس	diabet	ذیابیطس	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
diabet	پیاس	diabet	پیاس	N;INDF;MASC;SG	V;SG;ACT
reglementarea	ہدایت	reglementare	ہدایت	N;DEF;FEM;SG	N;NOM;FEM;SG;3
reglementarea	حکم.	reglementare	حکم.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
sclavia	بندگی.	sclavia	بندگی.	N;DEF;FEM;SG	V;MASC;IND;SG;3;FUT;FIN
sclavia	غلامی	sclavia	غلامی	N;DEF;FEM;SG	N;NOM;MASC;SG;3
stomac	abomasum	stomac	abomasum	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stomac	omasum	stomac	omasum	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stomac	reticulum	stomac	reticulum	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stomac	سہنا	stomac	سہنا	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stomac	ولولہ	stomac	ولولہ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
cherry	دوشیزہ	cherry	دوشیزہ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
cherry	دوشیزگی	cherry	دوشیزگی	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
comment	توضیح	comment	توضیح		N;NOM;MASC;SG;3
comment	تصویر	comment	تصویر		N;NOM;MASC;SG;3
comment	مثال	comment	مثال		N;NOM;MASC;SG;3
ciupercă	اسفنجی	ciuperc	اسفنجی	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
ciupercă	خمیر	ciuperc	خمیر	N;INDF;FEM;SG	N;NOM;MASC;SG;3
ciupercă	فطر	ciuperc	فطر	N;INDF;FEM;SG	
ciupercă	ڈاڑھی.	ciuperc	ڈاڑھی.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
ciupercă	کھنبی	ciuperc	کھنبی	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
preparat	مستعدی.	prepara	مستعدی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
gong	بِلّا.	gong	بِلّا.		PROPN;NOM;MASC;SG;3
gong	تمغا	gong	تمغا		N;NOM;MASC;SG;3
stelar	پسندیدہ.	stelar	پسندیدہ.	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stelar	کوکبی.	stelar	کوکبی.	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
poluare	تعفّن	poluare	تعفّن	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
poluare	آلودگی	poluare	آلودگی	N;INDF;FEM;SG	ADJ
poluare	تعفّن	poluare	تعفّن	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
reclama	اشتہار.	reclama	اشتہار.	N;DEF;FEM;SG	
trunchi	ساقہ.	trunchi	ساقہ.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
trunchi	ڈکّی.	trunchi	ڈکّی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
taxă	فیس.	taxă	فیس.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
taxă	معاوضہ	taxă	معاوضہ	N;INDF;FEM;SG	N;NOM;MASC;SG;3
taxă	محنتانہ	taxă	محنتانہ	N;INDF;FEM;SG	ADJ
taxă	محصول	taxă	محصول	N;INDF;FEM;SG	N;NOM;MASC;SG;3
taxă	مکلف	taxă	مکلف	N;INDF;FEM;SG	N;NOM;MASC;SG;3
taxă	دباؤ.	taxă	دباؤ.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
taxă	ٹیکس	taxă	ٹیکس	N;INDF;FEM;SG	N;NOM;MASC;SG;3
taxă	مکلف	taxă	مکلف	N;INDF;FEM;SG	N;NOM;MASC;SG;3
taxă	دباؤ.	taxă	دباؤ.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
taxă	کر	taxă	کر	N;INDF;FEM;SG	V
taxă	محصول	taxă	محصول	N;INDF;FEM;SG	N;NOM;MASC;SG;3
taxă	ٹیکس	taxă	ٹیکس	N;INDF;FEM;SG	N;NOM;MASC;SG;3
abuziv	رکیک	abuziv	رکیک	ADV	V;SG;V.PTCP;ACT
piston	فشارہ.	piston	فشارہ.	N;INDF;MASC;SG	
viza	ویزا	viză	ویزا	N;DEF;FEM;SG	N;NOM;MASC;SG;3
separatiste	گریز	separatist	گریز	ADJ;INDF;FEM;PL	N;NOM;MASC;SG;3
noroi	آلودگی.	noroi	آلودگی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
noroi	گلابہ.	noroi	گلابہ.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
arenă	اکھاڑا.	arenă	اکھاڑ	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
jungle	ابتر	junglă	ابتر		ADJ
jungle	پیچیدہ	junglă	پیچیدہ		ADJ
tempo	چال.	tempo	چال.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
tempo	رفتارعمل	tempo	رفتارعمل	N;INDF;MASC;SG	ADJ
clan	بڑا	clan	بڑا	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
clan	گوت	clan	گوت	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
clan	ڈار	clan	ڈار	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
clan	بڑا	clan	بڑا	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
clan	گوت	clan	گوت	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
clan	ڈار	clan	ڈار	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
vino	(	vino	(	V;IND;SG;2;PRS;FIN	
vino	برتائو	vino	برتائو	V;IND;SG;2;PRS;FIN	
vino	نزدیک	vino	نزدیک	V;IND;SG;2;PRS;FIN	ADP;NOM;MASC;SG;3
vino	کردار	vino	کردار	V;IND;SG;2;PRS;FIN	N;NOM;MASC;SG;3
vino	(	vino	(	V;IND;SG;2;PRS;FIN	
vino	برتائو	vino	برتائو	V;IND;SG;2;PRS;FIN	
vino	نزدیک	vino	نزدیک	V;IND;SG;2;PRS;FIN	ADP;NOM;MASC;SG;3
vino	کردار	vino	کردار	V;IND;SG;2;PRS;FIN	N;NOM;MASC;SG;3
stâlp	لمبا	stâlp	لمبا	N;INDF;MASC;SG	ADJ;NOM;MASC
stâlp	لاٹ.	stâlp	لاٹ.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stâlp	تھم	stâlp	تھم	N;INDF;MASC;SG	V;ACT
stâlp	لاٹ.	stâlp	لاٹ.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
stejarul	یونیورسٹی	stejar	یونیورسٹی	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
preferință	برتری	preferință	برتری	N;INDF;FEM;SG	N;NOM;MASC;SG;3
preferință	مرجح.	preferință	مرجح.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
preferință	برتری	preferință	برتری	N;INDF;FEM;SG	N;NOM;MASC;SG;3
preferință	ترجیح	preferință	ترجیح	N;INDF;FEM;SG	N;NOM;MASC;SG;3
preferință	مرجح.	preferință	مرجح.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
lentile	تال	lent	تال	N;INDF;FEM;PL	N;NOM;MASC;SG;3
lentile	روشنی	lent	روشنی	N;INDF;FEM;PL	N;NOM;MASC;SG;3
lentile	عدسہ	lent	عدسہ	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
lentile	تال	lent	تال	N;INDF;FEM;PL	N;NOM;MASC;SG;3
lentile	روشنی	lent	روشنی	N;INDF;FEM;PL	N;NOM;MASC;SG;3
unanim	متفقہ	unanim	متفقہ	ADV	ADJ
ciocanul	ہرانا	ciocan	ہرانا	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
ciocanul	بجانا	ciocan	بجا	N;DEF;MASC;SG	V;MASC;SG;ACT
ciocanul	پچکانا	ciocan	پچکا	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
specifica	(	specifica	(	N;DEF;FEM;SG	
făt	جنین	făt	جنین	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
aderare	پانا	aderare	پانا	N;INDF;FEM;SG	V;SG;NFIN;ACT
aderare	ادخال.	aderare	ادخال.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
aderare	رسائی	aderare	رسائی	N;INDF;FEM;SG	N;NOM;MASC;SG;3
praful	دھرتی	praf	دھرتی	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
praful	چھڑکنا	praf	چھڑک	N;DEF;MASC;SG	V;NFIN;ACT
praful	فساد	praf	فساد	N;DEF;MASC;SG	N;NOM;MASC;SG;3
praful	انتشار	praf	انتشار	N;DEF;MASC;SG	N;NOM;MASC;SG;3
praful	غبار	praf	غبار	N;DEF;MASC;SG	N;NOM;MASC;SG;3
praful	بُرکنا	praf	بُرکنا	N;DEF;MASC;SG	V;NFIN;ACT
praful	زمین	praf	زمین	N;DEF;MASC;SG	N;NOM;FEM;SG;3
sigiliul	درز	sigiliu	درز	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
vacant	خالی	vacant	خالی	N;INDF;MASC;SG	ADJ
elefant	فیل	elefant	فیل	N;INDF;MASC;SG	V;ACT
admira	سراہنا	admira	سراہ	V;IND;SG;3;IPFV;FIN	PROPN;NOM;MASC;SG;3
dragi	حیرت	drag	حیرت	ADJ;INDF;MASC;PL	N;NOM;MASC;SG;3
dragi	خوف	drag	خوف	ADJ;INDF;MASC;PL	N;NOM;MASC;SG;3
dragi	پیارا	drag	پیارا	ADJ;INDF;MASC;PL	ADJ;NOM;MASC;SG
dragi	حیرت	drag	حیرت	ADJ;INDF;MASC;PL	N;NOM;MASC;SG;3
dragi	خوف	drag	خوف	ADJ;INDF;MASC;PL	N;NOM;MASC;SG;3
shell	سیپ	shell	سیپ		PROPN;NOM;MASC;SG;3
shell	صدف	shell	صدف		N;NOM;MASC;SG;3
shell	کوڑی	shell	کوڑی		PROPN;NOM;MASC;SG;3
shell	خول	shell	خول		N;NOM;MASC;SG;3
shell	سیپ	shell	سیپ		PROPN;NOM;MASC;SG;3
shell	صدف	shell	صدف		N;NOM;MASC;SG;3
shell	کوڑی	shell	کوڑی		PROPN;NOM;MASC;SG;3
shell	قشر	shell	قشر		PROPN;NOM;MASC;SG;3
rezident	فطری	rezident	فطری	N;INDF;MASC;SG	ADJ
rezident	جبلی.	rezident	جبلی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
rezident	جاگزیں	rezident	جاگز	N;INDF;MASC;SG	N;NOM;MASC;PL;3
cerebrală	فکری	cerebral	فکری	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
riscuri	خطرہ	risc	خطرہ	N;INDF;FEM;PL	N;NOM;MASC;SG;3
jumatate	half-back	jumata	half-back		PROPN;NOM;MASC;SG;3
anexă	تعلیقہ.	anexă	تعلیقہ.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
anexă	تعلیقہ.	anexă	تعلیقہ.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
anexă	ضمیمہ	anexă	ضمیمہ	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
anexă	ہتھیانا.	anexă	ہتھیانا	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
cuprinzătoare	سمجھ	cuprinzător	سمجھ	ADJ;INDF;FEM	V;ACT
cuprinzătoare	فہم	cuprinzător	فہم	ADJ;INDF;FEM	N;NOM;MASC;SG;3
amurg	جُھٹپٹا	amurg	جُھٹپٹا	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
amurg	تباہی.	amurg	تباہی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
amurg	اندھیرا.	amurg	اندھیرا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
amurg	سایہ	amurg	سایہ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
prinderea	پُرکشش.	prindere	پُرکشش.	N;DEF;FEM;SG	ADJ
