और	dan	और	dan		CONJ
स्टार	star	स्टार	star	N;NOM;MASC;SG;3	PROPN
वर्षा	rain	वर्षा	rain	N;NOM;FEM;SG;3	PROPN
जनरल	umum	जनरल	umum	N;NOM;MASC;SG;3	ADJ;SG
मार	kill	मार	kill	V;ACT	PROPN
परिचय	tentang	परिचय	tentang	N;NOM;MASC;SG;3	ADP;SG;ACT
परिचय	ttg	परिचय	ttg	N;NOM;MASC;SG;3	
परिचय	sekitar	परिचय	sekitar	N;NOM;MASC;SG;3	ADP
परिचय	intro	परिचय	intro	N;NOM;MASC;SG;3	PROPN
उत्पत्ति	origin	उत्पत्ति	origin	N;NOM;FEM;SG;3	PROPN
उत्पत्ति	genesis	उत्पत्ति	genesis	N;NOM;FEM;SG;3	PROPN
मांग	menuntut	मांग	mentuntut	N;NOM;FEM;SG;3	V;SG;ACT
मांग	demand	मांग	demand	N;NOM;FEM;SG;3	PROPN
देवता	dewi	देवता	dewi	N;NOM;MASC;SG;3	PROPN;SG
सोवियत	soviet	सोवियत	soviet	PROPN;NOM;MASC;SG;3	PROPN
दौर	bulat	दौर	bulat	N;NOM;MASC;SG;3	PROPN;SG
दौर	round	दौर	round	N;NOM;MASC;SG;3	PROPN
भौगोलिक	geografi	भौगोलिक	geografi	ADJ;NOM	N;SG
भौगोलिक	geographic	भौगोलिक	geographic	ADJ;NOM	PROPN;SG
भौगोलिक	geografis	भौगोलिक	geografis	ADJ;NOM	N;SG
भौगोलिक	geografis	भौगोलिक	geografis	ADJ;NOM	N;SG
उपस्थित	menghadiri	उपस्थित	menhadiri	ADJ	V;SG;ACT
उपस्थित	peserta	उपस्थित	peserta	ADJ	N;SG
उपस्थित	sajikan	उपस्थित	sajikan	ADJ	V;SG;ACT
उपस्थित	hadir	उपस्थित	hadir	ADJ	V;SG;ACT
उपस्थित	present	उपस्थित	present	ADJ	PROPN
अस्पताल	hospital	अस्पताल	hospital	N;NOM;MASC;SG;3	PROPN
अस्पताल	rs	अस्पताल	rs	N;NOM;MASC;SG;3	PROPN
परिवर्तित	diubah	परिवर्तित	diubah	ADJ	V;SG;PASS
परिवर्तित	berubah	परिवर्तित	berrubah	ADJ	V;SG;ACT
परिवर्तित	modifikasi	परिवर्तित	modifikasi	ADJ	N;SG
परिवर्तित	diubah	परिवर्तित	diubah	ADJ	V;SG;PASS
परिवर्तित	dimodifikasi	परिवर्तित	dimodifikasi	ADJ	V;SG;PASS
परिवर्तित	dikonversi	परिवर्तित	dikonversi	ADJ	V;SG;PASS
परिवर्तित	mengonversi	परिवर्तित	menonversi	ADJ	V;SG;ACT
पेश	menyajikan	पेश	mensajikan	ADJ	V;SG;ACT
स्वर	vocal	स्वर	vocal	N;NOM;MASC;SG;3	PROPN
स्वर	swara	स्वर	swara	N;NOM;MASC;SG;3	PROPN
लघु	logaritma	लघु	logaritma		N
लघु	kecil	लघु	kecil		ADJ;SG
लघु	minor	लघु	minor		N
लाइन	garis	लाइन	garis	N;NOM;FEM;SG;3	PROPN;SG
पहाड़ी	pahari	पहाडी	pahari	N;NOM;FEM;SG;3	PROPN
पहाड़ी	bukit	पहाडी	bukit	N;NOM;FEM;SG;3	PROPN;SG
पहाड़ी	hill	पहाडी	hill	N;NOM;FEM;SG;3	PROPN
पुरानी	old	पुराना	old	ADJ;FEM;SG	PROPN
पसंद	choice	पसंद	choice	N;NOM;FEM;SG;3	PROPN
पसंद	suka	पसंद	suka	N;NOM;FEM;SG;3	V;SG
पसंद	menyukai	पसंद	mensukai	N;NOM;FEM;SG;3	V;SG;ACT
सुझाव	tip	सुझाव	tip	N;NOM;MASC;SG;3	PROPN;SG
खेती	bertani	खेती	bertani	N;NOM;FEM;SG;3	PROPN;SG;ACT
खेती	harvest	खेती	harvest	N;NOM;FEM;SG;3	PROPN
लिखने	penulisan	लिख	pentulisan	V;NFIN;ACT	N;SG
लिखने	tulisan	लिख	tulisan	V;NFIN;ACT	N;SG
वर्णित	dijelaskan	वर्णित	dijelaskan	ADJ	V;SG;PASS
वर्णित	digambarkan	वर्णित	digambarkan	ADJ	V;SG;PASS
वर्णित	diterangkan	वर्णित	diterangkan	ADJ	V;SG;PASS
विभाजन	division	विभाजन	division	N;NOM;MASC;SG;3	PROPN
प्रशासनिक	administratif	प्रशासनिक	administratif	PROPN;NOM;MASC;SG;3	N;SG
विशेषता	berkualitas	विशेषता	berkualitas	N;NOM;FEM;SG;3	V;SG;ACT
भागलपुर	bhagalpur	भागलपुर	bhagalpur	PROPN;NOM;MASC;SG;3	PROPN
कठिन	susah	कठिन	susah	ADP	ADJ;SG
कठिन	hard	कठिन	hard	ADP	PROPN
कठिन	keras	कठिन	keras	ADP	ADJ;SG
कठिन	susah	कठिन	susah	ADP	ADJ;SG
कठिन	sulit	कठिन	sulit	ADP	ADJ;SG
कठिन	sukar	कठिन	sukar	ADP	ADJ;SG
कड़ी	pranala	कडा	pranala	ADJ;NOM;FEM;SG	N;SG
कड़ी	link	कडा	link	ADJ;NOM;FEM;SG	N
कड़ी	tautan	कडा	tautan	ADJ;NOM;FEM;SG	N;SG
कड़ी	taut	कडा	taut	ADJ;NOM;FEM;SG	N;SG
कड़ी	taut	कडा	taut	ADJ;NOM;FEM;SG	N;SG
कड़ी	pranala	कडा	pranala	ADJ;NOM;FEM;SG	N;SG
कड़ी	link	कडा	link	ADJ;NOM;FEM;SG	N
कड़ी	tautan	कडा	tautan	ADJ;NOM;FEM;SG	N;SG
कड़ी	links	कडा	links	ADJ;NOM;FEM;SG	PROPN
कड़ी	rantai	कडा	rantai	ADJ;NOM;FEM;SG	N;SG
एकमात्र	sole	एकमात्र	sole	ADP	PROPN
ईरान	iran	ईरान	iran	PROPN;NOM;MASC;SG;3	PROPN
ईरान	banten	ईरान	banten	PROPN;NOM;MASC;SG;3	PROPN
जान	tau	जान	tau	PROPN;NOM;MASC;SG;3	
जान	ketahuilah	जान	ketahui	PROPN;NOM;MASC;SG;3	V;SG;ACT
जान	kenali	जान	kenali	PROPN;NOM;MASC;SG;3	V;SG;ACT
जान	ketahui	जान	ketahui	PROPN;NOM;MASC;SG;3	V;SG;ACT
जान	tahu	जान	tahu	PROPN;NOM;MASC;SG;3	V;SG
जान	kenal	जान	kenal	PROPN;NOM;MASC;SG;3	V;SG;ACT
लड़ाई	battle	लड़ाई	battle	N;NOM;FEM;SG;3	PROPN
लड़ाई	bertarung	लड़ाई	bertarung	N;NOM;FEM;SG;3	V;SG;ACT
लड़ाई	berkelahi	लड़ाई	berkelahi	N;NOM;FEM;SG;3	V;SG;ACT
लड़ाई	fight	लड़ाई	fight	N;NOM;FEM;SG;3	PROPN
लड़ाई	melawan	लड़ाई	menlawan	N;NOM;FEM;SG;3	ADP;SG;ACT
लड़ाई	berjuang	लड़ाई	berjuang	N;NOM;FEM;SG;3	V;SG;ACT
परिभाषित	ditentukan	परिभाषित	ditentukan	ADJ	V;SG;PASS
परिभाषित	dijelaskan	परिभाषित	dijelaskan	ADJ	V;SG;PASS
परिभाषित	didefinisikan	परिभाषित	didefinisikan	ADJ	V;SG;PASS
परिभाषित	terdefinisi	परिभाषित	terdefinisi	ADJ	V;SG;PASS
अंश	frac	अंश	frac	N;NOM;MASC;SG;3	PROPN
रोड	road	रोड	road	N;NOM;FEM;SG;3	PROPN
प्रस्तावित	diusulkan	प्रस्तावित	diusulkan	ADJ	V;SG;PASS
प्रस्तावित	mengusulkan	प्रस्तावित	menusulkan	ADJ	V;SG;ACT
गायक	singer	गायक	singer	N;NOM;MASC;SG;3	PROPN
इस्लाम	islamisme	इस्लाम	islamisme	PROPN;NOM;MASC;SG;3	N
इस्लाम	islam	इस्लाम	islam	PROPN;NOM;MASC;SG;3	PROPN;SG
समुद्री	marinir	समुद्री	marinir	ADJ;NOM	N
समुद्री	marine	समुद्री	marine	ADJ;NOM	PROPN
समुद्री	laut	समुद्री	laut	ADJ;NOM	N;SG
समुद्री	kelautan	समुद्री	kelautan	ADJ;NOM	N;SG
समझा	mengerti	समझ	mengerti	V;PFV;MASC;SG;V.PTCP;ACT	;SG
समझा	dimengerti	समझ	dimengerti	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
समझा	dipahami	समझ	dipahami	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
उनको	mereka	वह	mereka	PRO;SG;3;FORM	PRO;PL;3
उपयोगी	berguna	उपयोगी	berguna	ADJ	V;SG;ACT
उपयोगी	bermanfaat	उपयोगी	bermanfaat	ADJ	V;SG;ACT
उपयोगी	menolong	उपयोगी	mentolong	ADJ	V;SG;ACT
उपयोगी	berguna	उपयोगी	berguna	ADJ	V;SG;ACT
उपयोगी	bermanfaat	उपयोगी	bermanfaat	ADJ	V;SG;ACT
उपयोगी	membantu	उपयोगी	menbantu	ADJ	V;SG;ACT
उपयोगी	utilitas	उपयोगी	utilitas	ADJ	N;SG
केंद्रीय	central	केंद्रीय	central	PROPN;NOM;SG;3	PROPN
केंद्रीय	tengah	केंद्रीय	tengah	PROPN;NOM;SG;3	PROPN;SG
केंद्रीय	pusat	केंद्रीय	pusat	PROPN;NOM;SG;3	N;SG
केंद्रीय	sentral	केंद्रीय	sentral	PROPN;NOM;SG;3	N;SG
केंद्रीय	upt	केंद्रीय	upt	PROPN;NOM;SG;3	PROPN
सत्र	session	सत्र	session	N;NOM;MASC;SG;3	PROPN
नारायण	narayana	नारायण	narayana	PROPN;NOM;MASC;SG;3	N;SG
नारायण	narayan	नारायण	narayan	PROPN;NOM;MASC;SG;3	PROPN
मिश्र	mesir	मिश्र	mesir	PROPN;NOM;SG;3	PROPN;SG
मिश्र	mishra	मिश्र	mishra	PROPN;NOM;SG;3	PROPN
मिश्र	mesir	मिश्र	mesir	PROPN;NOM;SG;3	PROPN;SG
पहुँच	akses	पहुँच	akses	V;ACT	N;SG
पहुँच	jangkau	पहुँच	jangkau	V;ACT	N;SG
पहुँच	jangkauan	पहुँच	jangkauan	V;ACT	N;SG
पहुँच	aksesibilitas	पहुँच	aksesibilitas	V;ACT	N;SG
पहुँच	jangkauan	पहुँच	jangkauan	V;ACT	N;SG
मेरा	ranjau	मैं	ranjau	PRO;MASC;SG;1	N;SG
मेरा	tambang	मैं	tambang	PRO;MASC;SG;1	N;SG
मेरा	mine	मैं	mine	PRO;MASC;SG;1	PROPN
मेरा	milikku	मैं	milik	PRO;MASC;SG;1	PROPN;SG
मिस्र	mesir	मिस्र	mesir	PROPN;NOM;MASC;SG;3	PROPN;SG
मिस्र	mesir	मिस्र	mesir	PROPN;NOM;MASC;SG;3	PROPN;SG
गणराज्य	republik	गणराज्य	republik	PROPN;NOM;MASC;SG;3	N
छात्रों	pelajar	छात्र	pelajar	N;ACC;MASC;PL;3	N;SG
छात्रों	santri	छात्र	santri	N;ACC;MASC;PL;3	N;SG
छात्रों	mahasiswa	छात्र	mahasiswa	N;ACC;MASC;PL;3	N;SG
छात्रों	murid	छात्र	murid	N;ACC;MASC;PL;3	N;SG
छात्रों	siswa	छात्र	siswa	N;ACC;MASC;PL;3	N;SG
पुराना	old	पुराना	old	ADJ;MASC;SG	PROPN
जम्मू	jammu	जम्मू	jammu	PROPN;NOM;MASC;SG;3	PROPN
तेज	fast	तेज	fast	ADJ	PROPN
तेज	puasa	तेज	puasa	ADJ	PROPN;SG
सम्राट	samrat	सम्राट	samrat	N;NOM;MASC;SG;3	PROPN
सम्राट	kaisar	सम्राट	kaisar	N;NOM;MASC;SG;3	PROPN;SG
वैसे	anyway	वैसे	anyway	PRO	PROPN
वैसे	pokoknya	वैसे	pokok	PRO	N;SG
नवंबर	november	नवंबर	november	PROPN;NOM;MASC;SG;3	PROPN;SG
नवंबर	nopember	नवंबर	nopember	PROPN;NOM;MASC;SG;3	N
नवंबर	nov	नवंबर	nov	PROPN;NOM;MASC;SG;3	
कारणों	alasan	कारण	alasan	N;ACC;MASC;PL;3	N;SG
सर	sir	सर	sir	N;NOM;MASC;SG;3	PROPN
सर	pak	सर	pak	N;NOM;MASC;SG;3	
प्रवाह	flow	प्रवाह	flow	N;NOM;MASC;SG;3	PROPN
प्रवाह	mengalir	प्रवाह	menalir	N;NOM;MASC;SG;3	V;SG;ACT
प्रवाह	mengalirlah	प्रवाह	menalir	N;NOM;MASC;SG;3	V;SG;ACT
अपराध	crime	अपराध	crime	N;NOM;MASC;SG;3	PROPN
अमेरिकन	american	अमेरिकन	american	PROPN;NOM;MASC;SG;3	PROPN
अमेरिकन	amerika	अमेरिकन	amerika	PROPN;NOM;MASC;SG;3	PROPN;SG
जन	jan	जन	jan	N;NOM;MASC;SG;3	
यूनाइटेड	bersatu	यूनाइटेड	bersatu	PROPN;NOM;MASC;SG;3	PROPN
जापानी	jepang	जापानी	jepang	N;NOM;MASC;SG;3	PROPN;SG
जापानी	japan	जापानी	japan	N;NOM;MASC;SG;3	PROPN
जापानी	jepang	जापानी	jepang	N;NOM;MASC;SG;3	PROPN;SG
जापानी	japanese	जापानी	japanese	N;NOM;MASC;SG;3	PROPN
रॉक	rock	रॉक	rock	N;NOM;MASC;SG;3	PROPN
लंबी	tall	लंबा	tall	ADJ;NOM;FEM;SG	PROPN
लंबी	jangkung	लंबा	jangkung	ADJ;NOM;FEM;SG	N
लंबी	long	लंबा	long	ADJ;NOM;FEM;SG	PROPN
गेम	gaming	गेम	gaming	N;NOM;MASC;SG;3	PROPN
गेम	games	गेम	games	N;NOM;MASC;SG;3	PROPN
अन्दर	inside	अन्दर	inside		PROPN
अन्दर	didalam	अन्दर	didalam		ADP;SG;PASS
संपत्ति	property	संपत्ति	property	N;NOM;FEM;SG;3	PROPN
संक्षिप्त	kependekan	संक्षिप्त	kependekan	PROPN;NOM;SG;3	N;SG
संक्षिप्त	singkatan	संक्षिप्त	singkatan	PROPN;NOM;SG;3	N;SG
संक्षिप्त	ringkas	संक्षिप्त	ringkas	PROPN;NOM;SG;3	PROPN;SG
संक्षिप्त	singkat	संक्षिप्त	singkat	PROPN;NOM;SG;3	ADJ;SG
संक्षिप्त	brief	संक्षिप्त	brief	PROPN;NOM;SG;3	PROPN
क्यों	kenapa	क्यों	kenapa	PRO	ADV
क्यों	mengapa	क्यों	mengapa	PRO	ADV
क्यों	why	क्यों	why	PRO	PROPN
गलत	salah	गलत	salah	ADJ	N;SG
गलत	salah	गलत	salah	ADJ	N;SG
गलत	palsu	गलत	palsu	ADJ	PROPN;SG
गलत	false	गलत	false	ADJ	PROPN
गलत	salah	गलत	salah	ADJ	N;SG
वर्मा	varma	वर्मा	varma	PROPN;NOM;MASC;SG;3	PROPN
वर्मा	verma	वर्मा	verma	PROPN;NOM;MASC;SG;3	PROPN
सर्वोच्च	supreme	सर्वोच्च	supreme	PROPN;NOM;MASC;SG;3	PROPN
सर्वोच्च	agung	सर्वोच्च	agung	PROPN;NOM;MASC;SG;3	ADJ;SG
सर्वोच्च	tertinggi	सर्वोच्च	tertinggi	PROPN;NOM;MASC;SG;3	ADJ;RL;SG
लेना	lena	ले	lena	V;MASC;NFIN;ACT	PROPN
वाहन	kendaraan	वाहन	kendaraan	N;NOM;MASC;PL;3	N;SG
वाहन	kendaraan	वाहन	kendaraan	N;NOM;MASC;PL;3	N;SG
फ़िल्में	movies	फ़िल्म	movies	N;NOM;FEM;PL;3	PROPN
फ़िल्में	film	फ़िल्म	film	N;NOM;FEM;PL;3	N;SG
सैनिक	soldier	सैनिक	soldier	N;NOM;MASC;SG;3	PROPN
सैनिक	militer	सैनिक	militer	N;NOM;MASC;SG;3	ADJ;SG
स्थिर	static	स्थिर	static		PROPN
स्थिर	statik	स्थिर	statik		N;SG
स्थिर	statis	स्थिर	statis		N;SG
स्थिर	mantap	स्थिर	mantap		ADJ;SG
विद्वानों	ulama	विद्वान	ulama	N;ACC;MASC;PL;3	N;SG
विद्वानों	cendekiawan	विद्वान	cendekiawan	N;ACC;MASC;PL;3	N;SG
अशोक	ashoka	अशोक	ashoka	PROPN;NOM;MASC;SG;3	PROPN
मानना	believe	मान	believe	V;NFIN;ACT	PROPN
रखना	keep	रख	keep	V;MASC;NFIN;ACT	PROPN
बाह्य	eksternal	बाह्य	eksternal		N
समूहों	grup	समूह	grup	N;ACC;MASC;PL;3	N;SG
समूहों	kelompok	समूह	kelompok	N;ACC;MASC;PL;3	N;SG
आये	came	आ	came	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
चूंकि	semenjak	चूंकि	semenjak	CONJ	ADP
चूंकि	since	चूंकि	since	CONJ	PROPN
चूंकि	sejak	चूंकि	sejak	CONJ	ADP
पुरुषों	pria	पुरुष	pria	N;ACC;MASC;PL;3	N;SG
पुरुषों	men	पुरुष	men	N;ACC;MASC;PL;3	PROPN
पुरुषों	mens	पुरुष	mens	N;ACC;MASC;PL;3	PROPN
वृक्ष	tree	वृक्ष	tree	N;NOM;MASC;SG;3	PROPN
निवेश	menginvestasikan	निवेश	meninvestasikan	N;NOM;MASC;SG;3	V;SG;ACT
तत्वों	unsur	तत्व	unsur	N;ACC;MASC;PL;3	N;SG
तत्वों	elemen	तत्व	elemen	N;ACC;MASC;PL;3	N;SG
सत्य	satya	सत्य	satya		PROPN
सत्य	kebenaran	सत्य	kebenaran		N;SG
सत्य	truth	सत्य	truth		PROPN
सत्य	substantif	सत्य	substantif		N
सौ	hundred	सौ	hundred	NUM	PROPN
आंतरिक	interior	आंतरिक	interior	ADJ;NOM	N;SG
निकल	nikel	निकल	nikel	V;ACT	N
निकल	receh	निकल	receh	V;ACT	PROPN;SG
प्रत्यक्ष	direct	प्रत्यक्ष	direct	PROPN;NOM;MASC;SG;3	PROPN
प्रत्यक्ष	langsung	प्रत्यक्ष	langsung	PROPN;NOM;MASC;SG;3	ADV
मित्र	friends	मित्र	friends	N;NOM;MASC;SG;3	PROPN
मित्र	berteman	मित्र	berteman	N;NOM;MASC;SG;3	V;SG;ACT
मित्र	friend	मित्र	friend	N;NOM;MASC;SG;3	PROPN
दर्द	pain	दर्द	pain	N;NOM;MASC;SG;3	PROPN
बिजली	thunderbolt	बिजली	thunderbolt	N;NOM;FEM;SG;3	PROPN
बिजली	kilat	बिजली	kilat	N;NOM;FEM;SG;3	PROPN;SG
कार्ड	card	कार्ड	card	N;NOM;MASC;SG;3	PROPN
बिंदु	dot	बिंदु	dot	N;NOM;MASC;SG;3	PROPN
बुद्ध	budha	बुद्ध	budha	PROPN;NOM;MASC;SG;3	PROPN
बुद्ध	buddha	बुद्ध	buddha	PROPN;NOM;MASC;SG;3	PROPN
हजार	ribuan	हजार	ribuan	NUM	N;SG
हजार	ribu	हजार	ribu	NUM	N
हजार	thousand	हजार	thousand	NUM	PROPN
रिलीज़	melepaskan	रिलीज़	menlepaskan	N;NOM;MASC;SG;3	V;SG;ACT
रिलीज़	lepaskan	रिलीज़	lepaskan	N;NOM;MASC;SG;3	V;SG;ACT
शांति	damai	शान्ति	damai	N;NOM;FEM;SG;3	ADJ;SG
शांति	peace	शान्ति	peace	N;NOM;FEM;SG;3	PROPN
वितरण	delivery	वितरण	delivery	N;NOM;MASC;SG;3	PROPN
आय	income	आय	income	N;NOM;FEM;SG;3	PROPN
फाइनल	finals	फाइनल	finals	N;NOM;MASC;SG;3	PROPN
टेलीविजन	television	टेलीविजन	television	N;NOM;MASC;SG;3	PROPN
दैनिक	daily	दैनिक	daily	N;NOM;MASC;SG;3	PROPN
फूल	flower	फूल	flower	N;NOM;MASC;SG;3	PROPN
कल्पना	kalpana	कल्पना	kalpana	N;NOM;FEM;SG;3	PROPN
प्राप्ति	seek	प्राप्ति	seek	N;NOM;FEM;SG;3	PROPN
प्रसार	disebarkan	प्रसार	disebarkan	N;NOM;MASC;SG;3	V;SG;PASS
प्रसार	menyebar	प्रसार	mensebar	N;NOM;MASC;SG;3	V;SG;ACT
प्रसार	sebarkan	प्रसार	sebarkan	N;NOM;MASC;SG;3	V;SG;ACT
दिल	dil	दिल	dil	N;NOM;MASC;SG;3	PROPN
दिल	heart	दिल	heart	N;NOM;MASC;SG;3	PROPN
दिल	hearts	दिल	hearts	N;NOM;MASC;SG;3	PROPN
दिल	kalbu	दिल	kalbu	N;NOM;MASC;SG;3	PROPN;SG
गाने	lagu	गाना	lagu	N;NOM;MASC;PL;3	N;SG
गाने	songs	गाना	songs	N;NOM;MASC;PL;3	PROPN
सुंदर	beautiful	सुन्दर	beautiful	ADJ	PROPN
सुंदर	cantiknya	सुन्दर	cantik	ADJ	N;SG
सुंदर	pretty	सुन्दर	pretty	ADJ	PROPN
सुंदर	ganteng	सुन्दर	ganteng	ADJ	N
सुंदर	handsome	सुन्दर	handsome	ADJ	PROPN
यानि	berarti	यानि	berarti	CONJ	V;SG;ACT
यानि	artinya	यानि	arti	CONJ	N;SG
यानि	sarana	यानि	sarana	CONJ	N;SG
हाउस	house	हाउस	house	N;NOM;MASC;SG;3	PROPN
अफ़्रीका	africa	अफेरीका	africa	PROPN;NOM;MASC;SG;3	PROPN
अफ़्रीका	afrika	अफेरीका	afrika	PROPN;NOM;MASC;SG;3	N;SG
इच्छा	desire	इच्छा	desire	N;NOM;FEM;SG;3	PROPN
भार	berat	भार	berat	N;NOM;MASC;SG;3	ADJ;SG
खंड	block	खंड	block	N;NOM;MASC;SG;3	PROPN
खंड	blokir	खंड	blokir	N;NOM;MASC;SG;3	PROPN;SG;ACT
मिश्रण	mix	मिश्रण	mix	N;NOM;MASC;SG;3	PROPN
मिश्रण	berbaur	मिश्रण	berbaur	N;NOM;MASC;SG;3	V;SG;ACT
मिश्रण	blender	मिश्रण	blender	N;NOM;MASC;SG;3	PROPN
समर्पित	didedikasikan	समर्पित	didedikasikan	ADJ	V;SG;PASS
समर्पित	berdedikasi	समर्पित	berdedikasi	ADJ	V;SG;ACT
पहुंच	akses	पहुंच	akses	V;ACT	N;SG
व्यास	diameter	व्यास	diameter		N;SG
व्यास	vyas	व्यास	vyas		PROPN
प्यार	love	प्यार	love	N;NOM;MASC;SG;3	PROPN
प्यार	cintai	प्यार	cintai	N;NOM;MASC;SG;3	V;SG;ACT
प्यार	mencintai	प्यार	mencintai	N;NOM;MASC;SG;3	V;SG;ACT
प्यार	loving	प्यार	loving	N;NOM;MASC;SG;3	PROPN
लखनऊ	lucknow	लखनऊ	lucknow	PROPN;NOM;MASC;SG;3	PROPN
आत्मा	soul	आत्मा	soul	N;NOM;FEM;SG;3	PROPN
आत्मा	ruh	आत्मा	ruh	N;NOM;FEM;SG;3	PROPN;SG
आत्मा	spirit	आत्मा	spirit	N;NOM;FEM;SG;3	PROPN
हे	hey	हे	hey		PROPN
हे	hei	हे	hei		PART
पक्षी	bird	पक्षी	bird	N;NOM;MASC;SG;3	PROPN
डेविड	daud	डेविड	daud	PROPN;NOM;MASC;SG;3	
डेविड	david	डेविड	david	PROPN;NOM;MASC;SG;3	PROPN
कह	say	कह	say	V;FIN;ACT	PROPN
जंक्शन	junction	जंक्शन	junction	N;NOM;MASC;SG;3	PROPN
खास	special	खास	special	ADJ;NOM	PROPN
बांग्लादेश	bangladesh	बांग्लादेश	bangladesh	PROPN;NOM;MASC;SG;3	PROPN
तय	diperbaiki	तय	diperbaiki	ADJ	V;SG;PASS
तय	tetap	तय	tetap	ADJ	ADV;SG
तय	fixed	तय	fixed	ADJ	PROPN
धारावाहिक	berantai	धारावाहिक	berantai	N;NOM;MASC;SG;3	PROPN;SG;ACT
तारे	star	तारा	star	N;NOM;MASC;SG;3	PROPN
तारे	stars	तारा	stars	N;NOM;MASC;SG;3	PROPN
बनाना	making	बना	making	V;MASC;NFIN;ACT	PROPN
बाकी	istirahat	बाकी	istirahat	ADJ	N;SG
बाकी	beristirahat	बाकी	beristirahat	ADJ	V;SG;ACT
बाकी	sisa	बाकी	sisa	ADJ	N;SG
बाकी	tersisa	बाकी	tersisa	ADJ	V;SG;PASS
संत	sant	संत	sant	N;NOM;MASC;SG;3	PROPN
संत	santo	संत	santo	N;NOM;MASC;SG;3	PROPN
संत	saints	संत	saints	N;NOM;MASC;SG;3	PROPN
संत	santo	संत	santo	N;NOM;MASC;SG;3	PROPN
संत	saint	संत	saint	N;NOM;MASC;SG;3	PROPN
ऊंचाई	tinggi	ऊंचाई	tinggi	N;NOM;FEM;SG;3	ADJ;SG
उपग्रह	satellite	उपग्रह	satellite	N;NOM;MASC;SG;3	PROPN
तुर्की	kalkun	तुर्की	kalkun	PROPN;NOM;MASC;SG;3	N;SG
तुर्की	turki	तुर्की	turki	PROPN;NOM;MASC;SG;3	PROPN;SG
तुर्की	turki	तुर्की	turki	PROPN;NOM;MASC;SG;3	PROPN;SG
तुर्की	turkish	तुर्की	turkish	PROPN;NOM;MASC;SG;3	PROPN
संस्कार	manasik	संस्कार	manasik	N;NOM;MASC;SG;3	PROPN
शंकर	shankar	शंकर	shankar	PROPN;NOM;MASC;SG;3	PROPN
वार्षिक	tahunan	वार्षिक	tahunan	PROPN;NOM;MASC;SG;3	N;SG
वार्षिक	tahunan	वार्षिक	tahunan	PROPN;NOM;MASC;SG;3	N;SG
परिसर	complex	परिसर	complex	N;NOM;MASC;SG;3	PROPN
परिसर	rumit	परिसर	rumit	N;NOM;MASC;SG;3	ADJ;SG
अधिकतम	max	अधिकतम	max	ADJ	
अधिकतम	maks	अधिकतम	maks	ADJ	PROPN
अधिकतम	maximum	अधिकतम	maximum	ADJ	PROPN
वैश्विक	global	वैश्विक	global	N;NOM;MASC;SG;3	ADJ
तभी	only	तभी	only	PRO;NOM	PROPN
तभी	saja	तभी	saja	PRO;NOM	ADV
तभी	hanya	तभी	hanya	PRO;NOM	ADV
अनिवार्य	ojek	अनिवार्य	ojek		N
अनिवार्य	esensial	अनिवार्य	esensial		N
अनिवार्य	penting	अनिवार्य	penting		ADJ;SG
सामान्यतः	normalnya	सामान्यतः	normal	ADV	N;SG
हरियाणा	haryana	हरियाणा	haryana	PROPN;NOM;MASC;SG;3	PROPN
तारा	kelaparan	तारा	kelaparan	PROPN;NOM;MASC;SG;3	N;SG
तारा	star	तारा	star	PROPN;NOM;MASC;SG;3	PROPN
तारा	bintang	तारा	bintang	PROPN;NOM;MASC;SG;3	N;SG
द्वार	gate	द्वार	gate	N;NOM;MASC;SG;3	PROPN
द्वार	door	द्वार	door	N;NOM;MASC;SG;3	PROPN
द्वार	doors	द्वार	doors	N;NOM;MASC;SG;3	PROPN
आनंद	enjoy	आनंद	enjoy	PROPN;NOM;MASC;SG;3	PROPN
आनंद	nikmati	आनंद	nikmati	PROPN;NOM;MASC;SG;3	V;SG
आनंद	menikmati	आनंद	mennikmati	PROPN;NOM;MASC;SG;3	V;SG;ACT
आनंद	nikmatilah	आनंद	nikmati	PROPN;NOM;MASC;SG;3	V;SG
आनंद	anand	आनंद	anand	PROPN;NOM;MASC;SG;3	PROPN
आनंद	ananda	आनंद	ananda	PROPN;NOM;MASC;SG;3	PROPN
कम्पनी	company	कम्पनी	company	N;NOM;FEM;SG;3	PROPN
रे	sinar	रे	sinar	PROPN;NOM;MASC;SG;3	N;SG
रे	ray	रे	ray	PROPN;NOM;MASC;SG;3	PROPN
स्थायी	permanen	स्थायी	permanen	PROPN;NOM;SG;3	ADJ;SG
स्थायी	permanent	स्थायी	permanent	PROPN;NOM;SG;3	PROPN
स्थायी	langgeng	स्थायी	langgeng	PROPN;NOM;SG;3	ADJ;SG
लकड़ी	wood	लकडी	wood	N;NOM;FEM;SG;3	PROPN
गोल	rand	गोल	rand	N;NOM;MASC;SG;3	PROPN
गोल	goal	गोल	goal	N;NOM;MASC;SG;3	PROPN
गोल	bulat	गोल	bulat	N;NOM;MASC;SG;3	PROPN;SG
गोल	round	गोल	round	N;NOM;MASC;SG;3	PROPN
तल	floor	तल	floor	N;NOM;MASC;SG;3	PROPN
तल	terbawah	तल	terbawah	N;NOM;MASC;SG;3	ADP;RL;SG
