sejler	voile	sejle	voile	V;IND;PRS;FIN;ACT	N;FEM;SG
farlig	dangereuses	farlig	dangereux	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
plantage	plantations	plantage	plantation	N;INDF;MASC+FEM;SG	N;FEM;PL
kontroversielle	controverse	kontroversiel	controverse	ADJ;PL	N;FEM;SG
kontroversielle	controversée	kontroversiel	controverser	ADJ;PL	V;FEM;SG;PST;V.PTCP
kontroversielle	polémique	kontroversiel	polémique	ADJ;PL	ADJ;FEM;SG
kontroversielle	controversé	kontroversiel	controversé	ADJ;PL	ADJ;MASC;SG
kvæg	bovins	kvæg	bovin	N;INDF;NEUT;SG	N;MASC;PL
revolutionære	révolutionnaire	revolutionær	révolutionnaire	ADJ;PL	ADJ;MASC;SG
bedt	priait	bede	prenir	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
redigering	éditer	redigering	éditer	N;INDF;MASC+FEM;SG	V;NFIN
woman	femme	woman	femme		N;FEM;SG
vibeke	vibeke	vibeke	vibeke	N;INDF;MASC+FEM;SG	PROPN
philippe	philippe	philippe	philippe		N;MASC;SG
fugl	oiseaux	fugl	oiseau	N;INDF;MASC+FEM;SG	N;MASC;PL
fugl	bird	fugl	bird	N;INDF;MASC+FEM;SG	PROPN
udenlandsk	étranger	udenlandsk	étranger	ADJ;INDF;SG	N;MASC;SG
udenlandsk	etranger	udenlandsk	etranger	ADJ;INDF;SG	N;MASC;SG
udenlandsk	étrangères	udenlandsk	étranger	ADJ;INDF;SG	ADJ;FEM;PL
them	eux	them	soi		PRO;MASC;PL;3
heaven	paradis	heaven	paradis		N;MASC;SG
heaven	heaven	heaven	heaven		PROPN
heaven	cieux	heaven	ciel		N;MASC;PL
heaven	ciel	heaven	ciel		N;MASC;SG
istanbul	istanbul	istanbul	istanbul	PROPN	PROPN
celle	cell	celle	cell	N;INDF;MASC+FEM;SG	PROPN
celle	cellules	celle	cellule	N;INDF;MASC+FEM;SG	N;FEM;PL
download	télécharge	download	télécharge	V;IMP	V;IND;SG;3;PRS;FIN
download	téléchargements	download	téléchargement	V;IMP	N;MASC;PL
download	téléchargement	download	téléchargement	V;IMP	N;MASC;SG
vidnesbyrd	témoignages	vidnesbyrd	témoignage	N;INDF;NEUT;SG	N;MASC;PL
husum	husum	husum	husum	PROPN	PROPN
sammenstød	heurts	sammenstød	heurt	N;INDF;NEUT;SG	N;MASC;PL
sammenstød	affrontements	sammenstød	affrontement	N;INDF;NEUT;SG	N;MASC;PL
sammenstød	collisions	sammenstød	collision	N;INDF;NEUT;SG	N;FEM;PL
sammenstød	collisions	sammenstød	collision	N;INDF;NEUT;SG	N;FEM;PL
montgomery	montgomery	montgomery	montgomery	N;INDF;MASC+FEM;SG	PROPN
gearkasse	transmissions	gearkasse	transmission	N;INDF;MASC+FEM;SG	N;FEM;PL
inter	inter	inter	inter		PROPN
edmund	edmund	edmund	edmund	N;INDF;MASC+FEM;SG	PROPN
edmund	edmond	edmund	edmond	N;INDF;MASC+FEM;SG	PROPN
moses	moses	moses	mose	N;INDF;MASC+FEM;SG	PROPN
jagerfly	boxeurs	jagerfly	boxeur	N;INDF;MASC+FEM;SG	N;MASC;PL
jagerfly	combattants	jagerfly	combattant	N;INDF;MASC+FEM;SG	N;MASC;PL
pacific	pacifique	pacific	pacifique		ADJ;MASC;SG
borger	citoyenne	borger	citoyen	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
engel	angélique	engel	angélique	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	PROPN
engel	anges	engel	ange	N;INDF;MASC+FEM;SG	N;MASC;PL
erich	erich	erich	erich	N;INDF;MASC+FEM;SG	PROPN
myter	mythe	myte	mythe	N;INDF;MASC+FEM;PL	N;MASC;SG
myter	mythe	myte	mythe	N;INDF;MASC+FEM;PL	N;MASC;SG
frivillig	optionnelles	frivillig	optionnel	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
frivillig	facultatives	frivillig	facultatif	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
frivillig	volontaires	frivillig	volontaire	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
frivillig	volontaires	frivillig	volontaire	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
frivillig	bénévolat	frivillig	bénévolat	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
frivillig	bénévoles	frivillig	bénévole	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
frost	gelées	frost	gelée	N;INDF;MASC+FEM;SG	V;FEM;PL;PST;V.PTCP
frost	givré	frost	givrer	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
frost	frost	frost	frost	N;INDF;MASC+FEM;SG	PROPN
frost	gelée	frost	gelée	N;INDF;MASC+FEM;SG	V;FEM;SG;PST;V.PTCP
egon	egon	egon	egon		PROPN
sting	piquer	sting	piquer	N;INDF;MASC+FEM;SG	V;NFIN
sting	sting	sting	sting	N;INDF;MASC+FEM;SG	PROPN
sting	coutures	sting	couture	N;INDF;MASC+FEM;SG	N;FEM;PL
asiatiske	asiatique	asiatisk	asiatique	ADJ;PL	ADJ;MASC;SG
sweet	doux	swe	doux		ADJ;MASC;SG
sweet	sucré	swe	sucrer		V;MASC;SG;PST;V.PTCP
sweet	douce	swe	doux		ADJ;FEM;SG
sweet	sweet	swe	sweet		PROPN
ler	argiles	le	argile	N;INDF;MASC+FEM;SG	N;MASC;PL
ler	rit	le	rire	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
ler	rires	le	rire	N;INDF;MASC+FEM;SG	N;MASC;PL
ler	argileux	le	argileux	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
ler	clay	le	clay	N;INDF;MASC+FEM;SG	PROPN
fotografi	photographier	fotografi	photographier	N;INDF;NEUT;SG	V;NFIN
fotografi	photographique	fotografi	photographique	N;INDF;NEUT;SG	ADJ;MASC;SG
jagten	hunt	jagt	hunt	N;DEF;MASC+FEM;SG	PROPN
jagten	pourchasser	jagt	pourchasser	N;DEF;MASC+FEM;SG	V;NFIN
jagten	chasser	jagt	chasser	N;DEF;MASC+FEM;SG	V;NFIN
jagten	chasser	jagt	chasser	N;DEF;MASC+FEM;SG	V;NFIN
coupé	coupé	coupé	couper	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
bevidsthed	consciente	bevidsthed	conscient	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
bevidsthed	conscientes	bevidsthed	conscient	N;INDF;MASC+FEM;SG	ADJ;FEM;PL
bevidsthed	conscient	bevidsthed	conscient	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
bevidsthed	conscients	bevidsthed	conscient	N;INDF;MASC+FEM;SG	ADJ;MASC;PL
sproglige	linguistique	sproglig	linguistique	ADJ;PL	ADJ;MASC;SG
kurser	cours	kursus	cours	N;INDF;NEUT;PL	N;MASC;SG
undtagelser	exception	undtagelse	exception	N;INDF;MASC+FEM;PL	N;FEM;SG
houston	houston	houston	houston		PROPN
bombe	bombes	bombe	bombe	N;INDF;MASC+FEM;SG	N;FEM;PL
bombe	bombardements	bombe	bombardement	N;INDF;MASC+FEM;SG	N;MASC;PL
anmodning	demander	anmodning	demander	N;INDF;MASC+FEM;SG	V;NFIN
anmodning	demandez	anmodning	demander	N;INDF;MASC+FEM;SG	V;IMP;PL;2;PRS;FIN
flandern	flamand	flande	flamand	N;INDF;MASC+FEM;PL	ADJ;MASC;SG
flandern	flandre	flande	flandre	N;INDF;MASC+FEM;PL	PROPN
flandern	flamande	flande	flamand	N;INDF;MASC+FEM;PL	ADJ;FEM;SG
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	PROPN
fremstiller	fabrique	fremstille	fabrique	V;IND;PRS;FIN;ACT	ADJ;FEM;SG
fremstiller	constructeur	fremstille	constructeur	V;IND;PRS;FIN;ACT	N;MASC;SG
fremstiller	manufacturier	fremstille	manufacturier	V;IND;PRS;FIN;ACT	N;MASC;SG
fremstiller	fabricant	fremstille	fabricant	V;IND;PRS;FIN;ACT	N;MASC;SG
toner	toner	tone	toner	N;INDF;MASC+FEM;PL	N;MASC;SG
kaserne	caserne	kase	caserne	N;DEF;MASC+FEM;PL	N;FEM;SG
cecilie	cecilie	cecilie	cecilie		PROPN
patent	brevets	patent	brevet	N;INDF;NEUT;SG	N;MASC;PL
patent	brevets	patent	brevet	N;INDF;NEUT;SG	N;MASC;PL
owen	owen	owen	owen		PROPN
owen	fabien	owen	fabien		PROPN
rafael	raphael	rafael	raphael		PROPN
rafael	raphaël	rafael	raphaël		PROPN
rafael	rafael	rafael	rafael		PROPN
rafael	raphaël	rafael	raphaël		PROPN
filippinerne	philippins	filippin	philippin	N;DEF;MASC+FEM;PL	ADJ;MASC;PL
kæden	enchaîner	kæde	enchaîner	N;DEF;MASC+FEM;SG	V;NFIN
skatter	impôt	skatter	impôt	ADV	N;MASC;SG
skatter	impôts	skatter	impôt	ADV	N;MASC;PL
skatter	taxes	skatter	taxe	ADV	N;FEM;PL
skatter	fiscalité	skatter	fiscalité	ADV	N;FEM;SG
ravn	raven	ravn	raven	N;INDF;MASC+FEM;SG	PROPN
usædvanlig	insolites	usædvanlig	insolite	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
alabama	alabama	alabama	alabama		PROPN
væbnede	armés	væbne	armer	ADJ;PL	V;MASC;PL;PST;V.PTCP
væbnede	armées	væbne	armer	ADJ;PL	V;FEM;PL;PST;V.PTCP
væbnede	armé	væbne	armer	ADJ;PL	V;MASC;SG;PST;V.PTCP
undersøgt	étudiées	undersøge	étudier	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
undersøgt	étudiés	undersøge	étudier	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
undersøgt	examinés	undersøge	examiner	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
undersøgt	examinées	undersøge	examiner	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
organiske	bio	organisk	bio	ADJ;PL	N;MASC;SG
organiske	biologique	organisk	biologique	ADJ;PL	ADJ;MASC;SG
organiske	organique	organisk	organique	ADJ;PL	ADJ;MASC;SG
newton	newton	newton	newton		PROPN
michelle	michèle	michel	michèle	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
olga	olga	olga	olga		PROPN
romantisk	romantisme	romantisk	romantisme	ADV	N;MASC;SG
romantisk	romantiques	romantisk	romantique	ADV	ADJ;MASC;PL
romantisk	romantique	romantisk	romantique	ADV	ADJ;MASC;SG
blind	blind	blind	blind	ADJ;INDF;MASC+FEM;SG	PROPN
blind	aveugles	blind	aveugle	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
sevilla	séville	sevilla	séville	PROPN	PROPN
sevilla	sevilla	sevilla	sevilla	PROPN	PROPN
sevilla	séville	sevilla	séville	PROPN	PROPN
sevilla	seville	sevilla	seville	PROPN	PROPN
mel	farines	mel	farine	N;INDF;MASC+FEM;SG	N;FEM;PL
mel	mel	mel	mel	N;INDF;MASC+FEM;SG	
ronnie	ronnie	ronnie	ronnir		PROPN
køb	achats	køb	achat	N;INDF;NEUT;SG	N;MASC;PL
køb	acheter	køb	acheter	N;INDF;NEUT;SG	V;NFIN
køb	achetez	køb	acheter	N;INDF;NEUT;SG	V;IMP;PL;2;PRS;FIN
køb	acheter	køb	acheter	N;INDF;NEUT;SG	V;NFIN
køb	achetez	køb	acheter	N;INDF;NEUT;SG	V;IMP;PL;2;PRS;FIN
køb	achats	køb	achat	N;INDF;NEUT;SG	N;MASC;PL
køb	achetant	køb	acheter	N;INDF;NEUT;SG	V;PRS;V.PTCP
walker	walker	walke	walker	N;INDF;MASC+FEM;SG	PROPN
statistisk	statistique	statistisk	statistique	ADV	ADJ;MASC;SG
sporten	sportif	sport	sportif	N;DEF;MASC+FEM;SG	ADJ;MASC;SG
sporten	sportive	sport	sportif	N;DEF;MASC+FEM;SG	ADJ;FEM;SG
ruth	ruth	ruth	ruth	N;INDF;MASC+FEM;SG	PROPN
grænserne	bordure	grænse	bordure	N;DEF;MASC+FEM;PL	N;FEM;SG
separat	distinct	separat	distinct	ADV	ADJ;MASC;SG
separat	séparés	separat	séparer	ADV	V;MASC;PL;PST;V.PTCP
separat	séparé	separat	séparer	ADV	V;MASC;SG;PST;V.PTCP
separat	séparées	separat	séparer	ADV	V;FEM;PL;PST;V.PTCP
separat	séparer	separat	séparer	ADV	V;NFIN
wikidata	wikidata	wikidata	wikidata		N;MASC;SG
stein	stein	stein	stein	N;INDF;MASC+FEM;SG	PROPN
skulptur	sculptures	skulptur	sculpture	N;INDF;MASC+FEM;SG	N;FEM;PL
pearl	pearl	pearl	pearl	N;INDF;MASC+FEM;SG	PROPN
pearl	perles	pearl	perle	N;INDF;MASC+FEM;SG	N;FEM;PL
trykte	imprimé	trykte	imprimer	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
trykte	imprimée	trykte	imprimer	V;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
godkendte	approuvé	godkende	approuver	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
godkendte	approuvée	godkende	approuver	V;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
godkendte	agréée	godkende	agréée	V;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
godkendte	agréé	godkende	agrée	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
permanente	permanente	permanent	permanent	ADJ;PL	ADJ;FEM;SG
permanente	permanent	permanent	permanent	ADJ;PL	ADJ;MASC;SG
winston	winston	winston	winston	N;INDF;MASC+FEM;SG	PROPN
fisker	poissons	fisker	poisson	N;INDF;MASC+FEM;SG	N;MASC;PL
fisker	pêcheurs	fisker	pêcheur	N;INDF;MASC+FEM;SG	N;MASC;PL
fisker	pêcher	fisker	pêcher	N;INDF;MASC+FEM;SG	V;NFIN
dygtige	talentueux	dygtig	talentueux	ADJ;PL	ADJ;MASC;SG
dygtige	douée	dygtig	douer	ADJ;PL	V;FEM;SG;PST;V.PTCP
dygtige	talentueuse	dygtig	talentueux	ADJ;PL	ADJ;FEM;SG
oldenburg	oldenburg	oldenburg	oldenburg		PROPN
beton	concret	beton	concret	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
beton	concrètes	beton	concret	N;INDF;MASC+FEM;SG	ADJ;FEM;PL
dortmund	dortmund	dortmund	dortmund	PROPN	PROPN
kæde	enchaîner	kæde	enchaîner	N;INDF;MASC+FEM;SG	V;NFIN
police	policière	police	policier	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
police	policiers	police	policier	N;INDF;MASC+FEM;SG	N;MASC;PL
dragon	dragons	dragon	dragon		N;MASC;PL
dragon	dragon	dragon	dragon		N;MASC;SG
göttingen	göttingen	gytting	göttingen	N;DEF;MASC+FEM;SG	PROPN
rede	nest	rede	nest	N	
rede	préparés	rede	préparer	N	V;MASC;PL;PST;V.PTCP
rede	préparées	rede	préparer	N	V;FEM;PL;PST;V.PTCP
rede	préparée	rede	préparer	N	V;FEM;SG;PST;V.PTCP
rede	préparé	rede	préparer	N	V;MASC;SG;PST;V.PTCP
chopin	chopin	chopin	chopin		N;MASC;SG
drab	homicides	drab	homicide	N;INDF;NEUT;SG	N;MASC;PL
drab	criminelle	drab	criminel	N;INDF;NEUT;SG	ADJ;FEM;SG
drab	homicides	drab	homicide	N;INDF;NEUT;SG	N;MASC;PL
drab	assassinats	drab	assassinat	N;INDF;NEUT;SG	N;MASC;PL
drab	meurtres	drab	meurtre	N;INDF;NEUT;SG	N;MASC;PL
drab	tueries	drab	tuerie	N;INDF;NEUT;SG	N;FEM;PL
drab	tuer	drab	tuer	N;INDF;NEUT;SG	V;NFIN
gad	gad	gide	gad	V;IND;PST;FIN;ACT	PROPN
dale	dale	dal	dale	N;INDF;MASC+FEM;PL	PROPN
pedro	pedro	pedro	pedro		PROPN
barry	barry	barry	barry		PROPN
allieret	alliés	alliere	allié	V;INDF;SG;PST;V.PTCP	N;MASC;PL
allieret	allied	alliere	allied	V;INDF;SG;PST;V.PTCP	PROPN
allieret	alliées	alliere	allié	V;INDF;SG;PST;V.PTCP	ADJ;FEM;PL
allieret	ally	alliere	ally	V;INDF;SG;PST;V.PTCP	PROPN
judas	judas	judas	judas		N;MASC;SG
lufthavne	aéroport	lufthavne	aéroport	N;INDF;MASC+FEM;PL	N;MASC;SG
small	petit	small	petit		ADJ;MASC;SG
small	petits	small	petit		ADJ;MASC;PL
small	petites	small	petit		ADJ;FEM;PL
small	petite	small	petit		ADJ;FEM;SG
kentucky	kentucky	kentucky	kentucky		PROPN
afløser	remplacer	afløser	remplacer	N;INDF;MASC+FEM;SG	V;NFIN
afløser	remplaçant	afløser	remplacer	N;INDF;MASC+FEM;SG	V;PRS;V.PTCP
afløser	remplacements	afløser	remplacement	N;INDF;MASC+FEM;SG	N;MASC;PL
afløser	remplaçant	afløser	remplacer	N;INDF;MASC+FEM;SG	V;PRS;V.PTCP
proteiner	protéique	protein	protéique	N;INDF;NEUT;PL	ADJ;MASC;SG
proteiner	protéine	protein	protéine	N;INDF;NEUT;PL	N;FEM;SG
simpson	simpson	simpson	simpson		PROPN
leth	leth	leth	leth	N;INDF;NEUT;SG	PROPN
suppleret	complétées	supplere	compléter	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
suppleret	complétées	supplere	compléter	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
nepal	népal	nepal	népal	PROPN	N;MASC;SG
koncentreret	concentrés	koncentrere	concentrer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
koncentreret	concentrées	koncentrere	concentrer	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
påstand	réclamer	påstand	réclamer	N;INDF;MASC+FEM;SG	V;NFIN
påstand	revendiquer	påstand	revendiquer	N;INDF;MASC+FEM;SG	V;NFIN
påstand	allégations	påstand	allégation	N;INDF;MASC+FEM;SG	N;FEM;PL
westfalen	westphalie	westfale	westphalie	N;DEF;MASC+FEM;SG	PROPN
amy	amy	amy	amy	N;INDF;MASC+FEM;SG	PROPN
factor	factor	factor	factor	N;INDF;MASC+FEM;SG	PROPN
walk	marche	walk	marche		N;FEM;SG
walk	promenade	walk	promenade		N;FEM;SG
walk	balade	walk	balade		N;FEM;SG
walk	marcher	walk	marcher		V;NFIN
opdagelsesrejsende	explorateurs	opdagelsesrejsende	explorateur	ADJ	N;MASC;PL
opdagelsesrejsende	explorer	opdagelsesrejsende	explorer	ADJ	V;NFIN
opdagelsesrejsende	explorateur	opdagelsesrejsende	explorateur	ADJ	N;MASC;SG
opdagelsesrejsende	explorateurs	opdagelsesrejsende	explorateur	ADJ	N;MASC;PL
møbler	ameublement	møbel	ameublement	N;INDF;NEUT;PL	N;MASC;SG
møbler	mobilier	møbel	mobilier	N;INDF;NEUT;PL	N;MASC;SG
møbler	meuble	møbel	meuble	N;INDF;NEUT;PL	N;MASC;SG
rick	rick	rick	rick		PROPN
neutrale	neutre	neutral	neutre	ADJ;PL	ADJ;MASC;SG
neutrale	neutralité	neutral	neutralité	ADJ;PL	N;FEM;SG
rob	rob	rob	rob		PROPN
rob	cambrioler	rob	cambrioler		V;NFIN
rob	braquer	rob	braquer		V;NFIN
omfattet	incluses	omfatte	inclure	N;DEF;NEUT;SG	V;FEM;PL;PST;V.PTCP
omfattet	inclus	omfatte	inclure	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP
omfattet	incluse	omfatte	inclure	N;DEF;NEUT;SG	V;FEM;SG;PST;V.PTCP
omfattet	compris	omfatte	comprendre	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP
omfattet	couvert	omfatte	couvert	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP
omfattet	couvertes	omfatte	couvert	N;DEF;NEUT;SG	V;FEM;PL;PST;V.PTCP
omfattet	couverte	omfatte	couvrir	N;DEF;NEUT;SG	V;FEM;SG;PST;V.PTCP
omfattet	recouvert	omfatte	recouvrir	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP
omfattet	couverts	omfatte	couvrir	N;DEF;NEUT;SG	V;MASC;PL;PST;V.PTCP
kriminelle	pénale	kriminel	pénal	ADJ;PL	ADJ;FEM;SG
kriminelle	criminel	kriminel	criminel	ADJ;PL	N;MASC;SG
kriminelle	criminelle	kriminel	criminel	ADJ;PL	ADJ;FEM;SG
leftarm	leftarm	leftarm	leftarm		PROPN
cæsar	caesar	cæsar	caesar	N;INDF;MASC+FEM;SG	PROPN
forøget	augmentées	forøge	augmenter	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
forøget	augmentation	forøge	augmentation	V;INDF;SG;PST;V.PTCP	N;FEM;SG
regelmæssige	ordinaire	regelmæssig	ordinaire	ADJ;PL	ADJ;MASC;SG
regelmæssige	régulière	regelmæssig	régulier	ADJ;PL	ADJ;FEM;SG
regelmæssige	régulier	regelmæssig	régulier	ADJ;PL	ADJ;MASC;SG
cypern	chypre	cypern	chypre	N;INDF;MASC+FEM;SG	PROPN
halve	moitiés	halv	moitié	ADJ;PL	V;FEM;PL;PST;V.PTCP
mitsubishi	mitsubishi	mitsubishi	mitsubishi		N;MASC;SG
skarpe	tranchant	skarp	tranchant	ADJ;PL	V;PRS;V.PTCP
skarpe	pointu	skarp	pointu	ADJ;PL	ADJ;MASC;SG
skarpe	sharp	skarp	sharp	ADJ;PL	PROPN
kriminalitet	crimes	kriminalitet	crime	N;INDF;MASC+FEM;SG	N;MASC;PL
batteri	batteries	batteri	batterie	N;INDF;NEUT;SG	N;FEM;PL
batteri	piles	batteri	pile	N;INDF;NEUT;SG	N;FEM;PL
batteri	accumulateurs	batteri	accumulateur	N;INDF;NEUT;SG	N;MASC;PL
seg	seg	seg	seg		PROPN
omkostninger	coût	omkostning	coût	N;INDF;MASC+FEM;PL	N;MASC;SG
motors	moteurs	motors	moteur		N;MASC;PL
passede	tendaient	passe	tender	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
cia	cia	cia	cia		N;FEM;SG
cia	cia	cia	cia		N;FEM;SG
richmond	richmond	richmond	richmond	N;INDF;NEUT;SG	PROPN
lissabon	lisbonne	lissabon	lisbonne		N;MASC;SG
grace	grâces	grace	grâce		N;FEM;PL
grace	grâce	grace	grâce		N;FEM;SG
grace	grace	grace	grace		N;FEM;SG
skandinavisk	scandinavie	skandinavisk	scandinavie	ADJ;INDF;SG	N;FEM;SG
skandinavisk	scandinaves	skandinavisk	scandinave	ADJ;INDF;SG	ADJ;MASC;PL
tusind	mille	tusind	mille	N;INDF;NEUT;SG	NUM
tusind	milliers	tusind	millier	N;INDF;NEUT;SG	N;MASC;PL
håbet	espérant	håb	espérer	N;DEF;NEUT;SG	V;PRS;V.PTCP
håbet	espérer	håb	espérer	N;DEF;NEUT;SG	V;NFIN
håbet	espère	håb	espérer	N;DEF;NEUT;SG	V;IND;SG;3;PRS;FIN
håbet	espoirs	håb	espoir	N;DEF;NEUT;SG	N;MASC;PL
håbet	espérer	håb	espérer	N;DEF;NEUT;SG	V;NFIN
håbet	espéraient	håb	espérer	N;DEF;NEUT;SG	V;IND;PL;3;IPFV;FIN
håbet	espéré	håb	espérer	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP
håbet	espérait	håb	espérer	N;DEF;NEUT;SG	V;IND;SG;3;IPFV;FIN
indlagt	hospitalisés	indlægge	hospitaliser	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
indlagt	hospitalisés	indlægge	hospitaliser	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
indlagt	admises	indlægge	admettre	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
reform	réformer	reform	réformer	N;INDF;MASC+FEM;SG	V;NFIN
reform	réformer	reform	réformer	N;INDF;MASC+FEM;SG	V;NFIN
reform	réformes	reform	réforme	N;INDF;MASC+FEM;SG	N;FEM;PL
videnskabeligt	scientifiques	videnskabelig	scientifique	ADV	ADJ;MASC;PL
videnskabeligt	scientifique	videnskabelig	scientifique	ADV	ADJ;MASC;SG
psykisk	psychiques	psykisk	psychique	ADJ;INDF;SG	ADJ;MASC;PL
psykisk	médium	psykisk	médium	ADJ;INDF;SG	N;MASC;SG
psykisk	psychiatrie	psykisk	psychiatrie	ADJ;INDF;SG	N;FEM;SG
psykisk	psychiatriques	psykisk	psychiatrique	ADJ;INDF;SG	ADJ;MASC;PL
psykisk	mentalement	psykisk	mentalement	ADJ;INDF;SG	ADV
clara	clara	clara	clara		PROPN
beskadiget	endommagées	beskadige	endommager	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
beskadiget	endommagés	beskadige	endommager	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
beskadiget	abîmés	beskadige	abîmer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
rudolph	rudolph	rudolph	rudolph	N;INDF;MASC+FEM;SG	PROPN
pinyin	pinyin	pinyin	pinyin	N;INDF;NEUT;SG	PROPN
ward	ward	ward	ward		PROPN
ward	pupille	ward	pupille		N;FEM;SG
modtagelse	reçu	modtagelse	recevoir	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
modtagelse	récépissé	modtagelse	récépisser	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
modtagelse	recevant	modtagelse	recevoir	N;INDF;MASC+FEM;SG	V;PRS;V.PTCP
modtagelse	recevoir	modtagelse	recevoir	N;INDF;MASC+FEM;SG	V;NFIN
stribe	rayé	stribe	rayer	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
stribe	rayures	stribe	rayure	N;INDF;MASC+FEM;SG	N;FEM;PL
hævet	élevé	hæve	élevé	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG
hævet	soulevées	hæve	soulever	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
hævet	gonflés	hæve	gonfler	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
manuelt	manuel	manuel	manuel	ADJ;INDF;SG	N;MASC;SG
manuelt	manual	manuel	manual	ADJ;INDF;SG	PROPN
manuelt	manuels	manuel	manuel	ADJ;INDF;SG	N;MASC;PL
manuelt	manuellement	manuel	manuellement	ADJ;INDF;SG	ADV
inn	inn	inn	inn		N;MASC;SG
præstation	performances	præstation	performance	N;INDF;MASC+FEM;SG	N;FEM;PL
magic	magie	magic	magie		N;FEM;SG
magic	magic	magic	magic		PROPN
magic	magique	magic	magique		ADJ;MASC;SG
racer	coureur	race	coureur	N;INDF;MASC+FEM;PL	N;MASC;SG
racer	racer	race	racer	N;INDF;MASC+FEM;PL	N;MASC;SG
augustus	augustus	augustus	augustus	N;INDF;MASC+FEM;SG	PROPN
specialiseret	spécialisées	specialisere	spécialisé	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
specialiseret	spécialisés	specialisere	spécialiser	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
specialiseret	spécialisées	specialisere	spécialisé	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
specialiseret	spécialisés	specialisere	spécialiser	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
voice	voix	voice	voix		N;FEM;SG
cameron	cameron	cameron	cameron	N;INDF;MASC+FEM;SG	PROPN
fastholdt	maintenus	fastholde	maintenu	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
