scandal	scandales	scandal	scandale	N;INDF;MASC;SG	N;MASC;PL
asigurata	assuré	asigurat	assurer	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
asigurata	assurés	asigurat	assurer	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
emise	émises	emite	émettre	V;IND;SG;3;PST;FIN	V;FEM;PL;PST;V.PTCP
emise	délivrés	emite	délivrer	V;IND;SG;3;PST;FIN	V;MASC;PL;PST;V.PTCP
cald	hot	cald	hot	ADJ;INDF;MASC;SG	N;MASC;SG
cald	chaleureuses	cald	chaleureux	ADJ;INDF;MASC;SG	ADJ;FEM;PL
adanc	profond	adanc	profond		ADJ;MASC;SG
adanc	profonds	adanc	profond		ADJ;MASC;PL
adanc	deep	adanc	deep		PROPN
adanc	profonde	adanc	profond		ADJ;FEM;SG
adanc	profond	adanc	profond		ADJ;MASC;SG
adanc	profonds	adanc	profond		ADJ;MASC;PL
adanc	deep	adanc	deep		PROPN
adanc	profonde	adanc	profond		ADJ;FEM;SG
salvare	sauveteurs	salvare	sauveteur	N;INDF;FEM;SG	N;MASC;PL
vacanta	vacances	vacanta	vacance	N;DEF;FEM;SG	N;FEM;PL
vacanta	vacances	vacanta	vacance	N;DEF;FEM;SG	N;FEM;PL
malta	malte	malta	malte	PROPN	PROPN
radical	radical	radical	radical	ADV	ADJ;MASC;SG
radical	radicaux	radical	radical	ADV	ADJ;MASC;PL
radical	radicale	radical	radical	ADV	ADJ;FEM;SG
asalt	agressions	asalt	agression	N;INDF;MASC;SG	N;FEM;PL
renault	renault	renault	renault	PROPN	N;MASC;SG
sierra	sierra	sierră	sierra	PROPN	PROPN
specializate	spécialisé	specializat	spécialiser	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
specializate	spécialisée	specializat	spécialiser	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
specializate	spécialisées	specializat	spécialisé	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
specializate	spécialisés	specializat	spécialiser	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
specializate	spécialisé	specializat	spécialiser	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
specializate	spécialisée	specializat	spécialiser	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
specializate	spécialisées	specializat	spécialisé	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
specializate	spécialisés	specializat	spécialiser	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
buenos	buenos	buenos	bueno	N;INDF;MASC;SG	PROPN
dificultati	difficulté	dificultati	difficulté		N;FEM;SG
dificultati	difficultés	dificultati	difficulté		N;FEM;PL
dificultati	difficultés	dificultati	difficulté		N;FEM;PL
grove	grove	grov	grove	PROPN	PROPN
grove	bosquet	grov	bosquet	PROPN	N;MASC;SG
studios	studios	studios	studio	N;INDF;MASC;SG	N;MASC;PL
vieti	vies	vieti	vie		N;FEM;PL
vieti	vies	vieti	vie		N;FEM;PL
boemia	bohême	boemie	bohême	N;DEF;FEM;SG	ADJ;MASC;SG
oferind	offrande	oferi	offrande	V;V.MSDR	N;FEM;SG
letonia	lettonie	letonie	lettonie	PROPN	N;FEM;SG
islanda	islande	islanda	islande	PROPN	ADJ;MASC;SG
hanovra	hanovre	hanovră	hanovre	PROPN	PROPN
hanovra	hanovre	hanovră	hanovre	PROPN	PROPN
rahman	rahman	rahman	rahman	N;INDF;MASC;SG	PROPN
edinburgh	edimbourg	edinburgh	edimbourg	N;INDF;MASC;SG	PROPN
edinburgh	édimbourg	edinburgh	édimbourg	N;INDF;MASC;SG	PROPN
silva	silva	silvă	silva	PROPN	PROPN
democratic	démocratiquement	democratic	démocratiquement	ADJ;INDF;MASC;SG	ADV
democratic	démocrate	democratic	démocrate	ADJ;INDF;MASC;SG	N;MASC;SG
democratic	démocratiques	democratic	démocratique	ADJ;INDF;MASC;SG	ADJ;MASC;PL
vrei	veulent	vrea	vouloir	V;IND;SG;2;PRS;FIN	V;IND;PL;3;PRS;FIN
vrei	envie	vrea	envie	V;IND;SG;2;PRS;FIN	N;FEM;SG
vrei	veux	vrea	vouloir	V;IND;SG;2;PRS;FIN	V;IND;SG;1;PRS;FIN
vrei	voulez	vrea	vouloir	V;IND;SG;2;PRS;FIN	V;IMP;PL;2;PRS;FIN
strategice	stratégique	strategic	stratégique	ADJ;INDF;FEM;PL	ADJ;MASC;SG
utilizand	utiliser	utiliza	utiliser	ADV	V;NFIN
utilizand	utilisant	utiliza	utiliser	ADV	V;PRS;V.PTCP
numeric	numérique	numeric	numérique	ADV	ADJ;MASC;SG
numeric	numériques	numeric	numérique	ADV	ADJ;MASC;PL
lloyd	lloyd	lloyd	lloyd	PROPN	PROPN
robinson	robinson	robinson	robinson	N;INDF;MASC;SG	PROPN
oldenburg	oldenburg	oldenburg	oldenburg	PROPN	PROPN
controverse	controverse	controversă	controverse	N;INDF;FEM;PL	N;FEM;SG
controverse	polémique	controversă	polémique	N;INDF;FEM;PL	ADJ;FEM;SG
lunile	mois	lună	mois	N;DEF;FEM;PL	N;MASC;SG
bordeaux	bordeaux	bordeaux	bordeau	PROPN	N;MASC;PL
jay	jay	jay	jay	PROPN	PROPN
aventuri	aventure	avent	aventure	N;INDF;FEM;PL	N;FEM;SG
autoritati	autorités	autoritati	autorité		N;FEM;PL
estimare	estimations	estimare	estimation	N;INDF;FEM;SG	N;FEM;PL
estimare	estimations	estimare	estimation	N;INDF;FEM;SG	N;FEM;PL
comparativ	comparatif	comparativ	comparatif	ADV	N;MASC;SG
comparativ	comparé	comparativ	comparer	ADV	V;MASC;SG;PST;V.PTCP
comparativ	comparative	comparativ	comparatif	ADV	ADJ;FEM;SG
comparativ	comparatifs	comparativ	comparatif	ADV	ADJ;MASC;PL
comparativ	comparés	comparativ	comparer	ADV	V;MASC;PL;PST;V.PTCP
comparativ	comparé	comparativ	comparer	ADV	V;MASC;SG;PST;V.PTCP
islamice	islamiste	islamic	islamiste	ADJ;INDF;FEM;PL	ADJ;MASC;SG
islamice	musulman	islamic	musulman	ADJ;INDF;FEM;PL	ADJ;MASC;SG
islamice	islamique	islamic	islamique	ADJ;INDF;FEM;PL	ADJ;MASC;SG
salt	sauter	salt	sauter	N;INDF;MASC;SG	V;NFIN
salt	saute	salt	sauter	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
salt	salé	salt	saler	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
tensiune	tensions	tensiune	tension	N;INDF;FEM;SG	N;FEM;PL
batman	batman	batman	batman	N;INDF;MASC;SG	PROPN
pius	pius	pius	pius	PROPN	PROPN
pius	pie	pius	pie	PROPN	N;MASC;SG
traiasca	live	traiască	live	N;DEF;FEM;SG	PROPN
traiasca	vivant	traiască	vivre	N;DEF;FEM;SG	V;PRS;V.PTCP
traiasca	vivre	traiască	vivre	N;DEF;FEM;SG	V;NFIN
exprimate	jeté	exprima	jeter	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
exprimate	coulée	exprima	coulée	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
exprimate	coulé	exprima	coulé	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
exprimate	plâtre	exprima	plâtre	ADJ;INDF;FEM;PL	N;MASC;SG
exprimate	exprimée	exprima	exprimer	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
exprimate	exprimées	exprima	exprimer	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
exprimate	exprimé	exprima	exprimer	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
exprimate	exprimés	exprima	exprimer	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
romeo	roméo	romeo	roméo	PROPN	PROPN
romeo	romeo	romeo	romeo	PROPN	PROPN
concomitent	concomitant	concomitent	concomiter	ADV	V;PRS;V.PTCP
concomitent	concomitante	concomitent	concomitant	ADV	ADJ;FEM;SG
matilda	matilda	matilda	matilda	N;DEF;FEM;SG	PROPN
recenta	récents	recent	récent	ADJ;DEF;FEM;SG	ADJ;MASC;PL
recenta	récentes	recent	récent	ADJ;DEF;FEM;SG	ADJ;FEM;PL
recenta	récents	recent	récent	ADJ;DEF;FEM;SG	ADJ;MASC;PL
recenta	récentes	recent	récent	ADJ;DEF;FEM;SG	ADJ;FEM;PL
accentul	accentué	accent	accentuer	N;DEF;MASC;SG	V;MASC;SG;PST;V.PTCP
accentul	accents	accent	accent	N;DEF;MASC;SG	N;MASC;PL
philodromus	philodromus	philodromus	philodromus	N;INDF;MASC;SG	PROPN
bate	beat	bate	beat	V;IND;SG;3;PRS;FIN	PROPN
bate	battez	bate	battre	V;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
bate	battu	bate	battre	V;IND;SG;3;PRS;FIN	V;MASC;SG;PST;V.PTCP
bate	battement	bate	battement	V;IND;SG;3;PRS;FIN	N;MASC;SG
bate	rythmes	bate	rythme	V;IND;SG;3;PRS;FIN	N;MASC;PL
bate	battements	bate	battement	V;IND;SG;3;PRS;FIN	N;MASC;PL
bate	chauves	bate	chauve	V;IND;SG;3;PRS;FIN	ADJ;MASC;PL
bate	battes	bate	battre	V;IND;SG;3;PRS;FIN	N;FEM;PL
propuse	proposée	propus	proposer	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
propuse	proposé	propus	proposer	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
propuse	proposées	propus	proposer	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
propuse	proposés	propus	proposer	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
manuscris	manuscrits	manuscris	manuscrit	N;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
veliko	veliko	veliko	veliko	PROPN	PROPN
zguduit	ébranlée	zguduit	ébranler	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
zguduit	secouée	zguduit	secoué	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
zguduit	ébranlé	zguduit	ébranler	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
zguduit	secoué	zguduit	secoué	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
zguduit	secouée	zguduit	secoué	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
zguduit	secoué	zguduit	secoué	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
zguduit	secouée	zguduit	secoué	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
zguduit	ébranlé	zguduit	ébranler	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
zguduit	serré	zguduit	serré	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
zguduit	secoué	zguduit	secoué	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
bolnav	malades	bolnav	malade	ADJ;INDF;MASC;SG	N;MASC;PL
nguyen	nguyen	nguyen	nguyen	PROPN	N;MASC;SG
afecteaza	affectent	afecta	affecter	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
afecteaza	affecte	afecta	affecter	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
afecteaza	affectent	afecta	affecter	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
afecteaza	affectent	afecta	affecter	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
afecteaza	affecte	afecta	affecter	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
nigeria	nigeria	nigerie	nigeria	PROPN	PROPN
nigeria	nigéria	nigerie	nigéria	PROPN	N;MASC;SG
gust	goûter	gust	goûter	N;INDF;MASC;SG	V;NFIN
gust	gouter	gust	gouter	N;INDF;MASC;SG	V;NFIN
minnesota	minnesota	minnesotă	minnesota	N;DEF;FEM;SG	PROPN
allah	allah	allah	allah		PROPN
joan	joan	joan	joan	PROPN	PROPN
vila	vila	vilă	vila	N;DEF;FEM;SG	PROPN
bor	bor	bor	bor		N;MASC;SG
bor	bore	bor	bore		N;MASC;SG
györgy	györgy	györgy	györgy	PROPN	PROPN
gabrovo	gabrovo	gabrovo	gabrovo	N;INDF;MASC;SG	PROPN
strategic	stratégiquement	strategic	stratégiquement	ADJ;INDF;MASC;SG	ADV
strategic	stratégiques	strategic	stratégique	ADJ;INDF;MASC;SG	ADJ;MASC;PL
privit	surveillés	privi	surveiller	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
privit	regardée	privi	regarder	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
privit	regardé	privi	regarder	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
privit	regardées	privi	regarder	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
dennis	dennis	dennis	dennis	PROPN	PROPN
dennis	denis	dennis	denis	PROPN	PROPN
miami	miami	miam	miami	PROPN	PROPN
lang	lang	lang	lang	PROPN	PROPN
bugetul	budgétaire	buget	budgétaire	N;DEF;MASC;SG	ADJ;MASC;SG
matthew	matthew	matthew	matthew	PROPN	PROPN
matthew	mathieu	matthew	mathieu	PROPN	PROPN
matthew	matthieu	matthew	matthieu	PROPN	PROPN
intervalul	portée	interval	porter	N;DEF;MASC;SG	V;FEM;SG;PST;V.PTCP
intervalul	intervalles	interval	intervalle	N;DEF;MASC;SG	N;MASC;PL
wisconsin	wisconsin	wisconsin	wisconsin	PROPN	N;MASC;SG
cablu	câbles	cablu	câble	N;INDF;MASC;SG	N;MASC;PL
autonom	autonomes	autonom	autonome	ADJ;INDF;MASC;SG	ADJ;MASC;PL
autonom	autonomie	autonom	autonomie	ADJ;INDF;MASC;SG	N;FEM;SG
lucas	lucas	lucas	lucas	PROPN	PROPN
justin	justin	justin	justin		PROPN
laurent	laurent	laurent	laurer	PROPN	PROPN
lingvistice	linguistique	lingvistic	linguistique	N;INDF;FEM;PL	ADJ;MASC;SG
northern	septentrionale	northern	septentrional	PROPN	ADJ;FEM;SG
northern	nordique	northern	nordique	PROPN	ADJ;MASC;SG
northern	septentrional	northern	septentrional	PROPN	ADJ;MASC;SG
northern	northern	northern	northern	PROPN	PROPN
northern	nord	northern	nord	PROPN	N;MASC;SG
caussols	caussols	caussols	caussols		PROPN
marx	marx	marx	marx	PROPN	PROPN
gandirea	réfléchir	gandire	réfléchir	N;DEF;FEM;SG	V;NFIN
gandirea	pensant	gandire	penser	N;DEF;FEM;SG	V;PRS;V.PTCP
gandirea	penser	gandire	penser	N;DEF;FEM;SG	V;NFIN
esential	essentielles	esential	essentiel	ADJ;INDF;MASC;SG	ADJ;FEM;PL
esential	essentiels	esential	essentiel	ADJ;INDF;MASC;SG	ADJ;MASC;PL
esential	essentielles	esential	essentiel	ADJ;INDF;MASC;SG	ADJ;FEM;PL
esential	essentiels	esential	essentiel	ADJ;INDF;MASC;SG	ADJ;MASC;PL
consecutive	consécutif	consecutiv	consécutif	ADJ;INDF;FEM;PL	ADJ;MASC;SG
consecutive	consécutive	consecutiv	consécutif	ADJ;INDF;FEM;PL	ADJ;FEM;SG
navarra	navarre	navarra	navarre	PROPN	PROPN
asimov	asimov	asimov	asimov	PROPN	PROPN
carnivore	carnivore	carnivor	carnivore	N;INDF;FEM;PL	ADJ;MASC;SG
repere	souligne	repere	souligner	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
singapore	singapour	singapore	singapour	N;INDF;FEM;PL	PROPN
acoperire	enduit	acoperire	enduire	N;INDF;FEM;SG	V;MASC;SG;PST;V.PTCP
acoperire	couvrir	acoperire	couvrir	N;INDF;FEM;SG	V;NFIN
wells	puits	wells	puits	PROPN	N;MASC;SG
wells	wells	wells	wel	PROPN	PROPN
pasare	oiseaux	pasar	oiseau	N;INDF;FEM;SG	N;MASC;PL
pasare	bird	pasar	bird	N;INDF;FEM;SG	PROPN
pasare	oiseaux	pasar	oiseau	N;INDF;FEM;SG	N;MASC;PL
pasare	bird	pasar	bird	N;INDF;FEM;SG	PROPN
ocazional	occasionnels	ocazional	occasionnel	ADV	ADJ;MASC;PL
ocazional	occasionnelles	ocazional	occasionnel	ADV	ADJ;FEM;PL
ocazional	occasionnelle	ocazional	occasionnel	ADV	ADJ;FEM;SG
ocazional	occasionnel	ocazional	occasionnel	ADV	ADJ;MASC;SG
dedesubt	dessous	dedesubt	dessous		N;MASC;SG
fundul	fesses	fund	fesse	N;DEF;MASC;SG	N;FEM;PL
springs	ressorts	springs	ressort	N;INDF;MASC;SG	N;MASC;PL
springs	springs	springs	spring	N;INDF;MASC;SG	N;MASC;PL
detaliate	détaillées	detalia	détailler	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
detaliate	détaillée	detalia	détailler	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
detaliate	détaillé	detalia	détailler	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
estimat	estimées	estima	estimer	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
estimat	estimée	estima	estimer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
estimat	estimations	estima	estimation	ADJ;INDF;MASC;SG	N;FEM;PL
estimat	estimé	estima	estimer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
estimat	estimation	estima	estimation	ADJ;INDF;MASC;SG	N;FEM;SG
derivate	dérivés	derivat	dériver	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
derivate	dérivé	derivat	dériver	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
derivate	dérivée	derivat	dériver	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
derivate	dérivées	derivat	dériver	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
derivate	dérivés	derivat	dériver	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
derivate	dérivé	derivat	dériver	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
derivate	dérivée	derivat	dériver	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
liban	liban	liban	liban	PROPN	N;MASC;SG
gov	gov	gov	gov	N;INDF;MASC;SG	
béla	béla	bcla	béla	PROPN	PROPN
aparand	apparaître	aparand	apparaître		V;NFIN
aparand	apparaissant	aparand	apparaître		V;PRS;V.PTCP
aparand	défendre	aparand	défendre		V;NFIN
emma	emma	emma	emma	PROPN	N;FEM;SG
persana	perse	persană	perse	N;DEF;FEM;SG	PROPN
persana	perses	persană	perse	N;DEF;FEM;SG	N;MASC;PL
doyle	doyle	doylu	doyle	PROPN	N;MASC;SG
efectuarea	performante	efectuare	performant	N;DEF;FEM;SG	ADJ;FEM;SG
efectuarea	exécutant	efectuare	exécuter	N;DEF;FEM;SG	V;PRS;V.PTCP
organe	orgue	organ	orgue	N;INDF;FEM;PL	N;MASC;SG
organe	organe	organ	organe	N;INDF;FEM;PL	N;MASC;SG
goethe	goethe	goethe	goethe	PROPN	N;MASC;SG
aug	aout	augi	août		N;MASC;SG
aug	août	augi	août		N;MASC;SG
aug	aug	augi	aug		
bobby	bobby	bobby	bobby	PROPN	PROPN
sever	sévères	sever	sévère	ADJ;INDF;MASC;SG	ADJ;MASC;PL
sever	graves	sever	grave	ADJ;INDF;MASC;SG	ADJ;MASC;PL
bretagne	bretagne	bretagnu	bretagne	PROPN	PROPN
mina	mina	mină	miner	N;DEF;FEM;SG	PROPN
mina	hand	mină	hand	N;DEF;FEM;SG	PROPN
cameron	cameron	cameron	cameron	PROPN	PROPN
decisiv	déterminant	decisiv	déterminant	ADJ;INDF;MASC;SG	V;PRS;V.PTCP
decisiv	décisives	decisiv	décisif	ADJ;INDF;MASC;SG	ADJ;FEM;PL
salbatice	wild	salbatic	wild	ADJ;INDF;FEM;PL	PROPN
salbatice	sauvage	salbatic	sauvage	ADJ;INDF;FEM;PL	ADJ;MASC;SG
noroc	acclamations	noroc	acclamation	N;INDF;MASC;SG	N;FEM;PL
definitia	définitions	definitie	définition	N;DEF;FEM;SG	N;FEM;PL
stins	éteinte	stins	éteinte	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
stins	éteint	stins	éteindre	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
stins	éteints	stins	éteint	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
stins	disparu	stins	disparaître	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
averea	richesses	avere	richesse	N;DEF;FEM;SG	N;FEM;PL
practicat	pratiqué	practica	pratiquer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
practicat	pratiquée	practica	pratiquer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
dati	donner	da	donner		V;NFIN
dati	donne	da	donner		V;IND;SG;3;PRS;FIN
dati	donnez	da	donner		V;IMP;PL;2;PRS;FIN
tinta	cibles	tinta	cible	N;DEF;FEM;SG	N;FEM;PL
tinta	cibler	tinta	cibler	N;DEF;FEM;SG	V;NFIN
tinta	cibles	tinta	cible	N;DEF;FEM;SG	N;FEM;PL
tinta	cibler	tinta	cibler	N;DEF;FEM;SG	V;NFIN
vanzare	soldes	vanzare	solde	N;INDF;FEM;SG	N;MASC;PL
vanzare	soldes	vanzare	solde	N;INDF;FEM;SG	N;MASC;PL
automata	automatiques	automată	automatique	N;DEF;FEM;SG	ADJ;MASC;PL
automata	automatisé	automată	automatiser	N;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
automata	automatique	automată	automatique	N;DEF;FEM;SG	ADJ;MASC;SG
refugiati	réfugiés	refugia	réfugié	ADJ;INDF;MASC;PL	N;MASC;PL
refugiati	réfugiés	refugia	réfugié	ADJ;INDF;MASC;PL	N;MASC;PL
fereastra	fenêtres	fereastră	fenêtre	N;DEF;FEM;SG	N;FEM;PL
fereastra	fenêtres	fereastră	fenêtre	N;DEF;FEM;SG	N;FEM;PL
dominat	dominée	domina	dominer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
dominat	dominés	domina	dominer	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
dominat	dominé	domina	dominer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
dominat	dominées	domina	dominer	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
creasca	grandir	crească	grandir	N;DEF;FEM;SG	V;NFIN
creasca	croître	crească	croître	N;DEF;FEM;SG	V;NFIN
creasca	pousser	crească	pousser	N;DEF;FEM;SG	V;NFIN
rebel	rebelles	rebel	rebelle	ADJ;INDF;MASC;SG	N;MASC;PL
rebel	rebel	rebel	rebel	ADJ;INDF;MASC;SG	
lantul	enchaîner	lant	enchaîner	N;DEF;MASC;SG	V;NFIN
uruguay	uruguay	uruguay	uruguay	PROPN	PROPN
pascal	pascal	pascal	pascal	N;INDF;MASC;SG	PROPN
iugoslaviei	yougoslave	iugoslavie	yougoslave	PROPN;DEF;FEM;SG	ADJ;MASC;SG
iugoslaviei	yougoslavie	iugoslavie	yougoslavie	PROPN;DEF;FEM;SG	N;FEM;SG
damian	damien	damian	damien	PROPN	PROPN
damian	damian	damian	damian	PROPN	PROPN
roll	rouler	roll	rouler	N;INDF;MASC;SG	V;NFIN
roll	roll	roll	roll	N;INDF;MASC;SG	PROPN
judecator	juger	judecator	juger	N;INDF;MASC;SG	V;NFIN
judecator	juger	judecator	juger	N;INDF;MASC;SG	V;NFIN
semneaza	signe	semneaza	signe	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	panneau	semneaza	panneau	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	signez	semneaza	signer	V;IND;SG;3;IPFV;FIN	V;IMP;PL;2;PRS;FIN
semneaza	signe	semneaza	signe	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	panneau	semneaza	panneau	V;IND;SG;3;IPFV;FIN	N;MASC;SG
semneaza	signez	semneaza	signer	V;IND;SG;3;IPFV;FIN	V;IMP;PL;2;PRS;FIN
palermo	palerme	palermo	palerme	N;INDF;MASC;SG	PROPN
hugh	hugues	hugh	hugue	PROPN	PROPN
hugh	hugh	hugh	hugh	PROPN	PROPN
termica	thermale	termica	thermal	N;DEF;FEM;SG	ADJ;FEM;SG
termica	thermique	termica	thermique	N;DEF;FEM;SG	ADJ;MASC;SG
termica	thermiques	termica	thermique	N;DEF;FEM;SG	ADJ;MASC;PL
laos	laos	laos	laos	ADV	PROPN
argumentele	argumentation	argument	argumentation	N;DEF;FEM;PL	N;FEM;SG
alexandrescu	alexandrescu	alexandrescu	alexandrescu	PROPN	PROPN
uesac	uesac	uesac	uesac		PROPN
legiunea	légions	legiune	légion	N;DEF;FEM;SG	N;FEM;PL
chip	chip	chip	chip	N;INDF;MASC;SG	
localizata	situés	localizat	situer	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
localizata	située	localizat	situer	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
localizata	localisé	localizat	localiser	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
localizata	situé	localizat	situer	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
localizata	localisées	localizat	localiser	ADJ;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
localizata	localisée	localizat	localiser	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
localizata	localisés	localizat	localiser	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
localizata	localisé	localizat	localiser	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
mon	mon	mon	son		DET;MASC;SG
mon	lun	mon	lun		N;MASC;SG
lisa	lisa	lisa	lisa	N;DEF;FEM;SG	PROPN
jpg}}	jpg}}	jpg}}	jpg}}		PROPN
arcul	bow	arc	bow	N;DEF;MASC;SG	PROPN
square	carrés	square	carré	N;INDF;MASC;SG	N;MASC;PL
square	carrées	square	carrée	N;INDF;MASC;SG	ADJ;FEM;PL
doc	doc	doc	doc		N;MASC;SG
doc	toubib	doc	toubib		N;MASC;SG
incet	lentement	incet	lentement		ADV
incet	doucement	incet	doucement		ADV
call	appeler	call	appeler	N;INDF;MASC;SG	V;NFIN
call	appelez	call	appeler	N;INDF;MASC;SG	V;IMP;PL;2;PRS;FIN
call	appelle	call	appeler	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
cerul	sky	cer	sky	N;DEF;MASC;SG	PROPN
cerul	ciels	cer	ciel	N;DEF;MASC;SG	N;MASC;PL
esentiale	essentiel	esential	essentiel	ADJ;INDF;FEM;PL	ADJ;MASC;SG
esentiale	indispensable	esential	indispensable	ADJ;INDF;FEM;PL	ADJ;MASC;SG
esentiale	essentielle	esential	essentiel	ADJ;INDF;FEM;PL	ADJ;FEM;SG
transferul	transfer	transfer	transfer	N;DEF;MASC;SG	PROPN
transferul	transférer	transfer	transférer	N;DEF;MASC;SG	V;NFIN
silvia	silvia	silvie	silvia	N;DEF;FEM;SG	PROPN
silvia	sylvia	silvie	sylvia	N;DEF;FEM;SG	PROPN
silvia	sylvie	silvie	sylvie	N;DEF;FEM;SG	PROPN
gibson	gibson	gibson	gibson	PROPN	PROPN
inconjurata	entourés	inconjurat	entourer	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
inconjurata	encerclé	inconjurat	encercler	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
inconjurata	encerclés	inconjurat	encercler	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
