ofiarą	áldozat	ofiara	áldozat	N;INS;FEM;SG	N;NOM;SG
nicholas	miklós	nicholas	miklós	PROPN;NOM;MASC;SG	
mateusza	matthew	mateusz	matthew	N;ACC;MASC;SG	
mateusza	máté	mateusz	máté	N;ACC;MASC;SG	
specjalistów	szakértők	specjalista	szakértő	N;ACC;MASC;PL	N;NOM;PL
specjalistów	szakemberek	specjalista	szakember	N;ACC;MASC;PL	N;NOM;PL
specjalistów	profik	specjalista	profik	N;ACC;MASC;PL	N;NOM;PL
specjalistów	szakemberek	specjalista	szakember	N;ACC;MASC;PL	N;NOM;PL
spencer	spencer	spencer	spencer	PROPN;NOM;MASC;SG	
wiatru	szél	wiatr	szél	N;GEN;MASC;SG	N;NOM;SG
wiatru	szelet	wiatr	szelet	N;GEN;MASC;SG	N;NOM;SG
syberii	szibéria	syberia	szibéria	N;GEN;FEM;SG	N;NOM;SG
syberii	szibériai	syberia	szibériai	N;GEN;FEM;SG	ADJ;NOM;SG
tarcza	shield	tarczyć	shield	N;NOM;FEM;SG	
romuald	romuald	romuald	romuald	PROPN;NOM;MASC;SG	
przedstawiciela	reprezentatív	przedstawiciel	reprezentatív	N;ACC;MASC;SG	
przedstawiciela	képviselő	przedstawiciel	képviselő	N;ACC;MASC;SG	N;NOM;SG
piwo	sört	piwo	sört	N;NOM;NEUT;SG	N;ACC;SG
arystokrata	arisztokrata	arystokrata	arisztokrata	N;NOM;MASC;SG	ADJ;NOM;SG
kultur	kultúrák	kultur	kultúra		N;NOM;PL
willi	willi	willa	willi	N;GEN;FEM;SG	
willi	villák	willa	villák	N;GEN;FEM;SG	N;NOM;PL
katastrof	katasztrófák	katastrofa	katasztrófa	N;GEN;FEM;PL	N;NOM;PL
katastrof	katasztrófák	katastrofa	katasztrófa	N;GEN;FEM;PL	N;NOM;PL
komenda	parancsnokság	komenda	parancsnokság		N;NOM;SG
komenda	parancs	komenda	parancs		N;NOM;SG
pokonać	vereség	pokonać	vereség	V;PFV;NFIN;ACT	N;NOM;SG
age	kor	age	kor		N;NOM;SG
age	életkor	age	életkor		N;NOM;SG
rysunek	képet	rysunek	kép	N;NOM;MASC;SG	N;ACC;SG
rysunek	rajzol	rysunek	rajzol	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
widząc	látván	widzieć	látván	V;IPFV;PRS;V.CVB;ACT	
widząc	látva	widzieć	látva	V;IPFV;PRS;V.CVB;ACT	ADV;V.CVB
panorama	panorama	panoram	panoram	V;IPFV;IND;SG;3;PRS;FIN;ACT	
gitarze	gitár	gitarz	gitár	V;IPFV;IND;SG;PRS;FIN;ACT	N;NOM;SG
karne	büntető	karny	büntető	N;NOM;MASC;SG	
dole	alul	dół	alul	V;PFV;IND;SG;PRS;FIN;ACT	
dole	alja	dół	al	V;PFV;IND;SG;PRS;FIN;ACT	N;NOM;SG
dole	alsó	dół	alsó	V;PFV;IND;SG;PRS;FIN;ACT	
dole	fenék	dół	fene	V;PFV;IND;SG;PRS;FIN;ACT	N;NOM;SG
marsa	marson	marsa	marson		N;NOM;SG
podpis	felirat	podpis	felirat	N;ACC;MASC;SG	N;NOM;SG
podpis	aláírás	podpis	aláírás	N;ACC;MASC;SG	N;NOM;SG
znajomości	kapcsolatai	znajomość	kapcsolat	N;GEN;FEM;SG	N;NOM;PL
znajomości	kapcsolatok	znajomość	kapcsolat	N;GEN;FEM;SG	N;NOM;PL
nigerii	nigériai	nigeria	nigériai		N;NOM;SG
potencjał	potenciális	potencjać	potenciális	N;ACC;MASC;SG	
potencjał	lehetséges	potencjać	lehetséges	N;ACC;MASC;SG	ADJ;NOM;SG
potencjał	potenciál	potencjać	potenciál	N;ACC;MASC;SG	N;NOM;SG
potencjał	lehetőség	potencjać	lehetőség	N;ACC;MASC;SG	N;NOM;SG
włoskie	olasz	włoski	olasz	ADJ;NOM;NEUT;SG	
włoskie	olaszország	włoski	olaszország	ADJ;NOM;NEUT;SG	
xbox	xbox	xbox	xbox		PROPN;NOM;SG
niespodziewanie	meglepően	niespodziewanie	meglepő	ADV	
niespodziewanie	meglepő	niespodziewanie	meglepő	ADV	
wirginia	virginiában	wirginia	virginia		N;IN+ESS;SG
wirginia	virginiai	wirginia	virginiai		ADJ;NOM;SG
dick	fasz	dick	fasz	PROPN;NOM;MASC;SG	N;NOM;SG
dick	dick	dick	dick	PROPN;NOM;MASC;SG	
dick	farok	dick	far	PROPN;NOM;MASC;SG	N;NOM;SG
konie	lovakat	koń	lovak	N;NOM;MASC;PL	N;ACC;PL
konie	lovas	koń	lovas	N;NOM;MASC;PL	
konie	ló	koń	ló	N;NOM;MASC;PL	N;NOM;SG
agresji	agresszió	agresja	agresszió	N;GEN;FEM;SG	N;NOM;SG
kiss	csók	kiss	csók		N;NOM;SG
kiss	puszi	kiss	puszi		N;NOM;SG
rezerw	tartalékok	rezerw	tartalék		N;NOM;PL
imigrantów	bevándorlók	imigrant	bevándorló	N;GEN;MASC;PL	N;NOM;PL
imigrantów	bevándorlók	imigrant	bevándorló	N;GEN;MASC;PL	N;NOM;PL
imigrantów	bevándorló	imigrant	bevándorló	N;GEN;MASC;PL	
pogrzeb	temetésen	pogrzeb	temetés	N;NOM;MASC;SG	N;ON+ESS;SG
mostów	hidak	most	híd	N;GEN;MASC;PL	N;NOM;PL
mostów	hidakat	most	híd	N;GEN;MASC;PL	N;ACC;PL
petra	petra	petr	petra	PROPN;NOM;FEM;SG	
straße	straße	stras	strale	INTJ	N;NOM;SG
lekkoatletyka	atlétika	lekkoatletyka	atlétika	N;NOM;MASC;SG	N;NOM;PL
kopia	másolatot	kopia	másolat	N;NOM;FEM;SG	N;ACC;SG
podróżnik	utazó	podróżnik	utazó	N;NOM;MASC;SG	
podróżnik	utazó	podróżnik	utazó	N;NOM;MASC;SG	
podróżnik	utazók	podróżnik	utazó	N;NOM;MASC;SG	N;NOM;PL
bogate	gazdag	bogaty	gazdag	ADJ;NOM;NEUT;SG	
bogate	gazdagok	bogaty	gazdag	ADJ;NOM;NEUT;SG	N;NOM;PL
bogate	rich	bogaty	rich	ADJ;NOM;NEUT;SG	
odziedziczył	örökölt	odziedziczyć	örököl	V;PFV;MASC;IND;SG;PST;FIN;ACT	
delegacji	felhatalmazás	delegacja	felhatalmazás	N;GEN;FEM;SG	N;NOM;SG
delegacji	küldöttség	delegacja	küldöttség	N;GEN;FEM;SG	N;NOM;SG
delegacji	delegáció	delegacja	delegáció	N;GEN;FEM;SG	
delegacji	küldöttségek	delegacja	küldöttség	N;GEN;FEM;SG	N;NOM;PL
chelsea	chelsea	chelsie	chelsea		N;NOM;SG
wątek	szál	wątek	szál	N;ACC;MASC;SG	N;NOM;SG
związani	köt	związać	köt	ADJ;NOM;MASC;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
związani	kötve	związać	kötve	ADJ;NOM;MASC;PL	
ograniczone	limited	ograniczyć	limited	ADJ;NOM;NEUT;SG	
ograniczone	limitált	ograniczyć	limitál	ADJ;NOM;NEUT;SG	
ograniczone	korlátozott	ograniczyć	korlátozott	ADJ;NOM;NEUT;SG	
ograniczone	korlátolt	ograniczyć	korlátolt	ADJ;NOM;NEUT;SG	V;INDF;IND;SG;3;PST;FIN;ACT
ograniczone	korlátozott	ograniczyć	korlátozott	ADJ;NOM;NEUT;SG	
ograniczone	korlátozottak	ograniczyć	korlátozott	ADJ;NOM;NEUT;SG	V;INDF;IND;PL;3;PST;FIN;ACT
amerykanów	amerikaiak	amerykanin	amerikai	N;GEN;MASC;PL	N;NOM;PL
dowolny	freestyle	dowolny	freestyle	ADJ;NOM;MASC;SG	
dowolny	bármelyik	dowolny	bármelyik	ADJ;NOM;MASC;SG	
dowolny	bármely	dowolny	bármely	ADJ;NOM;MASC;SG	
dowolny	bármilyen	dowolny	bármilyen	ADJ;NOM;MASC;SG	
alfons	alfonso	alfons	alfonso	PROPN;NOM;MASC;SG	PROPN;NOM;SG
alfons	strici	alfons	strici	PROPN;NOM;MASC;SG	N;NOM;SG
właściwy	hozzáértő	właściwy	hozzáértő	ADJ;NOM;MASC;SG	
właściwy	illetékes	właściwy	illetékes	ADJ;NOM;MASC;SG	
amerykanin	amerikai	amerykanin	amerikai	N;NOM;MASC;SG	ADJ;NOM;SG
bordeaux	bordeaux	bordeaux	bordeaux	N;NOM;MASC;SG	
teorie	elmélet	teoria	elmélet	N;NOM;FEM;PL	N;NOM;SG
hierarchii	hierarchia	hierarchia	hierarchia	N;GEN;FEM;SG	N;NOM;SG
porsche	porsche	porscha	porsche		N;NOM;SG
emilia	emilia	emilia	emilia	PROPN;NOM;FEM;SG	
emilia	emilie	emilia	emilie	PROPN;NOM;FEM;SG	
powiązane	társult	powiązać	társul	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
powiązane	kapcsolódott	powiązać	kapcsolódott	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
powiązane	kapcsolt	powiązać	kapcsolt	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	összekapcsolt	powiązać	összekapcsolt	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	kapcsolatban	powiązać	kapcsolat	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;IN+ESS;SG
powiązane	kapcsolt	powiązać	kapcsolt	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	kapcsolódott	powiązać	kapcsolódott	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
powiązane	összekapcsolt	powiązać	összekapcsolt	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	összefüggő	powiązać	összefüggő	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	rokonok	powiązać	rokon	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;NOM;PL
powiązane	rokon	powiązać	rokon	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	kapcsolatban	powiązać	kapcsolat	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;IN+ESS;SG
bolszewików	bolsevikok	bolszewik	bolsevik	N;ACC;MASC;PL	N;NOM;PL
milion	millió	milion	millió		NUM;NOM;SG
powierzono	megbízott	powierzyć	meg+bízik	V;PFV;IND;0;PST;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
doświadczeń	tapasztalatok	doświadczenie	tapasztalat	N;GEN;NEUT;PL	N;NOM;PL
doświadczeń	élmények	doświadczenie	élmény	N;GEN;NEUT;PL	N;NOM;PL
projektant	tervező	projektant	tervező	N;NOM;MASC;SG	
justyna	justine	justyn	justine	PROPN;NOM;FEM;SG	N;NOM;SG
justyna	justin	justyn	justin	PROPN;NOM;FEM;SG	N;NOM;SG
propagandy	propaganda	propaganda	propaganda	N;GEN;FEM;SG	
odpowiedzialność	feladatok	odpowiedzialność	feladat	N;NOM;FEM;SG	N;NOM;PL
odpowiedzialność	felelősséget	odpowiedzialność	felelősség	N;NOM;FEM;SG	N;ACC;SG
police	rendőrség	polic	rendőrség		N;NOM;SG
police	rendőr	polic	rendőr		N;NOM;SG
bundesligi	bundesliga	bundesliga	bundesliga	N;ACC;MASC;PL	N;NOM;SG
dysku	korong	dysk	korong	N;GEN;MASC;SG	
dysku	lemez	dysk	lemez	N;GEN;MASC;SG	N;NOM;SG
dysku	lemezt	dysk	lemez	N;GEN;MASC;SG	N;ACC;SG
hokej	hoki	hok	hoki	N;NOM;MASC;SG	
liu	liu	liel	liu	PROPN;NOM;MASC;SG	
odkryty	szabadtéri	odkryć	szabadtéri	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;SG
odkryty	kültéri	odkryć	kültéri	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;SG
odkryty	szabadban	odkryć	szabad	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;IN+ESS;SG
wyjaśnienia	magyarázatot	wyjaśnienie	magyarázat	N;NOM;NEUT;SG	N;ACC;SG
wyjaśnienia	magyarázatot	wyjaśnienie	magyarázat	N;NOM;NEUT;SG	N;ACC;SG
okrążenia	kör	okrążyć	kör	N;NOM;NEUT;PL	N;NOM;SG
wyższy	magasabbak	wysoki	magasab	ADJ;NOM;CMPR;MASC;SG	ADV
wyższy	feljebb	wysoki	fől	ADJ;NOM;CMPR;MASC;SG	ADV
współrzędnych	koordináták	współrzędny	koordinát	ADJ;GEN;MASC;PL	N;NOM;PL
współrzędnych	koordináta	współrzędny	koordináta	ADJ;GEN;MASC;PL	N;NOM;SG
współrzędnych	koordinátákat	współrzędny	koordináta	ADJ;GEN;MASC;PL	N;ACC;PL
marynarzy	tengerészek	marynarz	tengerész	N;GEN;MASC;PL	N;NOM;PL
marynarzy	tengerészek	marynarz	tengerész	N;GEN;MASC;PL	N;NOM;PL
marynarzy	tengerészek	marynarz	tengerész	N;GEN;MASC;PL	N;NOM;PL
marynarzy	tengerészek	marynarz	tengerész	N;GEN;MASC;PL	N;NOM;PL
avenue	sugárút	avenu	sugárú		N;NOM;SG
gustav	gustav	gustav	gustav	PROPN;NOM;MASC;SG	
filadelfii	philly	filadelfia	philly	PROPN;NOM;MASC;SG	
filadelfii	philadelphia	filadelfia	philadelphia	PROPN;NOM;MASC;SG	
filadelfii	philadelphiai	filadelfia	philadelphiai	PROPN;NOM;MASC;SG	N;NOM;SG
filadelfii	philadelphiában	filadelfia	philadelpha	PROPN;NOM;MASC;SG	PROPN;IN+ESS;SG
filadelfii	philadelphia	filadelfia	philadelphia	PROPN;NOM;MASC;SG	
filadelfii	philadelphiai	filadelfia	philadelphiai	PROPN;NOM;MASC;SG	N;NOM;SG
oddziaływania	hatások	oddziaływać	hatás	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;PL
kadencja	távú	kadencja	távú	N;NOM;FEM;SG	
poczta	mail	poczta	mail	N;NOM;FEM;SG	
poczta	levelek	poczta	levél	N;NOM;FEM;SG	N;NOM;PL
poczta	posta	poczta	posta	N;NOM;FEM;SG	
poczta	posta	poczta	posta	N;NOM;FEM;SG	
poczta	post	poczta	post	N;NOM;FEM;SG	
poczta	bejegyzést	poczta	bejegyzés	N;NOM;FEM;SG	N;ACC;SG
poczta	bejegyzésre	poczta	bejegyzés	N;NOM;FEM;SG	N;ON+ALL;SG
wenus	vénusz	wenus	vénusz		N;NOM;SG
funduszu	alap	fundusz	alap	N;GEN;MASC;SG	
felipe	felipe	felipy	félip	PROPN;NOM;MASC;SG	N;NOM;SG
zasług	érdem	zasługa	érdem	N;GEN;FEM;SG	N;NOM;SG
wyróżnić	kiemelés	wyróżnić	kiemelés	V;PFV;NFIN;ACT	N;NOM;SG
zurychu	zürich	zurych	zürich	PROPN;NOM;MASC;SG	N;NOM;SG
pasażerski	utas	pasażerski	utas	ADJ;NOM;MASC;SG	N;NOM;SG
cia	cia	cia	cia		PROPN;NOM;SG
cia	cia	cia	cia		PROPN;NOM;SG
pojedynczy	egyedülálló	pojedynczy	egyedülálló	ADJ;NOM;MASC;SG	
pojedynczy	single	pojedynczy	single	ADJ;NOM;MASC;SG	
pojedynczy	egyetlen	pojedynczy	egyetlen	ADJ;NOM;MASC;SG	
pojedynczy	szingli	pojedynczy	szingli	ADJ;NOM;MASC;SG	N;NOM;SG
sprinter	sprinter	sprinter	sprinter		N;NOM;SG
ból	fáj	ból	fáj	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
ból	fájdalmat	ból	fájdalom	N;NOM;MASC;SG	N;ACC;SG
rgb	rgb	rgba	rgb		N;NOM;SG
pierwotne	primer	pierwotny	primer	ADJ;NOM;NEUT;SG	
grobu	sírba	grób	sír	N;GEN;MASC;SG	N;IN+ALL;SG
grobu	sír	grób	sír	N;GEN;MASC;SG	N;NOM;SG
martín	martín	martín	martín	PROPN;NOM;MASC;SG	PROPN;NOM;SG
więzienie	börtönbe	więzienie	börtön	N;NOM;NEUT;SG	N;IN+ALL;SG
więzienie	börtönben	więzienie	börtönben	N;NOM;NEUT;SG	N;IN+ESS;SG
wycofany	kivont	wycofać	kivont	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
wycofany	visszavont	wycofać	visszavont	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
wycofany	visszavonják	wycofać	visszavon	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;DEF;IND;PL;3;PRS;FIN;ACT
justin	justin	justin	justin	PROPN;NOM;MASC;SG	N;NOM;SG
beck	beck	beck	beck	PROPN;NOM;MASC;SG	
ginie	gina	ginąć	gina	V;IPFV;IND;SG;3;PRS;FIN;ACT	
kadetów	kadétok	kadeta	kadét	N;GEN;MASC;PL	
sprawdzone	ellenőrizve	sprawdzić	ellenőrizve	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;NOM;SG
sprawdzone	ellenőriztem	sprawdzić	ellenőriz	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;DEF;IND;SG;1;PRS;FIN;ACT
sprawdzone	ellenőrzött	sprawdzić	ellenőrzött	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
sprawdzone	ellenőrizte	sprawdzić	ellenőrizte	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;DEF;IND;SG;3;PST;FIN;ACT
sprawdzone	ellenőrizve	sprawdzić	ellenőrizve	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;NOM;SG
sprawdzone	hitelesített	sprawdzić	hitelesít	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
sprawdzone	ellenőrzött	sprawdzić	ellenőrzött	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
sprawdzone	megvizsgált	sprawdzić	meg+vizsgál	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
sprawdzone	megvizsgált	sprawdzić	meg+vizsgál	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
sprawdzone	vizsgált	sprawdzić	vizsgál	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
sprawdzone	tesztelt	sprawdzić	tesztelt	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
żużlu	speedway	żużel	speedway		N;NOM;SG
rzymskie	roman	rzymski	roman	ADJ;NOM;NEUT;SG	
tras	útvonalakon	tras	útvonal	N;GEN;FEM;PL	N;ON+ESS;PL
tras	útvonalak	tras	útvonal	N;GEN;FEM;PL	N;NOM;PL
hart	hart	hart	hart		PROPN;NOM;SG
khan	kahn	khana	kahn	PROPN;NOM;MASC;SG	PROPN;NOM;SG
khan	khan	khana	khan	PROPN;NOM;MASC;SG	
khan	kán	khana	kán	PROPN;NOM;MASC;SG	N;NOM;SG
wymieniona	hivatkozott	wymienić	hivatkozik	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
podanie	kérelem	podanie	kérel	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
luca	luca	luca	luca	PROPN;NOM;MASC;SG	
akademickie	akadémiai	akademicki	akadémiai	ADJ;NOM;NEUT;SG	N;NOM;SG
aparatu	kamera	aparat	kamera	N;GEN;MASC;SG	N;NOM;SG
aparatu	fényképezőgép	aparat	fényképezőgép	N;GEN;MASC;SG	N;NOM;SG
przywilej	kiváltság	przywilej	kiváltság	N;ACC;MASC;SG	N;NOM;SG
przywilej	kiváltságairól	przywilej	kiváltság	N;ACC;MASC;SG	N;PL
przywilej	kiváltság	przywilej	kiváltság	N;ACC;MASC;SG	N;NOM;SG
przywilej	jogosultságok	przywilej	jogosultság	N;ACC;MASC;SG	N;NOM;PL
sri	srí	srać	srí	PROPN;NOM;MASC;SG	
lekki	fény	lekki	fény	ADJ;NOM;MASC;SG	N;NOM;SG
lekki	light	lekki	light	ADJ;NOM;MASC;SG	
lekki	fényt	lekki	fény	ADJ;NOM;MASC;SG	N;ACC;SG
karaibów	karibi	karaib	karibi	N;GEN;MASC;PL	ADJ;NOM;SG
konserwatorium	konzervatórium	konserwatorium	konzervatórium	N;ACC;NEUT;SG	N;NOM;SG
łatwiej	könnyebb	łatwo	könnyű	ADV;CMPR	ADJ;NOM;CMPR;SG
łatwiej	egyszerűbb	łatwo	egyszerű	ADV;CMPR	ADJ;NOM;CMPR;SG
roll	tekercs	roll	tekercs		N;NOM;SG
roll	gurul	roll	gurul		V;INDF;IND;SG;3;PRS;FIN;ACT
uchodźców	menekült	uchodźca	menekült	N;ACC;MASC;PL	V;INDF;IND;SG;3;PST;FIN;ACT
uchodźców	menekültek	uchodźca	menekült	N;ACC;MASC;PL	N;NOM;PL
owoc	gyümölcsök	owoc	gyümölcs	N;NOM;MASC;SG	N;NOM;PL
owoc	gyümölcsöt	owoc	gyümölcsöt	N;NOM;MASC;SG	N;ACC;SG
empire	birodalom	empir	birodalom		N;NOM;SG
pióra	tollak	pióra	tollak	N;ACC;NEUT;PL	N;NOM;PL
pióra	toll	pióra	toll	N;ACC;NEUT;PL	N;NOM;SG
pióra	tollak	pióra	tollak	N;ACC;NEUT;PL	N;NOM;PL
pióra	toll	pióra	toll	N;ACC;NEUT;PL	N;NOM;SG
ski	síelés	skiot	síelés		N;NOM;SG
okręgów	körzetek	okręg	körzet	N;GEN;MASC;PL	N;NOM;PL
regularne	rendszeresen	regularny	rendszeres	ADJ;NOM;NEUT;SG	ADJ;FRML;SG
regularne	rendszeres	regularny	rendszeres	ADJ;NOM;NEUT;SG	
regularne	normál	regularny	normál	ADJ;NOM;NEUT;SG	
break	szünet	break	szünet		N;NOM;SG
break	törés	break	törés		N;NOM;SG
druku	nyomda	druk	nyomda	N;GEN;MASC;SG	N;NOM;SG
druku	nyomtatás	druk	nyomtatás	N;GEN;MASC;SG	N;NOM;SG
zasoby	erőforrás	zasóba	erőforrás	N;NOM;MASC;PL	
zasoby	forrás	zasóba	forrás	N;NOM;MASC;PL	N;NOM;SG
zasoby	erőforrás	zasóba	erőforrás	N;NOM;MASC;PL	
zasoby	részvény	zasóba	részvény	N;NOM;MASC;PL	N;NOM;SG
ran	seb	rana	seb		N;NOM;SG
ran	sebek	rana	seb		N;NOM;PL
objętości	kötet	objętość	kötet	N;GEN;FEM;SG	N;NOM;SG
objętości	térfogat	objętość	térfog	N;GEN;FEM;SG	N;NOM;SG
objętości	mennyiség	objętość	mennyiség	N;GEN;FEM;SG	N;NOM;SG
objętości	volumen	objętość	volumen	N;GEN;FEM;SG	
objętości	mennyiségek	objętość	mennyiség	N;GEN;FEM;SG	N;NOM;PL
objętości	kötet	objętość	kötet	N;GEN;FEM;SG	N;NOM;SG
objętości	volumen	objętość	volumen	N;GEN;FEM;SG	
czystości	tisztaság	czystość	tisztaság	N;GEN;FEM;SG	N;NOM;SG
oskar	oscar	oskar	oscar	PROPN;NOM;MASC;SG	
oskar	oskar	oskar	oskar	PROPN;NOM;MASC;SG	
szczęścia	szerencse	szczęście	szerencse	N;GEN;NEUT;SG	
szczęścia	boldogság	szczęście	boldogság	N;GEN;NEUT;SG	N;NOM;SG
szczęścia	boldogságot	szczęście	boldogság	N;GEN;NEUT;SG	N;ACC;SG
modlitwa	imádkozik	modlitwa	imádkozik	N;NOM;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
modlitwa	imádkozni	modlitwa	imádkozik	N;NOM;FEM;SG	V;NFIN;ACT
modlitwa	imát	modlitwa	imát	N;NOM;FEM;SG	N;ACC;SG
marine	tengerész	mariny	tengerész		N;NOM;SG
marine	tengerészgyalogos	mariny	tengerészgyalogos		N;NOM;SG
rasa	fajta	rasa	fajta	N;NOM;FEM;SG	
tymczasowy	ideiglenesen	tymczasowy	ideiglenes	ADJ;NOM;MASC;SG	ADJ;FRML;SG
tymczasowy	átmeneti	tymczasowy	átmeneti	ADJ;NOM;MASC;SG	
tymczasowy	időközi	tymczasowy	időközi	ADJ;NOM;MASC;SG	N;NOM;SG
satelita	műholdas	satelita	műholdas	N;NOM;MASC;SG	
pérez	pérez	porez	pérez	PROPN;NOM;MASC;SG	
przykładów	példák	przykład	példa	N;GEN;MASC;PL	N;NOM;PL
przykładów	példákat	przykład	példa	N;GEN;MASC;PL	N;ACC;PL
przykładów	példa	przykład	példa	N;GEN;MASC;PL	N;NOM;SG
era	korszak	era	korsz		N;NOM;SG
era	korszak	era	korsz		N;NOM;SG
szóste	hatodik	szósty	hatodik		ADJ;NOM;SG
pomógł	segítettek	pomóc	segít	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;INDF;IND;PL;3;PST;FIN;ACT
teatrów	színházak	teatr	színház	N;GEN;MASC;PL	N;NOM;PL
koń	lovas	koń	lovas	N;NOM;MASC;SG	
pacjenta	páciens	pacjent	páciens	N;ACC;MASC;SG	N;NOM;SG
pacjenta	türelmes	pacjent	türelmes	N;ACC;MASC;SG	
pacjenta	beteg	pacjent	beteg	N;ACC;MASC;SG	N;NOM;SG
potrzebna	kell	potrzebny	kell	ADJ;NOM;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
potrzebna	kellett	potrzebny	kell	ADJ;NOM;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
piaski	homok	piasek	hom		N;NOM;SG
annie	annie	annie	az		PROPN;NOM;SG
secret	titok	secret	titok		N;NOM;SG
polecenia	parancsok	polecenie	parancsok	N;NOM;NEUT;SG	N;NOM;PL
polecenia	parancsol	polecenie	parancsol	N;NOM;NEUT;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
fortu	erőd	fort	erőd	N;GEN;MASC;SG	N;NOM;SG
fortu	fort	fort	for	N;GEN;MASC;SG	
aleksandrii	alexandria	aleksandria	alexandria	N;GEN;FEM;SG	N;NOM;SG
sainte	sainte	sainty	sainte	V;IPFV;IND;SG;2;PRS;FIN;ACT	
zaangażowany	érintett	zaangażować	érintett	ADJ;NOM;MASC;SG	
zaangażowany	lekötött	zaangażować	leköt	ADJ;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
zaangażowany	elkövetett	zaangażować	elkövetett	ADJ;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
zaangażowany	elkötelezett	zaangażować	elkötelezett	ADJ;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
pomiarów	mérések	pomiar	mérés	N;GEN;MASC;PL	N;NOM;PL
pomiarów	mérés	pomiar	mérés	N;GEN;MASC;PL	N;NOM;SG
renesansu	reneszánsz	renesans	reneszánsz	N;GEN;MASC;SG	N;NOM;SG
jelita	bél	jelita	bél		N;NOM;SG
jelita	bél	jelita	bél		N;NOM;SG
jelita	belek	jelita	ő		N;NOM;SG
zdrowie	egészségügyi	zdrowie	egészségügyi	N;NOM;NEUT;SG	ADJ;NOM;SG
cbs	cbs	cbs	cbs		N;NOM;SG
rolnicze	mezőgazdasági	rolniczy	mezőgazdasági	ADJ;NOM;NEUT;SG	
rolnicze	mezőgazdaság	rolniczy	mezőgazdaság	ADJ;NOM;NEUT;SG	N;NOM;SG
partnerem	társ	partner	társ	N;INS;MASC;SG	N;NOM;SG
partnerem	partner	partner	partner	N;INS;MASC;SG	N;NOM;SG
