aus	aus	aus	aus		N;MASC;SG
kontroversielle	polémica	kontroversiel	polémica	ADJ;PL	N;FEM;SG
kontroversielle	controverso	kontroversiel	controverso	ADJ;PL	ADJ;MASC;SG
kontroversielle	polêmica	kontroversiel	polêmica	ADJ;PL	N;FEM;SG
kontroversielle	controversa	kontroversiel	controversa	ADJ;PL	ADJ;FEM;SG
kvæg	bovinos	kvæg	bovino	N;INDF;NEUT;SG	N;MASC;PL
revolutionære	revolucionária	revolutionær	revolucionário	ADJ;PL	ADJ;FEM;SG
revolutionære	revolucionários	revolutionær	revolucionário	ADJ;PL	N;MASC;PL
revolutionære	revolucionárias	revolutionær	revolucionário	ADJ;PL	N;FEM;PL
revolutionære	revolucionário	revolutionær	revolucionário	ADJ;PL	ADJ;MASC;SG
revolutionære	revolucionários	revolutionær	revolucionário	ADJ;PL	N;MASC;PL
redigering	editando	redigering	editar	N;INDF;MASC+FEM;SG	V;V.MSDR
woman	mulher	woman	mulher		N;FEM;SG
philippe	philippe	philippe	philippe		N;MASC;SG
philippe	filipe	philippe	filipe		N;MASC;SG
diskuteret	discutiram	diskutere	discutir	V;INDF;SG;PST;V.PTCP	V;IND;PL;3;FIN
fugl	aves	fugl	ave	N;INDF;MASC+FEM;SG	N;FEM;PL
udenlandsk	estrangeiro	udenlandsk	estrangeiro	ADJ;INDF;SG	N;MASC;SG
udenlandsk	estrangeira	udenlandsk	estrangeiro	ADJ;INDF;SG	N;FEM;SG
udenlandsk	estrangeiras	udenlandsk	estrangeiro	ADJ;INDF;SG	N;FEM;PL
udenlandsk	estrangeiros	udenlandsk	estrangeiro	ADJ;INDF;SG	N;MASC;PL
them	eles	them	eles		PRO;NOM;MASC;PL;3
heaven	heaven	heaven	heaven		N;MASC;SG
heaven	paraíso	heaven	paraíso		N;MASC;SG
heaven	céu	heaven	céu		N;MASC;SG
istanbul	istambul	istanbul	istambul	PROPN	N;MASC;SG
download	download	download	download	V;IMP	N;MASC;SG
download	baixe	download	baixe	V;IMP	V;IND;SG;3;PRS;FIN
vidnesbyrd	testemunhos	vidnesbyrd	testemunho	N;INDF;NEUT;SG	N;MASC;PL
vidnesbyrd	testemunhos	vidnesbyrd	testemunho	N;INDF;NEUT;SG	N;MASC;PL
husum	husum	husum	husum	PROPN	N;MASC;SG
sammenstød	confrontos	sammenstød	confronto	N;INDF;NEUT;SG	N;MASC;PL
sammenstød	colisões	sammenstød	colisão	N;INDF;NEUT;SG	N;FEM;PL
inter	inter	inter	inter		N;MASC;SG
jagerfly	combatentes	jagerfly	combatente	N;INDF;MASC+FEM;SG	N;MASC;PL
jagerfly	lutadores	jagerfly	lutador	N;INDF;MASC+FEM;SG	N;MASC;PL
jagerfly	caças	jagerfly	caça	N;INDF;MASC+FEM;SG	N;FEM;PL
pacific	pacífico	pacific	pacífico		N;MASC;SG
pacific	pacifico	pacific	pacifico		N;MASC;SG
pacific	pacific	pacific	pacific		N;MASC;SG
myter	mito	myte	mito	N;INDF;MASC+FEM;PL	N;MASC;SG
frivillig	opcionais	frivillig	opcional	ADJ;INDF;MASC+FEM;SG	N;MASC;PL
frivillig	voluntário	frivillig	voluntário	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
frivillig	voluntárias	frivillig	voluntário	ADJ;INDF;MASC+FEM;SG	N;FEM;PL
frivillig	voluntário	frivillig	voluntário	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
frivillig	voluntariado	frivillig	voluntariado	ADJ;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
frivillig	voluntários	frivillig	voluntário	ADJ;INDF;MASC+FEM;SG	N;MASC;PL
egon	egon	egon	egon		N;MASC;SG
sting	pontos	sting	ponto	N;INDF;MASC+FEM;SG	N;MASC;PL
asiatiske	asiáticas	asiatisk	asiático	ADJ;PL	N;FEM;PL
asiatiske	asiática	asiatisk	asiático	ADJ;PL	N;FEM;SG
asiatiske	asiático	asiatisk	asiático	ADJ;PL	ADJ;MASC;SG
asiatiske	asiáticos	asiatisk	asiático	ADJ;PL	N;MASC;PL
sweet	sweet	swe	sweet		N;MASC;SG
sweet	meiga	swe	meiga		ADJ;FEM;SG
sweet	doces	swe	doce		N;MASC;PL
sweet	meigo	swe	meigo		ADJ;MASC;SG
sweet	doce	swe	doce		N;MASC;SG
ler	argilas	le	argila	N;INDF;MASC+FEM;SG	N;FEM;PL
ler	gargalhadas	le	gargalhar	N;INDF;MASC+FEM;SG	N;FEM;PL
ler	risos	le	riso	N;INDF;MASC+FEM;SG	N;MASC;PL
ler	risadas	le	risada	N;INDF;MASC+FEM;SG	N;FEM;PL
fotografi	fotografar	fotografi	fotografar	N;INDF;NEUT;SG	V;NFIN
jagten	caçar	jagt	caçar	N;DEF;MASC+FEM;SG	V;NFIN
jagten	caçar	jagt	caçar	N;DEF;MASC+FEM;SG	V;NFIN
jagten	caçando	jagt	caçar	N;DEF;MASC+FEM;SG	V;V.MSDR
bevidsthed	consciente	bevidsthed	consciente	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
bevidsthed	conscientes	bevidsthed	consciente	N;INDF;MASC+FEM;SG	ADJ;MASC;PL
sproglige	linguística	sproglig	linguística	ADJ;PL	N;FEM;SG
udkæmpet	lutaram	udkæmpe	lutar	V;INDF;SG;PST;V.PTCP	V;IND;PL;3;FIN
houston	houston	houston	houston		N;MASC;SG
bombe	bombardeios	bombe	bombardeio	N;INDF;MASC+FEM;SG	N;MASC;PL
anmodning	pedir	anmodning	pedir	N;INDF;MASC+FEM;SG	V;NFIN
anmodning	solicitar	anmodning	solicitar	N;INDF;MASC+FEM;SG	V;NFIN
tank	tanques	tank	tanque	N;INDF;MASC+FEM;SG	N;MASC;PL
flandern	flandres	flande	flandre	N;INDF;MASC+FEM;PL	N;MASC;SG
flandern	flanders	flande	flander	N;INDF;MASC+FEM;PL	N;MASC;SG
fremstiller	produza	fremstille	produzir	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
fremstiller	fabrica	fremstille	fabricar	V;IND;PRS;FIN;ACT	N;FEM;SG
fremstiller	fabricante	fremstille	fabricante	V;IND;PRS;FIN;ACT	N;MASC;SG
toner	toner	tone	toner	N;INDF;MASC+FEM;PL	N;MASC;SG
antaget	assumidos	antage	assumir	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
antaget	assumidas	antage	assumir	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
kaserne	caserna	kase	caserna	N;DEF;MASC+FEM;PL	N;FEM;SG
kaserne	quartel	kase	quartel	N;DEF;MASC+FEM;PL	N;MASC;SG
patent	patentes	patent	patente	N;INDF;NEUT;SG	N;MASC;PL
patent	patentes	patent	patente	N;INDF;NEUT;SG	N;MASC;PL
owen	owen	owen	owen		PROPN;MASC;SG
rafael	raphael	rafael	raphael		N;MASC;SG
rafael	rafael	rafael	rafael		N;MASC;SG
rafael	rafael	rafael	rafael		N;MASC;SG
konvention	convenções	konvention	convenção	N;INDF;MASC+FEM;SG	N;FEM;PL
skatter	impostos	skatter	imposto	ADV	N;MASC;PL
alabama	alabama	alabama	alabama		N;MASC;SG
væbnede	armada	væbne	armar	ADJ;PL	V;FEM;SG;V.PTCP
væbnede	armados	væbne	armar	ADJ;PL	V;MASC;PL;V.PTCP
væbnede	armadas	væbne	armar	ADJ;PL	N;FEM;PL
væbnede	armado	væbne	armar	ADJ;PL	V;MASC;SG;V.PTCP
undersøgt	estudados	undersøge	estudar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
undersøgt	examinadas	undersøge	examinar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
undersøgt	examinados	undersøge	examinar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
undersøgt	investigadas	undersøge	investigar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
undersøgt	investigados	undersøge	investigar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
organiske	orgânicas	organisk	orgânico	ADJ;PL	N;FEM;PL
organiske	orgânica	organisk	orgânico	ADJ;PL	N;FEM;SG
organiske	orgânico	organisk	orgânico	ADJ;PL	N;MASC;SG
organiske	orgânicos	organisk	orgânico	ADJ;PL	N;MASC;PL
newton	newton	newton	newton		N;MASC;SG
olga	olga	olga	olga		N;FEM;SG
romantisk	romântico	romantisk	romântico	ADV	ADJ;MASC;SG
romantisk	românticos	romantisk	romântico	ADV	ADJ;MASC;PL
romantisk	românticas	romantisk	romântico	ADV	ADJ;FEM;PL
romantisk	romântica	romantisk	romântico	ADV	ADJ;FEM;SG
blind	blind	blind	blind	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
blind	cegos	blind	cego	ADJ;INDF;MASC+FEM;SG	N;MASC;PL
blind	cegas	blind	cega	ADJ;INDF;MASC+FEM;SG	N;FEM;PL
sevilla	sevilla	sevilla	sevilla	PROPN	N;MASC;SG
sevilla	sevilha	sevilla	sevilha	PROPN	N;MASC;SG
mel	farinhas	mel	farinha	N;INDF;MASC+FEM;SG	N;FEM;PL
ronnie	ronnie	ronnie	ronnie		N;MASC;SG
opvarmning	aquecendo	opvarmning	aquecer	N;INDF;MASC+FEM;SG	V;V.MSDR
køb	comprar	køb	comprar	N;INDF;NEUT;SG	V;NFIN
køb	compre	køb	compre	N;INDF;NEUT;SG	V;SBJV;SG;3;PRS;FIN
køb	compro	køb	compro	N;INDF;NEUT;SG	V;IND;SG;1;PRS;FIN
køb	comprar	køb	comprar	N;INDF;NEUT;SG	V;NFIN
køb	compras	køb	compra	N;INDF;NEUT;SG	N;FEM;PL
køb	comprando	køb	comprar	N;INDF;NEUT;SG	V;V.MSDR
køb	comprar	køb	comprar	N;INDF;NEUT;SG	V;NFIN
statistisk	estatístico	statistisk	estatístico	ADV	ADJ;MASC;SG
statistisk	estatística	statistisk	estatístico	ADV	N;FEM;SG
leverer	providencia	levere	providenciar	V;IND;PRS;FIN;ACT	N;FEM;SG
separat	separado	separat	separar	ADV	V;MASC;SG;V.PTCP
separat	separe	separat	separe	ADV	V;SBJV;SG;3;PRS;FIN
separat	separado	separat	separar	ADV	V;MASC;SG;V.PTCP
separat	separados	separat	separar	ADV	V;MASC;PL;V.PTCP
separat	separar	separat	separar	ADV	V;NFIN
wikidata	wikidata	wikidata	wikidata		N;FEM;SG
skulptur	esculturas	skulptur	escultura	N;INDF;MASC+FEM;SG	N;FEM;PL
trykte	impressos	trykte	imprimir	V;PL;PST;V.PTCP	N;MASC;PL
trykte	impressa	trykte	imprimir	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
trykte	impresso	trykte	imprimir	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
godkendte	aprovada	godkende	aprovar	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
godkendte	aprovado	godkende	aprovar	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
permanente	permanente	permanent	permanente	ADJ;PL	ADJ;MASC;SG
fisker	peixes	fisker	peixe	N;INDF;MASC+FEM;SG	N;MASC;PL
fisker	pescadores	fisker	pescador	N;INDF;MASC+FEM;SG	N;MASC;PL
fisker	pescar	fisker	pescar	N;INDF;MASC+FEM;SG	V;NFIN
dygtige	talentosa	dygtig	talentoso	ADJ;PL	ADJ;FEM;SG
dygtige	talentoso	dygtig	talentoso	ADJ;PL	ADJ;MASC;SG
oldenburg	oldemburgo	oldenburg	oldemburgo		N;MASC;SG
beton	concretas	beton	concreto	N;INDF;MASC+FEM;SG	N;FEM;PL
beton	concretos	beton	concreto	N;INDF;MASC+FEM;SG	N;MASC;PL
dortmund	dortmund	dortmund	dortmund	PROPN	N;MASC;SG
dragon	dragão	dragon	dragão		N;MASC;SG
dragon	dragões	dragon	dragão		N;MASC;PL
dragon	dragon	dragon	dragon		N;MASC;SG
rede	preparada	rede	preparar	N	V;FEM;SG;V.PTCP
rede	preparadas	rede	preparar	N	V;FEM;PL;V.PTCP
rede	preparados	rede	preparar	N	V;MASC;PL;V.PTCP
rede	preparado	rede	preparar	N	V;MASC;SG;V.PTCP
chopin	chopin	chopin	chopin		N;MASC;SG
drab	homicídios	drab	homicídio	N;INDF;NEUT;SG	N;MASC;PL
drab	assassinatos	drab	assassinato	N;INDF;NEUT;SG	N;MASC;PL
drab	matando	drab	matar	N;INDF;NEUT;SG	V;V.MSDR
drab	matar	drab	matar	N;INDF;NEUT;SG	V;NFIN
gad	gad	gide	gad	V;IND;PST;FIN;ACT	PROPN;MASC;SG
dale	dale	dal	dale	N;INDF;MASC+FEM;PL	N;MASC;SG
pedro	pedro	pedro	pedro		N;MASC;SG
barry	barry	barry	barry		N;MASC;SG
allieret	aliadas	alliere	aliar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
allieret	aliados	alliere	aliado	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
allieret	ally	alliere	ally	V;INDF;SG;PST;V.PTCP	N;MASC;SG
judas	judas	judas	juda		N;MASC;PL
lufthavne	aeroporto	lufthavne	aeroporto	N;INDF;MASC+FEM;PL	N;MASC;SG
small	small	small	small		N;MASC;SG
small	pequenos	small	pequeno		ADJ;MASC;PL
small	pequeno	small	pequeno		ADJ;MASC;SG
small	pequena	small	pequeno		ADJ;FEM;SG
small	pequenas	small	pequeno		ADJ;FEM;PL
kentucky	kentucky	kentucky	kentucky		N;MASC;SG
afløser	substituir	afløser	substituir	N;INDF;MASC+FEM;SG	V;NFIN
afløser	substituindo	afløser	substituir	N;INDF;MASC+FEM;SG	V;V.MSDR
proteiner	proteína	protein	proteína	N;INDF;NEUT;PL	N;FEM;SG
simpson	simpson	simpson	simpson		N;MASC;SG
suppleret	complementados	supplere	complementar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
suppleret	complementadas	supplere	complementar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
nepal	nepal	nepal	nepal	PROPN	N;MASC;SG
koncentreret	concentrados	koncentrere	concentrado	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
påstand	reclamar	påstand	reclamar	N;INDF;MASC+FEM;SG	V;NFIN
påstand	reivindicar	påstand	reivindicar	N;INDF;MASC+FEM;SG	V;NFIN
walk	caminhada	walk	caminhar		N;FEM;SG
walk	passear	walk	passear		V;NFIN
walk	andar	walk	andar		V;NFIN
walk	caminhar	walk	caminhar		V;NFIN
walk	passeio	walk	passeio		N;MASC;SG
opdagelsesrejsende	explorer	opdagelsesrejsende	explorer	ADJ	N;MASC;SG
opdagelsesrejsende	explorador	opdagelsesrejsende	explorador	ADJ	N;MASC;SG
opdagelsesrejsende	exploradores	opdagelsesrejsende	explorador	ADJ	N;MASC;PL
møbler	mobiliário	møbel	mobiliário	N;INDF;NEUT;PL	N;MASC;SG
rick	rick	rick	rick		N;MASC;SG
neutrale	neutral	neutral	neutral	ADJ;PL	N;MASC;SG
neutrale	neutro	neutral	neutro	ADJ;PL	ADJ;MASC;SG
neutrale	neutra	neutral	neutro	ADJ;PL	ADJ;FEM;SG
neutrale	neutralidade	neutral	neutralidade	ADJ;PL	N;FEM;SG
neutrale	neutros	neutral	neutro	ADJ;PL	N;MASC;PL
rob	rob	rob	rob		N;MASC;SG
rob	roubar	rob	roubar		V;NFIN
omfattet	incluído	omfatte	incluir	N;DEF;NEUT;SG	V;MASC;SG;V.PTCP
omfattet	incluídas	omfatte	incluir	N;DEF;NEUT;SG	V;FEM;PL;V.PTCP
omfattet	incluso	omfatte	incluso	N;DEF;NEUT;SG	V;MASC;SG;V.PTCP
omfattet	incluido	omfatte	incluir	N;DEF;NEUT;SG	V;MASC;SG;V.PTCP
omfattet	incluídos	omfatte	incluir	N;DEF;NEUT;SG	V;MASC;PL;V.PTCP
omfattet	coberto	omfatte	cobrir	N;DEF;NEUT;SG	V;MASC;SG;V.PTCP
omfattet	cobertas	omfatte	cobrir	N;DEF;NEUT;SG	V;FEM;PL;V.PTCP
omfattet	cobertos	omfatte	cobrir	N;DEF;NEUT;SG	V;MASC;PL;V.PTCP
omfattet	abrangidos	omfatte	abranger	N;DEF;NEUT;SG	V;MASC;PL;V.PTCP
omfattet	abrangido	omfatte	abranger	N;DEF;NEUT;SG	V;MASC;SG;V.PTCP
omfattet	coberta	omfatte	cobrir	N;DEF;NEUT;SG	V;FEM;SG;V.PTCP
kriminelle	criminoso	kriminel	criminoso	ADJ;PL	N;MASC;SG
kriminelle	criminal	kriminel	criminal	ADJ;PL	N;MASC;SG
kriminelle	criminosa	kriminel	criminoso	ADJ;PL	N;FEM;SG
kriminelle	penal	kriminel	penal	ADJ;PL	N;MASC;SG
kriminelle	criminosos	kriminel	criminoso	ADJ;PL	N;MASC;PL
kriminelle	criminosas	kriminel	criminoso	ADJ;PL	N;FEM;PL
leftarm	leftarm	leftarm	leftar		N;MASC;SG
forøget	aumentados	forøge	aumentar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
regelmæssige	regular	regelmæssig	regular	ADJ;PL	ADJ;MASC;SG
halve	metades	halv	metade	ADJ;PL	N;FEM;PL
mitsubishi	mitsubishi	mitsubishi	mitsubishi		N;MASC;SG
skarpe	afiada	skarp	afiar	ADJ;PL	V;FEM;SG;V.PTCP
skarpe	sharp	skarp	sharp	ADJ;PL	N;MASC;SG
skarpe	afiados	skarp	afiado	ADJ;PL	V;MASC;PL;V.PTCP
skarpe	afiado	skarp	afiar	ADJ;PL	V;MASC;SG;V.PTCP
kriminalitet	crimes	kriminalitet	crime	N;INDF;MASC+FEM;SG	N;MASC;PL
undervist	ensinados	undervist	ensinar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
batteri	baterias	batteri	bateria	N;INDF;NEUT;SG	N;FEM;PL
batteri	pilhas	batteri	pilha	N;INDF;NEUT;SG	N;FEM;PL
seg	seg	seg	segunda-feira		N;MASC;SG
omkostninger	custo	omkostning	custo	N;INDF;MASC+FEM;PL	N;MASC;SG
omkostninger	cost	omkostning	cost	N;INDF;MASC+FEM;PL	N;MASC;SG
motors	motores	motors	motor		N;MASC;PL
motors	motors	motors	motor		N;MASC;SG
passede	apto	passe	apto	V;IND;PST;FIN;ACT	ADJ;MASC;SG
passede	fit	passe	fit	V;IND;PST;FIN;ACT	N;MASC;SG
cia	cia	cia	cia		N;FEM;SG
cia	cia	cia	cia		N;FEM;SG
cia	cla	cia	cla		N;MASC;SG
lissabon	lisboa	lissabon	lisboa		N;FEM;SG
grace	graça	grace	graça		N;FEM;SG
grace	grace	grace	grace		N;FEM;SG
skandinavisk	escandinavos	skandinavisk	escandinavo	ADJ;INDF;SG	N;MASC;PL
tusind	milhares	tusind	milhar	N;INDF;NEUT;SG	N;MASC;PL
tusind	mil	tusind	mil	N;INDF;NEUT;SG	NUM
håbet	esperando	håb	esperar	N;DEF;NEUT;SG	V;V.MSDR
håbet	esperanças	håb	esperança	N;DEF;NEUT;SG	N;FEM;PL
håbet	esperava	håb	esperar	N;DEF;NEUT;SG	V;IND;SG;3;IPFV;FIN
indlagt	admitidos	indlægge	admitir	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
reform	reformar	reform	reformar	N;INDF;MASC+FEM;SG	V;NFIN
reform	reformar	reform	reformar	N;INDF;MASC+FEM;SG	V;NFIN
reform	reformas	reform	reforma	N;INDF;MASC+FEM;SG	N;FEM;PL
videnskabeligt	científico	videnskabelig	científico	ADV	ADJ;MASC;SG
videnskabeligt	científica	videnskabelig	científico	ADV	N;FEM;SG
psykisk	psíquicos	psykisk	psíquico	ADJ;INDF;SG	N;MASC;PL
psykisk	vidente	psykisk	vidente	ADJ;INDF;SG	N;MASC;SG
psykisk	médium	psykisk	médium	ADJ;INDF;SG	N;MASC;SG
psykisk	psiquiatria	psykisk	psiquiatria	ADJ;INDF;SG	N;FEM;SG
psykisk	psiquiátrico	psykisk	psiquiátrico	ADJ;INDF;SG	N;MASC;SG
psykisk	psiquiátricos	psykisk	psiquiátrico	ADJ;INDF;SG	N;MASC;PL
psykisk	mental	psykisk	mental	ADJ;INDF;SG	N;MASC;SG
psykisk	mentais	psykisk	mental	ADJ;INDF;SG	N;MASC;PL
psykisk	mentalmente	psykisk	mentalmente	ADJ;INDF;SG	ADV
clara	clara	clara	claro		ADJ;FEM;SG
beskadiget	danificadas	beskadige	danificar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
beskadiget	danificados	beskadige	danificar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
ward	ward	ward	ward		N;MASC;SG
modtagelse	recebendo	modtagelse	receber	N;INDF;MASC+FEM;SG	V;V.MSDR
modtagelse	receber	modtagelse	receber	N;INDF;MASC+FEM;SG	V;NFIN
support	apoios	support	apoio	N;INDF;MASC+FEM;SG	N;MASC;PL
hævet	inchados	hæve	inchar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
hævet	inchadas	hæve	inchar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
manuelt	manuais	manuel	manual	ADJ;INDF;SG	N;MASC;PL
manuelt	manual	manuel	manual	ADJ;INDF;SG	N;MASC;SG
manuelt	manualmente	manuel	manualmente	ADJ;INDF;SG	ADV
inn	estalagem	inn	estalagem		N;FEM;SG
inn	pousada	inn	pousada		N;FEM;SG
inn	inn	inn	inn		N;MASC;SG
magic	mágica	magic	mágico		N;FEM;SG
magic	mágico	magic	mágico		N;MASC;SG
magic	magic	magic	magic		N;MASC;SG
magic	mágicas	magic	mágico		N;FEM;PL
magic	magia	magic	magia		N;FEM;SG
racer	racer	race	racer	N;INDF;MASC+FEM;PL	N;MASC;SG
specialiseret	especializados	specialisere	especializar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
specialiseret	especializados	specialisere	especializar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
voice	voice	voice	voice		N;MASC;SG
voice	voz	voice	voz		N;FEM;SG
fastholdt	mantidas	fastholde	manter	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
fastholdt	mantidos	fastholde	manter	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
øre	ouvidos	øre	ouvir	N;INDF;MASC+FEM;SG	V;MASC;PL;V.PTCP
øre	orelhas	øre	orelha	N;INDF;MASC+FEM;SG	N;FEM;PL
øre	ouvido	øre	ouvir	N;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
øre	orelhas	øre	orelha	N;INDF;MASC+FEM;SG	N;FEM;PL
øre	ouvidos	øre	ouvir	N;INDF;MASC+FEM;SG	V;MASC;PL;V.PTCP
walt	walt	walt	walt		N;MASC;SG
hudson	hudson	hudson	hudson		N;MASC;SG
løvfældende	caducifólias	løvfældende	caducifólia	ADJ	N;FEM;PL
elben	elba	elben	elba	PROPN	N;MASC;SG
triple	tripla	triple	tripla		N;FEM;SG
triple	triplo	triple	triplo		N;MASC;SG
triple	triple	triple	triple		N;MASC;SG
triple	triplicar	triple	triplicar		V;NFIN
klassificeret	classificadas	klassificere	classificar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
klassificeret	confidencial	klassificere	confidencial	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG
klassificeret	classificados	klassificere	classificar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
sædvanlige	habitual	sædvanlig	habitual	ADJ;PL	ADJ;MASC;SG
sædvanlige	costume	sædvanlig	costume	ADJ;PL	N;MASC;SG
sædvanlige	usual	sædvanlig	usual	ADJ;PL	ADJ;MASC;SG
taber	perdedora	tabe	perdedora	V;IND;PRS;FIN;ACT	N;FEM;SG
taber	perdedor	tabe	perdedor	V;IND;PRS;FIN;ACT	N;MASC;SG
taber	perca	tabe	perca	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
taber	percam	tabe	percar	V;IND;PRS;FIN;ACT	V;SBJV;PL;3;PRS;FIN
armenien	armênios	armenie	armênio	N;DEF;MASC+FEM;SG	N;MASC;PL
tropiske	tropical	tropisk	tropical	ADJ;PL	ADJ;MASC;SG
hand	mão	hand	mão		N;FEM;SG
hand	hand	hand	hand		N;MASC;SG
lød	soava	lyde	soava	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
munch	munch	munch	munch		N;MASC;SG
busk	bush	busk	bush	N;INDF;MASC+FEM;SG	PROPN;MASC;SG
rapporter	relatório	rapport	relatório	N;INDF;MASC+FEM;PL	N;MASC;SG
rapporter	denunciar	rapport	denunciar	N;INDF;MASC+FEM;PL	V;NFIN
rapporter	relatar	rapport	relatar	N;INDF;MASC+FEM;PL	V;NFIN
kompleks	complexas	kompleks	complexo	ADJ;INDF;SG	ADJ;FEM;PL
kompleks	complexos	kompleks	complexo	ADJ;INDF;SG	ADJ;MASC;PL
lauritz	lauritz	lauritz	lauritz		N;MASC;SG
fænomener	fenômeno	fænomene	fenômeno	N;INDF;NEUT;PL	N;MASC;SG
redigere	edit	redig	edit	V;NFIN;ACT	N;MASC;SG
glenn	glenn	glenn	glenn		N;MASC;SG
eksport	exporta	eksport	exportar	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
eksport	exportações	eksport	exportação	N;INDF;MASC+FEM;SG	N;FEM;PL
eksport	exporta	eksport	exportar	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
eksport	exportações	eksport	exportação	N;INDF;MASC+FEM;SG	N;FEM;PL
eksport	exportar	eksport	exportar	N;INDF;MASC+FEM;SG	V;NFIN
eksport	exportar	eksport	exportar	N;INDF;MASC+FEM;SG	V;NFIN
lært	aprenderam	lære	aprender	V;INDF;SG;PST;V.PTCP	V;IND;PL;3;FIN
lært	ensinados	lære	ensinar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
elite	elites	elite	elite	N;INDF;MASC+FEM;SG	N;FEM;PL
nedsatte	reduzida	nedsat	reduzir	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
nedsatte	reduzido	nedsat	reduzir	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
kørsel	conduzir	kørsel	conduzir	N;INDF;MASC+FEM;SG	V;NFIN
kørsel	dirigindo	kørsel	dirigir	N;INDF;MASC+FEM;SG	V;V.MSDR
kørsel	conduzindo	kørsel	conduzir	N;INDF;MASC+FEM;SG	V;V.MSDR
ment	significava	mene	significar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
legendariske	legendário	legendarisk	legendário	ADJ;PL	ADJ;MASC;SG
legendariske	lendários	legendarisk	lendário	ADJ;PL	N;MASC;PL
legendariske	lendário	legendarisk	lendário	ADJ;PL	ADJ;MASC;SG
legendariske	lendária	legendarisk	lendário	ADJ;PL	ADJ;FEM;SG
memorial	memorial	memorial	memorial		N;MASC;SG
frugter	fruto	frugte	fruto	N;INDF;MASC+FEM;PL	N;MASC;SG
frugter	fruta	frugte	fruta	N;INDF;MASC+FEM;PL	N;FEM;SG
tunesien	tunísia	tunesien	tunísia	PROPN	N;FEM;SG
tunesien	tunisino	tunesien	tunisino	PROPN	N;MASC;SG
tobias	tobias	tobias	tobia	N;INDF;MASC+FEM;SG	N;MASC;PL
indvandrere	imigrante	indvandrer	imigrante	N;INDF;MASC+FEM;PL	N;MASC;SG
arbejdspladser	emprego	arbejdsplads	emprego	N;INDF;MASC+FEM;PL	N;MASC;SG
anklager	promotor	anklage	promotor	N;INDF;MASC+FEM;PL	N;MASC;SG
anklager	procurador	anklage	procurador	N;INDF;MASC+FEM;PL	N;MASC;SG
peters	peters	peters	peters		N;MASC;SG
venezuela	venezuelana	venezuela	venezuelano		ADJ;FEM;SG
venezuela	venezuelano	venezuela	venezuelano		N;MASC;SG
