right	सही	righta	सही		ADJ
projekta	प्रोजेक्ट	projekt	प्रोजेक्ट	N;GEN;MASC;SG	N;NOM;MASC;SG;3
izbran	चुनी	izbran	चुन	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
izbran	चयनित	izbran	चयनित	ADJ;NOM;INDF;MASC;SG;V.PTCP	PROPN;NOM;MASC;SG;3
nekdanje	पूर्व	nekdanji	पूर्व	ADJ;NOM;FEM;PL	ADV;NOM;MASC;SG;3
zvezek	वाल्यूम	zvezek	वाल्यूम	N;NOM;MASC;SG	
zvezek	कोपी	zvezek	कोपी	N;NOM;MASC;SG	
val	वल	val	वल	N;NOM;MASC;SG	
val	वेव	val	वेव	N;NOM;MASC;SG	
zgoraj	अरदास	zgoraj	अरदास	ADV	
montreal	मॉन्ट्रियल	montreal	मॉन्ट्रियल	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ladjo	जहाज	ladja	जहाज	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ladjo	शिप	ladja	शिप	N;ACC;FEM;SG	
ladjo	जलयान	ladja	जलयान	N;ACC;FEM;SG	N;NOM;MASC;SG;3
tempelj	टेम्पल	tempelj	टेम्पल	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
sveto	पावन	svet	पावन	ADJ;NOM;NEUT;SG	
drago	महंगा	drag	महंगा	ADV	ADJ;NOM;MASC;SG
drago	महंगी	drag	महंगा	ADV	ADJ;FEM;SG
lee	ली	lee	ले	PROPN;NOM;MASC;SG	V;PFV;FEM;SG;V.PTCP;ACT
nacionalno	राष्टीय	nacionalen	राष्टीय	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
nacionalno	राष्ट्रीय	nacionalen	राष्ट्रीय	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
nacionalno	नेशनल	nacionalen	नेशनल	ADJ;NOM;NEUT;SG	PROPN;NOM
razmere	परिस्थिति	razmera	परिस्थिति	N;NOM;FEM;PL	N;NOM;FEM;SG;3
razmere	स्थिति	razmera	स्थिति	N;NOM;FEM;PL	N;NOM;FEM;SG;3
britanija	ब्रिटेन	britanija	ब्रिटेन	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
kamen	पत्थर	kamen	पत्थर	N;NOM;MASC;SG	N;NOM;MASC;PL;3
kamen	स्टोन	kamen	स्टोन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
kamen	शैल	kamen	शैल	N;NOM;MASC;SG	
odnos	तेवर	odnos	तेवर	N;NOM;MASC;SG	N;NOM;MASC;PL;3
odnos	एटीट्यूड	odnos	एटीट्यूड	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
odnos	रूख	odnos	रूख	N;NOM;MASC;SG	
jugoslavija	यूगोस्लाविया	jugoslavija	यूगोस्लाविया	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
sever	उत्तर	sever	उत्तर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
table	बोर्ड	tabel	बोर्ड	N;NOM;FEM;PL	N;NOM;MASC;SG;3
table	फलक	tabel	फलक	N;NOM;FEM;PL	N;NOM;MASC;SG;3
srbski	सर्बियाई	srbski	सर्बियाई	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
prosto	निशुल्क	prosto	निशुल्क	ADV	N;NOM;MASC;SG;3
prosto	मुफ्त	prosto	मुफ्त	ADV	N;NOM;MASC;SG;3
prosto	मुक्त	prosto	मुक्त	ADV	ADJ
prosto	फ्री	prosto	फ्री	ADV	
prosto	आजाद	prosto	आजाद	ADV	PROPN;NOM;MASC;SG;3
prosto	फ़्री	prosto	फा्री	ADV	
jack	जैक	jack	जैक		PROPN;NOM;MASC;SG;3
jack	जोकर	jack	जोकर		PROPN;NOM;MASC;SG;3
hercegovina	हर्ज़ेगोविना	hercegovina	हर्ज़ेगोविना	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
tujini	विदेश	tujina	विदेश	N;DAT;FEM;SG	N;NOM;MASC;SG;3
vključitev	संयोजन	vključitev	संयोजन	N;NOM;FEM;SG	
tekmovanja	प्रतियोगिताओं	tekmovanje	प्रतियोगिता	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
tekmovanja	प्रतियोगिताओं	tekmovanje	प्रतियोगिता	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
aktivnosti	उपक्रम	aktivnost	उपक्रम	N;NOM;FEM;PL	N;NOM;MASC;SG;3
aktivnosti	क्रिया	aktivnost	क्रिया	N;NOM;FEM;PL	N;NOM;FEM;SG;3
aktivnosti	गतिविधि	aktivnost	गतिविधि	N;NOM;FEM;PL	N;NOM;FEM;SG;3
aktivnosti	सक्रियता	aktivnost	सक्रियता	N;NOM;FEM;PL	N;NOM;FEM;SG;3
aktivnosti	कार्यकलाप	aktivnost	कार्यकलाप	N;NOM;FEM;PL	N;NOM;MASC;SG;3
obale	coasts	obala	coasts	N;NOM;FEM;PL	
besedo	वर्ड	beseda	वर्ड	N;ACC;FEM;SG	N;NOM;MASC;SG;3
besedo	शब्द	beseda	शब्द	N;ACC;FEM;SG	N;NOM;MASC;SG;3
#dfdfdf	#dfdfdf	#dfdfdf	#dfdfdf		N;NOM;MASC;SG;3
naše	हमारा	naš	हम	DET;NOM;NEUT;SG;1	PRO;MASC;PL;1
naše	हमारे	naš	हम	DET;NOM;NEUT;SG;1	PRO;MASC;PL;1
naše	हमारी	naš	हम	DET;NOM;NEUT;SG;1	PRO;FEM;PL;1
vlado	सरकार	vlada	सरकार	N;ACC;FEM;SG	N;NOM;FEM;SG;3
vlado	सरकारी	vlada	सरकारी	N;ACC;FEM;SG	ADJ;NOM
rimska	रोमन	rimski	रोमन	ADJ;NOM;FEM;SG	
jug	दक्षिणी	jug	दक्षिणी	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
jug	साउथ	jug	साउथ	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
jug	दक्षिण	jug	दक्षिण	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
bistveno	अनिवार्य	bistveno	अनिवार्य	ADV	
mike	माइक	mik	माइक	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
pokrajine	प्रांतों	pokrajina	प्रांत	N;NOM;FEM;PL	N;ACC;MASC;PL;3
pokrajine	परिदृश्य	pokrajina	परिदृश्य	N;NOM;FEM;PL	N;NOM;MASC;SG;3
pokrajine	आड़ा	pokrajina	आड़ा	N;NOM;FEM;PL	
pokrajine	लैंडस्केप	pokrajina	लैंडस्केप	N;NOM;FEM;PL	N;NOM;MASC;SG;3
life	जिंदगी	life	जिंदगी		N;NOM;FEM;SG;3
life	ज़िन्दगी	life	ज़िन्दगी		N;NOM;FEM;SG;3
life	ज़िंदगी	life	ज़िंदगी		N;NOM;FEM;SG;3
life	जिन्दगी	life	जिन्दगी		N;NOM;FEM;SG;3
life	जीवन	life	जीवन		N;NOM;MASC;SG;3
jedro	कोर	jedro	कोर	N;NOM;NEUT;SG	
roger	रोजर	roger	रोजर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
zavod	संस्थान	zavod	संस्थान	N;NOM;MASC;SG	N;NOM;MASC;PL;3
lestvice	तराजू	lestvica	तराजू	N;NOM;FEM;PL	
iskanje	खोजें	iskanje	खोज	N;NOM;NEUT;SG	V;SBJV;FIN;ACT
iskanje	ढूंढें	iskanje	ढूंढ	N;NOM;NEUT;SG	V;SBJV;PL;FIN;ACT
iskanje	क्वेस्ट	iskanje	क्वेस्ट	N;NOM;NEUT;SG	
zahodna	पश्चिम	zahoden	पश्चिम	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
zahodna	वेस्ट	zahoden	वेस्ट	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
raka	कर्क	rak	कर्क	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
raka	कैंसर	rak	कैंसर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
raka	कर्कट	rak	कर्कट	N;GEN;MASC;SG	N;NOM;MASC;SG;3
mesec	चन्द्र	mesec	चन्द्र	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
mesec	चांद	mesec	चांद	N;NOM;MASC;SG	
mesec	चंद्रमा	mesec	चंद्रमा	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
iso	आईएसओ	iso	आईएसओ	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
aktivno	सक्रिय	aktivno	सक्रिय	ADV	ADJ
aktivno	क्रियाशील	aktivno	क्रियाशील	ADV	
kril	पंखों	krilo	पंख	N;NOM;MASC;SG	N;ACC;MASC;PL;3
kril	पंख	krilo	पंख	N;NOM;MASC;SG	N;NOM;MASC;PL;3
provinca	प्रांतों	provinca	प्रांत	N;NOM;FEM;SG	N;ACC;MASC;PL;3
kraljevi	नवाबी	kraljev	नवाबी	ADJ;NOM;DEF;MASC;SG	
kraljevi	रॉयल	kraljev	रॉयल	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
kraljevi	शाही	kraljev	शाही	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
kraljevi	royal	kraljev	royal	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG;3
pravzaprav	दरअसल	pravzaprav	दरअसल	PART	ADV
škofije	diocese	škofija	diocese	N;NOM;FEM;PL	N;NOM;MASC;SG;3
mejo	सीमा	meja	सीमा	N;ACC;FEM;SG	N;NOM;FEM;SG;3
mejo	सीमांत	meja	सीमांत	N;ACC;FEM;SG	N;NOM;MASC;SG;3
mejo	बार्डर	meja	बार्डर	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
mejo	बॉर्डर	meja	बॉर्डर	N;ACC;FEM;SG	N;NOM;MASC;SG;3
mejo	किनारा	meja	किनारा	N;ACC;FEM;SG	N;NOM;MASC;SG;3
zgradil	निर्मित	zgraditi	निर्मित	V;PFV;MASC;SG;V.PTCP	ADJ
zgradil	बिल्ड	zgraditi	बिल्ड	V;PFV;MASC;SG;V.PTCP	
zgradil	निर्माण	zgraditi	निर्माण	V;PFV;MASC;SG;V.PTCP	N;NOM;MASC;SG;3
spojine	यौगिकों	spojin	यौगिक	N;NOM;FEM;PL	N;ACC;MASC;PL;3
očitno	प्रत्यक्ष	očitno	प्रत्यक्ष	ADV	PROPN;NOM;MASC;SG;3
očitno	स्पष्ट	očitno	स्पष्ट	ADV	ADJ
očitno	जाहिर	očitno	जाहिर	ADV	ADJ
motiv	मोटिफ	motiv	मोटिफ	N;NOM;MASC;SG	
viii	viii	videti	viii		PROPN;NOM;MASC;SG;3
cambridge	कैम्ब्रिज	cambridg	कैम्ब्रिज	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
mednarodne	अंतर्राष्ट्रीय	mednaroden	अंतर्राष्ट्रीय	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
mednarodne	अन्तर्राष्ट्रीय	mednaroden	अन्तर्राष्ट्रीय	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
mednarodne	अंतरराष्ट्रीय	mednaroden	अंतरराष्ट्रीय	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
videl	आरी	videti	आरी	V;MASC;SG;V.PTCP	
krila	पंखों	krilo	पंख	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
krila	विंग्स	krilo	विंग	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
krila	स्कर्ट	krilo	स्कर्ट	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
domače	घरेलू	domače	घरेलू	ADV	ADJ;NOM
gozd	वुड्स	gozd	वुड्स	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
gozd	वनों	gozd	वन	N;NOM;MASC;SG	N;NOM;MASC;PL;3
gozd	वन	gozd	वन	N;NOM;MASC;SG	
misli	सोचो	misliti	सोच	V;IPFV;IND;SG;3;PRS;FIN	
misli	विचार	misliti	विचार	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
določa	सेट	določati	सेट	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
spremeni	सुधारें	spremeniti	सुधार	V;PFV;IND;SG;3;PRS;FIN	V;SBJV;PL;FIN;ACT
spremeni	परिवर्तन	spremeniti	परिवर्तन	V;PFV;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
spremeni	बदलाव	spremeniti	बदलाव	V;PFV;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
spremeni	बदलें	spremeniti	बदल	V;PFV;IND;SG;3;PRS;FIN	V;SBJV;SG;FIN;ACT
art	कला	art	कला		N;NOM;FEM;SG;3
art	आर्ट	art	आर्ट		N;NOM;MASC;SG;3
igro	गेम	igra	गेम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
igro	खेल	igra	खेल	N;ACC;FEM;SG	N;NOM;MASC;SG;3
višine	ऊंचाइयों	višina	ऊंचाई	N;NOM;FEM;PL	N;ACC;FEM;PL;3
višine	ऊंचाई	višina	ऊंचाई	N;NOM;FEM;PL	N;NOM;FEM;SG;3
višine	ऊँचाई	višina	ऊँचाई	N;NOM;FEM;PL	N;NOM;FEM;SG;3
majhne	छोटा	majhen	छोटा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
majhne	छोटी	majhen	छोटा	ADJ;NOM;FEM;PL	ADJ;FEM;SG
japonsko	जापान	japonski	जापान	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
japonsko	जापानी	japonski	जापानी	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
japonsko	जापानी	japonski	जापानी	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
denar	मनी	denar	मनी	N;NOM;MASC;SG	
denar	पैसे	denar	पैसा	N;NOM;MASC;SG	N;NOM;MASC;PL;3
socialno	सामाजिक	socialen	सामाजिक	ADJ;NOM;NEUT;SG	PROPN;NOM;SG;3
socialno	सोशल	socialen	सोशल	ADJ;NOM;NEUT;SG	
sodobni	समकालीन	sodoben	समकालीन	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
zmaga	विन	zmaga	विन	N;NOM;FEM;SG	
zmaga	जीतना	zmaga	जीत	N;NOM;FEM;SG	V;MASC;NFIN;ACT
zmaga	विजय	zmaga	विजय	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
zmaga	जीता	zmaga	जीत	N;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
zmaga	विन्स	zmaga	विन्स	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
raven	रेवेन	raven	रेवेन	N;NOM;FEM;SG	
take	ऐसी	tak	ऐसा	DET;NOM;FEM;PL	PRO;NOM;FEM;SG
take	ऐसे	tak	ऐसा	DET;NOM;FEM;PL	PRO;NOM;MASC;SG
minogue	मिनोग	minogua	मिनोग	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
rusijo	रुस	rusija	रुस	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
rusijo	रूस	rusija	रूस	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
kje	कहाँ	kje	कहाँ	ADV	PRO
kje	कहां	kje	कहाँ	ADV	
kje	जहां	kje	जहाँ	ADV	PRO;NOM
kje	जहाँ	kje	जहाँ	ADV	PRO;NOM
ljudstvo	लोग	ljudstvo	लोग	N;NOM;NEUT;SG	N;NOM;MASC;PL;3
ljudstvo	लोगों	ljudstvo	लोग	N;NOM;NEUT;SG	N;ACC;MASC;PL;3
format	फार्मेट	format	फार्मेट	N;NOM;MASC;SG	
tirnice	रेल	tirnica	रेल	N;NOM;FEM;PL	N;NOM;FEM;SG;3
jugoslovanska	यूगोस्लाव	jugoslovanski	यूगोस्लाव	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
vloge	जमा	vloga	जमा	N;NOM;FEM;PL	V;FIN;ACT
vloge	एप्लिकेशन	vloga	एप्लिकेशन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
vloge	आवेदन	vloga	आवेदन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
vloge	अनुप्रयोग	vloga	अनुप्रयोग	N;NOM;FEM;PL	N;NOM;MASC;SG;3
ploskev	भूखंड	ploskv	भूखंड	N;GEN;MASC;SG	N;NOM;MASC;SG;3
ploskev	सतह	ploskv	सतह	N;GEN;MASC;SG	N;NOM;FEM;SG;3
ploskev	पैनल	ploskv	पैनल	N;GEN;MASC;SG	N;NOM;MASC;SG;3
ploskev	पटल	ploskv	पटल	N;GEN;MASC;SG	N;NOM;MASC;SG;3
ploskev	फलक	ploskv	फलक	N;GEN;MASC;SG	N;NOM;MASC;SG;3
praktično	व्यावहारिक	praktično	व्यावहारिक	ADV	ADJ;NOM
kitajske	चीनी	kitajski	चीनी	ADJ;NOM;FEM;PL	
kitajske	चाइनीज	kitajski	चाइनीज	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
matere	माताओं	mati	माता	N;NOM;FEM;PL	N;ACC;FEM;PL;3
izobraževanje	शैक्षणिक	izobraževanje	शैक्षणिक	N;NOM;NEUT;SG	ADJ;NOM
nujno	अत्यावश्यक	nujno	अत्यावश्यक	ADV	
nujno	आवश्यक	nujno	आवश्यक	ADV	ADJ
nujno	तात्कालिक	nujno	तात्कालिक	ADV	PROPN;NOM;SG;3
nujno	आपातकालीन	nujno	आपातकालीन	ADV	N;NOM;MASC;SG;3
nujno	आपातकाल	nujno	आपातकाल	ADV	N;NOM;MASC;SG;3
nujno	आपात	nujno	आपात	ADV	N;NOM;MASC;SG;3
sestava	रचना	sestava	रच	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
sestava	संयोजन	sestava	संयोजन	N;NOM;FEM;SG	
pristanišče	बंदरगाहों	pristanišče	बंदरगाह	N;NOM;NEUT;SG	N;ACC;MASC;PL;3
naravne	कुदरती	naraven	कुदरती	ADJ;NOM;FEM;PL	
naravne	प्राकृतिक	naraven	प्राकृतिक	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
tleh	ग्राउंड	tla	ग्राउंड	N;ESS;NEUT;PL	N;NOM;MASC;SG;3
tleh	जमीन	tla	जमीन	N;ESS;NEUT;PL	N;NOM;FEM;SG;3
tleh	मैदान	tla	मैदान	N;ESS;NEUT;PL	N;NOM;MASC;SG;3
padel	पतझड़	pasti	पतझड़	V;PFV;MASC;SG;V.PTCP	N;NOM;MASC;SG;3
padel	पतन	pasti	पतन	V;PFV;MASC;SG;V.PTCP	N;NOM;MASC;SG;3
bobni	ड्रम	boben	ड्रम	N;NOM;MASC;PL	N;NOM;MASC;SG;3
majhno	छोटे	majhen	छोटा	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
kos	कोस	kos	कोस	N;NOM;MASC;SG	
kos	पीस	kos	पीस	N;NOM;MASC;SG	
kos	स्लाइस	kos	स्लाइस	N;NOM;MASC;SG	
evropo	यूरोप	evropa	यूरोप	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
evropo	यूरोपीय	evropa	यूरोपीय	N;ACC;FEM;SG	PROPN;NOM;SG;3
mario	मारियो	mario	मारियो	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
poskušal	आजमाया	poskušati	आजमा	V;IPFV;MASC;SG;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
francijo	फ्रांस	francija	फ्रांस	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
francijo	फ़्रांस	francija	फाररांस	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
rdeča	लाल	rdeč	लाल	ADJ;NOM;FEM;SG	
rdeča	रेड	rdeč	रेड	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
belo	सफेद	bel	सफेद	ADV	
belo	सफ़ेद	bel	सफ़ेद	ADV	N;NOM;MASC;SG;3
belo	श्वेत	bel	श्वेत	ADV	
zgodbo	कहानी	zgodba	कहानी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
zgodbo	स्टोरी	zgodba	स्टोरी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
chris	क्रिस	chris	क्रिस	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
francis	फ्रांसिस	francis	फ्रांसिस	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
posebna	ख़ास	poseben	खक़ास	ADJ;NOM;FEM;SG	
pisma	letters	pismo	letters	N;NOM;NEUT;PL	
pisma	अक्षर	pismo	अक्षर	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
delavcev	कार्यकर्त्ता	delavec	कार्यकर्त्ता	N;GEN;MASC;PL	N;NOM;MASC;SG;3
delavcev	कार्यकर्ताओं	delavec	कार्यकर्ता	N;GEN;MASC;PL	N;ACC;MASC;PL;3
delavcev	मजदुर	delavec	मजदुर	N;GEN;MASC;PL	PROPN;NOM;MASC;SG;3
delavcev	श्रमिकों	delavec	श्रमिक	N;GEN;MASC;PL	N;NOM;MASC;PL;3
delavcev	मजदूर	delavec	मजदूर	N;GEN;MASC;PL	N;NOM;MASC;PL;3
patrick	पैट्रिक	patrick	पैट्रिक	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
poseben	ख़ास	poseben	खक़ास	ADJ;NOM;INDF;MASC;SG	
carlos	कार्लोस	carlos	कार्लोस	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
dnk	डीएनए	danka	डीएनए	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
hrano	भोजन	hrana	भोजन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
hrano	खाना	hrana	खाना	N;ACC;FEM;SG	N;NOM;MASC;SG;3
motorji	मोटरसाइकल	motor	मोटरसाइकल	N;NOM;MASC;PL	N;NOM;FEM;SG;3
motorji	मोटरसाइकिल	motor	मोटरसाइकिल	N;NOM;MASC;PL	N;NOM;FEM;SG;3
motorji	इंजन	motor	इंजन	N;NOM;MASC;PL	N;NOM;MASC;SG;3
zemlja	पृथ्वी	zemlja	पृथ्वी	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
pravilno	उचित	pravilno	उचित	ADV	ADJ;NOM
pravilno	सही	pravilno	सही	ADV	ADJ
leon	लियोन	leon	लियोन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
leon	लिओन	leon	लिओन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
avstrijsko	आस्ट्रिया	avstrijski	आस्ट्रिया	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
avstrijsko	austro	avstrijski	austro	ADJ;NOM;NEUT;SG	
globoko	दीप	globoko	दीप	ADV	PROPN;NOM;MASC;SG;3
globoko	गहरी	globoko	गहरा	ADV	ADJ;NOM;FEM;SG
globoko	गहरा	globoko	गहरा	ADV	ADJ;NOM;MASC;SG
globoko	गहन	globoko	गहन	ADV	ADJ;NOM
heinz	हाइन्ज़	heinz	हाइन्ज़	PROPN;NOM;MASC;SG	
črno	काले	črn	काला	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
črno	ब्लैक	črn	ब्लैक	ADJ;NOM;NEUT;SG	
pomočnik	साइडकिक	pomočnik	साइडकिक	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
pomočnik	मददगार	pomočnik	मददगार	N;NOM;MASC;SG	ADP
tekmo	गेम	tekma	गेम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
tekmo	खेल	tekma	खेल	N;ACC;FEM;SG	N;NOM;MASC;SG;3
redni	रेगुलर	reden	रेगुलर	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
notranji	आतंरिक	notranji	आतंरिक	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG;3
notranji	इंडोर	notranji	इंडोर	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
notranji	अंदर	notranji	अंदर	ADJ;NOM;DEF;MASC;SG	ADV;NOM;MASC;SG;3
notranji	भीतरी	notranji	भीतरी	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG;3
opremo	उपकरण	oprema	उपकरण	N;ACC;FEM;SG	N;NOM;MASC;PL;3
opremo	गियर	oprema	गियर	N;ACC;FEM;SG	N;NOM;MASC;SG;3
temo	प्रसंग	tema	प्रसंग	N;ACC;FEM;SG	N;NOM;MASC;SG;3
temo	थीम	tema	थीम	N;ACC;FEM;SG	
temo	उजाला	tema	उजाला	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
temo	कालिमा	tema	कालिमा	N;ACC;FEM;SG	N;NOM;FEM;SG;3
temo	अन्धकार	tema	अन्धकार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
temo	अंधेरा	tema	अँधेरा	N;ACC;FEM;SG	N;NOM;MASC;SG;3
moško	पुरुष	moški	पुरुष	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
moško	नर	moški	नर	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
moško	पुरूष	moški	पुरूष	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
kitajski	चीन	kitajski	चीन	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
kitajski	चीनी	kitajski	चीनी	ADJ;NOM;MASC;SG	
kitajski	चाइनीज	kitajski	चाइनीज	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
poškodbe	चोट	poškodba	चोट	N;NOM;FEM;PL	N;NOM;FEM;SG;3
poškodbe	चोटों	poškodba	चोट	N;NOM;FEM;PL	N;ACC;FEM;PL;3
naravno	कुदरती	naraven	कुदरती	ADJ;NOM;NEUT;SG	
naravno	प्राकृतिक	naraven	प्राकृतिक	ADJ;NOM;NEUT;SG	PROPN;NOM;SG;3
rdeči	लाल	rdeč	लाल	ADJ;NOM;DEF;MASC;SG	
rdeči	लाल	rdeč	लाल	ADJ;NOM;DEF;MASC;SG	
rdeči	रेड	rdeč	रेड	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
pomoči	सहायता	pomoč	सहायता	N;GEN;FEM;SG	N;NOM;FEM;SG;3
johnson	जॉनसन	johnson	जॉनसन	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
organizacijo	संगठन	organizacija	संगठन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
organizacijo	संगठन	organizacija	संगठन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
madžarska	हंगरी	madžarski	हंगरी	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
madžarska	हंगेरियाई	madžarski	हंगेरियाई	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
madžarska	हंगरी	madžarski	हंगरी	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
madžarska	हंगेरियाई	madžarski	हंगेरियाई	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
smučarski	स्की	smučarski	स्की	ADJ;NOM;MASC;SG	N;NOM;FEM;SG;3
drevo	ट्री	drevo	ट्री	N;NOM;NEUT;SG	
angliji	इंग्लैंड	anglija	इंग्लैंड	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
angliji	इंग्लैण्ड	anglija	इंग्लैण्ड	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
lastnik	स्वामी	lastnik	स्वामी	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
pisateljica	राइटर	pisateljica	राइटर	N;NOM;FEM;SG	
vpisal	नामांकित	vpisati	नामांकित	V;PFV;MASC;SG;V.PTCP	ADJ;NOM
super	सुपर	super	सुपर		N;NOM
super	महान	super	महान		ADJ
super	बड़ा	super	बड़ा		ADJ;NOM;MASC;SG
postopoma	क्रमिक	postopoma	क्रमिक	ADV	
