dynasti	dynastie	dynasti	dynastie	N;INDF;NEUT;SG	N;NOM;FEM;PL
grey	sivý	grey	sivý		ADJ;ANIM;NOM;MASC;SG
grey	grey	grey	grey		PROPN;NOM;FEM;SG
grey	šedé	grey	šedý		N;NOM;NEUT;SG
grey	sivá	grey	sivý		ADJ;NOM;FEM;SG
grey	sivé	grey	sivý		ADJ;NOM;NEUT;SG
pyrénées	pyrénées	pyrknée	pyrénés	N;GEN;INDF;MASC+FEM;PL	
aires	aires	aires	aires	PROPN	PROPN;INAN;NOM;MASC;SG
raf	raf	raf	raf	PROPN	PROPN;ANIM;NOM;MASC;SG
sigt	zamieriť	sigt	zamieriť	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
kirk	kirk	kirk	kirk		PROPN;ANIM;NOM;MASC;SG
essays	eseje	essay	esej	N;INDF;NEUT;SG	N;NOM;FEM;PL
racing	preteky	racing	preteky		N;INAN;NOM;MASC;PL
racing	závodná	racing	závodný		ADJ;NOM;FEM;SG
racing	pretekať	racing	pretekať		V;IPFV;POS;NFIN
racing	dostihy	racing	dostiha		N;INAN;NOM;MASC;SG
jamie	jamie	jamie	jamie		PROPN;ANIM;NOM;MASC;SG
kontrollerede	kontrolovaný	kontrollere	kontrolovaný	V;PL;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
kontrollerede	riadený	kontrollere	riadený	V;PL;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
kontrollerede	kontrolovaných	kontrollere	kontrolovaný	V;PL;PST;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
kontrollerede	kontrolované	kontrollere	kontrolovaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
kontrollerede	kontrolovaná	kontrollere	kontrolovaný	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
kontrollerede	riadené	kontrollere	riadený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
hunter	lovec	hunte	lovec	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
elskede	milovaná	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
elskede	milovaný	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
elskede	milovaná	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
elskede	milovaní	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
elskede	milovaný	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
elskede	milované	elske	milovaný	V;DEF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dramatiske	dramatický	dramatisk	dramatický	ADJ;PL	ADJ;INAN;NOM;MASC;SG
dramatiske	dramatické	dramatisk	dramatický	ADJ;PL	ADJ;NOM;NEUT;SG
farlig	nebezpečných	farlig	nebezpečný	ADJ;INDF;MASC+FEM;SG	ADJ;GEN;MASC;PL
kontroversielle	kontroverzné	kontroversiel	kontroverzný	ADJ;PL	ADJ;NOM;NEUT;SG
revolutionære	revolučná	revolutionær	revolučný	ADJ;PL	ADJ;NOM;FEM;SG
revolutionære	revolucionári	revolutionær	revolucionár	ADJ;PL	N;ANIM;NOM;MASC;PL
bedt	modlili	bede	modliť	V;INDF;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
woman	ženská	woman	ženský		ADJ;NOM;FEM;SG
woman	zena	woman	zena		
woman	žena	woman	žena		N;NOM;FEM;SG
philippe	philippe	philippe	philippa		PROPN;ANIM;NOM;MASC;SG
fugl	bird	fugl	bird	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
udenlandsk	cudzích	udenlandsk	cudzí	ADJ;INDF;SG	ADJ;GEN;MASC;PL
them	nich	them	on		PRO;ANIM;ACC;MASC;PL;3
them	ich	them	on		PRO;NOM;MASC;PL;3
them	ne	them	ono		PRO;NOM;MASC;PL;3
heaven	neba	heaven	nebo		N;GEN;NEUT;SG
heaven	nebesá	heaven	byť		N;NOM;NEUT;PL
heaven	nebo	heaven	nebo		N;NOM;NEUT;SG
istanbul	istanbule	istanbul	istanbule	PROPN	ADV
celle	cely	celle	cela	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
celle	bunky	celle	bunka	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
celle	cele	celle	cela	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
download	stiahnutie	download	stiahnutie	V;IMP	N;NOM;NEUT;SG
download	sťahovanie	download	sťahovanie	V;IMP	N;NOM;NEUT;SG
vidnesbyrd	svedectvá	vidnesbyrd	svedectvo	N;INDF;NEUT;SG	N;NOM;NEUT;PL
sammenstød	zrážky	sammenstød	zrážok	N;INDF;NEUT;SG	N;NOM;FEM;PL
sammenstød	clash	sammenstød	clash	N;INDF;NEUT;SG	
sammenstød	zrážkam	sammenstød	zrážok	N;INDF;NEUT;SG	N;DAT;FEM;PL
inter	inter	inter	inter		N;INAN;NOM;MASC;SG
edmund	edmund	edmund	edmunda	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
moses	mojžiš	moses	môjžiť	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
jagerfly	stíhačky	jagerfly	stíhačka	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
jagerfly	bojovníci	jagerfly	bojovník	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
jagerfly	bojovníkov	jagerfly	bojovník	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;PL
pacific	tichomorských	pacific	tichomorský		ADJ;GEN;MASC;PL
pacific	pacific	pacific	pacific		N;INAN;NOM;MASC;SG
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
erich	erich	erich	erich	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
myter	mýtus	myte	mýtus	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
frivillig	dobrovoľník	frivillig	dobrovoľník	ADJ;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
frost	frost	frost	frost	N;INDF;MASC+FEM;SG	
egon	egon	egon	egon		PROPN;ANIM;NOM;MASC;SG
sting	sting	sting	sting	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
fusionerede	zlúčené	fusionere	zlúčený	V;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
fusionerede	zlúčený	fusionere	zlúčený	V;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
asiatiske	ázijské	asiatisk	ázijský	ADJ;PL	ADJ;NOM;NEUT;SG
asiatiske	ázie	asiatisk	ázia	ADJ;PL	N;NOM;FEM;PL
sweet	sladký	swe	sladký		ADJ;ANIM;NOM;MASC;SG
sweet	sladká	swe	sladký		ADJ;NOM;FEM;SG
sweet	sladké	swe	sladký		ADJ;NOM;NEUT;SG
ler	íly	le	íla	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
ler	smeje	le	smej	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
ler	hliny	le	hlina	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ler	clay	le	clay	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
fotografi	fotografie	fotografi	fotografia	N;INDF;NEUT;SG	N;NOM;FEM;PL
jagten	lovia	jagt	lovieť	N;DEF;MASC+FEM;SG	V;IPFV;IND;PL;3;POS;PRS;FIN
jagten	loviť	jagt	loviť	N;DEF;MASC+FEM;SG	V;IPFV;POS;NFIN
jagten	hunt	jagt	hunt	N;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
jagten	loviť	jagt	loviť	N;DEF;MASC+FEM;SG	V;IPFV;POS;NFIN
jagten	love	jagt	lov	N;DEF;MASC+FEM;SG	
bevidsthed	povedomia	bevidsthed	povedomie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
bevidsthed	vedomý	bevidsthed	vedomý	N;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
bevidsthed	vedomá	bevidsthed	vedomý	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
bevidsthed	vedomé	bevidsthed	vedomý	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
sproglige	jazykovej	sproglig	jazykový	ADJ;PL	ADJ;GEN;FEM;SG
udkæmpet	bojovali	udkæmpe	bojovať	V;INDF;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
houston	houston	houston	houston		PROPN;ANIM;NOM;MASC;SG
spændende	zaujimave	spændende	zaujimav	ADJ	
spændende	zaujímavosti	spændende	zaujímavosť	ADJ	N;NOM;FEM;PL
bombe	bomby	bombe	bomba	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
anmodning	požiadať	anmodning	požiadať	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
anmodning	vyžiadať	anmodning	vyžiadať	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
flandern	flámsko	flande	flámsko	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
fremstiller	výrobca	fremstille	výrobca	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
fremstiller	výrobcu	fremstille	výrobec	V;IND;PRS;FIN;ACT	N;INAN;GEN;MASC;SG
antaget	predpokladá	antage	predpokladať	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
antaget	predpokladaná	antage	predpokladaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
behandle	liečbu	behandle	liečba	V;NFIN;ACT	N;ACC;FEM;SG
patent	patentov	patent	patent	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL
patent	patenty	patent	patent	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
owen	owen	owen	owen		PROPN;ANIM;NOM;MASC;SG
rafael	raphael	rafael	raphael		N;ANIM;NOM;MASC;SG
rafael	rafael	rafael	rafael		N;ANIM;NOM;MASC;SG
kæden	reťaze	kæde	reťaz	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
skatter	dane	skatter	daň	ADV	N;NOM;FEM;PL
skatter	daní	skatter	daň	ADV	N;GEN;FEM;PL
ravn	raven	ravn	raven	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
alabama	alabama	alabama	alabama		N;NOM;FEM;SG
væbnede	ozbrojená	væbne	ozbrojený	ADJ;PL	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
væbnede	ozbrojený	væbne	ozbrojený	ADJ;PL	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
væbnede	ozbrojené	væbne	ozbrojený	ADJ;PL	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
undersøgt	študovali	undersøge	študovať	V;INDF;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
undersøgt	skúmaný	undersøge	skúmaný	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
undersøgt	skúmané	undersøge	skúmaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
undersøgt	preskúmané	undersøge	preskúmaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
undersøgt	skúmané	undersøge	skúmaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
undersøgt	skúmaných	undersøge	skúmaný	V;INDF;SG;PST;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
organiske	organický	organisk	organický	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
organiske	organické	organisk	organický	ADJ;PL	ADJ;NOM;NEUT;SG
organiske	organická	organisk	organický	ADJ;PL	ADJ;NOM;FEM;SG
organiske	ekologické	organisk	ekologický	ADJ;PL	ADJ;NOM;NEUT;SG
newton	newton	newton	newton		PROPN;ANIM;NOM;MASC;SG
dybere	hlbší	dybere	hlbý	ADV;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
michelle	michelle	michel	michelle	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
olga	olga	olga	olga		PROPN;NOM;FEM;SG
romantisk	romantický	romantisk	romantický	ADV	ADJ;ANIM;NOM;MASC;SG
romantisk	romantické	romantisk	romantický	ADV	ADJ;NOM;NEUT;SG
romantisk	romantická	romantisk	romantický	ADV	ADJ;NOM;FEM;SG
romantisk	romantik	romantisk	romantik	ADV	N;ANIM;NOM;MASC;SG
romantisk	romantika	romantisk	romantika	ADV	N;NOM;FEM;SG
sevilla	sevilla	sevilla	sevillo	PROPN	N;NOM;FEM;SG
sevilla	seville	sevilla	seville	PROPN	N;NOM;FEM;SG
mel	mel	mel	mel	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
ronnie	ronnie	ronnie	ronnie		PROPN;ANIM;NOM;MASC;SG
opvarmning	vykurovacie	opvarmning	vykurovacie	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;PL
header	hlavičky	heade	hlavička	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
køb	zakúpiť	køb	zakúpiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
køb	kúp	køb	kúp	N;INDF;NEUT;SG	V;PFV;IMP;SG;2;POS;FIN
køb	kúpim	køb	kúp	N;INDF;NEUT;SG	V;PFV;IND;SG;1;POS;PRS;FIN
køb	kúpiť	køb	kúpiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
køb	nákupy	køb	nákup	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
køb	kupovať	køb	kupovať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
statistisk	štatistická	statistisk	štatistický	ADV	ADJ;NOM;FEM;SG
statistisk	štatistický	statistisk	štatistický	ADV	ADJ;ANIM;NOM;MASC;SG
statistisk	štatistické	statistisk	štatistický	ADV	ADJ;NOM;NEUT;SG
afslørede	odhalená	afsløre	odhalený	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
afslørede	zjavené	afsløre	zjavený	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
afslørede	odhalené	afsløre	odhalený	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
trio	trio	trio	trio	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
sporten	športový	sport	športový	N;DEF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
sporten	sport	sport	sport	N;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
sporten	športové	sport	športový	N;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
ruth	ruth	ruth	ruth	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
separat	oddelený	separat	oddelený	ADV	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
separat	samostatné	separat	samostatný	ADV	ADJ;NOM;NEUT;SG
separat	oddelené	separat	oddelený	ADV	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
separat	samostatný	separat	samostatný	ADV	ADJ;ANIM;NOM;MASC;SG
separat	samostatná	separat	samostatný	ADV	ADJ;NOM;FEM;SG
wikidata	wikiúdaje	wikidata	wikiúdať		N;NOM;FEM;PL
stein	stein	stein	stein	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
skulptur	sochy	skulptur	socha	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
pearl	pearl	pearl	pearl	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
trykte	vytlačené	trykte	vytlačený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
trykte	potlačené	trykte	potlačený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
trykte	tlačené	trykte	tlačený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
faciliteter	vybavenie	facilitet	vybavenie	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
godkendte	schválil	godkende	schváliť	V;PL;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
godkendte	schválený	godkende	schválený	V;PL;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG
godkendte	schválená	godkende	schválený	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
godkendte	schválené	godkende	schválený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
permanente	natrvalo	permanent	natrvať	ADJ;PL	V;PFV;NEUT;SG;POS;PST;V.PTCP
permanente	trvalý	permanent	trvalý	ADJ;PL	ADJ;INAN;NOM;MASC;SG
permanente	trvalá	permanent	trvať	ADJ;PL	ADJ;NOM;FEM;SG
permanente	trvalé	permanent	trvalý	ADJ;PL	ADJ;NOM;NEUT;SG
permanente	trvalého	permanent	trvalý	ADJ;PL	ADJ;GEN;NEUT;SG
winston	winston	winston	winston	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
fisker	ryby	fisker	ryba	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
fisker	rybársky	fisker	rybársky	N;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG
fisker	rybárske	fisker	rybársky	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
dygtige	talentovaný	dygtig	talentovaný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
dygtige	talentovaná	dygtig	talentovaný	ADJ;PL	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
oldenburg	oldenburg	oldenburg	oldenburg		N;ANIM;NOM;MASC;SG
beton	konkrétny	beton	konkrétny	N;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG
beton	konkrétna	beton	konkrétny	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
beton	konkrétne	beton	konkrétny	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
dortmund	dortmund	dortmund	dortmund	PROPN	N;INAN;NOM;MASC;SG
kæde	reťaze	kæde	reťaz	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
bureau	agentúry	bureau	agentúra	N;INDF;NEUT;SG	N;NOM;FEM;PL
police	polície	police	polícia	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
police	policajný	police	policajný	N;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG
dragon	draka	dragon	drak		N;ANIM;ACC;MASC;SG
dragon	dračí	dragon	dračiť		N;ANIM;NOM;MASC;SG
dragon	drak	dragon	drak		PROPN;ANIM;NOM;MASC;SG
rede	pripravená	rede	pripravený	N	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
rede	pripravené	rede	pripravený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
rede	pripravení	rede	pripravený	N	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
chopin	chopin	chopin	chopin		N;ANIM;NOM;MASC;SG
drab	vrážd	drab	vráždo	N;INDF;NEUT;SG	N;GEN;FEM;PL
drab	vraždy	drab	vražda	N;INDF;NEUT;SG	N;NOM;FEM;PL
drab	zabíjať	drab	zabíjať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
gad	gad	gide	gad	V;IND;PST;FIN;ACT	PROPN;ANIM;NOM;MASC;SG
dale	dale	dal	dale	N;INDF;MASC+FEM;PL	PROPN;ANIM;NOM;MASC;SG
pedro	pedro	pedro	pedro		PROPN;ANIM;NOM;MASC;SG
barry	barry	barry	barra		N;NOM;FEM;SG
allieret	allied	alliere	allied	V;INDF;SG;PST;V.PTCP	PROPN;NOM;FEM;SG
allieret	spojenca	alliere	spojenec	V;INDF;SG;PST;V.PTCP	N;ANIM;ACC;MASC;SG
allieret	spojenec	alliere	spojenec	V;INDF;SG;PST;V.PTCP	N;ANIM;NOM;MASC;SG
allieret	spojencom	alliere	spojenec	V;INDF;SG;PST;V.PTCP	N;ANIM;INS;MASC;SG
judas	judáš	judas	judieť		N;ANIM;NOM;MASC;SG
lufthavne	letisko	lufthavne	letisko	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
lufthavne	letiskové	lufthavne	letiskový	N;INDF;MASC+FEM;PL	ADJ;NOM;NEUT;SG
small	malá	small	malý		ADJ;NOM;FEM;SG
small	small	small	small		PROPN;ANIM;NOM;MASC;SG
small	malý	small	malý		ADJ;ANIM;NOM;MASC;SG
small	malých	small	malý		N;ANIM;GEN;MASC;PL
small	malé	small	malý		ADJ;NOM;NEUT;SG
kentucky	kentucky	kentucky	kentucky		PROPN;ANIM;NOM;MASC;SG
afløser	náhradné	afløser	náhradný	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
afløser	nahradenia	afløser	nahradenie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
nassau	nassau	nassau	nassa	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
proteiner	bielkovina	protein	bielkovina	N;INDF;NEUT;PL	N;NOM;FEM;SG
proteiner	proteín	protein	proteina	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
simpson	simpson	simpson	simpson		PROPN;ANIM;NOM;MASC;SG
suppleret	doplnili	supplere	doplniť	V;INDF;SG;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
suppleret	doplnené	supplere	doplnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
suppleret	doplneného	supplere	doplnený	V;INDF;SG;PST;V.PTCP	ADJ;INAN;GEN;MASC;SG;POS;V.PTCP;PASS
suppleret	doplnená	supplere	doplnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
suppleret	doplnené	supplere	doplnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
suppleret	doplneného	supplere	doplnený	V;INDF;SG;PST;V.PTCP	ADJ;INAN;GEN;MASC;SG;POS;V.PTCP;PASS
nepal	nepále	nepal	pále	PROPN	PROPN;NOM;MASC;SG
koncentreret	sústredené	koncentrere	sústredený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
koncentreret	sústredený	koncentrere	sústredený	V;INDF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
koncentreret	koncentrované	koncentrere	koncentrovaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
koncentreret	sústredenie	koncentrere	sústredenie	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;SG
påstand	nárokovať	påstand	nárokovať	N;INDF;MASC+FEM;SG	V;IPFV;POS;NFIN
westfalen	vestfálsko	westfale	vestfálsko	N;DEF;MASC+FEM;SG	
amy	amy	amy	amy	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
walk	kráčať	walk	kráčať		V;IPFV;POS;NFIN
walk	peši	walk	pešiť		N;GEN;FEM;PL
walk	chôdza	walk	chôdzať		N;NOM;FEM;SG
walk	prechádzka	walk	prechádzkať		N;NOM;FEM;SG
opdagelsesrejsende	explorer	opdagelsesrejsende	explorer	ADJ	N;NOM;MASC;SG
opdagelsesrejsende	prieskumníci	opdagelsesrejsende	prieskumník	ADJ	N;ANIM;NOM;MASC;PL
møbler	nábytok	møbel	nábytok	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
rick	rick	rick	rick		PROPN;ANIM;NOM;MASC;SG
rick	ricka	rick	rick		N;ANIM;ACC;MASC;SG
neutrale	neutrálny	neutral	neutrálny	ADJ;PL	ADJ;INAN;NOM;MASC;SG
neutrale	neutrálna	neutral	utrálny	ADJ;PL	ADJ;NOM;FEM;SG
neutrale	neutrálne	neutral	utrálny	ADJ;PL	ADV
rob	rob	rob	rob		PROPN;ANIM;VOC;MASC;SG
omfattet	zahrnúť	omfatte	zahrnúť	N;DEF;NEUT;SG	V;PFV;POS;NFIN
omfattet	zaradené	omfatte	zaradený	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
omfattet	zahrnuté	omfatte	zahrnutý	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
omfattet	zahrnutý	omfatte	zahrnutý	N;DEF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
omfattet	zakryté	omfatte	zakrytý	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
omfattet	pokryté	omfatte	pokrytý	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
omfattet	pokrytý	omfatte	pokrytý	N;DEF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
kriminelle	trestné	kriminel	trestný	ADJ;PL	ADJ;NOM;NEUT;SG
kriminelle	zločinec	kriminel	zločinec	ADJ;PL	N;ANIM;NOM;MASC;SG
kriminelle	trestná	kriminel	trestný	ADJ;PL	ADJ;NOM;FEM;SG
kriminelle	zločincov	kriminel	zločinec	ADJ;PL	N;ANIM;ACC;MASC;PL
kriminelle	zločinci	kriminel	zločinec	ADJ;PL	N;ANIM;NOM;MASC;PL
kriminelle	kriminálnikov	kriminel	kriminálnik	ADJ;PL	N;ANIM;ACC;MASC;PL
forøget	zvýšený	forøge	zvýšený	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
forøget	zvýšená	forøge	zvýšený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
forøget	zvýšenie	forøge	zvýšenie	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;SG
forøget	zvýšené	forøge	zvýšený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
regelmæssige	pravidelné	regelmæssig	pravidelný	ADJ;PL	ADJ;NOM;NEUT;SG
regelmæssige	pravidelná	regelmæssig	pravidelný	ADJ;PL	ADJ;NOM;FEM;SG
regelmæssige	pravidelne	regelmæssig	pravidelne	ADJ;PL	ADV
regelmæssige	pravidelný	regelmæssig	pravidelný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
cypern	cyperská	cypern	cyperský	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
halve	polovice	halv	polovica	ADJ;PL	N;NOM;FEM;PL
mitsubishi	mitsubishi	mitsubishi	mitsubis		N;INAN;NOM;MASC;SG
skarpe	ostrý	skarp	ostrý	ADJ;PL	ADJ;INAN;NOM;MASC;SG
skarpe	ostré	skarp	ostrý	ADJ;PL	ADJ;NOM;NEUT;SG
skarpe	ostro	skarp	ostro	ADJ;PL	ADV
skarpe	ostrá	skarp	ostrať	ADJ;PL	ADJ;NOM;FEM;SG
