ve	وال	ve	وَال	CONJ	N;NOM;DEF;SG
klip	مقطع	ki	مَقطَع		N;NOM;INDF;SG
prix	prix	prix	مَلَّذ		
akademik	اكاديمية	akademik	أَكَادِيمِيَّة	ADJ	N;NOM;INDF;SG
akademik	الاكاديمي	akademik	إِكَادِيمِيّ	ADJ	N;NOM;DEF;SG
akademik	الاكاديمية	akademik	إِكَادِيمِيّ	ADJ	
akademik	اكاديمي	akademik	إِكَادِيمِيّ	ADJ	
hepsi	كلهم	hepsi	كلهم	PRO;NOM;PL;3	
hepsi	كله	hepsi	كٰلِهَ	PRO;NOM;PL;3	
hepsi	جميع	hepsi	جَمِيع	PRO;NOM;PL;3	N;NOM;INDF;SG
hepsi	كل	hepsi	كُلّ	PRO;NOM;PL;3	N;NOM;INDF;SG
hepsi	الكل	hepsi	كُلّ	PRO;NOM;PL;3	
istifa	استقال	istifa	اِستَقَال		V;PFV;MASC;SG;3;ACT
istifa	استقالة	istifa	اِستِقَالَة		N;NOM;INDF;SG
istifa	الاستقالة	istifa	اِستِقَالَة		N;NOM;DEF;SG
istifa	الاستقالة	istifa	اِستِقَالَة		N;NOM;DEF;SG
official	رسمي	official	رَسمِيّ	N;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
official	الرسمي	official	رَسمِيّ	N;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
official	رسمية	official	رَسمِيّ	N;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
ebu	ابو	ebu	ابو		
idam	نفذ	idam	نَفَّذ		V;PFV;MASC;SG;3;ACT
idam	تنفيذ	idam	تَنفِيذ		N;NOM;INDF;SG
idam	اعدام	idam	إِعدَام		N;NOM;INDF;SG
idam	التنفيذ	idam	تَنفِيذ		N;NOM;DEF;SG
idam	الاعدام	idam	إِعدَام		N;NOM;DEF;SG
balkan	البلقان	balkan	بَلَق		
balkan	البلقان	balkan	بَلَق		
halka	الخاتم	halka	خَاتِم		N;NOM;DEF;SG
halka	خاتم	halka	خاتم		
halka	الحلقات	halka	حَلقَة		N;NOM;DEF;PL
halka	خواتم	halka	خُوَاتِم		N;NOM;INDF;PL
halka	حلقات	halka	حَلقَة		N;NOM;INDF;PL
halka	الخواتم	halka	خَاتِم		N;NOM;DEF;PL
çek	اسحب	çek	أَسحَب		V;PFV;MASC;SG;3;ACT
çek	التشيك	çek	تشِيكِيّ		N;NOM;DEF;PL
çek	التشيكية	çek	التشيكية		
çek	صك	çek	صَكّ		N;NOM;INDF;SG
çek	تحقق	çek	حَقَّق		V;PFV;MASC;SG;3;ACT
çek	التحقق	çek	تَحَقُّق		N;NOM;DEF;SG
çek	تفقد	çek	فَقَد		V;IPFV;MASC;IND;SG;3;FIN;ACT
çek	كش	çek	كش		
şarkılar	الاغاني	şarkı	أَغَانِيّ	N;NOM;PL;3	
aracı	الاداة	araç	إِدَاةَة	N;ACC;SG;3	N;NOM;DEF;SG
aracı	اداة	araç	إِدَاةَ	N;ACC;SG;3	N;NOM;INDF;SG
aracı	وسيط	araç	وَسِيط	N;ACC;SG;3	N;NOM;INDF;SG
aracı	وسيط	araç	وَسِيط	N;ACC;SG;3	N;NOM;INDF;SG
aracı	الوسيط	araç	وَسِيط	N;ACC;SG;3	N;NOM;DEF;SG
aracı	وسيطة	araç	وَسِيطَة	N;ACC;SG;3	ADJ;NOM;INDF;FEM;SG
will	ويل	will	وِيل		
will	راح	will	رَاح		
will	سوف	will	سَوفَ		PART
ihtiyaç	احتياجات	ihtiyaç	اِحتِيَاج		N;NOM;INDF;PL
ihtiyaç	يحتاج	ihtiyaç	اِحتَاج		V;IPFV;MASC;IND;SG;3;FIN;ACT
ihtiyaç	الاحتياجات	ihtiyaç	اِحتِيَاج		N;NOM;DEF;PL
ihtiyaç	حاجات	ihtiyaç	حَاجَة		N;NOM;INDF;PL
ihtiyaç	الحاجات	ihtiyaç	حَاجَة		N;NOM;DEF;PL
ihtiyaç	مطلوب	ihtiyaç	مَطلُوب		ADJ;NOM;INDF;MASC;SG
ihtiyaç	ضرورة	ihtiyaç	ضَرُورَة		N;NOM;INDF;SG
ihtiyaç	الضرورة	ihtiyaç	ضَرُورَة		N;NOM;DEF;SG
ihtiyaç	حاجة	ihtiyaç	حَاجَة		N;NOM;INDF;SG
ihtiyaç	الحاجة	ihtiyaç	حَاجَة		N;NOM;DEF;SG
katılıyorum	اتفق	kat	اِتَّفَق	V;PROG;IND;SG;1;POS;INFM;PRS;PASS	V;PFV;MASC;SG;3;ACT
katılıyorum	اوافق	kat	أَوَّق	V;PROG;IND;SG;1;POS;INFM;PRS;PASS	
katılıyorum	نتفق	kat	نتفق	V;PROG;IND;SG;1;POS;INFM;PRS;PASS	V;IPFV;MASC;IND;PL;1;FIN;ACT
test	الاختبار	test	اِختِبَار		N;NOM;DEF;SG
test	اختبار	test	اِختِبَار		N;NOM;INDF;SG
test	اختبر	test	اِختَبَر		
test	اختبارات	test	اِختِبَار		N;NOM;INDF;PL
test	الاختبارات	test	اِختِبَار		N;NOM;DEF;PL
test	الاختبار	test	اِختِبَار		N;NOM;DEF;SG
test	اختبار	test	اِختِبَار		N;NOM;INDF;SG
hitler	هتلر	hit	هِتلَر	PROPN;NOM;SG;3	
çoğunluğu	الاغلبية	çoğunluk	أَغلَبِيَّة	N;ACC;SG;3	N;NOM;DEF;SG
çoğunluğu	اغلبية	çoğunluk	أَغلَبِيَّة	N;ACC;SG;3	N;NOM;INDF;SG
çoğunluğu	الغالبية	çoğunluk	غَالِبِيَّة	N;ACC;SG;3	N;NOM;DEF;SG
zamanlar	تايمز	zaman	تَايمز	N;NOM;PL;3	
zamanlar	التايمز	zaman	تَايمز	N;NOM;PL;3	
akademi	الاكاديمية	akadem	إِكَادِيمِيّ	N;NOM;SG;3	
düz	مسطح	düz	مَسطَح		ADJ;NOM;INDF;MASC;SG
düz	شقة	düz	شَقَّة		N;NOM;INDF;SG
düz	مسطحة	düz	مسطحة		ADJ;NOM;INDF;FEM;SG
düz	مباشرة	düz	مُبَاشَرَة		N;NOM;INDF;SG
düz	مستقيم	düz	مُستَقِيم		
siyaset	السياسات	siyaset	سِيَاسَة		N;NOM;DEF;PL
siyaset	السياسة	siyaset	سِيَاسَة		N;NOM;DEF;SG
siyaset	سياسة	siyaset	سِيَاسَة		N;NOM;INDF;SG
barcelona	برشلونة	barcelon	برشلونة	N;NOM;SG;3	
barcelona	برشلونه	barcelon	برشلونه	N;NOM;SG;3	
tedavi	العلاجي	tedavi	عِلَاجِيّ	N;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
tedavi	العلاجية	tedavi	عِلَاجِيّ	N;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
tedavi	علاجية	tedavi	عِلَاجِيّ	N;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
tedavi	العلاجات	tedavi	عَلَاجَة	N;NOM;SG;3	N;NOM;DEF;PL
tedavi	علاجات	tedavi	عَلَاجَة	N;NOM;SG;3	N;NOM;INDF;PL
dvd	dvd	iv	مُثَّة		N;NOM;INDF;SG
karmaşık	مجمع	karmaşık	مَجمَع	ADJ	N;NOM;INDF;SG
etrafında	حو	etraf	حو	N;ESS;SG;3	
etrafında	حولي	etraf	حَولَى	N;ESS;SG;3	
ağ	الشبكة	ağ	شَبَكَة		N;NOM;DEF;SG
ağ	الويب	ağ	وَيب		N;NOM;DEF;SG
ağ	ويب	ağ	وِيب		
ağ	الشبكة	ağ	شَبَكَة		N;NOM;DEF;SG
ağ	صافي	ağ	صافي		
ağ	الصافي	ağ	صَافِي		
ağ	للتواصل	ağ	للتواصل		N;GEN;DEF;SG
ağ	التواصل	ağ	تَوَاصُل		N;NOM;DEF;SG
ağ	شبكة	ağ	شَبَكَة		N;NOM;INDF;SG
ağ	الشبكة	ağ	شَبَكَة		N;NOM;DEF;SG
balık	الحوت	balık	حُوت		N;NOM;DEF;SG
balık	مكه	balık	مٰكه		N;NOM;INDF;SG
balık	سمكة	balık	سُمكَة		N;NOM;INDF;SG
balık	السمك	balık	سَمَك		N;NOM;DEF;SG
balık	فيش	balık	فَيشَ		
balık	سمك	balık	سَمَك		
balık	الاسماك	balık	سَمَك		N;NOM;DEF;SG
balık	الصيد	balık	صَيد		N;NOM;DEF;SG
yaşlı	الدر	yaşlı	دَرّ	ADJ	
yaşlı	قديمه	yaşlı	قديمه	ADJ	
yaşlı	عجوز	yaşlı	عَجُوز	ADJ	N;NOM;INDF;SG
yaşlı	مسن	yaşlı	مسن	ADJ	N;NOM;INDF;SG
yaşlı	الاقدم	yaşlı	أَقدَم	ADJ	N;NOM;DEF;SG
alanları	ميادين	alan	مَيَادِين	N;ACC;PL;3	N;NOM;INDF;PL
alanları	الحقول	alan	حَقل	N;ACC;PL;3	N;NOM;DEF;PL
alanları	حقول	alan	حَقل	N;ACC;PL;3	N;NOM;INDF;PL
alanları	الميادين	alan	مَيدَان	N;ACC;PL;3	N;NOM;DEF;PL
alanları	المجالات	alan	مَجَال	N;ACC;PL;3	N;NOM;DEF;PL
alanları	مجالات	alan	مَجَال	N;ACC;PL;3	N;NOM;INDF;PL
alanları	مناطق	alan	مِنطَقَة	N;ACC;PL;3	N;NOM;INDF;PL
alanları	المناطق	alan	مِنطَقَة	N;ACC;PL;3	N;NOM;DEF;PL
geçersiz	باطل	geçersiz	باطل		
geçersiz	باطل	geçersiz	باطل		
oluşturulan	خلق	oluş	خَلَق	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
oluşturulan	خلقت	oluş	خَلَق	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
basın	اضغط	basın	اِضغَطّ		
basın	الصحافة	basın	صَحَافَة		N;NOM;DEF;SG
basın	صحافة	basın	صَحَافَة		N;NOM;INDF;SG
basın	الاعلام	basın	إِعلَام		N;NOM;DEF;SG
basın	اعلام	basın	إِعلَام		N;NOM;INDF;SG
tarihsel	تاريخيا	tarihsel	تَارِيخِيّ		ADJ;ACC;INDF;MASC;SG
tarihsel	تاريخي	tarihsel	تَارِيخِيّ		ADJ;NOM;INDF;MASC;SG
tarihsel	تاريخية	tarihsel	تَارِيخِيّ		ADJ;NOM;INDF;FEM;SG
çelik	الفولاذ	çelik	فُولَاذ		N;NOM;DEF;SG
çelik	ستيل	çelik	سَتِيل		
çelik	الصلب	çelik	صُلب		N;NOM;DEF;SG
karakteri	الشخصية	karakteri	شَخصِيّ	N;ESS;SG;3	ADJ;NOM;DEF;FEM;SG
karakteri	شخصية	karakteri	شَخصِيَّة	N;ESS;SG;3	N;NOM;INDF;SG
cilt	الحجم	cilt	حَجم		N;NOM;DEF;SG
cilt	المجلد	cilt	مَجلَد		N;NOM;DEF;SG
cilt	حجم	cilt	حَجم		N;NOM;INDF;SG
cilt	الجلد	cilt	جَلد		N;NOM;DEF;SG
cilt	بشرة	cilt	بَشَرَة		N;NOM;INDF;SG
cilt	جلد	cilt	جَلَد		N;NOM;INDF;SG
cilt	البشرة	cilt	بَشَرَة		N;NOM;DEF;SG
değerli	الثمينة	değerli	ثَمِين		N;NOM;DEF;SG
değerli	الغالي	değerli	الغالي		
değerli	القيمة	değerli	قِيمَة		N;NOM;DEF;SG
değerli	قيمة	değerli	قِيمَة		N;NOM;INDF;SG
değerli	قيمة	değerli	قِيمَة		N;NOM;INDF;SG
değerli	تستاهل	değerli	تَسَتَّل		
tasarım	مصمم	tas	مُصمَم		N;NOM;INDF;SG
tasarım	مصممة	tas	مُصَمَّم		ADJ;NOM;INDF;FEM;SG
tasarım	المصمم	tas	مَصمَم		N;NOM;DEF;SG
tasarım	تصميم	tas	تَصمِيم		N;NOM;INDF;SG
tasarım	التصميم	tas	تَصمِيم		N;NOM;DEF;SG
tasarım	تصميم	tas	تَصمِيم		N;NOM;INDF;SG
haçlı	الصليبي	haçlı	صَلِيبِيّ		N;NOM;DEF;SG
dergi	مجلة	dergi	مَجَلَّة		N;NOM;INDF;SG
dergi	المجله	dergi	مُجَلِّه		
dergi	المجلة	dergi	مَجَلَّة		N;NOM;DEF;SG
dergi	المجلات	dergi	مَجَلّ		N;NOM;DEF;PL
dergi	مجلات	dergi	مَجَلَّة		N;NOM;INDF;PL
makedonya	مقدونيا	makedonya	مَقدُونِيَا	PROPN;NOM;SG;3	
makedonya	المقدونية	makedonya	مَقدُونِيّ	PROPN;NOM;SG;3	
makedonya	مقدوني	makedonya	مَقدُونِيّ	PROPN;NOM;SG;3	
makedonya	مقدونيا	makedonya	مَقدُونِيَا	PROPN;NOM;SG;3	
kaleci	مرمى	kaleci	مَرمَى		N;NOM;INDF;SG
bosna	البوسنة	bosna	بُوسنَة	PROPN;NOM;SG;3	N;NOM;DEF;SG
milliyetçi	القوميين	milliyetçi	قَومِيّ		ADJ;ACC;DEF;MASC;PL
esnasında	اثناء	esna	أَثنَاءَ	N;ESS;SG;3	ADP;ACC
esnasında	خلال	esna	خِلَالَ	N;ESS;SG;3	ADP;ACC
hücre	زنزانة	hücre	زِنزَانَة		N;NOM;INDF;SG
hücre	الزنزانة	hücre	زِنزَانَة		N;NOM;DEF;SG
hücre	خلية	hücre	خَلِيَّة		N;NOM;INDF;SG
hücre	الخلية	hücre	خَلِيَّة		N;NOM;DEF;SG
hücre	الخلايا	hücre	خَلِيَّة		N;NOM;DEF;PL
hücre	الزنزانات	hücre	زِنزَان		N;NOM;DEF;PL
hücre	خلايا	hücre	خَلِيَّة		N;NOM;INDF;PL
aslan	اسد	aslan	اسد		
aslan	الاسد	aslan	الاسد		
aslan	اصلان	aslan	اصلان		
aslan	ليو	aslan	لَيو		
dahi	عبقرية	dahi	عَبقَرِيّ		N;NOM;INDF;SG
dahi	العبقري	dahi	العبقري		N;NOM;DEF;SG
dahi	عبقري	dahi	عبقري		
açıldı	فتحت	aç	فَتَح	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;FEM;SG;3;ACT
papa	بوب	papa	بوب		
papa	بابا	papa	بابا		
papa	البابا	papa	البابا		
davet	دعوة	davet	دَعوَة		N;NOM;INDF;SG
davet	الدعوة	davet	دَعوَة		N;NOM;DEF;SG
davet	دعوة	davet	دَعوَة		N;NOM;INDF;SG
davet	الدعوة	davet	دَعوَة		N;NOM;DEF;SG
davet	الدعوات	davet	دَعوَة		N;NOM;DEF;PL
davet	يدعو	davet	دَعَا		V;IPFV;MASC;IND;SG;3;FIN;ACT
davet	دعوات	davet	دَعوَة		N;NOM;INDF;PL
yerleri	اماكن	yer	إِمكَان	N;ACC;PL;3	N;NOM;INDF;PL
yerleri	الاماكن	yer	مَكَان	N;ACC;PL;3	N;NOM;DEF;PL
yerleri	مواقع	yer	مَوقِع	N;ACC;PL;3	N;NOM;INDF;PL
yerleri	المواقع	yer	مَوقِع	N;ACC;PL;3	N;NOM;DEF;PL
chicago	شيكاغو	chicago	شِيكَاغُو	PROPN;NOM;SG;3	
chicago	شيكاجو	chicago	شِيكَاجُو	PROPN;NOM;SG;3	
olmaz	ليس	ol	لَيس	V;IPFV;IND;SG;3;NEG	V;PFV;MASC;SG;3;ACT
olmaz	لا	ol	لَا	V;IPFV;IND;SG;3;NEG	PART
olmaz	وليس	ol	وليس	V;IPFV;IND;SG;3;NEG	
olmaz	مش	ol	مش	V;IPFV;IND;SG;3;NEG	
sabah	صباحك	sabah	صباحك	N;NOM;SG;3	
kırım	القرم	kırım	قَرم		
young	شاب	young	شَابّ		N;NOM;INDF;SG
young	شابة	young	شَابّ		ADJ;NOM;INDF;FEM;SG
young	صغار	young	صَغِير		N;NOM;INDF;PL
emir	امير	imir	أَمِير		N;NOM;INDF;SG
emir	امر	imir	أَمر		N;NOM;INDF;SG
emir	طلب	imir	طَلَب		N;NOM;INDF;SG
emir	ترتيب	imir	تَرتِيب		N;NOM;INDF;SG
emir	الطلب	imir	طَلَب		N;NOM;DEF;SG
emir	النظام	imir	نِظَام		N;NOM;DEF;SG
emir	الطلبات	imir	طَلَب		N;NOM;DEF;PL
emir	الاوامر	imir	الاوامر		N;NOM;DEF;PL
emir	اوامر	imir	أَمر		N;NOM;INDF;PL
emir	طلبات	imir	طَلَب		N;NOM;INDF;PL
ders	الدروس	ders	دَرس		N;NOM;DEF;PL
ders	دروس	ders	دَرس		N;NOM;INDF;PL
ders	العبر	ders	عَبرَة		
ders	المحاضرة	ders	مُحَاضَرَة		N;NOM;DEF;SG
ders	محاضرة	ders	مُحَاضَرَة		N;NOM;INDF;SG
ders	الدرس	ders	دَرس		N;NOM;DEF;SG
ders	درس	ders	دَرس		N;NOM;INDF;SG
ders	الطبقة	ders	طَبَقَة		N;NOM;DEF;SG
ders	الفصل	ders	فَصل		N;NOM;DEF;SG
ders	صف	ders	صَفّ		N;NOM;INDF;SG
ders	الصف	ders	صَفّ		N;NOM;DEF;SG
ders	الفئة	ders	فِئَة		N;NOM;DEF;SG
kurt	كورت	kurt	كُورت		
kurt	كرت	kurt	كَرَى		
kurt	كيرت	kurt	كَيَّر		
kurt	الذئب	kurt	ذِئب		N;NOM;DEF;SG
kurt	ذئب	kurt	ذَابّ		
kurt	ولف	kurt	ولف		
kurt	وولف	kurt	وولف		
mahmut	محمود	mahmut	محمود	PROPN;NOM;SG;3	
bölümleri	الفصول	bölüm	فَصل	N;ACC;PL;3	N;NOM;DEF;PL
bölümleri	فصول	bölüm	فَصل	N;ACC;PL;3	N;NOM;INDF;PL
bölümleri	الحلقات	bölüm	حَلقَة	N;ACC;PL;3	N;NOM;DEF;PL
bölümleri	حلقات	bölüm	حَلقَة	N;ACC;PL;3	N;NOM;INDF;PL
bölümleri	الاقسام	bölüm	قِسم	N;ACC;PL;3	N;NOM;DEF;PL
bölümleri	اقسام	bölüm	قِسم	N;ACC;PL;3	N;NOM;INDF;PL
sistemleri	نظم	sistem	نَظَّم	N;ACC;PL;3	V;PFV;MASC;SG;3;ACT
sistemleri	الانظمة	sistem	نِظَام	N;ACC;PL;3	N;NOM;DEF;PL
sistemleri	النظم	sistem	نِظَام	N;ACC;PL;3	N;NOM;DEF;PL
sistemleri	انظمة	sistem	نِظَام	N;ACC;PL;3	N;NOM;INDF;PL
ağaç	خشب	ağaç	خشب		N;NOM;INDF;SG
ağaç	وود	ağaç	وَودَ		
ağaç	الخشب	ağaç	خَشَب		N;NOM;DEF;SG
ağaç	الحطب	ağaç	حَطب		N;NOM;DEF;SG
ağaç	الشجرة	ağaç	شُجرَة		N;NOM;DEF;SG
ağaç	شجرة	ağaç	شُجرَة		N;NOM;INDF;SG
ağaç	اشجار	ağaç	شَجَر		N;NOM;INDF;PL
ağaç	الشجر	ağaç	شَجر		N;NOM;DEF;SG
ağaç	شجر	ağaç	شَجر		N;NOM;INDF;SG
ağaç	الاشجار	ağaç	شَجَر		N;NOM;DEF;PL
gürcistan	جورجيا	gürcistan	جُورجِيَا	PROPN;NOM;SG;3	
hareketler	الحركة	hareket	حَرَكَة	N;NOM;PL;3	N;NOM;DEF;SG
hareketler	حركة	hareket	حَرَكَة	N;NOM;PL;3	N;NOM;INDF;SG
hareketler	النشاط	hareket	نَشَاط	N;NOM;PL;3	N;NOM;DEF;SG
hareketler	نشاط	hareket	نَشَاط	N;NOM;PL;3	N;NOM;INDF;SG
birleşmiş	موحدة	birleş	مُوَحَّد		ADJ;NOM;INDF;FEM;SG
birleşmiş	موحد	birleş	مُوَحَّد		ADJ;NOM;INDF;MASC;SG
birleşmiş	متحدين	birleş	مُتَّحِد		ADJ;ACC;INDF;MASC;PL
birleşmiş	المتحدة	birleş	مُتَّحِد		ADJ;NOM;DEF;FEM;SG
birleşmiş	متحدة	birleş	مُتَّحِد		ADJ;NOM;INDF;FEM;SG
gelecek	مستقبل	gel	مُستَقبَل		N;NOM;INDF;SG
gelecek	مستقبلا	gel	مُستَقبَل		N;ACC;INDF;SG
gelecek	المستقبل	gel	مُستَقبَل		N;NOM;DEF;SG
piyano	بيانو	piyano	بيانو		
piyano	البيانو	piyano	بِيَانُو		N;NOM;DEF;SG
state	الولاية	state	وِلَايَة		N;NOM;DEF;SG
state	دولة	state	دَولَة		N;NOM;INDF;SG
state	ولاية	state	وِلَايَة		N;NOM;INDF;SG
state	الحالة	state	حَالَة		N;NOM;DEF;SG
state	الدولة	state	دَولَة		N;NOM;DEF;SG
başkent	العاصمة	başkent	عَاصِمَة		N;NOM;DEF;SG
başkent	عاصمة	başkent	عَاصِمَة		N;NOM;INDF;SG
tank	تانك	tank	تَانك		
tank	دبابة	tank	دَبَّابَة		N;NOM;INDF;SG
tank	الدبابة	tank	دَبَّابَة		N;NOM;DEF;SG
tank	خزان	tank	خَزَّان		N;NOM;INDF;SG
edebiyatı	الادب	edebiyat	أَدَب	N;ACC;SG;3	N;NOM;DEF;SG
edebiyatı	ادب	edebiyat	أَدَب	N;ACC;SG;3	
kaydı	تسجيل	kay	تَسجِيل		N;NOM;INDF;SG
kaydı	التسجيل	kay	تَسجِيل		N;NOM;DEF;SG
kaydı	يسجل	kay	سَجَّل		V;IPFV;MASC;IND;SG;3;FIN;ACT
alexander	الكسندر	alerander	أَلِكسَندر	PROPN;NOM;SG;3	
alexander	اليكساندر	alerander	اليكساندر	PROPN;NOM;SG;3	
alexander	الكساندر	alerander	كُسَانُدر	PROPN;NOM;SG;3	
alexander	الاسكندر	alerander	الاسكندر	PROPN;NOM;SG;3	N;NOM;DEF;SG
filmleri	الافلام	film	فِيلم	N;ACC;PL;3	N;NOM;DEF;PL
filmleri	افلام	film	فِيلم	N;ACC;PL;3	N;NOM;INDF;PL
yazılı	كتب	yazılı	كَتَب		V;PFV;MASC;SG;3;ACT
yazılı	مكتوب	yazılı	مَكتُوب		
yazılı	خطية	yazılı	خَطِّيّ		ADJ;NOM;INDF;FEM;SG
yazılı	مكتوبة	yazılı	مَكتُوب		ADJ;NOM;INDF;FEM;SG
tepe	تل	tepe	تَلّ		
tepe	هيل	tepe	هيل		
tepe	التل	tepe	تَلّ		N;NOM;DEF;SG
tepe	تلة	tepe	تِلَّة		
tepe	تلال	tepe	تَلَال		N;NOM;INDF;PL
tepe	التلال	tepe	تَلَال		N;NOM;DEF;PL
alma	الما	al	أَلِمّ		
oscar	اوسكار	oscar	اوسكار		
oscar	الاوسكار	oscar	وِسكَار		
servisi	الخدمات	servi	خِدمَة	N;NOM;SG;3	N;NOM;DEF;PL
kelime	كلمة	kelim	كَلِمَة		N;NOM;INDF;SG
kelime	الكلمة	kelim	كَلِمَة		N;NOM;DEF;SG
kelime	المفردات	kelim	مُفرَدَات		ADJ;NOM;DEF;FEM;PL
kelime	الكلمات	kelim	كَلِمَة		N;NOM;DEF;PL
kelime	كلمات	kelim	كَلِمَة		N;NOM;INDF;PL
miktarda	المبالغ	miktar	مَبلَغ	N;ESS;SG;3	N;NOM;DEF;PL
miktarda	مبالغ	miktar	مَبلَغ	N;ESS;SG;3	N;NOM;INDF;SG
miktarda	كميات	miktar	كَمِّيَّة	N;ESS;SG;3	N;NOM;INDF;PL
miktarda	الكميات	miktar	كَمِّيَّة	N;ESS;SG;3	N;NOM;DEF;PL
evet	حاضر	evet	حَاضِر	N;NOM;SG;3	
evet	اجل	evet	اجل	N;NOM;SG;3	
evet	بلى	evet	بَلَى	N;NOM;SG;3	
evet	نعم	evet	نَعَم	N;NOM;SG;3	
evet	اجل	evet	اجل	N;NOM;SG;3	
evet	نعم	evet	نَعَم	N;NOM;SG;3	
göl	ليك	göl	لَيك		
göl	بحيرة	göl	بُحَيرَة		N;NOM;INDF;SG
göl	لايك	göl	لَايك		
göl	البحيرة	göl	بُحَيرَة		N;NOM;DEF;SG
antonio	انتونيو	antonio	أَنتُونِيُو	PROPN;NOM;SG;3	
antonio	انطونيو	antonio	أَنطُونِيُو	PROPN;NOM;SG;3	
filistin	فلسطين	filistin	فِلَسطِين		N;NOM;INDF;SG
filistin	فلسطينية	filistin	فِلَسطِينِيّ		ADJ;NOM;INDF;FEM;SG
filistin	الفلسطيني	filistin	فِلَسطِينِيّ		N;NOM;DEF;SG
filistin	فلسطيني	filistin	فِلَسطِينِيّ		N;NOM;INDF;SG
sıcaklık	الحراره	sıcaklık	حَرَارُه	N;NOM;SG;3	
sıcaklık	هيت	sıcaklık	هيت	N;NOM;SG;3	
ürünleri	منتجات	ürün	مُنتَج	N;ACC;PL;3	N;NOM;INDF;PL
ürünleri	المنتجات	ürün	مُنتَج	N;ACC;PL;3	N;NOM;DEF;PL
aracılığıyla	عبر	aracılık	عَبرَ	N;INS;SG;3	ADP;ACC
aracılığıyla	فيا	aracılık	فِيَا	N;INS;SG;3	
aracılığıyla	عبر	aracılık	عَبرَ	N;INS;SG;3	ADP;ACC
aracılığıyla	خلال	aracılık	خِلَالَ	N;INS;SG;3	ADP;ACC
konuk	ضيف	konuk	ضِيف	N;NOM;SG;3	
konuk	الضيوف	konuk	ضِيف	N;NOM;SG;3	N;NOM;DEF;PL
geç	اواخر	geç	آخِر		ADJ;NOM;INDF;MASC;PL
geç	تاخر	geç	تَأَخُّر		N;NOM;INDF;SG
geç	متاخرة	geç	مُتَاخِر		ADJ;NOM;INDF;FEM;SG
geç	متاخر	geç	مُتَأَخِّر		ADJ;NOM;INDF;MASC;SG
geç	تخطى	geç	تَخَطَّى		V;PFV;MASC;SG;3;ACT
geç	سكيب	geç	سَكِيب		
geç	تخطي	geç	تخطي		
adım	خطوة	adım	خَطوَة		N;NOM;INDF;SG
adım	الخطوة	adım	خَطوَة		N;NOM;DEF;SG
bronz	البرونز	bronz	بُرُونز		N;NOM;DEF;SG
münih	ميونيخ	münih	مِيُونِيخ	PROPN;NOM;SG;3	
münih	ميونخ	münih	ميونخ	PROPN;NOM;SG;3	
brown	اسمر	brown	أَسمَر		
brown	البني	brown	بَنِّيّ		N;NOM;DEF;SG
brown	بنية	brown	بِنيَة		N;NOM;INDF;SG
brown	براون	brown	براون		
parlak	لامع	parlak	لَامِع		ADJ;NOM;INDF;MASC;SG
parlak	ساطع	parlak	سَاطَع		
parlak	المشرق	parlak	مَشرِق		N;NOM;DEF;SG
parlak	مشرق	parlak	مَشرِق		N;NOM;INDF;SG
parlak	اللامعة	parlak	لَامِعَة		ADJ;NOM;DEF;FEM;SG
coğrafya	الجغرافيا	coğrafya	جُغرَافِيَا		
coğrafya	جغرافيا	coğrafya	جُغرَافِيّ		ADJ;ACC;INDF;MASC;SG
coğrafya	الجغرافية	coğrafya	جُغرَافِيّ		ADJ;NOM;DEF;FEM;SG
coğrafya	جغرافية	coğrafya	جُغرَافِيَّة		ADJ;NOM;INDF;FEM;SG
scott	سكوت	scott	سَكَو		
güncel	التيار	güncel	تَيَّار		N;NOM;DEF;SG
güncel	تيار	güncel	تَيَّار		N;NOM;INDF;SG
güncel	الحالي	güncel	حَالِيّ		ADJ;NOM;DEF;MASC;SG
şeyh	الشيخ	şeyh	شَيخ		N;NOM;DEF;SG
şeyh	شيخ	şeyh	شَيخ		N;NOM;INDF;SG
şeyh	الشيخ	şeyh	شَيخ		N;NOM;DEF;SG
toprakları	اراضي	toprak	أَرض	N;ACC;PL;3	N;NOM;INDF;PL
toprakları	اراض	toprak	أَرض	N;ACC;PL;3	N;NOM;INDF;PL
toprakları	الاراضي	toprak	أَرض	N;ACC;PL;3	N;NOM;DEF;PL
toprakları	التربة	toprak	تَرَبَّة	N;ACC;PL;3	N;NOM;DEF;SG
yazılım	برمجيات	yazılım	بَرمَجِيّ	N;NOM;SG;3	N;NOM;INDF;PL
yazılım	البرمجيات	yazılım	بَرمَجِيّ	N;NOM;SG;3	
yazılım	برامج	yazılım	بَرنَامَج	N;NOM;SG;3	N;NOM;INDF;PL
yazılım	البرامج	yazılım	بَرنَامَج	N;NOM;SG;3	N;NOM;DEF;PL
topluluk	مجتمع	topluluk	مُجتَمَع		N;NOM;INDF;SG
