खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
ब्लेड	pales	ब्लेड	pale	N;NOM;MASC;SG;3	N;FEM;PL
ब्लेड	lames	ब्लेड	lame	N;NOM;MASC;SG;3	N;FEM;PL
सदिश	vecteurs	सदिश	vecteur	N;NOM;MASC;SG;3	N;MASC;PL
स्थगित	suspend	स्थगित	suspend	ADJ	V;IND;SG;3;PRS;FIN
स्थगित	suspendre	स्थगित	suspendre	ADJ	V;NFIN
स्थगित	reportée	स्थगित	reporter	ADJ	V;FEM;SG;PST;V.PTCP
स्थगित	reporté	स्थगित	reporter	ADJ	V;MASC;SG;PST;V.PTCP
स्थगित	reportés	स्थगित	reporter	ADJ	V;MASC;PL;PST;V.PTCP
स्थगित	différé	स्थगित	différer	ADJ	V;MASC;SG;PST;V.PTCP
पावन	saintes	पावन	saint		ADJ;FEM;PL
पावन	sainte	पावन	saint		ADJ;FEM;SG
पावन	sacré	पावन	sacrer		V;MASC;SG;PST;V.PTCP
पावन	saint	पावन	saint		PROPN
श्रीनिवास	srinivasa	श्रीनिवास	srinivasa	PROPN;NOM;MASC;SG;3	PROPN
बैले	ballet	बैले	ballet	PROPN;NOM;MASC;SG;3	N;MASC;SG
बसंत	spring	बसंत	spring	PROPN;NOM;MASC;SG;3	PROPN
बसंत	printemps	बसंत	printemps	PROPN;NOM;MASC;SG;3	N;MASC;SG
बसंत	ressort	बसंत	ressort	PROPN;NOM;MASC;SG;3	N;MASC;SG
शर्ट	chandails	शर्ट	chandail	N;NOM;FEM;SG;3	N;MASC;PL
शर्ट	maillots	शर्ट	maillot	N;NOM;FEM;SG;3	N;MASC;PL
शर्ट	chemises	शर्ट	chemise	N;NOM;FEM;SG;3	N;FEM;PL
तेरी	teri	तेरी	teri		PROPN
सेंसर	sondes	सेंसर	sonde	N;NOM;MASC;SG;3	N;FEM;PL
सेंसर	capteurs	सेंसर	capteur	N;NOM;MASC;SG;3	N;MASC;PL
सेंसर	détecteurs	सेंसर	détecteur	N;NOM;MASC;SG;3	N;MASC;PL
स्टैंड	stands	स्टैंड	stand	N;NOM;MASC;SG;3	N;MASC;PL
स्टैंड	gradins	स्टैंड	gradin	N;NOM;MASC;SG;3	N;MASC;PL
उपनिवेशों	colonie	उपनिवेश	colonie	N;ACC;MASC;PL;3	N;FEM;SG
बहुवचन	plurielle	बहुवचन	pluriel	N;NOM;MASC;SG;3	ADJ;FEM;SG
एकाधिकार	monopolistique	एकाधिकार	monopolistique	N;NOM;MASC;SG;3	ADJ;MASC;SG
एकाधिकार	monopoles	एकाधिकार	monopole	N;NOM;MASC;SG;3	N;MASC;PL
एकदिवसीय	odi	एकदिवसीय	odi	N;NOM;MASC;SG;3	PROPN
मिसौरी	missouri	मिसौरी	missourir	PROPN;NOM;MASC;SG;3	N;MASC;SG
बहुराष्ट्रीय	multinational	बहुराष्ट्रीय	multinational	PROPN;NOM;SG;3	ADJ;MASC;SG
बहुराष्ट्रीय	multinationale	बहुराष्ट्रीय	multinational	PROPN;NOM;SG;3	ADJ;FEM;SG
मारी	marie	मार	marier	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
मारी	mari	मार	mari	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
कार्गो	cargaison	कार्ग	cargaison	N;NOM;MASC;PL;3	N;FEM;SG
कार्गो	fret	कार्ग	fret	N;NOM;MASC;PL;3	N;MASC;SG
आमेर	amer	आमेर	amer	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
दारा	darius	दारा	dariu	PROPN;NOM;MASC;SG;3	PROPN
दारा	dara	दारा	dara	PROPN;NOM;MASC;SG;3	PROPN
फ़्रांसीसी	francais	फ़्रांसीसी	francais	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
फ़्रांसीसी	française	फ़्रांसीसी	français	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
फ़्रांसीसी	français	फ़्रांसीसी	français	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
फ़्रांसीसी	françaises	फ़्रांसीसी	français	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
जादूगर	magiciens	जादूगर	magicien	N;NOM;MASC;SG;3	N;MASC;PL
जादूगर	magiciens	जादूगर	magicien	N;NOM;MASC;SG;3	N;MASC;PL
सच्चा	vrais	सच्चा	vrai	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
सच्चा	true	सच्चा	true	PROPN;NOM;MASC;SG;3	N;MASC;SG
सच्चा	vraie	सच्चा	vrai	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
सच्चा	vrai	सच्चा	vrai	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
सच्चा	véritable	सच्चा	véritable	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
वोल्ट	volts	वोल्ट	volt	N;NOM;MASC;SG;3	N;MASC;PL
अमोनिया	ammoniaque	अमोनिया	ammoniaque	N;NOM;MASC;SG;3	ADJ;MASC;SG
डू	doo	डू	doo	N;NOM;MASC;SG;3	
विधायिका	législatif	विधायिका	législatif	N;NOM;FEM;SG;3	ADJ;MASC;SG
वीणा	veena	वीणा	veener	PROPN;NOM;MASC;SG;3	PROPN
उल्टा	inverse	उल्टा	inverse		PROPN
उल्टा	inverser	उल्टा	inverser		V;NFIN
उल्टा	inversé	उल्टा	inverser		V;MASC;SG;PST;V.PTCP
उल्टा	inversés	उल्टा	inverser		V;MASC;PL;PST;V.PTCP
उल्टा	inversées	उल्टा	inverser		V;FEM;PL;PST;V.PTCP
उल्टा	inversée	उल्टा	inverser		V;FEM;SG;PST;V.PTCP
उल्टा	inversé	उल्टा	inverser		V;MASC;SG;PST;V.PTCP
एलेन	hélène	एलेन	hélène	PROPN;NOM;MASC;SG;3	N;FEM;SG
एलेन	ellen	एलेन	ellen	PROPN;NOM;MASC;SG;3	PROPN
किराए	louer	किराया	louer	N;NOM;MASC;SG;3	V;NFIN
एस्टन	aston	एस्टन	aston	PROPN;NOM;MASC;SG;3	N;MASC;SG
मांसपेशी	musculaire	मांसपेशी	musculaire	N;NOM;FEM;SG;3	ADJ;MASC;SG
मांसपेशी	muscles	मांसपेशी	muscle	N;NOM;FEM;SG;3	N;MASC;PL
मांसपेशी	musclé	मांसपेशी	muscler	N;NOM;FEM;SG;3	ADJ;MASC;SG
विषाक्त	toxique	विषाक्त	toxique	N;NOM;MASC;SG;3	ADJ;MASC;SG
विषाक्त	toxiques	विषाक्त	toxique	N;NOM;MASC;SG;3	ADJ;MASC;PL
तूफ़ान	orages	तूफ़ान	orage	N;NOM;MASC;SG;3	N;MASC;PL
तूफ़ान	tempêtes	तूफ़ान	tempête	N;NOM;MASC;SG;3	N;FEM;PL
तूफ़ान	typhons	तूफ़ान	typhon	N;NOM;MASC;SG;3	N;MASC;PL
तूफ़ान	storm	तूफ़ान	storm	N;NOM;MASC;SG;3	
कड़ा	serrée	कड़ा	serré	ADJ;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
कड़ा	serré	कड़ा	serré	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
कड़ा	serrés	कड़ा	serrer	ADJ;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
कड़ा	difficiles	कड़ा	difficile	ADJ;NOM;MASC;SG	ADJ;MASC;PL
कड़ा	hard	कड़ा	hard	ADJ;NOM;MASC;SG	N;MASC;SG
बदली	nuageux	बदल	nuageux	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;MASC;SG
एंजाइम	enzymatique	एंजाइम	enzymatique	N;NOM;MASC;SG;3	ADJ;MASC;SG
मूसा	moïse	मूसा	moïse	PROPN;NOM;MASC;SG;3	N;MASC;SG
मूसा	moses	मूसा	mose	PROPN;NOM;MASC;SG;3	PROPN
मूसा	musa	मूसा	musa	PROPN;NOM;MASC;SG;3	PROPN
पिंक	rose	पिंक	rose	PROPN;NOM;FEM;SG;3	ADJ;FEM;SG
पिंक	rosé	पिंक	rosé	PROPN;NOM;FEM;SG;3	V;MASC;SG;PST;V.PTCP
बैरी	barry	बैरी	barry		PROPN
बैरी	antagoniste	बैरी	antagoniste		ADJ;MASC;SG
राजन	rajan	राजन	rajan	PROPN;NOM;MASC;SG;3	PROPN
चलाना	exec	चला	exec	V;MASC;NFIN;ACT	
चलाना	exécution	चला	exécution	V;MASC;NFIN;ACT	N;FEM;SG
मैथ्यू	matthew	मैथ्यू	matthew	PROPN;NOM;MASC;SG;3	PROPN
मैथ्यू	mathieu	मैथ्यू	mathieu	PROPN;NOM;MASC;SG;3	PROPN
मैथ्यू	matthieu	मैथ्यू	matthieu	PROPN;NOM;MASC;SG;3	PROPN
षड्यंत्र	complots	षड्यंत्र	complot	N;NOM;MASC;SG;3	N;MASC;PL
प्रशस्त	pavée	प्रशस्त	paver	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
अंडमान	andaman	अंडमान	andaman	PROPN;NOM;MASC;SG;3	PROPN
दूषित	corrompu	दूषित	corrompre	ADP	V;MASC;SG;PST;V.PTCP
दूषित	corrompue	दूषित	corrompre	ADP	V;FEM;SG;PST;V.PTCP
दूषित	corrompues	दूषित	corrompre	ADP	V;FEM;PL;PST;V.PTCP
दूषित	corrompus	दूषित	corrompre	ADP	V;MASC;PL;PST;V.PTCP
पश्च	arrière	पश्च	arrière		N;MASC;SG
पश्च	arriere	पश्च	arriere		N;MASC;SG
पश्च	arrières	पश्च	arrière		ADJ;MASC;PL
मिर्ज़ा	mirza	मिर्ज़ा	mirza	PROPN;NOM;MASC;SG;3	PROPN
क्रांतिकारियों	révolutionnaires	क्रांतिकारी	révolutionnaire	N;ACC;MASC;PL;3	ADJ;MASC;PL
हीरे	diamants	हीरा	diamant	N;NOM;MASC;SG;3	N;MASC;PL
उषा	usha	उषा	usha	PROPN;NOM;FEM;SG;3	PROPN
नास्तिक	athée	नास्तिक	athée	N;NOM;MASC;SG;3	ADJ;MASC;SG
जासूसी	espionner	जासूसी	espionner	N;NOM;MASC;SG;3	V;NFIN
जासूसी	épier	जासूसी	épier	N;NOM;MASC;SG;3	V;NFIN
प्रचारित	promue	प्रचारित	promouvoir	ADJ	V;FEM;SG;PST;V.PTCP
प्रचारित	promus	प्रचारित	promousoir	ADJ	V;MASC;PL;PST;V.PTCP
प्रचारित	promu	प्रचारित	promouvoir	ADJ	V;MASC;SG;PST;V.PTCP
प्रचारित	promues	प्रचारित	promoe	ADJ	V;FEM;PL;PST;V.PTCP
प्रवर्धक	amplificateurs	प्रवर्धक	amplificateur	N;NOM;MASC;SG;3	N;MASC;PL
डायोड	diodes	डायोड	diode	N;NOM;MASC;SG;3	N;FEM;PL
अमूर्त	abstraite	अमूर्त	abstrait	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
अमूर्त	abstrait	अमूर्त	abstrait	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अमूर्त	abstraits	अमूर्त	abstrait	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
अमूर्त	résumé	अमूर्त	résumé	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
सौभाग्य	heureusement	सौभाग्य	heureusement	PROPN;NOM;MASC;SG;3	ADV
सौभाग्य	fortunes	सौभाग्य	fortune	PROPN;NOM;MASC;SG;3	N;FEM;PL
सौभाग्य	fortune	सौभाग्य	fortune	PROPN;NOM;MASC;SG;3	N;FEM;SG
सौभाग्य	fortune	सौभाग्य	fortune	PROPN;NOM;MASC;SG;3	N;FEM;SG
ब्रायंट	bryant	ब्रायंट	bryer	N;NOM;MASC;SG;3	V;PRS;V.PTCP
गैरी	garry	गैरी	garry	PROPN;NOM;MASC;SG;3	PROPN
गैरी	gary	गैरी	gary	PROPN;NOM;MASC;SG;3	PROPN
कुश	kush	कुश	kush		PROPN
साइमन	simon	साइमन	simon	PROPN;NOM;MASC;SG;3	N;MASC;SG
कार्बोनेट	carbonate	कार्बोनेट	carbonate	N;NOM;MASC;PL;3	N;MASC;SG
हिब्रू	hébreu	हिब्रू	hébreu	PROPN;NOM;MASC;SG;3	N;MASC;SG
हिब्रू	hébreux	हिब्रू	hébreux	PROPN;NOM;MASC;SG;3	N;MASC;PL
हिब्रू	hébraïque	हिब्रू	hébraïque	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
बर्ड	oiseau	बर्ड	oiseau	PROPN;NOM;FEM;SG;3	N;MASC;SG
बर्ड	oiseaux	बर्ड	oiseau	PROPN;NOM;FEM;SG;3	N;MASC;PL
बर्ड	bird	बर्ड	bird	PROPN;NOM;FEM;SG;3	PROPN
तैराकी	nager	तैराकी	nager	N;NOM;MASC;SG;3	V;NFIN
हक	huck	हक	huck	N;NOM;MASC;SG;3	PROPN
हक	haq	हक	haq	N;NOM;MASC;SG;3	PROPN
संस्थागत	institutionnelles	संस्थागत	institutionnel	N;NOM;3	ADJ;FEM;PL
संस्थागत	institutionnel	संस्थागत	institutionnel	N;NOM;3	ADJ;MASC;SG
संस्थागत	institutionnelle	संस्थागत	institutionnel	N;NOM;3	ADJ;FEM;SG
संस्थागत	institutionnels	संस्थागत	institutionnel	N;NOM;3	ADJ;MASC;PL
ठंड	froide	ठंड	froid	N;NOM;FEM;SG;3	ADJ;FEM;SG
ठंड	froid	ठंड	froid	N;NOM;FEM;SG;3	ADJ;MASC;SG
ठंड	froids	ठंड	froid	N;NOM;FEM;SG;3	ADJ;MASC;PL
चूहे	souris	चूह	souris	V;PFV;MASC;SG;V.PTCP;ACT	N;FEM;SG
चूहे	rats	चूह	rat	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC;PL
लीड	prospects	लीड	prospect		N;MASC;PL
लीड	plomb	लीड	plomb		N;MASC;SG
परमार	parmar	परमार	parmar	PROPN;NOM;MASC;SG;3	PROPN
नेहरु	nehru	नेहरु	nehru	PROPN;NOM;MASC;SG;3	PROPN
पंकज	pankaj	पंकज	pankaj	PROPN;NOM;MASC;SG;3	PROPN
संवेदना	condoléances	संवेदना	condoléance	N;NOM;FEM;SG;3	N;FEM;PL
सॉफ़्टवेयर	logiciels	सॉफ़्टवेयर	logiciel	N;NOM;MASC;SG;3	N;MASC;PL
परवाह	soins	परवाह	soin	N;NOM;FEM;SG;3	N;MASC;PL
बहुविकल्पी	homonymie	बहुविकल्पी	homonymie	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
महेन्द्र	mahendra	महेंद्र	mahendra	PROPN;NOM;MASC;SG;3	PROPN
बमबारी	bombardements	बमबारी	bombardement	N;NOM;FEM;SG;3	N;MASC;PL
बमबारी	bombes	बमबारी	bombe	N;NOM;FEM;SG;3	N;FEM;PL
कठपुतली	marionnettes	कठपुतली	marionnette	N;NOM;FEM;SG;3	N;FEM;PL
अधीनस्थ	subalterne	अधीनस्थ	subalterner	N;NOM;MASC;SG;3	ADJ;MASC;SG
अधीनस्थ	subordonnée	अधीनस्थ	subordonner	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
अधीनस्थ	subordonné	अधीनस्थ	subordonner	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
अधीनस्थ	subordonnés	अधीनस्थ	subordonner	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
ग्रीनहाउस	serres	ग्रीनहाउस	serre	N;NOM;MASC;SG;3	N;FEM;PL
कैम्प	camps	कैम्प	camp	N;NOM;MASC;SG;3	N;MASC;PL
कैम्प	camps	कैम्प	camp	N;NOM;MASC;SG;3	N;MASC;PL
कैम्प	campements	कैम्प	campement	N;NOM;MASC;SG;3	N;MASC;PL
किस्में	variété	कौन्म	variété	N;NOM;FEM;PL;3	N;FEM;SG
विषाक्तता	empoisonner	विषाक्तता	empoisonner	N;NOM;FEM;SG;3	V;NFIN
विषाक्तता	intoxications	विषाक्तता	intoxication	N;NOM;FEM;SG;3	N;FEM;PL
खोजी	prospection	खोज	prospection	V;SG;V.PTCP;ACT	N;FEM;SG
खोजी	exploration	खोज	exploration	V;SG;V.PTCP;ACT	N;FEM;SG
चिंतित	angoissé	चिंतित	angoisser	ADJ	V;MASC;SG;PST;V.PTCP
चिंतित	préoccupé	चिंतित	préoccuper	ADJ	V;MASC;SG;PST;V.PTCP
चिंतित	préoccupée	चिंतित	préoccuper	ADJ	V;FEM;SG;PST;V.PTCP
चिंतित	concerné	चिंतित	concerner	ADJ	V;MASC;SG;PST;V.PTCP
चिंतित	concernés	चिंतित	concerner	ADJ	V;MASC;PL;PST;V.PTCP
चिंतित	inquiété	चिंतित	inquiéter	ADJ	V;MASC;SG;PST;V.PTCP
स्टारबक्स	starbucks	स्टारबक्स	starbuck	N;NOM;MASC;SG;3	PROPN
जॉर्डन	jordanie	जॉर्डन	jordanie	PROPN;NOM;MASC;SG;3	N;FEM;SG
जॉर्डन	jourdain	जॉर्डन	jourdain	PROPN;NOM;MASC;SG;3	PROPN
जॉर्डन	jordanienne	जॉर्डन	jordanien	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
जॉर्डन	jordan	जॉर्डन	jordan	PROPN;NOM;MASC;SG;3	PROPN
एथलीट	athlètes	एथलीट	athlète	PROPN;NOM;MASC;SG;3	N;MASC;PL
एथलीट	athlète	एथलीट	athlète	PROPN;NOM;MASC;SG;3	N;MASC;SG
एथलीट	athlètes	एथलीट	athlète	PROPN;NOM;MASC;SG;3	N;MASC;PL
एथलीट	sportifs	एथलीट	sportif	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
मनीष	manish	मनीष	manish	PROPN;NOM;MASC;SG;3	PROPN
विधिक	juridique	विधिक	juridique	N;NOM;MASC;SG;3	ADJ;MASC;SG
विधिक	légal	विधिक	légal	N;NOM;MASC;SG;3	ADJ;MASC;SG
विधिक	légales	विधिक	légal	N;NOM;MASC;SG;3	ADJ;FEM;PL
विधिक	légale	विधिक	légal	N;NOM;MASC;SG;3	ADJ;FEM;SG
असुरक्षित	insécurité	असुरक्षित	insécurité	ADJ;NOM	N;FEM;SG
रेखीय	linéaires	रेखीय	linéaire		ADJ;MASC;PL
रेखीय	linéaire	रेखीय	linéaire		ADJ;MASC;SG
ऑपरेटर	exploitant	ऑपरेटर	exploiter	N;NOM;MASC;SG;3	V;PRS;V.PTCP
ऑपरेटर	exploitants	ऑपरेटर	exploitant	N;NOM;MASC;SG;3	N;MASC;PL
ऑपरेटर	opérateurs	ऑपरेटर	opérateur	N;NOM;MASC;SG;3	N;MASC;PL
नल	nul	नल	nul		PRO
नल	null	नल	null		
नल	nuls	नल	nul		ADJ;MASC;PL
नल	nulle	नल	nul		ADJ;FEM;SG
नल	nulles	नल	nul		ADJ;FEM;PL
कुक	cuisiner	कुक	cuisiner	PROPN;NOM;MASC;SG;3	V;NFIN
कुक	cuisinier	कुक	cuisinier	PROPN;NOM;MASC;SG;3	N;MASC;SG
कुक	cuire	कुक	cuire	PROPN;NOM;MASC;SG;3	V;NFIN
कुक	cook	कुक	cook	PROPN;NOM;MASC;SG;3	PROPN
कुक	cuisinière	कुक	cuisinier	PROPN;NOM;MASC;SG;3	N;FEM;SG
मनी	monnaie	मनी	monnaie		N;FEM;SG
मनी	argent	मनी	argent		N;MASC;SG
मनी	mani	मनी	mani		
चढ़	rouille	चढ	rouille	V;ACT	N;FEM;SG
सेक्टर	sectoriel	सेक्टर	sectoriel	N;NOM;MASC;SG;3	ADJ;MASC;SG
सेक्टर	secteurs	सेक्टर	secteur	N;NOM;MASC;SG;3	N;MASC;PL
महासागरीय	océanie	महासागरीय	océanie	N;NOM;3	PROPN
क्रियाशील	active	क्रियाशील	actif		ADJ;FEM;SG
क्रियाशील	actif	क्रियाशील	actif		ADJ;MASC;SG
क्रियाशील	actives	क्रियाशील	actif		ADJ;FEM;PL
क्रियाशील	actifs	क्रियाशील	actif		ADJ;MASC;PL
क्रियाशील	adjectif	क्रियाशील	adjectif		N;MASC;SG
क्योकि	parce	क्योकि	parce		ADV
क्योकि	car	क्योकि	car		CONJ
सभ्य	décentes	सभ्य	décent		ADJ;FEM;PL
सभ्य	décente	सभ्य	décent		ADJ;FEM;SG
सभ्य	décent	सभ्य	décent		ADJ;MASC;SG
सभ्य	décents	सभ्य	décent		ADJ;MASC;PL
दरिया	darya	दरिया	darya	PROPN;NOM;MASC;SG;3	PROPN
अनजाने	inconsciemment	अनजाना	inconsciemment	N;NOM;MASC;SG;3	ADV
नोट्स	remarques	नोट्स	remarque	N;NOM;MASC;SG;3	N;FEM;PL
नोट्स	notes	नोट्स	note	N;NOM;MASC;SG;3	N;FEM;PL
विलास	vilas	विलास	vilas	PROPN;NOM;MASC;SG;3	PROPN
कहें	say	कह	say	V;SBJV;PL;FIN;ACT	
कहें	dis	कह	dire	V;SBJV;PL;FIN;ACT	INTJ
सुधीर	sudhir	सुधीर	sudhir	PROPN;NOM;MASC;SG;3	PROPN
सामी	sami	सामी	sami	PROPN;NOM;MASC;SG;3	PROPN
सामी	samis	सामी	sami	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
सामी	same	सामी	same	PROPN;NOM;MASC;SG;3	PROPN
धर्मशास्त्र	théologique	धर्मशास्त्र	théologique	N;NOM;MASC;SG;3	ADJ;MASC;SG
सीखा	apprises	सीख	apprise	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
आर्क	arc	आर्क	arc		N;MASC;SG
ट्रम्प	atout	ट्रम्प	atout	PROPN;NOM;MASC;SG;3	N;MASC;SG
ट्रम्प	trump	ट्रम्प	trump	PROPN;NOM;MASC;SG;3	PROPN
मौद्रिक	monétaire	मौद्रिक	monétaire	N;NOM;FEM;SG;3	ADJ;MASC;SG
यीशु	jésus	यीशु	jésus	PROPN;NOM;MASC;SG;3	N;MASC;SG
यीशु	jesus	यीशु	jesus	PROPN;NOM;MASC;SG;3	PROPN
चश्मे	lunettes	चश्मा	lunette	N;NOM;MASC;SG;3	N;FEM;PL
चश्मे	lunettes	चश्मा	lunette	N;NOM;MASC;SG;3	N;FEM;PL
चश्मे	lunettes	चश्मा	lunette	N;NOM;MASC;SG;3	N;FEM;PL
चश्मे	verres	चश्मा	verre	N;NOM;MASC;SG;3	N;MASC;PL
प्लूटो	pluton	प्लूटो	pluton	N;NOM;MASC;SG;3	PROPN
डेनियल	daniel	डेनियल	daniel	PROPN;NOM;MASC;SG;3	PROPN
डेनियल	danilo	डेनियल	danilo	PROPN;NOM;MASC;SG;3	PROPN
थोक	gros	थोक	gros	N;NOM;MASC;SG;3	ADJ;MASC;SG
थोक	grossistes	थोक	grossiste	N;NOM;MASC;SG;3	N;MASC;PL
पैरिस	paris	पैरिस	pari	PROPN;NOM;MASC;SG;3	N;MASC;PL
कामयाबी	success	कामयाबी	success	N;NOM;FEM;SG;3	ADJ;FEM;SG
प्रोटोटाइप	prototypes	प्रोटोटाइप	prototype	N;NOM;MASC;SG;3	N;MASC;PL
सिलसिले	silas	सिलसिला	silas	N;NOM;MASC;PL;3	PROPN
कुरु	kuru	कुरु	kuru	PROPN;NOM;MASC;SG;3	PROPN
फर्क	distinguer	फर्क	distinguer		V;NFIN
फर्क	différence	फर्क	différence		N;FEM;SG
इयान	ian	इयान	ian	PROPN;NOM;MASC;SG;3	PROPN
दुग्ध	laitiers	दुग्ध	laitier	N;NOM;MASC;SG;3	N;MASC;PL
भयभीत	peur	भयभीत	peur	ADJ	N;FEM;SG
भयभीत	trouille	भयभीत	trouille	ADJ	N;FEM;SG
भयभीत	effrayée	भयभीत	effrayer	ADJ	V;FEM;SG;PST;V.PTCP
भयभीत	effrayé	भयभीत	effrayer	ADJ	V;MASC;SG;PST;V.PTCP
भयभीत	peur	भयभीत	peur	ADJ	N;FEM;SG
भयभीत	effrayée	भयभीत	effrayer	ADJ	V;FEM;SG;PST;V.PTCP
भयभीत	effrayé	भयभीत	effrayer	ADJ	V;MASC;SG;PST;V.PTCP
मौन	sourdine	मौन	sourdine		N;FEM;SG
मौन	muet	मौन	muet		ADJ;MASC;SG
मौन	muette	मौन	muette		ADJ;FEM;SG
मौन	sourdine	मौन	sourdine		N;FEM;SG
मौन	muets	मौन	muet		ADJ;MASC;PL
मौन	tacite	मौन	tacite		ADJ;FEM;SG
मौन	silences	मौन	silence		N;MASC;PL
मौन	silence	मौन	silence		N;MASC;SG
घटा	diminution	घटा	diminution	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
घटा	baisse	घटा	baisse	V;MASC;SG;V.PTCP;ACT	N;FEM;SG
अमरीश	amrish	अमरीश	amrish	PROPN;NOM;MASC;SG;3	PROPN
पॉइंट	points	पॉइंट	point	N;NOM;MASC;SG;3	N;MASC;PL
त्वरण	accélérations	त्वरण	accélération	N;NOM;MASC;SG;3	N;FEM;PL
जमैका	jamaïque	जमैका	jamaïque	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
मक्खन	beurre	मक्खन	beurre	PROPN;NOM;MASC;SG;3	N;MASC;SG
साम्राज्यवाद	impérialiste	साम्राज्यवाद	impérialiste	N;NOM;MASC;SG;3	ADJ;MASC;SG
सूत	fils	सूत	fils		N;MASC;SG
सूत	fil	सूत	fil		N;MASC;SG
सूत	coton	सूत	coton		N;MASC;SG
इज़राइल	israël	इज़राइल	israël	PROPN;NOM;MASC;SG;3	N;MASC;SG
इज़राइल	israel	इज़राइल	israel	PROPN;NOM;MASC;SG;3	PROPN
अनन्य	exclusives	अनन्य	exclusif		ADJ;FEM;PL
अनन्य	exclusive	अनन्य	exclusif		ADJ;FEM;SG
अनन्य	exclusivité	अनन्य	exclusivité		N;FEM;SG
अनन्य	exclusifs	अनन्य	exclusif		ADJ;MASC;PL
अनन्य	exclusif	अनन्य	exclusif		ADJ;MASC;SG
सीना	cena	सीना	cena	N;NOM;FEM;SG;3	PROPN
मिथक	mythes	मिथक	mythe	N;NOM;MASC;SG;3	N;MASC;PL
श्रृंगार	maquiller	श्रृंगार	maquiller	N;NOM;MASC;SG;3	V;NFIN
नतीजा	retombée	नतीजा	retomber	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
नतीजा	retombées	नतीजा	retombée	N;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
अर्ल	earl	अर्ल	earl	N;NOM;MASC;SG;3	PROPN
आवंटित	alloués	आवंटित	alloué	ADJ	V;MASC;PL;PST;V.PTCP
आवंटित	adjugé	आवंटित	adjuger	ADJ	V;MASC;SG;PST;V.PTCP
आवंटित	alloué	आवंटित	allouer	ADJ	V;MASC;SG;PST;V.PTCP
आवंटित	attribué	आवंटित	attribuer	ADJ	V;MASC;SG;PST;V.PTCP
निर्देशिका	annuaires	निर्देशिका	annuaire	N;NOM;FEM;SG;3	N;MASC;PL
निर्देशिका	annuaires	निर्देशिका	annuaire	N;NOM;FEM;SG;3	N;MASC;PL
निर्देशिका	répertoires	निर्देशिका	répertoire	N;NOM;FEM;SG;3	N;MASC;PL
आंग्ल	anglo	आंग्ल	anglo		N;MASC;SG
समता	parité	समता	parité	PROPN;NOM;FEM;SG;3	N;FEM;SG
समता	parités	समता	parité	PROPN;NOM;FEM;SG;3	N;FEM;PL
समता	égalité	समता	égalité	PROPN;NOM;FEM;SG;3	N;FEM;SG
समता	egalité	समता	egalité	PROPN;NOM;FEM;SG;3	N;FEM;SG
बेरोजगारी	chômeurs	बेरोजगारी	chômeur	N;NOM;FEM;SG;3	N;MASC;PL
जुर्माना	fine	जुर्माना	fin	N;NOM;MASC;SG;3	ADJ;FEM;SG
जुर्माना	amendes	जुर्माना	amende	N;NOM;MASC;SG;3	N;FEM;PL
जुर्माना	fines	जुर्माना	fin	N;NOM;MASC;SG;3	ADJ;FEM;PL
क़ुरान	coran	क़ुरान	coran	PROPN;NOM;MASC;SG;3	N;MASC;SG
