xenio	genial	xenio	genial	N	ADJ;MASC;SG
terlle	ele	terlle	ele	PROPN	PRO;NOM;MASC;SG;3
prometo	promessa	prometo	promessa	V	N;FEM;SG
seguirá	will	seguir	will	V	N;MASC;SG
seguirá	vontade	seguir	vontade	V	N;FEM;SG
seguirá	ainda	seguir	ainda	V	ADV
vervos	tu	vervo	tu	V	INTJ
vervos	você	vervo	você	V	PRO;NOM;SG;3
vervos	vc	vervo	vc	V	PRO;NOM;MASC;SG;3
sóltame	apanha	sóltame	apanhar	PROPN	V;IND;SG;3;PRS;FIN
sóltame	obtenha	sóltame	obter	PROPN	V;SBJV;SG;3;PRS;FIN
sóltame	receba	sóltame	receber	PROPN	V;SBJV;SG;3;PRS;FIN
sóltame	obter	sóltame	obter	PROPN	V;NFIN
sóltame	deixe	sóltame	deixar	PROPN	V;SBJV;SG;3;PRS;FIN
sóltame	deixa	sóltame	deixar	PROPN	V;IND;SG;3;PRS;FIN
ataques	ataca	ataque	atacar	N	V;IND;SG;3;PRS;FIN
celosa	ciumes	celosar	ciume	ADJ	N;MASC;SG
celosa	ciúmes	celosar	ciúme	ADJ	N;MASC;SG
celosa	ciumento	celosar	ciumento	ADJ	N;MASC;SG
celosa	inveja	celosar	inveja	ADJ	N;FEM;SG
estabades	estavam	estabade	estar	N	V;IND;PL;3;IPFV;FIN
estabades	foram	estabade	ser	N	V;IND;PL;3;PST;FIN
estabades	eram	estabade	ser	N	V;IND;PL;3;IPFV;FIN
estabades	tu	estabade	tu	N	INTJ
estabades	você	estabade	você	N	PRO;NOM;SG;3
estabades	vc	estabade	vc	N	PRO;NOM;MASC;SG;3
interesada	interessada	interesado	interessado	N	ADJ;FEM;SG
interesada	interessado	interesado	interessado	N	ADJ;MASC;SG
escoitaches	tu	escoitaches	tu	V	INTJ
escoitaches	você	escoitaches	você	V	PRO;NOM;SG;3
escoitaches	vc	escoitaches	vc	V	PRO;NOM;MASC;SG;3
fálame	sobre	fálame	sobre	PROPN	ADP
fálame	conte	fálame	conte	PROPN	V;SBJV;SG;3;PRS;FIN
fálame	diz	fálame	dizer	PROPN	V;IND;SG;3;PRS;FIN
fálame	diga	fálame	dizer	PROPN	V;SBJV;SG;3;PRS;FIN
vendas	vender	venda	vender	N	V;NFIN
vendas	vendendo	venda	vender	N	V;V.MSDR
parezo	olhe	parezo	olhar	PROPN	V;SBJV;SG;3;PRS;FIN
parezo	olha	parezo	olhar	PROPN	V;IND;SG;3;PRS;FIN
vinnie	vinnie	vinnie	vinnie	PROPN	N;MASC;SG
vinnie	vinny	vinnie	vinny	PROPN	N;MASC;SG
permíteme	may	permíteme	may	V	N;MASC;SG
permíteme	maio	permíteme	maio	V	N;MASC;SG
colar	colar	colar	colar	V	N;MASC;SG
levarte	tu	levarte	tu	V	INTJ
levarte	você	levarte	você	V	PRO;NOM;SG;3
levarte	vc	levarte	vc	V	PRO;NOM;MASC;SG;3
levarte	take	levarte	take	V	N;MASC;SG
sacaches	did	sacaches	dider	V	PROPN;MASC;SG
sacaches	tu	sacaches	tu	V	INTJ
sacaches	você	sacaches	você	V	PRO;NOM;SG;3
sacaches	vc	sacaches	vc	V	PRO;NOM;MASC;SG;3
xudea	frente	xudea	frente	N	ADV
boh	bem	boh	bem	PROPN	ADV
lima	lima	lima	lima	PROPN	N;MASC;SG
rezo	orar	rezo	orar	N	V;NFIN
rezo	ore	rezo	ore	N	V;SBJV;SG;3;PRS;FIN
rezo	rezar	rezo	rezar	N	V;NFIN
refíreste	tu	refíreste	tu	N	INTJ
refíreste	você	refíreste	você	N	PRO;NOM;SG;3
refíreste	vc	refíreste	vc	N	PRO;NOM;MASC;SG;3
adoro	amor	adoro	amor	V	N;MASC;SG
adoro	love	adoro	love	V	N;MASC;SG
dillo	conte	dillo	conte	PROPN	V;SBJV;SG;3;PRS;FIN
dillo	diz	dillo	dizer	PROPN	V;IND;SG;3;PRS;FIN
dillo	diga	dillo	dizer	PROPN	V;SBJV;SG;3;PRS;FIN
dillo	ele	dillo	ele	PROPN	PRO;NOM;MASC;SG;3
trent	trent	trent	trent	PROPN	N;MASC;SG
trent	trento	trent	trento	PROPN	N;MASC;SG
jean	jean	jean	jean	PROPN	N;MASC;SG
saigón	saigon	saigón	saigon	PROPN	N;MASC;SG
saigón	saigão	saigón	saigão	PROPN	N;FEM;SG
ámoa	amor	ámoa	amor	PROPN	N;MASC;SG
ámoa	love	ámoa	love	PROPN	N;MASC;SG
ámoa	amo	ámoa	amo	PROPN	V;IND;SG;1;PRS;FIN
ámoa	dela	ámoa	dela	PROPN	N;MASC;SG
ámoa	ela	ámoa	ela	PROPN	PRO;NOM;FEM;SG;3
ámoa	her	ámoa	her	PROPN	N;MASC;SG
dakar	dakar	dakar	dakar	PROPN	N;MASC;SG
dylan	dylan	dólar	dylan	PROPN	N;MASC;SG
quizabes	poderiam	quizabes	poder	N	V;COND;PL;3;FIN
quizabes	podia	quizabes	poder	N	V;IND;SG;3;IPFV;FIN
quizabes	poderia	quizabes	poder	N	V;COND;SG;3;FIN
quizabes	podiam	quizabes	poder	N	V;IND;PL;3;IPFV;FIN
quizabes	tenha	quizabes	ter	N	V;SBJV;SG;3;PRS;FIN
quizabes	ter	quizabes	ter	N	V;NFIN
clermont	clermont	clermont	clermont	PROPN	N;MASC;SG
tanzi	tanzi	tanzi	tanzer	PROPN	N;MASC;SG
geneviève	geneviève	genevitvar	geneviève	PROPN	N;FEM;SG
clotilde	clotilde	clotilde	clotildar	PROPN	N;FEM;SG
père	pere	père	perir	PROPN	N;MASC;SG
imperfecto	imperfeito	imperfecto	imperfeito	ADJ	V;MASC;SG;V.PTCP
imperfecto	imperfeita	imperfecto	imperfeita	ADJ	V;FEM;SG;V.PTCP
imperfecto	os	imperfecto	o	ADJ	PRO;ACC;MASC;PL;3
flipper	flipper	flipper	flipper	PROPN	N;MASC;SG
flipper	barbatana	flipper	barbatana	PROPN	N;FEM;SG
refuxiados	refugiado	refuxiado	refugiado	N	V;MASC;SG;V.PTCP
viñan	eles	vir	eles	V	PRO;NOM;MASC;PL;3
viñan	elas	vir	ele	V	PRO;NOM;FEM;PL;3
cambian	mudança	cambiar	mudança	V	N;FEM;SG
cambian	mudanças	cambiar	mudança	V	N;FEM;PL
cambian	troco	cambiar	troco	V	N;MASC;SG
occidental	ocidental	occidental	ocidental	ADJ	N;FEM;SG
occidental	ocidentais	occidental	ocidental	ADJ	N;MASC;PL
occidental	western	occidental	western	ADJ	N;MASC;SG
occidental	oeste	occidental	oeste	ADJ	N;MASC;SG
occidental	west	occidental	west	ADJ	N;MASC;SG
occidental	ocidente	occidental	ocidente	ADJ	N;MASC;SG
occidental	oeste	occidental	oeste	ADJ	N;MASC;SG
encaixa	into	encaixa	into	V	N;MASC;SG
king	king	king	king	PROPN	N;MASC;SG
king	rei	king	rei	PROPN	N;MASC;SG
andy	andy	andy	andy	PROPN	N;MASC;SG
archie	archie	archie	archie	PROPN	N;MASC;SG
xulgar	juíz	xulgar	juíz	V	N;MASC;SG
xulgar	juíza	xulgar	juíza	V	N;FEM;SG
xulgar	juiz	xulgar	juiz	V	N;MASC;SG
veredes	tu	verede	tu	V	INTJ
veredes	você	verede	você	V	PRO;NOM;SG;3
veredes	vc	verede	vc	V	PRO;NOM;MASC;SG;3
deixala	deixe	deixala	deixar	ADV	V;SBJV;SG;3;PRS;FIN
deixala	deixa	deixala	deixar	ADV	V;IND;SG;3;PRS;FIN
deixala	dela	deixala	dela	ADV	N;MASC;SG
deixala	ela	deixala	ela	ADV	PRO;NOM;FEM;SG;3
deixala	her	deixala	her	ADV	N;MASC;SG
deixala	tu	deixala	tu	ADV	INTJ
deixala	você	deixala	você	ADV	PRO;NOM;SG;3
deixala	vc	deixala	vc	ADV	PRO;NOM;MASC;SG;3
anderson	anderson	anderson	anderson	PROPN	N;MASC;SG
contesta	resposta	contesta	resposta	V	N;FEM;SG
pagas	pagar	paga	pagar	N	V;NFIN
pagas	paga	paga	pagar	N	V;FEM;SG;V.PTCP
pagas	pague	paga	pagar	N	V;SBJV;SG;3;PRS;FIN
pagas	tu	paga	tu	N	INTJ
pagas	você	paga	você	N	PRO;NOM;SG;3
pagas	vc	paga	vc	N	PRO;NOM;MASC;SG;3
collen	take	coller	take	V	N;MASC;SG
medrei	cresceram	medrar	crescer	ADV	V;IND;PL;3;FIN
medrei	crescia	medrar	crescer	ADV	V;IND;SG;3;IPFV;FIN
medrei	cresceu	medrar	crescer	ADV	V;IND;SG;3;PST;FIN
electrónico	eletrônica	electrónico	eletrônico	ADJ	N;FEM;SG
electrónico	electrónica	electrónico	electrónica	ADJ	N;FEM;SG
electrónico	eletrônicos	electrónico	eletrônico	ADJ	N;MASC;PL
electrónico	eletrônico	electrónico	eletrônico	ADJ	N;MASC;SG
tocas	tu	toca	tu	V	INTJ
tocas	você	toca	você	V	PRO;NOM;SG;3
tocas	vc	toca	vc	V	PRO;NOM;MASC;SG;3
despedida	adeus	despedir	adeus	N	INTJ
largo	apanha	largo	apanhar	N	V;IND;SG;3;PRS;FIN
largo	obtenha	largo	obter	N	V;SBJV;SG;3;PRS;FIN
largo	receba	largo	receber	N	V;SBJV;SG;3;PRS;FIN
largo	obter	largo	obter	N	V;NFIN
largo	fora	largo	fora	N	ADV
tiveses	tu	ter	tu	V	INTJ
tiveses	você	ter	você	V	PRO;NOM;SG;3
tiveses	vc	ter	vc	V	PRO;NOM;MASC;SG;3
preocupar	sobre	preocupar	sobre	V	ADP
necesitaba	necessário	necesitar	necessário	V	ADJ;MASC;SG
necesitaba	necessária	necesitar	necessário	V	ADJ;FEM;SG
secundarios	lateral	secundario	lateral	ADJ	N;MASC;SG
secundarios	lado	secundario	lado	ADJ	N;MASC;SG
secundarios	side	secundario	side	ADJ	N;MASC;SG
verdadeiros	real	verdadeiro	real	ADJ	N;MASC;SG
verdadeiros	reais	verdadeiro	real	ADJ	N;MASC;PL
verdadeiros	true	verdadeiro	true	ADJ	N;MASC;SG
verdadeiros	verdade	verdadeiro	verdade	ADJ	N;FEM;SG
similares	similares	similar	similar	ADJ	N;MASC;PL
capturar	captura	capturar	captura	V	N;FEM;SG
capturar	captação	capturar	captação	V	N;FEM;SG
profundidade	profunda	profundidade	profundo	N	ADJ;FEM;SG
profundidade	profundo	profundidade	profundo	N	ADJ;MASC;SG
capas	dourado	capa	dourar	N	V;MASC;SG;V.PTCP
utiliza	uso	utilizar	uso	V	N;MASC;SG
utiliza	utilização	utilizar	utilização	V	N;FEM;SG
orientais	orientais	oriental	oriental	ADJ	N;MASC;PL
orientais	leste	oriental	leste	ADJ	N;MASC;SG
orientais	eastern	oriental	eastern	ADJ	N;MASC;SG
nalgures	algures	nalgures	algure	ADV	N;MASC;PL
admitir	queres	admitir	querer	V	INTJ
diaños	os	diaño	o	N	PRO;ACC;MASC;PL;3
cheguen	eles	chegar	eles	V	PRO;NOM;MASC;PL;3
cheguen	elas	chegar	ele	V	PRO;NOM;FEM;PL;3
actuais	correntes	actual	corrente	ADJ	N;MASC;PL
actuais	corrente	actual	corrente	ADJ	N;FEM;SG
mandela	mandela	mandela	mandela	PROPN	N;FEM;SG
mark	mark	mark	mark	PROPN	N;MASC;SG
mark	marcar	mark	marcar	PROPN	V;NFIN
mark	marca	mark	marca	PROPN	N;FEM;SG
mark	marcos	mark	marco	PROPN	N;MASC;PL
porca	sujo	porco	sujo	N	ADJ;MASC;SG
lendo	leitura	lendo	leitura	V	N;FEM;SG
sa	saudável	sa	saudável	PROPN	ADJ;MASC;SG
sa	sãos	sa	são	PROPN	N;MASC;PL
sa	saudáveis	sa	saudável	PROPN	ADJ;MASC;PL
tomen	take	tomar	take	V	N;MASC;SG
cruzando	cruzamento	cruzar	cruzamento	V	N;MASC;SG
cruzando	travessia	cruzar	travessia	V	N;FEM;SG
serra	serra	serra	serra	N	PROPN;MASC;SG
argumento	argumentar	argumento	argumentar	N	V;NFIN
xen	gene	xen	gene	PROPN	N;MASC;SG
xen	genes	xen	gene	PROPN	N;MASC;PL
simon	simon	ser	simon	PROPN	N;MASC;SG
simon	simão	ser	simão	PROPN	N;MASC;SG
simon	simón	ser	simón	PROPN	N;MASC;SG
nucleares	nuclear	nuclear	nuclear	V	N;MASC;SG
nucleares	nucleares	nuclear	nuclear	V	N;MASC;PL
henry	henrique	henry	henrique	PROPN	N;MASC;SG
use	uso	use	uso	V	N;MASC;SG
use	utilização	use	utilização	V	N;FEM;SG
aparecer	espetáculo	aparecer	espetáculo	V	N;MASC;SG
aparecer	show	aparecer	show	V	N;MASC;SG
suecia	suécia	suecia	suécia	PROPN	N;FEM;SG
pares	parar	par	parar	N	V;NFIN
pares	pára	par	parar	N	V;IND;SG;3;PRS;FIN
obtivo	got	obter	got	V	N;MASC;SG
reside	mentiras	residir	mentira	V	N;FEM;PL
farían	eles	facer	eles	V	PRO;NOM;MASC;PL;3
farían	elas	facer	ele	V	PRO;NOM;FEM;PL;3
xerais	generalidades	xeral	generalidade	ADJ	N;MASC;PL
xerais	gerais	xeral	geral	ADJ	N;MASC;PL
xerais	geral	xeral	geral	ADJ	N;MASC;SG
xerais	general	xeral	general	ADJ	N;MASC;SG
xerais	generais	xeral	general	ADJ	N;MASC;PL
golpes	sopra	golpe	soprar	N	V;IND;SG;3;PRS;FIN
colleron	eles	coller	eles	V	PRO;NOM;MASC;PL;3
colleron	elas	coller	ele	V	PRO;NOM;FEM;PL;3
debiamos	deveriam	debiar	dever	V	V;COND;PL;3;FIN
teredes	tu	ter	tu	V	INTJ
teredes	você	ter	você	V	PRO;NOM;SG;3
teredes	vc	ter	vc	V	PRO;NOM;MASC;SG;3
cazadores	caçar	cazador	caçar	N	V;NFIN
cazadores	caçando	cazador	caçar	N	V;V.MSDR
trataba	estava	tratar	estar	V	V;IND;SG;3;IPFV;FIN
trataba	tava	tratar	tavo	V	V;IND;SG;1;IPFV;FIN
trataba	foi	tratar	foi	V	ADV
reláxate	relaxar	reláxate	relaxar	PROPN	V;NFIN
reláxate	relaxa	reláxate	relaxa	PROPN	V;IND;SG;3;PRS;FIN
reláxate	relaxe	reláxate	relaxe	PROPN	V;SBJV;SG;3;PRS;FIN
bater	hit	bater	hit	V	N;MASC;SG
manteñen	eles	manter	eles	V	PRO;NOM;MASC;PL;3
manteñen	elas	manter	ele	V	PRO;NOM;FEM;PL;3
elemento	os	elemento	o	N	PRO;ACC;MASC;PL;3
piden	pergunta	pedir	pergunta	V	N;FEM;SG
piden	por	pedir	por	V	ADP
piden	para	pedir	para	V	ADP
piden	eles	pedir	eles	V	PRO;NOM;MASC;PL;3
piden	elas	pedir	ele	V	PRO;NOM;FEM;PL;3
durmimos	sono	durmir	sono	V	N;MASC;SG
refire	média	referir	média	V	N;FEM;SG
national	national	national	national	ADJ	N;MASC;SG
national	nacionais	national	nacional	ADJ	N;MASC;PL
diálogo	dialogar	diálogo	dialogar	N	V;NFIN
gertrude	gertrude	gertrude	gertrude	PROPN	N;FEM;SG
perdidos	lost	perdido	lost	V	N;MASC;SG
bebendo	bebida	beber	beber	V	N;FEM;SG
acusación	cobrar	acusación	cobrar	N	V;NFIN
recorda	tu	recordar	tu	V	INTJ
recorda	você	recordar	você	V	PRO;NOM;SG;3
recorda	vc	recordar	vc	V	PRO;NOM;MASC;SG;3
green	verde	grear	verde	PROPN	ADJ;MASC;SG
green	green	grear	green	PROPN	N;MASC;SG
green	verdes	grear	verdes	PROPN	N;MASC;PL
clásico	clássica	clásico	clássico	ADJ	N;FEM;SG
clásico	clássicos	clásico	clássico	ADJ	N;MASC;PL
clásico	clássicas	clásico	clássico	ADJ	N;FEM;PL
clásico	clássico	clásico	clássico	ADJ	N;MASC;SG
clásico	clássica	clásico	clássico	ADJ	N;FEM;SG
clásico	clássicos	clásico	clássico	ADJ	N;MASC;PL
clásico	classic	clásico	classic	ADJ	N;MASC;SG
clásico	clássico	clásico	clássico	ADJ	N;MASC;SG
armado	armada	armar	armar	N	V;FEM;SG;V.PTCP
armado	armados	armar	armar	N	V;MASC;PL;V.PTCP
armado	armado	armar	armar	N	V;MASC;SG;V.PTCP
afastados	away	afastar	away	V	N;MASC;SG
afastados	do	afastar	do	V	N;MASC;SG
afastados	de	afastar	de	V	ADP
afastados	da	afastar	da	V	INTJ
intelectual	intelectuais	intelectual	intelectual	ADJ	N;MASC;PL
gravitacional	gravitacionais	gravitacional	gravitacional	ADJ	N;MASC;PL
averiguar	fora	averiguar	fora	V	ADV
averiguar	out	averiguar	out	V	N;MASC;SG
brando	soft	brando	soft	V	N;MASC;SG
brando	suave	brando	suave	V	ADJ;MASC;SG
brando	macio	brando	macio	V	ADJ;MASC;SG
brando	mole	brando	mole	V	ADJ;MASC;SG
brando	suaves	brando	suave	V	ADJ;MASC;PL
mestura	misture	mestura	misture	N	V;SBJV;SG;3;PRS;FIN
mestura	misturar	mestura	misturar	N	V;NFIN
mestura	misturando	mestura	misturar	N	V;V.MSDR
mestura	misturar	mestura	misturar	N	V;NFIN
novidade	novo	novidade	novo	N	ADJ;MASC;SG
novidade	novas	novidade	novo	N	ADJ;FEM;PL
novidade	novos	novidade	novo	N	ADJ;MASC;PL
novidade	nova	novidade	novo	N	ADJ;FEM;SG
mañán	amanha	mañán	amanha	N	INTJ
mañán	amanhã	mañán	amanhã	N	ADV
tua	seu	tua	seu	N	DET;MASC;SG
tua	sua	tua	seu	N	DET;FEM;SG
tua	amando	tua	amando	N	V;V.MSDR
tua	adorando	tua	adorar	N	V;V.MSDR
tua	amar	tua	amar	N	V;NFIN
sintes	sentir	sinte	sentir	N	V;NFIN
sintes	sente	sinte	sentir	N	V;IND;SG;3;PRS;FIN
sintes	sinta	sinte	sinta	N	V;SBJV;SG;3;PRS;FIN
soto	porão	soto	porão	PROPN	N;MASC;SG
soto	cave	soto	caver	PROPN	N;MASC;SG
soto	adega	soto	adegar	PROPN	N;FEM;SG
soto	cave	soto	caver	PROPN	N;MASC;SG
ocuparse	cuidados	ocuparsir	cuidado	PROPN	N;MASC;PL
ocuparse	cuidado	ocuparsir	cuidado	PROPN	N;MASC;SG
ocuparse	care	ocuparsir	care	PROPN	N;MASC;SG
ocuparse	pega	ocuparsir	pegar	PROPN	V;IND;SG;3;PRS;FIN
ocuparse	levar	ocuparsir	levar	PROPN	V;NFIN
ocuparse	take	ocuparsir	take	PROPN	N;MASC;SG
ocuparse	pegue	ocuparsir	pegar	PROPN	V;SBJV;SG;3;PRS;FIN
ocuparse	toma	ocuparsir	tomar	PROPN	V;IND;SG;3;PRS;FIN
ocuparse	leve	ocuparsir	levar	PROPN	V;SBJV;SG;3;PRS;FIN
eterna	eterno	eterno	eterno	N	ADJ;MASC;SG
eterna	eternas	eterno	eterno	N	ADJ;FEM;PL
eterna	eternos	eterno	eterno	N	ADJ;MASC;PL
elixido	um	elixir	um	V	NUM
elixido	uma	elixir	um	V	NUM
elixido	one	elixir	one	V	N;MASC;SG
fíxate	olhe	fíxate	olhar	PROPN	V;SBJV;SG;3;PRS;FIN
fíxate	olha	fíxate	olhar	PROPN	V;IND;SG;3;PRS;FIN
créame	acredita	créame	acreditar	PROPN	V;IND;SG;3;PRS;FIN
créame	acreditar	créame	acreditar	PROPN	V;NFIN
créame	believe	créame	believe	PROPN	N;MASC;SG
créame	creia	créame	crear	PROPN	V;SBJV;SG;3;PRS;FIN
créame	acredite	créame	acreditar	PROPN	V;SBJV;SG;3;PRS;FIN
georgie	georgie	georgie	georgie	PROPN	N;MASC;SG
dareille	dê	dareille	dar	ADV	V;SBJV;SG;3;PRS;FIN
dareille	dar	dareille	dar	ADV	V;NFIN
dareille	dá	dareille	dar	ADV	V;IND;SG;3;PRS;FIN
molestar	incomodo	molestar	incomodo	V	ADJ;MASC;SG
cansos	cansado	canso	cansado	N	V;MASC;SG;V.PTCP
cansos	cansada	canso	cansada	N	V;FEM;SG;V.PTCP
cansos	cansados	canso	cansado	N	V;MASC;PL;V.PTCP
cansos	cansado	canso	cansado	N	V;MASC;SG;V.PTCP
tirado	mentir	tirado	mentir	N	V;NFIN
tirado	deitada	tirado	deitar	N	V;FEM;SG;V.PTCP
tirado	deitado	tirado	deitar	N	V;MASC;SG;V.PTCP
tirado	mentiroso	tirado	mentiroso	N	ADJ;MASC;SG
volvería	costas	volver	costa	V	N;FEM;PL
volvería	volta	volver	volta	V	N;FEM;SG
volvería	novamente	volver	novamente	V	ADV
saes	tu	saber	tu	PROPN	INTJ
saes	você	saber	você	PROPN	PRO;NOM;SG;3
saes	vc	saber	vc	PROPN	PRO;NOM;MASC;SG;3
saes	fora	saber	fora	PROPN	ADV
saes	out	saber	out	PROPN	N;MASC;SG
solitario	solitária	solitario	solitário	N	ADJ;FEM;SG
solitario	solitário	solitario	solitário	N	ADJ;MASC;SG
solitario	solitários	solitario	solitário	N	ADJ;MASC;PL
aturo	lata	aturo	lata	V	N;FEM;SG
aturo	can	aturo	can	V	N;MASC;SG
aturo	take	aturo	take	V	N;MASC;SG
aturo	stand	aturo	stand	V	N;MASC;SG
direiche	conte	direiche	conte	PROPN	V;SBJV;SG;3;PRS;FIN
direiche	diz	direiche	dizer	PROPN	V;IND;SG;3;PRS;FIN
direiche	diga	direiche	dizer	PROPN	V;SBJV;SG;3;PRS;FIN
responsábeis	responsável	responsábel	responsável	N	ADJ;MASC;SG
responsábeis	responsáveis	responsábel	responsável	N	ADJ;MASC;PL
responsábeis	por	responsábel	por	N	ADP
responsábeis	para	responsábel	para	N	ADP
desexaría	wish	desexar	wish	V	N;MASC;SG
desexaría	desejo	desexar	desejo	V	N;MASC;SG
plena	os	pleno	o	ADJ	PRO;ACC;MASC;PL;3
quite	take	quite	take	V	N;MASC;SG
quite	off	quite	off	V	N;MASC;SG
louis	luiz	loui	luiz	PROPN	PROPN;MASC;SG
louis	luis	loui	lui	PROPN	N;MASC;SG
louis	luís	loui	luís	PROPN	N;MASC;SG
louis	louis	loui	loul	PROPN	N;MASC;SG
recordas	lembrar	recorda	lembrar	N	V;NFIN
miami	miami	miami	miami	PROPN	N;MASC;SG
descansa	repouso	descansa	repouso	V	N;MASC;SG
descansa	resto	descansa	resto	V	N;MASC;SG
descansa	descanso	descansa	descanso	V	N;MASC;SG
pedido	encomendar	peder	encomendar	N	V;NFIN
stratton	stratton	stratton	stratton	PROPN	N;MASC;SG
francesas	french	francesa	french	ADJ	N;MASC;SG
francesas	franceses	francesa	francês	ADJ	N;MASC;PL
francesas	francês	francesa	francês	ADJ	N;MASC;SG
perdes	tu	perde	tu	V	INTJ
perdes	você	perde	você	V	PRO;NOM;SG;3
perdes	vc	perde	vc	V	PRO;NOM;MASC;SG;3
falaron	eles	falar	eles	V	PRO;NOM;MASC;PL;3
falaron	elas	falar	ele	V	PRO;NOM;FEM;PL;3
zeke	zeke	zeke	zeke	PROPN	N;MASC;SG
detente	parar	detente	parar	PROPN	V;NFIN
detente	pára	detente	parar	PROPN	V;IND;SG;3;PRS;FIN
servirá	will	servir	will	V	N;MASC;SG
servirá	vontade	servir	vontade	V	N;FEM;SG
amarelo	amarelo	amarelo	amarelo	N	ADJ;MASC;SG
wheeler	wheeler	wheeler	wheeler	PROPN	N;MASC;SG
duras	hard	duro	hard	ADJ	N;MASC;SG
duras	dura	duro	durar	ADJ	V;IND;SG;3;PRS;FIN
estouche	tu	estouche	tu	PROPN	INTJ
estouche	você	estouche	você	PROPN	PRO;NOM;SG;3
estouche	vc	estouche	vc	PROPN	PRO;NOM;MASC;SG;3
della	della	della	della	PROPN	N;MASC;SG
trucos	imunda	truco	imundo	N	ADJ;FEM;SG
trucos	imundo	truco	imundo	N	ADJ;MASC;SG
alumnado	alunos	alumnado	aluno	V	N;MASC;PL
alumnado	pupilas	alumnado	pupila	V	N;FEM;PL
alumnado	são	alumnado	ser	V	V;IND;PL;3;PRS;FIN
alumnado	estão	alumnado	estar	V	V;IND;PL;3;PRS;FIN
alumnado	are	alumnado	are	V	N;MASC;SG
alumnado	alunos	alumnado	aluno	V	N;MASC;PL
alumnado	estudantes	alumnado	estudante	V	N;MASC;PL
tentativa	tentada	tentativo	tentar	N	V;FEM;SG;V.PTCP
movédevos	mover	movédevo	mover	N	V;NFIN
stan	stan	stan	stan	V	N;MASC;SG
stan	tu	stan	tu	V	INTJ
stan	você	stan	você	V	PRO;NOM;SG;3
stan	vc	stan	vc	V	PRO;NOM;MASC;SG;3
west	west	west	west	PROPN	N;MASC;SG
west	ocidente	west	ocidente	PROPN	N;MASC;SG
west	oeste	west	oeste	PROPN	N;MASC;SG
bild	bild	bild	bild	PROPN	N;MASC;SG
dickie	dickie	dickie	dickie	PROPN	N;MASC;SG
cóidate	pega	cóidate	pegar	N	V;IND;SG;3;PRS;FIN
cóidate	levar	cóidate	levar	N	V;NFIN
cóidate	pegue	cóidate	pegar	N	V;SBJV;SG;3;PRS;FIN
cóidate	toma	cóidate	tomar	N	V;IND;SG;3;PRS;FIN
cóidate	leve	cóidate	levar	N	V;SBJV;SG;3;PRS;FIN
correde	executar	correder	executar	PROPN	V;NFIN
correde	corra	correder	corra	PROPN	V;SBJV;SG;3;PRS;FIN
correde	run	correder	run	PROPN	N;MASC;SG
correde	correr	correder	correr	PROPN	V;NFIN
correde	corre	correder	correr	PROPN	V;IND;SG;3;PRS;FIN
mann	mann	mann	mann	PROPN	PROPN;MASC;SG
kathy	kathy	kathy	kathy	PROPN	N;FEM;SG
magali	magali	magali	magali	PROPN	N;FEM;SG
won	venceu	won	vencer	N	V;IND;SG;3;PST;FIN
won	ganhou	won	ganhar	N	V;IND;SG;3;PST;FIN
won	ganhado	won	ganhar	N	V;MASC;SG;V.PTCP
heavy	pesado	heavy	pesar	PROPN	V;MASC;SG;V.PTCP
heavy	heavy	heavy	heavy	PROPN	N;MASC;SG
heavy	pesadas	heavy	pesar	PROPN	V;FEM;PL;V.PTCP
heavy	pesados	heavy	pesar	PROPN	V;MASC;PL;V.PTCP
heavy	pesada	heavy	pesar	PROPN	V;FEM;SG;V.PTCP
wey	wei	wey	wair	PROPN	N;MASC;SG
farhad	farhad	farhad	farhad	V	N;FEM;SG
cora	cora	cora	cora	PROPN	N;MASC;SG
conquistar	conquista	conquistar	conquista	V	N;FEM;SG
procede	do	proceder	do	V	N;MASC;SG
procede	de	proceder	de	V	ADP
procede	da	proceder	da	V	INTJ
refírome	média	refírome	média	V	N;FEM;SG
utilidade	usar	utilidade	usar	N	V;NFIN
utilidade	use	utilidade	usar	N	V;SBJV;SG;3;PRS;FIN
utilidade	utilizar	utilidade	utilizar	N	V;NFIN
diapositiva	deslizar	diapositivo	deslizar	N	V;NFIN
diapositiva	escorrega	diapositivo	escorregar	N	V;IND;SG;3;PRS;FIN
soben	essa	sober	esse	V	PRO;FEM;SG
soben	isso	sober	isso	V	PRO;MASC;SG
soben	que	sober	que	V	PRO;MASC;SG
vense	são	vense	ser	PROPN	V;IND;PL;3;PRS;FIN
vense	estão	vense	estar	PROPN	V;IND;PL;3;PRS;FIN
vense	sao	vense	sao	PROPN	V;IND;PL;3;PRS;FIN
vense	are	vense	are	PROPN	N;MASC;SG
cometeu	made	cometar	made	V	N;MASC;SG
favoritos	preferida	favorito	preferir	N	V;FEM;SG;V.PTCP
favoritos	preferido	favorito	preferir	N	V;MASC;SG;V.PTCP
comparten	partilha	compartir	partilha	V	N;FEM;SG
comparten	compartilhamento	compartir	compartilhamento	V	N;MASC;SG
volvía	costas	volvía	costa	V	N;FEM;PL
volvía	volta	volvía	volta	V	N;FEM;SG
musical	musicais	musical	musical	ADJ	N;MASC;PL
musical	music	musical	music	ADJ	N;MASC;SG
musical	música	musical	música	ADJ	N;FEM;SG
musical	musica	musical	musica	ADJ	N;FEM;SG
musical	músicas	musical	música	ADJ	N;FEM;PL
funcionamento	como	funcionamento	como	N	ADV
