die	на	die	на	DET;DEF	ADP
afsonderlike	разделени	afsonderlik	разделя-(се)	ADJ;NOM	V;PFV;INDF;PL;V.PTCP;PASS
afsonderlike	отделно	afsonderlik	отделно	ADJ;NOM	ADV
afsonderlike	отделени	afsonderlik	отделя-(се)	ADJ;NOM	V;PFV;INDF;PL;V.PTCP;PASS
vliegtuig	самолети	vliegtuig	самолет	N;SG	N;INDF;MASC;PL
gauteng	гаутенг	gauteng	гаутенг		ADJ;INDF;MASC;SG
frederik	фридрих	frederik	фридрих	N;SG	PROPN;INDF;MASC;SG
onderkant	дъното	onderkant	дъно		N;DEF;NEUT;SG
onderkant	отдолу	onderkant	отдолу		ADV
onderkant	дъно	onderkant	дъно		N;INDF;NEUT;SG
vas	твърда	vas	твърд	ADV	ADJ;INDF;FEM;SG
vas	фирма	vas	фирма	ADV	N;INDF;FEM;SG
vas	твърд	vas	твърд	ADV	ADJ;INDF;MASC;SG
manlike	мъжко	manlik	мъжко	ADJ;NOM	ADV
manlike	мъж	manlik	мъж	ADJ;NOM	N;INDF;MASC;SG
manlike	мъжкар	manlik	мъжкар	ADJ;NOM	N;INDF;MASC;SG
manlike	мъжка	manlik	мъжка	ADJ;NOM	N;INDF;FEM;SG
mars	марс	mars	марс		PROPN;INDF;MASC;SG
privaat	частно	privaat	частен	ADJ;NOM	ADV
privaat	редник	privaat	редник	ADJ;NOM	N;INDF;MASC;SG
aktief	активна	aktief	активна	ADV	ADJ;INDF;FEM;SG
aktief	активни	aktief	активен	ADV	ADJ;INDF;PL
aktief	активен	aktief	активен	ADV	ADJ;INDF;MASC;SG
aktief	винителен	aktief	винителен	ADV	ADJ;INDF;MASC;SG
aktief	дейности	aktief	дейност	ADV	N;INDF;FEM;PL
aktief	занимания	aktief	занимание	ADV	N;INDF;NEUT;PL
abraham	ейбрахам	abraham	ейбрахам		N;INDF;MASC;SG
abraham	авраам	abraham	авраам		N;DEF;MASC;SG
abraham	абрахам	abraham	абрахам		N;INDF;MASC;SG
abraham	аврам	abraham	аврам		N;INDF;MASC;SG
spyte	злоба	spyte	злоб	N;PL	N;INDF;FEM;SG
spyte	напук	spyte	напук	N;PL	ADV
dinge	неща	ding	някой	N;PL	DET;INDF;PL
dinge	нещата	ding	някой	N;PL	PRO;NOM;DEF;PL
benedictus	бенедикт	benedictus	бенедикт		N;INDF;MASC;SG
eindig	приключва	eindig	приключвам		V;IPFV;IND;SG;3;PRS;FIN;ACT
eindig	свършва	eindig	свършвам-(се)		V;IPFV;IND;SG;3;PRS;FIN;ACT
eindig	завършва	eindig	завършвам		V;IPFV;IND;SG;3;PRS;FIN;ACT
tegniese	технически	tegnies	технически	ADJ;NOM	ADV
tegniese	техническо	tegnies	технически	ADJ;NOM	ADV
nag	вечер	nag	вечер	V;PRS	N;INDF;FEM;SG
nag	нощ	nag	нощ	V;PRS	N;INDF;FEM;SG
nag	нощта	nag	нощ	V;PRS	N;DEF;FEM;SG
hans	ханс	hans	ханс		PROPN;INDF;MASC;SG
bedek	покрит	bedek	покрит	V;PRS	ADJ;INDF;MASC;SG
bedek	корици	bedek	корица	V;PRS	N;INDF;FEM;PL
bedek	капаци	bedek	капак	V;PRS	N;INDF;MASC;PL
koue	студ	koud	студ	V;PRS	N;INDF;MASC;SG
koue	студен	koud	студен	V;PRS	ADJ;INDF;MASC;SG
koue	студено	koud	студено	V;PRS	ADV
koue	студена	koud	студен	V;PRS	ADJ;INDF;FEM;SG
via	виа	via	видя-(се)	ADP	N;INDF;MASC;SG
via	via	via	via	ADP	ADJ
frank	франк	frank	франк	N;SG	PROPN;INDF;MASC;SG
bespreek	тефтер	bespreek	тефтер	V;PRS	N;INDF;MASC;SG
bespreek	книга	bespreek	книга	V;PRS	N;INDF;FEM;SG
bespreek	резерв	bespreek	резерв	V;PRS	N;INDF;MASC;SG
bespreek	резерви	bespreek	резервя	V;PRS	N;INDF;FEM;PL
bespreek	резерва	bespreek	резерва	V;PRS	N;INDF;FEM;SG
ben	бен	ben	бен		PROPN;INDF;MASC;SG
droë	суха	droog	сух	V;PRS	ADJ;INDF;FEM;SG
droë	сухи	droog	сух	V;PRS	ADJ;INDF;PL
droë	сухо	droog	сухо	V;PRS	ADV
droë	сух	droog	сух	V;PRS	ADJ;INDF;MASC;SG
bestudeer	учене	bestudeer	учене	V;PRS	N;INDF;NEUT;SG
bestudeer	проучване	bestudeer	проучване	V;PRS	N;INDF;NEUT;SG
bestudeer	изучаване	bestudeer	изучаване	V;PRS	N;INDF;NEUT;SG
bestudeer	изследване	bestudeer	изследване	V;PRS	N;INDF;NEUT;SG
twaalf	twelve	twaalf	twelve	NUM	N;INDF;MASC;SG
kommersiële	търговско	kommersieel	търговски	ADJ;NOM	ADV
kommersiële	реклама	kommersieel	реклама	ADJ;NOM	N;INDF;FEM;SG
primêre	първично	primêr	първичен	ADJ;NOM	ADV
jode	евреите	jode	евреин	N;SG	N;DEF;MASC;PL
jode	евреи	jode	евреин	N;SG	N;INDF;MASC;PL
helder	светло	helder	светло		ADV
helder	ярко	helder	ярко		ADV
helder	светли	helder	светъл		ADJ;INDF;PL
rio	рио	rio	рио	PROPN;SG	PROPN;INDF;NEUT;SG
toekoms	бъдещ	toekoms	бъдещ	N;SG	ADJ;INDF;MASC;SG
toekoms	бъдещи	toekoms	бъдещ	N;SG	ADJ;INDF;PL
toekoms	бъдеща	toekoms	бъдещ	N;SG	ADJ;INDF;FEM;SG
boonste	горни	boonste	горен		ADJ;INDF;PL
boonste	горна	boonste	горен		ADJ;INDF;FEM;SG
boonste	горен	boonste	горен		ADJ;INDF;MASC;SG
duisende	хиляди	duisende	хиляда	PRO	N;INDF;FEM;PL
air	air	air	air		N;INDF;MASC;SG
air	въздуха	air	въздух		N;DEF;MASC;SG
air	въздушно	air	въздушен		ADV
air	въздушен	air	въздуша		N;INDF;MASC;SG
air	въздух	air	въздух		N;INDF;MASC;SG
item	точка	item	точка		N;INDF;FEM;SG
item	елемент	item	елемент		N;INDF;MASC;SG
item	артикул	item	артикул		N;INDF;MASC;SG
volwasse	зряло	volwasse	зряло	ADJ;NOM	ADV
volwasse	зряла	volwasse	зряд	ADJ;NOM	N;INDF;FEM;SG
kies	избор	kies	избор	V;PRS	N;INDF;MASC;SG
kies	маркиране	kies	маркиране	V;PRS	N;INDF;NEUT;SG
kies	избиране	kies	избиране	V;PRS	N;INDF;NEUT;SG
korea	корея	korea	корей	PROPN;SG	PROPN;INDF;FEM;SG
basiese	основи	basies	основа	ADJ;NOM	N;INDF;FEM;PL
benodig	необходимост	benodig	необходимост	V;PRS	N;INDF;FEM;SG
benodig	нужда	benodig	нужда	V;PRS	N;INDF;FEM;SG
benodig	потребност	benodig	потребност	V;PRS	N;INDF;FEM;SG
unesco	юнеско	unesco	юнеско	ADP	ADV
united	обединени	united	обединя-(се)		V;PFV;INDF;PL;V.PTCP;PASS
united	обединена	united	обединя-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
united	обединен	united	обединя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
united	юнайтед	united	юнайтед		N;INDF;MASC;SG
united	обединено	united	обединя-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
paulus	пол	paulus	пол		N;INDF;MASC;SG
paulus	паул	paulus	паул		PROPN;INDF;MASC;SG
house	house	hous	house	PROPN;SG	N;INDF;MASC;SG
house	къща	hous	къща	PROPN;SG	N;INDF;FEM;SG
house	къщата	hous	къща	PROPN;SG	N;DEF;FEM;SG
house	хаус	hous	хаус	PROPN;SG	N;INDF;MASC;SG
leerders	учещите	leerder	учещ	N;PL	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
geskiedkundige	историческо	geskiedkundig	исторически	ADJ;NOM	ADV
aktiwiteite	събитието	aktiwiteit	събитие	N;PL	N;DEF;NEUT;SG
aktiwiteite	събитие	aktiwiteit	събитие	N;PL	N;INDF;NEUT;SG
konflik	конфликти	konflik	конфликт	N;SG	N;INDF;MASC;PL
gemeenskaplike	чести	gemeenskaplik	честя-(се)	ADJ;NOM	N;INDF;FEM;PL
inkomste	приходи	inkomste	приход	N;SG	N;INDF;MASC;PL
inkomste	доходи	inkomste	доход	N;SG	N;INDF;MASC;PL
inkomste	приходи	inkomste	приход	N;SG	N;INDF;MASC;PL
karoo	кару	karoo	кару		N;INDF;MASC;SG
ligte	светло	lig	светло	ADJ;NOM	ADV
ligte	светлина	lig	светлина	ADJ;NOM	N;INDF;FEM;SG
ligte	светлината	lig	светлина	ADJ;NOM	N;DEF;FEM;SG
mosambiek	мозамбик	mosambiek	мозамбик	PROPN;SG	N;INDF;MASC;SG
verdwyn	изчезване	verdwyn	изчезване	V;PRS	N;INDF;NEUT;SG
blomme	цветята	blomm	цветя	N;SG	N;DEF;NEUT;PL
blomme	цветя	blomm	цвете	N;SG	N;INDF;NEUT;PL
tuiste	жива	tuiste	жив	N;SG	ADJ;INDF;FEM;SG
tuiste	живите	tuiste	жив	N;SG	ADJ;DEF;PL
tuiste	живи	tuiste	жив	N;SG	ADJ;INDF;PL
johann	йохан	johann	йохан		PROPN;INDF;MASC;SG
verwante	свързани	verwant	свържа	ADJ;NOM	V;PFV;INDF;PL;V.PTCP;PASS
verwante	свързан	verwant	свържа	ADJ;NOM	V;PFV;INDF;MASC;SG;V.PTCP;PASS
verwante	свързана	verwant	свържа	ADJ;NOM	V;PFV;INDF;FEM;SG;V.PTCP;PASS
verwante	свързано	verwant	свържа	ADJ;NOM	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
sport	спортен	sport	спортен	N;SG	ADJ;INDF;MASC;SG
sport	спортни	sport	спортен	N;SG	ADJ;INDF;PL
sport	спортен	sport	спортен	N;SG	ADJ;INDF;MASC;SG
sport	спортно	sport	спортен	N;SG	ADV
sport	спортове	sport	спорт	N;SG	N;INDF;MASC;PL
onderneming	enterprise	onderneming	enterprise	N;SG	PROPN;INDF;MASC;SG
beroemde	знаменитости	beroem	знаменитост	ADJ;NOM	N;INDF;FEM;PL
beroemde	знаменитост	beroem	знаменитост	ADJ;NOM	N;INDF;FEM;SG
berig	приказка	berig	приказка		N;INDF;FEM;SG
berig	история	berig	история		N;INDF;FEM;SG
ford	форд	ford	форд		PROPN;INDF;MASC;SG
jongste	последно	jonk	последно		ADV
jongste	последен	jonk	последен		ADJ;INDF;MASC;SG
jongste	последни	jonk	последен		ADJ;INDF;PL
jongste	последна	jonk	последен		ADJ;INDF;FEM;SG
berge	планините	berg	планини	V;PRS	N;DEF;FEM;PL
berge	планини	berg	планина	V;PRS	N;INDF;FEM;PL
lange	ланг	lank	ланг	ADJ;NOM	PROPN;INDF;FEM;SG
kommunistiese	комунист	kommunisties	комунист	ADJ;NOM	N;INDF;MASC;SG
daniel	даниел	daniel	даниел		PROPN;INDF;MASC;SG
daniel	даниъл	daniel	даниал		PROPN;INDF;MASC;SG
eric	ерик	eric	ерик		PROPN;INDF;MASC;SG
voel	усети	voel	усетя-(се)		V;PFV;IND;SG;3;PST;FIN;ACT
voel	усеща	voel	усещам-(се)		V;IPFV;IND;SG;3;PRS;FIN;ACT
voel	чувство	voel	чувство		N;INDF;NEUT;SG
voel	усещане	voel	усещане		N;INDF;NEUT;SG
blad	page	blad	page	N;SG	INTJ
outonome	автономни	outonome	автономен	V;PRS	ADJ;INDF;PL
outonome	автономна	outonome	автономен	V;PRS	ADJ;INDF;FEM;SG
opvoedkundige	образователно	opvoedkundig	образователно	ADJ;NOM	ADV
vliegtuie	вс	vliegtuig	вс	N;PL	N;INDF;MASC;SG
effens	едвам	effens	едвам		ADV
effens	едва	effens	едва		ADV
vaste	консервирани	vas	консервирам	PRO	V;PFV;INDF;PL;V.PTCP;PASS
vaste	твърда	vas	твърд	PRO	ADJ;INDF;FEM;SG
vaste	твърд	vas	твърд	PRO	ADJ;INDF;MASC;SG
soria	сория	soria	сория		PROPN;INDF;FEM;SG
fokus	концентрация	fokus	концентрация	V;PRS	N;INDF;FEM;SG
fokus	фокус	fokus	фокус	V;PRS	N;INDF;MASC;SG
been	кокал	been	кокал		N;INDF;MASC;SG
been	кост	been	кост		N;INDF;FEM;SG
been	кости	been	кост		N;INDF;FEM;PL
geklassifiseer	поверително	klassifiseer	поверителен	V;PST;V.PTCP	ADV
geklassifiseer	секретно	klassifiseer	секретен	V;PST;V.PTCP	ADV
verduidelik	обясни	verduidelik	обясня-(се)	V;PRS	V;PFV;IND;SG;3;PST;FIN;ACT
jacques	жак	jacque	жак		PROPN;INDF;MASC;SG
gevaar	опасност	gevaar	опасност		N;INDF;FEM;SG
gevaar	опастност	gevaar	опастност		N;INDF;FEM;SG
kroon	краун	kroon	краун		N;INDF;MASC;SG
kroon	корона	kroon	корон		N;INDF;FEM;SG
kroon	короната	kroon	корона		N;DEF;FEM;SG
finland	финландия	finland	финландия		PROPN;INDF;FEM;SG
mee	със	mee	със		ADP
altesaam	за	altesaam	за	DET	ADP
presies	точно	presies	точно		ADV
presies	точен	presies	точен		ADJ;INDF;MASC;SG
carl	карл	carl	карл	PROPN;SG	PROPN;INDF;MASC;SG
produk	продукти	produk	продукт	N;SG	N;INDF;MASC;PL
vallei	вали	vallei	вали	N;SG	V;IPFV;IMP;SG;3;PRS;FIN
hede	подарък	hede	подарък	N;PL	N;INDF;MASC;SG
hede	настояще	hede	настояще	N;PL	N;INDF;NEUT;SG
hede	присъстващи	hede	присъствам	N;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
enjin	двигатели	enjin	двигател	N;SG	N;INDF;MASC;PL
adam	адам	adam	адам		N;INDF;MASC;SG
profiel	профил	profiel	профил		N;INDF;MASC;SG
bygedra	щамповане	bydra	щамповане	V;PST;V.PTCP	N;INDF;NEUT;SG
sosialistiese	социалист	sosialisties	социалист	ADJ;NOM	N;INDF;MASC;SG
mere	езерата	baie	езера	N;PL	N;DEF;FEM;SG
biblioteek	библиотеката	biblioteek	библиотека	V;PRS	N;DEF;FEM;SG
biblioteek	библиотека	biblioteek	библиотека	V;PRS	N;INDF;FEM;SG
suksesvolle	успешно	suksesvol	успешно	ADJ;NOM	ADV
versterk	засилване	versterk	засилване	V;PRS	N;INDF;NEUT;SG
versterk	укрепване	versterk	укрепване	V;PRS	N;INDF;NEUT;SG
eet	ям	eet	аз	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
eet	яде	eet	ям-(се)	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
straat	street	straat	street	N;SG	PROPN;INDF;MASC;SG
angola	ангола	angola	ангола	PROPN;SG	N;INDF;FEM;SG
angola	монголия	angola	монголия	PROPN;SG	PROPN;INDF;FEM;SG
parameter	параметър	parameter	параметър		N;INDF;MASC;SG
parameter	параметри	parameter	параметър		N;INDF;MASC;PL
christiaan	кристиан	christiaan	кристиан		N;INDF;MASC;SG
christiaan	кристиян	christiaan	кристиян		N;INDF;MASC;SG
christiaan	крисчън	christiaan	крисчън		PROPN;INDF;MASC;SG
christiaan	християнин	christiaan	християнин		N;INDF;MASC;SG
maatskaplike	социално	maatskaplik	социален	ADJ;NOM	ADV
suiwer	чисто	suiwer	чисто		ADV
suiwer	чист	suiwer	чист		ADJ;INDF;MASC;SG
suiwer	чиста	suiwer	чист		ADJ;INDF;FEM;SG
wikimedia	уикимедия	wikimedia	уикимедия		N;INDF;FEM;SG
sesde	шестима	sesde	шестима	ADJ;NOM	NUM;INDF;PL
sesde	шест	sesde	шест	ADJ;NOM	NUM;INDF;PL
oxford	оксфорд	oxford	оксфорд	PROPN;SG	N;INDF;MASC;SG
hongarye	унгария	hongarye	унгария	N;PL	PROPN;INDF;FEM;SG
getref	удари	tref	удар	V;PST;V.PTCP	N;INDF;MASC;PL
getref	хит	tref	хит	V;PST;V.PTCP	N;INDF;MASC;SG
temperature	температурите	temperature	температура	N;SG	N;DEF;FEM;PL
temperature	температури	temperature	температура	N;SG	N;INDF;FEM;PL
washington	уошингтън	washington	уошингтън		N;INDF;MASC;SG
washington	вашингтон	washington	вашингтон		N;INDF;MASC;SG
ere	чест	ere	чест	ADP	N;INDF;FEM;SG
ere	честта	ere	чест	ADP	N;DEF;FEM;SG
hout	дървен	hout	дървен	N;SG	ADJ;INDF;MASC;SG
hout	дърва	hout	дърво	N;SG	N;INDF;NEUT;PL
hout	дървени	hout	дървен	N;SG	ADJ;INDF;PL
skerp	остро	skerp	остро		ADV
skerp	шарп	skerp	шарп		PROPN;INDF;MASC;SG
skerp	остър	skerp	остър		N;INDF;MASC;SG
skerp	остра	skerp	остър		N;INDF;FEM;SG
skerp	остри	skerp	остър		ADJ;INDF;PL
sydney	сидни	sydney	сиден	PROPN;SG	PROPN;INDF;MASC;SG
stroom	храни	stroom	храна	N;SG	N;INDF;FEM;PL
stroom	фуражи	stroom	фураж	N;SG	N;INDF;MASC;PL
dier	животни	dier	животно	N;SG	N;INDF;NEUT;PL
dier	животинска	dier	животински	N;SG	ADJ;INDF;FEM;SG
dier	животински	dier	животински	N;SG	ADJ;INDF;MASC;SG
rig	преки	rig	преки	V;PRS	ADJ;INDF;PL
rig	директна	rig	директен	V;PRS	ADJ;INDF;FEM;SG
rig	директно	rig	директно	V;PRS	ADV
rig	пряко	rig	пряко	V;PRS	ADV
rig	директен	rig	директен	V;PRS	ADJ;INDF;MASC;SG
vry	свободно	vry	свободно		ADV
vry	свободни	vry	свободен		ADJ;INDF;PL
vry	свободен	vry	свободен		ADJ;INDF;MASC;SG
vry	свободна	vry	свободен		ADJ;INDF;FEM;SG
vry	безплатни	vry	безплатен		ADJ;INDF;PL
vry	безплатно	vry	безплатно		ADV
arabies	арабски	arabies	арабски	PROPN;SG	ADJ;INDF;MASC;SG
arabies	арабска	arabies	арабски	PROPN;SG	ADJ;INDF;FEM;SG
uitgebeeld	илюстрира	uitbeeld	илюстрирам	V;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
kimberley	кимбърли	kimberley	кимбърля	PROPN;SG	N;INDF;FEM;SG
kritiek	критичен	kritiek	критичен	N;SG	ADJ;INDF;MASC;SG
kritiek	критично	kritiek	критично	N;SG	ADV
kritiek	критична	kritiek	критичен	N;SG	ADJ;INDF;FEM;SG
kritiek	критични	kritiek	критичен	N;SG	ADJ;INDF;PL
alfred	алфред	alfred	алфред	PROPN;SG	PROPN;INDF;MASC;SG
boer	вале	boer	вале		N;INDF;NEUT;SG
boer	джак	boer	джак		PROPN;INDF;MASC;SG
harry	хари	harry	харя-(се)	V;PRS	N;INDF;MASC;SG
voordeel	ползи	voordeel	ползи	N;SG	N;INDF;FEM;PL
toets	изпитване	toets	изпитване	V;PRS	N;INDF;NEUT;SG
toets	тест	toets	тест	V;PRS	N;INDF;MASC;SG
toets	изпитване	toets	изпитване	V;PRS	N;INDF;NEUT;SG
toets	тестване	toets	тестване	V;PRS	N;INDF;NEUT;SG
kontak	контакт	kontak	контакт	V;PRS	N;INDF;MASC;SG
kontak	контакти	kontak	контакт	V;PRS	N;INDF;MASC;PL
aangepas	потребителски	aanpas	потребителски	V;PST;V.PTCP	ADJ;INDF;MASC;SG
vriende	friends	vriend	friends	N;PL	PROPN;INDF;MASC;SG
oorsese	чужбина	oorsee	чужбина	ADJ;NOM	N;INDF;FEM;SG
union	профсъюз	union	профсъюз		N;INDF;MASC;SG
union	съюз	union	съюз		N;INDF;MASC;SG
union	съюза	union	съюз		N;DEF;MASC;SG
union	юниън	union	юниън		N;INDF;MASC;SG
les	лес	les	лес		N;INDF;MASC;SG
les	лесли	les	лесля		PROPN;INDF;MASC;SG
jack	вале	jack	вале		N;INDF;NEUT;SG
jack	джак	jack	джак		PROPN;INDF;MASC;SG
tsaar	цар	tsaar	цар		N;INDF;MASC;SG
burgerlike	гражданско	burgerlik	граждански	ADJ;NOM	ADV
aanvalle	атакува	aanval	атакувам	N;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
font	шрифт	font	шрифт		N;INDF;MASC;SG
botswana	ботсуана	botswana	ботсуан	PROPN;SG	N;INDF;FEM;SG
televisie	телевизия	televisie	телевизия		N;INDF;FEM;SG
televisie	телевизията	televisie	телевизия		N;DEF;FEM;SG
televisie	телевизор	televisie	телевизор		N;INDF;MASC;SG
omring	обкръжени	omring	обкръжа		V;PFV;INDF;PL;V.PTCP;PASS
omring	обкръжен	omring	обкръжа		V;PFV;INDF;MASC;SG;V.PTCP;PASS
omring	обграден	omring	обградя		V;PFV;INDF;MASC;SG;V.PTCP;PASS
omring	обградени	omring	обградя		V;PFV;INDF;PL;V.PTCP;PASS
omring	заобиколен	omring	заобиколя		V;PFV;INDF;MASC;SG;V.PTCP;PASS
onderteken	шифроване	onderteken	шифроване	V;PRS	N;INDF;NEUT;SG
onderteken	табела	onderteken	табел	V;PRS	N;INDF;FEM;SG
onderteken	знак	onderteken	знак	V;PRS	N;INDF;MASC;SG
voorganger	предшественик	voorganger	предшественик	V;PRS	N;INDF;MASC;SG
sending	мисията	sending	мисия		N;DEF;FEM;SG
sending	мисия	sending	мисия		N;INDF;FEM;SG
american	американска	american	американски		ADJ;INDF;FEM;SG
american	американско	american	американски		ADV
american	американски	american	американски		ADJ;INDF;MASC;SG
american	американец	american	американец		N;INDF;MASC;SG
nelson	нелсън	nelson	нелсън	PROPN;SG	PROPN;INDF;MASC;SG
marie	мари	marie	мара		N;INDF;FEM;SG
wysig	редактиране	wysig	редактиране	V;PRS	N;INDF;NEUT;SG
wysig	промени	wysig	промяна	V;PRS	N;INDF;FEM;PL
wysig	смяна	wysig	смяна	V;PRS	N;INDF;FEM;SG
wysig	промяна	wysig	промяна	V;PRS	N;INDF;FEM;SG
hoogtepunt	осветяване	hoogtepunt	осветяване	V;PRS	N;INDF;NEUT;SG
vergelyk	сравни	vergelyk	сравен		V;PFV;IMP;SG;2;FIN
vergelyk	сравнение	vergelyk	сравнение		N;INDF;NEUT;SG
vergelyk	сравняване	vergelyk	сравняване		N;INDF;NEUT;SG
maksimum	макс	maksimum	макс		N;INDF;MASC;SG
maksimum	максимална	maksimum	максимален		ADJ;INDF;FEM;SG
maksimum	максимален	maksimum	максимален		ADJ;INDF;MASC;SG
maksimum	максимум	maksimum	максимум		N;INDF;MASC;SG
maksimum	максимално	maksimum	максимално		ADV
fisiese	физическо	fisies	физически	ADJ;NOM	ADV
betref	опасения	betref	опасение	V;PRS	N;INDF;NEUT;PL
betref	притеснения	betref	притеснение	V;PRS	N;INDF;NEUT;PL
betref	загриженост	betref	загриженост	V;PRS	N;INDF;FEM;SG
hare	косми	haar	косъм	N;SG	N;INDF;MASC;PL
hare	коси	haar	коса	N;SG	N;INDF;FEM;PL
toeriste	туристическа	toeriste	туристически	N;PL	ADJ;INDF;FEM;SG
toeriste	турист	toeriste	турист	N;PL	N;INDF;MASC;SG
toeriste	туристически	toeriste	туристически	N;PL	ADJ;INDF;MASC;SG
gedwing	принудени	dwing	принудя-(се)		V;PFV;INDF;PL;V.PTCP;PASS
gedwing	принуден	dwing	принудя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
gedwing	принудително	dwing	принудително		ADV
león	леон	león	леон		PROPN;INDF;MASC;SG
direkte	директно	direk	директно	ADJ;NOM	ADV
direkte	пряко	direk	пряко	ADJ;NOM	ADV
karl	карл	karl	карл		PROPN;INDF;MASC;SG
turkse	турско	turks	турски	N;SG	ADV
turkse	турски	turks	турски	N;SG	ADJ;INDF;MASC;SG
turkse	турска	turks	турски	N;SG	ADJ;INDF;FEM;SG
programme	показва	program	показвам-(се)	N;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
tipies	обикновено	tipies	обикновено		ADV
gram	грама	gram	грама		N;DEF;MASC;SG
gram	грам	gram	грам		N;INDF;MASC;SG
nicolaas	николас	nicolaas	николас		PROPN;INDF;MASC;SG
nicolaas	никълъс	nicolaas	никълъс		PROPN;INDF;MASC;SG
bewyse	доказателство	bewys	доказателство	N;PL	N;INDF;NEUT;SG
chili	чили	chili	чила		PROPN;INDF;MASC;SG
gebruiker	потребителски	gebruiker	потребителски	N;SG	ADJ;INDF;MASC;SG
voedsel	храни	voedsel	храна	N;SG	N;INDF;FEM;PL
prinses	принцеса	prinses	принцеса	N;PL	N;INDF;FEM;SG
passasiers	пътнически	passasier	пътнически	N;PL	ADJ;INDF;MASC;SG
passasiers	пътник	passasier	пътник	N;PL	N;INDF;MASC;SG
passasiers	пътника	passasier	пътник	N;PL	N;DEF;MASC;SG
ngc	мишки	ngc	мишка		N;INDF;FEM;PL
ngc	ngc	ngc	ngc		N;INDF;MASC;SG
brits	британско	brits	британски		ADV
brits	британци	brits	британец		N;INDF;MASC;PL
brits	британска	brits	британски		ADJ;INDF;FEM;SG
brits	британец	brits	британец		N;INDF;MASC;SG
brits	британски	brits	британски		ADJ;INDF;MASC;SG
lodewyk	louis	lodewyk	louis		PROPN;INDF;MASC;SG
lodewyk	луи	lodewyk	луя		N;INDF;MASC;SG
lodewyk	луис	lodewyk	луис		PROPN;INDF;MASC;SG
leiers	лидерство	leier	лидерство	N;PL	N;INDF;NEUT;SG
angeles	анджелис	angele	анджелис		N;INDF;MASC;SG
tuin	градински	tuin	градински	N;SG	ADJ;INDF;MASC;SG
jonger	наемане	jonk	наемане	ADV;CMPR	N;INDF;NEUT;SG
industriële	промишлен	industrieel	промишлен	N;SG	ADJ;INDF;MASC;SG
industriële	индустриален	industrieel	индустриален	N;SG	ADJ;INDF;MASC;SG
industriële	индустриални	industrieel	индустриален	N;SG	ADJ;INDF;PL
industriële	промишлени	industrieel	промишлен	N;SG	ADJ;INDF;PL
industriële	индустриална	industrieel	индустриален	N;SG	ADJ;INDF;FEM;SG
redelik	панаир	redelik	панаир		N;INDF;MASC;SG
redelik	справедлив	redelik	справедлив		ADJ;INDF;MASC;SG
redelik	справедливо	redelik	справедливо		ADV
redelik	справедлива	redelik	справедлив		ADJ;INDF;FEM;SG
halfrond	полукълбо	halfrond	полукълбо	N;SG	ADV
friedrich	фридрих	friedrich	фридрих		PROPN;INDF;MASC;SG
bal	топка	bal	топка	V;PRS	N;INDF;FEM;SG
bal	бал	bal	бал	V;PRS	N;INDF;MASC;SG
bal	бол	bal	бол	V;PRS	N;INDF;MASC;SG
aparte	отделни	apart	отделен	PRO	ADJ;INDF;PL
aparte	разделени	apart	разделя-(се)	PRO	V;PFV;INDF;PL;V.PTCP;PASS
aparte	отделно	apart	отделно	PRO	ADV
aparte	отделна	apart	отделен	PRO	ADJ;INDF;FEM;SG
aparte	отделен	apart	отделен	PRO	ADJ;INDF;MASC;SG
aparte	отделени	apart	отделя-(се)	PRO	V;PFV;INDF;PL;V.PTCP;PASS
instellings	форматиране	instelling	форматиране	N;PL	N;INDF;NEUT;SG
sendeling	мисионер	sendeling	мисионер		N;INDF;MASC;SG
vreemde	неидентифициран	vreemd	неидентифицирам	ADJ;NOM	V;PFV;INDF;MASC;SG;V.PTCP;PASS
vreemde	неидентифицирани	vreemd	реитентифицирам	ADJ;NOM	V;PFV;INDF;PL;V.PTCP;PASS
sing	пеенето	sing	пеене	V;PRS	N;DEF;NEUT;SG
sing	пеене	sing	пеене	V;PRS	N;INDF;NEUT;SG
sing	пеейки	sing	пеейки	V;PRS	N;INDF;FEM;PL
uitgebreide	разширени	uitbrei	разширя-(се)	ADJ;NOM	V;PFV;INDF;PL;V.PTCP;PASS
uitgebreide	разширена	uitbrei	разширя-(се)	ADJ;NOM	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uitgebreide	удължен	uitbrei	удължа	ADJ;NOM	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uitgebreide	разширен	uitbrei	разширя-(се)	ADJ;NOM	V;PFV;INDF;MASC;SG;V.PTCP;PASS
