для	for	для	for	ADP	
используется	χρησιμοποιούμενα	использовать	χρησιμοποιούμενος	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADV
используется	χρησιμοποιούμενες	использовать	χρησιμοποιούμενος	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;NOM;FEM;PL
начало	ξεκινήστε	начало	ξεκινώ	N;INAN;NOM;NEUT;SG	V;PFV;IND;PL;2;FIN;ACT
начало	ξεκίνα	начало	ξεκίνα	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
начало	εκκίνηση	начало	εκκίνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
начало	έναρξη	начало	έναρξη	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
начало	αρχίζοντας	начало	αρχίζω	N;INAN;NOM;NEUT;SG	V;IPFV;V.CVB;ACT
начало	εκκίνηση	начало	εκκίνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
начало	ξεκινώντας	начало	ξεκινώ	N;INAN;NOM;NEUT;SG	V;IPFV;V.CVB;ACT
италии	ιταλία	италия	ιταλία	N;INAN;NOM;FEM;PL	PROPN;ACC;FEM;SG
италии	ιταλικά	италия	ιταλικά	N;INAN;NOM;FEM;PL	ADV
италии	ιταλική	италия	ιταλικός	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;SG
италии	ιταλός	италия	ιταλός	N;INAN;NOM;FEM;PL	PROPN;NOM;MASC;SG
италии	ιταλικό	италия	ιταλικός	N;INAN;NOM;FEM;PL	ADJ;NOM;NEUT;SG
положение	κατάσταση	положение	κατάσταση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
положение	κατασταση	положение	κατασταση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
положение	θεση	положение	θεση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
положение	θέση	положение	θέση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
мужчин	αρσενικά	мужчина	αρσενικά	N;ANIM;GEN;MASC;PL	ADJ;NOM;NEUT;PL
мужчин	ανδρες	мужчина	άντρας	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
мужчин	άντρες	мужчина	άντρας	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
мужчин	άνδρες	мужчина	άντρας	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
северной	βορρά	северный	βορράς	ADJ;INS;FEM;SG	N;ACC;MASC;SG
северной	βορεια	северный	βορεια	ADJ;INS;FEM;SG	N;NOM;FEM;SG
северной	βόρεια	северный	βόρεια	ADJ;INS;FEM;SG	ADV
северной	βορράς	северный	βορράς	ADJ;INS;FEM;SG	N;NOM;MASC;SG
северной	βόρειος	северный	βόρειος	ADJ;INS;FEM;SG	ADJ;NOM;MASC;SG
северной	βόρειο	северный	βόρειο	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
северной	βόρεια	северный	βόρεια	ADJ;INS;FEM;SG	ADV
северной	βορεια	северный	βορεια	ADJ;INS;FEM;SG	N;NOM;FEM;SG
острова	νήσοι	остров	νήσος	N;INAN;NOM;MASC;PL	
острова	island	остров	island	N;INAN;NOM;MASC;PL	
острова	νησί	остров	νησί	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
острова	νησι	остров	νησι	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
острова	νήσος	остров	νήσος	N;INAN;NOM;MASC;PL	PROPN;NOM;FEM;SG
дело	περίπτωση	дело	περίπτωση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
полк	πολκ	полк	πολκ	N;INAN;NOM;MASC;SG	
станция	σταθμό	станция	σταθμός	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
профессор	καθηγητή	профессор	καθηγητής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
профессор	καθηγητά	профессор	καθηγητά	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
американский	αμερικάνικα	американский	αμερικάνικος	ADJ;NOM;MASC;SG	ADV
американский	αμερικανοί	американский	Αμερικανός	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;PL
право	νόμο	право	νόμος	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
великобритании	βρετανικό	великобритание	βρετανικός	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
великобритании	βρετανός	великобритание	βρετανός	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
великобритании	βρετανική	великобритание	βρετανικός	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
великобритании	βρετανοί	великобритание	βρετανός	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;PL
великобритании	βρετανικά	великобритание	βρετανικά	N;INAN;NOM;FEM;SG	ADV
чемпион	πρωταθλητή	чемпион	πρωταθλητής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
чемпион	πρωταθλητή	чемпион	πρωταθλητής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
лучше	καλύτερα	хороший	καλά	ADJ;CMPR	ADV;CMPR
лучше	καλυτερα	хороший	καλυτερα	ADJ;CMPR	ADV
оно	ono	оно	ono	PRO;NOM;NEUT;SG;3	
андрей	αντρέι	андрей	αντρέι	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
андрей	αντρέι	андрей	αντρέι	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
андрей	αντρέι	андрей	αντρέι	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
андрей	άντριου	андрей	άντριος	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
андрей	αντριου	андрей	άντριος	N;ANIM;NOM;MASC;SG	
роли	ρόλος	роль	ρόλος	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
роли	ρόλο	роль	ρόλος	N;INAN;NOM;FEM;PL	N;ACC;MASC;SG
роли	ράλεϊ	роль	ράλεϊ	N;INAN;NOM;FEM;PL	
роли	ρόλων	роль	ρόλος	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
роли	ρόλους	роль	ρόλος	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
сезон	εποχή	сезон	εποχή	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
сезон	σεζον	сезон	σεζον	N;INAN;NOM;MASC;SG	
сезон	σεζόν	сезон	σεζόν	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
люди	ανθρώπους	человек	άνθρωπος	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
люди	κόσμος	человек	κόσμος	N;ANIM;NOM;MASC;PL	N;NOM;MASC;SG
люди	ανθρώπους	человек	άνθρωπος	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
управление	ελέγχου	управление	έλεγχος	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
управление	διοίκηση	управление	διοίκηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
управление	διαχείρισης	управление	διαχείριση	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
управление	διακυβέρνηση	управление	διακυβέρνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
длина	μήκος	длина	μήκος	N;INAN;NOM;FEM;SG	N;ACC;NEUT;SG
хорошо	καλή	хорошо	καλός	ADV	ADJ;NOM;FEM;SG
хорошо	καλό	хорошо	καλός	ADV	ADJ;NOM;NEUT;SG
хорошо	οκ	хорошо	οκ	ADV	N
вместо	αντ	вместо	αντ	ADP	N
тип	τύπου	тип	τύπος	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
тип	type	тип	type	N;INAN;NOM;MASC;SG	
средняя	μεση	средний	μεσος	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
средняя	μεσαία	средний	μεσαίος	ADJ;NOM;FEM;SG	ADV
средняя	μέση	средний	μέσο	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
средняя	μεσαίο	средний	μεσαίος	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
средняя	μέσος	средний	μέσος	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
средняя	μέση	средний	μέσο	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
средняя	μέτρια	средний	μέτρι	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
средняя	μεσαία	средний	μεσαίος	ADJ;NOM;FEM;SG	ADV
средняя	μεσαίο	средний	μεσαίος	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
средняя	μέσο	средний	μέσος	ADJ;NOM;FEM;SG	N;ACC;NEUT;SG
художник	καλλιτέχνη	художник	καλλιτέχνος	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
российская	ρώσικα	российский	ρώσικα	ADJ;NOM;FEM;SG	ADV
российская	ρωσικά	российский	ρωσικός	ADJ;NOM;FEM;SG	ADV
российская	ρώσος	российский	ρώσος	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG
одно	ενα	один	ένας	DET;NOM;NEUT;SG	N;NOM;NEUT;SG
одно	μία	один	ένας	DET;NOM;NEUT;SG	NUM;NOM;FEM;SG
одно	ένα	один	ένας	DET;NOM;NEUT;SG	NUM;NOM;NEUT;SG
одно	μια	один	ένας	DET;NOM;NEUT;SG	NUM;NOM;FEM;SG
алексей	αλεξέι	алекс	αλεξέι	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
алексей	αλέξις	алекс	αλέξις	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
возможность	ευκαιρία	возможность	ευκαιρία	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
возможность	δυνατότητα	возможность	δυνατότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
возможность	πιθανότητα	возможность	πιθανότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
какой	τι	какой	τι	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
создания	δημιουργία	создание	δημιουργία	N;INAN;GEN;NEUT;SG	N;ACC;FEM;SG
премия	premium	премия	premium	N;INAN;NOM;FEM;SG	
выпускники	τελειόφοιτοι	выпускник	τελειόφοιτος	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
выпускники	αποφοίτων	выпускник	απόφοιτος	N;ANIM;NOM;MASC;PL	N;GEN;NEUT;PL
сср	ssr	сср	ssr	N;INAN;NOM;FEM;SG	
новые	νεα	новый	νέος	ADJ;NOM;PL	N;NOM;FEM;SG
новые	νέο	новый	νέος	ADJ;NOM;PL	ADJ;ACC;NEUT;SG
новые	νέος	новый	νέος	ADJ;NOM;PL	ADJ;NOM;MASC;SG
основные	κύρια	основной	κύριος	ADJ;NOM;PL	ADV
основные	βασικός	основной	βασικός	ADJ;NOM;PL	ADJ;NOM;MASC;SG
основные	βασική	основной	βασικός	ADJ;NOM;PL	ADJ;NOM;FEM;SG
основные	βασικό	основной	βασικός	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
основные	βασικού	основной	βασικός	ADJ;NOM;PL	ADJ;GEN;NEUT;SG
известные	γνωστή	известный	γνωστός	ADJ;NOM;PL	ADJ;NOM;FEM;SG
известные	γνωστός	известный	γνωστός	ADJ;NOM;PL	ADJ;NOM;MASC;SG
известные	γνωστό	известный	γνωστός	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
южной	νότιο	южный	νότιος	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
южной	νότιος	южный	νότιος	ADJ;INS;FEM;SG	ADJ;NOM;MASC;SG
южной	νότια	южный	νότιος	ADJ;INS;FEM;SG	ADV
южной	νότιο	южный	νότιος	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
южной	νοτια	южный	νοτίος	ADJ;INS;FEM;SG	N;NOM;FEM;SG
южной	νότια	южный	νότιος	ADJ;INS;FEM;SG	ADV
южной	νότος	южный	νότος	ADJ;INS;FEM;SG	N;NOM;MASC;SG
метров	μετρητές	метр	μετρητός	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
корпуса	σώμα	корпус	σώμα	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
президент	πρόεδρος	президент	πρόεδρος	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
президент	πρόεδρε	президент	πρόεδρος	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
президент	πρόεδρο	президент	πρόεδρος	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
четыре	four	четыре	four	NUM;NOM	
четыре	τεσσερα	четыре	τέσσερις	NUM;NOM	N;NOM;NEUT;PL
стоит	γουόρθ	стоить	γουόρθ	V;IPFV;IND;SG;3;PRS;FIN;ACT	
информация	info	информация	info	N;INAN;NOM;FEM;SG	
информация	πληροφορίες	информация	πληροφορία	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
информация	πληροφορίες	информация	πληροφορία	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
информация	πληροφορία	информация	πληροφορία	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
информация	πληροφόρηση	информация	πληροφόρηση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
большая	μεγάλα	большой	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;PL
большая	μεγάλα	большой	μεγάλος	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;PL
кино	κίνο	кино	κίνο	N;INAN;NOM;NEUT;SG	
кино	ταινίες	кино	ταινία	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
кино	κινηματογράφο	кино	κινηματογράφος	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
деревни	χωριών	деревня	χώρα	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
силы	force	сила	force	N;INAN;NOM;FEM;PL	
силы	δύναμη	сила	δύναμη	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
внимание	προσοχη	внимание	προσόχος	N;INAN;NOM;NEUT;SG	
внимание	εστίαση	внимание	εστίαση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
государства	κρατών	государство	κράτος	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;PL
александра	αλεξάνδρα	александр	αλεξάνδρος	N;ANIM;ACC;MASC;SG	PROPN;NOM;FEM;SG
писатель	συγγραφέα	писатель	συγγραφέα	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
движения	κίνηση	движение	κίνηση	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
движения	κυκλοφορία	движение	κυκλοφορία	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
роман	ρωμαϊκό	роман	ρωμαϊκός	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
роман	ρωμαϊκή	роман	ρωμαϊκός	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
роман	ρωμαίος	роман	ρωμαίος	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
роман	ρόμαν	роман	ρόμα	N;INAN;NOM;MASC;SG	
дней	ημέρες	день	ημέρα	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
дней	ημερες	день	ημερώ	N;INAN;GEN;MASC;PL	PRO;NOM;FEM;PL;3
дней	μέρες	день	μέρα	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
новых	νεα	новый	νέος	ADJ;GEN;PL	N;NOM;FEM;SG
новых	νέο	новый	νέος	ADJ;GEN;PL	ADJ;ACC;NEUT;SG
новых	νέα	новый	νέος	ADJ;GEN;PL	ADJ;NOM;NEUT;PL
новых	νέος	новый	νέος	ADJ;GEN;PL	ADJ;NOM;MASC;SG
клубы	σύλλογοι	клуб	σύλλογος	N;INAN;NOM;MASC;PL	ADJ;NOM;MASC;PL
клубы	μπαστούνια	клуб	μπαστούνιος	N;INAN;NOM;MASC;PL	V;PFV;IND;PL;3;PST;FIN;PASS
клубы	κλαμπ	клуб	κλαμπ	N;INAN;NOM;MASC;PL	
джон	τζων	джон	τζων	N;ANIM;NOM;MASC;SG	
джон	τζον	джон	τζο	N;ANIM;NOM;MASC;SG	
джон	john	джон	john	N;ANIM;NOM;MASC;SG	
джон	ιωάννης	джон	ιωάννης	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
джон	τζον	джон	τζο	N;ANIM;NOM;MASC;SG	
джон	γιον	джон	γιον	N;ANIM;NOM;MASC;SG	
граф	καταμέτρηση	граф	καταμέτρηση	N;ANIM;NOM;MASC;SG	N;ACC;FEM;SG
граф	κόμη	граф	κόμη	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
граф	γραφική	граф	γραφικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
процент	ποσοστιαία	процент	ποσοστιαίος	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
новая	νεα	новый	νέος	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
новая	νέο	новый	νέος	ADJ;NOM;FEM;SG	ADJ;ACC;NEUT;SG
новая	νέα	новый	νέος	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;PL
известен	γνωστοί	известный	γνωστός	ADJ;MASC;SG	ADJ;NOM;MASC;PL
известен	γνωστές	известный	γνωστός	ADJ;MASC;SG	ADJ;NOM;FEM;PL
мини	μίνι	мин	μίνι		NUM;NOM;NEUT;SG
мини	mini	мин	mini		
сил	δυνάμεις	сила	δύναμη	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
каждый	ολοι	каждый	ολος	DET;NOM;MASC;SG	PRO;NOM;MASC;PL;3
каждый	όλοι	каждый	όλος	DET;NOM;MASC;SG	ADJ;NOM;MASC;PL
каждый	κάθε	каждый	κάθε	DET;NOM;MASC;SG	PRO;ACC;FEM;SG;3
каждый	καθε	каждый	καθε	DET;NOM;MASC;SG	N
каждый	έκαστος	каждый	έκαστος	DET;NOM;MASC;SG	N;NOM;MASC;PL
каждый	κάθε	каждый	κάθε	DET;NOM;MASC;SG	PRO;ACC;FEM;SG;3
счёт	account	счет	account	N;INAN;NOM;MASC;SG	
счёт	λογαριασμό	счет	λογαριασμός	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
счёт	βαθμολογία	счет	βαθμολογία	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
счёт	σκορ	счет	σκορ	N;INAN;NOM;MASC;SG	
отношения	σχέση	отношение	σχέση	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
отношения	σχεση	отношение	σχεση	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
доктор	δόκτωρ	доктор	δόκτωρ	N;ANIM;NOM;MASC;SG	
доктор	γιατρέ	доктор	γιατρές	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
использовать	χρήση	использовать	χρήση	V;IPFV;NFIN;ACT	N;ACC;FEM;SG
использовать	χρησιμοποίηση	использовать	χρησιμοποίηση	V;IPFV;NFIN;ACT	N;ACC;FEM;SG
стран	χώρες	страна	χώρα	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
стран	χωρες	страна	χωρα	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
заголовок	κατεύθυνση	заголовок	κατεύθυνση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
заголовок	τίτλος	заголовок	τίτλος	N;INAN;NOM;MASC;SG	NUM;NOM;MASC;SG
лучший	καλύτερα	лучший	καλά	ADJ;NOM;MASC;SG	ADV;CMPR
лучший	καλύτερο	лучший	καλά	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
лучший	best	лучший	best	ADJ;NOM;MASC;SG	
восточной	oriental	восточный	oriental	ADJ;INS;FEM;SG	
восточной	ανατολική	восточный	ανατολικός	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG
восточной	ανατολικά	восточный	ανατολικά	ADJ;INS;FEM;SG	ADV
восточной	ανατολικό	восточный	ανατολικός	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
восточной	ανατολικές	восточный	ανατολικός	ADJ;INS;FEM;SG	ADJ;NOM;FEM;PL
видов	ειδη	вид	ειδη	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
видов	είδος	вид	είδος	N;INAN;GEN;MASC;PL	N;NOM;NEUT;SG
видов	είδη	вид	είδος	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
удалось	κατάφερε	удаться	καταφέρνω	V;PFV;NEUT;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;ACT
удалось	πέτυχε	удаться	πετυχαίνω	V;PFV;NEUT;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;ACT
западной	δυτικά	западный	δυτικά	ADJ;INS;FEM;SG	ADV
западной	γουέστερν	западный	γουέστερν	ADJ;INS;FEM;SG	
западной	δυτικό	западный	δυτικός	ADJ;INS;FEM;SG	N;NOM;NEUT;SG
западной	δυτική	западный	δυτικός	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG
западной	western	западный	western	ADJ;INS;FEM;SG	
всем	ολοι	все	ολος	PRO;ANIM;DAT;PL	PRO;NOM;MASC;PL;3
всем	όλοι	все	όλος	PRO;ANIM;DAT;PL	ADJ;NOM;MASC;PL
всем	ολα	все	όλος	PRO;ANIM;DAT;PL	ADV
всем	όλοι	все	όλος	PRO;ANIM;DAT;PL	ADJ;NOM;MASC;PL
всем	όλες	все	όλος	PRO;ANIM;DAT;PL	ADJ;NOM;FEM;PL
всем	όλα	все	όλος	PRO;ANIM;DAT;PL	ADJ;NOM;NEUT;PL
всем	ολοι	все	ολος	PRO;ANIM;DAT;PL	PRO;NOM;MASC;PL;3
всем	όλοι	все	όλος	PRO;ANIM;DAT;PL	ADJ;NOM;MASC;PL
слово	λέξη	слово	λέξη	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
дочь	κορη	дочь	κορη	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
фон	φόντο	фон	φόντος	PART	N;NOM;NEUT;SG
фон	υπόβαθρο	фон	υπόβαθρος	PART	N;NOM;NEUT;SG
фон	ιστορικό	фон	ιστορικός	PART	ADJ;NOM;NEUT;SG
последний	τελευταίοι	последний	τελευταίος	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
последний	τελευταια	последний	τελευταίος	ADJ;NOM;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
последний	τελευταία	последний	τελευταία	ADJ;NOM;MASC;SG	ADV
правил	κανόνες	правило	κανόνας	N;INAN;GEN;NEUT;PL	N;NOM;MASC;PL
точки	τελείες	точка	τελεία	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;PL
мария	μαρία	мария	μαρία	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
мария	μαρια	мария	μαρια	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
партия	party	партия	party	N;INAN;NOM;FEM;SG	
страницы	σελίδα	страница	σελίδα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
страницы	page	страница	page	N;INAN;NOM;FEM;PL	
страницы	σελιδα	страница	σελιδα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
спасибо	ευχαριστούμε	спасибо	ευχαριστώ	N;INAN;NOM;NEUT;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
спасибо	ευχαριστίες	спасибо	ευχαριστία	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
спасибо	ευχαριστω	спасибо	ευχαριστω	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
спасибо	ευχαριστώ	спасибо	ευχαριστώ	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
включает	περιλαμβάνονται	включать	περιλαμβάνω	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
включая	συμπεριλαμβανομένου	включая	συμπεριλαμβανόμενος	ADV	V;PFV;GEN;MASC;SG;V.PTCP;PASS
включая	συμπεριλαμβανομένης	включая	συμπεριλαμβανόμενος	ADV	V;PFV;GEN;FEM;SG;V.PTCP;PASS
включая	συμπεριλαμβανομένων	включая	συμπεριλαμβανόμενος	ADV	V;PFV;GEN;FEM;PL;V.PTCP;PASS
дмитрий	ντιμίτρι	дмитрий	ντιμίτρι	N;ANIM;NOM;MASC;SG	
дмитрий	ντιμίτρι	дмитрий	ντιμίτρι	N;ANIM;NOM;MASC;SG	
дмитрий	δημήτρη	дмитрий	δημήτρης	N;ANIM;NOM;MASC;SG	PROPN;ACC;MASC;SG
председатель	πρόεδρος	председатель	πρόεδρος	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
председатель	πρόεδρε	председатель	πρόεδρος	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
председатель	πρόεδρο	председатель	πρόεδρος	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
моря	θάλασσα	море	θάλασσα	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
моря	θαλασσα	море	θαλασσα	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
страна	χωρα	страна	χωρα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
одновременно	ταυτόχρονη	одновременно	ταυτόχρονος	ADV	ADJ;NOM;FEM;SG
дороги	δρόμους	дорога	δρόμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
русские	ρωσική	русский	ρωσικός	N;ANIM;NOM;MASC;PL	ADJ;NOM;FEM;SG
русские	ρώσικα	русский	ρώσικα	N;ANIM;NOM;MASC;PL	ADV
русские	ρωσικά	русский	ρωσικός	N;ANIM;NOM;MASC;PL	ADV
русские	ρώσος	русский	ρώσος	N;ANIM;NOM;MASC;PL	PROPN;NOM;MASC;SG
русские	ρώσους	русский	Ρώσος	N;ANIM;NOM;MASC;PL	PROPN;ACC;MASC;PL
русские	ρώσοι	русский	Ρώσος	N;ANIM;NOM;MASC;PL	PROPN;NOM;MASC;PL
александрович	αλεξάντροβιτς	александрович	αλεξάντροβιτς	N;ANIM;NOM;MASC;SG	
виктор	βίκτορ	виктор	βίκτορ	N;ANIM;NOM;MASC;SG	
виктор	βίκτωρ	виктор	βίκτωρ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
виктор	βίκτορ	виктор	βίκτορ	N;ANIM;NOM;MASC;SG	
виктор	βίκτωρ	виктор	βίκτωρ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
виктор	victor	виктор	victor	N;ANIM;NOM;MASC;SG	
мир	world	мир	world	N;INAN;NOM;MASC;SG	
мир	κόσμο	мир	κόσμος	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
мир	ειρηνη	мир	ειρηνη	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
мир	μιρ	мир	μιρ	N;INAN;NOM;MASC;SG	
работа	εργασίες	работа	εργασία	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
работа	δουλεια	работа	δουλεια	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
работа	δουλεύοντας	работа	δουλεύω	N;INAN;NOM;FEM;SG	V;IPFV;V.CVB;ACT
японии	ιαπωνίας	япония	ιαπωνία	N;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
японии	ιαπωνία	япония	ιαπωνία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
японии	γιαπωνέζικα	япония	γιαπωνέζικος	N;INAN;NOM;FEM;SG	ADV
японии	ιαπωνικά	япония	ιαπωνικά	N;INAN;NOM;FEM;SG	ADV
японии	ιάπωνες	япония	ιάπωνας	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
японии	γιαπωνέζοι	япония	γιαπωνώζος	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
