den	на	den	на	PRO;DEF;MASC+FEM;SG	ADP;ACC
gunnar	гуннар	gunnar	гуннар	PROPN;NOM	PROPN;ANIM;NOM;FEM;SG
nere	вниз	nere	вниз	ADV	
nere	down	nere	down	ADV	
nere	униз	nere	униз	ADV	
nere	даун	nere	даун	ADV	PROPN;ANIM;NOM;MASC;SG
örebro	еребру	örebro	еребра	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
rom	рим	rom	рима	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
rom	rom	rom	rom	PROPN;NOM	
rom	ром	rom	ром	PROPN;NOM	N;INAN;NOM;MASC;SG
rom	рому	rom	рім	PROPN;NOM	N;INAN;GEN;MASC;SG
betydelse	важливості	betydelse	важливість	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;FEM;SG
imagesize	imagesize	imagesize	imagesize	N;NOM;INDF;NEUT;SG	
saskatchewan	саскачеван	saskatcheba	саскачеван	N;NOM;DEF;MASC+FEM;SG	PROPN;INAN;NOM;FEM;SG
timeaxis	timeaxis	timeaxis	timeaxis	N;NOM;INDF;MASC+FEM;SG	
plotarea	plotarea	plotare	plotarea	N;NOM;INDF;MASC+FEM;PL	
scalemajor	scalemajor	scalemajo	scalemajor	N;NOM;INDF;MASC+FEM;PL	
starkt	сильним	stark	сильний	ADV	ADJ;INS;NEUT;SG
starkt	сильні	stark	сильний	ADV	ADJ;NOM;PL
starkt	сильною	stark	сильний	ADV	ADJ;INS;FEM;SG
starkt	сильний	stark	сильний	ADV	ADJ;NOM;MASC;SG
starkt	сильна	stark	сильний	ADV	ADJ;NOM;FEM;SG
johann	йоганн	johan	йоганн	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
johann	йоган	johan	йоган	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
insee	insee	insee	insee	V;IMP;FIN;ACT	
dateformat	dateformat	dateformat	dateformat	N;NOM;INDF;MASC+FEM;SG	
textcolor	textcolor	textcola	textcolor	N;NOM;INDF;MASC+FEM;PL	
alignbars	alignbars	alignbar	alignbars	N;NOM;INDF;MASC+FEM;SG	
josé	жозе	josé	жоза	PROPN;NOM	PROPN;ANIM;NOM;FEM;SG
josé	хосе	josé	хось	PROPN;NOM	PROPN;ANIM;NOM;FEM;SG
finska	фінська	finsk	фінський	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
köpenhamn	копенгаген	köpenhamn	копенгаген	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
skapa	створення	skapa	створення	V;IMP;FIN;ACT	N;INAN;NOM;NEUT;SG
skapa	створення	skapa	створення	V;IMP;FIN;ACT	N;INAN;NOM;NEUT;SG
musiker	музикант	musik	музикант	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
musiker	музикантів	musik	музикант	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL
sångare	співаки	sång	співак	N;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
sångare	співака	sång	співак	N;NOM;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
mont	мон	mont	мон	N;NOM;INDF;NEUT;SG	
hem	домашній	hem	домашній	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
hem	додому	hem	додому	N;NOM;INDF;NEUT;SG	ADV
ursprung	джерел	ursprung	джерело	N;NOM;INDF;NEUT;SG	N;INAN;GEN;NEUT;PL
vet	know	veta	know	V;IND;PRS;FIN;ACT	
vet	знайома	veta	знайомий	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG
polen	польщу	pol	польща	PROPN;NOM	PROPN;INAN;ACC;FEM;SG
polen	польща	pol	польща	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
polen	польщі	pol	польща	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
håller	згодна	hålla	згодна	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG
håller	згоден	hålla	згодений	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN
håller	згодні	hålla	згодні	V;IND;PRS;FIN;ACT	ADJ;NOM;PL
håller	погодьтеся	hålla	погодитися	V;IND;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN
håller	тримала	hålla	тримати	V;IND;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
håller	плакатами	hålla	плакат	V;IND;PRS;FIN;ACT	N;INAN;INS;MASC;PL
bulgarien	болгарії	bulgarien	болгарія	N;NOM;DEF;MASC+FEM;SG	PROPN;INAN;NOM;FEM;SG
bulgarien	болгарія	bulgarien	болгарія	N;NOM;DEF;MASC+FEM;SG	PROPN;INAN;NOM;FEM;SG
längs	вздовж	längs	вздовж	ADV	
längs	уздовж	längs	уздовж	ADV	ADP;GEN
ordning	замовити	ordning	замовити	N;NOM;INDF;MASC+FEM;SG	V;PFV;NFIN
förslag	пропозиція	förslag	пропозиція	N;NOM;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
förslag	пропозиція	förslag	пропозиція	N;NOM;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
förlag	публікацією	förlag	публікація	N;NOM;INDF;NEUT;SG	N;INAN;INS;FEM;SG
förlag	видавців	förlag	видавець	N;NOM;INDF;NEUT;SG	N;ANIM;ACC;MASC;PL
parti	партії	parti	партія	N;NOM;INDF;NEUT;SG	N;INAN;GEN;FEM;SG
parti	вечірки	parti	вечірка	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
parti	party	parti	party	N;NOM;INDF;NEUT;SG	
parti	пакетного	parti	пакетний	N;NOM;INDF;NEUT;SG	ADJ;GEN;MASC;SG
parti	лот	parti	лот	N;NOM;INDF;NEUT;SG	
äldsta	найстаріших	gammal	найстаріший	ADJ;NOM;DEF;RL	ADJ;GEN;RL;PL
äldsta	старшому	gammal	старший	ADJ;NOM;DEF;RL	ADJ;DAT;RL;NEUT;SG
singel	окремі	singel	окремий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
singel	single	singel	single	N;NOM;INDF;MASC+FEM;SG	
singel	самотній	singel	самотній	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
behöver	need	behöva	need	V;IND;PRS;FIN;ACT	
behöver	треба	behöva	треба	V;IND;PRS;FIN;ACT	ADV
behöver	потрібно	behöva	потрібно	V;IND;PRS;FIN;ACT	ADV
behöver	потреби	behöva	потреба	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;PL
behöver	потреба	behöva	потреба	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
behöver	потреб	behöva	потреб	V;IND;PRS;FIN;ACT	N;INAN;GEN;FEM;PL
behöver	потреби	behöva	потреба	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;PL
alfred	альфред	alfred	альфред	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
icke	non	icke	non	PART;NEG	
icke	нон	icke	нона	PART;NEG	
danska	данська	dansk	данський	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
colorado	колорадо	colorado	колорадо	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG
procent	відсотки	procent	відсоток	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
procent	відсотків	procent	відсоток	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;PL
procent	відсотками	procent	відсоток	N;NOM;INDF;MASC+FEM;SG	N;INAN;INS;MASC;PL
procent	відсотки	procent	відсоток	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
procent	відсотків	procent	відсоток	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;PL
procent	відсотки	procent	відсоток	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
ernst	ернст	ernst	ернст	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
live	жити	live	жити	N;NOM;INDF;NEUT;SG	V;IPFV;NFIN
live	live	live	live	N;NOM;INDF;NEUT;SG	
live	наживо	live	наживо	N;NOM;INDF;NEUT;SG	ADV
live	живу	live	жити	N;NOM;INDF;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN
ludwig	людвіг	ludwig	людвіг	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
sul	sul	sul	sul	V;IMP;FIN;ACT	
vägen	дорожні	väg	дорожній	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;PL
gammal	старі	gammal	старий	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
gammal	старим	gammal	старий	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INS;NEUT;SG
tryckta	надруковано	trycka	надруковано	ADJ;NOM;PL;PST;V.PTCP	V;PFV;IND;0;FIN
modern	сучасні	mor	сучасний	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;PL
modern	сучасно	mor	сучасно	N;NOM;DEF;MASC+FEM;SG	ADV
modern	сучасний	mor	сучасний	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
modern	сучасне	mor	сучасне	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
centrum	centrum	centrum	centrum	N;NOM;INDF;NEUT;SG	
hemsida	сайті	hemsida	сайт	N;NOM;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG
sådana	такі	sån	такий	PRO;INDF;PL	DET;NOM;PL
studier	вивчення	studie	вивчення	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
studier	навчання	studie	навчання	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
studier	студій	studie	студія	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;FEM;PL
studier	вивчає	studie	вивчати	N;NOM;INDF;MASC+FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
studier	дослідження	studie	дослідження	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
filmer	films	filma	films	N;NOM;INDF;MASC+FEM;PL	
filmer	фільмів	filma	фільм	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
filmer	знімали	filma	знімати	N;NOM;INDF;MASC+FEM;PL	V;IPFV;IND;PL;PST;FIN
filmer	кіно	filma	кіно	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
ben	бене	ben	бена	N;NOM;INDF;NEUT;PL	
ben	бен	ben	бен	N;NOM;INDF;NEUT;PL	PROPN;ANIM;NOM;MASC;SG
ben	ben	ben	ben	N;NOM;INDF;NEUT;PL	
ben	кістка	ben	кістка	N;NOM;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
ben	ніжку	ben	ніжка	N;NOM;INDF;NEUT;PL	N;INAN;ACC;FEM;SG
ben	нога	ben	нога	N;NOM;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
ben	нозі	ben	ноза	N;NOM;INDF;NEUT;PL	N;INAN;DAT;FEM;SG
ben	ногу	ben	нога	N;NOM;INDF;NEUT;PL	N;INAN;ACC;FEM;SG
snart	soon	snart	soon	ADV	
montana	монтана	montan	монтан	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;FEM;SG
fylke	шир	fylka	шир	PROPN;NOM	
roller	американські	roll	американський	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;PL
uppdrag	місій	uppdrag	місія	N;NOM;INDF;NEUT;SG	N;INAN;GEN;FEM;PL
uppdrag	місії	uppdrag	місія	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
rivière	rivière	rivière	rivière	N;NOM;INDF;NEUT;SG	
francis	френсіс	francis	френсіс	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
francis	франциск	francis	франциск	PROPN;NOM	N;ANIM;NOM;MASC;SG
vita	білий	vit	білий	ADJ;NOM;PL	ADJ;NOM;MASC;SG
vita	біла	vit	білий	ADJ;NOM;PL	ADJ;NOM;FEM;SG
vita	біле	vit	білий	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
vita	вайт	vit	вайт	ADJ;NOM;PL	PROPN;ANIM;NOM;MASC;SG
vita	віта	vit	віта	ADJ;NOM;PL	PROPN;ANIM;NOM;FEM;SG
kanal	каналом	kanal	канал	N;NOM;INDF;MASC+FEM;SG	N;INAN;INS;MASC;SG
kanal	channel	kanal	channel	N;NOM;INDF;MASC+FEM;SG	
kanal	каналу	kanal	канал	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
ålder	віці	ålder	вік	N;NOM;INDF;MASC+FEM;SG	ADV
club	club	club	club	N;NOM;INDF;NEUT;SG	
flertal	декілька	flertal	декілька	N;NOM;INDF;NEUT;SG	DET;NOM
morro	morro	morro	morro	V;IMP;FIN;ACT	
borde	повинен	böra	повинний	V;IND;PST;FIN;ACT	ADJ;NOM;MASC;SG
borde	слід	böra	слід	V;IND;PST;FIN;ACT	ADV
borde	повинно	böra	повинно	V;IND;PST;FIN;ACT	ADV
borde	should	böra	should	V;IND;PST;FIN;ACT	
tidigt	рання	tidig	ранній	ADV	ADJ;NOM;FEM;SG
tidigt	раннє	tidig	ранній	ADV	ADJ;NOM;NEUT;SG
tidigt	ранній	tidig	ранній	ADV	ADJ;NOM;MASC;SG
troligen	можливий	troligen	можливий	ADV	ADJ;NOM;MASC;SG
senaste	останній	sen	останній	ADJ;NOM;DEF;RL	ADJ;NOM;MASC;SG
senaste	остання	sen	останній	ADJ;NOM;DEF;RL	ADJ;NOM;FEM;SG
senaste	останнє	sen	останній	ADJ;NOM;DEF;RL	ADJ;NOM;NEUT;SG
senaste	останні	sen	останній	ADJ;NOM;DEF;RL	ADJ;NOM;PL
senaste	остання	sen	останній	ADJ;NOM;DEF;RL	ADJ;NOM;FEM;SG
sådan	такі	sån	такий	ADJ;NOM;INDF;MASC+FEM;SG	DET;NOM;PL
ändå	still	ändå	still	ADV	
kastilien	кастилія	kastilien	кастилія	PROPN;NOM	N;INAN;NOM;FEM;SG
brazzaville	браззавіль	brazzaville	браззавіль	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG
die	загине	du	загинути	N;NOM;INDF;NEUT;SG	V;PFV;IND;SG;3;FUT;FIN
die	die	du	die	N;NOM;INDF;NEUT;SG	
die	померти	du	померти	N;NOM;INDF;NEUT;SG	V;PFV;NFIN
tidningen	magazine	tidning	magazine	N;NOM;DEF;MASC+FEM;SG	
isla	ісла	isla	іслий	N;NOM;INDF;MASC+FEM;SG	
oued	уед	oued	уед	N	
juan	хуан	juan	хуан	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
gräs	трави	gräs	трава	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
port	пор	port	пор.	N;NOM;INDF;NEUT;SG	
mine	моє	man	мій	N;NOM;INDF;NEUT;SG	DET;NOM;NEUT;SG;1
mine	мій	man	мій	N;NOM;INDF;NEUT;SG	DET;NOM;MASC;SG;1
beirut	бейрута	beirut	бейрутий	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
ledare	ватажок	ledare	ватажок	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
ledare	лідер	ledare	лідер	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
ledare	редакцій	ledare	редакція	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;FEM;PL
ledare	лідерів	ledare	лідер	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL
material	матеріали	material	матеріал	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
material	матеріали	material	матеріал	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
don	дон	don	дон	N;NOM;INDF;MASC+FEM;SG	
norska	норвезька	norska	норвезький	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
folk	народний	folk	народний	N;NOM;INDF;NEUT;PL	ADJ;NOM;MASC;SG
folk	народного	folk	народний	N;NOM;INDF;NEUT;PL	ADJ;GEN;MASC;SG
folk	фольклор	folk	фольклор	N;NOM;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
folk	народні	folk	народний	N;NOM;INDF;NEUT;PL	ADJ;NOM;PL
folk	фолк	folk	фолк	N;NOM;INDF;NEUT;PL	
folk	народна	folk	народний	N;NOM;INDF;NEUT;PL	ADJ;NOM;FEM;SG
folk	народ	folk	народ	N;NOM;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
folk	людей	folk	людина	N;NOM;INDF;NEUT;PL	N;ANIM;ACC;FEM;PL
nästa	next	nästa	next	ADJ;NOM	
nästa	далі	nästa	далі	ADJ;NOM	ADV
skogar	лісі	skoga	ліс	N;NOM;INDF;MASC+FEM;PL	N;INAN;DAT;MASC;SG
skogar	лісах	skoga	ліс	N;NOM;INDF;MASC+FEM;PL	N;INAN;ESS;MASC;PL
skogar	лісами	skoga	ліс	N;NOM;INDF;MASC+FEM;PL	N;INAN;INS;MASC;PL
monte	монте	monte	монти	N;NOM;INDF;NEUT;SG	
skottland	шотландія	skottland	шотландія	PROPN;NOM	N;INAN;NOM;FEM;SG
skottland	шотландії	skottland	шотландія	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
historiska	історичний	historisk	історичний	ADJ;NOM;PL	ADJ;NOM;MASC;SG
historiska	історичної	historisk	історичний	ADJ;NOM;PL	ADJ;GEN;FEM;SG
historiska	історична	historisk	історичний	ADJ;NOM;PL	ADJ;NOM;FEM;SG
historiska	історичне	historisk	історичний	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
norsk	norsk	norsk	norsk	ADJ;NOM;INDF;MASC+FEM;SG	
längd	довжини	längd	довжина	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
brown	браун	brown	брауна	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
brown	коричневі	brown	коричнівий	PROPN;NOM	ADJ;NOM;PL
brown	brown	brown	brown	PROPN;NOM	
brown	коричневий	brown	коричневий	PROPN;NOM	ADJ;NOM;MASC;SG
kungen	кінг	kung	кінг	N;NOM;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
petit	петі	petit	пет	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;FEM;SG
bgcolor	bgcolor	bgcola	bgcolor	N;NOM;INDF;MASC+FEM;PL	
togs	taken	ta	taken	V;IND;PST;FIN;PASS	
insekter	комах	insekt	комаха	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;FEM;PL
insekter	жуків	insekt	жук	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL
insekter	вад	insekt	вад	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;FEM;PL
möjligt	можливо	möjlig	можливо	ADJ;NOM;INDF;NEUT;SG	ADV
grekiska	грецька	grekisk	грецький	ADJ;NOM;PL	N;INAN;NOM;FEM;SG
grekiska	грецький	grekisk	грецький	ADJ;NOM;PL	ADJ;NOM;MASC;SG
grekiska	грецьке	grekisk	грецький	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
grekiska	грек	grekisk	грек	ADJ;NOM;PL	N;ANIM;NOM;MASC;SG
snabbt	швидкі	snabb	швидкий	ADV	ADJ;NOM;PL
snabbt	швидке	snabb	швидке	ADV	ADJ;NOM;NEUT;SG
snabbt	швидка	snabb	швидкий	ADV	ADJ;NOM;FEM;SG
snabbt	швидкий	snabb	швидкий	ADV	ADJ;NOM;MASC;SG
snabbt	швидкі	snabb	швидкий	ADV	ADJ;NOM;PL
snabbt	швидке	snabb	швидке	ADV	ADJ;NOM;NEUT;SG
snabbt	швидка	snabb	швидкий	ADV	ADJ;NOM;FEM;SG
snabbt	фаст	snabb	фаст	ADV	
snabbt	швидкий	snabb	швидкий	ADV	ADJ;NOM;MASC;SG
armén	армії	arm	армія	N;NOM;DEF;MASC+FEM;SG	N;INAN;GEN;FEM;SG
armén	армійський	arm	армійський	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
program	програми	program	програма	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
program	програми	program	програма	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
und	und	und	und	V;IMP;FIN;ACT	
venezuela	венесуели	venezuel	венесует	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
visade	показаний	visa	показаний	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
visade	показана	visa	показаний	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
visade	показані	visa	показаний	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;PL;V.PTCP;PASS
visade	обрані	visa	обран	V;IND;PST;FIN;ACT	N;ANIM;NOM;MASC;PL
rica	рики	ric	рика	PROPN;NOM	
gud	божі	gud	божий	PROPN;NOM	ADJ;NOM;PL
gud	боже	gud	бог	PROPN;NOM	
gud	бога	gud	бог	PROPN;NOM	N;ANIM;ACC;MASC;SG
gud	бог	gud	бог	PROPN;NOM	N;ANIM;NOM;MASC;SG
gud	богу	gud	бог	PROPN;NOM	
svårt	hard	svår	hard	ADJ;NOM;INDF;NEUT;SG	
svårt	тяжко	svår	тяжко	ADJ;NOM;INDF;NEUT;SG	ADV
svårt	важко	svår	важко	ADJ;NOM;INDF;NEUT;SG	ADV
svårt	складно	svår	складно	ADJ;NOM;INDF;NEUT;SG	ADV
larsson	ларссон	larsson	ларссон	PROPN;NOM	PROPN;ANIM;NOM;MASC;SG
star	зірочки	star	зірочка	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
star	зоряні	star	зоряний	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
alaska	аляска	alaska	аляска	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
mor	матері	mor	мати	N;NOM;INDF;MASC+FEM;SG	N;ANIM;NOM;FEM;PL
heller	хеллер	heller	хеллер	ADV	
green	зелене	gre	зелений	N;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
green	зелені	gre	зелений	N;NOM;INDF;NEUT;SG	ADJ;NOM;PL
green	зелений	gre	зелений	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
klippa	скелі	klippa	скеля	V;IMP;FIN;ACT	N;INAN;NOM;FEM;PL
klippa	зсув	klippa	зсувати	V;IMP;FIN;ACT	N;INAN;NOM;MASC;SG
klippa	скеля	klippa	скеля	V;IMP;FIN;ACT	N;INAN;NOM;FEM;SG
klippa	рок	klippa	рок	V;IMP;FIN;ACT	N;INAN;NOM;MASC;SG
klippa	кручі	klippa	круч	V;IMP;FIN;ACT	N;INAN;NOM;FEM;PL
klippa	rock	klippa	rock	V;IMP;FIN;ACT	
röda	червона	röd	червоний	ADJ;NOM;PL	ADJ;NOM;FEM;SG
röda	ред	röd	ред.	ADJ;NOM;PL	
röda	червоний	röd	червоний	ADJ;NOM;PL	ADJ;NOM;MASC;SG
röda	червоне	röd	червоний	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
avrinningsområden	catchment	avrinningsområde	catchment	N;NOM;INDF;NEUT;PL	
king	кінг	king	кінг	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
one	одна	one	один	N;NOM;INDF;MASC+FEM;SG	NUM;NOM;FEM
one	one	one	one	N;NOM;INDF;MASC+FEM;SG	
one	одне	one	один	N;NOM;INDF;MASC+FEM;SG	DET;NOM;NEUT;SG
one	один	one	один	N;NOM;INDF;MASC+FEM;SG	NUM;NOM;MASC
williams	вільямс	Pilliam	вільямс	PROPN;NOM	PROPN;ANIM;NOM;FEM;SG
beach	пляжний	beach	пляжний	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
aktiva	активна	aktiv	активний	ADJ;NOM;PL	ADJ;NOM;FEM;SG
aktiva	активне	aktiv	активний	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
aktiva	активним	aktiv	активний	ADJ;NOM;PL	ADJ;INS;NEUT;SG
aktiva	активний	aktiv	активний	ADJ;NOM;PL	ADJ;NOM;MASC;SG
max	макс	max	макс	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
list	list	list	list	N;NOM;INDF;MASC+FEM;SG	
list	розрахунках	list	розрахунок	N;NOM;INDF;MASC+FEM;SG	N;INAN;ESS;MASC;PL
hösten	падати	höst	падати	N;NOM;DEF;MASC+FEM;SG	V;IPFV;NFIN
hösten	fall	höst	fall	N;NOM;DEF;MASC+FEM;SG	
lärare	викладач	lärare	викладач	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
lärare	вчителю	lärare	вчитель	N;NOM;INDF;MASC+FEM;PL	N;ANIM;DAT;FEM;SG
lärare	вчитель	lärare	вчитель	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
lärare	учитель	lärare	учитель	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
lärare	вчителька	lärare	вчителька	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;FEM;SG
lärare	вчителів	lärare	вчитель	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL
oregon	орегон	oregon	орегон	PROPN;NOM	PROPN;INAN;NOM;MASC;SG
goals	цілі	goal	цілий	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
goals	голи	goal	голий	N;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
https	https	httpa	https	N;NOM;INDF;MASC+FEM;SG	
säger	мовляв	säga	мовляв	V;IND;PRS;FIN;ACT	ADV
mary	мері	mary	мера	PROPN;NOM	PROPN;ANIM;NOM;FEM;SG
mary	марічка	mary	марічка	PROPN;NOM	N;ANIM;NOM;FEM;SG
mary	маріє	mary	маріти	PROPN;NOM	N;ANIM;NOM;FEM;SG
skrivit	писав	skriva	писати	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
skrivit	записано	skriva	записати	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;IND;0;FIN
skrivit	написано	skriva	написати	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;IND;0;FIN
skrivit	записані	skriva	записаний	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;PFV;NOM;PL;V.PTCP;PASS
skrivit	написав	skriva	написати	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
skrivit	написала	skriva	написати	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
skrivit	писав	skriva	писати	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
känt	відомі	känd	відомий	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;NOM;PL
svart	чорні	svart	чорний	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;PL
bot	бот	bot	бот	V;IMP;FIN;ACT	N;INAN;NOM;MASC;SG
vapen	руки	vapen	рука	N;NOM;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
vapen	зброю	vapen	зброя	N;NOM;INDF;NEUT;SG	N;INAN;ACC;FEM;SG
vapen	зброєю	vapen	зброя	N;NOM;INDF;NEUT;SG	N;INAN;INS;FEM;SG
vapen	зброї	vapen	зброя	N;NOM;INDF;NEUT;SG	N;INAN;GEN;FEM;SG
vapen	зброю	vapen	зброя	N;NOM;INDF;NEUT;SG	N;INAN;ACC;FEM;SG
städer	містами	stad	місто	N;NOM;INDF;MASC+FEM;PL	N;INAN;INS;NEUT;PL
