diana	diana	dian	dian		N;INDF;FEM;SG
torres	torres	torres	torre	PROPN;NOM;SG;3	N
genişletilmiş	utvidet	genişle	utvid	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	N;DEF;NEUT;SG
kompleks	kompleks	kompleks	kompleks		ADJ;INDF;NEUT;SG
lazio	lazio	lazio	lazio	PROPN;NOM;SG;3	N;INDF;MASC;SG
lazio	lazlo	lazio	lazlo	PROPN;NOM;SG;3	N;INDF;MASC;SG
nevada	nevada	neva	nevad	PROPN;NOM;SG;3	N;INDF;NEUT;SG
eskimo	eskimoer	eskimo	eskimoer		N;INDF;NEUT;SG
eskimo	eskimo	eskimo	eskimo		N;INDF;MASC;SG
eskimo	eskimoisk	eskimo	eskimoisk		ADJ;INDF;NEUT;SG
eskimo	inuittenes	eskimo	inuitt		N;GEN;DEF;NEUT;PL
ekvador	ecuador	ekvador	ecuador	PROPN;NOM;SG;3	N;INDF;SG
sankt	sankt	sankt	sank	PROPN;NOM;SG;3	N;INDF;MASC;SG
barselona	barcelonas	barselon	barcelon	PROPN;NOM;SG;3	N;GEN;DEF;FEM;SG
barselona	barcelona	barselon	barcelon	PROPN;NOM;SG;3	N;INDF;FEM;SG
çekilmesi	uttak	çek	uttak	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;NEUT;SG
çekilmesi	abstinens	çek	abstin	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;GEN;DEF;MASC;SG
çekilmesi	tilbaketrekning	çek	tilbaketrekning	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
honda	honda	hon	hond	N;NOM;SG;3	PROPN
fosil	fossiler	fosil	fossile		N;INDF;MASC;PL
fosil	fossil	fosil	fossil		N;INDF;MASC;SG
fosil	fossil	fosil	fossil		N;INDF;MASC;SG
hüsrev	khosrau	hüsrev	khosrau		N;INDF;MASC;SG
silindir	sylindere	sil	sylindere	V;PFV;IND;SG;3;POS;PST;PASS	N;INDF;MASC;SG
market	kolonial	market	kolonial		ADJ;INDF;SG
market	dagligvarebutikk	market	dagligvarebutikk		N;INDF;MASC;SG
market	markedet	market	marked		N;DEF;NEUT;SG
market	market	market	mark		N;INDF;NEUT;SG
market	marked	market	marked		N;INDF;MASC;SG
chi	chi	chi	chi		N;INDF;MASC;SG
nitelikli	kvalifiserte	nitelikli	kvalifisere		ADJ;PL;V.PTCP
nitelikli	kvalifisert	nitelikli	kvalifisere		ADJ;INDF;SG;V.PTCP
şii	sjia	şii	sji		N;INDF;MASC;SG
azalır	minsker	azal	minsker	V;IPFV;IND;SG;3;POS	N;INDF;MASC;SG
nbc	nbc	nbc	nbc		N;INDF;MASC;SG
milyonlarca	millioner	milyonlarca	million	NUM	N;INDF;MASC;PL
yaratmak	oppretting	yarat	oppretting	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
yaratmak	oppretter	yarat	oppretter	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
yaratmak	skape	yarat	skape	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IMP;NFIN
dâhil	inkluderes	dâhil	inkluderes		V;FIN
dâhil	inkluderte	dâhil	inkludere		V;IND;PST;FIN
dâhil	inkludert	dâhil	inkludere		ADJ;INDF;SG;V.PTCP
savcı	anklageren	savcı	anklager		N;DEF;MASC;SG
savcı	aktor	savcı	aktor		N;INDF;MASC;SG
winter	vinteren	winte	vinter	PROPN;NOM;SG;3	N;DEF;MASC;SG
winter	vinter	winte	vinter	PROPN;NOM;SG;3	N;INDF;MASC;SG
israilli	israelske	israilli	israelsk		ADJ;PL
israilli	israelsk	israilli	israelsk		ADJ;INDF;SG
iade	tilbakebetaling	iade	tilbakebetaling		N;INDF;FEM;SG
iade	refusjon	iade	refusjon		N;INDF;MASC;SG
iade	returnerer	iade	returnere		V;IND;PRS;FIN
iade	return	iade	return		N;INDF;NEUT;SG
iade	returner	iade	returne		N;INDF;MASC;SG
iade	returnere	iade	returnere		V;NFIN
iade	utlevering	iade	utlevering		N;INDF;FEM;SG
sola	venstresiden	sola	venstreside		N;DEF;MASC;SG
sola	venstre	sola	venstre		N;NEUT
sola	forlatt	sola	forlatt		ADJ;INDF;NEUT;SG;V.PTCP
sola	left	sola	left		N;INDF;NEUT;SG
maggie	maggie	maggie	maggi		N;INDF;MASC;SG
bıçak	klinge	bıçak	kling		N;INDF;FEM;SG
bıçak	kniver	bıçak	knive		N;INDF;MASC;SG
bıçak	kniv	bıçak	kniv		N;INDF;MASC;SG
anlatıyor	forteller	anlat	forteller	V;PROG;IND;SG;3;POS;INFM;PRS	N;INDF;NEUT;SG
nikola	nicola	nikol	nicol		N
nikola	nikola	nikol	nikola		N;INDF;MASC;SG
kararları	avgjørelser	karar	avgjørelser	N;ACC;PL;3	N;INDF;NEUT;SG
kaldırmak	fjerne	kal	fjern	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	ADJ;PL
kaldırmak	fjerner	kal	fjerne	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;INDF;FEM;PL
desteklenen	støttet	destekle	støtt	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;DEF;NEUT;SG
desteklenen	støttede	destekle	støttede	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;INDF;NEUT;SG
desteklenen	forsørget	destekle	forsørg	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;DEF;NEUT;SG
desteklenen	støttet	destekle	støtt	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;DEF;NEUT;SG
desteklenen	støttes	destekle	støttes	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;INDF;MASC;SG
nietzsche	nietzsche	nietzsche	nietzsche		N;INDF;MASC;SG
ntv	ntv	itv	ntv		N;INDF;MASC;SG
komut	befaler	komut	befale		N;INDF;FEM;PL
komut	kommandoer	komut	kommando		N;INDF;MASC;PL
komut	kommandoen	komut	kommando		N;DEF;MASC;SG
komut	command	komut	command		N;INDF;MASC;SG
komut	befal	komut	befal		N;INDF;NEUT;SG
komut	kommando	komut	kommando		N;INDF;MASC;SG
yöneticiler	ledere	yönetici	ledere	N;NOM;PL;3	N;INDF;MASC;SG
yöneticiler	administratorer	yönetici	administrator	N;NOM;PL;3	N;INDF;NEUT;SG
yöneticiler	administratorer	yönetici	administrator	N;NOM;PL;3	N;INDF;NEUT;SG
yöneticiler	herskere	yönetici	herskere	N;NOM;PL;3	N;INDF;FEM;SG
yöneticiler	admins	yönetici	admins	N;NOM;PL;3	N;INDF;MASC;SG
yöneticiler	administratorer	yönetici	administrator	N;NOM;PL;3	N;INDF;NEUT;SG
kayalık	rocky	kayalık	rocky		N;INDF;MASC;SG
görüşme	forhandlinger	görüşme	forhandlinger		N;INDF;FEM;PL
görüşme	forhandle	görüşme	forhandle		V;NFIN
görüşme	intervju	görüşme	intervju		N;INDF;NEUT;SG
statik	statisk	statik	statisk		ADJ;INDF;NEUT;SG
lima	lima	lima	lime	PROPN;NOM;SG;3	N;INDF;FEM;SG
baltimore	baltimore	baltimore	baltimor	PROPN;NOM;SG;3	N;INDF;MASC;SG
aydınlık	lyse	aydınlık	lyse	N;NOM;SG;3	ADJ;PL
ine	ine	in	ine		PROPN
felix	felix	felix	felix		N;INDF;MASC;SG
neolitik	neolittisk	neolitik	neolittisk		ADJ;INDF;NEUT;SG
maryland	maryland	marylan	maryland	PROPN;NOM;SG;3	N;INDF;MASC;SG
glory	ære	glory	ære		N;INDF;FEM;SG
glory	glory	glory	glory		N;INDF;NEUT;SG
glory	herlighet	glory	herlighet		N;INDF;FEM;SG
brad	brad	brad	brad		PROPN
randy	randy	randy	randy		N;INDF;NEUT;SG
kilit	lock	kilit	lock		N
kilit	lås	kilit	lås		N;INDF;MASC;SG
kilit	sluse	kilit	sluse		N;INDF;FEM;SG
kilit	låser	kilit	låse		V;IND;PRS;FIN
kıdemli	ansiennitet	kıdemli	ansiennitet		N;INDF;MASC;SG
kıdemli	senior	kıdemli	senior		N;INDF;NEUT;SG
fethiye	fethiye	fethi	fethiye	PROPN;NOM;SG;3	N
sektörü	sektor	sektör	sektor		N;INDF;MASC;SG
igor	jegor	igor	jegor		N;INDF;MASC;SG
igor	igor	igor	igor		N;INDF;MASC;SG
miles	miles	miles	miles		N;INDF;MASC;SG
miles	mil	miles	mil		N;INDF;FEM;SG
hatice	khadija	hatice	khadije		N;INDF;MASC;SG
tecrübeli	erfarne	tecrübeli	erfarne		ADJ;PL
tecrübeli	erfaren	tecrübeli	erfar		ADJ;INDF;SG
tecrübeli	opplevde	tecrübeli	oppleve		V;IND;PST;FIN
tecrübeli	opplevd	tecrübeli	oppleve		ADJ;INDF;NEUT;SG;V.PTCP
borç	gjeld	borç	gjelde		V;IND;PRS;FIN
borç	lån	borç	lån		N;INDF;NEUT;SG
borç	gjeld	borç	gjelde		V;IND;PRS;FIN
yönetmenlik	dirigere	yönetmenlik	dirigere	N;NOM;SG;3	V;NFIN
yönetmenlik	regisserer	yönetmenlik	regissere	N;NOM;SG;3	V;IND;PRS;FIN
çekme	tauing	çek	tauing		N;INDF;FEM;SG
viktor	viktor	viktor	viktor		N;INDF;MASC;SG
sincan	xinjiang	sincan	xinjiang	PROPN;NOM;SG;3	N;INDF;MASC;SG
claire	claire	claire	clair		N;INDF;MASC;SG
étienne	étienne	üt	étienne		N;INDF;MASC;SG
spurs	sporer	spurs	spore	PROPN;NOM;SG;3	N;INDF;FEM;PL
spurs	sporene	spurs	spor	PROPN;NOM;SG;3	N;DEF;FEM;PL
spurs	spurs	spurs	spurs	PROPN;NOM;SG;3	N;INDF;MASC;SG
çifti	pair	çift	pair	ADJ;NOM;SG;3	N;INDF;MASC;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;INDF;NEUT;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;INDF;NEUT;SG
çifti	paret	çift	par	ADJ;NOM;SG;3	N;DEF;NEUT;SG
çifti	couple	çift	couple	ADJ;NOM;SG;3	N
tanık	vitne	tanık	vitne		N;INDF;NEUT;SG
tanık	vitner	tanık	vitne		N;INDF;MASC;PL
tanık	vitne	tanık	vitne		N;INDF;NEUT;SG
tanık	bevitnet	tanık	bevitn		N;DEF;NEUT;SG
hafız	hafiz	hafız	hafiz		N;INDF;MASC;SG
belarus	hviterussland	belarus	hviterussland	PROPN;NOM;SG;3	N;INDF;NEUT;SG
belarus	hviterusslands	belarus	hviterusslands	PROPN;NOM;SG;3	N;INDF;NEUT;SG
falcon	falcon	falcon	falcon		N;INDF;MASC;SG
falcon	falken	falcon	falke		N;DEF;MASC;SG
jamie	jamie	jamie	jamie		N;INDF;MASC;SG
boğa	taurus	boğa	taurus		N;INDF;MASC;SG
boğa	tyren	boğa	tyr		N;DEF;MASC;SG
boğa	okse	boğa	okse		N;INDF;MASC;SG
boğa	bull	boğa	bull		N;INDF;NEUT;SG
sporcular	utøverne	sporcu	utøverne	N;NOM;PL;3	N;INDF;MASC;SG
sporcular	utøvere	sporcu	utøvere	N;NOM;PL;3	N;INDF;SG
sporcular	idrettsutøvere	sporcu	idrettsutøvere	N;NOM;PL;3	N;INDF;NEUT;SG
norveçli	norsk	norveçli	norsk		N;INDF;MASC;SG
norveçli	nordmann	norveçli	nordmann		N;INDF;MASC;SG
norveçli	norwegian	norveçli	norwegian		N;INDF;MASC;SG
norveçli	norske	norveçli	norsk		ADJ;PL
arıcılık	birøkt	arıcılık	birøkt	N;NOM;SG;3	ADJ;INDF;NEUT;SG
mutfak	kjøkken	mutfak	kjøkken		N;INDF;NEUT;SG
mutfak	kjøkken	mutfak	kjøkken		N;INDF;NEUT;SG
eleştirmen	kritiker	eleştir	kritiker		N;INDF;MASC;SG
gilbert	gilbert	gilbert	gilbere		ADJ;INDF;NEUT;SG
spartak	spartak	spartak	spartak		N;INDF;NEUT;SG
carolina	carolina	carol	carolin	PROPN;NOM;SG;3	N;INDF;MASC;SG
janet	janet	janet	jan		N;DEF;NEUT;SG
taşıdı	båret	taşı	bår	V;PFV;IND;SG;3;POS;PST	N;DEF;NEUT;SG
okumak	lest	oku	lese	V;PFV;NOM;IND;POS;PRS;V.MSDR	ADJ;INDF;NEUT;SG;V.PTCP
okumak	les	oku	lese	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IMP;FIN
okumak	read	oku	read	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;NEUT;SG
okumak	leser	oku	lese	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
okumak	reading	oku	reading	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
okumak	lesning	oku	lesning	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
okumak	lesing	oku	lesing	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
ural	ural	ural	ural		N;INDF;NEUT;SG
sembol	symbol	sembol	symbol		N;INDF;NEUT;SG
hicaz	hijaz	hicaz	hijaz		N;INDF;SG
christina	christina	christin	christin	PROPN;DAT;SG;3	N;DEF;FEM;SG
mesih	messias	mesih	messias		N;INDF;MASC;SG
keşfi	oppdagelse	keşif	oppdagelse		N;INDF;MASC;SG
keşfi	discovery	keşif	discovery		N;INDF;MASC;SG
chaplin	chaplin	chaplin	chaplin		N;INDF;MASC;SG
tay	colt	tay	colt		N;INDF;NEUT;SG
tay	tay	tay	tay		PROPN
johan	johan	johan	johan		N;MASC
olivier	olivier	olivier	olivie		N;INDF;NEUT;SG
çete	gjeng	çete	gjeng		N;INDF;MASC;SG
çete	gjengen	çete	gjeng		N;DEF;MASC;SG
foster	foster	foster	foster	PROPN;NOM;SG;3	N;INDF;NEUT;SG
foster	fosters	foster	fosters	PROPN;NOM;SG;3	N;INDF;NEUT;SG
fotoğrafçı	fotograf	fotoğrafçı	fotograf		N;INDF;MASC;SG
sibel	sibel	sibel	sibel		N;INDF;MASC;SG
grönland	grønland	grönla	grønland		N;INDF;MASC;SG
soykırım	folkemordet	soykırım	folkemord		N;DEF;NEUT;SG
soykırım	folkemord	soykırım	folkemord		N;INDF;NEUT;SG
soykırım	holocaust	soykırım	holocaust		N
ibm	ibm	ibm	ibm		N;INDF;NEUT;SG
faith	faith	faith	faith		N;INDF;NEUT;SG
faith	tro	faith	tro		N;INDF;MASC;SG
key	nøkkel	key	nøkkel		N;INDF;MASC;SG
peri	nymfe	peri	nymfe		N;INDF;FEM;SG
peri	feen	peri	få		N;DEF;MASC;SG
çizim	skisse	çiz	skisse		N;INDF;FEM;SG
çizim	tegning	çiz	tegning		N;INDF;FEM;SG
çizim	trekning	çiz	trekning		N;INDF;FEM;SG
çizim	tegner	çiz	tegn		N;INDF;FEM;PL
çizim	tegne	çiz	ta		N;INDF;FEM;SG
ihracat	eksport	ihracat	eksport		N;INDF;MASC;SG
ihracat	eksportere	ihracat	eksportere		V;NFIN
shane	shane	shane	shan		N;INDF;MASC;SG
simetrik	symmetrisk	simetrik	symmetrisk		ADJ;INDF;NEUT;SG
mah	mah	mah	mah	PROPN;NOM;SG;3	ADV
infaz	henrettet	infaz	henrett		N;DEF;NEUT;SG
infaz	utførelse	infaz	utførels		ADJ;SG
infaz	henrettelse	infaz	henrettelse		N;INDF;MASC;SG
infaz	henrettelser	infaz	henrettelse		N;INDF;MASC;SG
yüzük	ringer	yüzük	ringer	N;NOM;SG;3	V;IND;PRS;FIN
yüzük	ringene	yüzük	ringe	N;NOM;SG;3	N;DEF;MASC;PL
genişleme	ekspansjon	genişle	ekspansjon	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
tekke	tekke	tekke	ta		N;INDF;MASC;SG
bağlanmış	vedlagt	bağla	vedlagd	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;NEUT;SG
bağlanmış	koblet	bağla	kobl	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	tilkoblet	bağla	tilkobet	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	sammenkoblet	bağla	sammenkobl	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	tilknyttet	bağla	tilknytte	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	knyttet	bağla	knytt	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	lenket	bağla	lank	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	koblet	bağla	kobl	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	bundet	bağla	bund	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
bağlanmış	uavgjort	bağla	uavgjort	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;NEUT;SG
bağlanmış	bandt	bağla	band	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;INDF;MASC;SG
bağlanmış	bundet	bağla	bund	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
aramaya	søker	ara	søke	V;PFV;DAT;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
aramaya	søke	ara	søk	V;PFV;DAT;IND;POS;PRS;V.MSDR	V;IMP;NFIN
aramaya	leting	ara	leting	V;PFV;DAT;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
yanlışlıkla	tilfeldigvis	yanlışlık	tilfeldigvis	N;INS;SG;3	ADV
lezbiyen	lesbiske	lezbiyen	lesbisk		ADJ;PL
lezbiyen	lesbisk	lezbiyen	lesbisk		ADJ;INDF;NEUT;SG
lezbiyen	lesbiske	lezbiyen	lesbisk		ADJ;PL
tutsak	fangen	tutsak	fange		N;DEF;MASC;SG
tutsak	fange	tutsak	fange		N;INDF;MASC;SG
tutsak	fanger	tutsak	fange		N;INDF;MASC;PL
tutsak	fangene	tutsak	fange		N;DEF;MASC;PL
tutsak	fangenskap	tutsak	fangenskap		N;INDF;MASC;SG
sonsuza	forever	sonsuz	foreve	ADJ;DAT;SG;3	N;INDF;SG
sonsuza	evighet	sonsuz	evighet	ADJ;DAT;SG;3	N;INDF;MASC;SG
emily	emily	emily	emily		N;INDF;MASC;SG
haiti	haiti	hait	haiti		N;INDF;NEUT;SG
haiti	haitisk	hait	haitisk		N;INDF;MASC;SG
üçüncüsü	third	üçüncü	third	ADJ;NOM;SG;3	N
buluşma	møteplassen	buluş	møteplass	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;MASC;SG
buluşma	årstall	buluş	årstall	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
buluşma	dato	buluş	dato	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
buluşma	date	buluş	date	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
buluşma	møte	buluş	møte	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;NEUT;SG
kazanma	vinner	kazan	vinne		N;INDF;MASC;SG
kazanma	vinne	kazan	vinne		V;NFIN
kazanma	vinnende	kazan	vinnende		N;INDF;MASC;SG
korkut	støkk	korkut	støkk		N;INDF;MASC;SG
korkut	skremme	korkut	skremme		V;NFIN
fikirler	idéer	fikir	idé	N;NOM;PL;3	N;INDF;NEUT;SG
temelde	utgangspunktet	temel	utgangspunkt	ADJ;ESS;SG;3	N;DEF;NEUT;SG
jimnastik	turn	jimnastik	turn		N;INDF;MASC;SG
jimnastik	gymnastikk	jimnastik	gymnastikk		N;INDF;MASC;SG
sağlanan	oppgitt	sağla	oppgi	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
sağlanan	forsynt	sağla	forsyne	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
sağlanan	oppgitt	sağla	oppgi	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
garcia	garcia	garcia	garcia	PROPN;NOM;SG;3	N
sembolik	symbolsk	sembolik	symbolsk		ADJ;INDF;SG
minimum	minimale	minim	minimal	N;NOM;SG;3	ADJ;PL
minimum	minimal	minim	minimal	N;NOM;SG;3	ADJ;INDF;SG
minimum	minimalt	minim	minimal	N;NOM;SG;3	ADJ;INDF;NEUT;SG
cbs	cbs	cbs	cbs		N
yen	yen	yen	yen		N
joey	joey	joey	joey		N;INDF;MASC;SG
asistan	beboer	asistan	beboer		N;INDF;MASC;SG
asistan	assisterende	asistan	assisterende		N;INDF;MASC;SG
asistan	assistent	asistan	assistent		N;INDF;MASC;SG
asistan	assistenten	asistan	assistent		N;DEF;MASC;SG
karşılaşma	fyrstikk	karşılaşma	fyrstikk		N;INDF;MASC;SG
karşılaşma	treff	karşılaşma	treff		N;INDF;NEUT;SG
karşılaşma	match	karşılaşma	match		N;INDF;MASC;SG
bitkisel	urte	bitkisel	urte		N;INDF;MASC;SG
bitkisel	grønnsak	bitkisel	grønnsak		N;INDF;FEM;SG
sedan	sedan	sedan	sedan	PROPN;NOM;SG;3	N;INDF;MASC;SG
topluluklar	samfunn	topluluk	samfunn	N;NOM;PL;3	N;INDF;NEUT;SG
topluluklar	samfunn	topluluk	samfunn	N;NOM;PL;3	N;INDF;NEUT;SG
veronica	veronica	veronica	veronice		N
nötron	nøytroner	nötron	nøytron	N;NOM;SG;3	N;INDF;FEM;PL
beğeni	vurdering	beğen	vurdering		N;INDF;FEM;SG
beğeni	rating	beğen	rating		N;INDF;MASC;SG
beğeni	likar	beğen	like		V;IND;PRS;FIN
beğeni	liker	beğen	like		V;IND;PRS;FIN
beğeni	likes	beğen	like		N;INDF;MASC;SG
beğeni	takknemlighet	beğen	takknemlighet		N;INDF;NEUT;SG
şifreleme	kryptering	şifrele	kryptering	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
şifreleme	kryptografi	şifrele	kryptografi	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
galileo	galileo	gal	galileo		N;INDF;NEUT;SG
chuck	chuck	chuck	chuck		N;INDF;MASC;SG
goethe	goethe	goethe	goethe		N;INDF;NEUT;SG
wales	wales	wales	wales	PROPN;NOM;SG;3	N;INDF;SG
fetih	erobring	fetih	erobring		N;INDF;FEM;SG
fetih	erobre	fetih	erober		V;NFIN
meşgul	travle	meşgul	travl		ADJ;PL
meşgul	travel	meşgul	travel		N;INDF;MASC;SG
meşgul	busy	meşgul	busy		N;INDF;SG
meşgul	opptatt	meşgul	opptatt		ADJ;INDF;SG
meşgul	travelt	meşgul	travel		ADJ;INDF;NEUT;SG
beyan	erklæring	beyan	erklæring		N;INDF;FEM;SG
beyan	uttalelse	beyan	uttalelse		N;INDF;MASC;SG
beyan	utsagn	beyan	utsagn		N;INDF;NEUT;SG
beyan	erklæring	beyan	erklæring		N;INDF;FEM;SG
beyan	erklæringen	beyan	erklæring		N;DEF;MASC;SG
engellendi	blokkerte	engelle	blokkere		ADJ;PL;V.PTCP
engellendi	blokkert	engelle	blokkere		ADJ;INDF;SG;V.PTCP
taklit	imitere	taklit	imitere		N;INDF;FEM;SG
taklit	imitasjon	taklit	imitasjon		N;INDF;MASC;SG
chan	chan	chan	chan		PROPN
aras	aras	aras	aras		N;INDF;MASC;SG
yakalandı	tatt	yakala	ta	V;PFV;IND;SG;3;POS;PST;PASS	ADJ;INDF;NEUT;SG;V.PTCP
yakalandı	fanget	yakala	fang	V;PFV;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
yakalandı	fanget	yakala	fang	V;PFV;IND;SG;3;POS;PST;PASS	N;DEF;NEUT;SG
çekimler	skudd	çekim	skudd	N;NOM;PL;3	N;INDF;NEUT;SG
kaybeder	taper	kaybet	tape	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN
kaybeder	taper	kaybet	tape	V;IPFV;IND;SG;3;POS	V;IND;PRS;FIN
kaybeder	tape	kaybet	tape	V;IPFV;IND;SG;3;POS	N;INDF;MASC;SG
kaybeder	miste	kaybet	miste	V;IPFV;IND;SG;3;POS	ADJ;INDF;SG;V.PTCP
milletvekilleri	assistenter	milletvekili	assistenter	N;NOM;PL;3	N;INDF;NEUT;SG
milletvekilleri	mps	milletvekili	mps	N;NOM;PL;3	N;INDF;MASC;SG
mevsim	sesong	mevsim	sesong		N;INDF;MASC;SG
mevsim	sesongen	mevsim	sesong		N;DEF;MASC;SG
mevsim	årstid	mevsim	årstid		N;INDF;FEM;SG
mevsim	seasons	mevsim	seasons		N;INDF;NEUT;SG
mevsim	sesonger	mevsim	sesonger		N;INDF;MASC;SG
mevsim	årstider	mevsim	årstid		N;INDF;FEM;PL
mevsim	årstidene	mevsim	årstid		N;DEF;FEM;PL
mevsim	sesongene	mevsim	sesong		N;DEF;MASC;PL
analitik	analytisk	analitik	analytisk		ADJ;INDF;NEUT;SG
bulma	finner	bul	finne		V;IND;PRS;FIN
bulma	finne	bul	finne		V;IMP;NFIN
bahreyn	bahrain	bahrey	bahrain	PROPN;NOM;SG;3	N;INDF;NEUT;SG
bahreyn	bahrains	bahrey	bahrains	PROPN;NOM;SG;3	N;INDF;MASC;SG
sarp	bratt	sarp	bratt		ADJ;INDF;NEUT;SG
sarp	bratte	sarp	bratt		ADJ;PL
maccabi	maccabi	maccabi	maccabi		N
atp	atp	atp	atp		N;INDF;NEUT;SG
turne	omvisning	tur	omvisning		N;INDF;FEM;SG
turne	tour	tur	tour		N;INDF;SG
turne	turné	tur	turné		N;INDF;MASC;SG
turne	touring	tur	touring		N;INDF;FEM;SG
kaydedilen	innspilt	kaydet	innspilt	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;INDF;MASC;SG
kaydedilen	registrert	kaydet	registrere	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;SG;V.PTCP
kaydedilen	lagret	kaydet	lagr	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;DEF;NEUT;SG
kaydedilen	spart	kaydet	spare	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
kaydedilen	lagrede	kaydet	lagrede	V;PFV;IND;POS;PRS;V.PTCP;PASS	N;INDF;MASC;SG
kaydedilen	lagra	kaydet	lagre	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
kaydedilen	frelst	kaydet	frelse	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;SG;V.PTCP
kaydedilen	redda	kaydet	redde	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;SG;V.PTCP
sipariş	bestille	sipariş	bestille	N;NOM;SG;3	V;NFIN
sipariş	bestiller	sipariş	bestille	N;NOM;SG;3	V;IND;PRS;FIN
sipariş	beordrer	sipariş	beordre	N;NOM;SG;3	N;INDF;FEM;PL
sipariş	bestille	sipariş	bestille	N;NOM;SG;3	V;NFIN
sipariş	bestillinger	sipariş	bestilling	N;NOM;SG;3	N;INDF;FEM;PL
ağaçlar	trær	ağaç	træ	N;NOM;PL;3	N;INDF;MASC;SG
ağaçlar	trærne	ağaç	træ	N;NOM;PL;3	ADJ;PL
bern	bern	bern	bern	PROPN;NOM;SG;3	PROPN
bulanık	fuzzy	bulanık	fuzzy		N;INDF;MASC;SG
bulanık	tåkete	bulanık	tåkete		ADJ;INDF;NEUT;SG
bulanık	uskarpt	bulanık	uskarp		ADJ;INDF;NEUT;SG
ispat	bevise	ispat	bevise		V;NFIN
gözlemci	observatør	gözlemci	observatør		N;INDF;MASC;SG
