של	shel	של	shel	PART;GEN	N;INDF;SG
פרסום	publiserer	פרסום	publisere	N;MASC;SG	V;IND;PRS;FIN
פרסום	publisere	פרסום	publisere	N;MASC;SG	V;NFIN
פרסום	innlegg	פרסום	innlegg	N;MASC;SG	N;INDF;NEUT;PL
פרסום	publiserer	פרסום	publisere	N;MASC;SG	V;IND;PRS;FIN
פרסום	publisere	פרסום	publisere	N;MASC;SG	V;NFIN
פעל	oppførte	פעל	oppføre	V;MASC;SG;3;PST;ACT	ADJ;PL;V.PTCP
פעל	handlet	פעל	handle	V;MASC;SG;3;PST;ACT	N;DEF;NEUT;SG
דצמבר	desember	דצמבר	desember	PROPN	N;INDF;MASC;SG
אהבה	elsker	אהבה	elsker	N;FEM;SG	N;INDF;FEM;PL
השישי	sjette	השישי	sjette	PROPN	ADJ;DEF;SG
עסקים	virksomheter	עסק	virksomheter	N;MASC;PL	N;INDF;NEUT;SG
עסקים	bedriften	עסק	bedrift	N;MASC;PL	N;DEF;MASC;SG
עסקים	business	עסק	business	N;MASC;PL	N;INDF;MASC;SG
עסקים	virksomhet	עסק	virksomhet	N;MASC;PL	N;INDF;MASC;SG
עסקים	bedrift	עסק	bedrift	N;MASC;PL	N;INDF;FEM;SG
אדוארד	edvard	אדוארד	edvard	PROPN	N;INDF;MASC;SG
אדוארד	edward	אדוארד	edward	PROPN	N;INDF;MASC;SG
אוסקר	oscar	אוסקר	osce	PROPN	N;INDF;MASC;SG
מדליית	medalje	מדליה	medalje	N;PSSD;FEM;SG	N;INDF;MASC;SG
מדליית	medal	מדליה	medal	N;PSSD;FEM;SG	N;INDF;MASC;SG
מדליית	medaljen	מדליה	medalj	N;PSSD;FEM;SG	N;DEF;MASC;SG
לשיר	syng	השיר	syngje		V;IND;PRS;FIN
לשיר	sing	השיר	sing		N;INDF;MASC;SG
לשיר	synge	השיר	syngje		N;INDF;NEUT;SG
הפרלמנט	parlamentet	הפרלמנט	parlament	PROPN	N;DEF;NEUT;SG
הפרלמנט	parlament	הפרלמנט	parlament	PROPN	N;INDF;NEUT;SG
הפרלמנט	folketinget	הפרלמנט	folketing	PROPN	N;DEF;NEUT;SG
הפרלמנט	stortinget	הפרלמנט	storting	PROPN	N;DEF;NEUT;SG
פועלים	arbeidere	פועל	arbeidere	N;MASC;PL	N;INDF;FEM;SG
כעת	now	כעת	now	ADV	N;INDF;MASC;SG
מדוע	hvorfor	מדוע	hvorfor	ADV	
מדוע	why	מדוע	why	ADV	N
סיני	sinai	סיני	sinai	PROPN	N;INDF;MASC;SG
סיני	kinesere	סיני	kinesere	PROPN	N;INDF;FEM;SG
סיני	kinesisk	סיני	kinesisk	PROPN	ADJ;INDF;NEUT;SG
שותף	medarbeider	שותף	medarbeide	N;MASC;SG	N;INDF;NEUT;PL
השחור	sort	השחור	sort		N;INDF;MASC;SG
השחור	svarte	השחור	svart		ADJ;PL
השחור	svart	השחור	svart		ADJ;INDF;NEUT;SG
השחור	black	השחור	black		N
צרפתי	fransk	צרפתי	fransk	PROPN	N;INDF;MASC;SG
שלישית	tredje	None	tredje	ADV	ADJ;DEF;SG
שלישית	third	None	third	ADV	N
הרשות	autoritet	הרשה	autoritet	N;FEM;PL	N;INDF;MASC;SG
הרשות	fullmakt	הרשה	fullmakt	N;FEM;PL	N;INDF;FEM;SG
הרשות	authority	הרשה	authority	N;FEM;PL	N;INDF;NEUT;SG
הרשות	myndighet	הרשה	myndighet	N;FEM;PL	N;INDF;FEM;SG
קיימות	bærekraft	קיים	bærekraft	ADJ;FEM;PL	N;INDF;FEM;SG
קיימות	finnes	קיים	finnan	ADJ;FEM;PL	
קיימות	eksistere	קיים	eksistere	ADJ;FEM;PL	V;IMP;NFIN
קיימות	eksisterer	קיים	eksistere	ADJ;FEM;PL	V;IND;PRS;FIN
קיימות	eksisterende	קיים	eksisterende	ADJ;FEM;PL	N;INDF;MASC;SG
מרטין	martin	מרטין	martin	PROPN	N;INDF;MASC;SG
יכולות	evner	יכול	evne	ADJ;FEM;PL	N;INDF;FEM;PL
מדבר	snakkar	מדבר	snakke	N;MASC;SG	V;IND;PRS;FIN
מדבר	snakker	מדבר	snakke	N;MASC;SG	V;IND;PRS;FIN
אמריקאית	amerikaner	אמריקני	amerikan	ADV	N;INDF;MASC;PL
אמריקאית	amerikanske	אמריקני	amerikansk	ADV	ADJ;PL
אמריקאית	american	אמריקני	american	ADV	N
אמריקאית	amerikansk	אמריקני	amerikansk	ADV	ADJ;INDF;SG
יין	yin	יין	yin		N;INDF;MASC;SG
יין	vin	יין	vin		N;INDF;MASC;SG
חייב	må	חייב	måtte	ADJ;MASC;SG	V;IND;PRS;FIN
חייב	gotta	חייב	gotta	ADJ;MASC;SG	N;INDF;NEUT;SG
חייב	må	חייב	måtte	ADJ;MASC;SG	V;IND;PRS;FIN
חייב	must	חייב	must	ADJ;MASC;SG	N;INDF;NEUT;SG
אהרן	aaron	אהרן	aaron	PROPN	N;INDF;MASC;SG
אהרן	aron	אהרן	aron	PROPN	N;INDF;MASC;SG
אהרן	aharon	אהרן	aharon	PROPN	N;INDF;MASC;SG
מגוון	variasjon	מגוון	variasjon		N;INDF;MASC;SG
מוסקבה	moscow	מוסקבה	moscow	PROPN	N
מוסקבה	moskva	מוסקבה	moskve	PROPN	N;INDF;NEUT;SG
הולנד	nederland	הולנד	nederland	PROPN	N;INDF;NEUT;SG
הולנד	holland	הולנד	holland	PROPN	N;INDF;MASC;SG
הרוח	vind	הרוח	vind		N;INDF;MASC;SG
הרוח	wind	הרוח	wind		N
עוזי	uzi	עוזי	uzi	PROPN	N;INDF;MASC;SG
מתאים	passende	התאים	passende	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
מתאים	hensiktsmessig	התאים	hensiktsmessig	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
מתאים	passende	התאים	passende	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
מתאים	egnet	התאים	egn	V;MASC;SG;V.PTCP;ACT	N;DEF;NEUT;SG
ברזיל	brasil	ברזיל	brasil	PROPN	N;INDF;MASC;SG
אישית	personlig	אישית	personlig	ADV	ADJ;INDF;NEUT;SG
אישית	personlige	אישית	personlig	ADV	ADJ;PL
אישית	personlig	אישית	personlig	ADV	ADJ;INDF;NEUT;SG
הארי	harry	הארי	harry	PROPN	N;INDF;MASC;SG
מבוסס	etablert	None	etablere	V;MASC;SG;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
מבוסס	fastslått	None	fastslå	V;MASC;SG;V.PTCP	ADJ;INDF;SG;V.PTCP
מבוסס	baserte	None	basere	V;MASC;SG;V.PTCP	ADJ;PL;V.PTCP
מבוסס	basert	None	basere	V;MASC;SG;V.PTCP	ADJ;INDF;SG;V.PTCP
ניהול	administrerende	ניהול	administrerende	N;MASC;SG	ADJ;PL
ניהול	administrere	ניהול	administrere	N;MASC;SG	V;NFIN
ניהול	administrere	ניהול	administrere	N;MASC;SG	V;NFIN
המהפכה	revolusjon	המהפכה	revolusjon	PROPN	N;INDF;MASC;SG
עודד	oppfordret	עודד	oppfordr	PROPN	N;DEF;NEUT;SG
עודד	oppmuntret	עודד	oppmuntr	PROPN	N;DEF;NEUT;SG
יצר	skapt	יצר	skape	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
יצר	laga	יצר	lage	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
שישה	sekser	שישה	sekse	NUM;MASC;SG	N;INDF;MASC;SG
שישה	seks	שישה	seks	NUM;MASC;SG	NUM;PL
שישה	six	שישה	six	NUM;MASC;SG	N
קצרה	kort	קצר	kort	ADV	N;INDF;NEUT;SG
קצרה	short	קצר	shor	ADV	N;INDF;SG
קצרה	korte	קצר	kort	ADV	ADJ;PL
נשוי	gift	נשוי	gift		ADJ;INDF;SG
קליפורניה	californias	קליפורניה	californias	PROPN	N;INDF;MASC;SG
קליפורניה	california	קליפורניה	californi	PROPN	N;DEF;FEM;SG
משתנה	variabel	השתנה	variabel	V;MASC;SG;V.PTCP	N;INDF;MASC;SG
משתנה	endringer	השתנה	endring	V;MASC;SG;V.PTCP	N;INDF;FEM;PL
משתנה	forandringer	השתנה	forandring	V;MASC;SG;V.PTCP	N;INDF;FEM;PL
משתנה	endringene	השתנה	endring	V;MASC;SG;V.PTCP	N;DEF;FEM;PL
איזה	hvilket	איזה	hvilk		N;DEF;NEUT;SG
איזה	hvilken	איזה	hvilk		N;DEF;MASC;SG
נשאר	blir	נשאר	bli	V;MASC;SG;3;PST;MID	V;IND;PRS;FIN
נשאר	forblir	נשאר	forblir	V;MASC;SG;3;PST;MID	V;IND;PRS;FIN
נשאר	ble	נשאר	ble	V;MASC;SG;3;PST;MID	
נשאר	forblitt	נשאר	forbli	V;MASC;SG;3;PST;MID	N;INDF;MASC;SG
נשאר	forble	נשאר	forble	V;MASC;SG;3;PST;MID	N;INDF;MASC;SG
ציור	tegner	ציור	tegn	N;MASC;SG	N;INDF;FEM;PL
צריכה	trenge	צריך	trenge	ADJ;FEM;SG	V;IMP;NFIN
צריכה	treng	צריך	trenge	ADJ;FEM;SG	V;IND;PRS;FIN
צריכה	need	צריך	need	ADJ;FEM;SG	N
צריכה	behov	צריך	behov	ADJ;FEM;SG	N;INDF;NEUT;SG
צריכה	trenger	צריך	trenger	ADJ;FEM;SG	V;IND;PRS;FIN
נמוכה	lavmål	נמוך	lavmål	ADJ;FEM;SG	N;INDF;NEUT;SG
נמוכה	lav	נמוך	lav	ADJ;FEM;SG	N;INDF;NEUT;SG
נמוכה	low	נמוך	low	ADJ;FEM;SG	N;INDF;NEUT;SG
נמוכה	lave	נמוך	lave	ADJ;FEM;SG	N;INDF;NEUT;SG
מוסדות	institusjoner	מוסד	institusjoner	N;MASC;PL	N;INDF;MASC;SG
ברוך	velsignede	ברוך	velsignede	PROPN	N;INDF;MASC;SG
ברוך	salige	ברוך	salig	PROPN	ADJ;PL
ברוך	velsignet	ברוך	velsignet	PROPN	N;INDF;NEUT;SG
ברוך	blessed	ברוך	blessed	PROPN	N;INDF;MASC;SG
ברוך	baruch	ברוך	baruch	PROPN	N
קומיקס	tegneserier	קומיקס	tegneserie	PROPN	N;INDF;NEUT;SG
קומיקס	tegneserie	קומיקס	tegneserie	PROPN	N;INDF;MASC;SG
קומיקס	comic	קומיקס	comic	PROPN	N
מיוחדת	special	מיוחד	special	ADJ;FEM;SG	N;INDF;MASC;SG
מיוחדת	spesielle	מיוחד	spesiell	ADJ;FEM;SG	ADJ;PL
מיוחדת	spesial	מיוחד	spesial	ADJ;FEM;SG	N;INDF;MASC;SG
סיפורים	tales	סיפור	tales	N;MASC;PL	N;INDF;NEUT;SG
סיפורים	hendelser	סיפור	hendelse	N;MASC;PL	N;INDF;NEUT;SG
תום	tom	תום	tom	PROPN	ADJ;INDF;SG
להגן	beskytt	הגן	beskytt	V;NFIN;ACT	N;INDF;MASC;SG
חוף	beach	חוף	beach	PROPN	N;INDF;NEUT;SG
חוף	stranda	חוף	strand	PROPN	N;DEF;FEM;SG
חוף	strand	חוף	strand	PROPN	N;INDF;FEM;SG
טבע	druknet	טבע	drukn		N;DEF;NEUT;SG
טבע	drukna	טבע	drukne		ADJ;INDF;SG;V.PTCP
טבע	natur	טבע	natur		N;INDF;MASC;SG
טבע	naturen	טבע	natur		N;DEF;MASC;SG
טבע	nature	טבע	nature		N;INDF;MASC;SG
התנגדות	innvendinger	התנגדות	innvending	N;FEM;SG	N;INDF;FEM;PL
קרל	karl	קרל	karl	PROPN	N;MASC
קרל	karl	קרל	karl	PROPN	N;MASC
קרל	carl	קרל	carl	PROPN	N;INDF;MASC;SG
חברתית	sosialt	חברתי	sosial	ADV	ADJ;INDF;NEUT;SG
חברתית	sosialt	חברתי	sosial	ADV	ADJ;INDF;NEUT;SG
חברתית	sosiale	חברתי	sosial	ADV	ADJ;PL
חברתית	sosial	חברתי	sosial	ADV	ADJ;INDF;SG
אתרים	nettsteder	אתר	nettstede	N;MASC;PL	N;INDF;MASC;SG
אתרים	nettsteder	אתר	nettstede	N;MASC;PL	N;INDF;MASC;SG
לחימה	kjempende	לחימה	kjempende	N;FEM;SG	ADJ;INDF;NEUT;SG
יחסים	relasjoner	יחסים	relasjon	N;MASC;PL	N;INDF;MASC;SG
יחסים	forhold	יחסים	forhold	N;MASC;PL	N;INDF;NEUT;SG
יחסים	relasjoner	יחסים	relasjon	N;MASC;PL	N;INDF;MASC;SG
יחסים	relasjon	יחסים	relasjon	N;MASC;PL	N;INDF;MASC;SG
יחסים	forholdet	יחסים	forhold	N;MASC;PL	N;DEF;NEUT;SG
יחסים	forhold	יחסים	forhold	N;MASC;PL	N;INDF;NEUT;SG
שלישי	tirsdag	שלישי	tirsdag	PROPN	N;INDF;MASC;SG
שלישי	tredje	שלישי	tredje	PROPN	ADJ;DEF;SG
שלישי	third	שלישי	third	PROPN	N
הלכה	gått	הלכה	gå	N;FEM;SG	V;V.PTCP
הלכה	borte	הלכה	borte	N;FEM;SG	ADP
הלכה	gikk	הלכה	gå	N;FEM;SG	V;IND;PST;FIN
הלכה	dro	הלכה	dro	N;FEM;SG	V;IND;PST;FIN
הלכה	gjekk	הלכה	gå	N;FEM;SG	V;IND;PST;FIN
כבד	heavy	כבד	heavy		N;INDF;MASC;SG
כבד	tungt	כבד	tung		ADJ;INDF;NEUT;SG
כבד	kraftig	כבד	kraftig		ADJ;INDF;NEUT;SG
כבד	tung	כבד	tung		ADJ;INDF;SG
כבד	lever	כבד	leve		V;IND;PRS;FIN
כבד	leveren	כבד	lever		N;DEF;MASC;SG
אלן	allen	אלן	allen	PROPN	N;INDF;MASC;SG
אלן	ellen	אלן	ellen	PROPN	N;INDF;FEM;SG
אלן	alan	אלן	alan	PROPN	N;INDF;MASC;SG
אלן	allan	אלן	allan	PROPN	N;INDF;MASC;SG
מורה	lærer	מורה	lære	N;MASC;SG	V;IND;PRS;FIN
מורה	læremester	מורה	læremeste	N;MASC;SG	N;INDF;FEM;PL
שניים	two	שניים	Two	NUM;MASC;PL	
דוגמאות	eksempler	דוגמה	eksempler	N;FEM;PL	N;INDF;NEUT;SG
בוגרי	nyutdannede	בוגר	nyutdanned	PROPN	N;INDF;MASC;SG
נהרג	drepte	נהרג	drepe	V;MASC;SG;3;PST;MID	ADJ;PL;V.PTCP
נהרג	drept	נהרג	drepe	V;MASC;SG;3;PST;MID	ADJ;INDF;SG;V.PTCP
אליעזר	eliezer	אליעזר	eliezer	PROPN	N;INDF;MASC;SG
למחוק	slette	מחק	slette	V;NFIN;ACT	N;INDF;FEM;SG
למחוק	slett	מחק	slett	V;NFIN;ACT	ADJ;INDF;NEUT;SG
מפתח	utvikler	מפתח	utvikle	N;MASC;SG	N;INDF;FEM;PL
מפתח	utviklere	מפתח	utviklere	N;MASC;SG	V;NFIN
מתן	gir	מתן	gi	N;MASC;SG	V;IND;PRS;FIN
מתן	forutsatt	מתן	forutsatt	N;MASC;SG	ADJ;INDF;NEUT;SG
נחשבת	vurdert	נחשב	vurdere	V;FEM;SG;V.PTCP;MID	ADJ;INDF;SG;V.PTCP
מלאה	full	מלא	full	ADV	ADJ;INDF;SG
מלאה	fullt	מלא	full	ADV	ADJ;INDF;NEUT;SG
מלאה	fult	מלא	føle	ADV	N;INDF;MASC;SG
מלאה	mett	מלא	mett	ADV	N;INDF;MASC;SG
השלום	peace	השלום	peace		N
השלום	freden	השלום	fred		N;DEF;MASC;SG
השלום	fred	השלום	fred		N;INDF;MASC;SG
אמנים	artister	אמן	artister	N;MASC;PL	N;INDF;MASC;SG
אמנים	kunstnere	אמן	kunstnere	N;MASC;PL	N;INDF;FEM;SG
זילנד	zealand	זילנד	zealand	PROPN	N;INDF;NEUT;SG
מילה	ord	מילה	ord	N;FEM;SG	N;INDF;NEUT;PL
ישו	kristus	ישו	kristus		N;INDF;MASC;SG
ישו	christ	ישו	christ		N
ישו	jesus	ישו	jesus		N;MASC
מפעיל	operatør	מפעיל	operatør	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
מפעיל	engasjerende	מפעיל	engasjerende	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
מפעיל	løping	מפעיל	løping	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
עבודות	jobs	עבודה	jobs	N;FEM;PL	N;INDF;MASC;SG
עבודות	arbeidsplasser	עבודה	arbeidsplasse	N;FEM;PL	N;INDF;NEUT;SG
לקחת	take	None	take	V;NFIN	N;INDF;NEUT;SG
הגישה	adgang	הגיש	adgang	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
הגישה	tilgang	הגיש	tilgang	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
ילד	barn	ילד	barn	N;MASC;SG	N;INDF;NEUT;PL
סוריה	syria	סוריה	syrie	PROPN	PROPN
גילה	oppdaget	גילה	oppdag	V;MASC;SG;3;PST;ACT	N;DEF;NEUT;SG
גילה	gila	גילה	gilen	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
הערים	byer	הערים	by	V;MASC;SG;3;PST;ACT	N;INDF;FEM;PL
מאחורי	behind	מאחורי	behind	ADP	N;INDF;SG
עצם	bone	עצם	bone		N;INDF;NEUT;SG
נישא	gift	נישא	gift	V;MASC;SG;3;PST;MID	ADJ;INDF;SG
פיטר	peter	פיטר	peter	PROPN	N;INDF;MASC;SG
מריה	maria	מריה	maria	PROPN	N;INDF;FEM;SG
לים	lim	לים	lim		N;INDF;NEUT;SG
טבעי	naturlige	טבעי	naturlig	ADJ;MASC;SG	ADJ;PL
טבעי	naturtalent	טבעי	naturtalent	ADJ;MASC;SG	N;INDF;NEUT;SG
ההר	fjell	ההר	fjell		N;INDF;NEUT;SG
ההר	mountain	ההר	mountain		N;INDF;NEUT;SG
ההר	fjellet	ההר	fjell		N;DEF;NEUT;SG
הנסיך	prinsen	הנסיך	prins	PROPN	N;DEF;MASC;SG
הנסיך	fyrste	הנסיך	fyrste	PROPN	ADJ;DEF;SG
הנסיך	prince	הנסיך	prince	PROPN	N
הנסיך	prins	הנסיך	prins	PROPN	N;INDF;MASC;SG
תא	celle	תא	celle		N;INDF;FEM;SG
נפתח	åpnet	נפתח	åpn	V;MASC;SG;PST;MID	N;DEF;NEUT;SG
נפתח	åpnes	נפתח	åpes	V;MASC;SG;PST;MID	N;INDF;MASC;SG
נפתח	åpner	נפתח	åpne	V;MASC;SG;PST;MID	V;IND;PRS;FIN
ישירות	direkte	ישירות	direkte		ADJ;INDF;NEUT;SG
ישירות	direct	ישירות	direct		N
ישירות	direkte	ישירות	direkte		ADJ;INDF;NEUT;SG
לואי	louis	לואי	louis	PROPN	N;INDF;MASC;SG
לואי	louie	לואי	louie	PROPN	N;INDF;MASC;SG
המשיכה	fortsettelse	המשיך	fortsettelse	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
המשיכה	fortsatte	המשיך	fortsatt	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
פורסם	utgitt	פורסם	utgitt	V;MASC;SG;3;PST;PASS	ADJ;INDF;NEUT;SG;V.PTCP
פורסם	publisert	פורסם	publisere	V;MASC;SG;3;PST;PASS	ADJ;INDF;SG;V.PTCP
פורסם	publisert	פורסם	publisere	V;MASC;SG;3;PST;PASS	ADJ;INDF;SG;V.PTCP
שבט	klan	שבט	klan	PROPN	N;INDF;MASC;SG
שבט	klanen	שבט	klan	PROPN	N;DEF;MASC;SG
שבט	stamme	שבט	stam	PROPN	N;INDF;FEM;SG
מנהיג	leder	מנהיג	leder	N;MASC;SG	
דייוויד	david	דייוויד	david	PROPN	N;INDF;MASC;SG
דוקטור	doktor	None	doktor	PROPN	N;INDF;FEM;SG
דוקטור	doktoren	None	doktor	PROPN	N;DEF;MASC;SG
דוקטור	lege	None	lege	PROPN	N;INDF;MASC;SG
דוקטור	doctor	None	doctor	PROPN	N
מטה	ned	מטה	ned	N;MASC;SG	ADP
מטה	nedover	מטה	nedover	N;MASC;SG	ADP
מטה	nede	מטה	nede	N;MASC;SG	ADP
משך	trakk	משך	trekkje	N;MASC;SG	V;IND;PST;FIN
לפתוח	åpne	פתח	åpne	V;NFIN;ACT	ADJ;PL
לפתוח	åpen	פתח	åpen	V;NFIN;ACT	N;INDF;MASC;SG
לפתוח	åpent	פתח	åpent	V;NFIN;ACT	ADJ;INDF;NEUT;SG
לפתוח	open	פתח	open	V;NFIN;ACT	ADJ;INDF;MASC;SG
התחרות	contest	התחרה	contast	N;FEM;PL	N;INDF;MASC;SG
התחרות	konkurranse	התחרה	konkurranse	N;FEM;PL	N;INDF;MASC;SG
שליטה	kontroller	שליטה	kontrollere	N;FEM;SG	N;INDF;FEM;PL
שליטה	kontrollere	שליטה	kontrollere	N;FEM;SG	V;NFIN
נוסדה	grunnlagt	נוסד	grunnleggje	V;FEM;SG;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
נוסדה	stiftet	נוסד	stift	V;FEM;SG;3;PST;MID	N;DEF;NEUT;SG
מידי	midi	מידי	midi		N;INDF;MASC;SG
האו	howe	האו	howe	PROPN	N;INDF;MASC;SG
שניהם	både	שניים	både		CONJ
שניהם	begge	שניים	begge		PRO;PL;3
מצליח	vellykket	הצליח	vellykk	V;MASC;SG;V.PTCP;ACT	N;DEF;NEUT;SG
מצליח	vellykkede	הצליח	vellykkede	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
חומרים	materiell	חומר	materiell	N;MASC;PL	ADJ;INDF;SG
חומרים	materialer	חומר	materiale	N;MASC;PL	N;INDF;NEUT;SG
סביר	sannsynlige	סביר	sannsynlig	ADJ;MASC;SG	ADJ;PL
סביר	sannsynligvis	סביר	sannsynligvis	ADJ;MASC;SG	ADV
סביר	rimelige	סביר	rimelig	ADJ;MASC;SG	ADJ;PL
קריירה	karrierer	קריירה	karriere	N;FEM;SG	N;INDF;FEM;PL
המלכה	dronningen	המלכה	dronning		N;DEF;MASC;SG
המלכה	queen	המלכה	que		N;DEF;MASC;SG
המלכה	dronning	המלכה	dronning		N;INDF;FEM;SG
כרך	volume	כרך	volum		N;INDF;NEUT;SG
כרך	volum	כרך	volum		N;INDF;NEUT;SG
קשת	arc	קשת	arc		N;INDF;MASC;SG
קשת	arch	קשת	arch		N
לסייע	assist	סייע	assist	V;NFIN;ACT	N;INDF;MASC;SG
לסייע	assistere	סייע	assistere	V;NFIN;ACT	N;INDF;FEM;SG
אוניות	skuter	אונייה	skuter	N;FEM;PL	N;INDF;MASC;SG
השיטה	metoden	השיט	metode	V;FEM;SG;3;PST;ACT	N;DEF;MASC;SG
השיטה	metode	השיט	metode	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
המנדט	mandat	המנדט	mandat	PROPN	N;INDF;NEUT;SG
פועל	arbeider	פועל	arbeide	N;MASC;SG	V;IND;PRS;FIN
פועל	fungerer	פועל	fungere	N;MASC;SG	V;IND;PRS;FIN
הצטרפו	join	הצטרף	join	V;PL;3;PST	N;INDF;SG
ציבור	offentleg	ציבור	offentleg	N;MASC;SG	ADJ;INDF;NEUT;SG
ציבור	offentlige	ציבור	offentlige	N;MASC;SG	ADJ;PL
ציבור	offentlig	ציבור	offentlig	N;MASC;SG	ADJ;INDF;NEUT;SG
חגי	helligdager	חגי	helligdag	PROPN	N;INDF;MASC;SG
חגי	skolefri	חגי	skolefri	PROPN	N;INDF;MASC;SG
חגי	høytider	חגי	høytid	PROPN	N;INDF;FEM;PL
היטלר	hitler	היטלר	hitler	PROPN	PROPN
עצמי	myself	עצמו	myself	PRO;SG;1;REFL	N;INDF;MASC;SG
עצמי	self	עצמו	selfef	PRO;SG;1;REFL	N;INDF;NEUT;SG
פגיעה	sårbart	פגיעה	sårbar	N;FEM;SG	ADJ;INDF;NEUT;SG
פגיעה	sårbare	פגיעה	sårbar	N;FEM;SG	ADJ;PL
שאול	saul	שאול	saul	PROPN	N;INDF;NEUT;SG
לעיל	ovenfor	לעיל	ovenfor	ADV	N;INDF;NEUT;SG
לעיל	over	לעיל	over	ADV	ADP
לעיל	above	לעיל	above	ADV	N
שיהיה	whatever	שיהייה	whatever		N;INDF;NEUT;SG
אזרחים	borgere	אזרח	borgere	N;MASC;PL	N;INDF;FEM;SG
אזרחים	innbyggere	אזרח	innbyggere	N;MASC;PL	N;INDF;NEUT;SG
אזרחים	statsborgere	אזרח	statsborgere	N;MASC;PL	N;INDF;FEM;SG
אזרחים	sivilister	אזרח	sivilister	N;MASC;PL	N;INDF;MASC;SG
אזרחים	sivile	אזרח	sivil	N;MASC;PL	ADJ;PL
בסדר	okei	בסדר	okei		N;INDF;MASC;SG
לגמרי	absolutt	לגמרי	absolutt	ADV	ADJ;INDF;NEUT;SG
לגמרי	helt	לגמרי	helt	ADV	N;INDF;MASC;SG
לגמרי	fullstendig	לגמרי	fullstendig	ADV	ADJ;INDF;NEUT;SG
לגמרי	totalt	לגמרי	total	ADV	ADJ;INDF;NEUT;SG
לגמרי	helt	לגמרי	helt	ADV	N;INDF;MASC;SG
לגמרי	fullstendig	לגמרי	fullstendig	ADV	ADJ;INDF;NEUT;SG
רוחב	bredde	רוחב	bredde	N;MASC;SG	ADJ;SG
בעצמו	seg	בעצם	seg	ADV	PRO;ACC;SG
הגביע	trophy	הגביע	trophy	PROPN	N
הגביע	trofeet	הגביע	troff	PROPN	N;DEF;NEUT;SG
הגביע	trofé	הגביע	trofé	PROPN	N;INDF;NEUT;SG
הדגל	flagg	הדגל	flagg		N;INDF;NEUT;SG
מקסיקו	mexico	מקסיקו	mexico	PROPN	PROPN
ערכי	redigere	ערך	redigere		V;NFIN
ערכי	rediger	ערך	redig		N;INDF;MASC;PL
ערכי	edit	ערך	edit		N;INDF;NEUT;SG
ערכי	redigering	ערך	redigering		N;INDF;FEM;SG
מבט	blikk	מבט	blikk		N;INDF;NEUT;SG
ומתן	forhandlinger	ומתן	forhandlinger	PROPN	N;INDF;FEM;PL
ומתן	forhandlingene	ומתן	forhandling	PROPN	N;DEF;FEM;PL
הקרן	foundation	הקרן	foundation		N;INDF;MASC;SG
הקרן	stiftelse	הקרן	stiftelse		N;INDF;MASC;SG
הקרן	stiftelsen	הקרן	stiftelse		N;DEF;MASC;SG
מגן	beskytter	מגן	beskytte	PROPN	N;INDF;FEM;PL
מגן	beskytte	מגן	beskytte	PROPN	V;NFIN
מגן	beskytter	מגן	beskytte	PROPN	N;INDF;FEM;PL
מגן	skjold	מגן	skjold	PROPN	N;INDF;NEUT;SG
מגן	forsvarer	מגן	forsvare	PROPN	V;IND;PRS;FIN
שרון	sharon	שרון	sharon	PROPN	N
תלוי	avhenger	תלוי	avhenger	ADJ;MASC;SG	V;IND;PRS;FIN
תלוי	spørs	תלוי	spørjas	ADJ;MASC;SG	V;IMP;PRS;FIN
מוחמד	mohammad	מוחמד	mohammad	PROPN	N;INDF;MASC;SG
מוחמד	muhammad	מוחמד	muhammad	PROPN	N;INDF;MASC;SG
מוחמד	muhammed	מוחמד	muhammed	PROPN	N;INDF;MASC;SG
מוחמד	mohammed	מוחמד	mohammed	PROPN	N;INDF;MASC;SG
מוחמד	mohamed	מוחמד	mohamed	PROPN	N;INDF;MASC;SG
גרמנית	tysk	גרמנית	tysk	PROPN	N;INDF;MASC;SG
סטר	stroh	סטר	stroh		N;INDF;MASC;SG
סטר	setter	סטר	setter		N;INDF;NEUT;SG
ליגה	liga	ליגה	lige	N;FEM;SG	ADJ;INDF;SG;V.PTCP
הוועד	komiteen	הוועד	komité		N;DEF;MASC;SG
הוועד	komité	הוועד	komité		N;INDF;MASC;SG
אוסטריה	østerrike	אוסטריה	østerrik	PROPN	N;INDF;NEUT;SG
חלקם	some	חלקם	some		N
חלקם	noen	חלקם	noen		
