분류	מיון	분류	מיון	N	
벨기에	הבלגים	벨기에	הבלג	PROPN	N;MASC;PL
벨기에	בלגי	벨기에	בלגי	PROPN	PROPN
벨기에	בלגיה	벨기에	בלגיה	PROPN	PROPN
메달	המדליון	메달	המדליון	N	PROPN
유사한	דומות	유사+하+ㄴ	דומה	V	ADJ;FEM;PL
유사한	דומה	유사+하+ㄴ	דומה	V	
유사한	דומים	유사+하+ㄴ	דומה	V	N;MASC;PL
아카데미	אקדמיה	아카데미	אקדמיה		PROPN
연장	המורחבת	연장	המורחבת	N	PROPN
연장	מורחב	연장	הורחב	N	PROPN
연장	מורחבת	연장	מורחב	N	V;FEM;SG;V.PTCP;PASS
연장	שלוחה	연장	שלוחה	N	ADV
연장	להאריך	연장	האריך	N	V;NFIN;ACT
연장	אקסטרה	연장	אקסטרה	N	PROPN
형태	הטופס	형태	הטופס	N	PROPN
아내	אשתו	아내	אשת	N	
아내	רעיה	아내	רעיה	N	PROPN
루이스	לואיס	루이스	לואיס	PROPN	PROPN
루이스	לואי	루이스	לואי	PROPN	PROPN
루이스	לואיס	루이스	לואיס	PROPN	PROPN
최소	מינימום	최소	מינימום		N;MASC;SG
최소	המינימום	최소	המינימום		PROPN
최소	מינימלי	최소	מינימלי		N;MASC;SG
최소	מינימלית	최소	מינימלית		ADV
유지	שמור	유지	שמור	N	
유지	לשמור	유지	שמר	N	V;NFIN;ACT
마이크로소프트	מיקרו	마이크로소프트	היקר	N	PROPN
마이크로소프트	מיקרוסופט	마이크로소프트	מיקרוסופט	N	PROPN
시가	סיגר	시+가	סיגר		PROPN
시가	הסיגר	시+가	הסיגר		N;MASC;SG
자막	הכיתוב	자막	הכיתוב	N	PROPN
중심	המרכז	중심	המרכז	N	PROPN
중심	סנטר	중심	סנטר	N	PROPN
남쪽	דרום	남+쪽	דרום		N;MASC;SG
규슈	קיושו	규슈	קיוש	PROPN	PROPN
확장	שלוחה	확장	שלוחה	N	ADV
확장	המורחבת	확장	המורחבת	N	PROPN
확장	מורחב	확장	הורחב	N	PROPN
확장	מורחבת	확장	מורחב	N	V;FEM;SG;V.PTCP;PASS
확장	להתרחב	확장	התרחב	N	V;NFIN
확장	להרחיב	확장	הרחיב	N	V;NFIN;ACT
확장	הרחב	확장	הרחב	N	
공개	ציבורית	공개	ציבורי	N	ADV
공개	ציבורי	공개	ציבורי	N	ADJ;MASC;SG
공개	הציבור	공개	הציבור	N	
행성	פלנטה	행성	פלנטה	N	
행성	פלאנט	행성	פלאנט	N	PROPN
결혼	להתחתן	결혼	התחתן	N	V;NFIN
결혼	להינשא	결혼	ננשא	N	V;NFIN;MID
결혼	נישא	결혼	נישא	N	V;MASC;SG;3;PST;MID
결혼	נשוי	결혼	נשוי	N	
결혼	התחתן	결혼	התחתן	N	V;MASC;SG;3;PST
결혼	נשואה	결혼	נשוי	N	ADJ;FEM;SG
바이에른	בוואריה	바이가+라	בוואריה	PROPN	PROPN
이미지	תמונות	이미지	תמונה		N;FEM;PL
이미지	תדמית	이미지	תדמית		N;FEM;SG
이미지	התמונה	이미지	התמונה		V;FEM;SG;3;PST
이미지	תמונה	이미지	תמונה		N;FEM;SG
포르투갈	פורטוגל	포르투갈	פורטוגל	PROPN	PROPN
세로	דיוקן	세+로	דיוקן		N;MASC;SG
세로	הדיוקן	세+로	הדיוקן		N;MASC;SG
세로	אנכית	세+로	אנכי		ADV
출생	נולדת	출생	נולדת	N	V;FEM;SG;V.PTCP;MID
출생	נולדתי	출생	נולדתי	N	V;SG;1;PST;MID
출생	נולדו	출생	נולד	N	V;PL;3;PST;MID
출생	נולד	출생	נולד	N	V;MASC;SG;3;PST;MID
출생	נולדה	출생	נולד	N	V;FEM;SG;3;PST;MID
출생	לידת	출생	לידה	N	PROPN
코파	קופה	코파	קופה	PROPN	N;FEM;SG
이슬람	האסלאמית	이슬람	האסלאמית	N	PROPN
이슬람	האסלאם	이슬람	האסלאם	N	PROPN
이슬람	האיסלאם	이슬람	האיסלאם	N	PROPN
이슬람	אסלאם	이슬람	אסלאם	N	PROPN
오페라	אופרה	오페라	אופרה		N;FEM;SG
오페라	אופרת	오페라	אפר		N;FEM;SG
오페라	האופרה	오페라	האופרה		PROPN
좋아하는	אהובים	좋아하+는	אהוב	V	N;MASC;PL
좋아하는	אהוב	좋아하+는	אהוב	V	
하루	day	하루	day	N	
둘째	שנית	둘째	שנית	NUM	
이유	הסיבה	이유	הסיב	N	V;FEM;SG;3;PST;ACT
나무	ווד	나무	ווד	N	PROPN
화학	כימי	화학	כימי	N	PROPN
기후	האקלים	기후	האקלים		N;MASC;PL
기후	אקלים	기후	אקלים		N;MASC;SG
향해	כלפי	향하+어	כלפי		ADP
향해	לכיוון	향하+어	לכיוון		PROPN
향해	לקראת	향하+어	לקראת		ADP
제조	יוצר	제조	יצר	N	V;MASC;SG;V.PTCP;ACT
제조	מיוצר	제조	יוצר	N	V;MASC;SG;V.PTCP;PASS
제조	יוצרו	제조	הוצר	N	V;PL;3;PST;PASS
제조	מיוצרים	제조	יוצר	N	V;MASC;PL;V.PTCP;PASS
회의	ועידה	회의	ועידה		N;FEM;SG
회의	פגישות	회의	פגישה		N;FEM;PL
회의	מפגשים	회의	מפגש		V;MASC;PL;V.PTCP;ACT
회의	ישיבות	회의	ישיבה		N;FEM;PL
회의	פגישה	회의	פגישה		N;FEM;SG
회의	ישיבה	회의	ישיבה		N;FEM;SG
회의	מפגש	회의	מפגש		N;MASC;SG
회의	ועידות	회의	ועידה		N;FEM;PL
통신	טלקום	통신	טלקום	N	PROPN
챔피언십	אליפות	後피+언감	אליפות		N;FEM;SG
챔피언십	אלוף	後피+언감	אלוף		N;MASC;SG
챔피언십	אלופה	後피+언감	אלופה		N;FEM;SG
빠르게	מהר	빠르+게	מהר	CONJ	ADV
빠르게	במהירות	빠르+게	במהירות	CONJ	ADV
기념	הנצחה	기념	הנצחה		N;FEM;SG
마크	מארק	마크	מארק		PROPN
마크	סמני	마크	סמני		PROPN
마크	מארק	마크	מארק		PROPN
문서로	מסמך	문서+로	מסמך	ADV	N;MASC;SG
문서로	המסמך	문서+로	המסמך	ADV	PROPN
타이	תאילנד	타이	תאילנד		PROPN
타이	תאילנדי	타이	תאילנדי		PROPN
타이	טאי	타이	טאי		PROPN
코리아	קוריאה	코리아	קוריאה		PROPN
힙합	הופ	힙합	הופ	N	
처리	מעבד	처리	מעבד	N	PROPN
가치가	שווי	가치+가	שווי	N	
가치가	שווים	가치+가	שווה	N	ADJ;MASC;PL
가치가	שווה	가치+가	שווה	N	PROPN
사이타마	סאיטאמה	사이타마	סאיטאמה		PROPN
대략	על	대략	על		ADP
대략	לגבי	대략	לגבי		ADP
대략	בקירוב	대략	בקירוב		ADV
마침내	סופסוף	마침내	סופסוף	ADV	PROPN
상호	הדדית	상호	הדדי	N	ADV
상호	הדדי	상호	הדדי	N	PROPN
장치	התקן	장치	התקן	N	
장치	המכשיר	장치	המכשיר	N	PROPN
기업인	יזם	기업인	יזם	V	PROPN
기업인	יזמות	기업인	יזם	V	N;FEM;SG
기업인	תאגיד	기업인	תאגיד	V	N;MASC;SG
기업인	תאגידי	기업인	תאגיד	V	PROPN
단순한	פשוטות	단순+하+ㄴ	פשוט	V	ADJ;FEM;PL
단순한	פשוט	단순+하+ㄴ	פשוט	V	
단순한	פשוטה	단순+하+ㄴ	פשוט	V	ADJ;FEM;SG
단순한	פשוטים	단순+하+ㄴ	פשוט	V	ADJ;MASC;PL
권한	הרשאה	권+하+ㄴ	הרשאה		N;FEM;SG
권한	אישור	권+하+ㄴ	אישור		N;MASC;SG
권한	רשות	권+하+ㄴ	רשות		N;FEM;SG
권한	הרשאות	권+하+ㄴ	הרשאה		N;FEM;PL
식민지	מושבת	식민지	מושבת	N	PROPN
식민지	המושבה	식민지	המושבה	N	PROPN
화가	כועסת	화+가	כעס	N	V;FEM;SG;V.PTCP;ACT
화가	כועס	화+가	כעס	N	V;MASC;SG;V.PTCP;ACT
화가	צייר	화+가	צייר	N	PROPN
일요일	ראשון	일요일	ראשון		PROPN
기구	הארגון	기구	הארגון	N	PROPN
메인	מיין	메인	מיין		PROPN
자연	טבעית	자연	טבעי	N	ADV
자연	טבעיות	자연	טבעי	N	ADJ;FEM;PL
자연	טבעי	자연	טבעי	N	ADJ;MASC;SG
자연	הטבע	자연	הטבע	N	
자연	טבע	자연	טבע	N	
중간	ביניים	중간	ביניים	N	
중간	התיכון	중간	התיכון	N	PROPN
중간	האמצע	중간	האמצע	N	
중간	בינוני	중간	בינוני	N	ADJ;MASC;SG
중간	בינונית	중간	בינוני	N	ADJ;FEM;SG
중간	ביניים	중간	ביניים	N	
보잉	בואינג	보잉	בואינג	N	PROPN
조지아	גאורגיה	조지아	גאורגיה	PROPN	PROPN
북쪽	צפונה	북+쪽	צפון	N	ADV
북쪽	הצפון	북+쪽	הצפון	N	PROPN
비밀	סוד	비밀	סוד	N	
비밀	סודית	비밀	סודית	N	ADV
비밀	סוד	비밀	סוד	N	
스코틀랜드	סקוטית	스코틀랜드	סקוטי	PROPN	PROPN
스코틀랜드	סקוטלנד	스코틀랜드	סקוטלנד	PROPN	PROPN
스코틀랜드	סקוטית	스코틀랜드	סקוטי	PROPN	PROPN
스코틀랜드	סקוטי	스코틀랜드	סקוטי	PROPN	PROPN
마드리드	מדריד	마드리드	מדריד	PROPN	PROPN
러브	באהבה	러브	באהבה		PROPN
러브	אוהב	러브	אהב		V;MASC;SG;V.PTCP;ACT
러브	אהבה	러브	אהבה		N;FEM;SG
러브	אוהבת	러브	אהב		V;FEM;SG;V.PTCP;ACT
러브	אהובה	러브	אהובה		PROPN
다리	גשר	다리	גשר		N;MASC;SG
다리	רגליים	다리	רגל		N;FEM;PL
다리	גשרים	다리	גשר		N;MASC;PL
다리	הגשרים	다리	הגשר		N;MASC;PL
심각한	רצינית	심각+하+ㄴ	רציני	V	ADV
심각한	רציניים	심각+하+ㄴ	רציני	V	ADJ;MASC;PL
심각한	רציני	심각+하+ㄴ	רציני	V	ADJ;MASC;SG
동쪽	מזרחה	동+쪽	מזרחה		ADV
동쪽	המזרח	동+쪽	המזרח		PROPN
동쪽	איסט	동+쪽	איסט		PROPN
동쪽	מזרח	동+쪽	מזרח		N;MASC;SG
오리지널	מקוריות	오리지널	מקורי		ADJ;FEM;PL
오리지널	מקוריים	오리지널	מקורי		ADJ;MASC;PL
오리지널	מקורית	오리지널	מקורי		ADV
오리지널	מקורי	오리지널	מקורי		ADJ;MASC;SG
오리지널	המקורי	오리지널	המקור		PROPN
오리지널	מקוריות	오리지널	מקורי		ADJ;FEM;PL
오리지널	מקוריים	오리지널	מקורי		ADJ;MASC;PL
단위	יחידות	단위	יחידה		N;FEM;PL
단위	יחידה	단위	יחידה		N;FEM;SG
단계	צעדי	단계	צעד	N	PROPN
레코드	רישומי	레코드	רישום	N	ADJ;MASC;PL
레코드	תקליט	레코드	הקליט	N	PROPN
소개	ביוגרפיה	소개	ביוגרפיה	N	PROPN
소개	ביו	소개	ביו	N	
소개	על	소개	על	N	ADP
소개	לגבי	소개	לגבי	N	ADP
소개	אודות	소개	אודות	N	
소개	מבוא	소개	מבוא	N	
소개	הקדמה	소개	הקדמה	N	PROPN
소개	מבוא	소개	מבוא	N	
소개	הקדמה	소개	הקדמה	N	PROPN
문신	קעקע	문신	קעקע	N	
문신	מקועקע	문신	מקועקע	N	V;MASC;SG;V.PTCP;PASS
번역	מתורגם	번역	מתורגם		V;MASC;SG;V.PTCP;PASS
번역	מתורגמן	번역	מתורגמן		N;MASC;SG
번역	המתרגם	번역	המתרגם		PROPN
번역	מתרגם	번역	מתרגם		N;MASC;SG
번역	תרגום	번역	תרגום		N;MASC;SG
번역	תרגם	번역	תרגם		PROPN
번역	לתרגם	번역	רתגם		V;NFIN;ACT
번역	תרגומים	번역	תרגום		N;MASC;PL
방향	הכיוון	방향	הכיוון	N	PROPN
방향	כיוון	방향	כיוון	N	
연맹	האיחוד	연맹	האיחוד	N	PROPN
연맹	הפדרציה	연맹	הפדרציה	N	PROPN
연맹	הקונפדרציה	연맹	הקונפדרציה	N	PROPN
은퇴	לפרוש	은퇴	פרש	N	V;NFIN;ACT
은퇴	פורש	은퇴	פורש	N	PROPN
은퇴	פורשת	은퇴	פרש	N	V;FEM;SG;V.PTCP;ACT
은퇴	פרש	은퇴	פרש	N	PROPN
배급	להקציב	배급	הקציב	N	V;NFIN;ACT
평가	קצב	평가	קצב	N	PROPN
평가	להעריך	평가	העריך	N	V;NFIN;ACT
평가	הרייטינג	평가	הרייטינג	N	PROPN
평가	רייטינג	평가	רייטינג	N	PROPN
교사	מלמד	교사	לימד	N	V;MASC;SG;V.PTCP;ACT
교사	מלמדת	교사	לימד	N	V;FEM;SG;V.PTCP;ACT
교사	המורה	교사	המורה	N	
의회	הפרלמנט	의회	הפרלמנט	N	PROPN
갤럭시	גלקסי	갤럭시	גלקסי		PROPN
갤럭시	הגלקסיה	갤럭시	הגלקסיה		PROPN
갤럭시	גלקסיה	갤럭시	גלקסיה		N;FEM;SG
전통적인	מסורתית	전통+적+이+ㄴ	מסורתי	V	ADV
전통적인	מסורתי	전통+적+이+ㄴ	מסורתי	V	ADJ;MASC;SG
전통적인	מסורתיים	전통+적+이+ㄴ	מסורתי	V	ADJ;MASC;PL
메모리	הזיכרון	메모리	הזיכרון	N	PROPN
메모리	זכרון	메모리	זיכרון	N	PROPN
공주	הנסיכה	공주	הנסיכה		V;FEM;SG;3;PST;ACT
공주	נסיכה	공주	נסיכה		PROPN
닛폰	ניפון	닛폰	ניפון		PROPN
미리	התקדם	미리	התקדם	ADV	V;MASC;SG;3;PST
미리	מקדמה	미리	מקדמה	ADV	N;FEM;SG
트위터	טוויטר	트+위터	טוויטר		PROPN
보니	בוני	보+니	בוני		PROPN
발생	קורה	발생	קרה	N	V;MASC;SG;V.PTCP;ACT
발생	יקרה	발생	קרה	N	V;MASC;SG;3;FUT
발생	מתרחשת	발생	התרחש	N	V;FEM;SG;V.PTCP
말로	מארלו	말+로	מארלו	ADV	PROPN
말로	מרלו	말+로	מרלו	ADV	PROPN
이스라엘	ישראל	이스라엘	ישראל	PROPN	PROPN
논의	דנו	논의	דן	N	V;PL;3;PST;ACT
논의	לדון	논의	דן	N	V;NFIN;ACT
표면	משטחים	표면	משטח		N;MASC;PL
에드워드	אדוארד	에드워드	אדוארד	PROPN	PROPN
인접한	בסמוך	인접+하+ㄴ	בסמוך	V	
인접한	סמוך	인접+하+ㄴ	None	V	ADV
인접한	בצמוד	인접+하+ㄴ	בצמוד	V	
인접한	הסמוך	인접+하+ㄴ	הסמוך	V	
남편	הבעל	남편	הבעל	N	
남편	הבעל	남편	הבעל	N	
철학	פילוסוף	철학	פילוסוף	N	PROPN
집에	הום	집+에	הום	ADV	
집에	בבית	집+에	בבית	ADV	
집에	בית	집+에	בית	ADV	N;MASC;SG
집에	home	집+에	home	ADV	
덴마크	דנמרק	덴마크	דנמרק	PROPN	PROPN
덴마크	דנית	덴마크	דנית	PROPN	PROPN
덴마크	דנים	덴마크	דן	PROPN	N;MASC;PL
대사	השגריר	대사	השגריר	N	PROPN
대사	שגריר	대사	שגריר	N	PROPN
적절한	נאות	적절+하+ㄴ	None	V	
적절한	יאה	적절+하+ㄴ	יאה	V	
서버	שרת	서버	שרת	N	PROPN
서버	השרת	서버	השרה	N	PROPN
에피소드	פרקים	에피소드	פרק		N;MASC;PL
에피소드	פרק	에피소드	פרק		N;MASC;SG
에피소드	הפרק	에피소드	הפרק		PROPN
이토	איטו	이토	איטו		PROPN
판타지	פנטזיה	판타지	פנטזיה		N;FEM;SG
판타지	פנטזיות	판타지	פנטזיה		N;FEM;PL
판타지	הפנטזיות	판타지	הפנטזיות		N;FEM;SG
프리드리히	פרדריק	프리드리히	פרדריק	PROPN	PROPN
지상	ארצי	지상	ארצי		PROPN
레알	ריאל	레알	ריאל		PROPN
레알	אמיתי	레알	אמיתי		ADJ;MASC;SG
레알	אמיתית	레알	אמיתי		ADV
레알	אמיתיים	레알	אמיתי		ADJ;MASC;PL
레알	אמיתיות	레알	אמיתי		ADJ;FEM;PL
수정	ערוך	수정	ערך	N	PROPN
수정	ערכי	수정	ערך	N	
기반	מבוסס	기반	None	N	V;MASC;SG;V.PTCP
신화	מיתולוגיה	신화	מיתולוגיה		PROPN
신화	מיתוס	신화	מיתוס		N;MASC;SG
신화	מיתולוגיה	신화	מיתולוגיה		PROPN
이사	נעה	이사	נעה		N;FEM;SG
이사	עובר	이사	עבר		V;MASC;SG;V.PTCP;ACT
이사	זז	이사	זז		V;MASC;SG;3;PST;ACT
형식으로	פורמט	형식+으로	פורמט	ADV	PROPN
형식으로	בפורמט	형식+으로	בפורמט	ADV	
형식으로	תבנית	형식+으로	תבנית	ADV	N;FEM;SG
아메리칸	אמריקאים	아메리칸	אמריקני		N;MASC;PL
아메리칸	אמריקני	아메리칸	אמריקני		PROPN
아메리칸	אמריקאית	아메리칸	אמריקני		ADV
아메리칸	אמריקאי	아메리칸	אמריקני		ADJ;MASC;SG
그렇다면	ואז	그렇다면	ואז	CONJ	
기념물	האנדרטה	기념물	האנדרטה	N	PROPN
결정	מחליט	결정	מחליט	N	V;MASC;SG;V.PTCP;ACT
결정	מחליטה	결정	החליט	N	V;FEM;SG;V.PTCP;ACT
결정	ההחלטה	결정	ההחלטה	N	PROPN
결정	להחליט	결정	החליט	N	V;NFIN;ACT
결정	תחליט	결정	החליט	N	V;FEM;SG;3;FUT;ACT
즉시	מיד	즉시	מייד		ADV
즉시	מיידית	즉시	מיידי		ADV
즉시	מיידי	즉시	מיידי		ADJ;MASC;SG
소유	בבעלותו	소유	בבעלותו		ADV
플로리다	פלורידה	플로리다	פלורידה	PROPN	PROPN
연주자	מוזיקאי	연주자	מוזיקני	N	PROPN
소수	פריים	소수	פריים	N	
건축	בונה	건축	בנה	N	
드럼	תוף	들+요	תוף	N	PROPN
매일	יומיומי	매일	יומיומי	ADV	PROPN
월간	חודשי	월간	חודש		PROPN
월간	חודשיים	월간	חודש		N;MASC;DU
월간	חודשית	월간	חודשי		ADV
라인	קו	라인	קו		N;MASC;SG
라인	שורה	라인	שורה		N;FEM;SG
라인	קווים	라인	קווה		N;MASC;PL
라인	שורות	라인	שורה		N;FEM;PL
라인	הריין	라인	הריין		PROPN
라인	ריין	라인	ריין		PROPN
적도	המשוונית	적+도	המשווני	ADV	PROPN
응용	מועמדות	응용	הועמד	N	
항공사	נשא	항공사	נשא	N	V;MASC;SG;3;PST
항공사	נושאת	항공사	נשא	N	V;FEM;SG;V.PTCP;ACT
모드	מוד	모드	מוד	N	
독특한	ייחודיים	독특+하+ㄴ	ייחודי	V	ADJ;MASC;PL
독특한	ייחודיות	독특+하+ㄴ	ייחודי	V	ADJ;FEM;PL
독특한	ייחודית	독특+하+ㄴ	ייחודי	V	ADV
독특한	ייחודי	독특+하+ㄴ	ייחודי	V	ADJ;MASC;SG
다수	רוב	다수	רוב		N;MASC;SG
밝은	מוארת	밝+ㄴ	מואר		ADJ;FEM;SG
밝은	ברייט	밝+ㄴ	ברייט		PROPN
플레이	שחקי	플레이	שחק		PROPN
위키	ויקי	위키	ויקי		PROPN
집합	סט	집합	סט	N	
집합	הסט	집합	הסט	N	
집합	הגדר	집합	הגדר	N	
서쪽	המערב	서쪽	המערב		PROPN
서쪽	ווסט	서쪽	וסט		PROPN
서쪽	מערבה	서쪽	מערבה		ADV
서쪽	מערב	서쪽	מערב		N;MASC;SG
서쪽	וסט	서쪽	וסט		PROPN
떠나	עזוב	떠나+아	עזוב	CONJ	
떠나	עזבו	떠나+아	עזב	CONJ	V;PL;3;PST;ACT
떠나	עוזב	떠나+아	עוזב	CONJ	V;MASC;SG;V.PTCP;ACT
떠나	עוזבת	떠나+아	עזב	CONJ	V;FEM;SG;V.PTCP;ACT
떠나	עוזבים	떠나+아	עזב	CONJ	V;MASC;PL;V.PTCP;ACT
떠나	עזיבה	떠나+아	עזיבה	CONJ	N;FEM;SG
스즈키	סוזוקי	스즈키	סוזוקי		PROPN
핀란드	פינלנד	핀란드	פינלנד	PROPN	PROPN
핀란드	פיני	핀란드	פיני	PROPN	PROPN
핀란드	פינית	핀란드	פיני	PROPN	PROPN
지휘관	המפקדים	지휘관	המפקד	N	PROPN
지휘관	קומנדר	지휘관	קומנדר	N	PROPN
연구소	המכון	연구소	המכון	N	
연구소	המוסד	연구소	המוסד	N	
여행	המסע	여행	המסע	N	
여행	מטייל	여행	הטייל	N	PROPN
여행	טריפ	여행	טריפ	N	PROPN
인접	סמוך	인접	None		ADV
노르웨이	נורבגי	노르웨이	נורבגי	PROPN	PROPN
노르웨이	נורבגיה	노르웨이	נורבגיה	PROPN	PROPN
분할	החלוקה	분할	החלוקה		PROPN
분할	חלוקה	분할	חלוקה		N;FEM;SG
분할	לפצל	분할	פיצל		V;NFIN;ACT
분할	פיצול	분할	פיצול		N;MASC;SG
판매	למכור	판매	מכר	N	V;NFIN;ACT
판매	מכור	판매	מכור	N	
판매	נמכרה	판매	נמכר	N	V;FEM;SG;3;PST;MID
판매	נמכרו	판매	נמכר	N	V;PL;3;PST;MID
판매	נמכר	판매	נמכר	N	V;MASC;SG;3;PST;MID
판매	מוכרת	판매	מוכר	N	ADJ;FEM;SG
판매	מוכר	판매	מוכר	N	
판매	המכירה	판매	המכיר	N	V;FEM;SG;3;PST;ACT
사토	סאטו	사토	סאטו		PROPN
도입	מבוא	도입	מבוא	N	
도입	הקדמה	도입	הקדמה	N	PROPN
머리	שיער	머리	שיער	N	PROPN
머리	ראשה	머리	ראשה	N	
머리	הראש	머리	הראש	N	
머리	מורי	머리	מורי	N	
머리	מוריי	머리	מורי	N	PROPN
머리	מארי	머리	מארי	N	PROPN
검색	חפש	검색	חפש	N	
검색	חפשי	검색	חפש	N	
검색	מחפש	검색	חיפש	N	V;MASC;SG;V.PTCP;ACT
검색	מחפשת	검색	חיפש	N	V;FEM;SG;V.PTCP;ACT
검색	מחפשים	검색	חיפש	N	V;MASC;PL;V.PTCP;ACT
상위	עליון	상위	עליון		ADJ;MASC;SG
상위	העליונה	상위	העליונה		PROPN
미술	ארט	미술	ארט	N	PROPN
페이스북	facebook	페이스북	facebook		PRO;PL;1
페이스북	פייסבוק	페이스북	פייסבוק		PROPN
미스	מתגעגעת	미스	התגעגע		V;FEM;SG;V.PTCP
미스	מתגעגע	미스	התגעגע		V;MASC;SG;V.PTCP
미스	מתגעגעים	미스	התגעגע		V;MASC;PL;V.PTCP
아래에	מתחת	아래+에	מתחת	ADV	ADP
아래에	למטה	아래+에	למטה	ADV	
아래에	בהמשך	아래+에	בהמשך	ADV	
그래픽	ציורי	그래픽	ציורי		N;PSSD;MASC;PL
그래픽	גרפי	그래픽	גרף		PROPN
그래픽	גרפיקה	그래픽	גרפיקה		N;FEM;SG
피해	נזקים	피하+어	נזק		N;MASC;PL
피해	נזק	피하+어	נזק		N;MASC;SG
번호	המספר	번호	המספר	N	PROPN
펜싱	סייף	펜싱	סייף	N	PROPN
펜싱	סיף	펜싱	סיף	N	
테니스	טניס	테니스	טניס	N	PROPN
미터	מטרים	미터	מטר		N;MASC;PL
미터	מטר	미터	מטר		PROPN
미터	מטר	미터	מטר		PROPN
미터	מטר	미터	מטר		PROPN
미터	מטרים	미터	מטר		N;MASC;PL
미터	מטר	미터	מטר		PROPN
필요	צרכים	필요	צרכים		N;MASC;SG
필요	הצרכים	필요	הצרכים		N;MASC;PL
근대	מודרנית	근대	מודרני	N	ADV
근대	מודרני	근대	מודרני	N	ADJ;MASC;SG
근대	מודרניות	근대	מודרני	N	ADJ;FEM;PL
안내	המדריך	안내	המדריך	N	PROPN
안내	מדריך	안내	מדריך	N	
뮌헨	מינכן	뮌헨	מינכן	PROPN	PROPN
축제	הפסטיבל	축제	הפסטיבל	N	PROPN
축제	חגיגית	축제	חגיגי	N	ADV
축제	חגיגי	축제	חגיגי	N	ADJ;MASC;SG
만들기	צרי	만들+기	צרי	V	
만들기	צור	만들+기	צור	V	PROPN
만들기	היצירה	만들+기	היצירה	V	ADV
만들기	הבריאה	만들+기	הבריא	V	N;FEM;SG
만들기	יצירה	만들+기	יצירה	V	N;FEM;SG
토론토	טורונטו	토론토	טורונטו	PROPN	PROPN
아날로그	אנלוגי	아날로그	אנלוגי	N	PROPN
전차	מיכל	전차	מיכל	N	
전차	מיכלי	전차	מיכלי	N	PROPN
보스턴	בוסטון	보스턴	בוסטון	PROPN	PROPN
소재	חומר	소재	חומר		N;MASC;SG
어워드	פרסים	어워드	פרס		N;MASC;PL
피터	פיט	피터	פיט		PROPN
피터	פיטר	피터	פיטר		PROPN
피터	פטרוס	피터	פטרוס		PROPN
피터	פטר	피터	פטר		PROPN
목소리	קולי	목소리	קולי	N	PROPN
목소리	הקול	목소리	הקול	N	
목소리	קול	목소리	קול	N	
풋볼	פוטבול	풋볼	None	N	PROPN
무장	מחמש	무장	מחמש	N	
무장	חמוש	무장	חמוש	N	PROPN
무장	חמושה	무장	חמושה	N	
무장	חמושים	무장	חמוש	N	ADJ;MASC;PL
레드	רד	레드	רד		PROPN
레드	אדום	레드	אדום		ADJ;MASC;SG
레드	אדומים	레드	אדום		N;MASC;PL
레드	אדומה	레드	אדום		N;FEM;SG
스케이팅	מחליקים	스케이팅	החליק	N	V;MASC;PL;V.PTCP;ACT
등록	רשום	등록	רשם	N	PROPN
등록	להירשם	등록	נרשם	N	V;NFIN;MID
등록	רשום	등록	רשם	N	PROPN
라이트	רייט	라이트	רייט		PROPN
왕자	נסיך	왕자	נסיך	N	PROPN
왕자	פרינס	왕자	פרינס	N	PROPN
왕자	הנסיך	왕자	הנסיך	N	PROPN
파크	תחנה	파크	תחנה		N;FEM;SG
파크	פארק	파크	פארק		PROPN
파크	פארקים	파크	פארק		N;MASC;PL
파크	פארקס	파크	פארקס		PROPN
장미	רוז	장미	רוז		PROPN
장미	ורד	장미	ורד		PROPN
장미	ורדים	장미	ורדי		PROPN
장미	שושנים	장미	שושן		N;MASC;PL
전통	מסורתית	전통	מסורתי		ADV
전통	מסורתי	전통	מסורתי		ADJ;MASC;SG
전통	מסורתיים	전통	מסורתי		ADJ;MASC;PL
전통	מסורת	전통	מסורת		N;FEM;SG
전통	המסורת	전통	המסורה		PROPN
전통	מסורת	전통	מסורת		N;FEM;SG
전통	מסורות	전통	מסור		N;FEM;PL
이라크	העיראקי	이라크	העיראקי	PROPN	PROPN
이라크	עירק	이라크	עירק	PROPN	
이라크	עיראק	이라크	עיראק	PROPN	PROPN
블루	כחולה	블루	כחול		ADV
블루	בלו	블루	בלו		PROPN
복잡한	מסובך	복잡+하+ㄴ	מסובך	V	ADJ;MASC;SG
복잡한	מסובכת	복잡+하+ㄴ	מסובך	V	ADJ;FEM;SG
부모	הורים	부모	הורה		N;MASC;PL
부모	ההורים	부모	ההורה		N;MASC;PL
부모	הורה	부모	הורה		V;MASC;SG;3;PST;ACT
지명	למנות	지명	None	N	V;NFIN
유리	זכוכית	유리	זכוכית		N;FEM;SG
유리	גלאס	유리	גלאס		PROPN
유리	יורי	유리	יורי		PROPN
원하는	רצוי	원하+는	None		ADJ;MASC;SG
원하는	הרצוי	원하+는	הרצוי		PROPN
원하는	רצויה	원하+는	רצוי		ADJ;FEM;SG
마음	הלב	마음	הלב	N	
마음	לב	마음	לב	N	PROPN
마음	אכפת	마음	אכפת	N	
하버드	הארוורד	하버드	הארוורד		PROPN
하버드	הרווארד	하버드	הרווארד		PROPN
창립	המייסדים	창립	המייסדים	N	PROPN
연기	סמוק	연기	סמוק	N	PROPN
고베	קובי	고베	קובי		PROPN
자산	מאפיינים	자산	אפיין	N	V;MASC;PL;V.PTCP;ACT
토요일	השבת	토요일	השבת		ADV
