של	شيل	של	شيل	PART;GEN	
רומא	روما	רומא	رُومَا	PROPN	
רומא	روما	רומא	رُومَا	PROPN	
לחלק	توزيع	חילק	تَوزِيع	V;NFIN;ACT	N;NOM;INDF;SG
לחלק	انقسام	חילק	اِنقِسَام	V;NFIN;ACT	N;NOM;INDF;SG
לחלק	الانقسام	חילק	اِنقِسَام	V;NFIN;ACT	N;NOM;DEF;SG
פרטים	للتفاصيل	פרט	للتفاصيل	N;MASC;PL	N;GEN;DEF;SG
מבלי	بدون	מבלי	بدون	ADP	
מורשת	ارث	מורשת	أَرث	N;FEM;SG	
סופרים	المؤلفين	סופר	مُؤَلِّف	N;MASC;PL	ADJ;ACC;DEF;MASC;PL
עוסק	مخطوبة	עסק	مَخطُوب	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
עוסק	خاطب	עסק	خَاطَب	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
גרם	جرام	גרם	جرَام	PROPN	N;NOM;INDF;SG
גרם	غرام	גרם	غَرَّام	PROPN	
הקודם	سابق	הקודם	سَابِق	PROPN	ADJ;NOM;INDF;MASC;SG
הקודם	سابقة	הקודם	سَابِقَة	PROPN	N;NOM;INDF;SG
הקודם	السابق	הקודם	سَابِق	PROPN	N;NOM;DEF;SG
הקודם	السابقة	הקודם	سَابِق	PROPN	ADJ;NOM;DEF;FEM;SG
לציין	تحديد	ציין	تَحدِيد	V;NFIN;ACT	N;NOM;INDF;SG
להבין	افهم	הבין	أَفهَم	V;NFIN;ACT	
להבין	فاهم	הבין	فَاهَم	V;NFIN;ACT	
אישה	زوجه	איש	زُوجَة	N;FEM;SG	
דב	ديب	דב	ديب	PROPN	
דב	ديف	דב	دَيفَ	PROPN	
מחשב	كمبيوتر	מחשב	كمبيوتر	N;MASC;SG	
לימודי	الدراسات	לימודים	دِرَاسَة	PROPN	N;NOM;DEF;PL
לימודי	دراسات	לימודים	دِرَاسَة	PROPN	N;NOM;INDF;PL
האינטרנט	الانترنت	האינטרנט	الانترنت	PROPN	
האינטרנט	انترنت	האינטרנט	انترنت	PROPN	
רדיו	المذياع	רדיו	مِذيَاع		N;NOM;DEF;SG
רדיו	راديو	רדיו	راديو		
רדיו	الراديو	רדיו	رَادِيُو		N;NOM;DEF;SG
רדיו	الاذاعة	רדיו	إِذَاعَة		N;NOM;DEF;SG
רדיו	اذاعة	רדיו	إِذَاعَة		N;NOM;INDF;SG
הדרום	جنوبي	הדרום	جَنُوبِيّ		ADJ;NOM;INDF;MASC;SG
הדרום	جنوبا	הדרום	جَنُوب		N;ACC;INDF;SG
הדרום	الجنوب	הדרום	جَنُوب		N;NOM;DEF;SG
הדרום	جنوب	הדרום	جَنُوب		N;NOM;INDF;SG
הדרום	ساوث	הדרום	سَاوث		
תנאי	المصطلحات	תנאי	مُصطَلَح		N;NOM;DEF;PL
תנאי	الشروط	תנאי	شَرط		N;NOM;DEF;PL
תנאי	شروط	תנאי	شَرط		N;NOM;INDF;PL
תנאי	الاحوال	תנאי	حَال		N;NOM;DEF;PL
תנאי	ظروف	תנאי	ظَرف		N;NOM;INDF;PL
תנאי	الظروف	תנאי	ظَرف		N;NOM;DEF;PL
תנאי	الشروط	תנאי	شَرط		N;NOM;DEF;PL
תנאי	شروط	תנאי	شَرط		N;NOM;INDF;PL
תנאי	حالة	תנאי	حَالَة		N;NOM;INDF;SG
תנאי	شرط	תנאי	شَرط		N;NOM;INDF;SG
תנאי	الحالة	תנאי	حَالَة		N;NOM;DEF;SG
תנאי	الشرط	תנאי	شَرط		N;NOM;DEF;SG
תומאס	توماس	תומאס	تُومَاس	PROPN	
תומאס	طوماس	תומאס	طوماس	PROPN	
שרה	ساره	שרה	ساره		
שרה	سارة	שרה	سَارَة		
שרה	سارا	שרה	سَارَا		
מציע	اقتراح	הציע	اِقتِرَاح	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
מציע	اقترح	הציע	اِقتَرَح	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
מציע	نقترح	הציע	نقترح	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;PL;1;FIN;ACT
מציע	يقترح	הציע	اِقتَرَح	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
מציע	يوحي	הציע	أَوحَى	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
מסלול	المقطوعة	מסלול	مَقطُوع	N;MASC;SG	
יוון	يونان	יוון	يونان	PROPN	
יוון	اليونان	יוון	يُونَان	PROPN	N;NOM;DEF;SG
שידור	ارسال	שידור	ارسال	N;MASC;SG	
תקווה	هوب	תקווה	هوب	N;FEM;SG	
תקווה	امل	תקווה	امل	N;FEM;SG	
אב	الاب	אב	الاب	N;MASC;SG	
אב	ابت	אב	أَبتَ	N;MASC;SG	
אב	اب	אב	آب	N;MASC;SG	
צילום	التصوير	צילום	تَصوِير	PROPN	N;NOM;DEF;SG
צילום	تصوير	צילום	تَصوِير	PROPN	N;NOM;INDF;SG
סימן	وقع	סימן	وَقَع	N;MASC;SG	V;PFV;MASC;SG;3;ACT
סימן	توقع	סימן	تَوَقَّع	N;MASC;SG	V;MASC;IMP;SG
סגנון	ستايل	סגנון	ستايل	N;MASC;SG	
יוצר	توليد	יצר	تَولِيد	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
יוצר	الخالق	יצר	خَالِق	V;MASC;SG;V.PTCP;ACT	
יוצר	المنشئ	יצר	مُنشَأَة	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;SG
יוצר	خالق	יצר	خَالِق	V;MASC;SG;V.PTCP;ACT	
יוצר	منشئ	יצר	مَنشَأ	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
יוצר	المصنعة	יצר	مُصَنَّع	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;SG
יוצר	يخلق	יצר	خَلَق	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
יוצר	ينشئ	יצר	أَنشَأ	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
בנות	سيداتي	בת	سيداتي	N;FEM;PL	
נמצאו	وجد	נמצא	وَجَد	V;PL;3;PST;MID	V;PFV;MASC;SG;3;ACT
נמצאו	خلصت	נמצא	خَلَّص	V;PL;3;PST;MID	V;PFV;FEM;SG;3;ACT
נמצאו	وجدت	נמצא	وَجَد	V;PL;3;PST;MID	V;PFV;FEM;SG;3;ACT
כתוב	كتابة	כתב	كِتَابَة		N;NOM;INDF;SG
כתוב	اكتب	כתב	كِتَاب		
כתוב	الكتابة	כתב	كِتَابَة		N;NOM;DEF;SG
כתוב	كتب	כתב	كَتَب		V;PFV;MASC;SG;3;ACT
כתוב	مكتوب	כתב	مَكتُوب		
כתוב	خطية	כתב	خَطِّيّ		ADJ;NOM;INDF;FEM;SG
כתוב	مكتوبة	כתב	مَكتُوب		ADJ;NOM;INDF;FEM;SG
פרטי	الخاص	פרט	خَاصّ	N;MASC;PL	ADJ;NOM;DEF;MASC;SG
פרטי	الخاصة	פרט	خَاصّ	N;MASC;PL	ADJ;NOM;DEF;FEM;SG
פרטי	خاص	פרט	خَاصّ	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
פרטי	خاصة	פרט	خَاصّ	N;MASC;PL	ADJ;ACC;INDF;FEM;SG
המוזיאון	المتحف	המוזיאון	مَتحَف	PROPN	N;NOM;DEF;SG
המוזיאון	m	המוזיאון	فَ	PROPN	
המוזיאון	متحف	המוזיאון	مَتحَف	PROPN	N;NOM;INDF;SG
מהירות	سبيد	מהירות	سبيد	N;FEM;SG	
לאפשר	السماح	אפשר	سَمَاح	V;NFIN;ACT	N;NOM;DEF;SG
לאפשר	اسمح	אפשר	أَسمَح	V;NFIN;ACT	PRO;NOM;MASC;SG;2
שלנו	ملكنا	None	ملكنا		ADJ;ACC;INDF;MASC;SG
שלנו	بلدنا	None	بلدنا		
לימוד	ادرس	לימוד	أَدرَس	N;MASC;SG	
לימוד	تعلم	לימוד	عَلِم	N;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
קצין	ضابطة	קצין	ضَابِط	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
השתתפו	حضرت	השתתף	حَضَر	V;PL;3;PST	V;PFV;FEM;SG;3;ACT
השתתפו	حضر	השתתף	حَضَر	V;PL;3;PST	V;PFV;MASC;SG;3;ACT
השתתפו	شاركت	השתתף	شَارَك	V;PL;3;PST	V;PFV;FEM;SG;3;ACT
מגלה	تكشف	גילה	كَشَف	V;MASC;SG;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
מגלה	يكشف	גילה	كَشَف	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
מגלה	يكتشف	גילה	اِكتَشَف	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
פוליטית	سياسيا	פוליטי	سِيَاسِيّ	ADV	ADJ;ACC;INDF;MASC;SG
פוליטית	السياسي	פוליטי	سِيَاسِيّ	ADV	ADJ;NOM;DEF;MASC;SG
פוליטית	السياسية	פוליטי	سِيَاسِيّ	ADV	ADJ;NOM;DEF;FEM;SG
פוליטית	سياسي	פוליטי	سِيَاسِيّ	ADV	ADJ;NOM;INDF;MASC;SG
פוליטית	سياسية	פוליטי	سِيَاسِيّ	ADV	ADJ;NOM;INDF;FEM;SG
מורכב	مجمع	מורכב	مَجمَع	V;MASC;SG;V.PTCP;PASS	N;NOM;INDF;SG
מורכב	معقدة	מורכב	مُعَقَّد	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
מורכב	معقد	מורכב	مُعَقَّد	V;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
קיסר	الامبراطور	קיסר	أَمبِرَاطُور	PROPN	N;NOM;DEF;SG
קיסר	امبراطور	קיסר	امبراطور	PROPN	
קיסר	القيصر	קיסר	قَيصَر	PROPN	N;NOM;DEF;SG
קיסר	قيصر	קיסר	قَيصَر	PROPN	
מרץ	المسيرة	מרץ	مَسِيرَة	PROPN	N;NOM;DEF;SG
מרץ	مارس	מרץ	مَارِس	PROPN	N;GEN;INDF;SG
מרץ	مسيرة	מרץ	مَسِيرَة	PROPN	N;NOM;INDF;SG
מרץ	اذار	מרץ	آذَار	PROPN	N;NOM;INDF;SG
פרש	متقاعد	פרש	مُتَقَاعِد	PROPN	ADJ;NOM;INDF;MASC;SG
פרש	تقاعد	פרש	تَقَاعُد	PROPN	N;NOM;INDF;SG
פרש	المتقاعدين	פרש	مُتَقَاعِد	PROPN	N;NOM;DEF;PL
קבלת	تلقي	קבלה	تلقي	N;FEM;SG	
איתן	ايثان	איתן	إِيثَان	PROPN	
אמצעי	التدابير	אמצע	تَدبِير	N;MASC;SG	N;NOM;DEF;PL
אמצעי	تدابير	אמצע	تَدبِير	N;MASC;SG	N;NOM;INDF;PL
אמצעי	الوسائل	אמצע	وَسِيلَة	N;MASC;SG	N;NOM;DEF;PL
אמצעי	يعنى	אמצע	عَنَى	N;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
אמצעי	يعني	אמצע	عَنَى	N;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
קילומטרים	ميل	קילומטר	مِيل	N;MASC;PL	
קילומטרים	مايلز	קילומטר	مايلز	N;MASC;PL	
ראוי	تستاهل	ראוי	تَسَتَّل	ADJ;MASC;SG	
ביצוע	نفذ	ביצוע	نَفَّذ	N;MASC;SG	V;PFV;MASC;SG;3;ACT
ביצוע	جعل	ביצוע	جَعَل	N;MASC;SG	V;PFV;MASC;SG;3;ACT
ביצוע	صنع	ביצוע	صَنَع	N;MASC;SG	V;PFV;MASC;SG;3;ACT
גנרל	جنرال	גנרל	جنرال	N;MASC;SG	
גנרל	عامة	גנרל	عَامّ	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
ניצח	وون	ניצח	وون	V;MASC;SG;3;PST;ACT	
משפחות	اسر	משפחה	أُسرَة	N;FEM;PL	
נחל	كريك	נחל	كَرِيك		
נחל	تيار	נחל	تَيَّار		N;NOM;INDF;SG
נחל	نحال	נחל	نحال		
ידועה	المعروفة	ידע	مَعرُوف	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;DEF;FEM;SG
ידועה	معلوم	ידע	مَعلُوم	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
ידועה	معروف	ידע	مَعرُوف	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
ידועה	معروفة	ידע	مَعرُوف	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
ידועה	المعروف	ידע	مَعرُوف	V;FEM;SG;V.PTCP;ACT	ADJ;NOM;DEF;MASC;SG
ספק	اشك	ספק	شَكّ	N;MASC;SG	
פרט	التفصيل	פרט	تَفصِيل		N;NOM;DEF;SG
פרט	تفاصيل	פרט	تَفصِيل		N;NOM;INDF;PL
פרט	التفاصيل	פרט	تَفصِيل		N;NOM;DEF;PL
פרט	تفصيل	פרט	تَفصِيل		N;NOM;INDF;SG
המספר	عدد	המספר	عَدَد	PROPN	N;NOM;INDF;SG
המספר	العدد	המספר	عَدَد	PROPN	N;NOM;DEF;SG
המספר	الرقم	המספר	رَقم	PROPN	N;NOM;DEF;SG
המספר	رقم	המספר	رَقم	PROPN	N;NOM;INDF;SG
הרביעית	الرابعة	הרביעית	رَابِع	ADV	ADJ;NOM;DEF;FEM;SG
הרביעית	رابع	הרביעית	رَابِع	ADV	ADJ;NOM;INDF;MASC;SG
הרביעית	رابعة	הרביעית	رَابِع	ADV	ADJ;NOM;INDF;FEM;SG
הרביעית	رابعا	הרביעית	رَابِع	ADV	ADJ;ACC;INDF;MASC;SG
הרביעית	الرابع	הרביעית	رَابِع	ADV	ADJ;NOM;DEF;MASC;SG
תמיכה	المدعومة	תמיכה	مَدعُوم	N;FEM;SG	ADJ;NOM;DEF;FEM;SG
תמיכה	مدعوم	תמיכה	مَدعُوم	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
תמיכה	مدعومة	תמיכה	مَدعُوم	N;FEM;SG	ADJ;NOM;INDF;FEM;SG
רומניה	روماني	רומניה	رُومَانِيّ	PROPN	ADJ;NOM;INDF;MASC;SG
רומניה	الروماني	רומניה	رُومَانِيّ	PROPN	ADJ;NOM;DEF;MASC;SG
רומניה	رومانيا	רומניה	رُومَانِيَا	PROPN	
רומניה	الرومانية	רומניה	رُومَانِيّ	PROPN	ADJ;NOM;DEF;FEM;SG
רומניה	رومانيا	רומניה	رُومَانِيَا	PROPN	
זהה	مماثل	זהה	مُمَاثِل		ADJ;NOM;INDF;MASC;SG
זהה	متطابقة	זהה	مُتَطَابِق		ADJ;NOM;INDF;FEM;SG
זהה	التعرف	זהה	تَعَرُّف		N;NOM;DEF;SG
כתבי	كتابة	כתב	كِتَابَة	N;PSSD;MASC;PL	N;NOM;INDF;SG
כתבי	اكتب	כתב	كِتَاب	N;PSSD;MASC;PL	
כתבי	الكتابة	כתב	كِتَابَة	N;PSSD;MASC;PL	N;NOM;DEF;SG
גדוד	الفوج	גדוד	فَوجَة	PROPN	N;NOM;DEF;SG
גדוד	الكتيبة	גדוד	الكتيبة	PROPN	N;NOM;DEF;SG
גדוד	كتيبة	גדוד	كَتِيبَة	PROPN	N;NOM;INDF;SG
אמור	قل	אמור	قَلّ	ADJ;MASC;SG	
אמור	نقول	אמור	قَال	ADJ;MASC;SG	V;IPFV;MASC;IND;PL;1;FIN;ACT
אמור	قولي	אמור	قَولِيّ	ADJ;MASC;SG	
אמור	قول	אמור	قَول	ADJ;MASC;SG	N;NOM;INDF;SG
אמור	اقول	אמור	قَاوَل	ADJ;MASC;SG	
אמור	ينبغي	אמור	اِنبَغَى	ADJ;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
אלון	الون	אלון	وَنّ	PROPN	N;NOM;DEF;SG
אלון	البلوط	אלון	بَلوَط	PROPN	N;NOM;DEF;SG
להשיג	تحقيقه	השיג	تحقيقه	V;NFIN;ACT	PRO;NOM;FEM;SG;3
מדע	العلوم	מדע	عِلم		N;NOM;DEF;PL
מדע	علوم	מדע	عِلم		N;NOM;INDF;PL
מדע	العلم	מדע	عِلم		N;NOM;DEF;SG
הסביבה	البيئة	הסביב	بِيئَة	V;FEM;SG;3;PST;ACT	N;NOM;DEF;SG
הסביבה	بيئة	הסביב	بِيئَة	V;FEM;SG;3;PST;ACT	N;NOM;INDF;SG
בצד	جانبا	בצד	جَانِب		N;ACC;INDF;SG
אפריל	ابريل	אפריל	أَبرِيل	PROPN	N;GEN;INDF;SG
אפריל	نيسان	אפריל	نِيسَان	PROPN	N;NOM;INDF;SG
חום	اسمر	חום	أَسمَر		
חום	البني	חום	بَنِّيّ		N;NOM;DEF;SG
חום	بنية	חום	بِنيَة		N;NOM;INDF;SG
חום	براون	חום	براون		
חום	الحراره	חום	حَرَارُه		
חום	هيت	חום	هيت		
חום	حرارة	חום	حَرَارَة		N;NOM;INDF;SG
חום	الحرارة	חום	حَرَارَة		N;NOM;DEF;SG
חום	الحمى	חום	حَمَى		N;NOM;DEF;SG
חום	حمى	חום	حُمَّى		N;NOM;INDF;SG
חום	حمي	חום	حمي		
חום	الدفء	חום	دَفء		N;NOM;DEF;SG
בטוח	امان	None	أَمَان		
בטוח	امنة	None	امنة		ADJ;NOM;INDF;FEM;SG
בטוח	طبعا	None	طَبع		N;ACC;INDF;SG
בטוח	اكيد	None	أَكَاد		
בטוח	متاكد	None	مُتَأَكِّد		ADJ;NOM;INDF;MASC;SG
מעורב	المختلط	מעורב	مُختَلِط	ADJ;MASC;SG	N;NOM;DEF;SG
וידאו	بالفيديو	וידאו	بالفيديو	PROPN	N;NOM;DEF;SG
וידאו	الفيديو	וידאו	الفيديو	PROPN	N;NOM;DEF;SG
וידאו	فيديو	וידאו	فِيدِيُو	PROPN	N;NOM;INDF;SG
חוזר	كرر	חזר	كَرَّر	PROPN	V;PFV;MASC;SG;3;ACT
חוזר	تكرار	חזר	تَكرَار	PROPN	N;NOM;INDF;SG
חוזר	الاعادة	חזר	إِعَادَة	PROPN	N;NOM;DEF;SG
נפוץ	شائعة	נפוץ	شَائِعَة	V;MASC;SG;V.PTCP;MID	ADJ;NOM;INDF;FEM;SG
נפוץ	شائع	נפוץ	شَائِع	V;MASC;SG;V.PTCP;MID	ADJ;NOM;INDF;MASC;SG
יוסי	يوسي	יוסי	يُوسِي	PROPN	
לעמוד	الوقوف	עמד	وُقُوف	V;NFIN;ACT	N;NOM;DEF;SG
נהוג	العرفي	נהג	عُرفِيّ	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;DEF;MASC;SG
נהוג	العرفية	נהג	عُرفِيّ	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;DEF;FEM;SG
הפכו	صارت	הפך	صَار	V;PL;3;PST	V;PFV;FEM;SG;3;ACT
מתחיל	يبدا	התחיל	بَدَا	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
מתחיל	بدء	התחיל	بَدء	V;MASC;SG;V.PTCP	N;NOM;INDF;SG
מתחיל	البدء	התחיל	بَدء	V;MASC;SG;V.PTCP	N;NOM;DEF;SG
מתחיל	يبدا	התחיל	بَدَا	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
היצירה	خلق	היצירה	خَلَق	ADV	V;PFV;MASC;SG;3;ACT
היצירה	انشاء	היצירה	إِنشَاء	ADV	N;NOM;INDF;SG
היצירה	الانشاء	היצירה	إِنشَاء	ADV	N;NOM;DEF;SG
היצירה	الخلق	היצירה	خَلق	ADV	N;NOM;DEF;SG
ואחרים	اخرون	ואחר	آخَر	PROPN	ADJ;NOM;INDF;MASC;PL
ואחרים	اخرين	ואחר	آخَر	PROPN	ADJ;ACC;INDF;MASC;PL
ואחרים	الاخرون	ואחר	آخَر	PROPN	ADJ;NOM;DEF;MASC;PL
צעירים	شاب	צעיר	شَابّ	N;MASC;PL	N;NOM;INDF;SG
צעירים	شابة	צעיר	شَابّ	N;MASC;PL	ADJ;NOM;INDF;FEM;SG
שיתוף	شارك	שיתוף	شَارَك	N;MASC;SG	V;PFV;MASC;SG;3;ACT
מגדל	البرج	מגדל	بُرج	PROPN	N;NOM;DEF;SG
מגדל	برج	מגדל	بُرج	PROPN	N;NOM;INDF;SG
הונגריה	هنغاريا	הונגריה	هِنغَارِيّ	PROPN	
הונגריה	المجر	הונגריה	مَجَر	PROPN	N;NOM;DEF;SG
מסכים	اتفق	הסכים	اِتَّفَق	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
מסכים	متفق	הסכים	مُتَّفَق	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
מסכים	اتفق	הסכים	اِتَّفَق	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;SG;3;ACT
מסכים	اوافق	הסכים	أَوَّق	V;MASC;SG;V.PTCP;ACT	
מסכים	نتفق	הסכים	نتفق	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;PL;1;FIN;ACT
קריית	كريات	קריה	كُرِّيَّة	N;PSSD;FEM;SG	N;NOM;INDF;PL
הסיבה	سبب	הסיב	سَبَب	V;FEM;SG;3;PST;ACT	N;NOM;INDF;SG
הסיבה	السبب	הסיב	سَبَب	V;FEM;SG;3;PST;ACT	N;NOM;DEF;SG
שש	six	שש	قِثَّة	NUM;FEM;SG	
שש	سكس	שש	سَكس	NUM;FEM;SG	
אריאל	ارييل	אריאל	أَرِيِيل	PROPN	
פרשת	متقاعد	פרשה	مُتَقَاعِد	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
פרשת	المتقاعدين	פרשה	مُتَقَاعِد	N;FEM;SG	N;NOM;DEF;PL
בולטים	بارزة	בלט	بَارِز	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
בולטים	بارزان	בלט	بَارِزَان	V;MASC;PL;V.PTCP;ACT	
בולטים	بارز	בלט	بَارِز	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
מכיל	تحتوي	הכיל	اِحتَوَى	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
מכיל	يحتوي	הכיל	اِحتَوَى	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
מכיל	تحوي	הכיל	تَحَوِّي	V;MASC;SG;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
תוכן	محتويات	תוכן	مُحتَوَى	N;MASC;SG	N;NOM;INDF;PL
תוכן	محتويات	תוכן	مُحتَوَى	N;MASC;SG	N;NOM;INDF;PL
אורח	الزائر	אורח	الزائر	N;MASC;SG	
אורח	زائر	אורח	زَائِر	N;MASC;SG	
אורח	ضيف	אורח	ضِيف	N;MASC;SG	
קטנות	صغيره	קטן	صغيره	ADJ;FEM;PL	PRO;NOM;FEM;SG;3
קטנות	صغير	קטן	صَغِير	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
קטנות	صغر	קטן	صَغَر	ADJ;FEM;PL	N;NOM;INDF;SG
קטנות	صغيرة	קטן	صَغِير	ADJ;FEM;PL	ADJ;NOM;INDF;FEM;SG
בריטים	بريطاني	בריטי	برِيطَانِيّ	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
בריטים	بريطانيا	בריטי	برِيطَانِيَا	N;MASC;PL	
בריטים	بريطانية	בריטי	برِيطَانِيّ	N;MASC;PL	ADJ;NOM;INDF;FEM;SG
בריטים	البريطاني	בריטי	برِيطَانِيّ	N;MASC;PL	N;NOM;DEF;SG
בריטים	البريطانية	בריטי	برِيطَانِيّ	N;MASC;PL	ADJ;NOM;DEF;FEM;SG
פרנק	فرانك	פרנק	فرانك	PROPN	
מקבל	الحصول	קיבל	حُصُول	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;SG
מקבל	يقبل	קיבל	قَبِل	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
מקבל	يتقبل	קיבל	تَقَبَّل	V;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
מקבל	قبول	קיבל	قُبُول	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
מקבל	الاستلام	קיבל	اِستِلَام	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;SG
מקבל	استلام	קיבל	اِستِلَام	V;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
מקבל	تلقي	קיבל	تلقي	V;MASC;SG;V.PTCP;ACT	
האגודה	جمعية	האגודה	جَمعِيَّة	PROPN	N;NOM;INDF;SG
האגודה	الرابطة	האגודה	رَابِطَة	PROPN	N;NOM;DEF;SG
האגודה	رابطة	האגודה	رَابِطَة	PROPN	N;NOM;INDF;SG
האגודה	الجمعية	האגודה	جَمعِيَّة	PROPN	N;NOM;DEF;SG
אליהו	ايليا	אליהו	إِيلِيَا	PROPN	
פרסום	بوست	פרסום	بُوست	N;MASC;SG	
פרסום	الاعلانات	פרסום	إِعلَان	N;MASC;SG	N;NOM;DEF;PL
פרסום	اعلانات	פרסום	إِعلَان	N;MASC;SG	N;NOM;INDF;PL
פרסום	انشر	פרסום	انشر	N;MASC;SG	
מופיעה	يظهر	הופיע	ظَهَر	V;FEM;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
דצמבר	ديسمبر	דצמבר	دِيسَمبِر	PROPN	N;GEN;INDF;SG
אהבה	احب	אהבה	احب	N;FEM;SG	
השישי	سادس	השישי	سَادِس	PROPN	ADJ;NOM;INDF;MASC;SG
השישי	السادسة	השישי	سَادِس	PROPN	ADJ;NOM;DEF;FEM;SG
השישי	السادس	השישי	سَادِس	PROPN	ADJ;NOM;DEF;MASC;SG
השישי	سادسا	השישי	سَادِس	PROPN	
עסקים	العمل	עסק	عَمَل	N;MASC;PL	N;NOM;DEF;SG
עסקים	عمل	עסק	عَمَل	N;MASC;PL	N;NOM;INDF;SG
אדוארד	ادوارد	אדוארד	أَدوَارد	PROPN	
אוסקר	اوسكار	אוסקר	اوسكار	PROPN	
אוסקר	الاوسكار	אוסקר	وِسكَار	PROPN	
מדליית	وسام	מדליה	وَسِيمَة	N;PSSD;FEM;SG	N;NOM;INDF;SG
מדליית	الميدالية	מדליה	مِيدَالِيَّة	N;PSSD;FEM;SG	N;NOM;DEF;SG
מדליית	ميدالية	מדליה	مِيدَالِيَّة	N;PSSD;FEM;SG	N;NOM;INDF;SG
לשיר	غن	השיר	غَن		
לשיר	اغني	השיר	اغني		
לשיר	يغني	השיר	غَنَّى		V;IPFV;MASC;IND;SG;3;FIN;ACT
לשיר	غني	השיר	غَنِّيّ		
הפרלמנט	البرلمان	הפרלמנט	بَرلَمَان	PROPN	N;NOM;DEF;SG
הפרלמנט	برلمان	הפרלמנט	بَرلَمَان	PROPN	N;NOM;INDF;SG
כעת	الان	כעת	آن	ADV	N;ACC;DEF;SG
כעת	والان	כעת	والان	ADV	
מדוע	ليش	מדוע	لَيش	ADV	
מדוע	لماذا	מדוע	لِمَاذَا	ADV	DET
מדוע	لما	מדוע	لَمَّا	ADV	
סיני	سيناء	סיני	سِينَاء	PROPN	N;NOM;INDF;SG
סיני	الصينيون	סיני	صِينِيّ	PROPN	ADJ;NOM;DEF;MASC;PL
סיני	صيني	סיני	صِينِيّ	PROPN	ADJ;NOM;INDF;MASC;SG
סיני	الصينية	סיני	صِينِيّ	PROPN	ADJ;NOM;DEF;FEM;SG
