月	maandenlang	月	maandenlang	N	ADJ
普遍	universele	普遍	universeel	ADV	ADJ
十	decennium	十	decennium	NUM	N;NEUT;SG
十四	fourteen	十四	fourteen	NUM	N;MASC+FEM;SG
昆	kun	昆	kunnen	PROPN	V;SG;PRS;FIN
中山	zhongshan	中山	zhongshan	PROPN	N;MASC+FEM;SG
必要	noodzakelijke	必要	noodzakelijk	N	ADJ
必要	nodig	必要	nodig	N	ADJ
必要	noodzakelijk	必要	noodzakelijk	N	ADJ
俄	rusland	俄	rusland	PROPN	PROPN;NEUT;SG
山西	shanxi	山西	shanxi	PROPN	N;MASC+FEM;SG
南極	antarctica	南極	antarctica	PROPN	N;NEUT;SG
南極	zuidpool	南極	zuidpool	PROPN	N;MASC+FEM;SG
南極	antarctica	南極	antarctica	PROPN	N;NEUT;SG
小型	kleine	小型	klein	N	ADJ
小型	klein	小型	klein	N	ADJ
小型	smal	小型	smal	N	ADJ
退出	exit	退出	exit	V	N;MASC+FEM;SG
退出	uitgang	退出	uitgang	V	N;MASC+FEM;SG
以色列	israël	以色列	israël	PROPN	PROPN;NEUT;SG
以色列	israel	以色列	israel	PROPN	PROPN;NEUT;SG
一切	alles	一切	alles	DET	PRO;3
東部	oostelijk	東部	oostelijk	N	ADJ
東部	oostelijke	東部	oostelijk	N	ADJ
逐漸	geleidelijk	逐漸	geleidelijk	ADV	ADJ
逐漸	geleidelijke	逐漸	geleidelijk	ADV	ADJ
逐漸	geleidelijk	逐漸	geleidelijk	ADV	ADJ
固定	vaste	固定	vast	N	ADJ
固定	gerepareerd	固定	pepareren	N	V;V.PTCP
固定	stationair	固定	stationair	N	ADJ
固定	stilstaand	固定	stilstaand	N	ADJ
固定	stationaire	固定	stationair	N	ADJ
江西	jiangxi	江西	jiangxi	PROPN	N;MASC+FEM;SG
游	zwem	游	zwem	N	V;SG;PRS;FIN
游	zwemmen	游	zwemmen	N	V;NFIN
游	zwemmen	游	zwemmen	N	V;NFIN
薛	xue	薛	xue	PROPN	N;MASC+FEM;SG
病	ziek	病	ziek	N	ADJ
病	zieken	病	zieken	N	ADJ
病	ziek	病	ziek	N	ADJ
問	ask	問	ask		INTJ
問	vraag	問	vraag		N;MASC+FEM;SG
翡翠	jade	翡翠	jaad	PROPN	N;MASC+FEM;SG
維持	onderhoud	維持	onderhoud	V	N;NEUT;SG
格式	formatteren	格式	formatteren	N	V;NFIN
格式	formatteren	格式	formatteren	N	V;NFIN
臺北	taipei	臺北	taipei	PROPN	N;NEUT;SG
互	wederzijds	互	wederzijds	N	ADJ
互	wederzijdse	互	wederzijds	N	ADJ
刺	steken	刺	steken	N	V;NFIN
刺	steek	刺	steek	N	V;SG;PRS;FIN
表面	bovengronds	表面	bovengronds	N	ADJ
建設	bouw	建設	bouw	V	N;MASC+FEM;SG
建設	constructie	建設	constructie	V	N;MASC+FEM;SG
建設	bouwnijverheid	建設	bouwnijverheid	V	N;MASC+FEM;SG
建設	opbouw	建設	opbouw	V	N;MASC+FEM;SG
定義	definiëren	定義	definiër	N	V;NFIN
定義	definieer	定義	definieer	N	V;SG;PRS;FIN
定義	definiëren	定義	definiër	N	V;NFIN
指定	aanwijzing	指定	aanwijzing	V	N;MASC+FEM;SG
指定	aanduiding	指定	aanduiding	V	N;MASC+FEM;SG
指定	benaming	指定	benaming	V	N;MASC+FEM;SG
指揮	commando	指揮	commando	V	N;NEUT;SG
指揮	opdracht	指揮	opdracht	V	N;MASC+FEM;SG
指揮	geleider	指揮	geleider	V	N;MASC+FEM;SG
指揮	dirigent	指揮	dirigent	V	N;MASC+FEM;SG
指揮	conducteur	指揮	conducteur	V	N;MASC+FEM;SG
安排	arrangementen	安排	arrangement	V	N;PL
安排	regelingen	安排	regeling	V	N;PL
安排	regeling	安排	regeling	V	N;MASC+FEM;SG
安排	arrangement	安排	arrangement	V	N;NEUT;SG
實	minoru	實	minoru		N;MASC+FEM;SG
爆發	uitbraak	爆發	uitbraak	V	N;MASC+FEM;SG
爆發	uitbarsting	爆發	uitbarsting	V	N;MASC+FEM;SG
現任	huidig	現任	huidig	N	ADJ
現任	huidige	現任	huidig	N	ADJ
現任	actueel	現任	actueel	N	ADJ
現任	aanwezig	現任	aanwezig	N	ADJ
現任	heden	現任	heden	N	ADV
現任	presenteren	現任	presenteren	N	V;NFIN
現任	presenteer	現任	presenteren	N	V;SG;PRS;FIN
匈牙利	hongarije	匈牙利	hongarije	PROPN	PROPN;NEUT;SG
匈牙利	hongaarse	匈牙利	hongaars	PROPN	ADJ
匈牙利	hongaars	匈牙利	hongaars	PROPN	ADJ
改造	makeover	改造	makeover	V	N;MASC+FEM;SG
改造	verbouwing	改造	verbouwing	V	N;MASC+FEM;SG
京	kyoto	京	kyoto	PROPN	N;NEUT;SG
五	mogen	五	mogen	NUM	V;PL;PRS;FIN
五	may	五	may	NUM	
五	mei	五	mei	NUM	PROPN;MASC+FEM;SG
五	mag	五	mogen	NUM	V;SG;PRS;FIN
五	moge	五	mogen	NUM	V;SG;PRS;FIN
上午	morgen	上午	morgen	N	ADV
河北	hebei	河北	hebei	PROPN	N;NEUT;SG
馮	feng	馮	feng	PROPN	N;MASC+FEM;SG
使用	gebruiker	使用	gebruiker	V	N;MASC+FEM;SG
使用	gebruikers	使用	gebruiker	V	N;PL
鄧	deng	鄧	dengen	PROPN	PROPN;MASC+FEM;SG
機械	mechanisch	機械	mechanisch	N	ADJ
機械	mechanische	機械	mechanisch	N	ADJ
爭議	betwiste	爭議	betwisten	N	V;V.PTCP
爭議	betwist	爭議	betwisten	N	V;V.PTCP
爭議	aangevochten	爭議	aanvechten	N	V;V.PTCP
爭議	omstreden	爭議	omstreden	N	V;V.PTCP
爭議	controverse	爭議	controvers	N	ADJ
爭議	controversieel	爭議	controversieel	N	ADJ
爭議	controversiële	爭議	controversiel	N	ADJ
爭議	omstreden	爭議	omstreden	N	V;V.PTCP
爭議	betwisten	爭議	betwisten	N	V;NFIN
發射	lancering	發射	lancering	V	N;MASC+FEM;SG
首先	eerste	首先	één		ADJ
首先	eerst	首先	eerst		ADV
入侵	invasie	入侵	invasie	V	N;MASC+FEM;SG
入侵	invallen	入侵	invallen	V	N;PL
同盟	verbond	同盟	verbinden	N	V;SG;PST;FIN
轉換	conversie	轉換	conversie	V	N;MASC+FEM;SG
轉換	bekering	轉換	bekering	V	N;MASC+FEM;SG
轉換	omschakeling	轉換	omschakeling	V	N;MASC+FEM;SG
轉換	transformatie	轉換	transformatie	V	N;MASC+FEM;SG
轉換	transformatie	轉換	transformatie	V	N;MASC+FEM;SG
疑似	vermoedelijke	疑似	vermoedelijk	V	ADJ
唱	zing	唱	zingen	N	V;SG;PRS;FIN
唱	zingen	唱	zingen	N	V;NFIN
蕭	shaw	蕭	shaw	PROPN	N;MASC+FEM;SG
血	blood	血	blood	N	
監督	surveillance	監督	surveillance	N	ADJ
軌道	orbitale	軌道	orbitaal	N	ADJ
今日	vandaag	今日	vandaag	N	ADV
尼斯	mooi	尼斯	mooi	PROPN	ADJ
尼斯	lekker	尼斯	lekker	PROPN	ADJ
尼斯	fijn	尼斯	fijn	PROPN	ADJ
尼斯	leuk	尼斯	leuk	PROPN	ADJ
尼斯	nice	尼斯	nice	PROPN	N;MASC+FEM;SG
汗	zweten	汗	zweten	N	V;NFIN
汗	zweten	汗	zweten	N	V;NFIN
南極	antarctica	南極	antarctica	PROPN	N;NEUT;SG
南極	antarctica	南極	antarctica	PROPN	N;NEUT;SG
南極	zuidpool	南極	zuidpool	PROPN	N;MASC+FEM;SG
綜合	synthese	綜合	synthese	V	N;MASC+FEM;SG
廣播	uitgezonden	廣播	uitzenden	N	V;V.PTCP
廣播	uitzenden	廣播	uitzenden	N	V;NFIN
廣播	uitzenden	廣播	uitzenden	N	V;NFIN
比例	evenredig	比例	evenredig	N	ADJ
比例	proportioneel	比例	proportioneel	N	ADJ
比例	proportionele	比例	proportioneel	N	ADJ
側	zijdelingse	側	zijdelings	N	ADJ
側	laterale	側	lateraal	N	ADJ;CMPR
側	zijdelings	側	zijdelings	N	ADJ
側	side	側	side	N	
怡	jardine	怡	jardine	PROPN	N;MASC+FEM;SG
父母	ouder	父母	ouder	N	ADJ;CMPR
鍾	klok	鍾	klok	PROPN	N;MASC+FEM;SG
廖	liao	廖	liao	PROPN	N;MASC+FEM;SG
飛行	vlucht	飛行	vlucht	V	N;MASC+FEM;SG
統一	eenheid	統一	eenheid	V	N;MASC+FEM;SG
統一	hereniging	統一	hereniging	V	N;MASC+FEM;SG
統一	eenwording	統一	eenwording	V	N;MASC+FEM;SG
統一	eenmaking	統一	eenmaking	V	N;MASC+FEM;SG
統一	harmonisatie	統一	harmonisatie	V	N;MASC+FEM;SG
恢復	restauratie	恢復	restauratie	V	N;MASC+FEM;SG
恢復	herstel	恢復	herstel	V	N;NEUT;SG
恢復	herstel	恢復	herstel	V	N;NEUT;SG
綠	groen	綠	groen	N	ADJ
綠	groene	綠	groen	N	ADJ
退役	ontmanteling	退役	ontmanteling	V	N;MASC+FEM;SG
住宅	residentiële	住宅	residentiel	N	ADJ
伊朗	iraanse	伊朗	iraans	PROPN	ADJ
伊朗	iran	伊朗	iran	PROPN	PROPN;NEUT;SG
伊朗	iraanse	伊朗	iraans	PROPN	ADJ
伊朗	iraans	伊朗	iraans	PROPN	ADJ
莊	bankier	莊	bankier	PROPN	N;MASC+FEM;SG
莊	zhuang	莊	zhuang	PROPN	N;MASC+FEM;SG
混合	hybride	混合	hybride	V	N;MASC+FEM;SG
混合	mix	混合	mix	V	N;MASC+FEM;SG
混合	vermenging	混合	vermenging	V	N;MASC+FEM;SG
混合	menging	混合	mengaan	V	N;MASC+FEM;SG
混合	mixed	混合	mixed	V	ADJ
混合	mengsel	混合	mengsel	V	N;NEUT;SG
混合	vermenging	混合	vermenging	V	N;MASC+FEM;SG
混合	menging	混合	mengaan	V	N;MASC+FEM;SG
殺	kill	殺	kill	V	N;MASC+FEM;SG
殺	doden	殺	dood	V	ADJ
殺	doden	殺	dood	V	ADJ
山脈	bergen	山脈	bergen	N	V;NFIN
上海	shanghai	上海	shanghai	PROPN	N;MASC+FEM;SG
上海	sjanghai	上海	sjanghai	PROPN	N;NEUT;SG
莫斯科	moskou	莫斯科	moskou	PROPN	PROPN;NEUT;SG
食品	eten	食品	eten	N	V;NFIN
希臘	griekse	希臘	grieks	PROPN	ADJ
希臘	grieks	希臘	grieks	PROPN	ADJ
希臘	griek	希臘	griek	PROPN	N;MASC+FEM;SG
希臘	griekenland	希臘	griekenland	PROPN	N;NEUT;SG
高雄	kaohsiung	高雄	kaohsiung	PROPN	N;MASC+FEM;SG
有限	limited	有限	limited	ADJ	
有限	beperkt	有限	beperken	ADJ	V;V.PTCP
有限	gelimiteerd	有限	limiteren	ADJ	V;V.PTCP
有限	beperkte	有限	beperken	ADJ	V;SG;PST;FIN
學者	geleerde	學者	geleerd	N	ADJ
學者	geleerden	學者	geleerde	N	V;V.PTCP
湖北	hubei	湖北	hubei	PROPN	N;MASC+FEM;SG
合成	synthetische	合成	synthetisch	N	ADJ
合成	synthetisch	合成	synthetisch	N	ADJ
合成	composiet	合成	composiet	N	ADJ
合成	samengesteld	合成	samenstellen	N	V;V.PTCP
合成	samengestelde	合成	samenstellen	N	V;V.PTCP
四十	forty	四十	forty	NUM	
罪	zondigen	罪	zondigen	N	V;NFIN
教練	coachen	教練	coachen	N	V;NFIN
展示	showcase	展示	showcase	V	N;MASC+FEM;SG
展示	toon	展示	toon	V	N;MASC+FEM;SG
展示	weergeven	展示	weergeven	V	N;PL
展示	show	展示	show	V	N;MASC+FEM;SG
展示	weergave	展示	weergave	V	N;MASC+FEM;SG
展示	weergeven	展示	weergeven	V	N;PL
展示	display	展示	display	V	N;NEUT;SG
湘	xiang	湘	xiang	PROPN	N;MASC+FEM;SG
只要	gewoon	只要	gewoon	ADP	ADJ
義大利	italië	義大利	italië	PROPN	PROPN;NEUT;SG
義大利	italiaanse	義大利	italiaans	PROPN	ADJ
義大利	italiaan	義大利	italiaan	PROPN	N;MASC+FEM;SG
義大利	italiaans	義大利	italiaans	PROPN	ADJ
讀	lectuur	讀	lectuur	V	N;MASC+FEM;SG
讀	reading	讀	reading	V	N;MASC+FEM;SG
讀	lezing	讀	lezing	V	N;MASC+FEM;SG
很快	snel	很快	snel	ADV	ADJ
很快	spoedig	很快	spoedig	ADV	ADJ
很快	soon	很快	soon	ADV	N;MASC+FEM;SG
成都	chengdu	成都	chengdu	PROPN	N;MASC+FEM;SG
追	achtervolging	追	achtervolging	V	N;MASC+FEM;SG
追	chase	追	chase	V	N;MASC+FEM;SG
厚	dikke	厚	dik	PART	ADJ
厚	dik	厚	dik	PART	ADJ
拍	shoot	拍	shoot	V	N;MASC+FEM;SG
統治	heerschappij	統治	heerschappij	V	N;MASC+FEM;SG
統治	regeerperiode	統治	regeerperiode	V	N;MASC+FEM;SG
藩	domein	藩	domein	PROPN	N;NEUT;SG
圓	kring	圓	kring		N;MASC+FEM;SG
圓	cirkel	圓	cirkel		N;MASC+FEM;SG
圓	ronde	圓	ronde		N;MASC+FEM;SG
圓	rondje	圓	rond		N;NEUT;SG
圓	round	圓	round		
圓	rond	圓	rond		ADP
幫助	hulp	幫助	hulp	V	N;MASC+FEM;SG
幫助	help	幫助	help	V	N;MASC+FEM;SG
連結	link	連結	link	V	N;MASC+FEM;SG
連結	koppeling	連結	koppeling	V	N;MASC+FEM;SG
設定	set	設定	set	V	N;MASC+FEM;SG
設定	instellingen	設定	instelling	V	N;PL
鳳	feniks	鳳	fenik	PROPN	N;MASC+FEM;SG
鳳	phoenix	鳳	phoenix	PROPN	N;MASC+FEM;SG
假	vals	假	vals	N	ADJ
假	false	假	fals	N	
假	onwaar	假	onwaar	N	ADJ
假	valse	假	vals	N	ADJ
假	nep	假	nep	N	ADJ
假	fake	假	fake	N	ADJ
方便	handig	方便	handig	V	ADJ
方便	handige	方便	handig	V	ADJ
領	kraag	領	kraag		N;MASC+FEM;SG
領	halsband	領	halsband		N;MASC+FEM;SG
程式	programmeren	程式	programmeren	N	V;NFIN
合理	redelijke	合理	redelijk	N	ADJ
合理	redelijk	合理	redelijk	N	ADJ
挪威	noors	挪威	noors	PROPN	ADJ
挪威	noorse	挪威	noors	PROPN	ADJ
挪威	noorwegen	挪威	noorwegen	PROPN	PROPN;NEUT;SG
所	lokatie	所	lokatie	ADV	N;MASC+FEM;SG
所	locatie	所	locatie	ADV	N;MASC+FEM;SG
所	ligging	所	ligging	ADV	N;MASC+FEM;SG
解釋	toelichtingen	解釋	toelichting	V	N;PL
解釋	uitleg	解釋	uitleg	V	N;MASC+FEM;SG
解釋	verklaring	解釋	verklaring	V	N;MASC+FEM;SG
解釋	uitleg	解釋	uitleg	V	N;MASC+FEM;SG
解釋	toelichting	解釋	toelichting	V	N;MASC+FEM;SG
批評	kritiek	批評	kritiek	V	N;MASC+FEM;SG
批評	kritiek	批評	kritiek	V	N;MASC+FEM;SG
批評	kritiek	批評	kritiek	V	N;MASC+FEM;SG
檔案	archiveren	檔案	archiveren	N	V;NFIN
富士	fuji	富士	fuji	PROPN	N;MASC+FEM;SG
阿根廷	argentinië	阿根廷	argentinië	PROPN	PROPN;NEUT;SG
創	tron	創	tron		N;MASC+FEM;SG
計算	informatica	計算	informatica	V	N;MASC+FEM;SG
計算	berekening	計算	berekening	V	N;MASC+FEM;SG
計算	berekeningen	計算	berekening	V	N;PL
計算	berekeningen	計算	berekening	V	N;PL
碧	bea	碧	bea	PROPN	N;MASC+FEM;SG
一	dag	一	dag	NUM	N;MASC+FEM;SG
一	dagje	一	dag	NUM	N;NEUT;SG
廣州	guangzhou	廣州	guangzhou	PROPN	N;NEUT;SG
食用	eetbare	食用	eetbaar	V	ADJ
食用	eetbaar	食用	eetbaar	V	ADJ
晉	jin	晉	jin	PROPN	N;MASC+FEM;SG
廣東	guangdong	廣東	guangdong	PROPN	N;MASC+FEM;SG
廣東	kantonees	廣東	kantonees	PROPN	ADJ
中立	neutrale	中立	neutraal	N	ADJ
中立	neutraal	中立	neutraal	N	ADJ
質量	mass	質量	mass	N	
化石	fossiele	化石	fossiel	N	ADJ
持有	bezetenheid	持有	bezetenheid	V	N;MASC+FEM;SG
持有	holdings	持有	holdings	V	N;MASC+FEM;SG
持有	holding	持有	holding	V	N;MASC+FEM;SG
理解	inzicht	理解	inzicht	V	N;NEUT;SG
理解	begrip	理解	begrip	V	N;NEUT;SG
其	eigenlijk	其	eigenlijk	PRO;3	ADJ
波蘭	polen	波蘭	polen	PROPN	PROPN;NEUT;SG
美洲	amerika	美洲	amerika	PROPN	PROPN;NEUT;SG
美洲	amerika	美洲	amerika	PROPN	PROPN;NEUT;SG
恆星	stellaire	恆星	stellair	N	ADJ
淑	sook	淑	sook	PROPN	N;MASC+FEM;SG
挑戰	uitdagingen	挑戰	uitdaging	V	N;PL
挑戰	challenge	挑戰	challeng	V	N;MASC+FEM;SG
挑戰	uitdaging	挑戰	uitdaging	V	N;MASC+FEM;SG
東方	oosters	東方	ooster	N	ADJ
東方	oosterse	東方	oosters	N	ADJ
東方	oostelijk	東方	oostelijk	N	ADJ
東方	oostelijke	東方	oostelijk	N	ADJ
賈	jia	賈	jia	PROPN	N;MASC+FEM;SG
阿拉	allah	阿拉	allah	PROPN	N;MASC+FEM;SG
玲	ling	玲	lingen	PROPN	N;MASC+FEM;SG
玲	leng	玲	lengen	PROPN	N;MASC+FEM;SG
杭州	hangzhou	杭州	hangzhou	PROPN	N;MASC+FEM;SG
結婚	huwelijk	結婚	huwelijk	V	N;NEUT;SG
岳	yue	岳	yue	PROPN	N;MASC+FEM;SG
引用	quote	引用	quot	V	N;MASC+FEM;SG
引用	citaat	引用	citaat	V	N;NEUT;SG
引用	aanhalingstekens	引用	aanhalingsteken	V	N;PL
引用	citaten	引用	citaat	V	N;PL
請求	verzoeken	請求	verzoek	V	N;PL
請求	aanvraag	請求	aanvraag	V	N;MASC+FEM;SG
請求	verzoek	請求	verzoek	V	N;NEUT;SG
請求	verzoeken	請求	verzoek	V	N;PL
殖民	koloniën	殖民	koloniën	V	N;PL
殖民	kolonies	殖民	kolonie	V	N;PL
殖民	kolonie	殖民	kolonie	V	N;MASC+FEM;SG
原子	atomic	原子	atomic	N	
菲律賓	filipijnen	菲律賓	filipijn	PROPN	N;PL
菲律賓	filippijnen	菲律賓	filippijn	PROPN	N;PL
進攻	attack	進攻	attack	V	
進攻	aanvallen	進攻	aanval	V	N;PL
進攻	aanval	進攻	aanval	V	N;MASC+FEM;SG
珊	zon	珊	zon	PROPN	N;MASC+FEM;SG
吸引	aantrekking	吸引	aantrekking	V	N;MASC+FEM;SG
吸引	aantrekkingskracht	吸引	aantrekkingskracht	V	N;MASC+FEM;SG
吸引	attractie	吸引	attractie	V	N;MASC+FEM;SG
測試	testen	測試	testen	N	V;NFIN
測試	proeven	測試	proeven	N	V;NFIN
測試	testen	測試	testen	N	V;NFIN
測試	testen	測試	testen	N	V;NFIN
專業	professioneel	專業	professioneel	N	ADJ
專業	professionele	專業	professioneel	N	ADJ
旅遊	reizen	旅遊	reizen	N	V;NFIN
旅遊	toerist	旅遊	toerist	N	V;SG;PRS;FIN
浪	golven	浪	golven		N;PL
浪	zwaaien	浪	zwaaien		V;NFIN
浪	wave	浪	wave		N;MASC+FEM;SG
浪	golf	浪	golf		N;MASC+FEM;SG
需求	need	需求	need	N	
需求	nodig	需求	nodig	N	ADJ
需求	eisen	需求	eisen	N	V;NFIN
內部	binnen	內部	binnen	N	ADP
內部	intern	內部	intern	N	ADJ
內部	inwendig	內部	inwendig	N	ADJ
內部	intern	內部	intern	N	ADJ
失	kwijt	失	kwijt	V	ADJ
集合	verzamelen	集合	verzamelen	N	V;NFIN
日文	japans	日文	japans	N	ADJ
日文	japanse	日文	japans	N	ADJ
特里	terry	特里	terry	PROPN	N;MASC+FEM;SG
犯罪	crime	犯罪	crime	N	
降低	afname	降低	afname	V	N;MASC+FEM;SG
降低	daling	降低	daling	V	N;MASC+FEM;SG
降低	vermindering	降低	vermindering	V	N;MASC+FEM;SG
私人	prive	私人	prive	ADJ	N;MASC+FEM;SG
每日	dagelijks	每日	dagelijks	N	ADJ
每日	alledaags	每日	alledaags	N	ADJ
每日	dagelijkse	每日	dagelijks	N	ADJ
每日	dagelijks	每日	dagelijks	N	ADJ
拒絕	achteruitgang	拒絕	achteruitgang	V	N;MASC+FEM;SG
拒絕	verval	拒絕	verval	V	N;NEUT;SG
拒絕	ontkenning	拒絕	ontkenning	V	N;MASC+FEM;SG
拒絕	afwijzingen	拒絕	afwijzing	V	N;PL
拒絕	verwerping	拒絕	verwerping	V	N;MASC+FEM;SG
拒絕	afwijzing	拒絕	afwijzing	V	N;MASC+FEM;SG
原始	rauw	原始	rauw	N	ADJ
原始	ruw	原始	ruw	N	ADJ
原始	ruwe	原始	ruw	N	ADJ
原始	rauwe	原始	rauw	N	ADJ
原始	primitieve	原始	primitief	N	ADJ
原始	primitief	原始	primitief	N	ADJ
原始	oorspronkelijke	原始	oorspronkelijk	N	ADJ
原始	origineel	原始	origineel	N	ADJ
原始	originele	原始	origineel	N	ADJ
尖	puntige	尖	puntig	PART	ADJ
潭	tam	潭	tam	PROPN	ADJ
敗	verslaan	敗	verslaan	N	V;NFIN
減少	achteruitgang	減少	achteruitgang	V	N;MASC+FEM;SG
減少	verval	減少	verval	V	N;NEUT;SG
減少	verlaging	減少	verlaging	V	N;MASC+FEM;SG
減少	reductie	減少	reductie	V	N;MASC+FEM;SG
減少	vermindering	減少	vermindering	V	N;MASC+FEM;SG
減少	afname	減少	afname	V	N;MASC+FEM;SG
減少	daling	減少	daling	V	N;MASC+FEM;SG
減少	vermindering	減少	vermindering	V	N;MASC+FEM;SG
知名	zichtbaarheid	知名	zichtbaarheid	ADJ	N;MASC+FEM;SG
知名	zicht	知名	zicht	ADJ	N;NEUT;SG
硬	moeilijk	硬	moeilijk	PART	ADJ
硬	hard	硬	hard	PART	ADJ
硬	harde	硬	hard	PART	ADJ
邱	qiu	邱	qiu	PROPN	N;MASC+FEM;SG
恐怖	terror	恐怖	terror	N	
生	born	生	born	V	N;MASC+FEM;SG
風格	style	風格	style	N	
這裡	hier	這裡	hier	PRO	ADV
勝利	win	勝利	winnen	N	V;SG;PRS;FIN
勝利	winnen	勝利	winnen	N	V;NFIN
蒙特	mont	蒙特	mont	PROPN	N;MASC+FEM;SG
每天	dagelijks	每天	dagelijks	DET	ADJ
每天	alledaags	每天	alledaags	DET	ADJ
邀請	uitnodiging	邀請	uitnodiging	V	N;MASC+FEM;SG
邀請	uitnodigingen	邀請	uitnodiging	V	N;PL
邀請	uitnodiging	邀請	uitnodiging	V	N;MASC+FEM;SG
邀請	uitnodigingen	邀請	uitnodiging	V	N;PL
傳說	legende	傳說	legende	V	N;MASC+FEM;SG
傳說	legend	傳說	legend	V	N;MASC+FEM;SG
傳說	legenden	傳說	legend	V	N;PL
傳說	legendes	傳說	legend	V	N;PL
變化	veranderingen	變化	verandering	V	N;PL
變化	wijzigingen	變化	wijziging	V	N;PL
實際	eigenlijke	實際	eigenlijk	N	ADJ
實際	werkelijke	實際	werkelijk	N	ADJ
食物	eten	食物	eten	N	V;NFIN
延伸	stretch	延伸	stretch	V	N;MASC+FEM;SG
延伸	extensie	延伸	extensie	V	N;MASC+FEM;SG
延伸	verlenging	延伸	verlenging	V	N;MASC+FEM;SG
延伸	uitbreiding	延伸	uitbreiding	V	N;MASC+FEM;SG
推	duwen	推	duw		V;NFIN
推	push	推	push		N;MASC+FEM;SG
推	persen	推	pers		V;NFIN
收費	opladen	收費	opladen	N	V;NFIN
收費	opladen	收費	opladen	N	V;NFIN
巷	steeg	巷	stijgen	N	V;SG;PST;FIN
翔	xiang	翔	xiang	PROPN	N;MASC+FEM;SG
翔	shang	翔	shang	PROPN	N;MASC+FEM;SG
翔	sho	翔	sho	PROPN	N;MASC+FEM;SG
突破	doorbraak	突破	doorbraak	V	N;MASC+FEM;SG
突破	breaking	突破	breaking	V	N;MASC+FEM;SG
人生	life	人生	life	N	
通用	generieke	通用	generiek	N	ADJ
通用	gemeenschappelijk	通用	gemeenschappelijk	N	ADJ
通用	vaak	通用	vaak	N	ADJ
修正	amendement	修正	amendement	V	N;NEUT;SG
修正	wijziging	修正	wijziging	V	N;MASC+FEM;SG
修正	amendementen	修正	amendement	V	N;PL
修正	wijzigingen	修正	wijziging	V	N;PL
天文	astronomische	天文	astronomisch	N	ADJ
原創	oorspronkelijke	原創	oorspronkelijk	N	ADJ
原創	origineel	原創	origineel	N	ADJ
原創	originele	原創	origineel	N	ADJ
先後	opeenvolgende	先後	opeenvolgend	ADV	V;V.PTCP
司法	justice	司法	justice	N	
玄	xuan	玄	xuan	PROPN	N;MASC+FEM;SG
玄	hyun	玄	hyun	PROPN	N;MASC+FEM;SG
實驗	proeven	實驗	proeven	N	V;NFIN
實驗	experimenteren	實驗	experimenteren	N	V;NFIN
實驗	experimenteel	實驗	experimenteel	N	ADJ
估計	schatting	估計	schatting	V	N;MASC+FEM;SG
估計	ramingen	估計	raming	V	N;PL
估計	schattingen	估計	schatting	V	N;PL
估計	schatting	估計	schatting	V	N;MASC+FEM;SG
估計	raming	估計	raming	V	N;MASC+FEM;SG
估計	inschatting	估計	inschatting	V	N;MASC+FEM;SG
估計	schatting	估計	schatting	V	N;MASC+FEM;SG
估計	raming	估計	raming	V	N;MASC+FEM;SG
規劃	planning	規劃	planning	V	N;MASC+FEM;SG
規劃	plannen	規劃	plan	V	N;PL
伏	volt	伏	vollen	PROPN	N;MASC+FEM;SG
配置	instellen	配置	instellen	N	V;NFIN
配置	configureren	配置	configureren	N	V;NFIN
國內	binnenlands	國內	binnenlands	N	ADJ
國內	huiselijk	國內	huiselijk	N	ADJ
國內	huishoudelijk	國內	huishoudelijk	N	ADJ
海南	hainan	海南	hainan	PROPN	N;MASC+FEM;SG
津	tsu	津	tsu	PROPN	N;MASC+FEM;SG
十字	oversteken	十字	oversteken	N	V;NFIN
信仰	geloof	信仰	geloven	N	V;SG;PRS;FIN
信仰	geloof	信仰	geloven	N	V;SG;PRS;FIN
反應	reageer	反應	reageren	N	V;SG;PRS;FIN
反應	reageren	反應	reageren	N	V;NFIN
賞	belonen	賞	belonen	N	V;NFIN
卒	verpanden	卒	verpand	N	V;NFIN
卒	verpand	卒	verpand	N	V;V.PTCP
安徽	anhui	安徽	anhui	PROPN	N;NEUT;SG
本地	plaatselijk	本地	plaatselijk	N	ADJ
本地	lokaal	本地	lokaal	N	ADJ
本地	lokale	本地	lokaal	N	ADJ
本地	plaatselijk	本地	plaatselijk	N	ADJ
本地	lokaal	本地	lokaal	N	ADJ
銷售	verkoop	銷售	verkoop	V	N;MASC+FEM;SG
銷售	verkoop	銷售	verkoop	V	N;MASC+FEM;SG
銷售	uitverkoop	銷售	uitverkoop	V	N;MASC+FEM;SG
銷售	verkoop	銷售	verkoop	V	N;MASC+FEM;SG
旅行	reizen	旅行	reizen	N	V;NFIN
旅行	reizend	旅行	reizen	N	V;V.PTCP
小	juffrouw	小	juffrouw	PART	N;MASC+FEM;SG
小	miss	小	missen	PART	N;MASC+FEM;SG
小	mejuffrouw	小	mejuffrouw	PART	N;MASC+FEM;SG
小	missen	小	missen	PART	V;NFIN
多	meerdere	多	meerdere	NUM	PRO
多	meervoudige	多	meervoudig	NUM	ADJ
多	veelvoud	多	veelvoud	NUM	N;NEUT;SG
多	meervoudig	多	meervoudig	NUM	ADJ
靖	jing	靖	jing	PROPN	N;MASC+FEM;SG
波斯	perzisch	波斯	perzisch	PROPN	ADJ
波斯	perzische	波斯	perzisch	PROPN	ADJ
退休	pensionering	退休	pensionering	V	N;MASC+FEM;SG
