seattle	سياتل	settlli	سِيَاتِل	N;NOM;MASC;SG	
nosa	انف	nos	أَنف	N;GEN;MASC;SG	N;NOM;INDF;SG
bomba	بله	bomba	بَلَه	N;NOM;FEM;SG	
metalni	المعدن	metalan	مَعدِن	ADJ;NOM;DEF;MASC;SG	N;NOM;DEF;SG
metalni	معادن	metalan	مَعدِن	ADJ;NOM;DEF;MASC;SG	N;NOM;INDF;PL
metalni	معدني	metalan	معدني	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
metalni	معدن	metalan	مَعدِن	ADJ;NOM;DEF;MASC;SG	N;NOM;INDF;SG
metalni	المعادن	metalan	مَعدِن	ADJ;NOM;DEF;MASC;SG	N;NOM;DEF;PL
metalni	معدنية	metalan	مَعدِنِيّ	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
metalni	معدني	metalan	معدني	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
bush	بوش	bush	بُوش	PROPN;NOM;MASC;SG	
euonymus	مضاض	euonymus	مَضَض	ADP	
ujak	عمو	ujak	عُمُوّ	N;NOM;MASC;SG	
ujak	عمي	ujak	عمي	N;NOM;MASC;SG	
ujak	عم	ujak	عَمّ	N;NOM;MASC;SG	
ujak	العم	ujak	عَمّ	N;NOM;MASC;SG	
dokumenta	الوثائق	dokument	وَثِيقَة	N;ACC;MASC;SG	N;NOM;DEF;PL
dokumenta	وثائق	dokument	وَثِيقَة	N;ACC;MASC;SG	N;NOM;INDF;PL
dokumenta	المستندات	dokument	مُستَنَد	N;ACC;MASC;SG	N;NOM;DEF;PL
dokumenta	مستندات	dokument	مُستَنَد	N;ACC;MASC;SG	N;NOM;INDF;PL
dokumenta	الوثيقة	dokument	وَثِيقَة	N;ACC;MASC;SG	N;NOM;DEF;SG
dokumenta	وثيقة	dokument	وَثِيقَة	N;ACC;MASC;SG	N;NOM;INDF;SG
dokumenta	مستند	dokument	مُستَنِد	N;ACC;MASC;SG	N;NOM;INDF;SG
dokumenta	المستند	dokument	مُستَنِد	N;ACC;MASC;SG	N;NOM;DEF;SG
bauer	باور	bauer	بَاوِر	N;NOM;MASC;SG	
izvorna	اصلي	izvoran	أَصلِيّ	ADJ;NOM;DEF;FEM;SG	
izvorna	الاصل	izvoran	أَصل	ADJ;NOM;DEF;FEM;SG	
izvorna	اصلية	izvoran	أَصلِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
dominiraju	تهيمن	dominirati	تهيمن	V;IND;PL;3;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
dominiraju	الهيمنة	dominirati	هَيمَنَة	V;IND;PL;3;PRS;FIN	N;NOM;DEF;SG
sara	ساره	sara	ساره	N;NOM;FEM;SG	
sara	سارة	sara	سَارَة	N;NOM;FEM;SG	
sara	سارا	sara	سَارَا	N;NOM;FEM;SG	
lokomotive	القاطرة	lokomotiva	قَاطِرَة	N;NOM;FEM;PL	N;NOM;DEF;SG
neriješeno	تعادل	neriješen	تَعَادُل	ADJ;NOM;NEUT;SG	N;NOM;INDF;SG
neriješeno	التعادل	neriješen	تَعَادُل	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
sullivan	سوليفان	sullivan	سوليفان	PROPN;NOM;MASC;SG	
firenca	فلورنس	firenc	فلُورنِس	N;NOM;FEM;SG	
firenca	فلورنسا	firenc	فِلُورَنسَا	N;NOM;FEM;SG	
slabi	ضعيف	slab	ضَعِيف	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;MASC;SG
slabi	ضعيفة	slab	ضَعِيف	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;FEM;SG
slabi	الضعيف	slab	ضَعِيف	ADJ;NOM;DEF;MASC;PL	N;NOM;DEF;SG
svijetlo	خفيف	svijetlo	خفيف	ADV	ADJ;NOM;INDF;MASC;SG
svijetlo	الخفيفة	svijetlo	خَفِيف	ADV	N;NOM;DEF;SG
svijetlo	ضوء	svijetlo	ضَوء	ADV	N;NOM;INDF;SG
svijetlo	النور	svijetlo	النور	ADV	N;NOM;DEF;SG
svijetlo	فاتح	svijetlo	فاتح	ADV	
svijetlo	نور	svijetlo	نور	ADV	
svijetlo	لامع	svijetlo	لَامِع	ADV	ADJ;NOM;INDF;MASC;SG
svijetlo	ساطع	svijetlo	سَاطَع	ADV	
svijetlo	المشرق	svijetlo	مَشرِق	ADV	N;NOM;DEF;SG
svijetlo	مشرق	svijetlo	مَشرِق	ADV	N;NOM;INDF;SG
braun	برون	braun	برون	N;NOM;MASC;SG	
predsjednici	الرئيسان	predsjednik	رَئِيسَان	N;NOM;MASC;PL	N;NOM;DEF;DU
robovi	عبيد	rob	عبيد	N;NOM;MASC;PL	
zadatke	الانتداب	zadatak	اِنتِدَاب	N;ACC;MASC;PL	N;NOM;DEF;SG
zadatke	المهام	zadatak	مَهَمَّة	N;ACC;MASC;PL	N;NOM;DEF;PL
zadatke	مهام	zadatak	مَهَمَّة	N;ACC;MASC;PL	N;NOM;INDF;PL
zadatke	المهام	zadatak	مَهَمَّة	N;ACC;MASC;PL	N;NOM;DEF;PL
zadatke	مهام	zadatak	مَهَمَّة	N;ACC;MASC;PL	N;NOM;INDF;PL
posjeti	زور	posjeta	زور	N;NOM;MASC;SG	
posjeti	زيارات	posjeta	زِيَارَة	N;NOM;MASC;SG	N;NOM;INDF;PL
posjeti	الزيارات	posjeta	زِيَارَة	N;NOM;MASC;SG	N;NOM;DEF;PL
ekonomist	اقتصادي	ekonomist	اِقتِصَادِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
parkova	حدائق	park	حَدِيقَة	N;GEN;MASC;PL	N;NOM;INDF;PL
parkova	الحدائق	park	حَدِيقَة	N;GEN;MASC;PL	N;NOM;DEF;PL
pločice	البلاط	pločica	بَلَاط	N;NOM;FEM;PL	N;NOM;DEF;SG
pločice	بلاط	pločica	بَلَاط	N;NOM;FEM;PL	N;NOM;INDF;SG
pločice	البلاط	pločica	بَلَاط	N;NOM;FEM;PL	N;NOM;DEF;SG
pločice	بلاط	pločica	بَلَاط	N;NOM;FEM;PL	N;NOM;INDF;SG
vulkan	بركان	vulkan	بركان	N;NOM;MASC;SG	
vulkan	فولكان	vulkan	فُولكَان	N;NOM;MASC;SG	
jacob	يعقوب	jacob	يعقوب	N;NOM;MASC;SG	
jacob	جيكوب	jacob	جيكوب	N;NOM;MASC;SG	
jacob	جاكوب	jacob	جَاكُوب	N;NOM;MASC;SG	
purcell	بورسيل	purcell	بُورسِيل	N;NOM;MASC;SG	
okružuju	المحيطة	okruživati	مُحِيط	V;IND;PL;3;PRS;FIN	ADJ;NOM;DEF;FEM;SG
okružuju	تحيط	okruživati	تَحَيُّط	V;IND;PL;3;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
intervencije	التدخل	intervencija	تَدَخُّل	N;NOM;FEM;PL	N;NOM;DEF;SG
intervencije	تدخل	intervencija	تَدَخُّل	N;NOM;FEM;PL	N;NOM;INDF;SG
tucker	تاكر	tucker	تَاكِر	N;NOM;MASC;SG	
tucker	توكر	tucker	وَكَّر	N;NOM;MASC;SG	
tucker	تكر	tucker	ذَكَر	N;NOM;MASC;SG	V;IPFV;MASC;IND;SG;2;FIN;ACT
porez	ضريبي	porez	ضَرِيبِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
porez	ضرائب	porez	ضَرِيبَة	N;NOM;MASC;SG	N;NOM;INDF;PL
porez	الضرائب	porez	ضَرِيبَة	N;NOM;MASC;SG	N;NOM;DEF;PL
porez	ضرائب	porez	ضَرِيبَة	N;NOM;MASC;SG	N;NOM;INDF;PL
porez	الضرائب	porez	ضَرِيبَة	N;NOM;MASC;SG	N;NOM;DEF;PL
jame	حفرة	jama	حَفرَة	N;NOM;FEM;PL	N;NOM;INDF;SG
jame	الحفرة	jama	حَفرَة	N;NOM;FEM;PL	N;NOM;DEF;SG
portland	بورتلاند	portland	بُورتلَاند	N;NOM;MASC;SG	
diana	ديانا	diana	دِيَانَا	N;NOM;FEM;SG	
predgrađu	ضاحية	predgrađe	ضَاحِيَة	N;DAT;NEUT;SG	N;NOM;INDF;SG
predgrađu	الضواحي	predgrađe	ضَاحِيَة	N;DAT;NEUT;SG	N;NOM;DEF;PL
predgrađu	ضواحي	predgrađe	ضَاحِيَة	N;DAT;NEUT;SG	N;NOM;INDF;PL
predgrađu	الضواحي	predgrađe	ضَاحِيَة	N;DAT;NEUT;SG	N;NOM;DEF;PL
predgrađu	ضواحي	predgrađe	ضَاحِيَة	N;DAT;NEUT;SG	N;NOM;INDF;PL
isaac	ايزاك	isaac	إِيزَاك	N;NOM;MASC;SG	
isaac	اسحاق	isaac	سِحق	N;NOM;MASC;SG	
gljive	فطر	gljiva	فِطر	N;NOM;FEM;PL	
gljive	الفطر	gljiva	فِطر	N;NOM;FEM;PL	N;NOM;DEF;SG
gljive	فطر	gljiva	فِطر	N;NOM;FEM;PL	
pojačanje	تعزيزات	pojačanje	تَعزِيز	N;NOM;NEUT;SG	N;NOM;INDF;PL
pojačanje	التعزيزات	pojačanje	تَعزِيز	N;NOM;NEUT;SG	N;NOM;DEF;PL
pojačanje	احتياطي	pojačanje	اِحتِيَاطِيّ	N;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
logore	المعسكرات	logor	مُعَسكَر	N;ACC;MASC;PL	N;NOM;DEF;PL
logore	مخيمات	logor	مُخَيَّمَة	N;ACC;MASC;PL	N;NOM;INDF;PL
logore	المخيمات	logor	مُخَيَّم	N;ACC;MASC;PL	N;NOM;DEF;PL
logore	معسكرات	logor	مُعَسكَر	N;ACC;MASC;PL	N;NOM;INDF;PL
sjeme	البذور	saj	بَذر	N;NOM;NEUT;SG	N;NOM;DEF;PL
sjeme	بذور	saj	بَذر	N;NOM;NEUT;SG	N;NOM;INDF;PL
sjeme	البذور	saj	بَذر	N;NOM;NEUT;SG	N;NOM;DEF;PL
lucija	لوسيا	lucija	لوسيا	ADJ;NOM;DEF;CMPR;FEM;SG	
rožnice	القرنية	rožnica	قَرَنِيّ	N;NOM;FEM;PL	
poljoprivredi	الزراعة	poljoprivreda	زِرَاعَة	N;DAT;FEM;SG	N;NOM;DEF;SG
poljoprivredi	زراعة	poljoprivreda	زِرَاعَة	N;DAT;FEM;SG	N;NOM;INDF;SG
preostalo	المتبقية	preostati	مُتَبَقِّي	V;NEUT;SG;PST;V.PTCP;ACT	ADJ;NOM;DEF;FEM;SG
silvio	سيلفيو	silviti	سيلفيو	N;NOM;MASC;SG	
zur	zu	zur	مَثّ	ADP	
smjernice	توجيه	smjernica	تَوجِيه	N;NOM;FEM;PL	N;NOM;INDF;SG
smjernice	هدى	smjernica	هدى	N;NOM;FEM;PL	
smjernice	ارشاد	smjernica	إِرشَاد	N;NOM;FEM;PL	N;NOM;INDF;SG
smjernice	التوجيه	smjernica	تَوجِيه	N;NOM;FEM;PL	N;NOM;DEF;SG
srebrni	فضي	srebrn	فضي	ADJ;NOM;DEF;MASC;SG	
srebrni	الفضة	srebrn	فِضَّة	ADJ;NOM;DEF;MASC;SG	N;NOM;DEF;SG
srebrni	فضة	srebrn	فَضَّة	ADJ;NOM;DEF;MASC;SG	N;NOM;INDF;SG
srebrni	سيلفر	srebrn	سيلفر	ADJ;NOM;DEF;MASC;SG	
srebrni	فضية	srebrn	فَضِيَّة	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
estonija	استونيا	estonija	إِستُونِيَا	N;NOM;FEM;SG	
ibrahim	ابراهيم	ibrahim	ابراهيم	ADJ;NOM;MASC;SG	
hladno	البرد	hladan	بُرد	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
hladno	بارد	hladan	بَارِد	ADJ;NOM;NEUT;SG	
hladno	الباردة	hladan	بَارِد	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
hladno	برد	hladan	برد	ADJ;NOM;NEUT;SG	
duhovno	روحاني	duhovno	روحاني	ADV	ADJ;NOM;INDF;MASC;SG
duhovno	روحانية	duhovno	رُوحَانِيّ	ADV	ADJ;NOM;INDF;FEM;SG
duhovno	الروحية	duhovno	رُوحِيَّة	ADV	ADJ;NOM;DEF;FEM;SG
duhovno	روحية	duhovno	رُوحِيّ	ADV	ADJ;NOM;INDF;FEM;SG
duhovno	روحيا	duhovno	رُوحِيَا	ADV	ADJ;ACC;INDF;MASC;SG
eduardo	ادواردو	eduardo	ادواردو	N;NOM;MASC;SG	
grace	جريس	grac	جَرِيس	N;NOM;FEM;SG	
grace	غريس	grac	غرِيس	N;NOM;FEM;SG	
grace	غرايس	grac	غرَايس	N;NOM;FEM;SG	
vladavinu	عهد	vladavina	عَهد	N;ACC;FEM;SG	N;NOM;INDF;SG
komentare	تعليقات	komentar	تَعلِيق	N;ACC;MASC;PL	N;NOM;INDF;PL
komentare	التعليقات	komentar	تَعلِيق	N;ACC;MASC;PL	N;NOM;DEF;PL
pérez	بيريز	pérez	بِيرِيز	PROPN;NOM;MASC;SG	
droga	العقاقير	droga	عَقَّار	N;NOM;FEM;SG	N;NOM;DEF;PL
droga	عقاقير	droga	عَقَّاقِير	N;NOM;FEM;SG	N;NOM;INDF;PL
droga	مخدرات	droga	مُخَدِّر	N;NOM;FEM;SG	N;NOM;INDF;PL
droga	المخدرات	droga	مُخَدِّر	N;NOM;FEM;SG	N;NOM;DEF;PL
mlađa	اصغر	mlad	أَصغَر	ADJ;NOM;DEF;CMPR;FEM;SG	ADJ;NOM;INDF;MASC;SG
mlađa	الاصغر	mlad	أَصغَر	ADJ;NOM;DEF;CMPR;FEM;SG	N;NOM;DEF;SG
pogubljen	اعدم	pogubiti	أَعدَم	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
julia	جوليا	juliti	جوليا	N;NOM;FEM;SG	
julia	خوليا	juliti	خُولِيَا	N;NOM;FEM;SG	ADJ;ACC;INDF;MASC;SG
tin	تين	tin	تين	PROPN;NOM;MASC;SG	
tin	تن	tin	تن	PROPN;NOM;MASC;SG	
tin	القصدير	tin	قَصدِير	PROPN;NOM;MASC;SG	
baba	بابا	baba	بابا	N;NOM;FEM;SG	
moto	موتو	moto	مُوتُو	N;NOM;MASC;SG	
goli	عاري	gol	عَارِيّ	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
goli	عارية	gol	عَارِيَة	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
goli	عاريا	gol	عَارِيّ	ADJ;NOM;DEF;MASC;SG	ADJ;ACC;INDF;MASC;SG
goli	عراة	gol	عِرَاة	ADJ;NOM;DEF;MASC;SG	N;NOM;INDF;PL
goli	عارية	gol	عَارِيَة	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
moral	معنويات	moral	مَعنَوِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;PL
moral	المعنويات	moral	مَعنُوِّيَّة	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;PL
moral	الاخلاق	moral	خُلق	N;NOM;MASC;SG	N;NOM;DEF;PL
moral	الاخلاق	moral	خُلق	N;NOM;MASC;SG	N;NOM;DEF;PL
jamie	جايمي	jamia	جايمي	PROPN;NOM;MASC;SG	
podržavao	المدعومة	podržavati	مَدعُوم	V;MASC;SG;PST;V.PTCP;ACT	ADJ;NOM;DEF;FEM;SG
podržavao	مدعوم	podržavati	مَدعُوم	V;MASC;SG;PST;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
podržavao	مدعومة	podržavati	مَدعُوم	V;MASC;SG;PST;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
valove	الامواج	val	مَاج	N;ACC;MASC;PL	N;NOM;DEF;PL
valove	موج	val	مَوج	N;ACC;MASC;PL	N;NOM;INDF;SG
valove	موجات	val	مَوجَة	N;ACC;MASC;PL	N;NOM;INDF;PL
valove	امواج	val	امواج	N;ACC;MASC;PL	
valove	الموجات	val	مُوَجَّات	N;ACC;MASC;PL	N;NOM;DEF;PL
con	يخدع	con	خَدَع	ADP	V;IPFV;MASC;IND;SG;3;FIN;ACT
hunter	هانتر	hunter	هانتر	ADP	
hunter	صياد	hunter	صياد	ADP	
hunter	هنتر	hunter	هنتر	ADP	
tajno	سرا	tajno	سِرّ	ADV	N;ACC;INDF;SG
tajno	سر	tajno	سر	ADV	
tajno	سري	tajno	سري	ADV	
tajno	السر	tajno	سُرّ	ADV	N;NOM;DEF;SG
tajno	سرية	tajno	سِرِّيّ	ADV	ADJ;NOM;INDF;FEM;SG
uha	الاذن	uho	اَلذَذِن	N;GEN;NEUT;SG	N;NOM;DEF;SG
qld	qld	qld	أَضَاح	ADP	
ponuda	عروض	ponuda	عَرض	N;NOM;FEM;SG	N;NOM;INDF;PL
ponuda	العروض	ponuda	عَرض	N;NOM;FEM;SG	N;NOM;DEF;PL
holm	هولم	holm	هُولِم	N;NOM;MASC;SG	
unutra	داخل	unutra	دَاخِلَ	ADV	ADP;ACC
unutra	للداخل	unutra	لِ	ADV	N;NOM;DEF;SG
unutra	داخلي	unutra	دَاخِلِيّ	ADV	ADJ;NOM;INDF;MASC;SG
unutra	بالداخل	unutra	بِ	ADV	N;GEN;DEF;SG
unutra	الداخل	unutra	دَاخِل	ADV	N;NOM;DEF;SG
meč	ماتش	meč	مَاتِش	N;NOM;MASC;SG	
familia	فاميليا	familia	فاميليا	ADP	
čaj	شاي	čaj	شاي	N;NOM;MASC;SG	
čaj	شاى	čaj	شَاي	N;NOM;MASC;SG	
inspiracija	الهام	inspiracija	هَامّ	N;NOM;FEM;SG	
sateliti	سواتل	satelit	سُوَاتِل	N;NOM;MASC;PL	
memorije	الذاكرة	memorija	الذاكرة	N;NOM;FEM;PL	N;NOM;DEF;SG
memorije	الذكرى	memorija	ذِكرَى	N;NOM;FEM;PL	N;NOM;DEF;SG
memorije	ذاكرة	memorija	ذَاكِرَة	N;NOM;FEM;PL	N;NOM;INDF;SG
memorije	ذكرى	memorija	ذِكرَى	N;NOM;FEM;PL	N;NOM;INDF;SG
pride	فخر	pride	فَخر	N;NOM;MASC;SG	
pride	كبرياء	pride	كَبرِيّ	N;NOM;MASC;SG	
rex	ريكس	rex	ريكس	PROPN;NOM;MASC;SG	
kent	كينت	kent	كَيَّن	PROPN;NOM;MASC;SG	
kupila	اشتريت	kupiti	اِشتَرَى	V;FEM;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;3;PASS
floridi	فلوريدا	florida	فِلُورِيدَا	N;DAT;FEM;SG	
obred	طقوس	obred	طَقس	N;NOM;MASC;SG	N;NOM;INDF;PL
pratnju	المرافقة	pratnja	مُرَافَقَة	N;ACC;FEM;SG	N;NOM;DEF;SG
pratnju	مرافق	pratnja	مِرفَق	N;ACC;FEM;SG	N;NOM;INDF;PL
pratnju	مرافقة	pratnja	مُرَافَقَة	N;ACC;FEM;SG	N;NOM;INDF;SG
had	هاديس	had	هَادِيس	ADP	
pješaštvo	المشاة	pješaštvo	مَاشِي	N;NOM;NEUT;SG	N;NOM;DEF;PL
pješaštvo	مشاة	pješaštvo	مَاشِي	N;NOM;NEUT;SG	N;NOM;INDF;PL
poteškoće	صعوبة	poteškoća	صُعُوبَة	N;NOM;FEM;PL	N;NOM;INDF;SG
poteškoće	الصعوبة	poteškoća	صُعُوبَة	N;NOM;FEM;PL	N;NOM;DEF;SG
sadašnjost	الحاضر	sadašnjost	حَاضِر	N;NOM;FEM;SG	
sadašnjost	الحالي	sadašnjost	حَالِيّ	N;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
glina	طين	glina	طين	N;NOM;FEM;SG	
glina	كلاي	glina	كَلَاي	N;NOM;FEM;SG	
homer	هومر	homer	هُومُر	N;NOM;MASC;SG	
blizine	القرب	blizina	قُرب	N;NOM;FEM;PL	N;NOM;DEF;SG
chuck	تشاك	chuck	تشَاك	N;NOM;MASC;SG	
chuck	تشوك	chuck	تشوك	N;NOM;MASC;SG	
chuck	تشك	chuck	شَكَّك	N;NOM;MASC;SG	V;MASC;IMP;SG;FIN
bis	مكررا	bis	مُكرَر	N	ADJ;ACC;INDF;MASC;SG
službenik	ضابطة	službenik	ضَابِط	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
bijelci	بياض	bijelac	بَيَاض	N;NOM;MASC;PL	N;NOM;INDF;SG
sajam	عادل	sajam	عادل	N;NOM;MASC;SG	
sajam	عادلة	sajam	عَادِل	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
sajam	عدل	sajam	عدل	N;NOM;MASC;SG	
sajam	منصف	sajam	مَنصِف	N;NOM;MASC;SG	
primijetio	الاشعار	primijetiti	شَعَر	V;MASC;SG;PST;V.PTCP;ACT	N;NOM;DEF;PL
primijetio	اشعار	primijetiti	شَعر	V;MASC;SG;PST;V.PTCP;ACT	N;NOM;INDF;PL
prisilno	اجبرت	prisilno	أَجبَر	ADV	V;PFV;FEM;SG;3;ACT
prisilno	اجبر	prisilno	أَجبَر	ADV	V;PFV;MASC;SG;3;ACT
prisilno	مجبر	prisilno	مُجَبِّر	ADV	ADJ;NOM;INDF;MASC;SG
prisilno	القسري	prisilno	قَسرِيّ	ADV	ADJ;NOM;DEF;MASC;SG
poslovna	العمل	poslovan	عَمَل	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
poslovna	الاعمال	poslovan	عَمَل	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;PL
poslovna	عمل	poslovan	عَمَل	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
uvala	باي	uvala	باي	N;NOM;FEM;SG	
ponos	فخر	ponos	فَخر	N;NOM;MASC;SG	
ponos	كبرياء	ponos	كَبرِيّ	N;NOM;MASC;SG	
cole	كول	col	كُول	N;NOM;MASC;SG	
fosila	الحفريات	fositi	حَفرِيَّات	N;GEN;MASC;SG	
mozaik	فسيفساء	mozaik	فسِيفسَاء	N;NOM;MASC;SG	
sitne	تافه	sitan	تَافّ	ADJ;NOM;DEF;FEM;PL	
marsh	مارش	marsh	مَارش	PROPN;NOM;MASC;SG	
složene	مطوية	složiti	مطوية	ADJ;NOM;DEF;FEM;PL;V.PTCP	
komponenta	المكون	komponenta	مُكَوِّن	N;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
komponenta	مكون	komponenta	مَكَّن	N;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
matične	جذعية	matičan	جِذعِيّ	ADJ;NOM;DEF;FEM;PL	ADJ;NOM;INDF;FEM;SG
gryllus	جدجد	gryllus	جدجد	PROPN;NOM;MASC;SG	
podružnica	فرعية	podružnica	فَرعِيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
podružnica	فرعي	podružnica	فَرعِيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
zamisli	تخيلي	zamisao	تَخَيَّل	N;NOM;MASC;SG	
zamisli	تخيلوا	zamisao	تَخَيَّل	N;NOM;MASC;SG	V;PFV;MASC;PL;3;ACT
naslovi	القاب	naslov	قَابّ	N;NOM;MASC;PL	N;NOM;INDF;SG
kažnjen	عاقب	kazniti	عَاقِب	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
kažnjen	معاقبة	kazniti	مُعَاقَبَة	ADJ;NOM;MASC;SG;V.PTCP;PASS	N;NOM;INDF;SG
novaka	نوفاك	novak	نوفاك	N;ANIM;ACC;MASC;SG	
novaka	المجندين	novak	مُجَنَّد	N;ANIM;ACC;MASC;SG	N;NOM;DEF;PL
madrida	مدريد	madrid	مَدرِيد	N;GEN;MASC;SG	
štap	عصا	štap	عَصَا	N;NOM;MASC;SG	
oštećenje	الاضرار	oštećenje	ضَرَر	N;NOM;NEUT;SG	N;NOM;DEF;PL
oštećenje	اضرار	oštećenje	ضَرَر	N;NOM;NEUT;SG	N;NOM;INDF;PL
balkana	البلقان	balkan	بَلَق	N;GEN;MASC;SG	
urbana	الحضر	urban	حَضَر	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
urbana	حضرية	urban	حَضَرِيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
urbana	الحضري	urban	حَضَرِيّ	ADJ;NOM;DEF;FEM;SG	
urbana	الحضرية	urban	حَضَرِيّ	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
urbana	حضري	urban	حضري	ADJ;NOM;DEF;FEM;SG	
castle	قلعة	castle	قلعة	ADP	N;NOM;INDF;SG
castle	القلعة	castle	قَلعَة	ADP	N;NOM;DEF;SG
castle	كاسل	castle	كَاسِل	ADP	
romane	روماني	roman	رُومَانِيّ	N;ACC;MASC;PL	ADJ;NOM;INDF;MASC;SG
romane	رومان	roman	رُومَان	N;ACC;MASC;PL	
romane	الروماني	roman	رُومَانِيّ	N;ACC;MASC;PL	ADJ;NOM;DEF;MASC;SG
romane	الرومانية	roman	رُومَانِيّ	N;ACC;MASC;PL	ADJ;NOM;DEF;FEM;SG
romane	روايات	roman	رِوَايَة	N;ACC;MASC;PL	N;NOM;INDF;PL
romane	الروايات	roman	رِوَايَة	N;ACC;MASC;PL	N;NOM;DEF;PL
ratove	حروب	rat	حَرب	N;ACC;MASC;PL	N;NOM;INDF;PL
ratove	الحروب	rat	حَرب	N;ACC;MASC;PL	N;NOM;DEF;PL
zvijeri	الوحش	zvijer	وَحش	N;NOM;FEM;PL	N;NOM;DEF;SG
jurij	يوري	jurij	أَورَى	N;NOM;MASC;SG	
elektronički	الالكتروني	elektronički	إِلِكترُونِيّ	ADV	ADJ;NOM;DEF;MASC;SG
elektronički	الكتروني	elektronički	إِلِكترُونِيّ	ADV	ADJ;NOM;INDF;MASC;SG
elektronički	الالكترونية	elektronički	إِلِكترُونِيّ	ADV	ADJ;NOM;DEF;FEM;SG
elektronički	الكترونية	elektronički	إِلِكترُونِيّ	ADV	ADJ;NOM;INDF;FEM;SG
elektronički	الكترونيا	elektronički	كِترُونِيَا	ADV	ADJ;ACC;INDF;MASC;SG
elektronički	الكترونيا	elektronički	كِترُونِيَا	ADV	ADJ;ACC;INDF;MASC;SG
carmen	كارمن	carmen	كارمن	N;NOM;FEM;SG	
zube	اسنان	zub	إِسنَان	N;ACC;MASC;PL	N;NOM;INDF;SG
zube	الاسنان	zub	الاسنان	N;ACC;MASC;PL	N;NOM;DEF;SG
wheeler	ويلر	wheeler	ويلر	N;NOM;MASC;SG	
ostvaren	انجزت	ostvariti	أَنجَز	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;PASS
ostvaren	حققت	ostvariti	حَقَّق	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
julius	جوليوس	julius	جُولِيُوس	N;NOM;MASC;SG	
sant	سانت	sant	سَان	N;NOM;MASC;SG	
loza	فاينز	loza	فاينز	N;NOM;FEM;SG	
albume	البومات	album	البومات	N;ACC;MASC;PL	N;NOM;DEF;PL
albume	الالبومات	album	أَلبُومَة	N;ACC;MASC;PL	N;NOM;DEF;PL
jednaki	متساوية	jednak	مُتَسَاوِي	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;FEM;SG
jednaki	متساو	jednak	مُتسَاو	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;MASC;SG
jednaki	مساو	jednak	مَسَاو	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;INDF;MASC;SG
jednaki	تساوي	jednak	تَسَاوِي	ADJ;NOM;DEF;MASC;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
