צפייה	гледам	צפייה	гледам	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
טורקית	турско	תורכי	турски	PROPN	ADV
טורקית	турски	תורכי	турски	PROPN	ADJ;INDF;MASC;SG
טורקית	турска	תורכי	турски	PROPN	ADJ;INDF;FEM;SG
ירה	прострелян	ירה	прострелям	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ירה	застрелян	ירה	застрелям	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ירה	застреляна	ירה	застрелям	V;MASC;SG;3;PST;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ירה	изстрел	ירה	изстрел	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
ירה	уволнен	ירה	уволня-(се)	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ירה	уволнени	ירה	уволня-(се)	V;MASC;SG;3;PST;ACT	V;PFV;INDF;PL;V.PTCP;PASS
ירה	уволнена	ירה	уволня-(се)	V;MASC;SG;3;PST;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
גרפי	графични	גרף	графичен	PROPN	ADJ;INDF;PL
גרפי	графичен	גרף	графичен	PROPN	ADJ;INDF;MASC;SG
גולדה	голда	גולדה	голда	PROPN	N;INDF;MASC;SG
חוש	сетива	חוש	сетивам	PROPN	N;INDF;NEUT;PL
חוש	сетивата	חוש	сетива	PROPN	N;DEF;FEM;SG
חוש	разум	חוש	разум	PROPN	N;INDF;MASC;SG
איירון	желязо	איירון	желяз	PROPN	N;INDF;NEUT;SG
איירון	железен	איירון	железен	PROPN	ADJ;INDF;MASC;SG
איירון	желязна	איירון	железен	PROPN	ADJ;INDF;FEM;SG
איירון	железни	איירון	железен	PROPN	ADJ;INDF;PL
אנונימי	анонимни	אנונימי	анонимен	ADV	ADJ;INDF;PL
אנונימי	анонимна	אנונימי	анонимен	ADV	ADJ;INDF;FEM;SG
אנונימי	анонимен	אנונימי	анонимен	ADV	N;INDF;MASC;SG
דרווין	дарвин	דרווין	дарвин	PROPN	N;INDF;MASC;SG
שרירים	мускулно	שריר	мускулно	N;MASC;PL	ADV
שרירים	мускул	שריר	мускул	N;MASC;PL	N;INDF;MASC;SG
טובי	тоби	טוב	тоби	PROPN	PROPN;INDF;MASC;SG
מוג	муг	מוג	муг		N;INDF;MASC;SG
גבעות	хилс	גבעות	хилс	N;FEM;PL	PROPN;INDF;MASC;SG
היידן	хейдън	היידן	хейдън	PROPN	PROPN;INDF;MASC;SG
היידן	хайдн	היידן	хайдн	PROPN	N;INDF;MASC;SG
כתום	оранжев	כתום	оранжев		N;INDF;MASC;SG
כתום	оранжева	כתום	оранжева		ADJ;INDF;FEM;SG
כתום	оранжево	כתום	оранжево		ADV
כתום	оранжеви	כתום	оранжев		ADJ;INDF;PL
כתום	портокал	כתום	портокал		N;INDF;MASC;SG
הלוואי	желание	הלוואי	желание		N;INDF;NEUT;SG
הלוואי	пожелание	הלוואי	пожелание		N;INDF;NEUT;SG
פלוס	плюс	None	плюс		ADV
האירוויזיון	евровизия	האירוויזיון	евровизия	PROPN	N;INDF;FEM;SG
דודה	леля	דוד	леля		N;INDF;FEM;SG
דודה	леля	דוד	леля		N;INDF;FEM;SG
בלוג	блог	בלוג	блог		N;INDF;MASC;SG
בלוג	блог	בלוג	блог		N;INDF;MASC;SG
השלם	пълна	השלם	пълен		ADJ;INDF;FEM;SG
השלם	пълно	השלם	пълен		ADV
השלם	завършен	השלם	завърша		V;PFV;INDF;MASC;SG;V.PTCP;PASS
השלם	пълен	השלם	пълен		ADJ;INDF;MASC;SG
השלם	завършено	השלם	завърша		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
להפיץ	разпространението	הפיץ	разпространение	V;NFIN;ACT	N;DEF;NEUT;SG
להפיץ	разпространение	הפיץ	разпространение	V;NFIN;ACT	N;INDF;NEUT;SG
להפיץ	разпределяне	הפיץ	разпределяне	V;NFIN;ACT	N;INDF;NEUT;SG
להפיץ	разпространение	הפיץ	разпространение	V;NFIN;ACT	N;INDF;NEUT;SG
קה	бека	קה	бека	PROPN	N;INDF;MASC;SG
מחליטה	решава	החליט	решавам-(се)	V;FEM;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
ולנסיה	валенсия	ולנסיה	валенсия	PROPN	PROPN;INDF;FEM;SG
ניגריה	нигерия	ניגריה	нигерия	PROPN	PROPN;INDF;FEM;SG
מסייעת	помага	סייע	помагам	V;FEM;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
טורקי	турчин	תורכי	турчин	PROPN	N;INDF;MASC;SG
טורקי	турско	תורכי	турски	PROPN	ADV
טורקי	турски	תורכי	турски	PROPN	ADJ;INDF;MASC;SG
טורקי	турска	תורכי	турски	PROPN	ADJ;INDF;FEM;SG
פנייה	пеня	פנייה	пеня	N;FEM;SG	PROPN;INDF;FEM;SG
פנייה	пеня	פנייה	пеня	N;FEM;SG	PROPN;INDF;FEM;SG
ייל	йейл	ייל	йейл	PROPN	PROPN;INDF;MASC;SG
פתאום	внезапно	פתאום	внезапно		ADV
פתאום	изведнъж	פתאום	изведнъж		ADV
טרנר	търнър	טרנר	търнър	PROPN	PROPN;INDF;MASC;SG
שקול	благоразумно	שקול	благоразумно	ADJ;MASC;SG	ADV
דוחה	гадно	דחה	гаден	V;MASC;SG;V.PTCP;ACT	ADV
דוחה	бруто	דחה	брут	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
עמידה	стои	עמידה	стоя	N;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
עמידה	стояща	עמידה	стоящ	N;FEM;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
מימוש	изкупи	מימוש	изкупя	N;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
ברברוסה	барбароса	ברברוסה	барбарос	PROPN	N;INDF;FEM;SG
האורך	дължина	האורך	дължина	PROPN	N;INDF;FEM;SG
מרפא	лечител	מרפא	лечител	PROPN	N;INDF;MASC;SG
מרפא	лек	מרפא	лек	PROPN	ADJ;INDF;MASC;SG
השיח	беседа	השיח	бесед		N;INDF;FEM;SG
נייד	мобилни	נייד	мобилен	N;MASC;SG	ADJ;INDF;PL
נייד	мобилен	נייד	мобилен	N;MASC;SG	ADJ;INDF;MASC;SG
נייד	мобилно	נייד	мобилно	N;MASC;SG	ADV
נייד	мобилна	נייד	мобилен	N;MASC;SG	ADJ;INDF;FEM;SG
נייד	преносими	נייד	преносим	N;MASC;SG	ADJ;INDF;PL
קשורות	свързани	קשר	свържа	V;FEM;PL;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
קשורות	свързан	קשר	свържа	V;FEM;PL;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
קשורות	свързана	קשר	свържа	V;FEM;PL;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
קשורות	свързано	קשר	свържа	V;FEM;PL;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
איימי	ейми	איימי	ейма	PROPN	PROPN;INDF;FEM;SG
נרכש	придобит	נרכש	придобит	V;MASC;SG;3;PST;MID	N;INDF;MASC;SG
נרכש	придобита	נרכש	придобит	V;MASC;SG;3;PST;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נרכש	придобити	נרכש	придобия	V;MASC;SG;3;PST;MID	V;PFV;INDF;PL;V.PTCP;PASS
נרכש	купена	נרכש	купен	V;MASC;SG;3;PST;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נרכש	купени	נרכש	купен	V;MASC;SG;3;PST;MID	V;PFV;INDF;PL;V.PTCP;PASS
נרכש	закупени	נרכש	закупя	V;MASC;SG;3;PST;MID	V;PFV;INDF;PL;V.PTCP;PASS
נרכש	купен	נרכש	купен	V;MASC;SG;3;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נבון	интелигентен	נבון	интелигентен	PROPN	ADJ;INDF;MASC;SG
נבון	интелигентно	נבון	интелигентно	PROPN	ADV
נבון	интелигентна	נבון	интелигентен	PROPN	ADJ;INDF;FEM;SG
נבון	интелигентни	נבון	интелигентен	PROPN	ADJ;INDF;PL
נבון	мъдра	נבון	мъдра	PROPN	ADJ;INDF;FEM;SG
נבון	мъдро	נבון	мъдро	PROPN	ADV
נבון	мъдри	נבון	мъдря-(се)	PROPN	ADJ;INDF;PL
נבון	мъдър	נבון	мъдър	PROPN	ADJ;INDF;MASC;SG
ונצואלה	венецуелски	ונצואלה	венецуелски	PROPN	ADJ;INDF;MASC;SG
ונצואלה	венецуела	ונצואלה	венецуел	PROPN	N;INDF;FEM;SG
תפילות	молитва	תפילות	молитва	N;FEM;PL	N;INDF;FEM;SG
אמנויות	изкуство	אמנות	изкуство	N;FEM;PL	N;INDF;NEUT;SG
טכניים	технически	טכני	технически	ADJ;MASC;PL	ADV
טכניים	техническа	טכני	технически	ADJ;MASC;PL	ADJ;INDF;FEM;SG
טכניים	техническо	טכני	технически	ADJ;MASC;PL	ADV
שומרים	стражи	שמר	стража	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
שומרים	пазачи	שמר	пазач	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
שומרים	охрана	שמר	охрана	V;MASC;PL;V.PTCP;ACT	N;INDF;FEM;SG
שומרים	пазители	שמר	пазител	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
שומרים	пазителите	שמר	пазител	V;MASC;PL;V.PTCP;ACT	N;DEF;MASC;PL
הרקולס	херкулес	הרקולס	херкулес	PROPN	N;INDF;MASC;SG
שמורות	запазено	שמורה	запазя-(се)	N;FEM;PL	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
שמורות	запазен	שמורה	запазя-(се)	N;FEM;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
שמורות	запазена	שמורה	запазя-(се)	N;FEM;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
שמורות	запазени	שמורה	запазя-(се)	N;FEM;PL	V;PFV;INDF;PL;V.PTCP;PASS
פלסטיק	пластмаси	פלסטיק	пластмас	PROPN	N;INDF;MASC;PL
פלסטיק	пластмаса	פלסטיק	пластмас	PROPN	N;INDF;FEM;SG
פלסטיק	пластмаса	פלסטיק	пластмас	PROPN	N;INDF;FEM;SG
פלסטיק	пластмасова	פלסטיק	пластмасов	PROPN	ADJ;INDF;FEM;SG
פלסטיק	пластмасови	פלסטיק	пластмасов	PROPN	ADJ;INDF;PL
פלסטיק	найлон	פלסטיק	найлон	PROPN	N;INDF;MASC;SG
פלסטיק	пластмасов	פלסטיק	пластмасов	PROPN	ADJ;INDF;MASC;SG
צמצום	тясно	צמצום	тясно	N;MASC;SG	ADV
צמצום	тясна	צמצום	тесен	N;MASC;SG	ADJ;INDF;FEM;SG
צמצום	тесни	צמצום	тесен	N;MASC;SG	ADJ;INDF;PL
צמצום	тесен	צמצום	тесен	N;MASC;SG	ADJ;INDF;MASC;SG
הזוכים	печеливши	הזוך	печеливш	N;MASC;PL	ADJ;INDF;PL
הזוכים	печелившите	הזוך	печеливш	N;MASC;PL	ADJ;DEF;PL
מנור	имение	מנור	имение	PROPN	N;INDF;NEUT;SG
מנור	имението	מנור	имение	PROPN	N;DEF;NEUT;SG
קלט	входяща	קלט	входящ		ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
קלט	входящ	קלט	входящ		N;INDF;MASC;SG
קלט	въвеждане	קלט	въвеждане		N;INDF;NEUT;SG
קלט	вход	קלט	вход		N;INDF;MASC;SG
קלט	принос	קלט	принос		N;INDF;MASC;SG
חינם	свободно	חינם	свободно	PROPN	ADV
חינם	свободни	חינם	свободен	PROPN	ADJ;INDF;PL
חינם	свободен	חינם	свободен	PROPN	ADJ;INDF;MASC;SG
חינם	свободна	חינם	свободен	PROPN	ADJ;INDF;FEM;SG
חינם	безплатни	חינם	безплатен	PROPN	ADJ;INDF;PL
חינם	безплатно	חינם	безплатно	PROPN	ADV
עשן	пуши	עשן	пуши-ми-се	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
מקסים	прекрасен	מקסים	прекрасен	PROPN	ADJ;INDF;MASC;SG
מקסים	прекрасни	מקסים	прекрасен	PROPN	ADJ;INDF;PL
מקסים	прекрасна	מקסים	прекрасна	PROPN	ADJ;INDF;FEM;SG
מקסים	очарователни	מקסים	очарователен	PROPN	ADJ;INDF;PL
מקסים	очарователно	מקסים	очарователно	PROPN	ADV
מקסים	очарователна	מקסים	очарователен	PROPN	ADJ;INDF;FEM;SG
מקסים	очарователен	מקסים	очарователен	PROPN	ADJ;INDF;MASC;SG
מקסים	максим	מקסים	максим	PROPN	PROPN;INDF;MASC;SG
מקסים	очарователен	מקסים	очарователен	PROPN	ADJ;INDF;MASC;SG
מקסים	очарователно	מקסים	очарователно	PROPN	ADV
מקסים	чаровна	מקסים	чаровен	PROPN	ADJ;INDF;FEM;SG
מקסים	очарователна	מקסים	очарователен	PROPN	ADJ;INDF;FEM;SG
מקסים	чаровен	מקסים	чаровен	PROPN	ADJ;INDF;MASC;SG
קסטיליה	кастилия	קסטיליה	кастилия	PROPN	N;INDF;FEM;SG
רעות	лоша	רעות	лош	PROPN	ADJ;INDF;FEM;SG
רעות	зле	רעות	зле	PROPN	ADV
רעות	лошо	רעות	лошо	PROPN	ADV
רעות	лош	רעות	лош	PROPN	ADJ;INDF;MASC;SG
רעות	кофти	רעות	кофта	PROPN	ADV
החלפה	търговско	החלפה	търговски	N;FEM;SG	ADV
חזן	кантор	חזן	кантор	PROPN	N;INDF;MASC;SG
העקרונות	принципи	העקרונות	принцип	PROPN	N;INDF;MASC;PL
מינימלי	минимални	מינימלי	минимален	N;MASC;SG	ADJ;INDF;PL
מינימלי	минимално	מינימלי	минимален	N;MASC;SG	ADV
מינימלי	минимална	מינימלי	минимален	N;MASC;SG	ADJ;INDF;FEM;SG
מינימלי	минимален	מינימלי	минимален	N;MASC;SG	ADJ;INDF;MASC;SG
בודדות	самотен	בודד	самотен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
בודדות	самотно	בודד	самотно	ADJ;FEM;PL	ADV
בודדות	самотна	בודד	самотен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
אונו	оно	און	оно	PROPN	PROPN;INDF;MASC;SG
אונו	уно	און	уно	PROPN	N;INDF;MASC;SG
מוכנה	готови	מוכן	готов	ADJ;FEM;SG	ADJ;INDF;PL
וינסנט	винсънт	וינסנט	винсънт	PROPN	N;INDF;MASC;SG
וינסנט	венсан	וינסנט	венсан	PROPN	PROPN;INDF;FEM;SG
וינסנט	винсент	וינסנט	винсент	PROPN	N;INDF;MASC;SG
המאמינים	вярващи	המאמין	вярвам	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
המאמינים	вярващите	המאמין	вярвам	N;MASC;PL	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
להתנגד	съпротива	התנגד	съпротива	V;NFIN	N;INDF;FEM;SG
יפים	прекрасна	יפה	прекрасна	ADJ;MASC;PL	ADJ;INDF;FEM;SG
יפים	красива	יפה	красив	ADJ;MASC;PL	ADJ;INDF;FEM;SG
יפים	прекрасен	יפה	прекрасен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
יפים	красиво	יפה	красиво	ADJ;MASC;PL	ADV
קיצונית	радикални	קיצוני	радикален	ADV	ADJ;INDF;PL
קיצונית	радикална	קיצוני	радикален	ADV	ADJ;INDF;FEM;SG
קיצונית	краен	קיצוני	краен	ADV	ADJ;INDF;MASC;SG
קיצונית	екстремни	קיצוני	екстремен	ADV	ADJ;INDF;PL
קיצונית	крайни	קיצוני	краен	ADV	ADJ;INDF;PL
זוגי	двойките	זוג	двойка		N;DEF;FEM;PL
זוגי	двойки	זוג	двойка		N;INDF;FEM;PL
רוקח	фармацевт	רוקח	фармацевт	PROPN	N;INDF;MASC;SG
רוקח	аптекар	רוקח	аптекар	PROPN	N;INDF;MASC;SG
יוטה	юта	יוטה	юта	N;FEM;SG	PROPN;INDF;FEM;SG
צאצאים	потомство	צאצאי	потомство	N;MASC;PL	N;INDF;NEUT;SG
צאצאים	потомство	צאצאי	потомство	N;MASC;PL	N;INDF;NEUT;SG
מאלו	мало	מאלו	мало		N;INDF;NEUT;SG
אישורים	одобрения	אישורים	одобрение	N;MASC;PL	N;DEF;MASC;SG
מקדוניה	македония	מקדוניה	македония	PROPN	PROPN;INDF;FEM;SG
תוקן	фиксирани	תוקן	фиксирам	V;MASC;SG;3;PST;PASS	V;PFV;INDF;PL;V.PTCP;PASS
מתיישבים	колонисти	התיישב	колонист	V;MASC;PL;V.PTCP	N;INDF;MASC;PL
מתיישבים	заселници	התיישב	заселник	V;MASC;PL;V.PTCP	N;INDF;MASC;PL
מתיישבים	заселниците	התיישב	заселник	V;MASC;PL;V.PTCP	N;DEF;MASC;PL
רויאל	роял	רויאל	роя-(се)	PROPN	N;INDF;MASC;SG
רויאל	кралско	רויאל	кралски	PROPN	ADV
רויאל	кралска	רויאל	кралски	PROPN	ADJ;INDF;FEM;SG
רויאל	royal	רויאל	royal	PROPN	N
רויאל	кралски	רויאל	кралски	PROPN	ADJ;INDF;MASC;SG
גלם	сурово	גלם	суров	N;MASC;SG	ADV
גלם	сурови	גלם	суров	N;MASC;SG	ADJ;INDF;PL
גלם	суров	גלם	суров	N;MASC;SG	ADJ;INDF;MASC;SG
גלם	сурова	גלם	суров	N;MASC;SG	ADJ;INDF;FEM;SG
גלם	необработен	גלם	необработен	N;MASC;SG	ADJ;INDF;MASC;SG
יצרני	продуктивни	יצרן	продуктивен	PROPN	ADJ;INDF;PL
יצרני	производителите	יצרן	производител	PROPN	N;DEF;MASC;PL
יצרני	производители	יצרן	производител	PROPN	N;INDF;MASC;PL
מתכנן	планиране	תכנן	планиране	V;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;SG
הגה	руля	הגה	руля	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
מרשימה	впечатляваща	מרשים	впечатлявам-(се)	V;FEM;SG;V.PTCP;ACT	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
מרשימה	впечатляващи	מרשים	впечатлявам-(се)	V;FEM;SG;V.PTCP;ACT	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
מרשימה	впечатляващо	מרשים	впечатляващо	V;FEM;SG;V.PTCP;ACT	ADV
מרשימה	впечатляващ	מרשים	впечатлявам-(се)	V;FEM;SG;V.PTCP;ACT	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
זכריה	закария	זכריה	закария	PROPN	N;INDF;MASC;SG
מתוכנן	планирани	תוכנן	планирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
מתוכנן	проектирани	תוכנן	проектирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
הוחלפו	заменен	הוחלף	заменя	V;PL;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
הוחלפו	заменено	הוחלף	заменя	V;PL;3;PST;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
הוחלפו	сменен	הוחלף	сменя-(се)	V;PL;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
הוחלפו	заменена	הוחלף	заменя	V;PL;3;PST;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נדירה	рядко	נדיר	рядко	ADJ;FEM;SG	ADV
נדירה	редки	נדיר	редка	ADJ;FEM;SG	N;INDF;FEM;PL
נדירה	рядкост	נדיר	рядкост	ADJ;FEM;SG	N;INDF;FEM;SG
תחליף	заместител	החליף	заместител	V;FEM;SG;3;FUT;ACT	N;INDF;MASC;SG
תחליף	заместване	החליף	заместване	V;FEM;SG;3;FUT;ACT	N;INDF;NEUT;SG
תחליף	замяна	החליף	замяна	V;FEM;SG;3;FUT;ACT	N;INDF;FEM;SG
תחליף	замени	החליף	заменя	V;FEM;SG;3;FUT;ACT	V;PFV;IMP;SG;2;FIN
תחליף	заместване	החליף	заместване	V;FEM;SG;3;FUT;ACT	N;INDF;NEUT;SG
טרומן	труман	טרומן	труман	PROPN	PROPN;INDF;MASC;SG
אינסוף	безкрайни	אינסוף	безкраен	N;MASC;SG	ADJ;INDF;PL
אינסוף	безкрайно	אינסוף	безкраен	N;MASC;SG	ADV
אינסוף	безкраен	אינסוף	безкраен	N;MASC;SG	ADJ;INDF;MASC;SG
אינסוף	безкрайна	אינסוף	безкраен	N;MASC;SG	ADJ;INDF;FEM;SG
שוד	обири	שוד	обир	N;MASC;SG	N;INDF;FEM;PL
יוהנס	йоханес	הוהנס	йоханес	PROPN	PROPN;INDF;MASC;SG
שליטי	управници	שליטי	управник	PROPN	N;INDF;MASC;PL
שליטי	владетели	שליטי	владетел	PROPN	N;INDF;MASC;PL
זן	дзен	זן	дзен		N;INDF;MASC;SG
זן	зен	זן	зен		N;INDF;MASC;SG
זן	видове	זן	вид		N;INDF;MASC;PL
זן	вид	זן	вид		N;INDF;MASC;SG
הריין	рейн	הריין	рейн	PROPN	N;INDF;MASC;SG
הידרו	хидро	הידר	хидро	PROPN	N;INDF;MASC;SG
המציא	измислен	המציא	измисля	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
המציא	измислени	המציא	измисля	V;MASC;SG;3;PST;ACT	V;PFV;INDF;PL;V.PTCP;PASS
המציא	измислена	המציא	измисля	V;MASC;SG;3;PST;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
שנאה	мразя	שנאה	мразя	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
שנאה	мрази	שנאה	мразя	N;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
אפריקאי	африканска	אפריקאי	африкански	PROPN	ADJ;INDF;FEM;SG
אפריקאי	африкански	אפריקאי	африкански	PROPN	ADJ;INDF;MASC;SG
פרדי	фреди	פרדי	фреда	PROPN	N;INDF;MASC;SG
פרדי	фреди	פרדי	фреда	PROPN	N;INDF;MASC;SG
סחורות	блага	סחורה	благам-(се)	N;FEM;PL	N;INDF;FEM;SG
טלסקופ	телескопа	טלסקופ	телескоп	PROPN	N;DEF;MASC;SG
טלסקופ	телескопи	טלסקופ	телескоп	PROPN	N;INDF;MASC;PL
טלסקופ	телескоп	טלסקופ	телескоп	PROPN	N;INDF;MASC;SG
אסי	asi	אסי	asi	PROPN	PROPN;INDF;MASC;SG
אסי	аси	אסי	аси	PROPN	N;INDF;FEM;PL
קרניים	лъчи	קרן	лъча	N;FEM;DU	N;INDF;FEM;PL
קרניים	рогата	קרן	рог	N;FEM;DU	N;DEF;MASC;PL
קרניים	рога	קרן	рога	N;FEM;DU	N;INDF;NEUT;PL
עומס	зареди	עומס	заредя	N;MASC;SG	V;PFV;IMP;SG;2;FIN
המחוקקת	законодателни	המחוקק	законодателен	N;FEM;SG	ADJ;INDF;PL
המחוקקת	законодателно	המחוקק	законодателно	N;FEM;SG	ADV
המחוקקת	законодателна	המחוקק	законодателен	N;FEM;SG	ADJ;INDF;FEM;SG
המחוקקת	законодателен	המחוקק	законодателен	N;FEM;SG	ADJ;INDF;MASC;SG
מסכימים	съгласна	הסכים	съгласен	V;MASC;PL;V.PTCP;ACT	ADJ;INDF;FEM;SG
מסכימים	съгласен	הסכים	съгласен	V;MASC;PL;V.PTCP;ACT	ADJ;INDF;MASC;SG
אדיר	страхотни	אדיר	страхотен		ADJ;INDF;PL
אדיר	страхотен	אדיר	страхотен		ADJ;INDF;MASC;SG
אדיר	страхотно	אדיר	страхотно		ADV
אדיר	страхотна	אדיר	страхотен		ADJ;INDF;FEM;SG
אדיר	супер	אדיר	супер		ADV
האר	хар	האר	хар	PROPN	N;INDF;MASC;SG
טומי	томи	טומי	томи	PROPN	PROPN;INDF;MASC;SG
קיסרי	имперски	קיסרי	имперски	PROPN	ADJ;INDF;MASC;SG
תקפה	валидна	תקפה	валиден	N;FEM;SG	ADJ;INDF;FEM;SG
תקפה	валидни	תקפה	валиден	N;FEM;SG	ADJ;INDF;PL
תקפה	валиден	תקפה	валиден	N;FEM;SG	ADJ;INDF;MASC;SG
תקפה	валидно	תקפה	валиден	N;FEM;SG	ADV
גופה	телесно	גופה	телесно	N;FEM;SG	ADV
אוהדי	вентилатори	אוהד	вентилатор	N;PSSD;MASC;PL	N;INDF;MASC;PL
אוהדי	фенове	אוהד	фен	N;PSSD;MASC;PL	N;INDF;MASC;PL
אוהדי	почитатели	אוהד	почитател	N;PSSD;MASC;PL	N;INDF;MASC;PL
אוהדי	феновете	אוהד	фен	N;PSSD;MASC;PL	N;DEF;MASC;PL
פיוטר	пьотр	פיוטר	пьотр	PROPN	PROPN;INDF;MASC;SG
פיוטר	пьотр	פיוטר	пьотр	PROPN	PROPN;INDF;MASC;SG
משקה	пийте	משקה	пийта	N;MASC;SG	V;IPFV;IND;PL;2;PRS;FIN;ACT
עממי	фолк	עממי	фолк		N;INDF;MASC;SG
עממי	народни	עממי	народен		ADJ;INDF;PL
ואחריו	последва	ואחריו	последвам		V;IPFV;IND;SG;3;PRS;FIN;ACT
דיר	деир	דיר	деир	PROPN	N;INDF;MASC;SG
תהילה	славата	תהילה	слава	PROPN	N;DEF;FEM;SG
תהילה	слава	תהילה	слава	PROPN	N;INDF;FEM;SG
תהילה	слава	תהילה	слава	PROPN	N;INDF;FEM;SG
תהילה	глори	תהילה	глоря	PROPN	N;INDF;MASC;SG
אחורה	гръб	אחורה	гръб	ADV	N;INDF;MASC;SG
סיפק	предоставено	סיפק	предоставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
סיפק	предоставен	סיפק	предоставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
סיפק	предоставени	סיפק	предоставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;PL;V.PTCP;PASS
סיפק	осигурени	סיפק	осигуря	V;MASC;SG;3;PST;ACT	V;PFV;INDF;PL;V.PTCP;PASS
סיפק	предоставена	סיפק	предоставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
סיפק	доставена	סיפק	доставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
סיפק	доставено	סיפק	доставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
סיפק	предоставена	סיפק	предоставя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
והלחין	композира	והלחין	композирам	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
משלים	допълват	משל	допълвам	N;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
משלים	допълващи	משל	допълвам	N;MASC;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
אחרונים	последно	אחרון	последно	ADJ;MASC;PL	ADV
אחרונים	последен	אחרון	последен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
אחרונים	последна	אחרון	последен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
אחרונים	скорошна	אחרון	скорошен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
אחרונים	скорошно	אחרון	скорошен	ADJ;MASC;PL	ADV
אחרונים	отскоро	אחרון	отскоро	ADJ;MASC;PL	ADV
הדנובה	дунав	הדנובה	дунав	PROPN	PROPN;INDF;MASC;SG
ראשונית	предварителна	None	предварителен	ADV	ADJ;INDF;FEM;SG
