और	ja	और	ja		CONJ
प्रतिक्रिया	reagoivat	प्रतिक्रिया	reagoida	N;NOM;FEM;SG;3	V;IND;PL;3;PRS;FIN;ACT
प्रतिक्रिया	reaktiivinen	प्रतिक्रिया	reaktiivinen	N;NOM;FEM;SG;3	ADJ;NOM;SG
गणित	matematiikka	गणित	matematiikka		N;NOM;SG
गणित	matematiikkaa	गणित	matematiikka		N;PRT;SG
गणित	matematiikan	गणित	matematiikka		N;GEN;SG
गणित	matematiikka	गणित	matematiikka		N;NOM;SG
गणित	matematiikkaa	गणित	matematiikka		N;PRT;SG
गणित	matematiikan	गणित	matematiikka		N;GEN;SG
गणित	matemaatikko	गणित	matemaatikko		N;NOM;SG
गणित	matematiikka	गणित	matematiikka		N;NOM;SG
गणित	aritmeettinen	गणित	aritmeettinen		ADJ;NOM;SG
गणित	matematiikka	गणित	matematiikka		N;NOM;SG
गणित	matematiikkaa	गणित	matematiikka		N;PRT;SG
गणित	matematiikan	गणित	matematiikka		N;GEN;SG
मौत	kuolemaa	मौत	kuolema	N;NOM;FEM;SG;3	N;PRT;SG
मौत	death	मौत	death	N;NOM;FEM;SG;3	
मौत	kuoleman	मौत	kuolema	N;NOM;FEM;SG;3	N;GEN;SG
विवाद	ristiriitoja	विवाद	risti#riita	N;NOM;MASC;SG;3	N;PRT;PL
विवाद	kiistaa	विवाद	kiista	N;NOM;MASC;SG;3	N;PRT;SG
विवाद	riidat	विवाद	riita	N;NOM;MASC;SG;3	N;NOM;PL
विवाद	riitaa	विवाद	riita	N;NOM;MASC;SG;3	N;PRT;SG
विवाद	riidan	विवाद	riita	N;NOM;MASC;SG;3	N;GEN;SG
अली	alin	अली	alin	PROPN;NOM;MASC;SG;3	N;NOM;SG
अली	ali	अली	ali	PROPN;NOM;MASC;SG;3	N;NOM;SG
ग्रहण	eclipse	ग्रहण	eclipse	N;NOM;MASC;SG;3	
तकनीकी	tekninen	तकनीकी	tekninen	N;NOM;FEM;SG;3	ADJ;NOM;SG
माँ	äitejä	माँ	äiti		N;PRT;PL
माँ	äidit	माँ	äiti		N;NOM;PL
माँ	mutsi	माँ	muttaa		N;NOM;SG
माँ	äiti	माँ	äiti		N;NOM;SG
माँ	äiti	माँ	äiti		N;NOM;SG
विष्णु	vishnu	विष्णु	vishnu	PROPN;NOM;MASC;SG;3	N;NOM;SG
मैदान	plain	मैदान	plain	N;NOM;MASC;SG;3	INTJ
मैदान	maastossa	मैदान	maasto	N;NOM;MASC;SG;3	N;IN+ESS;SG
मैदान	maahan	मैदान	maa	N;NOM;MASC;SG;3	N;IN+ALL;SG
विमान	ilmailun	विमान	ilma#ilu	N;NOM;MASC;SG;3	N;GEN;SG
विमान	lentokoneen	विमान	lento#kone	N;NOM;MASC;SG;3	N;GEN;SG
सक्षम	kykenee	सक्षम	kyetä	ADJ	V;IND;SG;3;PRS;FIN;ACT
सक्षम	kykenevät	सक्षम	kyetä	ADJ	V;IND;PL;3;PRS;FIN;ACT
सक्षम	kykenevä	सक्षम	kyetä	ADJ	V;NOM;SG;V.PTCP;ACT
वातावरण	ympäristön	वातावरण	ympäristö	N;NOM;MASC;SG;3	N;GEN;SG
वातावरण	tunnelmaa	वातावरण	tunnelma	N;NOM;MASC;SG;3	N;PRT;SG
लागत	kustannukset	लागत	kustannus	N;NOM;FEM;SG;3	N;NOM;PL
लागत	maksaa	लागत	maksaa	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN;ACT
लागत	kulut	लागत	kulu	N;NOM;FEM;SG;3	N;NOM;PL
लागत	kustannukset	लागत	kustannus	N;NOM;FEM;SG;3	N;NOM;PL
लागत	kulut	लागत	kulu	N;NOM;FEM;SG;3	N;NOM;PL
सीधे	hetero	सीधे	hetero	ADV	N;NOM;SG
सीधे	suorat	सीधे	suora	ADV	ADJ;NOM;PL
सीधे	suora	सीधे	suora	ADV	ADJ;NOM;SG
प्रेस	paina	प्रेस	painaa	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
रोमन	roman	रोमन	roma		PROPN;NOM;SG
रोमन	roomalainen	रोमन	roomalainen		ADJ;NOM;SG
रोमन	rooman	रोमन	rooma		N;GEN;SG
मील	kilometrin	मील	kilo#metri	N;NOM;MASC;SG;3	N;GEN;SG
मील	mailin	मील	maili	N;NOM;MASC;SG;3	N;GEN;SG
मील	mailia	मील	maili	N;NOM;MASC;SG;3	N;PRT;SG
मील	kilometrejä	मील	kilo#metri	N;NOM;MASC;SG;3	N;PRT;PL
मील	kilometriä	मील	kilo#metri	N;NOM;MASC;SG;3	N;PRT;SG
मील	miles	मील	miles	N;NOM;MASC;SG;3	PROPN;NOM;SG
लोकसभा	parlamentin	लोकसभा	parlamentti	N;NOM;FEM;SG;3	N;GEN;SG
रेखा	line	रेखा	line	N;NOM;FEM;SG;3	
पार	ylitä	पार	ylittää	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
पार	ristiin	पार	risti	N;NOM;MASC;SG;3	ADV
लेखन	kirjoitukset	लेखन	kirjoitus		N;NOM;PL
लेखन	kirjoituksia	लेखन	kirjoitus		N;PRT;PL
लेखन	kirjoittaminen	लेखन	kirjoittaminen		N;NOM;SG
लेखन	kirjoitus	लेखन	kirjoitus		N;NOM;SG
लेखन	kirjoittaa	लेखन	kirjoittaa		V;IND;SG;3;PRS;FIN;ACT
लेखन	kirjoitusta	लेखन	kirjoitus		N;PRT;SG
सेंट	senttiä	सेंट	sentti	PROPN;NOM;MASC;SG;3	N;PRT;SG
बोली	tarjouksen	बोली	tarjous	N;NOM;FEM;SG;3	N;GEN;SG
बोली	tarjoa	बोली	tarjota	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
बोली	tarjoukset	बोली	tarjous	N;NOM;FEM;SG;3	N;NOM;PL
बोली	tarjouksia	बोली	tarjous	N;NOM;FEM;SG;3	N;PRT;PL
नष्ट	tuhottu	नष्ट	tuhota	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
नष्ट	hävitetty	नष्ट	hävittää	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
नष्ट	tuhosi	नष्ट	tuhota	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PST;FIN;ACT
नष्ट	tuhoutunut	नष्ट	tuhoutua	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;ACT
नष्ट	tuhoaa	नष्ट	tuhota	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN;ACT
नष्ट	tuhota	नष्ट	tuhota	PROPN;NOM;MASC;SG;3	V;SG;NFIN;ACT
नष्ट	tuhoa	नष्ट	tuho	PROPN;NOM;MASC;SG;3	N;PRT;SG
नष्ट	tuhotaan	नष्ट	tuhota	PROPN;NOM;MASC;SG;3	V;IND;PRS;FIN;PASS
परंपरा	perinteitä	परंपरा	perinne	N;NOM;FEM;SG;3	N;PRT;PL
परंपरा	perinteet	परंपरा	perinne	N;NOM;FEM;SG;3	N;NOM;PL
दृष्टिकोण	lähestymistavan	दृष्टिकोण	lähestymis#tapa	N;NOM;MASC;SG;3	N;GEN;SG
भाव	tunteet	भाव	tunne	N;NOM;MASC;SG;3	N;NOM;PL
भाव	tunteita	भाव	tunne	N;NOM;MASC;SG;3	N;PRT;PL
भाव	tunteisiin	भाव	tunne	N;NOM;MASC;SG;3	N;IN+ALL;PL
भाव	aistin	भाव	aistin	N;NOM;MASC;SG;3	N;GEN;SG
भाव	järkeä	भाव	järki	N;NOM;MASC;SG;3	N;PRT;SG
भाव	aistia	भाव	aisti	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
हवा	breeze	हवा	breeze	N;NOM;FEM;SG;3	
हवा	tuulta	हवा	tuuli	N;NOM;FEM;SG;3	N;PRT;SG
हवा	tuulen	हवा	tuuli	N;NOM;FEM;SG;3	N;GEN;SG
पाठ	tekstiä	पाठ	teksti	N;NOM;MASC;SG;3	N;PRT;SG
पाठ	tekstin	पाठ	teksti	N;NOM;MASC;SG;3	N;GEN;SG
गठन	kehykset	गठन	kehys	N;NOM;MASC;SG;3	N;NOM;PL
गठन	kehykset	गठन	kehys	N;NOM;MASC;SG;3	N;NOM;PL
नागरिक	civic	नागरिक	civic	N;NOM;MASC;SG;3	
नागरिक	kansalaista	नागरिक	kansalainen	N;NOM;MASC;SG;3	N;PRT;SG
नागरिक	kansalaisena	नागरिक	kansalainen	N;NOM;MASC;SG;3	ADJ;FRML;SG
अस्तित्व	olemassaoloa	अस्तित्व	olemassaolo	N;NOM;MASC;SG;3	N;PRT;SG
समझ	yhteisymmärrys	समझ	yhteis#ymmärrys	V;ACT	N;NOM;SG
समझ	ymmärtäminen	समझ	ymmärtäminen	V;ACT	N;NOM;SG
समझ	ymmärrys	समझ	ymmärrys	V;ACT	N;NOM;SG
समझ	ymmärtäväinen	समझ	ymmärtäväinen	V;ACT	ADJ;NOM;SG
समझ	ymmärrystä	समझ	ymmärrys	V;ACT	N;PRT;SG
किस	suukko	कौन	suukko	PRO	N;NOM;SG
किस	suudella	कौन	suudi	PRO	V;SG;NFIN;ACT
किस	suudelma	कौन	suudelma	PRO	N;NOM;SG
किस	kiss	कौन	kiss	PRO	
प्रशासन	hallinnon	प्रशासन	hallinto	N;NOM;MASC;SG;3	N;GEN;SG
आदेश	toimeksiannon	आदेश	toimeksia	N;NOM;MASC;SG;3	N;GEN;SG
आदेश	valtuudet	आदेश	valtuus	N;NOM;MASC;SG;3	N;NOM;PL
आदेश	tilata	आदेश	tilata	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
आदेश	tilaa	आदेश	tila	N;NOM;MASC;SG;3	N;PRT;SG
आदेश	tilaukset	आदेश	tilaus	N;NOM;MASC;SG;3	N;NOM;PL
आदेश	määräykset	आदेश	määräys	N;NOM;MASC;SG;3	N;NOM;PL
आदेश	käskyjä	आदेश	käsky	N;NOM;MASC;SG;3	N;PRT;PL
आदेश	tilauksia	आदेश	tilaus	N;NOM;MASC;SG;3	N;PRT;PL
सैन्य	sotilaallinen	सैन्य	sotilaallinen	N;NOM;MASC;SG;3	ADJ;NOM;SG
सैन्य	armeijan	सैन्य	armeija	N;NOM;MASC;SG;3	N;GEN;SG
अंदर	sisäpuolella	अंदर	sisä#puoli	ADV;NOM;MASC;SG;3	N;AT+ESS
;SG
अंदर	sisä	अंदर	sisä	ADV;NOM;MASC;SG;3	N;NOM;SG
अंदर	sisätiloissa	अंदर	sisä#tila	ADV;NOM;MASC;SG;3	N;IN+ESS;PL
छह	kuudes	छह	kuudes	NUM	ADJ;NOM;SG
ग्रन्थ	tekstit	ग्रन्थ	teksti	N;NOM;MASC;SG;3	N;NOM;PL
ग्रन्थ	tekstejä	ग्रन्थ	teksti	N;NOM;MASC;SG;3	N;PRT;PL
भाषाएँ	kieliä	भाषा	kieli	N;NOM;FEM;PL;3	N;PRT;PL
भुगतान	maksuja	भुगतान	maksu	N;NOM;MASC;SG;3	N;PRT;PL
भुगतान	maksut	भुगतान	maksu	N;NOM;MASC;SG;3	N;NOM;PL
ध्वनि	ääntä	ध्वनि	ääni	N;NOM;FEM;SG;3	N;PRT;SG
ध्वनि	äänet	ध्वनि	ääni	N;NOM;FEM;SG;3	N;NOM;PL
ध्वनि	äänen	ध्वनि	ääni	N;NOM;FEM;SG;3	N;GEN;SG
ध्वनि	kuulostaa	ध्वनि	kuulostaa	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN;ACT
ध्वनि	äänet	ध्वनि	ääni	N;NOM;FEM;SG;3	N;NOM;PL
निवास	asunnot	निवास	asunto	N;NOM;MASC;SG;3	N;NOM;PL
अरबी	arabia	अरबी	arabi	PROPN;NOM;FEM;SG;3	N;NOM;SG
अरबी	arabian	अरबी	arabia	PROPN;NOM;FEM;SG;3	N;GEN;SG
अरबी	arabiaa	अरबी	arabia	PROPN;NOM;FEM;SG;3	N;PRT;SG
हत्या	murhaa	हत्या	murha	N;NOM;FEM;SG;3	N;PRT;SG
हत्या	murhat	हत्या	murha	N;NOM;FEM;SG;3	N;NOM;PL
हत्या	tappaa	हत्या	tappaa	N;NOM;FEM;SG;3	V;IND;SG;PRS;FIN;ACT
हत्या	tappamista	हत्या	tappaminen	N;NOM;FEM;SG;3	N;PRT;SG
हत्या	surmaa	हत्या	surma	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN;ACT
दिखाया	näytetty	दिखा	näyttää	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;SG;V.PTCP;PASS
पवित्र	pyhä	पवित्र	pyhä	ADJ	N;NOM;SG
पवित्र	pyhät	पवित्र	pyhät	ADJ	N;NOM;PL
पवित्र	pyhä	पवित्र	pyhä	ADJ	N;NOM;SG
पवित्र	pyhitetty	पवित्र	pyhittää	ADJ	V;NOM;SG;V.PTCP;PASS
विभाजित	jaettuna	विभाजित	jakaa	ADJ	V;FRML;SG;V.PTCP;PASS
विभाजित	jaettu	विभाजित	jakaa	ADJ	V;NOM;SG;V.PTCP;PASS
विभाजित	jako	विभाजित	jako	ADJ	N;NOM;SG
विभाजित	jaettu	विभाजित	jakaa	ADJ	V;NOM;SG;V.PTCP;PASS
इकाई	yksikköä	इकाई	yksikkö	N;NOM;FEM;SG;3	N;PRT;SG
इकाई	yksiköt	इकाई	yksikkö	N;NOM;FEM;SG;3	N;NOM;PL
इकाई	yksikön	इकाई	yksikkö	N;NOM;FEM;SG;3	N;GEN;SG
इकाई	yksikköä	इकाई	yksikkö	N;NOM;FEM;SG;3	N;PRT;SG
अम्ल	hapan	अम्ल	happa	N;NOM;MASC;SG;3	ADJ;NOM;SG
अम्ल	happoa	अम्ल	happo	N;NOM;MASC;SG;3	N;PRT;SG
प्रबंधक	managerin	प्रबंधक	manageri	N;NOM;MASC;SG;3	N;GEN;SG
प्रबंधक	päälliköt	प्रबंधक	päällikkö	N;NOM;MASC;SG;3	N;NOM;PL
प्रबंधक	johtajat	प्रबंधक	johtaja	N;NOM;MASC;SG;3	N;NOM;PL
वही	sama	वह	sama	PRO;NOM;SG;3	PRO;NOM;SG
वही	samoin	वह	samoin	PRO;NOM;SG;3	ADV
वही	samaa	वह	sama	PRO;NOM;SG;3	PRO;PRT;SG
संग्रहालय	museot	संग्रहालय	museo	N;NOM;MASC;SG;3	N;NOM;PL
संग्रहालय	museossa	संग्रहालय	museo	N;NOM;MASC;SG;3	N;IN+ESS;SG
संग्रहालय	museon	संग्रहालय	museo	N;NOM;MASC;SG;3	N;GEN;SG
मुद्रा	valuuttaa	मुद्रा	valuutta	N;NOM;FEM;SG;3	N;PRT;SG
मुद्रा	asentoa	मुद्रा	asento	N;NOM;FEM;SG;3	N;PRT;SG
मुद्रा	asennon	मुद्रा	asento	N;NOM;FEM;SG;3	N;GEN;SG
मुद्रा	rahat	मुद्रा	raha	N;NOM;FEM;SG;3	N;NOM;PL
मुद्रा	rahaa	मुद्रा	raha	N;NOM;FEM;SG;3	N;PRT;SG
मतलब	tarkoittaa	मतलब	tarkoittaa	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN;ACT
मतलब	ilkeä	मतलब	ilkeä	N;NOM;MASC;SG;3	ADJ;NOM;SG
मतलब	tarkoita	मतलब	tarkoittaa	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
युवा	nuoret	युवा	nuori	N;NOM;MASC;SG;3	N;NOM;PL
युवा	nuorisoa	युवा	nuoriso	N;NOM;MASC;SG;3	N;PRT;SG
युवा	nuori	युवा	nuori	N;NOM;MASC;SG;3	ADJ;NOM;SG
युवा	nuoret	युवा	nuori	N;NOM;MASC;SG;3	N;NOM;PL
युवा	youngin	युवा	young	N;NOM;MASC;SG;3	PROPN;GEN;SG
युवा	young	युवा	young	N;NOM;MASC;SG;3	PROPN;NOM;SG
शहरों	kaupunkeja	शहर	kaupunki	N;ACC;MASC;PL;3	N;PRT;PL
शहरों	kaupunkien	शहर	kaupunki	N;ACC;MASC;PL;3	N;GEN;PL
शहरों	kaupungit	शहर	kaupunki	N;ACC;MASC;PL;3	N;NOM;PL
अंतरिक्ष	tilaa	अंतरिक्ष	tila	N;NOM;MASC;SG;3	N;PRT;SG
अंतरिक्ष	space	अंतरिक्ष	space	N;NOM;MASC;SG;3	
संचार	tiedonannon	संचार	tieto#anto	N;NOM;MASC;SG;3	N;GEN;SG
संचार	viestinnän	संचार	viestintä	N;NOM;MASC;SG;3	N;GEN;SG
प्रसारण	lähetyksiä	प्रसारण	lähetys	N;NOM;MASC;SG;3	N;PRT;PL
प्रसारण	lähetykset	प्रसारण	lähetys	N;NOM;MASC;SG;3	N;NOM;PL
प्रसारण	lähetykset	प्रसारण	lähetys	N;NOM;MASC;SG;3	N;NOM;PL
फुटबॉल	jalkapallon	फुटबॉल	jalka#pallo	N;NOM;MASC;SG;3	N;GEN;SG
फुटबॉल	jalkapalloa	फुटबॉल	jalka#pallo	N;NOM;MASC;SG;3	N;PRT;SG
नियमित	säännöllisesti	नियमित	säännöllisesti	ADJ;NOM	ADV
व्याख्या	huom	व्याख्या	huomen	N;NOM;FEM;SG;3	INTJ
व्याख्या	tulkintaa	व्याख्या	tulkinta	N;NOM;FEM;SG;3	N;PRT;SG
व्याख्या	selitykset	व्याख्या	selitys	N;NOM;FEM;SG;3	N;NOM;PL
शेष	jäljellä	शेष	jäljellä	ADJ	ADV
शेष	vasen	शेष	vasen	ADJ	N;NOM;SG
दावा	vaatia	दावा	vaatia	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
दावा	saatavat	दावा	saada	N;NOM;MASC;SG;3	V;NOM;PL;V.PTCP;PASS
दावा	väittää	दावा	väittää	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN;ACT
दावा	väitteet	दावा	väite	N;NOM;MASC;SG;3	N;NOM;PL
मोबाइल	mobile	मोबाइल	mobile	N;NOM;MASC;SG;3	
मोबाइल	liikkuva	मोबाइल	liikkua	N;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;ACT
मोबाइल	liikkuvat	मोबाइल	liikkua	N;NOM;MASC;SG;3	V;IND;PL;3;PRS;FIN;ACT
संभावना	todennäköinen	संभावना	toden#näköinen	N;NOM;FEM;SG;3	ADJ;NOM;SG
संभावना	luultavasti	संभावना	luultavasti	N;NOM;FEM;SG;3	ADV
संभावना	todennäköisesti	संभावना	toden#näköisesti	N;NOM;FEM;SG;3	ADV
संभावना	todennäköistä	संभावना	toden#näköinen	N;NOM;FEM;SG;3	ADJ;PRT;SG
संभावना	todennäköisyyttä	संभावना	toden#näköisyys	N;NOM;FEM;SG;3	N;PRT;SG
संभावना	todennäköisyyden	संभावना	toden#näköisyys	N;NOM;FEM;SG;3	N;GEN;SG
दिवस	päivän	दिवस	päivä	N;NOM;MASC;SG;3	N;GEN;SG
विधायक	lainsäätäjän	विधायक	lain#säätäjä	N;NOM;MASC;PL;3	N;GEN;SG
विधायक	lainsäätäjä	विधायक	lain#säätäjä	N;NOM;MASC;PL;3	N;NOM;SG
तर्क	perustelut	तर्क	perustelu	N;NOM;MASC;SG;3	N;NOM;PL
तर्क	looginen	तर्क	looginen	N;NOM;MASC;SG;3	ADJ;NOM;SG
तर्क	logiikkaa	तर्क	logiikka	N;NOM;MASC;SG;3	N;PRT;SG
तर्क	logiikan	तर्क	logiikka	N;NOM;MASC;SG;3	N;GEN;SG
आपके	sinun	आप	sinä	PRO;MASC;SG;2;FORM	PRO;GEN;SG;2
विरुद्ध	vastoin	विरुद्ध	vastoin	ADP	ADV
विरुद्ध	vastaan	विरुद्ध	vastaan	ADP	ADV
परीक्षा	testaa	परीक्षा	testata	N;NOM;FEM;SG;3	V;IMP;SG;2;PRS;FIN;ACT
परीक्षा	koe	परीक्षा	kokea	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
परीक्षा	testin	परीक्षा	testi	N;NOM;FEM;SG;3	N;GEN;SG
परीक्षा	koe	परीक्षा	kokea	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
परीक्षा	kokeet	परीक्षा	koe	N;NOM;FEM;SG;3	N;NOM;PL
पाई	piirakka	पा	piirakka	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;SG
खाद्य	syötävää	खाद्य	syödä	N;NOM;MASC;SG;3	V;PRT;SG;V.PTCP;PASS
खाद्य	syötävät	खाद्य	syödä	N;NOM;MASC;SG;3	V;NOM;PL;V.PTCP;PASS
खाद्य	syötäväksi	खाद्य	syödä	N;NOM;MASC;SG;3	V;TRANS;SG;V.PTCP;PASS
खाद्य	syötävä	खाद्य	syödä	N;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
भविष्य	tulevaisuuden	भविष्य	tulevaisuus	N;NOM;MASC;SG;3	N;GEN;SG
भविष्य	tuleva	भविष्य	tulla	N;NOM;MASC;SG;3	ADJ;NOM;SG
भविष्य	tulevaisuutta	भविष्य	tulevaisuus	N;NOM;MASC;SG;3	N;PRT;SG
भविष्य	tulevaisuudessa	भविष्य	tulevaisuus	N;NOM;MASC;SG;3	N;IN+ESS;SG
भविष्य	tulevaisuuteen	भविष्य	tulevaisuus	N;NOM;MASC;SG;3	N;IN+ALL;SG
बिक्री	myynnin	बिक्री	myynti	N;NOM;FEM;SG;3	N;GEN;SG
बिक्री	myyntiä	बिक्री	myynti	N;NOM;FEM;SG;3	N;PRT;SG
बिक्री	myyntiin	बिक्री	myynti	N;NOM;FEM;SG;3	N;IN+ALL;SG
सम्मेलन	konferenssin	सम्मेलन	konferenssi	N;NOM;MASC;SG;3	N;GEN;SG
सम्मेलन	yleissopimuksen	सम्मेलन	yleis#sopimus	N;NOM;MASC;SG;3	N;GEN;SG
रानी	queen	रानी	queki	N;NOM;FEM;SG;3	
सिटी	city	सिटी	city	N;NOM;FEM;SG;3	PROPN;NOM;SG
अच्छे	hyvää	अच्छा	hyvä	ADJ;NOM;MASC;PL	ADJ;PRT;SG
अच्छे	hyvä	अच्छा	hyvä	ADJ;NOM;MASC;PL	ADJ;NOM;SG
तुम	sinä	तुम	sinä	PRO;NOM;SG;3	PRO;NOM;SG;2
सिर	head	सिर	head	N;NOM;MASC;SG;3	
सिर	päätä	सिर	pää	N;NOM;MASC;SG;3	N;PRT;SG
सिर	pään	सिर	pää	N;NOM;MASC;SG;3	N;GEN;SG
दबाव	paineet	दबाव	paine	N;NOM;MASC;SG;3	N;NOM;PL
दबाव	painetta	दबाव	paine	N;NOM;MASC;SG;3	N;PRT;SG
दबाव	paineen	दबाव	paine	N;NOM;MASC;SG;3	N;GEN;SG
बोर्ड	taulut	बोर्ड	taulu	N;NOM;MASC;SG;3	N;NOM;PL
बोर्ड	lautoja	बोर्ड	lauto	N;NOM;MASC;SG;3	N;PRT;PL
बोर्ड	laudan	बोर्ड	lauta	N;NOM;MASC;SG;3	N;GEN;SG
बोर्ड	johtokunnan	बोर्ड	johto#kunta	N;NOM;MASC;SG;3	N;GEN;SG
ख़ान	khan	ख़ान	khan	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
नियुक्त	nimittää	नियुक्त	nimittää	ADJ	V;IND;SG;FIN;ACT
नियुक्त	palkattu	नियुक्त	palkata	ADJ	V;NOM;SG;V.PTCP;PASS
नियुक्त	nimitti	नियुक्त	nimittää	ADJ	V;IND;SG;3;PST;FIN;ACT
नियुक्त	nimitetty	नियुक्त	nimittää	ADJ	V;NOM;SG;V.PTCP;PASS
नियुक्त	nimetyt	नियुक्त	nimetty	ADJ	V;NOM;PL;V.PTCP;PASS
फरवरी	helmikuuta	फरवरी	helmikuu	PROPN;NOM;FEM;SG;3	N;PRT;SG
फरवरी	helmikuussa	फरवरी	helmikuu	PROPN;NOM;FEM;SG;3	N;IN+ESS;SG
फरवरी	helmikuu	फरवरी	helmikuu	PROPN;NOM;FEM;SG;3	N;NOM;SG
फरवरी	helmikuu	फरवरी	helmikuu	PROPN;NOM;FEM;SG;3	N;NOM;SG
नेशनल	kansallinen	नेशनल	kansallinen	PROPN;NOM	ADJ;NOM;SG
नेशनल	kansalliset	नेशनल	kansallinen	PROPN;NOM	ADJ;NOM;PL
नेशनल	kansallisten	नेशनल	kansallinen	PROPN;NOM	ADJ;GEN;PL
उर्दू	urdua	उर्दू	urdu	PROPN;NOM;MASC;SG;3	N;PRT;SG
संसार	maailmassa	संसार	maailma	N;NOM;MASC;SG;3	N;IN+ESS;SG
संसार	maailmaa	संसार	maailma	N;NOM;MASC;SG;3	N;PRT;SG
संसार	maailman	संसार	maailma	N;NOM;MASC;SG;3	N;GEN;SG
संसार	world	संसार	world	N;NOM;MASC;SG;3	PROPN;NOM;SG
संसार	maailmaan	संसार	maailma	N;NOM;MASC;SG;3	N;IN+ALL;SG
संसार	maailmojen	संसार	maailma	N;NOM;MASC;SG;3	N;GEN;PL
संसार	maailmoja	संसार	maailma	N;NOM;MASC;SG;3	N;PRT;PL
प्रतिनिधित्व	edustuksen	प्रतिनिधित्व	edustus	N;NOM;MASC;SG;3	N;GEN;SG
विचारों	ideat	विचार	idea	N;ACC;MASC;PL;3	N;NOM;PL
विचारों	ajatuksia	विचार	ajatus	N;ACC;MASC;PL;3	N;PRT;PL
विचारों	ideoita	विचार	idea	N;ACC;MASC;PL;3	N;PRT;PL
प्रेरित	inspiroi	प्रेरित	inspiroida	ADJ	V;IND;SG;2;PRS;FIN;ACT
प्रेरित	motivoitunut	प्रेरित	motivoitua	ADJ	V;NOM;SG;V.PTCP;ACT
समारोह	seremonian	समारोह	seremonia	N;NOM;MASC;SG;3	N;GEN;SG
मस्तिष्क	aivoja	मस्तिष्क	aivot	N;NOM;MASC;SG;3	N;PRT;PL
मस्तिष्क	aivot	मस्तिष्क	aivot	N;NOM;MASC;SG;3	N;NOM;PL
घरेलू	kotimaa	घरेलू	koti#maa	ADJ;NOM	N;NOM;SG
घरेलू	kotimaan	घरेलू	koti#maa	ADJ;NOM	N;GEN;SG
जेम्स	james	जेम्स	james	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
जेम्स	jamesin	जेम्स	jameta	PROPN;NOM;MASC;SG;3	V;IND;SG;1;PST;FIN;ACT
जेम्स	jamesia	जेम्स	jamenen	PROPN;NOM;MASC;SG;3	N;PRT;PL
मौसम	kaudet	मौसम	kausi	N;NOM;MASC;SG;3	N;NOM;PL
मौसम	kauden	मौसम	kausi	N;NOM;MASC;SG;3	N;GEN;SG
सम्पूर्ण	kokonainen	संपूर्ण	kokonainen	PROPN;NOM;SG;3	ADJ;NOM;SG
अर्थात्	tarkoittaa	अर्थात्	tarkoittaa		V;IND;SG;3;PRS;FIN;ACT
भावना	tunteet	भावना	tunne	N;NOM;FEM;SG;3	N;NOM;PL
भावना	tunteita	भावना	tunne	N;NOM;FEM;SG;3	N;PRT;PL
भावना	hengen	भावना	henki	N;NOM;FEM;SG;3	N;GEN;SG
गुणवत्ता	laadukas	गुणवत्ता	laadukas	N;NOM;FEM;SG;3	ADJ;NOM;SG
गुणवत्ता	laatua	गुणवत्ता	laatu	N;NOM;FEM;SG;3	N;PRT;SG
छात्र	opiskelijan	छात्र	opiskelija	N;NOM;MASC;PL;3	N;GEN;SG
छात्र	opiskelija	छात्र	opiskelija	N;NOM;MASC;PL;3	N;NOM;SG
छात्र	ylioppilas	छात्र	yli#oppilas	N;NOM;MASC;PL;3	N;NOM;SG
छात्र	oppilas	छात्र	oppilas	N;NOM;MASC;PL;3	N;NOM;SG
खाना	ruokaa	खाना	ruoka	N;NOM;MASC;SG;3	N;PRT;SG
खाना	elintarvikkeet	खाना	elin#tarvike	N;NOM;MASC;SG;3	N;NOM;PL
मिले	löydetty	मिल	löytää	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;SG;V.PTCP;PASS
