tlenu	oksijen	tlen	oksij	N;GEN;MASC;SG	
powiązane	bağlandı	powiązać	bağla	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
powiązane	bağlanmış	powiązać	bağla	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
powiązane	bağlantılı	powiązać	bağlantılı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	bağlı	powiązać	bağlı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	bağlandı	powiązać	bağla	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
powiązane	bağlanmış	powiązać	bağla	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
powiązane	bağlantılı	powiązać	bağlantılı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	akraba	powiązać	akraba	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	ilişkili	powiązać	ilişkili	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
powiązane	alakalı	powiązać	alakalı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
katolicyzm	katolik	katolicyzm	katolik	N;NOM;MASC;SG	
bolszewików	bolşevikler	bolszewik	bolşevik	N;ACC;MASC;PL	N;NOM;PL;3
błędne	hatalı	błędny	hatalı	ADJ;NOM;NEUT;SG	
doświadczeń	deneyimler	doświadczenie	deneyim	N;GEN;NEUT;PL	N;NOM;PL;3
doświadczeń	deneyimleri	doświadczenie	deneyim	N;GEN;NEUT;PL	N;ACC;PL;3
projektant	tasarım	projektant	tas	N;NOM;MASC;SG	
projektant	tasarımcı	projektant	tasarımcı	N;NOM;MASC;SG	
otwór	delik	otwór	delik	N;NOM;MASC;SG	
otwór	çukur	otwór	çukur	N;NOM;MASC;SG	
justyna	justine	justyn	just	PROPN;NOM;FEM;SG	
justyna	justin	justyn	justin	PROPN;NOM;FEM;SG	
justyna	justyna	justyn	justyna	PROPN;NOM;FEM;SG	
propagandy	propaganda	propaganda	propaganda	N;GEN;FEM;SG	
odpowiedzialność	mesuliyet	odpowiedzialność	mesuliyet	N;NOM;FEM;SG	
odpowiedzialność	sorumlulukları	odpowiedzialność	sorumluluk	N;NOM;FEM;SG	N;NOM;PL;3
odpowiedzialność	sorumluluklar	odpowiedzialność	sorumluluk	N;NOM;FEM;SG	N;NOM;PL;3
odpowiedzialność	sorumluluğu	odpowiedzialność	sorumluluk	N;NOM;FEM;SG	N;ACC;SG;3
odpowiedzialność	güvenilirlik	odpowiedzialność	güvenilirlik	N;NOM;FEM;SG	V;IPFV;IND;SG;3;POS;PASS
bundesligi	bundesliga	bundesliga	bundesliga	N;ACC;MASC;PL	
dysku	disk	dysk	disk	N;GEN;MASC;SG	
hokej	hokey	hok	hokey	N;NOM;MASC;SG	
liu	liu	liel	liu	PROPN;NOM;MASC;SG	
wyjaśnienia	açıklama	wyjaśnienie	açıkla	N;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
wyjaśnienia	açıklamalar	wyjaśnienie	açıkla	N;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
wyjaśnienia	açıklamaları	wyjaśnienie	açıkla	N;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
ołeksandr	oleksandr	ołeksandr	oleksandr	N;NOM;MASC;SG	
współrzędnych	koordinatları	współrzędny	koordinat	ADJ;GEN;MASC;PL	N;NOM;PL;3
współrzędnych	koordinat	współrzędny	koordinat	ADJ;GEN;MASC;PL	N;NOM;SG;3
współrzędnych	koordinatlar	współrzędny	koordinat	ADJ;GEN;MASC;PL	N;NOM;PL;3
marynarzy	denizciler	marynarz	denizci	N;GEN;MASC;PL	N;NOM;PL;3
marynarzy	denizciler	marynarz	denizci	N;GEN;MASC;PL	N;NOM;PL;3
marynarzy	denizci	marynarz	denizci	N;GEN;MASC;PL	
marynarzy	mariners	marynarz	mariners	N;GEN;MASC;PL	PROPN;NOM;SG;3
avenue	avenue	avenu	avenue		PROPN;NOM;SG;3
avenue	caddesi	avenu	cadde		N;NOM;SG;3
gustav	gustav	gustav	gustav	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
filadelfii	philly	filadelfia	philly	PROPN;NOM;MASC;SG	
filadelfii	philadelphia	filadelfia	philadelphia	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
filadelfii	philadelphia	filadelfia	philadelphia	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
oddziaływania	etkileri	oddziaływać	etki	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;ACC;PL;3
oddziaływania	etkiler	oddziaływać	etkile	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	
kadencja	terimi	kadencja	terim	N;NOM;FEM;SG	
kadencja	terim	kadencja	terim	N;NOM;FEM;SG	
kadencja	dönem	kadencja	dön	N;NOM;FEM;SG	
poczta	postalar	poczta	posta	N;NOM;FEM;SG	N;NOM;PL;3
poczta	mail	poczta	mail	N;NOM;FEM;SG	
poczta	posta	poczta	posta	N;NOM;FEM;SG	
poczta	post	poczta	post	N;NOM;FEM;SG	
zapraszam	hoşgeldiniz	zapraszać	hoşgel	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;PFV;IND;PL;2;POS;PST
zapraszam	hoşgeldin	zapraszać	hoşgel	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;PFV;IND;SG;2;POS;PST
funduszu	fon	fundusz	fon	N;GEN;MASC;SG	
funduszu	fonu	fundusz	fonu	N;GEN;MASC;SG	
felipe	felipe	felipy	fel	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
wyróżnić	vurgulama	wyróżnić	vurgulama	V;PFV;NFIN;ACT	
zurychu	zürih	zurych	zürih	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
pasażerski	yolcu	pasażerski	yolcu	ADJ;NOM;MASC;SG	
pasażerski	yolcusu	pasażerski	yolcu	ADJ;NOM;MASC;SG	N;NOM;SG;3
pojedynczy	tekli	pojedynczy	tekli	ADJ;NOM;MASC;SG	
pojedynczy	single	pojedynczy	sing	ADJ;NOM;MASC;SG	
pojedynczy	tek	pojedynczy	tek	ADJ;NOM;MASC;SG	
pojedynczy	bekar	pojedynczy	bekar	ADJ;NOM;MASC;SG	
sprinter	sprinter	sprinter	sprinter		N;NOM;SG;3
ból	acı	ból	acı	N;NOM;MASC;SG	
ból	aci	ból	aci	N;NOM;MASC;SG	
ból	ağrı	ból	ağrı	N;NOM;MASC;SG	
pierwotne	ilkel	pierwotny	ilkel	ADJ;NOM;NEUT;SG	
pierwotne	birincil	pierwotny	birincil	ADJ;NOM;NEUT;SG	
działało	çalışmış	działać	çalış	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;PFV;NFH;IND;SG;3;POS;PST
działało	çalıştı	działać	çalış	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST
grobu	mezar	grób	mezar	N;GEN;MASC;SG	
martín	martín	martín	martín	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
więzienie	hapishane	więzienie	hapishan	N;NOM;NEUT;SG	
więzienie	hapse	więzienie	hapis	N;NOM;NEUT;SG	N;DAT;SG;3
więzienie	hapis	więzienie	hapis	N;NOM;NEUT;SG	
więzienie	cezaevi	więzienie	cezaevi	N;NOM;NEUT;SG	
więzienie	hapishane	więzienie	hapishan	N;NOM;NEUT;SG	
więzienie	hapis	więzienie	hapis	N;NOM;NEUT;SG	
wycofany	çekilmiş	wycofać	çek	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
justin	justin	justin	justin	PROPN;NOM;MASC;SG	
beck	beck	beck	beck	PROPN;NOM;MASC;SG	
ginie	gina	ginąć	gina	V;IPFV;IND;SG;3;PRS;FIN;ACT	
indianapolis	indianapolis	indianapolis	indianapolis	N;NOM;MASC;SG	PROPN;NOM;SG;3
sprawdzone	doğrulanmış	sprawdzić	doğrula	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
sprawdzone	doğrulandı	sprawdzić	doğrula	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
sprawdzone	onaylı	sprawdzić	onaylı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
sprawdzone	onaylanmış	sprawdzić	onayla	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
sprawdzone	onaylandı	sprawdzić	onayla	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
żużlu	speedway	żużel	speedway		PROPN;NOM;SG;3
rzymskie	romalı	rzymski	romalı	ADJ;NOM;NEUT;SG	
rzymskie	roman	rzymski	roman	ADJ;NOM;NEUT;SG	
godło	amblemi	godć	amblem	N;NOM;NEUT;SG	N;ACC;SG;3
hampshire	hampshire	hampshiry	hampshire		PROPN;NOM;SG;3
motywy	temalar	motyw	tema	N;NOM;MASC;PL	
tras	yolları	tras	yol	N;GEN;FEM;PL	N;NOM;PL;3
rakieta	roket	rakieta	roket	N;NOM;FEM;SG	
rakieta	füze	rakieta	füz	N;NOM;FEM;SG	
khan	khan	khana	khan	PROPN;NOM;MASC;SG	
khan	han	khana	han	PROPN;NOM;MASC;SG	
podanie	uygulama	podanie	uygulama	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
podanie	başvuru	podanie	başvuru	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
podanie	pas	podanie	pas	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
podanie	geçiş	podanie	geçiş	N;PFV;NOM;NEUT;SG;POS;V.MSDR	
luca	luca	luca	lica	PROPN;NOM;MASC;SG	
akademickie	akademi	akademicki	akadem	ADJ;NOM;NEUT;SG	N;NOM;SG;3
aparatu	kamera	aparat	kamera	N;GEN;MASC;SG	N;NOM;SG;3
przywilej	ayrıcalık	przywilej	ayrıcalık	N;ACC;MASC;SG	N;NOM;SG;3
przywilej	imtiyaz	przywilej	imtiyaz	N;ACC;MASC;SG	
przywilej	ayrıcalıkları	przywilej	ayrıcalık	N;ACC;MASC;SG	N;NOM;PL;3
sri	sri	srać	sri	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
lekki	işık	lekki	işık	ADJ;NOM;MASC;SG	
lekki	light	lekki	light	ADJ;NOM;MASC;SG	
lekki	nur	lekki	nur	ADJ;NOM;MASC;SG	
lekki	aydınlık	lekki	aydınlık	ADJ;NOM;MASC;SG	N;NOM;SG;3
karaibów	karayip	karaib	karay	N;GEN;MASC;PL	ADV
karaibów	karayipler	karaib	karayip	N;GEN;MASC;PL	N;NOM;PL;3
basen	bilardo	basen	bil	N;NOM;MASC;SG	
basen	havuz	basen	havuz	N;NOM;MASC;SG	
uchodźców	mülteci	uchodźca	mülteci	N;ACC;MASC;PL	
uchodźców	mülteci	uchodźca	mülteci	N;ACC;MASC;PL	
uchodźców	mülteciler	uchodźca	mülteci	N;ACC;MASC;PL	N;NOM;PL;3
owoc	meyve	owoc	meyve	N;NOM;MASC;SG	
owoc	meyveler	owoc	meyve	N;NOM;MASC;SG	N;NOM;PL;3
owoc	meyva	owoc	meyva	N;NOM;MASC;SG	
empire	imparatorluk	empir	imparatorluk		N;NOM;SG;3
empire	imparatorluğu	empir	imparatorluk		N;NOM;SG;3
pióra	kalemler	pióra	kalem	N;ACC;NEUT;PL	N;NOM;PL;3
pióra	tüyleri	pióra	tüy	N;ACC;NEUT;PL	ADJ;NOM;PL;3
pióra	tüy	pióra	tüy	N;ACC;NEUT;PL	
pióra	tüyler	pióra	tüy	N;ACC;NEUT;PL	ADJ;NOM;PL;3
ski	kayak	skiot	kayak		N;NOM;SG;3
ski	ski	skiot	si		N;NOM;SG;3
okręgów	ilçeleri	okręg	ilçe	N;GEN;MASC;PL	N;ACC;PL;3
okręgów	bölgeler	okręg	bölge	N;GEN;MASC;PL	N;NOM;PL;3
regularne	düzenli	regularny	düzenli	ADJ;NOM;NEUT;SG	
regularne	normal	regularny	normal	ADJ;NOM;NEUT;SG	
break	mola	break	mola		N;NOM;SG;3
druku	basım	druk	basım	N;GEN;MASC;SG	
druku	baskı	druk	baskı	N;GEN;MASC;SG	
zasoby	kaynak	zasóba	kaynak	N;NOM;MASC;PL	
zasoby	kaynakları	zasóba	kaynak	N;NOM;MASC;PL	N;ACC;PL;3
zasoby	kaynak	zasóba	kaynak	N;NOM;MASC;PL	
zasoby	hisse	zasóba	hisse	N;NOM;MASC;PL	N;NOM;SG;3
zasoby	stok	zasóba	stok	N;NOM;MASC;PL	
ran	yarası	rana	yara		N;NOM;SG;3
ran	yaralara	rana	yara		N;DAT;PL;3
ran	yaralar	rana	yara		N;NOM;PL;3
ran	yaraları	rana	yara		N;NOM;PL;3
objętości	sesi	objętość	ses	N;GEN;FEM;SG	N;NOM;SG;3
objętości	ses	objętość	ses	N;GEN;FEM;SG	N;NOM;SG;3
objętości	hacim	objętość	hacim	N;GEN;FEM;SG	
objętości	cilt	objętość	cilt	N;GEN;FEM;SG	
objętości	hacmi	objętość	hacim	N;GEN;FEM;SG	N;ACC;SG;3
radosław	radosław	radosław	radosław	PROPN;NOM;MASC;SG	
czystości	saflık	czystość	saflık	N;GEN;FEM;SG	N;NOM;SG;3
oskar	oscar	oskar	oscar	PROPN;NOM;MASC;SG	
oskar	oskar	oskar	oskar	PROPN;NOM;MASC;SG	
oskar	oskar	oskar	oskar	PROPN;NOM;MASC;SG	
szczęścia	şans	szczęście	şans	N;GEN;NEUT;SG	
szczęścia	sans	szczęście	sans	N;GEN;NEUT;SG	
szczęścia	mutluluklar	szczęście	mutluluk	N;GEN;NEUT;SG	N;NOM;PL;3
szczęścia	mutluluk	szczęście	mutluluk	N;GEN;NEUT;SG	N;NOM;SG;3
szczęścia	mutluluğu	szczęście	mutluluk	N;GEN;NEUT;SG	N;ACC;SG;3
modlitwa	dua	modlitwa	dua	N;NOM;FEM;SG	
modlitwa	dualar	modlitwa	dua	N;NOM;FEM;SG	N;NOM;PL;3
modlitwa	dua	modlitwa	dua	N;NOM;FEM;SG	
modlitwa	dua	modlitwa	dua	N;NOM;FEM;SG	
modlitwa	dualar	modlitwa	dua	N;NOM;FEM;SG	N;NOM;PL;3
marine	denizcilik	mariny	denizcilik		N;NOM;SG;3
rasa	cins	rasa	cins	N;NOM;FEM;SG	
rasa	irk	rasa	irk	N;NOM;FEM;SG	
rasa	yarış	rasa	yarış	N;NOM;FEM;SG	
tymczasowy	geçici	tymczasowy	geçici	ADJ;NOM;MASC;SG	
tymczasowy	geçici	tymczasowy	geçici	ADJ;NOM;MASC;SG	
tymczasowy	geçici	tymczasowy	geçici	ADJ;NOM;MASC;SG	
pérez	pérez	porez	pérez	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
przykładów	örnekleri	przykład	örnek	N;GEN;MASC;PL	N;ACC;PL;3
przykładów	örnekler	przykład	örnek	N;GEN;MASC;PL	N;NOM;PL;3
królowie	kings	król	kings	N;NOM;MASC;PL	PROPN;NOM;SG;3
królowie	kralları	król	kral	N;NOM;MASC;PL	N;ACC;PL;3
szóste	sixth	szósty	sis		PROPN;NOM;SG;3
teatrów	tiyatrolar	teatr	tiyatro	N;GEN;MASC;PL	N;NOM;PL;3
teatrów	sinemalarda	teatr	sinema	N;GEN;MASC;PL	N;ESS;PL;3
teatrów	tiyatrolar	teatr	tiyatro	N;GEN;MASC;PL	N;NOM;PL;3
koń	at	koń	at	N;NOM;MASC;SG	
pacjenta	hasta	pacjent	hasta	N;ACC;MASC;SG	
pacjenta	sabırlı	pacjent	sabırlı	N;ACC;MASC;SG	
potrzebna	ihtiyaç	potrzebny	ihtiyaç	ADJ;NOM;FEM;SG	
potrzebna	lazım	potrzebny	lazım	ADJ;NOM;FEM;SG	
potrzebna	ihtiyacım	potrzebny	ihtiyaç	ADJ;NOM;FEM;SG	N;NOM;SG;3
potrzebna	gerek	potrzebny	gerek	ADJ;NOM;FEM;SG	
potrzebna	ihtiyaç	potrzebny	ihtiyaç	ADJ;NOM;FEM;SG	
potrzebna	gerekliydi	potrzebny	gerekli	ADJ;NOM;FEM;SG	V;PFV;IND;SG;3;POS;PST
potrzebna	lazımdı	potrzebny	lazım	ADJ;NOM;FEM;SG	
uderzenie	çarpışma	uderzenie	çarpış	N;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
uderzenie	etki	uderzenie	etki	N;NOM;NEUT;SG	
uderzenie	çarpma	uderzenie	çarp	N;NOM;NEUT;SG	
uderzenie	darbe	uderzenie	darbe	N;NOM;NEUT;SG	
uderzenie	hit	uderzenie	hit	N;NOM;NEUT;SG	
uderzenie	vur	uderzenie	vur	N;NOM;NEUT;SG	V;PFV;IMP;SG;2;POS;PRS
piaski	sands	piasek	sands		N;NOM;SG;3
zmniejsza	azaltır	zmniejszać	azal	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;CAUS
zmniejsza	azalır	zmniejszać	azal	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS
polecenia	komut	polecenie	komut	N;NOM;NEUT;SG	
polecenia	emrediyor	polecenie	emret	N;NOM;NEUT;SG	V;PROG;IND;SG;3;POS;INFM;PRS
polecenia	komut	polecenie	komut	N;NOM;NEUT;SG	
fortu	kale	fort	kale	N;GEN;MASC;SG	
fortu	fort	fort	fort	N;GEN;MASC;SG	
aleksandrii	iskenderiye	aleksandria	iskenderi	N;GEN;FEM;SG	PROPN;DAT;SG;3
praktyka	staj	praktyka	staj	N;NOM;FEM;SG	
praktyka	antrenman	praktyka	antrenman	N;NOM;FEM;SG	
praktyka	pratik	praktyka	pratik	N;NOM;FEM;SG	
praktyka	alıştırma	praktyka	alış	N;NOM;FEM;SG	V;PFV;IMP;SG;2;NEG;PRS;CAUS
sainte	sainte	sainty	sain	V;IPFV;IND;SG;2;PRS;FIN;ACT	PROPN;NOM;SG;3
środowisk	geçmişler	środowisko	geçmiş	N;GEN;NEUT;PL	ADJ;NOM;PL;3
środowisk	geçmişleri	środowisko	geç	N;GEN;NEUT;PL	ADJ;ACC;PL;3
środowisk	ortamları	środowisko	ortam	N;GEN;NEUT;PL	N;ACC;PL;3
zaangażowany	işledi	zaangażować	işle	ADJ;NOM;MASC;SG	V;PFV;IND;SG;3;POS;PST
zakończony	sonlandırıldı	zakończyć	sonlan	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;PASS
pomiarów	ölçüleri	pomiar	ölçü	N;GEN;MASC;PL	N;ACC;PL;3
pomiarów	ölçümleri	pomiar	ölçüm	N;GEN;MASC;PL	N;ACC;PL;3
pomiarów	ölçümler	pomiar	ölçüm	N;GEN;MASC;PL	N;NOM;PL;3
renesansu	rönesans	renesans	rönesans	N;GEN;MASC;SG	
grażyna	grażyna	grażyna	gra	PROPN;NOM;FEM;SG	
jelita	bağırsak	jelita	bağır		V;PFV;PL;1;POS;PRS
jelita	bağırsak	jelita	bağır		V;PFV;PL;1;POS;PRS
jelita	bağırsak	jelita	bağır		V;PFV;PL;1;POS;PRS
jelita	bağırsak	jelita	bağır		V;PFV;PL;1;POS;PRS
jelita	bağırsakları	jelita	bağırsak		V;PFV;IND;PL;3;POS;PRS
jelita	bağırsak	jelita	bağır		V;PFV;PL;1;POS;PRS
zdrowie	sağlıkla	zdrowie	sağlık	N;NOM;NEUT;SG	N;INS;SG;3
zdrowie	saglik	zdrowie	saglik	N;NOM;NEUT;SG	
rolnicze	tarım	rolniczy	tarım	ADJ;NOM;NEUT;SG	
rolnicze	tarımsal	rolniczy	tarımsal	ADJ;NOM;NEUT;SG	
partnerem	ortak	partner	ortak	N;INS;MASC;SG	ADJ
partnerem	partner	partner	partner	N;INS;MASC;SG	N;NOM;SG;3
przedstawiono	sunuldu	przedstawić	sun	V;PFV;IND;0;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST;PASS
przedstawiono	sunulan	przedstawić	sun	V;PFV;IND;0;PST;FIN;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
przedstawiono	sundu	przedstawić	sun	V;PFV;IND;0;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST
honoru	onur	honor	onur	N;GEN;MASC;SG	
honoru	şeref	honor	şeref	N;GEN;MASC;SG	
honoru	onur	honor	onur	N;GEN;MASC;SG	
honoru	şeref	honor	şeref	N;GEN;MASC;SG	
odrębne	belirgin	odrębny	belirgin	ADJ;NOM;NEUT;SG	
odrębne	ayırın	odrębny	ayır	ADJ;NOM;NEUT;SG	V;PFV;IMP;PL;2;POS;PRS
odrębne	ayri	odrębny	ayri	ADJ;NOM;NEUT;SG	
obydwa	ikisi	obydwa	iki	V;IPFV;IND;SG;PST;FIN;ACT	
obydwa	darısı	obydwa	darı	V;IPFV;IND;SG;PST;FIN;ACT	ADJ;NOM;SG;3
obydwa	ikiside	obydwa	iki	V;IPFV;IND;SG;PST;FIN;ACT	NUM;ESS;SG;3
czaszki	kafatası	czaszki	kafata	N;ACC;FEM;PL	N;NOM;SG;3
czaszki	kafatası	czaszki	kafata	N;ACC;FEM;PL	N;NOM;SG;3
fischer	fischer	fischer	fischer		PROPN;NOM;SG;3
publiczny	kamu	publiczny	kamu	ADJ;NOM;MASC;SG	N;NOM;SG;3
publiczny	halk	publiczny	halk	ADJ;NOM;MASC;SG	
mail	postalar	mail	posta		N;NOM;PL;3
nieznacznie	hafifçe	nieznacznie	hafifçe	ADV	
tronie	taht	trona	taht	N;DAT;MASC;SG	
kogo	kimler	kto	kim	PRO;ACC;MASC;SG	
kogo	who	kto	who	PRO;ACC;MASC;SG	
kogo	kim	kto	kim	PRO;ACC;MASC;SG	PRO;NOM;SG;3
francuz	fransız	francuz	fransız	N;NOM;MASC;SG	
heaven	cennet	heaven	cennet		N;NOM;SG;3
rozkładu	çürüme	rozkład	çürü	N;GEN;MASC;SG	
rozkładu	bozulma	rozkład	boz	N;GEN;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
piła	içiyor	pić	iç		V;PROG;IND;SG;3;POS;INFM;PRS
piła	içmek	pić	iç		V;PFV;NOM;IND;POS;PRS;V.MSDR
piła	içtim	pić	iç		V;PFV;IND;SG;1;POS;PST
piła	içti	pić	iç		V;PFV;IND;SG;3;POS;PST
śniegu	kar	śnieg	kar	N;GEN;MASC;SG	
śniegu	karlı	śnieg	karlı	N;GEN;MASC;SG	
śniegu	pamuk	śnieg	pamuk	N;GEN;MASC;SG	
śniegu	karlar	śnieg	kar	N;GEN;MASC;SG	N;NOM;PL;3
damian	damian	damian	damian	PROPN;NOM;MASC;SG	
istoty	canlılar	istota	canlı	N;ACC;FEM;SG	ADJ;NOM;PL;3
istoty	yaratıklar	istota	yarat	N;ACC;FEM;SG	N;NOM;PL;3
ołtarzu	sunak	ołtarz	sunak	N;INS;MASC;SG	N;NOM;SG;3
policjant	polis	policjant	polis	N;NOM;MASC;SG	
policjant	polis	policjant	polis	N;NOM;MASC;SG	
toledo	toledo	toledo	tole		PROPN;NOM;SG;3
cannes	cannes	cannes	cannes		PROPN;NOM;SG;3
informacyjny	bilgilendirme	informacyjny	bilgilen	ADJ;NOM;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
informacyjny	bilgilendirici	informacyjny	bilgilendirici	ADJ;NOM;MASC;SG	
geschichte	geschichte	geschicht	geschich		PROPN;NOM;SG;3
gospodarstwo	holding	gospodarstwo	hol	N;NOM;NEUT;SG	
czwartego	dördüncüsü	czwarty	dör	ADJ;ACC;MASC;SG	V;PFV;IND;POS;PST;V.PTCP
czwartego	dördüncü	czwarty	dördüncü	ADJ;ACC;MASC;SG	
wiosce	köyü	wioska	köy	N;DAT;FEM;SG	
wiosce	köy	wioska	köy	N;DAT;FEM;SG	
teologiczne	teolojik	teologiczny	teolojik	ADJ;NOM;NEUT;SG	
ograniczona	sınırlı	ograniczony	sınırlı	ADJ;NOM;FEM;SG	
ograniczona	kısıtlı	ograniczony	kısıtlı	ADJ;NOM;FEM;SG	
ograniczona	sınırlıdır	ograniczony	sınırlı	ADJ;NOM;FEM;SG	
ograniczona	kısıtlı	ograniczony	kısıtlı	ADJ;NOM;FEM;SG	
kontynuować	devam	kontynuować	devam	V;IPFV;NFIN;ACT	N;NOM;SG;3
potwierdzenie	onaylama	potwierdzenie	onayla	N;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
potwierdzenie	onay	potwierdzenie	onay	N;NOM;NEUT;SG	
potwierdzenie	doğrulama	potwierdzenie	doğrulama	N;NOM;NEUT;SG	
management	yönetimi	management	yönetim		N;NOM;SG;3
management	menajerlik	management	menajerlik		N;NOM;SG;3
split	bölünmüş	split	böl		V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
split	split	split	split		PROPN;NOM;SG;3
kenneth	kenneth	kenneth	kenneth	N;NOM;MASC;SG	
paragwaju	paraguay	paragwaj	paraguay	N;GEN;MASC;SG	PROPN;NOM;SG;3
bunt	ayaklanma	bunt	ayaklan	N;NOM;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
bunt	isyan	bunt	isyan	N;NOM;MASC;SG	
bunt	isyanı	bunt	isyan	N;NOM;MASC;SG	
bunt	isyan	bunt	isyan	N;NOM;MASC;SG	
bunt	isyan	bunt	isyan	N;NOM;MASC;SG	
bunt	isyanı	bunt	isyan	N;NOM;MASC;SG	
pete	pete	pete	pete	PROPN;NOM;MASC;SG	
ward	koğuşu	warda	koğuş	PROPN;NOM;MASC;SG	
ward	ward	warda	ward	PROPN;NOM;MASC;SG	
ward	koğuş	warda	koğuş	PROPN;NOM;MASC;SG	
owłosione	tüylü	owłosić	tüylü	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
owłosione	kıllı	owłosić	kıllı	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
promieniowanie	radyasyon	promieniować	radyasyon	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	
eduardo	eduardo	eduardo	et	PROPN;NOM;MASC;SG	
skierowane	yöneten	skierować	yönet	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
skierowane	yönetmen	skierować	yönetmen	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
skierowane	yönlendirilmiş	skierować	yönlen	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
kolorów	renkler	kolor	renk	N;GEN;MASC;PL	N;NOM;PL;3
kolorów	renk	kolor	renk	N;GEN;MASC;PL	
kolorów	renkleri	kolor	renk	N;GEN;MASC;PL	N;NOM;PL;3
fernández	fernández	fernndez	fern	PROPN;NOM;MASC;SG	PROPN;NOM;SG;3
rycerz	şövalye	rycerz	şövalye	N;NOM;MASC;SG	
rycerz	knight	rycerz	knight	N;NOM;MASC;SG	
wprowadzona	tanıttı	wprowadzić	tanı	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;POS;PST;CAUS
