yaralar	as	yara	o	N;NOM;PL;3	DET
intikamı	vingar	intikam	vingar	N;NOM;SG;3	V
bekçi	garda	bekçi	garda		N
bekçi	de	bekçi	de		ADP
raul	raúl	raul	raúl		PROPN
egzersiz	exercicios	egzersiz	exercicio		N
egzersiz	dirixe	egzersiz	dirixe		V
egzersiz	un	egzersiz	un		DET
egzersiz	exercicio	egzersiz	exercicio		N
heyecanlı	emocionante	heyecanlı	emocionante	ADJ	N
heyecanlı	excitante	heyecanlı	excitante	ADJ	N
heyecanlı	emocionantes	heyecanlı	emocionantes	ADJ	N
heyecanlı	fan	heyecanlı	facer	ADJ	V
heyecanlı	emocionado	heyecanlı	emocionar	ADJ	V
heyecanlı	ilusionado	heyecanlı	ilusionar	ADJ	V
poker	póquer	poker	póquer		PROPN
poker	ao	poker	ao		PROPN
poker	de	poker	de		ADP
parmağı	o	parmak	o	N;ACC;SG;3	DET
ödemek	a	öde	o	V;PFV;NOM;IND;POS;PRS;V.MSDR	DET
ödemek	atención	öde	atención	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
ödemek	pagalas	öde	pagala	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
lothar	lothar	lothar	lothar	PROPN;NOM;SG;3	PROPN
rochester	rochester	rochester	rochester	PROPN;NOM;SG;3	PROPN
ceket	chaqueta	ceket	chaqueta		N
ceket	da	ceket	da		V
ceket	abrigo	ceket	abrigo		N
ceket	o	ceket	o		DET
ceket	chaqueta	ceket	chaqueta		N
kathleen	kathleen	kathle	kathleen		PROPN
istekli	dispostos	istekli	dispor	ADJ	V
istekli	a	istekli	o	ADJ	DET
istekli	disposto	istekli	dispor	ADJ	V
istekli	dispostas	istekli	dispor	ADJ	V
istekli	deus	istekli	daus	ADJ	N
istekli	quere	istekli	querer	ADJ	V
istekli	querería	istekli	querer	ADJ	V
istekli	disposta	istekli	disposta	ADJ	V
delege	delegado	deleg	delegado		N
herşeyi	todo	herşey	todo	N;ACC;SG;3	DET
herşeyi	o	herşey	o	N;ACC;SG;3	DET
tahminleri	estima	tahmin	estimar	N;ACC;PL;3	V
tahminleri	que	tahmin	que	N;ACC;PL;3	PRO
getiriyor	a	getir	o	V;PROG;IND;SG;3;POS;INFM;PRS	DET
getiriyor	estábaa	getir	estábaa	V;PROG;IND;SG;3;POS;INFM;PRS	PROPN
misafirler	convidados	misafir	convidar	N;NOM;PL;3	V
terörizm	terrorismo	terörizm	terrorismo		N
buddha	buda	buddha	buda		N
reaktör	reactor	reaktör	reactor		N
vincenzo	vincenzo	vince	vincenzo	PROPN;NOM;SG;3	N
humphrey	humphrey	humphrey	humphrey		PROPN
koşarak	a	koş	o	V;PFV;IND;POS;PRS;V.CVB	DET
girilen	na	gir	na	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
görünmeyen	invisibles	görün	invisible	V;PFV;IND;NEG;PRS;V.PTCP	ADJ
görünmeyen	invisible	görün	invisible	V;PFV;IND;NEG;PRS;V.PTCP	ADJ
konuşmacı	♪	konuş	♪		PROPN
konuşmacı	falante	konuş	falante		N
yinede	aínda	yine	aínda		ADV
ez	por	ez	por		ADP
ez	toliño	ez	toliño		PROPN
kazık	xogo	kazık	xogo		N
dağlara	lorenzo	dağ	lorenzo	N;DAT;PL;3	PROPN
marianne	marianne	marianne	marianne	PROPN;NOM;SG;3	PROPN
marianne	marianka	marianne	marianka	PROPN;NOM;SG;3	N
powers	poderes	powers	poder		V
donovan	donovan	donovan	donovar		V
okinawa	okinawa	okin	okinaza	PROPN;NOM;SG;3	N
bahis	aposta	bahis	apostar	N;NOM;SG;3	V
bahis	apostar	bahis	apostar	N;NOM;SG;3	V
bahis	a	bahis	o	N;NOM;SG;3	DET
bahis	que	bahis	que	N;NOM;SG;3	PRO
kendinizi	mesmos	kendi	mesmo	PRO;ACC;PL;2;REFL	DET
gmt	gmt	gmt	gmt		PROPN
gmt	verá	gmt	ver		V
gmt	co	gmt	co		PROPN
acayip	raro	acayip	raro	ADV	ADJ
haham	rabino	haham	rabino		N
dolmuş	de	dol	de		ADP
dolmuş	cheos	dol	cheo		ADJ
bing	bing	bing	bing		PROPN
işyeri	de	işyeri	de	N;NOM;SG;3	ADP
ridge	cresta	ridge	cresta	PROPN;NOM;SG;3	N
fazilet	virtude	fazilet	virtude		N
bulaşıcı	contaxiosas	bulaşıcı	contaxioso		ADJ
grip	gripe	grip	gripe		N
azize	santo	aziz	santo		ADJ
azize	san	aziz	ser		ADJ
kızılderililer	indios	kızılderili	indio	V;PFV;IND;PL;3;POS;PRS;V.MSDR	N
bild	bild	bild	bild		PROPN
öğretmenleri	os	öğretmen	o	N;ACC;PL;3	DET
tutuklanan	o	tutukla	o	V;PFV;IND;POS;PRS;V.PTCP;PASS	DET
birdenbire	súpeto	birdenbire	súpeto	ADV	N
birdenbire	de	birdenbire	de	ADV	ADP
taşıyarak	de	taşı	de	V;PFV;IND;POS;PRS;V.CVB	ADP
taşıyarak	unha	taşı	un	V;PFV;IND;POS;PRS;V.CVB	DET
zil	campá	zil	campá		N
düşün	que	düşün	que		PRO
düşün	penso	düşün	penso		V
düşün	pensar	düşün	pensar		V
düşün	creo	düşün	creo		V
ifşa	exposto	ifşa	expor		V
ifşa	á	ifşa	á		N
satıcı	vendedor	satıcı	vendedor		N
satıcı	libro	satıcı	libro		N
satıcı	máis	satıcı	máis		ADV
satıcı	vendido	satıcı	vendido		V
satıcı	vendedor	satıcı	vendedor		N
fıstık	cacahuetes	fıstık	cacahuetes		N
fıstık	cacahuete	fıstık	cacahuete		N
gülüm	rose	gülüm	rose		N
sarma	antro	sarma	antro		N
ağlayan	chorando	ağla	chorar		V
ağlayan	choraba	ağla	chorar		V
ağlayan	chorar	ağla	chorar		V
ağlayan	vergoña	ağla	vergoña		N
ağlayan	choras	ağla	chora		N
ağlayan	choran	ağla	chorar		V
düello	duelo	düello	duelo		N
gözyaşı	bágoas	gözyaşı	bágoa		N
gözyaşı	chorar	gözyaşı	chorar		V
gözyaşı	aburrimento	gözyaşı	aburrimento		N
alışılmadık	estraño	alış	estraño	V;PFV;POT;PL;1;NEG;PST	ADJ
çorap	os	çor	o		DET
çorap	calcetíns	çor	calcetíns		N
kasa	salvo	kasa	salvo		ADP
kasa	segura	kasa	seguro		ADJ
kasa	seguro	kasa	seguro		N
kasa	seguros	kasa	seguro		N
kasa	a	kasa	o		DET
bos	baleira	bos	baleira		ADJ
bos	baleiro	bos	baleiro		ADJ
bos	baleiras	bos	baleira		ADJ
bos	valeiro	bos	valeiro		N
antony	anthony	antony	anthony		PROPN
kahvaltı	almorzar	kahvaltı	almorzar	N;NOM;SG;3	V
kabin	cabana	kabin	cabanar		N
kabin	minister	kabin	minister		PROPN
dert	problema	dert	problema		N
dert	problemas	dert	problema		N
aşina	familiar	aş	familiar	ADV	ADJ
aşina	familiarizados	aş	familiarizar	ADV	V
aşina	familiares	aş	familiar	ADV	ADJ
aşina	coñeces	aş	coñecer	ADV	V
çekişme	conflito	çekiş	conflito	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
düğme	botóns	düğ	botóns		N
düğme	botón	düğ	botón		N
uygar	civilizado	uygar	civilizar		V
uygar	civilizados	uygar	civilizar		V
üzücü	triste	üz	triste		ADJ
üzücü	tristes	üz	triste		N
kapakları	cobre	kapak	cubrir	N;ACC;PL;3	V
kendiniz	mesmo	kendi	mesmo	PRO;NOM;PL;2;REFL	DET
kendiniz	ti	kendi	ti	PRO;NOM;PL;2;REFL	
kendiniz	vostede	kendi	vostede	PRO;NOM;PL;2;REFL	PROPN
harmony	harmonía	harmony	harmonía		N
taahhüt	de	taahhüt	de	N;NOM;SG;3	ADP
taahhüt	cos	taahhüt	cos	N;NOM;SG;3	PROPN
sinclair	sinclair	sinc	sinclair		PROPN
ekranı	da	ekran	da	N;NOM;SG;3	V
ekranı	ecrán	ekran	ecrán	N;NOM;SG;3	V
güçlük	dificultades	güçlük	dificultade		N
koşul	termos	koşul	ter		N
koşul	funcionamento	koşul	funcionamento		N
koşul	a	koşul	o		DET
koşul	condicións	koşul	condición		N
koşul	patoloxías	koşul	patoloxía		N
koşul	as	koşul	o		DET
koşul	condición	koşul	condición		N
koşul	situación	koşul	situación		N
koşul	doenza	koşul	doenza		N
koşul	estado	koşul	estado		N
konsantre	de	konsantre	de		ADP
konsantre	concentración	konsantre	concentración		N
dördüncüsü	cuarto	dör	cuarto	V;PFV;IND;POS;PST;V.PTCP	ADJ
dördüncüsü	cuarta	dör	cuarto	V;PFV;IND;POS;PST;V.PTCP	ADJ
dördüncüsü	acto	dör	acto	V;PFV;IND;POS;PST;V.PTCP	N
dördüncüsü	catro	dör	catro	V;PFV;IND;POS;PST;V.PTCP	N
dördüncüsü	infantaría	dör	infantar	V;PFV;IND;POS;PST;V.PTCP	N
bone	óso	bone	óso		N
boyama	cadro	boya	cadro		N
boyama	pintura	boya	pintura		N
mesajlaşma	mensaxes	mesajlaşma	mensaxe	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
mesajlaşma	texto	mesajlaşma	texto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
hakimler	os	hakim	o	N;NOM;PL;3	DET
dinleyici	escoita	dinleyici	escoita		V
dinleyici	ouvinte	dinleyici	ouvinte		N
dinleyici	quen	dinleyici	quen		PRO
dinleyici	escoita	dinleyici	escoita		V
dinleyici	ouvintes	dinleyici	ouvinte		ADJ
makarna	espaguetis	makarna	espaguetis		PROPN
makarna	spaghetti	makarna	spaghetti		N
hüzün	triste	hüzün	triste		ADJ
hüzün	tristes	hüzün	triste		N
starr	starr	starr	starr		V
lenny	lenny	len	lenny		PROPN
milk	leite	milk	leite		N
çalmak	roubar	çal	roubar		V
çalmak	roubar	çal	roubar		V
çalmak	roubando	çal	roubar		V
ekspresi	expresar	ekspre	expresar	N;NOM;SG;3	V
spot	lugar	spot	lugar		N
spot	momento	spot	momento		N
spot	punto	spot	punto		N
spot	sobre	spot	sobre		ADP
otelde	hotel	otel	hotel	N;ESS;SG;3	PROPN
yanar	queimaduras	yan	queimadura	V;IPFV;IND;SG;3;POS	N
yanar	arde	yan	arde	V;IPFV;IND;SG;3;POS	N
yanar	queimade	yan	queimade	V;IPFV;IND;SG;3;POS	N
özledim	srta	özle	srta	V;PFV;IND;SG;1;POS;PST	N
özledim	señorita	özle	señoritar	V;PFV;IND;SG;1;POS;PST	N
özledim	a	özle	o	V;PFV;IND;SG;1;POS;PST	DET
özledim	de	özle	de	V;PFV;IND;SG;1;POS;PST	ADP
özledim	menos	özle	menos	V;PFV;IND;SG;1;POS;PST	ADV
vizyon	visión	vizyon	visión		N
vizyon	vista	vizyon	vista		N
vizyon	vision	vizyon	vision		PROPN
kisi	persoa	kisi	persoa		N
kisi	alguén	kisi	alguén		PRO
yanlışlık	erro	yanlışlık	erro		N
balinalar	as	balina	o	N;NOM;PL;3	DET
düşünün	que	düşün	que	V;PFV;IMP;PL;2;POS;PRS	PRO
şoför	condutor	şoför	condutor		N
şoför	de	şoför	de		ADP
şoför	o	şoför	o		DET
şoför	permiso	şoför	permiso		N
wow	vaites	wow	vaite		N
wow	uau	wow	uau		PROPN
wow	guau	wow	guau		PROPN
wow	vaia	wow	ir		V
café	café	café	café		N
café	cafetaría	café	cafetaría		N
slim	slim	slim	slim		PROPN
zam	erguen	zam	erguir		V
zam	subir	zam	subir		V
zam	os	zam	o		DET
dön	a	dön	o	V;PFV;IMP;SG;2;POS;PRS	DET
bilgelik	a	bilgelik	o	N;NOM;SG;3	DET
borçlu	lle	borçlu	lle		PRO
borçlu	debo	borçlu	deber		V
borçlu	debe	borçlu	deber		V
borçlu	debémosche	borçlu	debémosche		V
borçlu	a	borçlu	o		DET
borçlu	debes	borçlu	deber		V
harcama	lixo	harca	lixo		N
harcama	residuos	harca	residuo		N
harcama	perda	harca	perda		N
harcama	perder	harca	perder		V
harcama	tempo	harca	tempo		N
harcama	gastar	harca	gastar		V
harcama	pasar	harca	pasar		V
çiftçiler	agricultores	çiftçi	agricultor	ADJ;NOM;PL;3	N
twist	xiro	twist	xiro		N
seneler	anos	sene	ano		N
norma	norma	norma	norma		N
bozulma	crise	boz	crise	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
bozulma	depresión	boz	depresión	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
korumalı	protexido	koru	protexido	V;PFV;IMP;SG;2;POS;PRS	ADJ
clyde	clyde	cly	clydar	PROPN;NOM;SG;3	PROPN
lab	laboratorio	lab	laboratorio		N
lab	no	lab	no		V
berrak	claro	berrak	claro		ADJ
berrak	clara	berrak	claro		ADJ
berrak	claras	berrak	claro		ADJ
yarim	media	yarim	media		N
yarim	metade	yarim	metade		N
yarim	medio	yarim	medio		N
yarim	a	yarim	o		DET
dynamics	dinámica	dynamics	dinámica		N
dynamics	dinámicas	dynamics	dinámica		N
ran	marcharon	ran	marchar		V
ran	sen	ran	sen		ADP
yumurtalar	os	yumurta	o	N;NOM;PL;3	DET
isyanlar	raciais	isyan	racial		ADJ
isyanlar	disturbios	isyan	disturbio		N
kalça	hurra	kalça	hurra		N
şato	castelo	şato	castelo		N
hesaplamalar	cálculos	hesapla	cálculo	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
projelerin	os	proje	o	N;GEN;PL;3	DET
shore	costa	shore	costa		N
sendikalar	sindicatos	sendika	sindicato		N
orjinal	orixinal	orjinal	orixinal		ADJ
orjinal	orixinais	orjinal	orixinal		ADJ
shepherd	pastor	shepherd	pastor	PROPN;NOM;SG;3	N
shepherd	pastorciño	shepherd	pastorciño	PROPN;NOM;SG;3	N
avantajları	os	avantaj	o	N;NOM;PL;3	DET
seal	foca	seal	foca		N
seal	selo	seal	selo		N
mutant	mutante	mutant	mutante		N
çelişki	paradoxo	çelişki	paradoxo		N
çelişki	conflito	çelişki	conflito		N
katılmıyorum	de	kat	de	V;PROG;POT;SG;1;NEG;INFM;PRS	ADP
katılmıyorum	acordo	kat	acordo	V;PROG;POT;SG;1;NEG;INFM;PRS	N
havalı	xenial	havalı	xenial		ADJ
havalı	ben	havalı	ben		ADV
havalı	fresco	havalı	fresco		N
yosun	algas	yosun	alga		N
yosun	fuco	yosun	fuco		PROPN
sordu	pregunteille	sor	pregunteille	V;PFV;IND;SG;3;POS;PST	ADJ
sordu	lle	sor	lle	V;PFV;IND;SG;3;POS;PST	PRO
üzgünüm	sinto	üzgün	sinto	N;NOM;SG;3	V
üzgünüm	síntoo	üzgün	síntoo	N;NOM;SG;3	V
üzgünüm	desculpe	üzgün	desculpe	N;NOM;SG;3	PROPN
mutsuz	infeliz	mutsuz	infeliz	ADJ	N
pasta	torta	pasta	torta		N
pasta	pastel	pasta	pastel		N
şanslı	afortunada	şanslı	afortunar	ADJ	V
şanslı	sorte	şanslı	sorte	ADJ	N
şanslı	afortunado	şanslı	afortunar	ADJ	V
şanslı	con	şanslı	con	ADJ	ADP
şanslı	de	şanslı	de	ADJ	ADP
patterson	patterson	patterson	patterson		PROPN
soon	en	soon	en		ADP
soon	canto	soon	canto		PRO
soon	axiña	soon	axiña		ADV
soon	pronto	soon	pronto		ADV
leylek	cegoña	leylek	cegoñar		N
pamuklu	algodón	pamuklu	algodón		N
pamuklu	de	pamuklu	de		ADP
mandela	mandela	mande	mandela	PROPN;NOM;SG;3	PROPN
kuşku	dúbida	kuşku	dúbida		N
kuşku	dubidar	kuşku	dubidar		V
kuşku	dúbidas	kuşku	dúbida		N
kuşku	dubido	kuşku	dober		V
kuşku	dubídoo	kuşku	dubídoo		V
cazip	á	cazip	á	ADJ	N
doğrular	verdades	doğru	verdade	ADJ;NOM;PL;3	N
duruş	actitude	duruş	actitude		N
duruş	atrancos	duruş	atranco		N
duruş	pensas	duruş	pensar		V
duruş	postura	duruş	postura		N
donmuş	xeado	don	xear		N
ahali	xente	ahali	xente		N
ahali	amigos	ahali	amigo		N
ahali	pais	ahali	pai		N
ahali	brancos	ahali	branco		N
uyuyan	somníferos	uyu	somnífer	V;PFV;IND;POS;PRS;V.PTCP	N
uçurum	cliff	uçu	cliff		PROPN
teklifleri	ofréceme	teklif	ofréceme	N;NOM;PL;3	PROPN
çit	perista	çit	perista		N
tas	de	tas	de		ADP
tas	pedra	tas	pedra		N
tas	a	tas	o		DET
sabır	paciencia	sabır	paciencia		N
sexy	sexy	sexy	sexy		PROPN
vurmak	a	vur	o	V;PFV;NOM;IND;POS;PRS;V.MSDR	DET
sinirli	nerviosa	sinirli	nervioso		ADJ
sinirli	nervioso	sinirli	nervioso		ADJ
sinirli	nerviosos	sinirli	nervioso		ADJ
sinirli	nervios	sinirli	nervio		N
sinirli	enfadado	sinirli	enfadar		V
sinirli	anoxados	sinirli	anoxar		V
sinirli	anoxado	sinirli	anoxar		V
sinirli	enfadada	sinirli	enfadar		V
trajedi	traxedia	traje	traxedia		N
trajedi	desgraza	traje	desgraza		N
açıkta	exposto	açık	expor	N;ESS;SG;3	V
deneyimleri	as	deneyim	o	N;ACC;PL;3	DET
vatansever	patriota	vatansever	patriota		N
dinleme	escoitan	dinle	escoitar		V
dinleme	escoiten	dinle	escoitar		V
dinleme	a	dinle	o		DET
dinleme	escoitar	dinle	escoitar		V
dinleme	escoitando	dinle	escoitar		V
dinleme	escoitamos	dinle	escoitar		V
forrest	forrest	forrest	forrest		PROPN
irk	segregación	irk	segregación		N
irk	racial	irk	racial		ADJ
irk	carreira	irk	carreira		N
irk	raza	irk	raza		N
irk	a	irk	o		DET
irk	internacional	irk	internacional		ADJ
nezih	decente	nezih	decente		ADJ
boynuz	corno	boynuz	corno		N
çaresiz	desesperado	çaresiz	desesperar	ADJ	V
çaresiz	e	çaresiz	e	ADJ	CONJ
kavrama	realidade	kavram	realidade		N
hastaneler	os	hastane	o	N;NOM;PL;3	DET
prototipi	prototipo	prototip	prototipo		N
soygun	roubo	soygun	roubo		N
soygun	invasión	soygun	invasión		N
hicks	hicks	hicks	hick		PROPN
karsi	en	karsi	en		ADP
karsi	contra	karsi	contra		ADP
karsi	os	karsi	o		DET
klan	clan	klan	clan		PROPN
klan	do	klan	do		PROPN
klan	dos	klan	dos		PROPN
klan	clans	klan	clan		N
kopyalama	copiando	kopyala	copiar		V
dize	verso	dize	verso		N
cosmos	cosmos	cosmos	cosmo		V
yetişkinler	os	yetişkin	o	N;NOM;PL;3	DET
avantajlı	vantaxe	avantajlı	vantaxe	ADJ	N
aylak	improdutivo	aylak	improdutivo		ADJ
hükümetler	os	hükümet	o	N;NOM;PL;3	DET
eşleri	mulleres	eş	muller	ADJ;ACC;PL;3	N
eşleri	as	eş	o	ADJ;ACC;PL;3	DET
eşleri	esposas	eş	esposo	ADJ;ACC;PL;3	N
eşleri	súas	eş	seu	ADJ;ACC;PL;3	DET
angus	angus	angus	angus		PROPN
izlenim	impresión	izlenim	impresión		N
varsayalım	que	varsa	que	V;PFV;SG;1;POS;PRS	PRO
mouth	boca	mouth	boca		N
düşler	soños	düş	soño		N
abla	a	abla	o	N;NOM;SG;3	DET
torba	bolsa	torba	bolsa		N
torba	bolso	torba	bolso		N
torba	maletín	torba	maletín		N
torba	saco	torba	saco		N
torba	saco	torba	saco		N
torba	bolsas	torba	bolsa		N
torba	de	torba	de		ADP
dudak	beizos	dudak	beizo		N
dudak	os	dudak	o		DET
dudak	boca	dudak	boca		N
şizofreni	esquizofrénico	şizofren	esquizofrénico		ADJ
şizofreni	esquizofrenia	şizofren	esquizofrenia		N
worldwide	mundial	oorldi	mundial	PROPN;NOM;SG;3	ADJ
worldwide	mundo	oorldi	mundo	PROPN;NOM;SG;3	N
worldwide	no	oorldi	no	PROPN;NOM;SG;3	V
gösteriliyor	que	göster	que	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	PRO
gösteriliyor	se	göster	se	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	CONJ
gösteriliyor	mostra	göster	mostra	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	N
gösteriliyor	as	göster	o	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	DET
gösteriliyor	para	göster	para	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	ADP
gösteriliyor	a	göster	o	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	DET
gösteriliyor	esas	göster	ese	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	DET
gösteriliyor	mostra	göster	mostra	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	N
gösteriliyor	que	göster	que	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	PRO
worth	ser	worth	ser	PROPN;NOM;SG;3	V
worth	a	worth	o	PROPN;NOM;SG;3	DET
worth	pena	worth	pena	PROPN;NOM;SG;3	N
worth	paga	worth	pagar	PROPN;NOM;SG;3	V
worth	valor	worth	valor	PROPN;NOM;SG;3	N
worth	vale	worth	valar	PROPN;NOM;SG;3	V
nerde	onde	nere	onde		PRO
nathaniel	nathaniel	nathaniel	nathaniel		PROPN
içmek	auga	iç	auga	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
içmek	café	iç	café	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
keyif	ledicia	keyif	ledicia		N
keyif	alegría	keyif	alegríar		N
keyif	desfrute	keyif	desfrute		N
keyif	da	keyif	da		V
keyif	guste	keyif	guste		V
keyif	gozamos	keyif	gozar		V
keyif	a	keyif	o		DET
keyif	da	keyif	da		V
keyif	que	keyif	que		PRO
keyif	gozar	keyif	gozar		V
keyif	gusta	keyif	gusto		V
keyif	desfrutando	keyif	desfrutar		V
keyif	ben	keyif	ben		ADV
keyif	pracer	keyif	pracer		V
keyif	encantado	keyif	encantar		V
keyif	gusto	keyif	gusto		N
keyif	placer	keyif	placer		V
yanları	lados	yan	lado	ADJ;NOM;PL;3	N
yanları	bandos	yan	bando	ADJ;NOM;PL;3	N
yanları	caras	yan	cara	ADJ;NOM;PL;3	N
yoldaş	compañeira	yoldaş	compañeira		N
yoldaş	camarada	yoldaş	camarar		N
yoldaş	compañeiro	yoldaş	compañeiro		N
akıntı	actual	akıntı	actual	N;NOM;SG;3	ADJ
akıntı	actuais	akıntı	actual	N;NOM;SG;3	ADJ
akıntı	que	akıntı	que	N;NOM;SG;3	PRO
akıntı	súa	akıntı	seu	N;NOM;SG;3	DET
akıntı	corrente	akıntı	corrente	N;NOM;SG;3	ADJ
kimisi	algúns	kimi	algún		DET
kimisi	algunhas	kimi	algún		DET
kimisi	algo	kimi	algo		PRO
kimisi	de	kimi	de		ADP
kimisi	un	kimi	un		DET
vergileri	dos	vergi	dos	N;ACC;PL;3	PROPN
çark	roda	çark	roda		N
çark	rodas	çark	roda		N
çark	raís	çark	raes		N
yakin	preto	yakin	preto		ADV
ayıp	mágoa	ayıp	mágoa		ADJ
ayıp	vergoña	ayıp	vergoña		N
ayıp	que	ayıp	que		PRO
eğitici	educativo	eğitici	educativo		ADJ
eğitici	educativas	eğitici	educativo		ADJ
lanet	putos	lanet	puto		N
lanet	do	lanet	do		PROPN
lanet	carallo	lanet	carallo		ADV
lanet	fodido	lanet	foder		N
lanet	de	lanet	de		ADP
lanet	puta	lanet	puta		N
lanet	maldita	lanet	maldita		N
lanet	merda	lanet	merda		N
lanet	carallo	lanet	carallo		ADV
nimet	bendición	nimet	bendición		N
nimet	beizón	nimet	beizón		N
görevliler	funcionarios	görevli	funcionario	ADJ;NOM;PL;3	N
sınırlama	límite	sınırla	límite		N
yaşlılık	envellecemento	yaşlılık	envellecemento		N
yaşlılık	o	yaşlılık	o		DET
yaşlılık	envellecer	yaşlılık	envellecer		V
eh	non	eh	non		PART
eh	é	eh	ser		V
yorgo	george	yorgo	george		PROPN
yorgo	xurxo	yorgo	xurxo		N
misyon	misión	misyon	misión		N
sterlin	libra	sterlin	libra		N
sterlin	kg	sterlin	kg		N
sterlin	quilos	sterlin	quilo		N
sterlin	kilos	sterlin	kilo		N
sterlin	case	sterlin	case		ADV
sterlin	libras	sterlin	libra		N
sterlin	tonelada	sterlin	tonelada		N
sterlin	toneladas	sterlin	tonelada		N
mikrofon	micrófono	mikrofon	micrófono		N
mikrofon	micrófono	mikrofon	micrófono		N
kontrolleri	controla	kontrol	controlar	N;ACC;PL;3	V
aranıyor	que	ara	que	V;PROG;IND;SG;3;POS;INFM;PRS;PASS	PRO
barınma	vivenda	barın	vivenda		N
hüzünlü	tristes	hüzünlü	triste	ADJ	N
internationale	o	internation	o	N;DAT;SG;3	DET
dokunma	tacto	dokun	tacto		N
dokunma	toque	dokun	toque		N
dokunma	contacto	dokun	contacto		N
dokunma	tocar	dokun	tocar		V
dokunma	toques	dokun	toque		N
gebe	embarazada	gebe	embarazar		V
gebe	preñado	gebe	preñar		N
gözyaşları	chorar	gözyaşı	chorar	N;NOM;PL;3	V
dinlemek	a	dinle	o	V;PFV;NOM;IND;POS;PRS;V.MSDR	DET
malesef	desgrazadamente	malesef	desgrazadamente		ADV
malesef	por	malesef	por		ADP
malesef	desgraza	malesef	desgraza		N
malesef	desafortunadamente	malesef	desafortunadamente		ADV
öğrendim	que	öğren	que	V;PFV;IND;SG;1;POS;PST	PRO
kingsley	kingsley	kingsley	kingsley		PROPN
nasil	como	nasil	como		PRO
nasil	que	nasil	que		PRO
nasil	canto	nasil	canto		PRO
çöküntü	crise	çöküntü	crise		N
çöküntü	depresión	çöküntü	depresión		N
robbins	robbins	robbins	robbin		PROPN
durdurur	paradas	dur	parado	V;IPFV;IND;SG;3;POS;CAUS	N
durdurur	se	dur	se	V;IPFV;IND;SG;3;POS;CAUS	CONJ
azaltma	a	azal	o	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	DET
azaltma	redución	azal	redución	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N
azaltma	redución	azal	redución	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N
nörolojik	neurolóxica	nörolojik	neurolóxica		ADJ
obje	obxecto	obje	obxecto		N
obje	que	obje	que		PRO
timsah	crocodilo	timsah	crocodilo		N
kilitli	pechada	kilitli	pechada		V
kilitli	con	kilitli	con		ADP
kilitli	empechar	kilitli	empechar		V
göbek	estómago	göbek	estómago		N
göbek	ventre	göbek	ventrar		N
göbek	barriga	göbek	barriga		N
kaygı	ansiedade	kaygı	ansiedade		N
kandil	lámpada	kandil	lámpada		N
sessizlik	o	sessizlik	o	N;NOM;SG;3	DET
semptomlar	os	semptom	o	N;NOM;PL;3	DET
tanıdık	familiar	tanı	familiar	V;PFV;IND;PL;1;POS;PST	ADJ
tanıdık	familiares	tanı	familiar	V;PFV;IND;PL;1;POS;PST	ADJ
yenidoğan	neuronas	yenidoğan	neurona	PROPN;NOM;SG;3	N
yenidoğan	novas	yenidoğan	novo	PROPN;NOM;SG;3	ADJ
yaratıcılık	a	yaratıcılık	o	N;NOM;SG;3	DET
yaratıcılık	creativo	yaratıcılık	creativo	N;NOM;SG;3	ADJ
yaratıcılık	creativos	yaratıcılık	creativo	N;NOM;SG;3	ADJ
yaratıcılık	creativa	yaratıcılık	creativo	N;NOM;SG;3	ADJ
yaratıcılık	creativas	yaratıcılık	creativo	N;NOM;SG;3	ADJ
faşizm	fascismo	faşizm	fascismo		N
faşizm	o	faşizm	o		DET
eşleşme	mistos	eşleş	misto		N
eşleşme	partidos	eşleş	partido		N
semiz	fats	semiz	fats		PROPN
ateşle	lume	ateş	lume		N
ateşle	fogo	ateş	fogo		N
açlıktan	de	açlık	de	N;AT+ABL;SG;3	ADP
açlıktan	pasando	açlık	pasar	N;AT+ABL;SG;3	V
buruk	amarga	buruk	amargar		ADJ
harcanan	anos	harca	ano	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
kipi	modo	kipi	modo		N
komple	total	komp	total		N
komple	completa	komp	completar		V
komple	completar	komp	completar		V
