להינשא	casatori	ננשא	casator	V;NFIN;MID	
נחמיה	nehemiah	נחמייה	nehemiah	PROPN	
נתפסו	prinsa	נתפס	prinde	V;PL;3;PST;MID	N;DEF;FEM;SG
נתפסו	prins	נתפס	prinde	V;PL;3;PST;MID	ADJ;INDF;MASC;SG
נתפסו	capturat	נתפס	capturat	V;PL;3;PST;MID	ADJ;INDF;MASC;SG
נתפסו	capturata	נתפס	capturat	V;PL;3;PST;MID	N;DEF;FEM;SG
נתפסו	capturate	נתפס	captura	V;PL;3;PST;MID	ADJ;INDF;FEM;PL
מבטיח	promit	הבטיח	promite	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
מבטיח	promite	הבטיח	promite	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
אבירי	galant	אבירי	galant	PROPN	N;INDF;MASC;SG
הרייך	reich	הרייך	reich	PROPN	N;INDF;MASC;SG
קברים	graves	קבר	graves	N;MASC;PL	N;INDF;MASC;SG
שהו	sho	שהו	sho	PROPN	
הכה	hit	הכה	hit	PROPN	N;INDF;MASC;SG
הכה	lovit	הכה	lovi	PROPN	ADJ;INDF;MASC;SG
הכה	loveste	הכה	lovest	PROPN	V;IND;SG;3;PRS;FIN
דמוקרטי	democratice	דמוקרטי	democratic	N;MASC;SG	ADJ;INDF;FEM;PL
דמוקרטי	democratic	דמוקרטי	democratic	N;MASC;SG	ADJ;INDF;MASC;SG
מתחרים	competitori	התחרה	competitor	V;MASC;PL;V.PTCP	N;INDF;MASC;PL
מתחרים	concurenti	התחרה	concurent	V;MASC;PL;V.PTCP	N;INDF;MASC;PL
מתחרים	concurentii	התחרה	concurent	V;MASC;PL;V.PTCP	N;DEF;MASC;PL
מתחרים	concurente	התחרה	concurent	V;MASC;PL;V.PTCP	ADJ;INDF;FEM;PL
אסד	assad	אסאד	assad	PROPN	PROPN
אסד	asad	אסאד	asad	PROPN	PROPN
ליברמן	lieberman	ליברמן	lieberman	PROPN	N;INDF;MASC;SG
ספציפיים	specific	ספציפיים	specific	ADJ;MASC;PL	ADJ;INDF;MASC;SG
ספציפיים	specifica	ספציפיים	specifica	ADJ;MASC;PL	N;DEF;FEM;SG
חוקיים	juridic	חוקי	juridic	ADJ;MASC;PL	ADJ;INDF;MASC;SG
חוקיים	legala	חוקי	legală	ADJ;MASC;PL	ADJ;DEF;FEM;SG
חוקיים	legal	חוקי	legal	ADJ;MASC;PL	ADJ;INDF;MASC;SG
האנס	hans	האנס	hans	PROPN	PROPN
הבלקן	balcani	הבלקן	balcan	PROPN	N;INDF;MASC;SG
הבלקן	balcanii	הבלקן	balcan	PROPN	N;DEF;MASC;PL
כומר	reverend	כומר	revera	PROPN	N;INDF;MASC;SG
כומר	reverendul	כומר	reverend	PROPN	N;DEF;MASC;SG
כומר	popa	כומר	popă	PROPN	PROPN
כומר	preot	כומר	preot	PROPN	N;INDF;MASC;SG
כומר	preotul	כומר	preot	PROPN	N;DEF;MASC;SG
ערפאת	arafat	ערפאת	arafat	PROPN	N;INDF;MASC;SG
ביו	biografia	ביו	biografie		N;DEF;FEM;SG
ביו	biografie	ביו	biografie		N;INDF;FEM;SG
הוותיקן	vaticanul	הוותיקן	vatican	PROPN	N;DEF;MASC;SG
הוותיקן	vaticanului	הוותיקן	vatican	PROPN	N;DEF;MASC;SG
הוותיקן	vatican	הוותיקן	vatican	PROPN	N;INDF;MASC;SG
נמשכת	atrasa	נמשך	atrasă	V;FEM;SG;V.PTCP;MID	N;DEF;FEM;SG
נמשכת	atras	נמשך	atrage	V;FEM;SG;V.PTCP;MID	ADJ;INDF;MASC;SG
נמשכת	atrase	נמשך	atrage	V;FEM;SG;V.PTCP;MID	ADJ;INDF;FEM;PL
גרינברג	greenberg	גרינברג	greenberg	PROPN	N;INDF;MASC;SG
היופי	frumusete	היופי	frumuset	PROPN	N;INDF;FEM;SG
היופי	frumusete	היופי	frumuset	PROPN	N;INDF;FEM;SG
היופי	frumusetea	היופי	frumusete	PROPN	N;DEF;FEM;SG
מורי	maury	מורי	maury		PROPN
מורי	murray	מורי	murray		PROPN
פלילי	infractor	פלילי	infractor	ADJ;MASC;SG	N;INDF;MASC;SG
פלילי	criminal	פלילי	criminal	ADJ;MASC;SG	N;INDF;MASC;SG
פלילי	penal	פלילי	penal	ADJ;MASC;SG	N;INDF;MASC;SG
לייק	lacul	לייק	lac	PROPN	N;DEF;MASC;SG
לייק	lake	לייק	lakă	PROPN	PROPN
לייק	lac	לייק	lac	PROPN	N;INDF;MASC;SG
המסמך	documentul	המסמך	document	PROPN	N;DEF;MASC;SG
המסמך	document	המסמך	document	PROPN	N;INDF;MASC;SG
שותפה	partenere	שותף	partenere	N;FEM;SG	ADJ;INDF;FEM;PL
שותפה	asociat	שותף	asociat	N;FEM;SG	ADJ;INDF;MASC;SG
שותפה	asociaza	שותף	asociază	N;FEM;SG	V;IND;SG;3;IPFV;FIN
שותפה	asociata	שותף	asociat	N;FEM;SG	ADJ;DEF;FEM;SG
במימון	finantate	במימון	finanta	PROPN	ADJ;INDF;FEM;PL
במימון	finantat	במימון	finanta	PROPN	ADJ;INDF;MASC;SG
הומו	homo	הומה	homo		N;INDF;MASC;SG
הומו	homosexual	הומה	homosexual		ADJ;INDF;MASC;SG
הומו	homo	הומה	homo		N;INDF;MASC;SG
הומו	gay	הומה	gay		N;INDF;MASC;SG
מעשים	deeds	מעשה	deeds	N;MASC;PL	N;INDF;MASC;SG
רבן	rabban	רבן	rabban	PROPN	N;INDF;MASC;SG
אובייקט	obiectele	אובייקט	obiect	N;MASC;SG	N;DEF;FEM;PL
אובייקט	obiecte	אובייקט	obiect	N;MASC;SG	N;INDF;FEM;PL
ביג	mare	ביג	mare		ADJ;INDF;MASC;SG
ביג	mari	ביג	mare		ADJ;INDF;PL
ביג	big	ביג	big		N;INDF;MASC;SG
גלן	glen	גלן	glen	PROPN	PROPN
גלן	glenn	גלן	glenn	PROPN	PROPN
הארט	hart	הארט	hart	PROPN	PROPN
תורמים	donatorii	תרם	donator	V;MASC;PL;V.PTCP;ACT	N;DEF;MASC;PL
תורמים	donatori	תרם	donator	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
תורמים	donatorilor	תרם	donator	V;MASC;PL;V.PTCP;ACT	N;DEF;MASC;PL
תורמים	colaboratori	תרם	colaborator	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
תורמים	contribuabili	תרם	contribuabil	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
תורמים	colaboratorii	תרם	colaborator	V;MASC;PL;V.PTCP;ACT	N;DEF;MASC;PL
עוקב	urmaritor	עקב	urmaritor	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
עוקב	adept	עקב	adept	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
עוקב	urmaritori	עקב	urmaritor	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;PL
עוקב	urmarire	עקב	urmarire	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
עוקב	urmarire	עקב	urmarire	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
עוקב	urmarirea	עקב	urmarire	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
מושפע	influentat	הושפע	influenta	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
מושפע	influentat	הושפע	influenta	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
מושפע	afectate	הושפע	afectat	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
מושפע	afectat	הושפע	afecta	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
מושפע	afectata	הושפע	afectată	V;MASC;SG;V.PTCP;PASS	N;DEF;FEM;SG
מושפע	afectata	הושפע	afectată	V;MASC;SG;V.PTCP;PASS	N;DEF;FEM;SG
פיק	pic	פיק	pic	PROPN	ADV
גלילי	cilindrica	גלילי	cilindrică	PROPN	N;DEF;FEM;SG
גלילי	cilindric	גלילי	cilindric	PROPN	ADJ;INDF;MASC;SG
לאונרד	leonard	לאונרד	leonard	PROPN	N;INDF;MASC;SG
מסורתיים	traditional	מסורתי	traditional	ADJ;MASC;PL	ADJ;INDF;MASC;SG
מסורתיים	traditional	מסורתי	traditional	ADJ;MASC;PL	ADJ;INDF;MASC;SG
מסורתיים	traditional	מסורתי	traditional	ADJ;MASC;PL	ADJ;INDF;MASC;SG
מסורתיים	traditionala	מסורתי	traditional	ADJ;MASC;PL	ADJ;DEF;FEM;SG
מלאך	inger	מלאך	inger	PROPN	N;INDF;MASC;SG
מלאך	inger	מלאך	inger	PROPN	N;INDF;MASC;SG
מלאך	angel	מלאך	angel	PROPN	N;INDF;MASC;SG
צוואר	gat	צוואר	gat	PROPN	
צוואר	gat	צוואר	gat	PROPN	
צוואר	gatul	צוואר	gat	PROPN	N;DEF;MASC;SG
רול	rola	רול	rola	PROPN	N;DEF;FEM;SG
רול	roll	רול	roll	PROPN	N;INDF;MASC;SG
חשף	descoperit	חשף	descoperit	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
חשף	dezvaluit	חשף	dezvalui	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
חשף	dezvaluita	חשף	dezvaluita	V;MASC;SG;3;PST;ACT	ADJ;DEF;FEM;SG
חשף	dezvaluit	חשף	dezvalui	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
חשף	dezvaluita	חשף	dezvaluita	V;MASC;SG;3;PST;ACT	ADJ;DEF;FEM;SG
חשף	dezvaluit	חשף	dezvalui	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
מיטשל	mitchell	מיטשל	mitchell	PROPN	PROPN
מיטשל	mitchel	מיטשל	mitchel	PROPN	PROPN
מייצגים	reprezinta	ייצג	reprezinta	V;MASC;PL;V.PTCP;ACT	V;IND;SG;3;IPFV;FIN
מייצגים	reprezinta	ייצג	reprezinta	V;MASC;PL;V.PTCP;ACT	V;IND;SG;3;IPFV;FIN
מייצגים	reprezentand	ייצג	reprezenta	V;MASC;PL;V.PTCP;ACT	
קולומבוס	columbus	קולומבוס	columbus	PROPN	N;INDF;MASC;SG
קולומבוס	columb	קולומבוס	columb	PROPN	PROPN
אמינות	fiabile	אמינות	fiabil	N;FEM;SG	ADJ;INDF;FEM;PL
אמינות	fiabila	אמינות	fiabil	N;FEM;SG	ADJ;DEF;FEM;SG
קדושה	sacre	קדוש	sacru	PROPN	ADJ;INDF;FEM;PL
קדושה	sacru	קדוש	sacru	PROPN	ADJ;INDF;MASC;SG
קדושה	sacra	קדוש	sacră	PROPN	ADJ;DEF;FEM;SG
קדושה	sacra	קדוש	sacră	PROPN	ADJ;DEF;FEM;SG
קדושה	sfant	קדוש	sfant	PROPN	
קדושה	sfanta	קדוש	sfanta	PROPN	N;DEF;FEM;SG
קדושה	sfinte	קדוש	sfânt	PROPN	
קדושה	sfant	קדוש	sfant	PROPN	
קדושה	sfantul	קדוש	sfant	PROPN	N;DEF;MASC;SG
קדושה	sfantul	קדוש	sfant	PROPN	N;DEF;MASC;SG
קדושה	saint	קדוש	saint	PROPN	N;INDF;MASC;SG
המלאכה	atelier	המלאכה	atelier	PROPN	N;INDF;MASC;SG
המלאכה	atelierul	המלאכה	atelier	PROPN	N;DEF;MASC;SG
נעורים	tinerete	נעורים	tânera	N;MASC;PL	
נעורים	tineret	נעורים	tineret	N;MASC;PL	N;INDF;MASC;SG
נעורים	tineretul	נעורים	tineret	N;MASC;PL	N;DEF;MASC;SG
דירה	plate	דירה	plat	N;FEM;SG	ADJ;INDF;FEM;PL
לאופולד	leopold	לאופולד	leopold	PROPN	N;INDF;MASC;SG
ולטר	walther	ולטר	walther	PROPN	PROPN
ולטר	walter	ולטר	walter	PROPN	PROPN
השחר	dawn	השחר	dawn		PROPN
השחר	zorii	השחר	zori		N;DEF;MASC;PL
ליב	liv	ליב	liv	PROPN	N;INDF;MASC;SG
ליב	lib	ליב	lib	PROPN	N;INDF;MASC
השקעה	investitii	השקעה	investitii	N;FEM;SG	N;INDF;FEM;PL
השקעה	investitii	השקעה	investitii	N;FEM;SG	N;INDF;FEM;PL
יוטיוב	youtube	יוטיוב	youtubă	PROPN	
בבלי	babiloniana	בבלי	babilonian	PROPN	N;DEF;FEM;SG
ממונה	superior	מונה	superior	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;CMPR;MASC;SG
ממונה	superioare	מונה	superior	V;MASC;SG;V.PTCP;PASS	
ממונה	superioara	מונה	superiora	V;MASC;SG;V.PTCP;PASS	
ממונה	superiori	מונה	superior	V;MASC;SG;V.PTCP;PASS	N;DEF;MASC;PL
פורה	productiv	פורה	productiv		ADJ;INDF;MASC;SG
פורה	productiva	פורה	productivă		ADJ;DEF;FEM;SG
פורה	fertila	פורה	fertilă		ADJ;DEF;FEM;SG
פורה	fertil	פורה	fertil		ADJ;INDF;MASC;SG
פורה	prolific	פורה	prolific		ADJ;INDF;MASC;SG
פורה	fructuoasa	פורה	fructuosa		ADJ;DEF;FEM;SG
פטרוס	petru	פטרוס	petru	PROPN	
פטרוס	peter	פטרוס	peter	PROPN	PROPN
הווה	cadou	הווה	cadou	PROPN	N;INDF;MASC;SG
הווה	prezente	הווה	prezent	PROPN	V;IND;PL;3;PRS;FIN
הווה	prezentul	הווה	prezent	PROPN	N;DEF;MASC;SG
הווה	prezent	הווה	prezent	PROPN	N;INDF;MASC;SG
הווה	prezenta	הווה	prezent	PROPN	ADJ;DEF;FEM;SG
סכר	dam	סכר	da	N;MASC;SG	
גולדמן	goldman	גולדמן	goldman	PROPN	PROPN
אוריאל	uriel	אוריאל	uriel	PROPN	PROPN
המלווה	companion	המלווה	companion	PROPN	N;INDF;MASC;SG
טורקית	turcesc	תורכי	turcesc	PROPN	ADJ;INDF;MASC;SG
טורקית	turc	תורכי	turc	PROPN	ADJ;INDF;MASC;SG
טורקית	turci	תורכי	turc	PROPN	N;INDF;MASC;PL
טורקית	turca	תורכי	turca	PROPN	N;DEF;FEM;SG
ירה	shot	ירה	shot	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
ירה	impuscat	ירה	impusca	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
ירה	impuscat	ירה	impusca	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
ירה	concediata	ירה	concediat	V;MASC;SG;3;PST;ACT	N;DEF;FEM;SG
ירה	concediat	ירה	concediat	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
גרפי	grafic	גרף	grafic	PROPN	ADV
גרפי	grafica	גרף	grafică	PROPN	N;DEF;FEM;SG
גולדה	golda	גולדה	goldă	PROPN	PROPN
חוש	simt	חוש	simți	PROPN	V;IND;PL;3;PRS;FIN
חוש	sens	חוש	sens	PROPN	N;INDF;MASC;SG
איירון	fier	איירון	fier	PROPN	N;INDF;MASC;SG
איירון	fierul	איירון	fier	PROPN	N;DEF;MASC;SG
אנונימי	anonima	אנונימי	anonimă	ADV	ADJ;DEF;FEM;SG
אנונימי	anonim	אנונימי	anonim	ADV	
אנונימי	anonime	אנונימי	anonim	ADV	N;INDF;FEM;PL
דרווין	darwin	דרווין	darwin	PROPN	PROPN
שרירים	musculare	שריר	muscular	N;MASC;PL	ADJ;INDF;FEM;PL
טובי	toby	טוב	toby	PROPN	PROPN
גבעות	hills	גבעות	hills	N;FEM;PL	PROPN
היידן	hayden	היידן	hayden	PROPN	PROPN
היידן	haydn	היידן	haydn	PROPN	N;INDF;MASC;SG
כתום	orange	כתום	orange		N;INDF;MASC;SG
כתום	portocala	כתום	portocală		N;DEF;FEM;SG
כתום	portocaliu	כתום	portocaliu		ADV
כתום	portocalie	כתום	portocalie		N;INDF;FEM;SG
הלוואי	doresc	הלוואי	dori		V;IND;PL;3;PRS;FIN
פלוס	plus	None	plus		ADV
האירוויזיון	eurovision	האירוויזיון	eurovision	PROPN	N;INDF;MASC;SG
דודה	matusa	דוד	matus		N;DEF;FEM;SG
דודה	matusa	דוד	matus		N;DEF;FEM;SG
דודה	matusa	דוד	matus		N;DEF;FEM;SG
בלוג	blog	בלוג	blog		N;INDF;MASC;SG
בלוג	blogul	בלוג	blog		N;DEF;MASC;SG
בלוג	blogging	בלוג	blogging		N;INDF;MASC;SG
השלם	completa	השלם	completa		ADJ;DEF;FEM;SG
השלם	completa	השלם	completa		ADJ;DEF;FEM;SG
השלם	complete	השלם	complet		ADJ;INDF;FEM;PL
השלם	complet	השלם	complet		ADV
להפיץ	raspandirea	הפיץ	raspandire	V;NFIN;ACT	N;DEF;FEM;SG
להפיץ	raspandire	הפיץ	raspandire	V;NFIN;ACT	N;INDF;FEM;SG
להפיץ	raspandit	הפיץ	raspandi	V;NFIN;ACT	ADJ;INDF;MASC;SG
קה	becca	קה	becca	PROPN	
מחליטה	decide	החליט	decide	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
ולנסיה	valencia	ולנסיה	valencie	PROPN	PROPN
ניגריה	nigeria	ניגריה	nigerie	PROPN	PROPN
מסייעת	ajuta	סייע	ajuta	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;IPFV;FIN
טורקי	torquay	תורכי	torquay	PROPN	PROPN
טורקי	turcesc	תורכי	turcesc	PROPN	ADJ;INDF;MASC;SG
טורקי	turc	תורכי	turc	PROPN	ADJ;INDF;MASC;SG
טורקי	turci	תורכי	turc	PROPN	N;INDF;MASC;PL
טורקי	turca	תורכי	turca	PROPN	N;DEF;FEM;SG
פנייה	pena	פנייה	pena	N;FEM;SG	PROPN
פנייה	pena	פנייה	pena	N;FEM;SG	PROPN
ייל	yale	ייל	yale	PROPN	PROPN
פתאום	brusc	פתאום	brusc		ADV
טרנר	turner	טרנר	turner	PROPN	PROPN
נלחמו	luptat	נלחם	lupta	V;PL;3;PST;MID	ADJ;INDF;MASC;SG
שקול	prudent	שקול	prudent	ADJ;MASC;SG	ADV
שקול	prudenta	שקול	prudent	ADJ;MASC;SG	N;DEF;FEM;SG
דוחה	bruta	דחה	bruta	V;MASC;SG;V.PTCP;ACT	ADJ;DEF;FEM;SG
דוחה	brut	דחה	brut	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
מימוש	rascumpere	מימוש	rascumpere	N;MASC;SG	
ברברוסה	barbarossa	ברברוסה	barbaross	PROPN	N;INDF;MASC;SG
האורך	lungime	האורך	lungime	PROPN	N;INDF;FEM;SG
האורך	lungimea	האורך	lungime	PROPN	N;DEF;FEM;SG
מרפא	vindecator	מרפא	vindecator	PROPN	N;INDF;MASC;SG
מרפא	vindecatoare	מרפא	vindecator	PROPN	ADJ;INDF;FEM
מרפא	leac	מרפא	leac	PROPN	N;INDF;MASC;SG
מרפא	cure	מרפא	cur	PROPN	N;INDF;FEM;PL
מרפא	vindeca	מרפא	vindeca	PROPN	V;IND;SG;3;IPFV;FIN
מרפא	cura	מרפא	cură	PROPN	N;INDF;FEM;SG
נייד	mobile	נייד	mobil	N;MASC;SG	N;INDF;FEM;PL
נייד	portabil	נייד	portabil	N;MASC;SG	ADJ;INDF;MASC;SG
נייד	portabile	נייד	portabil	N;MASC;SG	ADJ;INDF;FEM;PL
קשורות	legate	קשר	legat	V;FEM;PL;V.PTCP;ACT	ADJ;INDF;FEM;PL
איימי	amy	איימי	amy	PROPN	PROPN
נרכש	dobandite	נרכש	dobandi	V;MASC;SG;3;PST;MID	ADJ;INDF;FEM;PL
נרכש	dobandita	נרכש	dobandita	V;MASC;SG;3;PST;MID	ADJ;DEF;FEM;SG
נרכש	dobandit	נרכש	dobandi	V;MASC;SG;3;PST;MID	ADJ;INDF;MASC;SG
נרכש	achizitionat	נרכש	achizitiona	V;MASC;SG;3;PST;MID	ADJ;INDF;MASC;SG
נרכש	cumparata	נרכש	cumparat	V;MASC;SG;3;PST;MID	ADJ;DEF;FEM;SG
נרכש	cumparat	נרכש	cumpara	V;MASC;SG;3;PST;MID	ADJ;INDF;MASC;SG
נרכש	achizitionat	נרכש	achizitiona	V;MASC;SG;3;PST;MID	ADJ;INDF;MASC;SG
נבון	inteligent	נבון	inteligent	PROPN	ADJ;INDF;MASC;SG
נבון	inteligenta	נבון	inteligent	PROPN	N;DEF;FEM;SG
נבון	intelept	נבון	intelept	PROPN	
ונצואלה	venezuelean	ונצואלה	venezuelean	PROPN	ADJ;INDF;MASC;SG
ונצואלה	venezuela	ונצואלה	venezuela	PROPN	N;DEF;FEM;SG
ונצואלה	venezuela	ונצואלה	venezuela	PROPN	N;DEF;FEM;SG
טכניים	tehnica	טכני	tehnică	ADJ;MASC;PL	N;DEF;FEM;SG
טכניים	tehnic	טכני	tehnic	ADJ;MASC;PL	ADJ;INDF;MASC;SG
שומרים	garzi	שמר	garzi	V;MASC;PL;V.PTCP;ACT	N;INDF;FEM;PL
שומרים	paznici	שמר	paznic	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
שומרים	gardienii	שמר	gardian	V;MASC;PL;V.PTCP;ACT	N;DEF;MASC;PL
שומרים	gardieni	שמר	gardian	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
הרקולס	hercules	הרקולס	hercules	PROPN	PROPN
הרקולס	hercule	הרקולס	herc	PROPN	
שמורות	rezervata	שמורה	rezervata	N;FEM;PL	ADJ;DEF;FEM;SG
שמורות	rezervat	שמורה	rezervat	N;FEM;PL	ADJ;INDF;MASC;SG
שמורות	rezervate	שמורה	rezerva	N;FEM;PL	ADJ;INDF;FEM;PL
פלסטיק	plastice	פלסטיק	plastic	PROPN	ADJ;INDF;FEM;PL
פלסטיק	plastic	פלסטיק	plastic	PROPN	N;INDF;MASC;SG
פלסטיק	plasticul	פלסטיק	plastic	PROPN	N;DEF;MASC;SG
פלסטיק	plastic	פלסטיק	plastic	PROPN	N;INDF;MASC;SG
צמצום	inguste	צמצום	ingust	N;MASC;SG	
צמצום	ingusta	צמצום	ingusta	N;MASC;SG	ADJ;DEF;FEM;SG
צמצום	restrange	צמצום	restrange	N;MASC;SG	V;IND;SG;3;PRS;FIN
צמצום	ingust	צמצום	ingust	N;MASC;SG	ADJ;INDF;MASC;SG
הזוכים	invingatori	הזוך	invingator	N;MASC;PL	ADJ;INDF;MASC;PL
מנור	conac	מנור	conac	PROPN	N;INDF;MASC;SG
מנור	manor	מנור	manor	PROPN	N;INDF;MASC;SG
מרגלית	margalit	מרגלית	margalit	PROPN	N;INDF;MASC;SG
בטח	sigur	בטח	sigur		ADV
קלט	intrare	קלט	intrare		N;INDF;FEM;SG
חינם	libera	חינם	liber	PROPN	N;DEF;FEM;SG
חינם	liber	חינם	liber	PROPN	ADV
חינם	liberi	חינם	liber	PROPN	ADJ;INDF;MASC;PL
חינם	free	חינם	free	PROPN	
חינם	gratuit	חינם	gratuit	PROPN	ADJ;INDF;MASC;SG
מקסים	maxim	מקסים	maxim	PROPN	ADJ;INDF;MASC;SG
מקסים	fermecator	מקסים	fermecator	PROPN	ADJ;INDF;MASC;SG
מקסים	fermecatoare	מקסים	fermecatoare	PROPN	ADJ;INDF;FEM
קסטיליה	castilia	קסטיליה	castilia	PROPN	PROPN
רעות	rau	רעות	rau	PROPN	
רעות	bad	רעות	bad	PROPN	N;INDF;MASC;SG
רעות	rau	רעות	rau	PROPN	
רעות	rea	רעות	rău	PROPN	ADJ;INDF;FEM;SG
החלפה	comuta	החלפה	comuta	N;FEM;SG	V;IND;SG;3;IPFV;FIN
חזן	cantor	חזן	cantor	PROPN	N;INDF;MASC;SG
חזן	hazan	חזן	hazan	PROPN	N;INDF;MASC;SG
העקרונות	principiile	העקרונות	princip	PROPN	N;DEF;FEM;PL
העקרונות	principii	העקרונות	princip	PROPN	N;INDF;FEM;PL
פקודות	ordine	פקודה	ordine	N;FEM;PL	N;INDF;FEM;SG
מינימלי	minima	מינימלי	minimă	N;MASC;SG	ADJ;DEF;FEM;SG
מינימלי	minime	מינימלי	minim	N;MASC;SG	ADJ;INDF;FEM;PL
בודדות	singuratic	בודד	singuratic	ADJ;FEM;PL	ADJ;INDF;MASC;SG
בודדות	singur	בודד	singur	ADJ;FEM;PL	ADJ;INDF;MASC;SG
אונו	ono	און	ono	PROPN	PROPN
מוכנה	gata	מוכן	gata	ADJ;FEM;SG	ADV
וינסנט	vincent	וינסנט	vincent	PROPN	PROPN
יפים	frumoasa	יפה	frumos	ADJ;MASC;PL	ADJ;DEF;FEM;SG
יפים	frumos	יפה	frumos	ADJ;MASC;PL	ADJ;INDF;MASC;SG
יפים	frumoasa	יפה	frumos	ADJ;MASC;PL	ADJ;DEF;FEM;SG
קיצונית	radicale	קיצוני	radical	ADV	ADJ;INDF;FEM;PL
קיצונית	radicala	קיצוני	radicală	ADV	ADJ;DEF;FEM;SG
קיצונית	extrema	קיצוני	extrema	ADV	
קיצונית	extrema	קיצוני	extrema	ADV	
קיצונית	extreme	קיצוני	extremă	ADV	
מולדת	patriei	מולדת	patrie	N;FEM;SG	PROPN;DEF;FEM;SG
זוגי	cupluri	זוג	cuplu		N;INDF;FEM;PL
זוגי	cuplurile	זוג	cuplu		N;DEF;FEM;PL
זוגי	cuplurilor	זוג	cuplu		N;DEF;FEM;PL
רוקח	farmacistul	רוקח	farmacist	PROPN	N;DEF;MASC;SG
רוקח	farmacist	רוקח	farmacist	PROPN	N;INDF;MASC;SG
יוטה	utah	יוטה	utah	N;FEM;SG	PROPN
מאלו	malo	מאלו	malo		N;INDF;MASC;SG
אישורים	permise	אישורים	permite	N;MASC;PL	V;IND;SG;3;PST;FIN
מקדוניה	macedonia	מקדוניה	macedonie	PROPN	PROPN
תוקן	reparate	תוקן	repara	V;MASC;SG;3;PST;PASS	ADJ;INDF;FEM;PL
תוקן	reparata	תוקן	reparata	V;MASC;SG;3;PST;PASS	ADJ;DEF;FEM;SG
תוקן	reparat	תוקן	repara	V;MASC;SG;3;PST;PASS	ADJ;INDF;MASC;SG
תוקן	fixa	תוקן	fixa	V;MASC;SG;3;PST;PASS	ADJ;DEF;FEM;SG
תוקן	fix	תוקן	fix	V;MASC;SG;3;PST;PASS	ADJ;INDF;MASC;SG
תוקן	reparat	תוקן	repara	V;MASC;SG;3;PST;PASS	ADJ;INDF;MASC;SG
תוקן	fixat	תוקן	fixat	V;MASC;SG;3;PST;PASS	ADJ;INDF;MASC;SG
תוקן	corectate	תוקן	corecta	V;MASC;SG;3;PST;PASS	ADJ;INDF;FEM;PL
תוקן	corectata	תוקן	corectată	V;MASC;SG;3;PST;PASS	ADJ;DEF;FEM;SG
תוקן	corectat	תוקן	corecta	V;MASC;SG;3;PST;PASS	ADJ;INDF;MASC;SG
רויאל	regal	רויאל	regal	PROPN	ADJ;INDF;MASC;SG
רויאל	regala	רויאל	regală	PROPN	ADJ;DEF;FEM;SG
רויאל	royal	רויאל	royal	PROPN	N;INDF;MASC;SG
גלם	raw	גלם	raw	N;MASC;SG	
גלם	crud	גלם	crud	N;MASC;SG	ADJ;INDF;MASC;SG
יצרני	productiv	יצרן	productiv	PROPN	ADJ;INDF;MASC;SG
יצרני	productiva	יצרן	productivă	PROPN	ADJ;DEF;FEM;SG
יצרני	producatori	יצרן	producator	PROPN	N;INDF;MASC;PL
יצרני	producatorii	יצרן	producatoriu	PROPN	N;DEF;MASC;PL
ביולוגיה	bio	None	bio	N	
מתכנן	planificare	תכנן	planificare	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
מתכנן	planificarea	תכנן	planificare	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
מתכנן	planificator	תכנן	planificator	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
נתקלו	intalnite	נתקל	intalnit	V;PL;3;PST;MID	ADJ;INDF;FEM;PL
