και	si	και	sine	CONJ	
λατινική	latină	λατινικός	latin	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
ολόκληρο	intreg	ολόκληρος	intreg	ADJ;NOM;NEUT;SG	
έκφραση	expresia	έκφραση	expresie	N;ACC;FEM;SG	N;DEF;FEM;SG
έκφραση	exprimare	έκφραση	exprimare	N;ACC;FEM;SG	N;INDF;FEM;SG
έκφραση	expresie	έκφραση	expresie	N;ACC;FEM;SG	N;INDF;FEM;SG
υπολογιστή	calculatorul	υπολογιστής	calculator	N;ACC;MASC;SG	N;DEF;MASC;SG
γνωστοί	cunoscut	γνωστός	cunoscut	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
γνωστοί	cunoscută	γνωστός	cunoscut	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
γνωστοί	cunostinte	γνωστός	cunoaște	ADJ;NOM;MASC;PL	
προσφορά	licitat	προσφορά	licita	N;ACC;FEM;SG	ADJ;INDF;MASC;SG
προσφορά	oferta	προσφορά	ofertă	N;ACC;FEM;SG	N;DEF;FEM;SG
προσφορά	ofertă	προσφορά	ofertă	N;ACC;FEM;SG	N;INDF;FEM;SG
προσφορά	ofer	προσφορά	oferi	N;ACC;FEM;SG	V;IND;SG;1;PRS;FIN
φρούριο	fortăreaţa	φρούριο	fortărea	N;NOM;NEUT;SG	N;DEF;FEM;SG
φρούριο	cetate	φρούριο	cetate	N;NOM;NEUT;SG	
φρούριο	cetatea	φρούριο	cetate	N;NOM;NEUT;SG	N;DEF;FEM;SG
φρούριο	fortareata	φρούριο	fortareat	N;NOM;NEUT;SG	N;DEF;FEM;SG
φρούριο	fortul	φρούριο	fort	N;NOM;NEUT;SG	N;DEF;MASC;SG
παρατηρήσεις	comentariile	παρατήρηση	comentariu	N;NOM;FEM;PL	N;DEF;FEM;PL
δίκη	procesul	δίκη	proces	N;NOM;FEM;SG	N;DEF;MASC;SG
σχόλια	comentariile	σχόλιο	comentariu	N;NOM;NEUT;PL	N;DEF;FEM;PL
άξονα	osie	άξονας	osie	N;ACC;MASC;SG	
άξονα	axă	άξονας	axă	N;ACC;MASC;SG	N;INDF;FEM;SG
άξονα	axul	άξονας	ax	N;ACC;MASC;SG	N;DEF;MASC;SG
άξονα	axă	άξονας	axă	N;ACC;MASC;SG	N;INDF;FEM;SG
άξονα	axa	άξονας	axa	N;ACC;MASC;SG	N;DEF;FEM;SG
νομική	juridice	νομικός	juridic	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
νομική	legale	νομικός	legal	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
νομική	legală	νομικός	legal	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
γράμμα	scrisoare	γράμμα	scrisoare	N;NOM;NEUT;SG	N;INDF;FEM;SG
γράμμα	scrisoarea	γράμμα	scrisoare	N;NOM;NEUT;SG	N;DEF;FEM;SG
γράμμα	literă	γράμμα	literă	N;NOM;NEUT;SG	N;INDF;FEM;SG
υποψηφιότητα	candidatura	υποψηφιότητα	candidatură	N;ACC;FEM;SG	N;DEF;FEM;SG
υποψηφιότητα	nominalizare	υποψηφιότητα	nominalizare	N;ACC;FEM;SG	N;INDF;FEM;SG
υποψηφιότητα	nominalizarea	υποψηφιότητα	nominalizare	N;ACC;FEM;SG	N;DEF;FEM;SG
πνεύμα	spiritul	πνεύμα	spirit	N;NOM;NEUT;SG	N;DEF;MASC;SG
βουνά	munti	βουνό	munti	N;NOM;NEUT;PL	
βουνά	muntii	βουνό	munte	N;NOM;NEUT;PL	N;DEF;MASC;PL
βουνά	munţii	βουνό	munhă	N;NOM;NEUT;PL	N;DEF;MASC;PL
παλιό	old	παλιός	old	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
παλιό	veche	παλιός	vechi	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
παλιό	bătrâne	παλιός	bătrâne	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
τομείς	sectoarele	τομέας	sector	N;NOM;MASC;PL	N;DEF;FEM;PL
έκδοσης	emiterea	έκδοση	emitere	N;GEN;FEM;SG	N;DEF;FEM;SG
συρία	siria	συρία	sirie	PROPN;ACC;FEM;SG	N;DEF;FEM;SG
γενιά	generaţie	γενιά	generaţie	N;NOM;FEM;SG	N;INDF;FEM;SG
γενιά	generație	γενιά	generație	N;NOM;FEM;SG	N;INDF;FEM;SG
γενιά	generarea	γενιά	generare	N;NOM;FEM;SG	N;DEF;FEM;SG
γενιά	generatie	γενιά	generatie	N;NOM;FEM;SG	N;INDF;FEM;SG
κατανομή	detaliere	κατανομή	detaliere	N;NOM;FEM;SG	N;INDF;FEM;SG
κατανομή	alocare	κατανομή	alocare	N;NOM;FEM;SG	N;INDF;FEM;SG
κατανομή	alocarea	κατανομή	alocare	N;NOM;FEM;SG	N;DEF;FEM;SG
κατανομή	distributie	κατανομή	distributie	N;NOM;FEM;SG	N;INDF;FEM;SG
κατανομή	distribuţia	κατανομή	distribugie	N;NOM;FEM;SG	N;DEF;FEM;SG
κατανομή	distribuția	κατανομή	distribuție	N;NOM;FEM;SG	N;DEF;FEM;SG
κατανομή	distribuire	κατανομή	distribuire	N;NOM;FEM;SG	N;INDF;FEM;SG
κατανομή	distribuție	κατανομή	distribuție	N;NOM;FEM;SG	N;INDF;FEM;SG
στίχους	versurile	στίχος	vers	N;ACC;MASC;PL	N;DEF;FEM;PL
κλειστό	închise	κλειστός	închide	N;NOM;NEUT;SG	V;IND;PL;3;PST;FIN
κλειστό	inchis	κλειστός	inchis	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
κλειστό	închisă	κλειστός	închide	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
κλειστό	închis	κλειστός	închis	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
αυτοκίνητο	maşină	αυτοκίνητο	maşină	N;NOM;NEUT;SG	N;INDF;FEM;SG
αυτοκίνητο	mașină	αυτοκίνητο	mașină	N;NOM;NEUT;SG	N;INDF;FEM;SG
αυτοκίνητο	maşina	αυτοκίνητο	mașină	N;NOM;NEUT;SG	N;DEF;FEM;SG
αυτοκίνητο	mașina	αυτοκίνητο	mașină	N;NOM;NEUT;SG	N;DEF;FEM;SG
αυτοκίνητο	masina	αυτοκίνητο	masină	N;NOM;NEUT;SG	N;DEF;FEM;SG
αυτοκίνητο	automobile	αυτοκίνητο	automobil	N;NOM;NEUT;SG	N;INDF;FEM;PL
αυτοκίνητο	automobilul	αυτοκίνητο	automobil	N;NOM;NEUT;SG	N;DEF;MASC;SG
κατάταξη	clasificare	κατάταξη	clasificare	N;ACC;FEM;SG	N;INDF;FEM;SG
κατάταξη	clasificarea	κατάταξη	clasificare	N;ACC;FEM;SG	N;DEF;FEM;SG
κατάταξη	clasamentul	κατάταξη	clasament	N;ACC;FEM;SG	N;DEF;MASC;SG
δικαιοσύνης	dreptate	δικαιοσύνη	dreptate	N;GEN;FEM;SG	N;INDF;FEM;SG
δικαιοσύνης	dreptatea	δικαιοσύνη	dreptate	N;GEN;FEM;SG	N;DEF;FEM;SG
δικαιοσύνης	justiţie	δικαιοσύνη	justiţie	N;GEN;FEM;SG	N;INDF;FEM;SG
δικαιοσύνης	justiție	δικαιοσύνη	justiție	N;GEN;FEM;SG	N;INDF;FEM;SG
μεξικό	mexicul	μεξικό	mexic	PROPN;NOM;NEUT;SG	N;DEF;MASC;SG
μεξικό	mexico	μεξικό	mexico	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
μεξικό	mexic	μεξικό	mexic	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
φυσικός	naturala	φυσικός	natural	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
φυσικός	naturale	φυσικός	natural	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
φυσικός	naturală	φυσικός	natural	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
φυσικός	naturali	φυσικός	natural	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;PL
φυσικός	fizicianul	φυσικός	fizician	ADJ;NOM;MASC;SG	N;DEF;MASC;SG
φυσικός	fizician	φυσικός	fizician	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
τουρνουά	turneul	τουρνο	turneu	N;NOM;NEUT;SG	N;DEF;MASC;SG
τουρνουά	turnee	τουρνο	turnee	N;NOM;NEUT;SG	N;INDF;FEM;PL
σωματεία	sindicatelor	σωματείο	sindicat	N;NOM;NEUT;PL	N;DEF;FEM;PL
σωματεία	sindicatele	σωματείο	sindicat	N;NOM;NEUT;PL	N;DEF;FEM;PL
αντίτυπα	copiile	αντίτυπο	copie	N;NOM;NEUT;PL	N;DEF;FEM;PL
ημερολόγιο	calendarul	ημερολόγιο	calendar	N;NOM;NEUT;SG	N;DEF;MASC;SG
ημερολόγιο	jurnalul	ημερολόγιο	jurnal	N;NOM;NEUT;SG	N;DEF;MASC;SG
ημερολόγιο	jurnalul	ημερολόγιο	jurnal	N;NOM;NEUT;SG	N;DEF;MASC;SG
στατιστικά	statistici	στατιστικός	statistică	ADV	N;INDF;FEM;PL
στατιστικά	statistică	στατιστικός	statistică	ADV	N;INDF;FEM;SG
στατιστικά	statisticile	στατιστικός	statistică	ADV	N;DEF;FEM;PL
στατιστικά	statistica	στατιστικός	statistică	ADV	N;DEF;FEM;SG
συμβολή	contribuind	συμβολή	contribui	N;ACC;FEM;SG	V;V.MSDR
συμβολή	contributie	συμβολή	contributie	N;ACC;FEM;SG	N;INDF;FEM;SG
συμβολή	contribuția	συμβολή	contribuție	N;ACC;FEM;SG	N;DEF;FEM;SG
συμβολή	contribuție	συμβολή	contribuție	N;ACC;FEM;SG	N;INDF;FEM;SG
στυλ	styles	στυλ	styles	N;NOM;NEUT;SG	PROPN
στυλ	stiluri	στυλ	stil	N;NOM;NEUT;SG	N;INDF;FEM;PL
στυλ	stilurile	στυλ	stil	N;NOM;NEUT;SG	N;DEF;FEM;PL
στυλ	stilul	στυλ	stil	N;NOM;NEUT;SG	N;DEF;MASC;SG
τοπικές	localnic	τοπικός	localnic	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
τοπικές	local	τοπικός	local	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
τοπικές	locală	τοπικός	local	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
ρεάλ	real	ρεάλ	real		ADJ;INDF;MASC;SG
ρεάλ	reale	ρεάλ	real		ADJ;INDF;FEM;PL
ρεάλ	reală	ρεάλ	real		ADJ;INDF;FEM;SG
βοήθησε	ajutat	βοηθώ	ajuta	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
κρατών	statele	κράτος	stat	N;GEN;NEUT;PL	N;DEF;FEM;PL
γράφτηκε	scrisa	γράφτω	scrisa	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;DEF;FEM;SG
γράφτηκε	scris	γράφτω	scris	V;PFV;IND;SG;3;PST;FIN;PASS	N;INDF;MASC;SG
γράφτηκε	scrisă	γράφτω	scris	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;FEM;SG
ελβετία	elvetia	ελβετία	elvetia	PROPN;ACC;FEM;SG	N;DEF;FEM;SG
ελβετία	elveţia	ελβετία	elveţia	PROPN;ACC;FEM;SG	PROPN
ελβετία	elveția	ελβετία	elveția	PROPN;ACC;FEM;SG	PROPN
αναζήτηση	căutare	αναζήτηση	căutare	N;NOM;FEM;SG	N;INDF;FEM;SG
αναζήτηση	cautare	αναζήτηση	cautare	N;NOM;FEM;SG	N;INDF;FEM;SG
αναζήτηση	cauta	αναζήτηση	cauta	N;NOM;FEM;SG	V;IND;SG;3;IPFV;FIN
αναζήτηση	caută	αναζήτηση	căuta	N;NOM;FEM;SG	V;IND;3;PRS;FIN
βιομηχανία	industrie	βιομηχανία	industrie	N;NOM;FEM;SG	N;INDF;FEM;SG
βιομηχανία	industria	βιομηχανία	industrie	N;NOM;FEM;SG	N;DEF;FEM;SG
υποστήριξε	susţinut	υποστηρίζω	sushinut	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
υποστήριξε	sprijinit	υποστηρίζω	sprijini	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
υποστήριξε	susținut	υποστηρίζω	susține	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
καλλιτεχνικό	artistice	καλλιτεχνικός	artistic	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
καλλιτεχνικό	artistică	καλλιτεχνικός	artistic	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
τεύχος	problemă	τεύχος	problemă	N;NOM;NEUT;SG	N;INDF;FEM;SG
εσύ	ai	εσύ	avea	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;SG;2
εσύ	te	εσύ	tu	V;IPFV;IND;SG;1;PRS;FIN;ACT	PRO;ACC;SG;2
εσύ	tu	εσύ	tu	V;IPFV;IND;SG;1;PRS;FIN;ACT	PRO;NOM;SG;2
μπάσκετ	basket	μπάσκετ	basket		N;INDF;MASC;SG
μπάσκετ	baschet	μπάσκετ	baschet		N;INDF;MASC;SG
μουσικοί	muzicieni	μουσικός	muzician	ADJ;NOM;MASC;PL	N;INDF;MASC;PL
μουσικοί	muzicienii	μουσικός	muziciene	ADJ;NOM;MASC;PL	N;DEF;MASC;PL
κοιλάδα	valea	κοιλάδα	vale	N;ACC;FEM;SG	N;DEF;FEM;SG
κοιλάδα	valley	κοιλάδα	valley	N;ACC;FEM;SG	PROPN
κοιλάδα	vale	κοιλάδα	vale	N;ACC;FEM;SG	N;INDF;FEM;SG
προϊόν	produsul	προϊόν	produs	N;NOM;NEUT;SG	N;DEF;MASC;SG
προϊόν	produse	προϊόν	produs	N;NOM;NEUT;SG	N;INDF;FEM;PL
παλάτι	palatul	παλάτι	palat	N;NOM;NEUT;SG	N;DEF;MASC;SG
πασά	pasha	πασάς	pasha	N;ACC;MASC;SG	PROPN
συγχώνευση	fuziune	συγχώνευση	fuziune	N;NOM;FEM;SG	N;INDF;FEM;SG
συγχώνευση	fuziunea	συγχώνευση	fuziune	N;NOM;FEM;SG	N;DEF;FEM;SG
συγχώνευση	îmbinare	συγχώνευση	îmbinare	N;NOM;FEM;SG	N;INDF;FEM;SG
συγχώνευση	îmbină	συγχώνευση	îmbina	N;NOM;FEM;SG	V;IND;SG;3;PST;FIN
συγχώνευση	unire	συγχώνευση	unire	N;NOM;FEM;SG	N;INDF;FEM;SG
συγχώνευση	unificare	συγχώνευση	unificare	N;NOM;FEM;SG	N;INDF;FEM;SG
εμπειρία	experiență	εμπειρία	experiență	N;ACC;FEM;SG	N;INDF;FEM;SG
εμπειρία	experiența	εμπειρία	experiență	N;ACC;FEM;SG	N;DEF;FEM;SG
εμπειρία	experienta	εμπειρία	experient	N;ACC;FEM;SG	N;DEF;FEM;SG
σκηνές	scenele	σκηνός	scenă	N;NOM;FEM;PL	N;DEF;FEM;PL
σκηνές	corturile	σκηνός	cort	N;NOM;FEM;PL	N;DEF;FEM;PL
καθ	kath	καθ	kath	ADP	
αθλητικά	sport	αθλητικά	sport	ADV	N;INDF;MASC;SG
αθλητικά	sporturi	αθλητικά	sport	ADV	N;INDF;FEM;PL
χρυσός	aurit	χρυσός	auri	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
χρυσός	auriu	χρυσός	auriu	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
χρυσός	auriu	χρυσός	auriu	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
χρυσός	gold	χρυσός	gold	N;NOM;MASC;SG	
χρυσός	aurul	χρυσός	aur	N;NOM;MASC;SG	N;DEF;MASC;SG
φίλος	prietenă	φίλος	prietenă	N;NOM;MASC;SG	N;INDF;FEM;SG
φίλος	prietene	φίλος	prieten	N;NOM;MASC;SG	N;INDF;FEM;PL
σύγκριση	comparația	σύγκριση	comparație	N;NOM;FEM;SG	N;DEF;FEM;SG
σύγκριση	comparație	σύγκριση	comparație	N;NOM;FEM;SG	N;INDF;FEM;SG
σύγκριση	comparatie	σύγκριση	comparatie	N;NOM;FEM;SG	N;INDF;FEM;SG
σύγκριση	comparaţie	σύγκριση	comparaţie	N;NOM;FEM;SG	N;INDF;FEM;SG
σύγκριση	compararea	σύγκριση	comparare	N;NOM;FEM;SG	N;DEF;FEM;SG
ανακοινώθηκε	anunțat	ανακοινώνω	anunța	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
ανακοινώθηκε	anuntat	ανακοινώνω	anunta	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
περιφέρειες	regiunilor	περιφέρεια	regiune	N;NOM;FEM;PL	N;DEF;FEM;PL
περιφέρειες	regiunile	περιφέρεια	regiune	N;NOM;FEM;PL	N;DEF;FEM;PL
ηττήθηκε	învinsă	ηττώμαι	învinge	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;FEM;SG
ηττήθηκε	învins	ηττώμαι	învins	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
ηττήθηκε	invins	ηττώμαι	invinge	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
ηττήθηκε	înfrânt	ηττώμαι	înfrânt	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;INDF;MASC;SG
δώδεκα	twelve	δώδεκα	twelve	NUM;NOM;MASC;PL	PROPN
δικηγόρος	avocată	δικηγόρος	avocat	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
δικηγόρος	avocatul	δικηγόρος	avocat	N;NOM;MASC;SG	N;DEF;MASC;SG
διεξαγωγή	conduită	διεξαγωγή	conduită	N;ACC;FEM;SG	N;INDF;FEM;SG
διεξαγωγή	conduita	διεξαγωγή	conduita	N;ACC;FEM;SG	N;DEF;FEM;SG
πρίγκιπας	prințul	πρίγκιπας	prinț	N;NOM;MASC;SG	N;DEF;MASC;SG
πρίγκιπας	prinţul	πρίγκιπας	pring	N;NOM;MASC;SG	N;DEF;MASC;SG
οδηγός	ghidul	οδηγός	ghid	N;NOM;MASC;SG	N;DEF;MASC;SG
δρόμος	strada	δρόμος	stradă	N;NOM;MASC;SG	N;DEF;FEM;SG
δρόμος	stradă	δρόμος	stradă	N;NOM;MASC;SG	N;INDF;FEM;SG
δρόμος	drumul	δρόμος	drum	N;NOM;MASC;SG	N;DEF;MASC;SG
τελικός	finală	τελικός	finală	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
τελικός	final	τελικός	final	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
τελικός	finala	τελικός	finală	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
πιστεύεται	crezut	πιστεύεται	crede	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;INDF;MASC;SG
τοπικά	local	τοπικά	local	ADV	ADJ;INDF;MASC;SG
τοπικά	locale	τοπικά	local	ADV	ADJ;INDF;FEM;PL
τοπικά	localnic	τοπικά	localnic	ADV	N;INDF;MASC;SG
τοπικά	local	τοπικά	local	ADV	ADJ;INDF;MASC;SG
τοπικά	locală	τοπικά	local	ADV	ADJ;INDF;FEM;SG
πίστη	credinta	πίστα	credintă	N;NOM;FEM;SG	N;DEF;FEM;SG
πίστη	credința	πίστα	credință	N;NOM;FEM;SG	N;DEF;FEM;SG
πίστη	credință	πίστα	credință	N;NOM;FEM;SG	N;INDF;FEM;SG
πίστη	loialitate	πίστα	loialitate	N;NOM;FEM;SG	N;INDF;FEM;SG
πίστη	loialitatea	πίστα	loialitate	N;NOM;FEM;SG	N;DEF;FEM;SG
παραδοσιακά	traditional	παραδοσιακός	traditional	ADV	ADJ;INDF;MASC;SG
παραδοσιακά	tradiţionale	παραδοσιακός	tradigional	ADV	ADJ;INDF;FEM;PL
παραδοσιακά	tradiţională	παραδοσιακός	tradigional	ADV	ADJ;INDF;FEM;SG
προέλευση	origine	προέλευση	origine	N;ACC;FEM;SG	N;INDF;FEM;SG
προέλευση	originea	προέλευση	origine	N;ACC;FEM;SG	N;DEF;FEM;SG
προέλευση	originile	προέλευση	origine	N;ACC;FEM;SG	N;DEF;FEM;PL
προέλευση	origini	προέλευση	origine	N;ACC;FEM;SG	N;INDF;FEM;PL
ισχυρή	puternica	ισχυρός	puternic	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
διαχείριση	gestionează	διαχείριση	gestiona	N;NOM;FEM;SG	V;IND;3;PRS;FIN
διαχείριση	administrează	διαχείριση	administra	N;NOM;FEM;SG	V;IND;3;PRS;FIN
διαχείριση	administra	διαχείριση	administra	N;NOM;FEM;SG	V;IND;SG;3;IPFV;FIN
διαχείριση	gestionarea	διαχείριση	gestionare	N;NOM;FEM;SG	N;DEF;FEM;SG
διαχείριση	gestionare	διαχείριση	gestionare	N;NOM;FEM;SG	N;INDF;FEM;SG
διαχείριση	conducerea	διαχείριση	conducere	N;NOM;FEM;SG	N;DEF;FEM;SG
διαχείριση	managementul	διαχείριση	management	N;NOM;FEM;SG	N;DEF;MASC;SG
διαχείριση	gestionarea	διαχείριση	gestionare	N;NOM;FEM;SG	N;DEF;FEM;SG
σταδιοδρομία	cariera	σταδιοδρομία	carieră	N;NOM;FEM;SG	N;DEF;FEM;SG
σταδιοδρομία	carieră	σταδιοδρομία	carieră	N;NOM;FEM;SG	N;INDF;FEM;SG
σταδιοδρομία	carierele	σταδιοδρομία	carieră	N;NOM;FEM;SG	N;DEF;FEM;PL
σταδιοδρομία	cariere	σταδιοδρομία	carieră	N;NOM;FEM;SG	N;INDF;FEM;PL
ιράν	iran	ιράν	iran		PROPN
ιράν	iranul	ιράν	iran		N;DEF;MASC;SG
πιθανό	posibile	πιθανός	posibil	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
πιθανό	posibil	πιθανός	posibil	ADJ;NOM;NEUT;SG	ADV
πιθανό	posibila	πιθανός	posibil	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
πιθανό	posibilă	πιθανός	posibil	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
τζορτζ	gheorghe	τζορτζ	gheorghe		PROPN
τζορτζ	george	τζορτζ	george		PROPN
παρουσίασε	prezentat	παρουσιάζω	prezenta	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
παρουσίασε	prezentată	παρουσιάζω	prezentat	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;SG
παρουσίασε	prezentate	παρουσιάζω	prezentat	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;PL
συναυλίες	concertele	συναυλία	concert	N;NOM;FEM;PL	N;DEF;FEM;PL
αίμα	sângele	αίμα	sânge	N;NOM;NEUT;SG	N;DEF;MASC;SG
αίμα	sange	αίμα	sange	N;NOM;NEUT;SG	
ιστορικές	istorică	ιστορικός	istoric	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
ιστορικές	istoric	ιστορικός	istoric	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
αντίστοιχη	corespunzând	αντίστοιχος	corespunde	ADJ;NOM;FEM;SG	V;V.MSDR
ζωγραφική	tablou	ζωγραφικός	tablou	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
ζωγραφική	vopsire	ζωγραφικός	vopsire	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
ζωγραφική	pictura	ζωγραφικός	pictură	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
ζωγραφική	pictură	ζωγραφικός	pictură	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
βελτίωση	îmbunătățirea	βελτίωση	îmbunătățire	N;ACC;FEM;SG	N;DEF;FEM;SG
βελτίωση	îmbunătățiri	βελτίωση	îmbunătățire	N;ACC;FEM;SG	N;INDF;FEM;PL
βελτίωση	îmbunătățiri	βελτίωση	îmbunătățire	N;ACC;FEM;SG	N;INDF;FEM;PL
βελτίωση	ameliorare	βελτίωση	ameliorare	N;ACC;FEM;SG	N;INDF;FEM;SG
βελτίωση	îmbunătățire	βελτίωση	îmbunătățire	N;ACC;FEM;SG	N;INDF;FEM;SG
βέλγιο	belgia	βέλγιο	belgie	PROPN;NOM;NEUT;SG	PROPN
διάμετρος	diametrul	διάμετρος	diametru	N;GEN;FEM;SG	N;DEF;MASC;SG
εξωτερική	externe	εξωτερικός	extern	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
εξωτερική	externi	εξωτερικός	extern	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;PL
εξωτερική	externă	εξωτερικός	extern	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
εξωτερική	exterior	εξωτερικός	exterior	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
υπολογίζεται	calculată	υπολογίζω	calculat	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;INDF;FEM;SG
υπολογίζεται	calculat	υπολογίζω	calcula	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;INDF;MASC;SG
υπολογίζεται	calculate	υπολογίζω	calcula	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;INDF;FEM;PL
κτήριο	clădire	κτήριο	clădire	N;NOM;NEUT;SG	N;INDF;FEM;SG
κτήριο	cladire	κτήριο	cladire	N;NOM;NEUT;SG	N;INDF;FEM;SG
κτήριο	clădirea	κτήριο	clădire	N;NOM;NEUT;SG	N;DEF;FEM;SG
αστυνομία	poliție	αστυνομία	poliție	N;NOM;FEM;SG	N;INDF;FEM;SG
αστυνομία	politia	αστυνομία	politie	N;NOM;FEM;SG	N;DEF;FEM;SG
αστυνομία	poliția	αστυνομία	poliție	N;NOM;FEM;SG	N;DEF;FEM;SG
επιμέλεια	custodia	επιμέλεια	custodie	N;NOM;FEM;SG	N;DEF;FEM;SG
επιμέλεια	custodie	επιμέλεια	custodie	N;NOM;FEM;SG	N;INDF;FEM;SG
πτήση	zborul	πτήση	zbor	N;NOM;FEM;SG	N;DEF;MASC;SG
καρκίνο	cancerul	καρκίνος	cancer	N;ACC;MASC;SG	N;DEF;MASC;SG
αλεξάνδρεια	alexandria	αλεξάνδρεια	alexandrie	N;NOM;FEM;SG	PROPN
στίχοι	versurile	στίχος	vers	N;NOM;MASC;PL	N;DEF;FEM;PL
απευθείας	directa	απευθείας	directa	ADV	ADJ;DEF;FEM;SG
απευθείας	directe	απευθείας	direct	ADV	ADJ;INDF;FEM;PL
απευθείας	directă	απευθείας	direct	ADV	ADJ;INDF;FEM;SG
σύμβολα	simbolurile	σύμβολα	simbol	N;NOM;NEUT;PL	N;DEF;FEM;PL
ρωσικά	rusă	ρωσικός	rus	ADV	ADJ;INDF;FEM;SG
ρωσικά	rusa	ρωσικός	rusa	ADV	N;DEF;FEM;SG
ρωσικά	rus	ρωσικός	rus	ADV	ADJ;INDF;MASC;SG
πρίγκιπα	prințul	πρίγκιπας	prinț	N;ACC;MASC;SG	N;DEF;MASC;SG
πρίγκιπα	prinţul	πρίγκιπας	pring	N;ACC;MASC;SG	N;DEF;MASC;SG
ηλίας	ilias	ηλία	ilias	PROPN;NOM;MASC;SG	PROPN
ηλίας	elijah	ηλία	elijah	PROPN;NOM;MASC;SG	PROPN
ηλίας	ilie	ηλία	ilie	PROPN;NOM;MASC;SG	PROPN
ηλίας	elias	ηλία	elias	PROPN;NOM;MASC;SG	PROPN
φυλή	clanul	φυλή	clan	N;NOM;FEM;SG	N;DEF;MASC;SG
φυλή	tribul	φυλή	trib	N;NOM;FEM;SG	N;DEF;MASC;SG
φυλή	rasa	φυλή	rasă	N;NOM;FEM;SG	N;DEF;FEM;SG
