right	jobbra	righta	jobbra		ADV
zbirko	gyűjtemény	zbirka	gyűjtemény	N;ACC;FEM;SG	N;NOM;SG
zbirko	kollekció	zbirka	kollekció	N;ACC;FEM;SG	N;NOM;SG
oči	szemed	oči	szemed	N;NOM;FEM;PL	N;NOM;SG
oči	szeme	oči	szem	N;NOM;FEM;PL	N;NOM;SG
oči	szem	oči	szem	N;NOM;FEM;PL	
zdravila	drogot	zdravilo	drog	N;NOM;NEUT;PL	N;ACC;SG
zdravila	kábítószer	zdravilo	kábítószer	N;NOM;NEUT;PL	N;NOM;SG
zdravila	drog	zdravilo	drog	N;NOM;NEUT;PL	N;NOM;SG
jacques	jacques	jacques	jacques	N;NOM;MASC;SG	
juan	juan	juan	juan	N;NOM;MASC;SG	
kisline	savat	kislina	sóvat	N;NOM;FEM;PL	N;ACC;SG
kisline	lsd	kislina	lsd	N;NOM;FEM;PL	
kisline	sav	kislina	sav	N;NOM;FEM;PL	N;NOM;SG
kisline	savas	kislina	savas	N;NOM;FEM;PL	
regiji	régió	regija	régió	N;DAT;FEM;SG	N;NOM;SG
regiji	régiók	regija	régió	N;DAT;FEM;SG	N;NOM;PL
jakob	jakob	jakob	ja	N;NOM;MASC;SG	
jakob	jacob	jakob	jac	N;NOM;MASC;SG	
dolina	völgyet	dolina	völyyet	N;NOM;FEM;SG	N;ACC;SG
dolina	völgyben	dolina	völgy	N;NOM;FEM;SG	N;IN+ESS;SG
dolina	valley	dolina	valley	N;NOM;FEM;SG	
starejši	rangidős	star	rangidős	ADJ;NOM;DEF;CMPR;MASC;SG	N;NOM;SG
starejši	senior	star	senior	ADJ;NOM;DEF;CMPR;MASC;SG	
starejši	végzős	star	végzős	ADJ;NOM;DEF;CMPR;MASC;SG	N;NOM;SG
starejši	idős	star	idős	ADJ;NOM;DEF;CMPR;MASC;SG	
starejši	idősek	star	idős	ADJ;NOM;DEF;CMPR;MASC;SG	N;NOM;PL
starejši	idősebbek	star	idős	ADJ;NOM;DEF;CMPR;MASC;SG	N;NOM;PL
javno	nyilvános	javno	nyilvános	ADV	ADJ;NOM;SG
javno	nyilvánosság	javno	nyilvánosság	ADV	N;NOM;SG
javno	nyilvánosan	javno	nyilvános	ADV	ADJ;FRML;SG
javno	publikus	javno	publikus	ADV	
javno	nyilvánosan	javno	nyilvános	ADV	ADJ;FRML;SG
višina	magasság	višina	magasság	N;NOM;FEM;SG	
višina	magasság	višina	magasság	N;NOM;FEM;SG	
alfred	alfred	alfred	alfred	N;NOM;MASC;SG	
južna	dél	južen	dél	ADJ;NOM;FEM;SG	
južna	déli	južen	déli	ADJ;NOM;FEM;SG	
južna	dél	južen	dél	ADJ;NOM;FEM;SG	
južna	délre	južen	délre	ADJ;NOM;FEM;SG	ADV
južna	déli	južen	déli	ADJ;NOM;FEM;SG	
link	link	linka	link	N;NOM;MASC;SG	
link	linket	linka	link	N;NOM;MASC;SG	
link	hivatkozást	linka	hivatkozás	N;NOM;MASC;SG	N;ACC;SG
doline	völgyet	dolina	völyyet	N;NOM;FEM;PL	N;ACC;SG
doline	völgy	dolina	völgy	N;NOM;FEM;PL	N;NOM;SG
doline	völgyben	dolina	völgy	N;NOM;FEM;PL	N;IN+ESS;SG
doline	valley	dolina	valley	N;NOM;FEM;PL	
tisoč	ezer	tisoč	ezer	NUM;ACC;PL	NUM;NOM;SG
heinrich	heinrich	heinrich	heinrich	N;NOM;MASC;SG	
maserati	maserati	maserati	maserati	N;NOM;MASC;PL	
ženska	nö	ženska	nö	N;NOM;FEM;SG	
ženska	nőnemű	ženska	nőnemű	N;NOM;FEM;SG	
ženska	női	ženska	női	N;NOM;FEM;SG	
hill	dombon	hill	dombon	PROPN;NOM;MASC;SG	N;ON+ESS;SG
hill	domb	hill	domb	PROPN;NOM;MASC;SG	N;NOM;SG
hill	hegy	hill	hegy	PROPN;NOM;MASC;SG	N;NOM;SG
hill	dombra	hill	dombra	PROPN;NOM;MASC;SG	N;ON+ALL;SG
hill	hegyen	hill	hegy	PROPN;NOM;MASC;SG	N;ON+ESS;SG
hill	hill	hill	hill	PROPN;NOM;MASC;SG	
pravila	szabály	pravilo	szabály	N;NOM;NEUT;PL	N;NOM;SG
pravila	szabályzat	pravilo	szabályzat	N;NOM;NEUT;PL	N;NOM;SG
slik	képeket	slika	kép	N;GEN;FEM;PL	N;ACC;PL
slik	képek	slika	kép	N;GEN;FEM;PL	N;NOM;PL
slik	fényképek	slika	fénykép	N;GEN;FEM;PL	N;NOM;PL
slik	képeket	slika	kép	N;GEN;FEM;PL	N;ACC;PL
slik	képek	slika	kép	N;GEN;FEM;PL	N;NOM;PL
državo	ország	država	ország	N;ACC;FEM;SG	N;NOM;SG
državo	országban	država	ország	N;ACC;FEM;SG	N;IN+ESS;SG
francoska	francia	francoski	francia	ADJ;NOM;FEM;SG	
francoska	franciák	francoski	francia	ADJ;NOM;FEM;SG	N;NOM;PL
jugoslovanske	jugoszláv	jugoslovanski	jugoszláv	ADJ;NOM;FEM;PL	
črna	fekete	črn	feket	ADJ;NOM;FEM;SG	
črna	black	črn	black	ADJ;NOM;FEM;SG	
tone	tonnában	tona	tonna	N;NOM;MASC;SG	N;IN+ESS;SG
tone	tonnányi	tona	tonnányi	N;NOM;MASC;SG	
tone	tone	tona	tone	N;NOM;MASC;SG	
kraljica	queen	kraljica	ő	N;NOM;FEM;SG	
kraljica	dáma	kraljica	dáma	N;NOM;FEM;SG	
sto	száz	sto	száz	NUM;NOM;PL	NUM;NOM;SG
sto	sto	sto	sto	NUM;NOM;PL	
sto	wto	sto	wto	NUM;NOM;PL	PROPN;NOM;SG
rešitev	megoldást	rešitev	megoldás	N;NOM;FEM;SG	N;ACC;SG
tak	tak	tak	tak	DET;NOM;MASC;SG	
sonce	sun	sonce	sun	N;NOM;NEUT;SG	
italijanska	olasz	italijanski	olasz	ADJ;NOM;FEM;SG	
italijanska	olaszország	italijanski	olaszország	ADJ;NOM;FEM;SG	
mala	mala	mali	mala	ADJ;NOM;FEM;SG	
visoka	high	visok	high	ADJ;NOM;FEM;SG	
visoka	magasan	visok	magasan	ADJ;NOM;FEM;SG	
kislina	savat	kislina	sóvat	N;NOM;FEM;SG	N;ACC;SG
kislina	lsd	kislina	lsd	N;NOM;FEM;SG	
kislina	savas	kislina	savas	N;NOM;FEM;SG	
latinsko	latin	latinsko	latin	ADJ;NOM;NEUT;SG	
latinsko	latinul	latinsko	latinul	ADJ;NOM;NEUT;SG	
dejansko	valóban	dejansko	valóban	ADV	
dejansko	valójában	dejansko	valójában	ADV	N;IN+ESS;SG
dirkah	races	dirka	races	N;ESS;FEM;PL	
dirkah	versenyek	dirka	verseny	N;ESS;FEM;PL	N;NOM;PL
pravljice	mesebeli	pravljica	mesebeli	N;NOM;FEM;PL	ADJ;NOM;SG
pravljice	mese	pravljica	mese	N;NOM;FEM;PL	N;NOM;SG
pravljice	tündérmese	pravljica	tündérmes	N;NOM;FEM;PL	N;NOM;SG
grški	görög	grški	görög	ADJ;NOM;MASC;SG	
tom	tomi	ta	tomi	N;NOM;MASC;SG	
tom	tom	ta	tom	N;NOM;MASC;SG	
kanada	kanada	kanada	kanada	N;NOM;FEM;SG	PROPN;NOM;SG
kanada	kanadai	kanada	kanadai	N;NOM;FEM;SG	ADJ;NOM;SG
par	páros	par	páros	N;NOM;MASC;SG	
par	pár	par	pár	N;NOM;MASC;SG	
ruska	orosz	ruski	orosz	ADJ;NOM;FEM;SG	
ruska	oroszul	ruski	orosz	ADJ;NOM;FEM;SG	
ruska	oroszország	ruski	oroszország	ADJ;NOM;FEM;SG	N;NOM;SG
podobne	hasonló	podoben	hasonló	ADJ;NOM;FEM;PL	ADJ;NOM;SG
podobne	hasonlók	podoben	hasonló	ADJ;NOM;FEM;PL	N;NOM;PL
številni	sok	številen	sok	ADJ;NOM;MASC;PL	
številni	sokan	številen	sokan	ADJ;NOM;MASC;PL	ADV
številni	számos	številen	számos	ADJ;NOM;MASC;PL	
beli	fehér	bel	fehér	ADJ;NOM;DEF;MASC;SG	
pilot	pilot	pilot	pilot	N;NOM;MASC;SG	
količine	mennyiség	količina	mennyiség	N;NOM;FEM;PL	N;NOM;SG
staro	idős	star	idős	ADJ;NOM;NEUT;SG	
staro	régit	star	régit	ADJ;NOM;NEUT;SG	N;ACC;SG
staro	régi	star	régi	ADJ;NOM;NEUT;SG	
staro	öreg	star	öreg	ADJ;NOM;NEUT;SG	
staro	régiek	star	régiek	ADJ;NOM;NEUT;SG	N;NOM;PL
kulturo	tenyésztés	kultura	tenyésztés	N;ACC;FEM;SG	N;NOM;SG
kulturo	kultúra	kultura	kultúra	N;ACC;FEM;SG	N;NOM;SG
dinastije	dinasztia	dinastija	dinasztia	N;NOM;FEM;PL	N;NOM;SG
ladja	hajóval	ladja	hajó	N;NOM;FEM;SG	N;INS;SG
ladja	hajón	ladja	hajó	N;NOM;FEM;SG	
ladja	hajós	ladja	hajós	N;NOM;FEM;SG	
temperature	hőmérséklet	temperatura	hőmérséklet	N;NOM;FEM;PL	N;NOM;SG
temperature	hőmérséklet	temperatura	hőmérséklet	N;NOM;FEM;PL	N;NOM;SG
nekdanji	korábbi	nekdanji	korábbi	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;SG
zmage	győzelem	zmaga	győzelem	N;NOM;FEM;PL	N;NOM;SG
koper	koper	koper	koper	PROPN;NOM;MASC;SG	PROPN;NOM;SG
jordan	jordán	jordan	jorda	N;NOM;MASC;SG	
jordan	jordan	jordan	jordan	N;NOM;MASC;SG	
ivana	ivana	ivan	ivana	N;NOM;MASC;SG	PROPN;NOM;SG
ivana	ivan	ivan	ivan	N;NOM;MASC;SG	PROPN;NOM;SG
ivana	iván	ivan	iván	N;NOM;MASC;SG	
ostanki	maradvány	ostanek	maradvány	N;NOM;MASC;PL	N;NOM;SG
ostanki	maradék	ostanek	maradék	N;NOM;MASC;PL	
ostanki	maradékot	ostanek	maradék	N;NOM;MASC;PL	N;ACC;SG
ostanki	törmelék	ostanek	törmelék	N;NOM;MASC;PL	N;NOM;SG
ostanki	maradék	ostanek	maradék	N;NOM;MASC;PL	
ostanki	maradvány	ostanek	maradvány	N;NOM;MASC;PL	N;NOM;SG
bugatti	bugatti	bugatta	bugatti	N;NOM;MASC;SG	ADJ;NOM;SG
manjša	kisebbet	majhen	kis	ADJ;NOM;CMPR;FEM;SG	N;ACC;SG
manjša	kisebbek	majhen	kis	ADJ;NOM;CMPR;FEM;SG	PRO;NOM;PL;3
manjša	kiskorú	majhen	kiskorú	ADJ;NOM;CMPR;FEM;SG	N;NOM;SG
sodišče	court	sodišče	cour	N;NOM;NEUT;SG	
severne	észak	severen	észak	ADJ;NOM;FEM;PL	
severne	északi	severen	északi	ADJ;NOM;FEM;PL	
kilometrov	miles	kilometer	miles	N;GEN;MASC;PL	
kilometrov	mérföld	kilometer	mérföld	N;GEN;MASC;PL	N;NOM;SG
kilometrov	kilométer	kilometer	kilométer	N;GEN;MASC;PL	N;NOM;SG
herbert	herbert	herbert	herber	N;NOM;MASC;SG	
narave	jelleg	narava	jelleg	N;NOM;FEM;PL	N;NOM;SG
narave	természet	narava	természet	N;NOM;FEM;PL	N;NOM;SG
stalno	állandó	stalno	állandó	ADV	
stalno	folyamatos	stalno	folyamatos	ADV	
dodatno	kiegészítő	dodatno	kiegészítő	ADV	ADJ;NOM;SG
dodatno	további	dodatno	további	ADV	N;NOM;SG
dodatno	ezenfelül	dodatno	ezenfelül	ADV	
dodatno	továbbá	dodatno	továbbá	ADV	
dodatno	extra	dodatno	extra	ADV	
tehnični	műszaki	tehničen	műszaki	ADJ;NOM;MASC;SG	N;NOM;SG
največkrat	főleg	največkrat	főleg	ADV;RL	
največkrat	főként	največkrat	főként	ADV;RL	
največkrat	többnyire	največkrat	többnyir	ADV;RL	
stadion	stadionban	stadion	stadion	N;NOM;MASC;SG	N;IN+ESS;SG
dediščine	örökség	dediščina	örökség	N;NOM;FEM;PL	N;NOM;SG
hrvaške	horvát	hrvaški	horvát	ADJ;NOM;FEM;PL	ADJ;NOM;SG
graf	graf	graf	graf	N;NOM;MASC;SG	
rastlin	üzemek	rastlina	üz	N;GEN;FEM;PL	N;NOM;PL
rastlin	növények	rastlina	növény	N;GEN;FEM;PL	N;NOM;PL
rastlin	növény	rastlina	növény	N;GEN;FEM;PL	N;NOM;SG
nikolaj	nikolai	nikolaj	nikolai	N;NOM;MASC;SG	
nikolaj	nyikolaj	nikolaj	nyikolaj	N;NOM;MASC;SG	
nikolaj	nicolai	nikolaj	nicolai	N;NOM;MASC;SG	
nikolaj	nyikolaj	nikolaj	nyikolaj	N;NOM;MASC;SG	
novak	novak	novak	novak	N;NOM;MASC;SG	
počasi	lassú	počasi	lassú	ADV	
počasi	lassan	počasi	lassú	ADV	ADJ;FRML;SG
počasi	lassan	počasi	lassú	ADV	ADJ;FRML;SG
počasi	könnyű	počasi	könnyű	ADV	
pevec	énekesnő	pevec	énekesnő	N;NOM;MASC;SG	
pevec	singer	pevec	singer	N;NOM;MASC;SG	
planet	planet	planet	planet	N;NOM;MASC;SG	
planet	bolygónak	planet	bolygó	N;NOM;MASC;SG	N;GEN;SG
png	png	png	png	N;NOM;MASC;SG	N;NOM;PL
osem	nyolc	osem	nyolc	NUM;NOM;PL	
energijo	energia	energija	energia	N;ACC;FEM;SG	N;NOM;SG
boga	isten	bog	isten	N;ACC;MASC;SG	N;NOM;SG
vii	vii	viI	vii		
podobna	hasonlóak	podoben	hasonló	ADJ;NOM;FEM;SG	ADJ;NOM;PL
podobna	hasonlók	podoben	hasonló	ADJ;NOM;FEM;SG	N;NOM;PL
svete	szent	svet	szent	ADJ;NOM;FEM;PL	
literarni	irodalmi	literaren	irodalmi	ADJ;NOM;MASC;SG	
vseeno	mindamellett	vseeno	mindamellett	ADV	
vseeno	mindazonáltal	vseeno	mindazonáltal	ADV	CONJ
lewis	lewis	lewis	lewis	PROPN;NOM;MASC;SG	
najmanj	minimum	najmanj	minimum	ADV;RL	
najmanj	minimális	najmanj	minimális	ADV;RL	
najmanj	legkisebb	najmanj	kevés	ADV;RL	ADJ;NOM;RL;SG
najmanj	minimálisan	najmanj	minimális	ADV;RL	
najmanj	legkevesebb	najmanj	kevev	ADV;RL	
najmanj	legkevésbé	najmanj	kevésbé	ADV;RL	
besed	szavakat	beseda	szó	N;GEN;FEM;PL	N;ACC;PL
besed	szavak	beseda	szó	N;GEN;FEM;PL	N;NOM;PL
ameriki	amerika	amerika	amerika	N;DAT;FEM;SG	N;NOM;SG
ameriki	america	amerika	america	N;DAT;FEM;SG	
združene	united	združen	united	ADJ;NOM;FEM;PL;V.PTCP	
združene	egyesült	združen	egyesül	ADJ;NOM;FEM;PL;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
izjemno	rendkívül	izjemno	rendkívül	ADV	
izjemno	figyelemreméltó	izjemno	figyelemreméltó	ADV	ADJ;NOM;SG
izjemno	rendkívüli	izjemno	rendkívüli	ADV	ADJ;NOM;SG
izjemno	kivételes	izjemno	kivételes	ADV	ADJ;NOM;SG
ana	anne	an	az	PROPN;NOM;FEM;SG	
ana	ana	an	ana	PROPN;NOM;FEM;SG	
ana	anna	an	az	PROPN;NOM;FEM;SG	
ana	annának	an	anna	PROPN;NOM;FEM;SG	N;GEN;SG
bus	busszal	bus	busszú	N;NOM;MASC;SG	N;ON+ESS;SG
janko	jancsi	janko	jancsi	PROPN;NOM;MASC;SG	N;NOM;SG
janko	janko	janko	janko	PROPN;NOM;MASC;SG	
use	használat	usa	használat		N;NOM;SG
use	használata	usa	használat		N;NOM;SG
use	felhasználás	usa	felhasználás		N;NOM;SG
use	használni	usa	használ		V;NFIN;ACT
značilno	tipikus	značilen	tipikus	ADJ;NOM;NEUT;SG	
značilno	jellegzetes	značilen	jellegzetes	ADJ;NOM;NEUT;SG	
upor	ellenálló	upor	ellenálló	N;NOM;MASC;SG	
zemljo	föld	zemlja	föld	N;ACC;FEM;SG	N;NOM;SG
zemljo	föld	zemlja	föld	N;ACC;FEM;SG	N;NOM;SG
zemljo	földterület	zemlja	földterület	N;ACC;FEM;SG	N;NOM;SG
zemljo	szárazföld	zemlja	szárazföld	N;ACC;FEM;SG	N;NOM;SG
zemljo	telek	zemlja	tél	N;ACC;FEM;SG	N;NOM;SG
zemljo	földterületek	zemlja	földterület	N;ACC;FEM;SG	N;NOM;PL
glejte	lásd	gledati	lásd	V;IPFV;IMP;PL;2;FIN	
glejte	óra	gledati	óra	V;IPFV;IMP;PL;2;FIN	N;NOM;SG
glejte	vigyázz	gledati	vigyázz	V;IPFV;IMP;PL;2;FIN	V;DEF;IND;SG;1;PRS;FIN;ACT
češki	csehország	češki	csehország	ADJ;NOM;DEF;MASC;SG	
zlati	golden	zlat	golden	ADJ;NOM;DEF;MASC;SG	
zlati	arany	zlat	arany	ADJ;NOM;DEF;MASC;SG	
zlati	arany	zlat	arany	ADJ;NOM;DEF;MASC;SG	
santa	santa	santa	santa	N;NOM;FEM;SG	
santa	télapó	santa	télapó	N;NOM;FEM;SG	
will	will	will	will		
will	fog	will	fog		V;INDF;IND;SG;3;PRS;ACT
will	akarat	will	akarat		N;NOM;SG
daleč	far	daleč	far	ADV	
daleč	messze	daleč	messze	ADV	
daleč	messzire	daleč	messzire	ADV	
redno	rendszeresen	redno	rendszeres	ADV	ADJ;FRML;SG
redno	rendszeresen	redno	rendszeres	ADV	ADJ;FRML;SG
redno	rendszeres	redno	rendszeres	ADV	
redno	normál	redno	normál	ADV	
rok	rok	rok	rok	N;NOM;MASC;SG	
rok	határidőt	rok	határidő	N;NOM;MASC;SG	N;ACC;SG
rok	határidőre	rok	határidőr	N;NOM;MASC;SG	N;ON+ALL;SG
morala	morál	morati	morál	V;IPFV;FEM;SG;V.PTCP	N;NOM;SG
morala	erkölcs	morati	erkölcs	V;IPFV;FEM;SG;V.PTCP	N;NOM;SG
orožja	fegyver	orožje	fegyver	N;GEN;NEUT;SG	N;NOM;SG
orožja	fegyverek	orožje	fegyver	N;GEN;NEUT;SG	N;NOM;PL
majhen	kicsik	majhen	kicsik	ADJ;NOM;INDF;MASC;SG	
majhen	kicsi	majhen	kicsi	ADJ;NOM;INDF;MASC;SG	
filozofski	filozófiai	filozofski	filozófiai	ADJ;NOM;MASC;SG	N;NOM;SG
www	www	www	www	N;NOM;MASC;SG	
martina	martina	martina	martina	N;ACC;MASC;SG	
martina	márton	martina	márt	N;ACC;MASC;SG	
martina	martin	martina	martin	N;ACC;MASC;SG	
heer	heer	herra	heer	PROPN;NOM;MASC;SG	
visoki	magas	visok	magas	ADJ;NOM;MASC;PL	ADJ;NOM;SG
radio	rádiós	radio	rádiós	N;NOM;MASC;SG	
radio	radio	radio	radio	N;NOM;MASC;SG	
goriva	tüzelőanyag	gorivo	tüzelőanyag	N;GEN;NEUT;SG	N;NOM;SG
goriva	üzemanyag	gorivo	üzemanyag	N;GEN;NEUT;SG	N;NOM;SG
goriva	tüzelőanyagok	gorivo	tüzelőanyag	N;GEN;NEUT;SG	N;NOM;PL
goriva	üzemanyagok	gorivo	üzemanyag	N;GEN;NEUT;SG	N;NOM;PL
carl	carl	carl	carl	PROPN;NOM;MASC;SG	
površino	felszín	površina	felszín	N;ACC;FEM;SG	N;NOM;SG
površino	felület	površina	felület	N;ACC;FEM;SG	N;NOM;SG
površino	felszíni	površina	fel+színi	N;ACC;FEM;SG	N;NOM;SG
jones	jones	jones	jones	PROPN;NOM;MASC;SG	
sprejet	elfogadva	sprejet	elfogadva	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADV;V.CVB
sprejet	elfogadott	sprejet	el+fogadott	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
sprejet	elfogadta	sprejet	el+fogad	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
sprejet	elismerte	sprejet	elismer	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
sprejet	beismerte	sprejet	beismer	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
sprejet	elfogadva	sprejet	elfogadva	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADV;V.CVB
sprejet	elfogadott	sprejet	el+fogadott	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
zaščito	védelme	zaščita	védelem	N;ACC;FEM;SG	N;NOM;SG
zaščito	védelem	zaščita	védelem	N;ACC;FEM;SG	N;NOM;SG
zaščito	oltalom	zaščita	oltalom	N;ACC;FEM;SG	
galerija	galériában	galerija	galéria	N;NOM;FEM;SG	N;IN+ESS;SG
tretja	harmadik	tretji	harmadik	ADJ;NOM;FEM;SG	
tretja	harmadszor	tretji	harmadszor	ADJ;NOM;FEM;SG	
tekme	játék	tekma	játék	N;NOM;FEM;PL	N;NOM;SG
ferdinand	ferdinand	ferdinand	ferdinand	N;NOM;MASC;SG	
proizvodnjo	előállítás	proizvodnja	előállítás	N;ACC;FEM;SG	N;NOM;SG
proizvodnjo	gyártás	proizvodnja	gyártás	N;ACC;FEM;SG	N;NOM;SG
proizvodnjo	termelés	proizvodnja	termelés	N;ACC;FEM;SG	N;NOM;SG
proizvodnjo	termelési	proizvodnja	termelési	N;ACC;FEM;SG	ADJ;NOM;SG
roke	fegyvert	roka	fegyver	N;NOM;FEM;PL	N;ACC;SG
roke	karokat	roka	karok	N;NOM;FEM;PL	N;ACC;PL
roke	kar	roka	kar	N;NOM;FEM;PL	N;NOM;SG
roke	kéz	roka	kéz	N;NOM;FEM;PL	N;NOM;SG
križ	cross	križ	cross	N;NOM;MASC;SG	
križ	keresztbe	križ	keresztbe	N;NOM;MASC;SG	
določeno	megadott	določen	megadott	ADJ;NOM;NEUT;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
določeno	meghatározott	določen	meghatározott	ADJ;NOM;NEUT;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
določeno	megadva	določen	megadva	ADJ;NOM;NEUT;SG;V.PTCP	ADV;V.CVB
rekord	rekord	rekord	rekord	N;NOM;MASC;SG	
klavir	zongorát	klavir	zongora	N;NOM;MASC;SG	N;ACC;SG
klavir	zongorán	klavir	zongora	N;NOM;MASC;SG	N;ON+ESS;SG
klavir	zongora	klavir	zongor	N;NOM;MASC;SG	
spomin	emlékek	spomin	emlék	N;NOM;MASC;SG	N;NOM;PL
kip	kip	kip	kip	N;NOM;MASC;SG	
kip	szobrok	kip	szobor	N;NOM;MASC;SG	N;NOM;PL
kip	szobrot	kip	szobor	N;NOM;MASC;SG	N;ACC;SG
christian	keresztény	christian	keresztény	PROPN;NOM;MASC;SG	
christian	christian	christian	christian	PROPN;NOM;MASC;SG	
christian	keresztények	christian	keresztény	PROPN;NOM;MASC;SG	N;NOM;PL
ludvik	louis	ludvik	louis	N;NOM;MASC;SG	
ludvik	lajos	ludvik	lajos	N;NOM;MASC;SG	
ludvik	ludwig	ludvik	lud	N;NOM;MASC;SG	
glavo	fejléc	glava	fejléc	N;ACC;FEM;SG	N;NOM;SG
glavo	fejes	glava	fejes	N;ACC;FEM;SG	
glavo	fej	glava	fej	N;ACC;FEM;SG	N;NOM;SG
mladi	fiatalok	mlad	fiatal	ADJ;NOM;MASC;PL	N;NOM;PL
mladi	fiatal	mlad	fiatal	ADJ;NOM;MASC;PL	
mladi	fiatalos	mlad	fiatalos	ADJ;NOM;MASC;PL	ADJ;NOM;SG
union	union	union	union	N;NOM;MASC;SG	
union	unió	union	unió	N;NOM;MASC;SG	PROPN;NOM;SG
union	unión	union	unió	N;NOM;MASC;SG	
union	uniós	union	uniós	N;NOM;MASC;SG	ADJ;NOM;SG
drama	drama	drama	drama	N;NOM;FEM;SG	
komisija	jutalékot	komisija	jutalék	N;NOM;FEM;SG	N;ACC;SG
kitajska	porcelán	kitajski	porcela	ADJ;NOM;FEM;SG	N;NOM;SG
kitajska	kína	kitajski	kína	ADJ;NOM;FEM;SG	PROPN;NOM;SG
kitajska	china	kitajski	china	ADJ;NOM;FEM;SG	
kitajska	kínai	kitajski	kínai	ADJ;NOM;FEM;SG	
kitajska	kínaiak	kitajski	kínai	ADJ;NOM;FEM;SG	N;NOM;PL
berlin	berlin	berlin	berlin	N;NOM;MASC;SG	PROPN;NOM;SG
berlin	berlinben	berlin	berlin	N;NOM;MASC;SG	
berlin	berlini	berlin	berlini	N;NOM;MASC;SG	
javnosti	nyilvános	javnost	nyilvános	N;GEN;FEM;SG	ADJ;NOM;SG
javnosti	nyilvánosság	javnost	nyilvánosság	N;GEN;FEM;SG	N;NOM;SG
javnosti	nyilvánosan	javnost	nyilvános	N;GEN;FEM;SG	ADJ;FRML;SG
javnosti	publikus	javnost	publikus	N;GEN;FEM;SG	
ustvaril	létrehozott	ustvariti	létrehozott	V;PFV;MASC;SG;V.PTCP	N;ACC;SG
ustvaril	létrehozva	ustvariti	létrehozva	V;PFV;MASC;SG;V.PTCP	N;NOM;SG
premer	átmérőjű	premer	átmérőjű	N;NOM;MASC;SG	ADJ;NOM;SG
robu	edge	rob	edge	N;DAT;MASC;SG	
višje	feljebb	visok	fől	ADJ;NOM;CMPR;NEUT;SG	ADV
karla	karla	karl	karla	N;ACC;MASC;SG	
viktor	victor	viktor	victor	N;NOM;MASC;SG	
viktor	viktor	viktor	viktor	N;NOM;MASC;SG	
viktor	viktor	viktor	viktor	N;NOM;MASC;SG	
jeseni	ősz	jeseni	ősz	ADV	
jeseni	őszi	jeseni	őszi	ADV	
povišan	hirdetett	povišan	hirdet	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
povišan	emelkedett	povišan	emelkedik	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
povišan	megemelkedett	povišan	megemelkedik	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
mestne	városi	mesten	városi	ADJ;NOM;FEM;PL	ADJ;NOM;SG
izbrana	választott	izbran	választott	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
izbrana	kiválasztottak	izbran	ki+választ	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;PL;3;PST;FIN;ACT
izbrana	kiválasztott	izbran	kiválasztott	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
izbrana	kijelölt	izbran	kijelölt	ADJ;NOM;FEM;SG;V.PTCP	
izbrana	kiválasztva	izbran	kiválasztva	ADJ;NOM;FEM;SG;V.PTCP	ADV;V.CVB
izbrana	kiválasztott	izbran	kiválasztott	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
josef	josef	josef	josef	PROPN;NOM;MASC;SG	
osi	tengelyek	osi	tengely	N;NOM;MASC;SG	N;NOM;PL
osi	tengelyek	osi	tengely	N;NOM;MASC;SG	N;NOM;PL
finale	döntő	finale	döntő	N;NOM;MASC;SG	ADJ;NOM;SG
finale	vizsgák	finale	vizsga	N;NOM;MASC;SG	N;NOM;PL
loc	loc	loc	loc	N;NOM;FEM;SG	
štefan	stephen	štefan	stephen	N;NOM;MASC;SG	
štefan	istván	štefan	istván	N;NOM;MASC;SG	
ljubezni	szeretettel	ljubezen	szeretet	N;GEN;FEM;SG	N;INS;SG
ljubezni	love	ljubezen	love	N;GEN;FEM;SG	
ljubezni	szeretet	ljubezen	szeretet	N;GEN;FEM;SG	N;NOM;SG
ljubezni	szerelem	ljubezen	szerelem	N;GEN;FEM;SG	N;NOM;SG
