से	از	से	از		ADP
यूरोपीय	جاده	यूरोपीय	جاده	PROPN;NOM;SG;3	N;SG
यूरोपीय	اروپایی	यूरोपीय	اروپایی	PROPN;NOM;SG;3	N;SG
साधारण	ساده	साधारण	ساده	PROPN;NOM;MASC;SG;3	ADJ
साधारण	جزیی	साधारण	جزیی	PROPN;NOM;MASC;SG;3	N;SG
साधारण	سهل	साधारण	سهل	PROPN;NOM;MASC;SG;3	N;SG
साधारण	عمومی	साधारण	عمومی	PROPN;NOM;MASC;SG;3	ADJ
साधारण	ژنرال	साधारण	ژنرال	PROPN;NOM;MASC;SG;3	N;SG
साधारण	جنرال	साधारण	جنرال	PROPN;NOM;MASC;SG;3	N;SG
देखने	مشاهده	देख	مشاهده	V;ACC;NFIN;ACT	N;SG
देखने	مشاهدۀ	देख	مشاهدۀ	V;ACC;NFIN;ACT	N;SG
पंजाब	پنجاب	पंजाब	پنجاب	PROPN;NOM;MASC;SG;3	N;SG
दक्षिणी	جنوب	दक्षिणी	جنوب	PROPN;NOM;MASC;SG;3	N;SG
दक्षिणी	جنوبی	दक्षिणी	جنوبی	PROPN;NOM;MASC;SG;3	N;SG
दक्षिणी	ساوت	दक्षिणी	ساوت	PROPN;NOM;MASC;SG;3	N;SG
दक्षिणी	جنوب	दक्षिणी	جنوب	PROPN;NOM;MASC;SG;3	N;SG
दक्षिणी	جنوبی	दक्षिणी	جنوبی	PROPN;NOM;MASC;SG;3	N;SG
बैंड	b	बैंड	b	N;NOM;MASC;SG;3	INTJ
नया	تازه	नया	تازه	ADJ;NOM;MASC;SG	ADV
नया	نیو	नया	نیو	ADJ;NOM;MASC;SG	N;SG
सूर्य	سان	सूर्य	سان	N;NOM;MASC;SG;3	
समुदाय	جوامع	समुदाय	جامعه	N;NOM;MASC;SG;3	N;PL
समुदाय	اجتماعات	समुदाय	اجتماع	N;NOM;MASC;SG;3	N;PL
मान	مقادیر	मान	مقدار	V;SG;FIN;ACT	N;PL
मान	ارزشها	मान	ارزش	V;SG;FIN;ACT	N;PL
टीवी	تلویزیونی	टीवी	تلویزیونی	N;NOM;MASC;SG;3	ADJ
हाल	اخیر	हाल	اخیر	N;NOM;MASC;SG;3	ADJ
चला	اجرا	चल	اجرا	V;PFV;MASC;SG;V.PTCP;ACT	N;SG
पक्ष	کنار	पक्ष	کنار	N;NOM;MASC;SG;3	ADP
दृश्य	نماها	दृश्य	نما	N;NOM;MASC;SG;3	N;PL
दृश्य	بازدیدهای	दृश्य	بازدید	N;NOM;MASC;SG;3	N;PL
दृश्य	نماهای	दृश्य	نما	N;NOM;MASC;SG;3	N;PL
दृश्य	نمایان	दृश्य	نمایان	N;NOM;MASC;SG;3	ADJ
दृश्य	نما	दृश्य	نما	N;NOM;MASC;SG;3	
भोजन	غذاها	भोजन	غذا	N;NOM;MASC;SG;3	N;PL
भोजन	غذاهای	भोजन	غذا	N;NOM;MASC;SG;3	N;PL
शिव	شیوا	शिव	شیوا	PROPN;NOM;MASC;SG;3	N;SG
मॉडल	مدلهای	मॉडल	مدل	N;NOM;MASC;SG;3	N;PL
मुंबई	بمبئی	मुंबई	بمبئی	PROPN;NOM;FEM;SG;3	N;SG
मिलियन	میلان	मिलियन	None		N;SG
मिलियन	میلیون	मिलियन	میلیون		NUM
मिलियन	میلیونی	मिलियन	میلیونی		N;SG
मिलियन	ملیون	मिलियन	ملیون		N;SG
पांच	فایو	पांच	فایو	NUM	N;SG
संचालित	تدابیر	संचालित	None	ADJ	N;PL
संचालित	پاور	संचालित	پاور	ADJ	N;SG
संचालित	powered	संचालित	powered	ADJ	
वहां	آنجا	वहाँ	آنجا	PRO;NOM	ADV;ESS
मन	مان	मन	ما	N;NOM;MASC;SG;3	PRO;PL;1
उम्र	age	उम्र	age	N;NOM;FEM;SG;3	
सागर	دریا	सागर	دریا	PROPN;NOM;MASC;SG;3	N;SG
सागर	دریای	सागर	دریا	PROPN;NOM;MASC;SG;3	N;SG
सागर	بحر	सागर	بحر	PROPN;NOM;MASC;SG;3	
सक्रिय	صفت	सक्रिय	صفت	ADJ	N;SG
आया	aya	आ	aya	V;PFV;MASC;SG;V.PTCP;ACT	
आया	ایا	आ	ایا	V;PFV;MASC;SG;V.PTCP;ACT	
निश्चित	یقین	निश्चित	None	ADJ;NOM	N;SG
छोड़	اسکیپ	छोड	اسکیپ	V;ACT	N;SG
छोड़	پرش	छोड	None	V;ACT	N;SG
छोड़	رها	छोड	رها	V;ACT	N;SG
छोड़	برار	छोड	برار	V;ACT	
छोड़	ترک	छोड	ترک	V;ACT	N;SG
जर्मनी	آلمان	जर्मनी	آلمان	PROPN;NOM;MASC;SG;3	N;SG
जर्मनी	آلمانی	जर्मनी	آلمانی	PROPN;NOM;MASC;SG;3	N;SG
जर्मनी	آلمان	जर्मनी	آلمان	PROPN;NOM;MASC;SG;3	N;SG
लंदन	لندن	लंदन	لندن	PROPN;NOM;MASC;SG;3	N;SG
लंदन	london	लंदन	None	PROPN;NOM;MASC;SG;3	N;SG
जापान	ژاپن	जापान	ژاپن	PROPN;NOM;MASC;SG;3	N;SG
वस्तु	مواد	वस्तु	ماده	N;NOM;FEM;SG;3	N;PL
वस्तु	مصالح	वस्तु	مصالح	N;NOM;FEM;SG;3	N;PL
वस्तु	اشیاء	वस्तु	شیء	N;NOM;FEM;SG;3	N;PL
वस्तु	اجسام	वस्तु	اجسام	N;NOM;FEM;SG;3	N;PL
वस्तु	اشیا	वस्तु	اشیا	N;NOM;FEM;SG;3	N;PL
जीत	پیروز	जीत	پیروز	N;NOM;FEM;SG;3	ADJ
जीत	برد	जीत	برد#بر	N;NOM;FEM;SG;3	V;SG;3;PST
राज्यों	راجکوت	राज्य	راجکوت	N;ACC;MASC;PL;3	N;SG
विजेता	برندگان	विजेता	برنده	N;NOM;MASC;SG;3	N;PL
बाजार	بازارها	बाजार	بازار	N;NOM;MASC;SG;3	N;PL
बाजार	بازارهای	बाजार	بازار	N;NOM;MASC;SG;3	N;PL
कविता	شعری	कविता	شعر	PROPN;NOM;FEM;SG;3	N;SG
कविता	شعر	कविता	شعر	PROPN;NOM;FEM;SG;3	N;SG
कविता	شعر	कविता	شعر	PROPN;NOM;FEM;SG;3	N;SG
तरफ	کنار	तरफ	کنار	ADV;NOM;FEM;SG;3	ADP
तरफ	پهلو	तरफ	پهلو	ADV;NOM;FEM;SG;3	N;SG
तरफ	طرف	तरफ	طرف	ADV;NOM;FEM;SG;3	N;SG
दिसंबर	دسامبر	दिसंबर	دسامبر	PROPN;NOM;MASC;SG;3	N;SG
दिसंबर	dec	दिसंबर	dec	PROPN;NOM;MASC;SG;3	N;SG
दिसंबर	دکلان	दिसंबर	دکل	PROPN;NOM;MASC;SG;3	N;SG
खान	khan	खान	khan	PROPN;NOM;MASC;SG;3	N;SG
खान	خان	खान	خان	PROPN;NOM;MASC;SG;3	N;SG
खान	هانگ	खान	هانگ	PROPN;NOM;MASC;SG;3	N;SG
वास्तविक	رئال	वास्तविक	رئال	ADJ;NOM	N;SG
वास्तविक	حقیقی	वास्तविक	حقیقی	ADJ;NOM	N;SG
चैनल	کانالها	चैनल	کانال	N;NOM;MASC;SG;3	N;PL
चैनल	کانالهای	चैनल	کانال	N;NOM;MASC;SG;3	N;PL
उत्पाद	محصولاتی	उत्पाद	محصول	N;NOM;MASC;SG;3	N;PL
उत्पाद	محصولات	उत्पाद	محصول	N;NOM;MASC;SG;3	N;PL
सात	هفتم	सात	هفتم	NUM	ADJ
आरंभ	شروع	आरम्भ	شروع		N;SG
आरंभ	آغاز	आरम्भ	آغاز		N;SG
योग्य	شایستگی	योग्य	شایستگی	ADJ	N;SG
योग्य	انتخابش	योग्य	انتخابش	ADJ	N;SG
समुद्र	دریاها	समुद्र	دریا	N;NOM;MASC;SG;3	N;PL
समुद्र	بحر	समुद्र	بحر	N;NOM;MASC;SG;3	
समाचार	اخبار	समाचार	خبر	N;NOM;MASC;SG;3	N;PL
समाचार	اخباری	समाचार	اخباری	N;NOM;MASC;SG;3	N;PL
वीडियो	ویدئوهای	वीडियो	ویدئو	N;NOM;MASC;SG;3	N;PL
वीडियो	ویدیوها	वीडियो	ویدیو	N;NOM;MASC;SG;3	N;PL
वीडियो	ویدیوهای	वीडियो	ویدیو	N;NOM;MASC;SG;3	N;PL
वन	فارست	वन	فارست		N;SG
वन	جنگل	वन	جنگل		N;SG
वन	جنگلی	वन	جنگلی		N;SG
मत	رای	मत	None		N;SG
मत	رأی	मत	رأی		N;SG
संभव	امکان	संभव	امکان	ADJ	N;SG
घटना	پدیدهای	घटना	پدید	N;NOM;FEM;SG;3	N;PL
रोचक	جالب	रोचक	جالب	PROPN;NOM;MASC;SG;3	ADJ
रोचक	جالبی	रोचक	جالب	PROPN;NOM;MASC;SG;3	N;SG
रोचक	جالبه	रोचक	جالبه	PROPN;NOM;MASC;SG;3	N;SG
अरब	عربستان	अरब	عربستان	PROPN;NOM;MASC;SG;3	N;SG
अरब	عرب	अरब	عرب	PROPN;NOM;MASC;SG;3	N;SG
अरब	عربها	अरब	عرب	PROPN;NOM;MASC;SG;3	N;PL
अरब	میلیارد	अरब	میلیارد	PROPN;NOM;MASC;SG;3	N;SG
अरब	بیلیون	अरब	بیلیون	PROPN;NOM;MASC;SG;3	N;SG
चरण	مراحل	चरण	مرحله	N;NOM;MASC;SG;3	N;PL
चरण	گامهای	चरण	گام	N;NOM;MASC;SG;3	N;PL
चल	چال	चल	چال	V;ACT	N;SG
विरोध	اعتراضات	विरोध	اعتراض	N;NOM;MASC;SG;3	N;PL
विरोध	اعتراضات	विरोध	اعتراض	N;NOM;MASC;SG;3	N;PL
विरोध	مخالفین	विरोध	مخالف	N;NOM;MASC;SG;3	N;PL
विरोध	درگیریهای	विरोध	درگیری	N;NOM;MASC;SG;3	N;PL
ज्ञात	دانسته	ज्ञात	دانست#دان		V;SG;3;V.PTCP
ज्ञात	معلوم	ज्ञात	معلوم		ADJ
अंतर	تفاوت	अंतर	تفاوت		N;SG
अंतर	فرق	अंतर	فرق		N;SG
अनुभव	تجارب	अनुभव	تجارب	N;NOM;MASC;SG;3	N;PL
अनुभव	تجربیات	अनुभव	تجربه	N;NOM;MASC;SG;3	N;PL
सीमित	باریکه	सीमित	باریکه	ADJ	N;SG
सीमित	باریک	सीमित	باریک	ADJ	N;SG
काव्य	شاعرانه	काव्य	شاعرانه	N;NOM;MASC;SG;3	ADJ
छोटा	small	छोटा	small	ADJ;NOM;MASC;SG	
छोटा	کوچکی	छोटा	کوچک	ADJ;NOM;MASC;SG	N;SG
छोटा	اسمال	छोटा	اسمال	ADJ;NOM;MASC;SG	N;SG
छोटा	لیتل	छोटा	لیتل	ADJ;NOM;MASC;SG	N;SG
छोटा	کوچولو	छोटा	کوچولو	ADJ;NOM;MASC;SG	N;SG
छोटा	کوتاهی	छोटा	کوتاه	ADJ;NOM;MASC;SG	N;SG
छोटा	تاینی	छोटा	تاینی	ADJ;NOM;MASC;SG	N;SG
छोटा	ریز	छोटा	ریز	ADJ;NOM;MASC;SG	N;SG
संपादन	تدوینگران	संपादन	تدوینگر	N;NOM;MASC;SG;3	N;PL
औसत	متوسط	औसत	متوسط	N;NOM;MASC;SG;3	ADJ
विश्वास	تراست	विश्वास	تراست	N;NOM;MASC;SG;3	
जर्मन	آلمان	जर्मन	آلمان	PROPN;NOM;MASC;SG;3	N;SG
जर्मन	آلمانی	जर्मन	آلمانی	PROPN;NOM;MASC;SG;3	N;SG
विपरीत	معکوس	विपरीत	معکوس		N;SG
विपरीत	مخالف	विपरीत	مخالف		N;SG
खुद	خودش	खुद	خودش	PRO;NOM	
खुद	خودم	खुद	None	PRO;NOM	
प्रतियोगिता	رقابتهای	प्रतियोगिता	رقابت	N;NOM;FEM;SG;3	N;PL
प्रतियोगिता	رقابتها	प्रतियोगिता	رقابت	N;NOM;FEM;SG;3	N;PL
वायु	هوایی	वायु	هوایی	N;NOM;FEM;SG;3	ADJ
निर्भर	مشروط	निर्भर	مشروط	ADJ	N;SG
आसपास	مجاور	आसपास	مجاور	ADV;NOM;MASC;SG;3	N;SG
आसपास	نزدیک	आसपास	نزدیک	ADV;NOM;MASC;SG;3	ADP
लिखे	نوشت	लिख	نوشت#نویس	V;PFV;MASC;PL;V.PTCP;ACT	V;SG;3;PST
लिखे	نوشتن	लिख	نوشتن	V;PFV;MASC;PL;V.PTCP;ACT	N;SG
लिखे	بنویسد	लिख	نوشت#نویس	V;PFV;MASC;PL;V.PTCP;ACT	V;SBJV;SG;3;PRS
रूस	روسیه	रूस	روسیه	PROPN;NOM;MASC;SG;3	N;SG
विजय	ویجی	विजय	ویجی	PROPN;NOM;MASC;SG;3	N;SG
विजय	پیروزی	विजय	پیروزی	PROPN;NOM;MASC;SG;3	N;SG
विजय	پیروز	विजय	پیروز	PROPN;NOM;MASC;SG;3	ADJ
विजय	فتح	विजय	فتح	PROPN;NOM;MASC;SG;3	N;SG
बस	ساده	बस	ساده	N;NOM;FEM;SG;3	ADJ
बस	فقط	बस	فقط	N;NOM;FEM;SG;3	ADV
महाराष्ट्र	maharashtra	महाराष्ट्र	maharashtra	PROPN;NOM;MASC;SG;3	N;SG
महिलाओं	خانما	महिला	خانما	N;ACC;FEM;PL;3	N;SG
फ्रांस	فرانس	फ्रांस	فرانس	PROPN;NOM;MASC;SG;3	N;SG
फ्रांस	فرانسه	फ्रांस	فرانسه	PROPN;NOM;MASC;SG;3	N;SG
धारा	جاری	धारा	جاری	N;NOM;FEM;SG;3	ADJ
अंतरराष्ट्रीय	اینترنشنال	अंतरराष्ट्रीय	اینترنشنال	PROPN;NOM;SG;3	N;SG
अंतरराष्ट्रीय	بینالمللی	अंतरराष्ट्रीय	بینالمللی	PROPN;NOM;SG;3	N;SG
अंतरराष्ट्रीय	جهانی	अंतरराष्ट्रीय	جهانی	PROPN;NOM;SG;3	N;SG
कृष्णा	کریشنا	कृष्णा	کریشنا	PROPN;NOM;FEM;SG;3	N;SG
सफलता	موفق	सफलता	موفق	N;NOM;FEM;SG;3	ADJ
सफलता	موفقیتهای	सफलता	موفقیت	N;NOM;FEM;SG;3	N;PL
कृष्ण	کریشنا	कृष्ण	کریشنا	PROPN;NOM;MASC;SG;3	N;SG
बच्चे	کودک	बच्चा	کودک	N;NOM;MASC;PL;3	N;SG
बच्चे	فرزند	बच्चा	فرزند	N;NOM;MASC;PL;3	N;SG
बच्चे	بچه	बच्चा	بچه	N;NOM;MASC;PL;3	N;SG
पर्याप्त	کافیه	पर्याप्त	کافیه	CONJ	N;SG
पूजा	پرستش	पूजा	پرستش	N;NOM;FEM;SG;3	
भारी	سنگینی	भारी	سنگینی	ADJ;NOM	N;SG
पत्नी	wife	पत्नी	wife	N;NOM;FEM;SG;3	
इंडिया	هند	इंडिया	هند	PROPN;NOM;FEM;SG;3	N;SG
इंडिया	هندوستان	इंडिया	هندوستان	PROPN;NOM;FEM;SG;3	N;SG
कप	فنجان	कप	None	PROPN;NOM;MASC;SG;3	N;SG
कप	جامی	कप	جام	PROPN;NOM;MASC;SG;3	N;SG
कप	کاپ	कप	کاپ	PROPN;NOM;MASC;SG;3	N;SG
कप	جام	कप	جام	PROPN;NOM;MASC;SG;3	N;SG
कपूर	کاپور	कपूर	کاپور	PROPN;NOM;SG;3	N;SG
उचित	فر	उचित	فر	ADJ;NOM	N;SG
उचित	عادلانه	उचित	عادلانه	ADJ;NOM	ADV
उचित	منصفانه	उचित	منصفانه	ADJ;NOM	ADV
उचित	انصاف	उचित	انصاف	ADJ;NOM	N;SG
उचित	منصف	उचित	منصف	ADJ;NOM	N;SG
रात	شبها	रात	شب	N;NOM;FEM;SG;3	N;PL
रात	شبانه	रात	شبانه	N;NOM;FEM;SG;3	ADV
विदेशी	خارجه	विदेशी	خارجه	N;NOM;MASC;SG;3	ADJ
विदेशी	خارجی	विदेशी	خارجی	N;NOM;MASC;SG;3	ADJ
सूत्र	فرمول	सूत्र	None	N;NOM;MASC;PL;3	N;SG
सूत्र	سوترا	सूत्र	سوترا	N;NOM;MASC;PL;3	N;SG
जीव	موجودات	जीव	None	N;NOM;MASC;SG;3	N;PL
जीव	مخلوقات	जीव	مخلوق	N;NOM;MASC;SG;3	N;PL
जीव	بندگان	जीव	بنده	N;NOM;MASC;SG;3	N;PL
डिग्री	زینه	डिग्री	زینه	N;NOM;FEM;SG;3	INTJ
बाल	موها	बाल	مو	N;NOM;MASC;SG;3	N;PL
यद्यपि	هرچند	यद्यपि	هرچند		CONJ
यद्यपि	اگرچه	यद्यपि	اگرچه		CONJ
यद्यपि	گرچه	यद्यपि	گرچه		CONJ
ना	naa	ना	naa		N;SG
स्वामी	مالک	स्वामी	مالک	PROPN;NOM;MASC;SG;3	N;SG
स्वामी	صاحب	स्वामी	صاحب	PROPN;NOM;MASC;SG;3	N;SG
स्वामी	صاحبش	स्वामी	صاحبش	PROPN;NOM;MASC;SG;3	N;SG
स्वामी	مالکش	स्वामी	مالکش	PROPN;NOM;MASC;SG;3	
स्वामी	صاحبان	स्वामी	صاحب	PROPN;NOM;MASC;SG;3	N;PL
सिर्फ	تنها	सिर्फ	تنها	PART	ADV
सिर्फ	فقط	सिर्फ	فقط	PART	ADV
कश्मीर	کشمیر	कश्मीर	کشمیر	PROPN;NOM;MASC;SG;3	N;SG
पिछले	پیشین	पिछला	پیشین	ADJ;ACC;MASC;PL	N;SG
आयु	ayu	आयु	ayu	N;NOM;FEM;SG;3	
आयु	age	आयु	age	N;NOM;FEM;SG;3	
प्रचार	تبلیغات	प्रचार	تبلیغ	N;NOM;MASC;SG;3	N;PL
प्रचार	تبلیغات	प्रचार	تبلیغ	N;NOM;MASC;SG;3	N;PL
प्रशिक्षण	تمرینات	प्रशिक्षण	تمرینه	N;NOM;MASC;SG;3	N;PL
प्रशिक्षण	آموزشی	प्रशिक्षण	آموزشی	N;NOM;MASC;SG;3	ADJ
फ़रवरी	فوریه	फ़रवरी	فوریه	PROPN;NOM;FEM;SG;3	N;SG
फ़रवरी	فوریه	फ़रवरी	فوریه	PROPN;NOM;FEM;SG;3	N;SG
डिजाइन	طراحیهای	डिजाइन	طراحی	N;NOM;MASC;SG;3	N;PL
डिजाइन	طرحهای	डिजाइन	طرح	N;NOM;MASC;SG;3	N;PL
कंप्यूटर	کامپیوترها	कंप्यूटर	کامپیوتر	N;NOM;MASC;SG;3	N;PL
मंत्री	وزرا	मंत्री	وزیر	N;NOM;MASC;SG;3	N;PL
मंत्री	وزیران	मंत्री	وزیر	N;NOM;MASC;SG;3	N;PL
मंत्री	وزرای	मंत्री	وزیر	N;NOM;MASC;SG;3	N;PL
सम्बन्ध	روابط	संबन्ध	رابطه	N;NOM;MASC;SG;3	N;PL
तत्व	عناصری	तत्व	عناصر	N;NOM;MASC;SG;3	N;PL
तत्व	عناصر	तत्व	عنصر	N;NOM;MASC;SG;3	N;PL
आगरा	آگرا	आगरा	آگرا	PROPN;NOM;MASC;SG;3	N;SG
भौतिक	جسمی	भौतिक	None		N;SG
भौतिक	بدنی	भौतिक	بدنی		N;SG
भौतिक	فیزیکی	भौतिक	None		N;SG
जिन	گین	जो	گین	DET;ACC;PL;3	
आपको	شما	आप	شما	PRO;SG;2;FORM	PRO;PL;2
वी	وی	वी	وی		PRO;SG;3
राय	نظر	राय	نظر	PROPN;NOM;SG;3	N;SG
राय	پندار	राय	پندار	PROPN;NOM;SG;3	N;SG
राय	گمان	राय	گمان	PROPN;NOM;SG;3	N;SG
राय	رای	राय	None	PROPN;NOM;SG;3	N;SG
राय	نظرات	राय	نظر	PROPN;NOM;SG;3	N;PL
राय	عقاید	राय	عقیده	PROPN;NOM;SG;3	N;PL
राय	عقیده	राय	عقیده	PROPN;NOM;SG;3	N;SG
राय	روی	राय	رو	PROPN;NOM;SG;3	ADP
कनाडा	کانادا	कनाडा	کانادا	PROPN;NOM;MASC;SG;3	N;SG
विश्लेषण	تحلیلگران	विश्लेषण	تحلیلگر	N;NOM;MASC;SG;3	N;PL
लक्ष्य	اهداف	लक्ष्य	هدف	N;NOM;MASC;SG;3	N;PL
लक्ष्य	goal	लक्ष्य	goal	N;NOM;MASC;SG;3	
लक्ष्य	اهداف	लक्ष्य	هدف	N;NOM;MASC;SG;3	N;PL
तमिल	تامیل	तमिल	تامیل	PROPN;NOM;MASC;SG;3	N;SG
अधिकतर	غالبا	अधिकतर	غالبا	N;NOM;MASC;SG;3	ADV
जूलियन	جولیان	जूलियन	جولی	ADJ	N;SG
जूलियन	جولین	जूलियन	جولین	ADJ	N;SG
अधिकारी	رسمی	अधिकारी	رسمی	N;NOM;MASC;PL;3	ADJ
अधिकारी	افسر	अधिकारी	None	N;NOM;MASC;PL;3	N;SG
अधिकारी	سرکار	अधिकारी	سرکار	N;NOM;MASC;PL;3	N;SG
मिट्टी	کلی	मिट्टी	کلی	N;NOM;FEM;SG;3	ADV
सितम्बर	september	सितंबर	september	PROPN;NOM;MASC;SG;3	N;SG
सितम्बर	سپتامبر	सितंबर	سپتامبر	PROPN;NOM;MASC;SG;3	N;SG
सितम्बर	اسپ	सितंबर	اسپ	PROPN;NOM;MASC;SG;3	N;SG
सितम्बर	sep	सितंबर	sep	PROPN;NOM;MASC;SG;3	N;SG
निकट	قریب	निकट	قریب	ADV;NOM;MASC;SG;3	N;SG
निकट	نزدیکی	निकट	نزدیک	ADV;NOM;MASC;SG;3	N;SG
निकट	نزدیک	निकट	نزدیک	ADV;NOM;MASC;SG;3	ADP
बनने	شدن	बन	شدن	V;NFIN;ACT	N;SG
भवन	ساختمانهای	भवन	ساختمان	N;NOM;MASC;SG;3	N;PL
भवन	ساختمانها	भवन	ساختمان	N;NOM;MASC;SG;3	N;PL
शायद	شایدم	शायद	شایدم	ADV	
देख	see	देख	see	V;ACT	
देख	دیدن	देख	دیدن	V;ACT	N;SG
लिंक	پیوندها	लिंक	پیوند	N;NOM;MASC;SG;3	N;PL
लिंक	پیوندهای	लिंक	پیوند	N;NOM;MASC;SG;3	N;PL
पाँच	فایو	पाँच	فایو	NUM	N;SG
लक्षण	علائم	लक्षण	علامت	N;NOM;MASC;SG;3	N;PL
संपर्क	آشنا	संपर्क	آشنا	N;NOM;MASC;SG;3	ADJ
संपर्क	مخاطبین	संपर्क	مخاطب	N;NOM;MASC;SG;3	N;PL
गंगा	گنگا	गंगा	گنگا	PROPN;NOM;FEM;SG;3	
महीने	ماهها	महीना	ماه	N;NOM;MASC;SG;3	N;PL
महीने	ماههای	महीना	ماه	N;NOM;MASC;SG;3	N;PL
शर्मा	شارما	शर्मा	شارما	PROPN;NOM;SG;3	N;SG
सुरक्षित	ایمن	सुरक्षित	None	ADJ	N;SG
सुरक्षित	امان	सुरक्षित	امان	ADJ	N;SG
सुरक्षित	امن	सुरक्षित	None	ADJ	N;SG
सुरक्षित	رزرو	सुरक्षित	رزرو	ADJ	N;SG
सुरक्षित	ایمن	सुरक्षित	None	ADJ	N;SG
सुरक्षित	امن	सुरक्षित	None	ADJ	N;SG
लगातार	مستمر	लगातार	مستمر	ADV	ADJ
लगातार	مداوم	लगातार	مداوم	ADV	N;SG
लगातार	پیوسته	लगातार	پیوسته	ADV	N;SG
लगातार	پاینده	लगातार	پاینده	ADV	ADJ
लगातार	مداوم	लगातार	مداوم	ADV	N;SG
लगातार	پیوسته	लगातार	پیوسته	ADV	N;SG
लगातार	پیاپی	लगातार	پیاپی	ADV	N;SG
लगातार	متوالی	लगातार	متوالی	ADV	N;SG
पद्म	padma	पद्म	padma	PROPN;NOM;MASC;SG;3	
अत्यधिक	سنگینتر	अत्यधिक	سنگین		ADJ;CMPR
एल्बम	آلبومهای	एल्बम	آلبوم	N;NOM;MASC;SG;3	N;PL
योग	مجموع	योग	مجموع		N;SG
योग	مبلغ	योग	مبلغ		N;SG
योग	یوگا	योग	یوگا		N;SG
गुजरात	گجرات	गुजरात	گجرات	PROPN;NOM;MASC;SG;3	N;SG
शीर्ष	بالا	शीर्ष	بالا	N;NOM;MASC;SG;3	ADV;ESS
औद्योगिक	صنعتی	औद्योगिक	صنعتی	ADJ;NOM	N;SG
नेता	لیدر	नेता	لیدر	N;NOM;MASC;PL;3	N;SG
नेता	رهبر	नेता	رهبر	N;NOM;MASC;PL;3	N;SG
शीर्षक	عناوین	शीर्षक	عناوین	N;NOM;MASC;SG;3	N;PL
अवसर	فرصتها	अवसर	فرصت	N;NOM;MASC;SG;3	N;PL
अवसर	فرصتهای	अवसर	فرصت	N;NOM;MASC;SG;3	N;PL
अंक	ارقام	अंक	رقم	N;NOM;MASC;SG;3	N;PL
अंक	نقاط	अंक	نقطه	N;NOM;MASC;SG;3	N;PL
अंक	امتیازهای	अंक	امتیاز	N;NOM;MASC;SG;3	N;PL
अंक	امتیازات	अंक	امتیاز	N;NOM;MASC;SG;3	N;PL
अंक	نمرات	अंक	نمرت	N;NOM;MASC;SG;3	N;PL
प्रसाद	پراساد	प्रसाद	پراساد	PROPN;NOM;MASC;SG;3	N;SG
शोध	تحقیقاتی	शोध	تحقیق	N;NOM;MASC;SG;3	N;PL
शोध	تحقیقات	शोध	تحقیق	N;NOM;MASC;SG;3	N;PL
स्पेन	اسپانیای	स्पेन	اسپانیا	PROPN;NOM;MASC;SG;3	N;SG
स्पेन	اسپانیا	स्पेन	اسپانیا	PROPN;NOM;MASC;SG;3	N;SG
गांधी	گاندی	गांधी	گاند#گان	PROPN;NOM;SG;3	N;SG
हमेशा	always	हमेशा	always	ADV	
इत्यादि	غیره	इत्यादि	غیره		N;SG
प्रतीक	نمادهای	प्रतीक	نماد	N;NOM;MASC;SG;3	N;PL
प्रतीक	نمادها	प्रतीक	نماد	N;NOM;MASC;SG;3	N;PL
संदर्भ	مراجع	संदर्भ	مراجع	N;NOM;MASC;SG;3	N;PL
करीब	نزدیکتر	करीब	نزدیک	PART	ADJ;CMPR
करीब	close	करीब	close	PART	N;SG
करीब	بستن	करीब	بستن	PART	N;SG
करीब	نزدیک	करीब	نزدیک	PART	ADP
प्राथमिक	اصلی	प्राथमिक	اصلی	N;NOM	ADJ
प्राथमिक	اولیه	प्राथमिक	اولیه	N;NOM	ADJ
गुण	اموال	गुण	مال	N;NOM;MASC;SG;3	N;PL
गुण	ویژگیها	गुण	ویژگی	N;NOM;MASC;SG;3	N;PL
गुण	ویژگیهای	गुण	ویژگی	N;NOM;MASC;SG;3	N;PL
ग्रह	سیارات	ग्रह	سیاره	N;NOM;MASC;SG;3	N;PL
सिद्ध	ثابت	सिद्ध	ثابت		ADJ
भूषण	bhushan	भूषण	bhushan	PROPN;NOM;MASC;SG;3	N;SG
करोड़	کرور	करोड	کرور	NUM	N;SG
करोड़	کرور	करोड	کرور	NUM	N;SG
बराबर	بمثابه	बराबर	بمثابه	CONJ	N;SG
बराबर	برابر	बराबर	برابر	CONJ	ADP
बराबर	مساوی	बराबर	مساوی	CONJ	N;SG
बराबर	برابر	बराबर	برابر	CONJ	ADP
बराबर	مساوی	बराबर	مساوی	CONJ	N;SG
मिनट	دقایقی	मिनट	None	N;NOM;MASC;SG;3	N;PL
फिल्मों	سینما	फिल्म	سینما	N;ACC;FEM;PL;3	N;SG
फिल्मों	فیلم	फिल्म	فیلم	N;ACC;FEM;PL;3	N;SG
प्रस्ताव	فرمایشات	प्रस्ताव	فرمایش	N;NOM;MASC;SG;3	N;PL
प्रस्ताव	پیشنهادهای	प्रस्ताव	پیشنهاد	N;NOM;MASC;SG;3	N;PL
रिपोर्ट	گزارشها	रिपोर्ट	گزارش	N;NOM;FEM;SG;3	N;PL
मुस्लिम	مسلم	मुस्लिम	مسلم	N;NOM;MASC;SG;3	ADJ
मुस्लिम	مسلمانان	मुस्लिम	مسلمان	N;NOM;MASC;SG;3	N;PL
सरल	ساده	सरल	ساده		ADJ
