през	through	през	through	ADP	N
спечели	gano	спечеля	ganar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PRS;FIN
годишно	anual	годишно	anual	ADV	ADJ;SG
годишно	anuales	годишно	anual	ADV	ADJ;PL
годишно	anual	годишно	anual	ADV	ADJ;SG
годишно	anuales	годишно	anual	ADV	ADJ;PL
услуги	servicio	услуга	servicio	N;INDF;FEM;PL	N;MASC;SG
направен	hecha	направя-(се)	hecho	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
направен	made	направя-(се)	mader	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N
направен	hecho	направя-(се)	hecho	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
жертви	víctima	жертва	víctima	N;INDF;FEM;PL	N;FEM;SG
жертви	victima	жертва	victima	N;INDF;FEM;PL	N;FEM;SG
древна	antiguas	древен	antiguo	ADJ;INDF;FEM;SG	ADJ;FEM;PL
древна	antiguos	древен	antiguo	ADJ;INDF;FEM;SG	ADJ;MASC;PL
пада	caídas	падам-(се)	caído	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;FEM;PL;V.PTCP
пада	cascadas	падам-(се)	cascado	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
пада	falls	падам-(се)	falls	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
пада	cataratas	падам-(се)	catarata	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
стивън	stephen	стивън	stephar	PROPN;INDF;MASC;SG	N;MASC;SG
стивън	esteban	стивън	estar	PROPN;INDF;MASC;SG	PROPN
стивън	alberto	стивън	alberto	PROPN;INDF;MASC;SG	N;MASC;SG
стивън	steven	стивън	steven	PROPN;INDF;MASC;SG	PROPN
любовта	amores	любов	amor	N;DEF;FEM;SG	N;MASC;PL
любовта	amar	любов	amar	N;DEF;FEM;SG	V;NFIN
местен	local	местя-(се)	local	V;IPFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;SG
местен	locales	местя-(се)	local	V;IPFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;PL
нужда	necesitar	нужда	necesitar	N;INDF;FEM;SG	V;NFIN
нужда	necesito	нужда	necesitar	N;INDF;FEM;SG	V;IND;SG;1;PRS;FIN
нужда	necesita	нужда	necesitar	N;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
перник	pernik	перник	pernik	PROPN;INDF;MASC;SG	
музикална	musicales	музикален	musical	ADJ;INDF;FEM;SG	N;MASC;PL
североизточна	noreste	североизточен	noreste	ADJ;INDF;FEM;SG	N;MASC;SG
североизточна	noreste	североизточен	noreste	ADJ;INDF;FEM;SG	N;MASC;SG
североизточна	nordeste	североизточен	nordeste	ADJ;INDF;FEM;SG	N;MASC;SG
концерт	conciertos	концерт	concierto	N;INDF;MASC;SG	N;MASC;PL
барабани	tambor	барабам	tambor	N;INDF;MASC;PL	N;MASC;SG
барабани	batería	барабам	batería	N;INDF;MASC;PL	N;FEM;SG
въоръжение	armamentos	въоръжение	armamento	N;INDF;NEUT;SG	N;MASC;PL
въоръжение	armamentos	въоръжение	armamento	N;INDF;NEUT;SG	N;MASC;PL
определят	defina	определям-(се)	definir	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IMP;SG;3;FIN
определят	define	определям-(се)	definir	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
желание	deseo	желание	desear	N;INDF;NEUT;SG	V;IND;SG;1;PRS;FIN
желание	desea	желание	desear	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
желание	deseo	желание	desear	N;INDF;NEUT;SG	V;IND;SG;1;PRS;FIN
желание	desearía	желание	desear	N;INDF;NEUT;SG	V;COND;SG;3;FIN
желание	desee	желание	desear	N;INDF;NEUT;SG	V;SBJV;SG;3;PRS;FIN
мъж	masculino	мъж	masculino	N;INDF;MASC;SG	ADJ;MASC;SG
мъж	machos	мъж	macho	N;INDF;MASC;SG	N;MASC;PL
въоръжена	armada	въоръжа	armado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
въоръжена	armados	въоръжа	armado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
въоръжена	armadas	въоръжа	armado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
въоръжена	armado	въоръжа	armado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
наши	nuestra	наш	nuestro	DET;INDF;PL;1	DET;FEM;SG;1
наши	nuestro	наш	nuestro	DET;INDF;PL;1	DET;MASC;SG;1
споразумение	arreglos	споразумение	arreglo	N;INDF;NEUT;SG	N;MASC;PL
баден	baden	баден	bader	PROPN;INDF;MASC;SG	N;MASC;SG
казахстан	kazajistán	казахстан	kazajistán	PROPN;INDF;MASC;SG	ADJ;FEM;SG
казахстан	kazajstán	казахстан	kazajstán	PROPN;INDF;MASC;SG	N;FEM;SG
правилата	reglamento	правило	reglamento	N;DEF;NEUT;PL	N;MASC;SG
реал	real	реал	real	PROPN;INDF;MASC;SG	ADJ;SG
реал	reales	реал	real	PROPN;INDF;MASC;SG	ADJ;PL
реал	verdadero	реал	verdadero	PROPN;INDF;MASC;SG	ADJ;MASC;SG
добрич	dobrich	добрич	dobrich	N;INDF;MASC;SG	
избрани	escogidos	избера	escogido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
избрани	elegido	избера	elegido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
избрани	escogido	избера	escogido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
избрани	elegida	избера	elegido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
избрани	escogida	избера	escogida	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
избрани	elegidos	избера	elegido	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
избрани	seleccionados	избера	seleccionado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
избрани	seleccionado	избера	seleccionado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
избрани	seleccionada	избера	seleccionado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
избрани	seleccionadas	избера	seleccionado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
помощник	auxiliar	помощник	auxiliar	N;INDF;MASC;SG	V;NFIN
смит	herrero	смит	herrero	PROPN;INDF;MASC;SG	N;MASC;SG
смит	smith	смит	smith	PROPN;INDF;MASC;SG	PROPN
освободен	liberados	освободя-(се)	liberado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
освободен	liberada	освободя-(се)	liberado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
освободен	lanzado	освободя-(се)	lanzado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
освободен	liberado	освободя-(се)	liberado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
освободен	liberada	освободя-(се)	liberado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
освободен	liberados	освободя-(се)	liberado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
освободен	liberadas	освободя-(се)	liberar	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
освободен	liberado	освободя-(се)	liberado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
допълнително	adicional	допълнително	adicional	ADV	ADJ;SG
допълнително	adicionales	допълнително	adicional	ADV	ADJ;PL
допълнително	extra	допълнително	extra	ADV	
наем	alquiler	наем	alquiler	N;INDF;MASC;SG	
наем	alquileres	наем	alquiler	N;INDF;MASC;SG	N;MASC;PL
наем	alquiler	наем	alquiler	N;INDF;MASC;SG	
наем	alquilar	наем	alquilar	N;INDF;MASC;SG	V;NFIN
запазва	conservas	запазвам-(се)	conserva	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
уелс	gales	уелс	gal	PROPN;INDF;MASC;SG	N;MASC;SG
уелс	pozos	уелс	pozo	PROPN;INDF;MASC;SG	N;MASC;PL
уелс	wells	уелс	wells	PROPN;INDF;MASC;SG	N;SG
свири	play	свиря	play	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
свири	juegue	свиря	jugar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;SG;3;FIN
окончателно	finales	окончателно	final	ADV	N;MASC;PL
окончателно	final	окончателно	final	ADV	N;MASC;SG
окончателно	definitivo	окончателно	definitivo	ADV	ADJ;MASC;SG
окончателно	definitiva	окончателно	definitivo	ADV	ADJ;FEM;SG
окончателно	definitivas	окончателно	definitivo	ADV	ADJ;FEM;PL
окончателно	definitivos	окончателно	definitivo	ADV	ADJ;MASC;PL
окончателно	definitivo	окончателно	definitivo	ADV	ADJ;MASC;SG
албрехт	albrecht	албрехт	albrecht	PROPN;INDF;MASC;SG	N;MASC;SG
придобива	adquiera	придобивам	adquirir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
източен	orientales	източа-(се)	oriental	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;PL
източен	oriental	източа-(се)	oriental	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;SG
източен	eastern	източа-(се)	eastern	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;SG
тежко	pesado	тежко	pesado	ADV	ADJ;MASC;SG;V.PTCP
тежко	heavy	тежко	heavy	ADV	N;MASC;SG
тежко	pesadas	тежко	pesado	ADV	ADJ;FEM;PL;V.PTCP
тежко	pesados	тежко	pesado	ADV	ADJ;MASC;PL;V.PTCP
тежко	pesada	тежко	pesado	ADV	ADJ;FEM;SG;V.PTCP
архитект	arquitectos	архитект	arquitecto	N;INDF;MASC;SG	N;MASC;PL
ръководство	manuales	ръководство	manual	N;INDF;NEUT;SG	N;MASC;PL
ръководство	manual	ръководство	manual	N;INDF;NEUT;SG	ADJ;SG
събират	colecciona	събирам-(се)	coleccionar	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
събират	recopila	събирам-(се)	recopilar	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ефект	efectos	ефект	efecto	N;INDF;MASC;SG	N;MASC;PL
основано	fundado	основа	fundado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
основано	fundada	основа	fundado	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
принуден	obligado	принудя-(се)	obligado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
принуден	forzado	принудя-(се)	forzado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
принуден	forzados	принудя-(се)	forzado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
принуден	forzada	принудя-(се)	forzado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
трето	tercera	трето	tercero	ADV	ADJ;FEM;SG
трето	tercer	трето	tercero	ADV	ADJ;MASC;SG
трето	terceros	трето	tercero	ADV	N;MASC;PL
трето	tercero	трето	tercero	ADV	ADJ;MASC;SG
ранни	early	ранна	early	ADJ;INDF;PL	N
ранни	temprano	ранна	temprano	ADJ;INDF;PL	ADV
съдържат	contengan	съдържам-(се)	contener	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IMP;PL;3;FIN
съдържат	contenga	съдържам-(се)	contener	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
сергей	serguéi	сергей	serguéi	PROPN;INDF;MASC;SG	PROPN
сергей	sergio	сергей	sergio	PROPN;INDF;MASC;SG	N;MASC;SG
сергей	sergei	сергей	sergei	PROPN;INDF;MASC;SG	N;MASC;SG
сергей	serguéi	сергей	serguéi	PROPN;INDF;MASC;SG	PROPN
сергей	sergio	сергей	sergio	PROPN;INDF;MASC;SG	N;MASC;SG
сергей	sergey	сергей	sergey	PROPN;INDF;MASC;SG	N;MASC;SG
повърхност	superficial	повърхност	superficial	N;INDF;FEM;SG	ADJ;SG
качване	subiendo	качване	subir	N;INDF;NEUT;SG	V;V.MSDR
качване	sube	качване	subir	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
качване	subir	качване	subir	N;INDF;NEUT;SG	V;NFIN
мала	mala	мала	malo	PROPN;INDF;FEM;SG	ADJ;FEM;SG
опера	opera	опера	operar	N;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
изграждане	construyendo	изграждане	construir	N;INDF;NEUT;SG	V;V.MSDR
изграждане	construcciones	изграждане	construcción	N;INDF;NEUT;SG	N;FEM;PL
изграждане	construya	изграждане	construir	N;INDF;NEUT;SG	V;IMP;SG;3;FIN
изграждане	construir	изграждане	construir	N;INDF;NEUT;SG	V;NFIN
изграждане	construye	изграждане	construir	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
социални	social	социален	social	ADJ;INDF;PL	ADJ;SG
бяло	blancas	бял	blanco	ADV	ADJ;FEM;PL
бяло	blanca	бял	blanco	ADV	ADJ;FEM;SG
бяло	white	бял	white	ADV	N
бяло	blancos	бял	blanco	ADV	N;MASC;PL
бяло	blanco	бял	blanco	ADV	ADJ;MASC;SG
професионален	profesionalidad	професионален	profesionalidad	ADJ;INDF;MASC;SG	N;FEM;SG
професионален	profesionales	професионален	profesional	ADJ;INDF;MASC;SG	N;PL
професионални	profesional	професионален	profesional	ADJ;INDF;PL	ADJ;SG
професионални	professional	професионален	professional	ADJ;INDF;PL	ADJ;SG
професионални	profesionalidad	професионален	profesionalidad	ADJ;INDF;PL	N;FEM;SG
професионални	profesionales	професионален	profesional	ADJ;INDF;PL	N;PL
почетен	honorario	почетен	honorario	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG
почетен	honorarios	почетен	honorario	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;PL
почетен	honorable	почетен	honorable	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;SG
почетен	honrada	почетен	honrada	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
почетен	honrado	почетен	honrado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
почетен	honrados	почетен	honrado	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
цял	enteras	цял	entero	ADJ;INDF;MASC;SG	ADJ;FEM;PL
цял	enteros	цял	entero	ADJ;INDF;MASC;SG	ADJ;MASC;PL
направени	hecha	направя-(се)	hecho	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
направени	made	направя-(се)	mader	V;PFV;INDF;PL;V.PTCP;PASS	N
направени	hecho	направя-(се)	hecho	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
направени	incurrido	направя-(се)	incurrir	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
даде	dio	дам-(се)	dar	V;PFV;IMP;SG;2;PST;FIN	V;IND;SG;3;PST;FIN
даде	dió	дам-(се)	dar	V;PFV;IMP;SG;2;PST;FIN	V;IND;SG;3;PST;FIN
шампионат	campeonatos	шампионат	campeonato	N;INDF;MASC;SG	N;MASC;PL
шампионат	campeonatos	шампионат	campeonato	N;INDF;MASC;SG	N;MASC;PL
молдова	moldavia	молдова	moldavia	PROPN;INDF;FEM;SG	N;FEM;SG
молдова	moldova	молдова	moldova	PROPN;INDF;FEM;SG	N;FEM;SG
юнайтед	unidos	юнайтед	unido	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
юнайтед	unido	юнайтед	unido	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
юнайтед	unió	юнайтед	unir	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
юнайтед	unida	юнайтед	unido	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
научен	científicas	научен	científico	ADJ;INDF;MASC;SG	ADJ;FEM;PL
научен	científicos	научен	científico	ADJ;INDF;MASC;SG	N;MASC;PL
храни	alimentación	храна	alimentación	N;INDF;FEM;PL	N;FEM;SG
храни	alimento	храна	alimento	N;INDF;FEM;PL	N;MASC;SG
храни	comida	храна	comida	N;INDF;FEM;PL	N;FEM;SG
храни	feed	храна	feed	N;INDF;FEM;PL	N;MASC;SG
храни	alimentación	храна	alimentación	N;INDF;FEM;PL	N;FEM;SG
храни	alimentarse	храна	alimentar	N;INDF;FEM;PL	V;SBJV;SG;3;IPFV;FIN
храни	alimento	храна	alimento	N;INDF;FEM;PL	N;MASC;SG
храни	alimenta	храна	alimentar	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
пощенски	postal	пощенски	postal	ADJ;INDF;MASC;SG	N;MASC;SG
пощенски	postales	пощенски	postal	ADJ;INDF;MASC;SG	N;PL
кения	kenia	кен	kenia	PROPN;INDF;FEM;SG	N;FEM;SG
кения	kenya	кен	kenya	PROPN;INDF;FEM;SG	N;FEM;SG
познат	conocidas	познат	conocido	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
познат	conocida	познат	conocido	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
познат	conocido	познат	conocido	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
познат	conocidos	познат	conocido	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
познат	familiar	познат	familiar	N;INDF;MASC;SG	ADJ;SG
познат	familiarizado	познат	familiarizado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
познат	familiarizados	познат	familiarizado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
познат	conocido	познат	conocido	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
познат	conocidos	познат	conocido	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
франк	frank	франк	frank	PROPN;INDF;MASC;SG	N;SG
франк	franco	франк	franco	PROPN;INDF;MASC;SG	
франк	francos	франк	franco	PROPN;INDF;MASC;SG	N;MASC;PL
скали	acantilados	скала	acantilado	N;INDF;FEM;PL	ADJ;MASC;PL;V.PTCP
скали	piedra	скала	piedra	N;INDF;FEM;PL	N;FEM;SG
скали	roca	скала	roca	N;INDF;FEM;PL	N;FEM;SG
скали	rock	скала	rock	N;INDF;FEM;PL	N;MASC;SG
косово	kosovo	косово	kosovo	PROPN;INDF;NEUT;SG	N;FEM;SG
питър	pedro	питър	pedro	PROPN;INDF;MASC;SG	N;MASC;SG
питър	peter	питър	peter	PROPN;INDF;MASC;SG	N;MASC;SG
пиер	muelle	пиер	muelle	PROPN;INDF;MASC;SG	N;MASC;SG
пиер	pier	пиер	pier	PROPN;INDF;MASC;SG	
пиер	embarcadero	пиер	embarcadero	PROPN;INDF;MASC;SG	N;MASC;SG
пиер	pierre	пиер	perre	PROPN;INDF;MASC;SG	PROPN
специален	especiales	специален	especial	ADJ;INDF;MASC;SG	ADJ;PL
специален	special	специален	special	ADJ;INDF;MASC;SG	N
любомир	ljubomir	любомир	ljubomir	N;INDF;MASC;SG	
фондация	cimientos	фондация	cimiento	N;INDF;FEM;SG	N;MASC;PL
китайски	chinos	китайски	chino	ADJ;INDF;MASC;SG	N;MASC;PL
китайски	chino	китайски	chino	ADJ;INDF;MASC;SG	N;MASC;SG
риба	peces	риба	pez	N;INDF;FEM;SG	N;MASC;PL
риба	pescados	риба	pescado	N;INDF;FEM;SG	N;MASC;PL
къде	where	къде	where	ADV	N
къде	donde	къде	donde	ADV	PRO
къде	adonde	къде	adonde	ADV	
къде	dónde	къде	dónde	ADV	PRO
поставени	colocada	поставя-(се)	colocado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
поставени	colocados	поставя-(се)	colocado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
поставени	colocado	поставя-(се)	colocado	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
специална	especiales	специален	especial	ADJ;INDF;FEM;SG	ADJ;PL
специална	special	специален	special	ADJ;INDF;FEM;SG	N
майстор	amo	майстор	amar	N;INDF;MASC;SG	V;IND;SG;1;PRS;FIN
следваща	proxima	следвам	proximar	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT	N;FEM;SG
следваща	next	следвам	next	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT	N
частично	parciales	частичен	parcial	ADV	ADJ;PL
частично	parcial	частичен	parcial	ADV	ADJ;SG
византия	bizancio	византия	bizancio	N;INDF;FEM;SG	ADJ;FEM;SG
дол	dol	дол	dol	N;INDF;MASC;SG	
тексас	tejas	тексас	teja	N;INDF;MASC;SG	N;FEM;PL
тексас	texas	тексас	texa	N;INDF;MASC;SG	N;FEM;PL
ана	ana	ана	ana	PROPN;INDF;FEM;SG	N;FEM;SG
ана	ana	ана	ana	PROPN;INDF;FEM;SG	N;FEM;SG
ана	anna	ана	anno	PROPN;INDF;FEM;SG	PROPN
мюсюлмани	musulmana	мюсюлманин	musulmán	N;INDF;MASC;PL	ADJ;FEM;SG
мюсюлмани	musulmán	мюсюлманин	musulmán	N;INDF;MASC;PL	N;MASC;SG
мюсюлмани	musulmana	мюсюлманин	musulmán	N;INDF;MASC;PL	ADJ;FEM;SG
мюсюлмани	musulmán	мюсюлманин	musulmán	N;INDF;MASC;PL	N;MASC;SG
силен	strong	силен	strong	ADJ;INDF;MASC;SG	N
силен	fuertes	силен	fuerte	ADJ;INDF;MASC;SG	ADJ;PL
мощност	poder	мощност	poder	N;INDF;FEM;SG	V;NFIN
лорд	señor	лорд	señor	N;INDF;MASC;SG	INTJ
лий	lee	лий	leer	PROPN;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
лий	leigh	лий	leigh	PROPN;INDF;MASC;SG	PROPN
имперски	imperiales	имперски	imperial	ADJ;INDF;MASC;SG	ADJ;PL
съвместно	articulación	съвместно	articulación	ADV	N;FEM;SG
съвместно	joint	съвместно	joint	ADV	N
съвместно	porro	съвместно	porro	ADV	N;MASC;SG
съвместно	articulaciones	съвместно	articulación	ADV	N;FEM;PL
съвместно	conjunta	съвместно	conjunto	ADV	ADJ;FEM;SG
различна	distintos	различен	distinto	ADJ;INDF;FEM;SG	PRO;MASC;PL
различна	diferentes	различен	diferente	ADJ;INDF;FEM;SG	ADJ;PL
революционен	revolucionarios	революционен	revolucionario	ADJ;INDF;MASC;SG	N;MASC;PL
главна	main	главен	main	ADJ;INDF;FEM;SG	N
главна	principales	главен	principal	ADJ;INDF;FEM;SG	ADJ;PL
гражданска	cívicas	граждански	cívico	ADJ;INDF;FEM;SG	ADJ;FEM;PL
гражданска	cívicos	граждански	cívico	ADJ;INDF;FEM;SG	ADJ;MASC;PL
гражданска	civic	граждански	civic	ADJ;INDF;FEM;SG	N;MASC;SG
защитник	defender	защитник	defender	N;INDF;MASC;SG	V;NFIN
защитник	protector	защитник	protector	N;INDF;MASC;SG	ADJ;MASC;SG
защитник	protectora	защитник	protectora	N;INDF;MASC;SG	ADJ;FEM;SG
пиано	piano	пиано	piano	ADV	N;MASC;SG
общински	municipales	общински	municipal	ADJ;INDF;MASC;SG	ADJ;PL
двигатели	motor	двигател	motor	N;INDF;MASC;PL	N;MASC;SG
литературен	literarios	литературен	literario	ADJ;INDF;MASC;SG	N;MASC;PL
газ	gases	газ	gas	N;INDF;MASC;SG	N;MASC;PL
партизански	guerrillas	партизански	guerrilla	PROPN;INDF;MASC;SG	N;FEM;PL
партизански	guerrilleros	партизански	guerrillero	PROPN;INDF;MASC;SG	N;MASC;PL
партизански	guerrilla	партизански	guerrilla	PROPN;INDF;MASC;SG	N;FEM;SG
партизански	guerrillero	партизански	guerrillero	PROPN;INDF;MASC;SG	N;MASC;SG
лъв	leo	лъв	leo	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
награден	decorados	награден	decorado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
награден	recompensados	награден	recompensado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
черен	black	черен	black	ADJ;INDF;MASC;SG	N
черен	negras	черен	negro	ADJ;INDF;MASC;SG	ADJ;FEM;PL
черен	negros	черен	negro	ADJ;INDF;MASC;SG	N;MASC;PL
широка	wide	широк	wide	ADJ;INDF;FEM;SG	N
широка	ancho	широк	ancho	ADJ;INDF;FEM;SG	N;MASC;SG
широка	amplias	широк	amplio	ADJ;INDF;FEM;SG	ADJ;FEM;PL
женски	femeninos	женски	femenino	ADJ;INDF;MASC;SG	ADJ;MASC;PL
женски	hembras	женски	hembra	ADJ;INDF;MASC;SG	N;FEM;PL
женски	mujer	женски	mujer	ADJ;INDF;MASC;SG	N;FEM;SG
женски	hembra	женски	hembra	ADJ;INDF;MASC;SG	N;FEM;SG
женски	hembras	женски	hembra	ADJ;INDF;MASC;SG	N;FEM;PL
лагер	campamentos	лагер	campamento	N;INDF;MASC;SG	N;MASC;PL
дух	fantasmas	дух	fantasma	N;INDF;MASC;SG	N;PL
листа	hojas	листа	hoja	N;INDF;FEM;SG	N;FEM;PL
листа	hojas	листа	hoja	N;INDF;FEM;SG	N;FEM;PL
онлайн	conectados	онлайн	conectado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
онлайн	conectado	онлайн	conectado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
онлайн	online	онлайн	online	N;INDF;MASC;SG	
пристанище	puertos	пристанище	puerto	N;INDF;NEUT;SG	N;MASC;PL
бивши	antiguo	бивш	antiguo	ADJ;INDF;PL	ADJ;MASC;SG
проучвания	investigación	проучване	investigación	N;INDF;NEUT;PL	N;FEM;SG
проучвания	investigacion	проучване	investigacion	N;INDF;NEUT;PL	N;FEM;SG
северозападна	northwestern	северозападен	northwestern	ADJ;INDF;FEM;SG	N;SG
северозападна	noroeste	северозападен	noroeste	ADJ;INDF;FEM;SG	N;SG
северозападна	noroeste	северозападен	noroeste	ADJ;INDF;FEM;SG	N;SG
тона	toneladas	тон	tonelada	N;DEF;MASC;SG	N;FEM;PL
тона	tonos	тон	tono	N;DEF;MASC;SG	N;MASC;PL
сръбско	serbios	сръбски	serbio	ADV	N;MASC;PL
сръбско	serbio	сръбски	serbio	ADV	N;MASC;SG
приета	aceptadas	приема	aceptado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
приета	aceptados	приема	aceptar	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
приета	aceptada	приема	aceptado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
приета	aceptado	приема	aceptado	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;SG;V.PTCP
приета	admitida	приема	admitido	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;SG;V.PTCP
приета	admitidos	приема	admitido	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
