der	the	der	the	DET;NOM;DEF;MASC;SG	
thomas	thomas	thomas	thomas	PROPN;NOM;MASC;SG	
grund	chi	grund	chi	ADV	N
grund	grund	grund	grund	ADV	
grund	chi	grund	chi	ADV	N
rolle	roll	roll	roll	N;NOM;FEM;SG	
damals	rồi	damals	rồi	ADV	CONJ
gewünscht	wanted	wünschen	wanted	V;V.PTCP	N
meine	meine	mein	meine	PRO;NOM;FEM;SG	
meine	mỏ	mein	mỏ	PRO;NOM;FEM;SG	N
meine	mine	mein	mine	PRO;NOM;FEM;SG	
zweite	giây	zweit	giây	ADJ;NOM;FEM;PL	
frankfurt	frankfurt	frankfurt	frankfurt	PROPN;NOM;NEUT;SG	N
stuttgart	stuttgart	stuttgart	stuttgart	PROPN;NOM;SG	N
benutzer	dùng	benutzer	dùng	ADJ	V
maria	mary	maria	mary	PROPN;NOM;FEM;SG	
maria	chư	maria	chư	PROPN;NOM;FEM;SG	N
maria	maria	maria	maria	PROPN;NOM;FEM;SG	N
frauen	womens	frau	womens	V;NFIN	NUM
frauen	vợ	frau	vợ	V;NFIN	N
frauen	nữ	frau	nữ	V;NFIN	N
frauen	nữ	frau	nữ	V;NFIN	N
buch	buch	bachen	buch	ADV	
buch	sách	bachen	sách	ADV	N
buch	sách	bachen	sách	ADV	N
buch	sổ	bachen	sổ	ADV	N
provinz	tỉnh	provinz	tỉnh		N
dir	các	dur	các		DET
dir	bạn	dur	bạn		N
dir	anh	dur	anh		N
dir	cô	dur	cô		N
dir	dir	dur	dir		N
quellen	nguồn	quell	nguồn	V;NFIN	N
kilometer	miles	kilometer	miles	ADJ	
kilometer	phít	kilometer	phít	ADJ	
kilometer	km	kilometer	km	ADJ	N
kilometer	dặm	kilometer	dặm	ADJ	N
kilometer	km	kilometer	km	ADJ	N
stunden	tiếng	stehen	tiếng	V;NFIN	N
stunden	giờ	stehen	giờ	V;NFIN	N
stunden	tiếng	stehen	tiếng	V;NFIN	N
stunden	giờ	stehen	giờ	V;NFIN	N
martin	martin	martin	martin	PROPN;NOM;MASC;SG	
ernst	ernst	ernst	ernst	PROPN	N
ernst	hen	ernst	hen	PROPN	V
ernst	ernest	ernst	ernest	PROPN	
ernst	bách	ernst	bách	PROPN	N
schule	học	schule	học	N;NOM;FEM;SG	V
leipzig	leipzig	leipzig	leipzig	PROPN;NOM;NEUT;SG	N
ludwig	louis	ludwig	louis	PROPN;NOM;MASC;SG	
ludwig	ludwig	ludwig	ludwig	PROPN;NOM;MASC;SG	N
jeder	ai	jed	ai	PRO;NOM;INDF;MASC;SG	PROPN
jeder	mỗi	jed	mỗi	PRO;NOM;INDF;MASC;SG	NUM
jeder	hằng	jed	hằng	PRO;NOM;INDF;MASC;SG	
jeder	mỗi	jed	mỗi	PRO;NOM;INDF;MASC;SG	NUM
archivierung	archival	archivierung	archival	N;NOM;FEM;SG	
archivierung	archives	archivierung	archives	N;NOM;FEM;SG	
dorf	dorf	dorf	dorf	N;NOM;NEUT;SG	
robert	robert	robern	robert	PROPN;NOM;MASC;SG	
tochter	gái	tocht	gái		N
staaten	kỳ	staaten	kỳ	V;FIN	N
mannschaft	tạo	mannschaft	tạo	ADJ	V
mannschaft	đội	mannschaft	đội	ADJ	N
mannschaft	lớp	mannschaft	lớp	ADJ	N
mannschaft	team	mannschaft	team	ADJ	
gesperrt	tắt	sperren	tắt	V;V.PTCP	
gesperrt	khóa	sperren	khóa	V;V.PTCP	N
stark	strong	stark	strong	ADJ	
stark	stark	stark	stark	ADJ	
anschließend	rồi	anschließend	rồi	ADJ	CONJ
oben	nắp	oben	nắp	ADV	N
oben	top	oben	top	ADV	
oben	đỉnh	oben	đỉnh	ADV	N
oben	lầu	oben	lầu	ADV	N
oben	trên	oben	trên	ADV	
mann	chồng	mann	chồng		N
mann	mun	mann	mun		N
mann	mann	mann	mann		N
mann	người	mann	người		N
spielen	at	spielen	at	V;NFIN	
spielen	divx	spielen	divx	V;NFIN	N
spielen	gamble	spielen	gamble	V;NFIN	N
iii	iii	iii	iii	PROPN	NUM
weiß	trắng	wissen	trắng	V;IND;SG;3;PRS;FIN	N
weiß	white	wissen	white	V;IND;SG;3;PRS;FIN	
weiß	bạch	wissen	bạch	V;IND;SG;3;PRS;FIN	N
weiß	kavkaz	wissen	kavkaz	V;IND;SG;3;PRS;FIN	N
bar	bar	bar	bar	PROPN	
amt	amt	amt	amt	N;NOM;NEUT;SG	
sogar	chính	sogar	chính	ADV	PART
county	quận	county	quận	PROPN;NOM;MASC;SG	N
county	hạt	county	hạt	PROPN;NOM;MASC;SG	N
seiten	page	seiten	page	V;NFIN	
seiten	trang	seiten	trang	V;NFIN	N
seiten	trang	seiten	trang	V;NFIN	N
seiten	sites	seiten	sites	V;NFIN	
richtung	hướng	richtung	hướng	V;V.PTCP	N
köln	cologne	köln	cologne	PROPN;NOM;NEUT;SG	N
köln	köln	köln	köln	PROPN;NOM;NEUT;SG	N
partei	đảng	partei	đảng		N
partei	tiệc	partei	tiệc		N
wer	wer	wer	wer	PRO;NOM;SG	N
wer	ai	wer	ai	PRO;NOM;SG	PROPN
wer	who	wer	who	PRO;NOM;SG	NUM
kleine	tiểu	klein	tiểu	ADJ;NOM;FEM;PL	
kleine	kleine	klein	kleine	ADJ;NOM;FEM;PL	
tage	tage	tagen	tage	N;NOM;MASC;PL	
tage	day	tagen	day	N;NOM;MASC;PL	
rahmen	khung	rahmen	khung	V;NFIN	N
rahmen	framework	rahmen	framework	V;NFIN	N
rahmen	khung	rahmen	khung	V;NFIN	N
werke	werke	werk	werke	N;NOM;NEUT;PL	
gegenüber	ngược	gegenüber	ngược	ADP	V
offizielle	offical	offiziell	offical	ADJ;NOM;FEM;PL	N
kommen	đến	kommen	đến	V;NFIN	PART
kommen	đến	kommen	đến	V;NFIN	PART
deutlich	xoã	deutlich	xoã	ADJ	N
weniger	lesser	weniger	lesser	ADV	
weniger	bớt	weniger	bớt	ADV	V
weniger	ít	weniger	ít	ADV	ADJ
weniger	giảm	weniger	giảm	ADV	V
müssen	phải	müssen	phải	V;IND;PL;3;PRS;FIN	V
fußballspieler	footballers	fußballspieler	footballers	ADJ	N
wirklich	thực	wirklich	thực	ADV	V
wirklich	thật	wirklich	thật	ADV	PART
preis	price	preis	price	PROPN	
preis	giá	preis	giá	PROPN	N
preis	preis	preis	preis	PROPN	
hin	hin	hin	hin	ADV	N
spiel	chơi	spielen	chơi	N;NOM;NEUT;SG	V
spiel	play	spielen	play	N;NOM;NEUT;SG	V
spiel	chơi	spielen	chơi	N;NOM;NEUT;SG	V
spiel	at	spielen	at	N;NOM;NEUT;SG	
teilweise	saga	teilweise	saga	ADV	
teilweise	part	teilweise	part	ADV	
teilweise	phần	teilweise	phần	ADV	N
burg	château	burg	château		N
burg	castle	burg	castle		N
burg	đài	burg	đài		N
burg	burg	burg	burg		N
erreichte	đa	erreichen	đa	V;IND;SG;3;PST;FIN	
erreichte	peaked	erreichen	peaked	V;IND;SG;3;PST;FIN	
erreichte	hoài	erreichen	hoài	V;IND;SG;3;PST;FIN	N
verschiedene	assorted	verschieden	assorted	ADJ;NOM;FEM;PL	
schweizer	swiss	schweizer	swiss	ADJ	N
schweizer	schweizer	schweizer	schweizer	ADJ	V
natürlich	hải	natürlich	hải	ADJ	N
jemand	ai	jemand	ai	PRO;NOM;INDF;SG	PROPN
jemand	somebody	jemand	somebody	PRO;NOM;INDF;SG	
gar	gar	gar	gar	ADV	N
tag	tag	tagen	tag	N;NOM;MASC;SG	
tag	day	tagen	day	N;NOM;MASC;SG	
norden	bắc	norden	bắc	V;NFIN	N
norden	bắc	norden	bắc	V;NFIN	N
stelle	thân	stellen	thân	V;IND;SG;3;PRS;FIN	
stelle	body	stellen	body	V;IND;SG;3;PRS;FIN	
stelle	nơi	stellen	nơi	V;IND;SG;3;PRS;FIN	N
stelle	chỗ	stellen	chỗ	V;IND;SG;3;PRS;FIN	N
sollten	nên	sollen	nên	V;IND;PL;3;PST;FIN	CONJ
literatur	bibliography	literatur	bibliography	ADJ	
eigene	chính	eigen	chính	ADJ;NOM;FEM;PL	PART
millionen	triệu	million	triệu	N;NOM;FEM;PL	NUM
millionen	triệu	million	triệu	N;NOM;FEM;PL	NUM
jahres	jahres	jahres	jahres	N;NOM;NEUT;SG	
erneut	lại	erneut	lại	ADJ	
krieg	war	kriegen	war	N	
französischen	pháp	französisch	pháp	ADJ;NOM;MASC;PL	N
erster	trước	erst	trước	ADJ;NOM;MASC;SG	
erster	đầu	erst	đầu	ADJ;NOM;MASC;SG	N
zeigt	hiện	zeigen	hiện	V;IND;SG;3;PRS;FIN	N
zeigt	show	zeigen	show	V;IND;SG;3;PRS;FIN	
zeigt	khoe	zeigen	khoe	V;IND;SG;3;PRS;FIN	N
kunst	art	kunst	art	N;NOM;FEM;SG	
heutigen	nay	heutig	nay	ADJ;NOM;MASC;PL	PROPN
aller	aller	alle	aller	PRO;NOM;INDF;MASC;SG	N
pdf	pdf	pdf	pdf		N
schauspieler	diễn	schauspieler	diễn	ADJ	V
auflage	edition	auflage	edition	ADJ	
ehemaligen	cựu	ehemalig	cựu	ADJ;NOM;PL	N
hätte	tòng	haben	tòng	V;SBJV;SG;3;PST;FIN	N
hätte	cốt	haben	cốt	V;SBJV;SG;3;PST;FIN	N
auswahl	chọn	auswahl	chọn	N;NOM;SG	V
auswahl	chọn	auswahl	chọn	N;NOM;SG	V
auswahl	đặt	auswahl	đặt	N;NOM;SG	V
spieler	player	spieler	player	ADJ	N
links	xích	links	xích	ADV	N
links	links	links	links	ADV	
links	trái	links	trái	ADV	
warum	sao	warum	sao	ADV	PROPN
otto	otto	otto	otto	PROPN;NOM;MASC;SG	N
gemeinsam	chia	gemeinsam	chia	ADJ	V
gemeinsam	tham	gemeinsam	tham	ADJ	V
europa	âu	europa	âu	PROPN;NOM;SG	N
europa	europa	europa	europa	PROPN;NOM;SG	N
online	online	online	online	ADJ	
direkt	sảnh	direkt	sảnh	ADJ	N
direkt	direct	direkt	direct	ADJ	
direkt	trực	direkt	trực	ADJ	V
alter	tuổi	alt	tuổi	ADJ	N
alter	tuổi	alt	tuổi	ADJ	N
alter	khứa	alt	khứa	ADJ	N
alter	dude	alt	dude	ADJ	
alter	kiss	alt	kiss	ADJ	
beginn	commencement	beginnen	commencement	V;IND;SG;3;PST;FIN	N
klasse	hạng	klasse	hạng	ADJ	N
klasse	lớp	klasse	lớp	ADJ	N
bischof	bishop	bischof	bishop	PROPN;NOM;MASC;SG	N
darunter	dưới	darunter	dưới	ADV	N
darunter	gồm	darunter	gồm	ADV	V
ebenso	cũng	ebenso	cũng	ADV	
reihe	series	reih	series	;SG	N
reihe	hàng	reih	hàng	;SG	N
süden	nam	süden	nam	V;NFIN	N
entfernt	bỏ	entfernt	bỏ	ADJ	V
entfernt	xóa	entfernt	xóa	ADJ	V
gemacht	chế	machen	chế	V;V.PTCP	N
gemacht	lam	machen	lam	V;V.PTCP	N
kleinen	kleine	klein	kleine	ADJ;PL	
kleinen	xíu	klein	xíu	ADJ;PL	
kleinen	tiny	klein	tiny	ADJ;PL	
bestand	kho	bestehen	kho	V;IND;SG;3;PST;FIN	N
christian	nguyen	christian	nguyen	PROPN;NOM;MASC;SG	N
christian	christian	christian	christian	PROPN;NOM;MASC;SG	
johannes	johannes	johannes	johannes	PROPN;NOM;MASC;SG	N
johannes	johann	johannes	johann	PROPN;NOM;MASC;SG	N
johannes	johan	johannes	johan	PROPN;NOM;MASC;SG	N
johannes	gioan	johannes	gioan	PROPN;NOM;MASC;SG	N
johannes	john	johannes	john	PROPN;NOM;MASC;SG	N
erwähnt	liễu	erwähnen	liễu	V;V.PTCP	N
erwähnt	mentions	erwähnen	mentions	V;V.PTCP	N
chr	chr	chr	chr		
letzte	cuối	letzt	cuối	ADJ;NOM;FEM;SG	N
letzte	final	letzt	final	ADJ;NOM;FEM;SG	N
informationen	info	information	info	V;NFIN	
bezeichnung	denomination	Bezeichnung	denomination	ADJ	
bezeichnung	tên	Bezeichnung	tên	ADJ	N
bezeichnung	tả	Bezeichnung	tả	ADJ	N
saint	saint	sainen	saint	PROPN;NOM;SG	
saint	thánh	sainen	thánh	PROPN;NOM;SG	N
ihnen	them	sie	them	PRO;DAT;PL;3	
ihnen	cói	sie	cói	PRO;DAT;PL;3	N
ihnen	chúng	sie	chúng	PRO;DAT;PL;3	PROPN
ihnen	họ	sie	họ	PRO;DAT;PL;3	PROPN
meister	meister	meist	meister	N;NOM;MASC;SG	
meister	champion	meist	champion	N;NOM;MASC;SG	V
einigen	cầy	einige	cầy	PRO;ACC;INDF;PL	N
zuvor	trước	zuvor	trước	ADV	
zuvor	trước	zuvor	trước	ADV	
sicher	an	sicher	an	ADJ	
klar	xoã	klar	xoã	ADJ	N
joseph	giuse	joseph	giuse	PROPN;NOM;MASC;SG	N
joseph	joseph	joseph	joseph	PROPN;NOM;MASC;SG	N
ursprünglich	gốc	ursprünglich	gốc	ADJ	
ursprünglich	tác	ursprünglich	tác	ADJ	N
regierung	tủ	Regierung	tủ		N
regierung	phủ	Regierung	phủ		N
carl	karl	carl	karl	PROPN;NOM;MASC;SG	
carl	carl	carl	carl	PROPN;NOM;MASC;SG	
sieben	seven	sieben	seven	NUM	
sieben	sieben	sieben	sieben	NUM	
bevölkerung	demography	bevölkerung	demography	ADJ	V
osten	đông	osten	đông	ADV	ADJ
van	trù	van	trù	PROPN;NOM;MASC;SG	N
van	van	van	van	PROPN;NOM;MASC;SG	V
gleich	cùng	gleich	cùng	ADV	ADJ
gleich	bằng	gleich	bằng	ADV	ADP
alte	alte	alt	alte	ADJ;NOM;FEM;PL	
alte	tuổi	alt	tuổi	ADJ;NOM;FEM;PL	N
internationalen	internationale	international	internationale	ADJ;NOM;MASC;PL	N
problem	rối	probel	rối	N;NOM;SG	V
bayern	bayern	bayern	bayern	PROPN;NOM;SG	N
bayern	bavaria	bayern	bavaria	PROPN;NOM;SG	N
bayern	bayern	bayern	bayern	PROPN;NOM;SG	N
westen	tây	westen	tây	ADV	N
westen	tây	westen	tây	ADV	N
westen	westen	westen	westen	ADV	
lage	lage	lagen	lage	ADJ	
national	gạt	national	gạt	ADJ	V
graf	đếm	graf	đếm	PROPN;NOM;MASC;SG	V
graf	graf	graf	graf	PROPN;NOM;MASC;SG	N
david	david	david	david	PROPN;NOM;MASC;SG	
betrieb	thao	betreiben	thao	V;IND;SG;3;PST;FIN	N
betrieb	lay	betreiben	lay	V;IND;SG;3;PST;FIN	N
bad	do	bad	do		CONJ
bad	wc	bad	wc		N
bad	tắm	bad	tắm		V
bad	xấu	bad	xấu		ADJ
bad	kém	bad	kém		ADJ
bad	khiếp	bad	khiếp		V
bad	tệ	bad	tệ		N
bad	tắm	bad	tắm		V
baden	baden	baden	baden	PROPN;NOM;SG	N
baden	tắm	baden	tắm	PROPN;NOM;SG	V
eben	chỉ	eben	chỉ	ADV	
eben	funny	eben	funny	ADV	N
kaiser	kaiser	kaiser	kaiser		N
nie	bao	nie	bao	ADV	
nie	nie	nie	nie	ADV	N
laut	loud	laut	loud	ADP	
laut	noisy	laut	noisy	ADP	
richard	richard	richard	richard	PROPN;NOM;MASC;SG	
zog	lê	ziehen	lê	V;IND;SG;3;PST;FIN	N
zog	drew	ziehen	drew	V;IND;SG;3;PST;FIN	
hermann	hermann	herminnen	hermann	PROPN;NOM;MASC;SG	N
hermann	herman	herminnen	herman	PROPN;NOM;MASC;SG	
berliner	berliner	berliner	berliner	PROPN	N
amerikanischen	american	amerikanisch	american	ADJ;NOM;PL	N
amerikanischen	mỹ	amerikanisch	mỹ	ADJ;NOM;PL	N
san	san	san	san	PROPN;NOM;NEUT;SG	
karriere	nghiệp	karrieren	nghiệp	V;IND;SG;3;PST;FIN	ADJ
zehn	zehn	zehn	zehn	NUM	
center	tâm	center	tâm	PROPN;SG	
bilder	pics	Bild	pics	N;NOM;NEUT;PL	
sollen	nên	sollen	nên	V;IND;PL;3;PRS;FIN	CONJ
vermutlich	chu	vermutlich	chu	ADJ	
erreicht	hoài	erreichen	hoài	V;V.PTCP	N
erreicht	phone	erreichen	phone	V;V.PTCP	N
erreicht	đa	erreichen	đa	V;V.PTCP	
beitrag	đăng	beitregen	đăng	N;SG	V
main	chính	main	chính	PROPN;NOM;MASC;SG	PART
main	main	main	main	PROPN;NOM;MASC;SG	N
meiner	mỏ	mein	mỏ	PRO;NOM;MASC;SG	N
meiner	mine	mein	mine	PRO;NOM;MASC;SG	
kaum	khan	kaum	khan	ADV	V
mutter	mẹ	mutter	mẹ		N
mutter	mẹ	mutter	mẹ		N
mutter	mom	mutter	mom		N
mutter	mẹ	mutter	mẹ		N
linie	line	linie	line	N	
west	tây	west	tây		N
acht	acht	acht	acht	NUM	
scheint	shines	scheinen	shines	V;IND;SG;3;PRS;FIN	
scheint	shining	scheinen	shining	V;IND;SG;3;PRS;FIN	
ziel	đích	ziel	đích	N;NOM;NEUT;SG	
ziel	đo	ziel	đo	N;NOM;NEUT;SG	V
ziel	đo	ziel	đo	N;NOM;NEUT;SG	V
lediglich	chỉ	lediglich	chỉ	ADV	
lediglich	duy	lediglich	duy	ADV	N
per	qua	per	qua	ADP	V
per	via	per	via	ADP	
per	pr	per	pr	ADP	N
per	per	per	per	ADP	
spiele	play	spiel	play	N;NOM;NEUT;PL	V
spiele	chơi	spiel	chơi	N;NOM;NEUT;PL	V
spiele	at	spiel	at	N;NOM;NEUT;PL	
spiele	gaming	spiel	gaming	N;NOM;NEUT;PL	
sachsen	saxe	sachsen	saxe	PROPN;NOM;NEUT;SG	
sachsen	saxon	sachsen	saxon	PROPN;NOM;NEUT;SG	
sachsen	görlitz	sachsen	görlitz	PROPN;NOM;NEUT;SG	
sachsen	saxony	sachsen	saxony	PROPN;NOM;NEUT;SG	N
sachsen	sachsen	sachsen	sachsen	PROPN;NOM;NEUT;SG	N
sachsen	zwickau	sachsen	zwickau	PROPN;NOM;NEUT;SG	
wolfgang	wolfgang	wolfgang	wolfgang	PROPN;NOM;MASC;SG	N
folgen	tập	folgen	tập	V;NFIN	
folgen	episodes	folgen	episodes	V;NFIN	
walter	walter	walter	walter	PROPN;NOM;MASC;SG	N
amerikanische	american	amerikanisch	american	ADJ;NOM;FEM;PL	N
amerikanische	mỹ	amerikanisch	mỹ	ADJ;NOM;FEM;PL	N
leider	alas	leider	alas	ADV	
uhr	xem	uhr	xem	N;NOM;FEM;SG	V
einzige	chỉ	einzig	chỉ	ADJ;NOM;FEM;PL	
einzige	duy	einzig	duy	ADJ;NOM;FEM;PL	N
einzige	sole	einzig	sole	ADJ;NOM;FEM;PL	
einzige	single	einzig	single	ADJ;NOM;FEM;PL	
einzige	đơn	einzig	đơn	ADJ;NOM;FEM;PL	N
liegen	xạo	liegen	xạo	V;NFIN	
liegen	couches	liegen	couches	V;NFIN	N
alexander	alexandros	alexander	alexandros	PROPN;NOM;MASC;SG	N
alexander	aleksandr	alexander	aleksandr	PROPN;NOM;MASC;SG	N
alexander	alexander	alexander	alexander	PROPN;NOM;MASC;SG	N
trotz	nghênh	trotz	nghênh	ADP	V
vorhanden	rảnh	vorhanden	rảnh	ADJ	V
projekt	projekt	projekt	projekt	V;FIN	N
paar	cặp	paar	cặp	ADV	N
paar	ghép	paar	ghép	ADV	V
paar	đôi	paar	đôi	ADV	NUM
paar	vài	paar	vài	ADV	DET
paar	cặp	paar	cặp	ADV	N
paar	couple	paar	couple	ADV	
paar	đôi	paar	đôi	ADV	NUM
max	đa	max	đa	PROPN;NOM;MASC;SG	
max	max	max	max	PROPN;NOM;MASC;SG	
sommer	summer	sommer	summer	ADV	
sommer	hè	sommer	hè	ADV	N
sommer	sommer	sommer	sommer	ADV	
sommer	summertime	sommer	summertime	ADV	
runde	lap	runde	lap	ADV	
runde	hiệp	runde	hiệp	ADV	N
runde	vòng	runde	vòng	ADV	N
william	william	william	william	PROPN;NOM;MASC;SG	
institut	viện	instituen	viện	ADJ	N
raum	phòng	raum	phòng	ADV	N
jean	jean	jean	jean	PROPN;NOM;MASC;SG	
aufgenommen	taken	aufnehmen	taken	V;V.PTCP	
tun	tun	tun	tun	V;NFIN	
gleichzeitig	concurrent	gleichzeitig	concurrent	ADJ	N
gleichzeitig	simultaneous	gleichzeitig	simultaneous	ADJ	
strecke	line	strecken	line	N;SG	
strecke	trail	strecken	trail	N;SG	
ehemalige	cựu	ehemalig	cựu	ADJ;NOM;FEM;PL	N
vereinigten	united	vereinigen	united	ADJ;PL	N
vereinigten	hoa	vereinigen	hoa	ADJ;PL	N
bevor	trước	bevor	trước	CONJ	
regel	norm	regel	norm	ADV	
regel	luật	regel	luật	ADV	N
daten	dữ	daten	dữ	N;NOM;NEUT;PL	V
welches	mà	welch	mà	PRO;NOM;NEUT;SG	CONJ
erledigt	lam	erledigen	lam	V;V.PTCP	N
theater	rạp	theat	rạp	N;NOM;SG	V
lag	lag	liegen	lag	V;IND;SG;3;PST;FIN	N
wollte	wanted	wollen	wanted	V;IND;SG;3;PST;FIN	N
person	người	person	người		N
mein	mein	mein	mein	PRO;NOM;MASC;SG	N
kloster	cloister	kloster	cloister	ADJ	
com	com	com	com		N
hilfe	aid	helfen	aid	N;NOM;FEM;SG	
hilfe	cứu	helfen	cứu	N;NOM;FEM;SG	V
hilfe	giúp	helfen	giúp	N;NOM;FEM;SG	V
reich	empire	reich	empire	ADJ	
reich	vương	reich	vương	ADJ	N
reich	rich	reich	rich	ADJ	
dich	các	du	các		DET
dich	bạn	du	bạn		N
dich	anh	du	anh		N
dich	cô	du	cô		N
schnell	yến	schnell	yến	ADJ	N
schnell	swift	schnell	swift	ADJ	
teile	phần	teilen	phần	ADV	N
teile	chia	teilen	chia	ADV	V
teile	share	teilen	share	ADV	V
teile	rách	teilen	rách	ADV	V
überhaupt	chính	überhaupt	chính	ADV	PART
machte	chế	machen	chế	V;IND;SG;3;PST;FIN	N
josef	giuse	josef	giuse	PROPN;NOM;MASC;SG	N
josef	joseph	josef	joseph	PROPN;NOM;MASC;SG	N
josef	josef	josef	josef	PROPN;NOM;MASC;SG	N
josef	jozef	josef	jozef	PROPN;NOM;MASC;SG	
gmbh	gmbh	gmbh	gmbh	N;NOM;FEM;SG	
google	google	google	google	PROPN;NOM;MASC;SG	N
besten	nhất	gut	nhất	ADJ	
italien	italy	italien	italy	PROPN;NOM;NEUT;SG	N
italien	italia	italien	italia	PROPN;NOM;NEUT;SG	N
hälfte	nửa	Hälfte	nửa	ADJ	NUM
euro	euros	euro	euros	PROPN;NOM;MASC;SG	NUM
euro	euro	euro	euro	PROPN;NOM;MASC;SG	
euro	euro	euro	euro	PROPN;NOM;MASC;SG	
verbindung	hã	verbindung	hã	ADJ	
verbindung	link	verbindung	link	ADJ	N
verbindung	compound	verbindung	compound	ADJ	N
nähe	gần	nähe	gần	N;NOM;FEM;SG	ADJ
nähe	close	nähe	close	N;NOM;FEM;SG	V
nähe	đóng	nähe	đóng	N;NOM;FEM;SG	V
nähe	gần	nähe	gần	N;NOM;FEM;SG	ADJ
nähe	kín	nähe	kín	N;NOM;FEM;SG	V
anders	anders	anders	anders	ADV	N
vertrag	covenant	vertragen	covenant	V;IND;SG;3;PST;FIN	
sonst	kẻo	sonst	kẻo	ADV	V
james	james	james	james	PROPN;NOM;MASC;SG	N
top	nắp	top	nắp	ADV	N
top	top	top	top	ADV	
top	đỉnh	top	đỉnh	ADV	N
bruder	bro	bruder	bro	ADJ	
bruder	huynh	bruder	huynh	ADJ	N
groß	đúc	groß	đúc	ADJ	V
groß	đại	groß	đại	ADJ	N
groß	big	groß	big	ADJ	
groß	groß	groß	groß	ADJ	
ganze	toàn	ganz	toàn	ADJ;NOM;FEM;PL	N
ganze	hẹt	ganz	hẹt	ADJ;NOM;FEM;PL	
ganze	whole	ganz	whole	ADJ;NOM;FEM;PL	
abschnitt	phần	abschneiden	phần	ADV	N
rechts	phải	rechts	phải	ADV	V
rechts	đúng	rechts	đúng	ADV	ADJ
trainer	trainer	Trainer	trainer	ADJ	
trainer	hlv	Trainer	hlv	ADJ	N
trainer	coaches	Trainer	coaches	ADJ	N
trainer	hlv	Trainer	hlv	ADJ	N
gerne	phúc	gerne	phúc	ADV	N
gerne	vui	gerne	vui	ADV	
see	xem	see	xem		V
see	hồ	see	hồ		N
französische	pháp	französisch	pháp	ADJ;NOM;FEM;PL	N
hohen	hoher	hoch	hoher	ADJ;PL	
hohen	hohe	hoch	hohe	ADJ;PL	
südlich	nam	südlich	nam	ADJ	N
zeitschrift	periodical	zeitschrefen	periodical	ADJ	
führen	chì	führen	chì	V;NFIN	N
etc	etc	etc	etc		
etc	vv	etc	vv		
studium	học	studium	học	N;NOM;NEUT;SG	V
ausbildung	luyện	ausbildung	luyện	N;FEM;SG	V
ausbildung	training	ausbildung	training	N;FEM;SG	DET
park	viên	park	viên	PROPN;NOM;SG	N
park	park	park	park	PROPN;NOM;SG	N
george	george	george	george	PROPN;NOM;MASC;SG	
wappen	khoác	wappen	khoác		N
wappen	tay	wappen	tay		N
zürich	zürich	zürich	zürich	PROPN;NOM;MASC;SG	N
zürich	zurich	zürich	zurich	PROPN;NOM;MASC;SG	N
wort	từ	wort	từ	N;NOM;NEUT;SG	ADP
internationale	internationale	international	internationale	ADJ;NOM;FEM;PL	N
dresden	dresden	dresden	dresden	PROPN;NOM;NEUT;SG	N
schreiben	chữ	schreiben	chữ	V;NFIN	N
schreiben	thư	schreiben	thư	V;NFIN	N
rudolf	rudolph	rudolf	rudolph	PROPN;NOM;MASC;SG	V
rudolf	rudolf	rudolf	rudolf	PROPN;NOM;MASC;SG	
tatsächlich	thực	tatsächlich	thực	ADJ	V
firma	ty	firma	ty	N;NOM;FEM;SG	
nahe	close	nahe	close		V
nahe	đóng	nahe	đóng		V
nahe	gần	nahe	gần		ADJ
nahe	kín	nahe	kín		V
nahe	gần	nahe	gần		ADJ
league	league	league	league	PROPN;SG	N
tore	gates	tor	gates	N;NOM;NEUT;PL	
darf	may	dürfen	may	V;IND;SG;3;PRS;FIN	ADJ
männer	hãm	männer	hãm	N;NOM;MASC;PL	V
wiener	viennese	wiener	viennese		N
hannover	hanover	hannover	hanover	PROPN;NOM;NEUT;SG	
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	N
hannover	hanover	hannover	hanover	PROPN;NOM;NEUT;SG	
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	N
hannover	newport	hannover	newport	PROPN;NOM;NEUT;SG	
werde	will	werden	will	V;SBJV;SG;3;PRS;FIN	
werde	sẽ	werden	sẽ	V;SBJV;SG;3;PRS;FIN	
werde	muốn	werden	muốn	V;SBJV;SG;3;PRS;FIN	V
gründung	quỹ	gründung	quỹ	ADJ	N
gründung	foundation	gründung	foundation	ADJ	N
gründung	nọc	gründung	nọc	ADJ	N
gründung	tạo	gründung	tạo	ADJ	V
dar	dar	dar	dar	ADV	N
beste	nhất	gut	nhất	ADJ;NOM;FEM;PL	
zeitung	báo	zeitung	báo		N
zeitung	giấy	zeitung	giấy		N
zeitung	trát	zeitung	trát		N
zeitung	zeitung	zeitung	zeitung		N
spd	spd	spd	spd	PROPN;NOM;SG	
schlacht	battle	schlacht	battle	N;NOM;FEM;SG	
richtig	phải	richtig	phải	ADV	V
richtig	đúng	richtig	đúng	ADV	ADJ
richtig	thật	richtig	thật	ADV	PART
richtig	đúng	richtig	đúng	ADV	ADJ
richtig	đúng	richtig	đúng	ADV	ADJ
division	division	division	division		N
olympischen	olympic	olympisch	olympic	ADJ;NOM;MASC;PL	N
olympischen	olympic	olympisch	olympic	ADJ;NOM;MASC;PL	N
olympischen	olympics	olympisch	olympics	ADJ;NOM;MASC;PL	N
stil	dáng	stil	dáng	ADJ	N
stil	styles	stil	styles	ADJ	
