मकर	capricorn
सुपरमैन	superman
फलित	astrologers
बुल	bulldog
बुल	bull
धब्बे	patches
धब्बे	spots
अमूल्य	priceless
विकिस्रोत	wikisource
निक	nick
पीढी	generation
माउस	mouse
क्राउन	crown
साड़ी	sari
बहुमुखी	multiple
बहुमुखी	versatile
पहियों	wta
पहियों	wheels
स्पीयर्स	spears
बहू	bride
वेबसाइटों	websites
छठा	sixth
संभाला	handled
स्पा	spa
स्पा	spas
मातृभूमि	motherland
मातृभूमि	homeland
मशीनें	machines
पनडुब्बी	submarine
मुखर	vocal
काउंटर	counter
पूर्णांक	integer
बचना	evasion
शौक	hobby
शौक	hobbies
निचला	lower
वानर	ape
नौकर	servant
बोवी	bowie
अफगान	afghan
दोहा	doha
टार्ज़न	tarzan
उदासीन	nostalgic
राजमहल	palace
बसों	buses
मॉर्गन	morgan
सतहों	surfaces
रसेल	russell
संगीतमय	musical
टिक	tick
टिक	tic
क्राइस्ट	christ
अनुप्रस्थ	transverse
प्रायोजक	sponsor
प्रायोजक	sponsors
ब्रिगेड	brigade
पॉलिसी	policy
दस्त	diarrhoea
कलाई	wrist
संभोग	intercourse
जोरदार	vehemently
अल्फ्रेड	alfred
दाखिल	filing
परित्याग	repudiate
वेल्श	welsh
वेल्श	braille
कराटे	karate
ग्रंथियों	glands
ट्रैफिक	traffic
सिखाया	taught
लिबरल	liberal
वाल	franchisee
खंडहर	debris
खंडहर	ruins
कर्क	cancer
प्रेरण	induction
लामा	lama
लेज़र	laser
बाइबल	bible
क्रमांक	number
झाँसी	jhansi
धक्का	push
धक्का	jolt
आविष्कारक	inventors
आविष्कारक	inventor
गोपनीय	encrypted
गोपनीय	secret
गोपनीय	confidential
प्रेत	zombie
स्थलीय	terrestrial
सप्ताहांत	weekend
कब्रिस्तान	cemeteries
कब्रिस्तान	cemetery
बुल्गारिया	bulgaria
पासपोर्ट	passport
प्रज्ञा	intelligence
बेशक	indeed
बेशक	surely
आइसलैंड	iceland
लोप	lop
प्रमाणीकरण	authentication
टोयोटा	toyota
ब्लाक	block
सत्यापन	verify
सत्यापन	authentication
सत्यापन	verification
रेशों	silk
प्रत्यावर्ती	alternating
ग्रैमी	grammy
लॉन्च	launches
लॉन्च	launch
बीट	beat
इमेजिंग	imaging
लटका	hung
कैटरीना	katrina
डिस्ट्रिक्ट	district
काठमांडू	kathmandu
अरोड़ा	arora
सीखना	learning
वेश	dressed
डॉक्टरों	doctors
पक्का	sure
गला	throat
गला	neck
हैदर	haider
सुगमता	accessibility
स्ट्रॉस	strauss
गार्सिया	garcia
निद्रा	sleep
बहाने	excuses
एक्सप्लोरर	explorer
छल	harassment
छल	guile
आलम	alam
बिज़नेस	business
प्रतिबद्ध	committed
कॉलोनी	colony
आवंटन	allocation
आवंटन	allotment
बाला	bala
कार्लोस	carlos
हुमायूँ	humayun
अनीता	alice
अनीता	anita
अनोखा	quaint
अनोखा	unique
अनोखा	novel
रिएक्टर	reactor
करीना	karina
कपाल	skull
श्रोता	listeners
श्रोता	listener
श्रोता	audience
कॉमन	common
आपेक्षिकता	relativity
लेम्बोर्गिनी	lamborghini
प्याज	onions
प्याज	onion
असीमित	infinite
असीमित	limitless
असीमित	unlimited
माउंटबेटन	mountbatten
बग	bug
बग	bugs
मॉस्को	moscow
बूटी	booty
सोम	soma
सोम	som
सोम	mon
पानीपत	panipat
चन्द्रशेखर	chandrasekhar
टर्नर	turner
हिमानी	glacier
हिमानी	himalayas
ट्रांस	trans
मेहमान	guests
मेहमान	guest
नियमन	regulation
जहर	poison
मगरमच्छ	crocodile
गतिज	kinetic
तन	tan
यूटीसी	utc
वेनिस	venice
खांसी	cough
आईएसओ	iso
पिंडों	ingots
युगांडा	uganda
संख्याएँ	numbers
जब्त	seized
सुगंध	fragrances
सुगंध	aroma
जस्टिन	justin
सरकारें	governments
अहंकार	ego
ज़ाहिर	disclose
अंबेडकर	ambedkar
ठेठ	typical
चिंताओं	anxieties
फ़ोर्स	force
उलट	inverted
मोरक्को	morocco
सुमात्रा	sumatra
छड़ी	stick
सीरम	serum
नतीजतन	consequently
दाम	price
नहरें	canal
नहरें	rivers
हमलावर	attackers
नॉर्मन	norman
सराहा	appreciated
लैंडिंग	landing
माँगा	manga
नाविक	sailor
नाविक	navigator
प्रमाणों	yok
स्थायित्व	endurance
स्थायित्व	standings
कावेरी	kaveri
इन्दौर	indore
हावर्ड	howard
साम्यवाद	communism
पैमाना	scope
पैमाना	scale
तंबाकू	tobacco
चिड़िया	bird
पराग	pollen
सूर	sur
उमा	uma
प्री	pre
कफ	cuff
मैथुन	intercourse
मैथुन	sex
ग्राफिक्स	graphics
संचारित	transmit
पराबैंगनी	ultraviolet
ताम्र	copper
योजनाएं	schemes
केल्विन	kelvin
अल्पकालिक	ephemeral
अनुपस्थित	absent
अनुपस्थित	missing
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	pesticide
लार	saliva
सुनहरे	blonde
आगंतुक	visitor
फ़ॉर्मूला	formula
चीज़ें	things
ग्राफिक	graphic
लूप	loop
अथर्ववेद	atharvaveda
पेरी	peri
पेरी	perry
फिल्माया	filmed
सम्मिश्रण	blending
चम्मच	dipper
चम्मच	spoon
ग्रा	gras
दुकानें	shops
दुकानें	stores
दुकानें	stalls
अनुपयुक्त	incongruous
नरेंद्र	narendra
विरोधाभास	paradox
जैम	zam
जैम	jam
चेयरमैन	chairman
रिश्तेदार	relative
रिश्तेदार	relatives
कचरा	trash
कचरा	garbage
थैली	pouch
प्रतियोगियों	competitors
असिमोव	asimov
स्प्रिंग	spring
पिज़्ज़ा	pizza
त्रावणकोर	travancore
जाली	lattice
दैवी	oracle
दैवी	divine
साइबर	cyber
ग़रीब	poor
छात्रवृत्ति	scholarship
विषैले	venomous
लिखें	write
लिखें	compose
लिखें	burn
देवों	devon
सोडा	soda
हुकूमत	kingdom
हुकूमत	domination
डॉक्टरेट	doctorate
डॉक्टरेट	doctoral
विला	villas
विला	villa
सटीकता	accuracy
कोला	kola
कोला	colombo
कोला	cola
धमनियों	arteries
प्रतिजन	antigen
अदालतों	courts
ग्राहम	graham
सर्वोपरि	paramount
प्लेटों	plates
रंजीत	ranjit
सिरा	sira
प्रमाणन	certification
खरीदी	purchased
खरीदी	bought
मिटा	erase
दुखी	miserable
दुखी	sad
न्यूट्रॉन	neutron
इमरान	imran
निरीक्षक	surveyor
निरीक्षक	supervisor
निरीक्षक	observer
अल्फ़ा	alpha
हैरिस	harris
सावधान	discreet
गियर	gear
राजतंत्र	monarchy
अंडाकार	elliptical
सर्कस	circus
अल्बानिया	albania
हीलियम	helium
बादाम	almond
बादाम	almonds
कगार	ledge
कगार	verge
निष्कर्षों	findings
नागा	naga
प्राचल	parameter
कामकाज	housework
कामकाज	functioning
मिनेसोटा	minnesota
पृथक्करण	severance
पृथक्करण	segregation
अंडा	egg
परवेज़	pervez
एलर्जी	allergy
माइक्रो	micro
वर्दी	uniforms
वर्दी	uniform
उत्कृष्टता	perfection
सूर्यास्त	sunset
ताँबा	copper
ऐश	ash
कैलोरी	calorie
कैलोरी	calories
कैलोरी	cal
ईमानदारी	honesty
ईमानदारी	sincerity
मताधिकार	franchise
वृत्ताकार	circular
निर्वासित	outlaw
निर्वासित	deport
सरस	juicy
स्ट्रिंग	string
स्फटिक	quartz
बुनाई	weaving
बुनाई	knitting
विवाहित	married
आभा	aura
ईद	eid
मांसाहारी	carnivorous
बॉन	bonn
बॉन	bon
पाँव	feet
केश	kesh
द्वेष	hatred
द्वेष	malice
रेखांकित	underlined
रेखांकित	underline
कॉलम	column
कॉलम	columns
समस्थानिक	isotope
चट्टोपाध्याय	chatterjee
कहावत	proverb
कहावत	dictum
कहावत	maxim
कहावत	adage
टेड	ted
समष्टि	space
दुर्घटनाओं	accidents
शायरी	poetry
टेलीग्राफ	telegraph
प्रत्याशी	candidate
आवेग	momentum
आवेग	impulse
मुंडा	munda
बर्नार्ड	bernard
बर्नार्ड	barnard
अध्यात्म	spirituality
सचेत	conscious
एमिनेम	eminem
सुनी	listened
किशोरों	teens
धर्मार्थ	charities
धर्मार्थ	charity
डेव	dave
पारा	mercury
पारा	para
धोखे	deceived
हार्ले	harley
पेंट	paint
निदेशालय	directorate
सोन	son
नीलामी	auction
नीलामी	auctions
पट्टे	leasing
पट्टे	lease
नाटो	nato
ब्रह्मचर्य	chastity
ब्रह्मचर्य	celibacy
ग्लेन	glen
ग्लेन	glenn
विरल	sporadic
विरल	rare
पिया	drank
आयामी	dimensional
पोर्टफोलियो	portfolio
नवाचार	innovation
डायमंड	diamond
महंगी	expensive
फ्रायड	freud
तर्कसंगत	rational
पीना	drinking
पीना	drink
आप्रवासी	expatriates
स्ट्रिप	strip
संलयन	fusion
अब्दुल्ला	abdullah
वर्जिन	virgin
अय्यर	iyer
डेप	depp
चक्रों	chakra
सिन्धी	sindhi
मानकीकृत	standardized
मुहाफ़ज़ाह	governorate
प्रोसेसिंग	processing
अवस्थिति	placement
अवस्थिति	location
अवस्थिति	locations
वार्मिंग	warming
मार्गदर्शक	guide
विभिन्नता	variation
ढोल	drum
क्वार्क	quark
अवकल	differential
राजसी	majestic
राजसी	regal
टिकाऊ	sustainable
टिकाऊ	durable
जबरदस्त	tremendous
क्रोमियम	chromium
कूप	coupe
एकरूपता	uniformity
कीन	keane
स्टेनली	stanley
सिन्ध	sindh
साहेब	saheb
लेखनी	pen
वक्ष	thorax
अखबारों	newspapers
मध्यस्थता	arbitration
मध्यस्थता	mediation
सोल	sol
किक	kick
आयोडाइड	iodide
धड़कन	beat
धड़कन	heartbeat
धड़कन	beating
छल्ले	rings
क्रेन	crane
आखरी	last
क्षेत्ररक्षण	captain
क्षेत्ररक्षण	fielding
लिली	lili
लिली	lilly
लिली	lily
बेली	bailey
बेली	belly
ग्रहीय	planetary
मॉनिटर	monitor
नायडू	naidu
कोक	coke
मेलबोर्न	melbourne
करुणा	kindness
मुठभेड़	scrimmage
मुठभेड़	encounter
अकसर	often
मशरूम	mushrooms
मशरूम	mushroom
शांतिपूर्ण	peaceful
गरुड़	garuda
फ्लू	flu
नरक	hell
ट्री	tree
बेलन	cylinder
बोलना	speaking
अवरोधित	blocked
आत्मविश्वास	confident
आत्मविश्वास	confidence
कुपोषण	malnutrition
लापता	missing
नूर	noor
कंटेनर	container
राई	rai
दुश्मनों	enemies
वाइड	wide
फर्नीचर	furniture
वारिस	heir
वारिस	heirs
वारिस	waris
आधुनिकीकरण	modernized
आधुनिकीकरण	modernisation
परिवर्तनशील	variable
मच्छर	mosquito
अनजान	unknown
ग्रांट	grant
मैग्नीशियम	magnesium
सनी	sunny
प्लेटफॉर्म	platform
घुस	penetrate
भावुक	emotional
भावुक	sentimental
कैन	cain
कैन	cannes
