firenzei	florentine
figyelt	diawasi
judo	judo
díszlet	permandangan
díszlet	set
duke	duke
ellátás	bekalan
ellátás	bekalan
gedeon	gideon
ruhát	pakaian
ruhát	baju
rákos	barah
rákos	kanser
far	far
far	jauh
alabama	alabama
majom	monkey
majom	monyet
majom	beruk
majom	kera
kasztília	castilla
teatro	teatro
merész	bold
merész	tebal
merész	nekad
josh	josh
jezsuiták	jesuit
dohány	tembakau
nbc	nbc
üstökös	komet
univerzális	universal
platina	platinum
powell	powell
fegyverzet	armament
fegyverzet	persenjataan
csökkentette	lowered
nyitó	pembukaan
nyitó	opening
szerencse	keberuntungan
szerencse	fortune
szerencse	bertuah
szerencse	beruntung
szerencse	tuah
szerencse	luck
termékeket	produk
sokoldalú	serbaguna
szalag	pita
szalag	tape
szalag	pita
szalag	reben
szalag	strip
vágás	cutting
vágás	dipotong
vágás	cut
vágás	memotong
vágás	potong
vágás	menyunting
vágás	editing
vágás	suntingan
vágás	penyuntingan
vágás	bantai
felismerhető	dikenali
testek	jasad
testek	mayat
őrmester	sarjan
őrmester	sarjan
qui	qui
manhattan	manhattan
tisztviselő	pentadbiran
tisztviselő	pentadbir
tisztviselő	rasmi
tisztviselő	official
vancouver	vancouver
állatorvos	vet
állatorvos	veterinar
brüsszelben	brussels
eugene	eugene
konstantinápoly	constantinople
prof	prof
fogadó	penganjur
fogadó	host
fogadó	hos
fogadó	penginapan
fogadó	penerima
apostolok	rasul
szándékos	disengajakan
szándékos	disengaja
hívő	mukmin
egyetemek	universiti
abdul	abdul
app	app
app	aplikasi
íze	citarasa
íze	rasa
íze	taste
íze	merasai
íze	selera
íze	selera
túlélő	terselamat
tengerparton	seaside
tengerparton	beach
tengerparton	pantai
kristályos	crystal
kristályos	hablur
kristályos	kristal
kristályos	hablur
xavier	xavier
csúnya	hodoh
viszonylagos	relatif
oregon	oregon
sztár	star
sztár	bintang
kevesebbet	kurang
kevesebbet	kurangkan
kevesebbet	less
silvio	silvio
egyensúly	imbangan
egyensúly	baki
egyensúly	keseimbangan
xxii	xxii
orlando	orlando
june	june
june	jun
bernhard	bernhard
jevgenyij	yevgeny
díszítették	dihiasi
megegyezés	penyelesaian
megegyezés	perjanjian
megegyezés	agreement
megegyezés	persetujuan
megegyezés	susunan
felépített	dibina
összefüggés	konteks
összefüggés	context
barcelonai	barcelona
igazolja	membenarkan
vándor	pengembara
ingatlan	property
ingatlan	hartanah
ital	minuman
ital	minum
ital	minuman
szemek	mata
szemek	bijian
sovány	skinny
sovány	kurus
sovány	elak
sovány	nipis
erődítmény	perkubuan
ciudad	ciudad
krónikák	kronik
hajóval	kapal
hajóval	ship
szintetikus	synthetic
szintetikus	sintetik
lezuhant	terhempas
lezuhant	rosak
kézikönyv	manual
megkötött	menyimpulkan
raf	raf
raf	tud
tizenkettedik	twelfth
dio	dio
ügynökség	agensi
tobago	tobago
uralta	didominasi
adler	adler
gmbh	gmbh
jet	jet
elhelyezve	berkedudukan
elhelyezve	diletak
zen	zen
bika	bull
alkalmaz	pekerjanya
szatirikus	satirical
hangos	bising
hangos	keras
hangos	bising
mono	mono
lars	lars
polo	polo
tank	tangki
tank	tank
tao	tao
érzés	feeling
érzés	perasaan
deutsch	deutsch
pillanat	momen
pillanat	moment
ártatlan	innocent
nickelodeon	nickelodeon
vigyázz	watch
vigyázz	tonton
kaiser	kaiser
piquet	piquet
tanul	berlajar
tanul	belajar
tanul	pembelajaran
tanul	learning
tanul	pelajari
tanul	belajarlah
tanul	belajar
ghz	ghz
incidens	insiden
incidens	insiden
díszítő	ornamental
nicolae	nicolae
butler	butler
dale	dale
roosevelt	fdr
roosevelt	roosevelt
kézműves	kraf
kézműves	craft
kézműves	artisan
kézműves	kraf
obszervatórium	observatory
michele	michele
föderáció	persekutuan
chen	chen
enzim	enzim
enzim	enzim
mansell	mansell
robbant	meletop
halvány	pengsan
halvány	pale
halvány	pucat
tárgyalt	negotiated
táplálék	nutrisi
táplálék	pemakanan
táplálék	nutrition
táplálék	makanan
funkciók	fungsi
funkciók	fungsinya
funkciók	kefungsian
promóciós	promo
promóciós	promosi
palmer	palmer
edzés	senaman
edzés	latihan
edzés	latih
edzés	amalan
edzés	latihan
edzés	training
tmb	tmb
fuvola	seruling
melinda	melinda
zita	zita
mássalhangzó	konsonan
próba	test
próba	rehearsal
próba	latihan
próba	raptai
próba	cubaan
próba	percubaan
próba	testing
win	win
win	menang
hangokat	suara
fellini	fellini
fokozatos	progresif
angela	angela
öröm	joy
öröm	kegembiraan
öröm	keseronokan
öröm	kesenangan
madridi	madrid
texasi	texan
texasi	texas
összecsapás	clash
összecsapás	konfrontasi
összecsapás	smackdown
közzétett	dikirim
közzétett	disiarkan
közzétett	diterbitkan
gyakorlatok	latihan
gyakorlatok	amalan
kozák	cossack
reformok	pembaharuan
reformok	reformasi
társult	mengaitkan
folt	noda
folt	spot
folt	tampalan
diamond	berlian
diamond	diamond
diamond	intan
dízel	diesel
audio	audio
hunok	hun
termelő	produktif
termelő	pengeluar
életmód	lifestyle
facto	facto
chapman	chapman
millennium	milenium
millennium	alaf
bosszú	dendam
bosszú	dendam
cicero	cicero
tisztelet	hormat
tisztelet	respect
emírségek	emiriah
emírségek	emirates
terror	terror
terror	teror
betöltötte	dipenuhi
betöltötte	diisi
burkina	burkina
irma	irma
dalmát	dalmatian
galériában	galeri
galériában	gallery
közvetítő	broker
közvetítő	perantara
közvetítő	perantara
trófea	piala
trófea	trofi
terápiás	terapeutik
küzd	berjuang
küzd	bergelut
miranda	miranda
hülye	bodoh
hülye	stupid
fejes	pengepala
örökké	forever
örökké	selamanya
kukorica	jagung
kukorica	jagung
damon	damon
tulajdonosai	pemilik
tulajdonosai	owners
tesztek	ujian
szerelvény	keretapi
szerelvény	kereta
szerelvény	latih
szerelvény	perhimpunan
szerelvény	assembly
domain	domain
helena	helena
nagykövet	duta
reakciók	reaksi
reakciók	reaksi
reakciók	tindakbalas
rövidített	dipendekkan
elsüllyedt	sunken
sátán	syaitan
bejegyzett	berdaftar
bejegyzett	didaftarkan
alany	subjek
asztali	table
asztali	jadual
asztali	meja
asztali	desktop
káosz	kekacauan
káosz	kekusutan
hyde	hyde
meggyőzni	meyakinkan
meggyőzni	pujuk
állva	berdiri
hajnalban	subuh
hajnalban	fajar
őszinte	ikhlas
őszinte	asli
őszinte	tulen
őszinte	genuine
őszinte	jujur
meteor	meteorite
meteor	meteor
crassus	crassus
doki	dok
doki	doc
szertartás	upacara
szertartás	rite
szertartás	ritual
fájdalmas	menyakitkan
színtelen	colorless
lantos	lantos
alkalmanként	sesekali
alkalmanként	sesekali
menekülés	getaway
menekülés	escape
suárez	suarez
rev	rev
elvis	elvis
befolyás	pengaruh
számol	membilang
trió	trio
javítás	membaiki
javítás	baikpulih
javítás	pembetulan
javítás	pembaikian
javítás	pembaikan
feltételes	bersyarat
feltételes	parol
ich	ich
fulham	fulham
befolyással	pengaruh
lisszabon	lisbon
teremtés	penciptaan
meggyilkolt	dibunuh
mozilla	mozilla
leicester	leicester
humor	komedi
humor	humor
humor	lawak
humor	jenaka
humor	humor
humor	lawak
vonattal	keretapi
vonattal	kereta
vonattal	latih
megmenti	menjimatkan
ronnie	ronnie
meta	meta
baptiste	baptiste
neme	jantina
duó	duo
pet	pet
szállítási	delivery
szállítási	penghantaran
csecsemő	bayi
csecsemő	infant
utah	utah
legmélyebb	terdalam
mélységben	kedalaman
átlátszó	ketelusan
átlátszó	telus
átlátszó	lutsinar
korlátlan	unlimited
operát	opera
paraszt	petani
para	para
kölyök	kid
érdekelt	berminat
azonkívül	disamping
tanúsított	diperakui
tanúsított	certified
temple	temple
temple	kuil
savanyú	sour
savanyú	masam
louisiana	louisiana
wisconsin	wisconsin
key	kekunci
tapasztalat	experience
tapasztalat	pengalaman
veronica	veronica
valois	valois
api	api
ragaszkodott	berkeras
ragaszkodott	bertegas
foltok	tampalan
foltok	patches
foltok	bintik
sérülések	kecederaan
lóerős	bhp
wang	wang
cache	cache
tajvani	taiwan
tajvani	taiwan
rotterdam	rotterdam
írjon	tulis
áldozatai	mangsa
áldozatai	korban
baszk	basque
python	python
erőteljesen	vigorously
szemet	eye
szemet	mata
romeo	romeo
ibrahim	ibrahim
veszteség	kerugian
veszteség	kerugian
como	como
hajózási	penghantaran
minősített	berkelayakan
minősített	layak
minősített	penarafan
minősített	diperakui
minősített	certified
benz	benz
operett	operet
namíbia	namibia
tudatában	sedar
törekszik	berjihad
díjakat	hadiah
évszak	musim
évszak	musim
kincstár	perbendaharaan
españa	españa
rövidítés	singkatan
rövidítés	akronim
rövidítés	singkatan
rövidítés	pintasan
bővítése	besarkan
szarvasmarha	ternakan
szarvasmarha	lembu
szarvasmarha	ternak
jeges	ais
jeges	iced
mesterségesen	artificially
xxiii	xxiii
változók	pembolehubah
rush	rush
rush	gelojoh
rush	berkejar
bíbor	purple
bíbor	crimson
constantin	constantin
martha	martha
torre	torre
keszthely	keszthely
palesztin	palestine
palesztin	palestin
palesztin	palestin
aviv	aviv
legősibb	tertua
megőrzése	mengekalkan
megőrzése	pemeliharaan
cohen	cohen
képességek	keupayaan
képességek	kebolehan
képességek	keupayaan
képességek	kemampuan
képességek	kemahiran
képességek	keupayaan
képességek	kemampuan
haller	haller
federer	federer
patricia	patricia
parkok	taman
gazdálkodás	pengurusan
gazdálkodás	management
gazdálkodás	perladangan
gazdálkodás	bertani
gazdálkodás	pertanian
pentium	pentium
berry	berry
újságok	akhbar
mir	mir
hannah	hannah
sportban	sukan
gil	gil
kölni	cologne
gerincesek	vertebrates
ace	sat
foix	foix
chicagói	chicago
kétnyelvű	bilingual
létrehozva	mencipta
létrehozva	dicipta
zero	zero
zero	sifar
karibi	carribean
karibi	caribbean
praktikus	praktikal
praktikus	practical
praktikus	berguna
hepburn	hepburn
következetesen	konsisten
következetesen	konsisten
megölni	membunuh
megölni	kill
megölni	bunuh
gérard	gérard
bennszülött	peribumi
bennszülött	tabii
fenntartható	mampan
vonzó	menarik
homoszexuális	homosexual
homoszexuális	homoseksual
kombinált	digabungkan
kombinált	gabungan
aromás	aromatik
hatékonyan	cekap
hatékonyan	cekap
énekli	bernyanyi
granada	granada
terhesség	kehamilan
vezeték	wayar
vezeték	pendawaian
készítő	maker
készítő	pembuat
richardson	richardson
ruha	pakaian
ruha	pakaian
ruha	outfit
ruha	dress
ruha	pakaian
ruha	baju
woody	woody
vie	vie
gyűrűt	ring
gyűrűt	cincin
tartósan	tekun
tartósan	gigih
tartósan	berterusan
tanítani	pengajaran
tanítani	ajar
kifejezett	diucapkan
kifejezett	explicit
kifejezett	eksplisit
kifejezett	diungkap
kifejezett	diungkapkan
adók	cukai
adók	cukai
österreich	österreich
húsvét	easter
rabszolga	budak
lily	lily
genfi	geneva
zár	lock
zár	kunci
zár	mengunci
zár	penguncian
zár	menutup
lépcső	stairway
lépcső	step
lépcső	langkah
lépcső	langkah
lépcső	steps
lépcső	tangga
szárnyai	sayap
szárnyai	wings
zeitung	zeitung
carol	carol
vitorlázás	pelayaran
vitorlázás	belayar
éjjeli	nokturnal
éjjeli	nite
vedd	ambil
vedd	ambik
koronás	dinobatkan
rab	banduan
rab	rab
szárazföld	land
szárazföld	tanah
szárazföld	darat
szárazföld	kontang
szárazföld	mainland
pleisztocén	pleistosen
élettartama	lifespan
kint	luar
kint	diluar
felügyelet	pengawasan
javak	barangan
baskír	bashkir
thomson	thomson
alejandro	alejandro
salamanca	salamanca
messier	messier
bárhol	anywhere
sarthe	sarthe
terápia	therapy
terápia	terapi
gorkij	gorky
egészség	kesihatan
testőr	bodyguard
gilles	gilles
burke	burke
sebészeti	pembedahan
köztes	pertengahan
henderson	henderson
martín	martín
érdeklődő	petunjuk
érdeklődő	berminat
darabjai	kepingan
darabjai	potongan
darabjai	cebisan
ívelt	melengkung
látvány	penglihatan
tengerész	sailor
tengerész	pelaut
tengerész	kelasi
tengerész	marin
tengerész	marine
tengerész	seaman
tengerész	kelasi
ütközik	berlanggar
disco	disco
disco	disko
wells	wells
wells	telaga
valentin	valentin
valentin	valentine
fehérjék	protein
fehérjék	protein
esőerdők	rainforests
felfogás	persepsi
felfogás	persepsi
táblázatok	hamparan
találkoztam	bertemu
támadásokat	serangan
emlékezés	mengingati
cirkusz	circus
cirkusz	sarkas
ungvár	ung
januári	januari
erőforrások	resources
erőforrások	sumber
melléknév	adjektif
rituális	ritual
fiziológiai	physiological
fiziológiai	fisiologi
labor	labs
labor	makmal
labor	makmal
harangtorony	belfry
meztelen	naked
meztelen	nude
inn	penginapan
valladolid	valladolid
engedéllyel	berlesen
engedéllyel	licensed
érdekességek	curiosities
tallinn	tallinn
tavi	tasik
tavi	lake
fölötte	diatas
csíkos	bergaris
csíkos	belang
értelem	intelligence
értelem	kecerdasan
értelem	perisikan
értelem	intelek
értelem	deria
értelem	akal
papa	papa
földek	lands
földek	tanah
földek	bidang
földek	medan
legfrissebb	terkini
legfrissebb	terbaru
hasonlóak	serupa
hasonlóak	seiras
árnyék	bayang
árnyék	bayangan
árnyék	bayang
árnyék	shadow
árnyék	bebayang
árnyék	naungan
klinika	klinik
tágas	luas
wing	sayap
wing	wing
belize	belize
márciusi	mac
márciusi	march
falat	wall
falat	dinding
ellis	ellis
bergman	bergman
oldalakon	pages
oldalakon	mukasurat
oldalakon	halaman
érd	minat
érd	interest
érd	faedah
invázió	pencerobohan
tojást	telor
tojást	telur
tojást	telor
tojást	egg
tojást	telur
támogatói	penyokong
flavius	flavius
kifejező	ekspresif
koszovó	kosovo
kifutó	catwalk
kifutó	landasan
nyaka	leher
earl	earl
legelő	berihat
cselekvés	action
cselekvés	tindakan
cselekvés	aksi
cselekvés	laga
mechanizmus	mekanisma
mechanizmus	mekanisme
eszik	makan
őrző	keeper
őrző	guardian
őrző	wali
mozaik	mozek
alto	alto
stevens	stevens
savas	acidic
savas	asam
savas	asid
súly	berat
thriller	ngeri
thriller	thriller
ericsson	ericsson
fennmaradó	baki
fennmaradó	berbaki
parancsnokság	arahan
parancsnokság	perintah
gerard	gerard
lionel	lionel
rovat	box
rovat	kotak
norma	norma
norma	norma
megkülönböztető	diskriminasi
rubin	rubin
rubin	ruby
szálak	gentian
szálak	bebenang
feudális	feudal
puglia	puglia
betty	betty
hiphop	hiphop
bejegyzés	kemasukan
bejegyzés	pos
bejegyzés	post
mad	sewel
mad	giler
mad	mad
jeffrey	jeffrey
mariah	mariah
kiskorú	minor
mozambik	mozambique
mítosz	mitos
portsmouth	portsmouth
andre	andre
andre	andré
nyomozás	siasatan
nyomozás	siasatan
nyomozás	penyiasatan
nyomozás	penyelidikan
nyomozás	menyiasat
burrows	burrows
ljubljana	ljubljana
jótékony	bersedekah
jótékony	bermanfaat
strand	beach
strand	pantai
strand	strand
kylie	kylie
méh	rahim
méh	rahim
méh	lebah
méh	kelulut
méh	bee
nina	nina
golyó	bola
golyó	bebola
golyó	peluru
golyó	peluru
golyó	bullet
erőforrás	sumber
erőforrás	resources
erőforrás	sumber
gall	gall
gall	hempedu
gall	gaul
hosszúkás	oblong
brooks	brooks
stones	batu
dokumentáció	dokumentasi
rousseau	rousseau
oak	oak
oak	ek
gyűjteni	mengumpul
gyűjteni	collect
gyűjteni	mengumpul
gyűjteni	kutip
típusai	jenis
fogyasztás	pemakaian
mode	mod
rainer	rainer
manó	goblin
manó	elf
manó	bunian
astra	astra
vállalkozások	syarikat
vállalkozások	enterprises
vállalkozások	perniagaan
hidraulikus	hidraulik
kairó	kaherah
titanic	titanic
mao	mao
középfokú	secondary
középfokú	sekunder
szülés	lahir
szülés	melahirkan
szülés	birth
szülés	kelahiran
szülés	beranak
szülés	bersalin
szülés	persalinan
denevérek	kelawar
stanford	stanford
funk	funk
hűvös	chilly
katar	qatar
cirkáló	cruiser
elektronok	elektron
nob	nob
marius	marius
lépések	langkah
lépések	steps
gőz	stim
gőz	kukus
fenntartani	mengekalkan
fenntartani	maintain
drake	drake
jámbor	bertaqwa
mohammed	muhammad
mohammed	mohammed
bőséges	abundance
bőséges	melimpah
szándék	niat
szándék	niat
szándék	niat
oklahoma	oklahoma
papság	ulama
papság	pendita
klán	clan
klán	suku
klán	puak
klán	klan
cseng	berdengung
cseng	cheng
pestis	wabak
toni	toni
elefánt	gajah
elefánt	gajah
christine	christine
anyagilag	financially
fejlesztők	pembangun
fejlesztők	pemaju
ghost	ghost
ghost	hantu
megnyitó	pembukaan
megnyitó	opening
jensen	jensen
csi	csi
csi	csi
olaf	olaf
megerősíti	menegaskan
megerősíti	mengesahkan
alkalmatlan	memadai
fogyasztói	consumer
dawn	subuh
dawn	fajar
hurley	hurley
piazza	piazza
arcát	muka
arcát	wajah
padova	padova
bibliográfia	bibliografi
alexandru	alexandru
elégedett	puas
vizsga	exam
vizsga	peperiksaan
vizsga	pemeriksaan
einer	einer
rajzok	lakaran
rajzok	sketsa
rajzok	lukisan
népszerűek	popular
med	med
színházak	teater
kúp	kon
fisher	fisher
hammer	hammer
hammer	tukul
küldi	menghantar
sherman	sherman
lombhullató	luruh
