the	the
staff	staff
goal	tujuan
goal	gawang
goal	sasaran
goal	goal
goal	gol
agree	setuju
bad	buruk
bad	jahat
bad	bad
attendance	kehadiran
populated	dihuni
nature	alam
nature	nature
allowed	diizinkan
allowed	diijinkan
allowed	diperbolehkan
captain	kapten
mount	gunung
mount	mount
mount	kait
township	kotamadya
calculated	dihitung
structures	struktur
hard	susah
hard	hard
hard	keras
saying	berkata
saying	mengatakan
manager	manager
manager	manajer
manager	pengelola
earlier	sebelumnya
earlier	tadi
elections	pemilu
meet	bertemu
meet	meet
meet	temui
box	box
box	boks
box	kotak
lines	baris
lines	lines
lines	garis
democratic	demokratik
democratic	demokratis
democratic	demokrat
democratic	demokrasi
success	sukses
success	kesuksesan
success	berhasil
success	keberhasilan
associated	dikaitkan
associated	diasosiasikan
associated	terkait
singles	tunggal
traditional	traditional
traditional	tradisional
rest	istirahat
rest	beristirahat
highway	highway
matter	materi
particularly	terutama
wide	lebar
wide	wide
wide	luas
month	bulan
care	peduli
care	perawatan
care	care
admin	admin
cultural	kebudayaan
cultural	budaya
commission	komisi
plan	rencana
plan	plan
plan	rencanakan
practice	praktek
practice	latihan
practice	praktik
practice	berlatih
command	perintah
command	komando
nomination	nominasi
jersey	jersey
parties	pesta
parties	pihak
michigan	michigan
anyone	anyone
anyone	siapapun
master	master
master	guru
noted	dicatat
usa	as
usa	usa
stop	berhenti
stop	stop
feature	fitur
engine	engine
engine	mesin
response	respon
response	tanggapan
response	respons
needed	diperlukan
needed	dibutuhkan
illinois	illinois
afd	afd
experience	pengalaman
engineering	teknik
engineering	rekayasa
silver	perak
silver	silver
separate	terpisah
separate	pisahkan
separate	memisahkan
separate	dipisah
secretary	sekretaris
secretary	menteri
secretary	sekertaris
dutch	belanda
lee	lee
recording	merekam
recording	rekaman
recording	perekaman
prime	prime
prime	perdana
rules	rules
rules	peraturan
rules	aturan
uploaded	mengunggah
uploaded	diunggah
uploaded	unggahan
trying	nyoba
trying	berusaha
trying	mencoba
youth	pemuda
scotland	scotland
scotland	skotlandia
iii	iii
houses	rumah
heart	hati
heart	heart
heart	jantung
room	ruang
room	ruangan
room	kamar
room	forum
room	room
stone	batu
stone	stone
shown	ditampilkan
shown	diperlihatkan
shown	ditunjukkan
deal	deal
deal	penawaran
deal	kesepakatan
drama	drama
scores	skor
dead	tewas
dead	dead
dead	mati
key	kunci
key	key
shot	shot
shot	bidikan
shot	tertembak
shot	ditembak
turn	gilirannya
turn	belok
turn	turn
turn	giliran
occupation	penjajahan
occupation	pendudukan
scottish	skotlandia
executive	executive
executive	eksekutif
plant	tanaman
plant	plant
plant	tumbuhan
promoted	dipromosikan
villages	desa
languages	bahasa
internet	internet
feel	feel
feel	merasa
feel	rasakan
covered	tertutupi
covered	ditutupi
covered	tercakup
merge	gabung
merge	gabungkan
merge	menggabungkan
merge	penggabungan
mostly	kebanyakan
ancient	kuno
attempt	upaya
property	property
property	properti
programs	program
picture	picture
picture	gambar
finally	akhirnya
ships	kapal
fiction	fiksi
looking	mencari
secondary	sekunder
nations	nations
majority	mayoritas
edward	edward
annual	tahunan
digital	digital
mission	mission
mission	misi
claim	klaim
claim	mengklaim
seat	kursi
seat	seat
bbc	bbc
profile	profil
dance	dance
dance	dansa
dance	tari
dance	menari
dance	tarian
prize	prize
doing	melakukan
georgia	georgia
port	pelabuhan
port	dermaga
port	port
pacific	pacific
pacific	pasifik
castle	kastil
castle	istana
castle	castle
castle	benteng
pass	oper
pass	lulus
pass	pass
transport	transportasi
transport	transpor
transport	angkut
transport	transport
transport	pengangkutan
organizations	organisasi
ratio	rasio
fall	fall
fall	jatuh
global	global
era	zaman
era	era
wing	sayap
wing	wing
opinion	opini
opinion	pendapat
commander	komandan
commander	commander
commander	panglima
fort	benteng
fort	fort
effect	efek
opening	opening
opening	pembukaan
opening	membuka
fine	fine
fine	halus
purpose	tujuan
winter	winter
genus	genus
congress	kongres
activities	kegiatan
activities	aktifitas
activities	aktivitas
met	met
met	bertemu
income	pendapatan
income	penghasilan
income	pemasukan
income	income
massachusetts	massachusetts
comes	comes
peak	peak
peak	puncak
lack	kurangnya
lack	kekurangan
bass	bass
bass	kakap
super	super
complex	komplek
complex	complex
complex	rumit
complex	kompleks
academic	akademik
academic	akademisi
academic	akademis
stars	bintang
stars	stars
accounts	rekening
accounts	akun
appearance	penampilan
appearance	tampil
appearance	tampilan
asian	asian
asian	asia
asked	ditanyakan
asked	ditanya
asked	bertanya
friends	teman
friends	friends
friends	berteman
kind	kind
kind	jenis
till	till
financial	financial
financial	keuangan
financial	finansial
entry	entri
entry	masukan
entry	entry
asia	asia
sense	akal
sense	sense
sense	indera
meaning	arti
meaning	artinya
meaning	makna
actress	aktris
actress	actress
map	map
map	peta
intended	dimaksudkan
intended	ditujukan
bishop	uskup
bishop	bishop
boston	boston
rate	tarif
rate	nilai
rate	kurs
rate	laju
rate	tingkat
literature	sastra
forest	hutan
forest	forest
voice	voice
voice	suara
voice	suaranya
jack	jek
jack	jack
pre	pre
pre	pra
justice	keadilan
champion	juara
champion	champion
double	double
double	ganda
double	dobel
double	gandakan
polish	semir
polish	polandia
polish	polish
numbers	bilangan
numbers	nomor
numbers	angka
columbia	columbia
columbia	kolombia
temple	temple
temple	candi
temple	kuil
defeated	mengalahkan
defeated	terkalahkan
defeated	kalah
defeated	dikalahkan
administration	administrasi
ended	berakhir
claims	klaim
claims	mengklaim
jones	jones
parish	parish
parish	paroki
israel	israel
actors	aktor
sister	saudari
sister	adik
sister	suster
sister	kakak
nine	sembilan
nine	nine
table	meja
table	tabel
attended	menghadiri
attended	dihadiri
attended	hadir
pop	pop
else	else
newspaper	koran
friend	teman
friend	sahabat
friend	friend
unknown	bruk
winner	pemenang
winner	winner
chart	grafik
chart	diagram
chart	bagan
initially	awalnya
loss	kerugian
loss	kehilangan
loss	rugi
sites	situs
starting	mulai
starting	dimulai
starting	starting
starting	memulai
architecture	architecture
architecture	arsitektur
relations	hubungan
relations	relasi
supported	didukung
tracks	trek
contract	kontrak
face	muka
face	wajah
face	face
directly	langsung
spent	pembelanjaan
spent	dibelanjakan
spent	pengeluaran
spent	menghabiskan
girl	cewe
girl	cewek
girl	girl
girl	gadis
clearly	jelas
junior	yunior
junior	junior
junior	smp
francisco	francisco
politics	politik
presented	disajikan
presented	dihadirkan
mar	mar
cause	penyebab
cause	sebab
cause	sebabkan
cause	cause
cause	menyebabkan
volume	volume
volume	borongan
volume	volum
tom	tom
flight	flight
flight	penerbangan
candidate	calon
candidate	kandidat
matches	cocok
matches	kecocokan
matches	pertandingan
claimed	mengklaim
claimed	diklaim
except	kecuali
oil	oli
oil	oil
oil	minyak
assistant	pembantu
assistant	asisten
surface	permukaan
regiment	resimen
stories	cerita
stories	stories
represented	diwakili
gets	gets
speedy	speedy
weeks	minggu
allow	izinkan
allow	ijinkan
allow	editan
branch	cabang
branch	ranting
branch	branch
branch	dahan
retired	pensiunan
retired	pensiun
communities	komunitas
train	train
train	kereta
paper	koran
paper	makalah
paper	paper
paper	kertas
adding	menambahkan
adding	menambah
provides	menyediakan
provides	sediakan
victoria	victoria
metal	logam
metal	metal
wrong	salah
direct	direct
direct	langsung
frank	frank
miles	miles
miles	mil
blocked	memblokir
blocked	diblokir
blocked	diblok
blocked	blokir
blocked	terblokir
launched	diluncurkan
launched	meluncurkan
mass	mass
mass	massa
mass	misa
chairman	ketua
comedy	komedi
comedy	comedy
relationship	hubungan
knowledge	pengetahuan
knowledge	knowledge
format	format
meeting	rapat
meeting	meeting
meeting	pertemuan
failed	gagal
officers	pejabat
officers	petugas
officers	perwira
draft	draf
draft	draft
draft	konsep
goes	goes
fight	bertarung
fight	berkelahi
fight	fight
fight	lawan
fight	melawan
fight	berjuang
figure	figure
figure	figur
figure	tokoh
figure	sosok
faculty	fani
faculty	fakultas
camp	kemah
camp	perkemahan
camp	kamp
camp	camp
ran	ran
ran	berlari
variety	variety
variety	keberagaman
variety	varietas
variety	variasi
owner	owner
owner	pemilik
owner	pemiliknya
statistics	statistika
statistics	statistik
raised	dibesarkan
raised	mengangkat
raised	dibangkitkan
heavy	heavy
heavy	berat
alexander	alexander
alone	sendirian
alone	alone
alone	sendiri
understand	pahamilah
understand	mengerti
understand	memahami
understand	pahami
understand	mengertilah
episodes	episode
educational	edukasi
educational	mendidik
educational	pendidikan
daily	harian
daily	daily
williams	doank
williams	williams
latin	latin
completely	seutuhnya
completely	sepenuhnya
products	produk
dark	dark
dark	gelap
dark	kegelapan
attention	perhatian
religion	agama
von	von
mind	mind
mind	pikiran
oppose	menentang
corps	kesatuan
corps	corps
corps	korps
administrative	administratif
cut	cut
cut	potong
scott	scott
becoming	menjadi
footballer	footballer
jean	jean
mayor	walikota
mayor	mayor
pro	pro
beach	beach
beach	pantai
descent	keturunan
nearly	hampir
leaving	meninggalkan
leaving	leaving
cast	cor
cast	dilemparkan
cast	pemeran
cast	cast
cast	melemparkan
territory	wilayah
territory	teritori
write	tulis
write	menulis
write	tulislah
forms	formulir
forms	forms
forms	form
forms	bentuk
joe	joe
inside	inside
inside	didalam
wanted	buronan
wanted	diinginkan
wanted	dicari
wanted	wanted
solid	solid
solid	padat
individuals	individu
individuals	individual
authority	otoritas
authority	kewenangan
authority	authority
mention	menyebutkan
mention	mention
mention	sebut
mention	penyebutan
mention	sebutkan
projects	proyek
del	del
continue	lanjutkan
cost	biaya
vice	vice
drive	kandar
drive	mengemudi
drive	drive
notice	notice
notice	pemberitahuan
notice	perhatikan
johnson	johnson
forced	dipaksakan
forced	dipaksa
forced	paksakan
forced	terpaksa
reasons	alasan
job	tugas
job	job
job	pekerjaan
job	ayub
photo	photo
photo	foto
hope	harapan
hope	asa
hope	hope
log	log
parents	orangtua
entered	dimasukkan
mike	mike
basic	dasar
basic	basic
scientific	ilmiah
scientific	scientific
amount	jumlah
spring	spring
spring	pegas
oxford	oxford
kong	kong
opera	opera
tried	mencoba
tried	dicoba
critical	kritis
simple	simple
simple	simpel
simple	sederhana
founder	pendiri
founder	founder
hong	hong
husband	suamiku
husband	suaminya
husband	suami
husband	husband
useful	berguna
useful	bermanfaat
technical	teknis
necessary	diperlukan
necessary	perlu
believed	diyakini
believed	dipercaya
operated	dioperasikan
operated	dioperasi
mountains	gunung
mountains	pegunungan
importance	pentingnya
musicians	musisi
hotel	hotel
girls	cewek
girls	girls
girls	gadis
crew	crew
crew	kru
feb	feb
boy	boy
boy	bocah
boy	nak
ontario	ontario
nation	bangsa
nation	nation
defense	defense
defense	pembela
defense	pertahanan
wiki	wiki
wiki	kueh
champions	juara
champions	champions
golden	golden
golden	emas
golden	keemasan
districts	distrik
faith	faith
faith	iman
faith	keyakinan
faith	keimanan
racing	balapan
racing	balap
racing	racing
racing	membalap
mainly	terutama
auto	auto
auto	otomotif
auto	otomatis
lives	nyawa
lives	lives
swedish	swedia
hot	hot
hot	panas
entertainment	hiburan
entertainment	entertainment
net	net
net	bersih
net	jala
net	jaring
soccer	sepakbola
soccer	soccer
creation	pembuatan
creation	ciptaan
creation	penciptaan
creation	kreasi
product	product
product	produk
tower	tower
tower	menara
increased	meningkat
votes	suara
votes	voting
squadron	skuadron
contemporary	kontemporer
focus	fokus
focus	focus
marriage	marriage
marriage	perkawinan
marriage	nikah
marriage	pernikahan
questions	pertanyaan
naval	naval
details	perincian
details	rincian
details	detil
details	detail
forward	forward
forward	maju
forward	teruskan
memorial	memorial
peace	damai
peace	kedamaian
peace	peace
peace	perdamaian
kept	dipertahankan
iran	iran
iran	banten
korea	korea
analysis	analisa
analysis	analisis
winners	pemenang
poor	poor
poor	kasihan
poor	miskin
poor	malang
grade	grade
cricket	cricket
cricket	jangkrik
cricket	kriket
judge	judge
judge	menghakimi
judge	hakim
electric	listrik
electric	elektrik
electric	electric
exist	eksis
corporation	perusahaan
corporation	corporation
corporation	korporasi
hold	tahan
campus	kampus
campus	campus
brazil	brazil
brazil	brasil
chris	chris
beyond	melampaui
beyond	beyond
fifth	kelima
fifth	fifth
fifth	seperlima
increase	naikkan
increase	tingkatkan
increase	meningkat
increase	meningkatkan
increase	peningkatan
summary	rangkuman
summary	ringkasan
remaining	sisa
remaining	tersisa
statement	pernyataan
broadcast	siarkan
broadcast	siaran
broadcast	broadcast
broadcast	penyiaran
getting	mendapatkan
getting	getting
piano	piano
des	des
novels	novel
serving	melayani
hour	jam
moving	memindahkan
moving	pindah
moving	bergerak
resolution	resolusi
concept	konsep
alternative	alternative
alternative	alternatif
brothers	saudara
brothers	bersaudara
brothers	brothers
attacks	menyerang
attacks	serangan
attacks	penyerangan
encyclopedia	ensiklopedi
encyclopedia	encyclopedia
encyclopedia	ensiklopedia
republican	republik
representatives	perwakilan
politicians	politisi
politicians	politikus
difficult	susah
difficult	sulit
difficult	sukar
ability	kemampuan
studied	dipelajari
studied	belajar
host	penyelenggara
host	host
wall	wall
wall	tembok
wall	dinding
immediately	segera
urban	urban
urban	perkotaan
pakistan	pakistan
marine	marinir
marine	marine
marine	laut
marine	kelautan
physical	jasmani
physical	fisik
dec	desember
dec	dec
troops	pasukan
interview	interview
interview	wawancarai
interview	wawancara
coming	datang
coming	coming
semi	semi
suggest	sarankan
suggest	menyarankan
emperor	kaisar
letter	surat
letter	huruf
letter	letter
couple	couple
duke	duke
duke	adipati
tell	beritahu
tell	tell
tell	katakan
gallery	galeri
gallery	gallery
follow	mengikuti
follow	follow
follow	ikuti
windows	windows
windows	jendela
tree	pohon
tree	tree
hits	hits
hits	hantaman
jazz	jazz
protection	perlindungan
protection	proteksi
relevant	relevan
count	hitunglah
count	hitung
count	menghitung
count	hitungan
count	cacah
situation	pgn
situation	situasi
reviews	ulasan
reviews	review
reviews	resensi
reviews	tinjauan
classical	klasik
offered	ditawarkan
offered	menawarkan
lady	nona
lady	nyonya
lady	lady
netherlands	belanda
reports	laporan
influence	pengaruhi
influence	memengaruhi
influence	pengaruh
address	alamat
linear	linier
linear	linear
consider	mempertimbangkan
consider	pertimbangkan
machine	mesin
domain	domain
domain	ranah
elements	unsur
elements	elemen
minnesota	minnesota
types	jenis
types	tipe
nov	nov
serve	sajikan
serve	melayani
serve	layani
sydney	sydney
ministry	kementrian
ministry	pelayanan
ministry	kementerian
blood	blood
blood	darah
distance	kejauhan
distance	jarak
bottom	bawah
bottom	terbawah
bottom	bottom
giving	giving
giving	memberikan
giving	memberi
boys	boys
potential	potensi
potential	potensial
toronto	toronto
edited	disunting
edited	diedit
infantry	infanteri
infantry	infantri
jun	jun
oct	okt
oct	oct
conflict	konflik
workers	pekerja
steve	steve
philadelphia	philadelphia
helped	terbantu
helped	dibantu
der	der
nationality	kewarganegaraan
nationality	kebangsaan
dispute	sengketa
dispute	persengketaan
dispute	perselisihan
scene	adegan
scene	scene
method	metoda
method	method
method	metode
titles	gelar
titles	titel
berlin	berlin
conditions	ketentuan
conditions	syarat
conditions	kondisi
arms	gendongan
arms	lengan
arms	arms
races	balapan
races	ras
maybe	mungkin
maybe	maybe
discovered	ditemukan
discovered	menemukan
discovered	ketahuan
iron	besi
iron	iron
extended	diperluas
extended	extended
extended	diperpanjang
churches	gereja
positive	positive
positive	positif
santa	sinterklas
santa	santa
nom	nyam
nom	nom
longew	longew
imperial	imperial
composed	terdiri
latns	latns
ball	bola
ball	ball
width	lebar
quickly	cepat
correct	betulkan
responsible	bertanggungjawab
indiana	indiana
soldiers	tentara
soldiers	prajurit
soldiers	serdadu
examples	contoh
examples	contohnya
korean	korean
korean	korea
genre	genre
fish	ikan
senate	senat
effects	efek
gun	senapan
gun	pistol
gun	gun
gun	senjata
check	memeriksa
check	skak
check	cek
check	ksa
check	periksa
check	centang
appearances	penampilan
appearances	tampil
plans	rencana
sign	tanda
sign	tandatangani
sign	menandatangani
reporting	laporan
reporting	pelaporan
reporting	melaporkan
sweden	swedia
consists	terdiri
heritage	warisan
heritage	heritage
tag	tanda
tag	tag
primarily	terutama
primarily	utamanya
doctor	doktor
doctor	dokter
doctor	doctor
leaders	pemimpin
lies	kebohongan
lies	lies
lies	terletak
lies	dusta
lies	bohong
inc	inc
rivers	sungai
rivers	rivers
crime	kriminalitas
crime	pidana
crime	kejahatan
crime	kriminal
crime	crime
liberal	liberal
stand	stand
stand	berdiri
bob	bob
publishing	penerbit
publishing	terbitan
publishing	penerbitan
publishing	publikasi
publishing	menerbitkan
industrial	industri
industrial	industrial
answer	jawab
answer	jawaban
answer	jawablah
answer	menjawab
split	belah
split	pecah
split	split
split	pisah
apr	apr
sex	seks
sex	sex
mixed	mixed
mixed	bercampur
mixed	campuran
mixed	campur
acting	bertindak
acting	akting
acting	berakting
acting	aktingnya
personnel	personil
personnel	personalia
personnel	personel
rail	rel
rail	mandar
die	die
die	mati
premier	premier
approach	dekati
approach	pendekatan
wisconsin	wisconsin
sentence	hukuman
sentence	kalimat
root	root
root	akar
ago	ago
ago	silam
standards	standar
comics	komik
earned	diperoleh
miss	miss
miss	nona
miss	kangen
miss	rindu
specifically	khususnya
horse	horse
horse	kuda
contributions	kontribusi
lieutenant	letnan
wood	kayu
wood	wood
plants	tanaman
plants	tumbuhan
initial	inisial
origin	origin
origin	asal
environment	lingkungan
pretty	cantik
pretty	pretty
rank	peringkat
rank	ranking
rank	pangkat
rank	rank
bus	bus
bus	bis
gas	gas
direction	arah
direction	direction
guide	pedoman
guide	panduan
guide	pemandu
resources	sumberdaya
affairs	affairs
affairs	yudha
accepted	diterima
animals	hewan
animals	animals
animals	binatang
nor	nor
activity	kegiatan
activity	aktivitas
levels	aras
levels	tingkat
levels	tingkatan
levels	level
jim	jim
creating	membuat
creating	menciptakan
creating	berkreasi
cambridge	cambridge
ones	ones
composer	komposer
composer	penyusun
remove	buang
remove	hapus
remove	menghapus
remove	hilangkan
agency	agency
agency	agen
agency	agensi
agency	badan
reserve	reservasi
atlantic	atlantic
atlantic	atlantik
supreme	supreme
supreme	agung
weight	berat
ask	ask
ask	tanya
ask	minta
ask	bertanya
ask	tanyakan
fighting	berjuang
fighting	berkelahi
fighting	fighting
fighting	bertarung
jackson	jackson
rose	rose
rose	mawar
operating	beroperasi
treatment	pengobatan
treatment	perawatan
linked	ditautkan
linked	terkait
linked	terhubung
andrew	andreas
andrew	andrew
trial	sidang
trial	fitnah
expanded	perluasan
expanded	mengembang
expanded	diperluas
expanded	memperluas
daniel	daniel
info	info
sciences	sciences
sciences	ilmu
sciences	sains
fame	ketenaran
fame	fame
everything	everything
everything	semuanya
everything	segalanya
avenue	avenue
travel	perjalanan
travel	travel
travel	wisata
scale	timbang
scale	skala
break	istirahat
break	break
oregon	oregon
housing	perumahan
produce	menghasilkan
produce	memproduksi
capacity	kapasitas
#efefef	#efefef
fictional	fiksi
fictional	fiktif
exchange	tukar
exchange	exchange
exchange	pertukaran
exchange	bursa
actions	tindakan
actions	aksi
cited	dikutip
typically	biasanya
settlement	penyelesaian
settlement	pemukiman
agreement	kesepakatan
agreement	perjanjian
agreement	persetujuan
translation	translation
translation	terjemahan
translation	penerjemahan
males	jantan
kansas	kansas
managed	dikelola
bring	bawa
charge	tagihan
charge	biaya
charge	tagih
charge	pengisian
dedicated	didedikasikan
dedicated	berdedikasi
estate	perkebunan
estate	perumahan
estate	estate
nearby	terdekat
nearby	sekitar
residents	penduduk
residents	warga
residents	penghuni
piece	piece
piece	sepotong
growth	pertumbuhan
growth	perkembangan
growth	pertumbuhannya
trust	percayai
trust	kepercayaan
trust	trust
trust	percaya
applied	terapan
applied	diaplikasikan
applied	diterapkan
drums	genderang
drums	drum
drums	gendang
issued	diterbitkan
issued	dikeluarkan
murder	pembunuhan
normal	biasa
normal	normal
twenty	twenty
twenty	duapuluh
commonly	umumnya
avoid	hindari
avoid	menghindari
tony	tony
norwegian	norwegia
criteria	kriteria
context	konteks
context	kontek
suggested	saran
suggested	menyarankan
suggested	disarankan
revolution	revolution
revolution	revolusi
fully	sepenuhnya
wars	perang
wars	wars
wars	peperangan
aug	agu
aug	aug
aug	agustus
leaves	dedaunan
leaves	daun
advanced	maju
advanced	canggih
advanced	lanjutan
distribution	distribusi
medicine	kedokteran
medicine	obat
garden	masya
garden	taman
garden	garden
garden	kebun
reach	jangkau
reach	jangkauan
turkey	kalkun
turkey	turki
females	betina
females	perempuan
publications	publikasi
impact	impact
impact	berdampak
impact	dampak
impact	benturan
survey	survey
survey	survei
height	tinggi
morning	pagi
morning	morning
honor	kehormatan
honor	honor
deep	sedalam
deep	mendalam
deep	deep
argument	argumen
publication	publikasi
publication	penerbitan
publication	terbitan
arthur	arthur
elizabeth	elizabeth
disambiguation	disambiguasi
worth	layak
worth	worth
colorado	colorado
median	median
maryland	maryland
falls	terjun
falls	falls
falls	jatuh
zone	zona
zone	zone
solo	solo
learning	pembelajaran
learning	belajar
pay	bayar
pay	pay
pay	membayar
choice	pilihan
choice	choice
vol	vol
vol	jilid
flag	bendera
engineer	teknisi
engineer	insinyur
engineer	engineer
cars	cars
cars	mobil
farm	farm
farm	perkebunan
farm	peternakan
farm	ladang
farm	pertanian
wilson	wilson
acquired	diperoleh
acquired	didapatkan
constructed	dibangun
secret	rahasia
secret	secret
poet	penyair
poet	pujangga
build	membangun
build	bina
build	build
orchestra	orkestra
orchestra	orkes
orchestra	orchestra
versions	versi
fixed	diperbaiki
fixed	tetap
fixed	fixed
efforts	upaya
documentary	dokumenter
equipment	perlengkapan
equipment	peralatan
ray	sinar
ray	ray
yellow	kuning
guard	pengawal
guard	penjaga
guard	guard
pressure	tekanan
grant	kabulkan
grant	hibah
grant	grant
prison	penjara
prison	prison
freedom	kebebasan
freedom	freedom
freedom	peterpan
freedom	kemerdekaan
norway	norwegia
store	simpan
store	toko
taylor	taylor
quarter	triwulan
quarter	quarter
quarter	kuartal
quarter	seperempat
designated	ditunjuk
independence	merdeka
independence	kemerdekaan
independence	kemandirian
independence	independence
platform	platform
rome	rome
rome	romawi
rome	roma
teacher	guru
copy	menyalin
copy	copy
copy	salin
copy	salinan
effort	usaha
effort	upaya
nuclear	nuklir
pictures	pictures
pictures	gambar
models	models
models	model
sep	sep
everyone	semuanya
thank	thank
description	uraian
description	deskripsi
description	keterangan
agreed	setuju
agreed	disepakati
institutions	institusi
institutions	lembaga
covers	sampul
covers	mencakup
covers	meliputi
facilities	fasilitas
target	menargetkan
target	targetkan
target	sasaran
target	target
stack	tumpukan
stack	tumpuk
stack	stack
stat	stat
combined	digabungkan
combined	berpadu
combined	kombinasi
combined	dikombinasikan
combined	gabungan
bronze	perunggu
programming	programming
programming	pemrograman
sri	sri
railroad	railroad
railroad	rel
unique	keunikan
unique	unik
unique	unique
defined	ditentukan
defined	dijelaskan
defined	didefinisikan
defined	terdefinisi
ocean	samudera
ocean	samudra
ocean	lautan
ocean	laut
ocean	ocean
cell	sel
missouri	missouri
concert	konser
improve	tingkatkan
improve	meningkatkan
biography	biografi
loan	pinjaman
contact	hubungi
contact	kontak
contact	contact
holy	suci
holy	kudus
holy	holy
tennessee	tennessee
sub	sub
safety	keselamatan
safety	safety
safety	keamanan
competed	berkompetisi
stephen	stephen
policies	kebijakan
painting	melukis
painting	lukisan
price	harga
price	price
price	harganya
entirely	sepenuhnya
entirely	seluruhnya
mexican	meksiko
leadership	kepemimpinan
leadership	pimpinan
flying	terbang
flying	flying
flying	menerbangkan
message	pesan
municipal	kotamadya
municipal	municipal
serious	serius
serious	serious
headquarters	markas
cemetery	pemakaman
cemetery	pekuburan
cemetery	kuburan
memory	memory
memory	kenangan
memory	ingatan
memory	memori
fields	bidang
fields	fields
fields	ruas
fields	kolom
generation	generation
generation	generasi
join	bergabung
join	gabung
join	bergabunglah
join	join
copies	salinan
finals	final
finals	finals
fox	fox
fox	rubah
continues	berlanjut
representative	perwakilan
destroyed	dihancurkan
destroyed	hancur
destroyed	dimusnahkan
destroyed	menghancurkan
feet	feet
feet	kaki
guy	cowok
guy	guy
philippines	filipina
philippines	philipina
revealed	mengungkapkan
revealed	diungkap
revealed	terungkap
organized	terorganisasi
organized	terorganisir
organized	teratur
organized	tertata
serves	melayani
conservative	konservatif
share	bagikan
share	berbagi
share	share
maria	maria
disease	penyakit
sections	bagian
philosophy	filsafat
philosophy	filosofi
ways	cara
arrived	tiba
divided	dibagi
divided	terbagi
floor	lantai
floor	lantainya
floor	floor
latd	latd
longd	longd
labour	buruh
logo	logo
meets	memenuhi
meets	bertemu
yard	yard
cancer	kanker
offer	promo
offer	menawarkan
offer	penawaran
offer	tawarkan
offer	tawaran
tax	pajak
tax	tax
expected	diduga
expected	diharapkan
concerns	kekhawatiran
concerns	keprihatinan
graduated	lulus
guest	tamu
jews	yahudi
formation	pembentukan
formation	formasi
economy	perekonomian
economy	ekonomi
storm	badai
storm	storm
mile	mile
mile	mil
protected	terlindung
protected	dilindungi
protected	terlindungi
bowl	bowl
bowl	mangkuk
bowl	mangkok
letters	letters
letters	huruf
providing	menyediakan
begins	dimulai
classic	klasik
classic	classic
damage	kerusakan
damage	damage
damage	merusak
harry	harry
offers	promo
offers	penawaran
offers	menawarkan
offers	tawaran
davis	davis
challenge	tantangan
challenge	challenge
challenge	menantang
challenge	tantang
views	dilihat
views	tayangan
views	tampilan
marked	ditandai
density	kepadatan
literary	sastra
ben	ben
transportation	transportasi
transportation	pengangkutan
kentucky	kentucky
sales	penjualan
sales	sales
fleet	armada
fleet	fleet
supporting	mendukung
captured	direbut
captured	tertangkap
captured	ditangkap
extra	kelebihan
extra	ekstra
extra	tambahan
extra	extra
recognized	dikenal
recognized	dikenali
recognized	diakui
recognized	mengenali
arizona	arizona
compared	dibandingkan
theme	theme
theme	temanya
theme	tema
francis	fransiskus
francis	francis
moscow	moskow
moscow	moskwa
interested	tertarik
interested	berminat
interested	minat
heard	mendengar
heard	heard
heard	didengar
behavior	tingkah
behavior	perilaku
behavior	kelakuan
behavior	prilaku
transferred	dipindahkan
transferred	ditransfer
environmental	lingkungan
blank	kosong
blank	blank
musician	pemusik
musician	musisi
starring	bintangi
starring	dibintangi
starring	membintangi
assigned	ditugaskan
assigned	ditetapkan
seats	kursi
tennis	tennis
tennis	tenis
percent	persen
percent	persentase
logs	log
display	tampilkan
display	tampilan
display	display
convention	konvensi
ring	ring
ring	cincin
joint	joint
joint	sendi
brian	brian
deputy	deputi
planned	merencanakan
planned	terencana
planned	direncanakan
universities	universitas
yards	yard
yards	yards
yards	yar
communist	komunis
agent	agen
agent	agent
difference	bedanya
difference	perbedaan
animal	hewan
animal	binatang
animal	animal
czech	ceko
positions	posisi
exactly	tepat
exactly	persis
exactly	tepatnya
stay	tetap
stay	tinggal
stay	stay
titled	berjudul
combat	pertempuran
combat	tempur
combat	combat
palace	puput
palace	istana
palace	keraton
card	card
card	kartu
ordered	terurut
ordered	dipesan
ordered	memerintahkan
opposition	oposisi
attempts	upaya
understanding	pengertian
understanding	pemahaman
understanding	memahami
wrestling	bergulat
wrestling	wrestling
wrestling	gulat
critics	kritikus
growing	berkembang
growing	tumbuh
growing	bertumbuh
growing	menumbuhkan
establish	mendirikan
hands	hands
hands	tangan
latm	latm
longm	longm
participated	berpartisipasi
revert	balikkan
revert	kembalikan
revert	pulihkan
poetry	puisi
materials	bahan
materials	materi
materials	material
turkish	turki
turkish	turkish
paid	berbayar
paid	dibayar
promotion	promosi
apparently	rupanya
apparently	ternyata
battalion	batalyon
battalion	batalion
mobile	mobile
mobile	seluler
mobile	ponsel
mobile	handphone
additions	penambahan
row	dayung
row	baris
row	row
shortsummary	shortsummary
merged	digabungkan
merged	digabung
metropolitan	metropolitan
figures	figur
figures	angka
figures	tokoh
existence	keberadaan
existence	keberadaannya
existence	eksistensi
eye	eye
eye	mata
louisiana	louisiana
lewis	lewis
melbourne	melbourne
austria	austria
brigade	brigade
screen	screen
screen	layar
risk	resiko
risk	risiko
ban	ban
ban	larang
