enormt	巨大
lambert	ランバート
mottaker	宛先
kalkstein	石灰岩
commander	司令官
bemerkelsesverdig	著しい
produsentene	プロデューサー
farfar	おじいちゃん
farfar	おじいさん
farfar	祖父
doi	土居
doi	土井
doi	ドイ
forsvinne	消える
marskalk	元帥
vitamin	ビタミン
motorene	エンジン
instruksjoner	手順
instruksjoner	指示
spredd	散逸
parodi	パロディ
barth	バルト
klokker	腕時計
aurora	オーロラ
oberstdorf	オーベルストドルフ
utsatte	延期
musica	ムジカ
presenteres	提示
casey	ケーシー
stemning	大気
stemning	大気圏
stemning	雰囲気
trang	きつい
trang	衝動
fikset	固定
fikset	固定された
drage	カイト
drage	ドラゴン
rest	安静
rest	休む
mir	ミール
stolt	誇らしい
stolt	自慢
stolt	誇り
shaanxi	陝西省
roses	薔薇
roses	バラ
arr	傷跡
årer	静脈
straffe	処罰
denver	デンバー
sylvia	シルヴィア
sylvia	シルビア
nabo	隣人
nabo	隣人
nabo	近所
low	低い
gjenforening	同窓会
gjenforening	再会
osaka	大阪
valentin	ヴァレンティン
ettermiddagen	午後
formidling	あっせん
formidling	調停
tørke	旱魃
tørke	干ばつ
tørke	拭く
keys	キー
panorama	パノラマ
gandhi	ガンジー
jaktstart	追跡
jaktstart	追求
kunde	カスタマー
kunde	顧客
kunde	クライアント
titan	チタン
eventyret	アドベンチャー
eventyret	冒険
identiske	同一
hedenske	異教徒
herakles	ヘーラクレース
wembley	ウェンブリー
aids	エイズ
giorgio	ジョルジョ
beboerne	住民
nic	nic
tango	タンゴ
tango	丹後
bomull	木綿
bomull	コットン
gospel	ゴスペル
gospel	福音書
perth	パース
malawi	マラウイ
restriksjoner	制限
firkantet	正方形
firkantet	四角
firkantet	広場
pas	pas
tine	雪解け
pasientene	患者
påstår	債権
support	サポート
support	支持
johnston	ジョンストン
strender	ビーチ
marin	マリン
marin	マラン
monopol	独占
teresa	テレサ
rim	押韻
rim	リム
mamma	mama
mamma	マミー
mamma	ママ
konstruerte	工学
own	own
forlovet	婚約
soundtrack	サウンドトラック
satellitt	サテライト
satellitt	衛星
holsten	ホルシュタイン
ull	ウール
pepper	ペッパー
pepper	胡椒
pepper	コショウ
nav	nav
ras	ラス
buddha	ブッダ
buddha	仏陀
forfulgt	ストーカー
forfulgt	迫害
fernández	フェルナンデス
arbeidsgiver	事業主
trenere	コーチ
alias	別名
alias	偽名
alias	エイリアス
pålitelig	信頼
forventer	expect
chess	チェス
nøkkel	キー
nøkkel	key
kritt	チョーク
orléans	オルレアン
orléans	オルレアン
dio	ディオ
roterende	回転
roterende	ロータリー
koble	切断
koble	コネクト
koble	接続
fitzgerald	フィッツジェラルド
utgifter	費用
utgifter	経費
kortet	カード
ideell	理想
kane	ケーン
avslått	却下
avslått	辞退
avslått	不参加
kommenterte	コメント
adelaide	アデレード
bekymring	懸念
bekymring	関心事
handelsmann	マーチャント
handelsmann	商人
handelsmann	トレーダー
reflekterer	反映
bier	ミツバチ
bier	ハチ
parks	公園
advanced	上級
cellene	セル
bombingen	爆撃
goethe	ゲーテ
skinnende	ピカピカ
skinnende	シャイニング
rice	ご飯
rice	ライス
heath	ヒース
seymour	シーモア
myanmar	ミャンマー
ministre	大臣
ministre	公使
nigel	ナイジェル
slanger	ヘビ
landsmann	田舎者
datering	デート
datering	出会い
datering	交際
joint	関節
kat	kat
cola	コーク
cola	コーラ
cola	コーラ
jiangxi	江西省
garcia	ガルシア
offiserene	役員
logikk	論理
glory	グローリー
rhythm	リズム
saa	saa
adoptert	養子
adoptert	採択
lonely	孤独
lonely	寂しい
eia	eia
koranen	クルアーン
koranen	コーラン
minsk	減らす
kontrollerer	コントロール
wanna	wanna
hank	ハンク
overveldende	圧倒的
glemselen	忘却
coming	来る
coming	カミング
kabel	電線
kabel	ケーブル
adventures	冒険
anbefaler	おすすめ
anbefaler	すすめる
anbefaler	薦める
jam	ジャム
nominasjonen	指名
salen	サドル
vogn	ワゴン
madeleine	マドレーヌ
beløp	金額
pollen	花粉
laboratorium	研究室
laboratorium	研究室
laboratorium	ラボ
jackie	ジャッキー
ada	エイダ
ada	ada
vinyl	ビニール
emirater	エミレーツ
gol	ゴル
krangel	けんか
skriving	書き込み
skriving	書く
skriving	書き込む
skriving	執筆
skriving	書き込み
skriving	筆記
hassan	ハサン
hassan	ハッサン
dillon	ディロン
dionysos	ディオニューソス
skogene	ウッズ
paradis	パラダイス
paradis	楽園
editor	エディタ
editor	エディター
hsd	hsd
klarinett	クラリネット
intakt	無傷
always	常に
always	いつも
fele	フィドル
abstrakt	抽象
stattholder	知事
pérez	ペレス
bnp	gdp
hyppige	頻繁
vincenzo	ヴィンチェンツォ
willis	ウィリス
galleriet	ギャラリー
eagle	ワシ
eagle	イーグル
søn	太陽
søn	sun
debuten	デビュー
princess	王女
princess	プリンセス
fantasi	イマジネーション
fantasi	想像
fantasi	想像力
fantasi	ファンタジー
snill	親切
kjæresten	ガールフレンド
kjæresten	彼氏
kjæresten	ボーイフレンド
feiring	お祝い
feiring	祝賀会
feiring	お祝い
magisk	magic
magisk	魔法
magisk	マジック
magisk	マジカル
rudi	ルディ
sharon	シャロン
sjømann	船員
atomer	原子
cash	現金
gjenta	繰り返す
gjenta	繰り返し
utland	海外
mile	マイル
visuell	ビジュアル
alfabet	アルファベット
crawford	クロフォード
trier	トリーア
minus	マイナス
omganger	イニング
ærlig	正直
ærlig	正直
druknet	溺死
håndverkere	職人
flittig	勤勉
flittig	勤勉
maya	マヤ
hule	洞窟
tobakk	タバコ
tobakk	たばこ
ille	バッド
ille	悪い
mon	mon
knappen	ボタン
nebb	くちばし
forvirrende	ややこしい
forvirrende	紛らわしい
inntak	摂取
disco	ディスコ
grått	灰色
grått	グレイ
grått	グレー
rus	ハイ
rus	高い
behind	後ろ
fjorder	フィヨルド
bauer	バウアー
titus	ティトゥス
titus	タイタス
bulls	ブルズ
avvik	偏差
lander	土地
lander	ランダー
circus	サーカス
ing	ing
domenet	ドメイン
blikk	視線
blikk	凝視
gasser	気体
vanessa	ヴァネッサ
fornuft	理由
fornuft	理性
fornuft	センス
fornuft	感覚
havbunnen	海底
spekulasjoner	投機
suverenitet	主権
sit	座る
sit	sit
klipper	切り傷
potsdam	ポツダム
bishop	ビショップ
plaza	プラザ
warriors	戦士
warriors	ウォリアーズ
voyager	ボイジャー
konklusjonen	結論
konklusjonen	エンディング
giftig	毒性
idéer	アイデア
idéer	アイディア
raketter	ミサイル
wide	ワイド
walther	ヴァルター
imperium	帝国
imperium	帝政
imperium	エンパイア
apotek	ドラッグストア
apotek	薬局
apotek	薬学
apotek	薬局
father	父親
fletcher	フレッチャー
forord	序文
truer	脅迫
møtene	ミーティング
møtene	会議
fjær	フェザー
fjær	羽根
fjær	羽毛
fjær	羽毛
julen	クリスマス
utveksling	交換
føderasjonen	連邦
teddy	テディ
dommerne	裁判官
jeger	狩人
jeger	ハンター
oswald	オズワルド
solomon	ソロモン
frida	フリーダ
tråder	スレッド
severus	セウェルス
leopard	ヒョウ
stock	株式
stock	ストック
aktør	俳優
farm	農場
farm	ファーム
palma	パルマ
akilles	アキレス
akilles	アキレウス
vakkert	美しい
vakkert	ビューティフル
greenwich	グリニッジ
tianjin	天津市
tianjin	天津
judea	ユダヤ
ukene	週間
gjennomsnittlige	平均
hubei	湖北省
sporer	トラッキング
wonder	ワンダー
dyreliv	野生動物
regina	レジーナ
talbot	タルボット
lynch	リンチ
argentinas	アルゼンチン
jury	陪審制
jury	陪審員
bosted	住居
bosted	居所
gotha	ゴータ
shannon	シャノン
binde	bind
binde	製本
ungarns	ハンガリー
noah	ノア
gong	ゴング
utvendig	外側
kreative	クリエイティブ
ace	エース
skrog	船体
skrog	ハル
primera	プリメーラ
neptun	海王星
neptun	ネプチューン
words	言葉
words	単語
anslag	見積もり
nakken	ネック
tunis	チュニス
stridigheter	紛争
lisenser	ライセンス
stjele	盗む
stjele	窃盗
kombinere	組み合わせ
pest	疫病
pest	ペスト
animal	アニマル
animal	動物
raskest	最速
søvn	睡眠
søvn	眠る
søvn	スリープ
ferry	フェリー
étienne	エティエンヌ
everything	すべて
everything	全て
plus	プラス
zoo	動物園
zoo	zoo
hartmann	ハルトマン
tekstiler	テキスタイル
tekstiler	織物
nauru	ナウル
ever	ever
que	que
track	トラック
roth	ロート
bacon	ベーコン
statsborgere	市民
vinci	ヴィンチ
bestemor	おばあさん
bestemor	祖母
bestemor	おばあさん
ungdommen	青年
ungdommen	若者
ungdommen	ユース
ungdommen	青春
vulkan	火山
enterprise	エンタープライズ
enterprise	企業
avslutter	仕上げ
augsburg	アウクスブルク
edison	エジソン
florence	フローレンス
florence	フィレンツェ
elskerinne	愛人
defense	ディフェンス
defense	防御
defense	抗弁
defense	防衛
leverandør	サプライヤー
leverandør	ベンダー
leverandør	プロバイダ
leverandør	プロバイダー
boulevard	大通り
boulevard	ブールバール
drew	ドリュー
kay	ケイ
marvin	マーヴィン
dorset	ドーセット
delaware	デラウェア
skildring	説明
skildring	解説
ride	乗る
ride	配車
høyskoler	カレッジ
høyskoler	大学
severdigheter	アトラクション
severdigheter	光景
chengdu	成都市
chengdu	成都
sytten	seventeen
lydia	リュディア
lydia	リディア
substantiv	名詞
smeltet	融解
aksepterer	受け入れ
aksepterer	受け入れる
aksepterer	承認
bestått	合格
hastings	ヘイスティングス
sving	スウィング
sving	スイング
frimerker	切手
elena	エレナ
nach	nach
itunes	itunes
joy	joy
joy	ジョイ
joy	喜び
bonnier	bonnier
olympia	オリンピア
eiendeler	アセット
eiendeler	資産
pol	ポル
hvete	小麦
hvete	コムギ
innvendinger	異議
honda	本多
honda	ホンダ
honda	本田
poster	投稿
kunstløper	スケーター
ballade	バラード
ballade	バラッド
lev	ライブ
lev	生きる
lev	レフ
abdullah	アブドゥッラー
hybrid	ハイブリッド
videoer	動画
gymnasium	体育館
klassikere	古典
petit	プチ
bonnie	ボニー
bonnie	bonnie
fulham	フラム
stay	滞在
stay	ステイ
era	時代
oppfordrer	すすめる
sirius	シリウス
middag	ディナー
middag	夕食
siegfried	ジークフリート
belgias	ベルギー
belgias	ベルギー
ila	イラ
abort	流産
explorer	エクスプローラー
add	追加
add	加算
enwiki	enwiki
publisering	出版物
publisering	出版
publisering	公表
publisering	投稿
publisering	掲示
publisering	公開
publisering	出版
publisering	パブリッシング
atlantis	アトランティス
mumbai	ムンバイ
sjokolade	チョコレート
strek	直線
strek	ライン
gansu	甘粛
velgere	有権者
brennende	燃える
brennende	バーニング
fiskeri	漁業
fiskeri	漁業
gen	遺伝子
gen	ジーン
sti	パス
sti	トレイル
keyboards	キーボード
affairs	事務
winnipeg	ウィニペグ
blander	ミキシング
ånder	スピリッツ
adm	adm
janet	ジャネット
hertuginne	公爵夫人
xavier	ザビエル
flyvninger	フライト
jena	イェーナ
beethoven	ベートーヴェン
dekorasjoner	装飾
dekorasjoner	デコレーション
britton	ブリットン
bemannet	有人
sally	サリー
worcester	ウスター
nitten	nineteen
modul	モジュール
uran	ウラン
genesis	ジェネシス
michele	ミケーレ
diktere	詩人
intelligence	知能
grunnstoff	要素
grunnstoff	元素
grunnstoff	エレメント
skikker	風習
cry	クライ
cry	泣く
cry	泣き
medlemmet	メンバ
medlemmet	会員
medlemmet	メンバー
codex	コデックス
rufus	ルーファス
tilpasning	適応
planetene	惑星
silent	サイレント
silent	無音
elg	ムース
beverly	ビヴァリー
vale	ヴェイル
rap	ラップ
velstand	繁栄
watanabe	ワタナベ
watanabe	渡辺
sympati	同情
materie	物質
materie	事柄
drakt	スーツ
drakt	背広
diplomati	外交
oppdagelse	ディスカバリー
oppdagelse	発見
kafé	カフェ
kafé	カフェ
nico	ニコ
bransje	業界
bransje	産業
busk	ブッシュ
busk	低木
breaking	速報
livsstil	生き方
livsstil	ライフスタイル
livsstil	ライフスタイル
satire	風刺
havanna	ハバナ
cerro	セロ
