biodiversidade	biodiversity
receitas	income
receitas	revenues
devil	devil
pioneiros	pioneers
pioneiros	pioneer
complexa	complex
moisés	moses
formações	trainings
formações	formations
exportação	exports
exportação	export
exportação	exporting
incluídos	included
simpson	simpson
constituinte	constituent
forever	forever
cratera	crater
estrelou	starred
hábito	habit
duff	duff
detetive	detective
lagoas	ponds
lagoas	lagoons
restauro	restore
restauro	restoration
publicamente	publicly
frederick	frederick
milan	milan
levantamento	lifting
defendendo	defending
ocupando	occupying
cumprimento	compliance
cumprimento	greeting
cumprimento	fulfillment
sacramento	sacramento
sacramento	sacrament
linhagem	lineage
linhagem	bloodline
temporariamente	temporarily
temporariamente	temporary
avançado	advanced
póvoa	póvoa
incluídas	included
interpretações	interpretations
alerta	alert
greco	greco
rotas	routes
inéditas	unreleased
joinville	joinville
resende	resende
islândia	iceland
perna	leg
saindo	exiting
saindo	leaving
haiti	haiti
haiti	haitian
habitação	housing
mágica	magic
mágica	magical
macmillan	macmillan
oitavas	octaves
obs	obs
seul	seoul
dever	duty
repressão	repression
repressão	crackdown
trek	trek
folk	folk
einstein	einstein
stade	stade
pimenta	pimenta
pimenta	pepper
quarteto	quartet
adicionado	added
comandou	commanded
discovery	discovery
lutando	struggling
lutando	fighting
model	model
alpha	alpha
chelsea	chelsea
hero	hero
irregular	uneven
irregular	irregular
uniformes	uniforms
uniformes	uniform
junção	merge
junção	junction
fábricas	factories
norueguês	norwegian
teen	teen
compacto	compact
hermann	hermann
sérvio	serbian
reich	reich
dilma	dilma
dilma	rousseff
lacerda	lacerda
vendida	sold
aquitânia	aquitaine
porquê	why
claudia	claudia
tendências	trend
tendências	trends
bang	bang
tomadas	taken
relativo	relative
julie	julie
planície	plain
planície	plains
pilares	pillars
pilares	pillar
caracterizada	characterised
caracterizada	characterized
dialeto	dialect
designer	designer
chuck	chuck
devidamente	duly
investigar	investigate
senadores	senators
canhões	cannon
canhões	cannons
praças	squares
barreiras	barriers
voar	fly
voar	flying
empire	empire
doação	donation
dieta	diet
mercury	mercury
ninja	ninja
gabriela	gabriella
gabriela	gabriela
match	match
governou	ruled
logística	logistics
logística	logistic
bósnia	bosnian
bósnia	bosnia
atrair	lure
atrair	attract
atrair	attracting
diplomata	diplomat
depósitos	deposits
ataca	attacks
subir	climb
operacionais	operational
juventus	juventus
túnel	tunnel
salomão	solomon
piedade	pity
piedade	mercy
piedade	piety
mármore	marble
mortais	mortals
mortais	mortal
lituânia	lithuanian
lituânia	lithuania
apaixonado	passionate
romântica	romantic
dezoito	eighteen
fazendas	ranches
fazendas	farms
terço	rosary
terço	third
substituto	substitute
substituto	replacement
advogados	solicitors
advogados	lawyers
palatinado	palatinate
holland	holland
escura	dark
simone	simone
elena	elena
competência	jurisdiction
competência	competence
talentos	talents
talentos	talent
júlia	julia
traduzir	translating
traduzir	translate
grey	grey
igor	igor
agrostis	agrostis
noel	noel
boêmia	bohemia
boêmia	bohemian
bizantina	byzantine
cúpula	dome
parceiros	partners
acordos	agreements
cruzamento	crossing
cruzamento	intersection
camilo	camilo
sorocaba	sorocaba
futebolistas	footballers
sono	sleepy
sono	sleep
spears	spears
projectos	projects
revelar	reveal
hughes	hughes
sts	sts
algodão	cotton
obtida	obtained
narrador	narrator
sets	sets
duro	hard
duro	tough
subtropical	subtropical
alabama	alabama
desenvolvidas	developed
parlamentares	parliamentary
parlamentares	parliamentarians
lucro	profit
lucro	profits
cama	bed
nona	nona
nona	ninth
beat	beat
criatura	creature
terapia	therapy
betty	betty
desafios	challenges
neerlandês	dutch
estrangeira	foreigner
estrangeira	foreign
sri	sri
abel	abel
provisório	interim
provisório	provisional
benefício	benefit
diesel	diesel
condes	counts
condes	earls
htm	htm
derrotados	defeated
cameron	cameron
treinar	train
benedito	benedito
determina	determines
determina	determine
cartoon	cartoon
aurélio	aurelio
aurélio	aurelius
inscrições	inscriptions
inscrições	entries
inscrições	registrations
inscrições	enrollment
inscrições	registration
most	most
filmografia	filmography
alejandro	alejandro
cerveja	beer
cerveja	ale
bravo	bravo
bravo	brave
italia	italia
pes	esp
pes	pes
efetivo	effective
aposentadoria	retirement
wisconsin	wisconsin
padroeiro	patron
guadalajara	guadalajara
ref	ref
campina	campina
campina	meadow
cleveland	cleveland
inventor	inventor
manifesto	manifesto
manifesto	manifest
lapa	lapa
originou	originated
adotada	adopted
dadas	given
manuscritos	manuscripts
aquecimento	heating
operário	worker
derrotando	defeating
friends	friends
severi	severi
demônio	devil
demônio	demon
traição	treachery
traição	betrayal
traição	treason
apagado	erased
automática	automatic
vigário	vicar
treino	training
treino	workout
adquirida	acquired
poderosos	powerful
fictício	fictitious
fictício	fictional
contêm	contain
exposto	exposed
combinado	combined
holstein	holstein
secundários	secondary
nomeados	nominees
nomeados	appointed
nomeados	nominated
diploma	diploma
livraria	bookstore
livraria	bookshop
projeção	projection
meridiano	meridian
catherine	catherine
excelência	excellency
excelência	excellence
imperadores	emperor
imperadores	emperors
gazeta	gazette
ltda	ltda
andares	floors
derivada	derivative
derivada	derived
ódio	hatred
ódio	hate
foguetes	rockets
foguetes	rocket
paramount	paramount
ensinamentos	lessons
ensinamentos	teachings
deslocamento	displacement
deslocamento	offset
imóvel	property
imóvel	immobile
léo	léo
léo	leo
turim	torino
turim	turin
