kampaņā	キャンペーン
pica	ピザ
taka	トレイル
gaiļa	雄鶏
vijole	ヴァイオリン
vijole	バイオリン
vienots	unified
vienots	シングル
vienots	独身
kāpnēm	ラダー
kāpnēm	ハシゴ
kāpnēm	はしご
kāpnēm	梯子
pakete	パッケージ
rāpuļi	爬虫類
kolēģija	カレッジ
kolēģija	大学
tomāšs	トマーシュ
ziloņi	ゾウ
republikām	共和制
mango	マンゴー
mango	マンゴ
mango	マンゴー
intervijas	面接
intervijas	インタビュー
intervijas	インタビュー
šķiršanās	離婚
šķiršanās	別れ
zero	ゼロ
sarakstus	リスト
stabils	安定
ābols	リンゴ
ābols	りんご
ābols	アップル
ābols	林檎
čemberlens	チェンバレン
čemberlens	侍従
izmeklēšana	調査
izmeklēšana	捜査
izmeklēšana	問い合わせ
bis	ビス
zeltā	gold
zeltā	ゴールド
sastāvdaļām	材料
sastāvdaļām	食材
sastāvdaļām	成分
tests	テスト
trušu	ウサギ
trušu	うさぎ
senči	先祖
veins	ウェイン
galējais	アルティメット
meles	meles
istabu	部屋
istabu	ルーム
mehānismi	メカニズム
mehānismi	機械
aston	アストン
fotogrāfijā	フォト
fotogrāfijā	写真
labojumi	矯正
labojumi	補正
labojumi	修正
labojumi	補正
labojumi	訂正
labojumi	整流
spirāles	渦巻
coa	coa
photo	フォト
photo	写真
teikums	宣告
teikums	センテンス
teikums	文章
edinburgas	エディンバラ
līkne	カーブ
līkne	曲線
aristokrātu	貴族
astana	アスタナ
pegi	pegi
auksts	風邪
auksts	コールド
auksts	冷たい
auksts	寒い
audzēšana	栽培
audzēšana	栽培
audzēšana	成長
audzēšana	繁殖
audzēšana	農業
neatkarīgs	独立
neatkarīgs	インディペンデント
izmēģinājuma	パイロット
ēdiens	食べ物
ēdiens	料理
ēdiens	食品
ēdiens	食事
kubu	キューバ
tauki	ヘット
tauki	脂肪
juan	フアン
metāli	金属
echo	反響
echo	エコー
bella	ベラ
izteiksme	表現
izteiksme	expression
mēbeles	家具
riepas	タイヤ
riepas	タイヤ
drēbes	被服
drēbes	洋服
atklājot	発見
centaur	ケンタウロス
vokālā	ボーカル
pamācība	チュートリアル
hektāru	ヘクタール
domstarpības	紛争
domstarpības	不一致
domstarpības	申し立て
rediģēšanas	編集
aizvietot	置換
nord	ノール
kokmateriālu	材木
kokmateriālu	木材
laime	ハピネス
laime	幸福
laime	幸せ
proklamēšanas	布告
dvīņi	双子
brīvprātīgie	ボランティア
sasniegšanas	功績
sasniegšanas	事績
sasniegšanas	達成
sasniegšanas	実績
garīdznieku	神学校
vidusjūra	地中海
finansējums	融資
finansējums	財務
finansējums	金融
finansējums	財政
finansējums	ファイナンス
panorāmas	パノラマ
grāmatvedības	経理
grāmatvedības	会計
sterliņu	スターリング
grafiks	時刻表
grafiks	グラフ
grafiks	日程
grafiks	スケジュール
katastrofu	災害
bilbao	ビルバオ
laiva	ボート
puma	プーマ
regīna	レジーナ
atbalstītājiem	サポーター
jahtu	ヨット
menu	メニュー
staigāt	歩き
staigāt	ウォーク
staigāt	歩行
staigāt	歩く
staigāt	徒歩
aprēķināts	推定
atols	環礁
nach	nach
truši	ウサギ
truši	ウサギ
truši	うさぎ
kopenhāgenas	コペンハーゲン
bībele	聖書
pievienošana	加算
pievienošana	加法
nulli	ゼロ
strīdu	申し立て
galaxy	銀河
galaxy	銀河系
ceļot	旅行
khan	ハーン
khan	カーン
kapitāls	資本
kapitāls	首都
kapitāls	キャピタル
zvejnieki	漁師
skatuve	現場
skatuve	シーン
skatuve	場面
retas	レア
abiniekiem	両生類
dalī	ダリ
loģika	論理
pūķis	ドラゴン
mitsubishi	三菱
teikumu	宣告
teikumu	センテンス
teikumu	文章
atdalīšanas	別居
atdalīšanas	分離
hansa	ハンザ
origargs	origargs
likme	レート
likme	評価
saīsināts	短縮
epoch	紀元
epoch	エポック
kalēju	鍛冶屋
vārdnīcu	辞書
vārdnīcu	辞典
vārdnīcu	語彙
iemaņas	スキル
iemaņas	スキル
aizbēgt	エスケープ
aizbēgt	脱出
milzīgas	巨大
noliedz	拒否
noliedz	否定
bandas	ギャング
bandas	ギャング
satikās	met
pauli	パウリ
iekaisums	炎症
negatīvs	ネガティブ
negatīvs	マイナス
negatīvs	ネガ
endijs	アンディ
sabrukumu	崩壊
sabrukumu	たたむ
līgās	リーグ
mālu	クレイ
mālu	粘土
ipod	ipod
tukša	空っぽ
tukša	空欄
tukša	ブランク
jaguar	ジャガー
griničas	グリニッジ
jakovs	ヤコフ
lūcija	ルチア
lūcija	ルシア
pretrunas	矛盾
pretrunas	矛盾
sekla	浅い
sekla	浅瀬
kairas	カイロ
eņģeļi	エンジェルス
eņģeļi	天使
kažokādu	毛皮
vakars	夕方
vandenberga	ヴァンデンバーグ
attālumus	距離
tags	タグ
eleonora	エレノア
varavīksne	レインボー
apmācība	トレーニング
apmācība	講習
apmācība	修行
apmācība	訓練
apmācība	研修
temps	ペース
temps	テンポ
kontinentālo	本土
secība	オーダー
secība	注文
secība	シーケンス
sparta	スパルタ
aba	aba
aba	アバ
vēži	ザリガニ
saglabāšanas	保全
sula	ジュース
sekretāri	秘書
etiopija	エチオピア
dat	dat
viesuļvētra	トルネード
viesuļvētra	竜巻
viesuļvētra	ハリケーン
viesuļvētra	台風
atvasinājumi	デリバティブ
bokss	ボクシング
zimbabves	ジンバブエ
nedēļās	週間
ascii	アスキー
ascii	ascii
pikē	ピケ
salīdzina	比較
trojas	トロイ
trojas	イリオス
carlos	カルロス
paneļu	パネル
pamanīja	斑点
uzturēšana	メンテナンス
uzturēšana	整備
bagātības	宝物
rvr	rvr
identificē	識別
identificē	識別
motora	エンジン
radītājs	クリエーター
viesiem	ゲスト
cirka	サーカス
bloki	ブロック
nopirkt	買う
nopirkt	購入
pabeigti	終了
svinības	お祝い
svinības	祝賀会
svinības	お祝い
anne	アン
izolēta	絶縁
malaizijā	マレーシア
vāvere	リス
lightgrey	lightgrey
pau	pau
stūri	コーナー
mērīšanas	測定
burgen	burgen
nogalināšanas	キリング
ave	アヴェ
ozona	オゾン
skolotājiem	教員
skolotājiem	教師
efektivitāte	効率
efektivitāte	実効
efektivitāte	効能
komponentes	コンポーネント
pagalma	中庭
halo	halo
regbija	ラグビー
četrpadsmit	fourteen
boloņas	ボローニャ
sit	bti
juno	ジュノー
smarža	匂い
smarža	におい
smarža	香り
smarža	アロマ
rca	rca
guru	グル
teleskops	望遠鏡
gustavo	グスタボ
vīns	ワイン
gdaņskas	グダニスク
centimetru	センチメートル
hroma	クロム
levi	レビ
lua	lua
dolārs	ドル
dolārs	yen
kāja	フィート
uzzina	気づき
plūdu	洪水
kursi	コース
bagātas	金持ち
bagātas	リッチ
dalīšana	師団
dalīšana	ディビジョン
dalīšana	共有
dalīšana	シェア
migels	ミゲル
tec	tec
tec	tpp
gēns	遺伝子
gēns	ジーン
varbūtību	確率
pieņēmums	推定
pieņēmums	予想
pieņēmums	想定
pieņēmums	就任
pagātni	過去
autodesk	autodesk
pazudis	ロスト
loģiski	論理
radaru	レーダー
mērvienības	単位
mērvienības	ユニット
natura	diverse
stikls	グラス
stikls	ガラス
inta	inta
florence	フローレンス
florence	フィレンツェ
vaļi	クジラ
vakuumā	バキューム
vakuumā	真空
anthony	アンソニー
gudrais	英明
nākotne	フューチャー
nākotne	未来
nākotne	将来
neveiksmes	失敗
neveiksmes	故障
neveiksmes	失敗
vasarai	summer
vasarai	サマー
emisijas	排出
temats	話題
temats	トピック
temats	主体
temats	件名
kapsulas	カプセル
kapsulas	カプセル
segmentiem	セグメント
env	eua
env	env
gāzt	転覆
doi	土居
doi	土井
doi	ドイ
paturēt	キープ
radiniekiem	親族
radiniekiem	親戚
apvienojums	組み合わせ
apvienojums	コンビネーション
administratori	管理者
administratori	管理人
administratori	管理者
administratori	管理人
palace	宮殿
skandāls	スキャンダル
skandāls	不祥事
lvl	lvl
montana	モンタナ
jaunava	処女
jaunava	ヴァージン
vērtīgi	尊い
vērtīgi	precious
vērtīgi	貴重
handbuch	handbuch
venecuēla	ベネズエラ
salona	キャビン
salona	船室
sfēra	ドメイン
sfēra	レルム
sfēra	球体
sfēra	球面
sfēra	球形
rjazaņas	リャザン
vadlīnijas	指導
vadlīnijas	ガイダンス
vadlīnijas	指針
vadlīnijas	ガイドライン
bafina	バフィン
plankumi	斑点
bombardēšanas	砲撃
bombardēšanas	爆撃
macintosh	macintosh
ķengurs	カンガルー
konfigurācijas	構成
lab	研究室
lab	ラボ
raganas	魔女
virdžīnija	バージニア
virdžīnija	ヴァージニア
mores	風俗
gērijs	ゲーリー
gērijs	ギャリー
gērijs	ゲイリー
krūts	乳房
krūts	母乳
rase	人種
rase	競走
rase	レース
likvidācijas	弁済
likvidācijas	清算
diseldorfas	デュッセルドルフ
subheader	subheader
prieku	喜び
joda	ヨード
joda	ヨーダ
cilindra	円柱
cilindra	シリンダー
nežēlīgi	残酷
komunikācija	通信
komunikācija	コミュニケーション
komunikācija	通信
komunikācija	コミュニケーション
ieplakas	スラックス
graudi	穀物
burvis	魔法使い
burvis	ウィザード
gabali	切り傷
draudzene	ガールフレンド
iesaistīta	連座
dzeguzes	cuculus
imago	成虫
purviem	沼地
apdare	仕上げ
audzēšanas	栽培
audzēšanas	成長
rites	ローリング
gredzenveida	金環
togo	トーゴ
nic	nic
hektārus	ヘクタール
spektrs	スペクトル
vējdzirnavas	風車
konsultācijas	コンサルティング
konsultācijas	相談
konsultācijas	カウンセリング
konsultācijas	助言
konsultācijas	アドバイス
konsultācijas	コンサルタント
konsultācijas	諮問
konsultācijas	相談
konsultācijas	協議
elisa	エリーゼ
elisa	elisa
iekštelpu	室内
iekštelpu	屋内
kanta	カンタ
apstiprināt	検証
apstiprināt	validate
apstiprināt	承認
apstiprināt	確認
nice	ナイス
nice	ニース
nice	素敵
mata	マタ
butānas	ブータン
ātra	クイック
ātra	快速
ātra	速い
ātra	高速
šķir	分ける
darvins	ダーウィン
dub	dub
dub	ダブ
expo	エキスポ
mainīgo	変数
mainīgo	可変
identifikācijas	同定
identifikācijas	識別
benfica	ベンフィカ
frāze	フレーズ
sertifikātu	証明書
sertifikātu	証書
bruņojuma	軍備
labklājību	繁栄
zēni	boys
zēni	男の子
ieslodzītie	囚人
singapūrā	シンガポール
žanna	ジャンヌ
reģistrs	原簿
reģistrs	登録
reģistrs	レジスタ
reģistrs	登記簿
korī	コーラス
daudzveidīga	多様
astoņdesmit	eighty
atpūsties	リラックス
atvieglotu	やす
pamatne	塩基
pamatne	base
pamatne	ベース
viršanas	茹でる
kontinents	大陸
afganistāna	アフガニスタン
afganistāna	アフガン
afganistāna	アフガニスタン
pagalms	中庭
pagalms	ヤード
villijs	ウィリー
papildinājums	付録
jemenas	イエメン
nemainīga	定数
ribas	リブ
ribas	肋骨
slepkavība	殺人
slepkavība	暗殺
slepkavība	殺人
vēstījums	メッセージ
vēstījums	伝言
schneider	シュナイダー
izdošana	発行
izdošana	出版
izdošana	パブリッシング
izdošana	引渡し
soļi	歩数
soļi	手順
soļi	ステップ
testēšanas	テスト
pārmaiņus	交互
pārmaiņus	交代
pārmaiņus	交互
paņēmieni	テクニック
domāšana	考え
domāšana	思考
domāšana	考え方
holdings	ホールディングス
celiņš	トラック
ziņojumi	レポート
ziņojumi	報告
ziņojumi	メッセージ
ziņojumi	レポート
ziņojumi	報告
novirze	偏差
novirze	偏向
dodo	ドードー
alvas	スズ
sagatavo	準備
tmp	tmp
sagatavošana	準備
sagatavošana	調製
sagatavošana	仕込み
sagatavošana	調合
sagatavošana	準備
sets	セス
aļģes	藻類
andora	アンドラ
iesniegt	送信
iesniegt	提出
hercs	ヘルツ
nomas	賃貸
nomas	貸す
nomas	賃貸借
gaišs	軽い
gaišs	明るい
gaišs	ライト
gaišs	ブライト
gaišs	明るい
pokera	ポーカー
aptauja	アンケート
aptauja	調査
aptauja	アンケート
bultas	矢印
bultas	アロウズ
cool	クール
cool	涼しい
zalcburgas	ザルツブルク
shell	シェル
seksuālās	性的
address	アドレス
address	住所
griesti	天井
griesti	天井
poga	ボタン
erozijas	侵食
dingo	ディンゴ
zvana	耳鳴り
piegādāt	届け
atbalstītājs	サポーター
gordon	ゴードン
grozījumi	改正
uzturēšanās	住居
uzturēšanās	居所
serveriem	サーバ
serveriem	サーバー
zudums	損失
zudums	喪失
kolibri	ハチドリ
tranzīta	トランジット
skrējiens	人種
skrējiens	競走
skrējiens	レース
vadīšana	運転
dom	ドム
dom	dom
skaitīšana	国勢調査
skaitīšana	カウント
bēgļi	難民
bēgļi	難民
atbildības	責任
atbildības	責任
atbildības	責務
vēstnieku	大使
vēstnieku	アンバサダー
gors	ゴア
pamatojums	理由
pamatojums	論拠
pamatojums	根拠
pamatojums	事由
sausa	辛口
sausa	ドライ
sausa	乾燥
anda	アンダ
džuljeta	ジュリエット
zodiaka	ゾディアック
doroteja	ドロテア
udp	udp
urugvaja	ウルグアイ
cieto	一生懸命
cieto	ハード
cieto	難しい
sēdeklis	座席
aļģu	藻類
aļģu	藻類
audiem	ティッシュ
taisnleņķa	直交
nissan	日産
verdzības	緊縛
fermentu	酵素
faktus	事実
miks	ミック
pīrāgs	パイ
viegls	軽度
viegls	イージー
viegls	易しい
viegls	やさしい
viegls	簡単
sid	シド
sid	sid
galdiņš	テーブル
lauksaimnieks	農家
herbst	herbst
korāns	クルアーン
korāns	コーラン
virtemberga	ヴュルテンベルク
lec	ジャンプ
loģikas	論理
medikamenti	ドラッグ
medikamenti	薬物
siers	チーズ
siers	チーズ
paredzēt	予測
zaļi	グリーン
zaļi	緑色
septembri	九月
pci	pci
zemūdenes	潜水艦
kolēģiem	同僚
neapmierinātību	不満
sagatavošanās	準備
sagatavošanās	調製
sagatavošanās	仕込み
sagatavošanās	調合
athletic	アスレチック
konservatīvā	保守
miglājs	星雲
fons	背景
fons	バックグラウンド
tapas	ピン
tapas	タパス
kontakti	コンタクト
kenterberijas	カンタベリー
bernes	ベルヌ
mainīga	変数
mainīga	可変
seišelu	セーシェル
reitings	評価
reitings	格付
tadžikistānas	タジク
tadžikistānas	タジキスタン
nosēšanās	着陸
nosēšanās	上陸
doc	doc
doc	ドク
saulē	太陽
saulē	sun
kristu	キリスト
forum	フォーラム
irāņu	イラン
vīrusi	ウィルス
vīrusi	ウイルス
pašnāvības	自殺
spuldzes	球根
spuldzes	街灯
spuldzes	球根
pīrss	ピアス
pīrss	ピアース
infekcija	伝染病
infekcija	感染
kelly	ケリー
koch	コッホ
izpausme	表現
izpausme	expression
izpausme	発現
kioto	京都
sanāksmes	ミーティング
sanāksmes	会議
datumi	日付
sam	サム
lietojumprogrammas	アプリケーション
cilvēci	人類
saga	サガ
saga	佐賀
neoficiāli	略式
neoficiāli	非公式
klips	クリップ
rokoko	ロココ
fazāns	キジ
draudi	脅威
draudi	威嚇
draudi	脅迫
draudi	危険
draudi	威嚇
draudi	脅威
roza	ローザ
stili	スタイル
wrc	wrc
spriedums	判断
spriedums	審判
spriedums	評決
spriedums	判断
spriedums	判決
apziņa	意識
virtuālā	バーチャル
virtuālā	仮想
liftu	エレベーター
ziedot	募金
ziedot	寄付
treknrakstā	太字
treknrakstā	ボールド
kapsula	カプセル
antuāns	アントワーヌ
bilde	画像
bilde	写真
sinonīmi	同義語
sinonīmi	類義語
sinonīmi	同義語
sinonīmi	類義語
strauss	シュトラウス
apg	apg
lentes	テープ
lentes	テープ
lentes	ストリップ
lentes	リボン
akcionāri	株主
meri	メリ
vlt	vlt
pozitīva	陽性
pozitīva	ポジティブ
vāc	徴収
vāc	集める
vāc	収集
brīvdienas	週末
brīvdienas	休暇
brīvdienas	バカンス
brīvdienas	バケーション
brīvdienas	祝日
brīvdienas	休日
toledo	トレド
nauru	ナウル
mīts	神話
vingrošanas	体育館
vingrošanas	ジム
primārā	メイン
primārā	プライマリ
knuts	クヌース
meklētājs	ファインダー
dzemdību	分娩
dzemdību	出産
viking	バイキング
sevilla	セビリア
sevilla	セビージャ
fragmentu	フラグメント
push	プッシュ
push	押す
paneļi	パネル
medu	ハニー
medu	はちみつ
medu	蜂蜜
pētījumā	公判
pētījumā	トライアル
pētījumā	審判
pētījumā	裁判
klasiskais	クラシカル
klasiskais	クラシック
klasiskais	古典
vizītes	訪問
izņemt	削除
izņemt	取り除く
prasība	債権
prasība	主張
prasība	取得
prasība	要件
ceļvedis	ガイド
noraida	拒否
gfdl	gfdl
tls	tls
voll	voll
mainīgs	変数
mainīgs	可変
mainīgs	交互
mainīgs	交代
hesenes	ヘッセン
hesenes	ヘッセ
cip	cia
cip	cip
šķēles	スライス
šķēles	スライス
edt	edt
omega	オメガ
krabju	カニ
neiespējami	インポッシブル
neiespējami	不可能
pārstāvniecība	表現
skaists	美しい
skaists	ビューティフル
skaists	ハンサム
skaists	イケメン
upsalas	ウプサラ
siāmas	シャム
izplatītājs	ディーラー
ģeometrija	ジオメトリ
ģeometrija	図形
apr	apr
veiksmes	サクセス
veiksmes	成功
meitenēm	ガールズ
aso	阿蘇
aso	麻生
brālēns	従姉妹
brālēns	従兄弟
brālēns	いとこ
pastāvīgs	パーマネント
diablo	ディアブロ
bultu	矢印
bultu	アロー
klaudija	クラウディア
izpildvaras	エグゼクティブ
sekretāre	秘書
aleksis	アレクシス
procenti	パーセンテージ
procenti	パーセント
procenti	割合
procenti	パーセント
procenti	利子
procenti	利息
vispārējs	ジェネリック
oriģināla	オリジナル
braukšana	乗馬
braukšana	走る
braukšana	ランニング
braukšana	運転
ogles	石炭
ogles	木炭
gāzēm	気体
jaltas	ヤルタ
logā	ウィンドウ
uiguru	ウイグル
konkurence	競技
konkurence	コンペ
konkurence	競争
konkurence	コンペティション
konkurence	コンテスト
xxxx	xxxx
zemeņu	いちご
zemeņu	イチゴ
komponenti	コンポーネント
optiskā	光学
gētes	ゲーテ
modulācijas	変調
aizstāvis	ディフェンダー
šifrēšanas	暗号
ogu	ベリー
kāzām	ウェディング
kāzām	結婚式
slēgšanu	閉包
slēgšanu	閉鎖
septiņpadsmit	seventeen
septiņdesmit	seventy
det	det
precizitāte	精度
precizitāte	正確性
precizitāte	精度
apvienošanas	合併
takas	パス
atjaunotu	補充
laikraksti	新聞紙
laikraksti	新聞
kona	コナ
lūka	エバンジェリスト
oglekli	炭素
lolita	ロリータ
sajūtas	気分
sajūtas	フィーリング
sajūtas	感覚
sajūtas	気持ち
sajūtas	感情
oulu	オウル
sus	sus
lektors	講師
maska	仮面
maska	マスク
