γερουσιαστές	সিনেটর
εμπόρους	ব্যবসায়ীদের
εμπόρους	ব্যবসায়ীরা
εμπόρους	ডিলার
χαβάης	হাওয়াইয়ান
μάρθα	মার্থা
ρομά	রোমা
μπέτι	বেটি
ταξί	ট্যাক্সি
ταξί	ক্যাব
ταξί	ট্যাক্সিতে
επικοινωνίες	যোগাযোগ
παρακολουθούσε	দেখেছেন
φινλανδική	ফিনিশ
υποψίες	সন্দেহের
υποψίες	সন্দেহ
ισμαήλ	ইসমাইল
ισμαήλ	ইসমাইল
εμβαδόν	এলাকা
εμβαδόν	অঞ্চল
ημερήσια	দিন
ημερήσια	রোজকার
ημερήσια	দৈনিক
ημερήσια	প্রতিদিন
ρώτησε	জিজ্ঞাসা
ρώτησε	জিজ্ঞেস
δηλητήριο	ভেনম
δηλητήριο	বিষ
εξαρτήματα	আনুষঙ্গিক
εξαρτήματα	উপাদানগুলি
εξαρτήματα	উপাদান
ναύτες	নাবিকদের
ναύτες	নাবিক
βασιλιάδες	কিংস
υπομονή	ধৈর্য্য
υπομονή	ধৈর্য
βασίλισσες	কুইন্স
βούλα	বিন্দু
βούλα	ডট
άστον	অ্যাস্টন
πληροφόρηση	তথ্য
πληροφόρηση	তথ্যসূত্র
διάβαση	পারাপার
διάβαση	ক্রসিং
διάβαση	ফ্লাইওভার
μνήμες	স্মৃতি
μνήμες	মেমরি
μνήμες	স্মৃতি
αγροτικός	গ্রামীণ
αγροτικός	গ্রাম্য
αγροτικός	গ্রামের
αγροτικός	পল্লী
τρομοκρατία	সন্ত্রাসবাদ
τρομοκρατία	সন্ত্রাস
χρόνοι	টাইমস
ικανοποίηση	সন্তুষ্টি
ικανοποίηση	সন্তুষ্টির
μόργκαν	মর্গান
εκτύπωση	প্রিন্ট
εκτύπωση	মুদ্রণ
εκτύπωση	মুদ্রণ
αναφορών	পিটিশন
σαρδηνίας	sardinia
διαδήλωση	প্রতিবাদ
διαδήλωση	বিক্ষোভ
νόμιμα	আইনগত
νόμιμα	আইনত
νόμιμα	আইনগতভাবে
κανονισμός	নিয়ন্ত্রক
παίχτης	খেলোয়াড়
περίεργο	আজব
περίεργο	অদ্ভুত
περίεργο	বিচিত্র
περίεργο	আশ্চর্য
περίεργο	আজব
περίεργο	অদ্ভুত
μαλαισίας	মালয়েশিয়া
μαλαισίας	মালয়েশিয়ান
μαλαισίας	মালয়েশিয়ার
ανέκδοτα	ধাধা
ανέκδοτα	কৌতুক
ανέκδοτα	জোকস
χαμένη	হারিয়ে
νικαράγουα	নিকারাগুয়া
χείλη	ঠোঁট
χείλη	ঠোট
χείλη	ঠোঁটে
ασταθής	অস্থায়ী
βίκυ	ভিকি
τιμόνι	চাকা
τιμόνι	হুইল
ωκεανός	মহাসাগর
αμπέλια	আঙুর
αμπέλια	আঙ্গুরের
ραφαέλ	রাফায়েল
ραφαέλ	রাফায়েল
κρίκετ	ক্রিকেট
κινητική	গ্যাসের
κινητική	kinetics
μαρσέλ	মার্সেল
κλήρου	যাজক
σύσκεψη	কনফারেন্স
σύσκεψη	সম্মেলন
σύσκεψη	সভা
εγκατάλειψη	পরিত্যাগ
ταγματάρχη	প্রধান
ταγματάρχη	মেজর
τόμι	টমি
σύναψη	উপসংহার
φρίντμαν	ফ্রিডম্যান
στολές	ইউনিফর্ম
στολές	তাড়া
στολές	স্যুট
φίλτρα	ফিল্টার
θαυμαστές	ভক্ত
θαυμαστές	ভক্তরা
γκλόβερ	গ্লোভার
μπακού	বাকু
κελί	সেল
συνιστάται	সুপারিশকৃত
λύκος	নেকড়ে
σήραγγα	সুড়ঙ্গ
σήραγγα	টানেল
δεκτό	স্বীকৃত
δεκτό	গৃহীত
ντάλας	ডালাস
μεσάνυχτα	মধ্যরাত
υφάσματα	কাপড়
τόνος	টুনা
τόνος	টোন
χαλκός	তামা
ιρλανδός	আইরিশ
ψηλότερα	উচ্চতর
μπελίζ	বেলিজে
μπελίζ	বেলিজ
νέφος	মেঘ
προοπτικές	আউটলুক
προοπτικές	outlook
σπύρο	spiro
σκέλος	স্ট্র্যান্ড
παράβαση	লঙ্ঘনের
έξτρα	অতিরিক্ত
ταχυδρομείο	মেইলার
ταχυδρομείο	মেইল
τένις	টেনিস
τακτικής	কৌশলগত
μάρκετινγκ	বিপণন
μάρκετινγκ	ব্যবসায়িক
μάρκετινγκ	মার্কেটিং
ανταρσία	বিদ্রোহ
πιάτο	ডিশ
πιάτο	প্লেট
πιάτο	প্লেটে
κρίστι	কৃষ্টি
κρίστι	কৃষ্টি
κρίστι	ক্রিস্টি
κρίστι	ক্রিস্টি
αξιοθέατο	মাইলফলক
αξιοθέατο	আকর্ষণ
αξιοθέατο	আকর্ষণের
διακύμανση	মতভেদ
επιβεβαίωση	নিশ্চিত
επιβεβαίωση	নিশ্চয়তা
επιβεβαίωση	অনুমোদন
επιβεβαίωση	নিশ্চিতকরণ
επιβεβαίωση	নিশ্চিত
μονομαχία	duel
πρόσθετο	প্লাগইন
πνευμονία	নিউমোনিয়া
πνευμονία	নিউমোনিয়ায়
τσουνάμι	সুনামি
φλάουτο	বাঁশি
φλάουτο	বাঁশী
συντεχνία	গিল্ড
αναίρεση	আবেদন
αναίρεση	পূর্বাবস্থা
ξηρό	শুকনো
ξηρό	ড্রাই
ξηρό	শুকিয়ে
ξηρό	শুষ্ক
ξηρό	শুকাতে
εναλλαγή	পরিবর্তন
εναλλαγή	সুইচ
εναλλαγή	অদলবদল
εναλλαγή	swap
εξήντα	sixty
εξήντα	ষাট
επενδυτές	বিনিয়োগকারীদের
επενδυτές	বিনিয়োগকারী
κεραμικά	সিরামিক
λη	লি
λη	লী
οδηγούς	ড্রাইভার
γέννα	জন্ম
γέννα	জন্মের
γέννα	প্রসব
μπάτλερ	বাটলার
φυσιολογικό	স্বাভাবিক
σορτς	হাফপ্যান্ট
σορτς	সংক্ষিপ্ত
σορτς	শর্টস
ακούει	শোনে
λογικές	যুক্তিসঙ্গত
λογικές	ন্যায্য
λογικές	লজিক্যাল
λογικές	যৌক্তিক
πωλήθηκε	বিক্রীত
τόνισε	ধকল
τόνισε	পীড়িত
τόνισε	চাপে
ρόναλντ	রোনাল্ড
διαιτητές	referees
μίξη	মিশ্রিত
μίξη	মিশ্রণ
μίξη	মিক্স
αλγόριθμο	অ্যালগোরিদম
αλγόριθμο	অ্যালগরিদম
επισημαίνει	হাইলাইট
αυτόνομες	স্বশাসিত
ήρα	হেরা
συμβάλει	অবদান
προορίζεται	সংরক্ষিত
παραγουάη	প্যারাগুয়ে
εκτελεστικό	এক্সিকিউটিভ
εκτελεστικό	নির্বাহী
ισραηλινή	ইসরাইলি
ισραηλινή	ইসরায়েলি
ισραηλινή	ইজরায়েলি
βάρκα	নৌকা
βάρκα	নৌকার
βάρκα	বোট
αυθεντική	খাঁটি
παχύ	পুরু
άγχος	চাপ
άγχος	স্ট্রেস
άγχος	ধকল
άγχος	উদ্বেগ
άγχος	দুশ্চিন্তা
άγχος	উদ্বেগের
βέρα	ভেরা
ιστός	ওয়েব
ιστός	টিস্যু
αιμορραγία	রক্তক্ষরণ
αιμορραγία	রক্তপাত
αιμορραγία	রক্তক্ষরণ
καράβι	জাহাজ
καράβι	শিপ
καράβι	জাহাজের
καράβι	নৌকা
καράβι	নৌকার
καράβι	বোট
φινάλε	endgame
φινάλε	লয়
πέμπτος	পঞ্চম
οχι	নয়
οχι	না
ονδούρα	হন্ডুরাস
ελάχιστοι	অল্প
ελάχιστοι	কয়েকটি
ελάχιστοι	কিছু
ελάχιστοι	কয়েক
πνεύμονα	ফুসফুসের
πνεύμονα	ফুসফুস
μαγνήσιο	ম্যাগনেসিয়াম
μέι	সোমবার
μέι	মে
μέι	মেই
μέι	মায়
υπόμνημα	স্মারকলিপি
θαύματα	অলৌকিক
θαύματα	বিস্ময়ে
θαύματα	বিস্ময়ের
θαύματα	বিস্ময়
καθολικός	ক্যাথলিক
σινεμά	সিনেমা
κενού	ভ্যাকুয়াম
κροάτες	croats
πρόσθετη	অতিরিক্ত
ποσειδώνας	পসেইডন
ποσειδώνας	নেপচুন
ίντσες	ইঞ্চি
μογγολίας	মঙ্গোলিয়ান
σύννεφα	মেঘমালা
σύννεφα	মেঘের
σύννεφα	মেঘ
ερπετά	সরীসৃপ
ερπετά	সরীসৃপ
κόλινς	কলিন্স
κόλινς	কলিনস
αιγυπτιακό	মিশরের
αιγυπτιακό	মিসরীয়
αιγυπτιακό	ইজিপশিয়ান
αιγυπτιακό	মিশরীয়
ιδανικά	আদর্শে
ιδανικά	আদর্শের
ιδανικά	আদর্শ
ιδανικά	আদর্শগতভাবে
φίδι	সাপ
τρίχες	হেয়ার
τρίχες	চুলের
τρίχες	চুল
τρίχες	কেশ
τρίχες	চুল
υποδομή	পরিকাঠামো
ρόμπερτς	রবার্টস
ινδός	ইন্ডিয়ান
ινδός	ভারতীয়
βιταμίνη	ভিটামিন
γκρεγκ	গ্রেগ
σκόπια	ম্যাসেডোনিয়া
σκόπια	মেসিডোনিয়া
πρακτικό	বাস্তব
πρακτικό	ব্যবহারিক
περιήλιο	perihelion
καταρράκτες	ফলস
καταρράκτες	জলপ্রপাত
καταρράκτες	ঝর্ণা
παράξενο	আজব
παράξενο	অদ্ভুত
παράξενο	বিচিত্র
παράξενο	আশ্চর্য
παράξενο	আজব
παράξενο	অদ্ভুত
κελιά	কোষ
έμμα	এমা
αφηρημένη	বিমূর্ত
συναγωγή	সিনাগগ
τεχνητό	কৃত্রিম
προσδοκίες	প্রত্যাশা
καταδίωξη	তাড়া
καταδίωξη	চেজ
νικόλα	নিকোলা
νικόλα	নিকোলা
επεξεργαστής	সম্পাদক
επεξεργαστής	প্রসেসর
αφίσα	পোস্টার
μάσκα	মুখোশ
μάσκα	ছাঁচ
μάσκα	মাস্ক
μαραθώνιος	ম্যারাথন
ένοχος	দোষী
ένοχος	অপরাধী
κυρά	লেডি
κυρά	ভদ্রমহিলা
τζούντο	জুডো
ταύρος	বৃষ
ταύρος	ষাঁড়
ταύρος	বুল
κρουζ	ক্রুজ
εξόρυξης	মাইনিং
εξόρυξης	খনন
εξόρυξης	খনির
τοπογραφία	topography
σχεδιαστή	ডিজাইনার
αρετές	গুণের
ιστοριογραφία	historiography
μούσα	মুসা
καταβολή	অর্থপ্রদান
καταβολή	পেমেন্ট
κατασκευαστή	নির্মাতা
κατασκευαστή	প্রস্তুতকারক
κουτιά	বাক্স
επικίνδυνες	বিপদজনক
επικίνδυνες	ডেঞ্জারাস
επικίνδυνες	বিপজ্জনক
γίγαντες	দৈত্যদের
σταθερός	দৃঢ়ভাবে
σταθερός	স্থায়ী
κρίσιμο	গুরুত্বপূর্ণ
κρίσιμο	গুরুতর
χορούς	নাচে
πύραυλο	রকেট
κατάστρωμα	ডেক
λιβάδι	প্রেইরি
ελπίζοντας	প্রত্যাশী
μπέντζαμιν	বেঞ্জামিন
ημερολόγια	বর্ষপঞ্জি
ημερολόγια	ক্যালেন্ডার
εξαγορά	অর্জন
ρώσικα	রাশিয়ান
ρώσικα	রুশ
φίδια	সাপ
θέρετρο	রিসর্ট
θέρετρο	রিসোর্ট
οπτικές	অপটিক্যাল
οπτικές	অপটিকাল
στίγμα	পার্টিশন
στίγμα	অবস্থান
ανόργανες	অজৈব
θεραπευτική	থেরাপিউটিক
βάθρο	পোডিয়াম
βαγδάτη	বাগদাদ
διογένης	diogenes
αυτόνομα	স্বশাসিত
ιδιωτικός	একান্ত
ιδιωτικός	ব্যক্তিগত
ιδιωτικός	প্রাইভেট
αίτιο	কারন
αίτιο	কারণ
μάλκολμ	ম্যালকম
έλιοτ	এলিয়ট
έλιοτ	এলিয়ট
έλιοτ	ইলিয়ট
έλιοτ	এলিয়ট
κουμπί	বোতাম
κουμπί	বাটন
μοζαμβίκη	মোজাম্বিক
άρωμα	সুগন্ধী
άρωμα	ঘ্রাণ
φόρος	কর
κοινοπολιτεία	কমনওয়েলথ
αντιδρούν	প্রতিক্রিয়া
απαρχή	সূত্রপাত
διπλωματικό	কূটনৈতিক
διπλωματικό	কুটনৈতিক
κλίβελαντ	ক্লিভল্যান্ড
επιτεύχθηκε	অর্জিত
εξελίχθηκαν	বিবর্তিত
διαιτητή	রেফারি
διαιτητή	ref
διαιτητή	রেফ
εχθρικά	বৈরী
χαλ	hal
χαλ	হাল
υφή	জমিন
όγκους	টিউমার
αρκούδα	বহন
αρκούδα	ভালুক
αρκούδα	ভাল্লুক
ακρωτήρι	কেপ
βυθό	নীচে
πυρετός	জ্বর
διευθύντρια	পরিচালক
γραφικό	গ্রাফিক্যাল
γραφικό	গ্রাফিকাল
γραφικό	গ্রাফিক
κατανοητή	বোধগম্য
έφηβος	টিন
έφηβος	কিশোর
έφηβος	কৈশোর
εθελοντής	স্বেচ্ছাসেবক
εθελοντής	স্বেচ্ছাসেবী
πτώματα	লাশ
ηπείρους	মহাদেশের
ηπείρους	মহাদেশ
ισότοπα	আইসোটোপ
μπρουνέι	ব্রুনাই
μπρουνέι	ব্রুনেই
ήπαρ	লিভার
ήπαρ	মেটে
ήπαρ	লিভারের
γιουγκοσλαβική	যুগোস্লাভ
εθελοντικά	স্বেচ্ছায়
εθελοντικά	স্বেচ্ছাসেবক
εθελοντικά	স্বেচ্ছাসেবী
άσχημη	কুৎসিত
δημοσιογράφους	সাংবাদিক
δημοσιογράφους	সাংবাদিকদের
δημοσιογράφους	সাংবাদিকরা
δημοσιογράφους	রিপোর্টার্স
ρινγκ	রিং
ρινγκ	টিন
ρινγκ	আংটি
ψυχές	নিজেদের
ψυχές	আত্মাদের
κωδικοποίηση	এনকোডিং
κωδικοποίηση	কোডিং
κατάθεση	জবানবন্দী
κατάθεση	ডিপোজিট
κατάθεση	সাক্ষ্য
λάφυρα	লুট
λάφυρα	বুটি
λάφυρα	লুণ্ঠনের
βέρντι	ভের্দি
οδηγείται	তাড়িত
πλαστικό	প্লাস্টিক
νεβάδα	নেভাডা
αναμενόμενη	প্রত্যাশিত
τεκμηριώνεται	নথিভুক্ত
ανθρωπολογία	নৃ
θραύση	breakage
βύθιση	ডুবে
ανακοινώσεις	ঘটনাগুলি
ανακοινώσεις	কাহিনীগুলি
ανακοινώσεις	গল্প
αυθεντικό	খাঁটি
αυθεντικό	মূল
αυθεντικό	প্রকৃত
αυθεντικό	আসল
σιντ	সিড
δασκάλα	শিক্ষক
αναμφίβολα	নিঃসন্দেহে
μαριονέτα	পুতুল
φόρεσε	পরিধান
μαγικό	যাদু
μαγικό	ম্যাজিক
μαγικό	জাদু
μαγικό	ঐন্দ্রজালিক
μαγικό	যাদুকরী
σπένσερ	স্পেনসার
επαρχιακό	প্রাদেশিক
βίβλος	বাইবেল
άδη	হেডিস
τζόρνταν	জর্দান
τζόρνταν	জর্ডান
τραύμα	ক্ষত
τραύμα	আঘাত
τραύμα	ইনজুরি
τραύμα	আহত
τραύμα	ট্রমা
ρίτα	রিতা
ρίτα	রীতা
ανακαίνιση	সংস্কার
εύρημα	খোঁজা
ασιατική	এশিয়ান
εγκέφαλος	মগজ
εγκέφαλος	মস্তিষ্কে
εγκέφαλος	মস্তিষ্কের
εγκέφαλος	মস্তিষ্ক
εγκέφαλος	ব্রেন
δίκες	বিচার
δίκες	বিচারের
προσκύνημα	হজ্ব
προσκύνημα	হজ
ορατός	দৃশ্যমান
νυχτερινό	নিশাচর
ανταγωνιστές	প্রতিযোগীদের
γκαίτε	গ্যোটে
γυρίζει	ঘুরছে
γυρίζει	ঘুরতে
διαμαρτυρία	প্রতিবাদ
διαμαρτυρία	বিক্ষোভ
τριπλό	ট্রিপল
τριπλό	তিনগুণ
αδόλφος	অ্যাডলফ
τζένη	জেনি
γονίδιο	জিন
επαρχιακή	প্রাদেশিক
αντρέας	আনড্রেয়াস
ορθοδοξία	orthodoxy
τζόαν	জোয়ান
πυγμάχος	বক্সার
πυγμάχος	লড়াকু
πυγμάχος	জঙ্গী
πυγμάχος	ফাইটার
πλάσματα	প্রাণীদের
παράνομα	অবৈধভাবে
σιένα	siena
αναρρίχηση	আরোহন
αναρρίχηση	আরোহণ
καίσαρας	সিজার
κάνσας	কানসাস
προαιρετικά	ঐচ্ছিক
προαιρετικά	বিকল্প
γουάτσον	ওয়াটসন
βωμό	বেদী
κλέφτες	চোর
γεύμα	লাঞ্চ
γεύμα	মধ্যাহ্ন
γεύμα	লাঞ্চের
γεύμα	ভোজ
διευθυντές	পরিচালকদের
διευθυντές	পরিচালকদের
ομόφωνα	সর্বসম্মতিক্রমে
αλκιβιάδης	alcibiades
οξείδια	oxides
ενοχλεί	বিরক্ত
θραύσματα	ধ্বংসাবশেষ
σχεδιασμένη	পরিকল্পিত
φερόε	ফারো
φλεγμονή	প্রদাহ
ορυχείο	আমার
ορυχείο	খনি
ορυχείο	মাইন
ψηφοφόρων	ভোটার
ψηφοφόρων	ভোটাররা
ψηφοφόρων	ভোটারদের
παραμόρφωση	রেজোলিউশন
αβγά	ডিম
τρισεκατομμύρια	ট্রিলিয়ন
βαμβάκι	তুলো
βαμβάκι	কটন
βαμβάκι	তুলা
διαλύτη	দ্রবণ
βερν	ভার্ন
λανς	ল্যান্স
ταξινομική	taxonomic
άσχετο	অপ্রাসঙ্গিক
εγχείρηση	অপারেশন
εγχείρηση	কাজ
εγχείρηση	সার্জারী
εγχείρηση	সার্জারি
εγχείρηση	অস্ত্রোপচার
οἱ	এসব
οἱ	এইসব
οἱ	এগুলো
τίγρη	বাঘের
τίγρη	বাঘ
τίγρη	টাইগার
δικτάτορα	স্বৈরশাসকের
δικτάτορα	স্বৈরশাসক
ντεν	ডেন
επικρατούσα	মূলধারার
βολιβίας	বলিভিয়ার
τραγική	বিয়োগান্তক
κονσταντίν	কনস্টানটিন
προνύμφες	লার্ভা
μάγος	উইজার্ড
μάγος	জাদুকর
μάγος	ঐন্দ্রজালিক
ανίχνευσης	সনাক্তকরণ
ανίχνευσης	উদ্ঘাটন
οστό	হাড়
μιρ	মির
μιρ	মীর
αναταραχή	অস্থিরতা
ασυνήθιστη	অস্বাভাবিক
παγίδα	ফাঁদ
μπαράκ	বারাক
μπαράκ	বারাক
μπαράκ	বরাক
πνευματικού	pneumatic
κοπεγχάγης	কোপেনহেগেন
γλυκιά	মিষ্টি
γλυκιά	সুইট
γλυκιά	মধুর
γλυκιά	sweet
πληρώνει	পেই
πάνελ	প্যানেল
ώμο	কাঁধ
ώμο	কাধে
ώμο	কাঁধের
ενθαρρύνει	উৎসাহিত
ενθαρρύνει	উত্সাহিত
ενθαρρύνει	উৎসাহিত
εμπνευσμένο	অনুপ্রাণিত
εμπνευσμένο	উদ্দীপক
χτυπήματα	বলগুলো
χτυπήματα	হিট
χτυπήματα	আঘাত
βοστώνη	বস্টন
βοστώνη	বোস্টন
ντανιέλ	ড্যানিয়েল
ντανιέλ	ডেনিয়েল
κληρονόμος	উত্তরাধিকারী
ελβετική	সুইস
δημιουργούς	নির্মাতারা
ένατο	নবম
κάλυμμα	আবরণ
κάλυμμα	প্রচ্ছদ
κάλυμμα	কভার
προσόντα	যোগ্যতাসম্পন্ন
προσόντα	যোগ্যতা
προσόντα	যোগ্যতা
υποσημειώσεις	footnotes
τοίχοι	দেয়াল
τοίχοι	দেওয়াল
οπουδήποτε	কোথাও
οπουδήποτε	যেখানেই
κλάρα	ক্লারা
κράτησης	অন্তরীণ
κράτησης	আটক
κέρμα	পয়সা
μπορούσια	বরুসিয়া
δικηγόρο	আইনজীবী
δικηγόρο	উকিল
βαθμίδες	ধাপ
βαθμίδες	ধাপগুলি
βαθμίδες	পদক্ষেপ
ραμόν	রামোন
τέρνερ	টার্নার
ορόσημο	মাইলফলক
ορόσημο	মাইলস্টোন
ορόσημο	মাইলফলক
γονιμότητας	উর্বরতা
λισαβόνα	লিসবন
παρέλαση	কুচকাওয়াজ
παρέλαση	প্যারেড
καζίνο	ক্যাসিনো
σέρβους	সার্ব
γραπτές	লিখিত
γραπτές	লিখা
δυνατός	শক্তিশালী
δυνατός	মজবুত
δυνατός	শক্ত
άλι	আলী
άλι	আলি
δάσκαλοι	শিক্ষকদের
δάσκαλοι	শিক্ষকেরা
δάσκαλοι	শিক্ষকরা
χορεύτρια	নৃত্যশিল্পী
χορεύτρια	নর্তকী
χορεύτρια	নাচিয়ে
χάσμα	ভাগ
χάσμα	গ্যাপ
επιλεγμένη	নির্বাচিত
πίστα	ট্র্যাক
πίστα	racetrack
σιν	শিন
σιν	পাপ
σιν	পাপের
σιν	সিন
συναλλαγή	লেনদেন
ένζυμα	এনজাইম
συλλήψεις	গ্রেফতার
συλλήψεις	গ্রেপ্তার
αστάθεια	অস্থিরতা
κύλινδρο	সিলিন্ডার
λέιζερ	লেজার
ελλείψεις	ঘাটতির
ανεπίσημη	informal
ανεπίσημη	অনানুষ্ঠানিক
ελαφρών	লাইটওয়েট
πολύτιμη	মূল্যবান
πολύτιμη	মূল্যবান
αστυνομικοί	কর্মকর্তাকে
αστυνομικοί	অফিসার
αστυνομικοί	কর্মকর্তার
αστυνομικοί	কর্মকর্তাদের
γκουάμ	গুয়াম
γκουάμ	ইকুয়েডর
πάρτι	পার্টি
πάρτι	পার্টির
δεύτερα	সেকেন্ড
θόλο	চাঁদোয়া
θόλο	গম্বুজ
θόλο	ডোম
οικονομολόγοι	অর্থনীতিবিদ
φάουλ	ফাউল
αδιέξοδο	অচলাবস্থা
αδιέξοδο	তরফদার
μεσογειακή	ভূমধ্যসাগরীয়
δεκ	ডিসেম্বর
δεκ	বিষুবলম্ব
πούτιν	পুতিন
φορτηγά	ট্রাক
μέιν	মেইন
κοσμικό	ধর্মনিরপেক্ষ
κοσμικό	জাগতিক
κλείδωμα	লক
κλείδωμα	লকিং
αρτηρία	ধমনী
δευτεροβάθμια	দ্বিতীয়
γεωλογία	ভূতত্ত্ব
επιστήμονα	বিজ্ঞানী
ταϊπέι	তাইপে
ταϊπέι	তাইপেই
βράχια	পাথর
αγνή	পিওর
αγνή	নিখাদ
αγνή	বিশুদ্ধ
αγνή	খাটি
αγνή	খাঁটি
ορθογώνια	আয়তক্ষেত্র
εβδομάδων	সপ্তাহ
ναυτικοί	নাবিকদের
ναυτικοί	নাবিক
ναυτικοί	মেরিনের
παράγραφος	অনুচ্ছেদ
νούμερα	সংখ্যা
νούμερα	নম্বর
τζένιφερ	জেনিফার
έντερο	অন্ত্রের
κρύβεται	লুকানোর
κρύβεται	লুকিয়ে
οδησσό	ওডেসা
λίζα	লিসা
ζάκυνθος	জাকিনথোস
απάτη	কেলেঙ্কারি
απάτη	জালিয়াতি
πλάνο	প্ল্যান
πλάνο	পরিকল্পনা
αστείο	মজার
αστείο	ফানি
αστείο	মজাদার
αστείο	হাস্যকর
αστείο	রসিকতা
αστείο	কৌতুক
αστείο	তামাশা
επέζησαν	বেঁচে
όρθια	দাঁড়িয়ে
όρθια	দাড়িয়ে
όρθια	দাঁড়ানো
όρθια	সোজা
αντανακλά	প্রতিফলিত
τοποθετημένα	হুতু
ενεργεί	অভিনয়
εξαγωγές	রপ্তানি
πορτογάλοι	পর্তুগিজ
ρότζερς	রজার্স
νυρεμβέργη	নুরেমবার্গ
φακό	লেন্স
φακό	টর্চলাইট
φακό	মশাল
φακό	টর্চ
παρθενώνα	parthenon
λίβανος	লেবানন
φράγκο	ফ্রাঙ্ক
δαμασκό	দামেস্ক
δημοσιεύεται	প্রকাশ
δημοσιεύεται	প্রকাশিত
μέρλιν	মার্লিন
πάτωμα	ফ্লোরে
πάτωμα	তলা
πάτωμα	মেঝে
πάτωμα	ফ্লোর
πάτωμα	তল
κινητό	মোবাইলের
κινητό	মোবাইল
φιλελεύθεροι	উদারপন্থী
μαλακό	সফট
μαλακό	নরম
κάλεσμα	কলিং
θεατή	দর্শক
θεατή	প্রদর্শক
συνοχή	coherence
συνοχή	সঙ্গতি
γονιών	পেরেন্ট
γονιών	প্যারেন্ট
γονιών	মাতাপিতা
γονιών	পিতামাতা
εντοπίστηκε	চিহ্নিত
εντοπίστηκε	অবস্থিত
εντοπίστηκε	সনাক্ত
ισχυρισμός	দাবির
ισχυρισμός	দাবি
ισχυρισμός	দাবী
αναπαραγωγική	পুনরুৎপাদন
πολεμιστής	যোদ্ধা
δέσμευση	অঙ্গীকার
δέσμευση	প্রতিশ্রুতি
δημοσιευθεί	প্রকাশ
δημοσιευθεί	প্রকাশিত
μετατροπής	রূপান্তর
μπρούκλιν	ব্রুকলিন
μάο	মাও
θησέα	থেসেউস
μάρεϊ	মারেন
μάρεϊ	মারে
θώρακα	বুক
θώρακα	বুকে
θώρακα	বুকের
ταγματάρχης	প্রধান
ταγματάρχης	মেজর
χόλυγουντ	হলিউড
άγριο	বন্য
άγριο	বুনো
άγριο	ওয়াইল্ড
υδραγωγείο	aqueduct
λεξικά	অভিধান
πλίνιος	pliny
κάθετο	উল্লম্ব
κάθετο	উলম্ব
λάσπη	কাদা
αίγλη	গ্ল্যামার
σομαλίας	সোমালি
μπόρις	বরিস
τοποθετημένο	হুতু
πλάτα	প্লাটা
διευκόλυνση	সুবিধা
φίλιπς	ফিলিপস
φίλιπς	ফিলিপস
πέιτζ	পেইজ
αλουμινίου	অ্যালুমিনিয়াম
λέοναρντ	লিওনার্ড
κράνος	হেলমেট
πομπή	মিছিলে
πομπή	শোভাযাত্রা
πομπή	মিছিল
παίχτηκε	খেলেছেন
κυνηγός	শিকারি
κυνηγός	হান্টার
κυνηγός	শিকারী
διαφωνούν	অসম্মত
προετοιμασίες	প্রস্তুতি
φιλοδοξίες	উচ্চাকাঙ্ক্ষা
κατάλυση	catalysis
βράχους	পাথর
βραδιά	নাইট
βραδιά	রাতে
βραδιά	রাত
βραδιά	রাতের
βραδιά	রাত্রি
ισοδύναμα	সমতুল্য
ισοδύναμα	সমতুল্য
βραχίονα	প্রগণ্ডাস্থি
βραχίονα	বাহু
εξπρές	express
εξπρές	এক্সপ্রেস
στάνλεϊ	স্ট্যানলি
ράδιο	বেতার
ράδιο	রেডিও
ντετέκτιβ	গোয়েন্দা
επικεντρώθηκε	নিবদ্ধ
αγαπούσε	ভালবেসে
καταναλωτές	ভোক্তা
καπέλο	টুপি
καπέλο	hat
καπέλο	হ্যাট
πάβελ	পাভেল
ντιτρόιτ	ডেট্রয়েট
γιορτάζει	উদযাপন
τροπικά	ক্রান্তীয়
άμμου	বালু
άμμου	বালি
προτιμούσε	পছন্দের
προτιμούσε	পছন্দসমূহ
πολλαπλή	বহুধা
πολλαπλή	একাধিক
πολλαπλή	বহুবিধ
κατασκευασμένα	রচনা
δείπνο	নৈশভোজ
δείπνο	ডিনার
σύνθετα	যৌগিক
σύνθετα	জটিল
σύνθετα	কমপ্লেক্স
μόρισον	মরিসন
γκίνες	গিনেস
ειρηνική	শান্তিময়
ειρηνική	শান্তিপূর্ণ
μάξγουελ	ম্যাক্সওয়েল
διάλεξη	লেকচার
ζεστό	গরম
ζεστό	hot
ζεστό	হট
ζεστό	উষ্ণ
δίκαια	মোটামুটি
δίκαια	মেলা
δίκαια	ন্যায্য
δίκαια	অনুকূল
δολοφόνησε	খুন
λεξιλόγιο	শব্দভাণ্ডার
πρίσμα	প্রিজম
αποφεύγοντας	এড়ানো
ψέματα	মিথ্যা
ψέματα	মিথ্যে
ψέματα	শুয়ে
ψέματα	মিথ্যা
σοσιαλισμού	সমাজতন্ত্র
λεηλασία	লুণ্ঠনের
λεηλασία	লুট
λεηλασία	লুটপাট
κεν	ken
κεν	কেন
κέιτ	কেট
κέιτ	kate
γκούσταβ	গুস্তাভ
καρχαρίες	হাঙর
σκλάβοι	বান্দাদেরকে
χάντμπολ	হ্যান্ডবল
λογαριασμός	অ্যাকাউন্ট
τρέχον	বর্তমান
δημοσίως	সর্বজনীনভাবে
δημοσίως	প্রকাশ্যে
γκρέι	ধূসর
