年	ปี
定義	นิยาม
指定	ระบุ
解決	แก้
解決	ไข
熊	หมี
熊	แบก
熊	หมี
休	ฮิว
火箭	จรวด
火箭	จรวด
騎士	ไนท์
騎士	อัศวิน
騎士	อัศวิน
象	ช้าง
象	ช้าง
明星	ดวงดาว
明星	ดารา
明星	ดาว
明星	ดวงดาว
明星	ดารา
明星	ดาว
爆發	ปะทุ
現任	ปัจจุบัน
現任	ปัจจุบัน
匈牙利	ฮังการี
匈牙利	ฮังการี
羊	แกะ
羊	แพะ
河流	แม่น้ำ
河流	ลำน้ำ
河流	แม่น้ำ
車輛	พาหนะ
車輛	พาหนะ
五月	พฤษภาคม
上午	เช้า
上午	morning
鄧	เติ้ง
鄧	เตง
機械	เครื่องจักร
機械	แมชชีน
機械	เครื่อง
機械	เครื่องจักร
機械	เชิงกล
爭議	พิพาท
爭議	controversies
爭議	แย้ง
首先	ก่อน
首先	แรก
同盟	สันนิบาต
同盟	ลีก
同盟	พันธมิตร
同盟	พันธมิตร
轉換	แปลง
唱	สิงห์
唱	ร้อง
血	โลหิต
血	เลือด
事情	สิ่งของ
軌道	แทร็ก
軌道	แทร็ค
軌道	เบ้าตา
狼	หมาป่า
尼斯	สวย
部門	แผนก
部門	กรม
部門	ภาค
汗	เหงื่อ
汗	ข่าน
汗	เหงื่อ
南極	แอนตาร์กติกา
廣播	วิทยุ
比例	สัดส่วน
比例	อัตราส่วน
側	ด้าน
側	ไซด์
側	ข้าง
鍾	นาฬิกา
廖	เหลียว
飛行	ฟลาย
飛行	บิน
統一	สามัคคี
統一	unity
統一	เอกภาพ
大獎	แจ๊คพ็อต
恢復	ฟื้นฟู
恢復	ซ่อมแซม
恢復	ต่อ
綠	เขียว
設施	สถาน
退役	เกษียณ
框	box
框	กล่อง
框	ช่อง
框	กรอบ
框	เฟรม
框	กรอบ
框	เฟรม
住宅	ที่พัก
伊朗	อิหร่าน
伊朗	อิหร่าน
圍	หวาย
混合	ลูกผสม
混合	ผสม
混合	มิกซ์
混合	กลมกลืน
混合	ผสม
混合	ผสม
混合	กลมกลืน
殺	สังหาร
殺	ฆ่า
殺	สังหาร
殺	ฆ่า
山脈	ภูเขา
山脈	ช่วง
山脈	ระยะ
上海市	เซี่ยงไฮ้
食品	อาหาร
食品	อาหาร
食品	ฟู้ด
王國	อาณาจักร
王國	อาณาจักร
王國	อาณาจักร
希臘	กรีก
希臘	กรีซ
法案	บิล
法案	bill
有限	จำกัด
學者	บัณฑิต
學者	บัณฑิต
戰士	ทหาร
戰士	นักรบ
被迫	บังคับ
合成	สังเคราะห์
基因	ยีน
基因	จีน
基因	ยีน
罪	บาป
罪	บาป
鳥	นก
鳥	เบิร์ด
鳥	นก
教練	coach
教練	โค๊ช
教練	โค้ช
展示	โชว์
展示	แสดง
展示	แสดง
槍	ปืน
錦	คาม
只要	แค่
義大利	อิตาลี
義大利	อิตาลี่
讀	อ่าน
讀	อ่าน
追	เชด
追	เชส
厚	หนา
厚	หนาๆ
拍	ยิง
拍	ถ่าย
統治	reign
藩	โดเมน
部落	เผ่า
部落	เผ่า
圓	วงกลม
圓	กลม
圓	กลมๆ
圓	รอบ
幫助	ช่วย
教會	โบสถ์
教會	ศาสนจักร
教會	โบสถ์
連結	ลิงก์
連結	ลิงค์
設定	กำหนด
設定	ตั้ง
數量	ปริมาณ
鳳	ฟีนิกซ์
假	เท็จ
假	ปลอม
假	แกล้ง
假	ปลอม
感	sense
留下	อยู่
方便	สะดวก
領	ปลอกคอ
程式	โปรแกรม
程式	โปรแกรม
挪威	นอร์เวย์
挪威	นอร์เวย์
步	ขั้น
步	ก้าว
勇	ยง
勇	หยง
所在地	ตำแหน่งที่ตั้ง
所在地	ตำแหน่ง
解釋	อธิบาย
十九	nineteen
刀	ดาบ
刀	มีด
批評	วิจารณ์
檔案	แฟ้ม
檔案	แฟ้ม
爵士	แจ๊ซ
爵士	แจ๊ส
狗	หมา
狗	หมาก
狗	สุนัข
狗	หมา
狗	สุนัข
國會	รัฐสภา
國會	สภา
國會	รัฐสภา
病毒	ไวรัส
病毒	ไวรัส
富士	fuji
富士	ฟูจิ
阿根廷	อาร์เจนตินา
創	ตรอน
計算	คำนวณ
計算	คำนวณ
碧	บี
湯	ซุป
一天	เดย์
一天	วัน
錢	เงิน
碑	stele
碑	อนุสาวรีย์
晉	จิน
棒球	เบสบอล
中立	ฉนวน
質量	มวล
質量	ก้อน
質量	คุณภาพ
化石	ฟอสซิล
化石	ซากดึกดำบรรพ์
化石	ดึกดำบรรพ์
化石	ฟอสซิล
化石	ซากดึกดำบรรพ์
持有	ถือ
持有	อุ้ม
波蘭	โปแลนด์
美洲	อเมริกา
恆星	ดาวฤกษ์
恆星	ดวงดาว
恆星	ดารา
恆星	ดาว
恆星	ดวงดาว
恆星	ดารา
恆星	ดาว
淑	สุก
淑	ซุก
挑戰	ท้าทาย
挑戰	ท้าทาย
挑戰	ท้า
挑戰	ท้าทาย
幾乎	เกือบ
玲	หลิง
玲	หล่ง
例子	ตัวอย่าง
月球	พระจันทร์
月球	มูน
月球	เพ็ญ
地圖	แผนที่
地圖	maps
地圖	แผนที่
女兒	ลูกสาว
引用	อ้างอิง
引用	คำคม
引用	คำคม
請求	คำขอ
請求	ขอ
請求	คำขอ
請求	ร้องขอ
殖民地	อาณานิคม
殖民地	อาณานิคม
殖民地	นิคม
原子	อะตอม
原子	อะตอม
原子	ปรมาณู
原子	อะตอม
菲律賓	ฟิลิปปินส์
進攻	โจมตี
珊	ซุน
珊	ซัน
珊	พระอาทิตย์
貓	แมว
貓	แคท
貓	แมว
吸引	แรงดึงดูด
吸引	ดึงดูด
吸引	ดึงดูด
測試	สอบ
測試	ทดสอบ
測試	ทดสอบ
測試	ทดสอบ
專業	professional
專業	วิชาชีพ
專業	อาชีพ
旅遊	ทัวร์
石油	น้ำมัน
浪	คลื่น
浪	คลื่น
浪	เวฟ
浪	โบกมือ
浪	โบก
需求	ต้องการ
需求	อุปสงค์
需求	อุปทาน
內部	ภายใน
內部	ภายใน
失	หลง
失	แพ้
失	เสีย
集合	รวบรวม
日文	ญี่ปุ่น
特里	terry
犯罪	อาชญากรรม
犯罪	อาชญากรรม
君主	อภิสิทธิ์
公爵	ดุ๊ค
公爵	ดุค
公爵	ดุก
公爵	ดุ๊ก
降低	ลด
軟體	ซอฟต์แวร์
軟體	ซอฟแวร์
軟體	ซอฟท์แวร์
拒絕	ปฏิเสธ
原始	ดิบ
原始	ดิบๆ
原始	raw
原始	ต้นฉบับ
原始	ดั้งเดิม
原始	เดิม
潭	tam
潭	แทม
警告	เตือน
俱樂部	คลับ
俱樂部	สโมสร
俱樂部	club
俱樂部	ชมรม
俱樂部	คลับ
俱樂部	สโมสร
俱樂部	ดอกจิก
俱樂部	จิก
敗	ปราบ
敗	ปราชัย
貿易	แลก
貿易	เทรด
貿易	ค้า
減少	ปฏิเสธ
減少	ลด
減少	ลด
減少	ลด
身體	body
身體	ร่าง
身體	กาย
身體	ร่างกาย
硬	แรง
硬	โหม
硬	ลำบาก
硬	หนัก
硬	ฮาร์ด
硬	ยาก
碼頭	อู่
碼頭	ท่าเรือ
碼頭	ท่าเรือ
女主角	นางเอก
女主角	actress
柴油	ดีเซล
園	สวน
園	garden
生於	เกิด
風格	สไตล์
風格	สไตล์
長度	ยาว
勝利	win
勝利	ชนะ
勝利	ชัยชนะ
勝利	triumph
女王	ควีน
女王	ราชินี
蒙特	mont
天皇	จักรพรรดิ
邀請	ชวน
邀請	เชิญ
邀請	เชิญ
邀請	เชิญ
傳說	ตำนาน
傳說	legend
傳說	ตำนาน
變化	เปลี่ยนแปลง
舞台	สังเวียน
舞台	ขั้น
舞台	stage
舞台	เวที
食物	อาหาร
食物	อาหาร
食物	ฟู้ด
延伸	ขยาย
廠	โรงงาน
廠	ต้นไม้
廠	พืช
廠	โรงงาน
推	เบ่ง
推	ผลัก
推	ดัน
推	เข็น
意外	อุบัติเหตุ
羽	ขน
收費	ประจุ
收費	ชาร์ต
收費	ชาร์จ
收費	ชาร์จ
巷	เลน
巷	ซอย
巷	ตรอก
圖書館	ไลบรารี
人生	ชีวิต
人生	life
通用	ทั่วไป
通用	สามัญ
通用	ทั่วไป
天文	ดาราศาสตร์
天文	ดาราศาสตร์
原創	ต้นฉบับ
原創	ดั้งเดิม
原創	เดิม
地鐵	เมโทร
瓜	แตงโม
花園	สวน
花園	garden
花園	สวน
實驗	ทดลอง
實驗	ทดลอง
實驗	ทดลอง
課程	หลักสูตร
課程	คอร์ส
課程	หลักสูตร
課程	หลักสูตร
課程	คอร์ส
箱	box
箱	กล่อง
箱	ช่อง
規劃	วางแผน
柴	ชัย
個月	เดือน
現場	ฉาก
津	tsu
十字	ข้าม
十字	กางเขน
信仰	ศรัทธา
反應	โต้ตอบ
反應	ปฏิกิริยา
反應	ปฏิกิริยา
反應	ปฏิกิริยา
賞	รางวัล
卒	หมาก
卒	เบี้ย
文明	อารยธรรม
價值	ค่า
價值	มูลค่า
價值	ค่า
案件	กรณี
案件	case
案件	คดี
銷售	ขาย
銷售	จำหน่าย
銷售	ขาย
旅行	ทริป
小姐	คิดถึง
小姐	มิส
小姐	พลาด
小姐	นางงาม
多個	หลายๆ
多個	หลาย
考慮	พิจารณา
靖	จิง
波斯	เปอร์เซีย
退休	เกษียณ
退休	เกษียน
退休	เกษียณ
路易	หลุยส์
捷運	mrt
捷運	เมโทร
久	ยาว
久	นาน
機器	เครื่องจักร
機器	แมชชีน
機器	เครื่อง
機器	เครื่องจักร
通道	ช่อง
墨	หมึก
疾病	โรค
疾病	โรค
含有	บรรจุ
逮捕	จับกุม
英里	ไมลส์
英里	ไมล์
心理	จิตวิทยา
心理	จิตวิทยา
心理	จิต
生成	สร้าง
每個	ทุกๆ
每個	ทุก
每個	แต่ละ
失敗	ขัดข้อง
嘴	ปาก
捷克	เช็ก
數位	ดิจิตอล
數位	digital
馬來西亞	มาเลเซีย
支流	tributaries
郎	แลง
四月	april
四月	เมษายน
蛋白	โปรตีน
蛋白	โปรตีน
條件	เงื่อนไข
條件	เงื่อนไข
條件	สภาพ
蘇格蘭	สกอตแลนด์
印尼	อินโดนีเซีย
下降	ปฏิเสธ
下降	วาง
下降	หย่อน
下降	หยด
下降	ดรอป
名單	รายการ
名單	รายการ
隊長	กัปตัน
霸	บาก
戲劇	ดราม่า
戲劇	ละคร
創建	สร้าง
牙	ฟัน
牙	ฟัน
吃	กิน
吃	ทาน
吃	กิน
首席	หัวหน้า
強烈	เข้ม
強烈	strong
強烈	แรง
強烈	แข็งแกร่ง
芝加哥	ชิคาโก
芝加哥	chicago
女人	หญิง
華人	จีน
繼承	สืบทอด
繼承	มรดก
資源	ทรัพยากร
資源	ทรัพยากร
平面	แบน
平面	แฟลต
重量	เวท
依然	ยัง
化學	เคมีภัณฑ์
化學	เคมี
化學	เคมี
乾	แห้ง
乾	แล้ง
乾	แห้งๆ
房屋	บ้าน
房屋	เฮ้าส์
基金會	รากฐาน
基金會	foundation
基金會	มูลนิธิ
基金會	รากฐาน
老師	คุณครู
老師	อาจารย์
老師	ครู
經紀	โบรกเกอร์
經紀	broker
經紀	โบรกเกอร์
合約	สัญญา
平原	ธรรมดา
平原	ราบ
佔領	อาชีพ
領導	ผู้นำ
蓮	โลตัส
蓮	lotus
幸福	สุขใจ
幸福	ดีใจ
幸福	แฮปปี้
靜	จิง
弟弟	น้อง
貝爾	ระฆัง
貝爾	กระดิ่ง
貝爾	เบลล์
城堡	ปราสาท
奧運	โอลิมปิค
奧運	โอลิมปิก
奧運	โอลิมปิก
歡迎	ต้อนรับ
歡迎	ยินดี
泰國	ไทย
泰國	thailand
泰國	ประเทศไทย
影像	ภาพ
影像	รูปภาพ
影像	ภาพ
影像	รูปภาพ
影像	อิมเมจ
影像	ภาพถ่าย
凌	หลิง
凌	หล่ง
凌	ราม
凌	พระราม
吻	จุ๊บ
吻	จูบ
吻	จูบ
吻	kiss
火山	ภูเขาไฟ
廟	วิหาร
廟	วัด
阿拉伯	อาหรับ
腳	ฟุต
腳	เท้า
腳	ฟิต
腳	เท้า
腳	ตีน
產業	อุตสาหกรรม
產業	อุตสาหกรรม
產業	คฤหาสน์
產業	อสังหาริมทรัพย์
棒	เยี่ยม
棒	ยอด
裝置	อุปกรณ์
裝置	อุปกรณ์
現象	ปรากฏการณ์
女孩	สาว
女孩	สาว
女孩	สาวๆ
年輕	ยัง
藤	หวาย
早上	เช้า
早上	morning
商品	สินค้า
商品	ผลิตภัณฑ์
商品	สินค้า
商品	commodities
商品	สินค้า
商品	ผลิตภัณฑ์
商品	สินค้า
評論	หมายเหตุ
評論	หมายเหตุ
評論	คอมเมนท์
狀況	สถานะ
狀況	สถานภาพ
狀況	เงื่อนไข
狀況	สภาพ
放棄	ละทิ้ง
放棄	ทิ้ง
年齡	อายุ
年齡	ยุค
年齡	อายุ
年齡	ยุค
年齡	วัย
更改	แก้ไข
更改	เปลี่ยนแปลง
更改	เปลี่ยนแปลง
更改	เปลี่ยน
泥	โคลน
泥	เคลย์
泥	ดิน
葵	แคว
研究生	บัณฑิต
提及	mentions
儘管	แม้ว่า
拳	หมัด
拳	กำปั้น
拳	ปั้น
伊拉克	อิรัก
奧林匹克	โอลิมปิค
奧林匹克	โอลิมปิก
衛星	ดาวเทียม
衛星	พระจันทร์
純	บริสุทธิ์
海上	ทะเล
正面	บวก
愛情	ชอบ
愛情	รัก
島嶼	เกาะ
粗	ขรุขระ
粗	ลำบาก
粗	หยาบ
蟹	ปู
蟹	ปู
邨	คฤหาสน์
邨	อสังหาริมทรัพย์
理想	อุดมคติ
理想	อุดมคติ
桃	ท้อ
桃	พีช
忽略	ละเว้น
忽略	หลงลืม
農業	การเกษตร
農業	เกษตรกรรม
農業	เกษตร
農業	การเกษตร
農業	การเกษตร
農業	เกษตรกรรม
活	สด
舞蹈	เต้นรำ
舞蹈	เต้น
舞蹈	เต้นรำ
舞蹈	เต้น
湖泊	ทะเลสาบ
湖泊	ทะเลสาบ
確認	ยืนยัน
確認	ยืนยัน
簡	jane
簡	เจน
調整	ปรับ
崖	หน้าผา
崖	หน้าผา
犬	หมา
犬	หมาก
犬	สุนัข
犬	หมา
犬	สุนัข
編劇	บท
版權	ลิขสิทธิ์
版權	ลิขสิทธิ์
版權	copyright
冷	หนาว
冷	เย็น
冷	เย็นๆ
粒子	อนุภาค
粒子	อนุภาค
最新	ล่าสุด
成本	ต้นทุน
成本	ต้นทุน
祿	loc
數字	ตัวเลข
數字	จำนวน
數字	หมายเลข
數字	ตัวเลข
數字	หมายเลข
常見	สามัญ
常見	ทั่วไป
愛爾蘭	ไอร์แลนด์
通知	สังเกต
通知	สังเกตุ
鼓	กลอง
鼓	กลอง
裝甲	เกราะ
邵	จาว
丈夫	ผัว
丈夫	สามี
黃金	golden
黃金	โกลเด้น
黃金	ทองคำ
黃金	ทอง
黃金	โกลด์
黃金	ทองคำ
醫學	เวชศาสตร์
醫學	ยา
紅色	แดง
紅色	เรด
商人	พ่อค้า
十月	ตุลาคม
金屬	โลหะ
金屬	เหล็ก
金屬	โลหะ
改編	adaptations
民進黨	dpp
糖	ลูกอม
糖	candy
糖	ขนม
糖	น้ำตาล
動作	moves
半島	คาบสมุทร
分裂	หาร
分裂	แยก
分裂	แบ่ง
分裂	แบ่ง
代替	แทนที่
代替	แทน
隊伍	ทีม
隊伍	ทีม
隊伍	team
措施	มาตรการ
能源	พลังงาน
大多	ที่สุด
暴力	รุนแรง
人們	ประชาชน
人們	บุคคล
人們	ผู้
人們	ผู้คน
人們	คน
農	nong
農	หนอง
暗	เข้ม
暗	มืด
划	แถว
壁	กำแพง
粉	pink
粉	ชมพู
粉	สีชมพู
粉	แป้ง
粉	ผง
預計	คาด
顏色	สี
顏色	สีสัน
顏色	สี
顏色	สี
顏色	สี
顏色	สีสัน
補	เสริม
譚	tam
譚	แทม
譚	ตาล
控股	ถือ
控股	อุ้ม
團隊	ทีม
團隊	ทีม
團隊	team
碳	carbon
碳	คาร์บอน
分支	กิ่ง
分支	สาขา
分支	สาขา
女神	ธิดา
女神	เทพธิดา
律師	ทนายความ
律師	ทนาย
年份	ปี
年份	ปี
免費	ฟรี
免費	อิสระ
免費	ว่าง
免費	เสรี
免費	free
物質	สาร
大致	ประมาณ
自我	ตนเอง
自我	อัตตา
家人	ตระกูล
家人	ครอบครัว
家人	family
任期	วาระ
永久	ถาวร
永久	ถาวร
幻想	จินตนาการ
幻想	ภาพลวงตา
購買	ซื้อ
購買	ซื้อ
購買	เลี้ยง
購買	ซื้อ
購買	ซื้อ
經驗	ประสบการณ์
經驗	ประสบการณ์
治療	บำบัด
戀	koi
國民黨	kmt
玻璃	กระจก
玻璃	แก้ว
學術	วิชาการ
三角	สามเหลี่ยม
三角	สามเหลี่ยม
推動	เบ่ง
推動	ผลัก
推動	ดัน
推動	เข็น
港口	พอร์ต
港口	ท่าเรือ
港口	พอร์ต
穩定	เสถียรภาพ
穩定	คงที่
穩定	นิ่ง
穩定	มั่นคง
穩定	เสถียรภาพ
穩定	มั่นคง
氣	แก๊ส
氣	ก๊าซ
氣	น้ำมัน
法官	ตัดสิน
法官	กรรมการ
古典	คลาสสิค
古典	คลาสสิค
古典	classic
喬治	จอร์จ
市區	เมือง
共和	สาธารณรัฐ
教宗	โป๊ป
角度	มุม
角度	มุม
碼	รหัส
碼	โค้ด
碼	สนาม
碼	ลาน
碼	หลาว
碼	หลาบ
碼	หลา
引發	กระตุ้น
薄	บาง
薄	ผอม
薄	บางๆ
保障	รับรอง
原則	ลัทธิ
收集	สะสม
收集	สะสม
簡單	ง่าย
簡單	ง่ายๆ
簡單	ง่าย
簡單	ง่ายๆ
簡單	ง่ายดาย
男人	ผู้ชาย
男人	men
男人	ชาย
男人	บุรุษ
男人	มนุษย์
男人	ชาย
男人	คน
男人	แมน
男人	man
規則	กฏ
規則	กติกา
規則	กฎ
化合物	สารประกอบ
法庭	ศาล
法庭	สำนัก
貴	gui
貴	แพงๆ
貴	แพง
榮譽	เกียรติ
榮譽	เกียรติยศ
榮譽	เกียรติ
聞	กลิ่น
四個	สี่
出售	ขาย
出售	จำหน่าย
出售	ขาย
想要	ต้องการ
想要	อยาก
共產黨	คอมมิวนิสต์
防止	ป้องกัน
淳	จุน
妹妹	น้อง
三月	มีนาคม
三月	มาร์ช
三月	march
表達	สำนวน
吸收	หมก
吸收	ซึมซับ
吸收	ซึม
奧地利	ออสเตรีย
誰	ผู้
誰	ใคร
成人	ผู้ใหญ่
成人	ผู้ใหญ่
整合	consolidation
跑	วิ่ง
跑	รัน
跑	หนี
威爾	พิน
威爾	จะ
威爾	วิล
供應	เสบียง
供應	จัดหา
泛	แพน
岸	ชายฝั่ง
岸	ฝั่ง
祖父	ปู่
江南	คังนัม
哥哥	น้อง
終於	สุดท้าย
龜	เต่า
龜	เต่า
結	เงื่อน
結	ปม
二月	กุมภาพันธ์
二月	กุมภาพันธ์
醫生	ดอกเตอร์
醫生	หมอ
醫生	แพทย์
教師	คุณครู
教師	อาจารย์
教師	ครู
教師	ครู
阿里	อาลิ
總理	พรีเมียร์
總理	premier
伯爵	จำนวนนับ
伯爵	นับ
特徵	คุณสมบัติ
特徵	คุณลักษณะ
特徵	ลักษณะ
特徵	คุณสมบัติ
特徵	คุณลักษณะ
特徵	ฟีเจอร์
台中	ไถ
台中	taichung
穿	สวม
穿	ใส่
穿	สวม
穿	ใส่
政黨	พรรค
政黨	ปาร์ตี้
相對	สัมพันธ์
相對	ญาติ
一半	ครึ่ง
七月	กรกฎาคม
危機	วิกฤตการณ์
危機	วิกฤต
危機	วิกฤตการณ์
危機	วิกฤติ
危機	วิกฤต
揚	แจน
揚	ยัน
憲法	รัฐธรรมนูญ
憲法	constitutions
天然	natural
天然	ธรรมชาติ
打破	พัก
駕駛	ไดรเวอร์
駕駛	ไดรฟ์
駕駛	ไดร์ฟ
駕駛	ขับ
駕駛	ขับขี่
恐龍	ไดโนเสาร์
恐龍	ไดโนเสาร์
特性	คุณลักษณะ
特性	ลักษณะ
名人	ดัง
氧化	ออกไซด์
移除	ลบ
笑	ยิ้ม
笑	smile
笑	หัวเราะ
通訊	สื่อสาร
通訊	คอม
通訊	สื่อสาร
通訊	สื่อสาร
商店	ร้าน
商店	ร้าน
延長	ขยาย
裝備	อุปกรณ์
裝備	เฟือง
裝備	ชุด
古老	โบราณ
細胞	เซลล์
細胞	เซลล์
患者	คนไข้
患者	อดทน
勤	ขยัน
劇情	ดราม่า
劇情	ละคร
劇情	พล็อต
劇情	วางแผน
站台	แพลตฟอร์ม
斌	บิน
斌	ถาด
抗議	ประท้วง
急	ด่วน
急	รัช
急	รัส
典型	ทั่วไป
中間	กลาง
中間	กลาง
文獻	วรรณกรรม
文獻	วรรณคดี
多數	ที่สุด
原型	ต้นแบบ
百萬	ล้าน
百萬	ล้าน
聲音	เสียง
聲音	เสียง
測量	วัด
測量	สัดส่วน
買	ซื้อ
買	เลี้ยง
買	ซื้อ
噸	ตัน
噸	ตัน
噸	ton
論文	วิทยานิพนธ์
論文	หนังสือพิมพ์
論文	กระดาษ
論文	thesis
論文	วิทยานิพนธ์
論文	เอกสาร
直播	สด
游泳	ว่าย
九月	กันยา
九月	กันยายน
九月	กันยายน
反映	ไตร่ตรอง
反映	ใคร่ครวญ
常常	บ่อย
常常	บ่อยๆ
常常	บ่อย
常常	มัก
常常	บ่อยๆ
同步	ซิงค์
經典	คลาสสิค
經典	classic
教學	สอน
權力	พลัง
權力	อำนาจ
權力	power
權力	พลังงาน
權力	พลัง
六月	จูน
六月	มิถุนายน
公眾	สาธารณชน
公眾	public
公眾	สาธารณะ
工廠	โรงงาน
工廠	ต้นไม้
工廠	พืช
工廠	โรงงาน
書院	วิทยาลัย
書院	มหาวิทยาลัย
澳大利亞	australia
澳大利亞	ออสเตรเลีย
暫時	ชั่วคราว
領袖	ผู้นำ
軟	นิ่ม
軟	อ่อน
軟	นุ่ม
標誌	logo
標誌	โลโก้
邁	เชียงใหม่
電話	โทรศัพท์
電話	โทร
電話	โทรศัพท์
晶	จิง
那麼	งั้น
堆	กอง
蘋果	แอปเปิล
蘋果	apple
蘋果	แอ๊ปเปิ้ล
蘋果	แอปเปิล
蘋果	เปิ้ล
巴基斯坦	ปากีสถาน
市長	เทศมนตรี
肉	เนื้อ
臺中市	ไถ
臺中市	taichung
大師	อาจารย์
會員	member
會員	สมาชิก
漢字	จิ
公車	รถเมล์
附加	แนบ
春秋	spring
春秋	สปริง
丹麥	เดนมาร์ก
丹麥	เดนมาร์ก
毒	พิษ
毒	พิษ
哥倫比亞	โคลัมเบีย
沿海	ชายฝั่ง
沿海	ชายฝั่ง
沿海	ฝั่ง
岡	oka
公式	นมผง
公式	สูตร
公式	formulae
大衛	เดวิด
大衛	david
積極	บวก
性質	สันดาน
性質	ธรรมชาติ
允	ยุน
允	ยูน
弱	อ่อนแอ
弱	อ่อน
沿岸	ชายฝั่ง
沿岸	ฝั่ง
衍生	ดัดแปลง
天體	วัตถุ
歌唱	สิงห์
歌唱	ร้อง
歌唱	ร้อง
當局	ทางการ
行走	เดิน
回答	ตอบ
強調	ความเครียด
強調	เครียด
封面	ปก
封面	cover
封面	ปกปิด
數學	คณิตศาสตร์
數學	คณิตศาสตร์
數學	คณิตศาสตร์
數學	คณิตศาสตร์
數學	คณิต
數學	เลขคณิต
數學	เลข
人才	พรสวรรค์
玩	เล่น
玩	เล่น
埠	พอร์ต
埠	ท่าเรือ
攝影	ภาพถ่าย
權利	สิทธิ
權利	สิทธิ์
幫	แก๊ง
商場	มอลล์
商場	ห้าง
性格	บุคลิกลักษณะ
性格	บุคลิก
性格	บุคลิกภาพ
成長	โต
成長	เติบโต
成長	ปลูก
坤	คุง
星期六	เสาร์
印刷	พิมพ์
電力	ไฟฟ้า
電力	อำนาจ
電力	power
電力	พลังงาน
電力	พลัง
起源	ต้นทาง
起源	ที่มา
起源	กำเนิด
情報	ปัญญา
情報	อินเทล
情報	intel
十二月	ธันวาคม
十二月	ธันวา
十二月	เด็ค
十二月	เดค
十二月	เดธ
南昌	nanchang
賣	ขาย
賣	ขาย
賣	ขาย
救援	กู้ภัย
虹	ฮอง
虹	ฮง
大多數	ที่สุด
磅	ปอนด์
磅	ปอนด์
磅	ปอนด์
磅	ปอน
高原	ที่ราบสูง
青少年	teen
青少年	ทีน
流浪	เร่ร่อน
流浪	หลง
策略	กลยุทธ์
策略	ยุทธวิธี
鷹	อินทรี
鷹	อินทรีย์
鷹	เหยี่ยว
最好	best
鋼	เหล็ก
籃球	บาสเกตบอล
文庫	bunko
領土	หวง
領土	อาณาเขต
領土	อาณาเขต
替代	แทนที่
替代	แทน
替代	ทดแทน
替代	แทนที่
替代	ทดแทน
華盛頓	วอชิงตัน
型號	รุ่น
型號	โมเดล
型號	รุ่น
天空	sky
天空	ท้องฟ้า
天空	ฟ้า
天空	ท้องฟ้า
手機	โทรศัพท์
燃料	น้ำมัน
投手	เหยือก
黑暗	เข้ม
黑暗	มืด
競爭	แข่งขัน
競爭	แข่งขัน
運行	วิ่ง
運行	รัน
運行	หนี
內閣	ตู้
尋找	หา
尋找	ค้นหา
智利	ชิลี
證實	ยืนยัน
壓力	กดดัน
壓力	ความเครียด
壓力	เครียด
豆	ถั่ว
豆	ถั่ว
形容	บรรยาย
形容	อธิบาย
校園	วิทยาลัย
校園	วิทยาเขต
校園	มหาวิทยาลัย
校園	วิทยาเขต
平衡	สมดุล
平衡	สมดุล
平衡	สมดุล
動力	อำนาจ
動力	power
動力	พลังงาน
動力	พลัง
值得	คู่ควร
學園	gakuen
跳	โดด
跳	กระโดด
成果	ผลลัพธ์
成果	ผล
成果	ผลลัพธ์
標題	ชื่อ
偏	อคติ
想法	แนวคิด
戀愛	koi
戀愛	ชอบ
戀愛	รัก
戀愛	สัมพันธ์
傳播	แพร่
傳播	กระจาย
維多利亞	วิกตอเรีย
維多利亞	วิคตอเรีย
等級	ระดับ
等級	เลเวล
等級	เกรด
等級	เกรด
英尺	ฟุต
英尺	เท้า
英尺	ฟิต
英尺	เท้า
英尺	ตีน
市政府	เทศบาล
興趣	สนใจ
興趣	ดอกเบี้ย
興趣	สนใจ
允許	อนุญาต
允許	อนุญาต
允許	อนุญาต
理念	แนวคิด
理念	concept
理念	ปรัชญา
理念	แนวคิด
理念	concepts
靠近	ใกล้
鼻	จมูก
怪	แปลกๆ
怪	แปลก
怪	แปลก
差異	แปรผัน
路易斯	หลุยส์
員工	ลูกจ้าง
員工	พนักงาน
員工	ลูกจ้าง
員工	พนักงาน
格林	เขียว
綠色	เขียว
車隊	ขบวน
單元	โมดูล
單元	ยูนิต
單元	หน่วย
單元	ยูนิต
單元	หน่วย
英吋	นิ้ว
拓	taku
神秘	ลึกลับ
神秘	ปริศนา
神秘	ลี้ลับ
神秘	ลึกลับ
槽	ล็อต
槽	สล๊อต
槽	สล็อต
槽	ล็อต
尊重	เคารพ
尊重	นับถือ
溫度	อุณหภูมิ
溫度	ชั่วคราว
溫度	อุณหภูมิ
阿富汗	อัฟกานิสถาน
頒獎	รางวัล
真實	real
真實	จริง
真實	ทรู
真實	true
真實	จริง
真實	แท้
蜀	ชุ
蜀	ชู
意識	จิตสำนึก
意識	สติ
穆斯林	มุสลิม
穆斯林	มุสลิม
苗	miao
主流	กระแส
色彩	สี
色彩	สีสัน
色彩	สี
色彩	สี
色彩	สี
色彩	สีสัน
襲擊	โจมตี
懷	ห้วย
辦公室	สำนักงาน
辦公室	ออฟฟิศ
公告	ประกาศ
儀式	พิธีการ
儀式	พิธี
儀式	พิธีกรรม
成熟	สุก
成熟	ผู้ใหญ่
馬克	เครื่องหมาย
馬克	มาร์ค
發明	ประดิษฐ์
發明	คิดค้น
