the	die
bottom	bottom
boys	seuns
potential	potensiaal
toronto	toronto
edited	gewysig
infantry	infanterie
infantry	infantry
jun	jun
jun	july
jun	junie
oct	okt
oct	oct
conflict	konflik
workers	werkers
workers	workers
steve	steve
philadelphia	philadelphia
helped	gehelp
der	der
nationality	nasionaliteit
dispute	dispuut
dispute	geskil
scene	scene
scene	toneel
method	metode
titles	titels
berlin	berlyn
conditions	voorwaardes
conditions	toestande
arms	arms
races	races
maybe	miskien
maybe	dalk
discovered	ontdekte
iron	yster
extended	uitgebreide
churches	kerke
positive	positiewe
positive	positief
santa	santa
nom	nom
longew	longew
imperial	imperial
latns	latns
ball	bal
width	wydte
correct	korrek
responsible	verantwoordelik
indiana	indiana
soldiers	soldiers
examples	voorbeelde
korean	korean
korean	koreaanse
genre	genre
fish	vis
fish	visvang
senate	senate
effects	effekte
gun	gun
check	check
check	tsjeggië
check	kontroleer
plans	reëlings
plans	planne
sign	teken
sign	onderteken
reporting	rapporte
sweden	swede
heritage	erfenis
heritage	heritage
tag	merk
tag	merker
primarily	hoofsaaklik
doctor	dokter
doctor	doctor
leaders	leiers
lies	lies
inc	inc
rivers	riviere
crime	misdaad
liberal	liberale
stand	staan
bob	bob
existing	bestaande
industrial	industrial
industrial	industriële
split	skei
sex	seks
sex	geslag
sex	sex
mixed	gemeng
mixed	gemengde
acting	toneelspel
acting	waarnemende
acting	optree
rail	rail
rail	spoor
die	sterf
premier	premier
approach	benadering
wisconsin	wisconsin
sentence	sin
root	stam
root	root
ago	ago
ago	gelede
standards	standaarde
comics	comics
comics	strokiesverhaal
earned	verwerf
earned	verdien
miss	mejuffrou
miss	miss
miss	mej
horse	horse
horse	perd
contributions	bydraes
lieutenant	luitenant
wood	hout
plants	plants
plants	plante
initial	aanvanklike
origin	oorsprong
environment	omgewing
pretty	mooi
pretty	pretty
rank	rang
rank	rank
bus	bus
gas	gas
direction	breuke
direction	rigting
resources	hulpbronne
accepted	aanvaarde
accepted	aanvaar
animals	diere
activity	aktiwiteit
laws	wette
jim	jim
cambridge	cambridge
ones	ene
composer	komponis
composer	samesteller
agency	agentskap
reserve	webbediener
reserve	gereserveer
reserve	reserveer
reserve	bespreek
supreme	supreme
weight	gewig
ask	vra
fighting	bakleiery
fighting	fighting
jackson	jackson
rose	roos
operating	werkende
treatment	behandeling
andrew	andrew
trial	verhoor
daniel	daan
daniel	daniel
daniel	daniël
sciences	sciences
sciences	wetenskappe
fame	bekendheid
fame	fame
everything	alles
travel	reis
scale	skaal
break	breek
break	blaaskans
oregon	oregon
housing	opsy
housing	behuising
produce	vervaardig
produce	produce
capacity	kapasiteit
#efefef	#efefef
fictional	fiktiewe
exchange	ruil
actions	aksies
actions	handelinge
cited	verwys
typically	tipies
settlement	skikking
agreement	ooreenkoms
males	mans
kansas	kansas
managed	beheerde
bring	bring
charge	hef
charge	lading
charge	heffing
charge	charge
fails	vaal
dedicated	toegewyde
dedicated	dedicated
dedicated	opgedra
estate	estate
estate	landgoed
nearby	nabye
nearby	nabygeleë
nearby	naby
residents	inwoners
piece	stuk
piece	stukkie
growth	growth
growth	groei
trust	trust
trust	vertrou
applied	toegepas
applied	aangewend
drums	dromme
drums	drums
issued	uitgereik
murder	moord
normal	normale
normal	normal
normal	normaal
twenty	twintig
avoid	vermy
avoid	ontwyk
tony	tony
norwegian	no
criteria	kriteria
context	konteks
suggested	voorgestelde
suggested	aanbevole
suggested	voorgestel
revolution	rewolusie
revolution	revolusie
wars	oorloë
wars	wars
prominent	prominent
aug	aug
leaves	blare
advanced	moeiliker
advanced	gevorderde
advanced	gevorderd
distribution	verspreiding
medicine	geneeskunde
garden	tuin
reach	bereik
reach	reikwydte
turkey	turkye
females	meisies
females	vroulik
publications	publikasies
impact	impact
impact	impak
households	huishoudings
survey	opname
height	hoogte
morning	môre
morning	oggend
morning	more
honor	ere
honor	honor
deep	diep
argument	betoog
argument	argument
publication	publisering
arthur	arthur
elizabeth	elizabeth
elizabeth	elisabeth
disambiguation	dubbelsinnig
worth	werd
colorado	colorado
maryland	maryland
zone	sone
solo	solo
learning	leer
pay	pay
pay	betaal
flag	vlaggie
flag	vlag
flag	rapporteer
engineer	engineer
engineer	ingenieur
cars	motors
cars	karre
cars	cars
farm	plaas
wilson	wilson
principal	prinsipaal
acquired	verkry
constructed	opgerig
secret	geheim
secret	geheime
secret	sekuriteit
poet	digter
build	bou
remain	remain
orchestra	orkes
versions	weergawes
fixed	reggemaak
efforts	pogings
documentary	dokumentêr
documentary	documentary
equipment	toerusting
ray	bestraling
ray	ray
yellow	yellow
pressure	druk
pressure	swig
grant	verleen
grant	grant
prison	tronk
prison	gevangenis
freedom	vryheid
norway	noorweë
store	stoor
store	winkel
taylor	taylor
quarter	kwart
quarter	kwartaal
designated	designated
designated	aangewese
designated	aangewys
independence	onafhanklikheid
platform	platform
rome	rome
teacher	onderwyser
copy	kopieer
copy	bokant
copy	kopiereg
effort	poging
effort	moeite
nuclear	nuclear
pictures	prente
pictures	prentjies
models	modelle
everyone	almal
description	uitbreidings
agreed	ooreengekom
covers	bedek
covers	dek
facilities	fasiliteite
facilities	verhuur
facilities	geriewe
target	teiken
stack	stapel
rationale	rationale
stat	stat
combined	gekombineer
combined	combined
bronze	brons
hosted	aangebied
programming	programmering
sri	sri
railroad	spoorweg
unique	unieke
unique	uniek
defined	gedefinieer
defined	omskryf
defined	gedefinieër
ocean	oseaan
cell	sel
missouri	missouri
concert	konsert
biography	biografie
loan	lening
contact	kontak
holy	heilig
holy	heilige
holy	holy
tennessee	tennessee
sub	sub
safety	veiligheid
stephen	stephen
stephen	stefanus
policies	beleide
painting	skilder
painting	skildery
price	prys
mexican	meksikaanse
mexican	mexican
leadership	leadership
leadership	leiers
leadership	leierskap
flying	vlieënde
flying	flying
message	boodskap
serious	ernstige
serious	ernstig
headquarters	hoofkwartier
cemetery	begraafplaas
memory	geheue
memory	herinnering
fields	velde
generation	generasie
copies	afskrifte
copies	kopieë
fox	jakkals
fox	fox
continues	continues
representative	verteenwoordiger
destroyed	vernietig
feet	voete
guy	guy
philippines	filippyne
philippines	philippines
organized	georganiseerd
organized	georganiseer
serves	bedien
conservative	konserwatief
conservative	konserwatiewe
conservative	versigtig
share	deel
maria	maria
disease	siekte
sections	seksies
sections	afdelings
sections	artikels
philosophy	filosofie
ways	wyses
ways	maniere
arrived	gearriveer
arrived	aangekom
divided	ingedeel
floor	vloer
floor	floor
latd	latd
longd	longd
labour	arbeid
labour	labour
logo	logo
logo	kenteken
yard	jaart
yard	yard
cancer	kreef
cancer	kanker
offer	bied
offer	aanbod
tax	belasting
expected	verwag
traffic	traffic
traffic	verkeer
concerns	bekommernisse
concerns	betref
graduated	gegradueer
graduated	klaargemaak
guest	gas
jews	jode
formation	stigting
meant	bedoel
economy	ekonomie
economy	ekonomies
storm	storm
mile	myl
protected	beskerm
letters	briewe
letters	letters
classic	klassiek
classic	klassieke
harry	harry
offers	aanbiedinge
offers	offers
offers	aanbiedings
davis	davis
challenge	challenge
challenge	uitdaging
views	aansigte
views	kykers
literary	literêre
htm	htm
ben	ben
transportation	vervoer
kentucky	kentucky
sales	verkope
fleet	fleet
supporting	ondersteun
extra	ekstra
recognized	herken
recognized	erkende
arizona	arizona
compared	vergeleke
theme	tema
francis	francis
moscow	moskou
heard	aangehoor
behavior	gedrag
transferred	oorgedra
environmental	environmental
blank	leë
blank	blank
musician	musikant
starring	rolverdeling
assigned	toegewys
assigned	toegeken
assigned	toegeskryf
seats	sitplekke
tennis	tennis
percent	persent
display	vertoon
display	aansig
convention	konvensie
convention	convention
ring	ring
joint	gesamentlike
joint	joint
brian	brian
deputy	adjunk
planned	beplande
planned	beplan
universities	universiteite
yards	yards
communist	kommunistiese
agent	agent
difference	verskil
animal	dier
czech	tsjeggiese
czech	tsjeggië
positions	standpunte
positions	posisies
exactly	presies
stay	bly
titled	getiteld
combat	combat
palace	paleis
card	kaarte
ordered	gesorteer
ordered	bestel
opposition	opposisie
attempts	pogings
understanding	verdraagsaamheid
understanding	begrip
wrestling	stoei
critics	critics
growing	vergroting
growing	groeiende
establish	vestig
hands	hande
latm	latm
longm	longm
participated	deelgeneem
revert	omkeer
poetry	poësie
materials	materiale
materials	materiaal
turkish	turkse
turkish	turkish
paid	betaal
paid	betaalde
promotion	promosie
apparently	apparently
mobile	selfoon
additions	toevoegings
row	blaai
row	ry
row	row
shortsummary	shortsummary
merged	saamvoeg
merged	saamgevoeg
metropolitan	metropolitaanse
metropolitan	metropolitan
figures	figure
eye	oog
longs	longs
louisiana	russies
louisiana	louisiana
lewis	lewis
melbourne	melbourne
austria	oostenryk
brigade	brigade
screen	skerm
risk	risk
risk	risiko
lats	lat
labor	arbeid
legislative	legislative
definition	animasie
definition	definisie
indeed	inderdaad
draw	teken
application	aansoek
application	toepassings
application	toepassing
steel	staal
presence	teenwoordigheid
earl	earl
max	maksimum
max	max
wild	wildernis
wild	wild
wild	wilde
planning	beplanning
comic	komies
adopted	aangeneem
easy	maklik
easy	maklike
happy	gelukkig
acts	dade
classes	klasse
iowa	iowa
save	manlik
wins	wins
theater	teater
exists	bestaan
chance	kans
prevent	voorkom
linecolor	linecolor
candidates	kandidate
object	voorwerp
powers	bevoegdhede
birds	voëls
spread	sprei
defeat	oorwin
cape	kaap
identified	geïdentifiseer
regions	streke
mine	myne
sides	kante
teaching	teaching
guidelines	riglyne
simon	simon
depth	diepte
lyrics	lirieke
christmas	kersfees
declined	geweier
declined	verwerp
declined	afgewys
greece	griekeland
express	express
federation	federasie
journalist	joernalis
intelligence	intelligensie
occurred	ontstaan
occurred	plaasgevind
connection	konneksie
displayed	vertoon
portuguese	portugese
portuguese	portugees
declared	verklaar
declared	aangekondig
constitution	grondwet
presidential	presidensiële
sons	seuns
plot	stip
dates	datums
firm	vas
ends	eindig
pilot	pilot
relatively	relatively
receive	ontvang
educated	ingelig
manchester	manchester
queensland	queensland
americans	americans
introduction	bekendstelling
introduction	inleiding
directors	direkteure
vehicle	voertuig
vehicles	voertuie
israeli	israeliese
frequently	gereeld
hills	hills
performing	vaar
northwest	noordwes
drug	dwelm
drug	drug
visit	besoek
portion	gedeelte
residence	woonplek
walter	walter
interesting	interessant
moon	maan
limit	beperk
minute	minuut
bell	klok
bell	klokkie
athletics	atletiek
wind	wind
oklahoma	oklahoma
architect	argitek
architect	architect
ideas	idees
electronic	elektronies
electronic	elektroniese
crown	kroon
younger	jonger
anderson	anderson
step	step
step	stap
weapons	wapens
weapons	bewapen
neutral	neutraal
connected	verbind
switzerland	switserland
armed	gewapende
weekly	daagliks
weekly	weekliks
weekly	weeklikse
squad	squad
multi	multi
dynasty	dinastie
cold	cold
cold	koue
cold	koud
granted	toegestaan
alliance	alliance
alliance	alliansie
alliance	verbond
methods	metodes
sam	sam
alabama	alabama
albert	albert
tropical	tropiese
vietnam	viëtnam
vietnam	vietnam
dvd	dvd
refers	verwys
heat	heat
heat	hitte
fans	fans
fans	bewonderaars
fans	aanhangers
surrounding	omliggende
purposes	doeleindes
credit	krediet
commons	commons
boat	boot
boxes	bokse
boxes	kassies
ethnic	etniese
ethnic	etnies
speaking	sprekende
speaking	speaking
speaking	gepraat
arena	arena
roads	paaie
core	kern
dog	hond
kill	doodmaak
wikiproject	wikiproject
athletic	athletic
negative	negatiewe
negative	negatief
edge	rand
edge	kant
edge	edge
jesus	jesus
tools	gereedskap
colonel	kolonel
weak	swak
brand	handelsmerk
resulting	gevolglik
nfl	nfl
rise	opkoms
supply	verskaffing
supply	voorrade
supply	voorraad
supply	verskaf
tradition	tradisie
elementary	elementêre
household	huishouding
household	huishoudelike
spirit	gees
task	taak
slightly	effens
howard	howard
incident	voorval
incident	insident
develop	ontwikkel
southeast	suidoos
sunday	sondag
discuss	bespreek
stats	statistiek
stats	statistieke
climate	klimaat
topics	onderwerpe
purchased	gekoop
purchased	gekoopte
purchased	aangekoop
communications	kommunikasie
chapter	hoofstuk
broken	gebreekte
broken	stukkend
broken	gebroke
broken	gebreek
singapore	singapoer
license	lisensie
passing	deurkom
passing	aangee
citizens	landsburgers
citizens	burgers
citizens	citizens
guns	vuurwapens
trees	bome
gone	gone
gone	gegaan
greatest	grootste
visual	visuele
pope	pous
officials	departementele
officials	amptenare
sat	sa
glass	glas
miller	miller
resulted	resulted
posted	geplaas
posted	posted
estimated	geskatte
estimated	geraamde
estimated	beraamde
brazilian	brasiliaanse
sexual	seksuele
defence	verdediging
defence	defence
respectively	onderskeidelik
rich	ryk
fast	vinnig
fast	vinnige
exhibition	exhibition
speech	spraak
speech	toespraak
speech	speech
les	les
internal	intern
internal	interne
effective	effektief
solution	oplossing
fashion	fashion
fashion	mode
fashion	modes
foot	voet
orange	orange
orange	gewysig
orange	lemoen
orange	oranje
argentina	argentinië
performances	optredes
adult	volwassene
identity	identiteit
singers	sangers
singers	singers
inspired	besiel
inspired	geïnspireer
egypt	egipte
cells	selle
patrick	patrick
quebec	quebec
connecticut	connecticut
anthony	anthony
permanent	permanente
permanent	permanent
phase	phase
phase	fase
audience	gehoor
motion	mosie
motion	motion
motion	beweging
blues	blues
hungarian	hongaarse
arab	arab
trains	treine
sets	stelle
ranked	gerangskik
eyes	oë
studios	studios
gmina	gmina
criminal	kriminele
commonwealth	commonwealth
finish	einde
finish	voltooi
communication	kommunikasie
scope	tuis
accept	aanvaar
warning	waarskuwing
alan	alan
objects	voorwerpe
objects	objekte
diego	diego
contest	wedstryd
contest	kompetisie
fighter	fighter
finds	bevind
coaches	afrigters
beat	beat
beat	ritme
beat	klop
extremely	verskriklik
extremely	uiters
extremely	vreeslik
ford	ford
swiss	swiss
swiss	switserse
swiss	sweedse
sorry	jammer
houston	houston
worldwide	wêreldwyd
showed	gewys
cathedral	katedraal
advance	vorder
reality	realiteit
reality	werklikheid
broadcasting	uitsaai
adam	adam
vandalism	vandalisme
enemy	vyand
youtube	youtube
billion	biljoen
buried	begrawe
belgium	belgië
respect	respek
rare	skaars
detroit	detroit
graduate	graduate
colleges	kolleges
explain	verduidelik
authorities	outoriteit
authorities	owerhede
killing	killing
maximum	maksimum
neither	nóg
fan	waaier
fan	aanhanger
fan	bewonderaar
hamilton	hamilton
attempted	gepoogde
universe	heelal
passes	herhalings
obvious	obvious
pieces	stukke
competitions	kompetisies
driver	drywer
driver	aandrywer
folk	folk
khan	khan
baby	baba
denmark	denemarke
tokyo	tokyo
tokyo	tokio
billboard	billboard
anne	anne
danish	deens
danish	deense
interior	interior
interior	binneste
kevin	kevin
weather	weer
powerful	powerful
powerful	kragtige
muslim	muslim
muslim	moslem
muslim	moslems
registered	geregistreer
publisher	uitgewer
preceding	voorafgaande
sounds	klink
sounds	geluide
sounds	klanke
eric	eric
eric	erik
approved	goedgekeur
douglas	douglas
provincial	provinsiale
fund	fonds
fund	vonds
portugal	portugal
athletes	atlete
bird	voël
bands	orkeste
bands	bands
audio	oudio
cat	kat
bureau	bureau
centuries	centuries
valid	geldig
valid	geldige
valid	soektog
chemical	chemiese
items	items
lane	lane
counties	provinsies
update	opdateer
update	opgedateer
speak	praat
speak	speak
finding	bevinding
domestic	domestic
domestic	huishoudelike
ali	ali
false	vals
equivalent	ekwivalente
equivalent	ekwivalent
caught	gevang
christ	christ
christ	christus
ending	eindig
toward	teenoor
puerto	puerto
perform	presteer
partner	vennoot
partner	maat
partner	lewensmaat
partner	metgesel
romania	roemenië
aviation	lugvaart
failure	mislukking
ward	ward
strength	sterkte
knight	ridder
knight	ruiter
hungary	hongarye
concern	spreek
keeping	keeping
recordings	opnames
mississippi	mississippi
calls	oproepe
magic	toor
magic	magic
gordon	gordon
treaty	verdrag
antonio	antonio
selection	seleksie
rear	agterste
wish	wens
islamic	islamitiese
determined	vasbeslote
determined	vasberade
determined	bepaal
geography	geografie
arkansas	arkansas
fuel	brandstof
artillery	artillery
locations	liggings
inclusion	insluiting
recognition	herkenning
northeast	noordelike
chamber	chamber
moment	oomblik
historian	historian
condition	voorwaarde
condition	kondisie
physics	fisika
newspapers	koerante
instance	instansie
instance	voorbeeld
represent	represent
represent	verteenwoordig
allen	allen
watch	waarneem
watch	horlosie
watch	kyk
watch	dophou
kitt	kitt
grey	grys
grey	grey
launch	lanseer
philip	philip
iraq	irak
ukraine	oekraïne
mix	opskud
mix	meng
tamil	tamil
shift	verskuiwende
shared	gedeel
austrian	oostenrykse
door	door
door	deur
princess	prinses
trail	trail
trail	spoor
parks	parke
applications	toepassings
applications	programme
applications	aanwendings
applications	aansoeke
hundred	honderd
requirements	vereistes
talking	talking
kim	kim
ltd	ltd
metres	meter
gray	grys
sector	sektor
dean	dean
agricultural	agricultural
incorporated	ingeslote
escape	ontsnap
orders	orders
orders	bestellings
founding	stigting
mill	meul
mill	mill
mill	meule
mrs	mrs
subjects	vakke
temperature	temperatuur
remember	herroep
remember	onthou
miami	miami
promote	bevorder
promote	promoveer
promote	bemark
values	waardes
spot	vlek
spot	spot
progress	vordering
learn	leer
occupied	beset
usage	gebruik
southwest	suidwes
truth	waarheid
clark	clark
sufficient	voldoende
equal	gelyk
equal	gelyke
administrator	administrateur
factory	fabriek
fought	gestry
derived	afgelei
outstanding	uitstaande
magazines	tydskrifte
flow	vloei
flow	flow
peer	gelyke
attacked	aangeval
generate	genereer
shape	vorm
creator	skepper
creator	stigter
option	opsie
lincoln	lincoln
stands	stalletjies
carry	dra
carry	carry
establishment	vestiging
selling	verkoop
causes	sake
causes	oorsake
budget	begroting
battles	slag
battles	battles
sky	lug
legend	legende
metro	metro
broke	bankrot
strike	staking
strike	strike
injury	skade
injury	besering
ryan	ryan
zero	nul
zero	zero
converted	omgeskakel
violence	geweld
significantly	grootliks
welsh	welsh
welsh	wallies
welsh	walliese
roger	roger
pdf	pdf
distinguished	voortreflik
samuel	samuel
translated	vertaalde
papers	papers
detail	besonderheid
chapel	kapel
chapel	chapel
frederick	frederik
frederick	frederick
thousands	duisende
banks	banke
offensive	aanstootlik
kings	konings
kings	kings
factor	factor
factor	faktor
rename	hernoem
rename	herbenoem
replace	oordra
replace	spasie
museums	museums
resistance	weerstand
junction	junction
tries	tries
tim	tim
engines	enjins
engines	engines
contributed	bygedra
medium	medium
device	toestel
profit	profit
profit	winsgewende
dream	droom
twelve	twaalf
universal	bekyk
typical	tipiese
typical	typical
seeing	sien
skills	vaardighede
passenger	passasier
passenger	passasiers
cleveland	cleveland
funding	befondsing
agriculture	landbou
parent	ouer
decades	dekades
receiving	ontvang
reform	hervorm
prix	prix
utah	utah
managers	bestuurders
qualified	gekwalifiseerde
indicate	dui
ukrainian	oekraïens
gay	homoseksuele
gay	gay
amateur	amateur
obviously	duidelik
obviously	obviously
gene	gene
soul	siel
discussions	besprekings
montreal	montreal
walker	walker
entrance	ingang
nice	lekker
nice	oulike
nice	nice
abandoned	verlate
humans	humans
flat	plat
sample	voorbeeld
contained	vervat
contained	versamel
banned	verbande
banned	verban
moore	moore
visited	besoekte
visited	besoek
increasing	vermeerder
arm	arm
mathematics	wiskunde
canal	kanaal
charts	charts
thinking	denke
dublin	dublin
surname	van
brain	brain
brain	brein
pittsburgh	pittsburgh
blog	blog
blog	webjoernaal
economics	ekonomie
alex	alex
employed	employed
heavily	heavily
authors	skrywers
authors	outeurs
paintings	skilderye
concerned	besorg
recipients	ontvangers
scholars	scholars
controversial	omstrede
controversy	controversy
expressed	getoon
josé	josé
bodies	bodies
conservation	bewaring
maps	kaarte
marie	marie
marie	marié
arguments	argumente
chain	ketting
focused	gefokusde
readers	lesers
carl	carl
offices	kantore
wave	waai
wave	golf
circle	sirkel
apart	apart
invasion	inval
jimmy	jimmy
opportunity	opportunity
colspan	colspan
orthodox	ortodokse
voted	gestem
formal	formele
formal	formal
seconds	sekondes
seconds	sekonde
cycle	siklus
doubt	twyfel
golf	gholf
walls	mure
productions	productions
huge	huge
andy	andy
representing	random
indonesia	indonesië
sell	verkoop
mon	mon
drawn	getrek
drawn	geteken
tank	tenk
advice	advies
advice	raad
senator	senator
generated	gegenereerde
generated	gegenereer
malaysia	malaysia
malaysia	maleisië
finland	finland
causing	veroorsaak
leads	leidrade
lawyer	prokureur
lawyer	dronkbestuur
seattle	seattle
gain	versterking
index	indeks
saints	saints
runner	naaswenner
runner	runner
crisis	krisis
cinema	cinema
matt	matt
hollywood	hollywood
reaction	reaksie
medals	medals
lawrence	lawrence
pattern	patroon
archives	argiewe
atlanta	atlanta
reviewed	geresenseer
bear	beer
perfect	perfek
bruce	bruce
baltimore	baltimore
baron	baron
pan	pan
commune	commune
fantasy	fantasie
duty	plig
chair	chair
chair	voorsitter
chair	stoel
scenes	skerms
scenes	scenes
scenes	tonele
broad	breed
broad	broad
opposite	teenoorgestelde
stuff	goeters
streets	strate
nick	nick
nick	niek
anna	anna
billy	billy
kent	kent
parliamentary	parlementêre
kelly	kelly
shooting	skiet
shooting	verskietende
ready	herlaai
ready	gereed
aware	bewus
aware	geweet
jordan	jordan
jordan	jordaan
dictionary	woordeboek
composition	samestelling
composition	komposisie
salt	sout
salt	tafelsout
bangladesh	bangladesj
bot	bot
bot	robot
successfully	suksesvol
benefit	voordeel
benefit	bevoordeel
lands	lands
interests	belangstellings
scheduled	geskeduleerde
scheduled	geskeduleer
teachers	onderwysers
closing	afsluiting
advertising	reklame
advertising	advertering
advertising	advertensies
contribution	bydrae
maine	maine
retirement	aftrede
scientists	scientists
dam	dam
blocks	blokke
techniques	techniques
anniversary	herdenking
requested	aangevra
requested	versoek
discovery	ontdekking
discovery	discovery
expedition	ekspedisie
citation	aanhaling
assist	bystaan
assist	assist
meanwhile	intussen
hampshire	hampshire
creative	kreatief
maintain	handhaaf
maintain	onderhou
pierre	pierre
detailed	gedetailleerde
detailed	gedetaileerde
facts	feite
frame	raam
finance	finansieel
finance	finansies
socialist	sosialistiese
camera	camera
camera	kamera
engaged	verloof
engaged	betrokke
underground	ondergrondse
beautiful	mooi
jane	jane
abc	abc
successor	successor
classification	klassifikasie
mining	mining
mining	myn
mining	mynbou
mining	mynwese
bytes	grepe
ross	ross
russell	russell
evening	aand
evening	naand
singing	sang
singing	sing
singing	singing
singing	singende
fifa	fifa
gender	geslag
venues	venues
lakes	mere
jeff	jeff
emergency	noodgeval
emergency	emergency
mode	modus
christopher	christopher
christopher	christoffel
heads	hoofde
priest	priest
funds	fondse
investment	belegging
romanian	roemeense
session	sessie
capture	vaslê
capture	vang
capture	vasvang
aspects	aspekte
reduce	verminder
trophy	trofee
abuse	misbruik
prefecture	prefektuur
normally	gewoonlik
normally	normaalweg
snow	sneeu
shop	winkel
dakota	dakota
dakota	dak
bush	bush
coal	kole
coal	steenkool
gary	gary
employees	werknemers
error	fout
invited	genooide
invited	uitgenooi
invited	genooi
cable	kabel
protein	protein
protein	proteïen
accident	ongeluk
decade	dekade
measure	meet
watched	gekyk
downtown	downtown
animated	geanimeerde
satellite	satelliet
johnny	johnny
combination	kombinasie
courts	howe
hook	hook
clean	skoon
owners	eienaars
twin	tweeling
distributed	verspreide
describe	beskryf
defensive	verdedigende
islam	islam
ottoman	ottoman
trained	opgeleide
affected	geraak
affected	geaffekteer
affected	geaffekteerde
routes	roetes
ministers	ministers
wine	wyn
lanka	lanka
carlos	carlos
collected	versamelde
revival	herlewing
revival	revival
rio	rio
communes	communes
saturday	saterdag
guess	raai
drop	druppel
drop	val
sarah	sarah
swimming	swem
membership	lidmaatskap
edinburgh	edinburgh
fit	pas
harris	harris
dallas	dallas
degrees	grade
bachelor	bachelor
files	lêers
conduct	optrede
extreme	uiters
extreme	extreme
homes	huise
sought	verlang
vision	visie
demand	aanvraag
vertical	vertikaal
updated	opgedateer
updated	gewysig
updated	bygewerk
marketing	bemarking
jason	jason
appeal	appèl
appeal	appelleer
plane	vliegtuig
victor	victor
dyk	dyk
solar	solar
ages	ouderdomme
neighborhood	woonbuurt
wings	vlerke
wings	vleuels
wings	hordes
acid	suur
matters	aangeleenthede
rfc	rfc
constant	konstante
hip	hip
admins	administrateurs
admins	admins
nova	nova
ceremony	ceremony
ceremony	seremonie
chile	chili
composers	komponiste
nazi	nazi
liverpool	liverpool
hero	held
hero	hero
designer	ontwerper
learned	learned
learned	geleer
instruments	instruments
instruments	instrumente
welcome	welkom
hair	hare
consecutive	agtereenvolgende
movies	flieks
movies	rolprente
movies	movies
adjacent	aangrensende
pool	swembad
norman	norman
collections	versamelings
belgian	belgiese
corporate	corporate
corporate	korporatiewe
austin	austin
driving	bestuur
driving	driving
phone	foon
phone	phone
fly	fly
fly	vlieg
ian	ian
window	venster
window	kykers
document	dokument
adams	adams
collaboration	samewerking
margaret	margaret
kennedy	kennedy
videos	videos
assume	assume
attached	aangeheg
attached	aangehegte
dry	droë
dry	dry
dry	droog
expand	uitbrei
bible	bybel
matthew	matthew
matthew	matteus
serbian	serwies
instrument	instrument
represents	verteenwoordig
participants	deelnemers
mentions	meldings
portrait	portret
drivers	drywers
drivers	bestuurders
drivers	aandrywer
airlines	airlines
franklin	franklin
viewers	kykers
finnish	fins
differences	verskille
venue	plek
venue	venue
venue	lokaal
vocal	vocal
rejected	afgekeur
rejected	verwerp
relative	relatief
relative	relatiewe
illegal	onwettig
illegal	onwettige
stewart	stewart
leagues	ligas
morgan	morgan
prisoners	gevangenes
facebook	facebook
attend	bywoon
attend	bygewoon
nelson	nelson
survived	survived
insurance	versekering
expert	kundige
expert	expert
expert	ervare
steam	steam
cards	kaarte
manufacturing	vervaardiging
testing	toets
coastal	coastal
yorkshire	yorkshire
rescue	redding
rescue	red
territories	gebiede
thailand	thailand
vienna	wene
vienna	wenen
journey	journey
storage	berging
costs	kos
singh	singh
soldier	soldier
soldier	soldate
colony	colony
colony	kolonie
evolution	evolusie
evolution	evolution
hurricane	orkaan
hurricane	hurricane
judges	regters
gardens	tuine
poems	poems
poems	gedigte
driven	gedryf
responsibility	verantwoordelikheid
sentences	sinne
birmingham	birmingham
engineers	engineers
visible	sigbare
visible	sigbaar
installed	geïnstalleer
installed	geinstalleer
revolutionary	rewolusionêre
inner	innerlike
trip	uitstappie
restaurant	restourant
restaurant	restaurant
graham	graham
stores	winkels
rice	rys
reasonable	redelike
skin	vel
committed	begaan
volleyball	volleyball
factors	faktore
hundreds	honderde
devices	toestelle
phrase	frase
stanley	stanley
lemmon	lemmon
thompson	thompson
suicide	selfmoord
advantage	voordeel
advantage	advantage
disc	skyf
minimum	minimum
goods	goedere
charges	kostes
alfred	alfred
operator	operator
fred	fred
identify	identifiseer
producers	producers
producers	vervaardigers
ann	ann
campbell	campbell
portland	portland
latest	nuutste
latest	jongste
releases	vrystellings
victims	slagoffers
explanation	verduideliking
operate	operate
operate	opereer
threat	bedreiging
crossing	crossing
slow	stadig
poets	digters
stopped	opgehou
stopped	gestop
stopped	gestaak
strategy	strategie
wayne	wayne
disney	disney
wright	wright
associate	assosieer
significance	betekenis
ruled	regeer
excellent	uitstekend
excellent	uitstekende
excellent	excellent
observed	gehandhaaf
observed	waargeneem
threatened	gedreig
threatened	bedreig
friendly	vriendelik
temporary	tydelik
temporary	geheue
temporary	tydelike
masters	masters
peninsula	skiereiland
networks	netwerke
passengers	passasiers
assumed	aangeneem
artistic	artistieke
safe	veilig
safe	veilige
festivals	festivals
compete	kompeteer
png	png
hunter	hunter
hunter	jagter
alaska	alaska
partnership	vennootskap
maintenance	onderhoud
maintenance	instandhouding
monitoring	monitering
evil	boos
evil	bose
charlie	charlie
poverty	armoede
hop	hop
fri	fri
fri	di
filled	gevul
decide	besluit
argentine	argentynse
resigned	opgegee
oblast	oblast
drew	drew
hawaii	hawaii
brooklyn	brooklyn
historians	historians
speaker	speaker
speaker	luidspreker
speaker	spreker
moth	moth
permission	toelating
permission	toestemming
wounded	verwond
wounded	slagting
marshall	marshall
gate	hek
springs	springs
roy	roy
