prošnje	คำขอ
ionski	ไอออน
okvirja	กรอบ
okvirja	เฟรม
sprehod	เดิน
prepoznal	จำ
trdni	ทึบ
trdni	ของแข็ง
trdni	มั่นคง
trdni	solid
trdni	แข็ง
uslužbenci	ลูกจ้าง
uslužbenci	พนักงาน
celovito	ครอบคลุม
lava	ลาวา
palic	แท่ง
lajšanje	บรรเทา
prijazno	ชนิด
prijazno	ใจดี
prijazno	ใจดี
prijazno	มิตร
kolumbiji	โคลัมเบีย
kovinska	โลหะ
kovinska	เหล็ก
platforma	แพลตฟอร์ม
zavarovan	ประกัน
kopičenje	กักตุน
mobilni	mobile
kijevu	kyiv
afriška	แอฟริกา
oratorij	oratorio
boginjo	ธิดา
boginjo	เทพธิดา
arxiv	arxiv
edu	edu
ovojnice	ซอง
tuberkulozo	วัณโรค
kopijo	สำเนา
factbook	factbook
nasveti	ทิป
muller	muller
natečaj	ประกวด
etiko	จริยธรรม
zvoki	เสียง
izpite	สอบ
izpite	ข้อสอบ
metan	มีเทน
murat	murat
interakcij	กิริยา
interakcij	ปฏิสัมพันธ์
seulu	โซล
čist	บริสุทธิ์
čist	ล้าง
čist	สะอาด
čist	clean
prstana	วงแหวน
prstana	แหวน
komedijo	ตลก
epizodo	episode
epizodo	ตอน
votlina	ถ้ำ
belgijska	เบลเยียม
belgijska	เบลเยี่ยม
enotnega	single
enotnega	โสด
noseča	ท้อง
pokrito	ครอบคลุม
pokrito	ปกคลุม
izstrelki	ขีปนาวุธ
zmede	สับสน
paola	paola
zastopnik	ตัวแทน
zastopnik	ตัวแทน
zastopnik	เอเย่นต์
civilizacij	อารยธรรม
cement	ปูน
armagnac	armagnac
uslužbenec	ลูกจ้าง
uslužbenec	พนักงาน
intelektualne	ปัญญา
podzemlje	ใต้ดิน
podzemlje	ยมโลก
usopendoublesresult	usopendoublesresult
strele	ฟ้าผ่า
strele	สายฟ้า
gladka	เรียบ
čustvo	อารมณ์
realistično	สมจริง
ace	ace
rumen	เหลือง
ponudba	นุ่ม
ponudba	ประมูล
ponudba	เสนอ
nowrap	nowrap
odporen	ดื้อยา
ustreljen	ยิง
nosilca	พาหะ
jaroslavelj	yaroslavl
uničeni	ทำลาย
zahtevno	ท้าทาย
taktično	ยุทธวิธี
piemont	piedmont
čudovito	วิเศษ
štelo	นับ
dawn	รุ่งอรุณ
vasica	หมู่บ้าน
servis	เสิร์ฟ
servis	เสริฟ
servis	บริการ
rezanje	ตัด
heights	ไฮท์
administrativna	ธุรการ
obrazi	ใบหน้า
domišljijo	จินตนาการ
sylvia	sylvia
sylvia	ซิลเวีย
rap	แร็พ
opredeliti	กำหนด
opredeliti	นิยาม
zavarovano	ประกัน
nevidno	ล่องหน
projekcija	ทิพย์
kai	kai
kai	ไค
pilote	นักบิน
izraelsko	อิสราเอล
izraelsko	อิสราเอล
umreti	ตาย
goba	ฟองน้ำ
goba	เห็ด
vis	สุดวิสัย
bio	ประวัติ
točen	แม่นยำ
usmerjenosti	ปฐมนิเทศ
sprožilec	ไก
oklepajih	วงเล็บ
držala	ถือ
držala	อุ้ม
podprta	สนับสนุน
mačk	แมว
mehka	นิ่ม
mehka	อ่อน
mehka	นุ่ม
žabe	กบ
potepuh	จร
potepuh	จรจัด
državljane	ประชาชน
državljane	พลเมือง
viva	viva
prijateljico	friend
prijateljico	เพื่อน
areni	สังเวียน
pregrada	partitioning
pregrada	กั้น
dajatev	duty
dajatev	หน้าที่
hubble	ฮับเบิล
gesellschaft	gesellschaft
ovojnica	ซอง
diagnoze	วินิจฉัย
diagnoze	วินิจฉัย
sporne	พิพาท
sporne	แย้ง
maraton	มาราธอน
posneto	บันทึก
tuberkuloze	วัณโรค
root	ราก
root	รูท
idealna	อุดมคติ
opozoriti	เตือน
tenzor	tensor
delodajalci	นายจ้าง
služabnik	บ่าว
odzivi	ปฏิกิริยา
arc	อาร์ค
arc	arc
tkanine	ผ้าดิบ
tkanine	ผ้า
milimetrov	มิลลิเมตร
diaz	diaz
dlani	palm
dlani	ฝ่ามือ
dlani	ปาล์ม
dlani	ฝ่ามือ
dlani	ปาล์ม
klor	คลอรีน
vejico	จุลภาค
mavrica	สายรุ้ง
mavrica	เรนโบว์
mavrica	รุ้ง
mavrica	สายรุ้ง
mavrica	รุ้ง
lac	ครั่ง
lac	lac
sova	ฮูก
klinika	คลินิก
hormona	ฮอร์โมน
nadomeščen	แทนที่
argumenti	อาร์กิวเมนต์
scala	scala
pozicije	จุดยืน
pozicije	ตำแหน่ง
lowell	โลเวลล์
opozori	เตือน
poljub	จูบ
poljub	kiss
nezmožnost	พิการ
muhe	แมลงวัน
barset	barset
predlagana	แนะ
predlagana	แนะนำ
soda	โซดา
normalen	ปรกติ
normalen	ธรรมดา
normalen	ปกติ
palm	palm
palm	ฝ่ามือ
palm	ปาล์ม
zeit	zeit
minimalna	minimal
minimalna	น้อย
poudarjeno	ไฮไลท์
poudarjeno	ไฮไลต์
objav	โพสต์
canon	canon
oceanov	มหาสมุทร
procesor	cpu
procesor	ซีพียู
kron	มงกุฎ
udarcev	หมัด
udarcev	ขนตา
okrepitev	สำรอง
natančni	แม่นยำ
navad	นิสัย
napačen	ธรรม
napačen	ผิด
noga	เท้า
noga	ตีน
noga	ขา
prazni	ว่างๆ
prazni	ว่าง
zakonito	กฎหมาย
pgc	pgc
nenavadna	แปลก
mikro	micro
mikro	ไมโคร
podprt	สนับสนุน
cipru	ไซปรัส
zelenjava	ผัก
zelenjava	ผัก
vegas	vegas
prepovedani	แบน
carpenter	ช่างไม้
cctld	cctld
propaganda	โฆษณาชวนเชื่อ
boom	ตูม
boom	บูม
tajvan	ไต้หวัน
duhovi	ผี
topli	อบอุ่น
topli	อุ่น
speyer	speyer
sovjeti	โซเวียต
mirne	สงบ
mirne	สันติ
koš	ตะกร้า
koš	บิน
koš	ถาด
blundell	blundell
viski	วิสกี้
viski	วิสกี้
obdrži	เก็บ
vzporedna	ขนาน
tehtajo	ชั่ง
reže	สล๊อต
reže	สล็อต
reže	ล็อต
neal	นีล
naloži	โหลด
naloži	ดาวน์โหลด
naloži	อัพโหลด
rue	rue
izpoved	สารภาพ
schmitt	schmitt
poitou	poitou
kaznovan	ลงโทษ
kalij	โพแทสเซียม
saga	saga
črevesja	ลำไส้เล็ก
splav	แท้ง
splav	แพ
splav	ทำแท้ง
splav	แท้ง
jeklene	เหล็ก
slano	เค็ม
kubi	คิวบา
atomski	อะตอม
atomski	ปรมาณู
pravično	แฟร์
pravično	ยุติธรรม
václav	václav
kalcij	แคลเซียม
havaji	ฮาวาย
eros	eros
sket	sket
ječe	dungeons
singapur	สิงคโปร์
carine	ศุลกากร
sekretarka	เลขา
sekretarka	รัฐมนตรี
sekretarka	เลขาฯ
sekretarka	เลขาธิการ
sekretarka	เลขานุการ
izgon	เนรเทศ
izgon	เนรเทศ
lokacij	ตำแหน่งที่ตั้ง
leča	เลนส์
fernandez	fernandez
hub	ฮับ
cam	แคป
cam	แคม
podvig	feat
podvig	ploy
sao	sao
povpraševanje	อุปสงค์
povpraševanje	อุปทาน
sladko	หวานๆ
sladko	หวาน
rezerve	สำรอง
valentine	วาเลนไทน์
razgovor	interview
razgovor	สัมภาษณ์
kamnolom	เหมือง
grla	คอ
metana	มีเทน
parke	สวน
tang	ถัง
možganska	สมอง
zaveznika	พันธมิตร
zaveznika	พันธมิตร
vizijo	นิมิตร
opredeli	กำหนด
opredeli	นิยาม
bratstvo	สมาคม
bratstvo	ภราดรภาพ
gostilne	ผับ
poslani	ส่ง
umetnica	ศิลปิน
umetnica	จิตรกร
koz	แพะ
siv	เทา
odražajo	ไตร่ตรอง
odražajo	ใคร่ครวญ
cveta	ดอกไม้
cveta	flower
premiki	ขบวนการ
kazalca	เคอร์เซอร์
strategij	กลยุทธ์
protesti	ประท้วง
protesti	ประท้วง
protesti	ประท้วง
plaže	ชายหาด
lew	ลูว์
večkratni	หลายๆ
večkratni	หลาย
pölten	pölten
richelieu	richelieu
limfocitov	lymphocyte
kriminala	อาชญากรรม
odo	ode
mai	เชียงใหม่
nicholson	nicholson
navesti	ระบุ
annie	annie
pena	โฟม
alternativemap	alternativemap
tea	ชา
goji	โต
zemljepisno	ภูมิศาสตร์
kislo	เปรี้ยว
skrita	ซ่อน
predsedstvo	สำนักงาน
predsedstvo	สำนัก
zunanjosti	ภายนอก
lisice	กุญแจมือ
senior	อาวุโส
senior	senior
biblija	ไบเบิ้ล
biblija	ไบเบิล
hojo	เดิน
echo	ก้อง
echo	echo
gutiérrez	gutiérrez
grlo	คอ
deutscher	deutscher
ujetnik	นักโทษ
ujetnik	เชลย
laserski	เลเซอร์
volne	ฝอย
sena	ฟาง
sena	hay
davki	ภาษี
davki	ภาษี
osvajanje	ชัยชนะ
uganka	ปริศนา
uganka	ปริศนา
istanbulu	อิสตันบูล
zobe	ฟัน
kovance	เหรียญ
fink	fink
hotelov	โรงแรม
gibi	moves
žerjav	เครน
vejice	จุลภาค
seks	เพศ
seks	เซ็กซ์
seks	sex
celinski	ทวีป
schulz	schulz
trd	แข็ง
wimbledondoublesresult	wimbledondoublesresult
fotografiranje	ภาพถ่าย
nadarjen	พรสวรรค์
robove	ขอบ
belgijsko	เบลเยียม
belgijsko	เบลเยี่ยม
glasno	ดังๆ
glasno	ดัง
želiš	ต้องการ
želiš	อยาก
metropolitan	มหานคร
metropolitan	นครหลวง
pozabi	ลืม
moda	fashion
moda	แฟชั่น
volčji	หมาป่า
chen	เฉิน
komune	คอมมูน
tai	ไท
tai	ไท่
tai	ต่าย
tai	ไต้
kaspijskega	แคสเปียน
kara	คาร
kara	คารา
česen	กระเทียม
sodo	โซดา
strelca	นักกีฬา
strelca	มือปืน
józef	józef
lastnica	owner
lastnica	เจ้าของ
meditacije	meditations
minimalne	minimal
minimalne	น้อย
dopolnilo	ผนวก
dopolnilo	เสริม
faith	ศรัทธา
mehanski	เชิงกล
angkor	นคร
pridelek	ยอม
pridelek	พืช
idealni	อุดมคติ
pogumno	กล้า
hrepenenje	ปรารถนา
hrepenenje	ปรารถนา
kilometre	กิโลเมตร
kilometre	ไมลส์
kilometre	ไมล์
kilometre	กิโลเมตร
kilometre	กิโล
mask	หน้ากาก
zagotovilo	รับรอง
ers	edf
ers	ers
gostitelj	โฮสต์
gostitelj	จัด
kuhinjo	ทำครัว
kuhinjo	ครัว
villars	villars
stopala	ฟุต
stopala	เท้า
stopala	ฟิต
upoštevanje	พิจารณา
addclass	addclass
spremljevalec	สหาย
amadeus	amadeus
fantom	phantom
žalostno	เศร้าๆ
žalostno	เศร้า
referendumu	ประชามติ
referendumu	มติ
kokain	โค้ก
kokain	โคเคน
kokain	โคเคน
malezija	มาเลเซีย
carlsson	carlsson
lupina	เปลือก
lupina	เชลล์
lupina	เปลือก
lupina	ปลอก
stražar	องครักษ์
trikotniki	สามเหลี่ยม
naglas	สำเนียง
burns	เบิร์น
vnuka	หลาน
zemljevide	maps
zemljevide	แผนที่
blagoslov	พร
blagoslov	อวยพร
blagoslov	พร
nikon	nikon
malezije	มาเลเซีย
icd	icd
cinka	สังกะสี
mono	โมโน
mono	mono
rush	รัช
rush	รัส
dorothea	dorothea
kavo	กาแฟ
mehke	นิ่ม
mehke	อ่อน
mehke	นุ่ม
konjev	ม้า
diamant	diamond
diamant	ไดมอนด์
diamant	เพชร
odvajanje	บำบัด
zavore	เบรก
zavore	เบรค
dokumentarec	สารคดี
proteus	proteus
cis	cis
poklon	ส่วย
poklon	บรรณาการ
fanny	fanny
ideologije	อุดมการณ์
nadrejeni	อธิการ
nadrejeni	superior
pgp	pgp
domišljije	จินตนาการ
okrožni	มณฑล
okrožni	เปรม
vdrl	แฮ็ค
vdrl	แฮ็ก
riža	ข้าว
paragvaj	ปารากวัย
gerd	gerd
programer	โปรแกรมเมอร์
cellspacing	cellspacing
lili	ลิลลี่
lili	lilo
rusov	รัสเซีย
prepir	เถียง
prepir	ทะเลาะ
protonov	โปรตอน
poletno	ซัมเมอร์
poletno	summer
vaccinium	vaccinium
okb	okb
surovo	หยาบ
surovo	ดิบ
surovo	ดิบๆ
surovo	raw
ekstremno	สุดขีด
letalec	ใบปลิว
letalec	aviator
gospodarji	มาสเตอร์
philosophie	philosophie
shrani	บันทึก
shrani	ประหยัด
ponos	ศักดิ์ศรี
goveda	วัว
goveda	ปศุสัตว์
deljenje	ดิวิชั่น
deljenje	แชร์
vozel	เงื่อน
vozel	ปม
angelov	เทวดา
zdrave	สุขภาพ
stroki	ฝัก
stroki	pod
eriksson	eriksson
čar	เสน่ห์
zavetišče	ที่พัก
volvo	volvo
želve	เต่า
želve	เต่า
nadlegovanje	ก่อกวน
dragocene	คุณค่า
skrivnostno	ลึกลับ
točnost	แม่นยำ
wikiproject	wikiproject
majico	เสื้อ
vale	เวลล์
duo	duo
encime	เอนไซม์
sid	ซิด
trop	แพ็คเกจ
trop	แพ็ค
trop	ฝูง
trop	แพค
ječi	ใต้ดิน
mariano	mariano
delaware	เดลาแวร์
strast	กิเลส
strast	ตัณหา
kosilo	เที่ยง
plač	ค่าแรง
spornih	พิพาท
razredih	ห้องเรียน
gustaf	gustaf
zapovedi	บัญญัติ
nadomestek	ทดแทน
luske	เกล็ด
luske	ตาชั่ง
soglasno	เอกฉันท์
ostri	ชาร์ป
ostri	คม
patrik	patrik
atlantique	atlantique
prošnja	ขอ
prošnja	คำขอ
prošnja	ร้องขอ
woods	ป่า
intenzivne	intensive
taljenje	ละลาย
junakinja	นางเอก
beretta	beretta
ploščica	จุลินทรีย์
odtok	ระบาย
jod	ไอโอดีน
žreb	วาด
škandal	ฉาว
neto	ตาข่าย
neto	net
neto	สุทธิ
neto	เน็ต
neto	ถ้วน
pluton	พลูโต
pokrov	ฝา
podporno	สนับสนุน
desetletji	ทศวรรษ
ustnice	ปาก
ustnice	ลิป
ustnice	lip
piščal	น่อง
perje	บางเบา
zelišča	สมุนไพร
zelišča	สมุนไพร
ciklov	วงจร
kilogram	กิโลกรัม
kilogram	กิโล
bratovščina	สาวก
bratovščina	สัมพันธภาพ
bratovščina	สมาคม
bratovščina	ภราดรภาพ
gimnastika	ยิมนาสติก
zvezdica	ดวงดาว
zvezdica	ดารา
zvezdica	ดาว
zvezdica	ดอกจัน
sqmi	sqmi
ffg	ffg
opravilo	งาน
ostra	ชาร์ป
ostra	คม
rivière	rivière
ekvator	เส้นศูนย์สูตร
ekvator	ศูนย์สูตร
fosili	ฟอสซิล
fosili	ซากดึกดำบรรพ์
izjavi	คำแถลง
izjavi	statement
antwerpnu	antwerp
hrošč	บั๊ก
hrošč	บัก
hrošč	ด้วง
bose	bose
kadi	ควัน
kadi	อ่าง
colonna	colonna
zveni	เสียง
vie	vie
povratek	กลับ
skrit	ซ่อน
android	android
vohun	สปาย
animirani	การ์ตูน
vdovo	แม่หม้าย
vdovo	หม้าย
padalo	ชูชีพ
izpuščaj	ผื่น
zip	zip
zip	รูด
dvojček	twin
dvojček	ฝาแฝด
dvojček	แฝด
singh	สิงห์
šifra	รหัส
šifra	โค้ด
mokrišče	wetland
smr	smr
zasedo	ซุ่ม
narazen	แยก
narazen	แบ่ง
carr	คาร์
spot	จุด
pac	pac
eter	ether
visi	ห้อย
visi	แขวน
visi	เที่ยว
opredelitve	นิยาม
sergij	sergius
lasje	ขน
lasje	เส้นผม
staranje	ริ้ว
vos	vos
treniral	ฝึก
zvesta	ซื่อสัตย์
zvesta	ภักดี
zvesta	ศรัทธา
seth	เซ็ท
seth	เซธ
seth	เซท
seth	เซ็ธ
nori	บ้า
nori	เพี้ยน
spust	วาง
spust	หย่อน
spust	หยด
spust	ดรอป
mak	หมาก
europaea	europaea
spi	นอน
spi	หลับ
spi	นอน
osijek	osijek
brun	brun
pim	pim
oda	ode
pušča	รั่ว
zmanjšan	ลด
košice	košice
avtocesto	มอเตอร์เวย์
avtocesto	ทางด่วน
avtocesto	ทางด่วน
avtocesto	ทางหลวง
avtocesto	ไฮเวย์
koči	กระท่อม
plastično	พลาสติก
kladivo	ค้อน
množina	พหูพจน์
množina	พจน์
char	ชาร์
muca	จิ๋ม
muca	kitty
muca	แคท
muca	แมว
harmonija	ปรองดอง
fernand	fernand
delodajalca	นายจ้าง
miza	ตาราง
miza	โต๊ะ
katastrofa	หายนะ
katastrofa	หายนะ
katastrofa	เซียน
predlagan	แนะ
predlagan	แนะนำ
evo	evo
kabinet	ตู้
živalsko	สัตว์
popravki	หย่อม
veno	เส้นเลือด
šanghaj	เซี่ยงไฮ้
kuhinji	ทำครัว
kuhinji	ครัว
prenašati	ยืนยง
reg	reg
yang	ยาง
yang	หยาง
yang	แหยง
yang	แยง
dizel	ดีเซล
sap	sap
ovca	แกะ
inovacije	นวัตกรรม
sala	ศาลา
sala	แซล
navidezna	เสมือน
rana	แผล
rana	บาดแผล
kitov	วาฬ
kitov	ปลาวาฬ
kopb	copd
etično	จริยธรรม
specialno	พิเศษ
asa	asa
nenadno	กะทันหัน
antonín	antonín
nagib	เอียง
zakladnica	คลัง
ramón	ramón
španščina	สเปน
ignaz	ignaz
uredba	ระเบียบ
nasmeh	ยิ้ม
nasmeh	smile
nasmeh	ยิ้ม
mari	mari
edinstveno	เอกลักษณ์
