katastroofi	desastre
pre	pre
tor	tor
kokkupuude	exposició
kasutuselevõtt	desplegament
stress	estrès
kahn	kahn
putnam	putnam
lode	lode
jalakäijate	vianants
detaili	detall
hoiak	actitud
hoiak	postura
spektroskoopia	espectroscòpia
karp	caixa
karp	capsa
gay	gai
gay	gay
pausi	pausa
hoidmine	mantenint
koostisosa	constituent
koostisosa	ingredient
tõmbab	dibuixa
tõmbab	treta
erosiooni	erosió
merkel	merkel
kuulsus	celebritat
kuulsus	fama
kuulsus	fame
elise	elise
kong	kong
attila	attila
duncan	duncan
amour	amour
lahtised	soltes
lahtised	solta
braun	braun
issn	issn
tehingu	transacció
uuendused	innovació
uuendused	innovacions
uuendused	actualitzacions
kasutegur	eficiència
horisontaalne	horitzontal
kafka	kafka
seire	monitoratge
mongolid	mongols
vabariiklaste	republicà
terminid	termes
terminid	condicions
regulatsioon	regulació
regulatsioon	reglament
regulatsioon	reglamentació
spetsiifiline	específics
spetsiifiline	específic
sügavale	deep
sügavale	profunds
sügavale	profund
dets	dec
antenni	antena
ios	ios
castel	castel
ohvreid	víctimes
salzburgi	salzburg
stabiilsed	estable
murdoch	murdoch
iha	desig
iha	luxúria
tunded	sentiments
pantvangi	ostatge
pantvangi	hostatge
alvar	alvar
vaadeldud	observat
vaadeldud	observats
määramata	indefinit
määramata	indefinida
määramata	indefinit
golf	golf
impulss	impuls
jackie	jackie
sõjaliselt	militarment
käsud	ordres
käsud	encàrrecs
käsud	comandes
käsud	ordres
blake	blake
transistor	transistor
troopiline	tropical
alu	alu
hobuseid	cavalls
martínez	martínez
lihased	músculs
teenindab	serveix
trento	trento
kahjustatud	danyat
kahjustatud	malmeses
kahjustatud	malmès
kahjustatud	desperfectes
kahjustatud	malmesos
côte	côte
ulla	ulla
arvukuse	abundància
jurisdiktsiooni	jurisdicció
määratlus	definició
rahvuste	nacionalitats
lugemist	llegint
lugemist	lectura
alejandro	alejandro
bali	bali
cdu	cdu
theodosius	teodosi
paranes	curat
hiinlased	xinès
hiinlased	xinesos
bel	bel
suzanne	suzanne
vastand	reverteix
vastand	oposat
vastand	contrari
saakašvili	saakaixvili
katastroof	desastre
katastroof	catàstrofe
dwight	dwight
rajad	senders
rajad	vies
rajad	peces
rajad	pistes
perugia	perusa
andekas	talent
cruises	creuers
polo	polo
valss	vals
siil	eriçó
madison	madison
maran	maran
süüdistused	càrrecs
süüdistused	acusacions
cecilia	cecília
cecilia	cecilia
põlve	genoll
sort	varietat
conti	conti
brassica	brassica
malaisias	malàisia
ove	ove
ego	ego
rikkalik	ric
rikkalik	rich
rikkalik	rics
ajakirjanikud	periodistes
ajakirjanikud	reporters
stadt	stadt
debüüt	debut
judith	judit
judith	judith
õpitud	après
nupud	botons
tšellist	violoncelista
perioodiliselt	periòdicament
joanna	joanna
lorraine	lorena
lorraine	lotaríngia
hoiatas	avisat
hoiatas	advertit
kataloogi	catàleg
lübeck	lübeck
arvamused	dictàmens
kilo	quilo
kilo	kilo
genotsiidi	genocidi
kabe	dames
radikaalne	radical
lapi	lapònia
plaadid	matrícules
plaadid	plaques
plaadid	fitxes
võimendi	amplificador
automatiseeritud	automatitzat
automatiseeritud	automatitzats
maksumus	cost
ravile	teràpia
ravile	tractament
phoenix	fènix
phoenix	phoenix
abdullah	abdullah
julija	yulia
madame	madame
varustada	equipar
funktsionaalne	funcionals
funktsionaalne	funcional
telg	eix
vein	vi
depressioon	depressió
esteetika	estètica
seb	seb
malai	malai
aquila	aquila
võimleja	gimnasta
salerno	salern
togo	togo
emotsioonid	emoció
emotsioonid	emocions
gilles	gilles
sulestik	plomatge
fosfori	fòsfor
istub	assegut
officinalis	officinalis
seaduslik	jurídic
seaduslik	legal
seaduslik	legals
seaduslik	lícita
pühad	festes
pühad	festius
pühad	vacances
fide	fide
prefekt	prefecte
murtud	trencats
murtud	trencat
kalamees	pescador
potentsiaalselt	potencialment
melanie	melanie
sõnastada	formular
boyle	boyle
andrews	andrews
face	cara
face	face
sprint	sprint
sprint	esprint
granada	granada
abba	abba
hiired	ratolins
ballett	ballet
fännid	fans
fännid	admiradors
fännid	ventiladors
piazza	piazza
lin	lin
hierarhia	jerarquia
larsen	larsen
tundlikud	sensible
tundlikud	sensibles
maraton	marató
maraton	marathon
gates	gates
värviline	multicolor
packard	packard
klaviatuur	teclat
administratsioon	administració
heakskiidu	abocament
atlantic	atlantic
atlantic	atlàntic
ekvaatori	equador
kujud	estàtues
voolavad	abocat
saatkond	ambaixada
kõver	corba
negatiivsed	negatiu
jansen	jansen
marylandi	maryland
viadukt	viaducte
sativa	sativa
kaaluda	consideri
kaaluda	considerar
reid	reid
reid	raid
kuldsed	golden
tööriistad	eines
mandžuuria	manchurian
mandžuuria	manxúria
juventus	juventus
tehnoloogiaid	tecnologies
mod	mod
sokk	mitjó
kuritegu	crim
olsen	olsen
brescia	brescia
korralik	decent
maapind	terreny
gaulle	gaulle
programmeerija	programador
adele	adèle
adele	adele
külasid	viles
tara	tara
tara	tanca
kujund	forma
sándor	sándor
viiskümmend	cinquanta
montpellier	montpeller
harper	harper
sparta	spartan
sparta	esparta
nella	nella
jäta	excedència
kett	cadena
augud	fosses
augud	forats
liberty	llibertat
sentimeetrit	centímetres
tasakaalustatud	equilibrat
tasakaalustatud	equilibrada
carnegie	carnegie
holm	holm
tuvastati	detectats
tuvastati	detectat
tuvastati	identificat
tuvastati	identificada
tuvastati	identificats
uskusid	creien
uskusid	cregut
vastuvõtmine	acceptació
vastuvõtmine	adopció
vastuvõtmine	rebre
ibsen	ibsen
ahju	forn
sõrmus	anell
rodrigo	rodrigo
lühendatud	escurçar
lühendatud	abreujat
lühendatud	abreujades
tuur	recorregut
tuur	tour
sommer	sommer
betooni	formigó
konföderatsioon	confederació
konföderatsioon	confederats
teleskoobi	telescopi
fersen	fersen
girard	girard
eleanor	eleanor
eleanor	elionor
haagi	haia
krause	krause
vähendamise	reducció
nyman	nyman
kukutada	enderrocar
picasso	picasso
saabuvad	arriben
saabuvad	arribin
tiger	tiger
tiger	tigre
norma	norma
bergeni	bergen
lynn	lynn
happe	àcid
petersen	petersen
olevik	presents
olevik	present
seene	fong
seene	bolet
rass	cursa
sumatra	sumatra
donna	donna
tanja	tania
tanja	tanja
ülemaailmselt	worldwide
ülemaailmselt	globalment
matused	funeral
matused	funerals
lotus	lotus
pada	olla
liustik	glacera
diagnoosi	diagnosi
diagnoosi	diagnòstic
aires	aires
varustus	equipaments
varustus	equipament
varustus	engranatge
jaime	jaime
rachel	rachel
valikuline	selectius
valikuline	selectiu
valikuline	selectiva
valikuline	opcionals
valikuline	facultatius
valikuline	opcional
valikuline	facultatiu
tehnikaid	tècniques
buss	bus
buss	autobús
detail	detall
voroneži	vorónej
hain	hain
raam	fotograma
raam	marc
friisi	frisona
minimaalselt	mínim
sõnastatud	formulats
sõnastatud	formulat
vanaks	antic
paat	vaixell
kuulsad	famós
kuulsad	famosos
luc	luc
vastasseis	confrontació
nõutav	requerit
nõutav	requerida
nõutav	requerits
btr	btr
ando	ando
kaevandamine	extracció
kaevandamine	mineria
ratsionaalne	racional
ratsionaalne	racionals
kaup	mercaderies
kaup	béns
kaup	mercaderia
kaup	mercaderia
kanaari	canàries
kanaari	canari
saavutus	consecució
saavutus	assoliment
uri	uri
seeme	llavor
seeme	llavors
versus	versus
berry	berry
noir	noir
facebooki	facebook
oldenburg	oldenburg
vertikaalne	vertical
jehoova	jehovà
jarl	earl
bauska	bauska
ristitud	batejat
ägeda	aguda
jook	beguda
jook	beguda
vaatlus	observació
piiritletud	delimitats
malaaria	malària
vallikraavi	fossat
kadumine	desaparició
kadumine	desapareixent
timori	timor
kuma	resplendor
ruslan	ruslan
magama	dorm
magama	dormir
asendatakse	substituït
asendatakse	reemplaça
asendatakse	substitueix
retseptori	receptor
weiss	weiss
protseduur	procediment
avaldamine	publicació
avaldamine	edició
avaldamine	publicant
sööma	menja
saaja	destinatari
saaja	receptor
acacia	acàcia
indiaanlased	indians
indiaanlased	indis
sünnipäev	aniversari
lõputu	infinit
lõputu	infinites
lõputu	infinits
lõputu	infinita
lõputu	interminable
lõputu	interminables
kasulikud	útil
moses	moses
moses	moisès
inglid	àngels
inglid	angels
ing	ing
edendamine	promoció
kreem	crema
kreem	nata
petro	petro
hindab	avalua
veikko	veikko
imelik	estranya
imelik	strange
imelik	estrany
imelik	senars
imelik	senar
matta	bury
konkreetselt	específicament
konkreetselt	concretament
lucy	lucy
susanna	susanna
button	botó
tarkus	saviesa
salomon	salomon
võrdlev	comparatiu
dana	dana
coca	coca
coca	coca
pakkumine	oferta
pakkumine	licitació
pakkumine	tendra
miljoneid	milions
tšaadi	txad
abteilung	abteilung
kolleegium	college
haagis	remolc
haagis	tràiler
repertuaari	repertori
kannatanud	patit
