federacija	federation
okrasni	ornamental
branili	cọc
côte	côte
navijači	fans
navijači	fan
obrazec	mẫu
parki	parks
nikolaus	nikolaus
lucij	lucius
gian	gian
katajama	katayama
flavto	sáo
ukaze	lệnh
sandra	sandra
renshaw	renshaw
ozki	hẹp
neskončnosti	infinity
frenchopenresult	frenchopenresult
svetoval	khuyên
duhovnega	linh
odpovedati	thôi
odpovedati	hủy
golo	naked
golo	nude
vrtovih	vườn
vrtovih	gardens
niccolò	niccolò
kunst	kunst
dodatkov	appendices
leonid	leonid
internetni	internet
michelle	michelle
lange	lange
solomon	salomon
solomon	solomon
vienne	vienne
multi	đa
multi	multi
eye	eye
eye	mắt
mokronog	mokronog
okoljski	ctp
dinamično	động
nož	đao
nož	dao
villers	villers
plačo	lương
boattini	boattini
helij	helium
helij	heli
krek	đê
krek	nứt
loch	hồ
saladin	saladin
perez	perez
čustvena	bênh
frs	frs
valence	valence
albanije	albania
grožnja	đe
grožnja	mối
udeležba	turnout
udeležba	tooltip
križevci	križevci
comté	comté
obveščevalna	pet
dvigalo	kháng
polji	fields
polji	trường
kolena	gối
kolena	gối
islandije	iceland
roth	roth
bohemond	bohemond
pošteno	fair
césar	césar
ala	ala
jaime	jaime
cima	cima
navbox	navbox
muck	muck
cink	kẽm
cink	sink
cink	zinc
cink	zink
amos	amos
borotra	borotra
preobrat	twist
preobrat	xoắn
preobrat	xoáy
preobrat	turnaround
preobrat	reversal
plesno	điệu
plesno	múa
kopeli	tắm
mina	mina
feri	feri
said	nói
said	bảo
said	said
richie	richie
plesalec	dancer
franche	franche
vertikalno	dọc
vertikalno	dọc
gil	gil
sex	sex
ibrahim	ibrahim
biro	bureau
biro	cục
ashe	ashe
schwartz	schwartz
sul	sul
predaja	nhường
belgijske	bỉ
cunningham	cunningham
kuhinja	bếp
liu	liu
liu	lưu
sabine	sabine
leonhard	leonhard
oper	oper
trintignant	trintignant
opekline	cháy
arija	ari
elias	elias
linearni	tuyến
suzanne	suzanne
gurney	gurney
gurney	cáng
bopanna	bopanna
edberg	edberg
mvp	mvp
pomanjkljivost	deficiency
riž	gạo
riž	cơm
chiesa	chiesa
que	que
aston	aston
sprejeto	rõ
sprejeto	roger
sprejeto	nuôi
yan	yến
yan	yan
yan	nhan
ozke	hẹp
čarovnik	wizard
rouge	rouge
günter	günter
kognitivne	cognitive
meh	bellows
spanje	ngủ
spanje	ngự
spanje	ngủ
sophie	sophie
razum	phiền
chamberlain	chamberlain
agnes	agnes
dare	darrell
augusto	augusto
cvetove	petals
lucky	may
lucky	lucky
bojišča	battlefields
tramvaj	tram
metz	metz
granada	granada
romanja	romagna
ultra	ultra
julio	julio
povabi	mời
prispeli	đến
prispeli	tới
spolna	sex
ročni	handheld
skokov	rebounds
skokov	hopping
liceju	liceo
drake	drake
evonne	evonne
magnezija	magie
magnezija	magiê
magnezija	magnesium
viking	viking
kamenje	stones
kamenje	đá
stanag	stanag
gnezda	nest
gnezda	tổ
belorusija	belarus
face	face
face	mặt
wiley	wiley
sekundah	giây
tilden	tilden
osvajanja	conquest
koranu	quran
holstein	holstein
padova	padua
padova	padova
sestanek	họp
posteljo	bed
posteljo	giường
novinarji	nhấn
novinarji	bào
novinarji	ấn
novinarji	bấm
novinarji	khmer
bat	piston
bat	bat
bat	dơi
baterije	pháo
baterije	pin
baterije	bình
baterije	pin
française	française
rene	rené
rene	rené
rene	rene
pobeg	getaway
pobeg	thoát
pobeg	escape
cornelius	cornelius
kanali	kênh
seštevek	sum
janet	janet
ozka	hẹp
steyr	steyr
springfield	springfield
neskončna	infinite
neskončna	vá
neskončna	endless
prilagajanje	adaptation
štetje	đếm
štetje	lit
štetje	đếm
meseci	tháng
zaveza	covenant
megla	mist
pirc	pirc
zavetje	shelter
bliže	closer
justinijan	justinianos
yves	yves
zabava	fun
zabava	ké
zabava	vui
zabava	đảng
zabava	party
zabava	tiệc
zabava	entertainment
mariner	mariner
indre	indre
monroe	monroe
usodno	fatal
mejnik	landmark
mejnik	mốc
mejnik	mốc
izmenjava	interchange
lise	lise
kost	xương
kost	bone
metulj	butterfly
metulj	bướm
mats	matter
mats	mats
zavestno	conscious
trpel	led
trpel	chịu
ayala	ayala
deutschland	deutschland
hessen	hessen
had	hades
odstavek	đoạn
tenis	tennis
frazier	frazier
fda	fda
fda	slv
koša	giỏ
koša	rổ
sijaj	shine
sijaj	ngời
sijaj	glow
roda	rod
kolona	khe
kolona	cột
este	este
belle	belle
belle	bella
belle	bellas
irc	irc
