매크로	makro
재앙	katastrofos
재앙	katastrofa
왈롱	orientuotas
아켓	arquette
기가바이트	gigabaitų
동맥	arterijų
동맥	arterijų
양귀비	aguonų
코팅	danga
코팅	dengimas
엽서	atvirukas
엽서	atvirukus
존경	pagarba
잉어	karpiai
만돌린	mandolina
매립지	sąvartynų
보름스	kirmėlių
청취	klausytojai
데스매치	deathmatch
게시	leidyba
게시	leidybos
게시	publikuoti
게시	paskelbia
게시	nustačiusi
침팬지	šimpanzė
경치	peizažo
카네다	kaneda
노바라	novara
맥그리거	mcgregor
타르	deguto
플룻	fleita
버릇	įprotis
불균형	disbalansas
소말릴란드	somalilandas
후원자	rėmėjų
인디고	indigo
초은하단	superspiečius
파크스	parkai
벨라루스인	baltarusiai
과들루프	gvadelupa
엠블렘	emblema
엠블렘	herbas
포트폴리오	portfelio
포트폴리오	portfelis
과달루페	gvadalupė
과달루페	gvadelupa
챈들러	chandler
스트라토스	stratos
배설	šalinimas
배설	pašalinamas
배설	išsiskyrimas
카멜	camel
진료소	klinika
진료소	klinikos
진료소	klinikoje
테레즈	thérèse
페퍼	pipirai
페퍼	pipirų
기모노	kimono
참치	tunų
참치	tunas
참치	tunai
석면	asbesto
석면	asbestas
지워	ištrinti
트롬본	trombonas
스타브로폴	stavropolio
민수	min
외과의사	chirurgas
외과의사	chirurgai
카트리나	katrina
키로프	kirovo
정확도	tikslios
정확도	tikslūs
정확도	tikslumo
정확도	tikslumas
학비	mokslą
평평하게	plokščiai
큐브릭	kubrick
무겁게	sunkus
무겁게	galinga
헤르츠	hertz
트라팔가	trafalgaro
카르마	karma
폰티액	pontiac
파레토	pareto
알마	alma
트레이스	pėdsakai
트레이스	pėdsakų
트레이스	sekti
타타르어	totorių
바울	paulius
앨릭	alekas
심페로폴	simferopolis
버마어	birmos
지구물리학	geofizika
삭제하기	ištrinti
소책자	brošiūros
소책자	brošiūra
디카프리오	dicaprio
시사회	premjera
트란스발	transvalio
팬티	kelnaitės
이불	danga
스푼	šaukštu
레오파르트	leopardas
텔레파시	telepatija
광석	rūdos
코폴라	coppola
뱀과	gyvatės
뱀과	gyvate
뱀과	gyvatė
뱀과	gyvatės
뱀과	gyvates
뱀과	gyvačių
툰드라	tundra
헌신	atsidavimą
헌신	atsidavimo
헌신	įsipareigojimas
헌신	įsipareigojimą
아시아인	azijiečių
투르쿠	turku
육각형	šešiakampės
번영	klestėjimas
번영	gerovės
번영	gerovė
번영	klestinčios
번영	klestinti
키리바시	kiribačio
히드라	hidra
계단식	kaskada
보행	pėsčiųjų
시청각	audiovizualinės
조지아인	gruzinai
하스	haas
다용도	daugiafunkcinis
대니얼스	daniels
환각	haliucinacijos
스퍼스	spurs
대답	atsakymas
대답	atsakyti
대답	atsakymai
브리	brie
지그재그	zigzago
동커스터	doncaster
스누커	snukeris
심비안	symbian
아르덴	ardėnai
루마니아인	rumunai
에스더	estera
소파	sofa
소파	sofos
소파	sofa
소파	sofos
이사야	isaiah
카펜터	carpenter
억제제	slopinimo
억제제	slopinimas
억제제	inhibitorius
칼루가	kalugos
굴뚝	kaminai
굴뚝	kaminų
목욕	maudytis
목욕	vonia
목욕	vonios
농사	ūkiai
농사	ūkininkavimo
따옴표	citatą
따옴표	citata
카프카	kafka
윌리엄슨	williamson
빗자루	šluota
샤푸르	šapuras
테라스	terasa
테라스	kiemo
진화론	evoliucija
나치즘	nacizmas
나치즘	nacių
꽃가루	žiedadulkės
니트로	nitro
연락처	paskiria
연락처	kontaktas
규율	disciplinos
규율	drausmė
규율	disciplina
찬미	pagirti
윤아	yoon
글로버	glover
행복해	laiminga
행복해	laimingas
행복해	laimingi
경쟁자	konkurentai
경쟁자	konkurentas
경쟁자	konkurentų
경쟁자	konkurentai
낙농	pieno
엘라	ella
리트리버	retriveris
히카루의	hikaru
겸손한	kuklus
헥터	hektoras
므앙	mueang
드라이빙	vykdymo
라이오넬	lionel
보스니아인	bosnijos
온스	uncijos
메간	megan
호스로	chosrovas
착각	iliuzija
착각	klysta
독감	gripas
티투스	titas
투발루	tuvalu
핑거	pirštas
핑거	pirštą
꽃다발	puokštė
트라이애슬론	triatlono
유니티	vienybės
유니티	vienybė
동물들	gyvūnai
동물들	gyvuliai
동물들	gyvūnų
안토니우스	antanas
안토니우스	antonijus
마르부르크	marburgo
루블린	liublino
마하라슈트라	maharaštros
먀오리	miaoli
매들린	madeline
화이팅	antradienis
화이팅	antradienį
헉슬리	huxley
미디엄	vidutinės
멤버십	lojalumo
왜소은하	nykštukų
짜장면	išspausti
명명법	nomenklatūros
명명법	nomenklatūra
명명법	paskyrimas
프랑켄	frankonija
셀틱스	celtics
앳킨슨	atkinson
마사지	masažo
마사지	masažas
엘레베이터	keltuvai
지우기	ištrinti
지우기	ištrinti
콘트라	contra
호두	riešutai
호두	riešutų
후지쯔	fujitsu
평점	reitingų
평점	reitingas
평점	įvertinimas
평점	įvertis
평점	reitingais
평점	reitingų
평점	reitingai
관료제	biurokratija
관료제	biurokratijos
유연성	lankstumas
유연성	lankstumo
에스텔	estera
슬로바키아어	slovakijos
벨로드롬	velodromas
나선형	spiralę
피카르	pikardų
베아트리스	beatrice
폼페이	pompėja
관절염	artritas
샌드	smėlis
다이족	dai
멜러니	milda
아르노	arno
단검	durklas
호야	ežeras
카네이션	gvazdikų
서핑	surf
비하르	biharas
ㅋㅋㅋ	lol
비프	jautiena
비프	jautienos
배신자	išdavikas
파비안	fabian
메기	šamas
팔찌	apyrankė
팔찌	apyrankės
올빼미	pelėda
무라트	muradas
따돌림	patyčias
디아즈	diaz
팰콘	sakalas
스파	spa
상쾌한	atgaiva
상쾌한	atnaujinama
헨드릭스	hendriksas
헨드릭스	hendrix
배선	laidų
배선	instaliacijos
배선	laidai
완료되었습니다	atliktas
완료되었습니다	baigtos
웰빙	sveikatingumo
수성은	gyvsidabris
수성은	gyvsidabrio
공주님	princesė
공주님	princese
공주님	princesės
씹는	kramtomosios
찬송가	giesmių
비동기	asinchroninis
그레이하운드	greyhound
버림	apleistas
버림	apleista
견학	ekskursija
완벽	tobulos
완벽	tobulas
완벽	tobula
완벽	įvaizdžio
대니엘	daniele
미드나이트	vidurnakčio
분비	sekrecijos
분비	sekrecija
미니어처	miniatiūriniai
정답	atsakymas
정답	atsakyti
우선순위	prioritetai
봄베이	bombėjuje
해결책	sprendimai
허드	hurd
플라타	plata
무엇이든지	nesvarbu
사다리꼴	trapecinė
곰팡이	grybas
곰팡이	grybai
자두	slyvų
자두	slyvos
자두	slyvos
탐라	tomas
탐라	tom
쿼츠	kvarco
휴버트	hubert
키르케고르	kierkegaard
웨일스어	velso
림프	limfa
흐림	dima
그레이시	gracie
피스톨	pistoletas
스미스소니언	smithsonian
웨스트우드	westwood
캐럴라인	karolina
엑서터	exeter
나뭇가지	filialai
나뭇가지	šakos
현무암	bazaltas
시저스	iškovota
주입	injekcija
버라이즌	verizon
트라우마	trauma
페더러	federer
아카시아	akacijų
소로	thoreau
이레네	irena
치명적	mirtina
치명적	mirtini
치명적	mirtina
치명적	mirtinų
튜닝	derinimu
시라노	sirano
캘커타	kalkutos
레트로	retro
반죽	mišinys
반죽	tešla
반죽	tešlos
사마르칸트	samarkandas
플롯	kreivės
플롯	sklypų
쿼리	užklausas
아람어	aramėjų
버티지	vertigo
밝아	šviesus
밝아	šviesi
헨트	gent
베가스	vegasą
청소부	siurblys
로봇과	robotai
수트	kostiumas
프리미어십	premiership
크라우스	krause
핸들	apdoroti
핸들	rankena
핸들	tvarkyti
파우더	milteliai
파우더	miltai
헬싱보리	helsingborgo
부줌부라	bužumbūra
시모네	simona
정신의학	psichiatrijos
게시물	postų
게시물	pareigybės
게시물	įrašai
눈금	erkių
볼테르	voltaire
메탈리카	metallica
레버	svertas
레버	svirties
설치하기	diegiamos
산딸기	uogos
수혈	perpylimas
피시	žuvis
피시	žuvys
피시	žuvų
게이밍	žaidimai
게이밍	lošimų
타협	kompromisas
보퍼트	beaufort
아스날	arsenal
혼합물	mišinys
헤드폰	ausinės
반달리즘	vandalizmo
스프링스	spyruoklės
돛자리	vela
아이테니엄	itanium
머스탱	mustang
알바레스	alvarez
감추기	nuslėpti
크레이머	kramer
경작	auginti
경작	auginimas
경작	auginamos
플랜테이션	plantacija
낭비	veltui
낭비	atliekos
피난민	pabėgėliai
피난민	pabėgėlių
콜라보	kokso
콜라보	koksas
헤밍웨이	hemingvėjus
링링	žiedas
실증주의	pozityvizmas
유탄	granata
왕따	patyčias
크루저	kreiseris
다이내믹	dinamiška
다이내믹	dinaminis
다이내믹	dinaminė
템페스트	tempest
콘돔	prezervatyvų
이스라엘인	izraelitai
감쇠	slopinimas
프란치스코회	pranciškonai
외과의	chirurgas
외과의	chirurgai
신분증	identifikavimo
신분증	identifikacija
신분증	identifikavimas
연이	aitvaras
수달	ūdra
발기	erekcijos
다기능	daugiafunkcis
파인만	feynman
약초	žolelių
식초	actas
조지아어	gruzijos
조지아어	gruzija
조지아어	gruzijos
전지현	baterija
전지현	akumuliatorius
전지현	baterijos
주메이라	palmė
울었다	verkė
스토	stowe
베이킹	kepimo
레오니드	leonidas
애국자	patriotas
애국자	patriotai
비장	blužnies
제임스타운	džeimstaunas
노랑색	geltona
신생아	naujagimio
신생아	naujagimiams
신생아	naujagimių
신생아	naujagimio
신생아	naujagimiui
신생아	naujagimių
파라마리보	paramaribas
꿀벌	bitės
꿀벌	bičių
꿀벌	bi
월급	atlyginimas
만족도	pasitenkinimo
만족도	pasitenkinimas
화난	pikta
화난	pikti
화난	piktas
소포	sklypas
최면	hipnozė
나스닥	nasdaq
궁금해	įdomu
코헨	cohen
포즈	kelia
브릭스	brics
자폐증	autizmo
우르두어	urdu
스카웃	skautų
스프레이	purslų
데이토나	daytona
싱크로	užimtumą
부검	skrodimo
램버트	lambert
상상력	vaizduotę
가을이	rudenį
가을이	ruduo
바구니	krepšelį
바구니	krepšys
바구니	krepšelius
앵그리	pikta
앵그리	pikti
앵그리	piktas
팰컨	sakalas
팰컨	sakalai
아코디언	akordeonas
일렉트로닉스	elektronikos
앨프레드	alfredas
형제단	brolija
여공작	hercogienė
신앙고백	išpažinties
홉스	hobsas
홉스	hobbes
복종	paklusti
에쿠스	equus
식구들	fam
충동	impuls
양쯔강	jangdzė
가이드북	gide
암호학	kriptografija
금기	tabu
발송	vežimas
발송	laivybos
발송	laivyba
발송	shipping
발송	siunta
발송	krovinys
발송	siuntimas
화성인	marso
황홀한	ekstazės
사무원	tarnautojas
태스크	uždaviniai
태스크	užduotys
회계사	buhalteris
보디빌더	fitneso
쿠마시	kumasis
앵거스	angus
블루베리	mėlynių
기침	kosulys
스프	sriubos
창자	žarnyną
기억하기	prisiminti
덴마크인	danai
융자	paskolos
융자	paskola
호바트	hobartas
리투아니아어	lietuvos
리투아니아어	lietuvių
리볼버	revolveris
혈소판	trombocitų
보루	bastionas
그로브	grove
로딩	pakrovimo
메리어트	marriott
자비로	gailestingas
열거	skaičiavimas
루저	nevykėlis
두브로브니크	dubrovnik
모빌리티	mobilumo
모빌리티	mobilumas
크로포드	crawford
마그레브	magrebo
디자이너가	dizaineris
프리깃	fregata
사이먼스	simons
혼동	sutrikimą
혼동	sumišimas
혼동	painioti
웨이팅	būdu
웨이팅	būdas
품목	elementų
이니셔티브	iniciatyvas
이니셔티브	iniciatyvos
지렁이	kirmėlių
사진사	fotografė
사진사	fotografas
사진사	fotografai
콩나물	daigai
캐시디	cassidy
말리부	malibu
김나지움	gimnazija
관타나모	gvantanamo
안마	masažo
안마	masažas
러블리	gražios
러블리	miela
아라스	arasas
몽골인	mongolai
엘리자	elzė
자원봉사자	savanorišką
살렘	salem
이글레시아스	iglesias
번역기	vertimo
번역기	vertimas
샤머니즘	šamanizmas
런어웨이	nevaldomas
체온	temperatūrą
체온	temperatūra
캐럿	karato
건축학	architektūra
리보니아	livonija
배당	dividendų
배당	dividendų
배당	dividendai
멋쟁이	sniegena
사이프러스	cyprus
다르푸르	darfūro
도매	didmeninės
스코트어	škotų
디킨슨	dickinson
후지필름	fujifilm
로디지아	rodezijos
비글	skalikų
바스케스	vazquez
케이브	urvas
아파	nesveikas
아파	serga
아파	skauda
꾸미기	dekoruoti
단풍나무	klevų
코르벳	corvette
코르벳	corbett
랴잔	riazanės
포보스	fobas
그레고리우스	gregory
포르노그래피	pornografija
포르노그래피	pornografijos
포르노그래피	porno
크로스파이어	crossfire
아스트라한	astrachanės
피드	pašarų
피드	pašaras
피드	pašarai
피드	maitina
시퀀스	sekas
시퀀스	seka
대변	išmatos
웰시	velso
슬라브어	slavų
헬리오스	helios
선반	lentynos
베아트릭스	beatričė
키미	kimi
휘트먼	whitman
아크릴	akrilo
텔레그래프	telegrafas
두루미	kranas
침체	recesija
침체	nuosmukis
베팅	lažybų
클리퍼스	kirpimo
즐겨찾기	mėgstamiausių
광기	beprotybė
광기	beprotybė
