the	os
starting	começando
starting	iniciando
architecture	arquitetura
architecture	arquitectura
relations	relações
supported	apoiado
supported	suportados
supported	suportadas
supported	suportada
supported	suportado
tracks	trilhas
tracks	trilhos
tracks	faixas
contract	contrato
face	cara
face	carinha
face	rosto
face	face
directly	diretamente
directly	directamente
spent	gasto
spent	gastei
spent	passou
spent	gastos
spent	gastou
girl	menina
girl	moça
girl	miúda
girl	rapariga
girl	garota
clearly	claramente
junior	júnior
junior	junior
francisco	francisco
politics	politica
politics	política
presented	apresentado
presented	apresentadas
presented	apresentados
mar	mar
cause	causa
cause	cause
volume	volume
volume	volumes
caused	causado
caused	causou
caused	causados
caused	causada
tom	tom
flight	voo
flight	vôo
candidate	candidata
candidate	candidato
candidate	candidatos
matches	partidas
matches	correspondências
matches	fósforos
claimed	alegado
claimed	reivindicado
claimed	alegou
claimed	reclamou
except	excepto
except	exceto
oil	azeite
oil	óleo
oil	petróleo
oil	óleos
assistant	assistente
surface	superficie
surface	superfície
regiment	regimento
stories	histórias
represented	representada
represented	representado
represented	representados
represented	representadas
represented	representou
weeks	semanas
listing	listagem
listing	listar
allow	permitir
allow	permita
branch	ramo
branch	sucursal
branch	branch
retired	aposentado
retired	reformado
retired	reformados
retired	aposentados
communities	comunidades
train	treinar
train	trem
train	comboio
train	comboios
paper	paper
paper	papel
adding	adicionando
adding	adição
adding	acrescentando
provides	fornece
provides	provê
provides	proporciona
provides	providencia
remains	permanece
remains	restos
victoria	victória
victoria	vitoria
victoria	victoria
victoria	vitória
metal	metais
metal	metal
wrong	errado
wrong	errada
direct	directa
direct	direta
direct	diretos
direct	direct
direct	direto
frank	frank
miles	miles
miles	quilómetros
miles	milhas
blocked	bloqueada
blocked	bloqueados
blocked	bloqueou
blocked	bloqueado
launched	lançado
launched	lançou
launched	lançada
mass	missa
mass	massa
chairman	presidente
comedy	comédia
relationship	relacionamentos
relationship	relacionamento
relationship	relação
knowledge	conhecimento
knowledge	conhecimentos
format	formato
format	formatar
format	formatação
creek	creek
creek	riacho
meeting	encontro
meeting	reunião
failed	falhado
failed	falha
failed	falhou
officers	oficiais
draft	rascunho
draft	draft
goes	goes
fight	luta
fight	briga
fight	combate
fight	lute
fight	fight
figure	figura
figure	figure
faculty	faculdade
camp	acampamento
camp	camp
camp	campo
ran	correu
ran	correram
ran	corri
variety	variedade
variety	variety
owner	dona
owner	proprietária
owner	dono
owner	proprietário
statistics	estatísticas
statistics	estatística
raised	criado
heavy	pesado
heavy	heavy
heavy	pesadas
heavy	pesados
heavy	pesada
alexander	alexandre
alone	alone
alone	sozinha
alone	sozinho
alone	sozinhos
understand	entende
understand	compreender
understand	entenda
understand	entender
episodes	episódios
gives	confere
gives	dá
educational	educacionais
educational	educação
educational	educacional
educational	educativo
daily	diariamente
daily	diários
daily	diário
daily	diária
williams	williams
latin	latim
latin	latino
latin	latinos
latin	latina
completely	totalmente
completely	completamente
products	produtos
dark	dark
dark	escura
dark	sombrio
dark	escuro
attention	atençao
attention	atenção
religion	religiões
religion	religião
von	von
mind	mind
mind	mente
oppose	opor
corps	corps
administrative	administrativa
administrative	administrativos
administrative	administrativas
administrative	administrativo
cut	corta
cut	cut
cut	corte
cut	cortar
scott	scott
footballer	futebolista
jean	jean
mayor	prefeito
mayor	mayor
pro	pro
pro	pró
beach	praia
beach	praias
descent	ascendência
descent	descida
nearly	quase
leaving	saindo
leaving	partindo
leaving	deixando
leaving	deixar
highly	altamente
cast	gesso
cast	elenco
territory	territórios
territory	território
write	escreve
write	escreva
write	escrever
towns	vilas
forms	formas
forms	impressos
forms	formulários
joe	joe
inside	dentro
inside	inside
wanted	procurada
wanted	queria
wanted	procurado
wanted	procurados
solid	sólidos
solid	sólido
solid	sólida
individuals	indivíduos
authority	autoridade
mention	mencionar
mention	menção
projects	projectos
projects	projetos
del	del
continue	continue
continue	continuem
continue	continuar
continue	continua
cost	custo
cost	cost
cost	custos
vice	vício
vice	vice
drive	conduzir
drive	conduza
drive	conduz
drive	drive
notice	aviso
johnson	johnson
forced	forçadas
forced	forçada
forced	forçado
forced	forçou
forced	forçados
looks	parece
looks	looks
looks	olhares
reasons	motivos
reasons	razões
job	emprego
job	job
job	trabalho
job	jó
photo	foto
photo	fotografia
hope	esperança
hope	hope
hope	esperanças
log	log
parents	pais
entered	entraram
entered	entrou
mike	mike
basic	básicas
basic	básica
basic	basic
basic	básico
basic	básicos
scientific	científico
scientific	científica
amount	quantia
amount	quantidade
amount	montante
spring	spring
spring	primavera
spring	mola
oxford	oxford
kong	kong
opera	opera
opera	ópera
opera	óperas
tried	tentaram
tried	tentou
tried	tentei
tried	tentado
critical	críticas
critical	crítico
critical	critica
critical	críticos
critical	crítica
simple	simple
simple	simples
founder	fundador
founder	fundadora
hong	hong
told	contada
husband	marido
husband	esposo
useful	utilidade
useful	útil
useful	úteis
technical	técnicos
technical	técnico
technical	técnica
necessary	necessários
necessary	necessário
necessary	necessária
necessary	necessario
believed	acreditou
believed	acreditavam
believed	acreditava
operated	operado
operated	operou
operated	operados
mountains	montanhas
importance	importancia
importance	importância
musicians	músicos
hotel	hotel
girls	girls
girls	miúdas
girls	garotas
girls	raparigas
girls	meninas
crew	crew
crew	tripulação
feb	fev
feb	fevereiro
boy	garoto
boy	boy
boy	moço
boy	rapaz
boy	menino
ontario	ontário
nation	nação
nation	nation
defense	defesa
wiki	wiki
champions	campeões
champions	champions
golden	dourada
golden	dourados
golden	golden
golden	ouro
golden	dourado
districts	bairros
districts	distritos
faith	fé
faith	faith
racing	racing
racing	corridas
racing	corrida
mainly	principalmente
auto	auto
auto	automático
lives	lives
lives	mora
lives	vidas
lives	vive
swedish	suecos
swedish	sueco
swedish	sueca
hot	quente
hot	gostosa
hot	gostosas
entertainment	entretenimento
entertainment	entertainment
net	net
net	líquido
net	líquidos
net	rede
soccer	soccer
soccer	futebol
creation	criação
product	produto
tower	torre
tower	tower
increased	aumentado
increased	aumentados
increased	aumentou
increased	aumentada
votes	votações
votes	votação
votes	votos
votes	vota
squadron	esquadrilha
squadron	esquadrão
contemporary	contemporâneo
contemporary	contemporâneos
contemporary	contemporâneas
contemporary	contemporânea
subsequently	posteriormente
subsequently	subsequentemente
focus	focar
focus	focus
focus	foco
marriage	casamento
marriage	matrimônio
questions	questões
questions	perguntas
naval	naval
details	pormenores
details	detalhes
forward	forward
forward	encaminhar
forward	avante
memorial	memorial
peace	paz
kept	manteve
kept	mantidos
kept	mantidas
kept	mantido
kept	mantida
iran	irã
iran	irão
korea	coréia
korea	korea
korea	coreia
analysis	analise
analysis	análises
analysis	análise
winners	vencedores
winners	ganhadores
winners	vencedoras
poor	coitado
poor	pobre
poor	pobres
grade	grau
cricket	grilo
cricket	cricket
cricket	críquete
judge	juíz
judge	juíza
judge	juiz
judge	julgar
electric	elétricos
electric	eléctricos
electric	elétrica
electric	elétrico
exist	existem
exist	existir
exist	existirem
corporation	corporation
corporation	corporação
hold	segure
hold	hold
hold	segurar
hold	segura
campus	campus
brazil	brazil
brazil	brasil
chris	chris
chris	cris
beyond	beyond
beyond	além
fifth	quinto
fifth	quinta
increase	aumente
increase	aumentem
increase	aumento
increase	aumentar
increase	aumenta
summary	síntese
summary	resumo
summary	sumário
remaining	remanescente
remaining	restante
remaining	restantes
remaining	permanecendo
statement	declaração
statement	afirmação
statement	extrato
broadcast	difusão
broadcast	emissão
broadcast	radiodifusão
broadcast	transmissão
getting	obtendo
getting	recebendo
getting	ficando
piano	piano
des	des
novels	novelas
novels	romances
serving	servindo
serving	servir
hour	hora
moving	movendo
resolution	resolução
concept	conceito
alternative	alternativo
alternative	alternativas
alternative	alternativa
brothers	irmãos
brothers	brothers
brothers	irmaos
attacks	ataca
attacks	atentados
attacks	ataques
encyclopedia	enciclopédia
republican	republicana
republican	republicanos
republican	republicano
representatives	representantes
politicians	políticos
politicians	politicos
difficult	dificil
difficult	difíceis
difficult	difícil
ability	habilidade
ability	capacidade
studied	estudou
studied	estudados
studied	estudado
studied	estudada
host	organizador
host	hospedeiro
host	anfitrião
host	host
host	apresentador
host	acolhimento
wall	parede
wall	muro
wall	mural
wall	muralha
immediately	imediato
immediately	imediatamente
urban	urban
urban	urbano
urban	urbana
urban	urbanas
urban	urbanos
pakistan	paquistão
marine	marinha
marine	marine
marine	marinho
marine	marinhos
physical	física
physical	físicas
physical	fisico
physical	físicos
physical	físico
dec	dezembro
dec	dec
troops	tropas
troops	tropa
interview	entrevista
coming	vindo
coming	chegando
semi	semi
suggest	sugere
suggest	sugerir
suggest	sugira
emperor	imperador
emperor	imperadores
letter	letra
letter	carta
couple	casal
duke	duque
duke	duke
tell	conte
tell	diz
tell	diga
gallery	galeria
follow	siga
follow	segue
follow	seguir
follow	sigam
follow	follow
windows	windows
windows	janelas
tree	árvore
tree	arvore
hits	sucessos
hits	hits
hits	acertos
jazz	jazz
protection	proteção
protection	protecção
relevant	pertinente
relevant	relevante
relevant	pertinentes
relevant	relevantes
count	conde
count	conte
count	count
count	contagem
situation	situação
reviews	críticas
reviews	resenhas
reviews	opiniões
reviews	avaliações
containing	contendo
classical	clássica
classical	clássicos
classical	clássicas
classical	clássico
offered	ofereceu
offered	oferecido
offered	oferecidos
offered	oferecida
lady	moça
lady	senhora
lady	dama
netherlands	holanda
reports	relatórios
reports	denúncias
influence	influencia
influence	influência
influence	influências
influence	influenciar
address	morada
address	endereço
linear	linear
linear	lineares
consider	considerem
consider	considerar
consider	considere
consider	considera
machine	maquinas
machine	máquina
machine	maquina
domain	domínio
domain	dominio
elements	elementos
minnesota	minnesota
types	tipos
nov	nov
serve	sirva
serve	servir
serve	serve
serve	servi
sydney	sidney
sydney	sydney
ministry	ministério
blood	sangue
blood	blood
distance	distância
distance	distâncias
distance	distancia
bottom	fundo
bottom	bottom
giving	dar
giving	dando
boys	boys
boys	rapazes
boys	meninos
boys	rapaziada
boys	garotos
potential	potencialidades
potential	potencial
potential	potenciais
toronto	toronto
edited	editado
edited	editada
infantry	infantaria
jun	jun
formerly	anteriormente
formerly	antigamente
oct	toc
oct	out
conflict	conflito
conflict	conflitos
workers	trabalhadores
workers	operários
workers	trabalhadoras
steve	steve
philadelphia	filadélfia
philadelphia	philadelphia
helped	ajudei
helped	ajudou
helped	ajudaram
helped	ajudado
der	der
nationality	nacionalidade
dispute	litígio
dispute	contestação
dispute	disputa
dispute	contestar
scene	cena
method	método
titles	títulos
berlin	berlim
conditions	condições
arms	braços
arms	armamento
arms	arms
races	raças
races	corridas
maybe	talvez
discovered	descobriram
discovered	descoberta
discovered	descoberto
discovered	descobertos
iron	ferro
extended	estendida
extended	prolongado
extended	estendido
extended	alargado
churches	igrejas
positive	positivos
positive	positivas
positive	positivo
positive	positiva
santa	santa
nom	nom
longew	longew
imperial	imperiais
imperial	imperial
composed	composta
latns	latns
ball	bola
ball	ball
width	largura
quickly	rápido
quickly	rapidamente
correct	corrija
correct	correcta
correct	correto
correct	corrigir
responsible	responsável
responsible	responsáveis
possibly	possivelmente
indiana	indiana
soldiers	soldados
examples	exemplos
korean	coreana
korean	coreano
korean	coreanos
genre	género
genre	gênero
fish	peixes
fish	peixe
senate	senado
effects	efeitos
gun	pistola
gun	gun
gun	arma
check	verificar
check	verifique
check	confira
check	verificação
appearances	aparências
appearances	aparições
plans	planos
renamed	renomeada
renamed	renomeado
sign	assine
sign	signo
sign	assina
sign	assinar
sign	sinal
reporting	denunciar
reporting	relatórios
sweden	suécia
consists	consiste
heritage	heritage
heritage	património
heritage	patrimônio
heritage	herança
tag	marcar
tag	marca
tag	marque
tag	etiqueta
tag	tag
primarily	principalmente
primarily	primariamente
doctor	doutor
doctor	médica
doctor	doutora
doctor	doctor
doctor	médico
leaders	lideres
leaders	dirigentes
leaders	líderes
lies	mentiras
inc	inc
rivers	rios
crime	criminalidade
crime	delito
crime	crime
liberal	liberais
liberal	liberal
stand	stand
bob	bob
bob	beto
existing	existindo
existing	existente
existing	existentes
publishing	publicar
publishing	edição
publishing	publicação
publishing	publicando
industrial	industrial
industrial	industriais
answer	responde
answer	resposta
answer	responder
answer	responda
split	dividir
split	split
apr	abr
sex	sex
sex	sexo
mixed	mista
mixed	misturados
mixed	misturado
mixed	misto
acting	deliberando
acting	atuando
acting	atuação
personnel	pessoal
rail	ferroviário
rail	carril
die	morra
die	die
die	morram
die	morre
die	morrer
premier	premier
approach	abordagem
approach	aproximação
wisconsin	wisconsin
sentence	frase
sentence	sentença
root	raízes
root	raiz
root	root
root	raíz
ago	atrás
standards	normas
standards	padrões
comics	quadrinhos
comics	comics
comics	gibis
earned	ganhou
earned	merecido
earned	ganhado
miss	saudades
miss	menina
miss	saudade
specifically	especificamente
horse	cavalos
horse	cavalo
contributions	contributos
contributions	contribuições
lieutenant	tenente
wood	madeiras
wood	madeira
plants	plantas
plants	usinas
initial	inicial
initial	iniciais
origin	origem
environment	ambiente
pretty	bonito
pretty	bonita
pretty	pretty
rank	patente
rank	rank
rank	posto
bus	autocarro
bus	ônibus
bus	autocarros
gas	gas
gas	gás
gas	gases
direction	direção
direction	direcção
guide	guia
resources	recursos
affairs	assuntos
accepted	aceitos
accepted	aceites
accepted	aceitado
accepted	aceite
accepted	aceita
accepted	aceito
animals	animais
nor	nem
nor	nor
activity	atividades
activity	atividade
activity	actividade
levels	níveis
laws	leis
jim	jim
creating	criando
creating	criar
creating	criação
cambridge	cambridge
composer	compositor
composer	compositora
remove	remova
remove	remover
remove	eliminar
agency	agencia
agency	agência
reserve	reserva
reserve	reserve
reserve	reservar
atlantic	atlântica
atlantic	atlântico
supreme	supremo
supreme	suprema
weight	peso
ask	pergunte
ask	pedir
ask	pergunta
ask	perguntar
fighting	lutar
fighting	lutando
fighting	fighting
jackson	jackson
widely	amplamente
rose	rose
rose	rosa
operating	operando
operating	operar
treatment	tratamentos
treatment	tratamento
linked	vinculado
linked	ligados
linked	ligado
linked	ligada
andrew	andré
andrew	andrew
trial	julgamento
expanded	expandido
expanded	ampliado
expanded	expandida
expanded	expandiu
daniel	daniel
certainly	certamente
info	info
sciences	ciências
fame	fama
fame	fame
everything	everything
everything	tudo
avenue	avenida
avenue	avenue
travel	viajar
travel	viagem
travel	viaje
travel	viagens
scale	balança
scale	escalar
scale	escala
break	break
break	quebrar
break	quebra
break	pausa
oregon	oregon
housing	moradia
housing	habitação
produce	produza
produce	produzir
capacity	capacidade
#efefef	#efefef
fictional	ficção
fictional	fictício
fictional	ficcional
fictional	fictícia
exchange	troca
exchange	câmbio
exchange	intercâmbio
actions	acções
actions	ações
cited	citado
cited	citadas
cited	citada
cited	citados
typically	normalmente
typically	tipicamente
settlement	liquidação
settlement	povoamento
settlement	assentamento
agreement	acordo
agreement	concordância
translation	traduções
translation	tradução
males	machos
kansas	kansas
managed	geridos
managed	gerido
managed	conseguiu
bring	trazer
bring	tragam
bring	traga
bring	traz
charge	cobrar
fails	falha
dedicated	dedicada
dedicated	dedicados
dedicated	dedicado
nearby	imediações
residents	residentes
residents	moradores
piece	pedaço
piece	peça
growth	crescimento
trust	trust
trust	confiar
trust	confia
trust	confiança
trust	confie
applied	aplicados
applied	aplicado
applied	aplicadas
applied	aplicou
applied	aplicada
drums	bateria
drums	tambores
issued	emitida
issued	emitidos
issued	emitiu
issued	emitido
issued	emitidas
murder	assassinato
murder	assassínio
murder	homicídio
normal	normais
normal	normal
twenty	twenty
twenty	vinte
commonly	comumente
avoid	evitar
avoid	evita
avoid	evitem
avoid	evite
tony	tony
norwegian	noruegueses
norwegian	norueguesa
norwegian	norueguês
criteria	critérios
criteria	critério
context	contexto
suggested	sugerida
suggested	sugerido
suggested	sugeriu
suggested	sugestão
suggested	sugeridos
revolution	revolution
revolution	revolução
fully	plenamente
fully	totalmente
wars	wars
wars	guerras
prominent	proeminente
prominent	proeminentes
aug	ago
aug	agosto
leaves	folhas
advanced	avançados
advanced	avançado
advanced	avançada
advanced	advanced
advanced	avançadas
distribution	repartição
distribution	distribuição
medicine	remédio
medicine	medicina
garden	jardim
garden	horta
reach	alcance
reach	alcança
reach	reach
reach	alcançar
turkey	turquia
females	fêmeas
females	mulheres
publications	publicações
impact	impact
impact	impacte
impact	impacto
impact	impactos
households	famílias
survey	inquérito
height	altura
morning	manhã
morning	morning
honor	honra
honor	honor
deep	profunda
deep	profundo
deep	deep
argument	argumento
argument	argumentação
argument	argumentar
argument	argumentos
publication	publicação
arthur	arthur
arthur	artur
elizabeth	isabel
elizabeth	elizabeth
disambiguation	desambiguação
worth	valendo
worth	worth
colorado	colorado
median	mediana
median	mediano
maryland	maryland
falls	cai
falls	quedas
falls	cataratas
falls	falls
zone	zona
zone	zone
solo	solo
learning	aprender
learning	aprendizado
learning	aprendizagem
learning	aprendendo
pay	pagar
pay	paga
pay	pague
choice	escolha
vol	vol
flag	pavilhão
flag	bandeira
engineer	engenheira
engineer	engenheiro
cars	automóveis
cars	carros
farm	fazenda
farm	quintas
farm	quinta
wilson	wilson
principal	principal
acquired	adquirida
acquired	adquiridos
acquired	adquiridas
acquired	adquirido
constructed	construída
constructed	construídos
constructed	construído
secret	segredo
secret	secret
secret	secreto
secret	secreta
poet	poeta
poet	poetisa
build	construir
build	construa
build	build
build	constrói
remain	permanecer
remain	permaneça
orchestra	orchestra
orchestra	orquestra
versions	versões
fixed	fixo
fixed	fixas
fixed	fixos
fixed	corrigido
fixed	fixa
efforts	esforços
documentary	documentário
equipment	equipamentos
equipment	equipamento
ray	raia
ray	ray
yellow	amarelo
yellow	amarelos
yellow	amarela
guard	guarda
pressure	pressões
pressure	pressão
grant	subvenção
grant	grant
prison	prisão
prison	cárcere
freedom	liberdade
freedom	liberdades
freedom	freedom
norway	noruega
store	conservar
store	loja
store	armazenar
taylor	taylor
quarter	quarter
quarter	trimestre
designated	designados
designated	designada
designated	designado
designated	designadas
independence	independência
independence	independence
platform	plataforma
rome	roma
teacher	professora
teacher	professor
copy	copiar
copy	cópia
copy	copie
effort	esforços
effort	esforço
nuclear	nuclear
nuclear	nucleares
pictures	fotografias
pictures	fotos
pictures	imagens
models	models
models	modelos
sep	sep
everyone	todos
easily	facilmente
thank	agradecer
description	descrição
agreed	acordado
agreed	concordou
institutions	instituições
covers	tampas
covers	covers
covers	abrange
covers	coberturas
covers	capas
facilities	facilidades
facilities	instalações
target	alvo
target	target
stack	pilha
stack	stack
stack	empilhar
rationale	fundamentação
combined	combinada
combined	combinadas
combined	combinado
combined	combinados
bronze	bronze
hosted	alojado
hosted	hospedado
programming	programação
sri	sri
railroad	ferrovia
unique	únicos
unique	único
unique	única
unique	únicas
defined	definida
defined	definidos
defined	definidas
defined	definiu
defined	definido
ocean	oceanos
ocean	oceano
cell	cell
cell	célula
cell	cela
missouri	missouri
concert	concerto
concert	concertos
concert	concert
improve	melhorar
improve	melhora
improve	melhore
biography	biografia
loan	empréstimo
contact	contacto
contact	contato
holy	santo
tennessee	tennessee
sub	sub
safety	segurança
competed	competiu
competed	competiram
stephen	marcelo
stephen	estêvão
stephen	stephen
policies	políticas
painting	pintar
painting	pintura
painting	pintando
price	preço
price	preços
price	price
entirely	inteiramente
mexican	mexicanos
mexican	mexicana
mexican	mexicanas
mexican	mexicano
leadership	liderança
flying	voando
flying	voar
flying	flying
message	recado
message	mensagem
municipal	municipal
serious	sério
serious	séria
serious	serio
serious	grave
headquarters	sede
headquarters	sedes
officially	oficialmente
cemetery	cemitério
memory	memória
memory	lembrança
memory	memoria
fields	fields
fields	campos
generation	generation
generation	geração
join	participe
join	aderir
join	juntar
join	participar
copies	exemplares
copies	cópias
finals	finais
finals	final
fox	fox
fox	raposa
continues	continua
representative	representante
representative	representativo
representative	representativa
destroyed	destruídos
destroyed	destruído
destroyed	destruída
destroyed	arrasaram
feet	pés
guy	guy
philippines	filipinas
revealed	revelada
revealed	revelados
revealed	reveladas
revealed	revelou
revealed	revelado
organized	organizada
organized	organizados
organized	organizadas
organized	organizado
serves	serve
conservative	conservadora
conservative	conservadores
conservative	conservador
share	compartilhem
share	compartilhar
share	partilhar
share	partilha
share	compartilhamento
share	compartilhe
maria	maria
disease	doenças
disease	doença
sections	secções
sections	seções
philosophy	filosofia
ways	maneiras
arrived	chegou
arrived	chegaram
arrived	cheguei
divided	divididas
divided	dividida
divided	dividido
divided	divididos
divided	divido
floor	chão
floor	pavimento
floor	piso
floor	andar
longd	longd
logo	logo
logo	logótipo
logo	logotipo
meets	reúne
yard	estaleiro
yard	yard
yard	quintal
yard	pátio
cancer	câncer
cancer	cancro
cancer	cancer
offer	ofereça
offer	oferta
offer	oferecer
tax	impostos
tax	imposto
expected	esperava
expected	esperado
expected	esperados
expected	esperada
traffic	trânsito
traffic	tráfego
concerns	preocupações
graduated	formado
graduated	graduada
graduated	graduado
guest	convidado
guest	hóspede
guest	convidados
guest	guest
guest	convidada
jews	judeus
formation	formação
meant	significava
meant	significou
economy	economia
storm	tempestade
storm	storm
mile	milha
protected	protegida
protected	protegidas
protected	protegidos
protected	protegido
bowl	bowl
bowl	taça
bowl	tigela
letters	cartas
letters	letras
providing	proporcionando
providing	fornecendo
begins	começa
classic	clássica
classic	clássicos
classic	classic
classic	clássico
damage	dano
damage	danos
damage	estrago
harry	henrique
harry	harry
offers	oferece
offers	ofertas
davis	davis
challenge	desafio
challenge	challenge
views	vistas
views	visualizações
marked	marcadas
marked	marcou
marked	marcados
marked	marcado
marked	marcada
allows	permite
density	densidade
literary	literária
literary	literários
literary	literário
htm	htm
ben	ben
transportation	transportes
transportation	transporte
kentucky	kentucky
sales	sales
sales	vendas
fleet	frotas
fleet	frota
supporting	suportando
supporting	apoiar
supporting	apoiando
captured	capturado
captured	capturaram
captured	capturados
captured	capturadas
captured	capturada
extra	figurante
extra	extra
recognized	reconhecido
recognized	reconheci
recognized	reconhecidas
recognized	reconhecidos
recognized	reconhecida
arizona	arizona
compared	comparado
compared	comparada
compared	comparados
theme	temática
theme	tema
francis	francisco
francis	francis
moscow	moscou
moscow	moscovo
interested	interessada
interested	interessado
interested	interessados
interested	interessadas
heard	ouviu
heard	ouviram
heard	ouvido
heard	ouvi
behavior	comportamentos
behavior	comportamento
transferred	transferida
transferred	transferido
transferred	transferidos
transferred	transferidas
environmental	ambiental
musician	músico
starring	estrelando
assigned	atribuídos
assigned	atribuído
assigned	atribuída
assigned	atribuídas
seats	assentos
seats	lugares
seats	bancos
tennis	ténis
tennis	tênis
tennis	tenis
percent	porcentagem
percent	percentagem
logs	troncos
logs	toros
display	visualização
display	exibição
display	exibir
convention	convenção
convention	convenções
ring	ring
ring	ringue
ring	anel
joint	articulação
joint	joint
brian	brian
deputy	delegada
deputy	adjunto
deputy	deputado
deputy	delegado
planned	planeado
planned	planejou
planned	planejado
planned	planejada
planned	planeada
universities	universidades
yards	jardas
communist	comunistas
communist	comunista
agent	agente
difference	diferenca
difference	diferença
difference	diferenças
animal	animais
animal	animal
czech	tcheca
czech	checo
czech	tcheco
czech	checa
positions	posições
exactly	exatamente
exactly	exactamente
stay	ficar
stay	fica
stay	stay
stay	fique
titled	intitulado
combat	combate
palace	palácio
palace	palace
card	card
card	cartão
ordered	ordenados
ordered	ordenou
ordered	ordenado
opposition	oposição
attempts	tentativas
understanding	entendendo
understanding	compreender
understanding	compreendendo
understanding	entendimento
understanding	compreensão
wrestling	wrestling
critics	críticos
growing	crescendo
growing	crescente
establish	estabeleçam
establish	estabelecer
establish	estabeleça
hands	mãos
latm	latm
longm	longm
participated	participei
participated	participaram
participated	participou
revert	reverter
poetry	poesias
poetry	poesia
materials	materiais
turkish	turcos
turkish	turco
turkish	turca
turkish	turcas
paid	pagas
paid	pagou
paid	pagos
paid	paguei
paid	pago
paid	paga
promotion	promoção
apparently	aparentemente
battalion	batalhão
mobile	móvel
mobile	telemóvel
mobile	celular
mobile	móveis
additions	aditamentos
additions	acréscimos
additions	adições
row	rema
row	fila
row	fileira
row	row
shortsummary	shortsummary
merged	fundido
merged	fundidos
merged	fundiu
metropolitan	metropolitanas
metropolitan	metropolitana
metropolitan	metropolitano
metropolitan	metropolitan
figures	figuras
figures	números
existence	existência
eye	eye
eye	olho
eye	olhos
longs	anseia
louisiana	louisiana
louisiana	luisiana
lewis	lewis
melbourne	melbourne
austria	áustria
austria	austria
brigade	brigada
screen	tela
screen	ecrã
risk	risco
risk	riscos
lats	lats
ban	ban
ban	banimento
ban	banir
ban	proibição
labor	labor
legislative	legislativos
legislative	legislativo
legislative	legislativa
definition	definição
draw	desenhar
draw	desenhe
draw	desenha
draw	empate
draw	sorteio
application	aplicativo
application	aplicação
steel	aço
steel	siderurgia
presence	presença
expansion	expansão
earl	earl
earl	conde
max	max
max	máx
wild	selvagem
wild	wild
wild	selvagens
planning	planejamento
planning	planeamento
planning	planificação
comic	quadrinhos
comic	comic
comic	cômico
adopted	adoptado
adopted	adotou
adopted	adotado
adopted	aprovado
adopted	adotada
easy	facil
easy	fácil
easy	easy
easy	calma
plus	plus
happy	feliz
happy	happy
happy	felizes
acts	atos
acts	actos
classes	classes
classes	turmas
classes	aulas
iowa	iowa
grew	cresceram
grew	crescia
grew	cresceu
save	salvar
save	salva
save	save
save	salve
save	guardar
wins	vitórias
wins	ganha
wins	vence
theater	teatro
exists	existe
roles	cargos
roles	papeis
roles	funções
roles	papéis
chance	chance
chance	oportunidade
prevent	evitar
prevent	prevenir
prevent	impedir
linecolor	linecolor
candidates	candidatas
candidates	candidatos
object	objeto
object	objecto
felt	sentiram
felt	senti
felt	feltro
felt	sentiu
powers	potências
powers	poderes
powers	powers
powers	competências
birds	pássaros
birds	aves
spread	espalhe
spread	propagação
spread	espalhar
defeat	derrotas
defeat	derrotar
defeat	derrota
cape	cape
cape	cabo
cape	capa
identified	identificou
identified	identificado
identified	identificadas
identified	identificada
identified	identificados
regions	regiões
mine	meu
mine	mina
mine	minha
sides	laterais
sides	lados
jul	jul
showing	mostrando
teaching	ensinando
teaching	ensino
teaching	ensinar
guidelines	directrizes
guidelines	orientações
guidelines	diretrizes
simon	simon
simon	simão
simon	simón
depth	profundidade
lyrics	letra
lyrics	letras
christmas	natal
christmas	christmas
declined	recusou
declined	recusada
declined	recusado
greece	grécia
express	express
express	expresso
express	expressar
express	expressa
federation	federação
voivodeship	voivodia
journalist	jornalista
intelligence	inteligência
occurred	ocorreram
occurred	ocorreu
occurred	ocorrido
connection	ligação
connection	conexão
displayed	exibida
displayed	exibidos
displayed	exibidas
displayed	mostrado
displayed	exibido
portuguese	portugueses
portuguese	portugues
portuguese	português
portuguese	portuguesa
declared	declaradas
declared	declarada
declared	declarado
declared	declarou
declared	declarados
constitution	constituição
presidential	presidenciais
presidential	presidencial
sons	sons
sons	filhos
plot	trama
plot	conspiração
plot	parcela
plot	enredo
dates	datas
firm	firma
firm	firme
firm	firmeza
firm	firmes
ends	pontas
ends	termina
ends	extremidades
pilot	pilot
pilot	piloto
relatively	relativamente
receive	receber
receive	recebe
receive	recebem
receive	receba
educated	educado
educated	educada
educated	educados
manchester	manchester
queensland	queensland
americans	americanos
introduction	introdução
directors	diretores
directors	realizadores
directors	directores
vehicle	veículo
vehicle	veiculo
stock	estoque
stock	existências
stock	stock
vehicles	veículos
israeli	israelita
israeli	israelense
israeli	israelenses
israeli	israelitas
frequently	freqüentemente
frequently	frequentemente
hills	colinas
hills	hills
performing	realizando
northwest	noroeste
drug	fármaco
drug	droga
visit	visite
visit	visitar
visit	visita
portion	porção
residence	residence
residence	residência
walter	walter
pov	pov
interesting	interessante
interesting	interessantes
moon	lua
moon	moon
limit	limite
limit	limitar
minute	minuto
minute	minute
bell	campainha
bell	bell
bell	sininho
bell	sino
athletics	atletismo
reduced	reduzida
reduced	reduzidos
reduced	reduzidas
reduced	reduzido
wind	vento
wind	wind
oklahoma	oklahoma
architect	arquitecto
architect	arquiteto
architect	arquiteta
