като	soos
гражданство	nasionaliteit
гражданство	burgerskap
подготовка	voorbereiding
подготовка	voorbereidings
публий	publius
категории	kategorië
категории	kategorieë
народ	mense
политиката	beleid
политиката	politiek
отговор	antwoord
отговор	antwoord
технологии	tegnologieë
технологии	tegnologie
времена	tye
времена	kere
общи	generies
общи	generic
общи	generiese
общи	gemeen
общи	common
общи	gemeenskaplike
общи	herhaal
общи	algemene
общи	generaal
досега	voorheen
вещества	stowwe
поведение	gedrag
поведение	optrede
поведение	houding
поведение	gedrag
поведение	optrede
енциклопедия	ensiklopedie
енциклопедия	encyclopedia
знак	teken
знак	onderteken
функция	kommentaar
етап	phase
етап	fase
етап	verhoog
етап	stadium
етап	etage
приет	aanvaarde
приет	aanvaar
приет	aangeneem
офицери	beamptes
ранен	verwond
ранен	slagting
десет	tien
института	instituut
писмо	brief
писмо	letter
склонове	hellings
състезания	kompetisies
състезания	races
състезания	racing
състезания	resies
характеристики	kenmerke
характеристики	eienskappe
зимата	winter
загуба	verlies
певци	sangers
певци	singers
домакинства	huishoudings
кула	tower
кула	toring
формат	formateer
анализ	analise
тим	tim
културно	kulturele
науките	sciences
науките	wetenskappe
излъчване	uitgesaai
излъчване	uitsending
излъчване	uitsaai
излъчване	uitsaai
светлина	lig
светлина	ligte
светлина	lamp
допълнителни	addisionele
допълнителни	bykomende
допълнителни	ekstra
фамилия	van
органи	outoriteit
органи	owerhede
органи	organe
повърхността	oppervlak
обществени	openbare
обществени	openbaar
обществени	publieke
обществени	publiek
стопанство	plaas
уефа	uefa
юлий	julius
червен	rooi
затвор	uitdien
затвор	tronk
затвор	tronk
затвор	gevangenis
пристига	aankoms
пристига	arriveer
важно	belangrik
важно	belangrike
намалява	verminder
армения	armenië
поети	digters
единици	eenhede
теми	temas
теми	onderwerpe
теми	vakke
лидер	leier
търси	soek
търси	search
търси	deursoek
хилядолетие	millennium
сериозно	ernstige
сериозно	ernstig
сериозно	erg
включени	ingesluit
произвежда	produseer
улица	straat
холандия	nederlande
холандия	netherlands
холандия	nederland
холандия	holland
министри	ministers
арестуван	arrest
седмица	week
седмица	vakansie
изкуства	kunste
анджелис	angeles
свободен	gratis
свободен	vry
свободен	free
адолф	sailor
адолф	adolphe
адолф	adolf
свързана	verwante
свързана	verwant
свързана	verbind
свещеник	priest
гласуване	stem
дядо	oupa
природата	aard
природата	prent
природата	natuur
природата	nature
виктория	victoria
идеи	idees
речник	woordelys
речник	woordeskat
речник	woordeboek
партньор	vennoot
партньор	maat
партньор	lewensmaat
партньор	metgesel
полза	voordeel
полза	bevoordeel
йосиф	joseph
атака	aanval
мъжка	manlike
мъжка	mannetjie
чужбина	overseas
чужбина	oorsese
ляв	gelaat
класа	klas
създадени	geskep
войводство	woiwodskappe
финал	finale
финал	finaal
чин	chin
изборите	verkiesing
нощта	aand
нощта	aande
нощта	nag
ресурси	hulpbron
ресурси	hulpbronne
сен	sen
сен	sep
потребители	gebruikernaam
потребители	gebruikers
потребители	verbruikers
специалност	spesialiteit
самолет	vliegtuig
самолет	vliegtuig
чили	chilli
чили	chili
секция	seksie
секция	afdeling
предава	stuur
венецуела	venezuela
патриаршия	patriargaat
македонска	macedoniese
градина	tuin
науката	wetenskap
ниска	lae
судан	soedan
дейности	aktiwiteite
дейности	aktief
научно	wetenskaplike
научно	wetenskaplik
приблизително	benaderde
приблизително	ongeveer
жанрове	genres
централен	sentrale
централен	sentraal
бяха	was
бяха	were
тур	toer
тур	tour
дел	dell
ученици	studente
ученици	leerders
австрийски	oostenrykse
санта	santa
важен	belangrik
важен	belangrike
ернст	ernst
вестници	koerant
вестници	koerante
вестници	papers
решения	besluite
решения	oplossings
насау	nassau
марко	marko
марко	marco
клетки	selle
клетки	hokke
бозайник	soogdier
необходимо	nodige
сваляне	aflaai
промишленост	bedryf
агенция	agentskap
учители	onderwysers
карти	kaarte
карти	kaarte
кино	cinema
лицето	gesiggie
лицето	gesig
киселина	suur
оставя	blare
традиция	tradisie
инструмент	instrument
градче	town
слабо	swak
свързан	geassosieerde
свързан	geassosieer
свързан	verwante
свързан	verwant
свързан	verbind
паметници	monumente
модели	modelle
северозапад	noordwes
летище	lughawe
уилямс	williams
природа	aard
природа	prent
природа	natuur
природа	nature
мисията	missie
мисията	sending
събитие	aktiwiteite
събитие	geleentheid
финландия	finland
франц	franz
островите	eilande
версии	weergawes
монтана	montana
милано	milaan
милано	milan
милано	milano
парламента	parlement
сценарий	draaiboek
сценарий	scenario
шарл	karel
шарл	charles
сръбска	serwies
оръжия	wapens
оръжия	bewapen
оръжия	vuurwapens
оръжия	arms
инженер	engineer
инженер	ingenieur
диалект	dialek
тежки	swaar
тежки	severe
нос	kaap
нос	neus
международна	internasionaal
международна	internasionale
горно	gorno
нобелова	nobel
прага	prague
прага	praag
британска	brits
черни	swart
черни	blacks
картата	kaart
труда	arbeid
труда	labour
търсене	soek
търсене	search
търсене	deursoek
процеси	probeerslae
процеси	prosesse
предложение	bied
предложение	aanbod
предложение	voorstel
сборник	compendium
директно	direk
директно	rig
директно	direkte
затвора	tronk
затвора	gevangenis
надпис	opskrif
конкурс	kompetisie
конкурс	wedstryd
конкурс	kompetisie
личен	persoonlik
личен	persoonlike
личен	privaat
рудолф	rudolph
рудолф	rudolf
разделя	splits
разстояние	afstand
червено	rooi
византийски	bisantynse
операции	bewerkings
операции	transaksies
удар	impact
удар	impak
удар	beroerte
удар	blow
приятели	vriende
приложение	aansoek
приложение	toepassings
приложение	toepassing
приложение	toepassing
приложение	byvoegsel
външна	outer
външна	eks
външна	eksterne
разположение	beskikking
думите	woorde
представяне	instuur
представяне	voorlegging
представяне	presentation
демократична	demokratiese
херман	hermann
херман	herman
херман	herrmann
климат	klimaat
пълна	vol
пълна	volle
пълна	voltooi
пълна	afgehandel
различен	verskillende
различен	anders
теодор	theodore
теодор	fjodor
теодор	theodorus
теодор	theodor
теодор	teodor
осъден	gevonnis
уязвим	kwesbare
съдове	vaartuie
съдове	disse
неделя	sondag
иначе	andersins
спечели	wen
спечели	gewen
годишно	maandelikse
годишно	jaarlikse
връзката	konneksie
дела	deeds
дела	della
услуги	dienste
услуги	diens
теорията	teorie
направен	gemaak
качеството	kwaliteit
качеството	gehalte
граници	limiet
граници	limiete
граници	beperkings
граници	grense
жертви	opofferings
жертви	casualties
жертви	slagoffers
жертви	slagoffer
жертви	victim
сицилия	sisilië
древна	antieke
опити	probeerslae
опити	pogings
опити	eksperimente
стивън	stephen
стивън	stefanus
стивън	steven
ръцете	hande
любовта	liefde
местен	lokale
местен	plaaslike
местен	plaaslik
нужда	nood
нужда	benodig
махала	woonbuurt
орбита	wentelbaan
музикална	musical
североизточна	noordelike
концерт	concerto
концерт	konsert
четвърти	vierde
барабани	drum
барабани	drom
барабани	dromme
барабани	drums
определят	definieer
желание	begeerte
желание	wens
мъж	manlike
мъж	mannetjie
мъж	man
въоръжена	gewapende
наши	ours
споразумение	ooreenkoms
споразумение	indeling
еквадор	ecuador
казахстан	kasakstan
трима	drie
евреи	jode
правилата	reëls
реал	regte
реал	egte
избрани	gekose
избрани	gekies
избрани	gemerk
шотландия	skotland
каролина	carolina
софтуер	sagteware
помощник	assistent
помощник	helper
смит	smith
освободен	vrygestel
освободен	gelos
пазарджик	odessa
командване	kommentaar
допълнително	verdere
допълнително	verder
допълнително	addisionele
допълнително	bykomende
допълнително	ekstra
наем	huur
състезание	ras
състезание	resies
състезание	kompetisie
състезание	wedstryd
състезание	kompetisie
тенис	tennis
уелс	wallis
уелс	wells
свири	toneelstuk
свири	speel
североизток	noordelike
окончателно	finale
окончателно	finaal
окончателно	definitiewe
албрехт	albrecht
горе	upstairs
националност	nasionaliteit
тежко	swaar
следи	snitte
популярност	gewildheid
архитект	argitek
архитект	architect
ръководство	handleiding
ръководство	handmatige
ръководство	hand
ръководство	manual
ръководство	januarie
събират	versamel
ефект	effek
ефект	effekte
криза	krisis
задача	taak
основано	gestig
клон	tak
принуден	geforseer
принуден	gedwing
трето	derde
конференция	aanbreek
ранни	vroeg
ранни	vroeë
истанбул	istanbul
истанбул	istanboel
предаване	ratkas
баба	ouma
баба	granny
баба	ouma
барселона	kaapstad
барселона	barcelona
сергей	sergei
сергей	sergei
лечение	behandeling
лечение	healing
продукт	produk
повърхност	oppervlak
мала	mala
опера	opera
опера	sepie
изграждане	gebou
изграждане	oprigting
изграждане	konstruksie
изграждане	bou
социални	maatskaplike
социални	sosiale
социални	sosiaal
бяло	white
професионален	professioneel
професионален	professionele
професионални	professioneel
професионални	professionele
почетен	honorary
почетен	geëerd
морето	see
манчестър	manchester
василий	wasili
василий	wassili
цял	hele
цял	geheel
марка	handelsmerk
оркестър	band
оркестър	musiekgroep
оркестър	orkes
югоизток	suidoos
звезди	sterre
направени	gemaak
направени	aangegaan
съпруг	gade
съпруг	eggenoot
съпруг	man
шампионат	championships
шампионат	championship
молдова	moldowa
юнайтед	vereenigde
юнайтед	united
юнайтед	verenigde
архиепископ	archbishop
научен	wetenskaplike
научен	wetenskaplik
храни	kos
храни	voedsel
храни	voed
храни	stroom
храни	toevoer
храни	limited
храни	foods
храни	strome
храни	voere
патриарх	patriarg
кения	kenia
кения	kenya
познат	kennis
въздуха	air
въздуха	lug
двора	courtyard
франк	frank
скали	cliffs
скали	rock
скали	klippe
скали	rotse
косово	kosovo
стени	mure
питър	petrus
питър	peter
венеция	venesië
венеция	venice
замък	kasteel
обем	volume
пиер	pier
пиер	pierre
специален	spesiaal
редактори	redigeerders
фондация	fondament
китайски	sjinese
китайски	chinees
китайски	sjinees
китайски	chinese
преврат	coup
играчи	spelers
риба	vis
риба	visvang
хитлер	hitler
къде	waar
къде	waarheen
долина	valley
долина	vallei
специална	spesiaal
майстор	meester
трона	throne
следваща	volgende
частично	gedeeltelik
частично	gedeeltelike
частично	gedeeltelik
византия	byzantium
числа	getalle
числа	nommers
дол	dol
тексас	texas
ана	ana
ана	anna
мюсюлмани	muslim
мюсюлмани	moslem
мюсюлмани	moslems
липса	afwesigheid
силен	sterk
мощност	krag
мощност	elektrisiteit
лорд	here
лий	lee
лий	leigh
имперски	imperial
борда	bord
австро	austro
съвместно	gesamentlike
съвместно	joint
различна	verskillende
различна	anders
революционен	rewolusionêre
главна	hoof
югозапад	suidwes
гражданска	siviele
гражданска	burgerlike
гражданска	munisipale
гражданска	civic
луната	maan
пиано	klavier
двигатели	masjien
двигатели	engine
двигатели	enjin
двигатели	motor
двигатели	enjins
двигатели	engines
литературен	literêre
газ	gas
партизански	guerrilla
лъв	lion
лъв	leeu
лъв	leeu
курс	natuurlik
зеландия	zealand
зеландия	seelandse
зеландия	seeland
агент	agent
черен	swart
широка	wyd
широка	breed
широка	broad
женски	vroulik
женски	meisies
женски	vroulik
женски	vroulik
женски	wyfie
лагер	kamp
машина	masjien
дух	spook
дух	gees
психология	sielkunde
листа	blaar
листа	blare
листа	foliage
онлайн	aanlyn
пристанище	hawe
пристанище	port
пристанище	poort
пристанище	harbour
бивши	former
бивши	voormalige
проучвания	opnames
проучвания	studeer
проучвания	studies
проучвания	navorsing
северозападна	noordwestelike
северозападна	noordwes
тона	ton
тона	skakering
тона	tone
сръбско	serwies
приета	aanvaarde
приета	aanvaar
приета	aangeneem
свободно	vrylik
свободно	gratis
свободно	vry
свободно	free
социалистическа	sosialistiese
сцената	verhoog
сцената	stadium
сцената	etage
карлос	carlos
грузия	georgië
грузия	georgia
провинцията	provinsie
капацитет	kapasiteit
битки	slag
битки	battles
напред	vorentoe
епископи	bishops
старо	oud
старо	ou
ирак	irak
поколение	generasie
устройства	toestelle
условията	voorwaardes
условията	toestande
двор	courtyard
двор	agterplaas
двор	jaart
двор	yard
двор	stoep
двор	patio
интереси	belangstellings
чисто	suiwer
чисто	skoon
диаметър	deursnee
водещ	aanbieder
водещ	gasheer
водещ	bediener
картини	skilderye
картини	prente
картини	prentjies
картини	kunswerk
спортни	sporting
спортни	sportsoorte
спортни	sport
плоча	tablet
плоча	plate
плоча	plaat
тежка	swaar
тежка	severe
щат	staat
щат	deelstaat
щат	provinsie
щат	toestand
щат	spasie
поддръжка	ondersteuning
поддръжка	ondersteun
поддръжка	steun
поддръжка	bystand
поддръжка	onderhoud
поддръжка	instandhouding
последователно	sekwensiële
последователно	agtereenvolgende
алън	allen
алън	allan
алън	alan
литературни	literêre
турне	toer
турне	tour
турне	touring
римляните	romeine
международно	internasionaal
международно	internasionale
закони	wette
завод	plant
завод	fabriek
свързано	verwante
свързано	verwant
свързано	verbind
колеж	kollege
термин	termyn
бой	veg
живопис	skilder
живопис	skildery
междувременно	intussen
бей	bey
бей	baai
бей	bay
кандидат	applikant
кандидат	aansoeker
кандидат	kandidaat
устието	estuarium
автомобили	motors
автомобили	karre
автомобили	cars
автомобили	voertuie
принадлежи	behoort
принадлежи	hoort
дизайн	ontwerp
бранденбург	brandenburg
словакия	slowakye
медицински	mediese
медицински	medies
създаде	geskep
чичо	oom
рио	rio
турска	turkse
турска	turkish
мин	min
историци	historians
болница	hospitaal
гориво	brandstof
съвременни	kontemporêre
понастоящем	tans
задачи	take
свободна	gratis
свободна	vry
свободна	free
публикуван	geplaas
публикуван	posted
публикуван	gepubliseer
нощ	aand
нощ	aande
нощ	nag
временно	tydelik
временно	geheue
временно	tydelike
млад	jonk
млад	jong
преподаватели	professors
преподаватели	onderwysers
преподаватели	opvoeders
преподаватели	onderwysers
преподаватели	fakulteit
благодаря	dankie
характерни	characteristic
решението	besluit
подобен	soortgelyke
шведски	sweedse
религиозни	godsdienstige
религиозни	religieuse
религиозни	gelowige
предварително	pre
предварително	vooraf
предварително	vorder
огън	brand
огън	vuur
избор	seleksie
избор	kies
дълъг	lank
камъни	klippe
камъни	klippe
камъни	rotse
мъжки	mans
мъжки	manlike
мъжки	mannetjie
конституцията	grondwet
обиколка	toer
обиколка	tour
обиколка	rondte
победител	winner
победител	wenner
силна	sterk
примери	voorbeelde
излъчва	emits
румънски	roemeense
студенти	studente
пълно	vol
пълно	volle
пълно	voltooi
пълно	afgehandel
заглавие	headline
заглавие	opskrif
заглавие	opskrif
заглавие	lêername
европейска	europees
европейска	europese
нейният	hers
предмети	voorwerpe
предмети	objekte
предмети	items
изследва	verken
писателка	skrywer
писателка	outeur
хари	harry
произведен	vervaardig
произведен	geproduseer
императора	keiser
копия	afskrifte
копия	kopieë
близки	toemaak
близки	sluit
туристически	toeriste
гвиана	guyana
продължи	volgehoue
продължи	deurlopende
продължи	voortdurende
цветове	deursigtigheid
корнелий	cornelius
водите	waters
концерти	konserte
далеч	weg
сценарист	skrywer
сценарист	outeur
особености	kenmerke
особености	eienskappe
ранг	rang
ранг	rank
дадено	gegee
самостоятелно	onafhanklik
оценка	beoordeling
правило	heers
правило	reël
али	ally
али	ali
очите	oë
убива	kills
кучета	hondjies
кучета	honde
ски	skis
ски	ski
написана	geskryf
монети	coins
монети	munte
монети	muntstukke
монети	muntstuk
монети	coin
куба	cube
куба	kubus
куба	cuba
куба	kuba
акт	wet
очи	oë
храброст	dapperheid
храброст	valor
индустрия	bedryf
стихове	poësie
стихове	verses
стихове	verse
стихове	poems
стихове	gedigte
хуан	juan
хуан	huang
баня	bad
баня	bath
възможности	moontlikhede
възможности	opsies
конрад	conrad
конрад	konrad
съпротива	weerstand
скот	scott
заболявания	illness
заболявания	siektes
заболявания	siekte
екип	span
появата	emergence
появата	voorkoms
боливия	bolivië
ракети	missiele
ракети	rockets
даниел	daan
даниел	daniel
даниел	daniël
даниел	danielle
унгарски	hongaarse
мъжете	mans
мъжете	manne
апарат	apparaat
човешки	menslik
човешки	mens
сао	sao
сао	são
сао	aoc
пакистан	pakistan
бул	bull
леко	maklik
леко	maklike
златни	goue
златни	golden
златни	goud
включен	ingesluit
чешки	tsjeggiese
чешки	tsjeggië
творчеството	creativity
творчеството	kreatiwiteit
академията	akademie
администрация	administrasie
флорида	florida
дървета	bome
общността	samelewing
общността	gemeenskap
общността	community
представителите	verteenwoordigers
широк	wyd
успехи	suksesse
успехи	sukses
успехи	suksesvol
милан	milaan
милан	milan
гръцка	griekse
наполеон	napoleon
анхалт	anhalt
построени	opgerig
длъжност	kommentaar
академик	akademiese
академик	akademies
адрес	url
бюджет	begroting
марс	mars
календар	kalender
обявена	verklaar
обявена	aangekondig
обявена	aangekondig
стои	staande
стои	staan
стои	stalletjies
центрове	sentrums
центрове	sentrums
собствена	eie
срок	termyn
оператор	operator
седалище	hoofkwartier
факти	feite
равнина	gewoon
равнина	eenvoudig
равнина	vliegtuig
композитори	komponiste
скала	skaal
скала	scala
скала	cliff
скала	rock
кинг	heer
кинг	king
кинг	koning
символи	simbole
символи	karakters
пътят	pad
пътят	road
факт	feit
тит	titus
стоки	verhandeling
стоки	goedere
крило	wing
десетилетия	dekades
флота	fleet
местно	lokale
местно	plaaslike
местно	plaaslik
пфалц	palts
германска	duits
комунистическа	kommunistiese
замъка	kasteel
долу	ondertoe
долу	neer
долу	af
долу	onder
долу	hieronder
долу	onderstaande
дати	datums
фигури	figure
чужди	buitelandse
чужди	foreign
вирджиния	virginia
вирджиния	virginië
налягане	druk
налягане	swig
алжир	algiers
алжир	algerië
поздрави	greetings
клавдий	claudius
фонд	fonds
фонд	vonds
люксембург	luxembourg
силни	sterk
състезател	racer
състезател	mededinger
посланик	ambassador
ханс	hans
приходи	inkomste
приходи	opbrengste
приходи	verdienste
приходи	inkomste
секунди	sekondes
секунди	sekonde
наименование	naam
наименование	benoem
наименование	gebruikernaam
президентът	president
определено	beslis
султан	sultan
фирма	vas
фирма	maatskappy
многобройни	numerous
многобройни	veelvuldige
многобройни	veelvoud
отделно	afsonderlik
отделно	apart
отделно	afsonderlike
отделно	aparte
стените	mure
държавно	staat
държавно	deelstaat
държавно	provinsie
държавно	toestand
държавно	spasie
охрид	ohrid
язовир	dam
намери	vind
франциско	francisco
макс	maksimum
макс	max
лазар	lasarus
лазар	lazarus
лазар	lazar
антонио	antonio
шампиони	champions
шампиони	champs
западен	wes
западен	westerse
западен	western
западен	westelike
лични	persoonlik
лични	persoonlike
пълен	vol
пълен	volle
пълен	voltooi
пълен	afgehandel
флавий	flavius
публикации	plasings
публикации	publikasies
растение	plant
собствени	eie
пряко	direk
пряко	rig
пряко	direkte
девет	nege
многократно	herhaaldelik
консулство	konsulaat
долно	lae
срещата	ontmoeting
срещата	besigheid
срещата	vergadering
приключва	eindig
физически	fisies
физически	fisiese
физически	fisieke
документ	dokument
икономическа	ekonomiese
сърцето	hart
сърцето	hartjie
максим	maksim
максим	maximus
максим	maxime
максим	maxim
цикъл	siklus
собственик	eienaar
журналисти	joernaliste
издадени	uitgereik
дон	don
животните	diere
лен	vlas
лен	len
направление	bestemming
югозападна	suidwestelike
югозападна	suidwes
мери	mary
мери	maria
напрежение	tension
напрежение	spanning
напрежение	druk
напрежение	swig
пояснение	dubbelsinnig
пояснение	clarification
епизоди	episodes
фолк	falk
фолк	folk
портрет	portret
историческа	historiese
историческа	geskiedkundige
историческа	historiese
активни	onaktiewe
активни	aktief
реакция	reaksie
реакция	antwoord
математика	wiskunde
математика	wiskunde
ъгъл	angle
ъгъл	hoek
професионална	professioneel
професионална	professionele
площад	vierkantig
площад	vierkant
площад	vierkantige
рекорд	rekord
рекорд	opneem
нещата	dinge
експлоатация	uitbuiting
експлоатация	operasie
експлоатация	bewerking
антарктика	antarktika
марков	markov
григорий	gregory
григорий	gregorius
естония	estland
коалиция	koalisie
нато	navo
двореца	paleis
вълна	wol
вълна	waai
вълна	golf
мианмар	mianmar
доброволци	volunteers
доброволци	volunteer
доброволци	vrywilliger
частни	privaat
подробности	besonderhede
тече	vloeiende
печелят	verwerf
алиса	alice
панама	panama
външен	outdoor
външен	buite
външен	buitelug
външен	outer
външен	eks
външен	eksterne
изображения	prente
изображения	beelde
верига	ketting
християнството	christendom
християнството	christianity
секс	seks
секс	geslag
секс	sex
союз	sojoes
задължително	verpligtend
развиват	ontwikkel
ерик	eric
ерик	erik
ерик	erik
планините	mountains
планините	berge
древни	antieke
земеделието	landbou
мадагаскар	madagaskar
мадагаскар	madagascar
нигерия	nigerië
нигерия	nigeria
хосе	jose
хосе	josé
създадено	geskep
джо	joe
зони	sones
зони	gebiede
социална	maatskaplike
социална	sosiale
социална	sosiaal
войните	oorloë
войните	wars
бележки	notas
обработка	behandeling
електрически	elektriese
електрически	elektriese
подобна	soortgelyke
момиче	meisie
момиче	girl
светци	saints
премиера	premiere
премиера	premier
отбрана	verdediging
отбрана	defence
отбрана	verdediging
ниско	lae
мари	marie
мари	marié
плодове	vrug
плодове	vrugte
плодове	fruits
прилеп	vlermuis
джаз	jazz
клубове	klawer
клубове	klubs
анри	henri
ученик	pupil
ученик	student
флоренция	florence
финансови	finansiële
финансови	finansieel
книгите	boeke
значителни	considerable
потребителите	gebruikernaam
потребителите	gebruikers
потребителите	verbruikers
сектор	sektor
либия	libië
стабилна	steady
стабилна	stabiel
стабилна	stable
стабилна	stabiele
обединение	unity
практически	praktiese
практически	prakties
изпълнител	kontrakteur
изпълнител	performer
изпълнител	kunstenaar
катедралата	katedraal
върховенството	oppergesag
температурата	temperatuur
разрешение	magtiging
разрешение	permit
разрешение	magtiging
разрешение	bemagtiging
разрешение	toelating
разрешение	toestemming
върховния	supreme
сенатор	senator
автоматично	auto
автоматично	outomaties
автоматично	outo
автоматично	outomatiese
автоматично	outomaties
полети	fly
полети	vlieg
полети	vlugte
преглед	oorsig
преглед	oorleg
преглед	resensie
преглед	hersiening
преглед	oorsig
преглед	hersien
преглед	besigtig
преглед	voorskou
преглед	oorleg
преглед	aansig
преглед	besigtig
преглед	bekyk
разделени	geskeide
разделени	geskei
разделени	ingedeel
разделени	afsonderlike
разделени	aparte
пее	sing
пее	sang
пее	sing
пее	singing
пее	singende
киев	kyiv
киев	kiëf
джоунс	jones
злато	goud
администратор	admin
администратор	administrateur
топ	bokant
топ	bo
топ	hoogs
топ	toring
внук	kleinseun
треньори	afrigters
прусия	pruise
шоу	shaw
бреговете	coasts
гост	gas
висше	tersiêr
изпълнители	kunstenaars
изпълнители	kontrakteurs
изпълнители	kunstenaars
луиза	louisa
луиза	luisa
болести	siekte
болести	siektes
болести	siekte
конституция	grondwet
букви	briewe
букви	letters
пътува	reise
пътува	reis
реч	spraak
реч	toespraak
реч	speech
популярни	gewild
популярни	gewilde
продава	verkoop
продава	verkoop
истории	berigte
истории	stories
половината	half
химия	chemie
сериозни	ernstige
сериозни	ernstig
допълнение	supplement
допълнение	optel
допълнение	byvoeging
допълнение	addendum
чарлз	karel
чарлз	charles
класически	klassieke
класически	klassiek
класически	klassieke
последна	last
последна	laas
последна	laaste
последна	jongste
светлината	lig
светлината	ligte
фигура	figuur
сцени	skerms
сцени	scenes
сцени	tonele
съветник	berader
помпей	pompeji
старт	start
старт	begin
инициатива	inisiatief
някога	ooit
бозайници	mammals
бозайници	soogdier
романът	roman
рика	rica
въздух	air
въздух	lug
публикувани	gepubliseer
конструкция	oprigting
конструкция	konstruksie
конструкция	struktuur
съвременен	modern
съвременен	moderne
съвременен	kontemporêre
варира	reekse
преговори	onderhandeling
преговори	onderhandelings
преговори	waartoe
преговори	onderhandelinge
икони	ikoon
икони	ikone
емилия	emilia
славата	bekendheid
славата	fame
мозамбик	mozambique
мозамбик	mosambiek
артилерийски	ordnance
жак	jacques
могила	holm
кръв	bloed
грижи	omgee
йерусалим	jerusalem
съединения	samestellings
храмът	tempel
храмът	temple
байтове	grepe
департамент	departement
участниците	deelnemers
главни	hoof
традиции	tradisies
традиции	tradisie
морета	seas
шри	sri
явно	apparently
приложения	toepassings
приложения	programme
приложения	aanwendings
приложения	aansoeke
приложения	toepassings
печат	stamp
печат	stempel
печат	seal
печат	seël
служители	werknemers
служители	personeel
служители	staff
намаляване	verminder
намаляване	verminder
доказателства	proeflees
доказателства	bewys
доказателства	bewyse
доказателства	getuienis
качество	kwaliteit
качество	gehalte
десетки	tiene
десетки	dosyne
двадесет	twintig
сезони	seisoene
драматичен	dramatiese
разделена	ingedeel
франсоа	francois
франсоа	françois
мили	millie
мили	myle
мили	myl
диригент	geleier
личност	persoonlikheid
ера	era
разказ	narratief
португалски	portugese
португалски	portugees
фестивала	fees
кристиан	cristian
кристиан	christian
кристиан	christene
кристиан	christen
кристиан	christiaan
кристиан	kristian
раждането	geboorte
джовани	giovanni
добавя	byvoegings
добавя	adds
добавя	advertensies
картина	skilder
картина	skildery
неин	hers
литва	litaue
джак	boer
джак	jack
поглед	peek
поглед	loer
валерий	valerius
преводач	vertaler
преводач	interpreteerder
давид	dawid
давид	david
обича	likes
обича	liefhet
обича	lief
изображение	prent
изображение	beelde
масово	massa
ранени	verwond
ранени	slagting
строителство	oprigting
строителство	konstruksie
вюртемберг	württemberg
здраве	gesondheid
дълбоко	buig
дълбоко	diep
относително	relatief
относително	relatiewe
относително	relatively
различно	verskillende
различно	anders
афганистан	afghanistan
афганистан	afghaanse
глави	hoofde
глави	chapters
юнеско	unesco
екипаж	crew
века	eeue
века	eeu
партизанин	partydige
асистент	assistent
пътуване	reis
пътуване	journey
пътуване	uitstappie
пътуване	reis
продължителност	duur
продължителност	tydperk
продължителност	tydsduur
ангола	angola
активна	onaktiewe
активна	aktief
собствен	eie
специалист	specialist
специалист	deskundige
хаджи	hadji
хаджи	haji
арабия	arabia
арабия	arabië
хърватски	kroatiese
гръцко	griekse
месо	vleis
камерун	kameroen
цена	prys
цена	koste
правилно	regterkant
правилно	regs
правилно	korrek
представени	ingedien
представени	ingestuur
представени	verteenwoordig
холмс	holmes
водач	leier
антоний	antony
публикувана	gepubliseer
браун	bruin
браун	braun
ръце	arms
ръце	hande
посветен	toegewyde
посветен	dedicated
посветен	opgedra
посочено	verwys
посочено	aangedui
посочено	gespesifiseer
посочено	spesifiseer
коментар	kommentaar
неапол	napels
неапол	napoli
популярна	gewild
популярна	gewilde
стандарт	standaard
региони	streke
популярен	gewild
популярен	gewilde
студио	studio
студио	ateljee
административни	administratiewe
административни	verrig
червена	rooi
брайън	brian
брайън	bryan
пистата	volg
пистата	snit
пистата	baan
пистата	spoor
дейвис	davis
дейвис	davies
съдбата	destiny
съдбата	lot
съдбата	fate
чувства	feelings
чувства	gevoelens
златна	goue
златна	golden
златна	goud
жанр	genre
културен	kulturele
селски	landelike
селски	rural
врата	door
врата	deur
врата	nek
юрист	prokureur
юрист	dronkbestuur
мира	mira
слава	bekendheid
слава	fame
слава	glorie
слава	glory
ниски	lae
монарси	monarge
естествени	natuurlike
кухня	kookkuns
кухня	kombuis
предприятия	ondernemings
предприятия	enterprises
младши	junior
празници	vakansiedae
празници	vakansies
брюксел	brussels
брюксел	brusselse
брюксел	brussel
лигата	liga
редакции	redigeer
редакции	wysigings
откриване	opsporing
откриване	ontdekking
откриване	discovery
откриване	ontdek
етиопия	ethiopia
етиопия	ethiopië
листата	blare
оборудване	toerusting
тони	tony
тони	toni
фабрика	fabriek
мисии	missions
рейн	ryn
рейн	reën
списания	tydskrifte
клубът	klub
играл	gespeel
положението	situasie
медии	media
номиниран	nominated
проблемите	probleme
проблемите	problems
кратка	kort
кратка	kortliks
кратка	sorteer
вокал	vocal
одрин	edirne
усилия	pogings
усилия	poging
усилия	moeite
представена	verteenwoordig
представена	ingedien
представена	ingestuur
контакт	kontak
космоса	kosmos
космоса	spasie
населено	bevolkte
населено	bewoonde
традиционно	tradisioneel
традиционно	tradisionele
костур	bas
разделен	geskeide
разделен	geskei
разделен	ingedeel
разделен	skei
среден	gemiddelde
среден	gemiddeld
среден	medium
независима	independent
независима	onafhanklike
независима	onafhanklik
независима	selfstandige
фактори	faktore
горски	bosbou
горски	woud
горски	bos
туризъм	toerisme
туризъм	hiking
бронзов	brons
достигне	bereik
достигне	reikwydte
динамо	dynamo
динамо	dinamo
