পেল	ஆப்பிள்
চিতা	சிவிங்கிப்புலி
সমৃদ্ধির	செழிப்பு
যাচ্ছেন	கலந்துகொள்கிறார்
যাচ্ছেন	செல்கிறார்
যাচ্ছেন	செல்கிறேன்
যাচ্ছেন	செல்கிறது
যাচ্ছেন	போகிறது
প্লেটো	பிளேட்டோ
বরো	பெருநகரம்
খোসা	உரித்தல்
খোসা	பீல்
মালি	மாலி
নেইমার	நெய்மார்
গ্রামার	ஜெர்மன்
গ্রামার	இலக்கணம்
ফ্রান্সিস্কো	பிரான்சிஸ்கோ
অন্যান্যরা	மற்றவை
অন্যান্যরা	மற்றவர்கள்
অন্যান্যরা	பேர்
অন্যান্যরা	பிறர்
অন্যান্যরা	பிறரை
বিচ	கடற்கரை
ফেলিক্স	பெலிக்ஸ்
ভ্রমন	பயணம்
ওবামা	ஒபாமா
জাগ্রত	உதித்த
জাগ্রত	விழி
বান্ধবী	காதலியே
বান্ধবী	காதலி
ক্রেওল	கிரியோல்
ইসলামাবাদ	இஸ்லாமாபாத்
ছোটখাটো	மினியேச்சர்
ধারালো	கூர்மை
ধারালো	கூர்மையான
পেঁয়াজ	வெங்காயம்
পেঁয়াজ	வெங்காயம்
অসহায়	ஏழை
অসহায়	பாவம்
অসহায়	மோசம்
হসপিটাল	மருத்துவமனை
হিরোশিমা	ஹிரோஷிமா
হর	ஹர
ট্রি	மரம்
ট্রি	கிளை
কানের	காது
কানের	செவி
কানের	காதில்
দেখলাম	பார்த்தார்
দেখলাম	பார்த்தேன்
প্রামাণ্যচিত্র	ஆவணப்படம்
ফরওয়ার্ড	forward
ফরওয়ার্ড	முன்னோக்கி
মুলতান	முல்தான்
রেবেকা	ரெபேக்கா
হিপ	இடுப்பு
চাও	சாவோ
চাও	வேணும்
চাও	விரும்புகிறேன்
চাও	வேண்டுமா
চাও	விரும்பும்
চাও	வேண்டும்
ম্যাথিউ	மத்தேயு
পাম্প	பம்ப்
এভিয়েশন	விமான
এভিয়েশন	வானூர்தி
কাস্পিয়ান	காசுப்பியன்
নিকোলা	நிக்கோலஸ்
নিকোলা	நிக்கோலா
নিকোলা	nikola
নিন	எடுத்துக்
নিন	எடுத்து
নিন	எடு
মিং	மிங்
দৈত্য	பிரமாண்ட
মনোজ	மனோஜ்
পোর্টল্যান্ড	portland
এক্সপ্লোরার	துருவி
ঝর্ণা	ஸ்பிரிங்
ঝর্ণা	வசந்தம்
ঝর্ণা	வசந்தகால
ঝর্ণা	வசந்த
ঝর্ণা	அருவி
ঝর্ণা	நீர்வீழ்ச்சி
ঝর্ণা	நீரூற்று
ঝর্ণা	ஊற்று
ঝর্ণা	நீர்வீழ்ச்சி
প্রদাহ	வீக்கம்
প্রদাহ	தீரா
প্রদাহ	அழற்சி
অনুভূমিক	கிடைமட்ட
স্বশাসিত	தன்னாட்சி
ব্যাধি	கோளாறு
টেকসই	sustainable
টেকসই	நீடித்த
ইন্টেলিজেন্স	உளவுத்துறை
ইন্টেলিজেন্স	புலனாய்வு
ইন্টেলিজেন্স	நுண்ணறிவு
নিশ্চয়	நிச்சயமாக
নিশ্চয়	நிச்சயமாக
সালাউদ্দিন	சலாகுத்தீன்
মিনেসোটা	மினசோட்டா
হাডসন	ஹட்சன்
স্পট	ஸ்பாட்
স্পট	நீக்கம்
ব্যর্থতা	தோல்வி
রিকো	ரிகோ
নাক্ষত্রিক	stellar
রহঃ	ரஹ்
জোরালো	சத்தம்
জোরালো	சத்தமாக
জোরালো	உரத்த
আবশ্যক	தேவை
আবশ্যক	தேவையானவை
আবশ্যক	தேவையான
আবশ্যক	அவசியம்
আবশ্যক	தேவைப்படுகிறது
আপেল	ஆப்பிள்
আপেল	ஆப்பிள்கள்
বারান্দা	தாழ்வாரத்தில்
বন্ধুরা	நண்பர்கள்
বন্ধুরা	நண்பர்களே
নিরীহ	அப்பாவி
দুনিয়া	உலகம்
দুনিয়া	உலக
দুনিয়া	உலகமே
স্বেচ্ছাসেবী	தொண்டர்கள்
স্বেচ্ছাসেবী	தன்னார்வலர்கள்
স্বেচ্ছাসেবী	தன்னார்வ
ভেড়ার	லாம்ப்
সুস্বাদু	சுவையான
সুস্বাদু	ருசி
সুস্বাদু	சுவையான
ইনডোর	உள்ளரங்கு
ইরাকী	ஈராக்கிய
মোবারক	முபாரக்
বর্মণ	பர்மன்
তুর্কমেনিস্তান	துர்க்மெனிஸ்தான்
শারীরিকভাবে	உடல்ரீதியாக
শারীরিকভাবে	உடலும்
রিপন	ரிப்பன்
বোল	கிண்ணத்தில்
বোল	கிண்ணம்
বোল	போல்
বিভ্রান্তি	குழப்பம்
বিশ্লেষন	analytical
এক্সিকিউটিভ	செயற்குழு
ভিউ	பார்வை
ভিউ	காட்சி
ভিউ	காட்டு
মৃণাল	மிருணாள்
বানু	பானு
আর্ক	ஆர்க்
পোকার	போக்கர்
হুইল	வீல்
হুইল	சக்கர
হুইল	சக்கரம்
হুইল	சக்கரங்கள்
দ্রৌপদী	திரௌபதி
লাগবে	தேவையா
লাগবে	தேவை
লাগবে	வேண்டும்
দেখেছেন	பார்த்தது
দেখেছেন	பார்க்கப்பட்டது
দেখেছেন	பார்த்த
দেখেছেন	பார்த்தார்
দেখেছেন	பார்க்கப்பட்டது
বাড়ে	வளரும்
ঈমান	நம்ப
ঈমান	ஈமான்
ঈমান	நம்பி
খুচরা	சில்லறை
উইলি	வில்லி
ব্রীজ	பாலம்
ডালে	டேல்
মেগা	மெகா
জুয়েল	நகை
উদ্বেগ	கவலைகள்
উদ্বেগ	கவலைகளை
উদ্বেগ	கவலைகள்
উদ্বেগ	கவலை
উদ্বেগ	பதட்டம்
উদ্বেগ	படபடப்பு
উদ্বেগ	பதற்றம்
উদ্বেগ	கவலை
সমাজকে	சமூகம்
নিঃশ্বাস	சுவாசம்
নিঃশ্বাস	மூச்சை
নিঃশ্বাস	மூச்சு
নিঃশ্বাস	வாசம்
গালে	கன்னம்
গালে	கன்னத்தில்
মানমন্দির	ஆய்வகம்
সন্ধ্যার	மாலை
হেনরিক	ஹென்ரிக்
প্যারাগুয়ে	பராகுவே
ম্যাগসেসে	மக்சேசே
আইল	ஐல்
রামোন	ரமோன்
নারদ	நாரதர்
বৈধতা	validity
বৈধতা	முறையான
দক্ষিণাঞ্চলীয়	தெற்கத்திய
রাজকন্যা	இளவரசி
হান্টার	வேட்டைக்காரன்
হান্টার	வேட்டையாடி
হ্যাকার	ஹேக்கர்
চক্ষু	கண்
চক্ষু	கண்ணை
লজিক	லாஜிக்
ধুম	தூம்
হার্ভে	ஹார்வி
বহুবচন	பன்மை
তুলসী	துளசி
লক	லாக்
লক	பூட்டு
পাসওয়ার্ড	கடவுச்சொல்
পাসওয়ার্ড	கடவுச்சொற்கள்
চুন	சுன்
নার্সিং	நர்சிங்
বার্ন	bern
নটর	நோட்ரே
তাইপেই	தாய்பெய்
নাগাল্যান্ড	நாகாலாந்து
নর্তকী	dancer
মাল্টা	மால்டா
রেহমান	ரெஹ்மான்
শপিং	கொள்வனவு
শপিং	ஷாப்பிங்
মিথেন	மீத்தேன்
সংযুক্তি	இணைப்பு
সংযুক্তি	இணைப்புகள்
টিস্যু	திசு
অরোরা	அரோரா
অরোরা	அரோரா
পাওলো	பாலோ
বিপিএল	bpl
আলেপ্পো	அலெப்போ
সন্ন্যাসীদের	துறவிகள்
শক	அதிர்ச்சி
বোধগম্য	புரிந்துகொண்டேன்
ফ্লাইং	பறந்து
ফ্লাইং	பறக்கும்
জোনস	ஜோன்ஸ்
বিসিবি	bcb
লোদি	லோடி
ফ্লেচার	பிளெட்சர்
চশমা	கண்ணாடிகள்
চশমা	கண்ணாடியை
চশমা	கண்ணாடி
ভোল্টেজ	மின்னழுத்த
এডগার	எட்கர்
এলিয়ট	எலியட்
জুনায়েদ	ஜுனைத்
সত্তর	எழுபது
সামি	சாமி
সাদিক	சாதிக்
চামচ	கரண்டி
চামচ	தேக்கரண்டி
চামচ	tsp
লেকচার	விரிவுரை
লেকচার	சொற்பொழிவு
গীতাঞ্জলি	கீதாஞ்சலி
ইসরাইল	இஸ்ரேல்
দেখেছি	பார்த்தது
দেখেছি	பார்க்கப்பட்டது
দেখেছি	பார்த்த
তিমি	திமிங்கலங்கள்
তিমি	திமிங்கலம்
সঞ্জীব	சஞ்சீவ்
অ্যালকোহল	மது
অ্যালকোহল	மதுபானம்
অ্যালকোহল	ஆல்கஹால்
অবরুদ্ধ	தடை
অবরুদ্ধ	தடுக்கப்பட்டது
অবরুদ্ধ	தடுக்கப்பட்டுள்ளது
অবরুদ্ধ	தடைசெய்யப்பட்டது
বুকার	புக்கர்
কট	கோட்
কেশব	கேசவ்
ফিতা	ரிப்பன்
ফ্যাক্টরি	தொழிற்சாலையில்
ফ্যাক্টরি	தொழிற்சாலை
চকচকে	பளபளப்பான
বিস্ময়	ஆச்சரியம்
বিস্ময়	ஆச்சர்யம்
বিস্ময়	அற்புதங்கள்
বিস্ময়	அதிசயங்கள்
বাধার	தடைகள்
লেস	லெஸ்
লেস	லேஸ்
মেটে	கல்லீரல்
জারণ	அரிமானம்
মিষ্টান্ন	இனிப்புகள்
মিষ্টান্ন	இனிப்பு
নিক্ষিপ্ত	எறிந்து
রজনী	ரஜினி
রেস্টুরেন্ট	உணவகம்
গুড়	வெல்லம்
হল্যান্ড	ஹாலந்து
কিটস	kits
বেলুন	பலூன்
বেলুন	பலூன்கள்
নাস	நாஸ்
পরিসর	வரம்
পরিসর	வீச்சு
পরিসর	எல்லை
পরিসর	வரம்பு
রিডার	வாசகர்கள்
রিডার	வாசகர்
রিডার	வாசகர்
ট্যাক্সি	டாக்ஸி
ট্যাক্সি	டாக்சி
সেবন	அனுபவித்து
গিলবার্ট	கில்பர்ட்
অধ্যয়নরত	படிக்கிறேன்
লাফিয়ে	ஜம்ப்
লাফিয়ে	தாவு
ছুড়ে	தூக்கி
গাড়ী	கார்
নাইরোবি	நைரோபி
ডিসকভারি	டிஸ்கவரி
ডিসকভারি	கண்டறிதல்
হীরা	வைரம்
হীরা	டயமண்ட்
অপব্যবহার	முறைகேடு
অপব্যবহার	வன்கொடுமை
নিকারাগুয়া	நிக்கராகுவா
নিকারাগুয়া	ரஷ்யா
চিয়াং	சியாங்
সিন্ধ	சிந்த்
জাজিরা	jazeera
লোকে	மக்களே
লোকে	நபர்கள்
লোকে	மக்களின்
লোকে	மக்கள்
প্যালেস্টাইন	பாலஸ்தீனம்
কেনো	ஏன்
কেনো	எதற்கு
কেনো	எதற்காக
ঘটবে	நிகழ்கிறது
ঘটবে	நடக்கும்
হাজি	ஹாஜி
উপকারী	உதவிகரமாக
উপকারী	உதவிகரமான
সুখের	மகிழ்ச்சி
সুখের	மகிழ்ச்சியை
সুখের	சந்தோசம்
আর্দ্রতা	ஈரப்பதத்தை
আর্দ্রতা	ஈரப்பதம்
নির্জন	தனிமையாக
নির্জন	தனிமையில்
নির্জন	தனிமை
দৌলত	தவ்லத்
সোমালিয়া	சோமாலியா
মহৎ	பிரம்மாண்டம்
ধারণকারী	கொண்டுள்ள
ধারণকারী	கொள்கலன்
ধারণকারী	பெட்டகம்
মজা	வேடிக்கை
মজা	வேடிக்கையானது
পশম	ஃபர்
সতর্কতা	எச்சரிக்கை
সতর্কতা	அச்சில்
সতর্কতা	எச்சரிக்கை
সতর্কতা	எச்சரிக்கை
সতর্কতা	நினைவூட்டல்
আনু	அனு
কেক	கேக்
কেক	கேக்குகள்
পুরী	புரி
পুরী	பூரி
পান্না	மரகதம்
পান্না	மரகத
সাফারি	safari
কোরে	கோரி
অবিস্মরণীয়	மறக்கமுடியாத
নরম্যান	நார்மன்
কনরাড	கொன்ராட்
কনরাড	கொன்ராடு
নিকোলাই	நிகோலாய்
জয়েন্ট	மூட்டு
শামস	ஷம்ஸ்
কলি	காளி
রেজিস্টার	பதிவகங்கள்
রেজিস্টার	பதிவு
ফিদেল	பிடல்
স্ট্রোক	சைன்
স্ট্রোক	பக்கவாதம்
ব্যাথা	வலியை
ব্যাথা	வலி
ব্যাথা	வலிகள்
ব্যাথা	காயப்படுத்தும்
অজন্তা	அஜந்தா
ফ্রাই	வறுவல்
কীটনাশক	பூச்சிக்கொல்லி
বক্ররেখা	வளைவு
বক্ররেখা	வளைவுகள்
গেটস	கேட்ஸ்
এক্সটেনশন	விரிவாக்கம்
ব্রাউনের	பழுப்பு
ব্রাউনের	பிரவுன்
ব্রাউনের	பிரான்சில்
ব্রাউনের	பிரான்
কালীঘাট	காளிகாட்
শশী	சசி
সুজা	சோசா
সুজা	சுஜா
ধূমপান	புகை
লুইজ	லூயி
ধ্বংসাত্মক	அழிவு
সমানভাবে	சமமாக
সেটার	செட்டர்
গোবর	சாணி
মেহতা	மேத்தா
প্রমিত	வழக்கமானது
প্রমিত	நிலையானது
প্রমিত	நிலையான
ডেয়ারডেভিলস	டேர்டெவில்ஸ்
দই	தயிர்
দই	தயிர்
লিওনার্ড	லியோனார்ட்
অপমান	இழிவு
অপমান	அவமதிப்பு
অপমান	அவமானம்
নেত্রী	தலைவர்
তাঁত	தறி
গোর্খা	கூர்கா
চেখভ	செக்கோவ்
বিচলিত	நரம்பு
বিচলিত	நரம்புத்
বিচলিত	நரம்பியல்
বিচলিত	வருத்தம்
রাইডার	ரைடர்
প্রশিক্ষিত	பயிற்சிபெற்ற
পূর্বাভাস	முன்னறிவிப்பு
ল্যান্স	லான்ஸ்
সোয়ান	அன்னம்
কাভি	கபி
নানক	நானக்
কুকুরের	நாய்
মাছরাঙা	கொத்தி
ফতেহ	பதே
মিঠুন	மிதுன்
বন্দনা	வந்தனா
মেয়ার	மேயர்
কুসংস্কার	பாரபட்சம்
দাসী	வேலைக்காரி
সূচী	உள்ளடக்கங்கள்
সূচী	குறிப்புரை
সূচী	உள்ளடக்கம்
টিনের	தகர
টিনের	டின்
পুরি	புரி
পুরি	பூரி
পদ্মার	பத்ம
পদ্মার	பத்மா
অপর্ণা	அபர்ணா
শফিক	சபீக்
ম্যাট্রিক্স	அணி
ম্যাট্রিক্স	மேட்ரிக்ஸ்
নির্যাতিত	தவறாகப்
পেয়ারা	கொய்யா
এফবিআই	fbi
ড্রামার	டிரம்மர்
তিল	எள்
ম্যাডিসন	மேடிசன்
প্রাপ্তবয়স্কদের	பெரியவர்கள்
টমেটো	தக்காளி
প্রতিলিপি	பிரதிகள்
গৌরী	கவுரி
অং	ஆங்
ক্লায়েন্ট	வாடிக்கையாளரின்
ক্লায়েন্ট	வாடிக்கையாளர்
ক্লায়েন্ট	உறுப்பினர்
ক্লায়েন্ট	கிளையன்ட்
হাঁটা	நடந்து
হাঁটা	நடத்தல்
হাঁটা	நடக்கிறார்
হাঁটা	வாக்கிங்
হাঁটা	நடைப்பயிற்சி
হাঁটা	நடைபயணம்
হাঁটা	நட
হাঁটা	நடை
হাঁটা	நடக்க
টানেল	சுரங்கம்
পটাশিয়াম	பொட்டாசியம்
পরামর্শক	ஆலோசகர்
জিনিসপত্র	பொருட்களை
পুরুষেরা	ஆண்கள்
পুরুষেরা	ஆண்
পুরুষেরা	ஆண்களிடம்
এক্সবক্স	xbox
ম্যানিলা	மணிலா
আলিগড়	அலிகார்
জ্যামাইকা	ஜமைக்கா
মুরগির	சிக்கன்
মুরগির	கோழி
শিরা	நரம்பு
সংবেদনশীল	முக்கியமானவை
সংবেদনশীল	உணர்வுள்ள
আন্তরিক	நேர்மையான
আন্তরিক	இதமாக
ট্রান্সপোর্ট	transporter
আর্টিলারি	பீரங்கி
মার্স	மார்ஸ்
মার্স	செவ்வாய்
আওরঙ্গজেব	ஔரங்கசீப்
তরুন	இளமையான
তরুন	இளம்
তরুন	இளமையாக
ভালুক	கரடி
পৌঁছাতে	பார்வை
প্রিন্সিপাল	முதல்வர்
সুজি	சூசி
অভিজিৎ	அபிஜித்
পোলক	பொலொக்
প্রস্থান	வெளியேற்று
প্রস্থান	வெளியேறும்
প্রস্থান	வெளியேறு
নখ	நகங்கள்
চেজ	சேஸ்
সেলুলার	செல்லுலார்
পাইরেটস	கொள்ளையர்களை
পাইরেটস	கொள்ளையர்கள்
হায়দরাবাদ	ஐதராபாத்
হায়দরাবাদ	ஹைதராபாத்
গন্তব্য	இலக்கு
গন্তব্য	சேருமிடம்
গন্তব্য	சேரும்
টেলার	டெல்லர்
পেইন্টিং	ஓவியத்தை
পেইন্টিং	ஓவியம்
শুন্য	சுழி
ভজন	பஜனை
অসন্তুষ্ট	அதிருப்தி
চায়ের	தேநீர்
চায়ের	தேயிலை
চায়ের	டீ
ড্যানিশ	டேனிஷ்
ড্যানিশ	டானிஷ்
দাম্পত্য	மணப்பெண்
তর্ক	வாக்குவாதம்
অর্ডোভিশিয়ান	ordovician
প্রিয়াঙ্কা	பிரியங்கா
আগ্রাসী	அதிகளவு
কদর	பாராட்டுகிறேன்
কদর	பாராட்ட
প্রজ্ঞা	ஞானம்
প্রজ্ঞা	ஞானத்தை
গেটের	வாயில்
গেটের	கேட்
সুইং	ஊஞ்சல்
সুইং	மூச்சில்
তাহার	அவளை
তাহার	அவர்
তাহার	அவளின்
তাহার	அவளது
তাহার	அவரது
অভিনেতাদের	நடிகர்கள்
আইজ্যাক	ஐசக்
শাস্তির	வேதனையை
শাস্তির	வேதனை
শাস্তির	தண்டனை
লী	லீ
এস্তোনিয়া	எஸ்டோனியா
দুর্বলতা	பலவீனம்
অনুপ	அனுப்
রিয়া	ரியா
রিয়া	ரியா
কাউন্টার	எண்ணி
কাউন্টার	கவுண்டர்
দেখছি	பார்த்து
দেখছি	பார்க்கிறேன்
দেখছি	பார்த்துக்
দেখছি	காண்கிறார்
প্রসব	பிரசவ
পেদ্রো	பெட்ரோ
অলঙ্কার	நகைகள்
কাজাখস্তান	கஜகஸ்தான்
সহচর	தோழர்
সুবোধ	சுபோத்
বহুবিধ	பெருக்கல்
বহুবিধ	பல
ক্যারোলিনা	கரோலினா
লন	புல்வெளி
ছদ্ম	pseudo
আড্ডা	hangout
আড্ডা	அரட்டை
আম্বেদকর	அம்பேத்கர்
ডিস্ট্রিক্ট	மாவட்ட
ডিস্ট্রিক্ট	மாவட்டம்
বসতে	அமரும்
বতুতা	பதூதா
তিউনিসিয়া	துனீசியா
ডানায়	சிறகுகள்
ডানায়	சிறகு
ক্লিনটন	கிளின்டன்
ক্লিনটন	கிளிண்டன்
মন্ত্রীদের	அமைச்சர்கள்
মন্ত্রীদের	மந்திரிகள்
সহোদর	உடன்பிறப்பு
সহোদর	உடன்பிறப்புகள்
তিলক	திலகர்
গাজা	காசா
আদার	அடர்
আদার	இஞ்சி
বীচ	கடற்கரை
শর্মিলা	சர்மிளா
একতা	ஒற்றுமையே
একতা	ஒற்றுமை
একতা	singularity
সিসি	சிசி
মাং	மாங்
বোতাম	பொத்தான்கள்
বোতাম	பொத்தான்
বোতাম	பட்டன்
ব্রি	ப்ரீ
মশলা	சுவையூட்டும்
মশলা	மசாலா
মশলা	மசாலாக்கள்
প্রত্যাশিত	எதிர்ப்பார்த்த
প্রত্যাশিত	எதிர்பார்த்த
প্রত্যাশিত	எதிர்பார்க்கப்படுகிறது
মুখার্জি	முகர்ஜி
ঢেলে	ஊற்றி
শরণার্থীদের	அகதிகள்
স্থানীয়দের	உள்ளூர்வாசிகள்
অংশগ্রহণকারীদের	பங்கேற்பாளர்கள்
চাদর	தாள்கள்
চাদর	தாள்
স্বাভাবিকভাবে	இயற்கையாகவே
স্বাভাবিকভাবে	இயற்கையாக
ইংরাজি	ஆங்கிலம்
ফ্লয়েড	ஃபிலாய்ட்
বহিরাগত	வெளி
বহিরাগত	வெளிப்புற
ম্যাপ	வரைபடம்
ট্রয়	டிராய்
বিভ্রান্ত	குழப்பமாக
বিভ্রান্ত	குழப்பத்தில்
বিভ্রান্ত	குழப்பம்
বিভ্রান্ত	குழப்பமான
স্পাই	உளவு
ফাঁক	சந்து
ভাগলপুর	பாகல்பூர்
ব্যাচ	batch
কপালে	நெற்றியில்
কপালে	நெற்றி
অ্যাডমিরাল	அட்மிரல்
হরর	திகில்
হরর	பயம்
গ্রুস	grus
মহাকাব্যিক	காவியம்
মহাকাব্যিক	புராண
প্যাট	பாட்
কাট	வெட்டுக்கள்
কাট	வெட்டுதல்
সাংবাদিকদের	பத்திரிக்கையாளர்கள்
সাংবাদিকদের	பத்திரிகையாளர்கள்
মার্কাস	மார்கஸ்
ইন্ডিপেন্ডেন্ট	சுதந்திர
আইনগতভাবে	சட்டபூர்வமாக
অ্যারিজোনা	அரிசோனா
জর্দান	ஜோர்டான்
পার্ট	பாகம்
পার্ট	பகுதி
টেপ	டேப்
টেপ	நாடா
সুইচ	மாற்று
সুইচ	மாறு
হাঁটু	முழங்கால்
হাঁটু	முட்டி
নেতাজী	நேதாஜி
নার্গিস	நர்கிஸ்
বেচে	உயிருடன்
বেচে	உயிரோடு
ধর্ষণের	கற்பழிப்பு
আলজেরীয়	அல்ஜீரிய
বিকেলে	மதியம்
বিকেলে	மதிய
এনজাইম	நொதி
মনোহর	மனோகர்
কং	காங்
শব্দসমষ্টি	வாக்கியம்
মনিটর	நோட்டம்
মনিটর	திரைகள்
খেলছেন	விளையாடி
খেলছেন	விளையாடுகிறது
খেলছেন	விளையாடுகிறார்
খেলছেন	இயக்குகிறது
খেলছেন	விளையாடும்
গম্ভীর	தீவிர
গম্ভীর	சீரியஸ்
গম্ভীর	கம்பீர்
এমআইটি	mit
আমেরিকানদের	அமெரிக்கர்கள்
আমেরিকানদের	அமெரிக்கர்
কোট	கோட்
কোট	கோட்
কোট	மேற்கோள்
নগ্নতা	நிர்வாணம்
আকাশচুম্বী	வானளாவி
পূর্বপুরুষদের	முன்னோர்கள்
টেড	டெட்
কুং	குங்
ক্ষত্রিয়	சத்திரியர்
ফো	ஃபோ
লিডার	தலைவர்
অ্যাডোবি	அடோப்
রাওয়ালপিন্ডি	ராவல்பிண்டி
বাসিন্দারা	குடியிருப்பாளர்கள்
বাসিন্দারা	வசிப்பவர்கள்
মোটরগাড়ি	தானியங்கி
মোটরগাড়ি	வண்டி
মোটরগাড়ি	வாகனம்
প্লেবয়	playboy
কনকাকাফ	concacaf
সাম্রাজ্যবাদ	பேரரசுவாதம்
নির্দোষ	அப்பாவி
দারিদ্র	வறுமை
দারিদ্র	ஏழ்மை
আগ্নেয়াস্ত্র	சுடுகலன்
জানুন	கற்று
জানুন	கற்க
জানুন	அறிக
দাড়িয়ে	நிற்கும்
দাড়িয়ে	நின்று
দাড়িয়ে	நிற்கிறார்
দাড়িয়ে	நின்றுகொண்டு
দাড়িয়ে	நிற்பது
ব্রুকলিন	புரூக்ளின்
ব্যাটারী	பேட்டரி
ডেন	டேன்
ডেন	டென்
ব্র্যাক	பிராக்
অদিতি	அதிதி
মাহফুজ	மஹ்ஃபூஸ்
চুম্বন	முத்தமிடும்
চুম্বন	முத்தங்கள்
চুম্বন	முத்தமிட்டு
চুম্বন	கிஸ்
চুম্বন	முத்தம்
চুম্বন	முத்தமிட
সান্টা	சாண்டா
সান্টা	சான்டா
সমেত	உள்ளடக்கிய
বোমাবর্ষণ	குண்டுவெடிப்பு
ইভান্স	ஈவான்ஸ்
জ্ঞাত	தெரிந்தது
জ্ঞাত	தெரிந்த
সংহতি	solidarity
সেরে	மீட்டெடுப்பு
সেরে	மீட்பு
টেসলা	டெஸ்லா
দুঃখিত	மன்னிக்கவும்
দুঃখিত	வருந்துகிறேன்
ভোল্ট	வோல்ட்
ভোল্ট	வோல்ட்ஸ்
অভিনন্দন	வாழ்த்துக்கள்
অভিনন্দন	வாழ்த்துகள்
অভিনন্দন	வாழ்த்துக்கள்
অভিনন্দন	வாழ்த்துகள்
ফোটে	மலர
ফোটে	மொட்டுக்கள்
সেনেগাল	செனகல்
মুনি	மூனி
মুনি	முனி
মহর্ষি	மகரிஷி
নন্দন	நந்தன்
বাঁচার	பிழைப்பு
চার্চিল	சர்ச்சில்
উপকার	லாபம்
উপকার	இலாபம்
উপকার	நன்மை
উপকার	பலனும்
উপকার	பலன்
উপকার	பயன்
উপকার	பலன்கள்
উপকার	நன்மைகள்
লেবু	எலுமிச்சை
সুখী	சந்தோஷமாக
সুখী	இனிய
সুখী	மகிழ்ச்சி
সুখী	மகிழ்வான
গীর্জা	தேவாலயம்
গীর্জা	சர்ச்
হান্ট	வேட்டை
সৌমিত্র	சௌமித்திர
ঘটনাসমূহ	நிகழ்ச்சிகள்
ঘটনাসমূহ	நிகழ்வுகள்
কদাচিৎ	அரிதாக
ঐশ্বরিক	தெய்வீகம்
ঐশ্বরিক	தெய்வீக
পোর্তো	போர்டோ
নন্দিনী	நந்தினி
বৃন্দাবন	பிருந்தாவனம்
ফিঞ্চ	பறவை
ফিঞ্চ	finch
শোভাযাত্রা	ஊர்வலம்
ছেলেরা	பாய்ஸ்
ছেলেরা	சிறுவர்கள்
ছেলেরা	மகன்கள்
ছেলেরা	நண்பர்களே
ছেলেরা	தோழர்கள்
ছেলেরা	பசங்க
ছেলেরা	தோழர்களே
সস্তা	மலிவான
পরিবাহী	கடத்தி
পরিবাহী	நடத்துனர்
মানসিকতা	மனப்போக்கை
পরিদর্শনে	வருகை
খাত্তাব	கத்தாப்
ঘুঘু	புறா
ওরিয়েন্টাল	ஓரியண்டல்
বোল্ট	போல்ட்
বোল্ট	bolt
আঙ্গুল	விரல்கள்
আঙ্গুল	விரல்களால்
আঙ্গুল	விரல்களை
আঙ্গুল	விரலை
আঙ্গুল	விரல்
ডক	டாக்
শিখে	கற்றுக்கொண்ட
অসলো	ஒஸ்லோ
খাঁটি	தூய்மையான
খাঁটি	தூய்மை
খাঁটি	தூய
গোলাবারুদ	ஆயுதம்
কিংডম	ஆட்சி
কিংডম	கிங்டம்
সরবরাহকারী	வழங்குநர்
সরবরাহকারী	வழங்குவோர்
রেমন্ড	ரேமாண்ட்
কাশ্মীরি	காஷ்மீரி
সনাক্তকরণ	கண்டறிதல்
টিউমার	கட்டி
আভা	அவா
আস্তানা	அஸ்தானா
হত্যাকান্ড	கொலை
সঙ্গম	சங்கம்
সঙ্গম	சங்க
পরিচালকদের	directors
পরিচালকদের	இயக்குநர்கள்
পরিচালকদের	இயக்குனர்கள்
পরিচালকদের	மேலாளர்கள்
ময়লা	அழுக்கு
বার্নস	பார்ன்ஸ்
টেলিকম	டெலிகாம்
বর্ন	பிறந்தது
বর্ন	பிறப்பு
বর্ন	பிறந்து
কাঠামোগত	கட்டமைப்பு
ঝিনুক	சிப்பிகள்
ঝিনুক	சிப்பி
রম্য	ரம்யா
এইচআইভি	hiv
লিথুয়ানিয়া	லிதுவேனியா
কানপুর	கான்பூர்
বাত	மூட்டு
স্ত্রীদের	மனைவிகள்
জেনারেটর	இயற்றி
জেনারেটর	உருவாக்கி
শান্তনু	சந்தனு
যুগোস্লাভিয়া	யூகோசுலாவியா
সিগারেট	சிகரெட்
সিগারেট	சிகரெட்
সাবধান	ஜாக்கிரதை
সাবধান	எச்சரிக்கை
সাবধান	கவனமாக
কেনসিংটন	kensington
বান্টু	பண்டு
ইতিমধ্যেই	ஏற்கனவே
ইতিমধ্যেই	முன்பே
জা	ஜா
লুমিয়া	லூமியா
দাতা	கொடை
কার্গো	சரக்கு
সাই	psy
সাই	psi
সাই	சாய்
পাউডার	பொடி
পাউডার	பவுடர்
বিশৃঙ্খলা	கோளாறு
বিশৃঙ্খলা	குழப்பம்
বিশৃঙ্খলা	குழப்பமான
অন্যভাবে	இல்லையெனில்
মরিসন	மோரிசன்
ভাঁজ	மடி
ফ্ল্যাগ	கொடிகள்
যোনি	யோனி
অনুরাগী	ரசிகன்
অনুরাগী	ரசிகர்
অনুরাগী	விசிறி
ফ্যান	ரசிகன்
ফ্যান	ரசிகர்
ফ্যান	விசிறி
প্রসেসিং	செயல்படுத்துகிறது
