víztározó	reservoir
elektronok	electrons
marius	marius
lépések	footsteps
lépések	stappe
gőz	steam
fenntartani	handhaaf
fenntartani	onderhou
drake	drake
mohammed	mohammed
szándék	voorneme
szándék	bedoeling
oklahoma	oklahoma
papság	predikante
papság	predikant
klán	clan
klán	klan
cseng	cheng
pestis	plaag
toni	toni
elefánt	elephants
elefánt	olifant
christine	christine
fejlesztők	ontwikkelaars
ghost	spook
jensen	jensen
csi	csl
csi	csi
olaf	olaf
alkalmatlan	onbekwaam
fogyasztói	openbaring
fogyasztói	verbruiker
dawn	dawn
hurley	hurley
piazza	piazza
arcát	gesiggie
arcát	gesig
bibliográfia	bibliography
alexandru	alexandru
elégedett	tevrede
vizsga	ondersoeke
vizsga	eksamen
rajzok	tekeninge
népszerűek	gewild
népszerűek	gewilde
med	med
színházak	teaters
kúp	kegel
kúp	cone
fisher	fisher
hammer	hamer
hammer	hammer
sherman	sherman
lombhullató	bladwisselende
öröksége	legacy
létesítmények	fasiliteite
létesítmények	verhuur
létesítmények	geriewe
létesítmények	installasies
megvédeni	verdedig
törvényszéki	forensiese
kötve	gebind
anatómia	anatomy
szociológia	sosiologie
igények	eise
őskori	prehistoric
állapotok	voorwaardes
állapotok	toestande
állapotok	statusse
tanya	tanya
diszkrét	diskrete
bors	peper
libanon	libanon
szögletes	vierkantig
szögletes	vierkant
szögletes	vierkantige
szögletes	detailed
gravitáció	swaartekrag
gravitáció	gravitasie
megfogalmazás	wording
nyugdíjas	aftrede
nyugdíjas	afgetree
dániában	denemarke
clapton	clapton
szerkezetek	konstruksies
ima	prayers
ima	gebed
hérault	hérault
törvényszék	tribunal
gheorghe	gheorghe
frissítés	opgedateer
frissítés	gewysig
frissítés	bygewerk
frissítés	opgradering
frissítés	opgradeer
frissítés	opdateer
frissítés	opgedateer
frissítés	verfris
frissítés	herlaai
frissítés	opdaterings
frissítés	bywerkings
frissítés	wysigings
frissítés	update
banglades	bangladesj
patakok	strome
grimm	grimm
üzbég	oesbekies
szava	woord
denevér	vlermuis
eleanor	eleanor
stoke	stoke
court	hof
bolgárok	bulgare
szakács	cook
szakács	chef
szakács	sjef
sírok	huil
monográfia	monograph
türk	türk
andorra	andorra
gyík	lizard
gyík	akkedis
ólom	lei
ólom	lood
ólom	aanvoer
mérés	maatreëls
mérés	meting
mérés	mate
mérés	mates
mérés	maatreëls
bankok	banke
társ	vennoot
társ	maat
társ	lewensmaat
társ	metgesel
társ	companion
szimbólum	simbole
szimbólum	simbool
misszió	missie
misszió	sending
ibériai	iberiese
jose	jose
jose	josé
nővérek	susters
nővérek	verpleegsters
kezelt	behandel
kezelt	hanteer
ikon	ikoon
igényes	intensiewe
igényes	verlang
kürt	horing
frakció	fraksie
frakció	breuk
frakció	fraktion
állítások	eise
állítások	bewerings
queens	queens
kolumbusz	columbus
júliusi	julie
vásár	redelik
madison	madison
vezérlő	kontrole
vezérlő	beheer
vezérlő	beheerder
papagáj	papegaai
amadeus	amadeus
andrews	andrews
aktivista	activist
guineai	guinee
reed	riet
reed	reed
cápa	jaws
cápa	shark
cápa	haai
cápa	haaie
gyógyszertár	apteke
gyógyszertár	apteek
gyógyszertár	farmasie
gyógyszertár	apteek
dietrich	dietrich
ösvény	trail
ösvény	spoor
bagoly	uile
bagoly	uil
jelezve	aanduiding
neville	neville
bogár	fout
bogár	beetle
cro	cro
asztal	veranderlike
asztal	tafel
asztal	tabel
asztal	lessenaar
asztal	waardes
asztal	tafels
asztal	werkskerm
apáca	nun
gaston	gaston
sylvia	sylvia
károk	skadevergoeding
megtanult	learned
megtanult	geleer
megtanult	geleer
freiburg	freiburg
faust	faust
áttekintés	oorsig
áttekintés	oorleg
iparág	bedryf
mol	mol
jozef	jozef
hitel	krediet
hitel	lening
magatartás	gedrag
magatartás	optrede
magatartás	houding
magatartás	gedrag
magatartás	optrede
összeomlott	ineengestort
összeomlott	ingevou
nottingham	nottingham
kincs	treasures
kincs	treasure
porter	porter
indy	indy
felhő	wolk
institut	institut
ukrajnai	oekraïens
súlyosabb	swaarder
harcolni	bakleiery
harcolni	fighting
harcolni	veg
víg	geseënde
guillaume	guillaume
élmény	ervaar
élmény	ervaring
élmény	ondervinding
kisebbek	kleiner
realista	realistiese
corvinus	corvinus
országút	hoofweg
országút	grootpad
országút	highway
felkelő	rebel
munkaügyi	arbeid
munkaügyi	labour
bevándorlók	immigrant
feltételezés	assumptions
feltételezés	assumption
feltételezés	hipotese
kábítószer	medisyne
kábítószer	drugs
kábítószer	dwelms
kábítószer	dwelm
kábítószer	drug
egyesülés	samesmelting
madeira	madeira
newman	newman
dharma	dharma
mitikus	magiese
rich	ryk
mérések	maatreëls
lábak	voete
falakat	mure
helyreállítása	restourasie
szökés	ontsnap
nézi	kyk
carolina	carolina
sav	suur
tucatnyi	dosyne
dühös	woedend
dühös	kwaai
geoffrey	geoffrey
iris	iris
pénteken	vrydag
winkler	winkler
rejtély	mystery
rejtély	geheimsinnig
méretei	dimensies
lima	lima
friuli	friuli
megfigyelés	monitering
megfigyelés	observasie
ellenőrzési	kontrole
ellenőrzési	beheer
ellenőrzési	oudit
ellenőrzési	inspeksie
ellenőrzési	insae
logisztikai	logistiek
logisztikai	logistieke
logisztikai	logistieke
hiány	deficiency
felfedezni	discovering
felfedezni	ontdek
che	che
lebegő	swewende
lebegő	wissel
lebegő	sweef
nyilatkozata	stelling
nyilatkozata	verklaring
bél	gut
lelkek	souls
lelkek	geeste
lelkek	spirits
webes	web
corpus	corpus
forog	rolling
forog	spinning
menyasszony	bride
menyasszony	bruid
ruth	ruth
szarka	magpie
szept	sept
brooklyn	brooklyn
lépéseket	footsteps
lépéseket	stappe
virágos	floral
virágos	blom
tételek	items
riga	riga
merül	dives
átmenet	oorgang
vírusok	viruses
időpontok	datums
időpontok	afsprake
időpontok	tye
időpontok	kere
bolt	winkel
bolt	stoor
bolt	winkel
atomok	atome
mont	mont
connor	connor
olvasás	lees
vacsora	aandete
vacsora	aandete
ütközés	impact
ütközés	impak
ütközés	omval
ütközés	insident
ütközés	crash
ütközés	konflik
bizánc	byzantium
córdoba	córdoba
kalap	hats
kalap	hoed
landes	landes
solo	solo
szerződések	verdrae
sus	sto
galaktikus	galaktiese
főszerepben	rolverdeling
lobogó	vlaggie
lobogó	vlag
lobogó	rapporteer
mussolini	mussolini
tito	tito
delhi	delhi
fordítások	vertalings
kaput	hek
csontok	bones
csontok	bene
örökzöld	immergroen
kulcsfontosságú	sleutel
kulcsfontosságú	key
augsburg	augsburg
familia	familia
történeteket	berigte
történeteket	stories
legrövidebb	kortste
gyógyfürdő	spa
idegenek	vreemdelinge
idegenek	aliens
működtetett	operated
kessler	kessler
becker	becker
izgalmas	opwindende
izgalmas	exciting
kirk	kirk
kirk	damara
divatos	stylvolle
helytartó	viceroy
dimenziós	dimensional
gerald	gerald
fura	weird
fura	vreemd
vittorio	vittorio
malawi	malawi
világegyetem	heelal
unicode	unicode
leírások	spesifikasies
csiga	slak
csapás	staking
csapás	strike
májusi	may
májusi	mei
májusi	mag
proton	proton
titus	titus
moritz	moritz
gén	gene
fémek	metaal
fémek	metale
hangulat	atmosfeer
hangulat	bui
hangulat	gemoed
hangulat	gemoedstoestand
wembley	wembley
stella	stella
tanácsok	advies
tanácsok	raad
tanácsok	wenke
tanácsok	leidrade
tanácsok	borde
alkalmazottak	werknemer
alkalmazottak	werknemers
alkalmazottak	personeel
alkalmazottak	staff
beszélgetések	gesprekke
beszélgetések	besprekings
fesztiválok	festivals
export	uitvoer
export	verstryk
sidney	sidney
wesley	wesley
barrett	barrett
drôme	drôme
javier	javier
publius	publius
echo	ego
echo	echo
nyertes	winner
nyertes	wenner
nico	nico
numerikus	numeriese
numerikus	numeries
numerikus	numeriese
robertson	robertson
vatikán	vatikaan
perth	perth
villám	donderweer
villám	flits
villám	flash
villám	thunderbolt
villám	weerlig
emlékezet	geheue
emlékezet	herinnering
pulitzer	pulitzer
alaszka	alaska
portland	portland
nigériai	nigeriese
lozère	lozère
megnyitott	oopgemaak
rabszolgák	slawe
felelősséget	verantwoordelikheid
reagált	gereageer
reagált	geantwoord
reagált	gereageer
marche	marche
beton	beton
fizikailag	fisies
időtartama	duur
időtartama	tydperk
időtartama	tydsduur
swift	swift
döntések	besluite
döntések	keuses
glen	glen
clara	clara
nikola	nikola
kunst	kunst
egon	egon
kuvait	kuwait
bree	bree
stefano	stefano
szomália	somalia
szomália	somaliese
kielégítő	bevredigende
kielégítő	bevredigend
kielégítő	voldoening
emmanuel	emmanuel
identitás	identiteit
romagna	romagna
figurák	figure
enrico	enrico
szövetségek	assosiasies
szövetségek	verenigings
eleven	lively
rendhagyó	unconventional
gabon	gaboen
napfény	son
napfény	daglig
napfény	sonskyn
napfény	sonlig
uri	uri
közgazdaságtan	ekonomie
eng	eng
mongolok	mongols
willis	willis
gyűjtő	collector
csing	ching
csing	qing
etruszk	etruscan
marianne	marianne
udmurt	udm
itunes	itunes
egyének	individue
keller	keller
legyőzni	beat
legyőzni	ritme
legyőzni	klop
legyőzni	oorwin
southampton	southampton
radar	radar
eredményesen	doeltreffend
aquila	aquila
kávé	koffie
mallorca	majorka
mallorca	mallorca
szeretettel	liefde
iphone	iphone
volkswagen	volkswagen
óbuda	óbuda
bravo	bravo
zaj	geraas
taktikai	taktiese
lövedék	koeël
lövedék	bullet
piero	piero
irina	irina
sol	sol
élelmiszerek	kos
élelmiszerek	voedsel
élelmiszerek	limited
élelmiszerek	foods
tbiliszi	tbilisi
lepke	skoenlapper
jemen	jemen
gyártók	producers
gyártók	vervaardigers
abel	abel
akna	shaft
teresa	teresa
populáció	bevolking
populáció	populasie
párzási	mating
tours	toere
tours	tours
lucie	lucie
titkok	secrets
titkok	geheime
adelaide	adelaide
sziklák	cliffs
sziklák	klippe
sziklák	rotse
barbár	barbaars
barbár	barbarian
quintus	quintus
banks	banke
jegy	kaartjies
jegy	kaartjie
sterling	sterling
barnes	barnes
őrizetbe	aangehou
műtét	chirurgie
tárgyalni	onderhandel
fidzsi	fiji
bhután	bhoetan
utf	utf
azonosítani	identifiseer
vese	nier
becslés	skattings
becslés	beramings
becslés	skatting
becslés	beraming
becslés	skat
becslés	skatting
casey	casey
áruk	verhandeling
áruk	goedere
mon	mon
előtag	voorvoegsel
lopez	lopez
megtévesztő	misleidende
megtévesztő	misleidend
megtévesztő	wanvoorstelling
gábriel	gabriel
problémákkal	probleme
problémákkal	problems
frekvencia	frekwensie
togo	togo
yale	yale
európaiak	europeans
címzett	aangespreek
homályos	dof
homályos	verdof
ruanda	rwanda
olivér	oliver
szonda	ondersoek
eredet	oorsprong
eredet	inception
üzbegisztán	oesbekistan
eugen	eugen
thor	thor
yorki	york
airbus	airbus
botok	bots
botok	botte
botok	robotte
botok	stokke
töltés	hef
töltés	lading
töltés	heffing
töltés	charge
reális	realistiese
éljen	hael
életem	lewe
agyag	clay
ehető	eetbare
lövés	skiet
lövés	verskietende
lövés	skoot
lövés	skote
milano	milano
képzeletbeli	imaginary
képzeletbeli	denkbeeldige
térképet	kaart
modena	modena
arturo	arturo
postai	posgeld
szállítás	vervoer
szállítás	versending
szállítás	aflewering
szállítás	aflewer
szállítás	lewering
szállítás	besending
szállítás	vervoer
szállítás	transport
johnston	johnston
szelek	winds
thrash	spreek
fényképész	fotograaf
maszk	masker
maszk	maskers
szenvedés	misery
sávos	gebande
elválasztó	skeier
elválasztó	tussenin
elválasztó	skeiding
gerinc	spine
gerinc	ruggraat
bergamo	bergamo
arkansas	arkansas
lear	lear
nokia	nokia
strasbourg	strasbourg
reynolds	reynolds
vilaine	vilaine
inaktív	onaktief
mick	mick
ellenfelek	teenstanders
maxwell	maxwell
sancho	sancho
állampolgárok	landsburgers
állampolgárok	burgers
állampolgárok	citizens
fedélzeten	bord
planck	planck
animáció	animasie
kane	kane
bizonyítás	proeflees
bizonyítás	bewys
android	android
donizetti	donizetti
gabona	graan
gabona	graan
maryland	maryland
saga	saga
eszmék	ideale
eszmék	idees
kereslet	aanvraag
terminál	terminaal
megtartása	keeping
nézem	kyk
kóros	abnormale
bismarck	bismarck
chip	chip
húsvéti	paasfees
kívánatos	gewenste
konsztantyin	konstantyn
konsztantyin	konstantin
allier	allier
egyenletesen	eweredig
jegyek	kaartjies
futás	hardloop
futás	hardloop
kertje	tuin
tiger	tier
tiger	tiger
naiv	naïve
tisztviselők	departementele
tisztviselők	amptenare
üzemek	plants
üzemek	plante
üzemek	fabrieke
gyomor	maag
szenvedélyes	hartstogtelik
szenvedélyes	passionate
követelmény	vereistes
virágzik	bloom
védekezés	verdedigende
védekezés	verdediging
védekezés	verdediging
védekezés	defence
vadászok	hunters
vadászok	vegters
desmond	desmond
letöltés	aflaai
letöltés	afgelaai
letöltés	aflaaie
aids	vigs
