cinematograf	فلمسازی
prolific	کثیر
socializare	گروہی.
socializare	عمرانی.
spice	لونگ
spice	الائچی
discriminarea	تفریق
discriminarea	شناخت
discriminarea	تمیز
urât	بیہودہ
urât	گھنائونا
urât	کریہہ
urât	ڈرائونا
urât	صورت
urât	واہیات
urât	خطرناک
urât	خوفناک
urât	زشت
urât	بھیانک
urât	بھدّا
urât	بیہودہ
urât	گھنائونا
urât	کریہہ
urât	ڈرائونا
urât	صورت
urât	واہیات
urât	خطرناک
urât	بدنما
urât	خوفناک
urât	زشت
urât	بھیانک
urât	بھدّا
vegetală	جامد-
vegetală	لدّھڑ
vegetală	بقلی
vegetală	آلو
vegetală	نباتی
desenat	خوف
desenat	اکڑا
fluture	اڑانے
conductor	استقبال
conductor	گارڈ.
conductor	ناظم.
rasiale	نسلی
discret	مجرّد
discret	چوکس
invitație	بلاوا
invitație	نیوتا.
veterinar	منصوبے
veterinar	بیطار
veterinar	سلوتری
veterinar	بیطارانہ
veterinar	سلوتری.
uniforme	(ٹیکس
uniforme	وردی.
uniforme	یکساں
pahar	سوڈے
pahar	لگانا.
manevra	out
biologia	حیاتیات.
job	دھوکا
job	پھٹکل
job	چرکا
job	وار
job	دھکا
job	فریب
job	کیفیت
pâinea	نقدی
pâinea	روٹی
pâinea	نقدی
aliaj	کھوٹ
aliaj	میل
aliaj	بھرت
aliaj	کھوٹ
aliaj	میل
aliaj	بھرت
aliaj	آمیزہ
abdice	تجنا
abdice	تیاگنا
preistorice	فرسودہ.
acasa	ٹھکانا
acasa	جگہ
penny	دینار.
palestinieni	فلسطینی
planetar	دنیوی.
planetar	ارضی
planetar	زمینی
periferice	اضافی
periferice	ذیلی.
periferice	بیرونی
manipulare	کارستانی
navigabil	سکّانی.
navigabil	پتواردار
confuzii	ملغوبہ
confuzii	ملغوبہ
confuzii	افراتفری
insuficiente	نارسا
insuficiente	کمتر.
insuficiente	ناکافی
insuficiente	نارسا
insuficiente	کمتر.
acceptabil	کافی
imaginar	خیالی
vectorul	سمتیہ
vectorul	سمتیانا
sloganul	نعرہ
temperată	درمیانہ.
temperată	محترز
plânge	پکار
plânge	للکار
plânge	بھونک.
plânge	فریاد.
plânge	آوازہ.
plânge	انوروں
plânge	پکار
plânge	للکار
plânge	بھونک.
plânge	فریاد.
plânge	رونا
plânge	آوازہ.
plânge	انوروں
refuza	فالتو
refuza	ردّی.
refuza	فالتو
refuza	ردّی.
refuza	پھوک
doliu	عزاداری.
diabet	ذیابیطس
diabet	پیاس
reglementarea	ہدایت
reglementarea	حکم.
sclavia	بندگی.
sclavia	غلامی
stomac	abomasum)
stomac	تکرار
stomac	omasum
stomac	reticulum
stomac	سہنا
stomac	خطرے
stomac	ولولہ
cherry	بکارت
cherry	دوشیزہ
cherry	دوشیزگی
comment	توضیح
comment	تصویر
comment	مثال
ciupercă	اسفنجی
ciupercă	خمیر
ciupercă	فطر
ciupercă	ڈاڑھی.
ciupercă	کھنبی
preparat	تیاری
preparat	آمادگی
preparat	مستعدی.
gong	بِلّا.
gong	تمغا
stelar	پسندیدہ.
stelar	کوکبی.
stelar	نمایاں
poluare	تعفّن
poluare	آلودگی
poluare	تعفّن
reclama	اشتہار.
trunchi	ساقہ.
trunchi	ڈکّی.
taxă	فیس.
taxă	معاوضہ
taxă	محنتانہ
taxă	محصول
taxă	مکلف
taxă	دباؤ.
taxă	ٹیکس
taxă	مکلف
taxă	دباؤ.
taxă	کر
taxă	محصول
taxă	ٹیکس
abuziv	رکیک
piston	فشارہ.
viza	ویزا
separatiste	علاحدہ
separatiste	گریز
separatiste	الگ
noroi	آلودگی.
noroi	گلابہ.
noroi	کیچڑ
arenă	اکھاڑا.
jungle	ابتر
jungle	پیچیدہ
tempo	چال.
tempo	حرکت
tempo	رفتارعمل
clan	بڑا
clan	گوت
clan	ڈار
clan	بڑا
clan	گوت
clan	قبیلہ
clan	ڈار
vino	(فجائیہ)
vino	برتائو
vino	نزدیک
vino	کردار
vino	(فجائیہ)
vino	آنا
vino	برتائو
vino	نزدیک
vino	کردار
stâlp	لمبا
stâlp	بانس
stâlp	لکڑی
stâlp	لاٹ.
stâlp	تھم
stâlp	لکڑی
stâlp	لاٹ.
stejarul	یونیورسٹی
preferință	برتری
preferință	مرجح.
preferință	برتری
preferință	ترجیح
preferință	مرجح.
cec	چیک
lentile	تال
lentile	روشنی
lentile	عدسہ
lentile	تال
lentile	روشنی
unanim	متفقہ
ciocanul	ہرانا
ciocanul	بجانا
ciocanul	پچکانا
externi	خارجی
externi	خارجی
externi	بیرونی
specifica	(بعدہ
făt	جنین
aderare	پانا
aderare	ادخال.
aderare	رسائی
praful	دھرتی
praful	چھڑکنا
praful	فساد
praful	انتشار
praful	غبار
praful	بُرکنا
praful	زمین
sigiliul	درز
vacant	خالی
vacant	خلا
elefant	فیل
admira	سراہنا
dragi	حیرت
dragi	خوف
dragi	پیارا
dragi	حیرت
dragi	خوف
shell	سیپ
shell	صدف
shell	کوڑی
shell	خول
shell	سیپ
shell	صدف
shell	کوڑی
shell	قشر
rezident	فطری
rezident	جبلی.
rezident	جاگزیں
cerebrală	فکری
riscuri	خطرہ
jumatate	half-back
anexă	تعلیقہ.
anexă	تعلیقہ.
anexă	ضمیمہ
anexă	ہتھیانا.
cuprinzătoare	سمجھ
cuprinzătoare	فہم
amurg	انحطاط
amurg	جُھٹپٹا
amurg	زوال
amurg	تباہی.
amurg	اندھیرا.
amurg	سایہ
rug	چتا
prinderea	پُرکشش.
sandy	ریتیلا.
eliminare	رکھنے
eliminare	تنظیم
eliminare	ترتیب
eliminare	ڈھنگ
ieftin	معمولی
ieftin	کمتر
ieftin	ادنیٰ
ieftin	معمولی
ieftin	کمتر
ieftin	ادنیٰ
ieftin	گھٹیا
taxa	فیس.
taxa	معاوضہ
taxa	محنتانہ
taxa	محصول
taxa	مکلف
taxa	دباؤ.
taxa	ٹیکس
taxa	مکلف
taxa	دباؤ.
taxa	کر
taxa	محصول
taxa	ٹیکس
stilistice	اسلوب
stilistice	انداز
minunat	بارعب
tectonice	ساختمانی
nelegitim	غلط
nelegitim	ناواجب
nelegitim	حرامی.
nelegitim	نامناسب.
nelegitim	ناجائز
supliment	تعدیل
supliment	تکمیل
logodit	منسوب
logodit	منسوب
logodit	مشغول
confiscarea	ضبطی
botul	نکو.
botul	مُخبر.
aga	گیس
florale	پھولدار
florale	مشجّر
florale	منقش
spontane	رواں.
spontane	خودرو
spontane	ازخود
spontane	اضطراری
spontane	فطرتی
nasul	شراب
nasul	چونچ.
nasul	بینی
nasul	ناک
angaja	کرایہ
angaja	کرائے
angaja	بھاڑا.
haiku	ہائیکو
mistic	متصوّفانہ
mistic	عارفانہ.
mistic	علامتی.
mistic	مخفی.
mistic	باطنی
mistic	مراقبہ
mistic	عارفانہ
mistic	روحانی.
mistic	صوفی
mistic	رمزیہ
mistic	صوفیانہ
mistic	عارف
mistic	سالک
mistic	سرّی
varsta	پیڑھی.
varsta	بڑھاپا.
varsta	عمر
rivalul	رقیب.
rivalul	ہمرتبہ
rivalul	ہمسر
rivalul	ہمسری
neoclasic	آرٹ
manifestul	منشور
capodoperă	شاہکار.
cerb	آہو
cerb	ہرن
cerb	چکارا
polară	قطبی.
abrupt	اچانک
abrupt	نشیب.
abrupt	ڈھالو
abrupt	اتار
abrupt	(بعدہ
abrupt	ڈھلان
abrupt	غیرمعمولی
schemă	ترتیب
schemă	چال.
schemă	سازش
schemă	دستور
schemă	ڈھنگ
audit	پڑتال.
audit	محاسبہ
audit	تنقیح
turlă	مخروطی
rasială	نسلی
optzeci	lxxx
inventarul	فرد
inventarul	سیاہہ.
disperată	متشدّد
disperată	جابر
disperată	نڈر
vitală	توانا
vitală	مہلک
dinte	اثر
dinte	سن
dinte	دنداں
dinte	اثر
dinte	سن
dinte	دنداں
dinte	دانت
mărturia	شہادت
suspect	مشتبہ
perimetru	گھیر
naveta	نال
incolor	پھیکا
alert	متوجہ.
alert	چوکنّا
alert	خبردار
alert	باخبر
alert	متوجہ.
alert	ہوشیار
alert	چوکنّا
alert	خبردار
button	ٹانکنا-
button	تکمہ
button	شمشیرزنی
button	ٹانکنا-
button	تکمہ
button	بٹن
button	شمشیرزنی
clip	فرّاٹا.
clip	(clipped
clip	فرّاٹا.
clip	کاٹنا
clip	(clipped
elice	چرخی
elice	دھکیلنے
wade	ہیلنا
wade	برف
wade	ڈوبے
vapor	چڑھانا.
vapor	مسافروں
vapor	بادبانی
compară	موازنہ
compară	مقابلہ
rozătoare	گلہری
rozătoare	سیہہ.
ego	انانیت.
ego	خودی
ego	ایغو.
ego	انا
ego	انانیت.
ego	خودی
ego	ایغو.
orizontul	تجربے
conversație	گفتگو
conversație	مکالمہ.
făină	آرد
făină	آٹا
marcator	جیتنے
smart	ممتاز.
smart	تیزی
smart	درست
smart	ہوشیار
smart	پھرتیلا.
smart	پھرتی
smart	طرار
smart	وضعدار
smart	تیز
smart	خلش.
smart	عیار
smart	طرحدار
smart	زوردار.
sfinx	ببون
sfinx	عجیب
cioc	ٹونٹی.
cioc	مجسٹریٹ.
anunțul	اعلان
suferi	بھگتنا
suferi	(بعدہ
suferi	تبدیلی
suferi	تکلیف
suferi	رنج
noble	عمدہ
noble	عظیم
noble	خوب
pompă	پھونکنا.
pompă	up
pompă	out
duty	برآمد
duty	سعادتمندی
duty	برآمد
duty	سعادتمندی
duty	محصول
afirme	جتانا
fapta	حقیقی
soc	شورش
soc	کھانا
soc	صدمانا.
soc	(بعدہ
soc	تصادم
soc	دھماکا
soc	ہلچل.
simpatie	شرکت
simpatie	اکثربعدہ
simpatie	ہمدردی.
simpatie	تعزیت.
epidemii	وبائی
observare	مشاہدہ
observare	تبصرہ
observare	ادراک
instantaneu	فوری
instantaneu	فوری
instantaneu	فوراً
molid	ہونا.
molid	چُست
molid	چالاکی
corectarea	تعزیر
corectarea	اصلاح
corectarea	سزا
shore	دیوار
shore	تٹ.
shore	اڑواڑ.
shore	جہاز
shore	(بعدہ
shore	دریا
pet	چہیتاشخص.
pet	خفگی
pet	مخصوص
pet	پالتو
pet	چہیتاشخص.
pet	خفگی
pet	مخصوص
talpa	اکیلا
talpa	تلوا
talpa	ہل
talpa	جوتے
oaspete	مہمان
oaspete	ریڈیو
reformator	مصلح
buretele	over
buretele	پیوٹ.
buretele	on
buretele	out
buretele	اسفنج
tulburare	ناسازی.
tulburare	انتشار
tulburare	ہنگامہ
tulburare	ہلچل.
tulburare	بلوہ
tulburare	ابترکرنا
tulburare	پراگندگی.
carpenter	نجّار
carpenter	بڑھئی
carpenter	ترکھان
ierarhie	فرشتے.
contabil	محاسبی.
contabil	محاسب
alter	بدلنا
homosexual	وارہ
homosexual	بدچلن
homosexual	بدکار.
homosexual	بافراغت
decisive	چُکانے
decisive	حتمی
decisive	فوری
statică	ساکت
statică	مجہول.
statică	جامد
shaggy	گھنے
shaggy	گھنے
shaggy	جھبرا
brută	کچا
brută	ناشائستہ
brută	بونگا
brută	پھپّس-
brută	غبی
brută	گرس.
brută	ٹھوس.
brută	مجموعی
brută	گاڑھا
brută	جملہ
brută	گرز
brută	کل
brută	موٹا
brută	پھپّس-
brută	غبی
brută	گرس.
brută	ٹھوس.
brută	مجموعی
brută	گاڑھا
brută	جملہ
brută	گرز
brută	کل
retorică	پُرتکلف
progresivă	پنپتا
spade	تیشہ
spade	پھاوڑا.
hooker	طوائف.
hooker	بیسوا
relevantă	متعلق
relevantă	برمحل.
ornamentale	آرائشی
consimțământul	رضا
definitive	معاہدہ
wing	شہپرلگانا.
wing	کار
wing	پر
wing	چلانا.
wing	بازو
dona	محبوبہ.
dona	عورت
faimă	شہرت
faimă	رُسوائی
faimă	معروف
faimă	مشہوری.
faimă	ناموری
faimă	شہرت
faimă	رُسوائی
faimă	معروف
faimă	مشہوری.
vorbirea	گویائی
vorbirea	خطاب.
vorbirea	چھیڑنا.
vorbirea	فقرہ
vorbirea	گویائی
vorbirea	خطاب.
vorbirea	تقریر
vorbirea	چھیڑنا.
vorbirea	فقرہ
oval	بیضوی
aviz	خیال
aviz	ظن
aviz	تخمینہ
aviz	جانچ-
aviz	اندازہ
aviz	خیال
aviz	ظن
aviz	رائے
aviz	تخمینہ
aviz	جانچ-
aviz	اندازہ
ilustra	مثال
burgess	بَرا
iubitor	گرویدہ.
iubitor	محبت
iubitor	فریفتگی
iubitor	شفقت.
iubitor	بامحبت
amestecate	مرکب.
amestecate	مرکب.
amestecate	مخلوط
desenată	خوف
desenată	اکڑا
luare	یافت
cardinale	خاص
eroic	شجیع
eroic	ڈرامائی
monstrul	عفریت
monstrul	راکشس.
prosperitate	کامیابی.
prosperitate	خوشحالی
prosperitate	کامیابی.
prosperitate	خوشحالی
prosperitate	فراخی
examinarea	آزمائش.
examinarea	امتحان
examinarea	جانچ
examinarea	آزمائش.
examinarea	امتحان
ilustrator	نقّاش
monahală	درویشانہ
monahală	راہبانہ
monahală	راہب
înțelepciune	کیاست
înțelepciune	حکمت.
înțelepciune	کیاست
înțelepciune	دانائی
înțelepciune	دانش
înțelepciune	حکمت.
înțelepciune	ہوشیاری
minoritatea	اقلیت.
minoritatea	مذہب
infinite	لاتعداد.
infinite	کامل.
infinite	زبردست
infinite	عظیم
infinite	لامحدود
infinite	لاتعداد.
infinite	کامل.
infinite	زبردست
infinite	عظیم
priceput	طاق.
însemnele	بلّا
sue	(اکثربعدہ
sue	for
metropolis	گڑھ.
metropolis	دارالحکومت
buletin	اِڈ
buletin	آں.
cuantic	حصّہ
cuantic	ٹکڑا.
prevenire	تدارک
densă	گنجان
densă	گاڑھا
densă	گنجان
densă	گاڑھا
densă	کثیف
densă	گھنا
multiplă	مخلوط
multiplă	متنوع.
multiplă	ملاجلا.
multiplă	۱ضعاف
multiplă	مضاعف
multiplă	مرکب
latitudinea	رواداری
divide	حصّوں
divide	مرحلہ.
divide	متفرق
membrelor	پاؤں.
membrelor	ٹہنا.
scurgere	رسنے
drastic	شدید
drastic	سخت
linkul	to
linkul	بندھنا
linkul	واسطہ
linkul	cuff-link
linkul	ٹکڑا.
raportează	بتانا
raportează	افواہیں
raportează	(بعدہ
disperare	چھوڑنا
incapacitatea	معذوری
burta	پیٹ
burta	شکم
burta	ابھراہونا.
raidul	لوٹنا
raidul	(بعدہ
raidul	on
matern	مادرانہ.
incredere	جرأتمندی.
incredere	آس.
incredere	امید
incredere	اچاپت.
incredere	آس.
incredere	وقف
incredere	امید
incredere	اچاپت.
brutal	ظالم
brutal	درشت
brutal	وحشی.
heather	اریکا.
melody	نغمگی.
melody	موسیقیت.
capră	احمق.
îngrijorat	متفکّر
îngrijorat	about
îngrijorat	متعلق
îngrijorat	at
incomplete	نامکمل
incomplete	ادھورا.
documentație	مسالہ.
bateristul	ڈھولچی
bateristul	چور.
primitivă	خام
primitivă	بنیادی.
primitivă	اصلی
primitivă	ناپختہ.
cosmetice	مصنوعی
cosmetice	اوپری
cosmetice	(جراحی
grevă	پانا
grevă	(بعدہ
grevă	سوجھنا-
grevă	ٹکرانا
calculată	دانستہ
calculată	مطلوبہ.
lojă	بسانا
lojă	رکھنا
lojă	ٹھہرنا
lojă	سمانا
lojă	اعتراض
presupusă	گفتہ
adversarul	برعکس
adversarul	نقیض.
adversarul	متضاد
adversarul	ضد
demisionează	into
gurii	سدھانا
gurii	دہانہ
gurii	سدھانا
cilindric	اسطوانی
preocuparea	کاروبار
preocuparea	about
preocuparea	فکر
preocuparea	اندیشہ
preocuparea	کاروبار
preocuparea	about
preocuparea	تشویش
preocuparea	فکر
trecătoare	عارضی
trecătoare	مختصر.
neurologie	اعصابیات
precoce	تیز.
precoce	پکاّ
precoce	بالغ
unchi	ماموں
unchi	چچا
unchi	انکل
admiterea	اعتراف
domina	آواز
domina	(فرد
precizia	صداقت
precizia	درستی
precizia	صحت
paranteză	وقفہ
paranteză	قوسین
radial	شعاعی.
acuzare	کارروائی
acuzare	مواخذہ
proaspete	باسی
proaspete	خالص
proaspete	ستھرا
proaspete	مستعد
topor	کلھاڑا
topor	اخراجات
topor	کلھاڑی
topor	تیشہ.
topor	تبر
topor	کلھاڑا
topor	اخراجات
topor	کلھاڑی
topor	تیشہ.
epurare	جلّاب.
epurare	تزکیے
epurare	مٹانا.
înflorit	صحتمند.
comestibile	خوراک.
comestibile	خوردنی
compatibile	روادار
compatibile	موافق
compatibile	(سازوسامان
indiciu	اشارہ
indiciu	سراغ
indiciu	ایما
indiciu	شائبہ
indiciu	احتمال
lodge	بسانا
lodge	رکھنا
lodge	ٹھہرنا
lodge	سمانا
lodge	اعتراض
dun	شرغا
dun	مدّھم
dun	سمند.
răsturnarea	شکست
răsturnarea	ڈھانا
răsturnarea	گرانا
răsturnarea	زوال.
răsturnarea	الٹنا.
aurit	اعلیٰ
aurit	زریں
aurit	اہم
confederate	اتحادی
palm	ہتھیلی
perfecte	بالکل
perfecte	سالم
perfecte	نرا
perfecte	کامل
gale	طوفان.
zombie	ٹھس
chronicle	وقائع
chronicle	بیان
tactici	تعیناتی
tactici	پینترا.
ceapă	پیاز
ceapă	بصلہ.
renovarea	تجدید
renovarea	درستی
renovarea	بحالی
strike	پانا
strike	(بعدہ
strike	سوجھنا-
strike	ٹکرانا
impunătoare	عظیم
impunătoare	شاندار
usher	ماسٹر.
ciocul	ٹونٹی.
ciocul	مجسٹریٹ.
rinichi	گُردہ.
rinichi	طبیعت
rinichi	مزاج
rinichi	کردار
crash	پھینکنا
mistică	متصوّفانہ
mistică	عارفانہ.
kit	تھیلا
kit	سامان
plop	ڈبکی.
plop	ڈبکنا
etimologie	اشتقاق
renală	کلوی.
abandonează	لاابالی
abandonează	ٹھٹھرانا.
corali	مونگا
thunder	گرجنا
thunder	گرج
thunder	رعد
turbină	پانی
bright	روشن
bright	ہوشیار
bright	فطین
bright	طباع
bright	ذہین
bright	چونچال
bright	منور
defect	بال
defect	درز
defect	بگاڑنا
defect	کسر.
defect	دھبّا
defect	عیب
defect	نقص
defect	داغ.
defect	کسر.
defect	دھبّا
defect	عیب
defect	کوتاہی
defect	نقص
defect	داغ.
defect	غبی
defect	عیبی
defect	نامکمل
defect	خراب.
defect	قاصر.
defect	ناقص
defect	تشنہ
documentația	مسالہ.
panou	بڑا
doza	سزا
abdomenul	شکم.
abdomenul	رحم
abdomenul	حشرے
abdomenul	آنتیں
abdomenul	شکم.
abdomenul	رحم
abdomenul	پیٹ
abdomenul	حشرے
abdomenul	آنتیں
brevet	نوایجاد
brevet	اختراعی
brevet	بیّن
brevet	(دریا
brevet	واضح.
brevet	ابدائی.
proeminente	اُبھرواں
proeminente	اہم
proeminente	امتیازی.
proeminente	نمایاں
existenta	کائنات.
existenta	موجودات
existenta	طور
existenta	ہستی.
existenta	پیدا
existenta	وجود
sonic	صوت
sonic	صدا
sonic	صوتی.
săgeată	تیر
săgeată	بان
săgeată	تیر
contur	منصوبے
contur	گھیرا
fidelitate	وثوق
demiterea	موقوفی
demiterea	برخاستگی
demiterea	موقوفی
portofoliu	خریطہ
infinită	لاتعداد.
infinită	کامل.
infinită	زبردست
infinită	عظیم
infinită	لامحدود
infinită	لاتعداد.
infinită	کامل.
infinită	زبردست
infinită	عظیم
ensign	پرچم
tampon	تھاپی
păgâne	گمراہ
habitatul	بستی
habitatul	معمورہ.
confirmare	توثیق
confirmare	پختہ
confirmare	توثیق
confirmare	املاک
examinare	آزمائش.
examinare	امتحان
examinare	جانچ
examinare	آزمائش.
examinare	امتحان
nepotrivit	ناموزوں
nepotrivit	ناموزوں
sistematice	عادی
sistematice	باقاعدہ
misterioase	سرّی.
misterioase	مخفی
bovine	بیوقوف
inspiră	سمجھانا
inspiră	الہام
inspiră	اکسانا
woo	(شہرت
mademoiselle	معلّمہ.
mademoiselle	استانی
compatibil	روادار
compatibil	موافق
compatibil	(سازوسامان
gal	لڑکی.
gal	منڈھائی
gal	پوشش
gal	دھرلینا.
gal	حاجب.
gal	تاخیر.
stimulează	اُکسانا
monopolul	احتکار
monopolul	اجارہ.
blunt	کھڑتل
blunt	ُکند
blunt	گھسنا
blunt	کھونڈا
angajament	منگنی.
angajament	ملاقات
angajament	عہد
angajament	اقرار.
curajos	للکارنا
curajos	جری
curajos	بہادر
curajos	للکارنا
sărăciei	کمی.
sărăciei	کمتری
sărăciei	کمینگی.
sărăciei	مفلسی
sărăciei	کمی.
sărăciei	غریبی
sărăciei	ناداری
sărăciei	کمتری
sărăciei	کمینگی.
sărăciei	مفلسی
psihiatru	بچنا
psihiatru	پچکنا
psihiatru	سکڑنے
psihiatru	احتراز.
psihiatru	(بعدہ
psihiatru	سکڑن
psihiatru	بچنا
psihiatru	پچکنا
psihiatru	دبکنا
psihiatru	سکڑنے
psihiatru	احتراز.
psihiatru	(بعدہ
psihiatru	سکڑن
cilindrică	اسطوانی
père	بڑے
primitiv	خام
primitiv	بنیادی.
primitiv	اصلی
primitiv	ناپختہ.
clandestin	مخفی
clandestin	پوشیدہ
clandestin	خُفیہ
clandestin	مخفی
clandestin	پوشیدہ
pămînt	دنیا
pămînt	بھٹ
pămînt	(الف)خشکی
pămînt	طین
pămînt	بل.
imaginare	خیالی
impozit	مکلف
impozit	دباؤ.
impozit	ٹیکس
impozit	مکلف
impozit	دباؤ.
impozit	کر
impozit	محصول
impozit	ٹیکس
intrebare	(حقائق
intrebare	حالات
intrebare	پرکھنا.
intrebare	سوال.
intrebare	(بعدہ
intrebare	اعتراض
fugi	لاگو
fugi	(اکثربعدہ
fugi	دوڑ
fugi	(کھیل
fugi	پھیرا
fugi	دوڑنا.
fugi	بھاگنا
fugi	حملہ
fugi	تماشے
fugi	(بعدہ
fugi	چڑھائی
crud	بھّدا
crud	اصلی
crud	سرد
crud	خالص
crud	نفاست
crud	کچّا
crud	بھّدا
crud	اصلی
crud	سرد
crud	خالص
crud	نفاست
crud	ایذارساں
crud	(‎crueler
iraniene	پشتو
iraniene	ایرانی
demisioneze	into
credibile	معتبر
arhaic	(الف)آثاریاتی
arhaic	دقیانوسی.
arhaic	قدیمی
ordonată	مطیع
vals	out
mânăstire	صوفیوں
mânăstire	صومعہ.
mânăstire	آشرم
mânăstire	کنیسہ.
evadare	(گیس
evadare	(وعدے
evadare	(خطرے
evadare	بچاؤ
pulmonare	ریوی.
împinge	گھسنا
împinge	جدوجہد.
împinge	بحران.
împinge	یلغار.
împinge	راندنا.
împinge	گھسنا
împinge	دھکیلنا
împinge	جدوجہد.
împinge	بحران.
împinge	یلغار.
împinge	راندنا.
faptă	حقیقی
exotice	اُوپری
exotice	اجنبی
exotice	انوکھا
exotice	نرالا
zoologie	فعلیات
erotice	ہوسناک.
suplimentul	تعدیل
suplimentul	تکمیل
resort	to
resort	مدد
resort	(بعدہ
transversală	آرپار
transversală	قاطع
crin	شلجمی.
tortură	تشدد
tortură	تعذیب
sawyer	آراکش
analogie	متشابہ
analogie	with
colina	انبار
colina	تودہ
recucerirea	تسخیرنو
nevoi	لازماً
chin	زنخداں
chin	ٹھوڑی
chin	ذقن
chin	زنخداں
chin	ٹھوڑی
primordial	اصلی
primordial	اساسی.
primordial	قدیمی.
minge	تفریح
minge	گیند.
minge	جیداری
urmările	ماحاصل
urmările	شاخسانہ-
urmările	نتائج
glas	v
glas	طور
glas	g
glas	d
ostatici	کفالت.
ostatici	ضمانت
intact	پورا
intact	سالم
corabie	چڑھانا.
corabie	مسافروں
documentarul	حقیقی
vegetal	جامد-
vegetal	لدّھڑ
vegetal	بقلی
vegetal	آلو
vegetal	نباتی
optimă	تعدیل.
kitty	بلوٹا
kitty	بلونگڑا
superioritate	فضیلت.
superioritate	تفّوق
posibila	ممکن
sunset	بڑھاپا.
optsprezece	xviii
optsprezece	xviii
farmecul	ٹوم
farmecul	چھلا
farmecul	جاذبیت
farmecul	مسحور
farmecul	کڑا
farmecul	افسوں
farmecul	ٹوم
farmecul	چھلا
farmecul	جاذبیت
farmecul	مسحور
farmecul	کڑا
farmecul	منتر
ruptură	شگاف
ruptură	چرنا
ruptură	جدائی
ruptură	ٹوٹنا
ruptură	پھوٹ
ruptură	علاحدگی.
ruptură	نفاق
ruptură	رخنہ
ruptură	انشقاق.
ruptură	شگاف
ruptură	چرنا
ruptură	جدائی
ruptură	ٹوٹنا
ruptură	پھوٹ
ruptură	پھٹنا
ruptură	علاحدگی.
ruptură	نفاق
ruptură	رخنہ
ruptură	انشقاق.
bolnavă	الٹی
bolnavă	عاجز
bolnavă	استفراغ.
bolnavă	بیماری
bolnavă	قے
bolnavă	بیمار
bolnavă	مرضین
cove	آدمی-
cove	نفر
agresivă	جارح
agresivă	جارحانہ(عمل
agresivă	اقدام)
agresivă	مخالفانہ
agresivă	ظالم
agresivă	جابر
agresivă	غاصب
agresivă	معاندانہ
agresivă	جنگجو
degradarea	تنّزل
degradarea	تذلیل
degradarea	تنّزل
sondă	مِسبر
rep	نمائندہ
suverane	عمدہ
suverane	مؤثر.
voluntară	اختیاری
voluntară	بالارادہ
farmaceutică	عطّار.
farmaceutică	عطّاری.
extrema	جابرانہ
extrema	انتہائی
extrema	ازحد
extrema	آخری
extrema	اختتامی.
extrema	سخت
teller	متصّدی
variabil	متغیرہ
variabil	متغیر
emiterea	اجرا
buton	ٹانکنا-
buton	تکمہ
buton	شمشیرزنی
buton	ٹانکنا-
buton	تکمہ
buton	بٹن
buton	شمشیرزنی
tărâm	حلقہ.
tărâm	دائرہ
tărâm	مملکت.
coborâre	تخفیف
coborâre	املاک
coborâre	نسل
coborâre	ہبوط.
coborâre	نشیب.
coborâre	نشیب
coborâre	ڈھلان.
coborâre	اتار.
coborâre	صعودی
fascinat	دلدادہ
fascinat	مسحور
fascinat	دلدادہ
crane	کرین
crane	جرّثقیل.
vânează	ڈھونڈنا
vânează	سراسیمہ
deliberat	بالعمد
deliberat	بالعمد
deliberat	قصداً
deliberat	محتاط
deliberat	غوروتأمل
strălucire	روشن
strălucire	تمتماہٹ.
strălucire	جذبہ
strălucire	گرمانے
strălucire	جوش.
strălucire	روشن
strălucire	تمتماہٹ.
strălucire	تمتمانا
strălucire	جذبہ
strălucire	گرمانے
strălucire	جوش.
trompetă	ترّم
trompetă	نفیر
trompetă	ترّم
trompetă	قرنا
trompetă	نفیر
parada	چوک
gram	نخود
gram	چنا
gram	نخود
castiga	free
castiga	شرط
castiga	فتح.
castiga	کھیل
facilitează	سہل
facilitează	رکاوٹ
più	مزید
eta	ŋ)
administra	گھر
administra	(جانوروں
acceptabilă	کافی
certificatul	موت
certificatul	صحت
certificatul	قابلیت
certificatul	استعداد
certificatul	شادی
farsă	ڈھونگ.
farsă	مذاق
farsă	تلبیس
farsă	چہل.
elegant	نفیس.
elegant	امیرانہ
elegant	ممتاز
elegant	اعلٰی
elegant	شائستہ
elegant	امیرانہ
elegant	ممتاز
elegant	اعلٰی
elegant	شائستہ
elegant	لطیف
elegant	جوشیلا.
elegant	برتر
cehoslovac	چیکوسلوواکیہ
cântări	with
cântări	with
cântări	تولنا
horizon	تجربے
controversă	تنازعہ
tacit	ضمناً
tacit	مقدراً
reglementează	اصول
curiozitate	تجسس.
curiozitate	عجیب
exclusive	(خبریہ
exclusive	مختص.
exclusive	امتیازی
exclusive	منتخب
exclusive	چیندہ.
exclusive	مخصوص
particula	ریزہ
particula	ness)
particula	حبہ.
triumful	جیت
moralul	تنظیم
moralul	حوصلے
convingere	عقیدہ
convingere	ایمان
convingere	گروہ
convingere	تشویق
convingere	عقیدہ
convingere	ایمان
convingere	ترغیب
convingere	گروہ
convingere	ایمان
convingere	عقیدہ
romantism	پُرتخیل
romantism	اطالوی
romantism	رومان
baterist	ڈھولچی
baterist	چور.
miracol	کرامات.
miracol	۱ختراع
miracol	معجزہ
pub	چھاپنا
pub	ہوٹل.
pariuri	قمار
pariuri	جوا
vesel	آمادہ
