নির্বাচক	селектора
নেচার	естество
নেচার	природа
নেচার	природата
প্লাটুন	взвод
লিখুন	пиши
লিখুন	напишете
লিখুন	пишете
লিখুন	влезте
লিখুন	въвеждане
লিখুন	въведете
মরিশাস	мавриций
ফাঁদ	изтрий
ফাঁদ	клопка
ফাঁদ	капан
ফাঁদ	капани
গ্যালারী	галерии
গুণাবলী	качества
ভীষ্ম	бхишма
বোস্টন	бостън
সুইফট	бърз
সুইফট	суифт
অপশন	възможности
অপশন	настройки
অপশন	опции
মার্কস	белези
মার্কস	маркировки
মার্কস	маркс
মার্কস	марки
পকেট	джобен
পকেট	джоб
পকেট	джоба
পকেট	джобовете
পকেট	джобове
বোর	бор
আনুষঙ্গিক	аксесоари
কাঁধ	рамото
কাঁধ	рамо
কাঁধ	раменете
কাঁধ	рамене
কাঁধ	рамена
কাঁধ	рамената
স্পিরিট	духовете
স্পিরিট	духове
স্পিরিট	дух
টিকেট	билет
ডিজেল	дизел
ডিজেল	дизелов
মোস্ট	повечето
স্নেহ	обич
স্নেহ	привързаност
শান	шан
মার্ক্স	маркс
ছোঁয়া	докосване
ছোঁয়া	пипай
অঙ্গীকার	ангажимент
অঙ্গীকার	отдаденост
অঙ্গীকার	ангажираност
অঙ্গীকার	обвързване
অঙ্গীকার	задължение
অঙ্গীকার	залог
অঙ্গীকার	обет
হোস্ট	домакин
হোস্ট	приемник
হোস্ট	водещ
হোস্ট	водещи
হোস্ট	приемници
হোস্ট	домакини
ইভা	ева
ইভা	ива
ইভা	ив
ইভা	ева
বিস্ফোরিত	експлодира
বিস্ফোরিত	избухна
বিস্ফোরিত	експлоадира
বিস্ফোরিত	експлодира
সরানো	преместени
সরানো	преместен
সরানো	преместена
ড্রাম	барабан
ড্রাম	барабани
দড়ি	въжета
দড়ি	въже
টিউটোরিয়াল	уроци
টিউটোরিয়াল	обучение
পাসপোর্ট	паспорт
ফেরি	ферибот
ফেরি	ферибота
ফেরি	фери
উল্লম্ব	вертикален
উল্লম্ব	вертикално
উল্লম্ব	вертикална
উল্লম্ব	вертикални
শিলং	шилонг
অগ্রগামী	пионер
প্রিন্টার	принтера
প্রিন্টার	принтер
প্রিন্টার	принтери
জাস্টিস	справедливост
জাস্টিস	правосъдие
জাস্টিস	правда
মার্টিনেজ	мартинез
মার্টিনেজ	мартинес
ফুসফুসের	дроб
ফুসফুসের	лунг
বাউডেন	боудън
রেসিং	състезателни
রেসিং	надбягвания
রেসিং	състезания
যাদু	магии
যাদু	вълшебство
যাদু	магия
এয়ারওয়েজ	airways
শার	шар
আইভি	бръшлян
আইভি	айви
সাম	сума
সাম	сумата
সাম	sum
সাম	сбор
সাম	сум
পিস্তল	пистолет
রাবণের	равана
কেরি	кери
দুধের	мляко
পরজীবী	паразитни
পরজীবী	паразит
পরজীবী	паразити
কাঁটার	тръни
কাঁটার	бодли
জ্যাজ	джаз
জ্যাজ	джаза
আর্সেনিক	арсен
আর্সেনিক	френско
আর্সেনিক	французи
আর্সেনিক	френска
আর্সেনিক	френски
আর্সেনিক	французин
বিস্মিত	изненадани
বিস্মিত	изненадан
বিস্মিত	изненадана
বিস্মিত	удивен
বিস্মিত	изумен
বিস্মিত	шокиран
বিস্মিত	шокирани
বিস্মিত	шокирана
আয়না	огледала
আয়না	огледалата
আয়না	огледалото
আয়না	огледалце
আয়না	огледало
অঞ্চলগুলি	райони
অঞ্চলগুলি	региони
অঞ্চলগুলি	регионите
পয়সা	монети
পয়সা	монета
পয়সা	монетата
পার্কিং	паркинг
পার্কিং	паркирането
পার্কিং	паркиране
ক্ষুব্ধ	възмутен
ক্ষুব্ধ	възмутени
ক্ষুব্ধ	разгневи
মাম্বা	мамба
কম্পটন	комптън
সর্বোত্তম	отличен
সর্বোত্তম	отлично
বাক্যে	изречение
বাক্যে	присъда
পরিকাঠামো	инфраструктура
গনি	гани
ভিজুয়াল	визуална
ভিজুয়াল	визуално
অপর্যাপ্ত	недостатъчни
অপর্যাপ্ত	недостатъчна
অপর্যাপ্ত	недостатъчен
অপর্যাপ্ত	недостатъчно
অপর্যাপ্ত	неадекватен
অপর্যাপ্ত	недостатъчен
অপর্যাপ্ত	недостатъчно
অপর্যাপ্ত	недостатъчна
হি	хи
অবজেক্ট	предмет
অবজেক্ট	обект
অবজেক্ট	предмети
অবজেক্ট	обектите
অবজেক্ট	обекти
মিজোরাম	мизорам
পোলার	полярна
মনস্তাত্ত্বিক	психологически
মনস্তাত্ত্বিক	психологическа
মনস্তাত্ত্বিক	психологическо
সিল্ক	копринена
সিল্ক	коприна
অনুকরণ	симулации
অনুকরণ	симулацията
অনুকরণ	симулация
অনুকরণ	симулиране
অনুকরণ	симулирани
রুডলফ	рудолф
কেলি	кели
তীক্ষ্ণ	кийн
তীক্ষ্ণ	остро
তীক্ষ্ণ	шарп
তীক্ষ্ণ	остър
তীক্ষ্ণ	остра
তীক্ষ্ণ	остри
থিওডোর	теодор
থিওডোর	тиодор
ব্র্যাড	брад
রোভার	роувър
টার্নার	търнър
খরা	сушата
খরা	суша
জোরে	силно
জোরে	шумен
জোরে	шумно
বক	отклонения
বক	отклонение
বেলারুশ	беларус
পুলিৎজার	пулицър
কঙ্কাল	скелета
কঙ্কাল	скелет
পাত্রের	тенджери
ডেরেক	дерек
নুর	нур
শোষিত	експлоатирани
শোষিত	абсорбира
শোষিত	погълнати
শোষিত	погълната
টিয়া	тиа
টিয়া	папагал
টিয়া	папагал
রূপালী	сребърна
রূপালী	сребърни
রূপালী	силвър
রূপালী	сребро
রূপালী	сребърен
ঘুড়ি	хвърчило
ক্যাবিনেট	кабинет
ক্যাবিনেট	шкаф
ক্যাবিনেট	кабинетът
উইন্ডসর	уиндзор
ডকুমেন্ট	документа
ডকুমেন্ট	документът
ডকুমেন্ট	документ
ডকুমেন্ট	документите
ডকুমেন্ট	документи
কর্মসংস্থান	заетост
ঘাসের	трева
ঘাসের	тревата
বলছে	казва
লাফ	скок
লাফ	скочи
লাফ	скочил
তৃণভূমি	пасища
তৃণভূমি	мийд
গানগুলি	песните
গানগুলি	песни
আইওএস	ios
উজ্জ্বলতা	подчертаване
উজ্জ্বলতা	осветяване
উজ্জ্বলতা	величина
উজ্জ্বলতা	яркост
ডেবিয়ান	debian
যাজক	пасторе
যাজক	пастор
যাজক	пасторът
যাজক	духовенството
অনুভূতির	чувствата
অনুভূতির	чувства
অনুভূতির	чуства
যোগফল	сума
যোগফল	сумата
যোগফল	sum
যোগফল	сбор
যোগফল	сум
পাখা	фан
পাখা	вентилатор
পাখা	фен
পাখা	почитател
পাখা	фенка
মাংসের	месо
মাংসের	месото
ফাটল	пукнатини
ফাটল	пукнатина
জলবিদ্যুৎ	водноелектрическа
জলবিদ্যুৎ	водноелектрическа
সন্ত্রাসবাদী	терорист
সন্ত্রাসবাদী	терористична
সন্ত্রাসবাদী	терористите
সন্ত্রাসবাদী	терористи
প্রমোদ	прамод
নাজিম	назим
মতবিরোধ	неразбирателство
মতবিরোধ	разногласие
মতবিরোধ	разногласия
মতবিরোধ	несъгласие
গ্লাসগো	глазгоу
নির্ভুল	перфектна
নির্ভুল	перфектно
নির্ভুল	перфектен
নির্ভুল	съвършен
ম্যানগ্রোভ	мангрови
লক্ষণীয়	забележимо
লক্ষণীয়	забележим
ইসিবি	ецб
গিল	гил
গিল	гил
সজীব	пресни
সজীব	прясно
সজীব	свежо
সজীব	свежа
সজীব	пресен
সজীব	фреш
প্রাইম	прайм
রোপণ	засаждане
রোপণ	засадени
উত্তরপশ্চিম	северозападна
উত্তরপশ্চিম	северозапад
শহরতলি	предградията
কেনেথ	кенет
অ্যালগোরিদম	алгоритъм
হোমো	хомо
সন্নিবেশিত	вградени
সন্নিবেশিত	вградена
সন্নিবেশিত	вграден
মহীশূর	майсор
প্যাকেট	пакети
প্যাকেট	пакетчета
প্যাকেট	пакетите
কাছিম	костенурката
কাছিম	костенурка
জিৎ	джийт
আল্প	алп
বর্গাকার	квадратна
বর্গাকার	квадратни
বর্গাকার	квадратен
বর্গাকার	квадрат
বর্গাকার	площад
কাঁচা	сурово
কাঁচা	сурови
কাঁচা	суров
কাঁচা	сурова
কাঁচা	необработен
জিব্রাল্টার	гибралтар
নিরো	ниро
নিরো	неро
নিরো	нерон
নিরো	ниро
রাসূল	куриер
রাসূল	messenger
রাসূল	вестоносец
রাসূল	пратеник
রাসূল	апостол
রাসূল	пратеник
অস্থির	неспокойна
অস্থির	неспокойни
অস্থির	неспокоен
অস্থির	неспокойно
উড়োজাহাজ	самолет
কালেক্টর	колектор
কালেক্টর	колекционер
সালমা	салма
সংক্রামক	инфекциозни
গণ্ডার	носорог
বর্ম	броня
বর্ম	брони
ফ্লোরেন্স	флорънс
ফ্লোরেন্স	флоренция
সরিষা	горчица
ভোরের	зора
ভোরের	даун
ভোরের	зори
ভোরের	доун
ভোরের	зората
স্লোভেনিয়া	словения
চিতা	леопард
চিতা	чита
চিতা	леопард
সমৃদ্ধির	благоденствие
সমৃদ্ধির	благополучие
সমৃদ্ধির	просперитет
প্লেটো	платон
খোসা	белене
খোসা	пийл
মালি	мали
ডাকাত	обирджии
ডাকাত	разбойници
ডাকাত	бандити
নেইমার	неймар
ঘুষি	удряне
গ্রামার	граматика
ফ্রান্সিস্কো	франциско
ফ্রান্সিস্কো	франсиско
অন্যান্যরা	другите
অন্যান্যরা	други
বিচ	beach
বিচ	плажът
বিচ	плаж
বিচ	бряг
বিচ	плажа
ফেলিক্স	феликс
ভ্রমন	пътуване
ভ্রমন	пътешествие
ভ্রমন	трип
ভ্রমন	екскурзия
ওবামা	обама
জাগ্রত	буден
জাগ্রত	будна
জাগ্রত	будни
বান্ধবী	гадже
বান্ধবী	приятелката
বান্ধবী	приятелка
ক্রেওল	креолски
ইসলামাবাদ	исламабад
ছোটখাটো	миниатюрни
ছোটখাটো	миниатюрен
ধারালো	остро
ধারালো	шарп
ধারালো	остър
ধারালো	остра
ধারালো	остри
ভিটা	вита
পেঁয়াজ	лук
পেঁয়াজ	лук
সুসজ্জিত	обзаведен
অসহায়	бедни
অসহায়	беден
অসহায়	безпомощен
অসহায়	безпомощно
অসহায়	безпомощна
অসহায়	безпомощни
হসপিটাল	болница
হসপিটাল	болницата
হিরোশিমা	хирошима
হর	хар
হর	знаменател
ট্রি	трий
ট্রি	дървото
ট্রি	дръвче
ট্রি	дърво
কানের	уши
কানের	ухо
কানের	ухото
রোদ	слънчице
রোদ	слънце
দুস	злините
দুস	злини
দেখলাম	марсиански
দেখলাম	трион
দেখলাম	видях
প্রামাণ্যচিত্র	документален
ফরওয়ার্ড	напред
মুলতান	мултан
রেবেকা	ребека
হিপ	хип
হিপ	бедро
হিপ	бедрото
হিপ	ханша
ম্যাথিউ	матю
ম্যাথিউ	матей
ম্যাথিউ	матийо
পাম্প	помпата
পাম্প	помпа
পাম্প	помпите
পাম্প	помпи
এভিয়েশন	авиация
এভিয়েশন	авиационна
এভিয়েশন	авиацията
এভিয়েশন	въздухоплаване
কাস্পিয়ান	каспийско
নিকোলা	никола
নিকোলা	никола
নিকোলা	никола
নিন	вземете
নিন	вземи
পদকপ্রাপ্ত	медалист
মিং	минг
দৈত্য	гигантски
দৈত্য	великан
দৈত্য	гигант
দৈত্য	гигантска
পোর্টল্যান্ড	портланд
এক্সপ্লোরার	изследовател
ঝর্ণা	пролетно
ঝর্ণা	пролет
ঝর্ণা	пролетта
ঝর্ণা	водопад
ঝর্ণা	водопада
ঝর্ণা	фонтан
ঝর্ণা	водопадите
ঝর্ণা	водопади
প্রদাহ	възпаление
অনুভূমিক	хоризонтални
অনুভূমিক	хоризонтално
অনুভূমিক	хоризонтален
অনুভূমিক	хоризонтална
স্বশাসিত	автономни
স্বশাসিত	автономна
সার্ক	saarc
দামি	скъп
দামি	скъпо
টেকসই	устойчиви
টেকসই	устойчива
টেকসই	устойчиво
টেকসই	устойчив
টেকসই	трайно
টেকসই	траен
টেকসই	трайна
টেকসই	трайни
ইন্টেলিজেন্স	интелигентност
ইন্টেলিজেন্স	разузнаване
ইন্টেলিজেন্স	интелект
নিশ্চয়	наистина
মিনেসোটা	минесота
হাডসন	хъдзън
হাডসন	хъдсън
স্পট	спот
স্পট	петно
গোলাবর্ষণ	обстрела
গোলাবর্ষণ	бомбардировки
গোলাবর্ষণ	бомбардировка
ব্যর্থতা	неизправност
ব্যর্থতা	провал
ব্যর্থতা	неуспех
ব্যর্থতা	повреда
সমাধিস্থ	кремиран
রিকো	рико
নাক্ষত্রিক	звезден
নাক্ষত্রিক	звездно
নাক্ষত্রিক	звездна
জোরালো	силно
জোরালো	шумен
জোরালো	шумно
আবশ্যক	изисквана
হোবার্ট	хобарт
আপেল	епъл
আপেল	ябълков
আপেল	ябълка
আপেল	apple
আপেল	ябълки
বারান্দা	верандата
বারান্দা	веранда
বারান্দা	балкона
বারান্দা	балкон
বারান্দা	тераса
বন্ধুরা	приятели
বন্ধুরা	friends
বন্ধুরা	приятелки
নিরীহ	глупаво
নিরীহ	невинен
নিরীহ	невинно
নিরীহ	невинна
নিরীহ	невинни
দুনিয়া	свят
দুনিয়া	света
দুনিয়া	дуня
স্বেচ্ছাসেবী	доброволците
স্বেচ্ছাসেবী	доброволци
স্বেচ্ছাসেবী	доброволка
স্বেচ্ছাসেবী	доброволци
স্বেচ্ছাসেবী	доброволец
ভেড়ার	агнешко
ভেড়ার	агне
ভেড়ার	агънце
সুস্বাদু	вкусно
সুস্বাদু	вкусна
সুস্বাদু	вкусен
সুস্বাদু	вкусно
সুস্বাদু	вкусна
সুস্বাদু	вкусни
ইনডোর	закрито
ইনডোর	закрито
ইরাকী	иракски
ইরাকী	иракчани
মোবারক	мубарак
বর্মণ	бурман
তুর্কমেনিস্তান	туркменистан
শিকল	окови
শিকল	каишка
শিকল	вериги
শিকল	окови
শারীরিকভাবে	физически
বোল	купа
বোল	bol
বিভ্রান্তি	объркване
বিশ্লেষন	аналитичен
বিশ্লেষন	аналитични
এক্সিকিউটিভ	изпълнителна
এক্সিকিউটিভ	изпълнителни
ভিউ	изглед
ভিউ	гледка
ভিউ	оглед
ভিউ	преглед
বানু	бану
আর্ক	арк
আর্ক	ковчега
আর্ক	арк
আর্ক	дъга
পোকার	покер
পোকার	ръжен
হুইল	колело
হুইল	колелото
হুইল	колела
হুইল	колелата
দ্রৌপদী	драупади
লাগবে	необходимост
লাগবে	нужда
লাগবে	потребност
দেখেছেন	видян
দেখেছেন	виждал
দেখেছেন	видяна
দেখেছেন	видяно
দেখেছেন	наблюдаван
দেখেছেন	наблюдавани
দেখেছেন	гледах
শর্করা	въглехидрати
বাড়ে	расте
ঈমান	вярвай
খুচরা	дребно
উইলি	уили
উইলি	вили
উইলি	уили
ব্রীজ	мостик
ব্রীজ	мост
ব্রীজ	бридж
প্রিজম	призмата
ডালে	дейл
মেগা	мега
জুয়েল	бижу
উদ্বেগ	тревоги
উদ্বেগ	притеснения
উদ্বেগ	опасения
উদ্বেগ	притеснения
উদ্বেগ	загриженост
উদ্বেগ	тревожност
উদ্বেগ	безпокойство
উদ্বেগ	загриженост
উদ্বেগ	безпокойство
সমাজকে	общество
সমাজকে	обществото
নিঃশ্বাস	дъх
গালে	буза
গালে	бузата
মানমন্দির	обсерватория
মানমন্দির	обсерваторията
সন্ধ্যার	вечер
সন্ধ্যার	вечерта
সন্ধ্যার	вечерно
হেনরিক	хенрик
প্যারাগুয়ে	парагвай
আইল	остров
রামোন	рамон
নারদ	нарада
বৈধতা	валидност
কার্টুনিস্ট	карикатурист
দক্ষিণাঞ্চলীয়	южен
দক্ষিণাঞ্চলীয়	южни
দক্ষিণাঞ্চলীয়	южна
রাজকন্যা	принцеса
ক্রুশ্চেভ	хрушчов
হান্টার	ловец
হান্টার	хънтър
হ্যাকার	хакер
চক্ষু	окото
চক্ষু	око
লজিক	логически
লজিক	логика
হার্ভে	харви
লক	катинар
লক	заключване
লক	заключи
লক	ключалка
পাসওয়ার্ড	парола
পাসওয়ার্ড	паролата
পাসওয়ার্ড	пароли
পাসওয়ার্ড	паролите
চুন	чун
হাইব্রিড	хибридни
হাইব্রিড	хибрид
বার্ন	бърн
নটর	notre
নটর	нотр
তাইপেই	тайпе
নাগাল্যান্ড	нагаланд
নর্তকী	танцьорка
নর্তকী	танцьор
নর্তকী	танцьорки
নর্তকী	танцьори
নর্তকী	танцьорите
ছোপ	оттенък
তিব্বতীদের	тибетците
আলোকচিত্রী	фотографа
আলোকচিত্রী	фотограф
মাল্টা	малта
শপিং	пазар
শপিং	пазаруване
শপিং	шопинг
মিথেন	метан
সংযুক্তি	привързаност
সংযুক্তি	закрепване
সংযুক্তি	притурка
সংযুক্তি	привързаност
সংযুক্তি	приспособления
টিস্যু	кърпичка
টিস্যু	тъкан
টিস্যু	тъкани
অরোরা	аврора
অরোরা	аурора
পাওলো	пауло
আলেপ্পো	алепо
সন্ন্যাসীদের	монаси
সন্ন্যাসীদের	монасите
গতানুগতিক	типично
গতানুগতিক	типичен
গতানুগতিক	типична
গতানুগতিক	типични
শক	шок
বোধগম্য	разбрано
বোধগম্য	разбираемо
বোধগম্য	разбираем
ফ্লাইং	летене
ফ্লাইং	летящи
ফ্লাইং	лети
জামাইকার	ямайски
জোনস	джонс
জোনস	джоунс
ফ্লেচার	флечър
ফ্লেচার	флетчър
চশমা	очила
চশমা	чаши
চশমা	очилата
চশমা	очила
ভোল্টেজ	напрежение
উন্মোচিত	изложен
উন্মোচিত	изложени
উন্মোচিত	разкрита
এডগার	едгар
এলিয়ট	елиът
এলিয়ট	елиът
এলিয়ট	елиът
সমকক্ষ	връстници
সত্তর	седемдесет
সামি	сами
চামচ	лъжичка
চামচ	лъжицата
চামচ	лъжица
লেকচার	лекции
লেকচার	лекция
লেকচার	лекцията
ইসরাইল	израел
দেখেছি	видян
দেখেছি	виждал
দেখেছি	видяна
দেখেছি	видяно
তিমি	китовете
তিমি	китове
তিমি	кит
তিমি	кита
তিমি	китове
অ্যালকোহল	спирт
অ্যালকোহল	алкохол
অবরুদ্ধ	блокирани
অবরুদ্ধ	блокирано
অবরুদ্ধ	блокиран
অবরুদ্ধ	блокирана
তত্ত্বাবধান	надзор
বুকার	букър
কট	кот
ফিতা	панделка
ফিতা	лента
ফ্যাক্টরি	фабрика
ফ্যাক্টরি	завод
ফ্যাক্টরি	фабриката
চকচকে	лъскава
চকচকে	лъскави
বিস্ময়	изненада
বিস্ময়	чудеса
বিস্ময়	чудесата
বাধার	спънки
বাধার	пречки
বাধার	препятствия
লেস	лес
লেস	дантела
মেটে	дроб
বাতিঘর	фара
বাতিঘর	фар
জারণ	корозия
মিষ্টান্ন	десерта
মিষ্টান্ন	десерти
মিষ্টান্ন	десерт
কান্দাহার	кандахар
নিক্ষিপ্ত	хвърли
নিক্ষিপ্ত	гипс
রেস্টুরেন্ট	ресторант
মুষ্টিযোদ্ধা	боксьори
হল্যান্ড	холандия
হল্যান্ড	холанд
কিটস	комплекти
কিটস	кийтс
বেলুন	балон
বেলুন	балони
নাস	nas
পরিসর	диапазон
পরিসর	обхват
পরিসর	обсег
রিডার	читатели
রিডার	читателите
রিডার	четец
রিডার	читател
ট্যাক্সি	такси
করুণ	трогателно
গিলবার্ট	жилбер
গিলবার্ট	гилбърт
অধ্যয়নরত	учене
অধ্যয়নরত	уча
অধ্যয়নরত	изучаване
অধ্যয়নরত	учим
লাফিয়ে	скок
লাফিয়ে	скочи
ছুড়ে	хвърляне
ছুড়ে	хвърли
অ্যাটলেটিকো	атлетико
সাদ্দাম	саддам
সাদ্দাম	садам
গাড়ী	автомобил
গাড়ী	кола
গাড়ী	колата
জ্বলে	блести
নাইরোবি	найроби
ডিসকভারি	откритие
ডিসকভারি	разкритие
ডিসকভারি	дискавъри
ডিসকভারি	откриване
হীরা	диамант
হীরা	диамантен
হীরা	диаманта
হীরা	даймънд
অপব্যবহার	малтретиране
অপব্যবহার	злоупотреби
অপব্যবহার	злоупотреба
নিকারাগুয়া	никарагуа
নিকারাগুয়া	русия
আপিল	обжалване
আপিল	жалби
জাজিরা	джазира
লোকে	народ
লোকে	хора
লোকে	хората
প্যালেস্টাইন	палестина
কেনো	защо
হাজি	хаджи
উপকারী	изгодно
উপকারী	полезна
উপকারী	полезно
উপকারী	полезни
উপকারী	полезен
ডো	доу
গুলিবর্ষণ	стрелба
সুখের	щастие
সুখের	щастието
আর্দ্রতা	влажност
আর্দ্রতা	влага
আর্দ্রতা	влажността
আর্দ্রতা	влага
আর্দ্রতা	влажност
নির্জন	самотен
নির্জন	самотно
নির্জন	самотна
নির্জন	самотни
সোমালিয়া	сомалия
বিক্ষিপ্ত	пръснати
বিক্ষিপ্ত	разпръснат
বিক্ষিপ্ত	разпръснати
মহৎ	могъщи
মহৎ	великолепен
মহৎ	великолепна
মহৎ	величествен
মহৎ	великолепни
ধারণকারী	съдържащ
ধারণকারী	съдържащи
ধারণকারী	съдържащо
ধারণকারী	съдържаща
ধারণকারী	контейнер
তীরন্দাজ	стрелци
মজা	забавно
মজা	весело
মজা	забавление
মজা	забавна
মজা	кеф
মজা	забавен
পশম	козина
পশম	козината
পশম	кожи
সতর্কতা	предупреждение
সতর্কতা	предпазливост
সতর্কতা	предупреждения
সতর্কতা	сигнали
সতর্কতা	тревога
আনু	ану
কেক	торти
কেক	сладкиш
কেক	торта
কেক	торти
পুরী	пури
পান্না	пана
পান্না	емералд
সাফারি	сафари
ক্রোমোজোম	хромозома
কোরে	кори
মনোবল	издръжливост
অবিস্মরণীয়	незабравими
অবিস্মরণীয়	незабравима
অবিস্মরণীয়	незабравим
অবিস্মরণীয়	незабравимо
নরম্যান	норман
কনরাড	конрад
কনরাড	конрад
নিকোলাই	николай
অপরিচিত	непризнати
জয়েন্ট	съвместния
জয়েন্ট	джойнт
জয়েন্ট	съвместни
জয়েন্ট	съвместно
জয়েন্ট	съвместна
জয়েন্ট	съвместен
শামস	шамс
বহিষ্কৃত	изключен
বহিষ্কৃত	изключени
বহিষ্কৃত	изхвърлен
কলি	кали
কলি	бъд
রেজিস্টার	регистрите
রেজিস্টার	регистри
রেজিস্টার	регистър
ফিদেল	фидел
স্ট্রোক	удар
স্ট্রোক	инсулт
ব্যাথা	болката
ব্যাথা	болки
ব্যাথা	болка
ব্যাথা	боли
অজন্তা	аджанта
ফ্রাই	фрай
ফ্রাই	картофки
কীটনাশক	пестициди
কীটনাশক	пестициди
কীটনাশক	пестицидите
বক্ররেখা	крива
বক্ররেখা	криви
গেটস	гейтс
গেটস	порти
গেটস	портите
বর্মন	барман
এক্সটেনশন	разширения
এক্সটেনশন	продължение
এক্সটেনশন	удължаване
এক্সটেনশন	разширение
ব্রাউনের	кафяв
ব্রাউনের	кафяви
ব্রাউনের	браун
ব্রাউনের	кафява
ব্রাউনের	кафяво
ব্রাউনের	браун
সুজা	суза
ক্রাইস্টচার্চ	крайстчърч
ধূমপান	пушенето
ধূমপান	пушене
লুইজ	луиз
ধ্বংসাত্মক	разрушителна
ধ্বংসাত্মক	разрушителен
সমানভাবে	еднакво
ভূগোলবিদ	географ
সেটার	сетер
মেহতা	мехта
ইয়োহানেস	йоханес
প্রমিত	стандартна
প্রমিত	стандарт
প্রমিত	стандартни
প্রমিত	стандартно
প্রমিত	стандартен
দই	йогурт
দই	извара
লিওনার্ড	ленард
লিওনার্ড	леонард
লিওনার্ড	ленърд
বর্ণহীন	безцветен
অপমান	немилост
অপমান	позор
অপমান	унижение
অপমান	обидно
অপমান	обида
অপমান	обида
অপমান	оскърбление
নেত্রী	лидер
নেত্রী	водач
চেখভ	чехов
বিচলিত	нервна
বিচলিত	нервни
বিচলিত	нервен
বিচলিত	нервно
বিচলিত	разстроен
বিচলিত	разстроена
রাইডার	райдър
রাইডার	райдър
রাইডার	конник
রাইডার	ездач
প্রশিক্ষিত	обучен
প্রশিক্ষিত	обучени
প্রশিক্ষিত	трениран
প্রশিক্ষিত	обучена
পূর্বাভাস	прогноза
ল্যান্স	ланс
সোয়ান	суон
সোয়ান	лебед
কাভি	kabhi
নানক	нанак
কুকুরের	куче
কুকুরের	кучето
কুকুরের	дог
ফতেহ	фатех
মেয়ার	майър
মেয়ার	майер
কুসংস্কার	предразсъдъци
দাসী	камериерка
দাসী	прислужница
সূচী	съдържание
টিনের	тин
পুরি	пури
পদ্মার	падма
শফিক	шафик
ম্যাট্রিক্স	матрица
ম্যাট্রিক্স	матрицата
নির্যাতিত	малтретирани
পেয়ারা	гуава
বিন্যাসে	оформени
এফবিআই	фбр
ড্রামার	барабанист
তিল	сезам
ম্যাডিসন	мадисън
ম্যাডিসন	медисън
প্রাপ্তবয়স্কদের	възрастни
টমেটো	домат
টমেটো	домати
প্রতিলিপি	копия
অং	онг
ক্লায়েন্ট	клиент
হাঁটা	разходка
হাঁটা	вървя
হাঁটা	ходене
হাঁটা	разходка
হাঁটা	пеша
টানেল	тунел
পটাশিয়াম	калиев
পটাশিয়াম	калий
পিয়ার	пиер
পিয়ার	кея
পরামর্শক	консултант
জিনিসপত্র	неща
পুরুষেরা	мъжете
পুরুষেরা	men
পুরুষেরা	мъже
এক্সবক্স	xbox
পাড়ার	махала
পাড়ার	квартал
পাড়ার	квартала
ম্যানিলা	манила
জ্যামাইকা	ямайка
মুরগির	пилешко
মুরগির	кокошка
মুরগির	пиле
মুরগির	пиленце
ভিশন	зрение
ভিশন	виждане
ভিশন	визия
শিরা	вена
শিরা	вената
সংবেদনশীল	чувствително
সংবেদনশীল	чувствителен
সংবেদনশীল	чувствителни
সংবেদনশীল	чувствителна
পুনর্গঠিত	разтворен
পুনর্গঠিত	възстановена
পুনর্গঠিত	разтворения
পুনর্গঠিত	възстановени
ফারাও	фараонът
ফারাও	фараон
ফারাও	фараона
আন্তরিক	искрено
আন্তরিক	искрена
আন্তরিক	искрено
আন্তরিক	искрени
আন্তরিক	искрен
আন্তরিক	сърдечни
কূটনীতিক	дипломат
আর্টিলারি	артилерията
আর্টিলারি	артилерия
মার্স	марс
আওরঙ্গজেব	аурангзеб
এডিটর	редактори
তরুন	млада
তরুন	младо
তরুন	млади
তরুন	йънг
তরুন	млад
ভালুক	мечок
ভালুক	беър
ভালুক	мече
ভালুক	мечо
ভালুক	мечка
পৌঁছাতে	достигнат
পৌঁছাতে	достигне
পৌঁছাতে	достигане
প্রিন্সিপাল	директор
সুজি	сузи
লেবাননের	ливански
পোলক	полък
পোলক	полак
বিধিবদ্ধ	законово
প্রস্থান	излизане
প্রস্থান	изход
প্রস্থান	напускане
নখ	нокът
নখ	щипки
নখ	нокти
নখ	пирони
নখ	ноктите
নখ	нокти
চেজ	чейз
চেজ	преследване
চেজ	чейс
সেলুলার	клетъчно
সেলুলার	клетъчен
সেলুলার	клетъчни
পাইরেটস	пиратите
পাইরেটস	пирати
গন্তব্য	дестинация
গন্তব্য	направление
গন্তব্য	местоназначение
গন্তব্য	посока
গন্তব্য	дестинации
টেলার	телър
পেইন্টিং	рисуване
পেইন্টিং	живопис
পেইন্টিং	картина
পেইন্টিং	боядисване
শুন্য	нулева
শুন্য	нула
শুন্য	нулев
হিলস	хълмове
হিলস	хилс
অসন্তুষ্ট	недоволен
অসন্তুষ্ট	недоволни
অসন্তুষ্ট	недоволна
চায়ের	чай
ড্যানিশ	датски
দাম্পত্য	булчински
তর্ক	споря
তর্ক	спори
অর্ডোভিশিয়ান	ордовик
প্রিয়াঙ্কা	приянка
আগ্রাসী	агресивна
আগ্রাসী	агресивни
আগ্রাসী	агресивно
আগ্রাসী	агресивен
কদর	оценявам
কদর	оцени
ফিউশন	синтез
প্রজ্ঞা	унции
প্রজ্ঞা	мъдростта
প্রজ্ঞা	мъдрост
গেটের	портата
গেটের	порта
মাংসাশী	месоядни
সুইং	суинг
সুইং	замах
সুইং	люлка
মাতৃ	майчина
