and	ja
ships	aluksia
ships	laivat
ships	laivoja
fiction	fiktiota
secondary	toissijainen
nations	kansakuntien
nations	kansat
nations	kansakunnat
nations	kansakuntia
majority	enemmistö
edward	edvard
edward	edward
edward	edwardin
annual	vuosittain
annual	vuotuinen
annual	vuosittaiset
annual	vuosittainen
digital	digital
digital	digitaaliset
digital	digitaalisen
digital	digitaalinen
mission	mission
mission	tehtävä
mission	tehtävän
lived	asunut
lived	asui
lived	elänyt
claim	vaatia
claim	vaatimus
claim	väite
seat	kotipaikka
seat	istuimen
seat	istuin
bbc	bbc
profile	profiilia
profile	profiilin
profile	profiili
dance	dance
dance	tanssit
dance	tanssia
dance	tanssi
prize	palkintoa
prize	palkinto
prize	palkinnon
doing	tekemässä
doing	tekee
georgia	georgiassa
georgia	georgian
georgia	georgia
georgia	georgiaa
port	satama
port	portti
port	satamat
pacific	tyyni
pacific	tyynenmeren
pacific	pacific
castle	linnaan
castle	linna
castle	linnaa
pass	syöttö
pass	ohi
transport	liikenne
transport	kuljetukset
transport	kuljetus
organizations	organisaatiot
organizations	järjestöt
organizations	yhdistykset
organizations	organisaatioita
organizations	järjestöjen
ratio	suhde
ratio	suhdeluku
recently	äskettäin
recently	hiljattain
fall	pudota
fall	syksy
fall	kaatuu
fall	kaadu
global	globaali
global	global
global	maailmanlaajuinen
global	maailmanlaajuiset
global	maailmanlaajuisen
era	aikakausi
wing	siipi
wing	siiven
wing	wing
opinion	lausunnon
opinion	mielipiteen
opinion	lausunto
opinion	mielipide
commander	komentaja
fort	linnake
fort	linnoitus
fort	fort
effect	vaikutusta
effect	vaikutus
effect	seuraus
effect	vaikutukset
opening	avaus
opening	avajaiset
opening	avaaminen
opening	avataan
purpose	tarkoitus
purpose	tarkoituksena
purpose	käyttötarkoitus
winter	talven
winter	talvi
winter	winter
winter	talvella
genus	suku
genus	sukuun
congress	kongressi
congress	kongressin
congress	kongressiin
activities	toiminnat
activities	toiminta
activities	toimintaa
activities	toimet
activities	toiminnot
met	tapasivat
met	met
met	tavattiin
met	tavanneet
met	tavannut
income	tuotot
income	tulo
income	tulot
massachusetts	massachusettsin
comes	tulee
older	vanhempia
older	vanhempi
older	vanhempaa
peak	huippu
lack	puutetta
lack	puute
lack	puuttuminen
bass	bass
super	super
complex	monimutkaista
complex	monitahoinen
complex	monimutkainen
complex	monimutkaiset
academic	akateemisen
academic	akateeminen
stars	tähdet
stars	tähtien
stars	tähtiä
stars	tähteä
accounts	tilinpäätös
accounts	tilit
accounts	tilejä
accounts	kirjanpito
appearance	ulkonäkö
appearance	ulkonäön
appearance	ulkoasu
asian	aasian
asian	aasialainen
asked	pyydetty
asked	kysyttiin
asked	pyysi
asked	kysyi
asked	kysytty
friends	ystävät
friends	ystäviä
friends	kavereita
friends	kaverit
till	till
till	kunnes
financial	taloudellista
entry	merkintä
asia	aasian
asia	aasia
sense	aistin
sense	järkeä
sense	aisti
sense	aistia
meaning	merkitys
meaning	tarkoittaen
actress	näyttelijätär
actress	näyttelijä
map	kartta
map	karttaa
intended	aiottu
intended	tarkoitettu
bishop	piispa
bishop	bishop
boston	bostonista
boston	boston
boston	bostonin
boston	bostoniin
boston	bostonissa
rate	arvioi
rate	korko
literature	kirjallisuus
literature	kirjallisuuden
literature	kirjallisuutta
forest	metsän
forest	metsät
forest	metsää
forest	metsä
voice	ääntä
voice	äänen
voice	ääni
jack	jaakko
pre	pre
justice	oikeudenmukaisuus
justice	justice
justice	oikeus
justice	oikeutta
champion	mestari
double	kaksinkertainen
double	tupla
polish	puola
polish	puolalaiset
polish	puolalainen
polish	puolan
numbers	numerot
numbers	numeroita
numbers	numeroista
numbers	luvut
columbia	kolumbia
columbia	columbia
temple	temppeli
temple	temple
defeated	voitti
defeated	voitettu
defeated	lyöty
administration	hallinnon
administration	anto
administration	hallinto
administration	annostelu
ended	loppui
ended	päättyi
ended	päättynyt
claims	saatavat
claims	väittää
claims	väitteet
jones	jones
jones	jonesin
parish	seurakunta
israel	israelin
israel	israel
israel	israelista
israel	israelissa
actors	näyttelijät
actors	näyttelijöitä
actors	toimijoiden
actors	toimijat
sister	siskon
sister	sisko
nine	yhdeksän
scored	maalin
attended	osallistuivat
attended	osallistui
attended	osallistunut
pop	pop
newspaper	lehti
newspaper	sanomalehti
newspaper	sanomalehteä
friend	ystävä
friend	kaveri
friend	kaverin
unknown	tuntematon
winner	voittaja
winner	voittajan
chart	kaavio
chart	kuvio
initially	aluksi
initially	alunperin
loss	tappiot
loss	tappio
loss	menetys
loss	menetykset
sites	sivustojen
sites	sivustot
sites	sivustoja
starting	aloitetaan
starting	alkaen
starting	aloittaminen
starting	aloitus
starting	alkaa
architecture	arkkitehtuurin
architecture	arkkitehtuuri
relations	suhteet
supported	tuettu
supported	tuettiin
tracks	jälkiä
tracks	jäljet
tracks	kappaleet
tracks	rataa
tracks	kappaleita
contract	sopimus
contract	sopimuksen
face	ilme
face	naama
face	kasvot
face	naamaa
face	face
directly	suoraan
spent	käytettyä
spent	käytetyt
spent	vietti
spent	käytetty
spent	vietetty
girl	likka
girl	girl
girl	tyttö
clearly	selvästi
clearly	selkeästi
junior	nuorempi
junior	junior
junior	juniori
francisco	francisco
politics	politiikan
politics	politiikka
politics	politiikkaa
presented	esiteltiin
presented	esitellyt
presented	esitelty
presented	esitti
mar	mar
cause	syy
cause	aiheuttaa
cause	koska
cause	aatteen
volume	tilavuus
volume	määrä
caused	aiheutti
caused	aiheuttanut
tom	tomi
tom	tomille
tom	tom
flight	lento
flight	lennon
flight	lentoa
candidate	ehdokas
candidate	ehdokkaana
candidate	hakija
candidate	ehdokkaan
matches	ottelut
matches	tulitikkuja
matches	täsmää
claimed	vaati
claimed	haettu
claimed	väittivät
claimed	väitti
claimed	väitetty
except	paitsi
oil	öljyn
oil	öljyä
oil	öljy
oil	öljyt
assistant	apulainen
assistant	assistentti
assistant	avustaja
surface	pintaan
surface	pinnalle
surface	pinta
surface	pintaa
regiment	rykmentti
regiment	rykmentin
stories	kertomuksia
stories	tarinat
stories	tarinoita
stories	tarinoiden
represented	edustettuina
weeks	viikot
weeks	viikkoja
weeks	viikkoa
allow	salli
allow	sallia
branch	oksa
retired	eläkkeelle
retired	eläkkeellä
communities	yhteisöt
communities	yhteisöjen
train	juna
train	junalla
train	junan
paper	paperi
paper	paperia
adding	lisätään
adding	lisääminen
provides	tarjoaa
remains	jäännökset
remains	pysyy
victoria	victorian
victoria	victoria
metal	metalli
metal	metal
metal	metallia
metal	metallinen
wrong	väärä
wrong	väärin
wrong	vikaa
direct	suoraan
direct	suorat
direct	suoraa
direct	suora
direct	direct
frank	frank
frank	frankin
miles	kilometrejä
miles	kilometriä
miles	miles
blocked	estetty
blocked	tukossa
blocked	estänyt
launched	käynnistetty
launched	käynnisti
launched	käynnistettiin
mass	massaa
mass	massa
chairman	puheenjohtajan
chairman	puheenjohtaja
comedy	komedia
relationship	suhde
relationship	suhteet
knowledge	osaaminen
knowledge	tieto
knowledge	tietämys
knowledge	tietoa
format	muodossa
format	muoto
creek	creekin
creek	puro
meeting	tapaaminen
meeting	kokous
failed	epäonnistui
failed	epäonnistunut
officers	upseerit
draft	luonnos
draft	luonnosta
goes	menee
fight	taistella
fight	taistele
fight	ottelu
fight	taistelu
figure	hahmo
faculty	tiedekunnan
camp	leiri
camp	leirin
camp	camp
camp	leirillä
ran	juoksivat
ran	juossut
ran	juoksi
variety	lajikkeen
owner	omistajan
owner	omistaja
statistics	tilastotietoja
statistics	tilastotiedot
statistics	tilastot
statistics	tilastojen
statistics	tilastoja
raised	kasvatettu
raised	kasvatti
raised	nostettu
raised	kasvatit
raised	kasvanut
heavy	raskasta
heavy	painava
heavy	raskas
heavy	raskaat
alexander	aleksanteri
alexander	alexander
alone	yksistään
alone	yksin
alone	yksinään
understand	ymmärrä
understand	ymmärtää
episodes	jaksoista
episodes	jaksot
gives	antaa
daily	päivittäistä
daily	päivittäin
daily	päivittäiset
daily	päivittäinen
williams	williamsin
williams	williams
latin	latinalainen
latin	latinalaisen
latin	latinaa
completely	kokonaan
completely	täysin
products	tuotteita
products	tuotteet
products	tuotteiden
dark	dark
dark	tumma
dark	pimeä
dark	pimeää
dark	tumman
attention	huomio
religion	uskontoa
religion	uskonto
religion	uskonnon
von	von
mind	mielen
mind	mieli
oppose	vastusta
administrative	hallinnolliset
administrative	hallinnollinen
cut	leikkaa
cut	leikata
scott	scott
scott	scottin
footballer	jalkapalloilija
jean	jean
mayor	pormestari
mayor	kaupunginjohtaja
pro	pro
pro	ammattilainen
beach	rannan
beach	ranta
beach	beach
beach	rantaa
beach	beachin
descent	laskeutuminen
descent	laskeutumisen
nearly	lähes
nearly	melkein
leaving	poistuu
leaving	lähdössä
leaving	lähtevät
cast	näyttelijät
cast	heitetty
write	kirjoittaa
write	kirjoita
write	kirjoitetaan
towns	kaupunkien
towns	kaupungit
forms	muodot
joe	joen
joe	joe
inside	sisältä
inside	sisään
inside	sisällä
inside	sisäpuolella
wanted	etsintäkuulutettu
wanted	haluttu
wanted	halusi
solid	kiinteää
solid	kiinteät
solid	kiinteä
individuals	yksilöitä
individuals	yksilöt
individuals	yksilöiden
authority	viranomaisen
authority	viranomainen
authority	valtuudet
mention	mainitse
mention	mainita
mention	maininta
projects	projektit
projects	hankkeet
projects	hankkeiden
projects	hankkeita
del	del
continue	jatkaa
continue	jatkakaa
continue	jatka
continue	jatkuu
cost	kustannukset
cost	maksaa
cost	hinta
cost	kulut
cost	kustannus
drive	aja
drive	ajaa
notice	ilmoitus
notice	huomaa
johnson	johnson
forced	pakko
forced	pakotettu
forced	pakotti
looks	ulkonäkö
looks	näyttää
reasons	syyt
reasons	syitä
job	työpaikka
job	työ
job	työtä
job	työn
photo	kuvaa
photo	kuva
photo	valokuva
hope	toivoa
hope	toivo
hope	toivottavasti
log	kirjaudu
log	loki
log	tukki
parents	vanhemmat
parents	vanhempien
parents	vanhempia
entered	syötetty
mike	mike
basic	perus
amount	summa
amount	määrä
spring	kevättä
spring	kevään
spring	kevät
oxford	oxford
oxford	oxfordissa
oxford	oxfordin
kong	kong
opera	opera
opera	oopperan
opera	ooppera
tried	yritetty
tried	yritti
tried	kokeiltu
tried	yritin
critical	kriittiset
critical	kriittinen
critical	kriittistä
simple	yksinkertaiset
simple	yksinkertaista
simple	yksinkertainen
founder	perustaja
hong	hong
told	kerrottu
told	kertoi
told	kertonut
husband	aviomiehen
husband	aviomies
useful	hyödyllinen
useful	hyödyllisiä
useful	hyödyllistä
technical	tekninen
necessary	tarpeellisia
necessary	tarpeen
necessary	tarpeellista
necessary	tarpeelliset
necessary	tarpeellinen
necessary	välttämätön
believed	uskoivat
believed	uskoi
mountains	vuoria
mountains	vuoret
mountains	vuorten
mountains	vuoristo
importance	merkitys
importance	tärkeys
musicians	muusikot
hotel	hotellissa
hotel	hotelli
hotel	hotellin
girls	tyttöjä
girls	girls
girls	tytöt
crew	miehistö
crew	miehistöä
crew	miehistön
feb	helmikuu
boy	poika
ontario	ontarion
nation	kansakunta
defense	puolustus
wiki	wiki
champions	mestarit
champions	mestareita
golden	golden
golden	kultaiset
golden	kultainen
districts	alueet
districts	piirit
faith	faith
faith	uskoa
faith	usko
racing	kilpa
racing	kisaa
racing	racing
mainly	lähinnä
mainly	pääosin
mainly	pääasiallisesti
mainly	pääasiassa
auto	automaattinen
auto	automaattisesti
auto	auto
lives	elämät
lives	asuu
swedish	ruotsiksi
swedish	ruotsalainen
swedish	ruotsi
swedish	ruotsin
hot	hot
hot	kuumat
hot	kuumaa
hot	kuuma
entertainment	viihdettä
entertainment	viihde
net	net
net	verkon
net	verkko
net	netto
soccer	jalkapallo
soccer	jalkapalloa
creation	luominen
creation	perustaminen
creation	luonti
product	tuote
product	tuotteen
product	tuotetta
product	tuotteet
tower	torni
tower	tower
tower	tornissa
tower	tornin
increased	lisääntynyt
increased	kasvoi
votes	ääniä
votes	äänestykset
votes	äänet
squadron	laivue
contemporary	nykyaikainen
focus	keskittyminen
focus	keskity
focus	focus
focus	keskittyä
marriage	avioliiton
marriage	avioliitto
questions	kysymykset
questions	kysymyksiä
details	yksityiskohdat
details	yksityiskohtia
details	tiedot
forward	eteenpäin
memorial	muistomerkki
memorial	memorial
peace	rauhaa
peace	peace
peace	rauha
kept	pidetty
iran	iranin
iran	iran
korea	korean
korea	korea
analysis	analyysi
analysis	analyysit
analysis	analysointi
analysis	analyysin
winners	voittajia
winners	voittajat
poor	köyhä
cricket	sirkka
judge	judge
judge	tuomari
judge	tuomarina
electric	sähköllä
electric	sähkö
electric	sähköinen
electric	sähköiset
exist	olemassa
corporation	corporation
campus	kampuksella
campus	kampuksen
brazil	brasilia
brazil	brasiliassa
brazil	brasilian
chris	chris
fifth	viidenneksi
fifth	viides
increase	lisäys
increase	lisätä
increase	kasvu
increase	korotus
summary	tiivistelmä
summary	yhteenveto
remaining	jäljellä
statement	julkilausuma
statement	lausunto
statement	lausuma
broadcast	lähetys
piano	piano
piano	pianoa
piano	pianon
des	des
novels	romaaneja
serving	palvelevat
serving	palvelee
serving	palveleva
hour	tunti
hour	tunnin
moving	muutto
moving	liikkeellä
moving	liikkuvat
moving	liikkuu
resolution	päätöslauselman
resolution	päätöslauselma
concept	käsite
concept	konsepti
alternative	vaihtoehtoinen
alternative	vaihtoehtoiset
alternative	vaihtoehtoisia
alternative	vaihtoehto
brothers	veljet
brothers	veljekset
brothers	veljiä
attacks	iskujen
attacks	hyökkäykset
attacks	iskut
encyclopedia	tietosanakirja
republican	republikaani
representatives	edustajat
representatives	edustajien
representatives	edustajia
politicians	poliitikkoja
politicians	poliitikot
difficult	vaikeaa
difficult	vaikea
difficult	vaikeat
difficult	hankala
difficult	hankalaa
ability	kyvyt
ability	kyvyn
ability	kyky
ability	valmiudet
studied	opinnot
studied	opiskeli
studied	tutkittu
host	juontaja
host	isäntä
host	järjestäjä
wall	wall
wall	seinä
wall	muuri
wall	seinän
wall	seinää
immediately	heti
immediately	välittömästi
urban	urban
urban	kaupunkien
pakistan	pakistaniin
pakistan	pakistan
pakistan	pakistanin
pakistan	pakistanissa
marine	meren
marine	merijalkaväki
marine	sotilas
physical	fyysiset
physical	fyysinen
physical	fyysistä
dec	joulukuu
troops	joukot
interview	haastatteluun
interview	haastattelussa
interview	haastattelun
interview	haastattelu
coming	tulee
coming	tulossa
coming	tullaan
suggest	ehdottaa
suggest	ehdota
emperor	keisari
emperor	keisaria
emperor	keisarin
letter	kirjain
letter	kirje
letter	kirjeen
letter	kirjeellä
couple	pariskunta
couple	pariskunnan
couple	pari
duke	herttua
duke	duke
tell	kerro
gallery	galleriassa
gallery	gallerian
gallery	galleria
follow	seurata
follow	seuraa
windows	windows
windows	ikkunat
tree	puu
tree	puuta
tree	puun
hits	iskee
hits	osumia
hits	osuu
jazz	jazzia
jazz	jazz
protection	suojan
protection	suojelu
protection	suoja
protection	suojelua
protection	suojaaminen
relevant	merkityksellinen
count	kreivi
count	laske
situation	tilanne
reviews	arviot
reviews	arvostelu
reviews	arvostelut
containing	sisältävien
containing	sisältävät
classical	klassisen
classical	klassinen
classical	klassista
offered	tarjosi
offered	tarjottu
offered	tarjotaan
lady	neito
lady	lady
netherlands	alankomaat
reports	raportit
reports	raportteja
reports	raporttien
reports	kertomukset
influence	vaikutusvalta
influence	vaikutusta
influence	vaikutusvaltaa
influence	vaikutus
address	osoite
address	osoitteen
linear	lineaarinen
consider	harkita
consider	harkittava
consider	harkitse
machine	laite
machine	koneen
machine	kone
elements	elementtejä
elements	elementit
types	tyypit
nov	marraskuu
serve	palvele
serve	palvella
sydney	sydneyn
sydney	sydney
ministry	ministeriön
ministry	ministeriö
blood	veri
blood	blood
blood	verta
distance	välimatka
distance	etäisyys
bottom	pohjaan
bottom	pohja
bottom	pohjaa
giving	antamassa
giving	antaminen
boys	poikia
boys	pojat
potential	potentiaali
potential	mahdollinen
potential	mahdolliset
potential	potentiaaliset
potential	potentiaalinen
toronto	toronto
edited	muokattu
infantry	jalkaväki
jun	jun
oct	mma
oct	lokakuu
conflict	konflikti
conflict	selkkaus
conflict	konfliktin
conflict	ristiriita
conflict	konfliktit
workers	työntekijöitä
workers	työläiset
workers	työntekijöiden
workers	työntekijät
steve	steve
philadelphia	philadelphian
philadelphia	philadelphia
philadelphia	philadelphiassa
helped	auttoi
helped	auttoivat
helped	auttanut
der	der
nationality	kansalaisuus
nationality	kansallisuus
dispute	riitaa
dispute	riidan
dispute	riita
dispute	kiista
scene	kohtaus
method	menetelmä
method	menetelmän
titles	osastot
titles	otsikot
berlin	berliinin
berlin	berliini
berlin	berliinissä
berlin	berliiniin
conditions	edellytykset
conditions	olosuhteet
conditions	ehdot
conditions	ehtoja
arms	käsivarret
arms	aseiden
arms	kädet
arms	aseet
maybe	ehkä
discovered	löydetty
discovered	löydettiin
iron	rauta
iron	rautaa
iron	raudan
extended	laajennettu
extended	jatkettu
extended	pidentää
churches	kirkkoja
churches	kirkot
churches	kirkkojen
positive	positiiviset
positive	myönteinen
positive	positiivinen
positive	positiivista
santa	pukki
santa	santa
nom	nom
imperial	imperial
ball	pallo
ball	pallon
ball	kuula
ball	tanssiaiset
width	leveys
quickly	nopeasti
correct	korjaa
correct	oikein
correct	oikea
responsible	vastuullinen
responsible	vastuussa
responsible	vastuuntuntoinen
possibly	mahdollisesti
indiana	indiana
soldiers	sotilaat
soldiers	sotilaita
examples	esimerkit
examples	esimerkkejä
korean	korealainen
korean	korean
fish	kala
fish	kalastaa
fish	kalaa
fish	kalasta
fish	kalat
senate	senaatti
senate	senaatin
effects	seuraukset
effects	vaikutus
effects	vaikutuksia
effects	vaikutukset
gun	tykki
gun	pyssy
gun	ase
check	tarkista
check	tarkistaa
check	tarkistus
check	tarkistetaan
check	check
appearances	ulkonäkö
appearances	esiintymiset
plans	suunnitelmia
plans	suunnitelmien
plans	suunnitelmat
sign	allekirjoitus
sign	merkki
sign	allekirjoittaa
sign	allekirjoita
reporting	raportointi
reporting	ilmoittaminen
sweden	ruotsissa
sweden	ruotsi
heritage	kulttuuriperintö
heritage	perintöä
heritage	perintö
tag	merkitse
tag	merkintä
tag	merkitä
tag	tunniste
primarily	pääasiallisesti
primarily	ensisijaisesti
primarily	pääasiassa
doctor	tohtori
doctor	lääkäri
leaders	johtajia
leaders	johtajat
lies	valheet
lies	valheita
lies	valehtelee
inc	inc
rivers	joet
rivers	jokia
rivers	jokien
rivers	rivers
crime	rikos
crime	rikokset
crime	rikollisuus
crime	rikoksen
crime	rikollisuuden
liberal	liberaali
liberal	liberaalit
stand	seistä
stand	stand
stand	seiso
bob	bob
existing	olemassa
existing	nykyiset
publishing	julkaiseminen
publishing	julkaisu
industrial	teollinen
answer	vastaa
answer	vastaus
answer	vastata
split	jako
split	jaettu
apr	huhtikuu
apr	huhtikuuta
apr	huhti
sex	seksiä
sex	sukupuoli
sex	seksi
sex	sex
mixed	sekoitettuna
mixed	sekoitettu
acting	näyttelemistä
personnel	henkilöstö
personnel	henkilöstön
personnel	henkilökunta
rail	rautateitse
rail	rautateiden
rail	rautatiet
rail	rautatie
die	kuolla
die	kuole
premier	pääministeri
premier	premier
approach	lähestymistapa
approach	lähestymistavan
wisconsin	wisconsin
sentence	lause
sentence	virke
sentence	tuomio
root	root
standards	standardit
standards	standardeja
standards	standardien
standards	normit
comics	sarjakuvia
comics	sarjakuva
comics	sarjakuvahahmo
earned	ansaitsi
earned	ansainnut
earned	ansaittu
miss	mis
miss	neiti
miss	ikävä
specifically	nimenomaan
specifically	nimenomaisesti
horse	hevonen
horse	hevosella
horse	hevosen
contributions	osuudet
carried	kantoi
lieutenant	luutnantti
wood	puu
wood	puuta
wood	puusta
plants	kasveja
plants	kasvien
plants	kasvit
initial	alustavat
origin	alkuperä
origin	alkuperää
environment	ympäristön
environment	ympäristö
pretty	aika
pretty	nätti
rank	arvo
bus	bussin
bus	bussi
gas	kaasu
gas	kaasua
gas	bensiini
gas	bensa
gas	kaasun
direction	suuntaa
direction	suuntaan
direction	suunta
direction	suunnan
guide	opas
guide	ohje
guide	oppaan
resources	varat
resources	voimavarat
resources	resursseja
resources	resurssit
affairs	asioiden
accepted	hyväksytty
accepted	hyväksyttiin
accepted	hyväksytyt
accepted	hyväksytään
animals	eläinten
animals	eläimet
animals	eläimiä
activity	toiminta
activity	aktiivisuus
activity	toimintaa
activity	toiminto
levels	tasot
levels	tasoja
laws	lait
laws	lakeja
jim	jim
jim	jukka
creating	luominen
creating	luoda
creating	luodaan
cambridge	cambridge
composer	säveltäjä
remove	poistaa
remove	poista
agency	toimisto
agency	kemikaalivirasto
agency	viraston
agency	virasto
reserve	varaus
reserve	varata
reserve	varaa
atlantic	atlantin
atlantic	atlantic
supreme	korkein
weight	paino
weight	painon
ask	kysyä
ask	kysy
ask	pyydä
fighting	taistelut
fighting	taistella
fighting	taistelevat
jackson	jacksonia
jackson	jackson
widely	laajalti
widely	laajasti
rose	ruusun
rose	rose
rose	ruusu
treatment	hoito
treatment	hoitoa
treatment	hoidon
treatment	käsittely
treatment	kohtelu
linked	yhdistetty
linked	yhteydessä
andrew	andrew
trial	oikeudenkäyntiä
trial	oikeudenkäynnin
trial	oikeudenkäynti
expanded	laajennettu
expanded	laajentunut
daniel	daniel
daniel	danielin
info	info
info	tiedot
info	tietoja
sciences	tieteet
fame	mainetta
fame	maine
fame	kuuluisuus
everything	kaikki
everything	kaiken
avenue	avenue
travel	matkustaa
travel	matkustaminen
travel	matkat
travel	matkailu
travel	matka
scale	asteikko
scale	vaaka
scale	mittakaavassa
break	riko
break	rikkoa
break	tauko
oregon	oregonin
housing	asumista
housing	asuminen
housing	asunto
produce	tuottaa
produce	tuottavat
capacity	kapasiteetti
capacity	valmius
capacity	kapasiteetin
capacity	valmiudet
fictional	kuvitteellinen
exchange	vaihtaa
exchange	vaihtoon
exchange	vaihto
exchange	vaihtaminen
actions	toiminnat
actions	toimet
actions	toimia
actions	toiminnot
cited	mainittu
typically	tyypillisesti
typically	tavallisesti
settlement	sovinto
agreement	sopimus
agreement	sopimuksen
translation	käännös
translation	kääntäminen
translation	käännökset
translation	käännöstä
kansas	kansasissa
kansas	kansas
managed	hallittu
managed	onnistui
bring	tuoda
bring	tuo
charge	lataus
charge	syyte
fails	epäonnistuu
dedicated	omistautunut
dedicated	omistettu
nearby	lähistöllä
nearby	lähellä
residents	asukkaille
residents	asukkaita
residents	asukkaat
piece	pala
growth	kasvu
growth	kasvuun
growth	kasvua
trust	luottaa
trust	luottamusta
trust	luottamus
trust	luota
applied	soveltanut
applied	sovellettu
drums	rummut
drums	rumpuja
issued	annettu
issued	myönnetyt
issued	annetut
issued	myönnetty
murder	murha
murder	murhaa
murder	murhat
normal	tavallinen
normal	normaali
normal	normaalia
normal	tavanomainen
twenty	kaksikymmentä
avoid	välttää
avoid	vältä
avoid	vältetään
avoid	vältettävä
tony	tony
norwegian	norjalainen
norwegian	norjaksi
norwegian	norjan
norwegian	norja
criteria	perusteet
criteria	kriteerit
suggested	ehdotetut
suggested	ehdotti
suggested	ehdotettu
suggested	ehdotettiin
suggested	ehdottaa
revolution	vallankumousta
revolution	vallankumous
revolution	vallankumouksen
fully	täysin
wars	sodat
wars	sotia
aug	elokuu
leaves	lehtiä
leaves	lähtee
leaves	lehdet
advanced	kehittynyt
advanced	edistynyt
advanced	kehittyneet
distribution	jakelu
distribution	jakauma
distribution	jakautuminen
medicine	lääkettä
medicine	lääketiede
medicine	lääkkeet
medicine	lääke
garden	puutarha
reach	tavoittaa
reach	kattavuus
reach	reach
reach	kattavuuden
reach	tavoita
turkey	kalkkuna
turkey	kalkkunaa
turkey	turkin
turkey	turkki
publications	julkaisuja
publications	julkaisut
impact	törmäys
impact	vaikutusta
impact	vaikutus
impact	vaikutuksen
impact	vaikutukset
households	kotitaloudet
households	kotitalouksien
survey	tutkimuksen
survey	kysely
survey	tutkimus
height	pituus
height	korkeuden
height	korkeus
morning	aamu
morning	aamuna
morning	aamun
morning	huomenta
morning	morning
honor	kunniaa
honor	kunnia
deep	syvälle
deep	syvällä
deep	syvä
deep	syvät
deep	deep
argument	argumentti
argument	perustelu
publication	julkaiseminen
publication	julkaisu
arthur	arthurin
arthur	arthur
elizabeth	elizabeth
disambiguation	täsmennyssivu
worth	arvoinen
worth	kannattaa
colorado	colorado
colorado	coloradossa
median	mediaani
maryland	marylandin
falls	kaatuu
falls	putoaa
falls	falls
zone	vyöhyke
zone	alue
solo	solo
solo	yksin
learning	oppiminen
learning	oppimista
learning	oppia
learning	opiskelu
learning	oppimisen
pay	maksa
pay	palkka
pay	maksaa
pay	maksettava
choice	valinta
vol	vol
flag	lippua
flag	lippu
engineer	insinööri
cars	autoja
cars	autot
cars	autojen
farm	tila
farm	maatila
farm	maatilan
wilson	wilson
principal	rehtori
acquired	saavutetut
acquired	hankittu
acquired	hankkinut
constructed	rakennettu
secret	salaisuuden
secret	salaista
secret	salainen
secret	salaisuus
poet	runoilija
build	rakentaa
build	rakenna
orchestra	orkesterin
orchestra	orkesteri
versions	versiot
versions	versioita
fixed	korjattu
fixed	kiinteät
fixed	kiinteän
fixed	kiinteä
efforts	ponnisteluja
efforts	pyrkimykset
efforts	ponnistelut
documentary	dokumenttia
documentary	dokumentin
documentary	dokumentti
equipment	varusteet
equipment	kalusto
equipment	välineet
equipment	laitteet
equipment	laitteisto
ray	ray
yellow	keltainen
yellow	keltaisia
yellow	keltaiset
guard	vartioi
guard	vartioida
guard	vartija
guard	vahti
pressure	paine
pressure	paineet
pressure	painetta
pressure	paineen
grant	avustus
grant	myöntää
grant	grant
prison	vankila
prison	vankilassa
freedom	vapauden
freedom	vapautta
freedom	vapaus
freedom	vapauteen
norway	norjan
norway	norja
store	säilytä
store	kaupassa
store	kaupan
store	kauppa
taylor	taylor
quarter	neljännes
quarter	neljäsosa
designated	nimetty
designated	nimetyt
independence	riippumattomuus
independence	itsenäisyyttä
independence	itsenäisyys
platform	alusta
platform	foorumi
platform	alustan
platform	laituri
rome	roomaa
rome	roomaan
rome	rooman
rome	rooma
teacher	opettaja
copy	kopioi
copy	kopio
effort	ponnisteluja
nuclear	ydinvoima
pictures	kuvia
pictures	kuvat
pictures	valokuvia
models	malleja
models	mallit
sep	sep
everyone	jokainen
everyone	kaikille
everyone	kaikki
easily	helposti
description	kuvaus
agreed	sovittu
agreed	sovitut
institutions	toimielimiin
institutions	toimielimet
institutions	laitokset
institutions	toimielimiä
institutions	toimielinten
covers	kannet
covers	kattaa
facilities	tilat
target	target
target	kohde
stack	pino
stack	stack
rationale	perustelut
rationale	perustelu
rationale	perusteet
combined	yhdistetyn
combined	yhdistetty
combined	yhdistetyt
bronze	pronssia
hosted	isännöi
programming	ohjelmointi
sri	sri
railroad	rautatie
unique	ainutlaatuinen
unique	ainutlaatuista
unique	yksilöllinen
unique	yksilölliset
defined	määritellyt
defined	määritetty
defined	määritelty
ocean	meri
ocean	valtameri
ocean	ocean
cell	selli
cell	solu
cell	solun
missouri	missourin
concert	konserttiin
concert	konserttia
concert	konsertti
concert	konsertissa
improve	parannetaan
improve	parannettava
improve	paranna
improve	parantaa
biography	elämäkerta
loan	laina
loan	lainaa
contact	yhteyttä
contact	yhteyshenkilö
contact	yhteystiedot
holy	pyhä
holy	pyhät
tennessee	tennessee
safety	turvallisuutta
safety	turvallisuus
competed	kilpailivat
stephen	stephen
stephen	tapani
policies	käytännöt
painting	maalaus
painting	maalausta
painting	taulua
painting	taulu
price	hinta
price	hinnan
price	hintaa
entirely	kokonaan
mexican	meksikolaista
mexican	meksikolainen
mexican	meksikon
leadership	johtoasema
leadership	johtajuutta
flying	lentäminen
flying	lentävä
flying	lentää
flying	lentävät
message	viesti
message	viestiä
message	viestin
serious	vakavat
serious	vakavaa
