चिंतित	satraukti
सुनहरे	blondīne
आगंतुक	apmeklētāju
आगंतुक	ciemiņš
आगंतुक	dalībnieks
फ़ॉर्मूला	formula
फ़ॉर्मूला	formulas
चीज़ें	lietas
ग्राफिक	grafiskā
लूप	cilpas
लूप	cilpu
पेरी	peri
फिल्माया	filmēja
सम्मिश्रण	sajaukšanas
चम्मच	karoti
ग्रा	gras
दुकानें	veikalos
दुकानें	veikali
दुकानें	glabātavas
दुकानें	veikalos
दुकानें	noliktavas
दुकानें	veikali
दुकानें	kioskos
अनुपयुक्त	neizmantoto
अनुपयुक्त	neizmantots
विरोधाभास	paradokss
जैम	zam
जैम	jam
चेयरमैन	priekšsēdētāja
चेयरमैन	priekšsēdētājs
रिश्तेदार	relatīvais
रिश्तेदार	radinieks
रिश्तेदार	relatīvi
रिश्तेदार	relatīvā
रिश्तेदार	radinieki
रिश्तेदार	radi
रिश्तेदार	radiniekiem
कचरा	paliekas
कचरा	mēsli
थैली	maisiņš
प्रतियोगियों	konkurenti
प्रतियोगियों	konkurentiem
प्रतियोगियों	konkurentus
असिमोव	azimovs
स्प्रिंग	pavasaris
पिज़्ज़ा	pizza
पिज़्ज़ा	pica
पिज़्ज़ा	picas
जाली	režģu
दैवी	oracle
ग़रीब	slikta
ग़रीब	vāja
ग़रीब	nabaga
छात्रवृत्ति	stipendiju
विषैले	indīgi
लिखें	rakstīt
लिखें	rakstiet
लिखें	dedzināt
देवों	devon
सोडा	soda
हुकूमत	karaliste
हुकूमत	dominēšanu
डॉक्टरेट	doktora
विला	villas
विला	villa
सटीकता	precizitāte
सटीकता	precizitāti
कोला	kolombo
कोला	cola
धमनियों	artērijas
प्रतिजन	antigēnu
प्रतिजन	antigēna
प्रतिजन	antigēns
अदालतों	tiesām
अदालतों	tiesas
चोंच	knābi
ग्राहम	graham
प्लेटों	plates
प्लेटों	plātnes
प्लेटों	plāksnes
प्रमाणन	sertifikācijas
प्रमाणन	sertifikācija
खरीदी	iepirka
खरीदी	iegādāts
खरीदी	pirkta
खरीदी	nopirkts
खरीदी	nopirka
दुखी	nožēlojamu
दुखी	bēdīgs
दुखी	skumji
दुखी	vad
न्यूट्रॉन	neitronu
निरीक्षक	novērotājas
निरीक्षक	novērotājs
निरीक्षक	novērotāju
निरीक्षक	novērotāja
निरीक्षक	novērotājam
अल्फ़ा	alfa
हैरिस	harris
गियर	pārnesums
गियर	rīku
राजतंत्र	monarhija
संप्रेषण	nogādāšana
अंडाकार	elipsveida
सर्कस	cirks
सर्कस	cirka
अल्बानिया	albānija
हीलियम	hēlija
बादाम	mandeļu
बादाम	mandeles
बादाम	mandeles
कगार	radzes
निष्कर्षों	secinājumi
निष्कर्षों	atzinumi
नागा	naga
प्राचल	parametru
प्राचल	parametrs
प्राचल	parametri
प्राचल	raksturlielums
मिनेसोटा	minesotas
पृथक्करण	atlaišanas
पृथक्करण	segregāciju
पृथक्करण	nošķiršana
अंडा	olas
अंडा	olu
अंडा	ola
एलर्जी	alerģija
एलर्जी	alerģijas
माइक्रो	mikro
वर्दी	tērpi
वर्दी	tērpos
वर्दी	vienādu
वर्दी	vienoti
वर्दी	vienāda
उत्कृष्टता	pilnība
सूर्यास्त	saulrieta
सूर्यास्त	saulriets
ताँबा	vara
ताँबा	varš
ऐश	pelni
ऐश	pelnu
ऐश	pelnus
कैलोरी	kaloriju
कैलोरी	kaloriju
कैलोरी	kalorijas
कैलोरी	kal
ईमानदारी	godīgumu
ईमानदारी	godīgums
ईमानदारी	patiesumu
मताधिकार	franšīzes
वृत्ताकार	apaļa
वृत्ताकार	cirkulārā
वृत्ताकार	apļveida
निर्वासित	outlaw
निर्वासित	deportēt
सरस	sulīgi
स्ट्रिंग	virkne
स्फटिक	kvarca
बुनाई	aušanas
बुनाई	adīšanas
विवाहित	precējusies
विवाहित	precējies
आभा	auras
ईद	eid
मांसाहारी	gaļēdāji
बॉन	bonnas
पाँव	kājas
पाँव	pēdas
पाँव	kājām
द्वेष	naids
द्वेष	naidu
रेखांकित	uzsvēra
रेखांकित	uzsvērt
कॉलम	sleja
कॉलम	kolonna
कॉलम	slejā
कॉलम	kolonnu
कॉलम	kolonnas
कॉलम	slejas
कॉलम	ailes
समस्थानिक	izotopu
कहावत	maksims
टेड	ted
समष्टि	telpa
समष्टि	kosmoss
दुर्घटनाओं	nelaimes
दुर्घटनाओं	negadījumi
शायरी	dzeja
शायरी	dzejas
टेलीग्राफ	telegrāfa
प्रत्याशी	kandidāts
प्रत्याशी	kandidāti
प्रत्याशी	kandidātam
आवेग	impulss
आवेग	impulsu
आवेग	impulss
बर्नार्ड	bernard
बर्नार्ड	barnards
अध्यात्म	garīgumu
सचेत	samaņas
सचेत	apzinoties
एमिनेम	eminem
सुनी	uzklausīja
किशोरों	pusaudža
धर्मार्थ	labdarības
डेव	deivs
पारा	dzīvsudraba
पारा	dzīvsudrabs
पारा	para
हार्ले	harley
पेंट	zīmēt
पेंट	krāsas
निदेशालय	direktorāts
सोन	dēls
नीलामी	izsole
नीलामी	izsoli
नीलामी	izsolē
नीलामी	izsoles
नीलामी	izsolēs
नीलामी	izsoles
पट्टे	līzinga
पट्टे	līzings
पट्टे	nomas
पट्टे	noma
नाटो	nato
ब्रह्मचर्य	šķīstības
ग्लेन	glens
ग्लेन	glenns
विरल	reti
विरल	retas
पोर्टफोलियो	portfolio
पोर्टफोलियो	portfeļa
पोर्टफोलियो	portfelis
नवाचार	inovāciju
नवाचार	jauninājumi
नवाचार	inovācija
नवाचार	inovācijas
डायमंड	dimanta
डायमंड	dimants
डायमंड	dimantu
महंगी	dārga
महंगी	dārgi
महंगी	dārgas
महंगी	dārgs
फ्रायड	freids
तर्कसंगत	racionālu
तर्कसंगत	racionāli
तर्कसंगत	racionāla
पीना	dzeršanas
पीना	dzeramā
पीना	dzeramais
पीना	dzērienu
पीना	dzērieni
पीना	dzer
पीना	dzert
पीना	dzēriens
स्ट्रिप	lentes
स्ट्रिप	sloksnes
संलयन	kodolsintēzes
अब्दुल्ला	abdullah
वर्जिन	jaunava
मानकीकृत	standartizēts
मुहाफ़ज़ाह	guberņa
प्रोसेसिंग	pārstrāde
प्रोसेसिंग	apstrāde
अवस्थिति	izvietojums
अवस्थिति	izvietošanu
अवस्थिति	ievietošana
अवस्थिति	izvietošana
अवस्थिति	vieta
अवस्थिति	novietojums
अवस्थिति	vietas
वार्मिंग	sasilšana
वार्मिंग	sasilšanas
मार्गदर्शक	rokasgrāmata
मार्गदर्शक	ceļvedis
विभिन्नता	variācijas
ढोल	bungas
ढोल	tvertne
ढोल	krēpjvilks
क्वार्क	biezpiena
अवकल	starpība
राजसी	regal
टिकाऊ	ilgtspējīga
टिकाऊ	ilgtspējīgas
टिकाऊ	noturīgi
जबरदस्त	milzīgo
जबरदस्त	milzīgs
क्रोमियम	hromu
क्रोमियम	hroma
कूप	coupe
कीन	kīns
स्टेनली	stenlija
लेखनी	pen
अखबारों	avīzes
अखबारों	laikraksti
मध्यस्थता	šķīrējtiesa
मध्यस्थता	arbitrāžas
मध्यस्थता	starpniecības
सोल	sol
किक	sitienu
आयोडाइड	jodīds
धड़कन	pārspēt
धड़कन	sirdsdarbība
छल्ले	gredzeni
क्रेन	dzērve
आखरी	pēdējo
आखरी	pēdējais
आखरी	pēdējā
आखरी	pēdējās
आखरी	pēdējoreiz
क्षेत्ररक्षण	kapteinis
क्षेत्ररक्षण	kapteini
लिली	lilija
लिली	lili
लिली	lilija
लिली	lilly
लिली	lilija
बेली	beilijs
ग्रहीय	planētas
मॉनिटर	uzrauga
मॉनिटर	uzraudzītu
मॉनिटर	pārraudzīt
मॉनिटर	uzraudzīt
मॉनिटर	monitoru
मॉनिटर	monitors
कोक	koksa
कोक	kokss
मेलबोर्न	melburnas
मशरूम	sēnes
मशरूम	sēņu
शांतिपूर्ण	miermīlīgu
शांतिपूर्ण	mierīga
फ्लू	gripa
नरक	ellē
नरक	elle
ट्री	koku
ट्री	koks
ट्री	kokā
बेलन	balons
बेलन	cilindra
बेलन	cilindrs
बोलना	uzstāšanās
बोलना	runājot
अवरोधित	bloķēti
अवरोधित	bloķēta
अवरोधित	bloķēts
आत्मविश्वास	pārliecināti
आत्मविश्वास	pārliecināta
आत्मविश्वास	uzticību
आत्मविश्वास	pārliecība
आत्मविश्वास	uzticība
आत्मविश्वास	uzticēšanās
लापता	pietrūkst
लापता	trūkst
लापता	pazudusi
लापता	pazudis
कंटेनर	tvertne
कंटेनर	konteiners
कंटेनर	konteinera
राई	rai
दुश्मनों	pretinieki
दुश्मनों	ienaidnieki
वाइड	plašs
वाइड	plaša
फर्नीचर	mēbeles
वारिस	mantinieks
वारिस	mantinieki
आधुनिकीकरण	modernizācijai
आधुनिकीकरण	modernizācijas
आधुनिकीकरण	modernizācija
परिवर्तनशील	mainīgā
परिवर्तनशील	mainīgais
परिवर्तनशील	mainīgs
परिवर्तनशील	mainīgo
परिवर्तनशील	mainīga
मच्छर	moskītu
अनजान	nezināma
अनजान	nezināms
ग्रांट	piešķirt
मैग्नीशियम	magnijs
मैग्नीशियम	magnija
सनी	saulainas
सनी	saulains
सनी	saulainā
सनी	saulaina
प्लेटफॉर्म	perona
प्लेटफॉर्म	platforma
प्लेटफॉर्म	platformai
भावुक	emocionālā
भावुक	emocionāli
भावुक	emocionāls
भावुक	emocionālo
कैन	kains
कैन	kannu
घोटाला	skandāls
मिस्री	ēģiptes
मिस्री	ēģiptiešu
चार्टर्ड	zvērinātu
ईर्ष्या	skaudība
ईर्ष्या	greizsirdība
मेडल	medaļu
मेडल	medaļa
समरूप	viendabīga
गायों	govis
जैज़	jazz
जैज़	džeza
गायकों	dziedātāji
गायकों	dziedāt
गायकों	dziedam
गायकों	dzied
ओक	ozolkoka
ओक	ozola
बैच	sērija
बैच	partija
उड़ा	trieciens
किनारा	robežas
किनारा	malas
किनारा	malu
किनारा	mala
किनारा	robežas
किनारा	robeža
फ्रेड	fred
फ्रेड	freds
बुर्ज	tornis
बुर्ज	torņa
बुर्ज	tornī
बुर्ज	torni
बुर्ज	kalngals
बुर्ज	sargtorni
पियरे	pierre
वुड	koksne
वुड	koks
वुड	koka
वुड	kokmateriāli
बंदरगाहों	ostas
बंदरगाहों	portu
बंदरगाहों	ostā
बंदरगाहों	osta
अलेक्जेंडर	aleksandrs
वर्षगांठ	gadadienas
वर्षगांठ	jubileja
वर्षगांठ	gadadiena
क्योटो	kioto
अनुबंधित	iezīmēti
मटर	zirņu
मटर	zirņi
मटर	zirņi
आर्किटेक्चर	arhitektūra
फैक्ट्री	rūpnīca
फैक्ट्री	fabrika
वॉर्स	kariem
वॉर्स	kari
ओंटारियो	ontario
वायरल	vīrusu
वायरल	vīrusa
एडवेंचर	piedzīvojumu
एडवेंचर	piedzīvojums
एडवेंचर	piedzīvojumi
अनुग्रह	greisa
स्टीवर्ट	stjuarts
गिल्ड	ģilde
डेविडसन	davidson
घंटी	zvans
कैरोलिना	karolīna
तनु	tanu
प्लान	plāna
प्लान	plāns
प्लान	plānā
विदा	vida
मिर्जा	mirza
माफी	atvainojos
माफी	atvainoties
माफी	piedošanu
व्लादिमीर	vladimirs
व्लादिमीर	vladimir
दौलत	bagātības
दौलत	bagātība
बेहोश	bezsamaņā
वर्ड	vārdu
प्रभार	uzlādes
म्यांमार	mjanmas
मार्गरेट	margaret
जुलूस	gājiens
बांसुरी	flauta
दिशानिर्देश	virzieni
दिशानिर्देश	virzienos
दिशानिर्देश	norādījumi
दिशानिर्देश	pamatnostādnes
दिशानिर्देश	vadlīnijas
बधाई	apsveicu
बधाई	sveicieni
बधाई	sveic
बधाई	apsveicu
सत्तर	septiņdesmit
हॉस्पिटल	slimnīcā
हॉस्पिटल	slimnīca
प्रांगण	telpas
प्रांगण	pagalms
प्रांगण	pagalma
प्रांगण	pagalmā
प्रांगण	pagalmu
हिंदुस्तानी	hindustāņu
त्यागपत्र	atkāpšanās
फास्फेट	fosfāts
नीलम	safīra
जलसन्धि	šaurums
उठी	izvirzīja
पोर्टेबल	portatīvais
स्विंग	sparā
मर्फी	mērfijs
टिप्पणियाँ	piezīmes
टिप्पणियाँ	komentāri
टिप्पणियाँ	apsvērumi
टिप्पणियाँ	atsauksmes
प्रिंटर	printeris
प्रिंटर	printeri
प्रिंटर	printeri
सिनसिनाटी	sinsinati
गिरी	krita
गिरी	nokrita
गिरी	iekrita
सल्फाइड	sulfīds
फुल	pilnu
फुल	pilnas
फुल	pilns
फुल	pilnā
फुल	pilni
फुल	pilna
अनिश्चितता	neprecizitāte
अनिश्चितता	nenoteiktība
अनिश्चितता	neskaidrība
अनिश्चितता	nenoteiktību
अस्सी	astoņdesmit
आंद्रे	andrē
अनोखी	savāda
पापुआ	papua
सीआईडी	cid
विषयवस्तु	saturu
विषयवस्तु	saturs
विषयवस्तु	tēmas
विषयवस्तु	satura
विषयवस्तु	saturs
सूरीनाम	surinamas
गिरि	giri
फोर्ब्स	forbes
एजेंटों	aģenti
प्रेमियों	mīļotājiem
आनुवंशिकी	ģenētika
विलीन	izšķīdināt
विलीन	izšķīst
विलीन	izšķīdina
हथेली	palmu
हथेली	plaukstas
हथेली	plaukstu
हथेली	palmas
दाग	traips
अज़ाब	posts
अज़ाब	doom
बटालियन	bataljona
रिक	riks
बर्मिंघम	birmingham
गुस्से	dusmu
गुस्से	dusmas
आर्यन	āriešu
ढलान	nogāzes
ढलान	slīpums
लगन	veltījums
चाकू	nazi
चाकू	nazis
परिवर्तनीय	mainīgā
परिवर्तनीय	mainīgais
परिवर्तनीय	mainīgs
परिवर्तनीय	mainīgo
परिवर्तनीय	mainīga
परिवर्तनीय	mainīgie
परिवर्तनीय	maināmi
निर्दोष	nevainojama
निर्दोष	nevainīgi
निर्दोष	nevainīgs
निर्दोष	nevainīgu
लीबिया	lībija
लीबिया	lībijas
उज़बेक	uzbekistānas
पिछला	pēdējo
पिछला	pēdējais
पिछला	pēdējā
पिछला	pēdējās
पिछला	pēdējoreiz
पिछला	iepriekšējā
पिछला	iepriekšējais
पिछला	iepriekšējās
पिछला	iepriekšējie
झुंड	ganāmpulku
झुंड	ganāmpulka
झुंड	ganāmpulks
घुड़सवार	jāšanas
प्रसाधन	tualetes
प्रसाधन	tualete
प्रसाधन	resursi
प्रसाधन	resursus
प्रसाधन	līdzekļi
ईमानदार	godīgs
ईमानदार	godīgi
ईमानदार	apzinīgi
जोस	jose
जोस	hosē
जोस	hosē
जोस	josé
अंकीय	cipars
अंकीय	cipariem
असेम्बली	montāža
असेम्बली	asamblejas
असेम्बली	asambleja
भिक्षुओं	mūki
लड़ी	pavediens
लड़ी	pavedieni
लड़ी	pavedienu
कानों	ausis
चांसलर	kanclere
अहसास	sajūtas
अहसास	sajūta
चक्रीय	cikliskie
किपलिंग	kiplings
अस्थाई	pagaidu
अस्थाई	īslaicīgi
तैमूर	timurs
तबाह	izpostīja
तबाह	drupas
योद्धाओं	warriors
योद्धाओं	kareivji
कलाकृति	meistardarbs
कलाकृति	zīmējumi
कलाकृति	noformējums
नाइजीरिया	nigērija
नाइजीरिया	nigērijā
मिसिसिपी	misisipi
थ्रिलर	thriller
बेलनाकार	cilindriskās
अंतरजाल	interneta
अंतरजाल	internets
रहो	uzturēties
रहो	paliec
रहो	palikt
ट्रैकिंग	izsekošanas
ट्रैकिंग	izsekošana
गिद्ध	grifs
पोस्टर	plakātu
पोस्टर	plakāts
पोस्टर	plakātus
पोस्टर	plakāti
वंशजों	pēcnācēji
वंशजों	pēcteči
रंजक	pigments
रंजक	pigmentu
रंजक	pigmenta
उंगलियों	pirksti
उंगलियों	pirkstus
उंगलियों	pirkstiem
सभाओं	kompleksi
चॉकलेट	šokolādes
चॉकलेट	šokolādi
चॉकलेट	šokolāde
राइफल	šautene
मेक	padarīt
मेक	padarītu
मेक	make
मेक	marka
स्थलाकृति	topogrāfijas
सुन्दरता	skaistule
सुन्दरता	skaistums
अंतरिम	pagaidu
जबड़े	žokļu
सर्वनाम	vietniekvārds
शेल	shell
शेल	čaulas
शेल	čaulas
शेल	čaumalas
रसोई	virtuve
रसोई	virtuves
वाक	runā
वाक	runu
वाक	runas
वाक	runa
चिकित्सालय	slimnīcā
चिकित्सालय	slimnīca
फंस	iesprostoti
चट्टानें	klintis
चट्टानें	akmeņi
तीतर	irbe
चतुर	gudrs
चतुर	gudra
चतुर	gudri
खानपान	ēdināšana
अस्वीकृत	liegts
अस्वीकृत	noraidīts
अस्वीकृत	liegta
अस्वीकृत	atteikts
अस्वीकृत	atteikta
अस्वीकृत	samazinājās
अस्वीकृत	samazinājies
अस्वीकृत	noraidīti
अस्वीकृत	noraidīta
अस्वीकृत	noraidīts
अस्वीकृत	noraidītas
अस्वीकृत	noraidīt
अस्वीकृत	noraida
सजातीय	viendabīga
परिवर्तक	pārveidotājs
परिवर्तक	pārveidotāja
किराया	īri
किराया	īre
खिलौने	rotaļlietas
महीना	mēnesis
महीना	mēnesi
रिपोर्टिंग	ziņojumi
नैनो	nano
नमकीन	sāļa
पंद्रहवीं	piecpadsmitajā
प्लेग	mēri
प्लेग	mēris
निजीकरण	privatizācija
निजीकरण	privatizācijai
अज्ञान	nezināšanu
आर्द्र	mitra
आर्द्र	mitrā
नबी	pravietis
नबी	nabi
हेल	hel
परी	pari
परी	eņģelis
कीचड़	dubļi
छुपा	noslēpt
छुपा	slēptas
छुपा	slēpta
छुपा	slēptās
छुपा	noslēpt
छुपा	paslēpt
छुपा	slēpt
डिफ़ॉल्ट	noklusētā
डिफ़ॉल्ट	noklusētais
डिफ़ॉल्ट	noklusējuma
राइस	rīsi
ताज़ा	svaiga
ताज़ा	svaigas
ताज़ा	svaigs
ताज़ा	svaigi
उपेक्षित	ignorēta
उपेक्षित	ignorē
उपेक्षित	ignorēts
उपेक्षित	novārtā
ज़िंदगी	life
ज़िंदगी	dzīve
ज़िंदगी	dzīvi
ज़िंदगी	dzīvība
दरें	likmes
अवशिष्ट	atlikuma
अवशिष्ट	atlikums
पेशेवरों	profesionāļiem
पेशेवरों	profesionāļi
धूमकेतु	komēta
कॉनकॉर्ड	concorde
मिश्रधातु	sakausējuma
मिश्रधातु	sakausējums
आइटम	priekšmeti
आइटम	posteņi
आइटम	postenis
क्षणिक	pārejošs
दुर्गम	vārīties
जीमेल	gmail
फॉर्मेट	formāts
फेस	seju
फेस	seja
पांव	kājas
पांव	pēdas
पांव	kājām
छड़	stieņi
मीट्रिक	metrika
मीट्रिक	metriskās
बांग्लादेशी	bangladešas
बांग्लादेशी	bangladeša
बांग्लादेशी	bangladešas
डिज़ाइनर	dizaineru
क्रीड़ा	sporta
क्रीड़ा	sports
एकाग्रता	koncentrācijas
एकाग्रता	koncentrācija
एकाग्रता	koncentrācijas
एकाग्रता	koncentrēšanās
एकाग्रता	koncentrācija
ईकाई	vienība
भतीजे	krustdēls
भतीजे	brāļa
संभाव्यता	varbūtības
संभाव्यता	varbūtību
संभाव्यता	iespējamība
संभाव्यता	varbūtība
अपर	augšējo
अपर	augstākie
अपर	augšējā
अपर	augstākais
अपर	augšējais
स्तनधारियों	zīdītājiem
स्तनधारियों	zīdītājus
स्तनधारियों	zīdītāji
संकेतक	kursora
संकेतक	kursors
संकेतक	bultiņa
स्पष्टता	skaidrību
स्पष्टता	skaidrības
स्पष्टता	skaidrība
बेंज	benz
तंजानिया	tanzānijas
गोल्डबर्ग	goldbergs
एडी	edijs
नहरों	kanāls
नहरों	kanāli
पिस्तौल	pistole
विभेदन	rezolūcija
विभेदन	izšķirtspēja
गुफाएं	alas
सूक्ष्मजैविकी	mikrobioloģija
उज़्बेकिस्तान	uzbekistānu
उज़्बेकिस्तान	uzbekistāna
सीरियल	nigērija
सीरियल	nigērijā
सीरियल	alžīrija
रिवर्स	reversā
रिवर्स	atpakaļgaitā
रिवर्स	reversās
कार्यपालिका	izpildvaras
कार्यपालिका	izpildu
कास्ट	lietos
झटका	šoks
कैदी	ieslodzīto
कैदी	ieslodzītie
कैदी	ieslodzīto
साओ	cao
साओ	sao
विंडो	logu
विंडो	logā
विंडो	logs
विंडो	loga
खोने	zaudē
खोने	zaudēt
कैश	keša
लिप्यन्तरण	transliterāciju
केंट	kents
इराकी	irākas
इराकी	irāka
इराकी	irākā
इराकी	irāku
अराजकता	anarhija
अराजकता	haoss
पेले	pelle
मेटा	meta
सिग्मा	sigma
आजीविका	karjeru
आजीविका	karjera
आजीविका	karjeras
आजीविका	iztiku
फायदे	plusi
फायदे	ieguvumi
फायदे	pabalsti
फायदे	ieguvums
फायदे	labumi
गूढ़	ezotērikas
बार्कलेज	barclays
नवीकरण	atjaunošana
नवीकरण	rekonstrukcija
नवीकरण	atjaunošanas
नवीकरण	atjaunošana
नाममात्र	nominālais
नाममात्र	nominālā
नाममात्र	nomināla
मल्टीमीडिया	multivides
ग्लेशियर	glečers
ग्लेशियर	ledāji
प्रतिबंधों	sankcijas
मैराथन	ventspilī
मैराथन	maratons
पोटेशियम	kālija
पोटेशियम	kāliju
लारा	lara
थर्मल	termiskā
झाड़ी	krūms
डेविल	velns
कक्षीय	orbītas
अधूरा	nepilnīgas
अधूरा	nepabeigta
अधूरा	nepilnīgs
अधूरा	nepilnīgi
अधूरा	nepilnīga
सर्वसम्मति	vienprātība
टर्बाइन	turbīnu
टर्बाइन	turbīnas
कार्यशील	braukšana
किंवदंती	apzīmējumi
किंवदंती	leģenda
छलांग	lēciens
लाओस	laosas
साइप्रस	kipras
साइप्रस	kipra
साइप्रस	cyprus
साइप्रस	kiprā
स्वायत्तता	autonomiju
स्वायत्तता	autonomijas
स्वायत्तता	autonomija
गाढ़ा	treknrakstā
गाढ़ा	drosmīgi
पित्ताशय	žultspūšļa
एंथोनी	anthony
बीयर	alu
बीयर	alus
ड्राइविंग	braukšanas
ड्राइविंग	braukšana
ड्राइविंग	vadīšana
वेनेजुएला	venecuēlas
वेनेजुएला	venecuēla
जीनों	gēni
बोनस	bonus
बोनस	bonusu
बोनस	piemaksas
बोनस	prēmijas
जलाकर	ieslēgšana
ज्या	sine
थाना	cietuma
थाना	cietums
झूठे	melis
अस्थियों	kaulus
अस्थियों	kauli
पिक्सेल	pikseļi
पिक्सेल	pikseļu
लॉयड	lloyd
हीट	karstums
हीट	siltuma
हीट	siltums
वायसराय	vicekarali
क्राय	novads
सुनहरा	golden
सुनहरा	zelta
सुनहरा	zeltā
सुनहरा	zelta
सुनहरा	zelts
नमाज़	lūgšanu
नमाज़	lūgšanas
कर्कट	vēzis
शौचालय	tualetes
शौचालय	tualete
पर्सनल	personiska
पर्सनल	personīgie
पर्सनल	personīgais
पर्सनल	personīgā
पर्सनल	personīga
पहिया	ritenis
पहिया	riepa
मेगाडेथ	megadeth
लोकल	vietējie
लोकल	vietējā
लोकल	vietējais
लोकल	lokāla
लोकल	lokālā
पुनरुद्धार	atjaunošana
पुनरुद्धार	atjaunošanu
पुनरुद्धार	atdzīvojas
मस्जिदों	mošejas
मस्जिदों	mošeja
प्रतिरूपण	klonēšana
बाय	bye
बाय	atā
जावास्क्रिप्ट	javascript
गेल	geila
छू	pieskarties
छू	skar
छू	pieskaras
पंक्तियाँ	rindas
पंक्तियाँ	līnijas
पंक्तियाँ	rindas
हाइकु	haiku
ट्रेक	trek
जेफ	džefs
मददगार	palīgs
वर्णनात्मक	aprakstošs
मद	priekšmeti
मद	posteņi
मद	postenis
मिशनरी	misionāru
पिताजी	tētis
पिताजी	tēti
पिताजी	tētis
पिताजी	tēti
प्रसन्नता	patoss
मोल	moll
संधारित्र	kondensators
सबवे	metro
चोटियों	maksimumu
पुनर्जन्म	reinkarnāciju
पुनर्जन्म	atdzimst
पर्यायवाची	sinonīms
पर्यायवाची	sinonīmi
क्रोएशिया	horvātija
आरा	ara
कल्याणकारी	cēloņi
कल्याणकारी	iemesli
कल्याणकारी	cēloņus
सेटिंग	komplektācija
सेटिंग	iestatījumi
सेटिंग	uzstādījumi
नीरो	nero
उस्मानी	osmaņu
ग्लासगो	glāzgovas
आंखें	acīm
आंखें	actiņas
आंखें	acis
परिसंचरण	aprite
ताश	kārtis
ताश	kartes
ताश	kartītes
सजावटी	dekoratīvās
सजावटी	dekoratīvs
हस्तलिखित	rokrakstā
प्रेषण	transmisija
प्रेषण	nosūtīšana
प्रेषण	pārraide
प्रेषण	pārvades
प्रेषण	pārsūtīšana
प्रेषण	nosūtīšana
एमिली	emīlija
पोलियो	poliomielīta
लिथियम	litija
लिथियम	litiju
बॉयल	boila
पालक	spināti
फैमिली	saime
फैमिली	ģimene
फैमिली	ģimenē
फैमिली	ģimenes
बॉक्सिंग	boksa
बॉक्सिंग	bokss
हिरन	briedis
धारकों	turētājiem
धारकों	īpašnieki
धारकों	turētāji
चैपल	kapelā
होंडा	honda
मध्यस्थ	starpnieks
मध्यस्थ	starpnieka
अभिभावक	vecāki
अभिभावक	vecākiem
अभिभावक	vecāks
अभिभावक	vecāka
नाराज	tracina
फ्लैट	plakana
फ्लैट	vienotas
फ्लैट	plakanas
टेन	tan
टेन	desmit
टेन	ten
शील्ड	vairogs
चीड़	priežu
चीड़	priede
चीड़	priedes
तोड़कर	pārkāpj
चुंबक	magnētu
मॉन्ट्रियल	monreālas
हेलो	sveicināti
हेलो	sveiks
हेलो	hello
हेलो	sveika
हेलो	sveiki
हेलो	halo
कविताएं	dzejoļi
सेमीफाइनल	semifinal
कोका	kokaīnu
कोका	kokaīna
कोका	kokaīns
कोका	coca
रॉड	stienis
रॉड	air
निरस्त	atcelt
निरस्त	anulēt
बुद्धिमत्ता	izlūkošanas
बुद्धिमत्ता	gudrību
बुद्धिमत्ता	gudrība
बुद्धिमत्ता	gudrības
चेचक	bakas
नर्स	medmāsas
नर्स	māsiņa
नर्स	medmāsa
उठती	aug
उठती	celšanās
उठती	pieaug
इकट्ठे	salikt
मुड़	vītā
ब्रोमाइड	bromīds
पकड़कर	saimniecība
पकड़कर	turēšana
पकड़कर	holding
पकड़कर	saimniecības
जया	jaya
नार्वे	norvēģija
धैर्य	pacietība
धैर्य	pacietības
धैर्य	pacietību
धैर्य	izturības
धैर्य	noturība
फट	pārraušanas
उत्पादकों	ražotāji
महत्वाकांक्षी	ambiciozs
महत्वाकांक्षी	vērienīga
महत्वाकांक्षी	vērienīgi
त्रिनिदाद	trinidāda
निराकरण	atrisināt
बकाया	izcils
बकाया	izcili
सुपरहीरो	supervaronis
कोल्ड	saaukstēšanās
कोल्ड	auksts
कोल्ड	auksti
कोल्ड	aukstā
कोल्ड	aukstums
ज़ांज़ीबार	zanzibāras
कै	kai
प्रकार्य	amats
प्रकार्य	funkcija
शरणार्थी	bēgļi
शरणार्थी	bēgļa
शरणार्थी	bēglis
शरणार्थी	bēgļu
शरणार्थी	bēgļi
गुंजाइश	joma
देय	jāmaksā
धीमे	lēni
धीमे	lēna
धीमे	lēns
धीमे	lēnām
धीमे	lēni
दानों	izsitumi
अवांछित	nevēlami
अवांछित	nevēlamas
अवांछित	nevēlama
समोआ	samoa
सममिति	simetrija
अनमोल	vērtīgi
अनमोल	vērtīgs
अनमोल	dārgums
कैस्पियन	kaspijas
कक्षों	kameras
कक्षों	palātas
स्पार्टा	sparta
व्यापकता	izplatība
रिमोट	attālās
रिमोट	attālināti
आत्माओं	gars
आत्माओं	spirti
आत्माओं	gari
खुशबू	smaržu
खुशबू	aromātu
खुशबू	aromāts
खुशबू	smarža
कस्बों	pilsētas
इनाम	balva
इनाम	balvu
इनाम	godalgas
इनाम	balvas
जिन्दगी	life
जिन्दगी	dzīve
जिन्दगी	dzīvi
जिन्दगी	dzīvība
गरमी	karstums
गरमी	siltuma
गरमी	siltums
नोड	mezgls
नोड	mezgli
नोड	mezglus
जीरा	ķimenes
पूर्वाग्रह	novirzes
पूर्वाग्रह	aizspriedumi
