сибір	siberië
заклик	appèl
заклик	appelleer
вказаний	gegee
вказаний	gespesifiseer
вказаний	spesifiseer
блокувати	onderdruk
блокувати	blokkeer
блокувати	blok
уповноважений	geregtig
виконавця	hulpbron
справедливість	geregtigheid
справедливість	justice
справедливість	justisie
урал	oeral
наталі	natalie
метт	matt
контент	tevrede
уряди	regerings
крем	room
крем	cream
перрі	perry
перрі	parry
санаторій	sanatorium
схильність	bent
проекція	geprojekteerde
лівія	livia
ліквідацію	eliminasie
герцеговина	herzegowina
улан	oelan
стріт	straat
переведено	behandel
тимчасові	tydelik
тимчасові	geheue
тимчасові	tydelike
комплект	suite
комплект	gestel
комплект	instel
комплект	stel
антуан	antoine
женеві	geneva
божество	godheid
президентів	presidente
наркотиків	medisyne
наркотиків	drugs
наркотиків	dwelms
агенти	agente
бокс	boks
описана	documented
сині	blou
сині	blues
досягнуто	bereik
райт	wright
ліків	medisyne
ліків	drugs
ліків	dwelms
ліків	medikasie
папська	papal
цукор	suiker
кисень	suurstof
шарі	shari
самостійна	independent
самостійна	onafhanklike
самостійна	onafhanklik
самостійна	selfstandige
нацистів	nazi
зручно	gerieflike
зручно	gerieflik
зручно	handy
зручно	handige
зручно	gemaklik
вознесіння	wegraping
вознесіння	ascension
смугу	runway
купер	cooper
автоматів	masjiene
обговорити	bespreek
плям	ruimtes
плям	kolle
кабо	cabo
сік	sap
почалось	aanvang
почалось	begun
бухта	hawe
бухта	cove
заблокувати	slot
заблокувати	blokkeer
заблокувати	blok
легкого	liggewig
бутану	bhoetan
європейців	europeans
дональд	donald
підвищеної	geharde
тереза	thérèse
тереза	therese
тереза	teresa
тереза	theresa
добрив	bemesting
емі	amy
самогубство	selfmoord
максиміліан	maksimiliaan
сфер	sfere
кантон	canton
експрес	express
парад	parade
остаточний	finale
остаточний	finaal
остаточний	eindig
скеля	rock
результативність	doeltreffendheid
небезпечні	gevaarlike
небезпечні	gevaarlik
небезпечні	onveilige
аризона	arizona
готовності	operasionele
банківської	banking
вільнюс	vilnius
емоції	emosies
складну	voortgesette
складну	voortdurende
ларрі	larry
лаз	laz
лінійний	liniêre
лінійний	lineêre
дикий	wildernis
дикий	wild
дикий	wilde
консульство	konsulaat
ірландський	ierse
ірландський	irish
ірландський	iers
ринки	markte
оксид	oxide
вороги	vyande
вологість	humiditeit
інструктор	instrukteur
вечірній	aand
вечірній	naand
аграрний	agricultural
капела	cappella
рису	rys
шанувальників	waaier
шанувальників	aanhanger
шанувальників	bewonderaar
ліван	libanon
бомб	bomme
критичні	kritieke
критичні	krities
критичні	kritiese
критичні	kritiek
посиланнями	skakels
болото	natalse
болото	slough
рівнина	gewoon
рівнина	eenvoudig
генератор	generator
вертикально	vertikaal
демократи	demokrate
боксер	boxer
яндекс	yandex
позбавлені	stripped
молочно	rosy
постійну	voortgesette
постійну	voortdurende
причинами	sake
причинами	oorsake
скоріш	nogal
скоріш	liewer
кімнату	kamer
відвідали	besoekte
відвідали	besoek
відвідали	bygewoon
абетка	ortografie
абетка	alfabet
племінник	neef
піку	piek
піку	spike
полегшення	verlig
лукас	lucas
печатка	seal
печатка	seël
роза	roos
роза	rosa
сплати	betalings
сплати	betaling
домен	domain
домен	domein
запропонувати	propose
ліки	geneeskunde
чинного	geldig
чинного	geldige
чинного	soektog
умані	kibboets
реальний	regte
реальний	egte
шифрування	enkripsie
шифрування	onderteken
шифрування	kripto
шифрування	kriptografie
республіканська	republican
суверенітет	soewereiniteit
марку	stamp
марку	stempel
умова	voorwaarde
умова	kondisie
торговельних	handelsmerk
теодора	theodora
чувашія	tsjoewasjië
вибраний	gekose
вибраний	gekies
вибраний	gemerk
литовська	litause
атоми	atome
революційний	rewolusionêre
вацлав	václav
вацлав	wacław
кишинів	chişinău
кишинів	chisinau
океанії	oseanië
додані	bygevoeg
опалення	verhitting
полоні	captive
відносна	relatief
відносна	relatiewe
винайшов	uitgevind
андрей	andrej
андрей	andrei
драм	dram
британці	brits
глибока	diep
леоне	leone
луїджі	luigi
судження	distinction
апостольська	apostolic
апостольська	apostoliese
нерва	nerva
компонента	komponent
франклін	franklin
увечері	vanaand
покрита	gedek
милосердя	mercy
приєднується	aangesluit
уламки	puin
рішуче	vasbeslote
рішуче	vasberade
рішуче	bepaal
кентуккі	kentucky
мелодії	tune
пас	paz
квантова	quantum
андреас	andreas
лана	lana
джефф	jeff
сесія	sessie
анімації	animasies
вінчі	vinci
доказ	proeflees
доказ	bewys
продовжила	volgehoue
продовжила	deurlopende
продовжила	voortdurende
вікінгів	viking
град	grad
град	hael
формати	formate
сину	seun
голі	naked
голі	gol
обладнаний	toegerus
яном	ian
люсі	lucy
термінал	terminaal
хорхе	jorge
заходить	stelle
масло	botter
гриб	sampioen
авіаційна	vliegtuie
авіаційна	vliegtuig
норт	noorde
норт	noord
квадрат	vierkantig
квадрат	vierkant
квадрат	vierkantige
думкою	knipoog
кеш	kas
кеш	cache
костюм	kostuum
костюм	kleed
старожитностей	antiquities
дженніфер	jennifer
лопес	lopez
лопес	lopez
юта	utah
меншим	kleiner
плавлення	melt
графічні	grafika
перехрестя	kruise
перехрестя	crossroads
земноводні	amfibie
руські	russe
огляди	resensies
аматорський	amateur
торгова	trading
нуль	nul
нуль	zero
поводження	hantering
реалізується	poog
міхал	michal
міхал	michał
коротке	kort
коротке	kortliks
коротке	sorteer
тури	toere
тури	tours
зауважити	genoteer
зауважити	gelet
кращі	beter
ллойд	lloyd
простори	ruimtes
простори	spasies
ялта	jalta
процедур	behandelings
гур	hur
верді	verdi
вар	var
жозе	josé
філіпп	philippe
філіпп	filip
філіпп	philipp
петру	petru
влаштовує	aanvaarbare
влаштовує	aanvaarbaar
мрії	drome
обличчям	gesiggie
обличчям	gesig
мітинг	rally
мітинг	saamtrek
точні	onderskeidelike
точні	presiese
точні	akkurate
точні	akkuraat
точні	presiese
точні	presies
вірша	gediggie
вірша	gedig
масивів	skikkings
вулканів	vulkane
скоротити	trim
скоротити	sny
скоротити	afgekorte
дзюдо	judo
сонячні	solar
рай	hemel
рай	heaven
рай	paradise
таїланд	thailand
депресії	depressief
командний	cmd
командний	kommentaar
язи	spiere
нащадок	heir
нащадок	erfgenaam
нащадок	kind
печатки	seal
печатки	seël
гері	gary
айдахо	idaho
шкала	skaal
коронації	coronation
найменше	kleinste
найменше	oorleg
найменше	minste
телефони	fone
оттава	ottawa
вертикальні	vertikaal
ребра	ribbes
ребра	rib
ребра	rand
ребра	kant
ребра	edge
мури	mure
лестер	lester
лестер	leicester
притулку	refuge
натовп	skare
ядерна	nuclear
діаграма	diagram
ломоносова	lomonosof
султанат	sultanate
трансляції	uitsendings
трансляції	potgooi
страху	vrees
ядерні	nuclear
бригад	brigades
кажу	sê
кажу	gesegde
кажу	saying
кажу	sê
каналом	pyp
каналом	kanaal
майні	bahn
ведуться	gelê
родовід	genealogie
моментів	oomblikke
молодші	klein
пограбування	rooftog
перетворює	omskakel
світи	worlds
світи	wêrelde
лонг	lank
додатки	toepassings
додатки	programme
додатки	aanwendings
додатки	aansoeke
додатки	ekstras
додатки	toepassings
додатки	uitbreidings
йоган	johann
йоган	johan
помітити	kennisgewing
поворот	rotasie
додаткове	moeiliker
додаткове	gevorderde
додаткове	gevorderd
благословення	blessing
центрах	sentrums
романо	romano
чехи	tsjegge
сітки	rooster
ральф	ralf
ральф	ralph
відправити	stuur
квадратний	vierkantig
квадратний	vierkant
квадратний	vierkantige
експерти	deskundiges
експерти	kundiges
експерти	kenners
експерти	experts
опіки	verbrand
опіки	burns
опіки	toesig
розлади	kwale
цілісність	integriteit
пропустив	misgekyk
пропустив	misgeloop
пропустив	gemis
карток	kaarte
набоїв	houers
фракція	fraktion
долар	dollar
борг	lening
борг	skuld
схвалення	goedkeuring
іноземний	buitelandse
іноземний	foreign
фбр	fbi
мотив	motive
бронювання	bespreking
кастро	castro
універсальна	bekyk
тенор	tenoor
тенор	tenor
чайковський	tchaikovsky
танзанії	tanzanië
кредит	krediet
кредит	lening
кілометр	kilometer
небезпека	hazard
небезпека	gevaar
резерв	float
резерв	dryf
резерв	webbediener
резерв	gereserveer
резерв	reserveer
резерв	bespreek
розбили	bankrot
динозаврів	dinosaurs
процедуру	prosedure
лисиця	jakkals
лисиця	fox
роуз	roos
ліон	lyon
піттсбург	pittsburgh
лікарська	officinalis
базовий	base
базовий	onderliggende
базовий	basis
базовий	basies
базовий	basic
базовий	basiese
боролися	gestry
вузький	smal
косова	kosovo
закрили	arresteer
цитати	aanhalings
цитати	aanhalings
адміністрування	administreer
адміністрування	admin
адміністрування	administrasie
радість	vreugde
мелодрама	melodrama
кримінальне	kriminele
кримінальне	pulp
вбивці	killers
попереднє	voorlopige
шпиталь	hospitaal
читається	leesbare
читається	leesbaar
батарея	battery
сподіваюсь	hopelik
чаю	tee
закінчити	einde
закінчити	voltooi
закінчити	einde
закінчити	beëindig
одружена	getroude
одружена	getrou
одружена	getroud
понеділок	maandag
платформу	platform
динамічний	dinamiese
динамічний	omvattende
труба	pyp
труба	tube
труба	buis
труба	trompet
шин	sheen
теніс	tennis
йоганна	johanna
грей	grys
грей	grey
щоденно	daaglikse
доменіко	domenico
миші	muise
миші	ngc
миші	muis
братислава	bratislava
підписати	teken
підписати	onderteken
порівняти	vergelyk
іспити	eksamens
жертвами	slagoffers
подруга	vriendin
подруга	vriend
календарі	kalenders
молитва	gebed
стабільність	stabiliteit
пости	plasings
тай	tai
кропивницький	markus
кропивницький	merk
кропивницький	mark
спокій	kalm
ширше	wyer
зомбі	zombie
зомбі	zombies
хворим	siek
необхідного	noodsaaklike
необхідного	essential
уаз	oise
демократичні	demokratiese
крамниці	winkels
крамниці	shops
астероїди	asteroïde
астероїди	asteroids
астероїди	klippe
астероїди	rotse
костюми	kostuums
прогноз	voorspel
прогноз	voorspelling
засновники	stigting
гарні	goeie
гарні	goed
спеціалізована	specialized
фігуру	stuk
фігуру	stukkie
керували	regeer
наближається	approaches
наближається	oppad
ліза	lisa
ліза	lise
точне	presiese
точне	presies
обер	ober
румунська	roemeense
робінсон	robinson
вбивця	moordenaar
вбивця	killer
паркер	parker
штефан	stefan
штефан	stephan
представляти	represent
представляти	verteenwoordig
паралельні	parallel
паралельні	parallelle
степів	steppes
подробиці	besonderhede
подробиці	besonderheid
єреван	jerewan
реєстрація	registreer
реєстрація	registrasie
листівки	poskaarte
взаємини	relationships
взаємини	verhoudings
повторення	herhaal
повторення	voorkoms
повторення	herhaling
студентам	studente
вижити	oorleef
аверон	aveyron
норман	norman
партнери	vennote
голосом	stem
екваторіальної	ekwatoriaal
леонард	leonard
емма	emma
кор	cor
представила	ingestel
громадянам	landsburgers
громадянам	burgers
громадянам	citizens
самара	samara
теології	teologie
зловживання	misbruik
шаблоном	stensil
вольф	wolff
цру	cia
цру	cla
філіппіни	filippyne
філіппіни	philippines
підвид	subspesie
сказала	gesê
банди	bende
чув	aangehoor
вернер	werner
ховається	wegkruip
пляжі	strande
баха	baja
урожай	oes
генуя	genoa
протоколів	protokolle
хуана	juana
викидів	emissie
сховище	berging
сховище	stoorplek
анальний	anale
хворий	siek
ацтеків	asteekse
докладно	besonderheid
комета	komeet
михаїл	michael
кота	oat
кота	kota
запрошені	genooide
запрошені	uitgenooi
запрошені	genooi
духовенство	predikante
духовенство	predikant
камері	brig
стрільба	skiet
стрільба	verskietende
джакомо	giacomo
лінійна	liniêre
лінійна	lineêre
відповісти	reageer
відповісти	antwoord
