मोतीलाल	motilal
ह्यूस्टन	houston
एंगेल्स	engels
फ़सल	crop
फ़सल	cắt
फ़सल	xén
हिमालयी	himalaya
मच्छरों	muỗi
सोंग	song
पियर्स	pierce
झाड़	phuc
झाड़	heath
धुलाई	rửa
धुलाई	rửa
कराधान	thuế
खदान	quarry
भावनगर	bhavnagar
निर्वहन	tit
शॉप	shop
शॉप	shop
डो	dow
डो	hind
डो	doe
ईसप	aesop
सोफिया	sofia
अभिलेखागार	archives
धकेल	đẩy
रणजी	ranji
पाब्लो	pablo
लेवी	levi
लेवी	levy
आइकन	icon
फाटक	gate
फाटक	cổng
बुलेट	đạn
बुलेट	viên
नेगी	negi
टेरेसा	têrêsa
टेरेसा	teresa
टेरेसा	theresa
बवासीर	trĩ
हकीम	hakim
कार्डिनल	cận
पेरासिटामोल	paracetamol
जायफल	nutmeg
कल्याणी	kalyani
ईराक	iraq
कमांडो	commandos
कमांडो	commando
जाग	haaa
जाग	tỉnh
कीप	phễu
सिलिकेट	silicate
शिवराज	shivraj
अकबरपुर	akbarpur
लुक	luc
बक्सर	buxar
क्रीमिया	crimea
क्रीमिया	crimean
क्रीमिया	krym
कोशल	kosala
शाहरुख़	shahrukh
बांदा	banda
जकार्ता	jakarta
पॉलिश	polish
किल	giết
होशंगाबाद	hoshangabad
पंक्तियां	hàng
पंक्तियां	lines
पंक्तियां	dòng
पंक्तियां	designer
श्राफ	sharaf
चीयर्स	zô
चीयर्स	cạn
किडमैन	kidman
माहेश्वरी	maheshwari
लिनेन	lanh
स्की	ski
दीव	diu
बैंग	đục
बैंग	bang
बैंग	boom
गोदाम	kho
आर्यभट्ट	aryabhata
साइबेरियाई	sibir
साइबेरियाई	siberia
अज़रबैजान	azerbaijan
फेंका	thảy
फेंका	vất
फेंका	ném
उड़न	uran
उड़न	flying
उड़न	bay
रंगभेद	apartheid
गुल	gul
बारबाडोस	barbados
प्रतिबिम्ब	nh
प्रतिबिम्ब	hình
प्रतिबिम्ब	ảnh
वेई	vệ
वेई	wei
वेई	ngụy
अर्नोल्ड	arnold
विदरस्पून	witherspoon
देवदार	cedar
ईसीजी	ecg
विंध्य	vindhya
हर्मन	hermann
हर्मन	harman
प्रतिबाधा	impedance
लिबर्टी	liberty
अम्बाला	ambala
रजनी	rajani
स्लोवेनिया	slovenia
फिलिस्तीन	palestine
टकीला	tequila
सातवाँ	seventh
क्लेन	klein
स्वयंसेवी	nguyện
तख्तापलट	coup
कीटिंग	keating
एल्बा	elba
पीक	peek
पीक	peak
पतझड़	sáp
पतझड़	rơi
पतझड़	sút
पतझड़	ngã
रजिस्ट्री	registry
रोरी	rory
हरमन	harman
हज	haj
हज	hajj
जोनास	jonas
ऊष्मागतिकी	thermodynamics
इमली	me
शेफर्ड	shepherd
पत्रक	leaflet
ट्रिब्यून	tribune
शुई	thủy
आईएनएस	ins
लहरें	núm
लहरें	sóng
निगल	nuốt
होश	giác
अदरक	ginger
अदरक	gừng
टोबैगो	tobago
अनुपलब्ध	thiếu
सब्जियां	rau
टाइटेनियम	titanium
टाइटेनियम	titan
मुक्केबाज़ी	giải
मुक्केबाज़ी	boxing
मुक्केबाज़ी	bốc
प्लाजा	plaza
ओज़ोन	ozone
सामंतवाद	feudalism
भंडारी	bhandari
पिकअप	pickup
गुफ़ा	cave
गुफ़ा	hang
बद्री	badri
लचीले	dẻo
सिंक	cạn
टैब	thẻ
टैब	tab
उपलब्धियाँ	rảnh
सायरस	cyrus
तबला	tabla
हयात	hayat
हयात	hyatt
वेयर	ware
इंडोनेशियाई	indonesia
स्लॉट	slot
स्लॉट	khe
स्लॉट	xèng
स्लॉट	slots
ढीला	giải
आंतों	ruột
जननांग	pubic
क्रो	crowe
वासना	ham
नाइजर	niger
डकैती	cướp
आर्केड	arcade
सैमसंग	samsung
रॉबिन्सन	robinson
मार्को	marco
बरतन	chảo
क्रीक	lạch
क्रीक	creek
सीएनएन	cnn
सॉफ्ट	soft
सॉफ्ट	mềm
आक्रामकता	aggression
जेसिका	jessica
माराडोना	maradona
रीमेक	remake
डेरेक	derek
थापा	thapa
पेशाब	pee
पेशाब	tè
जमुना	jamuna
रिज	ridge
रिज	đèo
अलीपुर	alipore
बुलबुले	bọt
अल्सर	loét
क्रिसलर	chrysler
छिपकली	lằn
इंडियंस	indians
लातविया	latvia
बुकिंग	booking
इंटरव्यू	phỏng
माल्टा	malta
हंसी	laughter
मनो	mano
रेती	reti
विवर्तनिकी	tectonics
पठानकोट	pathankot
मंदसौर	mandsaur
चरमोत्कर्ष	climax
तुल्यकालिक	synchronous
भोला	trẩu
भोला	câm
भोला	bhola
आयशा	aisha
आयशा	ayesha
रम	rum
कुम्हार	potter
सुबोध	lucid
अभिमान	ngạo
बुलबुल	hypsipetes
बुलबुल	pycnonotus
हास्यास्पद	hài
हास्यास्पद	vui
हास्यास्पद	bịch
जमालपुर	jamalpur
गिरजा	eulalia
देवालय	complexes
दावत	đãi
टीन	teen
जमाल	jamal
लकीर	line
लकीर	dòng
लकीर	aligned
साइरस	cyrus
मारियो	mario
रिबन	ribbon
उपाख्यान	melodrama
एल्ड्रिन	aldrin
अगासी	agassi
बादामी	badami
इल	elo
तिरंगा	tricolor
जिन्दा	sống
जिन्दा	live
जिन्दा	alive
आस्तिक	believer
नान	nan
नान	nam
कैनन	canon
कूल	ngầu
कूल	tuyệt
कूल	mát
कूल	cool
कूल	kool
मलेशियाई	malaysia
मलेशियाई	malaysia
ट्रांजिस्टर	transistor
अभिशाप	nguyền
बतिस्ता	batista
पर्थ	perth
नर्म	soft
नर्म	mềm
श्मिट	schmidt
श्मिट	schmitt
पर्वतारोहण	mountaineering
अलकनंदा	alaknanda
मिजोरम	mizoram
बैंकॉक	bangkok
खजूर	palm
खजूर	sên
खजूर	cọ
बारात	rước
लॉज	lodge
सुलेमान	salomon
सुलेमान	solomon
चाड	tchad
चाड	chad
संपीडन	nén
सद्भाव	harmony
जूल्स	jules
मरी	mari
पेप्सी	pepsi
रबी	rabi
फेरी	đò
फेरी	ferry
फेरी	phà
डुबकी	lặn
कैप्सूल	capsule
कैप्सूल	khoang
बहा	gush
गोंडवाना	gondwana
मेनू	menu
मेनू	menu
फ़्रेंच	pháp
विंस्टन	winston
रोवर	rover
छापे	raids
कील	kiel
गोडोट	godot
हरदोई	hardoi
बेजोड़	unique
सफारी	safari
कबड्डी	kabaddi
एटीपी	atp
हैलोवीन	halloween
विल्हेम	wilhelm
बेनेट	bennett
बेनेट	bennet
हेलेन	helen
डलास	dallas
डेमो	demo
यार	khứa
यार	dude
यार	kiss
डर्बी	derby
लड़कियां	girls
लड़कियां	gái
लड़कियां	babes
स्ट्रीमिंग	luồng
स्ट्रीमिंग	streaming
कैंटोना	cantona
बछड़े	ngưu
बछड़े	bê
सेरेना	serena
मनाही	cấm
सत	ngồi
सत	sat
टोली	tạo
टोली	đội
टोली	lớp
टोली	team
रोपण	trồng
रोपण	cấy
जीन्स	jeans
बेंच	ghế
झुण्ड	flock
जोधा	jodhpur
सारस	crane
सारस	hạc
सारस	sếu
नब्बे	ninety
वेश्या	đĩ
वेश्या	đĩ
खोजें	tìm
सुनना	thính
सुनना	nghe
करौली	karauli
जेली	thạch
जेली	jelly
गैजेट	gadget
भंवर	vortex
भंवर	xoáy
कैंप	camp
कैंप	trại
कैंप	camping
नशीले	smokey
ग्रंथसूची	bibliography
मिलावट	ninh
कैडिलैक	cadillac
चांदनी	moonlight
यात्राएं	journeys
मणिपुरी	manipur
मणिपुरी	manipuri
हमलावरों	raiders
फतह	fatah
टूल्स	cụ
दाना	dana
मुल्तान	multan
लैला	laila
जॉन्स	johns
फ़ाइनल	final
नितिन	nitin
उल्लू	cú
उल्लू	owl
कैडमियम	cadimi
सुराग	clue
टिप	mẹo
इवांस	evans
टाइगर्स	tigers
टाइगर्स	hổ
एयरटेल	airtel
ससेक्स	sussex
कांग	kang
कांग	khang
प्रा	pra
युनेस्को	unesco
होंठ	môi
कुएं	wells
कुएं	giếng
एचएसवी	hsv
सेलेनियम	selen
रतलाम	ratlam
बाबरी	babri
मार्ले	marley
जेनिफर	jennifer
मेंढक	ếch
मेंढक	nhái
मेंढक	ếch
मेंढक	cóc
मेंढक	frog
इंपीरियल	imperial
कार्ट	kart
रीना	rina
गुर	tricks
मासूम	tội
फुले	phule
हाईस्कूल	highschool
कोयंबटूर	coimbatore
उल्का	meteor
तोर	tor
यूरेशिया	eurasia
क्लूनी	clooney
बहिन	sissy
इक़बाल	iqbal
जूलिया	julia
वॉट	watt
रोटरी	rotary
भरण	tô
भरण	điền
बशीर	bashir
आगा	aga
ब्लूम	bloom
ब्लूम	blooms
ब्लूम	nở
जैतून	olive
जैतून	ôliu
बुलडॉग	bulldog
केनेथ	kenneth
बज	budge
बज	reo
टायलर	tyler
स्पंदन	rung
प्रतिद्वंद्वियों	opponents
कोठरी	tủ
कोठरी	closet
सरन	saran
सेरा	serra
रामानुजन	ramanujan
कूल्हे	hip
कूल्हे	hông
पामीर	pamir
अपरदन	erosion
आज़म	azam
धीरज	solace
चयनात्मक	selective
स्टेन	stan
कोरी	corey
कोरी	cory
वर्धन	escalation
अंजलि	anjali
जूल	joule
त्रुटियां	khuyết
त्रुटियां	lỗi
गोर	gore
पटनायक	patnaik
नंगे	naked
पादुकोण	padukone
दिलों	nhép
दिलों	cơ
दिलों	hearts
चीते	cheetah
चीते	leopard
समकालिक	synchronous
प्रशिक्षु	novice
प्रशिक्षु	trainee
त्रुटियाँ	lỗi
प्यारा	ngoan
प्यारा	cute
प्यारा	thương
बूम	hụt
बूम	bùm
बूम	boom
जमने	cóng
इम्फाल	imphal
ऑरलैंडो	orlando
मार्था	martha
असद	asad
असद	asad
दोआब	doab
बोर्नियो	borneo
अगरतला	agartala
कैम	cam
नियति	destiny
परिसर्प	simplex
कैसेट	cassette
रहस्यवाद	mysticism
इला	ilà
इला	ila
एकॉन	akon
पड़ोसियों	xóm
यूजर	dùng
डालें	nhập
डालें	enter
कालीकट	calicut
टॉमस	tomas
यति	yeti
एरिना	arena
परतें	lớp
केमिकल	hóa
मूड	mood
पैगंबर	tri
कबाब	bbq
कबाब	kebab
हामिद	hamid
वडोदरा	vadodara
ग्रेगरी	gregory
सामान्यीकृत	normalized
एस्टोनिया	estonia
यूगोस्लाविया	yugoslavia
ट्राम	tram
कपाड़िया	kapadia
सेमप्रास	sampras
डेवी	davy
बत्ती	lamp
बत्ती	đèn
बत्ती	đèn
सादी	saadi
फिंगर	finger
ऐश्वर्य	aishwarya
टैटू	săm
टैटू	tattoo
टैटू	xăm
हैती	haiti
स्पाइस	spice
रॉयल्स	royals
प्रदूषक	pollutant
बोतलों	lọ
बोतलों	chai
घुमाया	xoay
फीनिक्स	phượng
फीनिक्स	phoenix
टोन	tone
टोन	tần
टोन	toner
माटी	matti
मुस्तफा	mustafa
मसूद	masud
मसूद	masood
चेर	cher
भूपति	bhupathi
घाघरा	gagra
विपत्ति	họa
मेट	mate
गुर्दा	thận
चूहा	chuột
चूहा	chuột
मातरम्	mataram
खोया	mất
खोया	thua
यूक्लिड	euclid
कॉर्ड	chord
किस्से	tales
वज्र	thunderbolt
वज्र	vajra
बाज	falcon
किरगिज़	kyrgyz
बोसॉन	boson
रुश्दी	rushdie
हाशमी	hashmi
सुपरस्टार	superstar
सुपरस्टार	superstars
अत्रि	atri
कस	chật
बेग	begum
टोड	dau
टोड	cóc
निकोल	nicole
साहा	saha
क्रैश	crashed
क्रैश	crash
क्रैश	crashes
लौ	lửa
निवृत्त	hưu
धमाका	blast
धमाका	nổ
बैंगन	dập
कज़ाख़	kazakh
लॉरी	laurie
