girls	ガールズ
penzionisani	引退
optuženi	被告人
optuženi	被告
optuženi	被告人
optuženi	被告
predavanje	講義
predavanje	教本
predavanje	講演
predavanje	階級
predavanje	クラス
udinese	ウディネーゼ
stolica	いす
stolica	チェア
stolica	椅子
encode	encode
sindikata	シンジケート
goethe	ゲーテ
retval	retval
tripoli	トリポリ
predstavljanja	表現
palestinu	パレスチナ
aspekata	側面
sjeverozapad	北西
kid	キッド
clouzot	クルーゾー
izvršeno	未完成
valle	バジェ
valle	ヴァッレ
igračke	おもちゃ
igračke	オモチャ
igračke	玩具
imigranata	移民
glicin	グリシン
žitarice	シリアル
praznici	祝日
praznici	休日
novinari	ジャーナリスト
stambeni	住宅
stambeni	住宅地
stambeni	住居
stambeni	住宅
teodor	テオドール
postupcima	アクション
audrey	オードリー
množina	複数
kvržica	しこり
kvržica	こぶ
fetusa	胎児
tan	タン
periferiji	郊外
patio	パティオ
progon	迫害
divan	素晴らしい
divan	ワンダフル
gera	ゲーラ
smole	樹脂
miran	平和
maksim	マキシム
maksim	マクシム
aurora	オーロラ
vita	ヴィータ
sum	合計
sum	総和
samoubistva	自殺
odlične	優れた
hermione	ハーマイオニー
osmij	オスミウム
muzeji	美術館
muzeji	博物館
rudnici	地雷
priručnik	manual
priručnik	手動
priručnik	マニュアル
haram	ハラーム
kahva	コーヒー
dudley	ダドリー
dudley	ダッドリー
fahda	ファハド
banane	バナナ
predgrađa	郊外
nezaposlenost	失業
arab	アラブ
bombu	手榴弾
spaces	スペース
ultra	ultra
ultra	ウルトラ
uhapšeni	逮捕
baja	バハ
andersen	アンデルセン
bulls	ブルズ
maximus	マクシムス
willard	ウィラード
pobuni	反乱
aids	エイズ
georgios	ゲオルギオス
karcinoma	癌腫
marvin	マーヴィン
udžbenika	教科書
barut	火薬
suverena	主権
ska	スカ
zrelost	満期
aruba	アルバ
neprekidna	連続
fabio	ファビオ
bliska	閉じる
bliska	クローズ
ostanu	滞在
ostanu	ステイ
uticaji	エフェクト
uticaji	効果
neo	ネオ
viola	ヴィオラ
viola	ビオラ
indij	インジウム
žanru	ジャンル
michelangelo	ミケランジェロ
hepatitis	肝炎
maje	マイア
diskriminacije	差別
eastwood	イーストウッド
sap	sap
namještaj	家具
okeanija	オセアニア
kolekcije	コレクション
humor	ユーモア
humor	ユーモア
dokazuju	証明
milost	慈悲
milost	マーシー
bakterijske	バクテリア
bakterijske	細菌
tajnosti	秘密
rutherford	ラザフォード
sharon	シャロン
laser	レーザー
sid	シド
sid	sid
ural	ウラル
mentalne	メンタル
prodiru	貫通
jar	jar
razgovara	トーク
posjedovanje	占有
posjedovanje	所持
frédéric	フレデリック
unose	エントリー
unose	項目
unose	エントリ
ekran	画面
ekran	スクリーン
paljenja	イグニッション
hoover	フーヴァー
amor	アモール
rođaci	いとこ
raspala	壊れた
prilagođena	適応
estradiol	エストラジオール
uskrs	イースター
hapšenje	逮捕
barijera	障壁
ansambl	アンサンブル
msn	msn
ingrid	イングリッド
joey	ジョーイ
malteški	マルタ
woods	ウッズ
ogromni	巨大
rui	ルイ
potvrda	確認
disc	ディスク
disc	円盤
arheologija	考古学
arheologija	考古学
pozivajući	コーリング
mediteranska	地中海
narednu	next
derivacija	デリバティブ
derivacija	微分
istaknuta	ハイライト
ritchie	リッチー
ekosistema	生態系
biatlon	バイアスロン
grijeha	シン
grijeha	sin
amr	アムル
tezej	テーセウス
bavarska	バイエルン
midhat	ミドハト
udaljeni	遠い
udaljeni	リモート
hdi	hdi
horor	ホラー
sulfida	硫化物
gates	ゲイツ
trenucima	moments
trenucima	モーメント
odbraniti	擁護
ida	アイダ
ida	イダ
sabah	サバーハ
queens	クイーンズ
chi	chi
kramer	クレイマー
tango	タンゴ
tango	丹後
api	api
korito	トラフ
lavovi	ライオン
lavovi	ライオンズ
jet	ジェット機
jet	ジェット
taktika	戦術
mediteran	地中海
jana	ヤナ
alphonse	アルフォンス
bašta	庭園
potražnja	需要
potražnja	催告
ambasadori	大使
ambasadori	アンバサダー
akademske	アカデミック
akutni	急性
akutni	アキュート
liberalna	リベラル
trophy	トロフィー
michelin	ミシュラン
que	que
tačnost	正確性
tačnost	精度
kritična	クリティカル
sahara	サハラ
podići	エレベーター
podići	リフト
grass	grass
pejzaž	横長
pejzaž	風景
pejzaž	横向き
rhapsody	ラプソディ
swansea	スウォンジー
nord	ノール
marple	マープル
alpi	アルプス山脈
alpi	アルプス
učenjak	学者
bilja	ハーブ
zavisna	依存
innsbruck	インスブルック
koraci	歩数
koraci	手順
koraci	ステップ
zvuči	サウンド
berilij	ベリリウム
marlon	マーロン
drvenim	木造
drvenim	木製
čvorište	ハブ
talij	タリウム
univerziteti	大学
karavan	キャラバン
razgovori	会話
razgovori	スレッド
adi	シャン
pristupu	進入
pristupu	アプローチ
pristupu	参道
režimu	政権
edirne	エディルネ
mainz	マインツ
spas	スパ
spas	救済
highland	高地
highland	ハイランド
porsche	ポルシェ
ishrana	栄養
ishrana	ダイエット
ishrana	献立
ishrana	国会
kukuruza	コーン
kukuruza	トウモロコシ
kukuruza	とうもろこし
rice	ご飯
rice	ライス
vilenjaci	エルフ
objaviti	アナウンス
eleonora	エレオノーラ
stavovi	態度
montreal	モントリオール
kadmij	カドミウム
krim	クリミア半島
univerzalni	ユニバーサル
kiss	キス
kiss	kiss
kiss	接吻
duhovi	ゴースト
duhovi	スピリッツ
eros	エロス
kontrast	コントラスト
ljekari	医師
ljekari	医師
ljekari	医者
zavjera	プロット
zavjera	陰謀
kartaga	カルタゴ
nur	ヌール
holokausta	ホロコースト
tar	タール
stavke	アイテム
stavke	品物
patnje	苦しみ
nana	ナナ
nana	おばあさん
nana	祖母
gmbh	gmbh
porter	ポーター
ljuske	シェル
vjerujući	信ずる
omiljeni	お気に入り
restorana	レストラン
pywikipedia	pywikipedia
vasco	バスコ
vasco	ヴァスコ
omega	オメガ
molarni	臼歯
bing	ビング
hemikalija	化学
benin	ベナン
uranij	ウラン
setmetatable	setmetatable
horizontalna	水平
fudbal	サッカー
fudbal	フットボール
liberalne	リベラル
hronična	慢性
hronična	持病
fes	フェス
delhi	デリー
lou	ルー
krava	カウ
kompas	コンパス
lupin	ルパン
aberdeen	アバディーン
vatikana	バチカン
kuhinje	台所
kuhinje	キッチン
kuhinje	台所
destiny	運命
logično	論理
žita	穀物
sali	サリー
osvete	報復
osvete	復讐
osvete	リベンジ
uzvišeni	栄光
mad	マッド
mad	mad
prisustvovali	出席
lukovica	球根
grab	グラブ
lokomotiva	機関車
neon	ネオン
pag	pag
predviđanja	予言
predviđanja	予測
kabine	キャビン
kabine	船室
aguirre	アギーレ
berze	株式
berze	ストック
naglasio	ストレス
ruth	ルース
tonga	トンガ
povećanju	増加
ryu	リュウ
pari	ペア
divljeg	ワイルド
divljeg	野生
radnu	働く
radnu	作業
jessica	ジェシカ
dijamant	ダイヤモンド
dijamant	ダイアモンド
elektricitet	電力
elektricitet	電気
obećanje	約束
obećanje	promise
obećanje	誓約
podijeli	共有
podijeli	シェア
podijeli	分ける
podijeli	割る
podijeli	除算
intervalima	音程
intervalima	間隔
vergilije	ウェルギリウス
vergilije	ヴァージル
madagaskar	マダガスカル
kap	cap
kap	キャップ
kap	ドロップ
hingis	ヒンギス
košice	コシツェ
uske	狭い
cal	カル
davy	デービー
inflacija	インフレーション
zabava	楽しい
zabava	エンターテイメント
zabava	娯楽
zabava	エンターテインメント
memphis	メンフィス
zaštitnika	プロテクター
thierry	ティエリー
nedavna	最近
izbjegne	避ける
magna	マグナ
elisabeth	エリザベート
sinagoga	シナゴーグ
dakar	ダカール
vještačko	人工
konzola	コンソール
niša	ニッチ
komete	彗星
ifk	ifk
krovu	屋上
krovu	屋根
krovu	屋上
krovu	屋根
teze	テーゼ
teze	論文
erupcije	噴火
pukotine	ひび割れ
gloria	グロリア
delgado	デルガド
laktat	乳酸
zatvorenici	囚人
konstantinopolj	コンスタンティノープル
amidža	叔父
amidža	伯父
amidža	おじさん
amidža	おじ
amidža	アンクル
djevice	処女
djevice	ヴァージン
djevice	処女
sljepilo	失明
licem	フェイス
partnerstvo	パートナーシップ
ahilej	アキレス
ahilej	アキレウス
petit	プチ
glavobolje	頭痛
municiju	弾薬
municiju	弾薬
ars	アルス
nicole	ニコル
foot	フィート
kitova	クジラ
paok	paok
vodovod	配管
yyyy	yyyy
sagorijevanje	燃焼
turističkih	ツーリスト
turističkih	観光
gottlieb	ゴットリーブ
sing	歌う
sing	sing
spavanje	睡眠
spavanje	眠る
spavanje	スリープ
spermatozoida	精子
reisul	グランド
referenca	リファレンス
referenca	参照
referenca	参考
bliskoj	閉じる
bliskoj	クローズ
restoran	レストラン
restoran	飲食店
čovječanstvo	人類
coca	コカ
savjesti	良心
sainte	サント
perspektiva	遠近
perspektiva	遠近法
perspektiva	視点
nsa	nsa
čamac	ボート
claudia	クラウディア
vegetacija	植生
murcia	ムルシア
analogni	アナログ
ortiz	オルティス
pamti	remember
pljačke	強盗
skandinaviji	スカンディナヴィア
händel	ヘンデル
službenici	役員
brakova	結婚
čad	チャド
karin	カリン
pozadinu	背景
pozadinu	バックグラウンド
lambert	ランバート
bezbjednosti	安全
bezbjednosti	セーフティ
putujući	旅行
joyce	ジョイス
draco	りゅう
birati	選択
rasmussen	ラスムセン
emilio	エミリオ
aurelije	アウレリウス
apache	apache
hull	船体
hull	ハル
vozovi	電車
vozovi	列車
zimbabve	ジンバブエ
proleće	スプリング
opozicija	野党
močvara	沼地
močvara	湿地
matteo	マッテオ
bsc	bsc
sbm	sbm
uživaju	楽しむ
dog	イヌ
jajnika	卵巣
chat	チャット
chat	雑談
ravnopravnost	平等
dokumentarac	ドキュメンタリー
keramika	セラミック
keramika	陶磁器
norbert	ノルベルト
torij	トリウム
sar	sar
rute	経路
rute	ルート
anime	アニメ
koncepti	概念
koncepti	コンセプト
piper	パイパー
formalna	フォーマル
nišana	天蓋
arxiv	arxiv
