utazási	viatges
érdekelt	interessat
érdekelt	interessats
temple	temple
savanyú	sour
légköri	atmosfèric
légköri	atmosfèrica
louisiana	louisiana
key	tecla
key	clau
tapasztalat	experiencia
tapasztalat	experiència
veronica	veronica
valois	valois
api	api
ragaszkodott	insistit
foltok	pedaços
foltok	taques
sérülések	lesions
wang	wang
tajvani	taiwan
tajvani	taiwanès
rotterdam	rotterdam
írjon	escriu
áldozatai	víctimes
baszk	basc
python	python
szemet	ull
romeo	romeu
pak	pak
ibrahim	ibrahim
veszteség	pèrdua
veszteség	pèrdues
como	como
hajózási	pujades
minősített	qualificats
minősített	qualificada
minősített	qualificat
benz	benz
rágcsálók	rodent
rágcsálók	rosegadors
namíbia	namíbia
törekszik	endeavour
törekszik	esforçant
díjakat	premis
évszak	temporada
évszak	temporades
évszak	estacions
kincstár	tresoreria
rövidítés	abreviatura
rövidítés	abreviació
rövidítés	sigla
rövidítés	sigles
rövidítés	abreviatures
rövidítés	drecera
szarvasmarha	bestiar
szarvasmarha	boví
mesterségesen	artificialment
xxiii	xxiii
változók	variables
rush	rush
bíbor	porpra
bíbor	morat
bíbor	carmesí
constantin	constantin
martha	martha
palesztin	palestina
palesztin	palestí
aviv	aviv
megőrzése	preserva
megőrzése	preservar
megőrzése	preservant
megőrzése	preservar
megőrzése	preservació
cohen	cohen
képességek	habilitats
képességek	aptituds
képességek	habilitats
képességek	competències
képességek	capacitats
haller	haller
federer	federer
patricia	patricia
mozgását	moviments
parkok	parcs
gazdálkodás	gestió
gazdálkodás	agricultura
pentium	pentium
berry	berry
újságok	periòdics
újságok	diaris
mir	mir
hannah	hannah
kalocsa	kalocsa
sportban	esports
figyelő	vigilant
gil	gil
kölni	colònia
gerincesek	vertebrats
ace	as
ace	ace
megyek	anant
foix	foix
chicagói	chicago
kétnyelvű	bilingües
kétnyelvű	bilingüe
létrehozva	creant
létrehozva	creades
létrehozva	creats
létrehozva	creat
zero	zero
karibi	carib
praktikus	pràctic
hepburn	hepburn
ellentétek	oposats
következetesen	coherentment
következetesen	coherent
következetesen	coherents
következetesen	consistents
megölni	kill
megölni	mata
gérard	gérard
bennszülött	nadiu
bennszülött	natiu
fenntartható	sostenible
fenntartható	sostenibles
vonzó	atractiva
html}}	html}}
homoszexuális	homosexual
kombinált	combinats
kombinált	combinada
kombinált	combinades
kombinált	combinat
aromás	aromàtiques
foglyok	presos
foglyok	presoners
hatékonyan	eficient
hatékonyan	eficients
elméletileg	hipotèticament
elméletileg	teòricament
énekli	canta
granada	granada
védők	defensors
létrehozásáról	establint
terhesség	embaràs
vezeték	gasoducte
vezeték	filferro
vezeték	cable
vezeték	cablejat
készítő	maker
richardson	richardson
ruha	indumentària
ruha	confecció
ruha	vestit
ruha	robes
ruha	roba
terek	espais
woody	woody
vie	vie
gyűrűt	anell
tartósan	persistent
tartósan	persistents
tartósan	permanentment
tanítani	ensenyament
tanítani	docència
kíséri	acompanya
kifejezett	pronunciat
kifejezett	pronunciada
kifejezett	explícita
kifejezett	explícit
kifejezett	expressats
kifejezett	expressada
kifejezett	expressat
adók	impost
adók	impostos
österreich	österreich
rabszolga	esclau
rabszolga	esclava
termesztett	cultivada
látszólagos	aparents
látszólagos	aparent
lily	lily
jogilag	legalment
genfi	ginebra
zár	bloqueig
zár	bloqueja
zár	bloqueig
lépcső	stair
lépcső	pas
lépcső	passes
lépcső	passos
lépcső	escales
szárnyai	wings
szárnyai	ales
zeitung	zeitung
carol	carol
vitorlázás	navegant
vitorlázás	vela
éjjeli	nite
vedd	take
koronás	coronat
koronás	coronada
rab	presoner
rab	rab
szárazföld	land
pleisztocén	plistocè
cserék	intercanvis
felügyelet	supervisada
felügyelet	supervisió
felügyelet	vigilància
javak	mercaderies
javak	béns
thomson	thomson
alejandro	alejandro
salamanca	salamanca
messier	messier
sarthe	sarthe
hungaria	hungaria
terápia	teràpia
gorkij	gorki
egészség	sanitat
egészség	salut
testőr	guardaespatlles
gilles	gilles
burke	burke
sebészeti	quirúrgic
köztes	intermèdia
köztes	intermedi
henderson	henderson
elképzelt	imaginari
elképzelt	imaginat
martín	martín
érdeklődő	interessat
érdeklődő	interessats
darabjai	peces
barnás	marronós
tengerész	mariner
tengerész	marine
disco	discoteca
disco	disco
márki	marquis
wells	pous
valentin	valentin
valentin	valentín
valentin	valentines
valentin	valentine
fehérjék	proteïna
fehérjék	proteïnes
fehérjék	proteïnes
felfogás	percepció
felfogás	percepcions
táblázatok	quadres
táblázatok	taules
találkoztam	met
támadásokat	atacs
emlékezés	recordant
emlékezés	record
cirkusz	circ
ungvár	ung
íme	contemplin
januári	gener
erőforrások	recursos
hozzájárul	contribueix
melléknév	adjectiu
rituális	ritual
fiziológiai	fisiològiques
fiziológiai	fisiologia
labor	laboratoris
labor	laboratori
meztelen	despullada
meztelen	nua
inn	inn
inn	hostal
valladolid	valladolid
érdekességek	curiositats
tallinn	tallinn
tavi	llac
csíkos	ratlles
értelem	sentit
földek	terres
földek	camps
legfrissebb	últimes
hasonlóak	similars
hasonlóak	semblants
hasonlóak	similar
árnyék	ombres
árnyék	ombra
árnyék	shadow
klinika	clínica
klinika	clinic
tágas	àmplies
belize	belize
márciusi	març
márciusi	march
falat	paret
falat	mur
ellis	ellis
bergman	bergman
oldalakon	pàgines
érd	interès
invázió	invasió
tojást	ous
tojást	ou
támogatói	simpatitzants
támogatói	partidaris
flavius	flavi
kifejező	expressiu
koszovó	kosovo
nyaka	coll
earl	earl
legelő	pastures
legelő	pasturatge
cselekvés	acció
mechanizmus	mecanismes
mechanizmus	mecanisme
eszik	menjant
őrző	guardià
őrző	tutor
őrző	guardià
őrző	guardian
mozaik	mosaic
alto	alto
stevens	stevens
savas	àcid
súly	pes
thriller	thriller
ericsson	ericsson
fennmaradó	restant
fennmaradó	restants
parancsnokság	ordre
parancsnokság	comandament
gerard	gerard
lionel	lionel
rovat	caixa
rovat	capsa
norma	norma
norma	norma
megkülönböztető	distintiu
megkülönböztető	discriminatori
megkülönböztető	distingint
rubin	rubin
rubin	rubí
rubin	ruby
szálak	fils
szálak	fibres
puglia	puglia
betty	betty
bejegyzés	entrada
bejegyzés	publicació
mad	mad
jeffrey	jeffrey
mariah	mariah
kiskorú	menors
kiskorú	menor
kiskorú	minor
mozambik	moçambic
mítosz	mite
portsmouth	portsmouth
andre	andre
andre	andré
nyomozás	investigacions
nyomozás	investigant
burrows	burrows
ljubljana	ljubljana
jótékony	beneficioses
jótékony	beneficiós
jótékony	beneficiosa
strand	platja
kylie	kylie
méh	úter
méh	ventre
méh	abella
méh	bee
hajlamos	propens
nina	nina
golyó	pilota
golyó	bales
golyó	pics
golyó	bala
erőforrás	recurs
erőforrás	recursos
hosszúkás	oblong
brooks	brooks
stones	pedres
dokumentáció	documentació
rousseau	rousseau
gyűjteni	recollint
gyűjteni	recollir
fogyasztás	consum
mode	modalitat
mode	mode
rainer	rainer
manó	goblin
manó	elf
elsőszülött	primogènit
astra	astra
vállalkozások	empreses
vállalkozások	companyies
hidraulikus	hidràulic
kairó	cairo
kairó	caire
titanic	titanic
elismeri	admet
mao	mao
középfokú	secundari
középfokú	secundaria
szülés	naixement
denevérek	ratpenats
stanford	stanford
funk	funk
katar	qatar
elektronok	electrons
marius	marius
lépések	passos
lépések	passes
lépések	passos
gőz	vapor
drake	drake
jámbor	piadós
mohammed	muhammad
mohammed	mahoma
bőséges	abundància
bőséges	abundant
bőséges	abundants
bőséges	bountiful
szándék	intenció
szándék	intencionalitat
szándék	intencions
oklahoma	oklahoma
papság	sacerdoci
papság	clergues
papság	clergat
klán	clan
klán	klan
négyszeres	quàdruple
cseng	sonant
cseng	cheng
pestis	plaga
pestis	pesta
toni	toni
elefánt	elefants
elefánt	elefant
christine	christine
anyagilag	financerament
fejlesztők	desenvolupadors
ghost	ghost
ghost	fantasma
megnyitó	obertura
jensen	jensen
csi	csl
csi	csi
olaf	olaf
alkalmatlan	inhàbil
alkalmatlan	incompetent
fogyasztói	consumidor
hurley	hurley
piazza	piazza
arcát	cara
arcát	face
bibliográfia	bibliografia
alexandru	alexandru
elégedett	satisfet
elégedett	satisfets
elégedett	content
vizsga	examen
rajzok	esbossos
rajzok	dibuixos
népszerűek	popular
népszerűek	populars
med	med
színházak	teatres
kúp	con
fisher	fisher
sherman	sherman
lombhullató	caducifoli
öröksége	llegat
öröksége	herència
létesítmények	establiments
megvédeni	protegir
megvédeni	defensar
törvényszéki	forenses
rangos	prestigiós
rangos	prestigiosa
kötve	empatat
anatómia	anatomia
ket	ket
szociológia	sociologia
igények	exigències
igények	demandes
igények	reclamacions
igények	pretensions
őskori	prehistòriques
tanya	tanya
diszkrét	discret
diszkrét	discret
diszkrét	discreta
bors	pebrot
bors	pebre
libanon	líban
szögletes	quadrat
szögletes	plaça
szögletes	angular
gravitáció	gravetat
másoknak	altres
nyugdíjas	pensionista
nyugdíjas	jubilació
nyugdíjas	retirat
nyugdíjas	jubilats
nyugdíjas	jubilat
dániában	dinamarca
clapton	clapton
szerkezetek	construccions
szerkezetek	estructures
ima	ima
ima	precs
ima	preguem
ima	oració
ima	pregària
hérault	erau
gheorghe	gheorghe
frissítés	actualitzat
frissítés	actualització
frissítés	refresc
frissítés	refresca
frissítés	actualitzacions
banglades	bangladesh
patakok	fluxos
grimm	grimm
megszállták	envair
szava	paraula
denevér	bat
denevér	ratpenats
eleanor	eleanor
eleanor	elionor
túlzottan	excessivament
stoke	stoke
court	cort
court	tribunal
bolgárok	búlgars
szakács	cook
szakács	cuiner
szakács	chef
szakács	xef
sírok	plorant
sírok	plor
monográfia	monogràfic
hosszanti	longitudinal
hosszanti	longitudinals
türk	türk
andorra	andorra
gyík	llangardaix
vay	vay
ólom	plom
mérés	mesuraments
mérés	mesura
mérés	mesurament
bankok	banks
bankok	bancs
társ	soci
társ	acompanyant
társ	companya
szimbólum	símbols
szimbólum	símbol
misszió	missió
ibériai	ibèric
jose	jose
jose	josé
nővérek	germanes
nővérek	infermeres
nővérek	infermers
kezelt	tractada
ikon	icona
igényes	intensius
igényes	intensiva
igényes	intensiu
igényes	exigent
mex	mex
kürt	banya
kürt	horn
frakció	fracció
frakció	facció
állítások	reclamacions
állítások	pretensions
állítások	declaracions
állítások	declaracions
queens	reines
queens	queens
júliusi	juliol
vásár	sale
vásár	venda
vásár	fira
madison	madison
vezérlő	control
vezérlő	controlador
papagáj	portet
papagáj	lloro
andrews	andrews
aktivista	activista
köves	pedregosa
guineai	guinea
reed	reed
cápa	tauró
gyógyszertár	farmàcies
gyógyszertár	drogueria
gyógyszertár	farmàcia
ösvény	camí
ösvény	sender
ösvény	trail
ösvény	rastre
örökölt	heretat
tiltakozott	protestaren
bagoly	mussol
jelezve	indicant
neville	neville
bogár	bug
cro	cro
asztal	taula
asztal	quadre
asztal	escriptori
asztal	quadres
asztal	taules
asztal	escriptori
apáca	nun
apáca	monja
gaston	gaston
alapértelmezett	predeterminat
megtanult	après
freiburg	friburg
építők	constructors
faust	faust
áttekintés	resum
áttekintés	ressenya
iparág	indústria
mol	mol
jozef	jozef
hitel	credit
hitel	crèdit
hitel	préstec
magatartás	actitud
magatartás	comportament
magatartás	conducta
nottingham	nottingham
kincs	tresors
kincs	tresor
porter	porter
indy	indy
howe	howe
felhő	núvol
ukrajnai	ucraïnès
harcolni	lluitant
harcolni	lluita
guillaume	guillaume
élmény	experiencia
élmény	experiència
kaj	kaj
realista	realista
realista	realistes
corvinus	corví
országút	autopista
fest	pintures
felkelő	insurgent
felkelő	rebel
finoman	suaument
munkaügyi	laborals
kölcsönösen	mútuament
bevándorlók	emigrants
bevándorlók	immigrants
bevándorlók	immigrant
feltételezés	supòsits
feltételezés	presumpció
feltételezés	assumpció
feltételezés	hipòtesi
kábítószer	drogues
kábítószer	fàrmacs
kábítószer	droga
kábítószer	estupefaents
kábítószer	narcòtics
egyesülés	unificació
egyesülés	fusions
madeira	madeira
newman	newman
megáll	parades
dharma	dharma
falco	falco
mitikus	mítica
rich	ric
rich	rich
rich	rics
mérések	mesuraments
lábak	peus
lábak	cames
romok	ruïnes
falakat	murs
falakat	parets
helyreállítása	restaurar
helyreállítása	restaura
helyreállítása	restauració
szökés	escapar
szökés	fugida
szökés	fuga
szökés	escape
nézi	veient
nézi	mirant
carolina	carolina
sav	àcid
tucatnyi	dotzenes
kisebbségek	minories
dühös	furiós
dühös	furious
dühös	enfadat
geoffrey	geoffrey
iris	iris
pénteken	divendres
winkler	winkler
rejtély	misteri
méretei	dimensions
lima	lima
friuli	friül
megfigyelés	monitoratge
megfigyelés	observació
megfigyelés	vigilància
ellenőrzési	control
ellenőrzési	auditoria
ellenőrzési	inspecció
logisztikai	logística
logisztikai	logístic
hiány	manca
hiány	falta
hiány	deficiència
hiány	dèficit
felfedezni	descobrint
felfedezni	descobreix
che	che
lebegő	flotant
lebegő	surant
lebegő	passeu
nyilatkozata	declaració
nyilatkozata	declaració
bél	intestinal
bél	gut
lelkek	souls
lelkek	ànimes
lelkek	esperits
webes	web
kétéves	biennal
zólyom	zvolen
tvr	tvr
corpus	corpus
forog	rolling
forog	spinning
forog	girant
menyasszony	núvia
ruth	ruth
szavazati	votacions
szept	sept
brooklyn	brooklyn
lépéseket	passos
lépéseket	passes
lépéseket	passos
virágos	florals
virágos	florista
virágos	floristeria
virágos	flor
tételek	elements
riga	riga
merül	immersions
merül	dives
statikus	estàtic
statikus	estàtica
átmenet	transició
átmenet	transicions
időpontok	dates
időpontok	nomenaments
időpontok	vegades
bolt	botiga
bolt	botiga
atomok	àtoms
mont	mont
connor	connor
olvasás	llegint
olvasás	lectura
vacsora	sopar
vacsora	sopar
ütközés	impacte
ütközés	crash
ütközés	conflicte
bizánc	bizanci
córdoba	córdoba
közgazdászok	economistes
kalap	barrets
kalap	barret
landes	landes
solo	solo
hasa	panxa
hasa	belly
szerződések	contractes
szerződések	tractats
sus	sus
galaktikus	galàctic
galaktikus	galàctica
főszerepben	protagonitzat
lobogó	bandera
mussolini	mussolini
tito	tito
delhi	delhi
fordítások	traduccions
csontok	ossos
kulcsfontosságú	tecla
kulcsfontosságú	clau
augsburg	augsburg
dumbledore	dumbledore
