টেলার	テラー
কিয়া	キア
দংশন	スティング
বৈরুত	ベイルート
শ্রোতা	聞き手
শ্রোতা	リスナー
বেটস	ベイツ
বর্বর	野蛮
বর্বর	野蛮
হানি	ハニー
হানি	はちみつ
হানি	蜂蜜
লোপেজ	ロペス
লোপেজ	ロペス
ফিগার	フィギュア
সেথ	セス
দৃঢ়তা	裁決
সীল	アザラシ
সীল	封印
সীল	印章
সীল	シール
সীল	押印
রুক্ষ	ラフ
রুক্ষ	乱暴
লার্ভা	幼虫
সাইক্লোন	サイクロン
লিথিয়াম	リチウム
রাইড	乗る
রাইড	配車
হারকিউলিস	ヘラクレス
চ্যাপলিন	チャップリン
আর্চবিশপ	大主教
ব্রুনেই	ブルネイ
ছুঁয়ে	さわる
ক্রীতদাস	奴隷
বিধিনিষেধ	制限
এসএসআর	ssr
যৌবন	青年
যৌবন	若者
যৌবন	ユース
যৌবন	青春
জমজ	双子
ক্লাস্টার	クラスタ
ডেসমন্ড	デズモンド
বেকন	ビーコン
বেকন	灯台
বেকন	ベーコン
উপসর্গের	症状
উপসর্গের	徴候
রাউটার	ルータ
কাস্ত্রো	カストロ
মেশানো	ミキシング
বাড়ছে	栽培
বাড়ছে	成長
বাড়ছে	増加
জেসিকা	ジェシカ
আইইইই	ieee
রজার্স	ロジャース
লিঙ্কন	リンカーン
পাঠ্যবই	教科書
চাইল্ড	子供
চাইল্ড	児童
নাচে	踊り
নেকড়ে	ウルフ
নেকড়ে	オオカミ
ট্রানজিট	トランジット
উপযোগ	効用
উপযোগ	ユーティリティー
উপযোগ	ユーティリティ
লেটার	手紙
লেটার	letter
লেটার	レター
বলশেভিক	ボリシェヴィキ
দেই	与える
দেই	give
কারেন	カレン
ঢালাই	鋳造
ঢালাই	溶接
অভিভূত	感動
অভিভূত	感心
লাথি	キック
ইউনিফর্ম	ユニフォーム
ইউনিফর্ম	ユニフォーム
ইউনিফর্ম	制服
নিয়ামক	司会
ফিল্টার	フィルタ
ফিল্টার	フィルター
ফিল্টার	フィルタ
ফিল্টার	フィルター
সাহসিকতা	勇気
সাহসিকতা	勇気
শিক্ষণ	学習
শিক্ষণ	ラーニング
শিক্ষণ	学問
আসক্ত	中毒
অভ্যন্তর	内部
অভ্যন্তর	内装
অভ্যন্তর	内面
অভ্যন্তর	インテリア
ক্রিস্টিন	クリスティン
এভারটন	エバートン
সুনামি	津波
ফ্লাশ	流す
ফ্লাশ	フラッシュ
নান	nan
নান	ナン
নেপচুন	海王星
নেপচুন	ネプチューン
হাঙ্গেরী	ハンガリー
ক্ষিপ্ত	激怒
ক্ষিপ্ত	マッド
ক্ষিপ্ত	mad
মুহূর্ত	moments
মুহূর্ত	モーメント
মুহূর্ত	moment
মুহূর্ত	瞬間
মুহূর্ত	モーメント
শব্দগুচ্ছ	表現
শব্দগুচ্ছ	expression
অন্বেষণ	探検
অন্বেষণ	探検
লুকানো	隠し
মাস্ক	仮面
মাস্ক	マスク
রুই	ルイ
পাপের	シン
পাপের	sin
কামড়	噛む
গহ্বর	虫歯
লক্ষ্যণীয়	att
নিকেল	ニッケル
ক্ষুধা	食欲
ক্ষুধা	飢え
ক্ষুধা	空腹
পাতাগুলি	ページ
দুর্দান্ত	すごい
দুর্দান্ত	グレート
সারণি	テーブル
দৌড়বিদ	ランナー
নিষেধাজ্ঞার	禁酒
নিষেধাজ্ঞার	禁止
নিষেধাজ্ঞার	禁酒令
গার্মেন্টস	衣類
গার্মেন্টস	衣類
নেব্রাস্কা	ネブラスカ
চিরতরে	フォーエバー
দোহা	ドーハ
এলইডি	led
দুর্যোগের	災害
নিউমোনিয়া	肺炎
বেঁকে	ベント
প্লাটিনাম	プラチナ
প্লাটিনাম	白金
গর্ব	プライド
গর্ব	傲慢
গর্ব	誇り
আগাম	advance
আগাম	事前
দাড়ি	ひげ
কর্পস	軍団
সূর্যাস্ত	夕暮れ
সূর্যাস্ত	夕焼け
সূর্যাস্ত	日没
তালু	手のひら
তালু	ヤシ
তালু	パーム
অসাধারন	素晴らしい
অসাধারন	凄い
অসাধারন	すごい
অসাধারন	すごい
কুচকাওয়াজ	パレード
কুচকাওয়াজ	行軍
বুদাপেস্ট	ブダペスト
নিষ্ঠুর	残酷
নিষ্ঠুর	無礼
বাইট	バイト
বাইট	バイト
কোক	コーク
কোক	コーラ
সতর্কবার্তা	警報
সতর্কবার্তা	警告
সতর্কবার্তা	アラート
সতর্কবার্তা	警告
প্লেন	飛行機
মোজাইক	モザイク
মুক্তা	真珠
উপমা	類推
নারকেল	ココナツ
নারকেল	ココナッツ
নারকেল	ココナッツ
গ্রন্থপঞ্জি	参考文献
আটা	粉末
আটা	小麦粉
অ্যানিমে	アニメ
ওন	ウォン
ওন	won
পার্সিয়ান	ペルシャ
বোর্ডিং	搭乗
বোর্ডিং	乗車
নির্মাণকার্য	建物
নির্মাণকার্য	建設
কর্ডোবা	コルドバ
ক্রিম	クリーム
মেসোপটেমিয়ার	メソポタミア
হিলি	ヒーリー
ছাতা	アンブレラ
রুবি	ルビ
রুবি	ルビー
ঘর্ষণ	摩擦
জানালার	ウィンドウ
অপছন্দ	嫌い
অপছন্দ	嫌悪
অপছন্দ	憎悪
অপছন্দ	嫌い
অপছন্দ	憎しみ
সালাত	サラート
জিতেছেন	ウォン
জিতেছেন	won
পোড়ানো	燻製
ক্লাসিক্যাল	クラシカル
ক্লাসিক্যাল	クラシック
ক্লাসিক্যাল	古典
গাম্বিয়া	ガンビア
প্রস্রাব	排尿
কাব	カブ
গরুড়	ガルダ
শরিয়া	シャリーア
অন্তরীণ	拘禁
অন্তরীণ	勾留
অন্তরীণ	留置
অন্তরীণ	収容
লেকচারার	講師
দেং	トウ
পু	プー
ব্লগার	blogger
ব্লগার	ブロガー
ব্লগার	ブロガー
শিথিল	リラックス
গেয়র্গ	ゲオルク
তরঙ্গদৈর্ঘ্য	波長
তরুণী	ひよこ
তরুণী	若い
তরুণী	ヤング
রিটার্ন	return
রিটার্ন	リターン
গোপনীয়	秘密
গোপনীয়	機密
গোপনীয়	内密
সিগনাল	シグナル
সিগনাল	合図
সিগনাল	信号
সিগনাল	シグナル
সিগনাল	信号
ভান	バン
ভান	ヴァン
ভান	宝物
চ্যাং	チャン
রিচমন্ড	リッチモンド
লেকে	レッチェ
নোঙর	アンカー
ইন্টিগ্রেটেড	統合
মরিয়া	必死
সংকল্প	裁決
আলাবামা	アラバマ
ব্যালিস্টিক	弾道
কণ্ঠস্বর	ボイス
কণ্ঠস্বর	音声
নিরাময়	治癒
নিরাময়	ヒーリング
এলি	エリー
এলি	エリ
এলি	イーライ
ওয়াক	歩き
ওয়াক	ウォーク
ওয়াক	歩行
ওয়াক	歩く
ওয়াক	徒歩
বসরা	バスラ
ছড়ায়	広がる
ফস্টার	フォスター
কর্মকর্তাকে	役員
অ্যাশলে	アシュリー
অ্যাশলে	アシュレイ
হাব	ハブ
পৃথকীকরণ	別居
পৃথকীকরণ	分離
হেলমেট	ヘルメット
প্রহরী	sentinel
পাঞ্চ	パンチ
খুনী	殺人犯
খুনী	人殺し
সার্জন	外科医
মোবাইলের	モバイル
উদ্ভাবনী	革新
ঝোপ	低木
আমীন	アーメン
নেগেটিভ	ネガティブ
নেগেটিভ	マイナス
নেগেটিভ	ネガ
উদ্বিগ্ন	不安
উদ্বিগ্ন	気がかり
অপরূপ	夕暮れ
ইজারা	賃貸
ইজারা	貸す
ইজারা	賃貸借
সাদি	サアディー
সাদি	sadie
জনপরিসংখ্যান	人口
কনে	花嫁
লিপিড	脂質
শহরগুলো	都市
ওকলাহোমা	オクラホマ
তদারকি	監督
সূর্যোদয়	日の出
এডেন	アデン
ক্রাইস্ট	キリスト
কেটি	ケイティ
ডিয়েগো	ディエゴ
তিমির	クジラ
কৃতজ্ঞতা	感謝
মোজাম্বিক	モザンビーク
এনবিসি	nbc
জুম	ズーム
গাঁজা	アサ
গাঁজা	大麻
গাঁজা	雑草
নূহ	ヌーフ
নূহ	ノア
ডস	ドス
ডস	dos
কাজাখ	カザフ
রিক	リック
শনির	土星
বেদী	祭壇
সফ্টওয়্যার	ソフトウエア
সফ্টওয়্যার	ソフトウェア
জরায়ুর	子宮
বিষুব	赤道
ডেমন	daemon
ডেমন	デーモン
মোল	モグラ
মোল	ほくろ
কষ্টের	苦しみ
কষ্টের	苦難
ফার্নান্দেজ	フェルナンデス
লিউকেমিয়া	白血病
প্রিমিয়াম	プレミアム
প্রবৃত্তি	本能
নাপোলি	ナポリ
এলএলবি	llb
থম্পসন	トンプソン
থম্পসন	トムソン
বরঞ্চ	むしろ
মহানগরী	大都市
মহানগরী	メトロポリス
কম্পাস	コンパス
ডীপ	ディープ
ডীপ	深い
হেমিংওয়ে	ヘミングウェイ
ফ্যাকাশে	青白い
ফ্যাকাশে	ペール
বৈষম্যের	不平等
বৈষম্যের	不等式
বস্তি	スラム
বস্তি	スラム
গর্ভপাত	流産
সিল	シル
সিল	アザラシ
সিল	封印
সিল	印章
সিল	シール
সিল	押印
সাইক্লিং	サイクリング
সীসা	リード
খাতিরে	日本酒
পান্ডা	パンダ
অনৈতিক	不道徳
বোট	ボート
বোট	ボート
রিখটার	リヒター
কোকো	ココア
আতা	ata
গ্রিল	グリル
কিস	キス
কিস	kiss
কিস	接吻
পনির	パニール
জিনা	ジーナ
সিম	sim
বীণা	ハープ
সাফল্যে	実績
সাফল্যে	事跡
সাফল্যে	業績
সাফল্যে	事績
সাফল্যে	功績
জুঁই	ジャスミン
বানরের	サル
মিরর	ミラー
সতের	seventeen
পরিমিত	中道
পেরেজ	ペレス
পেরেজ	ペレス
ভক্তির	献身
জীবনধারা	生き方
জীবনধারা	ライフスタイル
মিথাইল	メチル
লিউ	レウ
দলগুলি	チーム
ডেমো	デモ
আধ্যাত্মিকতা	スピリチュアリティ
আধ্যাত্মিকতা	スピリチュアル
কিন্ডারগার্টেন	幼稚園
গল্ফ	ゴルフ
ক্যাথি	キャシー
কোয়ার্ক	クォーク
গ্রিফিথ	グリフィス
পংক্তি	ストリング
লাউ	ラウ
বেইজ	ベージュ
রিসোর্ট	リゾート
প্রকোষ্ঠ	地下室
সাটক্লিফ	サトクリフ
সান্তোস	サントス
ফ্লু	インフルエンザ
সোলার	ソーラー
রোগীকে	患者
বাচ্চার	ベイビー
বাচ্চার	赤ちゃん
ফ্রেম	フレーム
ফ্রেম	フレーム
রিসোর্স	リソース
রিসোর্স	資源
লাকি	ラッキー
প্রেরক	から
প্রেরক	差出人
দুইটা	二つ
দুইটা	二人
আর্দ্রা	ベテルギウス
খনির	鉱業
সমানুপাতিক	比例
দেখবেন	時計
দেখবেন	腕時計
ভিক্ষা	物乞い
ভিক্ষা	乞食
ভিক্ষা	ベグ
টরোন্টো	トロント
মেরী	メリー
সেভেরাস	セウェルス
কনসোল	コンソール
ক্ষোভ	アウトレイジ
কারোর	誰か
ফাইন্যান্স	財務
ফাইন্যান্স	金融
ফাইন্যান্স	財政
ফাইন্যান্স	ファイナンス
শহরতলী	郊外
অনিবার্য	やむを得ない
অনিবার্য	やむを得ない
মৌ	mau
মৌ	mou
তাবু	テント
তাবু	テント
লজ	ロッジ
বেলফাস্ট	ベルファスト
গ্রামাঞ্চলের	田舎
বোনকে	姉妹
বোনকে	シスター
ফেস	フェイス
পিএইচপি	php
পজিটিভ	陽性
পজিটিভ	ポジティブ
ডিলান	ディラン
স্যুপ	スープ
বিবিএ	bba
প্রতিদান	報酬
মিন্ট	ミント
টিটো	ティト
লঙ্ঘনের	侵害
লঙ্ঘনের	違反
আন্তোনিও	アントニオ
ফ্রস্ট	フロスト
ম্যাসেডোনিয়া	マケドニア
মিকি	ミッキー
মিকি	三木
মিকি	ミキ
মিকি	みき
মিকি	miki
মকর	カプリコーン
মকর	カプリコン
জুয়া	賭け事
জুয়া	ギャンブル
জুয়া	賭博
শয্যা	ベッド
জেনার	ジャンル
নুড়ি	砂利
নেশা	パッション
নেশা	情熱
নেশা	受難
চোরাচালান	密輸
ইউরি	ゆり
ইউরি	ユーリ
প্রশাসকগণ	管理者
প্রশাসকগণ	管理人
বন্দুকের	ガン
ইমেজিং	イメージング
জিনপিং	金平
এন্ডারসন	アンダーソン
লঙ্কা	ペッパー
লঙ্কা	胡椒
লঙ্কা	コショウ
লঙ্কা	チリ
সন্তানেরা	子供
মোনা	モナ
মুরগী	鶏肉
মুরগী	ニワトリ
মুরগী	チキン
অডিটোরিয়াম	講堂
কন্টিনেন্টাল	コンチネンタル
ফ্যাক্ট	事実
অন্যরকম	異なる
ক্রসিং	クロッシング
ককেশাস	コーカサス
সন্তোষজনক	満足
সূফী	スーフィー
উচ্চারন	アクセント
শৃঙ্খল	チェイン
শৃঙ্খল	チェーン
পৌঁছানো	リーチ
আমু	amu
ক্যানন	大砲
গলে	融解
গলে	溶ける
স্টোক	ストーク
বিশুদ্ধতা	整合性
বিশুদ্ধতা	純度
ব্ল্যাকবেরি	blackberry
মুডি	ムーディ
লক্ষ্ণৌ	ラクナウ
গলিত	融解
তাৎক্ষনিক	直ちに
তাৎক্ষনিক	インスタント
তাৎক্ষনিক	瞬間
সারমর্ম	エッセンス
সারমর্ম	本質
ব্যাকস্ট্রোক	背泳ぎ
নিবন্ধগুলি	記事
নিবন্ধগুলি	冠詞
সুয়ারেজ	スアレス
বেনিন	ベナン
পিয়া	ピア
ফ্রিডরিখ	フリードリヒ
ফ্রিডরিখ	フリードリッヒ
নার্সারি	保育園
আলুর	じゃがいも
আলুর	ジャガイモ
আলুর	ポテト
জনস্টন	ジョンストン
ব্রডব্যান্ড	broadband
একলা	孤独
একলা	寂しい
খরগোশ	ウサギ
খরগোশ	ウサギ
খরগোশ	うさぎ
সংশ্লিষ্টতা	婚約
রাগের	怒り
সংশ্লেষ	共役
মং	マウン
মজুরি	賃金
মজুরি	賃金
কলেরা	コレラ
প্রাদুর্ভাব	アウトブレイク
এসএমএস	sms
কার্স্টেন	キルステン
খুনি	殺人犯
খুনি	人殺し
এলান	アラン
শার্টের	シャツ
ব্যবহারকারীগণ	ユーザー
ব্যবহারকারীগণ	ユーザ
ডোম	ドーム
আবির	abir
বিবর্ধক	アンプ
ভিভিয়ান	ヴィヴィアン
ডাইভিং	ダイビング
আজকাবান	アズカバン
রিপোর্টার	リポーター
রিপোর্টার	レポーター
ইস্টউড	イーストウッド
মনযোগ	濃度
দাই	ダイ
মারফত	via
অবনতির	劣化
ষাঁড়	ブル
বুন	boon
হুকুম	布告
স্থায়িত্ব	安定
স্থায়িত্ব	安定性
স্থায়িত্ব	耐久性
নোটবুক	ノートブック
নোটবুক	ノート
অবাস্তব	unreal
জিম্মি	人質
বিসাউ	ビサウ
লম্ব	垂直
লম্ব	直交
পুরুষরা	男性
পুরুষরা	メン
তারকাদের	有名人
শিম	ビーン
প্রোব	プローブ
কোষাগার	宝物
কোষাগার	国庫
স্লিপ	スリップ
সঙ্গতি	一貫性
পড়লেন	ヴィジラント
অভিবাদন	あいさつ
অভিবাদন	挨拶
মিরান্ডা	ミランダ
আয়ুর্বেদ	アーユルヴェーダ
ভেগাস	vegas
ভেগাস	ベガス
বাক্যাংশ	フレーズ
নামগুলি	名前
নামগুলি	名称
রিজ	尾根
থান্ডার	サンダー
মাতাল	ラッシュ
মাতাল	酔っぱらい
ধাবি	dhabi
ছোঁড়া	ブラット
রোমিও	ロミオ
রোমিও	ロメオ
জুডি	ジュディ
ডোমিনিকা	ドミニカ
ঘুমিয়ে	睡眠
ঘুমিয়ে	眠る
ঘুমিয়ে	スリープ
ঘুমিয়ে	昼寝
আনন্দিত	ハッピー
আনন্দিত	幸せ
স্যান্ডি	サンディ
দূষিত	悪意
দূষিত	汚染
মুসলমানেরা	イスラム教
মুসলমানেরা	ムスリム
মিলিশিয়া	民兵
বাটন	ボタン
বাটন	ボタン
পিয়ার্স	ピアス
পিয়ার্স	ピアース
শিন	シン
অব্যবহৃত	フリー
অব্যবহৃত	無料
অব্যবহৃত	自由
মার্চেন্ট	マーチャント
মার্চেন্ট	商人
হিংস্র	激しい
হিংস্র	激戦
পায়ু	アナル
ইথাইন	アセチレン
ক্রুশ	十字架
ক্রুশ	クロス
ক্রুশ	cross
ক্রুশ	十字
আনসারি	ansari
মেরা	メラ
আলেকজান্দ্রিয়া	アレクサンドリア
ইটন	イートン
আত্মীয়দের	親族
আত্মীয়দের	親戚
দারুন	グレート
দারুন	すごい
দারুন	クール
দারুন	涼しい
শিট	たわごと
প্রতিবিম্ব	反射
প্রতিবিম্ব	リフレクション
প্ল্যান	計画
প্ল্যান	プラン
পার্টনার	パートナー
নাদিয়া	ナディア
এড়ানো	忌避
ভাইকিং	バイキング
দেখ	ルック
দেখ	外観
পরী	フェアリー
পরী	妖精
টাচ	タッチ
টাচ	touch
টাচ	触る
নেভাডা	ネバダ
নিক্সন	ニクソン
হাতা	スリーブ
অগ্নিসংযোগ	放火
পরিশোধিত	洗練された
পরিশোধিত	精製
মিশ্রন	組み合わせ
মিশ্রন	コンビネーション
রুসো	ロゾー
টাইপিং	タイピング
আইরিন	イレーネ
আইরিন	アイリーン
দূর্ঘটনা	アクシデント
দূর্ঘটনা	事故
অ্যালেক	アレク
অ্যালেক	アレック
কাটিং	裁断
কাটিং	切り取り
ইরিত্রিয়া	エリトリア
নীচু	低い
আগন্তুক	よそ者
বর্ণে	グローブ
পুঁজিবাদ	資本主義
ডুবুরি	ダイバー
ভ্রূণ	胎児
বেঞ্চ	ベンチ
দারিদ্র্যের	貧困
ইচ্ছাকৃত	わざと
সুযোগের	機会
ফিরোজা	ターコイズ
মনরো	モンロー
ইউনিটি	統一
গাও	ガオ
গাও	歌う
গাও	sing
উপেক্ষিত	無視
উপেক্ষিত	スキップ
আদর	可愛らしい
আদর	愛らしい
আদর	ハグ
আদর	愛撫
আদর	ハグ
মহিমা	グローリー
চ্যাপম্যান	チャップマン
লাইবেরিয়া	リベリア
মোটামুটিভাবে	そこそこ
মোটামুটিভাবে	おおよそ
হোস্টিং	ホスティング
হোস্টিং	主催
নিকো	ニコ
নিকো	ニコ
এরিস্টটল	アリストテレス
আইটিএফ	itf
বিরোধীদের	野党
কাটরা	カトラ
বলুন	say
বলুন	セイ
জাভি	ハーヴィ
জাভি	ハビ
বানি	うさぎ
বানি	バニー
কম্পাইলার	コンパイラ
স্কোয়াড্রন	戦隊
জ্যাম	ジャム
হিঙ্গিস	ヒンギス
হয়তোবা	たぶん
হয়তোবা	多分
হয়তোবা	未定
প্রসেস	過程
প্রসেস	プロセス
প্রসেস	プロセス
নোয়া	ノア
পোর্ট্রেট	肖像
পোর্ট্রেট	ポートレート
পোর্ট্রেট	縦長
বেকারত্বের	失業
শেক্সপিয়ার	シェイクスピア
শেক্সপিয়ার	シェークスピア
কোল্ড	風邪
কোল্ড	コールド
কোল্ড	冷たい
কোল্ড	寒い
জেন্ডার	ザンダー
বৈচিত্র্যময়	多様
আরবান	アーバン
নরক	ヘル
নরক	地獄
মায়ামি	マイアミ
বলপূর্বক	フォース
রাস্তাঘাট	ストリート
ফ্লোর	フロア
সামিট	サミット
সামিট	頂上
প্রোপেন	プロパン
ক্যাটালগ	カタログ
ক্যাটালগ	カタログ
ক্যাটালগ	カタログ
ক্যাটালগ	カタログ
ভাল্লুক	クマ
শূকর	ブタ
ফলপ্রসূ	やりがい
ফলপ্রসূ	実り
ডাডলি	ダドリー
ডাডলি	ダッドリー
কর্মস্থল	職業
কর্মস্থল	仕事
কর্মস্থল	ジョブ
কর্মস্থল	作業
কর্মস্থল	仕事
কর্মস্থল	ワーク
প্লুটো	冥王星
প্লুটো	プルート
ক্যাটরিনা	カトリーナ
গোমেজ	ゴメス
কুকি	cookie
কুকি	クッキー
কুকি	cookie
কুকি	クッキー
আর্মেনিয়ান	アルメニア
পিঁপড়া	アリ
দায়বদ্ধতা	責任
দায়বদ্ধতা	責務
ডুম	ドゥーム
ফুটপাথ	歩道
মারিয়ানা	マリアナ
পাদ	フィート
পাদ	パッド
ব্লেয়ার	ブレア
কিন্ডার	キンダー
টয়োটা	豊田
টয়োটা	トヨタ
ধনু	サジタリウス
দূরবীন	望遠鏡
মাউন্টেনিয়ারিং	登山
তোতা	オウム
চেং	チェン
বিবেচনার	対価
কাগজপত্র	書類
বান্দা	バンダ
চ্যালেঞ্জার	チャレンジャー
জিবুতি	ジブチ
বলো	say
বলো	セイ
মুদ্রাস্ফীতি	インフレーション
উকুন	シラミ
রোমাঞ্চ	冒険
রোমাঞ্চ	アドベンチャー
রোমাঞ্চ	冒険
রোমাঞ্চ	スリル
মিহি	洗練された
মিহি	精製
আউটলুক	outlook
জাভাস্ক্রিপ্ট	javascript
মানবতা	人類
চতুর্ভূজ	正方形
চতুর্ভূজ	四角
চতুর্ভূজ	広場
সিলভিয়া	シルヴィア
সিলভিয়া	シルビア
পাটি	パチ
জেইন	zain
গাম	歯茎
গাম	ガム
মরিনহো	モウリーニョ
লুটপাট	略奪
গিগাবাইট	ギガバイト
গিগাবাইট	ギガバイト
জুভেন্টাস	ユヴェントス
বেজে	リング
বেজে	指輪
বার্মায়	ビルマ
মালবাহী	貨物
মেশ	メッシュ
শিপ	船舶
ভীতি	恐怖
ভীতি	恐れ
বিজয়ীরা	勝者
অ্যামোনিয়া	アンモニア
ভেগা	ベガ
হ্যালোইন	ハロウィン
ক্যাসিনো	カジノ
ডেস	des
সহনশীল	寛容
ভোটারদের	有権者
পেন্টহাউস	ペントハウス
প্রাইস	プライス
প্রাইস	対価
প্রাইস	値段
প্রাইস	価格
নিরামিষ	ベジタリアン
ডাব	dub
ডাব	ダブ
ফাতাহ	ファタハ
সনেট	ソネット
কুরোসাওয়া	黒澤
কুরোসাওয়া	黒沢
মাফিয়া	マフィア
মিগুয়েল	ミゲル
মশাল	トーチ
মশাল	たいまつ
চমকে	驚き
চমকে	サプライズ
চমকে	ショック
চমকে	衝撃
ভিজিয়ে	濡れ
ভোজ	ごちそう
ভোজ	食事
ভোজ	宴会
বুদ্ধিজীবি	知識人
পরামর্শদাতা	顧問
পরামর্শদাতা	アドバイザー
পরামর্শদাতা	コンサルタント
মদ্যপান	飲む
মদ্যপান	アルコール
দাসত্ব	緊縛
ডিজিজ	病気
ডিজিজ	疾病
ভেরা	ヴェラ
পিএসসি	psc
ব্রেমেন	ブレーメン
ক্ষণস্থায়ী	刹那
ভাস	ボウル
ডেভন	デヴォン
দেরীতে	遅い
জিজ্ঞাসাবাদ	取調べ
নিসা	ニサ
রক্তক্ষরণ	出血
এলকোহল	アルコール
শহরগুলি	都市
গ্যাং	ギャング
শেষকৃত্য	葬式
শেষকৃত্য	葬儀
নায়িকার	ヒロイン
গিয়ার	歯車
গিয়ার	ギア
গ্রামবাসীদের	村民
গ্রামবাসীদের	村人
চুনাপাথর	石灰岩
ব্রাজিলিয়ান	ブラジル
পাব	パブ
ঘটছে	ハプニング
কোডেক্স	コデックス
টার্কি	トルコ
টার্কি	七面鳥
স্কাউটিং	ボーイスカウト
বুল	ブル
অফার	クーポン
অফার	オファー
অফার	申し出
অফার	クーポン
শাকিরা	シャキーラ
দয়ালু	親切
অ্যালায়েন্স	アライアンス
অনুঘটক	触媒
কার্নিভাল	カーニバル
লাটভিয়া	ラトビア
মাশরুম	キノコ
মাশরুম	きのこ
মাশরুম	マッシュルーム
মাশরুম	キノコ
মাশরুম	マッシュルーム
নজরদারি	監視
ইউনান	雲南省
সুদ	利子
সুদ	利息
ইলোরা	エローラ
ব্যাটম্যান	バットマン
কাপড়ে	布地
কাপড়ে	生地
কাপড়ে	織物
জার্নি	旅行
জার্নি	journey
নবায়ন	アップデート
নবায়ন	更新
কম্বল	毛布
কম্বল	ブランケット
কম্বল	毛布
কম্বল	ラグ
কম্বল	敷物
পরোয়ানা	令状
কিস্তি	割賦
উন্নতিসাধন	改善
লোন	ローン
লোন	融資
ধারণকৃত	キャプチャ
প্রতিসাম্য	対称
কোপেনহেগেন	コペンハーゲン
নিশ্চিতকরণ	確認
ইনার	内側
ইনার	インナー
ইনার	内面
দুরত্বে	距離
নিস্ক্রিয়	無効
টায়ার	タイヤ
টায়ার	タイヤ
টায়ার	タイヤ
কর্নার	コーナー
স্টেফান	シュテファン
স্টেফান	ステファン
হর্ন	クラクション
হর্ন	ホルン
হর্ন	ホーン
রাউটিং	ルーティング
বার্গার	バーガー
বার্গার	ハンバーガー
দর্শকরা	ビジター
রুমী	瑠美
রুমী	るみ
অপহৃত	拉致
অপহৃত	誘拐
রোচ	ローチ
জেরার্ড	ジェラード
জেরার্ড	ジェラード
টেস্টিং	テスト
জনন	ジェネシス
আলবার্তো	アルベルト
বাঁদিকে	左側
সাম্প্রতিকতম	最新
ইথাইল	エチレン
ফোয়ারা	噴水
পেঁপে	パパイヤ
শাটল	シャトル
বাইসাইকেল	自転車
বাইসাইকেল	自転車
খুঁটিনাটি	調整
খুঁটিনাটি	補正
জেভিয়ার	ザビエル
এলোমেলো	クレイジー
এলোমেলো	ランダム
আইডিয়া	アイデア
আইডিয়া	観念
আইডিয়া	アイディア
আইডিয়া	アイデア
আইডিয়া	アイディア
স্টল	出店
ভ্যানিলা	バニラ
ফুলার	フラー
যোধপুর	ジョードプル
তানিয়া	ターニャ
তানিয়া	タニア
সোয়া	宗谷
গেমিং	ゲーム
চড়া	乗馬
ইদানীং	最近
ন্যায্য	フェア
খুঁজুন	find
খুঁজুন	発見
লিভিং	リビング
লিভিং	living
বানায়	makes
প্রার্থীতা	立候補
ব্যাবিলনীয়	バビロニア
ডাইরেক্ট	ダイレクト
ডেমি	デミ
কার্লো	カルロ
বুথ	ブース
রেঞ্জার	レインジャー
শুর	スール
জেরাল্ড	ジェラルド
হিউস্টন	ヒューストン
ক্যানারি	カナリア
পেশি	筋肉
পেশি	マッスル
পেশি	筋肉
ম্যাক্সিম	マクシム
ম্যাক্সিম	マキシム
ম্যাক্সিম	マクシム
নরোদম	ノロドム
কয়লার	石炭
উইক	ウィック
সুগন্ধ	匂い
সুগন্ধ	におい
কিডনি	腎臓
যুবতী	青年
যুবতী	若者
যুবতী	ユース
যুবতী	青春
যুবতী	若い
যুবতী	若い
যুবতী	ヤング
গার্ডনার	ガードナー
পুরোদমে	コンプリート
পুরোদমে	完備
টালি	タイル
গ্রেনাডা	グレナダ
পাইপলাইন	パイプライン
ইথারনেট	イーサネット
হুড	フード
হুড	ボンネット
আর্চ	アーチ
যাত্রীরা	通勤
যাত্রীরা	乗客
লিবিয়ান	リビア
মন্ত্রিসভার	内閣
মন্ত্রিসভার	キャビネット
ডকুমেন্টারি	ドキュメンタリー
মোটরসাইকেল	オートバイ
মোটরসাইকেল	バイク
মোটরসাইকেল	オートバイ
দেখাও	ディスプレイ
কান্না	クライ
কান্না	泣く
কান্না	泣き
কান্না	cri
কান্না	泣く
কান্না	すすり泣き
অপ্সরা	アプサラス
বার্তাবাহক	メッセンジャー
বার্তাবাহক	messenger
কাঠবিড়ালি	リス
উরাল	ウラル
তৃপ্তি	満足
কাঁদতে	泣く
সমাকলন	積分
ট্রিবিউন	トリブヌス
সালাদ	サラダ
সালাদ	サラダ
অ্যাংকর	アンコール
ধারণাগুলি	概念
ধারণাগুলি	コンセプト
অষ্টক	オクターヴ
ছাঁচ	仮面
ছাঁচ	マスク
করুণা	哀れみ
করুণা	慈悲
করুণা	マーシー
স্কাউটস	スカウト
হাতুড়ি	ハンマー
হাতুড়ি	ハマー
ঝরা	こぼす
কোরাস	コーラス
ওয়েসলি	ウェズリー
কাকে	who
বাজবি	バズビー
জুমা	ジュマ
ক্যাথোড	カソード
শুকনা	スキニー
হোপ	ホープ
হোপ	希望
সৌজন্যে	礼儀
